Hybridization REF	TCGA-A2-A0ER-01A-21R-A034-07
RRAGB	1.27733333333333
RCN2	0.00700000000000001
HIST2H2BE	-0.189625
STARD7	-0.09725
SHMT2	-1.93725
KIAA1751	0.8155
MLYCD	0.320875
LOC162632	-0.322
UQCRH	-1.10525
RP11-217H1.1	1.0606875
SDHA	-0.5755
NCLN	-0.4312
ZNF17	0.987166666666667
RCBTB2	-2.24625
VEGFB	-0.5603
RP4-747L4.3	0.6085
COLQ	0.0846
MPN2	-1.1168
DRG2	-0.382
KLRB1	5.37675
ALPK2	-3.7965
DNASE2B	1.2325
FLJ23834	2.85116666666667
AXUD1	0.6685
SAFB	-0.17
NSUN4	-0.43525
RFX2	0.305
MAPK8IP1	0.8675
FANCD2	-1.00042857142857
ANKZF1	-1.95583333333333
C19orf50	-0.609
DUSP8	1.481375
SENP5	-0.242375
NFKBIL2	-0.94475
LBR	-2.141875
IGFL1	0.9905
LZTS2	0.50275
IL2RG	-0.813125
CCDC51	-0.2795
KLF3	0.5295
ANKRD37	-0.894
KCTD14	-1.17166666666667
FZR1	0.237
SLC44A4	3.6547
ESPL1	-1.188125
GMPR2	-0.286
TBC1D19	-0.216166666666667
ERGIC1	0.780629629629629
ERBB4	3.20588888888889
TSPAN32	-0.629583333333333
MAP4	-0.245
GPHN	0.8555
SLC6A2	0.28875
HIVEP1	0.92375
DFFB	-0.4451
EIF4EBP2	0.227375
DMRT1	-0.353333333333333
HSPB6	0.022
IER2	0.0426666666666667
AIFM1	0.1685
WWC2	0.706454545454546
MRPL4	-0.59025
FLJ21062	0.701333333333333
EPB41L4A	0.172
SH2D6	0.5275
TAF4B	-1.34875
GAL3ST3	-0.268
MALT1	-0.512833333333333
RTDR1	-0.286
ARVCF	-0.335375
MEX3B	-1.72616666666667
FBXO16	0.7415
KIF7	-0.20075
C1QC	3.59533333333333
ZNF783	-1.2035
ZNF85	1.2265
MMP13	1.818
KIAA0329	0.656875
RTP3	-0.688
ZBED3	-0.1305
CLGN	-1.273
SLC25A37	-2.43652173913043
hCG_18290	-0.449
OR5AS1	0.0425
SMARCC2	0.29025
FAM109A	-0.231
CCDC12	-0.395
USF2	0.5689
DEPDC7	-3.96475
C20orf24	-0.7235
JMJD3	0.8775
DSP	4.08392857142857
SLIC1	0.5485
FAM20A	0.007125
IRF2BP2	1.043375
ZNF230	0.03
MSN	-1.17664285714286
SLC9A5	-1.7795
EPDR1	-1.5173
MUSK	-0.558
