Hybridization REF	TCGA-A7-A0CH-11A-32R-A089-07
CTAGE4	0.3205
C9orf30	-1.366
OR52A1	0.07
HSP90B3P	-0.5575
ALG9	0.1018
BTBD10	0.446
SDK2	-0.202
BAIAP3	0.00175
RABGGTB	-0.85325
ANKRD40	-0.0496666666666667
KRT74	1.036
CALCOCO2	0.739142857142857
SNCA	-1.58625
TMSL8	-3.337625
C2orf53	-1.398
ESRRB	-0.976
ARHGAP26	-0.7515
TDRD9	-1.5365
HRAS	-0.0768333333333333
KLRC4	-2.4265
JAGN1	-0.0865
BSDC1	0.6465
RNF43	-0.406
NDUFAF1	0.526
PHF12	-0.03975
OR1L3	-0.321
FOLR2	3.70675
LYZL6	0.2
tcag7.1260	1.3375
WSB1	-0.470833333333333
PROS1	0.7341
OSTN	0.2115
PSMB8	0.3895
SOCS4	-0.2675
DDIT4L	3.12525
MAS1	0.152
MGC34796	0.7855
CSHL1	0.2045
TBCCD1	0.0836666666666667
ZBTB7C	-0.685
AP2S1	-0.756
P15RS	-0.7705
VAT1	-0.4174
SHANK3	1.61466666666667
TUFM	-0.279666666666667
THEG	-0.5365
KRT34	-2.027
SGSM3	0.02575
TOMM22	-0.023875
SOCS3	1.475
CPO	1.0055
POP4	0.175
BHLHB3	2.72475
MALL	2.092
OR1B1	0.2665
PARK2	1.62016666666667
GPR124	2.115
LCE1E	0.304
RUVBL2	-1.19875
CGRRF1	0.9451
ACPL2	0.06875
WNT10B	-0.938
BAIAP2L2	-2.033875
ISCA1	0.717
C1orf125	-0.3885
RPAP1	-0.778
RAI16	0.1295
RPL27	0.263125
NLRP9	-0.2075
EPN1	-0.696
LOC388610	-0.962625
SLC35A1	0.4534
GAL	-2.85125
SLC14A2	0.46175
RDH11	-1.03083333333333
FAM138F	-0.6125
AUH	0.7215
FLJ40243	0.14125
C14orf129	-0.0311666666666667
MBD2	-0.0459999999999998
ABHD14B	0.2125
PIGT	0.07875
ALS2CR4	-0.01875
ALAS1	-0.2433
FOXO1	3.041
CRLF3	-0.803125
C20orf107	0.1135
FARS2	0.58525
CCDC28A	1.077
NPHP3	0.41175
OR13F1	-0.1
TSEN54	-1.2305
DEFB106B	-0.0867
OR8B4	0.0865
STH	0.925
ZC3H14	-0.59775
CBX2	0.3845
TMEM49	-1.2835
C6orf21	-0.193
FLJ20920	1.1915
CRTAP	0.981785714285714
DDX50	0.09925
STYXL1	-0.692
BLVRB	0.2855
LOC147650	0.0215
MMP24	0.69275
GRID1	2.48866666666667
BANF1	-1.30666666666667
CTAGEP	-0.26525
HMBS	-2.33325
SLC25A24	-0.678166666666667
C14orf50	2.6245
MRO	0.743333333333333
SLC25A15	-1.51725
FAM84B	0.4506
TDP1	-1.3165
C16orf78	-0.0806666666666667
C11orf57	0.0945
RFK	-0.632625
ZFYVE9	-0.819375
STCH	-1.1201
WIBG	0.0775
LOC283871	-1.0375
GBA2	-0.8065
NDUFB3	0.19475
HSD17B13	3.273
GRIN3A	2.39133333333333
FMNL1	-0.6215
SEPT7	-0.2782
GNLY	3.3255
GRAMD1C	2.0925
ZNF165	-0.344
USP38	0.351
FAM83A	-3.734
C14orf24	0.266833333333333
ARMCX3	1.48725
ARHGDIB	0.359
AK1	0.624875
KIAA1045	1.8885
DNAJB13	-0.830333333333333
NEU2	-0.634
HIST1H4B	-0.779666666666667
FAM20B	-0.299
HES2	0.265714285714286
FAM73B	-0.4292
LOC388381	0.29375
INTS7	-1.24272727272727
AMPH	1.73575
ZNF775	-0.39925
UCKL1	-1.03633333333333
C10orf97	0.22125
C1orf161	-0.248
ALDH1L1	3.35275
FLJ39378	-0.118875
SLC23A1	-1.806
RBM4B	-0.33225
THAP4	-0.114833333333333
OGFRL1	1.0685
KIAA0831	0.36575
PPP1R15A	0.814833333333333
C1orf96	-0.421142857142857
C12orf11	-1.8905
BMF	0.24375
MAN1A1	-0.144125
KIAA1600	1.302
NLGN4X	1.11025
ALOX12	-1.301
RB1CC1	0.0742
NEIL2	1.2425
EIF4E	-0.238772727272727
ABHD5	0.17025
EXOC4	-0.377333333333333
CIP29	-0.6555
BATF2	0.76525
SLC29A4	1.27725
HTR4	0.66575
EMB	-0.10025
TRAF6	0.82275
LMNB1	-3.238
FAM19A5	-1.4655
SHE	3.441
PIK3C2B	1.9165
C15orf15	-0.2743
USP15	-0.1074
TCEAL2	2.893
C5orf39	0.4775
PTGER2	-0.09425
SLC31A1	-0.5905
IFT172	0.294
ADAM29	0.1195
GFOD1	2.20125
ST7L	0.611166666666667
C15orf26	-3.32525
PKN3	-0.76725
CNTD1	2.90266666666667
COMMD1	0.698125
NTRK2	4.976
FOXN3	2.29075
MFGE8	-0.1775
PFKFB2	0.544333333333333
TAS2R4	-0.05125
ENTHD1	-0.506333333333333
PRMT5	-1.307375
MGC16384	-0.593625
LOC442229	0.05375
TSKU	1.26875
KRTCAP3	1.841375
PDLIM1	1.3515
KCNS2	0.64275
RNF126	-0.426333333333333
CEP63	0.500625
CLIC4	0.192125
hCG_1990170	1.50575
ACR	1.0432
KLK7	4.226
ALOX5AP	3.25025
RIPK3	3.7735
TAS2R9	0.0895
C19orf18	2.028
BIRC6	-0.392428571428572
ZNF16	0.457
RFT1	-0.74675
SLC8A2	-0.8665
TACC1	2.096875
ITGAD	1.256
SAMHD1	1.73
SH3PXD2B	0.4984
EPC2	0.9435
C20orf85	0.5115
ATP13A2	-0.398666666666667
KRT4	0.257875
CAPNS1	-0.0775
MDM2	-0.203583333333333
PCDH20	1.157
KCNK9	-0.0015
OR2C1	-0.4095
KLHDC3	-0.924333333333333
IPPK	-0.235
EFHD2	0.023625
GALR3	0.5425
NBEA	1.38533333333333
ABCA6	5.794
CLDN3	1.6905
AKT2	0.289571428571429
EGFR	0.7751
RBM16	0.1255
ZDHHC3	0.5975
SLC25A4	0.217166666666667
CYB5B	-1.16716666666667
CPXM1	0.09175
NDRG1	-0.654307692307692
FLJ43826	0.19575
OR5L2	-0.0211666666666667
FARP2	0.3273
MRPL46	-0.272583333333333
LDHAL6B	0.177
MAPKAPK3	-0.815333333333333
NCAM2	-1.92975
PRKD2	0.057
ZFP36L1	1.2778
CYSLTR1	0.76
OR4C3	0.0565
HIST1H2AJ	1.7865
CCNB2	-3.87077777777778
ZNF10	0.467375
TMEM175	0.2685
FAM134A	0.199833333333333
TIGD4	-0.2845
PCNP	-0.45675
MGC39715	0.94
LQK1	-1.19525
CREB1	0.7157
TMPRSS3	-0.12975
C4orf32	2.061375
LAT	-1.52041666666667
KCNA3	0.415
SKIV2L2	-1.07975
ROPN1B	1.823
tcag7.23	-0.3105
CDT1	-4.04175
ZHX2	1.094375
CD28	-1.6525
ZNF624	1
SEPT2	-0.0896666666666666
SOHLH2	-1.228375
MCOLN3	-0.1255
UNQ1945	0.1945
MASP2	-1.0875
ZNRF3	-0.114
GPATCH3	-0.2945
AGL	0.52775
QRICH2	-0.5715
PSD4	0.171833333333333
CCNB1IP1	-1.2945
ENPP7	-0.13625
OBFC1	-0.3605
KCNG3	-2.28025
C14orf79	-0.582666666666667
ENPEP	2.45066666666667
SCT	-0.0685
SKI	0.96275
SEC61G	-0.872
CAPN11	1.31025
ATXN7L3	-0.8905
DBNDD1	-1.36783333333333
FAIM	0.88275
ANKRD36	-0.6355
GABRP	4.40766666666667
TACSTD2	2.05583333333333
EIF3J	-0.88375
PPP2R2A	-0.50525
TEKT4	-0.0773333333333333
PVALB	-3.04116666666667
F10	0.111333333333333
FAM134C	0.2802
COMP	2.512875
EFCBP1	-0.7476
SCLT1	0.898625
TAL1	-0.0609
ACSL1	3.8
ABCC5	-0.397416666666667
ABL1	-0.664
RBBP7	-0.64075
PTPRG	0.342625
NCOR1	-0.1959
SPINK4	-0.771666666666667
TXNRD1	-1.2118
TNRC15	1.01475
C9orf138	0.860125
UBE2H	0.766833333333333
BRDT	0.538166666666667
C8orf31	-0.35275
CCNE2	-3.68636363636364
SLC6A8	-1.999375
CALCR	-2.837
PPP1CB	0.902916666666667
ABHD8	-0.379
ARF5	-0.385
SLC24A4	1.965
CCT3	-0.7635
ZNF121	0.509625
SLC3A2	-1.4216
OR13A1	0.1105
SLC5A10	-0.395
RAD50	-0.04725
IER5	0.0995
MTHFD1L	-2.001875
MBTPS2	-0.51625
MVK	0.013375
NCL	-0.154
PSMD10	-1.0135
MOBP	-0.14725
FLJ32894	-1.1695
HRH1	0.744
C5orf30	0.69875
NUDT16L1	-0.1081
RASGRP3	4.27516666666667
PRKRIP1	-0.8299
CCDC75	1.48925
LOC253970	0.012
KIAA1239	2.38075
MED21	-0.512
SYT11	0.680166666666667
NTSR2	-0.295
EGFL11	0.488
CXorf59	0.696
OR2A25	-0.25675
SPTBN2	-0.9405
LRMP	0.332666666666667
RNF111	0.40225
PTH	-0.6735
LOC619208	0.698333333333333
KIAA0895	-0.34375
RANBP5	-0.570125
P2RY10	1.47166666666667
NME5	3.46933333333333
DDX21	-1.235
LRSAM1	-0.1415
HDAC11	-0.0606666666666667
VMO1	2.142
NOLA2	-0.819
ADAR	-0.559166666666667
MTO1	-0.944333333333333
SF4	-0.0978333333333333
P2RX1	-0.2705
HBM	1.99425
EN2	0.488
C14orf172	-0.146
TM9SF2	0.5859
INHBE	-2.074
TCTE3	-0.253333333333333
TOX2	-1.83825
CTAGE3	-0.0025
HBB	5.3781
MED15	-0.9065
CASR	0.10825
C6orf66	-0.443166666666667
MTPN	0.137
UNC50	-0.06925
C21orf33	0.776625
IRF2	1.214875
PGR	1.00766666666667
GPR84	0.78025
CROCCL1	-1.899
SRPX	1.3905
BRE	0.0598333333333333
FGF10	3.429
SDC3	0.0336666666666667
ZRSR1	0.2105
DKFZP434P211	-0.331375
SOX6	0.048
RPUSD2	-0.36425
C14orf173	0.208916666666667
MAPK11	0.189333333333333
TBC1D22A	0.48
FAM123A	-1.388
COL4A6	-1.25616666666667
TOMM70A	-0.06225
NAB1	0.87775
MGC16385	-0.427125
TSPAN18	1.0785
MED31	0.037
PLG	-0.6725
CAPSL	1.305
ZNF532	0.5736
ASB14	0.2345
CA8	0.11675
NUDT16P	1.5095
SLFN11	0.0035
LRRIQ2	-0.439375
NOL7	-0.613666666666667
BRMS1L	-0.65675
JARID1A	0.5555
PANK2	-0.42575
ICAM3	0.054
MDS1	1.03225
TAF8	-0.46225
RNF139	0.709
ZNF594	-0.268833333333333
ADAM8	1.082375
SFTPC	0.12675
MAN2B2	1.116625
RGS12	0.2799375
EIF1AY	-5.165
LRRIQ1	0.388333333333333
GPR150	1.035
CCDC21	-2.392
PRRG3	2.21275
SAA4	1.08475
RAPGEF5	1.932125
ZCCHC2	0.16375
MGC39372	0.652
PPP4R2	-0.668
CDCA2	-3.4935
OR4D5	-0.109166666666667
PTGFRN	-0.0962
SIGLEC5	2.38483333333333
C19orf61	-0.828166666666667
NMUR2	-0.0475
KIAA1586	-0.9125
DAGLA	0.294333333333333
CHCHD6	-0.24125
GPR32	0.2505
NEUROD6	0.145833333333333
SLC2A4RG	0.1351875
CA5B	0.58
FBXL3	2.0295
MPHOSPH9	-2.1315
HMG2L1	-0.16475
HCN4	0.372166666666667
CEACAM19	0.13275
SH2D4B	0.363
HFE2	-0.1045
TGM4	0.017
LYPD2	-0.0795
TBC1D15	0.4825
MRPS21	-0.2913
NONO	-1.2284
CLEC5A	0.190125
ITCH	0.1428
MGAT3	0.922666666666667
MBP	-0.07575
RPP25	-0.92325
SOSTDC1	2.51325
HRC	-0.1805
TRIM48	-0.262
TMEM133	1.31825
ECEL1P2	-1.89125
HOXC11	-1.526
DOK5	1.0505
HELZ	0.972666666666667
LOC348180	-1.15075
MGC33894	0.509
ADRB3	-0.238
DMD	1.73433333333333
PTRH2	-0.67275
MPEG1	3.7
NDUFA12	0.0598333333333333
KRTAP2-4	0.064
STAMBPL1	-0.649333333333333
ADCY2	1.07533333333333
UNQ6125	0.0755
KLHL20	0.500666666666667
SRM	-1.47375
OTC	0.49775
TMIE	0.370833333333333
SNX8	-0.08275
LIPK	-0.147
CHURC1	0.902666666666667
KLC2	-0.0243333333333333
HDAC1	-0.727
FAM128A	-0.73
FNDC3B	0.5431
MTCP1	-0.254833333333333
WFDC10B	-0.2611
PCDHGB3	0.483
ATRNL1	-0.2437
CAV2	2.553
MED26	-0.495166666666667
DUS1L	0.05575
CHRM3	-1.265
NEK9	-0.2215
WARS2	0.4885
TBX22	-0.549
TOMM40	-1.7245
RP6-213H19.1	-2.381
TUBGCP5	-0.29925
IGSF6	5.36575
TPPP	1.11933333333333
UNQ6190	0.1985
GSTM5	4.546
BTD	1.56266666666667
PDCD1LG2	0.863833333333333
SNRPB2	-0.357
ERICH1	0.63775
APOA4	-1.637125
HOXA11	-2.00575
NARG1	-0.838875
MKX	1.12675
RAB28	-0.4535
PKP3	-0.23325
SH3GL2	-1.65525
CTSO	2.79475
RPN2	-0.0925
IL28RA	0.298666666666667
SFMBT1	0.12125
WDR57	-1.001875
FER1L3	1.26816666666667
HSF5	0.606666666666667
TTC9B	-0.13125
C4BPA	-1.59716666666667
ALB	-3.31357142857143
SORBS3	0.523
UPF2	-0.4695
JPH1	-0.754
AGBL2	-0.54775
DOPEY1	2.0825
TERF1	-0.00375
KIF22	-1.65366666666667
NINJ1	0.915
SEC61A2	-1.26008333333333
HIST1H1D	-0.722333333333333
SFXN4	-0.619375
UCP3	-0.0505
ZNF703	0.0831666666666667
MYL6B	-0.82725
TREM1	1.4635
OR52E6	-0.41
CKMT2	4.59425
HLA-C	2.33575
SLC13A3	-1.208
TIMP4	4.322
SLIT2	4.14925
RSF1	0.162166666666667
LONRF1	-0.206714285714286
MON1A	-0.353833333333333
CACNG6	-2.23966666666667
DPPA4	-5.3325
ZSWIM3	0.04825
ZNF804A	0.134833333333333
CCIN	1.62925
SLC25A31	0.35925
KCNMB4	-0.4135
RABL5	0.001125
GALNS	-0.6814
STX6	0.512375
HIST1H1C	-0.681
CIDEB	0.039625
CASP4	0.843666666666667
PDK3	-1.1622
KCNJ11	0.5345
TPR	-0.452625
ZSCAN20	-0.6015
MTX2	-0.368
HIST1H2BH	-0.80575
LOC283767	2.41275
LYRM7	-0.811944444444444
BRD3	-0.597
HIST1H2BO	-0.89025
MAGEB10	0.0745
SLC45A1	0.97625
SERPINA3	0.69895
KIAA0143	0.91075
KCNJ16	5.04133333333333
KRT79	-0.618
FABP2	-0.9745
NUT	-0.17775
ZNF57	-0.116
FBXL4	0.167
CLEC9A	0.796
UGT8	0.145666666666667
BMP2K	0.62475
MAPK4	-2.23975
SLC25A23	-0.8128
HINT1	-0.2795
KRTAP13-1	0.871
SFXN5	-1.0079
CHCHD2	-0.19025
FAM3D	4.068
NDP	-0.528625
RHOBTB1	-0.0333333333333333
SLC4A4	0.535
RPL38	0.34
HTF9C	-0.110166666666667
AP2A2	0.54425
ZBTB46	-0.8815
MAP7D1	1.48675
AOX1	0.915666666666667
CYR61	2.43958333333333
DTNA	0.021
JRKL	0.93025
TMOD3	-0.1015
EEA1	0.3234
ADCK5	-0.80225
IL1R1	2.75083333333333
KLK3	0.588142857142857
HRSP12	-0.24425
KTN1	0.34475
LOH11CR2A	1.1264
RELL2	-2.17325
MAB21L1	3.64275
C20orf59	-1.8665
PHKB	0.352
ADAM2	-1.63466666666667
TBC1D8B	1.41333333333333
FAM13A1	0.44225
LAPTM4B	-1.7855
LCN8	-0.012
TMEM147	-0.0555
SYT4	0.571666666666667
XPO7	-1.6135
C9orf62	0.72375
GPR75	0.594
TRIM5	0.36925
APOC1	-0.404166666666667
RNASE4	1.57316666666667
PARD6B	-1.827875
ARID1A	-0.1775
TPD52L3	0.2044
RRAGB	0.609166666666667
RCN2	-0.745
HIST2H2BE	-0.625125
STARD7	0.09675
SHMT2	-1.9255
KIAA1751	-0.0838333333333334
MLYCD	0.81375
LOC162632	-0.7477
UQCRH	-1.1715
RP11-217H1.1	0.136625
SDHA	-1.24333333333333
NCLN	-0.5848
ZNF17	0.7555
RCBTB2	-0.3905
VEGFB	0.9829
RP4-747L4.3	-0.547
COLQ	0.355
MPN2	0.102833333333333
DRG2	-0.28225
KLRB1	5.027
ALPK2	-3.453
DNASE2B	3.92025
FLJ23834	-0.0156666666666667
AXUD1	2.21816666666667
SAFB	-0.3599
NSUN4	-0.51025
RFX2	0.886166666666667
MAPK8IP1	-0.0773333333333333
FANCD2	-1.84214285714286
ANKZF1	-1.49616666666667
C19orf50	-0.449375
DUSP8	1.62275
SENP5	-0.627125
NFKBIL2	-1.3925
LBR	-0.6455
IGFL1	1.4165
LZTS2	0.50225
IL2RG	-0.501
CCDC51	-0.25075
KLF3	0.2005
ANKRD37	-0.2015
KCTD14	0.432666666666667
FZR1	-0.39375
SLC44A4	1.9821
ESPL1	-1.724
GMPR2	-0.5485
TBC1D19	-0.809166666666667
ERGIC1	1.02333333333333
ERBB4	2.728
TSPAN32	0.555916666666667
MAP4	-0.351625
GPHN	-0.6935
SLC6A2	2.4445
HIVEP1	0.34325
DFFB	-0.795
EIF4EBP2	0.705375
DMRT1	-0.999
HSPB6	1.67075
IER2	0.4885
AIFM1	-0.1005
WWC2	0.69825
MRPL4	-0.8525
FLJ21062	1.7785
EPB41L4A	1.69225
SH2D6	0.04325
TAF4B	-0.9735
GAL3ST3	-0.348
MALT1	-0.751833333333333
RTDR1	0.07325
ARVCF	-0.14775
MEX3B	-1.34133333333333
FBXO16	0.17025
KIF7	-1.0705
C1QC	4.43783333333333
ZNF783	-0.825166666666667
ZNF85	-0.7245
MMP13	-0.533
KIAA0329	0.585625
RTP3	0.06
ZBED3	1.16325
CLGN	-1.6895
SLC25A37	-0.932208333333333
hCG_18290	0.51825
OR5AS1	-0.388
SMARCC2	0.491583333333333
FAM109A	-0.813166666666667
CCDC12	0.0655
USF2	0.0741
DEPDC7	-3.2715
C20orf24	-0.942333333333333
JMJD3	0.093
DSP	0.388428571428571
SLIC1	0.64375
FAM20A	2.098625
IRF2BP2	0.912
ZNF230	-0.207
MSN	-0.484357142857143
SLC9A5	-1.863
EPDR1	0.6094
MUSK	-0.158666666666667
ZNF434	0.2925
