Hybridization REF	TCGA-B6-A0RP-01A-21R-A084-07
C5orf26	-0.912
C11orf73	-0.27775
PTP4A2	1.17225
OR4M2	0.221
HPCA	-0.738166666666667
SEC14L1	-0.8405
CHFR	-0.7405
EMILIN1	0.992875
NDUFS4	-0.56
COL18A1	0.420375
PDZD3	-0.0128
C9orf16	-0.350166666666667
ERBB2IP	0.211833333333333
EMX2	3.2465
FUS	-0.5775
TF	-3.6201
CLCN4	-0.374333333333333
CXorf56	0.24875
C11orf72	0.20875
ELAC2	-0.438416666666667
NPR1	-0.58975
ASS1	-2.62216666666667
USP42	0.173125
POLR2J	-1.0915
SEC23IP	0.778666666666667
UQCRC1	0.1655
LOC729603	-0.456
C1orf71	0.404625
POLG	-2.6835
ADAM23	-2.7895
TFR2	-1.509
RICTOR	-0.9664
MGC39606	-0.26875
C19orf55	-0.259875
SNAPC1	-1.61866666666667
GNA11	0.8135
CCDC52	0.802
FSIP1	4.128
UPF3A	-0.76975
IGSF11	-1.9045
LAGE3	0.62275
CHST6	-0.572
UNC13B	1.182125
TTLL4	-1.013125
ZNF687	0.79475
SDC2	0.2292
COX7A2	-0.33175
LAMB4	-0.379
FAM24A	0.293
LRRTM3	-0.699666666666667
GPHB5	0.186
OR4C13	-0.089
EIF3EIP	-0.246857142857143
HABP4	-0.2395
TMEM125	3.70425
CNTN2	-0.059625
ASNSD1	-0.33025
FUT4	-0.335875
ACF	-3.60925
LOC158381	0.756
CDH8	0.04325
AGPS	-2.3935
C4orf18	4.02325
PECI	0.221666666666667
UNG	-0.915125
GSTP1	-1.877875
DCUN1D5	-1.23783333333333
DKFZP564J0863	-0.70275
SLC9A3R1	0.395
BCDO2	-0.468
CHMP7	0.596
REM2	0.2585
DNHD1	-0.37725
FKBP4	-0.996125
ZNF350	2.04275
MGC11102	-0.17325
BST1	1.90575
KISS1R	0.7105
NCR2	-0.0185
DEFB125	0.132
UBE2W	0.96225
KRT15	-2.709
C10orf99	0.252
SCN11A	0.530625
GFI1	-2.1535
RDHE2	3.04133333333333
FHL1	-0.736666666666667
OSGEP	-0.0728333333333333
GATA1	-3.22016666666667
SMC6	-0.89425
TTTY14	-0.91325
LPIN3	0.1745
RPL4	-0.9663
RBPMS	-0.1226
PRPF3	-0.367333333333333
EMR1	-1.1975
SPATA19	-0.042
XCR1	0.4635
IRX3	1.5564
RBM6	-0.1785
KLF4	1.4397
UNC5CL	-0.58325
SEBOX	-0.443
BTK	-0.28975
KRCC1	1.77475
C6orf27	0.3915
SYTL5	-0.491
PRND	2.781
LOC653319	-1.3885
PIGL	-0.668875
HUS1	-0.616833333333333
SFRS6	0.1985
C17orf77	0.2055
UIMC1	-0.5845
FXYD2	-1.8712
LOC283152	2.711
ZNF667	-0.9805
ZCCHC12	-0.21525
TFEC	2.6199
ATP7B	0.726833333333333
POLD2	-1.13316666666667
RG9MTD1	0.097
ACOT2	0.665333333333333
HIST1H4I	-1.026875
PPARGC1A	-1.9692
ETFA	-2.2269
POLRMT	-0.32025
ZNF146	-0.064375
MIA2	-1.6795
KLHL6	-0.727
HOXB5	1.797
NENF	0.956333333333333
CUGBP1	0.28525
PRSS22	1.939
CASC4	0.984
CUL4B	0.1316
CENPJ	-2.144
PITX1	0.430333333333333
FLJ31033	1.14966666666667
CELSR3	-1.31633333333333
ZNF568	1.1075
ITSN1	-0.838833333333333
EHBP1L1	-0.4685
C19orf2	-0.76325
DCTN1	0.40825
LIN28B	-3.05966666666667
TNKS2	-1.60125
C1QBP	-0.687125
CADPS2	1.5805
SRMS	0.32625
GJA9	0.165
MGC24975	-1.229
TRIM45	-0.033
TSP50	-0.33025
TCP1	-1.3705
TMED7	0.2989
CMA1	-0.064
CENPL	-1.0975
PTCRA	0.182
FST	-1.9935
VWCE	-3.451
PAWR	-1.0325
ABCC12	-0.0165
LDLR	-0.6301
ASTN2	1.5527
LOC441212	-0.767125
GPATCH8	0.02175
TANC2	0.255333333333333
KIF4A	-2.6765
C18orf18	-1.232
PGM1	-1.01975
KIAA0258	0.6975
CPD	0.96875
SNCAIP	-1.1285
DCT	-4.08116666666667
HLA-DOA	2.38527272727273
OR11L1	0.355
UPK1B	-0.186
DNAJB4	0.02475
UGT1A8	-0.6705
HIST1H4L	-2.071
PECR	-1.00166666666667
HSPA2	1.68475
WFIKKN1	-2.5435
SERP1	1.5835
SYDE2	0.592
TACR2	0.572
NUP85	-0.5095
CD177	2.6015
LGR5	-1.52166666666667
PIGG	0.274166666666667
PTHR1	-0.7225
RAB5A	0.7608
FLJ13224	-0.437
USP9Y	-1.27333333333333
C7orf53	-1.391
LRP1B	-0.83275
XAF1	1.7467
ABCG8	-1.266
ANKDD1A	-0.427833333333333
DAND5	-1.6245
SPAG6	0.22
LINCR	1.677
ZDHHC22	-1.6155
CCDC60	0.7575
THOC7	-0.946833333333333
TCTA	1.2709
OR8K3	0.38625
NY-REN-7	-0.53525
B2M	1.36933333333333
C6orf141	-3.106125
LPPR4	1.605
SQLE	-1.65325
SEPHS1	-0.74175
BTBD14B	-0.0248571428571429
PLRG1	-0.29875
SPG7	-0.54875
ZNF614	-0.266166666666667
PARD6G	0.954
INPP5B	-0.4645
GRPEL2	-0.38525
PPID	-0.7535
TRIM56	-0.2455
UBE2J1	-0.494375
IL20RA	4.07025
LOC387856	0.28075
C1orf107	0.932916666666667
UTS2R	0.7575
C19orf22	-0.1395
SAFB2	-0.1245
KIAA0652	0.1675
KLRG1	-0.435
MS4A8B	0.6025
FRAG1	0.29725
KIAA1546	0.11075
E2F4	-1.2973
CLEC4M	0.308
BTBD14A	-1.497
KIAA0999	1.8614
GYPA	-3.2845
TAC1	1.1261
TRAIP	-1.13416666666667
KIAA0232	0.1695
ERCC8	-1.604375
GPX4	0.44825
KIAA0368	-0.48925
GPR157	-0.988
CTAGE4	1.573
C9orf30	-1.64066666666667
OR52A1	0.0265
HSP90B3P	-0.82
ALG9	-0.2614
BTBD10	0.59875
SDK2	-0.0625
BAIAP3	0.4405
RABGGTB	-1.49825
ANKRD40	-0.193333333333333
KRT74	0.1875
CALCOCO2	0.329071428571429
SNCA	-2.75625
TMSL8	-3.404
C2orf53	0.3955
ESRRB	-0.32575
ARHGAP26	-1.18075
TDRD9	-2.25075
HRAS	-0.4465
KLRC4	-1.958
JAGN1	0.233
BSDC1	0.341
RNF43	-1.3446
NDUFAF1	0.24975
PHF12	0.405
OR1L3	0.11775
FOLR2	1.46716666666667
LYZL6	0.428333333333333
tcag7.1260	-1.6655
WSB1	-1.31716666666667
PROS1	-0.7837
OSTN	0.4805
PSMB8	1.0015
SOCS4	-0.1785
DDIT4L	3.18975
MAS1	0.096
MGC34796	1.63825
CSHL1	0.378666666666667
TBCCD1	0.344
ZBTB7C	0.3845
AP2S1	-0.496
P15RS	-0.22
VAT1	0.0937
SHANK3	0.883
TUFM	0.066
THEG	-0.621
KRT34	-1.75175
SGSM3	0.206375
TOMM22	-0.557375
SOCS3	0.954666666666667
CPO	0.5275
POP4	0.51
BHLHB3	1.14225
MALL	0.876
OR1B1	0.2465
PARK2	0.168
GPR124	0.521
LCE1E	0.369
RUVBL2	-0.70775
CGRRF1	1.0115
ACPL2	1.42375
WNT10B	-1.949375
BAIAP2L2	-2.279375
ISCA1	0.1385
C1orf125	0.77425
RPAP1	-0.504
RAI16	0.5985
RPL27	-0.350625
NLRP9	0.4765
EPN1	0.0455
LOC388610	-0.2
SLC35A1	1.6151
GAL	-3.699
SLC14A2	0.30375
RDH11	-0.501
FAM138F	-0.301
AUH	0.182
FLJ40243	0.2235
C14orf129	0.612666666666667
MBD2	-0.916666666666667
ABHD14B	0.466625
PIGT	0.3325
ALS2CR4	-0.70975
ALAS1	0.4599
FOXO1	1.28683333333333
CRLF3	-0.199375
C20orf107	-0.199
FARS2	1.3605
CCDC28A	1.448
NPHP3	-0.47975
OR13F1	0.612
TSEN54	-0.2725
DEFB106B	0.2244
OR8B4	0.2985
STH	2.3595
ZC3H14	-0.3405
CBX2	-0.2975
TMEM49	-0.1155
C6orf21	0.4355
FLJ20920	1.772625
CRTAP	0.389357142857143
DDX50	0.13425
STYXL1	0.60625
BLVRB	0.206833333333333
LOC147650	-0.816
MMP24	0.2475
GRID1	0.9415
BANF1	-0.802333333333333
CTAGEP	0.6165
HMBS	-1.93425
SLC25A24	0.0485
C14orf50	2.655
MRO	0.2065
SLC25A15	-1.629
FAM84B	1.4319
TDP1	-0.7105
C16orf78	-0.00433333333333334
C11orf57	-0.519875
RFK	-1.0615
ZFYVE9	-1.852875
STCH	-0.7033
WIBG	0.367
LOC283871	-0.6045
GBA2	-0.3835
NDUFB3	-0.46225
HSD17B13	-0.27075
GRIN3A	0.816833333333333
FMNL1	-0.149833333333333
SEPT7	-0.3519
GNLY	4.015
GRAMD1C	0.617
ZNF165	0.48625
USP38	0.56275
FAM83A	-3.20683333333333
C14orf24	0.4265
ARMCX3	0.4505
ARHGDIB	0.888833333333333
AK1	0.243
KIAA1045	-0.412
DNAJB13	-0.277666666666667
NEU2	1.1
HIST1H4B	-1.83633333333333
FAM20B	0.1842
HES2	-0.533642857142857
FAM73B	-0.4618
LOC388381	-0.31275
INTS7	-0.345909090909091
AMPH	1.6515
ZNF775	0.1325
UCKL1	-0.691833333333333
C10orf97	-0.248
C1orf161	0.08275
ALDH1L1	-0.59925
FLJ39378	-0.017375
SLC23A1	-1.183
RBM4B	0.51
THAP4	1.088
OGFRL1	1.38925
KIAA0831	0.593875
PPP1R15A	0.497666666666667
C1orf96	0.0190714285714286
C12orf11	-2.2015
BMF	0.44475
MAN1A1	0.35375
KIAA1600	1.01783333333333
NLGN4X	-0.20825
ALOX12	-0.985833333333333
RB1CC1	0.0209
NEIL2	1.0197
EIF4E	-0.0373181818181818
ABHD5	-0.143
EXOC4	0.079
CIP29	-0.223833333333333
BATF2	0.4035
SLC29A4	-1.05325
HTR4	0.101
EMB	-1.3475
TRAF6	1.1185
LMNB1	-3.18275
FAM19A5	-0.463625
SHE	1.1885
PIK3C2B	1.08625
C15orf15	-0.5562
USP15	0.0604
TCEAL2	0.8115
C5orf39	-0.487166666666667
PTGER2	-0.595
SLC31A1	-0.8355
IFT172	0.83475
ADAM29	0.091
GFOD1	0.774
ST7L	0.577166666666667
C15orf26	-2.07975
PKN3	-1.22075
CNTD1	3.34283333333333
COMMD1	0.6055
NTRK2	1.53483333333333
FOXN3	-0.00137499999999999
MFGE8	-0.4065
PFKFB2	0.6525
TAS2R4	0.1075
ENTHD1	0.0716666666666667
PRMT5	-0.35675
MGC16384	-1.284
LOC442229	-0.487
TSKU	0.47275
KRTCAP3	3.39025
PDLIM1	1.555
KCNS2	0.103
RNF126	-0.701666666666667
CEP63	0.160875
CLIC4	-0.139375
hCG_1990170	-1.1525
ACR	0.4467
KLK7	-0.633
ALOX5AP	3.99425
RIPK3	1.99775
TAS2R9	0.3495
C19orf18	1.3445
BIRC6	-0.0365
ZNF16	1.1395
RFT1	0.01875
SLC8A2	-0.70375
TACC1	-0.36475
ITGAD	0.7915
SAMHD1	0.73325
SH3PXD2B	1.2662
EPC2	1.3035
C20orf85	0.36525
ATP13A2	-0.4795
KRT4	0.324125
CAPNS1	0.06225
MDM2	-0.930166666666667
PCDH20	1.2015
KCNK9	0.4665
OR2C1	-0.1965
KLHDC3	-0.752166666666667
IPPK	0.4895
EFHD2	-0.170625
GALR3	0.69575
NBEA	0.439
ABCA6	2.4976
CLDN3	1.10683333333333
AKT2	-0.559142857142857
EGFR	-2.1202
RBM16	0.382
ZDHHC3	0.6666
SLC25A4	-1.88766666666667
CYB5B	-0.904333333333333
CPXM1	-0.06825
NDRG1	-0.786923076923077
FLJ43826	0.23125
OR5L2	0.163666666666667
FARP2	0.4506
MRPL46	-0.473416666666667
LDHAL6B	0.3015
MAPKAPK3	-0.0425
NCAM2	-1.91175
PRKD2	0.640833333333333
ZFP36L1	1.0577
CYSLTR1	-1.118
OR4C3	0.00799999999999999
HIST1H2AJ	1.3985
CCNB2	-3.36322222222222
ZNF10	-0.24175
TMEM175	0.5685
FAM134A	1.452
TIGD4	0.127
PCNP	0.17125
MGC39715	-0.2515
LQK1	-2.33125
CREB1	0.4627
TMPRSS3	-0.444
C4orf32	2.581875
LAT	-1.3005
KCNA3	-0.694
SKIV2L2	-0.91125
ROPN1B	-4.27025
tcag7.23	-0.5175
CDT1	-3.58775
ZHX2	1.813875
CD28	-3.241
ZNF624	1.5735
SEPT2	0.528916666666667
SOHLH2	-0.22725
MCOLN3	-0.751375
UNQ1945	0.4995
MASP2	-0.971
ZNRF3	0.3805
GPATCH3	-0.11075
AGL	-0.260875
QRICH2	-0.773
PSD4	1.85816666666667
CCNB1IP1	-2.3395
ENPP7	0.05425
OBFC1	0.359
KCNG3	-1.92175
C14orf79	1.50508333333333
ENPEP	1.76466666666667
SCT	1.817
SKI	0.548
SEC61G	-1.895
CAPN11	0.3995
ATXN7L3	-0.3515
DBNDD1	-0.6435
FAIM	0.26125
ANKRD36	-1.2355
GABRP	-0.602666666666667
TACSTD2	2.60583333333333
EIF3J	-0.90125
PPP2R2A	0.06175
TEKT4	-0.0593333333333333
PVALB	-3.66533333333333
F10	-2.35383333333333
FAM134C	1.0015
COMP	4.53125
EFCBP1	-2.52725
SCLT1	-0.541125
TAL1	-1.0393
ACSL1	5.20417042793042e-18
ABCC5	0.968583333333333
ABL1	-0.595388888888889
RBBP7	-0.201833333333333
PTPRG	-0.22
NCOR1	0.5447
SPINK4	-2.08
TXNRD1	-2.1557
TNRC15	0.641625
C9orf138	1.187375
UBE2H	0.428666666666667
BRDT	0.161666666666667
C8orf31	0.04975
CCNE2	-1.41309090909091
SLC6A8	-1.92725
CALCR	-3.57875
PPP1CB	0.795666666666667
ABHD8	0.299
ARF5	0.3719
SLC24A4	0.3835
CCT3	-0.4245
ZNF121	-0.198875
SLC3A2	-1.0542
OR13A1	0.0535
SLC5A10	-0.17575
RAD50	0.133125
IER5	0.223125
MTHFD1L	-2.144875
MBTPS2	0.23525
MVK	-0.72225
NCL	-0.2667
PSMD10	-0.26375
MOBP	0.043125
FLJ32894	-0.5285
HRH1	-0.768
C5orf30	1.64075
NUDT16L1	0.9874
RASGRP3	3.07733333333333
PRKRIP1	-0.242
CCDC75	-0.37175
LOC253970	0.193
KIAA1239	0.11225
MED21	-0.83075
SYT11	0.823666666666667
NTSR2	0.195
EGFL11	0.0665
CXorf59	0.166
OR2A25	0.1335
SPTBN2	-1.46725
LRMP	-1.01033333333333
RNF111	0.12975
PTH	-0.017
LOC619208	1.10516666666667
KIAA0895	1.2615
RANBP5	-1.643125
P2RY10	0.854833333333333
NME5	3.33833333333333
DDX21	-1.4425
LRSAM1	0.206
HDAC11	1.71883333333333
VMO1	2.3725
NOLA2	-0.561333333333333
ADAR	1.15466666666667
MTO1	-0.5725
SF4	0.250666666666667
P2RX1	0.0141666666666667
HBM	0.1295
EN2	0.8165
C14orf172	0.00625
TM9SF2	-0.0184
INHBE	-0.9085
TCTE3	0.105416666666667
TOX2	-0.6485
CTAGE3	0.254875
HBB	3.6713
MED15	-0.929666666666667
CASR	-0.08425
C6orf66	-1.28
MTPN	-0.86775
UNC50	0.542
C21orf33	0.12525
IRF2	0.91675
PGR	1.352
GPR84	2.92475
CROCCL1	-2.12375
SRPX	-0.63225
BRE	0.715333333333333
FGF10	0.90725
SDC3	-0.00816666666666666
ZRSR1	0.158
DKFZP434P211	-0.03875
SOX6	-0.1795
RPUSD2	0.26375
C14orf173	-0.424833333333333
MAPK11	-0.466333333333333
TBC1D22A	0.7635
FAM123A	-0.216
COL4A6	-2.40833333333333
TOMM70A	0.26775
NAB1	0.143375
MGC16385	-0.403625
TSPAN18	-0.381666666666667
MED31	-0.16725
PLG	-0.202
CAPSL	1.5105
ZNF532	0.9755
ASB14	0.53025
CA8	0.1555
NUDT16P	2.25583333333333
SLFN11	-0.949
LRRIQ2	0.4075
NOL7	-0.442666666666667
BRMS1L	-0.658625
JARID1A	0.138666666666667
PANK2	-0.53575
ICAM3	-0.27625
MDS1	-0.25775
TAF8	-0.80775
RNF139	1.37
ZNF594	0.6965
ADAM8	2.63175
SFTPC	-0.07
MAN2B2	1.4955
RGS12	0.73325
EIF1AY	-4.80516666666667
LRRIQ1	-1.58733333333333
GPR150	0.9765
CCDC21	-1.4275
PRRG3	0.231
SAA4	-4.044
RAPGEF5	0.86075
ZCCHC2	-0.29625
MGC39372	1.9905
PPP4R2	0.285166666666667
CDCA2	-2.63433333333333
OR4D5	0.230666666666667
PTGFRN	0.9394
SIGLEC5	2.45716666666667
C19orf61	0.0238333333333333
NMUR2	0.522
KIAA1586	-1.17
DAGLA	0.553666666666667
CHCHD6	-0.34325
GPR32	0.725
NEUROD6	0.0855
SLC2A4RG	0.131625
CA5B	0.21475
FBXL3	1.21875
MPHOSPH9	-1.1755
HMG2L1	0.071
HCN4	0.626166666666667
CEACAM19	-0.38025
SH2D4B	0.490166666666667
HFE2	-0.6945
TGM4	0.0728333333333333
LYPD2	0.174
TBC1D15	0.25675
MRPS21	-0.0219
NONO	-0.9703
CLEC5A	2.977125
ITCH	-0.2266
MGAT3	-1.04666666666667
MBP	-0.184125
RPP25	-1.0835
SOSTDC1	-3.1665
HRC	-1.4325
TRIM48	0.1765
TMEM133	1.3095
ECEL1P2	-0.99875
HOXC11	-0.8765
DOK5	0.827
HELZ	0.126333333333333
LOC348180	-0.99625
MGC33894	0.26
ADRB3	0.082
DMD	-0.00558333333333333
PTRH2	-0.70975
MPEG1	2.94866666666667
NDUFA12	-0.451833333333333
KRTAP2-4	0.08175
STAMBPL1	-1.30633333333333
ADCY2	1.26733333333333
UNQ6125	0.237
KLHL20	0.288333333333333
SRM	-1.46325
OTC	0.0385
TMIE	0.3415
SNX8	-0.0725
LIPK	-0.2465
CHURC1	-0.26925
KLC2	0.220833333333333
HDAC1	-1.0525
FAM128A	0.414833333333333
FNDC3B	0.3111
MTCP1	-0.301666666666667
WFDC10B	-0.0843
PCDHGB3	0.032
ATRNL1	-1.7506
CAV2	-0.237375
MED26	0.196166666666667
DUS1L	0.23
CHRM3	-1.497
NEK9	0.8925
WARS2	1.22275
TBX22	-0.7795
TOMM40	-1.26375
RP6-213H19.1	-3.11283333333333
TUBGCP5	-0.584
IGSF6	4.52925
TPPP	0.438666666666667
UNQ6190	0.0505
GSTM5	1.28225
BTD	1.777
PDCD1LG2	0.119
SNRPB2	-0.709333333333333
ERICH1	-0.192125
APOA4	-1.657375
HOXA11	-0.67675
NARG1	-0.275375
MKX	0.02775
RAB28	0.115428571428571
PKP3	1.23775
SH3GL2	-1.25925
CTSO	3.39875
RPN2	-0.1843125
IL28RA	0.713666666666667
SFMBT1	0.821
WDR57	-0.5475
FER1L3	1.21625
HSF5	0.204833333333333
TTC9B	0.43875
C4BPA	-3.62833333333333
ALB	-3.80028571428571
SORBS3	0.61625
UPF2	-0.0295
JPH1	-0.0485
AGBL2	2.28875
DOPEY1	1.451
TERF1	-0.140166666666667
KIF22	-0.690833333333333
NINJ1	1.34925
SEC61A2	-0.887666666666667
HIST1H1D	-1.503
SFXN4	-0.068625
UCP3	0.3343
ZNF703	0.828333333333333
MYL6B	-0.6245
TREM1	2.39125
OR52E6	-0.0615
CKMT2	0.98675
HLA-C	2.275375
SLC13A3	-1.86133333333333
TIMP4	-0.79625
SLIT2	2.03575
RSF1	-0.108333333333333
LONRF1	-0.162928571428571
MON1A	0.433333333333333
CACNG6	-1.65933333333333
DPPA4	-5.15733333333333
ZSWIM3	0.6335
ZNF804A	0.496833333333333
CCIN	1.50275
SLC25A31	0.366
KCNMB4	0.43275
RABL5	0.67725
GALNS	-0.1017
STX6	0.71375
HIST1H1C	-3.031
CIDEB	0.63575
CASP4	0.479333333333333
PDK3	-0.1468
KCNJ11	2.1205
TPR	-0.119375
ZSCAN20	0.1605
MTX2	-0.221
HIST1H2BH	-1.2545
LOC283767	0.51375
LYRM7	-1.60027777777778
BRD3	-0.238666666666667
HIST1H2BO	-1.42825
MAGEB10	0.748
SLC45A1	1.959
SERPINA3	1.9691
KIAA0143	1.6045
KCNJ16	-0.0796666666666667
KRT79	-0.63375
FABP2	-0.5695
NUT	0.08125
ZNF57	-0.223
FBXL4	1.05275
CLEC9A	0.8555
UGT8	-0.990666666666666
BMP2K	-0.072
MAPK4	-3.696
SLC25A23	-0.2328
HINT1	-1.2432
KRTAP13-1	0.2035
SFXN5	0.3608
CHCHD2	-0.166083333333333
FAM3D	0.4455
NDP	1.829125
RHOBTB1	-0.492
SLC4A4	-0.944625
RPL38	-0.1175
HTF9C	-0.5185
AP2A2	0.71975
ZBTB46	-0.1435
MAP7D1	0.306
AOX1	1.1645
CYR61	2.42241666666667
DTNA	0.182071428571429
JRKL	-0.6845
TMOD3	-0.85
EEA1	-0.0915
ADCK5	-0.45475
IL1R1	0.993
KLK3	0.386357142857143
HRSP12	-0.223
KTN1	0.205
LOH11CR2A	1.2443
RELL2	-1.5825
MAB21L1	0.8675
C20orf59	-1.24383333333333
PHKB	-0.52675
ADAM2	-1.64233333333333
TBC1D8B	2.04066666666667
FAM13A1	-1.1316875
LAPTM4B	-1.204
LCN8	0.193
TMEM147	0.334
SYT4	-0.451833333333333
XPO7	-0.2005
C9orf62	0.76525
GPR75	0.248
TRIM5	0.0885
APOC1	-0.0355
RNASE4	2.2265
PARD6B	-0.291625
ARID1A	0.2695
TPD52L3	0.0444
RRAGB	1.05216666666667
RCN2	-1.30016666666667
HIST2H2BE	-0.4293125
STARD7	-0.10125
SHMT2	-1.711
KIAA1751	-0.061
MLYCD	0.35075
LOC162632	-0.196
UQCRH	-1.84225
RP11-217H1.1	0.206875
SDHA	-0.770666666666667
NCLN	-0.4833
ZNF17	0.509833333333333
RCBTB2	-1.305
VEGFB	0.1247
RP4-747L4.3	0.16925
COLQ	0.8931
MPN2	-0.749166666666667
DRG2	-0.07675
KLRB1	3.85075
ALPK2	-1.4935
DNASE2B	0.71925
FLJ23834	-0.181833333333333
AXUD1	1.74
SAFB	-0.2507
NSUN4	-0.14225
RFX2	0.211333333333333
MAPK8IP1	0.468833333333333
FANCD2	-1.53707142857143
ANKZF1	-1.29716666666667
C19orf50	-0.245625
DUSP8	0.881875
SENP5	-0.274
NFKBIL2	-0.94375
LBR	-1.559375
IGFL1	-0.0095
LZTS2	0.54625
IL2RG	-0.5515
CCDC51	0.34825
KLF3	0.896375
ANKRD37	-0.7375
KCTD14	-1.72316666666667
FZR1	0.084
SLC44A4	4.2891
ESPL1	-1.241375
GMPR2	0.3884
TBC1D19	0.0241666666666667
ERGIC1	0.582259259259259
ERBB4	2.3012
TSPAN32	0.10475
MAP4	0.18175
GPHN	-0.65225
SLC6A2	-0.264875
HIVEP1	-0.753
DFFB	-0.2221
EIF4EBP2	0.287625
DMRT1	-0.22775
HSPB6	-0.032
IER2	1.7265
AIFM1	-0.61775
WWC2	0.094
MRPL4	-0.54625
FLJ21062	1.159
EPB41L4A	1.00983333333333
SH2D6	0.2595
TAF4B	-1.6475
GAL3ST3	-0.018
MALT1	-1.2815
RTDR1	-0.39575
ARVCF	0.244375
MEX3B	-0.7855
FBXO16	2.2045
KIF7	-0.97225
C1QC	3.86716666666667
ZNF783	-0.670833333333333
ZNF85	0.28925
MMP13	5.1585
KIAA0329	0.811625
RTP3	-0.3495
ZBED3	-0.341
CLGN	-0.24525
SLC25A37	-1.325875
hCG_18290	0.45225
OR5AS1	0.1125
SMARCC2	0.309833333333333
FAM109A	0.0361666666666667
CCDC12	0.06075
USF2	0.4116
DEPDC7	-1.08425
C20orf24	-0.8675
JMJD3	0.3265
DSP	0.3635
SLIC1	0.630875
FAM20A	1.47775
IRF2BP2	0.959375
ZNF230	0.8195
MSN	-0.355785714285714
SLC9A5	-1.7195
EPDR1	-1.0195
MUSK	-0.1215
ZNF434	0.296333333333333
SMARCD1	-0.665166666666667
