Hybridization REF	TCGA-A8-A07O-01A-11R-A00Z-07
SLC25A46	-1.20025
LARP7	-1.8419
CD160	0.728166666666667
MT1JP	2.37083333333333
PHF20	-0.368
CPNE4	-1.4955
GTPBP1	-0.0118571428571429
RAB33B	1.01383333333333
ALDOC	-1.2685
ZNF212	-0.07225
NUDT1	0.4225
RFPL2	-0.65225
ZNF83	-2.52483333333333
GDPD5	-1.476
PDCD4	0.89035
CEP350	-0.1805
OR10A2	0.603
CST7	1.01625
CIAO1	-0.1605
SELL	0.544125
OR8J3	0.4175
LTBP4	0.0365
SIRT6	-0.245
CCL19	2.67075
PPIL1	-0.636333333333333
GBP7	0.708833333333333
STK17A	-0.8188
ABR	-0.74375
OR9G1	0.2965
FOXE1	-0.514875
CNGA3	-0.0955
GML	0.527
CD38	-1.2415
ZDHHC6	0.639666666666667
NEFH	1.4425
CTDSP2	-0.01975
PGBD5	0.771333333333333
CCNY	0.623071428571428
RMND5B	-0.43375
ZNF257	-1.97225
FLJ22167	0.711375
EXOSC7	-0.0343333333333333
ROR2	1.596875
MAOA	-0.513625
TNNT3	-0.128833333333333
GYPC	0.05
C7orf33	0.6405
PLIN	-0.015
LOC90826	-0.71275
RNF4	-1.0346
F8A1	0.418666666666667
PLEKHG4	-2.847
GRB2	-0.08325
HIST1H2AD	0.9025
DUS3L	-0.664833333333333
EIF1	-1.04083333333333
RP5-1077B9.4	0.691833333333333
FPGT	1.5525
GDF10	-2.1
COQ9	0.43475
GCC2	-0.881
RARRES3	-0.054625
PLXNA1	-0.1238
KIAA0100	-0.5634
PMF1	-0.01125
FNDC1	5.14125
HS2ST1	0.811166666666666
CRELD2	1.45975
C8G	-1.2285
CD82	1.42025
LIM2	-0.131
UNQ6490	-0.222
MMP16	0.25625
DRD3	-0.161
C5orf26	-1.53375
C11orf73	-0.302625
PTP4A2	-0.264125
OR4M2	0.855
HPCA	-0.8355
SEC14L1	-1.2395
CHFR	0.21175
EMILIN1	1.067
NDUFS4	-1.4315
COL18A1	0.275
PDZD3	0.387
C9orf16	0.400166666666667
ERBB2IP	-1.01433333333333
EMX2	2.0525
FUS	-1.24325
TF	-3.2261
CLCN4	2.37883333333333
CXorf56	0.2075
C11orf72	0.48825
ELAC2	-0.433833333333333
NPR1	-0.7955
ASS1	1.50833333333333
USP42	-0.193625
POLR2J	-0.951
SEC23IP	0.254
UQCRC1	0.05325
LOC729603	-0.36525
C1orf71	0.30625
POLG	-0.5545
ADAM23	-3.17
TFR2	0.11925
RICTOR	-0.6752
MGC39606	-0.05525
C19orf55	-0.351
SNAPC1	-0.654666666666667
GNA11	0.08825
CCDC52	-0.737166666666667
FSIP1	-1.0945
UPF3A	-1.715375
IGSF11	-2.08866666666667
LAGE3	0.71275
CHST6	0.881
UNC13B	-0.033875
TTLL4	1.154375
ZNF687	0.9955
SDC2	1.2598
COX7A2	-0.187
LAMB4	0.03025
FAM24A	0.208
LRRTM3	-1.39066666666667
GPHB5	0.76625
OR4C13	-0.0855
EIF3EIP	0.657714285714286
HABP4	0.3745
TMEM125	3.4745
CNTN2	-0.113
ASNSD1	-0.5275
FUT4	1.298
ACF	-3.12525
LOC158381	0.8505
CDH8	0.07475
AGPS	-0.604333333333333
C4orf18	0.804875
PECI	-1.462
UNG	0.98775
GSTP1	0.460125
DCUN1D5	-0.193333333333333
DKFZP564J0863	-0.245
SLC9A3R1	-0.520625
BCDO2	-1.506875
CHMP7	-0.56375
REM2	0.483
DNHD1	-0.5435
FKBP4	-0.264125
ZNF350	-0.21025
MGC11102	-0.0555
BST1	1.29925
KISS1R	1.613
NCR2	0.5065
DEFB125	0.321
UBE2W	2.5685
KRT15	0.668125
C10orf99	1.082
SCN11A	-0.074
GFI1	-2.571
RDHE2	-1.24583333333333
FHL1	-2.36383333333333
OSGEP	-1.01633333333333
GATA1	-3.0315
SMC6	-0.83475
TTTY14	-0.9135
LPIN3	0.0315
RPL4	0.3129
RBPMS	-1.37
PRPF3	1.58916666666667
EMR1	-1.407
SPATA19	0.172
XCR1	1.2095
IRX3	2.7175
RBM6	-1.14725
KLF4	-1.0041
UNC5CL	-1.88175
SEBOX	-0.205
BTK	-0.61825
KRCC1	0.8555
C6orf27	0.431
SYTL5	-0.8795
PRND	1.171375
LOC653319	-1.159
PIGL	-2.216125
HUS1	0.136166666666667
SFRS6	0.100083333333333
C17orf77	0.3855
UIMC1	-1.26266666666667
FXYD2	-1.113
LOC283152	-0.70575
ZNF667	0.34175
ZCCHC12	-1.0005
TFEC	2.7315
ATP7B	-1.283
POLD2	-0.567
RG9MTD1	0.86375
ACOT2	-0.881
HIST1H4I	-0.306125
PPARGC1A	-2.7691
ETFA	-1.9014
POLRMT	0.397
ZNF146	-0.94475
MIA2	-1.784
KLHL6	-1.204
HOXB5	-1.101125
NENF	0.7015
CUGBP1	0.58
PRSS22	1.13216666666667
CASC4	0.3089
CUL4B	-0.3036
CENPJ	-1.7396
PITX1	0.560666666666667
FLJ31033	0.421333333333333
CELSR3	-1.0455
ZNF568	-0.89975
ITSN1	-0.920666666666667
EHBP1L1	0.810833333333333
C19orf2	-0.77125
DCTN1	0.07275
LIN28B	-3.03516666666667
TNKS2	-0.43225
C1QBP	-0.4705
CADPS2	-0.44875
SRMS	0.673
GJA9	0.375333333333333
MGC24975	-0.883833333333333
TRIM45	-1.13316666666667
TSP50	-0.1075
TCP1	-0.19225
TMED7	-0.3177
CMA1	0.952
CENPL	0.6245
PTCRA	0.1595
FST	-4.2215
VWCE	-4.04125
PAWR	-0.38775
ABCC12	-0.3255
LDLR	-0.5854
ASTN2	-0.289
LOC441212	-0.524375
GPATCH8	-0.16475
TANC2	-1.31258333333333
KIF4A	-0.6715
C18orf18	-1.84375
PGM1	0.2815
KIAA0258	1.26125
CPD	-0.236625
SNCAIP	-2.4385
DCT	-3.771
HLA-DOA	1.66786363636364
OR11L1	0.7035
UPK1B	2.50866666666667
DNAJB4	1.043
UGT1A8	-0.1915
HIST1H4L	-0.1655
PECR	-1.93533333333333
HSPA2	-0.34025
WFIKKN1	-2.448
SERP1	0.55
SYDE2	0.85675
TACR2	0.529
NUP85	-0.11475
CD177	-0.738
LGR5	-1.92783333333333
PIGG	-0.50425
PTHR1	-1.43166666666667
RAB5A	-0.0044
FLJ13224	0.218
USP9Y	-1.63266666666667
C7orf53	-1.3745
LRP1B	-0.905
XAF1	1.0111
ABCG8	-0.494
ANKDD1A	-0.409666666666667
DAND5	-1.9645
SPAG6	0.0115
LINCR	-0.097
ZDHHC22	-1.093875
CCDC60	null
THOC7	-1.0175
TCTA	1.2112
OR8K3	1.0165
NY-REN-7	0.55225
B2M	1.33866666666667
C6orf141	-2.628875
LPPR4	2.1145
SQLE	0.39375
SEPHS1	0.024
BTBD14B	0.334571428571429
PLRG1	0.08825
SPG7	-0.2646875
ZNF614	-1.24916666666667
PARD6G	0.771333333333333
INPP5B	-0.449
GRPEL2	1.314625
PPID	-0.1217
TRIM56	-1.092
UBE2J1	0.491
IL20RA	0.90225
LOC387856	0.394
C1orf107	1.65283333333333
UTS2R	1.3895
C19orf22	1.233
SAFB2	-0.389
KIAA0652	0.377625
KLRG1	-1.33616666666667
MS4A8B	0.0766666666666667
FRAG1	0.807
KIAA1546	-0.22025
E2F4	-0.5471
CLEC4M	0.620333333333333
BTBD14A	-0.14725
KIAA0999	0.761
GYPA	-3.50966666666667
TAC1	-0.5294
TRAIP	-0.158166666666667
KIAA0232	-1.0311
ERCC8	-1.3295
GPX4	0.721
KIAA0368	-0.343375
GPR157	0.549
CTAGE4	-0.318
C9orf30	-0.406
OR52A1	0.9805
HSP90B3P	-0.5135
ALG9	-0.8484
BTBD10	0.73775
SDK2	0.26075
BAIAP3	-1.89175
RABGGTB	-0.07925
ANKRD40	-0.355166666666667
KRT74	0.348
CALCOCO2	-0.0780714285714286
SNCA	-2.7405
TMSL8	-2.849375
C2orf53	0.547
ESRRB	-0.11675
ARHGAP26	-0.865625
TDRD9	-2.5615
HRAS	0.955333333333333
KLRC4	-2.0015
JAGN1	0.354
BSDC1	0.4125
RNF43	-1.3869
NDUFAF1	0.1275
PHF12	0.29925
OR1L3	0.68725
FOLR2	0.748166666666667
LYZL6	0.567666666666667
tcag7.1260	-1.3915
WSB1	-2.04083333333333
PROS1	-1.6672
OSTN	0.852
PSMB8	0.25925
SOCS4	-0.9675
DDIT4L	1.53775
MAS1	0.019
MGC34796	1.362
CSHL1	0.337833333333333
TBCCD1	0.924833333333333
ZBTB7C	0.3715
AP2S1	-0.325625
P15RS	0.7354
VAT1	-0.5464
SHANK3	1.76783333333333
TUFM	0.066
THEG	0.19175
KRT34	-1.25725
SGSM3	0.40975
TOMM22	0.64175
SOCS3	1.515
CPO	0.079
POP4	0.19775
BHLHB3	0.40375
MALL	1.245
OR1B1	0.5145
PARK2	0.713166666666667
GPR124	-0.431625
LCE1E	0.2085
RUVBL2	-0.32175
CGRRF1	-0.5139
ACPL2	-0.4805
WNT10B	-1.142
BAIAP2L2	1.751
ISCA1	0.4335
C1orf125	0.289125
RPAP1	0.1375
RAI16	-0.105833333333333
RPL27	0.523
NLRP9	-0.7015
EPN1	-0.0275
LOC388610	-0.639375
SLC35A1	0.1584
GAL	0.9895
SLC14A2	0.635
RDH11	-1.346
FAM138F	1.3965
AUH	-0.29625
FLJ40243	0.17175
C14orf129	-0.187833333333333
MBD2	-0.6505
ABHD14B	1.324375
PIGT	-1.500375
ALS2CR4	-0.000124999999999986
ALAS1	1.1256
FOXO1	0.128833333333333
CRLF3	0.683625
C20orf107	0.0825
FARS2	0.64075
CCDC28A	0.58075
NPHP3	-1.802
OR13F1	0.764
TSEN54	0.202
DEFB106B	0.1759
OR8B4	0.464
STH	-0.9685
ZC3H14	-0.755125
CBX2	0.0245
TMEM49	-1.291
C6orf21	0.9635
FLJ20920	-0.8345
CRTAP	-0.341
DDX50	-0.06975
STYXL1	-0.17925
BLVRB	-1.2885
LOC147650	-0.806666666666667
MMP24	-0.0205
GRID1	1.00766666666667
BANF1	-0.1695
CTAGEP	-0.426
HMBS	-1.56275
SLC25A24	0.0285
C14orf50	-0.106
MRO	0.319333333333333
SLC25A15	-0.7795
FAM84B	1.7843
TDP1	-0.5375
C16orf78	0.216
C11orf57	0.74925
RFK	-0.55225
ZFYVE9	-1.090625
STCH	-0.5457
WIBG	0.2105
LOC283871	0.334166666666667
GBA2	-0.7694
NDUFB3	-0.14825
HSD17B13	-0.458
GRIN3A	1.05716666666667
FMNL1	-0.563333333333333
SEPT7	-0.6265
GNLY	3.7775
GRAMD1C	-0.813666666666667
ZNF165	0.71
USP38	0.37325
FAM83A	-3.00383333333333
C14orf24	-0.0619166666666667
ARMCX3	-0.815125
ARHGDIB	-0.495166666666667
AK1	0.164375
KIAA1045	3.06225
DNAJB13	-0.286666666666667
NEU2	0.0695
HIST1H4B	-0.153666666666667
FAM20B	-0.5767
HES2	0.668285714285714
FAM73B	-0.1814
LOC388381	-0.447
INTS7	0.304
AMPH	0.316
ZNF775	0.442
UCKL1	-0.0436666666666667
C10orf97	-0.059
C1orf161	0.75225
ALDH1L1	-1.5835
FLJ39378	-0.60475
SLC23A1	-3.004
RBM4B	0.14
THAP4	0.500166666666667
OGFRL1	1.665
KIAA0831	-0.426125
PPP1R15A	-0.366833333333333
C1orf96	1.17078571428571
C12orf11	-0.931
BMF	1.35775
MAN1A1	-1.862
KIAA1600	0.561333333333333
NLGN4X	-0.989
ALOX12	1.97983333333333
RB1CC1	1.7213
NEIL2	1.2507
EIF4E	0.543772727272727
ABHD5	0.75875
EXOC4	-0.287833333333333
CIP29	-0.275333333333333
BATF2	0.56825
SLC29A4	-0.482
HTR4	0.25775
EMB	-2.27125
TRAF6	0.38575
LMNB1	-3.0535
FAM19A5	-1.0455
SHE	0.71525
PIK3C2B	0.821
C15orf15	-0.0243
USP15	0.0559
TCEAL2	-1.37675
C5orf39	-0.1595
PTGER2	-0.80775
SLC31A1	-0.2815625
IFT172	0.18975
ADAM29	0.587
GFOD1	1.75575
ST7L	0.635666666666667
C15orf26	-3.14525
PKN3	-1.22375
CNTD1	-0.0751666666666667
COMMD1	-0.3085
NTRK2	0.620666666666667
FOXN3	-0.436875
MFGE8	-0.2874
PFKFB2	0.820833333333333
TAS2R4	0.25825
ENTHD1	0.385
PRMT5	-0.986
MGC16384	-0.938875
LOC442229	0.56325
TSKU	1.048125
KRTCAP3	3.701875
PDLIM1	1.2163
KCNS2	-0.0125
RNF126	0.0656666666666667
CEP63	-0.447
CLIC4	0.599875
hCG_1990170	3.4415
ACR	1.0361
KLK7	3.04075
ALOX5AP	3.50125
RIPK3	2.2525
TAS2R9	0.946
C19orf18	-1.0545
BIRC6	-0.139428571428571
ZNF16	1.8505
RFT1	0.404
SLC8A2	-0.56025
TACC1	1.122375
ITGAD	0.343
SAMHD1	0.802
SH3PXD2B	1.4353
EPC2	0.7615
C20orf85	0.394375
ATP13A2	0.4965
KRT4	0.63975
CAPNS1	-0.85725
MDM2	0.05575
PCDH20	1.76025
KCNK9	0.911
OR2C1	0.196
KLHDC3	0.156666666666667
IPPK	1.0105
EFHD2	-0.057
GALR3	1.3575
NBEA	-3.04816666666667
ABCA6	0.3355
CLDN3	1.39266666666667
AKT2	-1.35628571428571
EGFR	-0.5441
RBM16	0.0295
ZDHHC3	0.2356
SLC25A4	-2.3225
CYB5B	-1.33183333333333
CPXM1	-0.8615
NDRG1	2.76615384615385
FLJ43826	0.40025
OR5L2	0.253833333333333
FARP2	-0.7736
MRPL46	-0.838916666666667
LDHAL6B	0.2208
MAPKAPK3	0.303833333333333
NCAM2	-3.96175
PRKD2	-0.678333333333333
ZFP36L1	0.3404
CYSLTR1	-1.04275
OR4C3	0.371333333333333
HIST1H2AJ	0.0885
CCNB2	-0.532111111111111
ZNF10	-0.041875
TMEM175	0.574
FAM134A	1.36216666666667
TIGD4	-0.172
PCNP	-0.3725
MGC39715	0.11275
LQK1	-0.54975
CREB1	0.4214
TMPRSS3	0.923
C4orf32	0.7895
LAT	-1.19691666666667
KCNA3	-0.529
SKIV2L2	-1.14125
ROPN1B	3.3945
tcag7.23	-0.8615
CDT1	-1.106125
ZHX2	0.428625
CD28	-3.5675
ZNF624	-0.38925
SEPT2	0.184166666666667
SOHLH2	-2.1535
MCOLN3	0.00687500000000001
UNQ1945	1.247
MASP2	-0.703
ZNRF3	-0.0223
GPATCH3	0.70975
AGL	0.73
QRICH2	0.2015
PSD4	0.0856666666666667
CCNB1IP1	-1.572
ENPP7	0.2685
OBFC1	0.08775
KCNG3	-1.12275
C14orf79	-0.246833333333333
ENPEP	0.897833333333333
SCT	0.749
SKI	1.738125
SEC61G	-1.416
CAPN11	-0.37425
ATXN7L3	0.2585
DBNDD1	0.507833333333333
FAIM	0.499
ANKRD36	-0.795
GABRP	4.9165
TACSTD2	1.9375
EIF3J	0.3415
PPP2R2A	-0.64625
TEKT4	-0.957
PVALB	-2.9595
F10	-2.62866666666667
FAM134C	0.7846
COMP	-0.824625
EFCBP1	-2.82706666666667
SCLT1	0.0995
TAL1	-1.457
ACSL1	1.31225
ABCC5	0.602666666666667
ABL1	-0.512666666666667
RBBP7	-0.289916666666667
PTPRG	-1.321125
NCOR1	-0.943
SPINK4	-2.03016666666667
TXNRD1	0.0735
TNRC15	0.338375
C9orf138	0.2965
UBE2H	-0.245333333333333
BRDT	-0.402833333333333
C8orf31	0.807
CCNE2	0.144636363636364
SLC6A8	-1.012375
CALCR	-4.76225
PPP1CB	1.5185
ABHD8	-0.67675
ARF5	0.404
SLC24A4	0.991
CCT3	0.43875
ZNF121	-0.65975
SLC3A2	-0.2891
OR13A1	0.674
SLC5A10	-0.2635
RAD50	-1.62475
IER5	0.68275
MTHFD1L	-0.45525
MBTPS2	0.1955
MVK	-0.17825
NCL	0.8741
PSMD10	-0.278
MOBP	0.45225
FLJ32894	0.053
HRH1	-0.8975
C5orf30	-0.8595
NUDT16L1	0.6528
RASGRP3	3.00416666666667
PRKRIP1	-0.988
CCDC75	-0.164
LOC253970	0.187
KIAA1239	0.186
MED21	-0.60975
SYT11	0.175833333333333
NTSR2	0.199
EGFL11	0.586
CXorf59	1.474
OR2A25	0.47925
SPTBN2	0.27275
LRMP	-1.92733333333333
RNF111	-0.012
PTH	0.684
LOC619208	0.8905
KIAA0895	0.452
RANBP5	-1.188125
P2RY10	0.2885
NME5	2.61533333333333
DDX21	0.31925
LRSAM1	0.498
HDAC11	0.394666666666667
VMO1	1.816
NOLA2	-0.332166666666667
ADAR	1.21
MTO1	0.759666666666667
SF4	-0.175166666666667
P2RX1	-0.275666666666667
HBM	0.46625
EN2	1.402
C14orf172	0.9205
TM9SF2	-0.5793
INHBE	-0.726333333333333
TCTE3	0.36875
TOX2	-3.03025
CTAGE3	-0.571375
HBB	2.8241
MED15	-0.695333333333333
CASR	0.1285
C6orf66	-0.184666666666667
MTPN	-0.656625
UNC50	-0.17575
C21orf33	0.028875
IRF2	0.69975
PGR	-2.9575
GPR84	4.472
CROCCL1	-2.45775
SRPX	-2.342
BRE	0.3825
FGF10	-0.0569999999999999
SDC3	-0.035
ZRSR1	-0.693833333333333
DKFZP434P211	-0.0925
SOX6	-0.727
RPUSD2	1.25925
C14orf173	0.12125
MAPK11	0.0786666666666667
TBC1D22A	0.622
FAM123A	-0.2735
COL4A6	-4.00466666666667
TOMM70A	0.178
NAB1	0.333375
MGC16385	0.801625
TSPAN18	0.722
MED31	-0.64475
PLG	-0.42875
CAPSL	0.7525
ZNF532	0.9476
ASB14	0.205
CA8	3.8945
NUDT16P	1.41683333333333
SLFN11	-1.4115
LRRIQ2	-0.47825
NOL7	-0.158166666666667
BRMS1L	0.2155
JARID1A	-0.0346666666666667
PANK2	-0.71475
ICAM3	-0.74475
MDS1	-0.35475
TAF8	-0.0325
RNF139	1.525
ZNF594	-1.38566666666667
ADAM8	2.59275
SFTPC	-0.152375
MAN2B2	-0.441375
RGS12	-0.337375
EIF1AY	-4.66091666666667
LRRIQ1	-0.127666666666667
GPR150	1.4775
CCDC21	0.208666666666667
PRRG3	0.2895
SAA4	-2.54225
RAPGEF5	1.524875
ZCCHC2	0.498583333333333
MGC39372	-0.563
PPP4R2	0.384333333333333
CDCA2	-0.5475
OR4D5	0.802333333333333
PTGFRN	0.6123
SIGLEC5	2.26233333333333
C19orf61	-0.331
NMUR2	0.5515
KIAA1586	-1.252
DAGLA	-0.566333333333333
CHCHD6	-0.572
GPR32	0.8065
NEUROD6	0.153166666666667
SLC2A4RG	0.04425
CA5B	-0.64925
FBXL3	-0.23
MPHOSPH9	-0.42625
HMG2L1	0.51275
HCN4	0.980833333333333
CEACAM19	3.10925
SH2D4B	0.383666666666667
HFE2	-0.581
TGM4	0.339
LYPD2	0.51425
TBC1D15	0.3095
MRPS21	0.48
NONO	-0.8787
CLEC5A	2.922625
ITCH	-0.2031
MGAT3	2.09966666666667
MBP	-0.0438750000000001
RPP25	0.90225
SOSTDC1	-1.146
HRC	-1.712
TRIM48	0.222
TMEM133	0.61475
ECEL1P2	-1.23975
HOXC11	-0.383
DOK5	-0.96525
HELZ	0.0251666666666667
LOC348180	0.5545
MGC33894	0.523
ADRB3	0.716
DMD	0.083
PTRH2	-0.67225
MPEG1	3.18016666666667
NDUFA12	-0.876333333333333
KRTAP2-4	0.436583333333333
STAMBPL1	-0.293166666666667
ADCY2	1.0235
UNQ6125	0.83
KLHL20	-0.335
SRM	0.24775
OTC	-0.0555
TMIE	1.66883333333333
SNX8	0.99225
LIPK	0.0975
CHURC1	-1.19883333333333
KLC2	0.260666666666667
HDAC1	-0.494833333333333
FAM128A	-0.0423333333333333
FNDC3B	1.2961
MTCP1	-1.05033333333333
WFDC10B	-0.236
PCDHGB3	0.282
ATRNL1	-0.6976
CAV2	-0.137
MED26	-0.205166666666667
DUS1L	1.42925
CHRM3	-1.79275
NEK9	-1.23725
WARS2	0.94675
TBX22	-0.0575
TOMM40	1.402
RP6-213H19.1	0.0906666666666667
TUBGCP5	-0.26225
IGSF6	4.2405
TPPP	-0.0818333333333334
UNQ6190	-0.613
GSTM5	-0.601
BTD	-0.189833333333333
PDCD1LG2	0.645333333333333
SNRPB2	-0.5
ERICH1	-1.05425
APOA4	-1.295875
HOXA11	-2.24775
NARG1	0.315625
MKX	-1.43375
RAB28	-0.888071428571429
PKP3	2.0225
SH3GL2	-1.30925
CTSO	2.12425
RPN2	0.47875
IL28RA	-0.311666666666667
SFMBT1	-0.42475
WDR57	0.775
FER1L3	-0.977166666666667
HSF5	0.223
TTC9B	0.3265
C4BPA	-3.718
ALB	-3.73685714285714
SORBS3	-0.304125
UPF2	0.383
JPH1	1.2665
AGBL2	-1.5775
DOPEY1	0.3845
TERF1	0.586416666666667
KIF22	-0.342333333333333
NINJ1	0.94725
SEC61A2	-1.00908333333333
HIST1H1D	-0.479
SFXN4	0.63325
UCP3	0.5891
ZNF703	0.5165
MYL6B	-0.4945
TREM1	2.9985
OR52E6	0.183
CKMT2	1.24875
HLA-C	1.7045
SLC13A3	-2.1395
TIMP4	-1.61325
SLIT2	0.2715
RSF1	-0.118444444444444
LONRF1	-1.24671428571429
MON1A	1.263
CACNG6	-1.30183333333333
DPPA4	-4.64916666666667
ZSWIM3	-0.3525
ZNF804A	0.690833333333333
CCIN	1.16625
SLC25A31	-0.31725
KCNMB4	-2.15975
RABL5	-0.1955
GALNS	-0.3247
STX6	1.000375
HIST1H1C	-0.950833333333333
CIDEB	-0.6335
CASP4	-0.561666666666667
PDK3	-0.2089
KCNJ11	0.2815
TPR	-0.5625
ZSCAN20	-0.417
MTX2	-0.314
HIST1H2BH	0.15575
LOC283767	-1.424
LYRM7	-1.28061111111111
BRD3	0.1255
HIST1H2BO	0.089
MAGEB10	1.0345
SLC45A1	0.337
SERPINA3	1.798
KIAA0143	1.58275
KCNJ16	0.148
KRT79	-0.17925
FABP2	-0.5915
NUT	0.17075
ZNF57	-1.11975
FBXL4	1.942625
CLEC9A	0.764
UGT8	2.76483333333333
BMP2K	-0.4925
MAPK4	-2.86375
SLC25A23	-1.6245
HINT1	-1.1049
KRTAP13-1	0.634
SFXN5	-0.359
CHCHD2	0.251333333333333
FAM3D	0.7465
NDP	-1.26225
RHOBTB1	-0.5995
SLC4A4	-1.86925
RPL38	0.281
HTF9C	0.471166666666667
AP2A2	0.468625
ZBTB46	0.573
MAP7D1	1.327125
AOX1	-1.5625
CYR61	0.143
DTNA	-0.534357142857143
JRKL	0.7615
TMOD3	-0.0955
EEA1	-0.3883
ADCK5	0.602
IL1R1	0.8165
KLK3	0.758857142857143
HRSP12	1.763
KTN1	-0.39375
LOH11CR2A	0.3237
RELL2	-0.2005
MAB21L1	-0.016
C20orf59	-0.292333333333333
PHKB	-0.39525
ADAM2	-2.39933333333333
TBC1D8B	0.549333333333333
FAM13A1	-0.7433125
LAPTM4B	1.12875
LCN8	0.5755
TMEM147	-0.5905
SYT4	0.738
XPO7	-0.557
C9orf62	1.68325
GPR75	0.2485
TRIM5	-0.479875
APOC1	-0.434666666666667
RNASE4	-1.97233333333333
PARD6B	-2.61375
ARID1A	0.177083333333333
TPD52L3	0.14875
RRAGB	-1.03616666666667
RCN2	-0.986666666666667
HIST2H2BE	0.7434375
STARD7	-0.05325
SHMT2	-0.2545
KIAA1751	0.829833333333333
MLYCD	-0.538
LOC162632	-1.2192
UQCRH	-0.335
RP11-217H1.1	-0.2221875
SDHA	-0.285666666666667
NCLN	0.0505
ZNF17	-1.11583333333333
RCBTB2	-2.3365
VEGFB	-0.6555
RP4-747L4.3	2.486
COLQ	-0.1312
MPN2	-0.693
DRG2	-0.32975
KLRB1	3.95925
ALPK2	-1.28075
DNASE2B	0.09525
FLJ23834	-0.546833333333333
AXUD1	-0.0203333333333333
SAFB	-0.2854
NSUN4	0.3745
RFX2	-0.614833333333333
MAPK8IP1	-0.7995
FANCD2	-0.201642857142857
ANKZF1	-0.579666666666667
C19orf50	-0.814125
DUSP8	-0.782125
SENP5	0.643
NFKBIL2	0.9055
LBR	0.210625
IGFL1	0.5045
LZTS2	0.18575
IL2RG	-0.291
CCDC51	1.1875
KLF3	-0.21875
ANKRD37	-0.24825
KCTD14	0.127166666666667
FZR1	0.231083333333333
SLC44A4	-1.86
ESPL1	-0.106625
GMPR2	-1.6554
TBC1D19	-1.67616666666667
ERGIC1	-0.741
ERBB4	-1.2709
TSPAN32	0.251666666666667
MAP4	0.085125
GPHN	-0.76875
SLC6A2	0.019375
HIVEP1	0.00225
DFFB	0.6181
EIF4EBP2	0.262125
DMRT1	1.11375
HSPB6	0.14125
IER2	-0.875
AIFM1	-0.517
WWC2	-0.268916666666667
MRPL4	-0.04775
FLJ21062	-0.856
EPB41L4A	-0.620916666666667
SH2D6	0.795
TAF4B	1.17175
GAL3ST3	-0.24
MALT1	-0.312666666666667
RTDR1	-0.086
ARVCF	-1.272875
MEX3B	-1.5035
FBXO16	-0.17925
KIF7	-0.784
C1QC	4.04816666666667
ZNF783	-0.364666666666667
ZNF85	-2.3595
MMP13	2.0875
KIAA0329	-0.62525
RTP3	4.454
ZBED3	-1.37725
CLGN	-2.57125
SLC25A37	0.573291666666667
hCG_18290	-0.09475
OR5AS1	0.4885
SMARCC2	0.06075
FAM109A	0.575833333333333
CCDC12	0.2125
USF2	-0.246
DEPDC7	0.04725
C20orf24	0.0948333333333333
JMJD3	0.1425
DSP	1.35714285714286
SLIC1	1.179125
FAM20A	3.710875
IRF2BP2	0.3965
ZNF230	-0.928
MSN	0.798642857142857
