Hybridization REF	TCGA-AR-A0TZ-01A-12R-A084-07
TMEM125	2.8755
CNTN2	0.12625
ASNSD1	0.18775
FUT4	-0.089125
ACF	-4.61875
LOC158381	0.673
CDH8	-0.38
AGPS	-1.0285
C4orf18	1.1835
PECI	-0.120416666666667
UNG	1.5325
GSTP1	0.415875
DCUN1D5	-1.44
DKFZP564J0863	-1.56925
SLC9A3R1	2.991375
BCDO2	-1.071625
CHMP7	1.004375
REM2	1.3635
DNHD1	-1.07875
FKBP4	-0.219125
ZNF350	1.86325
MGC11102	0.112375
BST1	0.46675
KISS1R	-0.4695
NCR2	-0.0505
DEFB125	-0.0595000000000001
UBE2W	0.94675
KRT15	-0.20475
C10orf99	-0.21
SCN11A	-0.293875
GFI1	-3.233
RDHE2	1.20766666666667
FHL1	-1.47533333333333
OSGEP	-0.191166666666667
GATA1	-4.428
SMC6	-1.48875
TTTY14	-1.61525
LPIN3	0.5805
RPL4	-0.6212
RBPMS	0.2764
PRPF3	-0.672
EMR1	-2.713
SPATA19	-0.1595
XCR1	-0.0315
IRX3	2.4498
RBM6	-0.46875
KLF4	0.2468
UNC5CL	-0.774
SEBOX	0.0645
BTK	-0.7335
KRCC1	0.357
C6orf27	0.257
SYTL5	-0.202
PRND	1.151625
LOC653319	-1.9015
PIGL	-1.019125
HUS1	-0.671833333333333
SFRS6	1.24841666666667
C17orf77	-0.0305
UIMC1	0.286833333333333
FXYD2	-2.6344
LOC283152	-1.635
ZNF667	-1.15525
ZCCHC12	-0.6015
TFEC	3.2287
ATP7B	1.78033333333333
POLD2	-0.0175
RG9MTD1	-0.564
ACOT2	1.2325
HIST1H4I	-0.935625
PPARGC1A	-2.7815
ETFA	-0.8586
POLRMT	-0.45825
ZNF146	1.123375
MIA2	-0.8035
KLHL6	-1.88583333333333
HOXB5	-1.646375
NENF	-0.0141666666666667
CUGBP1	0.24325
PRSS22	1.07466666666667
CASC4	1.3012
CUL4B	-0.5775
CENPJ	-0.4633
PITX1	-0.331666666666667
FLJ31033	0.844
CELSR3	-2.9155
ZNF568	1.03475
ITSN1	-0.502583333333333
EHBP1L1	-1.01483333333333
C19orf2	-0.2705
DCTN1	-0.053
LIN28B	-3.99783333333333
TNKS2	0.5375
C1QBP	-1.499625
CADPS2	1.433
SRMS	0.41625
GJA9	0.189833333333333
MGC24975	-1.00666666666667
TRIM45	0.2135
TSP50	-0.09225
TCP1	-1.43075
TMED7	0.0467
CMA1	0.7305
CENPL	0.244666666666667
PTCRA	-0.626
FST	-4.918
VWCE	-3.56975
PAWR	0.40625
ABCC12	1.20083333333333
LDLR	-1.7078
ASTN2	2.2735
LOC441212	-0.756625
GPATCH8	0.3125
TANC2	-0.567166666666667
KIF4A	-0.5245
C18orf18	-1.46825
PGM1	-1.697
KIAA0258	1.40725
CPD	0.8435
SNCAIP	-0.71625
DCT	-5.17716666666667
HLA-DOA	2.43886363636364
OR11L1	0.2155
UPK1B	-0.503333333333333
DNAJB4	0.0115
UGT1A8	-0.102
HIST1H4L	-1.559
PECR	-0.682166666666667
HSPA2	2.12275
WFIKKN1	-2.361
SERP1	0.5915
SYDE2	1.2115
TACR2	0.744
NUP85	0.336
CD177	-0.370166666666667
LGR5	-1.87483333333333
PIGG	-0.00616666666666666
PTHR1	-2.04366666666667
RAB5A	1.6848
FLJ13224	-0.305
USP9Y	-1.26966666666667
C7orf53	-1.435
LRP1B	-0.85275
XAF1	1.5857
ABCG8	-0.819
ANKDD1A	-0.799166666666667
DAND5	-0.902
SPAG6	0.664
LINCR	1.69525
ZDHHC22	-1.854625
CCDC60	0.184
THOC7	-2.18933333333333
TCTA	0.4035
OR8K3	-0.16125
NY-REN-7	-0.564
B2M	0.341666666666667
C6orf141	1.825375
LPPR4	0.31075
SQLE	-1.111375
SEPHS1	-0.01325
BTBD14B	0.338928571428571
PLRG1	-0.333
SPG7	-0.181625
ZNF614	0.740833333333333
PARD6G	0.3105
INPP5B	-0.889
GRPEL2	0.401625
PPID	-0.6215
TRIM56	-0.0425
UBE2J1	-1.04975
IL20RA	1.08675
LOC387856	1.13725
C1orf107	1.0175
UTS2R	-0.29
C19orf22	0.76
SAFB2	0.433875
KIAA0652	0.826625
KLRG1	-0.932333333333333
MS4A8B	4.00183333333333
FRAG1	0.96475
KIAA1546	0.8865
E2F4	-0.7741
CLEC4M	-0.04
BTBD14A	-1.39425
KIAA0999	0.4915
GYPA	-4.584
TAC1	0.307
TRAIP	-1.1555
KIAA0232	1.4859
ERCC8	-0.6835
GPX4	0.619
KIAA0368	0.647875
GPR157	-1.29616666666667
CTAGE4	1.5335
C9orf30	-1.0715
OR52A1	-0.534
HSP90B3P	0.4865
ALG9	-0.7244
BTBD10	1.35725
SDK2	0.2885
BAIAP3	-1.551
RABGGTB	0.329125
ANKRD40	0.356166666666667
KRT74	0.473
CALCOCO2	0.710785714285714
SNCA	-3.82175
TMSL8	-3.78775
C2orf53	-0.294
ESRRB	-0.27625
ARHGAP26	-1.748625
TDRD9	-3.50675
HRAS	0.390833333333333
KLRC4	-3.0955
JAGN1	0.120166666666667
BSDC1	0.26025
RNF43	1.4228
NDUFAF1	0.5395
PHF12	0.3985
OR1L3	-0.000500000000000028
FOLR2	1.42641666666667
LYZL6	-0.0078
tcag7.1260	-2.4
WSB1	-2.27083333333333
PROS1	-1.3365
OSTN	0.5115
PSMB8	-0.48225
SOCS4	0.475375
DDIT4L	1.42075
MAS1	-0.1985
MGC34796	0.72425
CSHL1	0.2445
TBCCD1	0.527
ZBTB7C	0.3415
AP2S1	-0.651375
P15RS	0.9999
VAT1	0.4192
SHANK3	0.517166666666667
TUFM	-0.335666666666667
THEG	-0.86075
KRT34	-2.54375
SGSM3	-0.202
TOMM22	-0.612625
SOCS3	2.42816666666667
CPO	1.39
POP4	0.41025
BHLHB3	0.59925
MALL	0.84425
OR1B1	-0.1365
PARK2	0.200666666666667
GPR124	0.436125
LCE1E	0.2825
RUVBL2	-0.08
CGRRF1	0.9584
ACPL2	-0.107
WNT10B	-1.374375
BAIAP2L2	-3.0475
ISCA1	1.034
C1orf125	1.026
RPAP1	-0.2255
RAI16	0.141166666666667
RPL27	-1.05825
NLRP9	-0.234
EPN1	0.1265
LOC388610	-2.091375
SLC35A1	0.00889999999999998
GAL	-2.63925
SLC14A2	0.0715
RDH11	-0.561833333333333
FAM138F	-0.924
AUH	0.53
FLJ40243	0.547
C14orf129	0.541666666666667
MBD2	1.80516666666667
ABHD14B	-0.271875
PIGT	1.95425
ALS2CR4	0.169875
ALAS1	-0.24
FOXO1	0.890666666666667
CRLF3	-0.48125
C20orf107	1.6625
FARS2	1.33775
CCDC28A	-0.287
NPHP3	-1.316
OR13F1	0.263
TSEN54	0.0415
DEFB106B	0.1929
OR8B4	0.2765
STH	2.3015
ZC3H14	0.13025
CBX2	-1.1055
TMEM49	0.58825
C6orf21	0.5005
FLJ20920	0.929625
CRTAP	0.331714285714286
DDX50	0.1805
STYXL1	0.40475
BLVRB	-0.260833333333333
LOC147650	0.758666666666667
MMP24	0.467
GRID1	1.02533333333333
BANF1	0.391333333333333
CTAGEP	0.667
HMBS	-2.86375
SLC25A24	1.21616666666667
C14orf50	1.60725
MRO	0.805666666666667
SLC25A15	-1.13825
FAM84B	2.0197
TDP1	-0.0635
C16orf78	-0.302166666666667
C11orf57	-0.999875
RFK	0.528375
ZFYVE9	0.33825
STCH	0.6398
WIBG	0.52575
LOC283871	-0.157166666666667
GBA2	0.4072
NDUFB3	-0.8865
HSD17B13	-0.17975
GRIN3A	0.768833333333333
FMNL1	-0.577833333333333
SEPT7	-0.2569
GNLY	1.1735
GRAMD1C	-0.770166666666667
ZNF165	1.29025
USP38	1.481
FAM83A	-4.1625
C14orf24	0.990916666666667
ARMCX3	1.911375
ARHGDIB	-0.583
AK1	-0.928125
KIAA1045	-0.06625
DNAJB13	0.0185
NEU2	0.207
HIST1H4B	-1.71133333333333
FAM20B	-0.6263
HES2	0.871928571428571
FAM73B	0.6457
LOC388381	0.5685
INTS7	0.0923636363636364
AMPH	2.433
ZNF775	-0.6655
UCKL1	0.298333333333333
C10orf97	0.5265
C1orf161	-0.20075
ALDH1L1	-2.4175
FLJ39378	0.40925
SLC23A1	-1.09
RBM4B	0.73025
THAP4	0.492666666666667
OGFRL1	-0.2535
KIAA0831	0.794625
PPP1R15A	0.7025
C1orf96	-0.525714285714286
C12orf11	-1.8345
BMF	1.5475
MAN1A1	-0.951375
KIAA1600	1.04666666666667
NLGN4X	0.43125
ALOX12	-1.56033333333333
RB1CC1	0.1759
NEIL2	0.5864
EIF4E	0.517727272727273
ABHD5	-0.9965
EXOC4	0.249666666666667
CIP29	0.727833333333333
BATF2	-1.9475
SLC29A4	-1.488125
HTR4	0.2675
EMB	-1.95925
TRAF6	0.095
LMNB1	-0.65075
FAM19A5	-1.666875
SHE	1.642
PIK3C2B	0.30475
C15orf15	-0.282
USP15	0.0348
TCEAL2	0.06425
C5orf39	-1.30316666666667
PTGER2	2.56325
SLC31A1	-0.13075
IFT172	-0.403
ADAM29	0.54575
GFOD1	-0.30525
ST7L	0.721333333333333
C15orf26	-3.49075
PKN3	-1.099
CNTD1	1.77766666666667
COMMD1	-0.577
NTRK2	1.22275
FOXN3	0.51825
MFGE8	-0.9688
PFKFB2	-0.3145
TAS2R4	0.113
ENTHD1	-0.035
PRMT5	0.544625
MGC16384	-1.397875
LOC442229	-0.285
TSKU	0.261375
KRTCAP3	2.179875
PDLIM1	-0.8967
KCNS2	0.0805
RNF126	-0.354666666666667
CEP63	-0.834875
CLIC4	-0.42525
hCG_1990170	-1.12225
ACR	0.3724
KLK7	0.2175
ALOX5AP	2.646
RIPK3	3.41425
TAS2R9	0.204
C19orf18	1.9465
BIRC6	-0.158071428571429
ZNF16	1.3525
RFT1	-0.96975
SLC8A2	-0.5115
TACC1	0.057625
ITGAD	1.0825
SAMHD1	0.836
SH3PXD2B	1.5545
EPC2	1.147
C20orf85	1.1865
ATP13A2	1.28866666666667
KRT4	0.115375
CAPNS1	0.59725
MDM2	-0.52775
PCDH20	2.10475
KCNK9	0.435
OR2C1	0.3095
KLHDC3	-0.00449999999999999
IPPK	2.5345
EFHD2	-1.2905
GALR3	-0.401
NBEA	0.878666666666667
ABCA6	1.846
CLDN3	2.99866666666667
AKT2	0.0282142857142857
EGFR	-2.9269
RBM16	0.16875
ZDHHC3	-0.4463
SLC25A4	0.820666666666667
CYB5B	-0.1365
CPXM1	0.502
NDRG1	-0.951230769230769
FLJ43826	0.3135
OR5L2	-0.276166666666667
FARP2	1.2784
MRPL46	-0.0358333333333333
LDHAL6B	0.420833333333333
MAPKAPK3	-1.02666666666667
NCAM2	2.84975
PRKD2	0.458
ZFP36L1	0.6571
CYSLTR1	-1.19825
OR4C3	0.3675
HIST1H2AJ	-0.047
CCNB2	-1.58366666666667
ZNF10	-0.208625
TMEM175	0.2835
FAM134A	1.75716666666667
TIGD4	0.2575
PCNP	-0.359
MGC39715	-0.03025
LQK1	-3.85
CREB1	1.1128
TMPRSS3	-1.4205
C4orf32	-0.060875
LAT	-2.46525
KCNA3	-0.089
SKIV2L2	-0.1755
ROPN1B	-2.7715
tcag7.23	-0.6255
CDT1	-2.401375
ZHX2	1.526875
CD28	-4.41375
ZNF624	1.20675
SEPT2	0.9225
SOHLH2	-2.75871428571429
MCOLN3	1.91425
UNQ1945	-0.144
MASP2	-1.613
ZNRF3	-0.1519
GPATCH3	-0.55025
AGL	2.912
QRICH2	0.5855
PSD4	1.231
CCNB1IP1	-1.915
ENPP7	0.207
OBFC1	0.51625
KCNG3	-0.2775
C14orf79	1.93408333333333
ENPEP	1.68183333333333
SCT	0.81
SKI	0.176125
SEC61G	-1.574
CAPN11	0.08175
ATXN7L3	0.832
DBNDD1	0.775166666666667
FAIM	-0.6455
ANKRD36	-0.3895
GABRP	1.48516666666667
TACSTD2	2.3205
EIF3J	-0.32725
PPP2R2A	0.29275
TEKT4	-0.454833333333333
PVALB	2.252
F10	-3.61533333333333
FAM134C	1.5815
COMP	3.45975
EFCBP1	-3.05913333333333
SCLT1	-0.515
TAL1	-1.6151
ACSL1	1.268
ABCC5	1.9425
ABL1	-0.00255555555555556
RBBP7	0.505416666666667
PTPRG	-1.1285
NCOR1	0.4658
SPINK4	2.323
TXNRD1	-0.8491
TNRC15	0.80725
C9orf138	0.198625
UBE2H	1.593
BRDT	0.639166666666667
C8orf31	-0.3925
CCNE2	-0.882363636363636
SLC6A8	-2.968
CALCR	-4.57575
PPP1CB	0.117583333333333
ABHD8	0.1825
ARF5	0.7098
SLC24A4	0.7375
CCT3	-0.1035
ZNF121	0.714
SLC3A2	1.0024
OR13A1	0.323
SLC5A10	-0.47325
RAD50	0.142375
IER5	-0.00725
MTHFD1L	-2.96225
MBTPS2	0.7175
MVK	0.159125
NCL	0.2562
PSMD10	0.2515
MOBP	0.25875
FLJ32894	0.00600000000000001
HRH1	-1.75266666666667
C5orf30	2.0495
NUDT16L1	1.0728
RASGRP3	2.76833333333333
PRKRIP1	-0.4962
CCDC75	-1.28075
LOC253970	0.022
KIAA1239	-0.1955
MED21	-0.84875
SYT11	0.0238333333333333
NTSR2	-0.6735
EGFL11	-0.3115
CXorf59	0.2965
OR2A25	0.256
SPTBN2	-1.644
LRMP	-1.69366666666667
RNF111	0.502
PTH	-0.722
LOC619208	-0.137333333333333
KIAA0895	1.51525
RANBP5	-1.432875
P2RY10	0.0123333333333333
NME5	4.05683333333333
DDX21	-0.1705
LRSAM1	1.3065
HDAC11	2.03333333333333
VMO1	0.16925
NOLA2	0.802166666666667
ADAR	1.00791666666667
MTO1	-0.4515
SF4	0.332166666666667
P2RX1	-0.1395
HBM	-0.346
EN2	0.1705
C14orf172	-0.17725
TM9SF2	0.4049
INHBE	-0.824833333333333
TCTE3	-0.665
TOX2	-4.00425
CTAGE3	0.688875
HBB	2.6541
MED15	-0.970833333333333
CASR	0.235
C6orf66	-2.16616666666667
MTPN	-0.42025
UNC50	0.494
C21orf33	-1.04225
IRF2	0.875
PGR	1.9245
GPR84	2.495
CROCCL1	-0.9905
SRPX	-1.89625
BRE	-0.278833333333333
FGF10	0.66325
SDC3	-0.8955
ZRSR1	1.61016666666667
DKFZP434P211	-0.5775
SOX6	-0.2225
RPUSD2	-0.37475
C14orf173	0.0773333333333333
MAPK11	-1.34833333333333
TBC1D22A	0.3825
FAM123A	1.0445
COL4A6	-3.41216666666667
TOMM70A	-0.06425
NAB1	-0.477
MGC16385	-0.19125
TSPAN18	-1.3555
MED31	-1.153
PLG	-0.72825
CAPSL	3.1225
ZNF532	0.1143
ASB14	0.286
CA8	-0.01875
NUDT16P	2.023
SLFN11	-1.602
LRRIQ2	-0.216625
NOL7	-0.54
BRMS1L	0.08775
JARID1A	-0.550833333333333
PANK2	0.07
ICAM3	-0.87525
MDS1	-0.673
TAF8	-0.0965
RNF139	0.77575
ZNF594	0.636666666666667
ADAM8	3.4545
SFTPC	-0.44525
MAN2B2	1.589
RGS12	1.0889375
EIF1AY	-5.42166666666667
LRRIQ1	-2.042
GPR150	-0.07025
CCDC21	0.0186666666666667
PRRG3	0.19975
SAA4	-4.78925
RAPGEF5	-0.3895
ZCCHC2	0.427833333333333
MGC39372	1.596
PPP4R2	-0.0651666666666667
CDCA2	-0.5915
OR4D5	0.853333333333333
PTGFRN	0.548
SIGLEC5	0.927
C19orf61	0.203
NMUR2	0.18
KIAA1586	-0.218333333333333
DAGLA	0.226
CHCHD6	-1.18025
GPR32	1.1135
NEUROD6	0.304
SLC2A4RG	0.8091875
CA5B	-0.177
FBXL3	0.41525
MPHOSPH9	-0.3235
HMG2L1	1.03575
HCN4	0.251666666666667
CEACAM19	-0.13875
SH2D4B	0.5905
HFE2	-1
TGM4	0.00783333333333338
LYPD2	0.29875
TBC1D15	0.059
MRPS21	-0.6765
NONO	-0.1615
CLEC5A	1.5645
ITCH	0.0695
MGAT3	-2.01583333333333
MBP	0.41525
RPP25	-1.282
SOSTDC1	-3.0585
HRC	-2.14375
TRIM48	0.656
TMEM133	-0.41925
ECEL1P2	-1.22175
HOXC11	1.412
DOK5	-0.93175
HELZ	0.302833333333333
LOC348180	-1.392
MGC33894	-0.106
ADRB3	0.1115
DMD	-0.49925
PTRH2	-1.09375
MPEG1	2.8425
NDUFA12	-0.395666666666667
KRTAP2-4	-0.144583333333333
STAMBPL1	-1.55566666666667
ADCY2	0.365666666666667
UNQ6125	-0.079
KLHL20	0.0255
SRM	-1.60375
OTC	-0.25975
TMIE	-0.292333333333333
SNX8	-0.258
LIPK	-0.244
CHURC1	0.777083333333333
KLC2	0.3265
HDAC1	-0.601333333333333
FAM128A	1.04233333333333
FNDC3B	-1.4936
MTCP1	-0.370666666666667
WFDC10B	1.6493
PCDHGB3	0.4715
ATRNL1	1.3965
CAV2	-1.23325
MED26	1.10133333333333
DUS1L	0.0825
CHRM3	-1.6685
NEK9	2.1775
WARS2	0.02875
TBX22	-0.308
TOMM40	-0.3705
RP6-213H19.1	-0.065
TUBGCP5	0.4135
IGSF6	4.08225
TPPP	1.46733333333333
UNQ6190	-0.00850000000000001
GSTM5	-0.809125
BTD	1.55866666666667
PDCD1LG2	0.478666666666667
SNRPB2	-1.16733333333333
ERICH1	-0.93475
APOA4	-1.98725
HOXA11	-1.69025
NARG1	-0.09975
MKX	4.94225
RAB28	0.493571428571428
PKP3	1.61675
SH3GL2	-3.37125
CTSO	3.8495
RPN2	-0.1153125
IL28RA	-0.198333333333333
SFMBT1	-1.313
WDR57	-0.115375
FER1L3	2.5005
HSF5	-0.2125
TTC9B	0.67625
C4BPA	-3.8865
ALB	-4.83064285714286
SORBS3	0.231625
UPF2	0.5735
JPH1	0.468
AGBL2	1.35275
DOPEY1	1.476
TERF1	0.00991666666666665
KIF22	0.3755
NINJ1	1.5685
SEC61A2	0.155083333333333
HIST1H1D	-0.773
SFXN4	-0.051625
UCP3	-0.4807
ZNF703	1.06166666666667
MYL6B	-2.13775
TREM1	1.18675
OR52E6	0.072
CKMT2	0.3985
HLA-C	1.144625
SLC13A3	-2.11983333333333
TIMP4	-1.917
SLIT2	1.576
RSF1	-0.373888888888889
LONRF1	-0.336
MON1A	-1.4445
CACNG6	-2.63533333333333
DPPA4	-6.2335
ZSWIM3	-0.5855
ZNF804A	0.7505
CCIN	1.06175
SLC25A31	-0.141
KCNMB4	-0.485
RABL5	0.976875
GALNS	-0.3294
STX6	0.434125
HIST1H1C	-1.02433333333333
CIDEB	-0.93025
CASP4	-1.19733333333333
PDK3	-0.1655
KCNJ11	2.239
TPR	-0.111375
ZSCAN20	-1.434
MTX2	0.4305
HIST1H2BH	-0.3535
LOC283767	-0.43475
LYRM7	-1.22433333333333
BRD3	1.80033333333333
HIST1H2BO	-0.17075
MAGEB10	0.7655
SLC45A1	1.46275
SERPINA3	1.44205
KIAA0143	0.35525
KCNJ16	0.103833333333333
KRT79	0.75925
FABP2	-0.8415
NUT	-0.37575
ZNF57	0.437
FBXL4	0.23525
CLEC9A	0.9875
UGT8	-1.61916666666667
BMP2K	0.72075
MAPK4	-4.169
SLC25A23	-0.7334
HINT1	-0.1291
KRTAP13-1	0.5985
SFXN5	0.5765
CHCHD2	0.357583333333333
FAM3D	0.0165
NDP	-0.200125
RHOBTB1	0.515166666666667
SLC4A4	-2.087375
RPL38	-0.465
HTF9C	-0.603833333333333
AP2A2	0.557625
ZBTB46	-0.045
MAP7D1	-0.49175
AOX1	0.508666666666667
CYR61	1.76325
DTNA	0.898571428571429
JRKL	-0.239
TMOD3	-0.23875
EEA1	0.3515
ADCK5	-0.58275
IL1R1	2.36216666666667
KLK3	0.151285714285714
HRSP12	-0.2325
KTN1	0.08475
LOH11CR2A	-0.7085
RELL2	-2.308
MAB21L1	1.71575
C20orf59	-0.612666666666667
PHKB	-0.29025
ADAM2	0.211833333333333
TBC1D8B	0.6565
FAM13A1	-1.047875
LAPTM4B	-0.603333333333333
LCN8	-0.1955
TMEM147	0.1605
SYT4	-0.266
XPO7	-0.0775
C9orf62	-0.44425
GPR75	0.759
TRIM5	1.159125
APOC1	-0.725833333333333
RNASE4	2.399
PARD6B	1.207875
ARID1A	0.549583333333333
TPD52L3	0.1278
RRAGB	2.29283333333333
RCN2	-0.295
HIST2H2BE	1.0503125
STARD7	1.03975
SHMT2	-1.07
KIAA1751	-0.128333333333333
MLYCD	0.310875
LOC162632	0.2109
UQCRH	-1.87075
RP11-217H1.1	0.438125
SDHA	-0.108
NCLN	-0.4745
ZNF17	1.22833333333333
RCBTB2	-1.95275
VEGFB	-0.525
RP4-747L4.3	-0.2875
COLQ	1.6387
MPN2	-1.183
DRG2	-0.211
KLRB1	3.633
ALPK2	-3.73625
DNASE2B	1.958
FLJ23834	-0.428666666666667
AXUD1	1.84833333333333
SAFB	0.5155
NSUN4	-0.7395
RFX2	-0.530833333333333
MAPK8IP1	-0.1005
FANCD2	-0.796
ANKZF1	-0.925333333333333
C19orf50	0.012375
DUSP8	1.65025
SENP5	0.099
NFKBIL2	0.17025
LBR	-2.09925
IGFL1	2.2625
LZTS2	0.4725
IL2RG	-1.429
CCDC51	-0.768
KLF3	0.24825
ANKRD37	-1.46225
KCTD14	-1.5175
FZR1	0.863916666666667
SLC44A4	4.0636
ESPL1	-0.623875
GMPR2	0.1301
TBC1D19	-0.0161666666666667
ERGIC1	1.08622222222222
ERBB4	4.0194
TSPAN32	-0.23525
MAP4	0.23725
GPHN	0.0885
SLC6A2	-0.345125
HIVEP1	0.61475
DFFB	-0.332
EIF4EBP2	0.000499999999999987
DMRT1	-0.22025
HSPB6	-0.368
IER2	1.42833333333333
AIFM1	-0.1285
WWC2	0.283
MRPL4	-0.405
FLJ21062	0.104333333333333
EPB41L4A	1.388
SH2D6	-0.02325
TAF4B	0.28875
GAL3ST3	-0.0445
MALT1	-0.3265
RTDR1	-0.78725
ARVCF	0.223
MEX3B	-0.472833333333333
FBXO16	1.07125
KIF7	0.26975
C1QC	3.18
ZNF783	-0.252666666666667
ZNF85	1.332
MMP13	5.293
KIAA0329	0.74175
RTP3	-0.4795
ZBED3	-0.7825
CLGN	-0.61625
SLC25A37	-1.344125
hCG_18290	-0.53375
OR5AS1	0.23
SMARCC2	0.484416666666667
FAM109A	0.5995
CCDC12	-0.568
USF2	1.3351
DEPDC7	-2.51525
C20orf24	0.12
JMJD3	1.3265
DSP	1.29364285714286
SLIC1	0.18975
FAM20A	0.781125
IRF2BP2	0.676625
ZNF230	0.4905
MSN	-1.49585714285714
SLC9A5	-2.773
EPDR1	-2.5172
MUSK	0.575
ZNF434	0.660666666666667
