Hybridization REF	TCGA-AN-A0XW-01A-11R-A109-07
DCUN1D5	-1.65166666666667
DKFZP564J0863	-1.33675
SLC9A3R1	0.584625
BCDO2	-0.491625
CHMP7	0.482625
REM2	-0.24
DNHD1	0.10975
FKBP4	-0.036125
ZNF350	0.91675
MGC11102	0.0445
BST1	2.3765
KISS1R	0.6345
NCR2	-0.289
DEFB125	2.635
UBE2W	0.619125
KRT15	0.148875
C10orf99	0.353
SCN11A	0.756125
GFI1	-1.092
RDHE2	3.87216666666667
FHL1	-0.970833333333333
OSGEP	-0.254
GATA1	-3.52966666666667
SMC6	-0.446
TTTY14	-1.26025
LPIN3	-0.2745
RPL4	-0.2512
RBPMS	0.1526
PRPF3	-0.432333333333333
EMR1	-1.0525
SPATA19	0.1795
XCR1	0.265
IRX3	1.8688
RBM6	-0.58425
KLF4	0.1762
UNC5CL	0.69225
SEBOX	0.727
BTK	0.1635
KRCC1	0.88675
C6orf27	0.2395
SYTL5	0.711
PRND	0.80725
LOC653319	-0.767
PIGL	-0.8895
HUS1	-0.291
SFRS6	0.163166666666667
C17orf77	-0.048
UIMC1	-0.432166666666667
FXYD2	-1.3463
LOC283152	0.211
ZNF667	-0.44375
ZCCHC12	-0.234
TFEC	4.4786
ATP7B	0.2395
POLD2	-0.874333333333333
RG9MTD1	-0.57275
ACOT2	0.289166666666667
HIST1H4I	-0.42775
PPARGC1A	-1.8434
ETFA	-1.4579
POLRMT	-0.2385
ZNF146	0.24475
MIA2	-1.219
KLHL6	0.541
HOXB5	-0.80775
NENF	1.72166666666667
CUGBP1	-0.35475
PRSS22	1.616
CASC4	1.3808
CUL4B	-0.1401
CENPJ	-1.2416
PITX1	-0.987
FLJ31033	0.886333333333333
CELSR3	-0.2295
ZNF568	0.3905
ITSN1	0.08875
EHBP1L1	-0.502666666666667
C19orf2	-0.3885
DCTN1	-0.342
LIN28B	-2.954
TNKS2	-0.2575
C1QBP	-1.3925
CADPS2	0.5715
SRMS	0.6665
GJA9	0.297
MGC24975	-0.338666666666667
TRIM45	-1.1315
TSP50	0.46725
TCP1	-1.6675
TMED7	0.3263
CMA1	0.644
CENPL	-0.530166666666667
PTCRA	0.5755
FST	-1.42475
VWCE	-3.85525
PAWR	0.011
ABCC12	0.2995
LDLR	1.3799
ASTN2	1.5892
LOC441212	-0.712375
GPATCH8	0.03575
TANC2	-0.00941666666666665
KIF4A	-0.72675
C18orf18	-1.34725
PGM1	-1.10625
KIAA0258	-0.05125
CPD	0.491375
SNCAIP	-0.66875
DCT	-4.31733333333333
HLA-DOA	3.53086363636364
OR11L1	0.3575
UPK1B	-0.2715
DNAJB4	0.3755
UGT1A8	0.128
HIST1H4L	-1.0345
PECR	-1.34616666666667
HSPA2	0.6245
WFIKKN1	-0.2675
SERP1	0.25825
SYDE2	0.218
TACR2	0.622
NUP85	-0.707
CD177	1.61216666666667
LGR5	-0.301166666666667
PIGG	0.05175
PTHR1	-1.0715
RAB5A	0.0986
FLJ13224	-0.012
USP9Y	-1.93766666666667
C7orf53	-2.0265
LRP1B	1.516
XAF1	2.6987
ABCG8	0.095
ANKDD1A	-0.549666666666667
DAND5	-1.341
SPAG6	0.0258333333333333
LINCR	1.32375
ZDHHC22	-1.67775
CCDC60	1.083
THOC7	-1.02316666666667
TCTA	1.0231
OR8K3	0.14575
NY-REN-7	-0.6195
B2M	2.09783333333333
C6orf141	-2.42575
LPPR4	1.838
SQLE	-0.488
SEPHS1	-0.21425
BTBD14B	0.433
PLRG1	-0.59675
SPG7	-0.492125
ZNF614	-0.494
PARD6G	0.963833333333334
INPP5B	-0.5214
GRPEL2	-0.359625
PPID	-0.8196
TRIM56	-0.78125
UBE2J1	-0.257875
IL20RA	3.31275
LOC387856	1.29975
C1orf107	0.7255
UTS2R	0.52625
C19orf22	0.134
SAFB2	-0.244875
KIAA0652	0.2315
KLRG1	0.0563333333333333
MS4A8B	0.333833333333333
FRAG1	0.13425
KIAA1546	0.23525
E2F4	-0.9112
CLEC4M	0.0105
BTBD14A	-1.1915
KIAA0999	-0.045
GYPA	-3.208
TAC1	-0.0592
TRAIP	-0.751666666666667
KIAA0232	0.7066
ERCC8	-0.761625
GPX4	0.66475
KIAA0368	0.152
GPR157	-1.02766666666667
CTAGE4	0.4935
C9orf30	-0.313833333333333
OR52A1	-0.067
HSP90B3P	-0.4385
ALG9	-0.3879
BTBD10	1.269
SDK2	0.554
BAIAP3	-1.49625
RABGGTB	-1.277125
ANKRD40	0.751333333333333
KRT74	0.281
CALCOCO2	1.77307142857143
SNCA	-2.88175
TMSL8	-1.868875
C2orf53	-0.073
ESRRB	-0.355
ARHGAP26	-0.270125
TDRD9	-1.968
HRAS	0.219666666666667
KLRC4	-1.2335
JAGN1	-0.347166666666667
BSDC1	0.3475
RNF43	0.9834
NDUFAF1	0.44825
PHF12	0.31175
OR1L3	0.5855
FOLR2	2.45491666666667
LYZL6	-0.188666666666667
tcag7.1260	-0.6295
WSB1	-1.515
PROS1	-0.8768
OSTN	0.6765
PSMB8	1.69175
SOCS4	0.1315
DDIT4L	4.136
MAS1	0.216
MGC34796	0.491
CSHL1	0.484
TBCCD1	0.350333333333333
ZBTB7C	0.018
AP2S1	0.30975
P15RS	0.2351
VAT1	-0.4639
SHANK3	0.809333333333333
TUFM	-0.188333333333333
THEG	-0.15225
KRT34	-1.66075
SGSM3	-0.215875
TOMM22	-0.828875
SOCS3	1.044
CPO	0.28
POP4	0.51175
BHLHB3	1.3145
MALL	0.8045
OR1B1	0.415
PARK2	1.21466666666667
GPR124	0.737875
LCE1E	0.603
RUVBL2	-0.154
CGRRF1	0.5624
ACPL2	0.53525
WNT10B	-2.6155
BAIAP2L2	-2.143375
ISCA1	0.574
C1orf125	0.348375
RPAP1	-0.73725
RAI16	0.160333333333333
RPL27	-0.75125
NLRP9	-0.772
EPN1	0.5185
LOC388610	-0.9545
SLC35A1	-0.0771
GAL	-3.8285
SLC14A2	0.24425
RDH11	-0.661333333333333
FAM138F	-0.216
AUH	-0.30125
FLJ40243	0.2505
C14orf129	0.712333333333333
MBD2	-0.434
ABHD14B	-0.022875
PIGT	0.54875
ALS2CR4	-0.2225
ALAS1	0.1697
FOXO1	1.39316666666667
CRLF3	-0.507375
C20orf107	-0.163
FARS2	0.398
CCDC28A	0.196
NPHP3	-0.296
OR13F1	-0.061
TSEN54	-0.3815
DEFB106B	-0.4236
OR8B4	0.563
STH	1.496
ZC3H14	-0.1055
CBX2	0.218
TMEM49	1.24875
C6orf21	0.499
FLJ20920	1.692375
CRTAP	-0.0400714285714286
DDX50	-0.7465
STYXL1	0.39775
BLVRB	1.03216666666667
LOC147650	-0.405166666666667
MMP24	0.34125
GRID1	1.88416666666667
BANF1	-0.567833333333333
CTAGEP	0.5435
HMBS	-2.2125
SLC25A24	-0.992833333333333
C14orf50	-0.295
MRO	1.10366666666667
SLC25A15	-1.007
FAM84B	0.6682
TDP1	-0.841
C16orf78	-0.00416666666666668
C11orf57	-0.657
RFK	-0.391875
ZFYVE9	-0.11725
STCH	-0.566
WIBG	0.03675
LOC283871	-0.0116666666666667
GBA2	-0.8064
NDUFB3	0.11275
HSD17B13	-0.42675
GRIN3A	3.134
FMNL1	0.4135
SEPT7	-0.3316
GNLY	4.9955
GRAMD1C	0.1185
ZNF165	0.6975
USP38	0.51625
FAM83A	-3.65683333333333
C14orf24	0.5615
ARMCX3	0.953375
ARHGDIB	0.812
AK1	-0.159875
KIAA1045	-0.0625
DNAJB13	-0.442666666666667
NEU2	1.047
HIST1H4B	-0.703333333333333
FAM20B	0.2451
HES2	0.0527142857142857
FAM73B	-0.3202
LOC388381	0.355
INTS7	0.194727272727273
AMPH	2.7315
ZNF775	-0.236875
UCKL1	-0.5345
C10orf97	0.655
C1orf161	-0.16825
ALDH1L1	-2.0865
FLJ39378	-0.0225
SLC23A1	-1.8835
RBM4B	0.5935
THAP4	0.031
OGFRL1	-0.16275
KIAA0831	0.00225000000000001
PPP1R15A	-0.645
C1orf96	-0.00592857142857143
C12orf11	-1.88525
BMF	0.66825
MAN1A1	-0.3605
KIAA1600	0.358833333333333
NLGN4X	1.78925
ALOX12	-1.26733333333333
RB1CC1	-0.1386
NEIL2	0.298
EIF4E	-0.799363636363636
ABHD5	0.08775
EXOC4	-0.0123333333333334
CIP29	0.044
BATF2	2.68825
SLC29A4	-0.71
HTR4	0.58375
EMB	-0.13125
TRAF6	1.189
LMNB1	-1.13225
FAM19A5	0.317625
SHE	1.61525
PIK3C2B	0.4175
C15orf15	-1.0374
USP15	0.1651
TCEAL2	1.0565
C5orf39	-0.751333333333333
PTGER2	-0.31675
SLC31A1	-0.637
IFT172	-0.0315
ADAM29	0.13625
GFOD1	-0.953
ST7L	-0.11
C15orf26	-2.81025
PKN3	-1.84375
CNTD1	1.96933333333333
COMMD1	0.672875
NTRK2	1.75166666666667
FOXN3	0.341
MFGE8	0.0235
PFKFB2	1.83466666666667
TAS2R4	-0.187
ENTHD1	0.587833333333333
PRMT5	-0.969625
MGC16384	-1.429375
LOC442229	-0.8785
TSKU	-0.242875
KRTCAP3	1.3415
PDLIM1	0.2925
KCNS2	0.29975
RNF126	-0.737
CEP63	-0.30275
CLIC4	0.00462499999999999
hCG_1990170	-0.47075
ACR	0.405
KLK7	1.23625
ALOX5AP	3.053125
RIPK3	3.4785
TAS2R9	0.17
C19orf18	0.174
BIRC6	0.139071428571429
ZNF16	0.576
RFT1	-0.19125
SLC8A2	-0.81175
TACC1	0.107625
ITGAD	1.21175
SAMHD1	2.2705
SH3PXD2B	1.389
EPC2	0.33625
C20orf85	0.47
ATP13A2	0.499833333333333
KRT4	0.5585
CAPNS1	0.383
MDM2	-0.888666666666667
PCDH20	1.41825
KCNK9	0.8555
OR2C1	0.2635
KLHDC3	-1.007
IPPK	0.346
EFHD2	0.32
GALR3	0.4885
NBEA	0.532666666666667
ABCA6	2.5359
CLDN3	0.0398333333333333
AKT2	-0.674357142857143
EGFR	-1.1061
RBM16	-0.22675
ZDHHC3	0.2625
SLC25A4	-0.271666666666667
CYB5B	-0.718666666666667
CPXM1	0.845
NDRG1	-1.19692307692308
FLJ43826	0.64275
OR5L2	0.396166666666667
FARP2	0.7241
MRPL46	-0.731583333333333
LDHAL6B	0.373166666666667
MAPKAPK3	-0.505
NCAM2	-0.14025
PRKD2	0.2805
ZFP36L1	1.0347
CYSLTR1	0.795
OR4C3	0.1325
HIST1H2AJ	0.665
CCNB2	-1.36288888888889
ZNF10	0.16125
TMEM175	0.5635
FAM134A	0.216666666666667
TIGD4	-0.279
PCNP	-0.5385
MGC39715	0.402
LQK1	-2.49025
CREB1	0.2029
TMPRSS3	2.533
C4orf32	0.1175
LAT	-0.71975
KCNA3	0.3705
SKIV2L2	-0.523
ROPN1B	-3.82125
tcag7.23	0.1765
CDT1	-2.46675
ZHX2	1.0665
CD28	-2.259
ZNF624	1.21575
SEPT2	0.575416666666667
SOHLH2	0.732875
MCOLN3	-0.66425
UNQ1945	0.6245
MASP2	-1.0315
ZNRF3	-0.1346
GPATCH3	-0.44975
AGL	2.48875
QRICH2	-0.398
PSD4	0.440666666666667
CCNB1IP1	-1.42525
ENPP7	0.3135
OBFC1	0.608
KCNG3	-1.891
C14orf79	0.117416666666667
ENPEP	2.6845
SCT	2.66
SKI	0.647375
SEC61G	-0.5705
CAPN11	0.64325
ATXN7L3	-0.18775
DBNDD1	0.0801666666666667
FAIM	-0.10575
ANKRD36	-1.0615
GABRP	0.771666666666667
TACSTD2	1.35033333333333
EIF3J	-0.51175
PPP2R2A	-0.317
TEKT4	0.47
PVALB	0.7705
F10	-1.89883333333333
FAM134C	0.5846
COMP	4.69725
EFCBP1	-1.9029375
SCLT1	-0.3535
TAL1	-1.2818
ACSL1	1.04075
ABCC5	-0.133916666666667
ABL1	-0.219833333333333
RBBP7	-0.05525
PTPRG	0.295875
NCOR1	0.116
SPINK4	-1.18083333333333
TXNRD1	-0.9534
TNRC15	0.5945
C9orf138	0.223125
UBE2H	0.949333333333333
BRDT	2.20616666666667
C8orf31	0.407
CCNE2	-1.07409090909091
SLC6A8	-1.931875
CALCR	-2.636
PPP1CB	0.239083333333333
ABHD8	0.4335
ARF5	0.1792
SLC24A4	0.97725
CCT3	0.272
ZNF121	0.358875
SLC3A2	-0.3163
OR13A1	0.409
SLC5A10	0.28575
RAD50	0.183
IER5	-0.144375
MTHFD1L	-1.933125
MBTPS2	0.058
MVK	-0.533625
NCL	-0.1817
PSMD10	-0.37425
MOBP	0.1975
FLJ32894	0.055
HRH1	-0.316166666666667
C5orf30	1.91225
NUDT16L1	0.3576
RASGRP3	3.86083333333333
PRKRIP1	-0.4094
CCDC75	-0.12
LOC253970	0.29275
KIAA1239	-0.350666666666667
MED21	-0.1505
SYT11	1.00316666666667
NTSR2	-0.0425
EGFL11	0.2395
CXorf59	-0.0680000000000001
OR2A25	0.151
SPTBN2	-1.93575
LRMP	-0.714666666666667
RNF111	0.45975
PTH	0.5235
LOC619208	0.459333333333333
KIAA0895	1.18075
RANBP5	-0.19125
P2RY10	2.14066666666667
NME5	3.78983333333333
DDX21	-1.74875
LRSAM1	-0.004
HDAC11	0.297
VMO1	2.378
NOLA2	-0.117
ADAR	1.088
MTO1	-0.8945
SF4	0.109833333333333
P2RX1	0.614666666666667
HBM	0.0965
EN2	0.7385
C14orf172	-0.06125
TM9SF2	0.6812
INHBE	-1.2695
TCTE3	-0.113666666666667
TOX2	-2.2445
CTAGE3	0.236625
HBB	2.6293
MED15	-0.220333333333333
CASR	-0.0585
C6orf66	-1.41866666666667
MTPN	-0.2405
UNC50	-0.47025
C21orf33	-0.30625
IRF2	0.8565
PGR	1.39783333333333
GPR84	3.72875
CROCCL1	-1.65675
SRPX	-0.8605
BRE	0.4935
FGF10	2.20825
SDC3	1.0835
ZRSR1	0.462166666666667
DKFZP434P211	-0.400625
SOX6	0.423
RPUSD2	-0.4305
C14orf173	0.169833333333333
MAPK11	-0.0425
TBC1D22A	0.4635
FAM123A	-0.47
COL4A6	0.394666666666667
TOMM70A	0.21375
NAB1	0.22825
MGC16385	-0.870125
TSPAN18	0.4445
MED31	-0.3095
PLG	-0.10375
CAPSL	3.435
ZNF532	1.3982
ASB14	0.56225
CA8	-2.1785
NUDT16P	2.05766666666667
SLFN11	0.2405
LRRIQ2	-0.07025
NOL7	-0.567166666666667
BRMS1L	-0.691
JARID1A	0.0993333333333333
PANK2	-0.445
ICAM3	0.2685
MDS1	-0.87
TAF8	-0.92575
RNF139	0.47675
ZNF594	-0.435333333333333
ADAM8	2.104875
SFTPC	-0.314375
MAN2B2	1.27875
RGS12	0.6851875
EIF1AY	-5.31841666666667
LRRIQ1	0.8795
GPR150	0.7025
CCDC21	-1.35166666666667
PRRG3	0.457
SAA4	-4.10325
RAPGEF5	0.69525
ZCCHC2	-0.270083333333333
MGC39372	1.0075
PPP4R2	-0.109
CDCA2	-1.23733333333333
OR4D5	0.253666666666667
PTGFRN	0.4533
SIGLEC5	2.1155
C19orf61	0.081
NMUR2	0.326
KIAA1586	-0.634
DAGLA	-1.05566666666667
CHCHD6	-0.19075
GPR32	1.278
NEUROD6	-0.371166666666667
SLC2A4RG	-0.193625
CA5B	0.29375
FBXL3	0.64175
MPHOSPH9	-0.7205
HMG2L1	0.46675
HCN4	0.287333333333333
CEACAM19	0.01925
SH2D4B	0.313333333333333
HFE2	-1.324
TGM4	0.394
LYPD2	-0.036
TBC1D15	-0.047
MRPS21	0.243
NONO	-1.0559
CLEC5A	1.771375
ITCH	-0.6978
MGAT3	-1.56266666666667
MBP	-0.219625
RPP25	-1.35625
SOSTDC1	2.70525
HRC	-1.74925
TRIM48	0.2455
TMEM133	1.179
ECEL1P2	-1.05525
HOXC11	0.7715
DOK5	0.199
HELZ	-0.343
LOC348180	-0.84325
MGC33894	0.30175
ADRB3	0.1265
DMD	-0.2575
PTRH2	1.0495
MPEG1	3.489
NDUFA12	0.3135
KRTAP2-4	0.446333333333333
STAMBPL1	-0.5085
ADCY2	1.04766666666667
UNQ6125	0.722
KLHL20	0.302666666666667
SRM	-0.88975
OTC	-0.25925
TMIE	0.081
SNX8	-0.00325
LIPK	0.475
CHURC1	0.698333333333333
KLC2	0.082
HDAC1	-0.3445
FAM128A	1.3765
FNDC3B	0.3086
MTCP1	0.260166666666667
WFDC10B	0.6635
PCDHGB3	-0.465
ATRNL1	-1.9404
CAV2	0.09475
MED26	0.205333333333333
DUS1L	-1.07275
CHRM3	-2.032
NEK9	0.52975
WARS2	-0.09225
TBX22	2.331
TOMM40	-0.351
RP6-213H19.1	-1.3645
TUBGCP5	0.02
IGSF6	5.06475
TPPP	1.33716666666667
UNQ6190	-0.6725
GSTM5	0.147625
BTD	0.830166666666667
PDCD1LG2	2.37683333333333
SNRPB2	-0.916666666666667
ERICH1	-0.164375
APOA4	-1.518375
HOXA11	-1.28725
NARG1	-0.6505
MKX	0.2645
RAB28	0.193571428571429
PKP3	0.6265
SH3GL2	1.0695
CTSO	3.87875
RPN2	0.1585
IL28RA	-0.842833333333333
SFMBT1	-0.16325
WDR57	-0.28125
FER1L3	0.927583333333333
HSF5	0.128666666666667
TTC9B	0.1045
C4BPA	-3.83116666666667
ALB	-3.38323076923077
SORBS3	0.810875
UPF2	0.184
JPH1	0.727
AGBL2	-0.2415
DOPEY1	0.64
TERF1	-0.193166666666667
KIF22	-0.526
NINJ1	2.22375
SEC61A2	-0.3295
HIST1H1D	-0.652666666666667
SFXN4	-0.97175
UCP3	0.4856
ZNF703	0.8855
MYL6B	-0.397
TREM1	2.04225
OR52E6	-0.114
CKMT2	0.94475
HLA-C	2.639125
SLC13A3	-1.61783333333333
TIMP4	-2.067
SLIT2	2.71775
RSF1	2.11672222222222
LONRF1	0.0035
MON1A	0.5655
CACNG6	-1.69916666666667
DPPA4	-5.3065
ZSWIM3	0.1695
ZNF804A	1.04416666666667
CCIN	1.54575
SLC25A31	0.07175
KCNMB4	-0.55625
RABL5	0.574625
GALNS	0.1781
STX6	0.8375
HIST1H1C	0.354666666666667
CIDEB	-0.070875
CASP4	0.609333333333333
PDK3	0.5518
KCNJ11	1.7845
TPR	-0.136625
ZSCAN20	-0.519
MTX2	-0.22275
HIST1H2BH	0.33775
LOC283767	1.30875
LYRM7	-1.23277777777778
BRD3	-0.162666666666667
HIST1H2BO	0.13925
MAGEB10	-0.049
SLC45A1	1.53225
SERPINA3	1.7781
KIAA0143	1.1285
KCNJ16	-0.269333333333333
KRT79	-0.08
FABP2	-0.41225
NUT	0.4785
ZNF57	-0.3145
FBXL4	0.60275
CLEC9A	1.7095
UGT8	-1.15816666666667
BMP2K	1.23775
MAPK4	-3.4215
SLC25A23	0.1146
HINT1	0.1568
KRTAP13-1	0.1705
SFXN5	0.2883
CHCHD2	0.159916666666667
FAM3D	0.7775
NDP	-2.975
RHOBTB1	0.757333333333333
SLC4A4	-1.408375
RPL38	-0.29725
HTF9C	-0.682166666666667
AP2A2	0.724875
ZBTB46	-0.3625
MAP7D1	0.50475
AOX1	-0.983833333333333
CYR61	1.92508333333333
DTNA	0.898214285714286
JRKL	-0.1875
TMOD3	-0.049
EEA1	-0.0969
ADCK5	-0.23775
IL1R1	1.49483333333333
KLK3	0.401
HRSP12	-0.41775
KTN1	0.6685
LOH11CR2A	1.2387
RELL2	-1.079
MAB21L1	2.6915
C20orf59	-1.42466666666667
PHKB	0.731
ADAM2	-1.37283333333333
TBC1D8B	1.297
FAM13A1	-0.8475
LAPTM4B	-2.01558333333333
LCN8	-0.0565
TMEM147	0.8915
SYT4	1.50866666666667
XPO7	-0.316
C9orf62	0.789
GPR75	-0.542
TRIM5	0.126625
APOC1	0.967
RNASE4	0.117333333333333
PARD6B	-3.097125
ARID1A	0.269666666666667
TPD52L3	-0.2627
RRAGB	1.49516666666667
RCN2	-0.5405
HIST2H2BE	1.3521875
STARD7	-0.14
SHMT2	-1.4245
KIAA1751	0.705333333333333
MLYCD	0.14075
LOC162632	1.2101
UQCRH	-1.534
RP11-217H1.1	-0.3340625
SDHA	-1.2045
NCLN	-0.6377
ZNF17	0.612166666666667
RCBTB2	-1.1345
VEGFB	-0.4845
RP4-747L4.3	-0.08675
COLQ	0.3242
MPN2	-0.602333333333333
DRG2	-0.0915
KLRB1	5.701
ALPK2	0.6155
DNASE2B	0.407
FLJ23834	1.4605
AXUD1	0.349833333333333
SAFB	-0.1821
NSUN4	-0.30675
RFX2	0.610333333333333
MAPK8IP1	0.474166666666667
FANCD2	-1.18128571428571
ANKZF1	-1.58666666666667
C19orf50	-0.029
DUSP8	0.900625
SENP5	-0.41425
NFKBIL2	-0.8825
LBR	-1.57625
IGFL1	1.776
LZTS2	-0.306125
IL2RG	1.313625
CCDC51	0.02225
KLF3	0.280375
ANKRD37	-0.89
KCTD14	0.0206666666666667
FZR1	0.17425
SLC44A4	3.0219
ESPL1	-0.911625
GMPR2	-0.1666
TBC1D19	0.381333333333333
ERGIC1	0.72537037037037
ERBB4	2.4162
TSPAN32	0.745916666666667
MAP4	0.293375
GPHN	-0.89475
SLC6A2	0.374
HIVEP1	0.90975
DFFB	-0.3976
EIF4EBP2	-0.265
DMRT1	0.57825
HSPB6	-0.022
IER2	0.838833333333333
AIFM1	-0.717
WWC2	-0.184833333333333
MRPL4	-0.258
FLJ21062	0.453833333333333
EPB41L4A	1.06691666666667
SH2D6	0.1675
TAF4B	-0.0815
GAL3ST3	-0.517
MALT1	-0.0333333333333333
RTDR1	0.17075
ARVCF	-0.536375
MEX3B	0.218333333333333
FBXO16	0.93275
KIF7	-1.15275
C1QC	3.981
ZNF783	-0.720833333333333
ZNF85	-0.26725
MMP13	5.235
KIAA0329	-0.08625
RTP3	-0.561
ZBED3	-0.241
CLGN	-2.77675
SLC25A37	-1.51375
hCG_18290	-0.223
OR5AS1	0.2855
SMARCC2	0.512916666666667
FAM109A	0.290333333333333
CCDC12	-0.0445
USF2	0.8536
DEPDC7	-0.54325
C20orf24	-0.2015
JMJD3	0.211
DSP	0.435285714285714
SLIC1	1.271375
FAM20A	2.270625
IRF2BP2	0.4645
ZNF230	0.6555
MSN	0.637928571428571
SLC9A5	-1.4025
EPDR1	0.3088
MUSK	0.138333333333333
ZNF434	0.302166666666667
SMARCD1	-0.308666666666667
ZFP106	-0.31
ZNF347	-0.1817
GTF2E1	-0.03575
RY1	-0.0751666666666667
