Hybridization REF	TCGA-E2-A10B-01A-11R-A10J-07
C7orf33	0.3015
PLIN	3.19283333333333
LOC90826	0.1305
RNF4	-0.4088
F8A1	-0.191
PLEKHG4	-0.3245
GRB2	-0.03305
HIST1H2AD	0.68775
DUS3L	-0.411333333333333
EIF1	0.00783333333333333
RP5-1077B9.4	-0.7865
FPGT	1.26275
GDF10	0.211833333333333
COQ9	0.26725
GCC2	0.0929285714285714
RARRES3	2.66325
PLXNA1	-0.6388
KIAA0100	-0.5542
PMF1	0.38475
FNDC1	4.9835
HS2ST1	-0.11225
CRELD2	0.83175
C8G	-0.8675
CD82	1.08225
LIM2	-0.115
UNQ6490	0.012
MMP16	0.1185
DRD3	-0.224
C5orf26	-0.68425
C11orf73	-0.142
PTP4A2	0.8515
OR4M2	0.139
HPCA	-1.361
SEC14L1	-0.683833333333333
CHFR	-0.153375
EMILIN1	0.81375
NDUFS4	0.6315
COL18A1	0.130375
PDZD3	-0.1363
C9orf16	0.282666666666667
ERBB2IP	0.769333333333333
EMX2	2.83425
FUS	-0.62325
TF	-3.3391
CLCN4	-0.177833333333333
CXorf56	0.22025
C11orf72	0.24475
ELAC2	-0.0465
NPR1	-0.78325
ASS1	-1.90883333333333
USP42	-0.025375
POLR2J	-0.4915
SEC23IP	0.574166666666667
UQCRC1	0.14875
LOC729603	-0.413
C1orf71	0.211875
POLG	-2.0585
ADAM23	-3.12275
TFR2	-1.128
RICTOR	-1.1129
MGC39606	0.04375
C19orf55	-0.202625
SNAPC1	-1.59666666666667
GNA11	1.031
CCDC52	0.408166666666667
FSIP1	3.9445
UPF3A	-0.077125
IGSF11	-2.136
LAGE3	0.74075
CHST6	-1.2755
UNC13B	0.801
TTLL4	-1.175875
ZNF687	0.31325
SDC2	-0.1756
COX7A2	-0.01975
LAMB4	-1.12075
FAM24A	0.114
LRRTM3	-0.399333333333333
GPHB5	-0.0715
OR4C13	0.021
EIF3EIP	-0.419142857142857
HABP4	-0.4495
TMEM125	3.61525
CNTN2	1.770125
ASNSD1	-0.26125
FUT4	-0.549875
ACF	-3.09675
LOC158381	0.9565
CDH8	0.22425
AGPS	-0.919666666666667
C4orf18	5.093375
PECI	0.25225
UNG	0.166625
GSTP1	-1.929125
DCUN1D5	-0.227333333333333
DKFZP564J0863	-1.24525
SLC9A3R1	0.792
BCDO2	0.439
CHMP7	-0.267875
REM2	0.3
DNHD1	-0.6655
FKBP4	0.74475
ZNF350	1.6465
MGC11102	0.111
BST1	1.3635
KISS1R	0.911
NCR2	-0.032
DEFB125	0.182
UBE2W	0.5865
KRT15	0.552375
C10orf99	0.0375
SCN11A	0.047
GFI1	-1.92175
RDHE2	0.9345
FHL1	-1.218
OSGEP	-0.139666666666667
GATA1	-3.4495
SMC6	-1.06975
TTTY14	-0.87
LPIN3	0.04175
RPL4	-0.7408
RBPMS	0.3274
PRPF3	-0.473833333333333
EMR1	-2.062
SPATA19	0.09025
XCR1	0.2825
IRX3	2.2664
RBM6	-0.79425
KLF4	-0.1297
UNC5CL	-1.1
SEBOX	-0.218
BTK	-0.927
KRCC1	0.348
C6orf27	0.2275
SYTL5	-0.62
PRND	1.82625
LOC653319	-0.8515
PIGL	-0.969375
HUS1	-0.389166666666667
SFRS6	0.216166666666667
C17orf77	0.243
UIMC1	-0.202
FXYD2	-1.7712
LOC283152	2.205
ZNF667	0.85825
ZCCHC12	-0.4715
TFEC	1.647
ATP7B	-0.1585
POLD2	-0.464166666666667
RG9MTD1	-0.522
ACOT2	0.0716666666666667
HIST1H4I	-0.69
PPARGC1A	-1.8245
ETFA	-1.375
POLRMT	0.30975
ZNF146	-0.183125
MIA2	-0.364
KLHL6	-0.7645
HOXB5	-0.55075
NENF	0.250833333333333
CUGBP1	0.051
PRSS22	0.8305
CASC4	0.9691
CUL4B	0.0143
CENPJ	-1.4566
PITX1	0.762666666666667
FLJ31033	1.05
CELSR3	-0.793
ZNF568	0.51875
ITSN1	0.28
EHBP1L1	-0.685666666666667
C19orf2	-0.412
DCTN1	0.33025
LIN28B	-2.75033333333333
TNKS2	-2.0455
C1QBP	-0.507125
CADPS2	1.8995
SRMS	0.33525
GJA9	0.189333333333333
MGC24975	-0.515166666666667
TRIM45	0.0513333333333333
TSP50	0.052
TCP1	-0.964
TMED7	0.6895
CMA1	0.2545
CENPL	-0.3575
PTCRA	0.1375
FST	-1.472
VWCE	-4.0045
PAWR	0.1535
ABCC12	0.194166666666667
LDLR	-0.9129
ASTN2	2.6973
LOC441212	-1.369125
GPATCH8	-0.77525
TANC2	-0.588666666666667
KIF4A	-2.1125
C18orf18	-0.71425
PGM1	-0.813
KIAA0258	0.18475
CPD	0.210625
SNCAIP	-0.9055
DCT	-4.07483333333333
HLA-DOA	1.65822727272727
OR11L1	0.1845
UPK1B	-0.189666666666667
DNAJB4	-0.487
UGT1A8	-0.287
HIST1H4L	-0.699
PECR	-1.135
HSPA2	1.9255
WFIKKN1	-0.8115
SERP1	0.634
SYDE2	0.92175
TACR2	0.3835
NUP85	-0.978
CD177	-0.106666666666667
LGR5	-0.6385
PIGG	-0.133083333333333
PTHR1	-0.77
RAB5A	-0.00279999999999998
FLJ13224	-0.13
USP9Y	-0.678
C7orf53	-1.0665
LRP1B	0.67575
XAF1	2.5342
ABCG8	-0.364
ANKDD1A	-0.6225
DAND5	-0.2275
SPAG6	4.6
LINCR	1.67775
ZDHHC22	-1.28075
CCDC60	0.0165
THOC7	-1.19683333333333
TCTA	1.4251
OR8K3	0.075
NY-REN-7	-0.15575
B2M	1.32766666666667
C6orf141	-1.801125
LPPR4	1.24475
SQLE	-1.59125
SEPHS1	-0.42675
BTBD14B	0.749857142857143
PLRG1	-0.66725
SPG7	-0.3240625
ZNF614	-0.0856666666666667
PARD6G	0.857833333333333
INPP5B	-0.3256
GRPEL2	0.052875
PPID	-0.7841
TRIM56	0.12425
UBE2J1	-0.25775
IL20RA	2.602
LOC387856	0.1125
C1orf107	0.0754166666666667
UTS2R	1.1495
C19orf22	-0.000750000000000001
SAFB2	0.16125
KIAA0652	0.072875
KLRG1	-0.5445
MS4A8B	0.682166666666667
FRAG1	-0.00875
KIAA1546	-0.1495
E2F4	-1.1383
CLEC4M	0.325166666666667
BTBD14A	-0.85625
KIAA0999	1.4842
GYPA	-2.03183333333333
TAC1	0.5467
TRAIP	-1.26383333333333
KIAA0232	0.6844
ERCC8	-0.842625
GPX4	0.8075
KIAA0368	0.505625
GPR157	-1.03916666666667
CTAGE4	0.9515
C9orf30	-1.436
OR52A1	0.391
HSP90B3P	-0.238
ALG9	-0.5161
BTBD10	0.436
SDK2	0.63525
BAIAP3	1.3625
RABGGTB	-0.989
ANKRD40	-0.29
KRT74	-0.13
CALCOCO2	0.429071428571429
SNCA	-3.022
TMSL8	-4.498
C2orf53	-0.425
ESRRB	-0.2235
ARHGAP26	-0.99375
TDRD9	-2.46925
HRAS	0.0113333333333333
KLRC4	-2.072
JAGN1	-0.523833333333333
BSDC1	0.2205
RNF43	-0.5348
NDUFAF1	1.59
PHF12	0.2275
OR1L3	0.242
FOLR2	1.68616666666667
LYZL6	0.1205
tcag7.1260	-1.861
WSB1	-2.11433333333333
PROS1	-0.712
OSTN	0.4115
PSMB8	1.3835
SOCS4	-0.312
DDIT4L	1.50025
MAS1	-0.018
MGC34796	1.1325
CSHL1	-0.00433333333333332
TBCCD1	-0.0501666666666667
ZBTB7C	0.191
AP2S1	-0.326875
P15RS	0.0636
VAT1	-1.0003
SHANK3	0.605333333333333
TUFM	0.781333333333333
THEG	-0.1165
KRT34	-1.0985
SGSM3	0.167625
TOMM22	-0.107125
SOCS3	0.317
CPO	0.273
POP4	0.8585
BHLHB3	1.059
MALL	0.63675
OR1B1	0.2045
PARK2	0.0516666666666667
GPR124	0.182625
LCE1E	-0.085
RUVBL2	-0.0235
CGRRF1	0.0756
ACPL2	0.1665
WNT10B	-0.767625
BAIAP2L2	-2.103875
ISCA1	0.4665
C1orf125	0.229625
RPAP1	-0.96525
RAI16	0.270833333333333
RPL27	-0.8235
NLRP9	0.4425
EPN1	0.357
LOC388610	-0.902125
SLC35A1	0.7347
GAL	-3.243
SLC14A2	0.40675
RDH11	-0.848333333333333
FAM138F	-0.54
AUH	0.305
FLJ40243	0.35925
C14orf129	0.286333333333333
MBD2	-0.608
ABHD14B	0.28225
PIGT	1.754875
ALS2CR4	-0.31325
ALAS1	0.511
FOXO1	0.657333333333333
CRLF3	-0.73275
C20orf107	-0.4315
FARS2	0.70825
CCDC28A	0.53075
NPHP3	-1.249
OR13F1	0.337
TSEN54	-0.47875
DEFB106B	-0.0132
OR8B4	0.0235
STH	0.7355
ZC3H14	-0.718875
CBX2	-0.2855
TMEM49	-1.478
C6orf21	0.184
FLJ20920	-0.38475
CRTAP	-0.434571428571429
DDX50	-0.484
STYXL1	-0.29375
BLVRB	0.336
LOC147650	-0.459166666666667
MMP24	0.63475
GRID1	0.964833333333333
BANF1	-0.745333333333333
CTAGEP	0.2715
HMBS	-1.92775
SLC25A24	0.487166666666667
C14orf50	0.45375
MRO	0.637666666666667
SLC25A15	-0.536
FAM84B	0.9252
TDP1	-0.5145
C16orf78	-0.1825
C11orf57	-0.184625
RFK	-0.173875
ZFYVE9	-0.734375
STCH	-1.1566
WIBG	1.1435
LOC283871	0.199333333333333
GBA2	-0.0184
NDUFB3	-0.0675
HSD17B13	-0.50925
GRIN3A	0.532333333333333
FMNL1	-0.580666666666667
SEPT7	-0.3421
GNLY	2.828
GRAMD1C	0.196
ZNF165	0.6315
USP38	0.242
FAM83A	-2.71183333333333
C14orf24	0.127916666666667
ARMCX3	0.364125
ARHGDIB	1.00683333333333
AK1	0.9835
KIAA1045	0.34275
DNAJB13	-0.0901666666666667
NEU2	0.0285
HIST1H4B	-0.846833333333333
FAM20B	0.1581
HES2	0.142857142857143
FAM73B	0.3784
LOC388381	0.068
INTS7	0.273090909090909
AMPH	2.764
ZNF775	0.062125
UCKL1	-0.406833333333333
C10orf97	-0.06875
C1orf161	0.03775
ALDH1L1	-0.63625
FLJ39378	0.092
SLC23A1	-1.091
RBM4B	0.21375
THAP4	0.371833333333333
OGFRL1	0.30775
KIAA0831	-0.064
PPP1R15A	-0.628333333333333
C1orf96	0.608428571428571
C12orf11	-1.19225
BMF	0.800125
MAN1A1	-0.42725
KIAA1600	0.272
NLGN4X	0.17525
ALOX12	-0.662
RB1CC1	-0.3911
NEIL2	0.6869
EIF4E	-0.124954545454545
ABHD5	0.0935
EXOC4	-0.564833333333333
CIP29	0.569
BATF2	1.605
SLC29A4	-0.660875
HTR4	0.0035
EMB	-0.5735
TRAF6	0.233
LMNB1	-1.849
FAM19A5	1.102375
SHE	1.289
PIK3C2B	1.0605
C15orf15	-0.9421
USP15	0.1263
TCEAL2	0.08675
C5orf39	-0.992333333333333
PTGER2	-0.8085
SLC31A1	-0.150125
IFT172	0.68325
ADAM29	-0.00425
GFOD1	0.4265
ST7L	0.6365
C15orf26	-1.3855
PKN3	-0.772
CNTD1	2.21383333333333
COMMD1	0.33275
NTRK2	2.17583333333333
FOXN3	0.059125
MFGE8	-0.5401
PFKFB2	1.04633333333333
TAS2R4	0.1025
ENTHD1	0.119833333333333
PRMT5	-0.56525
MGC16384	-0.882875
LOC442229	-0.0845
TSKU	-0.22175
KRTCAP3	-2.199375
PDLIM1	0.2951
KCNS2	0.17025
RNF126	-0.314333333333333
CEP63	-0.000750000000000015
CLIC4	-0.327375
hCG_1990170	-0.47675
ACR	0.1277
KLK7	0.80825
ALOX5AP	3.01925
RIPK3	3.52625
TAS2R9	-0.0025
C19orf18	1.4015
BIRC6	-0.306214285714286
ZNF16	1.0095
RFT1	-0.1555
SLC8A2	-0.0545
TACC1	0.18475
ITGAD	-0.33825
SAMHD1	1.1565
SH3PXD2B	0.7897
EPC2	0.8395
C20orf85	4.578375
ATP13A2	0.671666666666667
KRT4	0.340375
CAPNS1	0.198
MDM2	-0.227083333333333
PCDH20	0.8205
KCNK9	0.526
OR2C1	-0.94
KLHDC3	-1.033
IPPK	0.5035
EFHD2	0.209125
GALR3	0.98525
NBEA	-0.104166666666667
ABCA6	1.8357
CLDN3	0.509
AKT2	-0.6685
EGFR	-2.1054
RBM16	0.2395
ZDHHC3	0.1624
SLC25A4	-0.0888333333333333
CYB5B	-0.4275
CPXM1	0.02825
NDRG1	-1.07638461538462
FLJ43826	0.2265
OR5L2	0.0528333333333333
FARP2	0.6306
MRPL46	-0.212916666666667
LDHAL6B	-0.0161666666666667
MAPKAPK3	0.307
NCAM2	-0.71325
PRKD2	0.791666666666667
ZFP36L1	1.0754
CYSLTR1	0.03525
OR4C3	0.2545
HIST1H2AJ	2.7795
CCNB2	-2.229
ZNF10	0.304625
TMEM175	0.6
FAM134A	0.5965
TIGD4	0.011
PCNP	-0.27425
MGC39715	-0.2335
LQK1	-0.17025
CREB1	0.368
TMPRSS3	1.8695
C4orf32	1.974
LAT	-1.26141666666667
KCNA3	0.1755
SKIV2L2	-0.18075
ROPN1B	-2.117
tcag7.23	-0.476
CDT1	-2.607625
ZHX2	0.38425
CD28	-2.25475
ZNF624	0.612
SEPT2	0.123083333333333
SOHLH2	-1.0495
MCOLN3	0.397375
UNQ1945	0.3445
MASP2	-0.8625
ZNRF3	-0.047
GPATCH3	-0.202
AGL	-0.391875
QRICH2	-0.333
PSD4	0.920333333333333
CCNB1IP1	-2.5455
ENPP7	0.057
OBFC1	0.09
KCNG3	-0.343
C14orf79	0.517
ENPEP	0.472333333333333
SCT	1.778
SKI	0.485625
SEC61G	-1.4155
CAPN11	0.34475
ATXN7L3	-0.364
DBNDD1	0.1915
FAIM	0.57925
ANKRD36	-0.5555
GABRP	1.17466666666667
TACSTD2	1.75233333333333
EIF3J	-0.3715
PPP2R2A	-0.6685
TEKT4	-0.176333333333333
PVALB	-1.94833333333333
F10	-2.94533333333333
FAM134C	0.5635
COMP	4.73975
EFCBP1	-2.2475625
SCLT1	0.08525
TAL1	-1.2429
ACSL1	0.28575
ABCC5	0.805583333333333
ABL1	-0.199222222222222
RBBP7	0.362083333333333
PTPRG	0.340625
NCOR1	0.2888
SPINK4	0.3245
TXNRD1	-0.8315
TNRC15	0.71725
C9orf138	0.129
UBE2H	1.40266666666667
BRDT	0.327666666666667
C8orf31	0.0685
CCNE2	-2.21863636363636
SLC6A8	-1.265625
CALCR	-3.50375
PPP1CB	0.522666666666667
ABHD8	0.49775
ARF5	0.5651
SLC24A4	0.3065
CCT3	0.40875
ZNF121	0.41475
SLC3A2	-0.6752
OR13A1	0.1475
SLC5A10	0.5555
RAD50	0.658125
IER5	0.222125
MTHFD1L	-1.920125
MBTPS2	0.14
MVK	0.24925
NCL	-0.3564
PSMD10	-0.31325
MOBP	-0.05
FLJ32894	0.636
HRH1	-0.657333333333333
C5orf30	2.14825
NUDT16L1	1.6986
RASGRP3	2.43183333333333
PRKRIP1	0.0073
CCDC75	0.23875
LOC253970	0.209
KIAA1239	0.302
MED21	0.19125
SYT11	0.297
NTSR2	-0.0515
EGFL11	0.1235
CXorf59	-0.036
OR2A25	0.03125
SPTBN2	-0.20475
LRMP	-0.9955
RNF111	-0.37475
PTH	0.074
LOC619208	0.602666666666667
KIAA0895	-0.04725
RANBP5	-1.0925
P2RY10	1.71616666666667
NME5	4.51583333333333
DDX21	-1.0625
LRSAM1	0.464
HDAC11	1.1635
VMO1	1.4925
NOLA2	0.490833333333333
ADAR	1.42025
MTO1	-1.20916666666667
SF4	0.601833333333333
P2RX1	-0.124
HBM	0.0045
EN2	1.0015
C14orf172	-0.105
TM9SF2	0.3459
INHBE	-0.547
TCTE3	0.181833333333333
TOX2	-2.3205
CTAGE3	0.366
HBB	2.9617
MED15	-0.945333333333333
CASR	0.1725
C6orf66	-1.59683333333333
MTPN	-0.112125
UNC50	0.1405
C21orf33	0.873875
IRF2	0.93575
PGR	0.666
GPR84	1.8875
CROCCL1	-2.04775
SRPX	-1.421
BRE	0.128
FGF10	0.7995
SDC3	0.247333333333333
ZRSR1	0.867666666666667
DKFZP434P211	-0.373125
SOX6	-0.1045
RPUSD2	-0.219
C14orf173	-0.388166666666667
MAPK11	-0.544166666666667
TBC1D22A	0.3875
FAM123A	-0.341
COL4A6	0.177
TOMM70A	-0.19275
NAB1	-0.704
MGC16385	0.00725
TSPAN18	0.284166666666667
MED31	-0.362
PLG	-0.194
CAPSL	5.373
ZNF532	0.9598
ASB14	0.0585
CA8	-3.46225
NUDT16P	1.94566666666667
SLFN11	-1.229
LRRIQ2	0.271875
NOL7	-0.411166666666667
BRMS1L	-0.92225
JARID1A	0.905166666666667
PANK2	-0.21075
ICAM3	0.40625
MDS1	-0.206
TAF8	-0.8355
RNF139	-0.14975
ZNF594	0.334333333333333
ADAM8	2.707
SFTPC	-0.214375
MAN2B2	1.451375
RGS12	0.4561875
EIF1AY	-4.54358333333333
LRRIQ1	-0.457
GPR150	1.366
CCDC21	-0.908666666666667
PRRG3	0.3995
SAA4	-3.10525
RAPGEF5	0.95675
ZCCHC2	0.378083333333333
MGC39372	-0.164
PPP4R2	0.372666666666667
CDCA2	-1.68216666666667
OR4D5	0.273
PTGFRN	1.1094
SIGLEC5	1.91583333333333
C19orf61	0.132
NMUR2	0.1305
KIAA1586	-1.54383333333333
DAGLA	-0.0956666666666667
CHCHD6	-0.0165
GPR32	0.3365
NEUROD6	-0.019
SLC2A4RG	0.947125
CA5B	0.00725000000000001
FBXL3	0.791
MPHOSPH9	-0.831
HMG2L1	0.23075
HCN4	0.881833333333333
CEACAM19	-0.36625
SH2D4B	0.0601666666666667
HFE2	-0.389
TGM4	0.274
LYPD2	0.01375
TBC1D15	0.084
MRPS21	0.4297
NONO	-1.0083
CLEC5A	1.6785
ITCH	0.2999
MGAT3	-0.391833333333333
MBP	0.273625
RPP25	-0.54575
SOSTDC1	0.13825
HRC	-1.36925
TRIM48	-0.12
TMEM133	-0.238
ECEL1P2	-0.71925
HOXC11	0.2295
DOK5	-0.32125
HELZ	0.189666666666667
LOC348180	-0.528
MGC33894	0.0165
ADRB3	-0.0125
DMD	-0.0903333333333334
PTRH2	-0.9085
MPEG1	2.321
NDUFA12	1.04733333333333
KRTAP2-4	0.01525
STAMBPL1	-1.29466666666667
ADCY2	0.919666666666667
UNQ6125	0.2015
KLHL20	0.469833333333333
SRM	-1.205
OTC	-0.10275
TMIE	0.128333333333333
SNX8	-0.08975
LIPK	-0.109
CHURC1	-0.442
KLC2	-0.019
HDAC1	-0.679333333333333
FAM128A	0.6795
FNDC3B	-0.5816
MTCP1	-0.458666666666667
WFDC10B	0.305
PCDHGB3	0.313
ATRNL1	0.9395
CAV2	-0.87025
MED26	0.1605
DUS1L	-0.06825
CHRM3	-1.6425
NEK9	0.36575
WARS2	-0.0935
TBX22	-0.029
TOMM40	-0.81675
RP6-213H19.1	2.35583333333333
TUBGCP5	-0.399
IGSF6	3.3825
TPPP	0.900666666666667
UNQ6190	0.00549999999999999
GSTM5	0.50275
BTD	0.823
PDCD1LG2	0.0138333333333333
SNRPB2	0.147666666666667
ERICH1	-0.377625
APOA4	-1.338875
HOXA11	-0.826
NARG1	-0.49725
MKX	0.6775
RAB28	-0.104142857142857
PKP3	0.5325
SH3GL2	-1.58425
CTSO	2.26825
RPN2	0.563875
IL28RA	0.500166666666667
SFMBT1	0.8065
WDR57	-0.323
FER1L3	0.822666666666667
HSF5	0.331166666666667
TTC9B	1.02325
C4BPA	-3.0305
ALB	0.980357142857143
SORBS3	0.1695
UPF2	-0.0575
JPH1	-0.0825
AGBL2	-0.7765
DOPEY1	1.194
TERF1	-0.180916666666667
KIF22	-0.00600000000000001
NINJ1	1.6025
SEC61A2	-0.22725
HIST1H1D	-1.09283333333333
SFXN4	-0.344875
UCP3	0.085
ZNF703	0.579833333333333
MYL6B	-0.08525
TREM1	1.44075
OR52E6	0.127
CKMT2	0.583
HLA-C	2.60725
SLC13A3	-1.681
TIMP4	1.325
SLIT2	2.159
RSF1	0.0908333333333333
LONRF1	-0.946571428571429
MON1A	-0.3205
CACNG6	-0.2855
DPPA4	-4.1105
ZSWIM3	0.86475
ZNF804A	0.153166666666667
CCIN	0.643
SLC25A31	-0.11325
KCNMB4	-0.295
RABL5	0.764875
GALNS	-0.2766
STX6	1.038125
HIST1H1C	-1.53316666666667
CIDEB	-0.2585
CASP4	-0.1345
PDK3	0.0814
KCNJ11	1.8985
TPR	-0.0045
ZSCAN20	-0.426
MTX2	-0.15025
HIST1H2BH	-0.38325
LOC283767	0.0925
LYRM7	-0.662222222222222
BRD3	1.075
HIST1H2BO	-0.8845
MAGEB10	0.713
SLC45A1	1.15225
SERPINA3	3.8929
KIAA0143	0.8515
KCNJ16	0.168166666666667
KRT79	0.00149999999999997
FABP2	-0.39425
NUT	-0.233
ZNF57	0.2815
FBXL4	0.059625
CLEC9A	0.5155
UGT8	-0.866833333333333
BMP2K	0.08025
MAPK4	-2.68775
SLC25A23	-0.0972
HINT1	-0.2705
KRTAP13-1	0.262
SFXN5	0.8346
CHCHD2	-0.06775
FAM3D	0.8965
NDP	-1.359375
RHOBTB1	0.236666666666667
SLC4A4	-0.622625
RPL38	-0.36325
HTF9C	-0.469
AP2A2	0.5315
ZBTB46	-0.179
MAP7D1	0.03625
AOX1	0.134833333333333
CYR61	-0.0025
DTNA	0.680857142857143
JRKL	-0.8085
TMOD3	-0.7315
EEA1	0.1762
ADCK5	-0.4275
IL1R1	0.954833333333333
KLK3	0.276357142857143
HRSP12	-0.9165
KTN1	-0.13725
LOH11CR2A	-0.4375
RELL2	-0.62825
MAB21L1	0.44225
C20orf59	-0.974833333333333
PHKB	-0.203
ADAM2	-1.0105
TBC1D8B	1.10116666666667
FAM13A1	0.11475
LAPTM4B	-0.66925
LCN8	-0.127
TMEM147	0.849
SYT4	0.0536666666666667
XPO7	-0.8925
C9orf62	1.364
GPR75	0.172
TRIM5	-0.02075
APOC1	-0.1305
RNASE4	0.385166666666667
PARD6B	1.215625
ARID1A	0.235916666666667
TPD52L3	0.1124
RRAGB	0.542833333333333
RCN2	-0.982833333333333
HIST2H2BE	0.745
STARD7	-0.31175
SHMT2	-0.238
KIAA1751	-0.1575
MLYCD	1.0125
LOC162632	-0.8554
UQCRH	-1.07825
RP11-217H1.1	0.4978125
SDHA	-0.504166666666667
NCLN	-0.0933
ZNF17	1.06683333333333
RCBTB2	-1.285
VEGFB	-0.0406
RP4-747L4.3	0.671
COLQ	-0.0186
MPN2	-0.587333333333333
DRG2	-0.54675
KLRB1	3.55575
ALPK2	-0.7055
DNASE2B	1.2235
FLJ23834	0.574333333333333
AXUD1	0.497166666666667
SAFB	-0.0744
NSUN4	0.1385
RFX2	0.346833333333333
MAPK8IP1	-0.025
FANCD2	-1.0965
ANKZF1	-1.32883333333333
C19orf50	-0.5185
DUSP8	0.577625
SENP5	-0.389375
NFKBIL2	-0.742
LBR	-1.012625
IGFL1	0.412
LZTS2	0.063375
IL2RG	-0.51825
CCDC51	0.2325
KLF3	0.427875
ANKRD37	-1.42475
KCTD14	-1.4555
FZR1	0.488166666666667
SLC44A4	3.7481
ESPL1	-0.92975
GMPR2	-0.5698
TBC1D19	-0.172666666666667
ERGIC1	0.142
ERBB4	2.3
TSPAN32	0.0301666666666667
MAP4	0.1565
GPHN	-1.23375
SLC6A2	-0.016875
HIVEP1	0.26825
DFFB	-0.2858
EIF4EBP2	0.189625
DMRT1	-0.1085
HSPB6	-0.03825
IER2	0.448166666666667
AIFM1	0.40825
WWC2	0.314083333333333
MRPL4	-0.2385
FLJ21062	1.32883333333333
EPB41L4A	0.445166666666667
SH2D6	0.105
TAF4B	-1.2315
GAL3ST3	-1.7925
MALT1	-0.3865
RTDR1	1.4155
ARVCF	-0.258
MEX3B	-0.0858333333333333
FBXO16	1.6695
KIF7	-0.61775
C1QC	3.19383333333333
ZNF783	-1.11133333333333
ZNF85	0.282
MMP13	2.6275
KIAA0329	0.30675
RTP3	-0.1035
ZBED3	0.65
CLGN	-3.63875
SLC25A37	-1.463875
hCG_18290	-0.39825
OR5AS1	0.2185
SMARCC2	1.15533333333333
FAM109A	0.287333333333333
CCDC12	-0.1615
USF2	0.8951
DEPDC7	-1.73025
C20orf24	0.127833333333333
JMJD3	0.5365
DSP	-0.0261428571428572
SLIC1	0.092375
FAM20A	1.317125
IRF2BP2	0.1285
ZNF230	0.171
MSN	-0.802857142857143
SLC9A5	-1.7815
EPDR1	-1.0228
MUSK	0.0708333333333333
ZNF434	0.9625
SMARCD1	-0.170333333333333
