Hybridization REF	TCGA-AR-A0TS-01A-11R-A115-07
GPATCH8	-0.1955
TANC2	-1.11608333333333
KIF4A	-1.389
C18orf18	0.33775
PGM1	0.138
KIAA0258	1.752
CPD	0.306875
SNCAIP	-0.36175
DCT	-4.2425
HLA-DOA	3.02054545454546
OR11L1	0.429
UPK1B	-0.469333333333333
DNAJB4	0.83525
UGT1A8	-0.31225
HIST1H4L	-0.657
PECR	-1.76616666666667
HSPA2	1.26975
WFIKKN1	-2.964
SERP1	1.522
SYDE2	0.28275
TACR2	0.178
NUP85	-0.1275
CD177	-0.272333333333333
LGR5	-2.43633333333333
PIGG	-0.169833333333333
PTHR1	-0.748333333333333
RAB5A	-0.7058
FLJ13224	0.3765
USP9Y	-2.4355
C7orf53	-0.294
LRP1B	-0.995
XAF1	1.8169
ABCG8	-0.8725
ANKDD1A	0.2775
DAND5	-0.4895
SPAG6	0.029
LINCR	1.063
ZDHHC22	-1.47825
CCDC60	-0.235
THOC7	-1.0405
TCTA	1.1627
OR8K3	-0.15875
NY-REN-7	-0.32225
B2M	1.98683333333333
C6orf141	-0.667
LPPR4	2.198
SQLE	-0.252
SEPHS1	0.63075
BTBD14B	0.303571428571429
PLRG1	0.6545
SPG7	-0.460625
ZNF614	0.0968333333333333
PARD6G	1.197
INPP5B	-0.5253
GRPEL2	0.101625
PPID	-0.4394
TRIM56	-0.40425
UBE2J1	0.39875
IL20RA	-0.88225
LOC387856	0.72325
C1orf107	0.431416666666667
UTS2R	1.51675
C19orf22	-0.63625
SAFB2	-0.84525
KIAA0652	-0.04425
KLRG1	0.706833333333333
MS4A8B	-0.166
FRAG1	0.38175
KIAA1546	0.27475
E2F4	-0.7727
CLEC4M	3.97433333333333
BTBD14A	-0.54425
KIAA0999	0.9338
GYPA	-4.1775
TAC1	-0.9224
TRAIP	-0.831333333333333
KIAA0232	-0.2612
ERCC8	-1.448375
GPX4	-0.27775
KIAA0368	-0.958125
GPR157	-0.915833333333333
CTAGE4	0.958
C9orf30	-1.01183333333333
OR52A1	0.434
HSP90B3P	-0.3025
ALG9	0.1241
BTBD10	0.8345
SDK2	0.595
BAIAP3	-0.93175
RABGGTB	-0.580125
ANKRD40	-0.111166666666667
KRT74	0.4165
CALCOCO2	-0.299357142857143
SNCA	-3.4915
TMSL8	0.97625
C2orf53	0.067
ESRRB	-0.581
ARHGAP26	-0.7975
TDRD9	-2.117
HRAS	0.405833333333333
KLRC4	-1.137
JAGN1	-0.379333333333333
BSDC1	0.23675
RNF43	-1.0306
NDUFAF1	-0.6545
PHF12	0.28375
OR1L3	0.12325
FOLR2	2.9915
LYZL6	0.1715
tcag7.1260	-1.1375
WSB1	-1.44666666666667
PROS1	0.4284
OSTN	0.502
PSMB8	0.62575
SOCS4	0.150625
DDIT4L	1.44325
MAS1	-0.4595
MGC34796	0.219
CSHL1	0.0993333333333333
TBCCD1	0.456333333333333
ZBTB7C	0.083
AP2S1	0.041125
P15RS	0.8356
VAT1	-1.3906
SHANK3	1.1
TUFM	-0.077
THEG	-0.624
KRT34	1.22125
SGSM3	0.684
TOMM22	0.12725
SOCS3	0.412666666666667
CPO	-0.161
POP4	0.3935
BHLHB3	-0.277
MALL	3.19625
OR1B1	0.0375
PARK2	0.514833333333333
GPR124	0.48475
LCE1E	0.2135
RUVBL2	-0.8275
CGRRF1	0.5042
ACPL2	0.63925
WNT10B	-1.35975
BAIAP2L2	-1.872
ISCA1	-0.129
C1orf125	-0.1905
RPAP1	-0.90325
RAI16	-0.153666666666667
RPL27	0.193375
NLRP9	-0.224
EPN1	0.135
LOC388610	-1.218375
SLC35A1	0.2152
GAL	-2.27125
SLC14A2	0.124
RDH11	-1.27333333333333
FAM138F	-0.395
AUH	-0.50225
FLJ40243	-0.034
C14orf129	0.7185
MBD2	-0.485166666666667
ABHD14B	-0.063375
PIGT	-0.131125
ALS2CR4	-0.221
ALAS1	0.2214
FOXO1	1.69766666666667
CRLF3	0.599875
C20orf107	-0.118
FARS2	0.39925
CCDC28A	0.89375
NPHP3	-1.41825
OR13F1	0.3965
TSEN54	-0.27575
DEFB106B	0.176
OR8B4	0.644
STH	-0.1735
ZC3H14	-0.60675
CBX2	-0.1595
TMEM49	-1.42425
C6orf21	0.619
FLJ20920	-0.262625
CRTAP	-0.574214285714286
DDX50	-0.201
STYXL1	-0.31
BLVRB	-0.330833333333333
LOC147650	-0.510833333333333
MMP24	0.1765
GRID1	1.46866666666667
BANF1	-0.440333333333333
CTAGEP	0.02975
HMBS	-1.7905
SLC25A24	-0.0316666666666667
C14orf50	1.79975
MRO	0.291
SLC25A15	-0.87925
FAM84B	0.6964
TDP1	-0.651
C16orf78	-0.117
C11orf57	0.221125
RFK	-1.050375
ZFYVE9	-1.31525
STCH	-1.3083
WIBG	-0.10275
LOC283871	0.487
GBA2	-0.4776
NDUFB3	0.0815
HSD17B13	0.06775
GRIN3A	2.09816666666667
FMNL1	0.427
SEPT7	-0.3342
GNLY	4.4925
GRAMD1C	0.714
ZNF165	0.5225
USP38	0.6975
FAM83A	-3.77066666666667
C14orf24	0.0868333333333333
ARMCX3	0.681375
ARHGDIB	1.74816666666667
AK1	0.232625
KIAA1045	1.109
DNAJB13	-0.2095
NEU2	0.337
HIST1H4B	0.571666666666667
FAM20B	-0.0117
HES2	0.289785714285714
FAM73B	-0.4029
LOC388381	-0.02825
INTS7	-0.142
AMPH	0.1865
ZNF775	0.20225
UCKL1	-0.283833333333333
C10orf97	0.388
C1orf161	-0.27575
ALDH1L1	0.20825
FLJ39378	-0.296125
SLC23A1	-2.2465
RBM4B	0.52375
THAP4	-0.184166666666667
OGFRL1	0.141
KIAA0831	-0.35025
PPP1R15A	-0.275166666666667
C1orf96	0.145357142857143
C12orf11	-2.886
BMF	1.260375
MAN1A1	-0.313625
KIAA1600	-0.0261666666666667
NLGN4X	-0.10275
ALOX12	-1.02966666666667
RB1CC1	0.4583
NEIL2	-0.376
EIF4E	-0.438727272727273
ABHD5	0.48275
EXOC4	-0.477666666666667
CIP29	-1.51616666666667
BATF2	1.07975
SLC29A4	-0.608625
HTR4	0.45475
EMB	0.30875
TRAF6	0.95
LMNB1	-3.294
FAM19A5	0.354375
SHE	1.72825
PIK3C2B	0.661
C15orf15	-0.723
USP15	-0.3607
TCEAL2	1.31125
C5orf39	2.08883333333333
PTGER2	-0.10175
SLC31A1	-0.9590625
IFT172	1.011
ADAM29	0.04175
GFOD1	-0.411
ST7L	-0.2645
C15orf26	-3.29175
PKN3	-1.1165
CNTD1	1.63833333333333
COMMD1	1.55075
NTRK2	2.895
FOXN3	0.508375
MFGE8	2.2884
PFKFB2	0.442166666666667
TAS2R4	-0.566
ENTHD1	2.42183333333333
PRMT5	-1.19
MGC16384	-0.650875
LOC442229	0.03475
TSKU	-0.366375
KRTCAP3	-2.364875
PDLIM1	0.6761
KCNS2	0.48025
RNF126	-0.130666666666667
CEP63	-0.072875
CLIC4	0.30375
hCG_1990170	2.7845
ACR	1.1457
KLK7	4.31025
ALOX5AP	3.71525
RIPK3	2.97
TAS2R9	0.166
C19orf18	1.734
BIRC6	-0.442214285714286
ZNF16	1.101
RFT1	-0.5265
SLC8A2	-0.29175
TACC1	-0.307875
ITGAD	1.81075
SAMHD1	1.89725
SH3PXD2B	1.3999
EPC2	0.8425
C20orf85	0.22125
ATP13A2	0.5215
KRT4	1.540375
CAPNS1	0.0345
MDM2	-0.415083333333333
PCDH20	0.26775
KCNK9	0.5215
OR2C1	-0.0575
KLHDC3	0.832
IPPK	-0.8415
EFHD2	0.207125
GALR3	1.273
NBEA	-1.23366666666667
ABCA6	3.4411
CLDN3	2.49333333333333
AKT2	-0.859071428571428
EGFR	0.4675
RBM16	-0.0685
ZDHHC3	0.1263
SLC25A4	-0.4375
CYB5B	-0.948666666666667
CPXM1	0.133
NDRG1	-0.213076923076923
FLJ43826	0.358
OR5L2	0.2025
FARP2	-0.3496
MRPL46	0.128916666666667
LDHAL6B	0.0956666666666667
MAPKAPK3	-0.3895
NCAM2	-4.4105
PRKD2	0.601666666666667
ZFP36L1	1.4079
CYSLTR1	0.6715
OR4C3	0.13125
HIST1H2AJ	0.9465
CCNB2	-0.213888888888889
ZNF10	0.376375
TMEM175	0.407
FAM134A	0.3115
TIGD4	0.693
PCNP	0.07325
MGC39715	0.053
LQK1	0.3475
CREB1	0.6286
TMPRSS3	1.83875
C4orf32	-0.05225
LAT	0.4385
KCNA3	0.5005
SKIV2L2	-1.666
ROPN1B	2.5815
tcag7.23	-0.34
CDT1	-1.173625
ZHX2	2.311875
CD28	-0.744
ZNF624	0.52125
SEPT2	-0.29225
SOHLH2	-2.40775
MCOLN3	0.22375
UNQ1945	0.081
MASP2	-1.082
ZNRF3	-0.7208
GPATCH3	-0.3355
AGL	0.1255
QRICH2	0.1905
PSD4	1.16083333333333
CCNB1IP1	-1.56225
ENPP7	0.05625
OBFC1	0.0985
KCNG3	-1.861
C14orf79	-0.581916666666667
ENPEP	1.38266666666667
SCT	1.4725
SKI	0.67925
SEC61G	-0.83375
CAPN11	0.957
ATXN7L3	-0.5345
DBNDD1	0.279333333333333
FAIM	1.535
ANKRD36	-0.62
GABRP	4.949
TACSTD2	3.03566666666667
EIF3J	-0.986
PPP2R2A	-0.588
TEKT4	-0.569833333333333
PVALB	-3.26866666666667
F10	-1.76366666666667
FAM134C	0.6314
COMP	4.406375
EFCBP1	-3.0235
SCLT1	0.46825
TAL1	-1.215
ACSL1	1.6545
ABCC5	0.603083333333333
ABL1	-0.832777777777778
RBBP7	-0.0798333333333333
PTPRG	-1.6085
NCOR1	-0.074
SPINK4	-2.16683333333333
TXNRD1	0.2829
TNRC15	-0.410125
C9orf138	0.828625
UBE2H	0.4365
BRDT	0.187333333333333
C8orf31	-0.18175
CCNE2	0.643
SLC6A8	-2.110125
CALCR	-4.71675
PPP1CB	1.27766666666667
ABHD8	-0.13875
ARF5	-0.0233
SLC24A4	2.37625
CCT3	0.2355
ZNF121	-0.2625
SLC3A2	-1.1739
OR13A1	0.143
SLC5A10	-0.138
RAD50	-1.116125
IER5	0.54875
MTHFD1L	-0.95125
MBTPS2	0.35175
MVK	-0.5925
NCL	0.1423
PSMD10	0.237
MOBP	0.110375
FLJ32894	0.26
HRH1	-0.980333333333333
C5orf30	-1.36575
NUDT16L1	0.6268
RASGRP3	4.3045
PRKRIP1	-0.859
CCDC75	-0.734
LOC253970	0.76575
KIAA1239	1.571
MED21	0.284
SYT11	0.60425
NTSR2	-0.4895
EGFL11	0.651
CXorf59	0.3055
OR2A25	0.0115
SPTBN2	-0.68775
LRMP	1.34266666666667
RNF111	-0.0545
PTH	0.2805
LOC619208	1.6505
KIAA0895	1.56075
RANBP5	-1.324
P2RY10	3.29533333333333
NME5	0.4585
DDX21	-0.9555
LRSAM1	0.008
HDAC11	0.115166666666667
VMO1	2.1345
NOLA2	0.132166666666667
ADAR	1.48325
MTO1	-0.8695
SF4	0.0398333333333333
P2RX1	0.2285
HBM	0.54025
EN2	0.4675
C14orf172	0.90925
TM9SF2	0.2439
INHBE	-1.21633333333333
TCTE3	-0.0125833333333333
TOX2	-1.3655
CTAGE3	-0.866625
HBB	3.9216
MED15	-0.458333333333333
CASR	0.33875
C6orf66	-0.604666666666667
MTPN	-1.386875
UNC50	0.36725
C21orf33	0.537625
IRF2	1.279
PGR	-2.29016666666667
GPR84	2.783
CROCCL1	-2.238
SRPX	-0.34575
BRE	0.578333333333333
FGF10	1.19175
SDC3	1.53583333333333
ZRSR1	-0.2005
DKFZP434P211	-0.288
SOX6	1.5
RPUSD2	-0.03925
C14orf173	0.252916666666667
MAPK11	0.211666666666667
TBC1D22A	0.515
FAM123A	-1.3425
COL4A6	-3.96983333333333
TOMM70A	-0.08325
NAB1	0.181375
MGC16385	0.72625
TSPAN18	1.39
MED31	-0.92225
PLG	-0.3805
CAPSL	-0.183
ZNF532	0.9767
ASB14	0.51275
CA8	-3.405
NUDT16P	0.898666666666667
SLFN11	-0.118
LRRIQ2	0.109875
NOL7	-0.554166666666667
BRMS1L	-0.266375
JARID1A	0.325333333333333
PANK2	-0.4175
ICAM3	0.84675
MDS1	-0.70875
TAF8	-0.26775
RNF139	0.59175
ZNF594	0.179
ADAM8	2.3905
SFTPC	-0.2905
MAN2B2	0.87625
RGS12	-0.16275
EIF1AY	-4.79408333333333
LRRIQ1	-1.49
GPR150	1.89075
CCDC21	-1.35816666666667
PRRG3	1.73675
SAA4	-2.1455
RAPGEF5	2.951
ZCCHC2	-0.09825
MGC39372	1.2735
PPP4R2	0.276833333333333
CDCA2	-1.31883333333333
OR4D5	0.421833333333333
PTGFRN	0.8802
SIGLEC5	2.08216666666667
C19orf61	-0.324
NMUR2	0.4875
KIAA1586	-0.778
DAGLA	0.0415
CHCHD6	-1.0595
GPR32	0.5695
NEUROD6	-0.383
SLC2A4RG	0.40475
CA5B	0.10275
FBXL3	0.8925
MPHOSPH9	-0.92375
HMG2L1	0.03
HCN4	1.33033333333333
CEACAM19	0.70275
SH2D4B	1.0195
HFE2	-0.9355
TGM4	-0.125833333333333
LYPD2	0.15225
TBC1D15	0.35825
MRPS21	0.7147
NONO	-0.5761
CLEC5A	1.97025
ITCH	-0.2986
MGAT3	1.05
MBP	0.286875
RPP25	0.06175
SOSTDC1	1.37825
HRC	-1.789
TRIM48	0.314
TMEM133	0.51625
ECEL1P2	-1.4895
HOXC11	-0.0685
DOK5	1.8955
HELZ	0.3305
LOC348180	-0.109
MGC33894	0.4355
ADRB3	0.0795
DMD	0.162416666666667
PTRH2	-0.82
MPEG1	3.4765
NDUFA12	0.4525
KRTAP2-4	0.157416666666667
STAMBPL1	-0.590166666666667
ADCY2	0.8125
UNQ6125	0.685
KLHL20	-0.302666666666667
SRM	-0.522
OTC	0.31625
TMIE	0.67
SNX8	0.67425
LIPK	-1.06
CHURC1	-0.922916666666667
KLC2	0.081
HDAC1	0.0128333333333333
FAM128A	-0.118333333333333
FNDC3B	1.1837
MTCP1	0.706333333333333
WFDC10B	0.1353
PCDHGB3	-0.0785
ATRNL1	-0.0439
CAV2	-0.6635
MED26	-0.303166666666667
DUS1L	0.4675
CHRM3	-0.91325
NEK9	-0.0525
WARS2	-0.3485
TBX22	-0.6725
TOMM40	-0.77625
RP6-213H19.1	0.0635
TUBGCP5	-0.58475
IGSF6	4.89025
TPPP	-0.11
UNQ6190	0.2085
GSTM5	0.00387500000000005
BTD	-0.620833333333333
PDCD1LG2	1.32983333333333
SNRPB2	-0.1805
ERICH1	-0.521
APOA4	-1.646875
HOXA11	-1.10475
NARG1	-0.386125
MKX	-0.686
RAB28	0.2065
PKP3	1.07325
SH3GL2	-0.32825
CTSO	3.52275
RPN2	0.64175
IL28RA	0.849333333333333
SFMBT1	0.86575
WDR57	-0.8305
FER1L3	-0.19775
HSF5	0.966666666666667
TTC9B	-0.33525
C4BPA	-2.51566666666667
ALB	-4.644
SORBS3	0.28125
UPF2	0.489
JPH1	-0.19
AGBL2	0.01
DOPEY1	0.959
TERF1	-0.394416666666667
KIF22	-0.171666666666667
NINJ1	0.79625
SEC61A2	-0.845166666666667
HIST1H1D	0.204333333333333
SFXN4	-0.90875
UCP3	0.0421
ZNF703	-0.0495
MYL6B	-0.55375
TREM1	1.739
OR52E6	0.4805
CKMT2	2.33475
HLA-C	2.3465
SLC13A3	-1.96533333333333
TIMP4	-0.38925
SLIT2	1.6835
RSF1	-0.412
LONRF1	-0.642285714285714
MON1A	0.3695
CACNG6	-1.4495
DPPA4	-4.98333333333333
ZSWIM3	0.5235
ZNF804A	0.375
CCIN	0.9605
SLC25A31	0.3625
KCNMB4	-1.14375
RABL5	-0.91075
GALNS	0.5508
STX6	-0.172875
HIST1H1C	2.19533333333333
CIDEB	0.305125
CASP4	0.551333333333333
PDK3	0.3216
KCNJ11	0.232
TPR	-0.75175
ZSCAN20	-0.1375
MTX2	-0.946
HIST1H2BH	1.62225
LOC283767	2.08075
LYRM7	-1.21955555555556
BRD3	-0.240833333333333
HIST1H2BO	1.711
MAGEB10	0.5245
SLC45A1	0.557
SERPINA3	0.0311
KIAA0143	1.653
KCNJ16	-0.326666666666667
KRT79	0.01325
FABP2	-1.28775
NUT	-0.07275
ZNF57	-0.67825
FBXL4	0.760875
CLEC9A	3.03
UGT8	1.10983333333333
BMP2K	0.48025
MAPK4	-0.17775
SLC25A23	-0.8324
HINT1	-0.1868
KRTAP13-1	0.2695
SFXN5	-0.1351
CHCHD2	0.592333333333333
FAM3D	3.5385
NDP	-3.51725
RHOBTB1	-0.3305
SLC4A4	-0.727625
RPL38	0.19575
HTF9C	-0.609
AP2A2	0.88025
ZBTB46	0.066
MAP7D1	0.717375
AOX1	-0.485833333333333
CYR61	1.1905
DTNA	0.981357142857143
JRKL	2.084
TMOD3	-0.48225
EEA1	-0.1584
ADCK5	0.882
IL1R1	1.54483333333333
KLK3	0.360785714285714
HRSP12	-0.042
KTN1	-0.36625
LOH11CR2A	0.00429999999999999
RELL2	-0.70825
MAB21L1	0.57375
C20orf59	-0.872166666666667
PHKB	-0.90225
ADAM2	-2.9945
TBC1D8B	1.14333333333333
FAM13A1	-0.5373125
LAPTM4B	0.385583333333333
LCN8	0.374
TMEM147	0.336
SYT4	4.62592926927149e-18
XPO7	-0.8065
C9orf62	2.2295
GPR75	-0.35
TRIM5	-0.735875
APOC1	-1.3155
RNASE4	-0.0763333333333334
PARD6B	-2.0705
ARID1A	-0.35
TPD52L3	0.1199
RRAGB	0.673833333333333
RCN2	1.91183333333333
HIST2H2BE	1.7463125
STARD7	0.59775
SHMT2	-0.54575
KIAA1751	0.158833333333333
MLYCD	0.40775
LOC162632	-0.727
UQCRH	-0.37075
RP11-217H1.1	0.3928125
SDHA	-1.1155
NCLN	-0.4317
ZNF17	0.2625
RCBTB2	-0.496
VEGFB	-0.2217
RP4-747L4.3	3.78675
COLQ	0.8678
MPN2	-0.477166666666667
DRG2	0.28
KLRB1	6.466
ALPK2	-1.629
DNASE2B	1.109
FLJ23834	-0.387333333333333
AXUD1	0.275
SAFB	-0.6245
NSUN4	0.0175
RFX2	0.134833333333333
MAPK8IP1	-0.621
FANCD2	-0.194357142857143
ANKZF1	-1.17583333333333
C19orf50	-0.556125
DUSP8	1.30525
SENP5	0.636125
NFKBIL2	-0.1375
LBR	0.68825
IGFL1	2.001
LZTS2	0.647
IL2RG	1.486125
CCDC51	-0.14925
KLF3	0.405875
ANKRD37	-1.315
KCTD14	1.06683333333333
FZR1	-0.129833333333333
SLC44A4	-0.6191
ESPL1	-0.677
GMPR2	-1.1016
TBC1D19	-0.9
ERGIC1	-0.477740740740741
ERBB4	-1.5919
TSPAN32	1.50125
MAP4	-0.543
GPHN	-1.35325
SLC6A2	3.688875
HIVEP1	0.678
DFFB	-0.2679
EIF4EBP2	0.751625
DMRT1	1.971
HSPB6	-0.08875
IER2	0.161333333333333
AIFM1	-0.3215
WWC2	-1.06975
MRPL4	-0.61325
FLJ21062	-1.60766666666667
EPB41L4A	0.508
SH2D6	0.3885
TAF4B	-0.00625
GAL3ST3	-0.116
MALT1	-0.2455
RTDR1	1.4765
ARVCF	0.218375
MEX3B	0.911
FBXO16	-0.6
KIF7	-0.4225
C1QC	3.77966666666667
ZNF783	-0.499166666666667
ZNF85	-0.419
MMP13	0.3545
KIAA0329	0.465125
RTP3	-0.9545
ZBED3	-0.54275
CLGN	-3.51825
SLC25A37	-1.56779166666667
hCG_18290	-0.0115
OR5AS1	0.2605
SMARCC2	-0.08525
FAM109A	-0.456
CCDC12	-0.48875
USF2	0.3493
DEPDC7	-1.08125
C20orf24	-0.1215
JMJD3	-0.72
DSP	1.5025
SLIC1	1.3165
FAM20A	1.43425
IRF2BP2	0.917375
ZNF230	0.5525
MSN	0.582357142857143
SLC9A5	-1.8755
EPDR1	-1.165
MUSK	0.425833333333333
ZNF434	-0.194833333333333
SMARCD1	-0.0106666666666667
ZFP106	-0.255
ZNF347	1.0178
GTF2E1	-0.63
RY1	-0.169666666666667
ATAD2B	0.789875
ARHGAP17	0.5542
KCNIP3	0.1085
SFPQ	0.37225
