Hybridization REF	TCGA-AR-A0TV-01A-21R-A084-07
ALDOC	-1.9045
ZNF212	-1.39925
NUDT1	-1.70033333333333
RFPL2	-0.9665
ZNF83	0.153
GDPD5	-2.2965
PDCD4	1.7372
CEP350	0.4135
OR10A2	0.26225
CST7	1.5685
CIAO1	-0.53375
SELL	1.675125
OR8J3	-0.2285
LTBP4	-0.704
SIRT6	0.05425
CCL19	4.506
PPIL1	-0.0971666666666667
GBP7	0.173166666666667
STK17A	-0.2297
ABR	0.2455
OR9G1	-0.03
FOXE1	-0.7365
CNGA3	-0.2855
GML	0.307
CD38	0.115
ZDHHC6	0.614166666666667
NEFH	-3.13325
CTDSP2	0.946083333333333
PGBD5	-1.5955
CCNY	0.326571428571429
RMND5B	0.229166666666667
ZNF257	-1.35775
FLJ22167	-0.06825
EXOSC7	-1.02533333333333
ROR2	0.132
MAOA	1.932375
TNNT3	-0.131166666666667
GYPC	-2.0115
C7orf33	1.257
PLIN	0.771833333333333
LOC90826	0.593
RNF4	0.465
F8A1	0.711
PLEKHG4	0.12925
GRB2	1.4764
HIST1H2AD	-1.0725
DUS3L	-0.851833333333333
EIF1	0.2645
RP5-1077B9.4	-1.24566666666667
FPGT	2.05625
GDF10	-0.855666666666667
COQ9	-0.455
GCC2	0.791428571428571
RARRES3	2.623125
PLXNA1	-0.6246
KIAA0100	0.1807
PMF1	-0.66125
FNDC1	4.5575
HS2ST1	-0.572
CRELD2	1.4575
C8G	-2.625
CD82	0.40325
LIM2	-0.9135
UNQ6490	0.0325
MMP16	-0.90525
DRD3	-0.263
C5orf26	-2.25225
C11orf73	-1.109125
PTP4A2	0.493
OR4M2	0.492
HPCA	-0.153666666666667
SEC14L1	0.159333333333333
CHFR	-0.349875
EMILIN1	0.201375
NDUFS4	-0.16
COL18A1	-1.541375
PDZD3	-0.2979
C9orf16	-0.518166666666667
ERBB2IP	-0.360166666666667
EMX2	2.042
FUS	-0.56625
TF	-4.321
CLCN4	-1.06116666666667
CXorf56	0.72525
C11orf72	0.37925
ELAC2	-0.470583333333333
NPR1	-1.47325
ASS1	-3.50916666666667
USP42	-0.834
POLR2J	-0.9415
SEC23IP	-0.639166666666667
UQCRC1	-0.1305
LOC729603	-0.43075
C1orf71	0.3825
POLG	-1.328
ADAM23	-3.6755
TFR2	-0.28275
RICTOR	0.055
MGC39606	1.475
C19orf55	-0.25675
SNAPC1	-2.83133333333333
GNA11	0.879125
CCDC52	-0.903833333333333
FSIP1	5.338
UPF3A	-0.43675
IGSF11	-2.76616666666667
LAGE3	0.01425
CHST6	-3.5775
UNC13B	1.786625
TTLL4	-1.11325
ZNF687	-0.22025
SDC2	2.0569
COX7A2	0.84825
LAMB4	-0.957
FAM24A	0.316
LRRTM3	-0.7415
GPHB5	-0.194
OR4C13	0.306
EIF3EIP	0.258428571428571
HABP4	-0.812
TMEM125	4.124
CNTN2	-0.23025
ASNSD1	-0.17875
FUT4	-0.501375
ACF	-4.05725
LOC158381	0.4145
CDH8	0.12675
AGPS	-0.514833333333333
C4orf18	5.371875
PECI	0.213083333333333
UNG	0.444625
GSTP1	-2.896375
DCUN1D5	-1.55316666666667
DKFZP564J0863	-1.7085
SLC9A3R1	1.72025
BCDO2	-0.500375
CHMP7	0.003875
REM2	0.516
DNHD1	-0.735875
FKBP4	0.636
ZNF350	0.92
MGC11102	0.792
BST1	1.2775
KISS1R	0.1565
NCR2	-0.1015
DEFB125	-0.67
UBE2W	0.324
KRT15	-1.930375
C10orf99	-0.0265
SCN11A	0.063
GFI1	-1.63925
RDHE2	-0.857833333333333
FHL1	-2.2135
OSGEP	0.1125
GATA1	-4.01583333333333
SMC6	-1.0435
TTTY14	-1.358
LPIN3	0.52625
RPL4	-0.6085
RBPMS	0.1402
PRPF3	-0.578
EMR1	-2.2295
SPATA19	0.00200000000000002
XCR1	3.332
IRX3	1.5803
RBM6	-0.403
KLF4	-1.6339
UNC5CL	-1.43625
SEBOX	0.0855
BTK	-0.0365
KRCC1	1.097
C6orf27	0.2385
SYTL5	-0.4835
PRND	0.990125
LOC653319	-1.381
PIGL	0.478125
HUS1	-0.873166666666667
SFRS6	0.0656666666666667
C17orf77	0.2055
UIMC1	-0.346166666666667
FXYD2	-2.038
LOC283152	1.686
ZNF667	-1.837
ZCCHC12	-0.65125
TFEC	4.363
ATP7B	-1.7575
POLD2	-0.116333333333333
RG9MTD1	-0.453
ACOT2	-0.501333333333333
HIST1H4I	-0.87025
PPARGC1A	-3.7335
ETFA	-1.9235
POLRMT	-0.57875
ZNF146	0.55375
MIA2	-1.408
KLHL6	0.1355
HOXB5	-2.040375
NENF	0.496833333333333
CUGBP1	-1.3055
PRSS22	0.817666666666667
CASC4	1.5908
CUL4B	0.148
CENPJ	-1.3656
PITX1	-2.60583333333333
FLJ31033	0.857166666666667
CELSR3	-1.948
ZNF568	0.5435
ITSN1	-0.26575
EHBP1L1	-0.2665
C19orf2	0.9415
DCTN1	0.57
LIN28B	-4.8485
TNKS2	-0.52225
C1QBP	-0.44175
CADPS2	-1.173
SRMS	1.1685
GJA9	0.1985
MGC24975	-0.0141666666666667
TRIM45	0.861166666666667
TSP50	1.43575
TCP1	-0.45375
TMED7	0.0613
CMA1	0.9395
CENPL	-0.142166666666667
PTCRA	0.033
FST	-4.8255
VWCE	-4.39425
PAWR	-0.15025
ABCC12	-0.315666666666667
LDLR	-0.251
ASTN2	-0.4496
LOC441212	-0.5795
GPATCH8	0.1805
TANC2	0.406583333333333
KIF4A	-0.7435
C18orf18	-0.4035
PGM1	-0.2025
KIAA0258	0.95725
CPD	1.11575
SNCAIP	-1.88875
DCT	-4.54783333333333
HLA-DOA	2.88522727272727
OR11L1	0.2165
UPK1B	-0.431666666666667
DNAJB4	-0.87925
UGT1A8	-0.184
HIST1H4L	-0.2745
PECR	-0.668833333333333
HSPA2	-1.00625
WFIKKN1	-1.834
SERP1	1.612625
SYDE2	1.16825
TACR2	0.859
NUP85	-1.02275
CD177	0.986833333333333
LGR5	-1.8765
PIGG	-0.354666666666667
PTHR1	-1.72966666666667
RAB5A	0.7917
FLJ13224	-0.169
USP9Y	-1.5475
C7orf53	-0.812
LRP1B	-1.08925
XAF1	3.269
ABCG8	-0.2
ANKDD1A	-0.151333333333333
DAND5	-1.4765
SPAG6	0.0838
LINCR	1.15975
ZDHHC22	-1.65075
CCDC60	0.146
THOC7	-0.718833333333333
TCTA	1.8995
OR8K3	0.066
NY-REN-7	-0.4325
B2M	1.7605
C6orf141	-3.184375
LPPR4	1.39075
SQLE	1.674125
SEPHS1	-0.5195
BTBD14B	0.139
PLRG1	-0.895
SPG7	-0.997125
ZNF614	-0.117166666666667
PARD6G	-0.0865
INPP5B	-0.4637
GRPEL2	-0.5235
PPID	-0.5724
TRIM56	-1.09525
UBE2J1	0.47475
IL20RA	5.483
LOC387856	1.132
C1orf107	0.470666666666667
UTS2R	0.21
C19orf22	0.467
SAFB2	0.011875
KIAA0652	-0.051125
KLRG1	-0.2605
MS4A8B	1.10116666666667
FRAG1	0.094
KIAA1546	-0.02525
E2F4	-1.3279
CLEC4M	0.456833333333333
BTBD14A	-0.79275
KIAA0999	-1.0095
GYPA	-3.45466666666667
TAC1	-0.3394
TRAIP	-1.256
KIAA0232	0.3558
ERCC8	-2.07025
GPX4	0.211875
KIAA0368	0.720375
GPR157	-0.301833333333333
CTAGE4	0.9155
C9orf30	-1.10483333333333
OR52A1	-0.153
HSP90B3P	0.5475
ALG9	-0.7924
BTBD10	0.21475
SDK2	1.53625
BAIAP3	0.583
RABGGTB	0.310125
ANKRD40	0.6385
KRT74	0.371
CALCOCO2	1.69878571428571
SNCA	-3.73275
TMSL8	-2.956625
C2orf53	0.435
ESRRB	-0.54
ARHGAP26	-1.026625
TDRD9	-3.2785
HRAS	-0.699666666666667
KLRC4	-2.2325
JAGN1	0.195833333333333
BSDC1	1.1805
RNF43	0.2167
NDUFAF1	0.51225
PHF12	0.56975
OR1L3	0.000250000000000014
FOLR2	1.57483333333333
LYZL6	0.316666666666667
tcag7.1260	-2.319
WSB1	-1.73433333333333
PROS1	-1.8041
OSTN	0.2915
PSMB8	1.61925
SOCS4	-0.01375
DDIT4L	0.77375
MAS1	0.7215
MGC34796	1.1435
CSHL1	0.318333333333333
TBCCD1	0.492166666666667
ZBTB7C	-0.593
AP2S1	-0.6635
P15RS	0.8601
VAT1	-0.7633
SHANK3	0.5515
TUFM	0.356
THEG	1.4235
KRT34	-1.94475
SGSM3	1.008875
TOMM22	0.328625
SOCS3	0.784833333333333
CPO	0.646
POP4	0.5905
BHLHB3	0.248
MALL	0.88675
OR1B1	0.412
PARK2	1.41066666666667
GPR124	-0.37775
LCE1E	0.343
RUVBL2	-0.33175
CGRRF1	0.0219
ACPL2	0.194
WNT10B	-1.272875
BAIAP2L2	-1.4615
ISCA1	0.724
C1orf125	0.01725
RPAP1	-0.866
RAI16	-0.470333333333333
RPL27	-0.842
NLRP9	0.405
EPN1	-0.011
LOC388610	-0.392125
SLC35A1	1.9181
GAL	-4.883
SLC14A2	0.45475
RDH11	-1.20966666666667
FAM138F	-0.3595
AUH	-0.204
FLJ40243	0.18325
C14orf129	0.118333333333333
MBD2	-0.751166666666667
ABHD14B	0.721125
PIGT	1.69575
ALS2CR4	-0.608
ALAS1	1.0555
FOXO1	0.3385
CRLF3	0.02325
C20orf107	0.4215
FARS2	1.1075
CCDC28A	1.37125
NPHP3	-0.8735
OR13F1	0.3805
TSEN54	-0.33
DEFB106B	0.1693
OR8B4	0.391
STH	-0.09225
ZC3H14	-1.137
CBX2	-0.1445
TMEM49	-0.48325
C6orf21	0.365
FLJ20920	0.9435
CRTAP	-0.169642857142857
DDX50	-0.32525
STYXL1	-0.61225
BLVRB	0.598833333333333
LOC147650	0.648
MMP24	0.79
GRID1	0.119166666666667
BANF1	0.588
CTAGEP	0.857
HMBS	-2.47
SLC25A24	-0.5435
C14orf50	-0.69575
MRO	0.182166666666667
SLC25A15	-0.0795
FAM84B	2.6846
TDP1	-0.985
C16orf78	-0.153833333333333
C11orf57	-0.822375
RFK	-0.614375
ZFYVE9	1.49275
STCH	-0.4492
WIBG	0.51575
LOC283871	0.395833333333333
GBA2	-0.4519
NDUFB3	-0.677
HSD17B13	-0.442
GRIN3A	1.8865
FMNL1	0.1335
SEPT7	-0.3022
GNLY	4.1215
GRAMD1C	1.56916666666667
ZNF165	2.2035
USP38	1.393
FAM83A	-2.95983333333333
C14orf24	2.01275
ARMCX3	1.922625
ARHGDIB	0.217333333333333
AK1	0.589
KIAA1045	0.02825
DNAJB13	-0.1655
NEU2	0.2875
HIST1H4B	-0.220166666666667
FAM20B	0.2248
HES2	0.127357142857143
FAM73B	-0.4767
LOC388381	-0.142
INTS7	-0.274636363636364
AMPH	-0.24375
ZNF775	-1.415125
UCKL1	-0.556833333333333
C10orf97	0.50425
C1orf161	0.13075
ALDH1L1	-2.12725
FLJ39378	0.6095
SLC23A1	-1.2095
RBM4B	0.2885
THAP4	0.3845
OGFRL1	1.983
KIAA0831	-0.021625
PPP1R15A	-0.490833333333333
C1orf96	0.203142857142857
C12orf11	-1.6855
BMF	-0.2755
MAN1A1	1.309875
KIAA1600	0.347166666666667
NLGN4X	1.57975
ALOX12	-1.29783333333333
RB1CC1	0.4926
NEIL2	0.9631
EIF4E	0.0291818181818182
ABHD5	0.50725
EXOC4	0.0435
CIP29	-0.7285
BATF2	2.72225
SLC29A4	-0.834875
HTR4	0.06725
EMB	-1.18325
TRAF6	-0.158
LMNB1	-1.94675
FAM19A5	1.934375
SHE	1.4495
PIK3C2B	0.026
C15orf15	-1.0156
USP15	0.0635
TCEAL2	-1.005
C5orf39	-1.30983333333333
PTGER2	-0.4675
SLC31A1	-0.0195625
IFT172	0.48775
ADAM29	0.32875
GFOD1	1.73325
ST7L	0.503
C15orf26	-2.31775
PKN3	-1.8545
CNTD1	3.30983333333333
COMMD1	0.898875
NTRK2	0.78825
FOXN3	-0.7695
MFGE8	-0.9354
PFKFB2	0.301333333333333
TAS2R4	-0.35775
ENTHD1	1.123
PRMT5	-0.138375
MGC16384	-1.6145
LOC442229	0.192
TSKU	3.546
KRTCAP3	3.442
PDLIM1	-1.2437
KCNS2	0.023
RNF126	-0.466166666666667
CEP63	0.0505
CLIC4	1.164875
hCG_1990170	-0.089
ACR	0.5598
KLK7	-0.11825
ALOX5AP	2.6195
RIPK3	4.17175
TAS2R9	0.1375
C19orf18	1.9905
BIRC6	0.609142857142857
ZNF16	0.7595
RFT1	0.24725
SLC8A2	-0.37275
TACC1	-0.880375
ITGAD	1.28925
SAMHD1	1.745
SH3PXD2B	0.7307
EPC2	0.5605
C20orf85	0.2695
ATP13A2	0.331833333333333
KRT4	0.1115
CAPNS1	0.5
MDM2	-0.184666666666667
PCDH20	4.91725
KCNK9	0.4705
OR2C1	0.412
KLHDC3	-0.0698333333333333
IPPK	1.49
EFHD2	0.160125
GALR3	0.10825
NBEA	-1.64933333333333
ABCA6	2.1909
CLDN3	1.23366666666667
AKT2	-0.154357142857143
EGFR	-3.6353
RBM16	0.531625
ZDHHC3	-0.2861
SLC25A4	0.473833333333333
CYB5B	-1.028
CPXM1	-1.59025
NDRG1	-0.508384615384616
FLJ43826	0.116
OR5L2	0.3285
FARP2	0.3565
MRPL46	-0.745916666666667
LDHAL6B	-0.1375
MAPKAPK3	0.503166666666667
NCAM2	-3.14075
PRKD2	-0.0958333333333333
ZFP36L1	-0.3341
CYSLTR1	-0.19325
OR4C3	0.35525
HIST1H2AJ	2.4905
CCNB2	-1.718
ZNF10	0.1335
TMEM175	0.199
FAM134A	1.4005
TIGD4	0.1875
PCNP	0.5655
MGC39715	-0.24675
LQK1	-1.532
CREB1	-0.2987
TMPRSS3	-1.768
C4orf32	1.284625
LAT	-1.16533333333333
KCNA3	0.951
SKIV2L2	-1.40125
ROPN1B	-2.92025
tcag7.23	-0.4685
CDT1	-2.802
ZHX2	0.567375
CD28	-2.455
ZNF624	1.187
SEPT2	0.506833333333333
SOHLH2	-2.20925
MCOLN3	-0.583142857142857
UNQ1945	0.338
MASP2	-1.595
ZNRF3	1.472
GPATCH3	-0.03825
AGL	0.710625
QRICH2	0.073
PSD4	1.02183333333333
CCNB1IP1	-0.89625
ENPP7	0.16925
OBFC1	-0.7615
KCNG3	1.4265
C14orf79	0.61475
ENPEP	1.512
SCT	0.077
SKI	0.544375
SEC61G	-0.02725
CAPN11	0.274
ATXN7L3	0.07825
DBNDD1	-1.50566666666667
FAIM	0.83875
ANKRD36	-1.086
GABRP	-0.3106
TACSTD2	-2.32616666666667
EIF3J	-0.56075
PPP2R2A	-0.2605
TEKT4	-0.3045
PVALB	-3.498
F10	-3.686
FAM134C	0.8603
COMP	3.102625
EFCBP1	-3.7085
SCLT1	0.186
TAL1	-1.4827
ACSL1	3.07825
ABCC5	1.09858333333333
ABL1	-0.216666666666667
RBBP7	0.528166666666667
PTPRG	-2.275125
NCOR1	0.6082
SPINK4	-0.482666666666667
TXNRD1	0.1001
TNRC15	0.83025
C9orf138	0.40425
UBE2H	0.7305
BRDT	6.10916666666667
C8orf31	-0.04325
CCNE2	0.888454545454546
SLC6A8	-1.128625
CALCR	-4.73775
PPP1CB	0.618083333333333
ABHD8	0.5675
ARF5	0.5143
SLC24A4	0.73375
CCT3	-0.336
ZNF121	0.388625
SLC3A2	-0.7233
OR13A1	0.3405
SLC5A10	0.67825
RAD50	-1.7935
IER5	-0.513125
MTHFD1L	-2.793375
MBTPS2	0.26575
MVK	0.132875
NCL	-0.1891
PSMD10	0.457
MOBP	0.205875
FLJ32894	-0.346
HRH1	-1.6345
C5orf30	0.38325
NUDT16L1	1.0886
RASGRP3	3.5775
PRKRIP1	-1.027
CCDC75	0.1165
LOC253970	0.46125
KIAA1239	-0.19325
MED21	-0.679
SYT11	0.2555
NTSR2	-0.543
EGFL11	0.448
CXorf59	0.3585
OR2A25	0.36875
SPTBN2	-0.61275
LRMP	-0.990833333333333
RNF111	-0.04375
PTH	-0.1255
LOC619208	0.804833333333333
KIAA0895	1.875
RANBP5	-0.857625
P2RY10	1.7015
NME5	3.8
DDX21	-0.70125
LRSAM1	0.7535
HDAC11	2.1695
VMO1	1.0995
NOLA2	0.278333333333333
ADAR	1.06833333333333
MTO1	-0.0836666666666667
SF4	-0.273666666666667
P2RX1	-0.2125
HBM	0.487
EN2	0.604
C14orf172	-0.797
TM9SF2	0.1064
INHBE	-0.608
TCTE3	0.9345
TOX2	-2.671
CTAGE3	0.954375
HBB	2.7912
MED15	-0.4385
CASR	0.29125
C6orf66	-0.216166666666667
MTPN	-0.227875
UNC50	0.51175
C21orf33	0.217625
IRF2	0.86475
PGR	2.24383333333333
GPR84	2.59925
CROCCL1	-1.60825
SRPX	-3.13575
BRE	0.63
FGF10	0.97375
SDC3	-0.372833333333333
ZRSR1	0.404666666666667
DKFZP434P211	-0.500625
SOX6	-0.758
RPUSD2	-0.3525
C14orf173	-0.99075
MAPK11	-0.988666666666667
TBC1D22A	1.433
FAM123A	-0.5925
COL4A6	-4.3505
TOMM70A	1.052
NAB1	-0.38475
MGC16385	-1.451875
TSPAN18	-0.994
MED31	-0.5585
PLG	-0.50325
CAPSL	2.6195
ZNF532	0.2479
ASB14	0.36175
CA8	-4.86725
NUDT16P	2.9725
SLFN11	-1.103
LRRIQ2	0.903625
NOL7	-0.0321666666666667
BRMS1L	0.261625
JARID1A	0.685
PANK2	-0.959
ICAM3	-0.6795
MDS1	-0.04075
TAF8	0.04725
RNF139	1.3915
ZNF594	0.570166666666667
ADAM8	1.29
SFTPC	-0.541
MAN2B2	1.178625
RGS12	0.522625
EIF1AY	-4.95391666666667
LRRIQ1	-1.56133333333333
GPR150	0.40475
CCDC21	-0.100333333333333
PRRG3	0.26875
SAA4	-4.48875
RAPGEF5	1.36875
ZCCHC2	-0.0330833333333333
MGC39372	1.2935
PPP4R2	0.12
CDCA2	-1.58366666666667
OR4D5	0.593333333333333
PTGFRN	0.227
SIGLEC5	1.18616666666667
C19orf61	0.249
NMUR2	0.419
KIAA1586	-0.819333333333333
DAGLA	0.117
CHCHD6	0.3265
GPR32	-0.021
NEUROD6	0.424166666666667
SLC2A4RG	-0.093875
CA5B	-0.26325
FBXL3	0.90875
MPHOSPH9	-0.31325
HMG2L1	0.9765
HCN4	0.272333333333333
CEACAM19	0.5405
SH2D4B	0.477666666666667
HFE2	-0.8395
TGM4	0.239166666666667
LYPD2	0.13975
TBC1D15	0.422
MRPS21	-0.0653
NONO	-0.6118
CLEC5A	2.07525
ITCH	0.805
MGAT3	-1.4255
MBP	0.1155
RPP25	-0.0365
SOSTDC1	-2.7485
HRC	-1.93725
TRIM48	-0.187
TMEM133	-1.25625
ECEL1P2	-1.046
HOXC11	-0.6855
DOK5	-1.2665
HELZ	0.169333333333333
LOC348180	-1.09975
MGC33894	0.4265
ADRB3	0.0955
DMD	-0.8225
PTRH2	-0.429
MPEG1	3.19766666666667
NDUFA12	-0.275333333333333
KRTAP2-4	-0.0349166666666667
STAMBPL1	-0.634333333333333
ADCY2	-1.3705
UNQ6125	0.0065
KLHL20	-0.0645
SRM	-0.53225
OTC	-0.19075
TMIE	1.18783333333333
SNX8	-0.65725
LIPK	-0.303
CHURC1	-0.739083333333333
KLC2	0.4845
HDAC1	0.139833333333333
FAM128A	0.713166666666667
FNDC3B	-0.4506
MTCP1	0.534833333333333
WFDC10B	0.4777
PCDHGB3	-0.085
ATRNL1	-2.3475
CAV2	-1.831375
MED26	0.118166666666667
DUS1L	0.30025
CHRM3	-1.32875
NEK9	0.73775
WARS2	1.502
TBX22	-0.332
TOMM40	-0.5145
RP6-213H19.1	-3.9995
TUBGCP5	0.1345
IGSF6	5.65075
TPPP	2.303
UNQ6190	-0.0635
GSTM5	-0.392875
BTD	0.2185
PDCD1LG2	1.332
SNRPB2	-0.793333333333333
ERICH1	-0.904625
APOA4	-1.91675
HOXA11	-1.16725
NARG1	0.263375
MKX	-0.684
RAB28	0.306214285714286
PKP3	0.8625
SH3GL2	-2.683
CTSO	2.41775
RPN2	0.5649375
IL28RA	0.717833333333333
SFMBT1	1.41725
WDR57	0.014
FER1L3	0.7985
HSF5	0.307
TTC9B	1.41725
C4BPA	-4.0195
ALB	-4.5115
SORBS3	-0.187625
UPF2	-0.0325
JPH1	1.5045
AGBL2	0.5375
DOPEY1	1.645
TERF1	-0.708333333333333
KIF22	0.1365
NINJ1	1.47325
SEC61A2	0.986333333333333
HIST1H1D	-2.066
SFXN4	0.710875
UCP3	0.2476
ZNF703	0.845166666666667
MYL6B	0.01025
TREM1	1.24075
OR52E6	0.2975
CKMT2	-0.75725
HLA-C	2.371375
SLC13A3	-1.02166666666667
TIMP4	1.5995
SLIT2	1.2145
RSF1	1.79372222222222
LONRF1	-1.26971428571429
MON1A	0.0538333333333333
CACNG6	1.19483333333333
DPPA4	-5.54533333333333
ZSWIM3	0.5425
ZNF804A	0.690166666666667
CCIN	0.587
SLC25A31	0.4335
KCNMB4	-2.826
RABL5	0.030875
GALNS	-0.4542
STX6	0.49525
HIST1H1C	-2.27983333333333
CIDEB	0.970875
CASP4	-0.5225
PDK3	0.3262
KCNJ11	1.121
TPR	-0.637
ZSCAN20	-0.502
MTX2	-0.09275
HIST1H2BH	-1.54325
LOC283767	1.47875
LYRM7	-1.28394444444444
BRD3	0.0513333333333333
HIST1H2BO	-1.22575
MAGEB10	0.1165
SLC45A1	2.606
SERPINA3	3.20435
KIAA0143	0.61975
KCNJ16	0.134666666666667
KRT79	-0.47775
FABP2	-0.41275
NUT	-0.65
ZNF57	0.44625
FBXL4	1.464125
CLEC9A	1.653
UGT8	-1.39066666666667
BMP2K	0.144
MAPK4	-4.04825
SLC25A23	0.31
HINT1	-0.397
KRTAP13-1	0.5215
SFXN5	-0.3276
CHCHD2	0.452666666666667
FAM3D	0.6985
NDP	-0.617125
RHOBTB1	-0.762166666666667
SLC4A4	-0.863375
RPL38	-0.1755
HTF9C	0.1545
AP2A2	-0.254875
ZBTB46	-0.353
MAP7D1	0.0485
AOX1	-1.84566666666667
CYR61	0.61925
DTNA	1.67328571428571
JRKL	-1.317
TMOD3	-0.89825
EEA1	0.3337
ADCK5	-1.22575
IL1R1	-0.0406666666666667
KLK3	0.257785714285714
HRSP12	2.5
KTN1	-0.0205
LOH11CR2A	0.1333
RELL2	-0.48375
MAB21L1	0.074
C20orf59	0.172
PHKB	-0.01075
ADAM2	-1.94316666666667
TBC1D8B	1.99016666666667
FAM13A1	-0.776375
LAPTM4B	1.9695
LCN8	-0.1395
TMEM147	0.4385
SYT4	0.2298
XPO7	-0.6265
C9orf62	0.48125
GPR75	0.4615
TRIM5	-0.562375
APOC1	0.514
RNASE4	2.01216666666667
PARD6B	1.07175
ARID1A	0.354916666666667
TPD52L3	0.137
RRAGB	0.968666666666667
RCN2	-0.690833333333333
HIST2H2BE	-0.3588125
STARD7	0.61025
SHMT2	-1.236
KIAA1751	0.930166666666667
MLYCD	-0.833375
LOC162632	-0.5362
UQCRH	-1.099
RP11-217H1.1	0.3880625
SDHA	-0.2085
NCLN	-0.037
ZNF17	0.679
RCBTB2	-2.23125
VEGFB	-0.9251
RP4-747L4.3	-0.3805
COLQ	-0.0281
MPN2	-0.818833333333333
DRG2	-0.77325
KLRB1	4.19375
ALPK2	-3.1
DNASE2B	2.34125
FLJ23834	-0.535833333333333
AXUD1	1.459
SAFB	-0.0031
NSUN4	-0.38425
RFX2	1.59833333333333
MAPK8IP1	0.551833333333333
FANCD2	-0.766214285714286
ANKZF1	-1.87666666666667
C19orf50	-0.140375
DUSP8	0.53925
SENP5	0.173
NFKBIL2	-0.7475
LBR	-2.337125
IGFL1	-0.146
LZTS2	-0.745375
IL2RG	0.443875
CCDC51	-0.254
KLF3	-0.10125
ANKRD37	-1.61125
KCTD14	2.1515
FZR1	-0.0483333333333333
SLC44A4	3.183
ESPL1	-0.541
GMPR2	0.2564
TBC1D19	-0.195
ERGIC1	2.54266666666667
ERBB4	3.4867
TSPAN32	0.5495
MAP4	0.30075
GPHN	0.27675
SLC6A2	-0.077875
HIVEP1	0.37625
DFFB	-0.1088
EIF4EBP2	0.40175
DMRT1	-0.15275
HSPB6	-0.4215
IER2	1.69033333333333
AIFM1	0.26825
WWC2	-1.55433333333333
MRPL4	-0.1745
FLJ21062	0.586166666666667
EPB41L4A	-0.858083333333333
SH2D6	0.455
TAF4B	-1.52475
GAL3ST3	0.1945
MALT1	-0.6885
RTDR1	2.562
ARVCF	-0.288625
MEX3B	-2.75883333333333
FBXO16	-0.4385
KIF7	0.3485
C1QC	3.48466666666667
ZNF783	-1.586
ZNF85	0.61875
MMP13	1.444
KIAA0329	-0.1285
RTP3	-0.861
ZBED3	-0.40125
CLGN	-4.544
SLC25A37	-2.49929166666667
hCG_18290	-0.395
OR5AS1	0.5355
SMARCC2	0.11825
FAM109A	0.07
CCDC12	0.03575
USF2	0.9861
DEPDC7	-3.25675
C20orf24	0.338
JMJD3	0.6855
DSP	3.67992857142857
SLIC1	0.95425
FAM20A	0.818875
IRF2BP2	0.7295
ZNF230	-0.1535
MSN	-0.0734285714285714
SLC9A5	-2.645
EPDR1	-2.309
MUSK	0.190166666666667
ZNF434	0.979833333333333
SMARCD1	-0.824666666666667
ZFP106	-0.10975
ZNF347	0.3116
GTF2E1	-0.1375
RY1	-0.389833333333333
