Hybridization REF	TCGA-AN-A0FV-01A-11R-A00Z-07
HUS1	-0.399
SFRS6	-1.53616666666667
C17orf77	1.249
UIMC1	-1.20133333333333
FXYD2	-1.3045
LOC283152	-0.70825
ZNF667	-0.9325
ZCCHC12	-0.14675
TFEC	1.6801
ATP7B	0.443833333333333
POLD2	1.22583333333333
RG9MTD1	0.4295
ACOT2	0.216833333333333
HIST1H4I	0.21325
PPARGC1A	-2.1374
ETFA	-0.3517
POLRMT	-0.48575
ZNF146	-0.498625
MIA2	-1.48
KLHL6	-2.22033333333333
HOXB5	0.5185
NENF	0.254
CUGBP1	0.50725
PRSS22	1.39366666666667
CASC4	1.0856
CUL4B	1.2438
CENPJ	-1.3141
PITX1	-1.04233333333333
FLJ31033	0.221333333333333
CELSR3	0.906666666666667
ZNF568	-0.276
ITSN1	0.0815833333333333
EHBP1L1	-0.757666666666667
C19orf2	-0.349
DCTN1	0.149
LIN28B	-2.217
TNKS2	-0.08625
C1QBP	-1.120625
CADPS2	1.676
SRMS	0.84825
GJA9	0.409
MGC24975	-0.397333333333333
TRIM45	-2.40666666666667
TSP50	-0.508
TCP1	-0.9025
TMED7	-0.00729999999999996
CMA1	0.8015
CENPL	-1.1685
PTCRA	-0.177
FST	-2.6
VWCE	-2.7775
PAWR	0.12075
ABCC12	4.48466666666667
LDLR	0.0944
ASTN2	2.0372
LOC441212	-1.25225
GPATCH8	-0.24825
TANC2	0.424166666666667
KIF4A	-1.00725
C18orf18	-1.099
PGM1	-0.54925
KIAA0258	-0.49525
CPD	1.18175
SNCAIP	-1.86625
DCT	-4.09933333333333
HLA-DOA	2.17054545454545
OR11L1	0.36
UPK1B	-0.766333333333333
DNAJB4	-0.538875
UGT1A8	-0.0565
HIST1H4L	-0.1385
PECR	-0.863
HSPA2	1.4885
WFIKKN1	-1.5465
SERP1	0.611125
SYDE2	0.28175
TACR2	0.3815
NUP85	-0.36225
CD177	-0.450833333333333
LGR5	-2.04233333333333
PIGG	-1.03716666666667
PTHR1	-1.16583333333333
RAB5A	-0.2153
FLJ13224	0.249
USP9Y	-1.55
C7orf53	0.009
LRP1B	-0.4065
XAF1	1.2575
ABCG8	-0.5845
ANKDD1A	-0.471666666666667
DAND5	-3.2175
SPAG6	0.248666666666667
LINCR	-0.55875
ZDHHC22	-1.26325
CCDC60	0.3115
THOC7	-0.823333333333333
TCTA	2.0439
OR8K3	0.14125
NY-REN-7	-0.2605
B2M	1.46566666666667
C6orf141	-2.157
LPPR4	2.9875
SQLE	-0.0375
SEPHS1	-1.12125
BTBD14B	0.702785714285714
PLRG1	-0.211
SPG7	-0.0885625
ZNF614	-0.859166666666667
PARD6G	0.851166666666667
INPP5B	-0.4225
GRPEL2	-0.738
PPID	-0.7782
TRIM56	-0.229
UBE2J1	-0.818875
IL20RA	3.015
LOC387856	0.86975
C1orf107	0.305416666666667
UTS2R	0.774
C19orf22	-0.516
SAFB2	-0.166
KIAA0652	0.5175
KLRG1	-1.60316666666667
MS4A8B	0.672166666666667
FRAG1	0.02
KIAA1546	0.4765
E2F4	-0.7717
CLEC4M	0.444666666666667
BTBD14A	-0.84775
KIAA0999	-0.247
GYPA	-3.8922
TAC1	-0.0976
TRAIP	-1.12033333333333
KIAA0232	0.3134
ERCC8	-2.0155
GPX4	0.471
KIAA0368	0.42975
GPR157	-1.10483333333333
CTAGE4	-0.0395
C9orf30	-0.5765
OR52A1	0.195
HSP90B3P	-0.5995
ALG9	-1.3911
BTBD10	0.98525
SDK2	0.478
BAIAP3	-0.19075
RABGGTB	-1.169125
ANKRD40	-0.144
KRT74	0.2945
CALCOCO2	0.0249285714285714
SNCA	-3.56275
TMSL8	-2.930125
C2orf53	0.454
ESRRB	-0.11375
ARHGAP26	-1.094
TDRD9	1.55625
HRAS	1.36333333333333
KLRC4	-1.9785
JAGN1	0.372666666666667
BSDC1	-0.00349999999999999
RNF43	3.579
NDUFAF1	-0.0405
PHF12	0.437
OR1L3	0.2405
FOLR2	1.29983333333333
LYZL6	0.4765
tcag7.1260	-1.699
WSB1	-0.114166666666667
PROS1	-1.0779
OSTN	0.618
PSMB8	0.49125
SOCS4	0.092125
DDIT4L	0.17175
MAS1	-0.138
MGC34796	1.23875
CSHL1	0.125166666666667
TBCCD1	0.0211666666666667
ZBTB7C	0.4125
AP2S1	-0.238125
P15RS	-0.1411
VAT1	-0.63
SHANK3	1.07016666666667
TUFM	0.122166666666667
THEG	-0.182
KRT34	-1.70375
SGSM3	1.063375
TOMM22	-0.042
SOCS3	-0.0348333333333333
CPO	1.473
POP4	0.14925
BHLHB3	0.85075
MALL	0.37125
OR1B1	0.3045
PARK2	0.7845
GPR124	0.5305
LCE1E	-0.7585
RUVBL2	-0.65675
CGRRF1	0.1008
ACPL2	1.5665
WNT10B	-2.6455
BAIAP2L2	-2.167375
ISCA1	0.8175
C1orf125	-0.039375
RPAP1	-0.858
RAI16	0.0603333333333333
RPL27	-0.882875
NLRP9	-0.048
EPN1	0.367
LOC388610	-2.04325
SLC35A1	0.2168
GAL	-3.53375
SLC14A2	0.1945
RDH11	0.00383333333333335
FAM138F	-0.4065
AUH	-0.30225
FLJ40243	-0.06875
C14orf129	0.700166666666667
MBD2	-0.193833333333333
ABHD14B	0.844375
PIGT	-0.273125
ALS2CR4	0.21175
ALAS1	0.564
FOXO1	2.26366666666667
CRLF3	-1.551875
C20orf107	1.4015
FARS2	0.19325
CCDC28A	-0.776
NPHP3	-1.546
OR13F1	0.6835
TSEN54	0.0175
DEFB106B	0.1975
OR8B4	0.592
STH	0.358
ZC3H14	-0.357375
CBX2	0.058
TMEM49	-0.675
C6orf21	0.5175
FLJ20920	-1.572875
CRTAP	0.370071428571428
DDX50	-0.1055
STYXL1	-1.17125
BLVRB	1.15483333333333
LOC147650	-0.932166666666667
MMP24	-0.054
GRID1	2.06783333333333
BANF1	-0.199166666666667
CTAGEP	-0.06525
HMBS	-2.4655
SLC25A24	-0.4595
C14orf50	2.11775
MRO	1.47533333333333
SLC25A15	-0.10775
FAM84B	1.3717
TDP1	-0.357
C16orf78	0.0425
C11orf57	-0.4365
RFK	0.219
ZFYVE9	-0.429
STCH	-1.5592
WIBG	0.3625
LOC283871	0.3115
GBA2	-0.1238
NDUFB3	0.24925
HSD17B13	-0.76175
GRIN3A	0.351333333333333
FMNL1	-1.41616666666667
SEPT7	-0.487
GNLY	1.31
GRAMD1C	0.729333333333333
ZNF165	-1.681
USP38	0.8435
FAM83A	0.576
C14orf24	0.404166666666667
ARMCX3	1.411
ARHGDIB	-0.5065
AK1	1.092125
KIAA1045	0.768
DNAJB13	0.0633333333333333
NEU2	0.42
HIST1H4B	-0.0343333333333333
FAM20B	0.0813
HES2	1.7545
FAM73B	0.104
LOC388381	-0.03375
INTS7	0.0494545454545454
AMPH	1.08525
ZNF775	-0.014875
UCKL1	-0.432666666666667
C10orf97	-0.979
C1orf161	0.229
ALDH1L1	-1.76875
FLJ39378	-0.345375
SLC23A1	-2.7175
RBM4B	0.03825
THAP4	0.2955
OGFRL1	0.02125
KIAA0831	-0.037125
PPP1R15A	-0.9685
C1orf96	0.224071428571429
C12orf11	-2.799
BMF	0.95075
MAN1A1	-1.5955
KIAA1600	0.6375
NLGN4X	2.76675
ALOX12	-1.55216666666667
RB1CC1	0.0959999999999999
NEIL2	0.3025
EIF4E	-0.0382272727272727
ABHD5	0.28275
EXOC4	-0.202166666666667
CIP29	-0.0276666666666667
BATF2	0.46
SLC29A4	0.414375
HTR4	0.74625
EMB	0.13825
TRAF6	0.71125
LMNB1	-2.01625
FAM19A5	0.288375
SHE	0.626
PIK3C2B	1.737
C15orf15	-0.7977
USP15	0.0948
TCEAL2	0.93475
C5orf39	0.051
PTGER2	-0.947
SLC31A1	0.3425
IFT172	0.6025
ADAM29	0.78675
GFOD1	0.84175
ST7L	1.15716666666667
C15orf26	-3.6705
PKN3	-1.973
CNTD1	1.55983333333333
COMMD1	0.345
NTRK2	1.94791666666667
FOXN3	0.079625
MFGE8	0.4217
PFKFB2	0.687666666666667
TAS2R4	0.08575
ENTHD1	1.60916666666667
PRMT5	-0.842
MGC16384	-1.234875
LOC442229	-0.074
TSKU	0.246875
KRTCAP3	2.918875
PDLIM1	1.6064
KCNS2	0.229333333333333
RNF126	-0.306166666666667
CEP63	0.20175
CLIC4	0.073375
hCG_1990170	-0.95075
ACR	1.7049
KLK7	1.647
ALOX5AP	2.647
RIPK3	2.8185
TAS2R9	-0.166
C19orf18	-0.756
BIRC6	-0.0281428571428572
ZNF16	0.901
RFT1	-0.7175
SLC8A2	0.10925
TACC1	0.7045
ITGAD	-0.175
SAMHD1	0.36025
SH3PXD2B	1.7708
EPC2	0.1355
C20orf85	1.04025
ATP13A2	0.215666666666667
KRT4	0.3915
CAPNS1	0.3155
MDM2	-0.680166666666667
PCDH20	3.704
KCNK9	0.599
OR2C1	0.4815
KLHDC3	-0.826
IPPK	0.8015
EFHD2	-0.69975
GALR3	0.74
NBEA	0.4925
ABCA6	1.3194
CLDN3	1.77083333333333
AKT2	-0.548428571428571
EGFR	-0.4215
RBM16	-0.144
ZDHHC3	1.2666
SLC25A4	1.11716666666667
CYB5B	-0.9865
CPXM1	0.41175
NDRG1	-0.478153846153846
FLJ43826	2.1275
OR5L2	0.0841666666666667
FARP2	1.2173
MRPL46	-0.716
LDHAL6B	0.146833333333333
MAPKAPK3	-0.352666666666667
NCAM2	-2.0585
PRKD2	0.0408333333333333
ZFP36L1	0.5838
CYSLTR1	1.6595
OR4C3	0.443
HIST1H2AJ	2.374
CCNB2	-2.339
ZNF10	-0.455625
TMEM175	0.542
FAM134A	0.858333333333333
TIGD4	0.3365
PCNP	0.02275
MGC39715	0.64325
LQK1	-0.7845
CREB1	0.6693
TMPRSS3	-2.9365
C4orf32	3.296375
LAT	-2.56891666666667
KCNA3	0.206
SKIV2L2	-1.41275
ROPN1B	-1.93775
tcag7.23	-0.8565
CDT1	-2.481125
ZHX2	0.62825
CD28	-3.248
ZNF624	0.332
SEPT2	0.117166666666667
SOHLH2	-1.566875
MCOLN3	-1.314375
UNQ1945	0.6765
MASP2	-0.884
ZNRF3	0.1844
GPATCH3	-0.59975
AGL	3.527125
QRICH2	0.071
PSD4	0.104166666666667
CCNB1IP1	-1.96125
ENPP7	0.1555
OBFC1	-0.037
KCNG3	-0.6015
C14orf79	0.419083333333333
ENPEP	2.38466666666667
SCT	2.416
SKI	0.804
SEC61G	-3.46944695195361e-18
CAPN11	0.42325
ATXN7L3	-0.21375
DBNDD1	0.715
FAIM	0.7105
ANKRD36	-0.7675
GABRP	1.93833333333333
TACSTD2	1.67283333333333
EIF3J	-0.95025
PPP2R2A	-0.96625
TEKT4	-0.2755
PVALB	3.68266666666667
F10	-2.26583333333333
FAM134C	0.6873
COMP	4.228625
EFCBP1	-2.5562
SCLT1	1.34325
TAL1	-1.3924
ACSL1	1.1175
ABCC5	1.13391666666667
ABL1	-0.0374444444444445
RBBP7	0.270833333333333
PTPRG	-0.75425
NCOR1	-0.2713
SPINK4	-1.28483333333333
TXNRD1	-0.4841
TNRC15	1.29225
C9orf138	0.635375
UBE2H	0.798166666666667
BRDT	0.1085
C8orf31	0.36175
CCNE2	-0.975818181818182
SLC6A8	-0.461375
CALCR	-4.22725
PPP1CB	0.500583333333333
ABHD8	0.086
ARF5	0.8046
SLC24A4	0.53675
CCT3	0.11875
ZNF121	0.114875
SLC3A2	-0.1912
OR13A1	0.28
SLC5A10	0.04875
RAD50	-0.00624999999999998
IER5	0.294
MTHFD1L	-2.2475
MBTPS2	0.33075
MVK	0.74975
NCL	-0.1529
PSMD10	0.11875
MOBP	0.417875
FLJ32894	-0.257
HRH1	1.8445
C5orf30	0.325
NUDT16L1	0.6815
RASGRP3	2.96833333333333
PRKRIP1	-0.3606
CCDC75	0.842
LOC253970	0.2095
KIAA1239	-0.556
MED21	-0.97075
SYT11	0.37825
NTSR2	-0.3435
EGFL11	-0.255
CXorf59	0.003
OR2A25	0.27475
SPTBN2	0.07675
LRMP	-2.00483333333333
RNF111	0.00525
PTH	0.259
LOC619208	0.696333333333333
KIAA0895	1.256
RANBP5	-0.5135
P2RY10	1.1705
NME5	3.75466666666667
DDX21	-0.6335
LRSAM1	0.704
HDAC11	0.652166666666667
VMO1	1.002
NOLA2	-0.7765
ADAR	0.900916666666667
MTO1	-1.22633333333333
SF4	0.219833333333333
P2RX1	-0.436
HBM	0.3995
EN2	0.8225
C14orf172	0.45775
TM9SF2	1.4547
INHBE	-0.981333333333333
TCTE3	-0.16375
TOX2	-3.2725
CTAGE3	0.441125
HBB	1.5688
MED15	-0.407666666666667
CASR	0.22275
C6orf66	-1.316
MTPN	0.8745
UNC50	-0.45775
C21orf33	-0.3595
IRF2	0.629875
PGR	-1.50283333333333
GPR84	2.208
CROCCL1	-3.08225
SRPX	-0.931
BRE	0.935166666666667
FGF10	0.5925
SDC3	0.448833333333333
ZRSR1	0.2705
DKFZP434P211	-0.17125
SOX6	0.2575
RPUSD2	-0.175
C14orf173	-0.0625833333333333
MAPK11	0.00816666666666662
TBC1D22A	0.674
FAM123A	4.758
COL4A6	-1.69266666666667
TOMM70A	0.48875
NAB1	-0.493625
MGC16385	0.52525
TSPAN18	0.695166666666667
MED31	0.09
PLG	-0.24525
CAPSL	1.487
ZNF532	0.5064
ASB14	0.46025
CA8	1.27425
NUDT16P	-0.5285
SLFN11	-1.4925
LRRIQ2	1.102625
NOL7	-0.7255
BRMS1L	-0.839125
JARID1A	0.13
PANK2	0.0025
ICAM3	-0.46275
MDS1	-1.58875
TAF8	-0.853
RNF139	0.50075
ZNF594	-0.445833333333333
ADAM8	3.069125
SFTPC	0.019125
MAN2B2	0.07975
RGS12	-0.0334375
EIF1AY	-4.62
LRRIQ1	0.518333333333333
GPR150	0.95675
CCDC21	-1.24916666666667
PRRG3	0.62725
SAA4	-3.88675
RAPGEF5	2.55575
ZCCHC2	0.542916666666667
MGC39372	0.3455
PPP4R2	0.2925
CDCA2	-1.62083333333333
OR4D5	0.631166666666667
PTGFRN	0.988
SIGLEC5	1.42416666666667
C19orf61	-0.956
NMUR2	0.1605
KIAA1586	-1.741
DAGLA	0.0876666666666667
CHCHD6	0.20425
GPR32	1.5385
NEUROD6	0.2625
SLC2A4RG	0.271875
CA5B	1.459
FBXL3	1.2175
MPHOSPH9	-0.89475
HMG2L1	0.662
HCN4	0.4905
CEACAM19	-0.1555
SH2D4B	0.1025
HFE2	-0.562
TGM4	0.967166666666667
LYPD2	0.44525
TBC1D15	0.0555
MRPS21	0.155
NONO	-0.4751
CLEC5A	1.893625
ITCH	-0.2595
MGAT3	-1.5375
MBP	-1.21325
RPP25	-0.3485
SOSTDC1	-0.36175
HRC	-2.1385
TRIM48	-0.177
TMEM133	-0.07775
ECEL1P2	-1.383
HOXC11	0.3345
DOK5	-1.1675
HELZ	0.227166666666667
LOC348180	-0.245
MGC33894	0.17175
ADRB3	0.227
DMD	-0.4855
PTRH2	-0.23575
MPEG1	2.32216666666667
NDUFA12	0.462
KRTAP2-4	0.227083333333333
STAMBPL1	-1.32816666666667
ADCY2	-0.0741666666666667
UNQ6125	0.544
KLHL20	0.518333333333333
SRM	-1.003
OTC	-0.1305
TMIE	-0.173166666666667
SNX8	0.22375
LIPK	-0.2645
CHURC1	0.452583333333333
KLC2	0.2465
HDAC1	-1.21766666666667
FAM128A	-0.781
FNDC3B	-0.5387
MTCP1	0.153333333333333
WFDC10B	-0.0326
PCDHGB3	0.0015
ATRNL1	0.6742
CAV2	-0.938
MED26	-0.430666666666667
DUS1L	0.80125
CHRM3	-0.640375
NEK9	0.0945
WARS2	0.14075
TBX22	-0.0545
TOMM40	-0.5875
RP6-213H19.1	-1.0635
TUBGCP5	-0.5575
IGSF6	3.66825
TPPP	2.2545
UNQ6190	0.3635
GSTM5	0.95425
BTD	0.289
PDCD1LG2	-0.0301666666666667
SNRPB2	0.8305
ERICH1	-0.447125
APOA4	-1.5355
HOXA11	-1.4775
NARG1	0.057125
MKX	-0.11475
RAB28	-1.07364285714286
PKP3	1.6055
SH3GL2	-2.1285
CTSO	2.2275
RPN2	0.77975
IL28RA	-0.768666666666667
SFMBT1	0.54025
WDR57	-1.533375
FER1L3	-0.0286666666666667
HSF5	0.335
TTC9B	0.17025
C4BPA	-4.08533333333333
ALB	-4.22607142857143
SORBS3	0.465125
UPF2	-0.571
JPH1	-0.227
AGBL2	-0.33775
DOPEY1	1.284
TERF1	-0.608083333333333
KIF22	0.0698333333333333
NINJ1	1.5355
SEC61A2	-0.551833333333333
HIST1H1D	0.630166666666667
SFXN4	-0.689
UCP3	0.4782
ZNF703	0.869
MYL6B	-1.65875
TREM1	2.93375
OR52E6	1.27
CKMT2	1.1265
HLA-C	1.826
SLC13A3	1.20366666666667
TIMP4	-2.59425
SLIT2	1.563
RSF1	2.36627777777778
LONRF1	-0.735857142857143
MON1A	-0.1845
CACNG6	1.9115
DPPA4	-4.90783333333333
ZSWIM3	0.2585
ZNF804A	0.161166666666667
CCIN	1.24775
SLC25A31	-0.193
KCNMB4	0.77625
RABL5	1.047625
GALNS	0.7671
STX6	1.282625
HIST1H1C	0.938833333333333
CIDEB	-1.158125
CASP4	-0.927666666666667
PDK3	0.4883
KCNJ11	1.4905
TPR	-0.135375
ZSCAN20	-1.1175
MTX2	-0.023
HIST1H2BH	-0.047
LOC283767	2.10425
LYRM7	-1.29322222222222
BRD3	1.48083333333333
HIST1H2BO	-0.1055
MAGEB10	0.708
SLC45A1	1.11575
SERPINA3	-1.5491
KIAA0143	1.9695
KCNJ16	-0.231833333333333
KRT79	0.556
FABP2	-0.44075
NUT	-0.249333333333333
ZNF57	0.55775
FBXL4	-0.792
CLEC9A	-0.841
UGT8	-1.43116666666667
BMP2K	0.107
MAPK4	-3.48225
SLC25A23	-0.1002
HINT1	-0.2356
KRTAP13-1	0.669
SFXN5	-0.0922
CHCHD2	0.545916666666667
FAM3D	1.09
NDP	-3.435875
RHOBTB1	0.6705
SLC4A4	-1.6785
RPL38	0.48775
HTF9C	-0.484833333333333
AP2A2	0.9315
ZBTB46	1.057
MAP7D1	0.5125
AOX1	-2.46433333333333
CYR61	-0.0968333333333333
DTNA	1.15928571428571
JRKL	-1.11275
TMOD3	-0.7405
EEA1	0.0545
ADCK5	0.457
IL1R1	0.822833333333334
KLK3	0.716285714285714
HRSP12	-0.89175
KTN1	0.625
LOH11CR2A	1.0627
RELL2	-0.23175
MAB21L1	0.7935
C20orf59	-1.098
PHKB	0.80125
ADAM2	3.99616666666667
TBC1D8B	1.77483333333333
FAM13A1	-1.364125
LAPTM4B	-0.75825
LCN8	0.184
TMEM147	-0.0565
SYT4	0.208833333333333
XPO7	-0.241
C9orf62	1.11675
GPR75	-0.0005
TRIM5	0.708625
APOC1	-1.28466666666667
RNASE4	-0.453166666666667
PARD6B	-2.73875
ARID1A	-0.0410833333333333
TPD52L3	0.1655
RRAGB	1.139
RCN2	-0.889833333333333
HIST2H2BE	1.8286875
STARD7	-0.82
SHMT2	0.2375
KIAA1751	-0.2245
MLYCD	0.79125
LOC162632	0.2576
UQCRH	-1.166
RP11-217H1.1	0.879375
SDHA	-0.641
NCLN	-0.8223
ZNF17	-0.00116666666666666
RCBTB2	-1.17125
VEGFB	0.4213
RP4-747L4.3	-0.02575
COLQ	0.3397
MPN2	-0.837166666666667
DRG2	-0.54525
KLRB1	1.118
ALPK2	-1.4005
DNASE2B	2.024
FLJ23834	0.0981666666666667
AXUD1	0.597
SAFB	-0.1811
NSUN4	-0.31225
RFX2	-0.0546666666666667
MAPK8IP1	0.444333333333333
FANCD2	-1.30407142857143
ANKZF1	-1.0555
C19orf50	-0.39225
DUSP8	2.517625
SENP5	-0.3155
NFKBIL2	-0.45575
LBR	-1.20675
IGFL1	0.534
LZTS2	-0.080125
IL2RG	-1.6025
CCDC51	0.45625
KLF3	-0.206625
ANKRD37	0.74775
KCTD14	1.8545
FZR1	-0.183583333333333
SLC44A4	3.495
ESPL1	-0.894625
GMPR2	-0.6761
TBC1D19	-1.75833333333333
ERGIC1	0.587037037037037
ERBB4	-1.9953
TSPAN32	-0.190916666666667
MAP4	0.312875
GPHN	-0.302
SLC6A2	0.202
HIVEP1	0.88275
DFFB	-0.5811
EIF4EBP2	0.73725
DMRT1	-0.2795
HSPB6	-0.0565
IER2	-0.067
AIFM1	0.9245
WWC2	0.991916666666667
MRPL4	-0.522
FLJ21062	-0.6685
EPB41L4A	0.655916666666667
SH2D6	0.34225
TAF4B	-1.492
GAL3ST3	-0.206
MALT1	-1.12233333333333
RTDR1	2.03125
ARVCF	1.169
MEX3B	0.320833333333333
FBXO16	0.546
KIF7	-1.48325
C1QC	3.932
ZNF783	-1.336
ZNF85	-0.83825
MMP13	4.556
KIAA0329	0.768875
RTP3	2.829
ZBED3	-1.4525
CLGN	-1.23125
SLC25A37	-1.62825
hCG_18290	-0.40525
OR5AS1	0.591
SMARCC2	0.3695
FAM109A	0.758333333333333
CCDC12	-0.2655
USF2	0.1417
DEPDC7	-1.97675
C20orf24	-0.627666666666667
JMJD3	1.155
DSP	0.476785714285714
SLIC1	0.17975
FAM20A	-0.367375
IRF2BP2	0.4035
ZNF230	-0.3595
MSN	-0.525071428571429
SLC9A5	-1.1615
EPDR1	-1.2934
MUSK	0.131
