Hybridization REF	TCGA-B6-A0X1-01A-11R-A109-07
NDUFS4	-0.597
COL18A1	-0.350375
PDZD3	-0.0418
C9orf16	-0.257333333333333
ERBB2IP	-0.357166666666667
EMX2	0.92225
FUS	-1.03075
TF	-3.3564
CLCN4	2.81866666666667
CXorf56	1.3975
C11orf72	0.439
ELAC2	-0.0554166666666667
NPR1	-1.41525
ASS1	-1.141
USP42	-0.43775
POLR2J	0.3095
SEC23IP	1.22633333333333
UQCRC1	-0.367
LOC729603	-0.05425
C1orf71	-0.31375
POLG	-0.664
ADAM23	-3.098
TFR2	-0.38925
RICTOR	-0.6037
MGC39606	1.22925
C19orf55	0.078375
SNAPC1	-1.121
GNA11	0.06575
CCDC52	-0.940333333333333
FSIP1	-1.1725
UPF3A	-0.928625
IGSF11	-1.8425
LAGE3	0.74275
CHST6	0.074
UNC13B	-0.09975
TTLL4	0.519625
ZNF687	0.099125
SDC2	-1.4493
COX7A2	-0.044
LAMB4	-0.006
FAM24A	0.146
LRRTM3	-1.57316666666667
GPHB5	0.4555
OR4C13	-0.1035
EIF3EIP	-0.554214285714286
HABP4	-0.3645
TMEM125	4.01825
CNTN2	0.61725
ASNSD1	0.89625
FUT4	1.1885
ACF	-3.7355
LOC158381	0.735
CDH8	-0.36375
AGPS	0.529166666666667
C4orf18	-0.88825
PECI	-0.620833333333333
UNG	0.15025
GSTP1	0.31225
DCUN1D5	-0.807166666666667
DKFZP564J0863	1.1545
SLC9A3R1	1.525375
BCDO2	-1.38225
CHMP7	-0.1595
REM2	-0.1265
DNHD1	-0.565625
FKBP4	0.820625
ZNF350	0.7035
MGC11102	-0.013
BST1	1.014
KISS1R	1.631
NCR2	0.1325
DEFB125	0.0795
UBE2W	1.83075
KRT15	3.095
C10orf99	0.2705
SCN11A	0.02425
GFI1	-1.81625
RDHE2	1.50116666666667
FHL1	-3.042
OSGEP	-0.785
GATA1	-3.16366666666667
SMC6	-0.256
TTTY14	-0.59975
LPIN3	-0.591
RPL4	-0.715
RBPMS	-1.8749
PRPF3	-0.347
EMR1	0.287
SPATA19	-0.12125
XCR1	0.378
IRX3	1.5417
RBM6	-1.65
KLF4	-1.1844
UNC5CL	0.2645
SEBOX	0.144
BTK	-1.34675
KRCC1	1.3935
C6orf27	0.261
SYTL5	-1.562
PRND	0.03425
LOC653319	-1.4885
PIGL	-1.360125
HUS1	0.158666666666667
SFRS6	-0.90525
C17orf77	0.64
UIMC1	-0.331
FXYD2	-1.4789
LOC283152	0.93175
ZNF667	-2.33125
ZCCHC12	-0.37975
TFEC	3.8699
ATP7B	-1.76266666666667
POLD2	-0.0368333333333333
RG9MTD1	0.76875
ACOT2	-0.782333333333333
HIST1H4I	-0.29575
PPARGC1A	-2.5416
ETFA	-1.166
POLRMT	-0.07
ZNF146	-0.354625
MIA2	-1.535
KLHL6	-1.157
HOXB5	-1.61975
NENF	0.3655
CUGBP1	0.758
PRSS22	1.2045
CASC4	0.7532
CUL4B	0.0979
CENPJ	-0.9668
PITX1	2.4255
FLJ31033	2.418
CELSR3	-1.961
ZNF568	0.017
ITSN1	-0.223916666666667
EHBP1L1	0.347833333333333
C19orf2	0.88975
DCTN1	-0.188
LIN28B	-2.10116666666667
TNKS2	-0.47375
C1QBP	-0.356625
CADPS2	1.46425
SRMS	0.21825
GJA9	0.0353333333333333
MGC24975	-1.22916666666667
TRIM45	-1.77333333333333
TSP50	0.45925
TCP1	-0.024
TMED7	0.7503
CMA1	0.7325
CENPL	-0.6185
PTCRA	0.2535
FST	-4.6445
VWCE	-3.905
PAWR	0.3355
ABCC12	0.2705
LDLR	-1.118
ASTN2	-0.7881
LOC441212	-0.3575
GPATCH8	-0.12525
TANC2	-1.47533333333333
KIF4A	0.085
C18orf18	-1.48025
PGM1	0.47225
KIAA0258	1.971
CPD	-0.60225
SNCAIP	1.535
DCT	-3.97716666666667
HLA-DOA	3.16063636363636
OR11L1	0.5295
UPK1B	1.80066666666667
DNAJB4	1.1385
UGT1A8	0.88525
HIST1H4L	1.287
PECR	-1.01266666666667
HSPA2	0.22425
WFIKKN1	-2.9895
SERP1	-0.21325
SYDE2	-0.37
TACR2	-0.009
NUP85	0.1435
CD177	0.0528333333333333
LGR5	-2.20516666666667
PIGG	0.342666666666667
PTHR1	-2.4045
RAB5A	0.1548
FLJ13224	0.4005
USP9Y	-1.80366666666667
C7orf53	0.813
LRP1B	-0.4685
XAF1	4.7702
ABCG8	-0.6475
ANKDD1A	-0.427166666666667
DAND5	-1.336
SPAG6	1.45383333333333
LINCR	2.59825
ZDHHC22	-1.496375
CCDC60	0.186
THOC7	-0.932833333333333
TCTA	1.4731
OR8K3	-0.05875
NY-REN-7	-0.4375
B2M	2.20916666666667
C6orf141	-2.632375
LPPR4	1.13575
SQLE	-0.529
SEPHS1	0.51575
BTBD14B	0.769214285714286
PLRG1	-0.64375
SPG7	-0.57
ZNF614	-0.747166666666667
PARD6G	1.23116666666667
INPP5B	-0.0741
GRPEL2	-0.39675
PPID	-0.2937
TRIM56	-0.1475
UBE2J1	0.0555
IL20RA	4.58625
LOC387856	-0.34825
C1orf107	0.83825
UTS2R	2.001
C19orf22	-1.2615
SAFB2	-0.104125
KIAA0652	0.76275
KLRG1	-0.846333333333333
MS4A8B	0.127166666666667
FRAG1	0.234
KIAA1546	-0.873
E2F4	-0.7802
CLEC4M	0.1665
BTBD14A	0.25525
KIAA0999	0.506
GYPA	-3.85733333333333
TAC1	-0.2047
TRAIP	-0.426666666666667
KIAA0232	-0.325
ERCC8	-1.430375
GPX4	0.428625
KIAA0368	-0.376375
GPR157	0.410666666666667
CTAGE4	1.8065
C9orf30	0.626166666666667
OR52A1	0.575
HSP90B3P	-0.208
ALG9	-0.7673
BTBD10	0.13325
SDK2	0.204
BAIAP3	-0.55775
RABGGTB	-0.4
ANKRD40	-0.00533333333333333
KRT74	0.358
CALCOCO2	0.2595
SNCA	-3.66475
TMSL8	-2.889875
C2orf53	0.132
ESRRB	-0.79575
ARHGAP26	0.14875
TDRD9	-2.59275
HRAS	1.051
KLRC4	-1.6325
JAGN1	-0.456166666666667
BSDC1	0.6345
RNF43	0.7632
NDUFAF1	-0.043
PHF12	0.017
OR1L3	0.41575
FOLR2	1.10066666666667
LYZL6	0.136666666666667
tcag7.1260	2.9045
WSB1	-1.65916666666667
PROS1	-1.2539
OSTN	0.392
PSMB8	2.29225
SOCS4	-0.522625
DDIT4L	2.9785
MAS1	-0.042
MGC34796	1.75375
CSHL1	0.2895
TBCCD1	0.4385
ZBTB7C	0.3085
AP2S1	-0.446875
P15RS	-0.7807
VAT1	-0.8332
SHANK3	1.33266666666667
TUFM	-0.0693333333333333
THEG	0.69725
KRT34	-1.61475
SGSM3	0.08525
TOMM22	-0.2555
SOCS3	0.965
CPO	0.333
POP4	0.9955
BHLHB3	1.5195
MALL	0.30125
OR1B1	0.297
PARK2	0.327666666666667
GPR124	-1.384375
LCE1E	0.306
RUVBL2	-0.25975
CGRRF1	-0.1242
ACPL2	-0.677
WNT10B	-2.746375
BAIAP2L2	0.54525
ISCA1	0.9425
C1orf125	1.23475
RPAP1	-1.096
RAI16	0.0896666666666667
RPL27	0.580375
NLRP9	0.1545
EPN1	0.012
LOC388610	-1.028
SLC35A1	-0.2528
GAL	-0.0395
SLC14A2	0.064
RDH11	-0.798333333333333
FAM138F	-0.389
AUH	-0.4365
FLJ40243	-0.04725
C14orf129	0.429833333333333
MBD2	-0.414333333333333
ABHD14B	-0.192125
PIGT	-0.96675
ALS2CR4	0.101875
ALAS1	0.9774
FOXO1	1.63533333333333
CRLF3	-0.155142857142857
C20orf107	-0.2605
FARS2	-0.2415
CCDC28A	-0.0735
NPHP3	-0.9165
OR13F1	0.6585
TSEN54	0.59025
DEFB106B	0.0292
OR8B4	0.548
STH	-0.7445
ZC3H14	-0.549625
CBX2	0.1685
TMEM49	-1.54575
C6orf21	0.486
FLJ20920	-1.679625
CRTAP	-0.1935
DDX50	-0.6245
STYXL1	-0.232
BLVRB	2.17166666666667
LOC147650	-0.0878333333333333
MMP24	-0.09525
GRID1	0.643
BANF1	-0.0686666666666667
CTAGEP	0.87175
HMBS	-1.06025
SLC25A24	-1.06166666666667
C14orf50	1.16875
MRO	1.60166666666667
SLC25A15	-0.236
FAM84B	1.0266
TDP1	-0.1405
C16orf78	1.13783333333333
C11orf57	-0.50375
RFK	0.9005
ZFYVE9	0.65075
STCH	-1.251
WIBG	-0.12775
LOC283871	-0.625166666666667
GBA2	-0.2515
NDUFB3	1.276
HSD17B13	-1.277
GRIN3A	2.3195
FMNL1	0.238833333333333
SEPT7	-1.1488
GNLY	5.4195
GRAMD1C	0.890833333333333
ZNF165	2.325
USP38	0.35425
FAM83A	1.381
C14orf24	-0.0291666666666666
ARMCX3	-0.146125
ARHGDIB	-0.841
AK1	-0.09975
KIAA1045	1.89825
DNAJB13	-0.294666666666667
NEU2	0.3185
HIST1H4B	0.6155
FAM20B	-0.5265
HES2	-0.280857142857143
FAM73B	-0.4568
LOC388381	0.15775
INTS7	-0.158909090909091
AMPH	0.2735
ZNF775	0.544625
UCKL1	-0.8125
C10orf97	-0.16975
C1orf161	0.16675
ALDH1L1	-1.80775
FLJ39378	0.362125
SLC23A1	-2.2425
RBM4B	0.23675
THAP4	0.276333333333333
OGFRL1	1.7565
KIAA0831	-0.279875
PPP1R15A	-1.14416666666667
C1orf96	0.796214285714286
C12orf11	-1.61575
BMF	-0.733875
MAN1A1	-1.56125
KIAA1600	-0.0666666666666667
NLGN4X	-0.968
ALOX12	2.135
RB1CC1	1.0117
NEIL2	1.4361
EIF4E	-0.821727272727273
ABHD5	0.5765
EXOC4	0.1785
CIP29	-1.45066666666667
BATF2	4.192
SLC29A4	-0.19325
HTR4	0.3515
EMB	0.0405
TRAF6	0.54
LMNB1	-1.30325
FAM19A5	-0.0955
SHE	0.41525
PIK3C2B	0.00875
C15orf15	-0.8774
USP15	-0.5199
TCEAL2	0.74425
C5orf39	-0.208166666666667
PTGER2	-0.4395
SLC31A1	0.3205
IFT172	0.21625
ADAM29	0.31475
GFOD1	2.466
ST7L	0.459
C15orf26	-2.818
PKN3	-0.25725
CNTD1	-0.809166666666667
COMMD1	1.315125
NTRK2	3.46616666666667
FOXN3	-0.748
MFGE8	1.0538
PFKFB2	0.825833333333333
TAS2R4	-0.311
ENTHD1	-0.689
PRMT5	-0.853125
MGC16384	-1.00875
LOC442229	1.351
TSKU	2.47625
KRTCAP3	4.38175
PDLIM1	-0.2905
KCNS2	0.0365
RNF126	-0.5635
CEP63	-0.16925
CLIC4	-1.046875
hCG_1990170	2.25775
ACR	0.4932
KLK7	2.441
ALOX5AP	3.043625
RIPK3	2.5405
TAS2R9	0.445
C19orf18	-1.131
BIRC6	-0.592357142857143
ZNF16	1.155
RFT1	-0.33275
SLC8A2	-0.33025
TACC1	0.43925
ITGAD	1.07175
SAMHD1	1.99925
SH3PXD2B	0.2163
EPC2	-0.001
C20orf85	0.339625
ATP13A2	0.472833333333333
KRT4	0.614
CAPNS1	0.37025
MDM2	-0.291166666666667
PCDH20	1.866
KCNK9	0.444
OR2C1	0.0155
KLHDC3	-0.539
IPPK	1.378
EFHD2	0.13
GALR3	1.91375
NBEA	0.210833333333333
ABCA6	0.8612
CLDN3	1.562
AKT2	0.151142857142857
EGFR	-0.5458
RBM16	-0.231625
ZDHHC3	-0.3673
SLC25A4	-0.354
CYB5B	-1.9665
CPXM1	-1.3675
NDRG1	-0.263230769230769
FLJ43826	0.1535
OR5L2	0.185166666666667
FARP2	-0.1712
MRPL46	0.61425
LDHAL6B	0.0781666666666667
MAPKAPK3	0.572833333333333
NCAM2	-3.2875
PRKD2	0.411833333333333
ZFP36L1	0.9295
CYSLTR1	-0.95475
OR4C3	0.3235
HIST1H2AJ	1.4045
CCNB2	-0.064
ZNF10	-0.393125
TMEM175	0.47
FAM134A	0.446
TIGD4	-0.37
PCNP	-0.10225
MGC39715	-0.2775
LQK1	-2.13375
CREB1	-0.1375
TMPRSS3	1.07075
C4orf32	-0.98875
LAT	-1.49275
KCNA3	-0.0725
SKIV2L2	-1.5855
ROPN1B	0.60725
tcag7.23	-0.973
CDT1	-1.94325
ZHX2	-0.19125
CD28	-3.833
ZNF624	-0.086
SEPT2	-0.399
SOHLH2	-2.043375
MCOLN3	1.029125
UNQ1945	0.792
MASP2	-0.671
ZNRF3	0.985
GPATCH3	-0.39825
AGL	-0.54625
QRICH2	0.0195
PSD4	-0.0993333333333333
CCNB1IP1	-2.45925
ENPP7	-0.0885
OBFC1	0.369
KCNG3	-0.385
C14orf79	0.904083333333333
ENPEP	0.106
SCT	0.3565
SKI	1.313625
SEC61G	-0.37975
CAPN11	-0.48025
ATXN7L3	-0.21175
DBNDD1	-0.480333333333333
FAIM	0.54675
ANKRD36	-0.472
GABRP	4.50183333333333
TACSTD2	3.111
EIF3J	-0.4
PPP2R2A	-0.081
TEKT4	0.273166666666667
PVALB	-3.60616666666667
F10	-3.12016666666667
FAM134C	0.4137
COMP	0.715875
EFCBP1	-2.03175
SCLT1	1.0375
TAL1	-1.8068
ACSL1	0.968
ABCC5	-0.21275
ABL1	-0.5785
RBBP7	0.70075
PTPRG	-2.011
NCOR1	-0.7239
SPINK4	-1.03366666666667
TXNRD1	1.1253
TNRC15	0.653125
C9orf138	0.537375
UBE2H	1.183
BRDT	0.164166666666667
C8orf31	0.0155
CCNE2	-2.36790909090909
SLC6A8	-1.106875
CALCR	-4.3965
PPP1CB	0.169333333333333
ABHD8	-0.378
ARF5	1.2516
SLC24A4	0.644
CCT3	0.29875
ZNF121	0.183875
SLC3A2	0.1124
OR13A1	0.4185
SLC5A10	-0.1695
RAD50	0.164375
IER5	0.36575
MTHFD1L	-1.474125
MBTPS2	0.6115
MVK	-0.512875
NCL	-0.4339
PSMD10	0.24675
MOBP	0.3645
FLJ32894	-0.2235
HRH1	-0.0548333333333333
C5orf30	-0.28075
NUDT16L1	0.9711
RASGRP3	3.1905
PRKRIP1	-0.4272
CCDC75	1.18175
LOC253970	0.418
KIAA1239	0.839
MED21	0.646
SYT11	-0.21575
NTSR2	1.6575
EGFL11	0.4015
CXorf59	1.801
OR2A25	0.31975
SPTBN2	0.65725
LRMP	-1.40766666666667
RNF111	-0.21575
PTH	0.7255
LOC619208	0.0418333333333334
KIAA0895	0.06475
RANBP5	-1.73675
P2RY10	1.28216666666667
NME5	3.456
DDX21	-0.74225
LRSAM1	-0.267
HDAC11	0.980666666666667
VMO1	3.365
NOLA2	1.00783333333333
ADAR	1.56175
MTO1	-0.765
SF4	-0.137166666666667
P2RX1	-0.458166666666667
HBM	0.50025
EN2	2.235
C14orf172	0.26975
TM9SF2	-0.2256
INHBE	-1.018
TCTE3	-0.18425
TOX2	-2.9495
CTAGE3	1.014875
HBB	2.4157
MED15	-1.09533333333333
CASR	0.57475
C6orf66	0.960666666666667
MTPN	1.82825
UNC50	0.76825
C21orf33	-0.2425
IRF2	0.865125
PGR	-2.838
GPR84	3.2955
CROCCL1	-1.69475
SRPX	-2.339
BRE	0.9995
FGF10	0.36
SDC3	-0.769166666666667
ZRSR1	0.2785
DKFZP434P211	-0.343375
SOX6	-0.783
RPUSD2	-0.7135
C14orf173	0.240166666666667
MAPK11	-0.396833333333333
TBC1D22A	0.614
FAM123A	-1.39
COL4A6	-2.42366666666667
TOMM70A	0.10075
NAB1	0.997125
MGC16385	-0.1815
TSPAN18	0.9765
MED31	1.25475
PLG	-0.22225
CAPSL	1.19
ZNF532	0.4232
ASB14	0.36275
CA8	0.974
NUDT16P	-0.229333333333333
SLFN11	-1.5355
LRRIQ2	1.484375
NOL7	0.0523333333333333
BRMS1L	-0.965
JARID1A	1.68066666666667
PANK2	-0.717
ICAM3	0.006
MDS1	-0.7725
TAF8	-0.12525
RNF139	1.137
ZNF594	-1.32883333333333
ADAM8	1.978125
SFTPC	0.350875
MAN2B2	1.002625
RGS12	0.2429375
EIF1AY	-4.41883333333333
LRRIQ1	-0.3565
GPR150	2.6465
CCDC21	0.269666666666667
PRRG3	0.74925
SAA4	-0.24425
RAPGEF5	1.466
ZCCHC2	1.93241666666667
MGC39372	2.91
PPP4R2	-0.638833333333333
CDCA2	0.638166666666667
OR4D5	0.973166666666667
PTGFRN	0.2523
SIGLEC5	1.82666666666667
C19orf61	-0.4625
NMUR2	-0.135
KIAA1586	-0.497
DAGLA	-0.677166666666667
CHCHD6	-0.1385
GPR32	0.535
NEUROD6	0.304833333333333
SLC2A4RG	-0.075625
CA5B	-0.46625
FBXL3	-0.009
MPHOSPH9	-0.0675
HMG2L1	-0.5065
HCN4	2.1055
CEACAM19	1.55075
SH2D4B	0.599166666666667
HFE2	-1.037
TGM4	-0.0355
LYPD2	-0.1665
TBC1D15	0.19775
MRPS21	0.7989
NONO	-0.4276
CLEC5A	1.70725
ITCH	-0.5471
MGAT3	0.0686666666666667
MBP	0.63
RPP25	1.54075
SOSTDC1	-2.7475
HRC	-2.12
TRIM48	0.0635
TMEM133	-0.10775
ECEL1P2	-1.35825
HOXC11	-1.1055
DOK5	0.357
HELZ	-0.0298333333333333
LOC348180	-0.4475
MGC33894	0.246
ADRB3	-0.154
DMD	0.482166666666667
PTRH2	0.54975
MPEG1	2.956
NDUFA12	1.19016666666667
KRTAP2-4	0.409916666666667
STAMBPL1	-0.0853333333333333
ADCY2	0.436166666666667
UNQ6125	0.3215
KLHL20	-0.877
SRM	-0.71075
OTC	-0.126
TMIE	2.46333333333333
SNX8	0.47775
LIPK	0.947
CHURC1	-0.362833333333333
KLC2	0.2325
HDAC1	0.0548333333333333
FAM128A	-0.310666666666667
FNDC3B	1.474
MTCP1	0.0835
WFDC10B	0.0379
PCDHGB3	0.151
ATRNL1	-0.1184
CAV2	0.947375
MED26	-0.295333333333333
DUS1L	1.02375
CHRM3	-0.795
NEK9	-1.1125
WARS2	0.725
TBX22	0.3465
TOMM40	-0.85975
RP6-213H19.1	-0.0386666666666667
TUBGCP5	-0.0745
IGSF6	4.116
TPPP	0.623666666666667
UNQ6190	0.24
GSTM5	-0.6825
BTD	0.574833333333333
PDCD1LG2	0.8465
SNRPB2	-0.341333333333333
ERICH1	0.67725
APOA4	-1.68725
HOXA11	-2.12825
NARG1	-0.7165
MKX	0.754
RAB28	-0.611928571428571
PKP3	1.35375
SH3GL2	1.841
CTSO	1.9695
RPN2	0.0399375
IL28RA	-0.286166666666667
SFMBT1	0.90525
WDR57	-1.6595
FER1L3	-1.15775
HSF5	2.92616666666667
TTC9B	0.269
C4BPA	-3.517
ALB	-3.52071428571429
SORBS3	0.364125
UPF2	-0.6075
JPH1	0.332
AGBL2	1.302
DOPEY1	0.9655
TERF1	-0.540666666666667
KIF22	-0.372166666666667
NINJ1	0.973
SEC61A2	0.540083333333333
HIST1H1D	-0.4125
SFXN4	0.616375
UCP3	0.8833
ZNF703	0.568333333333333
MYL6B	-0.6755
TREM1	2.86825
OR52E6	0.073
CKMT2	0.68325
HLA-C	3.20875
SLC13A3	-2.29433333333333
TIMP4	0.3705
SLIT2	0.65025
RSF1	0.501611111111111
LONRF1	-0.31
MON1A	0.303
CACNG6	-1.16516666666667
DPPA4	-5.06816666666667
ZSWIM3	-0.2415
ZNF804A	0.61
CCIN	1.375
SLC25A31	0.197
KCNMB4	0.3165
RABL5	0.64675
GALNS	-0.1087
STX6	0.2645
HIST1H1C	-1.84933333333333
CIDEB	0.18
CASP4	0.526833333333333
PDK3	-0.6868
KCNJ11	0.606
TPR	-1.024125
ZSCAN20	0.0355
MTX2	0.1055
HIST1H2BH	0.88175
LOC283767	2.3845
LYRM7	-1.23266666666667
BRD3	-0.683666666666667
HIST1H2BO	0.7315
MAGEB10	0.4165
SLC45A1	0.39225
SERPINA3	1.27105
KIAA0143	2.9135
KCNJ16	-0.492166666666667
KRT79	0.5315
FABP2	-0.33725
NUT	2.56025
ZNF57	-0.1595
FBXL4	1.929125
CLEC9A	0.631
UGT8	-1.532
BMP2K	0.5665
MAPK4	-2.555
SLC25A23	-0.7335
HINT1	0.1344
KRTAP13-1	-0.0445
SFXN5	-0.1929
CHCHD2	1.07291666666667
FAM3D	0.1275
NDP	-2.819875
RHOBTB1	-0.624833333333333
SLC4A4	-1.5695
RPL38	0.74525
HTF9C	-0.472333333333333
AP2A2	0.429
ZBTB46	-0.247
MAP7D1	0.956375
AOX1	-1.5115
CYR61	-1.56608333333333
DTNA	0.178785714285714
JRKL	-0.21
TMOD3	-0.18625
EEA1	0.5396
ADCK5	0.777
IL1R1	1.9545
KLK3	0.608214285714286
HRSP12	0.054
KTN1	0.49975
LOH11CR2A	1.2615
RELL2	-0.6775
MAB21L1	0.29125
C20orf59	-0.954833333333333
PHKB	-0.125
ADAM2	-1.76133333333333
TBC1D8B	2.43166666666667
FAM13A1	-1.2683125
LAPTM4B	-1.421
LCN8	0.142
TMEM147	1.9345
SYT4	0.186
XPO7	0.65
C9orf62	2.67875
GPR75	1.2595
TRIM5	-0.23725
APOC1	-0.697166666666667
RNASE4	-2.293
PARD6B	-1.9535
ARID1A	-0.6965
TPD52L3	-0.0268
RRAGB	-0.628166666666667
RCN2	0.432333333333333
HIST2H2BE	0.4984375
STARD7	0.71075
SHMT2	-1.757
KIAA1751	0.1045
MLYCD	0.480875
LOC162632	-0.00979999999999998
UQCRH	0.285
RP11-217H1.1	1.1675
SDHA	-0.468666666666667
NCLN	-0.3482
ZNF17	-0.8635
RCBTB2	-1.6965
VEGFB	-0.6413
RP4-747L4.3	1.27625
COLQ	0.1293
MPN2	-0.608666666666667
DRG2	-0.26725
KLRB1	2.77725
ALPK2	-2.338
DNASE2B	0.23025
FLJ23834	-0.627
AXUD1	-0.0455
SAFB	-0.5203
NSUN4	0.414
RFX2	-0.3935
MAPK8IP1	-0.336
FANCD2	-0.852
ANKZF1	-1.73733333333333
C19orf50	-0.100125
DUSP8	0.787125
SENP5	1.03625
NFKBIL2	-0.00125
LBR	0.226
IGFL1	1.083
LZTS2	-0.123125
IL2RG	0.038625
CCDC51	0.34125
KLF3	-0.5915
ANKRD37	-1.746
KCTD14	0.9205
FZR1	0.272083333333333
SLC44A4	-1.721
ESPL1	-0.453625
GMPR2	-0.8093
TBC1D19	-0.0491666666666667
ERGIC1	-0.415185185185185
ERBB4	-0.9738
TSPAN32	0.5715
MAP4	-0.239375
GPHN	-0.88575
SLC6A2	-0.315375
HIVEP1	1.04325
DFFB	0.7258
EIF4EBP2	-0.201625
DMRT1	2.40025
HSPB6	0.0505
IER2	-0.216166666666667
AIFM1	0.43775
WWC2	-0.448416666666667
MRPL4	0.1995
FLJ21062	-0.402666666666667
EPB41L4A	-1.05083333333333
SH2D6	0.641
TAF4B	0.000500000000000001
GAL3ST3	-0.2995
MALT1	0.8975
RTDR1	2.57125
ARVCF	-0.672125
MEX3B	-1.08116666666667
FBXO16	0.13775
KIF7	-0.925
C1QC	4.19966666666667
ZNF783	0.2515
ZNF85	-0.7225
MMP13	0.7
KIAA0329	-0.199875
RTP3	-0.015
ZBED3	-0.711
CLGN	-2.15925
SLC25A37	-1.00166666666667
hCG_18290	0.418
OR5AS1	0.3265
SMARCC2	0.237166666666667
FAM109A	0.0226666666666667
CCDC12	-0.606
USF2	0.7678
DEPDC7	-0.77325
C20orf24	0.711
JMJD3	-0.4595
DSP	0.626214285714286
SLIC1	0.57
FAM20A	3.07825
IRF2BP2	0.479125
ZNF230	-1.0635
MSN	0.286428571428571
SLC9A5	-1.471
EPDR1	-0.6715
MUSK	0.3905
ZNF434	-0.219166666666667
SMARCD1	-0.283666666666667
ZFP106	-0.2635
ZNF347	-0.694
GTF2E1	-0.2425
RY1	-0.299333333333333
ATAD2B	0.49075
