Hybridization REF	TCGA-B6-A0WW-01A-11R-A109-07
CENPJ	-2.2214
PITX1	-0.2645
FLJ31033	1.11816666666667
CELSR3	-3.18033333333333
ZNF568	0.38325
ITSN1	-0.734
EHBP1L1	-1.027
C19orf2	0.02025
DCTN1	0.1255
LIN28B	-2.56833333333333
TNKS2	-0.58725
C1QBP	-0.3195
CADPS2	1.51375
SRMS	1.037
GJA9	0.271
MGC24975	-0.505166666666667
TRIM45	0.496166666666667
TSP50	0.66
TCP1	-0.6625
TMED7	0.772
CMA1	0.336
CENPL	-0.0341666666666667
PTCRA	0.0085
FST	-2.2975
VWCE	-3.5835
PAWR	-0.24525
ABCC12	0.355
LDLR	-1.2078
ASTN2	1.7697
LOC441212	-0.1515
GPATCH8	-0.17725
TANC2	0.224583333333333
KIF4A	-1.5545
C18orf18	-2.53775
PGM1	-1.846
KIAA0258	1.49625
CPD	1.34475
SNCAIP	-1.0235
DCT	-4.56883333333333
HLA-DOA	1.91731818181818
OR11L1	0.36
UPK1B	-0.711833333333333
DNAJB4	-0.391625
UGT1A8	-0.6835
HIST1H4L	-1.4255
PECR	-0.355666666666667
HSPA2	2.027
WFIKKN1	-1.315
SERP1	0.916
SYDE2	1.48025
TACR2	0.4705
NUP85	-0.8095
CD177	-0.0271666666666667
LGR5	-1.50933333333333
PIGG	-0.081
PTHR1	-1.65933333333333
RAB5A	-0.7927
FLJ13224	0.06
USP9Y	-1.64383333333333
C7orf53	-0.989
LRP1B	-0.36425
XAF1	3.8026
ABCG8	-0.754
ANKDD1A	-0.8145
DAND5	-1.064
SPAG6	0.316333333333333
LINCR	0.6295
ZDHHC22	-1.196
CCDC60	0.519
THOC7	-2.20383333333333
TCTA	1.1901
OR8K3	0.1125
NY-REN-7	-0.63325
B2M	1.40733333333333
C6orf141	-3.31625
LPPR4	1.154
SQLE	0.4525
SEPHS1	-0.3245
BTBD14B	0.369214285714286
PLRG1	-0.393
SPG7	-0.6719375
ZNF614	-0.0998333333333333
PARD6G	0.255166666666667
INPP5B	-0.9562
GRPEL2	-0.00399999999999999
PPID	-0.146
TRIM56	-0.27275
UBE2J1	-0.432
IL20RA	2.15125
LOC387856	0.8475
C1orf107	0.810833333333333
UTS2R	0.8145
C19orf22	-0.091
SAFB2	0.044125
KIAA0652	-0.075875
KLRG1	-1.21316666666667
MS4A8B	3.718
FRAG1	0.4105
KIAA1546	0.575
E2F4	-1.7423
CLEC4M	0.231333333333333
BTBD14A	-0.57075
KIAA0999	0.2088
GYPA	-2.67816666666667
TAC1	0.5272
TRAIP	-1.90033333333333
KIAA0232	1.283
ERCC8	-0.86075
GPX4	0.91175
KIAA0368	-0.0575
GPR157	-0.557666666666667
CTAGE4	1.208
C9orf30	-1.201
OR52A1	0.364
HSP90B3P	-0.3155
ALG9	-0.3263
BTBD10	0.6475
SDK2	0.42475
BAIAP3	0.551
RABGGTB	-1.770375
ANKRD40	0.283833333333333
KRT74	0.122
CALCOCO2	0.947785714285714
SNCA	-3.67075
TMSL8	-4.10725
C2orf53	0.7305
ESRRB	-0.374
ARHGAP26	-1.02375
TDRD9	-3.18625
HRAS	-0.137833333333333
KLRC4	-1.922
JAGN1	-0.4185
BSDC1	0.1955
RNF43	0.43
NDUFAF1	0.41
PHF12	0.309
OR1L3	0.20775
FOLR2	1.1245
LYZL6	0.129
tcag7.1260	-2.06
WSB1	-1.81633333333333
PROS1	-1.5189
OSTN	0.508
PSMB8	0.95825
SOCS4	0.08575
DDIT4L	1.15625
MAS1	0.196
MGC34796	2.55375
CSHL1	0.145833333333333
TBCCD1	0.561666666666667
ZBTB7C	0.079
AP2S1	-0.1195
P15RS	0.0011
VAT1	-0.2058
SHANK3	0.693166666666667
TUFM	0.0841666666666667
THEG	-0.22625
KRT34	-1.34425
SGSM3	-0.054875
TOMM22	-1.606125
SOCS3	0.55
CPO	1.098
POP4	0.34625
BHLHB3	0.0545
MALL	0.7465
OR1B1	0.7165
PARK2	0.1385
GPR124	0.1635
LCE1E	0.048
RUVBL2	-0.37125
CGRRF1	1.1157
ACPL2	0.51375
WNT10B	-2.709125
BAIAP2L2	-2.23275
ISCA1	0.3555
C1orf125	0.107875
RPAP1	0.09775
RAI16	-0.6375
RPL27	-0.749875
NLRP9	-0.3205
EPN1	0.097
LOC388610	-1.2615
SLC35A1	0.5367
GAL	-3.971
SLC14A2	0.0985
RDH11	-0.578
FAM138F	-0.7075
AUH	0.1725
FLJ40243	0.31025
C14orf129	-0.160833333333333
MBD2	-0.309833333333333
ABHD14B	-0.465875
PIGT	0.71575
ALS2CR4	-0.698
ALAS1	0.1448
FOXO1	0.705166666666667
CRLF3	-0.512125
C20orf107	-0.5585
FARS2	1.09125
CCDC28A	1.1775
NPHP3	-0.6525
OR13F1	0.2805
TSEN54	-0.355
DEFB106B	-0.0669
OR8B4	0.4965
STH	0.84575
ZC3H14	-0.910875
CBX2	0.195
TMEM49	-0.9515
C6orf21	0.266
FLJ20920	-0.17225
CRTAP	-0.266428571428571
DDX50	-0.176
STYXL1	0.216
BLVRB	0.613666666666667
LOC147650	-0.610666666666667
MMP24	0.4805
GRID1	1.08833333333333
BANF1	0.248333333333333
CTAGEP	1.01475
HMBS	-2.55125
SLC25A24	-0.988833333333333
C14orf50	1.45725
MRO	0.442666666666667
SLC25A15	-1.6425
FAM84B	1.2639
TDP1	-1.464
C16orf78	0.0783333333333333
C11orf57	-0.942125
RFK	-0.170875
ZFYVE9	-0.556625
STCH	-1.4163
WIBG	0.5485
LOC283871	0.0288333333333333
GBA2	-0.2481
NDUFB3	0.03275
HSD17B13	-0.15375
GRIN3A	0.700666666666667
FMNL1	-1.4005
SEPT7	-0.5647
GNLY	2.309
GRAMD1C	0.474833333333333
ZNF165	-0.33625
USP38	1.57225
FAM83A	-2.83333333333333
C14orf24	1.49058333333333
ARMCX3	1.1715
ARHGDIB	0.446666666666667
AK1	0.50525
KIAA1045	0.142
DNAJB13	-0.475666666666667
NEU2	1.128
HIST1H4B	-1.09366666666667
FAM20B	0.5519
HES2	0.457285714285714
FAM73B	-0.349
LOC388381	-0.08825
INTS7	0.689090909090909
AMPH	1.255
ZNF775	0.032375
UCKL1	-0.603666666666667
C10orf97	-0.10475
C1orf161	0.182
ALDH1L1	-1.55775
FLJ39378	0.2
SLC23A1	-0.0385
RBM4B	0.68425
THAP4	0.365333333333333
OGFRL1	0.6915
KIAA0831	0.45725
PPP1R15A	-1.1885
C1orf96	0.557142857142857
C12orf11	-2.40475
BMF	0.867625
MAN1A1	-1.013625
KIAA1600	1.29083333333333
NLGN4X	-2.0765
ALOX12	-1.2135
RB1CC1	0.7979
NEIL2	0.2978
EIF4E	0.147818181818182
ABHD5	-0.11325
EXOC4	0.571166666666667
CIP29	-0.344333333333333
BATF2	1.6135
SLC29A4	-0.989375
HTR4	0.2295
EMB	-0.03325
TRAF6	0.17
LMNB1	-2.1795
FAM19A5	-0.902625
SHE	1.4685
PIK3C2B	1.159
C15orf15	-1.1347
USP15	-0.0184
TCEAL2	0.55875
C5orf39	-0.444666666666667
PTGER2	-0.7
SLC31A1	-0.34025
IFT172	0.24725
ADAM29	0.389
GFOD1	-0.50725
ST7L	0.3135
C15orf26	-2.68125
PKN3	-2.105
CNTD1	2.17633333333333
COMMD1	0.525625
NTRK2	1.62741666666667
FOXN3	-0.07625
MFGE8	-0.6437
PFKFB2	1.57466666666667
TAS2R4	0.00749999999999999
ENTHD1	-0.271166666666667
PRMT5	-0.579875
MGC16384	-1.002
LOC442229	0.24075
TSKU	0.1675
KRTCAP3	3.04075
PDLIM1	0.3175
KCNS2	0.518
RNF126	-0.694333333333333
CEP63	0.1555
CLIC4	-1.050875
hCG_1990170	-0.75
ACR	0.1199
KLK7	0.14875
ALOX5AP	2.448
RIPK3	4.0395
TAS2R9	-0.0315
C19orf18	0.316
BIRC6	0.140142857142857
ZNF16	1.79
RFT1	-0.80775
SLC8A2	-0.59225
TACC1	0.54225
ITGAD	0.441
SAMHD1	1.00275
SH3PXD2B	0.614
EPC2	0.5735
C20orf85	0.3145
ATP13A2	-0.2895
KRT4	0.318125
CAPNS1	0.04625
MDM2	0.122833333333333
PCDH20	1.211
KCNK9	1.263
OR2C1	-0.1535
KLHDC3	-0.9285
IPPK	1.0885
EFHD2	-0.768125
GALR3	0.729
NBEA	0.758833333333333
ABCA6	1.6556
CLDN3	3.2585
AKT2	-0.611071428571429
EGFR	-2.483
RBM16	0.301625
ZDHHC3	-0.3141
SLC25A4	1.04116666666667
CYB5B	-1.55683333333333
CPXM1	-0.6735
NDRG1	1.374
FLJ43826	0.693
OR5L2	0.738
FARP2	1.445
MRPL46	-0.904083333333333
LDHAL6B	0.3995
MAPKAPK3	-1.65666666666667
NCAM2	-1.1575
PRKD2	0.6585
ZFP36L1	0.562
CYSLTR1	-0.25775
OR4C3	0.1335
HIST1H2AJ	2.399
CCNB2	-2.23077777777778
ZNF10	-2.035
TMEM175	0.7765
FAM134A	1.21233333333333
TIGD4	0.327
PCNP	-0.007
MGC39715	1.08175
LQK1	-0.25425
CREB1	0.8299
TMPRSS3	1.72825
C4orf32	0.190875
LAT	-2.29966666666667
KCNA3	-0.65
SKIV2L2	-0.87175
ROPN1B	-1.98925
tcag7.23	-0.814
CDT1	-3.401
ZHX2	2.3325
CD28	-3.98525
ZNF624	1.47925
SEPT2	0.795166666666667
SOHLH2	-1.1835
MCOLN3	0.526
UNQ1945	0.855
MASP2	-1.2075
ZNRF3	-0.136
GPATCH3	-0.3565
AGL	1.166125
QRICH2	-0.4775
PSD4	1.46333333333333
CCNB1IP1	-1.95925
ENPP7	0.136
OBFC1	0.2475
KCNG3	-1.25775
C14orf79	0.316
ENPEP	1.8655
SCT	2.83
SKI	0.740625
SEC61G	-1.3425
CAPN11	0.06475
ATXN7L3	-0.0275
DBNDD1	-0.397333333333333
FAIM	0.23125
ANKRD36	-0.7205
GABRP	1.765
TACSTD2	1.5975
EIF3J	-0.33475
PPP2R2A	-0.69525
TEKT4	-0.0285
PVALB	-0.529833333333333
F10	-2.27466666666667
FAM134C	0.9807
COMP	4.48275
EFCBP1	-2.66775
SCLT1	-0.0135
TAL1	-1.1377
ACSL1	2.3165
ABCC5	1.85475
ABL1	-0.310888888888889
RBBP7	0.1875
PTPRG	-0.502375
NCOR1	0.6531
SPINK4	-1.69816666666667
TXNRD1	-0.7466
TNRC15	1.1705
C9orf138	0.381125
UBE2H	1.46233333333333
BRDT	0.814
C8orf31	0.01025
CCNE2	-0.194545454545455
SLC6A8	-1.513125
CALCR	-3.604
PPP1CB	0.214583333333333
ABHD8	0.17125
ARF5	0.3864
SLC24A4	0.437
CCT3	1.2055
ZNF121	0.08
SLC3A2	-0.4834
OR13A1	0.358
SLC5A10	0.84475
RAD50	0.096125
IER5	0.701
MTHFD1L	-2.65675
MBTPS2	0.47975
MVK	-0.3905
NCL	-0.038
PSMD10	-0.20725
MOBP	0.39525
FLJ32894	-0.4205
HRH1	-0.961333333333333
C5orf30	1.603
NUDT16L1	0.8729
RASGRP3	3.05483333333333
PRKRIP1	-0.2756
CCDC75	0.05375
LOC253970	0.218
KIAA1239	0.01225
MED21	-0.11575
SYT11	0.6245
NTSR2	-0.41
EGFL11	-0.18
CXorf59	-0.00850000000000001
OR2A25	0.14675
SPTBN2	-0.77875
LRMP	-2.076
RNF111	0.5675
PTH	-0.123
LOC619208	0.4775
KIAA0895	0.9845
RANBP5	-0.595875
P2RY10	-0.1605
NME5	2.968
DDX21	-1.22325
LRSAM1	0.9965
HDAC11	1.40016666666667
VMO1	1.9885
NOLA2	0.340166666666667
ADAR	2.00441666666667
MTO1	-0.794833333333333
SF4	0.113666666666667
P2RX1	-0.323666666666667
HBM	0.21375
EN2	1.1195
C14orf172	-0.2085
TM9SF2	0.8243
INHBE	-1.23616666666667
TCTE3	8.33333333333195e-05
TOX2	-3.0705
CTAGE3	0.927125
HBB	3.2176
MED15	0.869833333333333
CASR	0.47375
C6orf66	-1.0315
MTPN	0.10375
UNC50	-0.0475
C21orf33	-0.025375
IRF2	1.076875
PGR	0.770166666666667
GPR84	1.99575
CROCCL1	-3.39775
SRPX	-1.788
BRE	0.695666666666667
FGF10	0.07925
SDC3	-0.342833333333333
ZRSR1	0.181166666666667
DKFZP434P211	0.75525
SOX6	-0.1415
RPUSD2	0.21925
C14orf173	-0.71875
MAPK11	-0.467333333333333
TBC1D22A	-0.0745
FAM123A	-0.455
COL4A6	-2.886
TOMM70A	0.4965
NAB1	-0.318875
MGC16385	-0.38725
TSPAN18	-0.2095
MED31	-0.02675
PLG	-0.71475
CAPSL	2.579
ZNF532	0.756
ASB14	0.67225
CA8	-0.3115
NUDT16P	1.56383333333333
SLFN11	-0.544
LRRIQ2	1.00975
NOL7	-0.2945
BRMS1L	-0.226375
JARID1A	0.738333333333333
PANK2	-0.68275
ICAM3	-0.48525
MDS1	0.78375
TAF8	-0.36675
RNF139	1.846
ZNF594	-0.0315
ADAM8	1.160875
SFTPC	-0.18125
MAN2B2	1.562375
RGS12	0.7453125
EIF1AY	-4.72033333333333
LRRIQ1	-1.36866666666667
GPR150	1.0625
CCDC21	-1.5505
PRRG3	0.318
SAA4	-3.8295
RAPGEF5	0.795625
ZCCHC2	-0.0664166666666667
MGC39372	-1.004
PPP4R2	-0.441666666666667
CDCA2	-2.147
OR4D5	0.381833333333333
PTGFRN	0.8648
SIGLEC5	1.384
C19orf61	-0.3635
NMUR2	0.8375
KIAA1586	-1.22583333333333
DAGLA	0.1135
CHCHD6	0.40275
GPR32	0.996
NEUROD6	0.124666666666667
SLC2A4RG	0.2038125
CA5B	-0.3305
FBXL3	1.316
MPHOSPH9	-0.55075
HMG2L1	-0.17875
HCN4	0.648333333333333
CEACAM19	0.5595
SH2D4B	0.399833333333333
HFE2	-0.8775
TGM4	0.205833333333333
LYPD2	-0.11
TBC1D15	-0.06425
MRPS21	0.5632
NONO	-0.7859
CLEC5A	1.06275
ITCH	-0.4366
MGAT3	-1.62066666666667
MBP	-0.723125
RPP25	-0.97825
SOSTDC1	-1.89975
HRC	-1.443
TRIM48	-0.162
TMEM133	-0.2215
ECEL1P2	-1.02875
HOXC11	1.011
DOK5	-1.35525
HELZ	0.269666666666667
LOC348180	-1.49175
MGC33894	0.551
ADRB3	0.028
DMD	-0.428166666666667
PTRH2	-1.0105
MPEG1	1.81433333333333
NDUFA12	-0.0638333333333333
KRTAP2-4	0.171916666666667
STAMBPL1	-1.20233333333333
ADCY2	-0.8722
UNQ6125	0.487
KLHL20	0.538333333333333
SRM	-1.8615
OTC	0.2595
TMIE	-0.0691666666666667
SNX8	0.216
LIPK	0.276
CHURC1	-0.697083333333333
KLC2	0.306
HDAC1	-0.6585
FAM128A	1.18666666666667
FNDC3B	-0.477
MTCP1	-0.154833333333333
WFDC10B	0.282
PCDHGB3	0.2275
ATRNL1	-0.3615
CAV2	-1.26075
MED26	0.264166666666667
DUS1L	0.3085
CHRM3	-1.213375
NEK9	0.719
WARS2	-1.19275
TBX22	0.794
TOMM40	-0.5825
RP6-213H19.1	-0.966
TUBGCP5	-0.41175
IGSF6	4.295
TPPP	0.0918333333333333
UNQ6190	0.124
GSTM5	-0.178125
BTD	0.2235
PDCD1LG2	0.577666666666667
SNRPB2	-0.308
ERICH1	-0.9455
APOA4	-1.447875
HOXA11	-1.02925
NARG1	0.231875
MKX	-0.77525
RAB28	-0.0479285714285714
PKP3	0.3905
SH3GL2	-2.159
CTSO	2.84025
RPN2	0.428625
IL28RA	0.500833333333333
SFMBT1	-0.1245
WDR57	-0.717625
FER1L3	1.16666666666667
HSF5	0.303166666666667
TTC9B	1.245
C4BPA	-3.123
ALB	-4.02146153846154
SORBS3	0.276375
UPF2	0.271
JPH1	1.568
AGBL2	-1.0615
DOPEY1	1.259
TERF1	0.871416666666667
KIF22	-0.397833333333333
NINJ1	1.96175
SEC61A2	-0.22875
HIST1H1D	-0.345666666666667
SFXN4	0.649875
UCP3	0.2227
ZNF703	2.12316666666667
MYL6B	-0.643
TREM1	1.70125
OR52E6	0.6865
CKMT2	1.139
HLA-C	2.11225
SLC13A3	-0.974833333333333
TIMP4	-3.6045
SLIT2	1.6755
RSF1	-0.495444444444444
LONRF1	-1.82278571428571
MON1A	-0.205166666666667
CACNG6	-1.6775
DPPA4	-5.415
ZSWIM3	0.907
ZNF804A	0.046
CCIN	1.203
SLC25A31	-0.12225
KCNMB4	-1.3315
RABL5	0.944375
GALNS	-0.4782
STX6	1.595125
HIST1H1C	-0.643166666666667
CIDEB	1.46525
CASP4	-0.531333333333333
PDK3	1.0789
KCNJ11	1.3905
TPR	-0.12875
ZSCAN20	-1.2375
MTX2	-0.057
HIST1H2BH	0.479
LOC283767	0.74675
LYRM7	-1.67744444444444
BRD3	0.220666666666667
HIST1H2BO	0.487
MAGEB10	0.424
SLC45A1	0.75875
SERPINA3	2.7074
KIAA0143	2.0855
KCNJ16	-0.0638333333333333
KRT79	0.313
FABP2	-1.203
NUT	-0.218
ZNF57	-0.19175
FBXL4	0.588125
CLEC9A	0.154
UGT8	-1.31966666666667
BMP2K	0.08725
MAPK4	-3.756
SLC25A23	-0.4111
HINT1	0.0539
KRTAP13-1	0.321
SFXN5	0.2666
CHCHD2	0.262333333333333
FAM3D	0.882
NDP	1.63125
RHOBTB1	-0.307
SLC4A4	-1.350125
RPL38	-0.484
HTF9C	1.38916666666667
AP2A2	0.188375
ZBTB46	-0.0425
MAP7D1	-0.37975
AOX1	0.383
CYR61	0.564833333333333
DTNA	0.109357142857143
JRKL	-0.9385
TMOD3	-0.098
EEA1	-0.0918
ADCK5	0.75675
IL1R1	3.42166666666667
KLK3	0.8145
HRSP12	0.69475
KTN1	1.309
LOH11CR2A	-0.6802
RELL2	-2.1005
MAB21L1	0.771
C20orf59	-1.25116666666667
PHKB	-0.452
ADAM2	-1.7865
TBC1D8B	-0.0645
FAM13A1	-0.8964375
LAPTM4B	0.834833333333333
LCN8	0.43
TMEM147	0.6265
SYT4	0.279333333333333
XPO7	-0.615
C9orf62	1.0165
GPR75	-0.161
TRIM5	0.185125
APOC1	-0.00733333333333333
RNASE4	1.01066666666667
PARD6B	-1.222
ARID1A	0.286416666666667
TPD52L3	-0.0769
RRAGB	1.5435
RCN2	-0.3935
HIST2H2BE	1.2555625
STARD7	0.2155
SHMT2	-1.262
KIAA1751	-0.265666666666667
MLYCD	0.16925
LOC162632	-0.464
UQCRH	-2.1005
RP11-217H1.1	0.1755625
SDHA	-1.067
NCLN	0.2505
ZNF17	0.557833333333333
RCBTB2	-2.55825
VEGFB	-0.4738
RP4-747L4.3	0.07425
COLQ	0.0853
MPN2	-0.810833333333333
DRG2	0.50125
KLRB1	2.964
ALPK2	-1.8585
DNASE2B	0.0775
FLJ23834	-0.1875
AXUD1	0.2125
SAFB	0.2442
NSUN4	-0.2265
RFX2	0.175666666666667
MAPK8IP1	-0.584166666666667
FANCD2	-1.53778571428571
ANKZF1	-1.646
C19orf50	-0.582375
DUSP8	0.81
SENP5	0.667125
NFKBIL2	-0.1315
LBR	-1.181
IGFL1	0.388
LZTS2	-0.222125
IL2RG	-0.865375
CCDC51	-0.484
KLF3	0.15725
ANKRD37	-1.267
KCTD14	-1.46983333333333
FZR1	0.215833333333333
SLC44A4	3.4347
ESPL1	-1.05025
GMPR2	0.4955
TBC1D19	0.7005
ERGIC1	0.881222222222222
ERBB4	3.9068
TSPAN32	-0.14125
MAP4	-0.5185
GPHN	-0.33275
SLC6A2	-0.021375
HIVEP1	0.374
DFFB	-1.3002
EIF4EBP2	0.384375
DMRT1	-0.094
HSPB6	0.01125
IER2	0.154333333333333
AIFM1	0.00975000000000001
WWC2	0.759416666666667
MRPL4	-0.466
FLJ21062	0.295166666666667
EPB41L4A	0.757416666666667
SH2D6	0.68075
TAF4B	-1.821
GAL3ST3	0.079
MALT1	-1.46483333333333
RTDR1	0.176
ARVCF	1.4145
MEX3B	-1.15166666666667
FBXO16	0.67125
KIF7	-1.0875
C1QC	3.57583333333333
ZNF783	-0.702833333333333
ZNF85	-0.762
MMP13	3.815
KIAA0329	-0.00462499999999996
RTP3	-0.135
ZBED3	0.11075
CLGN	0.36
SLC25A37	-1.87829166666667
hCG_18290	-1.271
OR5AS1	0.139
SMARCC2	0.4355
FAM109A	-0.0801666666666667
CCDC12	-0.68275
USF2	0.6636
DEPDC7	-2.69525
C20orf24	0.131833333333333
JMJD3	0.951
DSP	1.91507142857143
SLIC1	0.356375
FAM20A	0.678
IRF2BP2	1.059
ZNF230	-0.3485
MSN	-0.967785714285714
SLC9A5	-2.5075
EPDR1	-1.4674
MUSK	-0.093
ZNF434	-0.578166666666667
SMARCD1	-0.251333333333333
ZFP106	-0.6555
ZNF347	0.6135
