Hybridization REF	TCGA-AN-A04C-01A-21R-A034-07
PPARGC1A	-2.49477777777778
ETFA	-0.086
POLRMT	-0.39825
ZNF146	1.110625
MIA2	-0.38
KLHL6	-0.499833333333333
HOXB5	-1.094625
NENF	0.705833333333333
CUGBP1	0.26525
PRSS22	1.1215
CASC4	0.8477
CUL4B	-0.2142
CENPJ	-0.9618
PITX1	0.909666666666667
FLJ31033	0.429666666666667
CELSR3	-1.10216666666667
ZNF568	0.57575
ITSN1	-0.738545454545455
EHBP1L1	-0.788
C19orf2	0.01725
DCTN1	0.14425
LIN28B	-2.67
TNKS2	0.1045
C1QBP	-0.915625
CADPS2	1.688
SRMS	-0.06225
GJA9	-0.0575
MGC24975	-0.443833333333333
TRIM45	-0.622333333333333
TSP50	0.20725
TCP1	-2.551
TMED7	-0.8895
CMA1	0.6135
CENPL	-0.0435
PTCRA	0.2405
FST	-4.421
VWCE	-3.245
PAWR	-0.52875
ABCC12	1.82166666666667
LDLR	-1.2342
ASTN2	-0.6226
LOC441212	-1.495
GPATCH8	-0.1875
TANC2	-0.25075
KIF4A	-1.3475
C18orf18	-0.7395
PGM1	-1.73625
KIAA0258	0.52525
CPD	0.11875
SNCAIP	-1.14325
DCT	-4.50883333333333
HLA-DOA	1.77840909090909
OR11L1	0.55
UPK1B	-0.150166666666667
DNAJB4	-1.333625
UGT1A8	-0.395666666666667
HIST1H4L	0.6755
PECR	-2.48866666666667
HSPA2	0.7445
WFIKKN1	-1.845
SERP1	0.039
SYDE2	-0.3205
TACR2	0.4125
NUP85	0.2015
CD177	-0.882666666666667
LGR5	-1.704
PIGG	-1.40083333333333
PTHR1	-2.30316666666667
RAB5A	-0.4542
FLJ13224	-0.2415
USP9Y	-0.902666666666667
C7orf53	-0.898
LRP1B	-0.69275
XAF1	1.0907
ABCG8	0.047
ANKDD1A	-0.669166666666667
DAND5	-1.0325
SPAG6	0.267
LINCR	-0.84975
ZDHHC22	-1.082375
CCDC60	-0.1735
THOC7	-1.651
TCTA	0.3397
OR8K3	-0.14975
NY-REN-7	-0.26025
B2M	0.318
C6orf141	-1.0875
LPPR4	1.02775
SQLE	0.176375
SEPHS1	0.3655
BTBD14B	0.658285714285714
PLRG1	1.80525
SPG7	-0.538125
ZNF614	0.0251666666666667
PARD6G	1.51866666666667
INPP5B	-0.8391
GRPEL2	-0.195375
PPID	0.0876
TRIM56	-0.98325
UBE2J1	-0.4565
IL20RA	2.307
LOC387856	0.507666666666667
C1orf107	0.548083333333333
UTS2R	0.795
C19orf22	0.7065
SAFB2	-0.013875
KIAA0652	0.17825
KLRG1	-0.996333333333333
MS4A8B	0.5765
FRAG1	0.36725
KIAA1546	2.0735
E2F4	-1.1466
CLEC4M	0.6875
BTBD14A	-0.7345
KIAA0999	-0.5598
GYPA	-2.204
TAC1	-0.9395
TRAIP	-1.40466666666667
KIAA0232	0.1209
ERCC8	-1.62325
GPX4	0.752625
KIAA0368	0.2175
GPR157	0.190833333333333
CTAGE4	0.77
C9orf30	-1.06133333333333
OR52A1	0.7795
HSP90B3P	-1.4855
ALG9	-0.5742
BTBD10	-0.2425
SDK2	0.32625
BAIAP3	-0.81425
RABGGTB	-0.795625
ANKRD40	0.621333333333333
KRT74	0.6825
CALCOCO2	0.0372857142857143
SNCA	-3.9355
TMSL8	-3.748875
C2orf53	0.0155
ESRRB	-0.191
ARHGAP26	0.7325
TDRD9	-2.571
HRAS	0.143166666666667
KLRC4	-2.787
JAGN1	-0.4625
BSDC1	0.70675
RNF43	1.5362
NDUFAF1	-0.30375
PHF12	0.433
OR1L3	-0.444
FOLR2	1.0235
LYZL6	0.587
tcag7.1260	-1.6885
WSB1	-1.68433333333333
PROS1	-0.837111111111111
OSTN	0.629
PSMB8	-1.25175
SOCS4	-0.354125
DDIT4L	0.19825
MAS1	-0.716
MGC34796	-0.18375
CSHL1	0.00933333333333332
TBCCD1	0.430333333333333
ZBTB7C	0.7145
AP2S1	0.00125
P15RS	0.3217
VAT1	1.4259
SHANK3	1.16
TUFM	0.0428333333333333
THEG	0.0555
KRT34	-1.421
SGSM3	0.613625
TOMM22	-0.08225
SOCS3	1.05233333333333
CPO	1.815
POP4	0.000249999999999993
BHLHB3	-0.7405
MALL	2.8175
OR1B1	0.2105
PARK2	0.122333333333333
GPR124	-0.248875
LCE1E	0.7985
RUVBL2	-0.06475
CGRRF1	-1.0986
ACPL2	0.15875
WNT10B	-2.744375
BAIAP2L2	-1.617375
ISCA1	-0.009
C1orf125	0.248125
RPAP1	-0.35325
RAI16	-0.612166666666667
RPL27	1.068625
NLRP9	0.8435
EPN1	0.067
LOC388610	-2.198875
SLC35A1	0.8901
GAL	-2.91475
SLC14A2	0.10825
RDH11	-0.886666666666667
FAM138F	0.089
AUH	0.13725
FLJ40243	0.42375
C14orf129	-0.430666666666667
MBD2	0.1725
ABHD14B	-0.751875
PIGT	-0.4115
ALS2CR4	-0.118
ALAS1	-0.6673
FOXO1	0.0155
CRLF3	-0.9755
C20orf107	-0.3785
FARS2	0.06375
CCDC28A	-1.4665
NPHP3	-0.92625
OR13F1	-0.1325
TSEN54	0.366
DEFB106B	0.464444444444444
OR8B4	0.441
STH	-0.11925
ZC3H14	-0.70725
CBX2	-0.047
TMEM49	-1.54725
C6orf21	0.9285
FLJ20920	2.05225
CRTAP	-1.20771428571429
DDX50	-0.27375
STYXL1	-0.8185
BLVRB	0.391833333333333
LOC147650	-2.428
MMP24	0.324
GRID1	0.996333333333333
BANF1	0.501166666666667
CTAGEP	-0.1785
HMBS	-2.4505
SLC25A24	-0.4225
C14orf50	-0.0445
MRO	0.354
SLC25A15	0.1895
FAM84B	2.0934
TDP1	-0.1425
C16orf78	0.306666666666667
C11orf57	0.758125
RFK	-0.824375
ZFYVE9	0.118571428571429
STCH	-2.0967
WIBG	0.82775
LOC283871	-0.2156
GBA2	-0.9294
NDUFB3	0.1315
HSD17B13	-0.27825
GRIN3A	1.73533333333333
FMNL1	-1.18433333333333
SEPT7	-0.823
GNLY	2.6195
GRAMD1C	0.4665
ZNF165	0.671
USP38	3.20625
FAM83A	-2.417
C14orf24	0.310416666666667
ARMCX3	0.648625
ARHGDIB	0.6235
AK1	-0.004625
KIAA1045	0.52
DNAJB13	-0.0796666666666667
NEU2	-0.261
HIST1H4B	0.893333333333333
FAM20B	-0.2496
HES2	1.82335714285714
FAM73B	-0.6692
LOC388381	0.1965
INTS7	0.346818181818182
AMPH	-0.73
ZNF775	-0.136125
UCKL1	-0.626666666666667
C10orf97	0.438
C1orf161	-0.41625
ALDH1L1	-1.20275
FLJ39378	-0.13925
SLC23A1	-0.4635
RBM4B	0.224
THAP4	0.6355
OGFRL1	-0.09675
KIAA0831	-0.252875
PPP1R15A	-0.178166666666667
C1orf96	1.07642857142857
C12orf11	-1.23625
BMF	1.903625
MAN1A1	-2.254625
KIAA1600	0.449333333333333
NLGN4X	-0.0585
ALOX12	-0.649333333333333
RB1CC1	1.1179
NEIL2	-0.8107
EIF4E	0.394681818181818
ABHD5	-0.184
EXOC4	-1.83683333333333
CIP29	-0.177166666666667
BATF2	-0.41875
SLC29A4	0.5965
HTR4	0.93725
EMB	-0.36775
TRAF6	1.136
LMNB1	-1.033
FAM19A5	-1.1445
SHE	1.23225
PIK3C2B	1.9485
C15orf15	-0.5702
USP15	-0.5457
TCEAL2	-0.65425
C5orf39	-0.7495
PTGER2	-1.447
SLC31A1	0.3783125
IFT172	0.26525
ADAM29	0.00950000000000001
GFOD1	1.04875
ST7L	0.043
C15orf26	-2.174
PKN3	-1.173
CNTD1	3.73666666666667
COMMD1	0.77175
NTRK2	1.08316666666667
FOXN3	-0.218625
MFGE8	-1.0776
PFKFB2	1.22083333333333
TAS2R4	-0.4855
ENTHD1	-0.179
PRMT5	-1.2785
MGC16384	-1.006375
LOC442229	0.369
TSKU	-0.3085
KRTCAP3	1.59
PDLIM1	0.7875
KCNS2	1.1355
RNF126	-0.486833333333333
CEP63	-0.390125
CLIC4	-0.251125
hCG_1990170	-0.4905
ACR	0.4055
KLK7	0.808
ALOX5AP	1.4795
RIPK3	3.33175
TAS2R9	0.7985
C19orf18	1.342
BIRC6	0.496571428571429
ZNF16	1.1125
RFT1	-0.69575
SLC8A2	-0.48825
TACC1	-0.609625
ITGAD	1.2245
SAMHD1	0.074
SH3PXD2B	0.9277
EPC2	1.0475
C20orf85	0.441875
ATP13A2	0.4735
KRT4	0.24275
CAPNS1	0.673
MDM2	-0.55575
PCDH20	2.42725
KCNK9	1.1625
OR2C1	-1.4165
KLHDC3	-0.975666666666667
IPPK	0.468
EFHD2	-0.440125
GALR3	0.8995
NBEA	1.03216666666667
ABCA6	1.2278
CLDN3	1.85266666666667
AKT2	1.03961538461538
EGFR	0.1787
RBM16	1.55175
ZDHHC3	0.5183
SLC25A4	-0.289333333333333
CYB5B	-1.92683333333333
CPXM1	-1.0395
NDRG1	-1.46246153846154
FLJ43826	0.604
OR5L2	0.888333333333333
FARP2	0.5655
MRPL46	-0.403333333333333
LDHAL6B	0.524333333333333
MAPKAPK3	-0.729666666666667
NCAM2	-2.202
PRKD2	0.1985
ZFP36L1	1.3152
CYSLTR1	0.38225
OR4C3	0.776
HIST1H2AJ	1.4065
CCNB2	-1.496
ZNF10	-0.07725
TMEM175	0.5355
FAM134A	0.772833333333333
TIGD4	0.0665
PCNP	-1.2545
MGC39715	0.399333333333333
LQK1	-2.17325
CREB1	0.4464
TMPRSS3	-2.5255
C4orf32	0.9415
LAT	-2.06566666666667
KCNA3	-0.602
SKIV2L2	-1.04125
ROPN1B	-2.59575
tcag7.23	0.2235
CDT1	-2.75
ZHX2	2.31825
CD28	-3.076
ZNF624	0.69375
SEPT2	0.211416666666667
SOHLH2	-1.2905
MCOLN3	-0.629285714285714
UNQ1945	0.4615
MASP2	-0.1045
ZNRF3	0.6793
GPATCH3	-0.205
AGL	-0.070625
QRICH2	-0.016
PSD4	0.0335
CCNB1IP1	-0.77175
ENPP7	0.66125
OBFC1	-0.09275
KCNG3	-1.86525
C14orf79	0.346333333333333
ENPEP	1.76816666666667
SCT	0.503
SKI	0.94225
SEC61G	-1.0375
CAPN11	0.814
ATXN7L3	0.77375
DBNDD1	0.429666666666667
FAIM	1.06525
ANKRD36	0.2405
GABRP	0.64275
TACSTD2	1.7925
EIF3J	0.19475
PPP2R2A	-2.0725
TEKT4	0.390333333333333
PVALB	-3.3295
F10	-2.96783333333333
FAM134C	0.8977
COMP	4.31075
EFCBP1	-3.38133333333333
SCLT1	0.98875
TAL1	-0.7443
ACSL1	1.36575
ABCC5	-1.26225
ABL1	-0.102888888888889
RBBP7	-0.388333333333333
PTPRG	-0.91975
NCOR1	-0.5659
SPINK4	-1.62733333333333
TXNRD1	-1.6516
TNRC15	1.861625
C9orf138	0.11025
UBE2H	0.976333333333333
BRDT	0.284333333333333
C8orf31	-0.32075
CCNE2	-0.721636363636364
SLC6A8	-1.37175
CALCR	-3.61925
PPP1CB	0.424416666666667
ABHD8	-0.2975
ARF5	0.2374
SLC24A4	0.16775
CCT3	0.08575
ZNF121	0.626125
SLC3A2	-1.3169
OR13A1	0.617
SLC5A10	-0.166
RAD50	-0.578375
IER5	-0.275125
MTHFD1L	-0.4335
MBTPS2	-0.063
MVK	-0.645625
NCL	0.3519
PSMD10	-1.129
MOBP	0.758875
FLJ32894	-0.701
HRH1	-0.0535
C5orf30	-0.66325
NUDT16L1	1.0152
RASGRP3	3.10616666666667
PRKRIP1	-0.3963
CCDC75	0.30275
LOC253970	0.274666666666667
KIAA1239	0.546333333333333
MED21	-0.23325
SYT11	-0.300272727272727
NTSR2	-0.6815
EGFL11	0.017
CXorf59	-1.635
OR2A25	0.055
SPTBN2	0.89675
LRMP	-1.18516666666667
RNF111	0.3445
PTH	-0.3025
LOC619208	-0.735
KIAA0895	1.26275
RANBP5	-0.433375
P2RY10	0.568833333333333
NME5	2.165
DDX21	0.167
LRSAM1	0.6215
HDAC11	0.547333333333333
VMO1	-0.1705
NOLA2	-0.8935
ADAR	0.118583333333333
MTO1	-1.09383333333333
SF4	0.132
P2RX1	-0.578333333333333
HBM	0.03475
EN2	0.9465
C14orf172	0.34575
TM9SF2	-0.0234
INHBE	-0.588333333333333
TCTE3	-0.189818181818182
TOX2	-3.1475
CTAGE3	-0.067
HBB	3.2765
MED15	-0.4285
CASR	0.11125
C6orf66	-0.168333333333333
MTPN	0.070875
UNC50	-0.878
C21orf33	-0.5985
IRF2	0.930375
PGR	-2.4695
GPR84	0.43125
CROCCL1	-2.55725
SRPX	-2.326
BRE	-0.594666666666667
FGF10	0.3415
SDC3	-1.21283333333333
ZRSR1	0.482166666666667
DKFZP434P211	-0.123875
SOX6	null
RPUSD2	0.6215
C14orf173	0.0395833333333333
MAPK11	-0.229
TBC1D22A	-0.076
FAM123A	-1.15
COL4A6	-3.29133333333333
TOMM70A	0.60975
NAB1	-0.884625
MGC16385	0.149
TSPAN18	-0.180833333333333
MED31	-0.2775
PLG	-0.6155
CAPSL	0.6175
ZNF532	0.5057
ASB14	0.55
CA8	2.43675
NUDT16P	-0.2052
SLFN11	-1.137
LRRIQ2	0.54275
NOL7	-0.298833333333333
BRMS1L	-1.583125
JARID1A	0.894666666666667
PANK2	-0.17075
ICAM3	-1.12825
MDS1	-1.55025
TAF8	0.20425
RNF139	1.9875
ZNF594	0.0826666666666667
ADAM8	1.113875
SFTPC	0.338875
MAN2B2	-0.47175
RGS12	0.25425
EIF1AY	-3.97009090909091
LRRIQ1	-0.487166666666667
GPR150	0.82975
CCDC21	-1.06566666666667
PRRG3	0.27775
SAA4	-3.58775
RAPGEF5	2.684375
ZCCHC2	0.648
MGC39372	0.4845
PPP4R2	0.0306666666666667
CDCA2	-1.80166666666667
OR4D5	0.485333333333333
PTGFRN	0.7544
SIGLEC5	0.894
C19orf61	-0.0641666666666667
NMUR2	0.028
KIAA1586	-2.2115
DAGLA	-0.331333333333333
CHCHD6	0.05525
GPR32	0.302
NEUROD6	0.17
SLC2A4RG	0.023625
CA5B	0.72925
FBXL3	0.39925
MPHOSPH9	-1.37675
HMG2L1	1.1015
HCN4	0.5056
CEACAM19	1.45925
SH2D4B	-0.0191666666666667
HFE2	-0.8265
TGM4	0.563
LYPD2	0.32675
TBC1D15	-0.37875
MRPS21	0.5436
NONO	-0.7308
CLEC5A	0.329625
ITCH	0.1264
MGAT3	-1.938
MBP	-1.60285714285714
RPP25	1.293
SOSTDC1	-1.5855
HRC	-0.97175
TRIM48	-0.207
TMEM133	-1.2025
ECEL1P2	-1.01175
HOXC11	1.807
DOK5	-1.47575
HELZ	0.554833333333333
LOC348180	-0.603
MGC33894	0.67475
ADRB3	0.4645
DMD	-0.412333333333333
PTRH2	0.05975
MPEG1	2.88666666666667
NDUFA12	-0.685833333333333
KRTAP2-4	0.240083333333333
STAMBPL1	-2.7565
ADCY2	1.8745
UNQ6125	-0.1725
KLHL20	0.2375
SRM	-0.46425
OTC	0.445333333333333
TMIE	-0.0416666666666667
SNX8	0.31225
LIPK	1.776
CHURC1	-1.01575
KLC2	0.471166666666667
HDAC1	-1.4325
FAM128A	0.251333333333333
FNDC3B	-0.5859
MTCP1	-0.930666666666667
WFDC10B	0.647444444444444
PCDHGB3	-0.057
ATRNL1	-2.919
CAV2	-1.39525
MED26	0.671
DUS1L	1.3985
CHRM3	-1.051125
NEK9	-0.875
WARS2	0.28175
TBX22	1.697
TOMM40	0.117
RP6-213H19.1	-0.902
TUBGCP5	-0.34825
IGSF6	4.70975
TPPP	-0.0788333333333333
UNQ6190	0.954
GSTM5	-0.29525
BTD	-0.9855
PDCD1LG2	-0.6358
SNRPB2	-0.556833333333333
ERICH1	-1.817125
APOA4	-1.146
HOXA11	-2.468
NARG1	0.80525
MKX	-1.306
RAB28	-1.69507142857143
PKP3	1.14725
SH3GL2	-2.85433333333333
CTSO	1.86775
RPN2	0.33575
IL28RA	-1.105
SFMBT1	0.95075
WDR57	-1.452125
FER1L3	0.157833333333333
HSF5	0.306166666666667
TTC9B	1.58775
C4BPA	-2.34183333333333
ALB	-4.56415384615385
SORBS3	-0.871625
UPF2	0.904
JPH1	0.669
AGBL2	-1.2855
DOPEY1	1.2655
TERF1	0.663666666666667
KIF22	-0.117666666666667
NINJ1	0.43875
SEC61A2	0.256083333333333
HIST1H1D	0.802833333333333
SFXN4	0.2035
UCP3	0.7938
ZNF703	1.157
MYL6B	-1.0985
TREM1	0.57375
OR52E6	0.4595
CKMT2	0.38175
HLA-C	0.18325
SLC13A3	-0.379666666666667
TIMP4	-0.7765
SLIT2	1.879
RSF1	0.860333333333333
LONRF1	-2.09264285714286
MON1A	0.288833333333333
CACNG6	-1.6965
DPPA4	-5.02566666666667
ZSWIM3	0.61225
ZNF804A	0.0316
CCIN	1.54775
SLC25A31	0.5935
KCNMB4	-1.373
RABL5	0.514375
GALNS	-0.5831
STX6	1.395875
HIST1H1C	0.0288333333333333
CIDEB	-0.996125
CASP4	-0.163333333333333
PDK3	0.1141
KCNJ11	0.097
TPR	0.023125
ZSCAN20	-1.7465
MTX2	0.7955
HIST1H2BH	0.78525
LOC283767	1.56625
LYRM7	-1.66477777777778
BRD3	1.04766666666667
HIST1H2BO	0.537
MAGEB10	-0.976
SLC45A1	-0.421
SERPINA3	-2.26555
KIAA0143	2.0845
KCNJ16	0.278166666666667
KRT79	1.57875
FABP2	0.306
NUT	0.75675
ZNF57	-0.163
FBXL4	-0.758625
CLEC9A	0.7205
UGT8	-1.20433333333333
BMP2K	0.6385
MAPK4	-2.7415
SLC25A23	-1.0244
HINT1	-0.8343
KRTAP13-1	-1.2295
SFXN5	-0.7279
CHCHD2	-0.360583333333333
FAM3D	3.947
NDP	-3.226
RHOBTB1	0.035
SLC4A4	-1.600625
RPL38	0.7825
HTF9C	-0.644
AP2A2	0.90875
ZBTB46	-1.5865
MAP7D1	-0.193625
AOX1	-1.8105
CYR61	0.5165
DTNA	0.555357142857143
JRKL	0.7495
TMOD3	0.00849999999999999
EEA1	-0.1477
ADCK5	0.5245
IL1R1	2.622
KLK3	0.459214285714286
HRSP12	0.4985
KTN1	-0.995
LOH11CR2A	-1.415
RELL2	-1.69025
MAB21L1	0.1865
C20orf59	-0.7185
PHKB	-0.20775
ADAM2	-1.5784
TBC1D8B	-0.853666666666666
FAM13A1	0.141125
LAPTM4B	0.278416666666667
LCN8	-0.077
TMEM147	1.943
SYT4	-0.0234
XPO7	-1.2715
C9orf62	1.00025
GPR75	-0.4015
TRIM5	-0.0345
APOC1	1.28
RNASE4	-1.62166666666667
PARD6B	-2.83125
ARID1A	0.697333333333333
TPD52L3	-0.495428571428571
RRAGB	-0.804166666666667
RCN2	-0.397
HIST2H2BE	0.6718125
STARD7	0.1425
SHMT2	-1.1025
KIAA1751	-0.413666666666667
MLYCD	-0.78425
LOC162632	-0.7012
UQCRH	-1.017
RP11-217H1.1	0.2689375
SDHA	-0.721666666666667
NCLN	0.1233
ZNF17	1.52983333333333
RCBTB2	-2.135
VEGFB	-0.5601
RP4-747L4.3	-0.8105
COLQ	0.2477
MPN2	-0.835333333333333
DRG2	-0.96975
KLRB1	4.01575
ALPK2	-3.2615
DNASE2B	0.8515
FLJ23834	-0.568333333333333
AXUD1	0.640666666666667
SAFB	0.1517
NSUN4	-0.00375
RFX2	-0.369166666666667
MAPK8IP1	-0.617833333333333
FANCD2	-1.06514285714286
ANKZF1	-1.311
C19orf50	-0.713
DUSP8	1.40625
SENP5	0.5035
NFKBIL2	0.34
LBR	-2.09175
IGFL1	1.163
LZTS2	0.915625
IL2RG	-0.146375
CCDC51	-0.77675
KLF3	-0.0365
ANKRD37	-2.3035
KCTD14	-1.2545
FZR1	-0.155333333333333
SLC44A4	3.7027
ESPL1	-0.17475
GMPR2	-1.7386
TBC1D19	-2.172
ERGIC1	0.79437037037037
ERBB4	-0.5273
TSPAN32	0.493583333333333
MAP4	-0.214875
GPHN	-1.61275
SLC6A2	0.548
HIVEP1	1.3465
DFFB	-0.4497
EIF4EBP2	0.782625
DMRT1	0.451
HSPB6	0.339
IER2	0.3925
AIFM1	0.6015
WWC2	-1.34816666666667
MRPL4	-0.604
FLJ21062	0.190666666666667
EPB41L4A	0.788583333333333
SH2D6	-0.099
TAF4B	-1.28575
GAL3ST3	0.184
MALT1	-0.561
RTDR1	-0.145
ARVCF	1.041125
MEX3B	0.258166666666667
FBXO16	-0.3315
KIF7	-0.6275
C1QC	4.0295
ZNF783	-0.097
ZNF85	-0.04675
MMP13	3.337
KIAA0329	0.017375
RTP3	-0.479
ZBED3	0.09575
CLGN	-1.9895
SLC25A37	-1.455375
hCG_18290	-0.34675
OR5AS1	0.279
SMARCC2	0.41375
FAM109A	0.0588333333333333
CCDC12	-0.3775
USF2	1.3698
DEPDC7	-3.38025
C20orf24	-0.702833333333333
JMJD3	1.2865
DSP	2.25571428571429
SLIC1	0.776875
FAM20A	0.183375
IRF2BP2	1.594375
ZNF230	-0.1055
MSN	-1.07235714285714
