Hybridization REF	TCGA-C8-A12W-01A-11R-A115-07
CCDC52	-0.288833333333333
FSIP1	1.686
UPF3A	-1.198875
IGSF11	-2.1505
LAGE3	0.6055
CHST6	-0.4095
UNC13B	-0.247125
TTLL4	-1.649125
ZNF687	0.103625
SDC2	-0.3441
COX7A2	-0.28425
LAMB4	-0.086
FAM24A	0.728
LRRTM3	-0.759666666666667
GPHB5	0.485
OR4C13	0.81
EIF3EIP	0.408142857142857
HABP4	-0.856
TMEM125	2.181
CNTN2	-0.278625
ASNSD1	-0.245
FUT4	-0.63525
ACF	-3.75275
LOC158381	1.068
CDH8	0.098
AGPS	-0.697833333333333
C4orf18	3.11075
PECI	-0.26925
UNG	-0.0325
GSTP1	-1.841875
DCUN1D5	-1.69
DKFZP564J0863	-1.13
SLC9A3R1	1.639375
BCDO2	-0.67875
CHMP7	-0.712375
REM2	0.4885
DNHD1	-1.66925
FKBP4	1.38875
ZNF350	1.7015
MGC11102	0.00562500000000001
BST1	1.928
KISS1R	1.7465
NCR2	-0.717
DEFB125	0.177
UBE2W	2.289125
KRT15	3.166875
C10orf99	0.2445
SCN11A	0.6305
GFI1	-2.12325
RDHE2	5.368
FHL1	-0.821666666666667
OSGEP	0.607
GATA1	-3.357
SMC6	-1.523
TTTY14	-0.95575
LPIN3	-0.006
RPL4	-0.7048
RBPMS	0.00439999999999999
PRPF3	-0.17
EMR1	-1.9325
SPATA19	0.061
XCR1	0.516
IRX3	1.6277
RBM6	-1.30025
KLF4	-1.0429
UNC5CL	-2.237
SEBOX	-0.0625
BTK	-0.40675
KRCC1	-0.00125
C6orf27	0.722
SYTL5	-0.946
PRND	4.232
LOC653319	-0.8685
PIGL	-0.347125
HUS1	-0.662833333333333
SFRS6	-0.7485
C17orf77	-0.454
UIMC1	-0.848166666666667
FXYD2	-1.6357
LOC283152	0.10925
ZNF667	-1.69125
ZCCHC12	-0.88325
TFEC	3.9146
ATP7B	0.202666666666667
POLD2	-0.842333333333333
RG9MTD1	-0.485
ACOT2	-0.221666666666667
HIST1H4I	1.5885
PPARGC1A	-2.3457
ETFA	-0.8376
POLRMT	-0.33325
ZNF146	-0.571
MIA2	-1.277
KLHL6	0.303833333333333
HOXB5	-0.732375
NENF	0.130833333333333
CUGBP1	-0.301
PRSS22	0.459333333333333
CASC4	1.6995
CUL4B	-0.067
CENPJ	-1.5472
PITX1	0.519333333333333
FLJ31033	0.600666666666667
CELSR3	0.041
ZNF568	0.346
ITSN1	0.0655833333333333
EHBP1L1	-0.514166666666667
C19orf2	-0.59025
DCTN1	0.56425
LIN28B	-4.12166666666667
TNKS2	-0.16525
C1QBP	0.278625
CADPS2	-0.13775
SRMS	0.951
GJA9	-0.1775
MGC24975	-1.24433333333333
TRIM45	-0.877833333333333
TSP50	-0.55275
TCP1	-1.06
TMED7	0.6274
CMA1	0.307
CENPL	-1.34166666666667
PTCRA	0.731
FST	-3.59625
VWCE	-4.34425
PAWR	0.08725
ABCC12	1.1718
LDLR	-0.9652
ASTN2	1.0585
LOC441212	-0.768375
GPATCH8	0.038
TANC2	-0.419333333333333
KIF4A	-1.277
C18orf18	-0.683
PGM1	-1.4345
KIAA0258	0.107
CPD	0.513125
SNCAIP	-0.7525
DCT	-4.55033333333333
HLA-DOA	3.28718181818182
OR11L1	0.7145
UPK1B	-0.4205
DNAJB4	-0.636
UGT1A8	0.686666666666667
HIST1H4L	0.545
PECR	-0.7815
HSPA2	0.67975
WFIKKN1	-1.9
SERP1	0.61075
SYDE2	1.56325
TACR2	0.8025
NUP85	-0.22225
CD177	0.913666666666667
LGR5	-2.6242
PIGG	-0.266583333333333
PTHR1	-1.18583333333333
RAB5A	0.1342
FLJ13224	0.936
USP9Y	-2.23416666666667
C7orf53	-1.077
LRP1B	-1.785
XAF1	1.5881
ABCG8	-0.1925
ANKDD1A	-0.584666666666667
DAND5	-2.5465
SPAG6	0.0758333333333333
LINCR	1.3005
ZDHHC22	-1.043625
CCDC60	-1.2015
THOC7	-0.74
TCTA	2.0144
OR8K3	0.0932500000000001
NY-REN-7	-1.31925
B2M	1.98883333333333
C6orf141	-2.084
LPPR4	1.386
SQLE	0.54375
SEPHS1	-0.6315
BTBD14B	0.875285714285714
PLRG1	-0.56375
SPG7	-0.361625
ZNF614	-0.3585
PARD6G	0.982666666666667
INPP5B	-0.9168
GRPEL2	-0.182625
PPID	-0.6217
TRIM56	-0.90025
UBE2J1	-0.27425
IL20RA	4.9465
LOC387856	0.02575
C1orf107	0.80025
UTS2R	1.8755
C19orf22	-0.3775
SAFB2	-0.55475
KIAA0652	-0.116
KLRG1	0.665166666666667
MS4A8B	1.6415
FRAG1	-0.1145
KIAA1546	0.1245
E2F4	-1.4029
CLEC4M	-0.525833333333333
BTBD14A	-0.804
KIAA0999	0.7326
GYPA	-3.61716666666667
TAC1	3.0127
TRAIP	-0.7035
KIAA0232	0.705
ERCC8	-1.8095
GPX4	0.742125
KIAA0368	-0.79575
GPR157	-0.531333333333333
CTAGE4	-0.281
C9orf30	-1.7295
OR52A1	-0.1045
HSP90B3P	-0.9
ALG9	-0.4773
BTBD10	0.279
SDK2	0.0162499999999999
BAIAP3	0.03825
RABGGTB	-1.14025
ANKRD40	0.0523333333333333
KRT74	0.203
CALCOCO2	0.311642857142857
SNCA	-3.34475
TMSL8	-4.493375
C2orf53	0.154
ESRRB	-0.55825
ARHGAP26	-1.536875
TDRD9	-0.233
HRAS	0.683833333333333
KLRC4	-1.8565
JAGN1	-0.330166666666667
BSDC1	-0.4125
RNF43	-0.3307
NDUFAF1	0.47975
PHF12	0.181
OR1L3	0.295
FOLR2	1.77133333333333
LYZL6	0.0715
tcag7.1260	-1.276
WSB1	-1.53533333333333
PROS1	-0.772
OSTN	0.72
PSMB8	0.21375
SOCS4	-0.456
DDIT4L	0.3495
MAS1	-0.4475
MGC34796	1.18275
CSHL1	0.210833333333333
TBCCD1	-0.118833333333333
ZBTB7C	-0.2065
AP2S1	0.50425
P15RS	-0.5185
VAT1	0.2563
SHANK3	0.671666666666667
TUFM	-0.1255
THEG	-0.58725
KRT34	-2.55125
SGSM3	0.986625
TOMM22	0.467375
SOCS3	0.455166666666667
CPO	-0.6165
POP4	0.53125
BHLHB3	1.1445
MALL	0.38975
OR1B1	0.4625
PARK2	0.113333333333333
GPR124	0.455
LCE1E	0.203
RUVBL2	0.088
CGRRF1	0.6847
ACPL2	0.147
WNT10B	-2.685
BAIAP2L2	0.777375
ISCA1	-0.5745
C1orf125	-0.105625
RPAP1	-0.4225
RAI16	-0.518
RPL27	0.013625
NLRP9	0.009
EPN1	1.1455
LOC388610	-1.93525
SLC35A1	0.7833
GAL	-2.31525
SLC14A2	0.262
RDH11	-0.524
FAM138F	-0.033
AUH	-0.22725
FLJ40243	0.5195
C14orf129	0.258833333333333
MBD2	-0.552666666666667
ABHD14B	0.740875
PIGT	1.2175
ALS2CR4	-0.547
ALAS1	0.4148
FOXO1	1.4295
CRLF3	-0.255625
C20orf107	1.606
FARS2	1.16175
CCDC28A	-0.3295
NPHP3	-1.8705
OR13F1	-0.135
TSEN54	-0.2085
DEFB106B	-0.157888888888889
OR8B4	-0.426
STH	1.0245
ZC3H14	-0.93275
CBX2	-0.243
TMEM49	-1.32975
C6orf21	0.5515
FLJ20920	1.023
CRTAP	-0.662571428571429
DDX50	-0.78
STYXL1	0.0785
BLVRB	0.716833333333333
LOC147650	0.494833333333333
MMP24	0.82675
GRID1	2.96916666666667
BANF1	0.102
CTAGEP	-0.02525
HMBS	-2.012
SLC25A24	0.849833333333333
C14orf50	-0.24775
MRO	3.0025
SLC25A15	-1.03375
FAM84B	2.6043
TDP1	-0.7735
C16orf78	-0.438833333333333
C11orf57	0.28
RFK	-0.867875
ZFYVE9	-0.836875
STCH	-1.009
WIBG	0.1205
LOC283871	0.100166666666667
GBA2	-0.9881
NDUFB3	0.484
HSD17B13	-1.688
GRIN3A	1.04
FMNL1	-0.435333333333333
SEPT7	-0.8019
GNLY	3.276
GRAMD1C	0.336833333333333
ZNF165	-0.63625
USP38	0.4665
FAM83A	-3.44333333333333
C14orf24	1.19416666666667
ARMCX3	0.749625
ARHGDIB	0.187833333333333
AK1	-0.1325
KIAA1045	-0.56675
DNAJB13	-1.08783333333333
NEU2	0.002
HIST1H4B	1.33816666666667
FAM20B	-0.7846
HES2	1.94907142857143
FAM73B	-0.7128
LOC388381	0.34725
INTS7	-0.595181818181818
AMPH	2.365
ZNF775	0.477875
UCKL1	0.5575
C10orf97	0.4065
C1orf161	-0.3575
ALDH1L1	-1.39975
FLJ39378	-0.198625
SLC23A1	-1.203
RBM4B	0.16275
THAP4	0.0025
OGFRL1	-0.657
KIAA0831	0.253875
PPP1R15A	-0.131833333333333
C1orf96	-0.385071428571429
C12orf11	-0.88525
BMF	1.024
MAN1A1	-0.319
KIAA1600	0.219166666666667
NLGN4X	-0.8515
ALOX12	-1.5915
RB1CC1	1.3596
NEIL2	-0.5157
EIF4E	-0.00140909090909091
ABHD5	-0.25125
EXOC4	-0.00733333333333332
CIP29	-0.393166666666667
BATF2	0.8445
SLC29A4	-0.916875
HTR4	0.904
EMB	-0.8355
TRAF6	0.33725
LMNB1	-2.447
FAM19A5	-0.048
SHE	2.10175
PIK3C2B	0.21875
C15orf15	-0.501
USP15	-0.2831
TCEAL2	0.065
C5orf39	-0.743833333333333
PTGER2	-0.23775
SLC31A1	-0.3064375
IFT172	-0.1225
ADAM29	0.21675
GFOD1	-0.23475
ST7L	0.0298333333333333
C15orf26	-4.74025
PKN3	-1.058
CNTD1	3.3365
COMMD1	0.6725
NTRK2	1.81390909090909
FOXN3	-0.206625
MFGE8	0.9891
PFKFB2	0.713333333333333
TAS2R4	-1.03325
ENTHD1	0.706
PRMT5	-0.066625
MGC16384	-1.3175
LOC442229	-0.582
TSKU	1.008875
KRTCAP3	2.021125
PDLIM1	-0.0923
KCNS2	0.17525
RNF126	-0.998166666666667
CEP63	-0.01375
CLIC4	0.361625
hCG_1990170	-1.607
ACR	0.1514
KLK7	2.00325
ALOX5AP	4.42575
RIPK3	3.12175
TAS2R9	-0.372
C19orf18	-0.0935
BIRC6	-0.267214285714286
ZNF16	0.7535
RFT1	0.01325
SLC8A2	-0.716
TACC1	0.475375
ITGAD	2.90025
SAMHD1	1.49225
SH3PXD2B	1.0561
EPC2	0.71675
C20orf85	3.826875
ATP13A2	0.696833333333333
KRT4	1.6235
CAPNS1	0.98925
MDM2	-0.375083333333333
PCDH20	0.46875
KCNK9	1.201
OR2C1	-0.5
KLHDC3	-0.372833333333333
IPPK	-0.2315
EFHD2	-0.51125
GALR3	1.973
NBEA	0.650333333333333
ABCA6	3.7674
CLDN3	2.27766666666667
AKT2	-0.346071428571429
EGFR	-2.3097
RBM16	-0.4015
ZDHHC3	0.4573
SLC25A4	0.239166666666667
CYB5B	-0.802666666666667
CPXM1	0.0745
NDRG1	-1.45084615384615
FLJ43826	-0.176
OR5L2	0.658166666666667
FARP2	-0.2551
MRPL46	0.416833333333333
LDHAL6B	-0.0786666666666667
MAPKAPK3	-0.284
NCAM2	1.28875
PRKD2	0.431333333333333
ZFP36L1	0.9008
CYSLTR1	-0.28925
OR4C3	0.3165
HIST1H2AJ	3.7105
CCNB2	-1.22488888888889
ZNF10	-0.555375
TMEM175	0.624
FAM134A	0.137333333333333
TIGD4	0.153
PCNP	-0.3745
MGC39715	-0.50025
LQK1	-1.98825
CREB1	0.6568
TMPRSS3	-0.62
C4orf32	1.3505
LAT	-1.60308333333333
KCNA3	1.7125
SKIV2L2	-1.51025
ROPN1B	-3.6325
tcag7.23	-0.4425
CDT1	-1.447625
ZHX2	1.4155
CD28	-1.53975
ZNF624	1.429
SEPT2	-0.291083333333333
SOHLH2	-2.426875
MCOLN3	-0.664
UNQ1945	0.8345
MASP2	-1.4015
ZNRF3	1.2339
GPATCH3	-0.32575
AGL	0.626375
QRICH2	0.2285
PSD4	0.00433333333333334
CCNB1IP1	-1.6555
ENPP7	0.07325
OBFC1	-0.32575
KCNG3	-1.674
C14orf79	-0.296416666666667
ENPEP	1.43866666666667
SCT	1.8795
SKI	0.487125
SEC61G	-0.12475
CAPN11	0.09225
ATXN7L3	-0.4815
DBNDD1	0.383666666666667
FAIM	0.79125
ANKRD36	-0.164
GABRP	1.7225
TACSTD2	1.143
EIF3J	-0.1885
PPP2R2A	-1.127
TEKT4	0.263833333333333
PVALB	-1.86483333333333
F10	-2.55933333333333
FAM134C	0.9306
COMP	5.153375
EFCBP1	-3.64625
SCLT1	0.442625
TAL1	-1.3211
ACSL1	0.15725
ABCC5	0.801083333333333
ABL1	-0.408944444444444
RBBP7	-0.330583333333333
PTPRG	-0.333125
NCOR1	0.3935
SPINK4	-0.294666666666667
TXNRD1	-0.3703
TNRC15	0.355375
C9orf138	1.210125
UBE2H	0.492166666666667
BRDT	0.9755
C8orf31	-0.2505
CCNE2	-0.351181818181818
SLC6A8	-1.713375
CALCR	-2.865
PPP1CB	0.750916666666667
ABHD8	-0.74375
ARF5	-0.6898
SLC24A4	0.58125
CCT3	-0.121
ZNF121	0.18975
SLC3A2	-0.756
OR13A1	1.079
SLC5A10	-0.16025
RAD50	-0.669375
IER5	0.3765
MTHFD1L	-1.965875
MBTPS2	0.741333333333333
MVK	-0.228375
NCL	-0.5295
PSMD10	0.214
MOBP	0.358875
FLJ32894	3.809
HRH1	0.130166666666667
C5orf30	1.5215
NUDT16L1	0.8086
RASGRP3	4.37233333333333
PRKRIP1	-0.6188
CCDC75	0.21125
LOC253970	-0.08925
KIAA1239	-0.00933333333333334
MED21	1.043
SYT11	0.962916666666667
NTSR2	-0.456
EGFL11	0.6625
CXorf59	1.2935
OR2A25	0.1595
SPTBN2	-0.23775
LRMP	-0.8615
RNF111	0.3595
PTH	1.3805
LOC619208	0.725166666666667
KIAA0895	0.12825
RANBP5	-1.01525
P2RY10	1.6535
NME5	3.55583333333333
DDX21	-1.09275
LRSAM1	0.597
HDAC11	1.78083333333333
VMO1	3.545
NOLA2	-0.114333333333333
ADAR	1.30641666666667
MTO1	-0.872833333333333
SF4	-0.166333333333333
P2RX1	0.088
HBM	0.265
EN2	1.549
C14orf172	0.3215
TM9SF2	0.5549
INHBE	-1.288
TCTE3	-0.17025
TOX2	-3.03
CTAGE3	0.24425
HBB	3.1938
MED15	-0.2915
CASR	0.241
C6orf66	-0.875833333333333
MTPN	-0.078625
UNC50	-0.1105
C21orf33	1.021875
IRF2	0.999125
PGR	0.694666666666667
GPR84	3.2875
CROCCL1	-2.83025
SRPX	-0.9055
BRE	0.894333333333333
FGF10	1.30225
SDC3	-0.878833333333333
ZRSR1	-0.312666666666667
DKFZP434P211	-0.686625
SOX6	0.449
RPUSD2	-0.25725
C14orf173	0.0171666666666667
MAPK11	0.1205
TBC1D22A	0.809
FAM123A	0.4745
COL4A6	-3.964
TOMM70A	0.043
NAB1	-0.78625
MGC16385	-0.084125
TSPAN18	-0.119666666666667
MED31	0.79375
PLG	-0.1485
CAPSL	0.13
ZNF532	0.6942
ASB14	0.2115
CA8	3.06025
NUDT16P	0.879666666666667
SLFN11	-0.472
LRRIQ2	-0.0925
NOL7	-0.1985
BRMS1L	-0.6475
JARID1A	1.06916666666667
PANK2	-0.307
ICAM3	-0.3435
MDS1	-0.72
TAF8	-0.44175
RNF139	0.986
ZNF594	-0.140166666666667
ADAM8	2.3785
SFTPC	-0.129125
MAN2B2	0.69825
RGS12	0.168625
EIF1AY	-4.939
LRRIQ1	1.6015
GPR150	2.09725
CCDC21	-1.48883333333333
PRRG3	-0.02475
SAA4	-4.12375
RAPGEF5	2.047
ZCCHC2	0.568083333333333
MGC39372	-0.591
PPP4R2	0.041
CDCA2	-2.08266666666667
OR4D5	0.226166666666667
PTGFRN	1.0529
SIGLEC5	2.90533333333333
C19orf61	0.201666666666667
NMUR2	0.2715
KIAA1586	-0.744
DAGLA	-0.766166666666667
CHCHD6	0.00624999999999999
GPR32	1.359
NEUROD6	0.231333333333333
SLC2A4RG	1.166125
CA5B	0.58625
FBXL3	1.19
MPHOSPH9	-1.28275
HMG2L1	0.7265
HCN4	1.14933333333333
CEACAM19	-0.5495
SH2D4B	0.0934
HFE2	-1.0545
TGM4	0.9742
LYPD2	-0.0145
TBC1D15	-0.02325
MRPS21	0.4854
NONO	-0.5607
CLEC5A	2.974
ITCH	-0.3093
MGAT3	-0.915833333333333
MBP	-0.738875
RPP25	0.2185
SOSTDC1	-1.605
HRC	-1.1595
TRIM48	0.2805
TMEM133	-0.24725
ECEL1P2	-0.69975
HOXC11	0.036
DOK5	0.12025
HELZ	0.379666666666667
LOC348180	-0.35675
MGC33894	0.37475
ADRB3	0.378
DMD	-0.305909090909091
PTRH2	-0.43425
MPEG1	3.67816666666667
NDUFA12	0.5605
KRTAP2-4	0.547083333333333
STAMBPL1	-1.714
ADCY2	-0.613833333333333
UNQ6125	0.295
KLHL20	-0.0468333333333334
SRM	-0.651
OTC	-0.3655
TMIE	-0.3765
SNX8	0.372
LIPK	0.204
CHURC1	-0.580833333333333
KLC2	0.314666666666667
HDAC1	-0.202833333333333
FAM128A	-0.0476666666666667
FNDC3B	0.4392
MTCP1	-0.613833333333333
WFDC10B	0.1366
PCDHGB3	0.794
ATRNL1	-3.455375
CAV2	-0.481625
MED26	-0.335833333333333
DUS1L	0.1505
CHRM3	-2.02825
NEK9	-0.624
WARS2	-0.34725
TBX22	0.313
TOMM40	-0.151
RP6-213H19.1	-0.589166666666667
TUBGCP5	-0.79125
IGSF6	5.7655
TPPP	-0.260833333333333
UNQ6190	0.7905
GSTM5	0.59475
BTD	0.152
PDCD1LG2	0.421
SNRPB2	0.946333333333333
ERICH1	-0.62
APOA4	-1.542625
HOXA11	-1.19133333333333
NARG1	-0.11275
MKX	-1.539
RAB28	-0.414928571428571
PKP3	0.57275
SH3GL2	-0.96075
CTSO	2.87825
RPN2	1.2544375
IL28RA	0.822666666666667
SFMBT1	0.3275
WDR57	-1.586125
FER1L3	1.07766666666667
HSF5	0.8676
TTC9B	0.21425
C4BPA	-3.37283333333333
ALB	-5.54042857142857
SORBS3	0.416125
UPF2	0.336
JPH1	1.112
AGBL2	-1.341
DOPEY1	0.4255
TERF1	1.49525
KIF22	-0.442166666666667
NINJ1	1.42175
SEC61A2	0.37975
HIST1H1D	1.26833333333333
SFXN4	-0.3115
UCP3	-0.5819
ZNF703	2.21133333333333
MYL6B	-0.57975
TREM1	3.7985
OR52E6	0.572
CKMT2	1.24575
HLA-C	1.652625
SLC13A3	-0.99
TIMP4	-2.29125
SLIT2	2.44225
RSF1	-0.2275
LONRF1	-1.50871428571429
MON1A	0.0845
CACNG6	3.03883333333333
DPPA4	-5.76666666666667
ZSWIM3	0.458
ZNF804A	0.606
CCIN	1.97375
SLC25A31	0.22875
KCNMB4	-0.2265
RABL5	0.31425
GALNS	0.2065
STX6	0.077375
HIST1H1C	1.72933333333333
CIDEB	1.166875
CASP4	-0.751166666666667
PDK3	-0.1355
KCNJ11	0.7375
TPR	-0.564125
ZSCAN20	-0.969
MTX2	-0.2785
HIST1H2BH	1.9815
LOC283767	0.964
LYRM7	-1.17938888888889
BRD3	-0.0221666666666667
HIST1H2BO	1.6415
MAGEB10	-0.162
SLC45A1	0.237
SERPINA3	0.68935
KIAA0143	1.845
KCNJ16	-0.961333333333333
KRT79	1.53075
FABP2	-1.49766666666667
NUT	-0.55925
ZNF57	-0.61025
FBXL4	-0.31175
CLEC9A	-0.4435
UGT8	-1.956
BMP2K	0.525
MAPK4	-3.9075
SLC25A23	-0.5628
HINT1	-0.5275
KRTAP13-1	0.254
SFXN5	0.1815
CHCHD2	0.298833333333333
FAM3D	0.8815
NDP	-0.421
RHOBTB1	-0.417833333333333
SLC4A4	-1.444625
RPL38	0.054
HTF9C	-0.104166666666667
AP2A2	0.368
ZBTB46	0.5525
MAP7D1	-0.1245
AOX1	-1.46133333333333
CYR61	0.488166666666667
DTNA	-0.0112142857142857
JRKL	-1.01125
TMOD3	0.068
EEA1	0.0222
ADCK5	0.42675
IL1R1	0.9715
KLK3	0.702071428571429
HRSP12	0.7735
KTN1	-0.05425
LOH11CR2A	0.1196
RELL2	0.47725
MAB21L1	1.14825
C20orf59	-0.297833333333333
PHKB	0.4605
ADAM2	-2.498
TBC1D8B	1.85466666666667
FAM13A1	-1.595375
LAPTM4B	-0.0178333333333333
LCN8	0.279
TMEM147	0.7935
SYT4	0.289166666666667
XPO7	-0.949
C9orf62	2.44675
GPR75	0.2835
TRIM5	-1.0925
APOC1	1.387
RNASE4	0.153
PARD6B	0.801125
ARID1A	0.14025
TPD52L3	-0.440111111111111
RRAGB	-0.0841666666666667
RCN2	-0.473333333333333
HIST2H2BE	2.0128125
STARD7	-1.0905
SHMT2	-1.02075
KIAA1751	0.332666666666667
MLYCD	0.825875
LOC162632	-1.4253
UQCRH	-1.09625
RP11-217H1.1	0.839
SDHA	-1.80016666666667
NCLN	-0.31
ZNF17	0.360333333333333
RCBTB2	-1.18575
VEGFB	0.1784
RP4-747L4.3	1.2805
COLQ	-0.461555555555556
MPN2	-0.779
DRG2	0.51075
KLRB1	4.96275
ALPK2	-2.2165
DNASE2B	1.20625
FLJ23834	-0.204
AXUD1	-0.0713333333333333
SAFB	-0.5548
NSUN4	-0.19025
RFX2	0.494333333333333
MAPK8IP1	-0.819333333333333
FANCD2	-0.274
ANKZF1	-1.98366666666667
C19orf50	-0.870125
DUSP8	0.598625
SENP5	-0.51225
NFKBIL2	0.1865
LBR	-1.576
IGFL1	1.39
LZTS2	-0.1305
IL2RG	0.487375
CCDC51	0.79125
KLF3	0.216125
ANKRD37	-1.2715
KCTD14	-0.520333333333333
FZR1	0.04775
SLC44A4	2.1783
ESPL1	-0.40125
GMPR2	0.1259
TBC1D19	-0.600833333333333
ERGIC1	0.262259259259259
ERBB4	2.0382
TSPAN32	0.722833333333333
MAP4	0.150375
GPHN	-0.41275
SLC6A2	-0.164875
HIVEP1	0.6875
DFFB	-0.893
EIF4EBP2	0.375
DMRT1	-0.083
HSPB6	-0.06125
IER2	-0.579
AIFM1	0.02375
WWC2	0.494083333333333
MRPL4	-0.40775
FLJ21062	-0.153666666666667
EPB41L4A	0.64425
SH2D6	-0.2195
TAF4B	-1.8515
GAL3ST3	0.198
MALT1	-1.8345
RTDR1	1.869
ARVCF	-0.0335
MEX3B	-0.480833333333333
FBXO16	0.9475
KIF7	-1.65725
C1QC	4.733
ZNF783	-0.3085
ZNF85	-0.353
MMP13	6.5465
KIAA0329	-0.1665
RTP3	-1.2465
ZBED3	-1.20175
CLGN	-0.41225
SLC25A37	-2.23975
hCG_18290	-0.18775
OR5AS1	0.389
SMARCC2	0.6095
FAM109A	-0.0916666666666667
CCDC12	-0.2155
USF2	0.4648
DEPDC7	-1.3895
C20orf24	0.270166666666667
JMJD3	0.7875
DSP	1.50578571428571
SLIC1	0.759375
FAM20A	1.0545
IRF2BP2	0.02625
ZNF230	-0.2095
MSN	-0.656428571428571
SLC9A5	-1.7325
EPDR1	-1.0775
MUSK	0.2925
