Hybridization REF	TCGA-A8-A08B-01A-11R-A00Z-07
GCC2	-0.0390714285714286
RARRES3	3.739875
PLXNA1	-0.6932
KIAA0100	0.048
PMF1	0.37925
FNDC1	4.9735
HS2ST1	-0.20975
CRELD2	0.91825
C8G	-1.368
CD82	1.34475
LIM2	-0.9955
UNQ6490	-0.569
MMP16	-0.56875
DRD3	0.00925000000000001
C5orf26	-1.14425
C11orf73	0.4245
PTP4A2	0.975875
OR4M2	0.888
HPCA	-0.2765
SEC14L1	-1.13333333333333
CHFR	-0.295375
EMILIN1	0.471
NDUFS4	-1.13525
COL18A1	-0.04575
PDZD3	0.1564
C9orf16	-0.01
ERBB2IP	0.1895
EMX2	1.44075
FUS	-0.43275
TF	-3.7691
CLCN4	-0.550333333333333
CXorf56	0.13025
C11orf72	0.22
ELAC2	-0.796333333333333
NPR1	-1.34025
ASS1	1.00816666666667
USP42	-0.3025
POLR2J	-0.9335
SEC23IP	1.21366666666667
UQCRC1	-0.74375
LOC729603	-0.378
C1orf71	0.12125
POLG	-1.104
ADAM23	-3.62925
TFR2	-0.9555
RICTOR	-1.4201
MGC39606	0.759
C19orf55	0.037
SNAPC1	-0.819166666666667
GNA11	1.01675
CCDC52	0.831333333333333
FSIP1	3.0185
UPF3A	-0.63275
IGSF11	-2.4195
LAGE3	1.81325
CHST6	-0.1445
UNC13B	0.523625
TTLL4	-0.021375
ZNF687	0.111375
SDC2	-0.4085
COX7A2	0.05225
LAMB4	-0.52675
FAM24A	0.416
LRRTM3	-1.269
GPHB5	0.4075
OR4C13	0.6765
EIF3EIP	0.232785714285714
HABP4	-1.6175
TMEM125	4.19675
CNTN2	0.134625
ASNSD1	-0.087
FUT4	0.732125
ACF	-3.355
LOC158381	0.6845
CDH8	-0.1645
AGPS	0.152
C4orf18	0.348125
PECI	0.514666666666667
UNG	-0.60025
GSTP1	0.237125
DCUN1D5	-0.232
DKFZP564J0863	-0.23175
SLC9A3R1	1.234125
BCDO2	0.821625
CHMP7	0.42075
REM2	2.017
DNHD1	1.312
FKBP4	-0.46975
ZNF350	1.2805
MGC11102	0.00525
BST1	0.367
KISS1R	0.5825
NCR2	0.1865
DEFB125	-0.1555
UBE2W	0.566375
KRT15	0.968625
C10orf99	0.575
SCN11A	-0.171125
GFI1	-1.92125
RDHE2	3.391
FHL1	-2.476
OSGEP	0.627333333333333
GATA1	-3.24266666666667
SMC6	-0.8015
TTTY14	-0.42025
LPIN3	0.0825
RPL4	-0.0323
RBPMS	0.6664
PRPF3	1.2915
EMR1	-2.4025
SPATA19	0.315
XCR1	0.379
IRX3	1.8836
RBM6	-0.60775
KLF4	0.2294
UNC5CL	2.1475
SEBOX	0.0615
BTK	-1.0015
KRCC1	0.031
C6orf27	0.6455
SYTL5	-0.1245
PRND	0.97425
LOC653319	-0.8755
PIGL	-2.217625
HUS1	-0.2605
SFRS6	0.392333333333333
C17orf77	0.763
UIMC1	-0.4285
FXYD2	-1.6359
LOC283152	-0.16325
ZNF667	-1.14425
ZCCHC12	-0.74225
TFEC	2.9005
ATP7B	1.241
POLD2	-0.726
RG9MTD1	0.2815
ACOT2	0.420333333333333
HIST1H4I	-0.945375
PPARGC1A	-1.0184
ETFA	-1.1448
POLRMT	-0.03825
ZNF146	0.511875
MIA2	-1.9265
KLHL6	-0.7615
HOXB5	2.58975
NENF	1.577
CUGBP1	0.51
PRSS22	2.00033333333333
CASC4	1.0241
CUL4B	0.1979
CENPJ	-0.8932
PITX1	2.74183333333333
FLJ31033	1.51983333333333
CELSR3	-1.90883333333333
ZNF568	0.12
ITSN1	-0.12925
EHBP1L1	-0.661833333333333
C19orf2	0.211
DCTN1	0.40475
LIN28B	-3.905
TNKS2	0.23425
C1QBP	-1.024625
CADPS2	1.217
SRMS	0.86425
GJA9	0.223
MGC24975	1.3835
TRIM45	-0.485833333333333
TSP50	0.214
TCP1	-1.513
TMED7	0.1551
CMA1	-0.2345
CENPL	-0.551166666666667
PTCRA	0.2295
FST	-4.1595
VWCE	-3.7105
PAWR	-0.60225
ABCC12	1.70983333333333
LDLR	0.3929
ASTN2	0.7146
LOC441212	-1.709
GPATCH8	-0.491
TANC2	-0.411666666666667
KIF4A	-0.865
C18orf18	-1.57775
PGM1	-1.3465
KIAA0258	1.24675
CPD	0.739375
SNCAIP	-1.7025
DCT	-3.9735
HLA-DOA	1.95295454545455
OR11L1	0.406
UPK1B	-0.465166666666667
DNAJB4	-0.902125
UGT1A8	-0.15725
HIST1H4L	-1.567
PECR	-0.962666666666667
HSPA2	1.42275
WFIKKN1	0.5895
SERP1	1.116875
SYDE2	1.32475
TACR2	0.6135
NUP85	-0.71925
CD177	-0.509
LGR5	-1.84333333333333
PIGG	-0.382166666666667
PTHR1	-2.3035
RAB5A	0.157
FLJ13224	-0.039
USP9Y	-1.68966666666667
C7orf53	-0.1145
LRP1B	-1.1535
XAF1	3.2423
ABCG8	0.0245
ANKDD1A	-0.202666666666667
DAND5	0.045
SPAG6	0.496166666666667
LINCR	1.42975
ZDHHC22	-1.476375
CCDC60	0.163
THOC7	-1.5005
TCTA	1.1559
OR8K3	0.26675
NY-REN-7	-0.686
B2M	1.64316666666667
C6orf141	1.38325
LPPR4	3.0645
SQLE	0.495
SEPHS1	0.53325
BTBD14B	0.609928571428571
PLRG1	-0.787
SPG7	-0.8526875
ZNF614	-0.5375
PARD6G	-0.186166666666667
INPP5B	-0.8133
GRPEL2	-0.149125
PPID	-1.0205
TRIM56	0.0325
UBE2J1	0.41625
IL20RA	2.05025
LOC387856	0.479
C1orf107	1.34358333333333
UTS2R	0.40575
C19orf22	0.986
SAFB2	0.0425
KIAA0652	0.235125
KLRG1	-0.477166666666667
MS4A8B	2.64016666666667
FRAG1	1.54725
KIAA1546	-0.69775
E2F4	-1.1044
CLEC4M	-0.096
BTBD14A	-0.32025
KIAA0999	0.4895
GYPA	-3.32733333333333
TAC1	-0.0951
TRAIP	-1.43916666666667
KIAA0232	-0.00460000000000001
ERCC8	-1.172
GPX4	0.79925
KIAA0368	-0.1215
GPR157	0.417166666666667
CTAGE4	1.519
C9orf30	-0.690666666666667
OR52A1	-0.0575
HSP90B3P	-0.526
ALG9	-0.3346
BTBD10	0.59125
SDK2	0.0217499999999999
BAIAP3	2.05625
RABGGTB	-0.292875
ANKRD40	-0.809833333333333
KRT74	0.2275
CALCOCO2	-0.0995714285714286
SNCA	-3.5595
TMSL8	-2.680375
C2orf53	0.2795
ESRRB	0.1835
ARHGAP26	-0.323
TDRD9	-2.4365
HRAS	0.0136666666666667
KLRC4	-1.826
JAGN1	-0.560666666666667
BSDC1	0.22175
RNF43	-1.2917
NDUFAF1	0.692
PHF12	0.30025
OR1L3	0.07175
FOLR2	1.10791666666667
LYZL6	0.575333333333333
tcag7.1260	-2.72
WSB1	-1.69166666666667
PROS1	-2.4218
OSTN	0.37
PSMB8	1.674
SOCS4	-0.036375
DDIT4L	-0.04075
MAS1	0.677
MGC34796	0.91
CSHL1	0.1395
TBCCD1	0.338
ZBTB7C	0.333
AP2S1	0.278
P15RS	-0.2651
VAT1	-1.1878
SHANK3	0.565666666666667
TUFM	0.241833333333333
THEG	0.81675
KRT34	-2.03675
SGSM3	1.259625
TOMM22	-0.01675
SOCS3	-0.0491666666666667
CPO	2.3325
POP4	0.44675
BHLHB3	1.07
MALL	-0.13075
OR1B1	0.335
PARK2	1.02283333333333
GPR124	-0.567875
LCE1E	-0.1865
RUVBL2	-0.67425
CGRRF1	0.0944
ACPL2	0.76675
WNT10B	-1.817875
BAIAP2L2	-2.0345
ISCA1	0.555
C1orf125	3.53175
RPAP1	0.05175
RAI16	-0.522333333333333
RPL27	-0.869
NLRP9	0.013
EPN1	0.185
LOC388610	1.1865
SLC35A1	1.772
GAL	-3.07025
SLC14A2	0.50475
RDH11	-0.159333333333333
FAM138F	0.22
AUH	-0.63975
FLJ40243	-0.05875
C14orf129	0.250666666666667
MBD2	-0.253666666666667
ABHD14B	-0.282875
PIGT	-0.168
ALS2CR4	-0.475875
ALAS1	0.0286
FOXO1	-0.355833333333333
CRLF3	-0.54075
C20orf107	0.276
FARS2	0.66975
CCDC28A	0.62225
NPHP3	-0.839
OR13F1	0.4855
TSEN54	-1.2425
DEFB106B	0.1142
OR8B4	0.433
STH	-1.012
ZC3H14	-0.258
CBX2	-0.1925
TMEM49	-1.1745
C6orf21	0.4925
FLJ20920	0.167625
CRTAP	-0.539857142857143
DDX50	0.35425
STYXL1	-0.6035
BLVRB	0.0363333333333333
LOC147650	-0.464666666666667
MMP24	0.3445
GRID1	0.559
BANF1	0.1235
CTAGEP	0.97175
HMBS	-0.99575
SLC25A24	0.159333333333333
C14orf50	-0.639
MRO	0.469333333333333
SLC25A15	-1.0335
FAM84B	2.6903
TDP1	0.578
C16orf78	0.168833333333333
C11orf57	0.579125
RFK	-0.666125
ZFYVE9	0.11425
STCH	-1.5147
WIBG	0.62575
LOC283871	0.212666666666667
GBA2	-0.0672
NDUFB3	-0.42075
HSD17B13	-0.98225
GRIN3A	1.3505
FMNL1	-0.720333333333333
SEPT7	-0.7277
GNLY	4.987
GRAMD1C	-0.201833333333333
ZNF165	0.3025
USP38	0.0275
FAM83A	-2.56166666666667
C14orf24	0.46075
ARMCX3	1.11725
ARHGDIB	0.483333333333333
AK1	0.102125
KIAA1045	0.11775
DNAJB13	-0.0548333333333333
NEU2	0.342
HIST1H4B	-1.17716666666667
FAM20B	-0.0102
HES2	1.56485714285714
FAM73B	-0.1978
LOC388381	0.2355
INTS7	1.57772727272727
AMPH	0.7505
ZNF775	-0.247625
UCKL1	-0.315
C10orf97	0.21225
C1orf161	0.2055
ALDH1L1	-1.752
FLJ39378	-0.790375
SLC23A1	0.4595
RBM4B	0.65
THAP4	0.0785
OGFRL1	1.14475
KIAA0831	-0.269625
PPP1R15A	-0.6905
C1orf96	0.425928571428571
C12orf11	-1.1755
BMF	1.221375
MAN1A1	-1.011375
KIAA1600	1.19766666666667
NLGN4X	0.0745
ALOX12	-1.06666666666667
RB1CC1	-0.482
NEIL2	0.178
EIF4E	-0.616136363636364
ABHD5	-0.758
EXOC4	-0.264333333333333
CIP29	-0.142333333333333
BATF2	3.3175
SLC29A4	-0.562625
HTR4	0.83725
EMB	-1.01175
TRAF6	0.80625
LMNB1	-0.314
FAM19A5	-1.297375
SHE	-0.053
PIK3C2B	1.8945
C15orf15	-0.3175
USP15	0.7234
TCEAL2	-0.309
C5orf39	-1.73633333333333
PTGER2	-1.74675
SLC31A1	-0.0100625
IFT172	0.868
ADAM29	0.2305
GFOD1	1.18075
ST7L	0.658333333333333
C15orf26	-3.33925
PKN3	-1.557
CNTD1	3.09283333333333
COMMD1	-0.095875
NTRK2	1.11316666666667
FOXN3	-0.567375
MFGE8	-1.0018
PFKFB2	0.809666666666667
TAS2R4	-0.0035
ENTHD1	0.19
PRMT5	0.00425
MGC16384	-0.746125
LOC442229	-0.10575
TSKU	2.32025
KRTCAP3	2.148375
PDLIM1	0.9304
KCNS2	0.54825
RNF126	-0.303
CEP63	0.262
CLIC4	-1.212375
hCG_1990170	-1.34725
ACR	1.3269
KLK7	0.53
ALOX5AP	2.556
RIPK3	3.072
TAS2R9	0.56
C19orf18	3.115
BIRC6	0.0967142857142857
ZNF16	-0.035
RFT1	-1.3355
SLC8A2	-0.80275
TACC1	-1.116625
ITGAD	1.4205
SAMHD1	1.057
SH3PXD2B	0.4832
EPC2	0.7145
C20orf85	2.626375
ATP13A2	0.554
KRT4	0.575875
CAPNS1	-0.21125
MDM2	-0.3335
PCDH20	4.8675
KCNK9	0.957
OR2C1	0.18
KLHDC3	-0.311833333333333
IPPK	0.6335
EFHD2	-0.527625
GALR3	0.3215
NBEA	-0.598
ABCA6	1.4298
CLDN3	1.31616666666667
AKT2	-0.189928571428571
EGFR	-3.2201
RBM16	-0.2105
ZDHHC3	-0.3483
SLC25A4	-0.290166666666667
CYB5B	-1.3515
CPXM1	-0.37625
NDRG1	-0.0165384615384615
FLJ43826	1.41075
OR5L2	0.052
FARP2	0.2201
MRPL46	-0.226666666666667
LDHAL6B	0.309
MAPKAPK3	-0.442833333333333
NCAM2	-0.88325
PRKD2	0.563
ZFP36L1	1.5766
CYSLTR1	0.939
OR4C3	0.29275
HIST1H2AJ	0.872
CCNB2	-1.37877777777778
ZNF10	-0.22475
TMEM175	0.334
FAM134A	0.6015
TIGD4	-0.6505
PCNP	-0.4035
MGC39715	0.458
LQK1	-0.736
CREB1	0.5443
TMPRSS3	1.306
C4orf32	-0.5735
LAT	-0.95875
KCNA3	-0.634
SKIV2L2	-0.36775
ROPN1B	-2.78125
tcag7.23	-0.19
CDT1	-1.9995
ZHX2	1.3435
CD28	-3.535
ZNF624	-0.311
SEPT2	0.220416666666667
SOHLH2	-2.08475
MCOLN3	-1.286375
UNQ1945	0.5415
MASP2	-0.662
ZNRF3	-0.1662
GPATCH3	-0.165
AGL	4.057375
QRICH2	-0.2445
PSD4	0.62
CCNB1IP1	-1.46575
ENPP7	-0.04775
OBFC1	-0.2255
KCNG3	-2.1275
C14orf79	1.52858333333333
ENPEP	0.465333333333333
SCT	2.121
SKI	0.762875
SEC61G	-0.76175
CAPN11	0.55575
ATXN7L3	-0.2835
DBNDD1	0.197
FAIM	0.1415
ANKRD36	-0.4975
GABRP	0.706166666666667
TACSTD2	1.60483333333333
EIF3J	0.16925
PPP2R2A	0.2785
TEKT4	-0.549666666666667
PVALB	-3.21383333333333
F10	-2.84116666666667
FAM134C	0.2851
COMP	3.886125
EFCBP1	-3.74925
SCLT1	0.070125
TAL1	-1.6659
ACSL1	2.318
ABCC5	0.723416666666667
ABL1	-0.249277777777778
RBBP7	2.333
PTPRG	-2.2655
NCOR1	-0.7556
SPINK4	2.9195
TXNRD1	-1.8384
TNRC15	0.744
C9orf138	1.366125
UBE2H	0.0963333333333333
BRDT	-0.203666666666667
C8orf31	-0.10825
CCNE2	1.39472727272727
SLC6A8	-0.229
CALCR	-5.33625
PPP1CB	-0.189583333333333
ABHD8	-0.083
ARF5	0.2786
SLC24A4	0.7345
CCT3	0.36125
ZNF121	0.916
SLC3A2	-0.9859
OR13A1	0.808
SLC5A10	0.5795
RAD50	0.248
IER5	-0.028625
MTHFD1L	-2.649125
MBTPS2	-0.09
MVK	-0.3445
NCL	-0.012
PSMD10	0.02425
MOBP	0.32
FLJ32894	0.1965
HRH1	-0.0163333333333333
C5orf30	1.2735
NUDT16L1	1.0325
RASGRP3	2.85416666666667
PRKRIP1	-0.4313
CCDC75	-0.21525
LOC253970	-0.08525
KIAA1239	-0.026
MED21	-0.51025
SYT11	-0.601833333333333
NTSR2	-0.607
EGFL11	-0.3085
CXorf59	-0.431
OR2A25	0.81425
SPTBN2	0.38925
LRMP	-1.99016666666667
RNF111	0.23825
PTH	0.739
LOC619208	0.9215
KIAA0895	0.39975
RANBP5	-0.775375
P2RY10	1.02916666666667
NME5	-1.6345
DDX21	-0.3485
LRSAM1	0.2335
HDAC11	1.34283333333333
VMO1	2.43475
NOLA2	-0.381666666666667
ADAR	1.61175
MTO1	-0.501166666666667
SF4	0.554
P2RX1	0.0553333333333333
HBM	-0.14
EN2	0.534
C14orf172	0.70975
TM9SF2	0.1875
INHBE	-0.753666666666667
TCTE3	-0.2845
TOX2	-2.63875
CTAGE3	0.865375
HBB	2.066
MED15	-0.314333333333333
CASR	0.41175
C6orf66	-0.110166666666667
MTPN	-0.650375
UNC50	-0.38275
C21orf33	-0.2535
IRF2	0.49325
PGR	-0.689333333333333
GPR84	1.9325
CROCCL1	-1.6155
SRPX	-2.78275
BRE	0.454
FGF10	-0.046
SDC3	0.841833333333333
ZRSR1	1.187
DKFZP434P211	0.316875
SOX6	0.0495
RPUSD2	0.305
C14orf173	0.0578333333333333
MAPK11	0.282666666666667
TBC1D22A	1.121
FAM123A	-0.904
COL4A6	-2.68616666666667
TOMM70A	0.49125
NAB1	-1.4265
MGC16385	-0.23025
TSPAN18	-1.13533333333333
MED31	-0.84775
PLG	-0.18975
CAPSL	2.08
ZNF532	0.9721
ASB14	-0.1875
CA8	1.067
NUDT16P	1.51066666666667
SLFN11	0.5885
LRRIQ2	0.385
NOL7	-0.219833333333333
BRMS1L	-0.30975
JARID1A	0.0948333333333333
PANK2	-0.46425
ICAM3	0.022
MDS1	-0.24625
TAF8	-0.3385
RNF139	1.53575
ZNF594	-0.1775
ADAM8	2.647
SFTPC	0.1165
MAN2B2	0.57775
RGS12	-0.036875
EIF1AY	-4.23383333333333
LRRIQ1	-0.328
GPR150	0.53225
CCDC21	-0.633333333333333
PRRG3	0.23875
SAA4	-3.83525
RAPGEF5	0.415375
ZCCHC2	0.61
MGC39372	1.317
PPP4R2	0.056
CDCA2	-1.23633333333333
OR4D5	0.982833333333333
PTGFRN	0.9345
SIGLEC5	1.61283333333333
C19orf61	-0.477833333333333
NMUR2	0.6415
KIAA1586	-1.31533333333333
DAGLA	-0.145
CHCHD6	-0.37675
GPR32	0.7015
NEUROD6	0.134666666666667
SLC2A4RG	0.49475
CA5B	0.4475
FBXL3	0.49975
MPHOSPH9	-1.46325
HMG2L1	0.6005
HCN4	0.346166666666667
CEACAM19	1.2715
SH2D4B	0.6835
HFE2	-0.5385
TGM4	0.172833333333333
LYPD2	0.26225
TBC1D15	0.09275
MRPS21	0.7906
NONO	-0.004
CLEC5A	1.30025
ITCH	0.0821
MGAT3	-1.3755
MBP	-0.7245
RPP25	-0.174
SOSTDC1	-1.7605
HRC	-1.838
TRIM48	-0.087
TMEM133	-0.02425
ECEL1P2	-1.14225
HOXC11	1.015
DOK5	-1.5615
HELZ	-0.435666666666667
LOC348180	-1.23475
MGC33894	0.0775
ADRB3	0.189
DMD	-0.774416666666667
PTRH2	-0.50075
MPEG1	2.67533333333333
NDUFA12	-0.9055
KRTAP2-4	0.0824166666666667
STAMBPL1	-1.30666666666667
ADCY2	2.48483333333333
UNQ6125	0.4435
KLHL20	0.201333333333333
SRM	0.05275
OTC	-0.3815
TMIE	0.222
SNX8	-0.29925
LIPK	-0.734
CHURC1	-0.286583333333333
KLC2	0.328666666666667
HDAC1	-0.235166666666667
FAM128A	-0.2395
FNDC3B	-0.2089
MTCP1	-0.4135
WFDC10B	0.4299
PCDHGB3	-0.143
ATRNL1	-2.4614
CAV2	-1.930875
MED26	0.368
DUS1L	-0.34125
CHRM3	-1.497875
NEK9	0.95525
WARS2	-0.234
TBX22	-0.2705
TOMM40	-0.6535
RP6-213H19.1	-0.519333333333333
TUBGCP5	-0.667
IGSF6	4.8135
TPPP	0.987
UNQ6190	-0.2975
GSTM5	-0.31225
BTD	0.523833333333333
PDCD1LG2	0.3675
SNRPB2	0.197666666666667
ERICH1	-0.496125
APOA4	-1.65775
HOXA11	-1.68925
NARG1	-0.62525
MKX	-1.58525
RAB28	-0.928857142857143
PKP3	2.14075
SH3GL2	-1.25825
CTSO	1.233
RPN2	0.2660625
IL28RA	0.6015
SFMBT1	-1.16525
WDR57	-0.26675
FER1L3	0.0166666666666667
HSF5	0.358166666666667
TTC9B	-0.0105
C4BPA	-1.66683333333333
ALB	-4.19407142857143
SORBS3	-0.28525
UPF2	0.8165
JPH1	1.14
AGBL2	0.9595
DOPEY1	1.061
TERF1	-0.45725
KIF22	0.110833333333333
NINJ1	0.93425
SEC61A2	-0.188166666666667
HIST1H1D	-1.41633333333333
SFXN4	0.02425
UCP3	1.1072
ZNF703	1.3645
MYL6B	-1.1745
TREM1	1.8825
OR52E6	0.197
CKMT2	1.893
HLA-C	2.829375
SLC13A3	0.802833333333333
TIMP4	-2.4015
SLIT2	0.107
RSF1	-0.132833333333333
LONRF1	-1.26078571428571
MON1A	-0.667666666666667
CACNG6	-1.74883333333333
DPPA4	-4.88783333333333
ZSWIM3	0.8955
ZNF804A	0.104833333333333
CCIN	0.59575
SLC25A31	0.07225
KCNMB4	-2.32025
RABL5	0.7195
GALNS	-0.8996
STX6	1.119125
HIST1H1C	-2.52383333333333
CIDEB	0.724125
CASP4	0.12
PDK3	0.3654
KCNJ11	1.669
TPR	0.125
ZSCAN20	-1.34
MTX2	0.01125
HIST1H2BH	0.092
LOC283767	3.052
LYRM7	-1.22994444444444
BRD3	0.6865
HIST1H2BO	-0.0005
MAGEB10	0.113
SLC45A1	0.96275
SERPINA3	0.21075
KIAA0143	1.1025
KCNJ16	-0.346666666666667
KRT79	0.571
FABP2	-0.804
NUT	-0.16975
ZNF57	-0.36875
FBXL4	1.150125
CLEC9A	0.534
UGT8	-1.56583333333333
BMP2K	-0.4675
MAPK4	-3.53625
SLC25A23	0.0718
HINT1	-0.5123
KRTAP13-1	0.2455
SFXN5	-0.0333
CHCHD2	-0.02725
FAM3D	0.969
NDP	-3.729
RHOBTB1	-0.561833333333333
SLC4A4	-2.2635
RPL38	-1.0445
HTF9C	0.170166666666667
AP2A2	0.668375
ZBTB46	-0.326
MAP7D1	-0.03125
AOX1	-1.524
CYR61	0.528916666666667
DTNA	0.05
JRKL	-0.1255
TMOD3	0.446
EEA1	0.785
ADCK5	-0.27225
IL1R1	1.45933333333333
KLK3	0.529571428571429
HRSP12	1.66975
KTN1	0.62675
LOH11CR2A	0.6885
RELL2	-1.676
MAB21L1	1.32525
C20orf59	-0.689333333333333
PHKB	-0.61425
ADAM2	-1.853
TBC1D8B	1.756
FAM13A1	-0.3946875
LAPTM4B	1.43033333333333
LCN8	-0.0225
TMEM147	0.143
SYT4	-0.275833333333333
XPO7	-0.154
C9orf62	0.89675
GPR75	0.1655
TRIM5	1.036625
APOC1	0.319833333333333
RNASE4	1.33083333333333
PARD6B	-1.0135
ARID1A	-0.0795833333333333
TPD52L3	-0.0504
RRAGB	1.09816666666667
RCN2	-0.703666666666667
HIST2H2BE	-0.6018125
STARD7	-0.1765
SHMT2	-1.08425
KIAA1751	1.24616666666667
MLYCD	-0.958875
LOC162632	-1.7079
UQCRH	-1.2935
RP11-217H1.1	0.5454375
SDHA	-0.790166666666667
NCLN	0.0986
ZNF17	0.137166666666667
RCBTB2	-1.499
VEGFB	-0.8027
RP4-747L4.3	0.225
COLQ	1.041
MPN2	-0.241333333333333
DRG2	-0.63725
KLRB1	3.29075
ALPK2	-2.4485
DNASE2B	1.791
FLJ23834	0.108666666666667
AXUD1	0.131166666666667
SAFB	0.2136
NSUN4	-0.19575
RFX2	0.737833333333333
MAPK8IP1	0.0246666666666667
FANCD2	-0.144428571428571
ANKZF1	-0.526
C19orf50	-0.16775
DUSP8	2.17025
SENP5	0.699875
NFKBIL2	-0.3945
LBR	-1.44125
IGFL1	0.2325
LZTS2	0.131625
IL2RG	-0.0295
CCDC51	-0.1965
KLF3	0.24
ANKRD37	-0.84275
KCTD14	-1.66883333333333
FZR1	0.169416666666667
SLC44A4	3.9115
ESPL1	-0.667875
GMPR2	-0.1218
TBC1D19	-0.5335
ERGIC1	0.821851851851852
ERBB4	2.1157
TSPAN32	0.39325
MAP4	-0.314875
GPHN	-0.64175
SLC6A2	-0.275375
HIVEP1	0.6085
DFFB	0.4066
EIF4EBP2	0.914875
DMRT1	0.2175
HSPB6	-0.018
IER2	0.183
AIFM1	0.09075
WWC2	0.214416666666667
MRPL4	-0.1505
FLJ21062	0.572333333333333
EPB41L4A	0.840166666666666
SH2D6	0.421
TAF4B	-0.9755
GAL3ST3	-0.6645
MALT1	-1.19066666666667
RTDR1	1.572
ARVCF	1.388125
MEX3B	-0.0425
FBXO16	2.7075
KIF7	-1.8825
C1QC	4.00916666666667
ZNF783	-0.535666666666667
ZNF85	0.0255
MMP13	2.6775
KIAA0329	0.0286249999999999
RTP3	-0.269
ZBED3	0.46325
CLGN	-1.037
SLC25A37	-0.746375
hCG_18290	0.01975
OR5AS1	-0.1855
SMARCC2	-0.186916666666667
FAM109A	-0.190166666666667
CCDC12	-0.83125
USF2	0.1771
DEPDC7	-1.8825
C20orf24	-0.250166666666667
JMJD3	0.698
DSP	2.234
SLIC1	0.582875
FAM20A	0.735375
IRF2BP2	0.88925
ZNF230	-0.5585
MSN	-1.30085714285714
SLC9A5	-0.729
EPDR1	-0.8795
MUSK	-0.519833333333333
ZNF434	0.146833333333333
