Hybridization REF	TCGA-C8-A12Q-01A-11R-A115-07
ALDOC	-2.24825
ZNF212	-0.11575
NUDT1	-0.755833333333333
RFPL2	-0.9295
ZNF83	0.207
GDPD5	0.09625
PDCD4	0.6683
CEP350	0.818
OR10A2	0.1195
CST7	0.9085
CIAO1	-0.4245
SELL	1.774375
OR8J3	-0.231
LTBP4	-0.615333333333333
SIRT6	-0.6895
CCL19	4.08475
PPIL1	-0.643666666666667
GBP7	1.2105
STK17A	-0.414
ABR	-0.629
OR9G1	0.0885
FOXE1	-0.970875
CNGA3	1.6335
GML	0.312
CD38	-1.0765
ZDHHC6	0.410166666666667
NEFH	-1.645
CTDSP2	0.0480833333333333
PGBD5	-1.40433333333333
CCNY	0.186428571428571
RMND5B	0.405333333333333
ZNF257	1.344
FLJ22167	-0.300125
EXOSC7	-1.3755
ROR2	0.828375
MAOA	0.116375
TNNT3	0.773166666666667
GYPC	-1.27675
C7orf33	-0.3155
PLIN	3.08866666666667
LOC90826	0.5735
RNF4	0.4644
F8A1	0.9885
PLEKHG4	-2.2215
GRB2	0.16185
HIST1H2AD	-0.14025
DUS3L	-0.836833333333333
EIF1	-0.2575
RP5-1077B9.4	-0.9255
FPGT	1.67025
GDF10	1.71616666666667
COQ9	-0.1065
GCC2	0.4995
RARRES3	2.382375
PLXNA1	-0.431
KIAA0100	-0.6938
PMF1	-0.11775
FNDC1	5.1305
HS2ST1	0.136166666666667
CRELD2	0.953
C8G	-1.713
CD82	1.0605
LIM2	-1.2225
UNQ6490	0.025
MMP16	0.42475
DRD3	-0.14125
C5orf26	-0.66425
C11orf73	0.968875
PTP4A2	1.293625
OR4M2	0.1975
HPCA	-0.482333333333333
SEC14L1	-0.528166666666667
CHFR	0.06925
EMILIN1	1.07725
NDUFS4	-0.6495
COL18A1	0.273375
PDZD3	-0.0194
C9orf16	0.1615
ERBB2IP	-0.286833333333333
EMX2	4.43375
FUS	-0.8045
TF	-3.0859
CLCN4	-0.3105
CXorf56	1.65875
C11orf72	0.36325
ELAC2	-0.679916666666667
NPR1	-0.422
ASS1	-1.33316666666667
USP42	0.075875
POLR2J	-0.006
SEC23IP	1.17066666666667
UQCRC1	-0.898
LOC729603	-0.4125
C1orf71	-0.027375
POLG	-1.8835
ADAM23	-3.08275
TFR2	-1.46575
RICTOR	-0.5416
MGC39606	0.9465
C19orf55	-0.419125
SNAPC1	-0.250333333333333
GNA11	0.334625
CCDC52	0.711666666666667
FSIP1	4.5235
UPF3A	-0.180375
IGSF11	-2.49266666666667
LAGE3	0.78225
CHST6	-1.834
UNC13B	-0.510875
TTLL4	-0.88375
ZNF687	-0.67175
SDC2	-0.3649
COX7A2	0.485
LAMB4	-0.2305
FAM24A	0.2285
LRRTM3	-1.12166666666667
GPHB5	-0.13225
OR4C13	1.98
EIF3EIP	-0.1525
HABP4	-0.6045
TMEM125	3.47725
CNTN2	1.238875
ASNSD1	-0.1355
FUT4	-0.485875
ACF	-3.72425
LOC158381	1.089
CDH8	0.796666666666667
AGPS	-0.4775
C4orf18	2.119875
PECI	0.133166666666667
UNG	-0.834375
GSTP1	1.399125
DCUN1D5	-1.1575
DKFZP564J0863	-0.67925
SLC9A3R1	1.920375
BCDO2	-0.575875
CHMP7	-0.044375
REM2	-0.0535
DNHD1	-0.388875
FKBP4	-0.48025
ZNF350	2.42325
MGC11102	0.124625
BST1	1.3615
KISS1R	0.3305
NCR2	0.3115
DEFB125	0.1045
UBE2W	1.2775
KRT15	1.658375
C10orf99	0.1875
SCN11A	1.04625
GFI1	-2.3725
RDHE2	4.90766666666667
FHL1	-0.6015
OSGEP	-0.175833333333333
GATA1	-3.15033333333333
SMC6	-0.67075
TTTY14	-1.36825
LPIN3	0.414
RPL4	-0.4619
RBPMS	-0.6094
PRPF3	1.6515
EMR1	-2.045
SPATA19	0.00525
XCR1	0.089
IRX3	1.6642
RBM6	-1.441
KLF4	-0.2413
UNC5CL	0.68425
SEBOX	0.435
BTK	-0.498
KRCC1	0.87725
C6orf27	0.261
SYTL5	-0.7335
PRND	3.78425
LOC653319	-0.876
PIGL	-1.66275
HUS1	0.410666666666667
SFRS6	-0.581666666666667
C17orf77	0.4605
UIMC1	-0.698833333333333
FXYD2	-1.6635
LOC283152	0.64675
ZNF667	0.2775
ZCCHC12	-0.24625
TFEC	4.1486
ATP7B	-0.239166666666667
POLD2	-0.535333333333333
RG9MTD1	-0.07425
ACOT2	-0.603166666666667
HIST1H4I	-0.990125
PPARGC1A	-2.1158
ETFA	0.1167
POLRMT	-1.0165
ZNF146	0.209625
MIA2	-2.5165
KLHL6	0.401833333333333
HOXB5	-0.86675
NENF	-0.551
CUGBP1	-0.4325
PRSS22	1.95166666666667
CASC4	2.38
CUL4B	0.5832
CENPJ	-1.4172
PITX1	1.34866666666667
FLJ31033	1.38933333333333
CELSR3	-2.52733333333333
ZNF568	0.3525
ITSN1	0.369916666666667
EHBP1L1	-0.558
C19orf2	-1.38375
DCTN1	0.18775
LIN28B	-4.1555
TNKS2	1.75725
C1QBP	-1.136375
CADPS2	1.87
SRMS	1.10725
GJA9	0.3215
MGC24975	-1.5255
TRIM45	-1.25633333333333
TSP50	-0.406
TCP1	-0.91575
TMED7	0.7946
CMA1	1.638
CENPL	0.417833333333333
PTCRA	0.7925
FST	-3.042
VWCE	-3.88075
PAWR	0.386
ABCC12	4.03283333333333
LDLR	1.2123
ASTN2	-0.6647
LOC441212	-0.82425
GPATCH8	-0.31875
TANC2	0.768166666666667
KIF4A	-1.3655
C18orf18	-1.553
PGM1	-0.6355
KIAA0258	0.18075
CPD	0.543625
SNCAIP	-1.095
DCT	-4.0535
HLA-DOA	3.19554545454545
OR11L1	0.554
UPK1B	-0.507833333333333
DNAJB4	0.692
UGT1A8	-0.2625
HIST1H4L	-0.7965
PECR	-1.1945
HSPA2	1.09775
WFIKKN1	-0.8415
SERP1	1.7875
SYDE2	2.67775
TACR2	0.371
NUP85	-0.55975
CD177	0.0655
LGR5	-2.21183333333333
PIGG	0.30975
PTHR1	-1.38616666666667
RAB5A	1.164
FLJ13224	-0.5185
USP9Y	-1.93516666666667
C7orf53	0.3485
LRP1B	1.8705
XAF1	1.4857
ABCG8	-1.258
ANKDD1A	-0.473
DAND5	-2.261
SPAG6	0.529833333333333
LINCR	0.98325
ZDHHC22	-1.765875
CCDC60	0.7185
THOC7	-2.07133333333333
TCTA	1.2974
OR8K3	-0.13575
NY-REN-7	-0.81925
B2M	1.76033333333333
C6orf141	-2.843875
LPPR4	2.60375
SQLE	0.19075
SEPHS1	-0.38
BTBD14B	0.983428571428572
PLRG1	-0.226
SPG7	-0.9696875
ZNF614	0.0116666666666667
PARD6G	0.427
INPP5B	-1.008
GRPEL2	-0.06025
PPID	-0.4476
TRIM56	-0.29
UBE2J1	-0.374125
IL20RA	5.53225
LOC387856	0.08
C1orf107	0.785
UTS2R	0.456
C19orf22	-0.6
SAFB2	0.316625
KIAA0652	-0.440375
KLRG1	0.0658333333333334
MS4A8B	0.2295
FRAG1	-0.07175
KIAA1546	0.946
E2F4	-0.7099
CLEC4M	0.054
BTBD14A	-0.99525
KIAA0999	-0.3676
GYPA	-4.56916666666667
TAC1	1.1212
TRAIP	-1.72016666666667
KIAA0232	1.3601
ERCC8	-0.7905
GPX4	0.029625
KIAA0368	-0.266375
GPR157	-0.5995
CTAGE4	2.17
C9orf30	-1.2445
OR52A1	-0.3615
HSP90B3P	-0.725
ALG9	-1.1378
BTBD10	0.031
SDK2	0.50175
BAIAP3	0.3525
RABGGTB	-0.859125
ANKRD40	0.484333333333333
KRT74	0.3935
CALCOCO2	0.609928571428571
SNCA	-2.59625
TMSL8	-3.53975
C2orf53	0.485
ESRRB	-0.46025
ARHGAP26	-0.48875
TDRD9	-1.40725
HRAS	-0.3645
KLRC4	-2.405
JAGN1	-0.04
BSDC1	1.064
RNF43	-0.4274
NDUFAF1	0.01625
PHF12	0.325
OR1L3	0.0295
FOLR2	2.03325
LYZL6	0.476166666666667
tcag7.1260	0.777
WSB1	-0.206833333333333
PROS1	-0.1784
OSTN	0.4615
PSMB8	1.6875
SOCS4	0.26975
DDIT4L	2.023
MAS1	-0.59
MGC34796	0.9125
CSHL1	0.387333333333333
TBCCD1	-0.0165
ZBTB7C	0.067
AP2S1	-0.481125
P15RS	0.3213
VAT1	-0.4589
SHANK3	1.22083333333333
TUFM	-0.244666666666667
THEG	-0.9605
KRT34	-2.491
SGSM3	0.159
TOMM22	-0.238125
SOCS3	0.654333333333333
CPO	0.7315
POP4	-0.42725
BHLHB3	1.78775
MALL	1.3335
OR1B1	0.7955
PARK2	0.375333333333333
GPR124	0.694875
LCE1E	0.7
RUVBL2	-0.52475
CGRRF1	0.7762
ACPL2	-1.96275
WNT10B	-2.573125
BAIAP2L2	-1.7945
ISCA1	0.3195
C1orf125	0.16475
RPAP1	-0.8245
RAI16	-0.517333333333333
RPL27	-1.255875
NLRP9	0.2685
EPN1	0.633
LOC388610	-2.690375
SLC35A1	0.716
GAL	-3.4885
SLC14A2	0.2825
RDH11	0.0198333333333333
FAM138F	-0.7355
AUH	-0.1315
FLJ40243	1.874
C14orf129	0.6415
MBD2	-0.499666666666667
ABHD14B	-0.704
PIGT	1.179625
ALS2CR4	-0.00437500000000001
ALAS1	-0.3708
FOXO1	0.392
CRLF3	-0.4825
C20orf107	1.196
FARS2	1.035
CCDC28A	0.9465
NPHP3	-1.31525
OR13F1	0.2405
TSEN54	-0.5985
DEFB106B	0.1651
OR8B4	0.0845
STH	-1.0185
ZC3H14	-0.913
CBX2	-0.4885
TMEM49	0.14675
C6orf21	0.431
FLJ20920	-0.48825
CRTAP	0.166285714285714
DDX50	-0.31425
STYXL1	0.84075
BLVRB	0.667333333333333
LOC147650	-1.42716666666667
MMP24	-0.00625000000000001
GRID1	2.52416666666667
BANF1	-0.543833333333333
CTAGEP	0.6465
HMBS	-2.395
SLC25A24	1.00833333333333
C14orf50	-0.17475
MRO	2.4945
SLC25A15	-0.4675
FAM84B	1.6972
TDP1	-0.6755
C16orf78	-0.135666666666667
C11orf57	-0.810125
RFK	-0.2965
ZFYVE9	-0.026
STCH	-0.9303
WIBG	0.391
LOC283871	-0.299666666666667
GBA2	-0.8832
NDUFB3	0.146
HSD17B13	-0.88075
GRIN3A	1.93
FMNL1	-0.9145
SEPT7	0.4732
GNLY	3.5925
GRAMD1C	2.31933333333333
ZNF165	0.61275
USP38	1.2875
FAM83A	-1.8755
C14orf24	1.08258333333333
ARMCX3	-0.297875
ARHGDIB	0.8585
AK1	0.3495
KIAA1045	-0.32475
DNAJB13	-0.531666666666667
NEU2	0.4305
HIST1H4B	-0.781666666666667
FAM20B	-0.0908
HES2	0.590357142857143
FAM73B	-0.3485
LOC388381	-0.50325
INTS7	0.209090909090909
AMPH	1.0595
ZNF775	-0.64825
UCKL1	-0.548
C10orf97	0.0745
C1orf161	0.3025
ALDH1L1	-1.238
FLJ39378	-0.429
SLC23A1	-2.328
RBM4B	-0.20125
THAP4	0.3585
OGFRL1	0.2005
KIAA0831	0.192625
PPP1R15A	-0.334833333333333
C1orf96	-0.364142857142857
C12orf11	-1.67925
BMF	1.51725
MAN1A1	0.643375
KIAA1600	1.28233333333333
NLGN4X	3.68875
ALOX12	-1.56633333333333
RB1CC1	0.5868
NEIL2	0.0377
EIF4E	0.349545454545455
ABHD5	0.06575
EXOC4	0.0608333333333333
CIP29	-0.0573333333333333
BATF2	-0.08725
SLC29A4	0.393125
HTR4	1.00025
EMB	-0.6525
TRAF6	0.1265
LMNB1	-1.2185
FAM19A5	0.027875
SHE	2.34825
PIK3C2B	2.346
C15orf15	-0.5851
USP15	0.3408
TCEAL2	0.84375
C5orf39	-0.85
PTGER2	-1.26925
SLC31A1	1.0705625
IFT172	1.3785
ADAM29	0.81825
GFOD1	0.60025
ST7L	0.718166666666667
C15orf26	-2.36325
PKN3	-1.62875
CNTD1	0.835666666666667
COMMD1	0.4305
NTRK2	3.20816666666667
FOXN3	-0.2405
MFGE8	-0.1288
PFKFB2	1.39066666666667
TAS2R4	-0.29475
ENTHD1	1.59866666666667
PRMT5	-0.97525
MGC16384	-1.67725
LOC442229	-0.8965
TSKU	-0.458875
KRTCAP3	1.628
PDLIM1	1.6113
KCNS2	0.158
RNF126	-0.787833333333333
CEP63	0.67025
CLIC4	-0.068375
hCG_1990170	-0.1955
ACR	0.6869
KLK7	3.14625
ALOX5AP	3.428625
RIPK3	2.8045
TAS2R9	0.3185
C19orf18	0.985
BIRC6	-0.00250000000000002
ZNF16	0.5275
RFT1	-1.02325
SLC8A2	-0.596
TACC1	0.307625
ITGAD	2.59975
SAMHD1	1.5835
SH3PXD2B	1.7155
EPC2	0.2855
C20orf85	1.454625
ATP13A2	0.539166666666667
KRT4	0.6635
CAPNS1	-0.33
MDM2	-0.151166666666667
PCDH20	1.15
KCNK9	0.38
OR2C1	0.0655
KLHDC3	-0.772
IPPK	0.4495
EFHD2	0.2235
GALR3	0.4695
NBEA	-0.031
ABCA6	3.3789
CLDN3	1.22733333333333
AKT2	-0.981785714285714
EGFR	-1.9897
RBM16	-0.5665
ZDHHC3	0.1991
SLC25A4	-0.0293333333333333
CYB5B	-0.531333333333333
CPXM1	0.37475
NDRG1	-1.59253846153846
FLJ43826	2.13375
OR5L2	-0.116
FARP2	0.4907
MRPL46	-0.3525
LDHAL6B	-0.061
MAPKAPK3	-1.06616666666667
NCAM2	-1.41025
PRKD2	-0.163833333333333
ZFP36L1	1.4051
CYSLTR1	-0.038
OR4C3	0.344
HIST1H2AJ	0.0455
CCNB2	-1.83155555555556
ZNF10	0.228125
TMEM175	0.313
FAM134A	0.838166666666667
TIGD4	0.253
PCNP	0.2365
MGC39715	0.75825
LQK1	-0.6585
CREB1	1.3944
TMPRSS3	-2.0655
C4orf32	1.282125
LAT	-1.59891666666667
KCNA3	0.669
SKIV2L2	-0.8215
ROPN1B	-1.8145
tcag7.23	-0.725
CDT1	-2.334625
ZHX2	0.696625
CD28	-2.754
ZNF624	0.59725
SEPT2	0.60925
SOHLH2	0.039875
MCOLN3	-0.545625
UNQ1945	0.406
MASP2	-1.5455
ZNRF3	-0.3399
GPATCH3	-0.192
AGL	1.4215
QRICH2	-0.2395
PSD4	0.884333333333333
CCNB1IP1	-1.62325
ENPP7	0.17625
OBFC1	1.02875
KCNG3	-2.29925
C14orf79	1.02983333333333
ENPEP	1.97983333333333
SCT	1.848
SKI	1.128
SEC61G	-0.1205
CAPN11	0.65575
ATXN7L3	-0.62025
DBNDD1	0.311833333333333
FAIM	0.26925
ANKRD36	-0.743
GABRP	2.93666666666667
TACSTD2	1.95166666666667
EIF3J	-0.15425
PPP2R2A	-1.01525
TEKT4	-0.0826666666666667
PVALB	-3.361
F10	-2.56316666666667
FAM134C	0.4394
COMP	3.928625
EFCBP1	-3.0896875
SCLT1	0.962125
TAL1	-1.1855
ACSL1	2.60675
ABCC5	1.12775
ABL1	-0.540277777777778
RBBP7	-0.201416666666667
PTPRG	-1.193375
NCOR1	-0.442
SPINK4	-1.54416666666667
TXNRD1	0.3671
TNRC15	1.0555
C9orf138	2.180875
UBE2H	1.60166666666667
BRDT	0.361166666666667
C8orf31	-0.3525
CCNE2	-1.02054545454545
SLC6A8	0.437625
CALCR	-4.193
PPP1CB	0.538833333333333
ABHD8	-0.0225
ARF5	0.5846
SLC24A4	1.3625
CCT3	0.42275
ZNF121	1.178875
SLC3A2	-1.0982
OR13A1	0.1335
SLC5A10	-0.34475
RAD50	0.368125
IER5	0.704625
MTHFD1L	-2.2855
MBTPS2	0.18325
MVK	0.189875
NCL	-0.19
PSMD10	0.30025
MOBP	0.61975
FLJ32894	0.5015
HRH1	0.865
C5orf30	-0.68475
NUDT16L1	0.2634
RASGRP3	4.15683333333333
PRKRIP1	0.0897
CCDC75	0.65675
LOC253970	0.0765
KIAA1239	0.25875
MED21	-0.29675
SYT11	0.71025
NTSR2	-0.5235
EGFL11	0.4455
CXorf59	0.5685
OR2A25	0.154
SPTBN2	-0.38875
LRMP	-1.26883333333333
RNF111	0.29375
PTH	-0.0245
LOC619208	2.037
KIAA0895	1.62675
RANBP5	-1.39225
P2RY10	1.64683333333333
NME5	2.43216666666667
DDX21	-0.5925
LRSAM1	0.4385
HDAC11	0.879
VMO1	0.98575
NOLA2	-0.513666666666667
ADAR	1.45233333333333
MTO1	0.0713333333333333
SF4	0.140666666666667
P2RX1	-0.266166666666667
HBM	0.20875
EN2	0.2295
C14orf172	0.706
TM9SF2	1.038
INHBE	-1.38833333333333
TCTE3	-0.284
TOX2	-1.707
CTAGE3	0.985625
HBB	3.242
MED15	-0.254
CASR	0.375
C6orf66	-1.8855
MTPN	0.4635
UNC50	0.23975
C21orf33	-0.678625
IRF2	1.5705
PGR	-1.51433333333333
GPR84	2.467
CROCCL1	-2.67375
SRPX	-1.04175
BRE	0.4495
FGF10	1.68875
SDC3	0.4905
ZRSR1	-0.076
DKFZP434P211	-0.5365
SOX6	-0.063
RPUSD2	-0.1635
C14orf173	0.557666666666667
MAPK11	-0.9385
TBC1D22A	0.395
FAM123A	-1.309
COL4A6	-1.67883333333333
TOMM70A	1.033
NAB1	-0.11225
MGC16385	0.447
TSPAN18	0.955833333333333
MED31	-0.52025
PLG	-1.00825
CAPSL	1.073
ZNF532	1.0986
ASB14	-0.12225
CA8	-0.01175
NUDT16P	-0.124
SLFN11	-1.111
LRRIQ2	0.445
NOL7	-0.104333333333333
BRMS1L	-0.60825
JARID1A	0.182666666666667
PANK2	0.344
ICAM3	0.7635
MDS1	-0.4765
TAF8	-0.2
RNF139	0.25575
ZNF594	-1.1075
ADAM8	2.7715
SFTPC	0.00475
MAN2B2	1.138125
RGS12	0.8199375
EIF1AY	-5.06758333333333
LRRIQ1	-0.825666666666667
GPR150	0.5225
CCDC21	-1.2095
PRRG3	0.3945
SAA4	-2.002
RAPGEF5	2.100875
ZCCHC2	0.781083333333333
MGC39372	-0.332
PPP4R2	0.115666666666667
CDCA2	-2.04066666666667
OR4D5	0.1175
PTGFRN	0.5573
SIGLEC5	2.553
C19orf61	-0.728833333333333
NMUR2	0.352
KIAA1586	-0.518833333333333
DAGLA	-0.591
CHCHD6	-0.69675
GPR32	1.2895
NEUROD6	0.740166666666667
SLC2A4RG	0.1291875
CA5B	0.041
FBXL3	1.636
MPHOSPH9	-1.254
HMG2L1	0.15125
HCN4	0.227166666666667
CEACAM19	0.7795
SH2D4B	0.772666666666667
HFE2	-1.1125
TGM4	-0.517666666666667
LYPD2	0.2835
TBC1D15	-0.16575
MRPS21	1.1733
NONO	-0.4743
CLEC5A	1.968625
ITCH	0.4254
MGAT3	-1.10083333333333
MBP	-0.8485
RPP25	-0.61975
SOSTDC1	0.84925
HRC	-1.4215
TRIM48	0.0495
TMEM133	2.45525
ECEL1P2	-1.30175
HOXC11	-1.04
DOK5	-0.31625
HELZ	0.416666666666667
LOC348180	-0.61925
MGC33894	0.36475
ADRB3	-0.1185
DMD	0.1545
PTRH2	0.26325
MPEG1	3.2995
NDUFA12	-0.192833333333333
KRTAP2-4	-0.00408333333333335
STAMBPL1	-1.38233333333333
ADCY2	0.0533333333333334
UNQ6125	0.000999999999999987
KLHL20	1.39966666666667
SRM	-0.513
OTC	-0.46825
TMIE	0.165
SNX8	-0.07425
LIPK	-0.055
CHURC1	0.16675
KLC2	-0.00416666666666667
HDAC1	-0.353166666666667
FAM128A	-0.144833333333333
FNDC3B	0.5755
MTCP1	0.759
WFDC10B	-0.2308
PCDHGB3	1.838
ATRNL1	-3.0971
CAV2	-0.23925
MED26	0.831666666666667
DUS1L	0.34675
CHRM3	-1.674875
NEK9	-0.4815
WARS2	-0.2615
TBX22	0.5455
TOMM40	-1.115
RP6-213H19.1	-0.312833333333333
TUBGCP5	-0.16
IGSF6	5.30375
TPPP	0.625833333333333
UNQ6190	0.122
GSTM5	1.462625
BTD	0.503
PDCD1LG2	0.566166666666667
SNRPB2	-0.0598333333333333
ERICH1	-0.422875
APOA4	-1.5415
HOXA11	-1.858
NARG1	0.146375
MKX	-1.80925
RAB28	-0.0982857142857143
PKP3	1.28325
SH3GL2	-1.985
CTSO	3.66925
RPN2	0.9665
IL28RA	-0.319166666666667
SFMBT1	-0.9075
WDR57	-0.84075
FER1L3	0.9385
HSF5	0.277833333333333
TTC9B	-0.4775
C4BPA	-0.774833333333333
ALB	-4.19521428571429
SORBS3	0.343625
UPF2	0.2985
JPH1	-1.294
AGBL2	-0.42075
DOPEY1	0.4755
TERF1	-0.00358333333333333
KIF22	-0.494
NINJ1	1.13225
SEC61A2	-0.3335
HIST1H1D	-1.73766666666667
SFXN4	-0.826375
UCP3	-0.0681
ZNF703	1.11716666666667
MYL6B	-0.96975
TREM1	2.65275
OR52E6	1.3055
CKMT2	0.9105
HLA-C	2.4895
SLC13A3	-1.81133333333333
TIMP4	-1.2305
SLIT2	2.24725
RSF1	1.1485
LONRF1	-1.02242857142857
MON1A	-0.115
CACNG6	-0.525
DPPA4	-5.29733333333333
ZSWIM3	-0.0265
ZNF804A	0.561333333333333
CCIN	2.0465
SLC25A31	0.66625
KCNMB4	-0.291
RABL5	0.928375
GALNS	-0.4106
STX6	1.744125
HIST1H1C	-0.876666666666667
CIDEB	0.57325
CASP4	-0.01
PDK3	-0.5583
KCNJ11	0.212
TPR	-1.286875
ZSCAN20	-0.189
MTX2	-0.60625
HIST1H2BH	0.35375
LOC283767	-0.2645
LYRM7	-1.39088888888889
BRD3	-0.0305
HIST1H2BO	0.53425
MAGEB10	0.23
SLC45A1	0.25975
SERPINA3	-0.76545
KIAA0143	1.11075
KCNJ16	1.133
KRT79	0.61775
FABP2	-1.16375
NUT	-0.35625
ZNF57	-0.23275
FBXL4	-0.12775
CLEC9A	1.701
UGT8	-1.08383333333333
BMP2K	0.695
MAPK4	-3.47
SLC25A23	-1.2075
HINT1	0.1092
KRTAP13-1	-0.2025
SFXN5	-0.2651
CHCHD2	0.945083333333333
FAM3D	2.613
NDP	-3.505375
RHOBTB1	-0.0343333333333333
SLC4A4	-1.74975
RPL38	-0.4915
HTF9C	-0.317833333333333
AP2A2	-0.20775
ZBTB46	-0.872
MAP7D1	0.608625
AOX1	-1.87866666666667
CYR61	0.667166666666667
DTNA	-0.457928571428571
JRKL	-0.59125
TMOD3	0.87825
EEA1	0.3875
ADCK5	-0.4095
IL1R1	1.45233333333333
KLK3	0.945
HRSP12	-0.22025
KTN1	1.2245
LOH11CR2A	0.4291
RELL2	-0.612
MAB21L1	1.86
C20orf59	-1.487
PHKB	0.603
ADAM2	-2.4265
TBC1D8B	1.4715
FAM13A1	-0.566875
LAPTM4B	-1.13008333333333
LCN8	-0.0785
TMEM147	-0.0975
SYT4	-0.197166666666667
XPO7	-0.8395
C9orf62	0.6605
GPR75	-0.048
TRIM5	0.240125
APOC1	1.09933333333333
RNASE4	-0.547
PARD6B	-2.964625
ARID1A	-0.0035
TPD52L3	-0.115111111111111
RRAGB	0.699833333333333
RCN2	0.264333333333333
HIST2H2BE	0.0585
STARD7	-0.644
SHMT2	-1.38175
KIAA1751	-0.429
MLYCD	0.34375
LOC162632	-0.3398
UQCRH	-0.7555
RP11-217H1.1	1.0246875
SDHA	-0.5495
NCLN	-0.6953
ZNF17	0.785666666666667
RCBTB2	-1.541
VEGFB	-0.8873
RP4-747L4.3	1.82875
COLQ	0.4519
MPN2	-1.04633333333333
DRG2	-0.577
KLRB1	5.12225
ALPK2	-1.88275
DNASE2B	3.511
FLJ23834	-0.343833333333333
AXUD1	0.2265
SAFB	-0.3064
NSUN4	-0.12325
RFX2	-0.755666666666667
MAPK8IP1	-0.620333333333333
FANCD2	-0.186785714285714
ANKZF1	-1.4025
C19orf50	0.4825
DUSP8	1.1015
SENP5	0.7385
NFKBIL2	-0.53875
LBR	-1.691
IGFL1	0.341
LZTS2	0.5875
IL2RG	-0.380625
CCDC51	-0.45725
KLF3	0.657625
ANKRD37	-0.43475
KCTD14	-1.15716666666667
FZR1	-0.0505
SLC44A4	3.1869
ESPL1	-1.05525
GMPR2	-0.245
TBC1D19	-0.418666666666667
ERGIC1	0.459296296296296
ERBB4	1.8292
TSPAN32	0.12
MAP4	-0.453
GPHN	-0.95775
SLC6A2	-0.20875
HIVEP1	1.221
DFFB	-0.9206
EIF4EBP2	0.389
DMRT1	-0.83325
HSPB6	-0.1805
IER2	0.652333333333333
AIFM1	0.906
WWC2	0.608666666666667
MRPL4	-0.29825
FLJ21062	0.134166666666667
EPB41L4A	1.77766666666667
SH2D6	0.102
TAF4B	-1.429
GAL3ST3	-0.196
MALT1	-0.289333333333333
RTDR1	1.82325
ARVCF	0.043
MEX3B	0.792166666666667
FBXO16	1.28075
KIF7	-1.31075
C1QC	3.82383333333333
ZNF783	-0.458166666666667
ZNF85	0.78525
MMP13	5.2065
KIAA0329	0.62925
RTP3	-1.0395
ZBED3	-1.43275
CLGN	-0.9005
SLC25A37	-1.11975
hCG_18290	-1.00125
OR5AS1	0.577
SMARCC2	0.25925
FAM109A	0.681333333333333
CCDC12	-0.78975
USF2	-0.0681
DEPDC7	-2.2015
C20orf24	0.7545
JMJD3	0.468
DSP	1.82414285714286
SLIC1	0.518
FAM20A	1.085875
IRF2BP2	0.087125
ZNF230	0.009
MSN	-0.205
SLC9A5	-1.022
EPDR1	-1.4551
MUSK	0.266333333333333
ZNF434	0.0481666666666667
