Hybridization REF	TCGA-A2-A0CU-01A-12R-A034-07
COMMD1	-0.00762500000000001
NTRK2	3.55525
FOXN3	0.175375
MFGE8	-0.4959
PFKFB2	1.26183333333333
TAS2R4	-0.058
ENTHD1	0.126
PRMT5	-1.010875
MGC16384	-1.224
LOC442229	-1.07875
TSKU	0.8525
KRTCAP3	1.567375
PDLIM1	-0.5508
KCNS2	0.528
RNF126	-0.2825
CEP63	0.13575
CLIC4	-0.57
hCG_1990170	1.08825
ACR	0.3521
KLK7	0.146666666666667
ALOX5AP	2.20975
RIPK3	4.154
TAS2R9	-0.3095
C19orf18	2.1425
BIRC6	0.0279285714285714
ZNF16	1.5675
RFT1	-0.6355
SLC8A2	0.32725
TACC1	1.283125
ITGAD	0.48875
SAMHD1	0.5535
SH3PXD2B	0.5822
EPC2	0.94675
C20orf85	0.5505
ATP13A2	0.899666666666667
KRT4	0.258
CAPNS1	0.2805
MDM2	0.33775
PCDH20	5.7795
KCNK9	0.9355
OR2C1	-0.284
KLHDC3	-1.3365
IPPK	1.178
EFHD2	-0.4735
GALR3	1.0445
NBEA	2.0345
ABCA6	3.4358
CLDN3	2.76983333333333
AKT2	-0.835714285714286
EGFR	-1.6896
RBM16	0.486375
ZDHHC3	-0.3252
SLC25A4	0.818666666666667
CYB5B	-1.15883333333333
CPXM1	-1.3305
NDRG1	-0.531538461538462
FLJ43826	0.16625
OR5L2	0.0683333333333333
FARP2	0.6243
MRPL46	-0.129083333333333
LDHAL6B	-0.0381666666666667
MAPKAPK3	-0.362
NCAM2	3.93175
PRKD2	0.223833333333333
ZFP36L1	1.2496
CYSLTR1	-0.823
OR4C3	0.24275
HIST1H2AJ	3.6475
CCNB2	-1.76433333333333
ZNF10	-0.344125
TMEM175	0.6705
FAM134A	1.18116666666667
TIGD4	0.7275
PCNP	-0.32075
MGC39715	0.75875
LQK1	-1.22575
CREB1	0.543
TMPRSS3	-0.7625
C4orf32	-0.23325
LAT	-1.91591666666667
KCNA3	-0.397
SKIV2L2	-0.6075
ROPN1B	-3.6165
tcag7.23	-0.9295
CDT1	-3.253
ZHX2	0.339125
CD28	-2.893
ZNF624	0.663
SEPT2	-0.429666666666667
SOHLH2	-0.825625
MCOLN3	1.68775
UNQ1945	0.505
MASP2	-1.7115
ZNRF3	1.0366
GPATCH3	-0.43425
AGL	1.561
QRICH2	-0.471
PSD4	1.0565
CCNB1IP1	-2.90075
ENPP7	-0.449
OBFC1	-0.54925
KCNG3	-1.00525
C14orf79	1.07258333333333
ENPEP	1.55016666666667
SCT	0.499
SKI	0.7445
SEC61G	-1.5725
CAPN11	0.9905
ATXN7L3	-0.07975
DBNDD1	0.776
FAIM	-0.32375
ANKRD36	-0.257
GABRP	0.284666666666667
TACSTD2	2.55066666666667
EIF3J	-0.571
PPP2R2A	-0.5235
TEKT4	0.3545
PVALB	-4.05766666666667
F10	-2.01033333333333
FAM134C	1.6151
COMP	4.610125
EFCBP1	-2.3154375
SCLT1	0.66475
TAL1	-1.1985
ACSL1	1.55775
ABCC5	1.33633333333333
ABL1	-0.777888888888889
RBBP7	0.920166666666667
PTPRG	-1.474875
NCOR1	-0.4189
SPINK4	2.16966666666667
TXNRD1	-1.5317
TNRC15	0.929125
C9orf138	0.4355
UBE2H	1.29883333333333
BRDT	0.254166666666667
C8orf31	-0.77925
CCNE2	-0.978181818181818
SLC6A8	-1.916375
CALCR	0.31225
PPP1CB	1.31716666666667
ABHD8	0.5285
ARF5	0.6444
SLC24A4	0.3015
CCT3	-0.14275
ZNF121	-0.027125
SLC3A2	-1.0485
OR13A1	0.5265
SLC5A10	0.4455
RAD50	0.34225
IER5	0.413875
MTHFD1L	-2.48675
MBTPS2	0.233
MVK	-0.06575
NCL	-0.4141
PSMD10	0.28075
MOBP	0.467125
FLJ32894	0.1905
HRH1	-0.592333333333333
C5orf30	1.33625
NUDT16L1	1.6475
RASGRP3	3.20533333333333
PRKRIP1	-0.3636
CCDC75	-0.127
LOC253970	0.20225
KIAA1239	1.87075
MED21	-0.9895
SYT11	0.698083333333333
NTSR2	0.5045
EGFL11	0.2605
CXorf59	-0.0905
OR2A25	-0.30425
SPTBN2	-0.0475
LRMP	-1.65633333333333
RNF111	0.8785
PTH	-0.177
LOC619208	0.4325
KIAA0895	1.1905
RANBP5	-0.2665
P2RY10	0.568833333333333
NME5	4.503
DDX21	-1.488
LRSAM1	0.3905
HDAC11	1.97
VMO1	1.45275
NOLA2	-0.2285
ADAR	0.1385
MTO1	-1.29166666666667
SF4	-0.0438333333333333
P2RX1	2.09633333333333
HBM	0.02575
EN2	1.168
C14orf172	-0.35925
TM9SF2	0.1369
INHBE	-1.49216666666667
TCTE3	-0.506
TOX2	-3.02875
CTAGE3	0.174875
HBB	4.1629
MED15	-1.2445
CASR	0.551
C6orf66	-1.87016666666667
MTPN	0.252625
UNC50	0.326
C21orf33	0.785875
IRF2	0.906
PGR	-1.14816666666667
GPR84	1.69125
CROCCL1	-1.092
SRPX	-1.17775
BRE	0.353
FGF10	6.1435
SDC3	-0.382666666666667
ZRSR1	0.4985
DKFZP434P211	-0.04875
SOX6	-0.468
RPUSD2	-0.06275
C14orf173	-0.442333333333333
MAPK11	-0.452666666666667
TBC1D22A	0.175
FAM123A	-0.1865
COL4A6	-2.58583333333333
TOMM70A	0.19725
NAB1	-0.565
MGC16385	-0.40075
TSPAN18	-0.218166666666667
MED31	-0.75
PLG	-1.022
CAPSL	1.268
ZNF532	0.1175
ASB14	-0.2175
CA8	-0.29975
NUDT16P	1.966
SLFN11	-1.216
LRRIQ2	-0.25425
NOL7	-0.652166666666667
BRMS1L	-0.873625
JARID1A	0.498333333333333
PANK2	-0.20675
ICAM3	-0.30175
MDS1	-0.5105
TAF8	-0.9735
RNF139	1.8945
ZNF594	-0.264166666666667
ADAM8	0.009
SFTPC	-0.493375
MAN2B2	1.962125
RGS12	0.8418125
EIF1AY	-4.93583333333333
LRRIQ1	0.237333333333333
GPR150	1.154
CCDC21	-1.05416666666667
PRRG3	0.46025
SAA4	-2.09675
RAPGEF5	1.647875
ZCCHC2	-0.16925
MGC39372	-0.178
PPP4R2	0.488
CDCA2	-2.0875
OR4D5	0.754333333333333
PTGFRN	0.5973
SIGLEC5	1.58633333333333
C19orf61	0.105166666666667
NMUR2	0.5855
KIAA1586	-1.18666666666667
DAGLA	1.31216666666667
CHCHD6	-0.26075
GPR32	0.4835
NEUROD6	-0.1746
SLC2A4RG	0.282125
CA5B	0.223
FBXL3	1.53025
MPHOSPH9	-2.48925
HMG2L1	0.21775
HCN4	0.712166666666667
CEACAM19	0.9035
SH2D4B	0.271666666666667
HFE2	-1.388
TGM4	0.107166666666667
LYPD2	-0.14825
TBC1D15	-0.32575
MRPS21	-0.4833
NONO	-0.7371
CLEC5A	1.541
ITCH	0.4832
MGAT3	0.229666666666667
MBP	-0.41575
RPP25	-0.257
SOSTDC1	-2.78925
HRC	1.01775
TRIM48	0.345
TMEM133	-0.6255
ECEL1P2	-1.5
HOXC11	0.2525
DOK5	-0.39275
HELZ	0.757666666666667
LOC348180	-1.00325
MGC33894	0.083
ADRB3	0.441
DMD	0.581083333333333
PTRH2	-0.63125
MPEG1	3.023
NDUFA12	0.1135
KRTAP2-4	-0.256
STAMBPL1	-1.19066666666667
ADCY2	-0.506333333333333
UNQ6125	0.534
KLHL20	0.158
SRM	-1.42375
OTC	1.118
TMIE	0.287333333333333
SNX8	-0.1625
LIPK	-0.296
CHURC1	0.345416666666667
KLC2	0.232333333333333
HDAC1	0.154166666666667
FAM128A	0.845833333333333
FNDC3B	-0.9077
MTCP1	0.290333333333333
WFDC10B	1.4531
PCDHGB3	0.0155
ATRNL1	2.116
CAV2	-0.231625
MED26	0.404
DUS1L	0.1315
CHRM3	-1.7525
NEK9	0.60375
WARS2	-0.348
TBX22	-0.172
TOMM40	-1.1005
RP6-213H19.1	-0.064
TUBGCP5	-0.1445
IGSF6	4.9025
TPPP	1.64766666666667
UNQ6190	-0.2055
GSTM5	0.984375
BTD	0.326166666666667
PDCD1LG2	-0.398666666666667
SNRPB2	0.005
ERICH1	-0.786375
APOA4	-1.9775
HOXA11	-2.22875
NARG1	0.3915
MKX	5.00825
RAB28	0.0152857142857143
PKP3	0.9865
SH3GL2	-3.409
CTSO	3.288
RPN2	0.71825
IL28RA	1.00866666666667
SFMBT1	0.19125
WDR57	-0.435625
FER1L3	1.198
HSF5	0.236666666666667
TTC9B	0.17175
C4BPA	-4.82833333333333
ALB	-4.54878571428571
SORBS3	0.20625
UPF2	-0.3815
JPH1	1.1175
AGBL2	2.0875
DOPEY1	0.7165
TERF1	0.603083333333333
KIF22	-0.518666666666667
NINJ1	1.17475
SEC61A2	-0.638916666666667
HIST1H1D	-2.74416666666667
SFXN4	-0.908
UCP3	0.2352
ZNF703	1.81183333333333
MYL6B	-0.88425
TREM1	1.665
OR52E6	0.6155
CKMT2	3.30625
HLA-C	0.54675
SLC13A3	-0.994
TIMP4	0.4435
SLIT2	2.43575
RSF1	0.422111111111111
LONRF1	0.608142857142857
MON1A	-0.858166666666667
CACNG6	-0.7085
DPPA4	-5.38733333333333
ZSWIM3	-0.375
ZNF804A	0.328
CCIN	0.90075
SLC25A31	-0.0385
KCNMB4	-0.8515
RABL5	0.666375
GALNS	-0.5468
STX6	0.732375
HIST1H1C	-2.42783333333333
CIDEB	-0.022125
CASP4	-1.09983333333333
PDK3	-0.2369
KCNJ11	1.174
TPR	-0.175625
ZSCAN20	-1.043
MTX2	0.402
HIST1H2BH	-0.48425
LOC283767	0.5595
LYRM7	-1.15055555555556
BRD3	-0.242166666666667
HIST1H2BO	-0.4315
MAGEB10	0.635
SLC45A1	2.78075
SERPINA3	2.8714
KIAA0143	1.99275
KCNJ16	0.0651666666666667
KRT79	-0.2045
FABP2	-1.8315
NUT	-0.62025
ZNF57	-0.1945
FBXL4	0.158625
CLEC9A	1.3555
UGT8	-2.366
BMP2K	0.695
MAPK4	-3.305
SLC25A23	-0.4145
HINT1	0.0957
KRTAP13-1	0.741
SFXN5	0.6329
CHCHD2	-0.0780833333333333
FAM3D	0.9305
NDP	2.71425
RHOBTB1	-0.0311666666666667
SLC4A4	0.017125
RPL38	0.09025
HTF9C	-0.635
AP2A2	0.684625
ZBTB46	-0.4415
MAP7D1	0.64875
AOX1	-0.723
CYR61	1.82633333333333
DTNA	0.457142857142857
JRKL	-0.912
TMOD3	-0.06225
EEA1	-0.272
ADCK5	0.01925
IL1R1	1.21083333333333
KLK3	0.455428571428571
HRSP12	1.3015
KTN1	1.217
LOH11CR2A	0.1705
RELL2	-1.84325
MAB21L1	1.1355
C20orf59	-1.5115
PHKB	-0.50225
ADAM2	-2.8855
TBC1D8B	2.04183333333333
FAM13A1	-0.491875
LAPTM4B	-1.14758333333333
LCN8	-0.093
TMEM147	0.7295
SYT4	-0.0946666666666667
XPO7	-0.8495
C9orf62	1.17725
GPR75	1.787
TRIM5	-0.124
APOC1	-0.514666666666667
RNASE4	0.394666666666667
PARD6B	0.8545
ARID1A	-1.02191666666667
TPD52L3	0.1371
RRAGB	2.142
RCN2	-0.179
HIST2H2BE	0.62525
STARD7	0.0765
SHMT2	-1.2625
KIAA1751	0.686166666666667
MLYCD	0.494375
LOC162632	-0.2947
UQCRH	-1.328
RP11-217H1.1	0.7409375
SDHA	-1.10033333333333
NCLN	-0.7439
ZNF17	0.0386666666666667
RCBTB2	-1.9405
VEGFB	-0.3112
RP4-747L4.3	0.87725
COLQ	0.4911
MPN2	-0.763333333333333
DRG2	-0.657
KLRB1	5.21575
ALPK2	-3.21925
DNASE2B	0.35525
FLJ23834	1.17016666666667
AXUD1	1.83216666666667
SAFB	-0.0857
NSUN4	-0.88675
RFX2	2.053
MAPK8IP1	-0.126333333333333
FANCD2	-1.22257142857143
ANKZF1	-2.05733333333333
C19orf50	-0.569375
DUSP8	0.764
SENP5	-0.242375
NFKBIL2	-0.377
LBR	-1.241875
IGFL1	-0.8345
LZTS2	0.24575
IL2RG	-1.456625
CCDC51	0.05775
KLF3	-0.023625
ANKRD37	-1.18475
KCTD14	0.396666666666667
FZR1	0.399666666666667
SLC44A4	3.1686
ESPL1	-1.15675
GMPR2	-1.0521
TBC1D19	-0.595
ERGIC1	-0.0230740740740741
ERBB4	4.8559
TSPAN32	-0.0645833333333333
MAP4	-0.288875
GPHN	0.03225
SLC6A2	-0.434875
HIVEP1	-0.066
DFFB	-0.8092
EIF4EBP2	-0.134625
DMRT1	-0.8625
HSPB6	0.5425
IER2	0.953
AIFM1	0.644
WWC2	-0.117666666666667
MRPL4	-0.84125
FLJ21062	1.16666666666667
EPB41L4A	1.43308333333333
SH2D6	0.0005
TAF4B	-1.167
GAL3ST3	-0.485
MALT1	-1.14116666666667
RTDR1	1.815
ARVCF	-0.019625
MEX3B	-1.327
FBXO16	1.26525
KIF7	-0.19175
C1QC	3.99066666666667
ZNF783	-0.476166666666667
ZNF85	-0.1745
MMP13	2.548
KIAA0329	0.3515
RTP3	-0.9855
ZBED3	-1.23775
CLGN	-1.93175
SLC25A37	-1.90245833333333
hCG_18290	-0.402
OR5AS1	0.238
SMARCC2	0.80175
FAM109A	-0.38
CCDC12	0.0005
USF2	0.588
DEPDC7	-3.0775
C20orf24	-0.225333333333333
JMJD3	0.269
DSP	2.45
SLIC1	0.126375
FAM20A	0.758125
IRF2BP2	1.51025
ZNF230	-0.675
MSN	-0.993571428571429
SLC9A5	-2.1885
EPDR1	-1.5194
MUSK	0.472666666666667
