Hybridization REF	TCGA-AN-A0FN-01A-11R-A034-07
MGC39606	0.3305
C19orf55	-0.40375
SNAPC1	-1.2455
GNA11	0.362625
CCDC52	-0.3625
FSIP1	3.361
UPF3A	-0.97375
IGSF11	-2.13033333333333
LAGE3	-0.39275
CHST6	0.846
UNC13B	-0.026625
TTLL4	-1.519375
ZNF687	-0.013125
SDC2	0.5035
COX7A2	-0.24525
LAMB4	0.48175
FAM24A	-0.441
LRRTM3	-0.147
GPHB5	-0.02075
OR4C13	-0.216
EIF3EIP	0.246285714285714
HABP4	0.051
TMEM125	2.74775
CNTN2	1.01125
ASNSD1	-0.0065
FUT4	-0.050875
ACF	-4.31075
LOC158381	0.496
CDH8	0.0455
AGPS	-1.10516666666667
C4orf18	4.491875
PECI	0.185833333333333
UNG	-1.32
GSTP1	-0.54675
DCUN1D5	-1.117
DKFZP564J0863	-0.406
SLC9A3R1	-0.4455
BCDO2	-0.410875
CHMP7	-0.486375
REM2	-0.8115
DNHD1	-0.6605
FKBP4	-1.457125
ZNF350	1.79525
MGC11102	-0.047375
BST1	2.58
KISS1R	1.045
NCR2	-1.0735
DEFB125	-1.3915
UBE2W	0.704625
KRT15	-1.101
C10orf99	0.467
SCN11A	0.291125
GFI1	-0.5635
RDHE2	2.45133333333333
FHL1	0.494333333333333
OSGEP	-0.05
GATA1	-3.37783333333333
SMC6	-0.6635
TTTY14	-1.239
LPIN3	-1.54033333333333
RPL4	-0.4284
RBPMS	0.3475
PRPF3	-0.745833333333333
EMR1	-1.1355
SPATA19	0.37625
XCR1	0.449
IRX3	0.9251
RBM6	-0.53425
KLF4	0.0836
UNC5CL	-1.73
SEBOX	0.4295
BTK	0.66725
KRCC1	0.956
C6orf27	0.405
SYTL5	-1.176
PRND	4.507625
LOC653319	-1.6505
PIGL	-1.1155
HUS1	0.0885
SFRS6	0.956166666666667
C17orf77	0.297
UIMC1	-0.2545
FXYD2	-1.6459
LOC283152	1.55225
ZNF667	-0.68175
ZCCHC12	-0.189
TFEC	3.7052
ATP7B	0.0668333333333333
POLD2	-1.9975
RG9MTD1	-0.39725
ACOT2	-0.862
HIST1H4I	-1.11925
PPARGC1A	-1.3279
ETFA	-1.4669
POLRMT	-0.66625
ZNF146	0.046375
MIA2	-0.674
KLHL6	0.458333333333333
HOXB5	0.653625
NENF	0.906
CUGBP1	0.24825
PRSS22	0.922166666666667
CASC4	2.3911
CUL4B	0.3857
CENPJ	-1.3479
PITX1	-1.3645
FLJ31033	0.852166666666667
CELSR3	-2.1575
ZNF568	1.27125
ITSN1	0.178727272727273
EHBP1L1	-0.422
C19orf2	-1.076
DCTN1	-0.39075
LIN28B	-1.9706
TNKS2	0.66125
C1QBP	-0.964625
CADPS2	1.53625
SRMS	0.31925
GJA9	0.0045
MGC24975	-1.06833333333333
TRIM45	-0.606166666666667
TSP50	0.132
TCP1	-1.30975
TMED7	0.5795
CMA1	1.5045
CENPL	-1.5245
PTCRA	0.326
FST	-1.36425
VWCE	-3.57875
PAWR	0.6305
ABCC12	0.3978
LDLR	-1.6733
ASTN2	1.1953
LOC441212	-0.235875
GPATCH8	0.0475
TANC2	-0.358916666666667
KIF4A	-2.6835
C18orf18	-0.862
PGM1	-1.2795
KIAA0258	0.4145
CPD	0.4995
SNCAIP	-0.5075
DCT	-4.36166666666667
HLA-DOA	2.96640909090909
OR11L1	0.6825
UPK1B	0.0938333333333333
DNAJB4	0.341125
UGT1A8	-0.00275000000000006
HIST1H4L	-0.8785
PECR	-1.2265
HSPA2	2.0575
WFIKKN1	-2.5105
SERP1	0.12025
SYDE2	-0.562
TACR2	0.4085
NUP85	-0.65475
CD177	0.510666666666667
LGR5	-2.02516666666667
PIGG	-0.0885
PTHR1	0.331333333333333
RAB5A	0.2111
FLJ13224	-0.6585
USP9Y	-1.6868
C7orf53	-0.8425
LRP1B	-0.4815
XAF1	2.6212
ABCG8	0.195
ANKDD1A	0.108
DAND5	-1.801
SPAG6	4.04483333333333
LINCR	0.92125
ZDHHC22	-1.599875
CCDC60	null
THOC7	-1.53316666666667
TCTA	1.0336
OR8K3	-0.10225
NY-REN-7	-0.79075
B2M	1.9105
C6orf141	-2.913625
LPPR4	3.81625
SQLE	-2.074375
SEPHS1	-0.59675
BTBD14B	0.443142857142857
PLRG1	-0.3515
SPG7	-0.87575
ZNF614	0.00300000000000003
PARD6G	1.6705
INPP5B	-1.138
GRPEL2	-0.077125
PPID	-1.0525
TRIM56	-0.5245
UBE2J1	0.600875
IL20RA	3.97775
LOC387856	0.24175
C1orf107	0.133916666666667
UTS2R	1.10475
C19orf22	-0.15425
SAFB2	-0.350125
KIAA0652	-0.198125
KLRG1	1.29583333333333
MS4A8B	0.739666666666667
FRAG1	-0.5655
KIAA1546	0.421
E2F4	-1.2952
CLEC4M	-0.310666666666667
BTBD14A	-0.2045
KIAA0999	1.5628
GYPA	-2.93333333333333
TAC1	-0.100777777777778
TRAIP	-1.81316666666667
KIAA0232	0.7516
ERCC8	-1.069875
GPX4	0.878375
KIAA0368	-0.31575
GPR157	-1.33483333333333
CTAGE4	-0.47
C9orf30	-0.733666666666667
OR52A1	-0.653
HSP90B3P	-0.7185
ALG9	-0.6167
BTBD10	0.462
SDK2	0.00675000000000003
BAIAP3	-0.844
RABGGTB	-1.478
ANKRD40	-0.806333333333333
KRT74	-0.536
CALCOCO2	0.155714285714286
SNCA	-2.61475
TMSL8	-3.8115
C2orf53	0.328
ESRRB	-0.21225
ARHGAP26	-0.727875
TDRD9	-0.70875
HRAS	0.223833333333333
KLRC4	-2.607
JAGN1	-0.467666666666667
BSDC1	0.55825
RNF43	-0.1893
NDUFAF1	0.14125
PHF12	0.524
OR1L3	-0.4505
FOLR2	2.17466666666667
LYZL6	0.4304
tcag7.1260	-1.0965
WSB1	-1.22366666666667
PROS1	0.659222222222222
OSTN	1.0925
PSMB8	1.45975
SOCS4	-0.497875
DDIT4L	2.60925
MAS1	0.103
MGC34796	0.663
CSHL1	-0.150666666666667
TBCCD1	-0.0481666666666667
ZBTB7C	-0.336
AP2S1	-0.18525
P15RS	-0.8361
VAT1	-0.2884
SHANK3	1.80716666666667
TUFM	-0.795166666666667
THEG	-0.0635
KRT34	-1.244
SGSM3	0.187125
TOMM22	-0.612
SOCS3	1.916
CPO	0.7215
POP4	0.1975
BHLHB3	2.159
MALL	1.89675
OR1B1	0.4085
PARK2	0.595166666666667
GPR124	1.712625
LCE1E	0.1745
RUVBL2	-1.42475
CGRRF1	0.5514
ACPL2	0.736
WNT10B	-1.093625
BAIAP2L2	-1.503875
ISCA1	0.225
C1orf125	0.147875
RPAP1	-0.91225
RAI16	-0.446
RPL27	-0.387125
NLRP9	-0.6315
EPN1	0.0725
LOC388610	-1.708125
SLC35A1	0.3732
GAL	-3.43
SLC14A2	0.16125
RDH11	-0.451833333333333
FAM138F	-0.7855
AUH	-0.6125
FLJ40243	-0.0454999999999999
C14orf129	0.2765
MBD2	-0.280833333333333
ABHD14B	-0.065875
PIGT	0.258375
ALS2CR4	-0.832625
ALAS1	-0.0574
FOXO1	2.46016666666667
CRLF3	-0.054875
C20orf107	-0.514
FARS2	0.50225
CCDC28A	1.14025
NPHP3	0.07275
OR13F1	0.6945
TSEN54	-0.88375
DEFB106B	-0.377375
OR8B4	-0.2635
STH	-0.334
ZC3H14	-0.611625
CBX2	-0.4445
TMEM49	-0.95275
C6orf21	0.321
FLJ20920	0.01275
CRTAP	0.325
DDX50	0.2705
STYXL1	-1.11875
BLVRB	-0.482
LOC147650	-0.074
MMP24	0.06725
GRID1	2.78066666666667
BANF1	-1.05416666666667
CTAGEP	-0.2655
HMBS	-2.2295
SLC25A24	-0.127
C14orf50	1.0825
MRO	0.340166666666667
SLC25A15	-0.771
FAM84B	0.1886
TDP1	-1.2045
C16orf78	-0.1046
C11orf57	0.64125
RFK	-0.710875
ZFYVE9	-0.840625
STCH	-0.7425
WIBG	0.37725
LOC283871	-0.648666666666667
GBA2	-0.8236
NDUFB3	0.00975000000000001
HSD17B13	0.72025
GRIN3A	0.693833333333333
FMNL1	-0.222833333333333
SEPT7	0.3945
GNLY	3.074
GRAMD1C	0.713666666666667
ZNF165	-0.7235
USP38	0.3865
FAM83A	-3.77633333333333
C14orf24	0.609416666666667
ARMCX3	0.932125
ARHGDIB	0.971333333333333
AK1	0.479125
KIAA1045	1.0765
DNAJB13	-0.450166666666667
NEU2	-0.776
HIST1H4B	-1.08816666666667
FAM20B	-0.7869
HES2	0.613846153846154
FAM73B	-0.8799
LOC388381	1.10975
INTS7	-0.598181818181818
AMPH	1.83375
ZNF775	0.00187499999999996
UCKL1	-1.22033333333333
C10orf97	-0.0985
C1orf161	-1.02225
ALDH1L1	-0.44275
FLJ39378	0.02675
SLC23A1	-1.005
RBM4B	-0.33175
THAP4	-0.0921666666666667
OGFRL1	0.98225
KIAA0831	0.35675
PPP1R15A	0.270666666666667
C1orf96	-0.230071428571429
C12orf11	-2.424
BMF	0.65125
MAN1A1	0.564875
KIAA1600	1.321
NLGN4X	0.4385
ALOX12	-0.936
RB1CC1	0.3018
NEIL2	0.3164
EIF4E	-0.369285714285714
ABHD5	-0.56825
EXOC4	-0.443166666666667
CIP29	0.204166666666667
BATF2	0.387
SLC29A4	-0.536125
HTR4	0.59975
EMB	0.7015
TRAF6	0.67225
LMNB1	-1.41
FAM19A5	0.622125
SHE	2.7725
PIK3C2B	1.563
C15orf15	-0.9776
USP15	0.3513
TCEAL2	1.543
C5orf39	0.705
PTGER2	-0.0015
SLC31A1	-1.2539375
IFT172	0.0435
ADAM29	0.3735
GFOD1	0.3815
ST7L	0.760166666666667
C15orf26	-1.7805
PKN3	-1.3115
CNTD1	2.00066666666667
COMMD1	0.41725
NTRK2	3.47645454545455
FOXN3	1.05725
MFGE8	-0.2933
PFKFB2	0.279166666666667
TAS2R4	-0.516666666666667
ENTHD1	1.5575
PRMT5	-1.60775
MGC16384	-1.538125
LOC442229	-0.297
TSKU	0.408
KRTCAP3	1.536
PDLIM1	0.7283
KCNS2	1.16925
RNF126	-0.523166666666667
CEP63	0.3995
CLIC4	0.65925
hCG_1990170	-0.7655
ACR	1.0852
KLK7	0.5975
ALOX5AP	3.767625
RIPK3	4.25875
TAS2R9	-0.0815
C19orf18	1.7495
BIRC6	-0.424357142857143
ZNF16	0.1355
RFT1	-0.45875
SLC8A2	0.49325
TACC1	1.31275
ITGAD	2.25
SAMHD1	1.59725
SH3PXD2B	1.4113
EPC2	1.119
C20orf85	0.261142857142857
ATP13A2	-0.3065
KRT4	0.427
CAPNS1	-0.5055
MDM2	-0.43775
PCDH20	1.924
KCNK9	-0.37
OR2C1	0.531
KLHDC3	-1.19
IPPK	-0.2115
EFHD2	0.683875
GALR3	1.3105
NBEA	1.367
ABCA6	4.2027
CLDN3	0.3035
AKT2	-0.209214285714286
EGFR	-0.7695
RBM16	0.703875
ZDHHC3	0.1997
SLC25A4	-0.5415
CYB5B	-2.12883333333333
CPXM1	1.982
NDRG1	-0.980153846153846
FLJ43826	0.3175
OR5L2	-0.251666666666667
FARP2	0.2034
MRPL46	-1.005
LDHAL6B	-0.339666666666667
MAPKAPK3	-0.724
NCAM2	1.93025
PRKD2	0.382
ZFP36L1	1.9227
CYSLTR1	0.632
OR4C3	0.427666666666667
HIST1H2AJ	1.4055
CCNB2	-2.824
ZNF10	-0.080125
TMEM175	0.4975
FAM134A	0.111333333333333
TIGD4	0.194
PCNP	-0.3655
MGC39715	0.31025
LQK1	-1.05825
CREB1	0.3201
TMPRSS3	0.506
C4orf32	2.013375
LAT	0.211416666666667
KCNA3	0.7445
SKIV2L2	-0.823
ROPN1B	-3.08875
tcag7.23	-0.8005
CDT1	-3.6705
ZHX2	0.886
CD28	-0.78325
ZNF624	1.61375
SEPT2	0.229833333333333
SOHLH2	-1.754375
MCOLN3	-1.148625
UNQ1945	0.3505
MASP2	-1.187
ZNRF3	-0.04
GPATCH3	-0.541
AGL	0.36525
QRICH2	0.172
PSD4	0.750166666666667
CCNB1IP1	-2.01675
ENPP7	-1.13575
OBFC1	-0.0685
KCNG3	-2.1865
C14orf79	-0.00291666666666668
ENPEP	3.10933333333333
SCT	2.5165
SKI	1.38275
SEC61G	-0.48125
CAPN11	1.05475
ATXN7L3	-0.80925
DBNDD1	-1.57033333333333
FAIM	-0.11725
ANKRD36	0.1485
GABRP	-0.422166666666667
TACSTD2	1.1746
EIF3J	-0.7415
PPP2R2A	-0.4725
TEKT4	-0.286166666666667
PVALB	-2.8505
F10	-1.21716666666667
FAM134C	0.4351
COMP	4.57725
EFCBP1	-1.6516
SCLT1	1.647625
TAL1	-0.4062
ACSL1	1.0535
ABCC5	0.119916666666667
ABL1	-0.441333333333333
RBBP7	-0.685583333333333
PTPRG	-0.157875
NCOR1	-0.0257
SPINK4	-0.774
TXNRD1	-0.8574
TNRC15	1.031
C9orf138	-0.578
UBE2H	0.580166666666667
BRDT	0.865666666666666
C8orf31	0.04125
CCNE2	-2.14981818181818
SLC6A8	-2.281125
CALCR	-2.3755
PPP1CB	0.486
ABHD8	-0.46775
ARF5	-0.1739
SLC24A4	0.72575
CCT3	-0.73125
ZNF121	-0.19275
SLC3A2	-1.5327
OR13A1	0.0685
SLC5A10	-0.015
RAD50	-0.222375
IER5	0.54025
MTHFD1L	-1.394375
MBTPS2	-0.054
MVK	-1.3435
NCL	-0.1643
PSMD10	-0.8395
MOBP	0.207285714285714
FLJ32894	-2.13
HRH1	0.8905
C5orf30	0.58275
NUDT16L1	0.0603
RASGRP3	4.702
PRKRIP1	-0.2204
CCDC75	0.9955
LOC253970	0.2695
KIAA1239	1.4495
MED21	-0.5465
SYT11	1.4315
NTSR2	-0.026
EGFL11	1.022
CXorf59	0.0825
OR2A25	-0.236
SPTBN2	-1.453
LRMP	0.021
RNF111	0.12075
PTH	-0.529
LOC619208	0.879333333333333
KIAA0895	-0.38025
RANBP5	-0.927375
P2RY10	3.01066666666667
NME5	3.75383333333333
DDX21	-1.6865
LRSAM1	-0.7325
HDAC11	0.682833333333333
VMO1	1.977
NOLA2	-0.744333333333333
ADAR	0.59675
MTO1	-0.820166666666667
SF4	0.00499999999999999
P2RX1	0.346166666666667
HBM	0.458
EN2	1.327
C14orf172	0.0245
TM9SF2	-0.092
INHBE	-1.33316666666667
TCTE3	-0.199916666666667
TOX2	-0.998
CTAGE3	0.0915
HBB	4.347
MED15	-0.552833333333333
CASR	-0.225666666666667
C6orf66	-0.952166666666666
MTPN	-0.042375
UNC50	-0.267
C21orf33	0.1345
IRF2	1.177625
PGR	0.0705
GPR84	2.52825
CROCCL1	-2.07475
SRPX	0.1985
BRE	-0.142666666666667
FGF10	1.84425
SDC3	-0.0236666666666667
ZRSR1	0.724
DKFZP434P211	-1.199125
SOX6	0.7185
RPUSD2	-0.148
C14orf173	-0.158166666666667
MAPK11	0.707
TBC1D22A	1.0475
FAM123A	-0.749
COL4A6	-3.00016666666667
TOMM70A	-0.78925
NAB1	0.27525
MGC16385	-0.917375
TSPAN18	1.46416666666667
MED31	0.0625
PLG	-0.412
CAPSL	1.1065
ZNF532	1.5404
ASB14	-0.7465
CA8	-1.2585
NUDT16P	0.191166666666667
SLFN11	0.507
LRRIQ2	0.12525
NOL7	-0.191333333333333
BRMS1L	-1.134625
JARID1A	0.541
PANK2	-0.144
ICAM3	0.287
MDS1	-0.9885
TAF8	-0.775
RNF139	0.8295
ZNF594	0.0568333333333333
ADAM8	2.575875
SFTPC	-0.925375
MAN2B2	1.25325
RGS12	0.53675
EIF1AY	-4.157
LRRIQ1	-0.826833333333333
GPR150	1.3535
CCDC21	-2.26066666666667
PRRG3	0.76275
SAA4	-3.62125
RAPGEF5	2.5485
ZCCHC2	0.55875
MGC39372	-0.8185
PPP4R2	-0.1225
CDCA2	-2.54883333333333
OR4D5	0.303166666666667
PTGFRN	1.5403
SIGLEC5	1.7865
C19orf61	-0.322833333333333
NMUR2	-0.0185
KIAA1586	-0.287
DAGLA	0.226666666666667
CHCHD6	-0.51175
GPR32	0.721
NEUROD6	-1.9796
SLC2A4RG	0.012875
CA5B	0.2075
FBXL3	1.623
MPHOSPH9	-1.39625
HMG2L1	0.042
HCN4	0.832666666666667
CEACAM19	-0.1315
SH2D4B	0.745166666666667
HFE2	-0.481
TGM4	-0.1046
LYPD2	0.579
TBC1D15	0.23025
MRPS21	-0.0465
NONO	-1.3523
CLEC5A	2.134375
ITCH	-0.0314
MGAT3	-0.024
MBP	-0.3475
RPP25	-1.10725
SOSTDC1	-2.32375
HRC	-0.79475
TRIM48	-0.156
TMEM133	1.12575
ECEL1P2	-1.2015
HOXC11	-0.1675
DOK5	1.20125
HELZ	0.4895
LOC348180	-1.17875
MGC33894	-0.211
ADRB3	0.11
DMD	0.26575
PTRH2	-0.521
MPEG1	3.38733333333333
NDUFA12	0.369333333333333
KRTAP2-4	0.17825
STAMBPL1	-0.7844
ADCY2	0.7238
UNQ6125	0.261
KLHL20	0.158333333333333
SRM	-1.14175
OTC	-0.1615
TMIE	0.349166666666667
SNX8	-0.126
LIPK	-0.207
CHURC1	0.41575
KLC2	0.2735
HDAC1	-1.047
FAM128A	0.0975
FNDC3B	0.5506
MTCP1	-0.423833333333333
WFDC10B	0.8928
PCDHGB3	1.394
ATRNL1	-0.4589
CAV2	0.533
MED26	0.0766666666666667
DUS1L	-0.1375
CHRM3	-2.015125
NEK9	-0.1245
WARS2	0.6845
TBX22	1.203
TOMM40	-1.30825
RP6-213H19.1	-1.92866666666667
TUBGCP5	-0.929
IGSF6	5.927
TPPP	-0.197
UNQ6190	-0.3415
GSTM5	1.9295
BTD	0.394666666666667
PDCD1LG2	-0.0191666666666667
SNRPB2	-0.217
ERICH1	0.22175
APOA4	-1.05975
HOXA11	-1.024
NARG1	-0.384625
MKX	1.75025
RAB28	-0.423857142857143
PKP3	-0.0825
SH3GL2	-1.8035
CTSO	3.98225
RPN2	0.345375
IL28RA	-0.0466666666666666
SFMBT1	0.51375
WDR57	-0.910875
FER1L3	1.6295
HSF5	0.0142
TTC9B	0.21875
C4BPA	-3.08766666666667
ALB	-4.44585714285714
SORBS3	0.9555
UPF2	-0.1115
JPH1	-0.22
AGBL2	0.1655
DOPEY1	1.4675
TERF1	-0.191583333333333
KIF22	-1.4315
NINJ1	1.177
SEC61A2	-0.528416666666667
HIST1H1D	-0.824833333333333
SFXN4	-0.853875
UCP3	0.2923
ZNF703	1.02433333333333
MYL6B	-0.67575
TREM1	1.95975
OR52E6	0.0015
CKMT2	1.42225
HLA-C	2.417
SLC13A3	-1.41233333333333
TIMP4	0.747
SLIT2	3.663
RSF1	0.178555555555556
LONRF1	-0.8715
MON1A	0.187
CACNG6	-1.4255
DPPA4	-4.90333333333333
ZSWIM3	-0.12425
ZNF804A	0.606
CCIN	1.73975
SLC25A31	0.332
KCNMB4	1.3245
RABL5	0.174625
GALNS	-0.4769
STX6	0.90975
HIST1H1C	-2.6265
CIDEB	-0.276375
CASP4	0.956666666666667
PDK3	-0.4039
KCNJ11	0.83
TPR	-0.079
ZSCAN20	-0.085
MTX2	-0.2215
HIST1H2BH	-0.264
LOC283767	2.723
LYRM7	-0.919611111111111
BRD3	0.0816666666666667
HIST1H2BO	-1.28375
MAGEB10	-0.0305
SLC45A1	0.9185
SERPINA3	1.77305
KIAA0143	1.64875
KCNJ16	0.405166666666667
KRT79	-1.44425
FABP2	-1.1515
NUT	-0.657666666666667
ZNF57	-1.0105
FBXL4	0.055
CLEC9A	2.0255
UGT8	-0.656833333333333
BMP2K	1.4275
MAPK4	-2.89875
SLC25A23	-1.0239
HINT1	-0.472
KRTAP13-1	0.5205
SFXN5	0.1633
CHCHD2	-0.25875
FAM3D	1.014
NDP	0.5405
RHOBTB1	0.875833333333333
SLC4A4	1.420125
RPL38	-0.0355
HTF9C	-0.786833333333333
AP2A2	0.339375
ZBTB46	-0.497
MAP7D1	0.796125
AOX1	-0.295833333333333
CYR61	3.304
DTNA	-0.236214285714286
JRKL	0.76575
TMOD3	0.33525
EEA1	0.6254
ADCK5	-0.90575
IL1R1	2.2175
KLK3	0.890357142857143
HRSP12	-0.78675
KTN1	0.62275
LOH11CR2A	0.4822
RELL2	-1.6985
MAB21L1	2.0815
C20orf59	-1.3065
PHKB	-0.42725
ADAM2	-2.4596
TBC1D8B	1.65733333333333
FAM13A1	-0.4695
LAPTM4B	-1.96866666666667
LCN8	-1.032
TMEM147	0.325
SYT4	0.497666666666667
XPO7	-0.794
C9orf62	1.76175
GPR75	-0.7745
TRIM5	0.148375
APOC1	0.983166666666667
RNASE4	0.1115
PARD6B	-1.802
ARID1A	-0.29325
TPD52L3	-0.709375
RRAGB	0.467333333333333
RCN2	-0.615833333333333
HIST2H2BE	-0.5118125
STARD7	-0.4755
SHMT2	-1.76425
KIAA1751	-0.1042
MLYCD	-0.076375
LOC162632	-0.841
UQCRH	-1.883
RP11-217H1.1	0.21375
SDHA	-1.58966666666667
NCLN	-0.1825
ZNF17	0.754833333333333
RCBTB2	-0.2445
VEGFB	0.2371
RP4-747L4.3	0.564
COLQ	-0.2545
MPN2	-0.85
DRG2	-0.8555
KLRB1	6.494
ALPK2	-0.8765
DNASE2B	3.94525
FLJ23834	0.788166666666667
AXUD1	1.428
SAFB	-0.1548
NSUN4	-0.476
RFX2	0.1775
MAPK8IP1	-0.202
FANCD2	-1.69464285714286
ANKZF1	-1.90916666666667
C19orf50	-0.4715
DUSP8	1.1225
SENP5	-0.081625
NFKBIL2	-1.2375
LBR	-0.59275
IGFL1	2.6415
LZTS2	0.3005
IL2RG	0.4835
CCDC51	-0.673
KLF3	0.115625
ANKRD37	-0.0955
KCTD14	-1.49633333333333
FZR1	0.0536666666666667
SLC44A4	3.0842
ESPL1	-1.152875
GMPR2	-0.6363
TBC1D19	-0.079
ERGIC1	0.310333333333333
ERBB4	2.6463
TSPAN32	0.772
MAP4	-0.19775
GPHN	-0.7645
SLC6A2	0.2185
HIVEP1	0.88225
DFFB	-0.3851
EIF4EBP2	0.607375
DMRT1	-0.40725
HSPB6	0.2465
IER2	1.76283333333333
AIFM1	-0.5565
WWC2	0.3635
MRPL4	-1.004
FLJ21062	1.14316666666667
EPB41L4A	1.20275
SH2D6	-0.0565
TAF4B	-0.88075
GAL3ST3	-0.6185
MALT1	-0.4675
RTDR1	-0.39525
ARVCF	-0.23725
MEX3B	0.0198333333333334
FBXO16	1.2785
KIF7	-0.6755
C1QC	4.08033333333333
ZNF783	-1.05883333333333
ZNF85	-0.22775
MMP13	5.3245
KIAA0329	0.851
RTP3	-1.888
ZBED3	0.5335
CLGN	-1.9575
SLC25A37	-1.62391666666667
hCG_18290	-0.19325
OR5AS1	-2.113
SMARCC2	0.40575
FAM109A	-0.249
CCDC12	0.1035
USF2	0.1235
DEPDC7	-0.244
C20orf24	-0.8885
JMJD3	0.2715
DSP	-0.662714285714286
SLIC1	0.792875
FAM20A	2.232
IRF2BP2	0.799
ZNF230	-0.4425
MSN	0.576357142857143
SLC9A5	-1.6625
EPDR1	-0.8388
MUSK	0.331666666666667
ZNF434	-0.0165
SMARCD1	-0.748833333333333
