Hybridization REF	TCGA-B6-A0X7-01A-11R-A10J-07
PLEKHG4	-0.789
GRB2	0.3661
HIST1H2AD	-0.80875
DUS3L	-0.6525
EIF1	-0.328833333333333
RP5-1077B9.4	-0.881333333333333
FPGT	0.7535
GDF10	1.103
COQ9	-0.58175
GCC2	0.3585
RARRES3	2.810875
PLXNA1	-0.6442
KIAA0100	0.178
PMF1	0.33775
FNDC1	4.965
HS2ST1	-0.244166666666667
CRELD2	0.207
C8G	-1.9085
CD82	1.03925
LIM2	-1.1745
UNQ6490	0.014
MMP16	0.0865
DRD3	-0.091
C5orf26	-0.32675
C11orf73	-1.1545
PTP4A2	0.375125
OR4M2	0.028
HPCA	-1.84033333333333
SEC14L1	-1.103
CHFR	-0.47
EMILIN1	1.107125
NDUFS4	-0.00875
COL18A1	0.11825
PDZD3	-0.0587
C9orf16	0.0148333333333333
ERBB2IP	0.4715
EMX2	3.5925
FUS	-0.75725
TF	-2.8528
CLCN4	-0.229666666666667
CXorf56	-0.50875
C11orf72	0.12275
ELAC2	-0.861416666666666
NPR1	0.043
ASS1	-1.69683333333333
USP42	0.4155
POLR2J	-1.001
SEC23IP	0.651
UQCRC1	-0.481
LOC729603	-0.1845
C1orf71	0.486
POLG	-2.739
ADAM23	-2.823
TFR2	-1.50375
RICTOR	-0.3087
MGC39606	1.6155
C19orf55	-0.265625
SNAPC1	-1.57166666666667
GNA11	0.859625
CCDC52	-0.147833333333333
FSIP1	3.087
UPF3A	0.041875
IGSF11	-1.90516666666667
LAGE3	-0.3125
CHST6	0.332
UNC13B	0.2815
TTLL4	-0.730875
ZNF687	0.35775
SDC2	-1.3698
COX7A2	-0.24625
LAMB4	0.13675
FAM24A	0.043
LRRTM3	-0.472
GPHB5	0.000499999999999997
OR4C13	0.2225
EIF3EIP	0.5205
HABP4	-0.7685
TMEM125	2.854
CNTN2	-0.0345
ASNSD1	-0.41875
FUT4	-0.735
ACF	-2.9175
LOC158381	0.0205
CDH8	0.108
AGPS	-2.05233333333333
C4orf18	2.7115
PECI	0.45475
UNG	-0.671375
GSTP1	-0.84375
DCUN1D5	-2.20833333333333
DKFZP564J0863	-1.769
SLC9A3R1	0.007375
BCDO2	-0.483125
CHMP7	-0.88775
REM2	0.1995
DNHD1	-0.648875
FKBP4	-0.6745
ZNF350	2.3135
MGC11102	-0.665625
BST1	1.10725
KISS1R	0.9185
NCR2	0.111
DEFB125	0.078
UBE2W	1.125625
KRT15	1.728125
C10orf99	0.0375
SCN11A	0.352625
GFI1	-2.4685
RDHE2	1.0495
FHL1	-0.0728333333333333
OSGEP	-0.555333333333333
GATA1	-2.74033333333333
SMC6	-1.3565
TTTY14	-0.5575
LPIN3	-0.26
RPL4	-0.1718
RBPMS	0.1115
PRPF3	-0.5175
EMR1	-2.227
SPATA19	-0.0755
XCR1	0.0485
IRX3	1.7356
RBM6	0.1985
KLF4	-0.8973
UNC5CL	-0.25775
SEBOX	0.0025
BTK	-0.978
KRCC1	1.381
C6orf27	0.336
SYTL5	-0.6955
PRND	1.805
LOC653319	-1.6745
PIGL	-1.734
HUS1	-0.625833333333333
SFRS6	-0.858833333333333
C17orf77	0.1515
UIMC1	-0.408333333333333
FXYD2	-1.7733
LOC283152	-0.36475
ZNF667	-0.34725
ZCCHC12	-0.5145
TFEC	0.7598
ATP7B	0.4825
POLD2	-1.14333333333333
RG9MTD1	-0.23875
ACOT2	0.5915
HIST1H4I	-0.6645
PPARGC1A	-1.717
ETFA	-1.5879
POLRMT	-0.28725
ZNF146	0.3775
MIA2	-0.7835
KLHL6	-1.8495
HOXB5	-0.814375
NENF	1.38066666666667
CUGBP1	-0.167
PRSS22	0.673
CASC4	0.9484
CUL4B	0.1062
CENPJ	-1.1613
PITX1	-1.93666666666667
FLJ31033	0.725666666666667
CELSR3	-1.45966666666667
ZNF568	0.80175
ITSN1	0.152333333333333
EHBP1L1	-1.21883333333333
C19orf2	-0.60675
DCTN1	0.057
LIN28B	-2.4675
TNKS2	0.23875
C1QBP	-1.150375
CADPS2	1.46125
SRMS	0.0035
GJA9	0.0606666666666667
MGC24975	-0.095
TRIM45	0.738166666666667
TSP50	0.06325
TCP1	-1.32075
TMED7	-0.156
CMA1	0.8495
CENPL	-1.133
PTCRA	-0.4475
FST	-1.6385
VWCE	-3.3035
PAWR	-0.14975
ABCC12	-0.0951666666666667
LDLR	-0.7405
ASTN2	0.8297
LOC441212	-0.71175
GPATCH8	-0.19075
TANC2	-0.665
KIF4A	-2.7895
C18orf18	-1.05625
PGM1	-1.60325
KIAA0258	-0.227
CPD	0.394375
SNCAIP	-0.12525
DCT	-3.86566666666667
HLA-DOA	1.56290909090909
OR11L1	0.3505
UPK1B	-0.200666666666667
DNAJB4	-1.156125
UGT1A8	0.07125
HIST1H4L	0.7125
PECR	-1.388
HSPA2	1.86625
WFIKKN1	-1.8165
SERP1	0.520625
SYDE2	1.5065
TACR2	0.393
NUP85	-0.889
CD177	-0.481166666666667
LGR5	-1.21516666666667
PIGG	0.1065
PTHR1	-0.0115
RAB5A	0.0678
FLJ13224	0.031
USP9Y	-0.984333333333333
C7orf53	0.339
LRP1B	0.22025
XAF1	2.2304
ABCG8	-0.2435
ANKDD1A	-0.661333333333333
DAND5	-1.7965
SPAG6	0.193833333333333
LINCR	-0.26425
ZDHHC22	-1.359
CCDC60	-0.391
THOC7	-0.938
TCTA	0.558
OR8K3	-0.0215
NY-REN-7	-0.21175
B2M	0.568166666666667
C6orf141	-0.525625
LPPR4	2.32425
SQLE	-0.8755
SEPHS1	-0.49325
BTBD14B	0.299928571428571
PLRG1	-0.2545
SPG7	-0.489125
ZNF614	0.0526666666666667
PARD6G	0.963833333333333
INPP5B	-0.6109
GRPEL2	-0.711125
PPID	-0.6058
TRIM56	0.076
UBE2J1	-0.535875
IL20RA	4.64925
LOC387856	0.00925
C1orf107	0.6705
UTS2R	1.25525
C19orf22	-0.4325
SAFB2	0.5875
KIAA0652	0.047
KLRG1	-0.524666666666667
MS4A8B	1.00283333333333
FRAG1	-0.16625
KIAA1546	0.6315
E2F4	-1.5542
CLEC4M	0.1475
BTBD14A	-2.152
KIAA0999	0.6206
GYPA	-2.73083333333333
TAC1	0.3993
TRAIP	-1.44516666666667
KIAA0232	1.1062
ERCC8	-1.1815
GPX4	0.433375
KIAA0368	0.720375
GPR157	0.304
CTAGE4	0.8695
C9orf30	-1.624
OR52A1	0.0125
HSP90B3P	-0.856
ALG9	-0.756
BTBD10	0.258
SDK2	-0.09825
BAIAP3	-0.45175
RABGGTB	-1.62925
ANKRD40	-0.357333333333333
KRT74	0.194
CALCOCO2	0.0230714285714286
SNCA	-3.13975
TMSL8	-3.748
C2orf53	0.019
ESRRB	-0.2725
ARHGAP26	-1.427
TDRD9	-2.264
HRAS	-0.986833333333333
KLRC4	-2.487
JAGN1	-0.134
BSDC1	0.7115
RNF43	0.2443
NDUFAF1	-0.3275
PHF12	0.1145
OR1L3	0.152
FOLR2	0.593666666666667
LYZL6	0.0963333333333333
tcag7.1260	-2.32
WSB1	-0.9765
PROS1	-0.166
OSTN	0.0555
PSMB8	0.29725
SOCS4	-0.31975
DDIT4L	2.55475
MAS1	-0.1825
MGC34796	0.5765
CSHL1	0.160166666666667
TBCCD1	0.124666666666667
ZBTB7C	-0.051
AP2S1	-0.95175
P15RS	-0.5967
VAT1	-0.6779
SHANK3	0.727833333333333
TUFM	-0.455333333333333
THEG	-0.3815
KRT34	-1.6445
SGSM3	0.069125
TOMM22	-0.2915
SOCS3	0.1865
CPO	0.681
POP4	0.11325
BHLHB3	2.87925
MALL	1.24325
OR1B1	-0.0995
PARK2	0.588
GPR124	0.847
LCE1E	0.137
RUVBL2	-0.74425
CGRRF1	-0.0154
ACPL2	0.91925
WNT10B	-2.177
BAIAP2L2	-2.035875
ISCA1	0.6465
C1orf125	0.353875
RPAP1	-0.8365
RAI16	-0.164
RPL27	-0.15675
NLRP9	0.205
EPN1	-0.192
LOC388610	-0.87575
SLC35A1	0.6573
GAL	-3.67625
SLC14A2	-0.17425
RDH11	-0.258166666666667
FAM138F	-0.51
AUH	0.74
FLJ40243	0.13775
C14orf129	-0.32
MBD2	-0.534166666666667
ABHD14B	0.19925
PIGT	0.747375
ALS2CR4	-0.397
ALAS1	-0.2541
FOXO1	1.74283333333333
CRLF3	-0.825125
C20orf107	0.2525
FARS2	0.6275
CCDC28A	1.03975
NPHP3	-0.16025
OR13F1	0.0585
TSEN54	-0.46475
DEFB106B	0.0985
OR8B4	0.046
STH	2.64375
ZC3H14	-0.308375
CBX2	-0.551
TMEM49	-1.595
C6orf21	-0.0485
FLJ20920	1.3765
CRTAP	-0.236357142857143
DDX50	0.0885
STYXL1	-0.0165
BLVRB	-0.474833333333333
LOC147650	-0.220166666666667
MMP24	0.28125
GRID1	1.638
BANF1	-0.3275
CTAGEP	0.0815
HMBS	-2.495
SLC25A24	0.109666666666667
C14orf50	0.42025
MRO	-0.1165
SLC25A15	-0.0335
FAM84B	1.4539
TDP1	-1.519
C16orf78	-0.117666666666667
C11orf57	0.015125
RFK	-0.84375
ZFYVE9	-0.69175
STCH	-2.0764
WIBG	0.31475
LOC283871	-0.663
GBA2	-0.2543
NDUFB3	-0.282
HSD17B13	-0.05925
GRIN3A	0.339333333333333
FMNL1	-1.49883333333333
SEPT7	-0.1684
GNLY	2.2885
GRAMD1C	1.453
ZNF165	-0.0955
USP38	-0.0235
FAM83A	-2.73966666666667
C14orf24	0.416833333333333
ARMCX3	0.75225
ARHGDIB	1.07833333333333
AK1	-0.043375
KIAA1045	0.3225
DNAJB13	-0.186
NEU2	-0.1755
HIST1H4B	-0.483
FAM20B	-0.1702
HES2	0.353285714285714
FAM73B	-0.3188
LOC388381	-0.24575
INTS7	-0.229454545454545
AMPH	1.69875
ZNF775	0.071875
UCKL1	-0.9415
C10orf97	-0.1355
C1orf161	-0.116
ALDH1L1	0.52525
FLJ39378	-0.273375
SLC23A1	-0.1635
RBM4B	-0.04025
THAP4	0.2255
OGFRL1	-0.022
KIAA0831	0.8575
PPP1R15A	-0.277333333333333
C1orf96	-0.367071428571429
C12orf11	-2.19175
BMF	1.087875
MAN1A1	-0.27775
KIAA1600	0.692333333333333
NLGN4X	-0.26375
ALOX12	-0.76
RB1CC1	0.5412
NEIL2	0.3672
EIF4E	-0.0146818181818182
ABHD5	-0.86675
EXOC4	0.198666666666667
CIP29	-0.772166666666667
BATF2	0.0005
SLC29A4	-0.765375
HTR4	0.43675
EMB	-0.74075
TRAF6	0.324
LMNB1	-2.553
FAM19A5	-0.43375
SHE	1.79775
PIK3C2B	1.94875
C15orf15	-0.3584
USP15	-0.1407
TCEAL2	1.326
C5orf39	-0.204333333333333
PTGER2	0.70125
SLC31A1	-0.2159375
IFT172	0.50425
ADAM29	-0.0525
GFOD1	-0.27125
ST7L	0.585833333333333
C15orf26	-2.43475
PKN3	-1.14525
CNTD1	2.13233333333333
COMMD1	0.27775
NTRK2	1.927
FOXN3	1.173875
MFGE8	-0.8395
PFKFB2	0.659333333333333
TAS2R4	0.00825
ENTHD1	-0.0626666666666667
PRMT5	-0.849125
MGC16384	0.0595
LOC442229	-1.18875
TSKU	0.151375
KRTCAP3	1.69425
PDLIM1	0.2679
KCNS2	0.241
RNF126	-0.673
CEP63	0.5185
CLIC4	-0.547625
hCG_1990170	-0.19325
ACR	0.6266
KLK7	1.3265
ALOX5AP	1.99275
RIPK3	3.146
TAS2R9	0.222
C19orf18	0.8615
BIRC6	-0.127571428571429
ZNF16	1.737
RFT1	-0.5675
SLC8A2	-0.201
TACC1	0.45925
ITGAD	-0.02925
SAMHD1	0.53025
SH3PXD2B	1.2013
EPC2	1.14975
C20orf85	0.208
ATP13A2	-0.00549999999999999
KRT4	0.216
CAPNS1	-0.05475
MDM2	-0.357333333333333
PCDH20	2.06175
KCNK9	0.0225
OR2C1	0.0585
KLHDC3	-0.631
IPPK	0.5885
EFHD2	-0.999625
GALR3	0.99625
NBEA	1.58816666666667
ABCA6	2.3748
CLDN3	0.945833333333333
AKT2	-0.7285
EGFR	-1.5155
RBM16	0.598
ZDHHC3	-0.0058
SLC25A4	-0.450333333333333
CYB5B	-1.67866666666667
CPXM1	1.09575
NDRG1	-1.12046153846154
FLJ43826	0.1025
OR5L2	-0.0735
FARP2	0.0786
MRPL46	-0.765333333333333
LDHAL6B	0.297
MAPKAPK3	-0.307
NCAM2	0.01275
PRKD2	0.449333333333333
ZFP36L1	0.8207
CYSLTR1	0.085
OR4C3	1.569
HIST1H2AJ	0.2665
CCNB2	-3.27155555555556
ZNF10	0.770875
TMEM175	0.536
FAM134A	1.022
TIGD4	-0.2385
PCNP	-0.1625
MGC39715	0.95675
LQK1	-0.3205
CREB1	0.5587
TMPRSS3	2.45575
C4orf32	1.084375
LAT	-1.615
KCNA3	0.17
SKIV2L2	-0.85675
ROPN1B	-1.6845
tcag7.23	-0.1365
CDT1	-3.837625
ZHX2	1.84075
CD28	-4.0225
ZNF624	0.90175
SEPT2	0.0685
SOHLH2	-1.4725
MCOLN3	-0.407125
UNQ1945	0.249
MASP2	-1.071
ZNRF3	-0.148
GPATCH3	-0.316
AGL	0.59725
QRICH2	-0.4225
PSD4	1.1915
CCNB1IP1	-1.38425
ENPP7	-0.31275
OBFC1	0.0195
KCNG3	-1.901
C14orf79	1.00475
ENPEP	1.31833333333333
SCT	0.9875
SKI	0.79075
SEC61G	-1.51575
CAPN11	0.30375
ATXN7L3	-0.32875
DBNDD1	-0.914333333333333
FAIM	-0.249
ANKRD36	0.4045
GABRP	1.94433333333333
TACSTD2	1.44666666666667
EIF3J	-0.70175
PPP2R2A	-0.82175
TEKT4	0.146
PVALB	1.79116666666667
F10	-1.91783333333333
FAM134C	0.5448
COMP	5.231125
EFCBP1	-1.804875
SCLT1	1.31425
TAL1	-0.9237
ACSL1	1.2915
ABCC5	0.348166666666667
ABL1	-0.493388888888889
RBBP7	-0.734666666666667
PTPRG	0.32325
NCOR1	-0.2595
SPINK4	-1.18916666666667
TXNRD1	-1.9148
TNRC15	1.5275
C9orf138	0.864125
UBE2H	0.6955
BRDT	1.5055
C8orf31	-0.13125
CCNE2	-1.74763636363636
SLC6A8	-2.138
CALCR	-3.4415
PPP1CB	0.124
ABHD8	-0.16975
ARF5	0.6267
SLC24A4	0.197
CCT3	-0.12525
ZNF121	0.4705
SLC3A2	-1.1504
OR13A1	0.7595
SLC5A10	-0.1815
RAD50	-0.5505
IER5	0.1065
MTHFD1L	-2.436875
MBTPS2	-0.276
MVK	-0.523375
NCL	-0.1972
PSMD10	-0.88175
MOBP	0.1045
FLJ32894	-0.5155
HRH1	-0.676833333333333
C5orf30	-0.02225
NUDT16L1	0.9175
RASGRP3	2.63916666666667
PRKRIP1	-0.3856
CCDC75	0.71175
LOC253970	-0.02125
KIAA1239	0.1675
MED21	-0.98825
SYT11	-0.11625
NTSR2	-0.472
EGFL11	-0.0495
CXorf59	-0.0135
OR2A25	0.01675
SPTBN2	-1.38025
LRMP	-1.206
RNF111	0.14225
PTH	-0.159
LOC619208	0.494833333333333
KIAA0895	0.6305
RANBP5	-0.684
P2RY10	-0.00333333333333334
NME5	3.48383333333333
DDX21	-0.8555
LRSAM1	0.5595
HDAC11	0.7665
VMO1	1.14525
NOLA2	0.181333333333333
ADAR	0.592166666666667
MTO1	-0.850666666666667
SF4	0.515
P2RX1	0.086
HBM	-0.00249999999999999
EN2	1.129
C14orf172	0.09375
TM9SF2	0.5508
INHBE	-1.1755
TCTE3	-0.364333333333333
TOX2	-2.928
CTAGE3	0.259625
HBB	4.1046
MED15	-0.522333333333333
CASR	0.0295
C6orf66	-1.35316666666667
MTPN	-0.04225
UNC50	-0.16675
C21orf33	0.223875
IRF2	0.872375
PGR	-0.2
GPR84	0.62875
CROCCL1	-0.734
SRPX	-0.85175
BRE	0.498333333333333
FGF10	0.35775
SDC3	-0.5445
ZRSR1	0.734833333333333
DKFZP434P211	0.170875
SOX6	0.085
RPUSD2	-0.2065
C14orf173	-0.587416666666667
MAPK11	-0.325
TBC1D22A	0.725
FAM123A	-0.1975
COL4A6	-2.1015
TOMM70A	-0.20125
NAB1	-0.27575
MGC16385	-0.576375
TSPAN18	1.25766666666667
MED31	-0.76075
PLG	-0.27175
CAPSL	0.3315
ZNF532	0.6931
ASB14	-0.092
CA8	1.0895
NUDT16P	0.684833333333333
SLFN11	-0.5705
LRRIQ2	0.127
NOL7	-0.771333333333333
BRMS1L	-0.952375
JARID1A	0.452333333333333
PANK2	-0.9175
ICAM3	-0.2775
MDS1	0.00750000000000001
TAF8	-0.76275
RNF139	1.27975
ZNF594	-0.1875
ADAM8	-0.35775
SFTPC	-0.205375
MAN2B2	1.195625
RGS12	0.6266875
EIF1AY	-3.77958333333333
LRRIQ1	1.301
GPR150	1.471
CCDC21	-1.52633333333333
PRRG3	0.38075
SAA4	-2.85575
RAPGEF5	0.8285
ZCCHC2	0.74375
MGC39372	-0.498
PPP4R2	-0.310333333333333
CDCA2	-2.70116666666667
OR4D5	0.193
PTGFRN	0.6761
SIGLEC5	1.09333333333333
C19orf61	-0.606333333333333
NMUR2	-0.2005
KIAA1586	-0.673833333333333
DAGLA	0.0606666666666667
CHCHD6	0.28175
GPR32	0.125
NEUROD6	0.193166666666667
SLC2A4RG	0.23325
CA5B	0.28925
FBXL3	1.96275
MPHOSPH9	-1.90125
HMG2L1	0.3955
HCN4	0.872666666666667
CEACAM19	-0.045
SH2D4B	0.0561666666666667
HFE2	-0.1905
TGM4	-0.705333333333333
LYPD2	0.2675
TBC1D15	0.068
MRPS21	0.0729
NONO	-0.9688
CLEC5A	1.44475
ITCH	-0.327
MGAT3	-0.465166666666667
MBP	-0.2
RPP25	-1.0355
SOSTDC1	-0.14825
HRC	-0.839
TRIM48	-0.1095
TMEM133	-0.0415
ECEL1P2	-1.1435
HOXC11	-0.3
DOK5	-0.57025
HELZ	0.4665
LOC348180	-1.12825
MGC33894	-0.06625
ADRB3	0.1845
DMD	-0.154666666666667
PTRH2	-1.1785
MPEG1	0.982833333333333
NDUFA12	-0.228666666666667
KRTAP2-4	0.00741666666666666
STAMBPL1	-1.0995
ADCY2	0.804
UNQ6125	0.244
KLHL20	0.824166666666667
SRM	-1.23475
OTC	0.34475
TMIE	0.129666666666667
SNX8	-0.57525
LIPK	0.179
CHURC1	0.777333333333333
KLC2	0.0451666666666667
HDAC1	-0.387333333333333
FAM128A	0.0271666666666667
FNDC3B	-0.7184
MTCP1	-0.399333333333333
WFDC10B	-0.0689
PCDHGB3	-0.0345
ATRNL1	0.862
CAV2	-0.595875
MED26	-0.0966666666666667
DUS1L	0.09525
CHRM3	-0.631625
NEK9	0.26375
WARS2	0.5635
TBX22	0.1245
TOMM40	-1.00175
RP6-213H19.1	-1.9565
TUBGCP5	-0.251
IGSF6	2.89975
TPPP	0.072
UNQ6190	0.0035
GSTM5	1.392875
BTD	0.741666666666667
PDCD1LG2	-0.175
SNRPB2	-0.697166666666667
ERICH1	-0.787
APOA4	-1.4055
HOXA11	-0.87925
NARG1	-0.631125
MKX	1.07825
RAB28	-0.615071428571429
PKP3	0.315
SH3GL2	-0.35625
CTSO	2.2895
RPN2	0.02175
IL28RA	0.1825
SFMBT1	0.04925
WDR57	-0.713375
FER1L3	1.53358333333333
HSF5	0.291333333333333
TTC9B	-0.091
C4BPA	-3.01083333333333
ALB	-3.10342857142857
SORBS3	0.131
UPF2	-0.0165
JPH1	-0.6235
AGBL2	0.29925
DOPEY1	1.618
TERF1	0.14275
KIF22	-0.827333333333333
NINJ1	1.854
SEC61A2	-0.6245
HIST1H1D	-1.98733333333333
SFXN4	-0.043
UCP3	0.2549
ZNF703	0.811666666666667
MYL6B	-0.13325
TREM1	0.6075
OR52E6	-0.0035
CKMT2	2.27825
HLA-C	1.417375
SLC13A3	-1.12616666666667
TIMP4	-0.3965
SLIT2	2.633
RSF1	-0.190222222222222
LONRF1	-1.33678571428571
MON1A	-0.422833333333333
CACNG6	-1.40666666666667
DPPA4	-4.69983333333333
ZSWIM3	-0.1325
ZNF804A	0.0985
CCIN	0.94475
SLC25A31	-0.1245
KCNMB4	-0.19425
RABL5	0.162625
GALNS	-0.6786
STX6	0.9235
HIST1H1C	-2.765
CIDEB	0.005375
CASP4	-0.152
PDK3	-0.9631
KCNJ11	1.059
TPR	0.29175
ZSCAN20	-0.75
MTX2	-0.12375
HIST1H2BH	-1.282
LOC283767	2.49775
LYRM7	-0.811777777777778
BRD3	0.461666666666667
HIST1H2BO	-1.1925
MAGEB10	0.2145
SLC45A1	0.192
SERPINA3	0.81625
KIAA0143	1.5505
KCNJ16	1.19866666666667
KRT79	-0.14475
FABP2	-0.44175
NUT	0.1325
ZNF57	-0.24875
FBXL4	0.217125
CLEC9A	0.5415
UGT8	-1.06983333333333
BMP2K	0.153
MAPK4	-3.07675
SLC25A23	-0.3308
HINT1	-0.3328
KRTAP13-1	-0.245
SFXN5	0.291
CHCHD2	-0.171333333333333
FAM3D	0.8685
NDP	-1.191125
RHOBTB1	0.899166666666667
SLC4A4	-1.07875
RPL38	0.33375
HTF9C	-0.253833333333333
AP2A2	0.041
ZBTB46	-0.1425
MAP7D1	0.128
AOX1	-1.262
CYR61	0.255833333333333
DTNA	-0.786714285714286
JRKL	0.0275
TMOD3	-0.592
EEA1	-0.3644
ADCK5	0.06375
IL1R1	1.82633333333333
KLK3	0.449285714285714
HRSP12	-0.17475
KTN1	0.47675
LOH11CR2A	0.2973
RELL2	-1.83875
MAB21L1	1.224
C20orf59	-1.0845
PHKB	-0.351
ADAM2	-1.12
TBC1D8B	1.3945
FAM13A1	-0.512125
LAPTM4B	-0.796
LCN8	-0.00499999999999999
TMEM147	0.4185
SYT4	-0.075
XPO7	-1.0575
C9orf62	1.46
GPR75	-0.001
TRIM5	-0.256875
APOC1	-1.23066666666667
RNASE4	0.808833333333333
PARD6B	-1.33775
ARID1A	0.521166666666667
TPD52L3	0.0134
RRAGB	1.24266666666667
RCN2	-0.563166666666667
HIST2H2BE	-0.3268125
STARD7	-0.0245
SHMT2	-1.43725
KIAA1751	-0.00266666666666667
MLYCD	-0.493125
LOC162632	-0.669
UQCRH	-1.36575
RP11-217H1.1	0.26125
SDHA	-1.34883333333333
NCLN	-0.431
ZNF17	0.863666666666667
RCBTB2	-1.31
VEGFB	-0.5472
RP4-747L4.3	-0.1715
COLQ	0.5538
MPN2	-0.453
DRG2	-0.5635
KLRB1	2.107
ALPK2	-1.96925
DNASE2B	0.1845
FLJ23834	-0.115666666666667
AXUD1	0.333
SAFB	-0.0439
NSUN4	-0.377
RFX2	0.5075
MAPK8IP1	-0.107
FANCD2	-1.20321428571429
ANKZF1	-1.28683333333333
C19orf50	-0.647125
DUSP8	0.1315
SENP5	-0.759625
NFKBIL2	-0.671
LBR	-1.4565
IGFL1	0.116
LZTS2	0.531125
IL2RG	-1.02375
CCDC51	-0.228
KLF3	-0.00512500000000002
ANKRD37	-1.27575
KCTD14	-0.879833333333333
FZR1	-0.01175
SLC44A4	3.0704
ESPL1	-1.328375
GMPR2	-0.335
TBC1D19	-1.001
ERGIC1	0.216888888888889
ERBB4	2.5733
TSPAN32	0.0796666666666667
MAP4	-0.406625
GPHN	-0.531
SLC6A2	-0.017
HIVEP1	0.60525
DFFB	-0.2264
EIF4EBP2	0.234
DMRT1	-0.206
HSPB6	0.07775
IER2	0.198166666666667
AIFM1	-0.5175
WWC2	0.143833333333333
MRPL4	-0.787
FLJ21062	0.889333333333333
EPB41L4A	1.38375
SH2D6	-0.06375
TAF4B	-0.431
GAL3ST3	-0.4155
MALT1	-1.0155
RTDR1	-0.6015
ARVCF	-0.166875
MEX3B	-1.04816666666667
FBXO16	0.16
KIF7	-1.291
C1QC	3.13716666666667
ZNF783	-0.000999999999999996
ZNF85	0.04375
MMP13	3.0435
KIAA0329	0.509
RTP3	-0.1895
ZBED3	0.64525
CLGN	-1.44575
SLC25A37	-1.545
hCG_18290	0.49475
OR5AS1	-0.1845
SMARCC2	0.779083333333333
FAM109A	-0.2665
CCDC12	0.12425
USF2	0.2626
DEPDC7	-2.3375
C20orf24	-1.301
JMJD3	-0.108
DSP	1.35457142857143
SLIC1	-0.130625
FAM20A	0.41875
IRF2BP2	0.380375
ZNF230	-0.071
MSN	-0.960357142857143
SLC9A5	-2.0485
