Hybridization REF	TCGA-A2-A04Q-01A-21R-A034-07
ITSN1	-0.0452499999999999
EHBP1L1	-0.0266666666666667
C19orf2	-0.09075
DCTN1	-0.304
LIN28B	-3.43416666666667
TNKS2	-0.15075
C1QBP	-0.936375
CADPS2	1.1145
SRMS	0.07375
GJA9	-0.1286
MGC24975	-1.252
TRIM45	-1.49383333333333
TSP50	-0.55525
TCP1	-1.024
TMED7	-0.1839
CMA1	0.9175
CENPL	-0.102
PTCRA	0.372
FST	-3.88025
VWCE	-2.534
PAWR	-0.426
ABCC12	0.25
LDLR	-1.5795
ASTN2	0.3307
LOC441212	-0.561625
GPATCH8	-0.41125
TANC2	-1.72116666666667
KIF4A	-2.08925
C18orf18	-2.376
PGM1	-0.15725
KIAA0258	1.62375
CPD	0.845
SNCAIP	0.36475
DCT	-4.7935
HLA-DOA	4.07804545454545
OR11L1	0.83
UPK1B	-0.889
DNAJB4	-0.740125
UGT1A8	0.07625
HIST1H4L	0.4185
PECR	-2.05516666666667
HSPA2	-0.01825
WFIKKN1	-2.5755
SERP1	0.04325
SYDE2	0.077
TACR2	0.4715
NUP85	-0.264
CD177	-0.746333333333333
LGR5	-1.238
PIGG	-0.626083333333333
PTHR1	-2.13783333333333
RAB5A	-0.3902
FLJ13224	-0.0875
USP9Y	-2.6628
C7orf53	-1.4405
LRP1B	-1.158
XAF1	3.4768
ABCG8	0.994
ANKDD1A	-0.0953333333333333
DAND5	-1.905
SPAG6	0.677833333333333
LINCR	1.9825
ZDHHC22	-1.845875
CCDC60	0.942
THOC7	-1.04633333333333
TCTA	0.5591
OR8K3	0.16675
NY-REN-7	-0.3
B2M	2.5595
C6orf141	-2.74075
LPPR4	2.3015
SQLE	-1.10075
SEPHS1	0.1035
BTBD14B	0.566071428571429
PLRG1	-0.0235
SPG7	-0.657125
ZNF614	0.236166666666667
PARD6G	1.28933333333333
INPP5B	-0.5531
GRPEL2	-0.74375
PPID	-0.5824
TRIM56	-0.157
UBE2J1	0.568875
IL20RA	3.9455
LOC387856	0.49475
C1orf107	0.676666666666667
UTS2R	1.27525
C19orf22	-0.0955
SAFB2	0.33825
KIAA0652	0.113
KLRG1	-0.493666666666667
MS4A8B	0.0611666666666667
FRAG1	0.2425
KIAA1546	0.72925
E2F4	-0.8317
CLEC4M	0.469666666666667
BTBD14A	-0.47875
KIAA0999	0.8778
GYPA	-3.362
TAC1	0.2774
TRAIP	-0.981333333333334
KIAA0232	0.3392
ERCC8	-1.284
GPX4	0.486125
KIAA0368	0.295125
GPR157	-0.0553333333333333
CTAGE4	-0.5535
C9orf30	-0.732333333333333
OR52A1	1.199
HSP90B3P	0.108
ALG9	-1.2456
BTBD10	0.4405
SDK2	0.71075
BAIAP3	-1.975
RABGGTB	-1.189625
ANKRD40	-0.535
KRT74	-1.277
CALCOCO2	0.0985714285714286
SNCA	-3.736
TMSL8	-2.857375
C2orf53	0.206
ESRRB	-0.637
ARHGAP26	0.119375
TDRD9	-1.551
HRAS	-0.140166666666667
KLRC4	-1.4565
JAGN1	-0.0325
BSDC1	0.7355
RNF43	0.6126
NDUFAF1	-0.43325
PHF12	0.66275
OR1L3	-0.111
FOLR2	1.99033333333333
LYZL6	0.9416
tcag7.1260	-1.832
WSB1	-1.2335
PROS1	0.9258
OSTN	1.306
PSMB8	1.849
SOCS4	-0.648625
DDIT4L	0.784
MAS1	3.185
MGC34796	0.2795
CSHL1	0.613333333333333
TBCCD1	0.339166666666667
ZBTB7C	0.2975
AP2S1	-0.312375
P15RS	-0.433
VAT1	-0.876
SHANK3	1.409
TUFM	-0.0721666666666667
THEG	-0.61175
KRT34	-2.88225
SGSM3	0.2055
TOMM22	-0.02025
SOCS3	2.98216666666667
CPO	0.0975
POP4	0.38325
BHLHB3	2.57925
MALL	3.36
OR1B1	-0.3195
PARK2	1.36833333333333
GPR124	0.810375
LCE1E	0.206
RUVBL2	-0.37675
CGRRF1	-0.3998
ACPL2	0.3425
WNT10B	-1.670625
BAIAP2L2	-1.60675
ISCA1	-0.4155
C1orf125	-0.941625
RPAP1	-0.976
RAI16	0.276166666666667
RPL27	-0.71475
NLRP9	0.1425
EPN1	0.1085
LOC388610	-1.518125
SLC35A1	-0.123
GAL	-4.32125
SLC14A2	0.42475
RDH11	-0.717833333333333
FAM138F	-0.8355
AUH	-0.4925
FLJ40243	0.46225
C14orf129	-0.513333333333333
MBD2	-0.398166666666667
ABHD14B	-0.69725
PIGT	-0.020375
ALS2CR4	-0.217625
ALAS1	-0.02
FOXO1	1.93533333333333
CRLF3	0.06025
C20orf107	-1.2755
FARS2	0.39025
CCDC28A	0.57475
NPHP3	-0.66425
OR13F1	0.72
TSEN54	0.11525
DEFB106B	-0.180111111111111
OR8B4	-0.729
STH	0.4285
ZC3H14	-0.79075
CBX2	-1.9715
TMEM49	-1.09025
C6orf21	0.1895
FLJ20920	0.1885
CRTAP	-0.495428571428571
DDX50	-0.11275
STYXL1	-0.453
BLVRB	0.034
LOC147650	0.323
MMP24	-0.25
GRID1	2.1284
BANF1	-0.0475
CTAGEP	0.055
HMBS	-1.83275
SLC25A24	-0.821
C14orf50	-1.1825
MRO	0.517833333333333
SLC25A15	-1.012
FAM84B	-0.2175
TDP1	-0.417
C16orf78	0.398666666666667
C11orf57	0.308125
RFK	-1.015
ZFYVE9	0.2075
STCH	-0.7114
WIBG	-0.12025
LOC283871	-1.17516666666667
GBA2	-0.54
NDUFB3	-0.126
HSD17B13	-1.19566666666667
GRIN3A	3.15183333333333
FMNL1	0.659
SEPT7	0.0024
GNLY	5.9355
GRAMD1C	0.551333333333333
ZNF165	-0.187
USP38	1.089
FAM83A	-3.18083333333333
C14orf24	0.22525
ARMCX3	0.046375
ARHGDIB	0.916
AK1	-0.2045
KIAA1045	0.006
DNAJB13	-0.18
NEU2	0.03
HIST1H4B	-0.0621666666666667
FAM20B	-0.4323
HES2	-0.505214285714286
FAM73B	-0.7821
LOC388381	-0.8905
INTS7	-0.216272727272727
AMPH	1.03775
ZNF775	0.2525
UCKL1	-0.917666666666667
C10orf97	-0.71475
C1orf161	-0.2505
ALDH1L1	-1.7145
FLJ39378	-0.302875
SLC23A1	-2.022
RBM4B	0.1805
THAP4	0.281166666666667
OGFRL1	2.015
KIAA0831	0.04475
PPP1R15A	0.048
C1orf96	0.661214285714286
C12orf11	-1.529
BMF	1.265
MAN1A1	-0.31375
KIAA1600	1.544
NLGN4X	0.0135
ALOX12	-2.025
RB1CC1	1.171
NEIL2	0.6079
EIF4E	-0.037
ABHD5	-0.76425
EXOC4	0.074
CIP29	-0.415166666666667
BATF2	3.84
SLC29A4	-0.55625
HTR4	1.17
EMB	0.24125
TRAF6	0.81275
LMNB1	-0.25875
FAM19A5	-1.43875
SHE	1.89325
PIK3C2B	0.91775
C15orf15	-1.2598
USP15	0.1011
TCEAL2	0.793
C5orf39	0.971333333333333
PTGER2	-0.28425
SLC31A1	-0.3893125
IFT172	0.3075
ADAM29	0.22525
GFOD1	1.09
ST7L	0.12
C15orf26	-3.696
PKN3	-1.283
CNTD1	0.0735
COMMD1	0.017
NTRK2	4.40008333333333
FOXN3	0.85625
MFGE8	0.3078
PFKFB2	1.13066666666667
TAS2R4	-0.00699999999999999
ENTHD1	3.0425
PRMT5	-1.45625
MGC16384	-0.85075
LOC442229	1.10675
TSKU	0.65825
KRTCAP3	-0.630875
PDLIM1	0.3711
KCNS2	-0.16975
RNF126	-0.8665
CEP63	-0.354625
CLIC4	0.448125
hCG_1990170	2.39025
ACR	0.2882
KLK7	1.589
ALOX5AP	4.518125
RIPK3	3.76
TAS2R9	0.238
C19orf18	0.395
BIRC6	-0.190714285714286
ZNF16	1.4845
RFT1	-0.25175
SLC8A2	-0.7555
TACC1	1.546375
ITGAD	3.0715
SAMHD1	2.29875
SH3PXD2B	1.6968
EPC2	1.07225
C20orf85	0.782625
ATP13A2	0.0891666666666667
KRT4	0.421
CAPNS1	-0.184
MDM2	-0.0319166666666667
PCDH20	0.61425
KCNK9	1.1255
OR2C1	-1.406
KLHDC3	-0.781833333333333
IPPK	-0.677
EFHD2	0.50725
GALR3	1.107
NBEA	0.557
ABCA6	2.8361
CLDN3	1.565
AKT2	-0.241285714285714
EGFR	0.9609
RBM16	0.386
ZDHHC3	-0.1884
SLC25A4	-1.91716666666667
CYB5B	-1.8615
CPXM1	-0.773
NDRG1	-0.103384615384615
FLJ43826	-0.0055
OR5L2	0.16
FARP2	-0.1361
MRPL46	-0.7035
LDHAL6B	0.241166666666667
MAPKAPK3	-0.0655
NCAM2	-3.22225
PRKD2	0.653666666666667
ZFP36L1	1.636
CYSLTR1	0.8125
OR4C3	0.406
HIST1H2AJ	0.7235
CCNB2	-1.65777777777778
ZNF10	0.2705
TMEM175	0.7295
FAM134A	0.606833333333333
TIGD4	-0.521
PCNP	-0.48325
MGC39715	-0.00125
LQK1	-0.61075
CREB1	0.3416
TMPRSS3	-1.27625
C4orf32	-0.62575
LAT	0.45525
KCNA3	0.8515
SKIV2L2	-0.456
ROPN1B	0.54375
tcag7.23	-0.4765
CDT1	-2.903875
ZHX2	1.190625
CD28	-0.8715
ZNF624	0.8365
SEPT2	0.239666666666667
SOHLH2	-2.565
MCOLN3	-0.79925
UNQ1945	0.9435
MASP2	-1.188
ZNRF3	0.5621
GPATCH3	-0.37975
AGL	0.32025
QRICH2	-4.169
PSD4	0.7835
CCNB1IP1	-2.02825
ENPP7	-0.1885
OBFC1	0.08325
KCNG3	-2.29975
C14orf79	0.0116666666666667
ENPEP	1.22766666666667
SCT	1.039
SKI	1.13075
SEC61G	-0.2525
CAPN11	-0.00900000000000004
ATXN7L3	-0.02775
DBNDD1	-0.998333333333333
FAIM	0.62375
ANKRD36	0.475
GABRP	5.70566666666667
TACSTD2	0.3385
EIF3J	-0.628
PPP2R2A	-0.87225
TEKT4	-0.0992
PVALB	-3.88733333333333
F10	-2.77716666666667
FAM134C	0.5662
COMP	5.089125
EFCBP1	-2.49075
SCLT1	1.419125
TAL1	-1.5445
ACSL1	1.40025
ABCC5	-0.04725
ABL1	-0.353111111111111
RBBP7	-0.228416666666667
PTPRG	0.4485
NCOR1	-0.0715
SPINK4	-2.7446
TXNRD1	-0.5154
TNRC15	1.3035
C9orf138	1.467
UBE2H	0.5775
BRDT	0.2234
C8orf31	-0.18775
CCNE2	-1.35563636363636
SLC6A8	-1.980875
CALCR	-3.7295
PPP1CB	-0.0391666666666667
ABHD8	-0.3455
ARF5	-0.2077
SLC24A4	1.7665
CCT3	0.56125
ZNF121	0.5895
SLC3A2	-1.4767
OR13A1	0.233
SLC5A10	-0.225
RAD50	-0.518125
IER5	0.472375
MTHFD1L	-1.650375
MBTPS2	0.353
MVK	-1.514625
NCL	0.0714
PSMD10	-1.3015
MOBP	0.132142857142857
FLJ32894	-1.0735
HRH1	-0.082
C5orf30	-1.1275
NUDT16L1	-0.2224
RASGRP3	5.297
PRKRIP1	-0.2606
CCDC75	0.569
LOC253970	0.4835
KIAA1239	0.72475
MED21	-0.3095
SYT11	1.22425
NTSR2	-0.335
EGFL11	0.955
CXorf59	2.2385
OR2A25	0.38775
SPTBN2	-0.03525
LRMP	0.545166666666667
RNF111	-0.18975
PTH	0.515
LOC619208	0.525
KIAA0895	1.23
RANBP5	-1.181
P2RY10	3.51983333333333
NME5	0.348666666666667
DDX21	-0.10475
LRSAM1	-0.018
HDAC11	-0.4965
VMO1	2.51125
NOLA2	-0.688166666666667
ADAR	1.28333333333333
MTO1	-1.07716666666667
SF4	-0.226666666666667
P2RX1	1.19816666666667
HBM	-0.00924999999999999
EN2	1.602
C14orf172	-0.08675
TM9SF2	0.0629
INHBE	-1.648
TCTE3	-0.395666666666667
TOX2	-0.78575
CTAGE3	0.22975
HBB	3.6312
MED15	-0.5205
CASR	0.08075
C6orf66	-0.446833333333333
MTPN	1.388875
UNC50	-0.0035
C21orf33	0.070375
IRF2	1.634625
PGR	-1.3045
GPR84	4.54825
CROCCL1	-2.26825
SRPX	-1.72825
BRE	0.105333333333333
FGF10	1.2575
SDC3	0.5095
ZRSR1	0.515833333333333
DKFZP434P211	-0.32075
SOX6	0.522
RPUSD2	-1.318
C14orf173	-0.33325
MAPK11	0.0443333333333334
TBC1D22A	0.4545
FAM123A	-1.129
COL4A6	-2.79783333333333
TOMM70A	-0.00575
NAB1	0.403625
MGC16385	-0.280125
TSPAN18	0.715166666666667
MED31	-0.5125
PLG	-0.6545
CAPSL	0.346
ZNF532	1.3257
ASB14	0.28825
CA8	0.0435
NUDT16P	0.541833333333333
SLFN11	0.732
LRRIQ2	0.695875
NOL7	-0.477
BRMS1L	-0.98975
JARID1A	1.43266666666667
PANK2	-0.145
ICAM3	-0.31025
MDS1	2.481
TAF8	0.04325
RNF139	1.013
ZNF594	-0.0275
ADAM8	3.39925
SFTPC	-0.26
MAN2B2	0.3995
RGS12	0.32475
EIF1AY	-5.17290909090909
LRRIQ1	0.842333333333333
GPR150	1.6265
CCDC21	-1.721
PRRG3	0.437
SAA4	-2.3465
RAPGEF5	1.903
ZCCHC2	0.0896666666666667
MGC39372	1.5265
PPP4R2	0.4345
CDCA2	-1.15833333333333
OR4D5	0.0148333333333333
PTGFRN	0.6124
SIGLEC5	2.44083333333333
C19orf61	-0.169666666666667
NMUR2	0.2765
KIAA1586	-1.05916666666667
DAGLA	0.2885
CHCHD6	-0.12675
GPR32	0.085
NEUROD6	0.7466
SLC2A4RG	0.3750625
CA5B	0.142
FBXL3	0.4095
MPHOSPH9	-1.049
HMG2L1	0.19875
HCN4	1.12766666666667
CEACAM19	0.05525
SH2D4B	1.03883333333333
HFE2	-0.8155
TGM4	-0.3715
LYPD2	0.3745
TBC1D15	0.2205
MRPS21	0.0531
NONO	-1.1706
CLEC5A	2.227375
ITCH	0.4074
MGAT3	0.941166666666667
MBP	-0.4505
RPP25	-1.08225
SOSTDC1	-0.723
HRC	-2.403
TRIM48	0.7915
TMEM133	0.58275
ECEL1P2	-1.87075
HOXC11	-0.724
DOK5	-0.42075
HELZ	0.734833333333333
LOC348180	-0.6705
MGC33894	0.526
ADRB3	0.05
DMD	0.519916666666667
PTRH2	-0.1305
MPEG1	4.53083333333333
NDUFA12	-0.162166666666667
KRTAP2-4	-0.00816666666666666
STAMBPL1	-0.615
ADCY2	2.5062
UNQ6125	0.608
KLHL20	0.311166666666667
SRM	-0.721
OTC	-0.30675
TMIE	1.54916666666667
SNX8	0.73525
LIPK	-0.8915
CHURC1	0.454833333333333
KLC2	0.415666666666667
HDAC1	-0.274833333333333
FAM128A	0.00750000000000001
FNDC3B	0.8581
MTCP1	-0.684666666666667
WFDC10B	1.4229
PCDHGB3	1.0605
ATRNL1	-2.2986
CAV2	-1.633125
MED26	0.130166666666667
DUS1L	0.17375
CHRM3	-0.270625
NEK9	-0.13225
WARS2	0.0285
TBX22	0.5
TOMM40	-0.1815
RP6-213H19.1	-1.43133333333333
TUBGCP5	-0.89175
IGSF6	6.54125
TPPP	-0.255333333333333
UNQ6190	0.251
GSTM5	0.08125
BTD	-0.7225
PDCD1LG2	1.765
SNRPB2	-0.487
ERICH1	0.06025
APOA4	-1.60725
HOXA11	-2.024
NARG1	-0.2985
MKX	-1.75275
RAB28	-0.671071428571429
PKP3	0.6855
SH3GL2	-2.604
CTSO	2.975
RPN2	0.9861875
IL28RA	0.296166666666667
SFMBT1	0.6245
WDR57	-1.279125
FER1L3	0.871833333333333
HSF5	0.584833333333333
TTC9B	0.5925
C4BPA	-0.885833333333333
ALB	-3.62171428571429
SORBS3	-0.046625
UPF2	0.9475
JPH1	1.6975
AGBL2	-1.29925
DOPEY1	1.3355
TERF1	0.728333333333333
KIF22	-0.743833333333333
NINJ1	0.7365
SEC61A2	0.381833333333333
HIST1H1D	0.586666666666667
SFXN4	0.530625
UCP3	0.3588
ZNF703	0.661
MYL6B	-0.60975
TREM1	1.23225
OR52E6	0.468
CKMT2	1.84725
HLA-C	3.391
SLC13A3	-2.51316666666667
TIMP4	-2.5675
SLIT2	2.90775
RSF1	0.448777777777778
LONRF1	-1.153
MON1A	0.00183333333333333
CACNG6	-1.33133333333333
DPPA4	-4.97466666666667
ZSWIM3	0.2445
ZNF804A	1.0028
CCIN	2.1435
SLC25A31	0.225
KCNMB4	-1.0075
RABL5	-0.019875
GALNS	-0.6572
STX6	1.839625
HIST1H1C	-0.176
CIDEB	0.171375
CASP4	1.1555
PDK3	0.5948
KCNJ11	-0.9805
TPR	0.616625
ZSCAN20	-2.2645
MTX2	-0.43125
HIST1H2BH	-0.25875
LOC283767	0.61775
LYRM7	-1.82205555555556
BRD3	1.21
HIST1H2BO	-0.63725
MAGEB10	-0.153
SLC45A1	-0.64925
SERPINA3	3.17315
KIAA0143	1.52325
KCNJ16	2.18616666666667
KRT79	-0.39
FABP2	-1.2265
NUT	0.70525
ZNF57	-0.8605
FBXL4	-0.589125
CLEC9A	2.7705
UGT8	-0.848833333333333
BMP2K	1.49075
MAPK4	-0.489
SLC25A23	-0.7128
HINT1	-0.9817
KRTAP13-1	-0.1025
SFXN5	-0.7673
CHCHD2	-0.0495833333333333
FAM3D	3.464
NDP	0.712625
RHOBTB1	0.117166666666667
SLC4A4	-1.234625
RPL38	0.11175
HTF9C	-0.853333333333333
AP2A2	0.093
ZBTB46	0.117
MAP7D1	0.230375
AOX1	-1.84333333333333
CYR61	0.890166666666667
DTNA	-1.70614285714286
JRKL	0.653
TMOD3	-0.49725
EEA1	-0.0302
ADCK5	0.334
IL1R1	2.60116666666667
KLK3	1.09792857142857
HRSP12	0.7885
KTN1	0.25175
LOH11CR2A	0.3123
RELL2	-1.5275
MAB21L1	1.194
C20orf59	-1.2945
PHKB	0.5325
ADAM2	-2.11766666666667
TBC1D8B	0.220833333333333
FAM13A1	0.2369375
LAPTM4B	0.689583333333333
LCN8	-0.224
TMEM147	0.6195
SYT4	0.195833333333333
XPO7	-0.755
C9orf62	1.82375
GPR75	0.7
TRIM5	1.052
APOC1	0.649166666666667
RNASE4	-1.3595
PARD6B	-2.7755
ARID1A	0.43
TPD52L3	0.4913
RRAGB	1.19
RCN2	-0.689666666666667
HIST2H2BE	0.4383125
STARD7	0.8555
SHMT2	-1.417
KIAA1751	0.0366666666666667
MLYCD	-0.0375
LOC162632	0.3124
UQCRH	-1.11425
RP11-217H1.1	0.4565
SDHA	-1.52
NCLN	0.1569
ZNF17	0.907166666666667
RCBTB2	-1.3555
VEGFB	-0.6185
RP4-747L4.3	1.77075
COLQ	-0.0768
MPN2	-1.757
DRG2	-0.5205
KLRB1	8.14375
ALPK2	-1.27
DNASE2B	0.0435
FLJ23834	-0.323666666666667
AXUD1	1.0115
SAFB	0.1923
NSUN4	-0.3325
RFX2	-0.610833333333333
MAPK8IP1	-1.23933333333333
FANCD2	-0.864571428571429
ANKZF1	-1.36566666666667
C19orf50	-0.819375
DUSP8	1.103125
SENP5	-0.09725
NFKBIL2	-0.074
LBR	-0.146875
IGFL1	-0.572
LZTS2	0.727
IL2RG	2.17275
CCDC51	-0.205
KLF3	-0.0585
ANKRD37	-1.51475
KCTD14	-0.621333333333333
FZR1	0.151666666666667
SLC44A4	-0.6895
ESPL1	-1.40575
GMPR2	-1.2491
TBC1D19	-0.868833333333333
ERGIC1	-0.523518518518519
ERBB4	-0.00180000000000001
TSPAN32	0.906083333333333
MAP4	-0.073125
GPHN	-0.83175
SLC6A2	2.16
HIVEP1	1.293
DFFB	0.0348
EIF4EBP2	0.55925
DMRT1	-1.08833333333333
HSPB6	0.00850000000000001
IER2	0.206833333333333
AIFM1	0.153
WWC2	-0.00258333333333334
MRPL4	-0.675
FLJ21062	0.00816666666666667
EPB41L4A	0.35325
SH2D6	0.207
TAF4B	0.3155
GAL3ST3	-0.8415
MALT1	-0.0686666666666667
RTDR1	-0.02875
ARVCF	-1.02875
MEX3B	-0.0905
FBXO16	0.01
KIF7	-1.744
C1QC	4.601
ZNF783	-0.532833333333333
ZNF85	-0.9675
MMP13	3.9525
KIAA0329	0.23525
RTP3	4.999
ZBED3	0.1775
CLGN	-4.407
SLC25A37	-0.548208333333333
hCG_18290	-0.44725
OR5AS1	0.248
SMARCC2	0.53075
FAM109A	-0.152
CCDC12	-0.02
USF2	0.6751
DEPDC7	-1.893
C20orf24	0.271833333333333
JMJD3	0.9285
DSP	1.56892857142857
SLIC1	1.60175
FAM20A	4.07375
IRF2BP2	1.962375
ZNF230	0.556
MSN	1.53078571428571
SLC9A5	-2.3125
EPDR1	-2.1746
MUSK	0.0268
ZNF434	0.00750000000000002
SMARCD1	-0.274
