Hybridization REF	TCGA-AN-A0AT-01A-11R-A034-07
USP6NL	1.5765
ABCD4	-0.5175
DIMT1L	-0.824
TEK	-0.14175
SLC25A46	-0.8125
LARP7	-1.9552
CD160	0.756
MT1JP	2.11616666666667
PHF20	-0.421
CPNE4	-1.2445
GTPBP1	-0.0108571428571428
RAB33B	-0.428666666666667
ALDOC	-2.80325
ZNF212	-0.648
NUDT1	0.300333333333333
RFPL2	-1.468
ZNF83	-0.427333333333333
GDPD5	-0.362875
PDCD4	1.2081
CEP350	-0.02525
OR10A2	0.334
CST7	1.16825
CIAO1	0.2035
SELL	1.1595
OR8J3	0.142
LTBP4	-0.707333333333333
SIRT6	-0.107
CCL19	5.03725
PPIL1	0.943833333333333
GBP7	-0.0461666666666667
STK17A	-0.5838
ABR	-0.539
OR9G1	-0.1295
FOXE1	0.073375
CNGA3	-0.0925
GML	0.422
CD38	-0.511
ZDHHC6	0.871333333333333
NEFH	2.12775
CTDSP2	-0.318833333333333
PGBD5	-2.24266666666667
CCNY	0.846
RMND5B	-0.468916666666667
ZNF257	-0.70325
FLJ22167	0.530125
EXOSC7	0.6355
ROR2	-0.15175
MAOA	-1.52075
TNNT3	0.201833333333333
GYPC	-1.08275
C7orf33	0.7485
PLIN	0.539
LOC90826	-0.5255
RNF4	-0.7994
F8A1	0.2115
PLEKHG4	-0.04
GRB2	-0.21945
HIST1H2AD	-0.99575
DUS3L	-0.3715
EIF1	-0.268
RP5-1077B9.4	-1.0605
FPGT	0.334
GDF10	-1.41
COQ9	0.561
GCC2	0.235
RARRES3	0.48
PLXNA1	-0.4341
KIAA0100	0.1209
PMF1	-0.65
FNDC1	5.66975
HS2ST1	0.0575
CRELD2	-0.4125
C8G	-1.346
CD82	0.53775
LIM2	-1.137
UNQ6490	-0.192
MMP16	1.0245
DRD3	-0.192
C5orf26	-0.73925
C11orf73	0.78575
PTP4A2	0.524
OR4M2	0.4445
HPCA	-1.54783333333333
SEC14L1	-0.433166666666667
CHFR	0.483375
EMILIN1	1.156375
NDUFS4	-1.06975
COL18A1	-0.628875
PDZD3	0.0617
C9orf16	-0.1205
ERBB2IP	-0.751333333333333
EMX2	2.65325
FUS	-0.66875
TF	-3.6533
CLCN4	1.75933333333333
CXorf56	0.769
C11orf72	0.323
ELAC2	-0.7935
NPR1	-1.55375
ASS1	-0.6905
USP42	-0.22775
POLR2J	-1.0525
SEC23IP	-0.415666666666667
UQCRC1	-0.0955
LOC729603	-0.58525
C1orf71	-0.137
POLG	0.335
ADAM23	-3.3535
TFR2	-0.87575
RICTOR	-1.8775
MGC39606	1.25375
C19orf55	0.549
SNAPC1	-0.898666666666667
GNA11	0.32075
CCDC52	-0.833666666666667
FSIP1	-0.679
UPF3A	-1.235125
IGSF11	-1.71166666666667
LAGE3	0.4815
CHST6	0.1025
UNC13B	-0.905375
TTLL4	1.0425
ZNF687	-0.1635
SDC2	-1.0672
COX7A2	-0.049
LAMB4	-0.44525
FAM24A	-0.0725
LRRTM3	-1.2355
GPHB5	0.79275
OR4C13	0.6935
EIF3EIP	1.10978571428571
HABP4	0.5025
TMEM125	3.53875
CNTN2	0.089125
ASNSD1	0.97475
FUT4	0.846625
ACF	-3.75725
LOC158381	-0.055
CDH8	-0.1255
AGPS	0.454666666666667
C4orf18	-0.158875
PECI	0.15325
UNG	0.2225
GSTP1	0.533
DCUN1D5	-0.951666666666667
DKFZP564J0863	1.64675
SLC9A3R1	-1.531625
BCDO2	-1.25175
CHMP7	-0.200875
REM2	-0.225
DNHD1	-0.54375
FKBP4	-0.330625
ZNF350	0.9935
MGC11102	0.432875
BST1	0.19975
KISS1R	0.7915
NCR2	0.619
DEFB125	0.489
UBE2W	1.122
KRT15	3.19375
C10orf99	0.324
SCN11A	0.051
GFI1	-1.18825
RDHE2	2.587
FHL1	-2.23083333333333
OSGEP	0.52
GATA1	-3.36466666666667
SMC6	0.96225
TTTY14	-1.61775
LPIN3	0.287
RPL4	0.6325
RBPMS	-1.6135
PRPF3	-0.0185
EMR1	-2.477
SPATA19	-0.01225
XCR1	0.597
IRX3	1.7405
RBM6	-1.1
KLF4	-0.5049
UNC5CL	-1.86025
SEBOX	0.495
BTK	-1.0435
KRCC1	0.87625
C6orf27	0.599
SYTL5	-1.347
PRND	0.74625
LOC653319	-1.3645
PIGL	-1.508
HUS1	0.5885
SFRS6	0.19125
C17orf77	0.2645
UIMC1	-2.09
FXYD2	-1.7057
LOC283152	0.54275
ZNF667	1.33825
ZCCHC12	-0.53775
TFEC	2.7455
ATP7B	-1.23283333333333
POLD2	0.263333333333333
RG9MTD1	0.2185
ACOT2	-0.555833333333333
HIST1H4I	-0.996
PPARGC1A	-1.4473
ETFA	-1.2518
POLRMT	0.0385
ZNF146	0.5755
MIA2	-1.684
KLHL6	-0.750333333333333
HOXB5	-1.896875
NENF	0.5935
CUGBP1	1.1615
PRSS22	1.034
CASC4	0.5273
CUL4B	0.1175
CENPJ	-0.7
PITX1	-0.9025
FLJ31033	0.0413333333333333
CELSR3	-1.00666666666667
ZNF568	0.432
ITSN1	-0.0546666666666667
EHBP1L1	-0.1815
C19orf2	1.01175
DCTN1	0.3995
LIN28B	-1.972
TNKS2	-1.061
C1QBP	-0.30025
CADPS2	0.24525
SRMS	0.4055
GJA9	0.195
MGC24975	0.0505
TRIM45	0.235333333333333
TSP50	1.909
TCP1	0.30175
TMED7	-0.1094
CMA1	0.87
CENPL	-0.535166666666667
PTCRA	-0.1455
FST	-4.442
VWCE	-4.34325
PAWR	1.459
ABCC12	0.443
LDLR	-0.059
ASTN2	0.2809
LOC441212	0.342875
GPATCH8	-0.277
TANC2	-0.760833333333333
KIF4A	-0.25275
C18orf18	-0.27125
PGM1	-0.90325
KIAA0258	1.5855
CPD	0.4205
SNCAIP	-0.53325
DCT	-4.14216666666667
HLA-DOA	2.83463636363636
OR11L1	0.5115
UPK1B	4.28133333333333
DNAJB4	-0.459875
UGT1A8	-0.3825
HIST1H4L	-0.179
PECR	-0.296
HSPA2	1.283
WFIKKN1	-2.618
SERP1	-0.5715
SYDE2	0.3775
TACR2	0.6685
NUP85	0.07525
CD177	-0.674
LGR5	2.73616666666667
PIGG	-0.618833333333333
PTHR1	-2.01933333333333
RAB5A	0.3918
FLJ13224	0.4305
USP9Y	-2.12216666666667
C7orf53	-0.9885
LRP1B	-0.88025
XAF1	0.7299
ABCG8	-0.679
ANKDD1A	-0.0755
DAND5	-1.735
SPAG6	-0.161
LINCR	2.0895
ZDHHC22	-1.686625
CCDC60	0.4745
THOC7	-1.248
TCTA	0.597
OR8K3	0.38275
NY-REN-7	-1.07825
B2M	0.718166666666667
C6orf141	-1.606875
LPPR4	2.0375
SQLE	-0.098
SEPHS1	0.9715
BTBD14B	0.402214285714286
PLRG1	-0.19425
SPG7	-0.309125
ZNF614	-0.0291666666666667
PARD6G	0.563333333333333
INPP5B	0.9579
GRPEL2	0.350625
PPID	-0.6253
TRIM56	-1.3125
UBE2J1	1.293
IL20RA	1.732
LOC387856	0.419
C1orf107	0.33575
UTS2R	0.4445
C19orf22	0.26525
SAFB2	-0.16125
KIAA0652	0.569625
KLRG1	-0.4475
MS4A8B	0.0195
FRAG1	0.896
KIAA1546	0.37075
E2F4	-0.2911
CLEC4M	0.319
BTBD14A	1.485
KIAA0999	0.2756
GYPA	-4.44916666666667
TAC1	-0.1556
TRAIP	-1.13483333333333
KIAA0232	-0.0542
ERCC8	0.035375
GPX4	0.447375
KIAA0368	-0.091
GPR157	-0.919
CTAGE4	0.71
C9orf30	0.473333333333333
OR52A1	0.826
HSP90B3P	-0.2555
ALG9	-0.6709
BTBD10	0.8
SDK2	0.27825
BAIAP3	-1.52875
RABGGTB	-0.997
ANKRD40	0.833333333333333
KRT74	0.583
CALCOCO2	-0.285857142857143
SNCA	-2.891
TMSL8	-1.497875
C2orf53	0.2795
ESRRB	-0.511
ARHGAP26	-0.988625
TDRD9	2.61625
HRAS	0.823333333333333
KLRC4	-2.48
JAGN1	0.2295
BSDC1	0.20225
RNF43	-1.0053
NDUFAF1	-0.6365
PHF12	-0.02775
OR1L3	-0.45575
FOLR2	1.62291666666667
LYZL6	0.234333333333333
tcag7.1260	-0.683
WSB1	-2.06866666666667
PROS1	-0.7189
OSTN	0.903
PSMB8	0.54875
SOCS4	0.284
DDIT4L	3.4285
MAS1	0.048
MGC34796	0.878
CSHL1	0.1515
TBCCD1	0.807
ZBTB7C	-0.068
AP2S1	-0.757
P15RS	0.5281
VAT1	-0.7057
SHANK3	0.559833333333334
TUFM	0.254166666666667
THEG	-0.22825
KRT34	0.428
SGSM3	0.123625
TOMM22	0.618125
SOCS3	0.362
CPO	0.1805
POP4	0.689
BHLHB3	2.33475
MALL	2.4605
OR1B1	0.322
PARK2	0.785833333333333
GPR124	-0.2735
LCE1E	-0.309
RUVBL2	0.14175
CGRRF1	0.5633
ACPL2	-0.4545
WNT10B	-2.13925
BAIAP2L2	-1.001625
ISCA1	0.5745
C1orf125	0.29325
RPAP1	-0.9225
RAI16	-0.700166666666667
RPL27	-0.5415
NLRP9	0.174
EPN1	0.706
LOC388610	0.924625
SLC35A1	0.1906
GAL	-0.34575
SLC14A2	0.56025
RDH11	-0.525333333333333
FAM138F	0.0165
AUH	-0.841
FLJ40243	0.182
C14orf129	0.374666666666667
MBD2	0.0461666666666666
ABHD14B	-0.760125
PIGT	0.01875
ALS2CR4	0.414125
ALAS1	0.1761
FOXO1	-0.106166666666667
CRLF3	0.851625
C20orf107	-0.0955
FARS2	0.86275
CCDC28A	0.437
NPHP3	-1.60175
OR13F1	0.4245
TSEN54	-0.28575
DEFB106B	0.3611
OR8B4	0.235
STH	-1.33975
ZC3H14	0.5055
CBX2	0.012
TMEM49	-1.479
C6orf21	0.5815
FLJ20920	-0.626
CRTAP	-0.325285714285714
DDX50	-0.71575
STYXL1	1.1525
BLVRB	-1.71916666666667
LOC147650	-0.402666666666667
MMP24	0.318
GRID1	0.685
BANF1	-0.0626666666666667
CTAGEP	0.44425
HMBS	-1.39275
SLC25A24	0.347166666666667
C14orf50	2.53675
MRO	0.522666666666667
SLC25A15	0.45125
FAM84B	0.5714
TDP1	-0.4315
C16orf78	0.0408333333333333
C11orf57	-0.05925
RFK	0.378625
ZFYVE9	0.811125
STCH	0.3098
WIBG	-0.91825
LOC283871	-0.379
GBA2	-0.7845
NDUFB3	0.65325
HSD17B13	-0.8445
GRIN3A	1.276
FMNL1	-0.302166666666667
SEPT7	-0.3195
GNLY	3.419
GRAMD1C	0.676
ZNF165	0.56875
USP38	-0.165
FAM83A	-3.3065
C14orf24	0.437583333333333
ARMCX3	0.041125
ARHGDIB	-0.8585
AK1	-0.97725
KIAA1045	-0.153
DNAJB13	-0.591833333333333
NEU2	0.209
HIST1H4B	-0.241833333333333
FAM20B	0.4292
HES2	0.678928571428571
FAM73B	-0.7069
LOC388381	0.00525000000000001
INTS7	-0.239636363636364
AMPH	-0.693
ZNF775	-0.371625
UCKL1	-0.704166666666667
C10orf97	0.09925
C1orf161	0.04675
ALDH1L1	-1.73725
FLJ39378	-0.532125
SLC23A1	-2.5385
RBM4B	0.426
THAP4	0.0181666666666667
OGFRL1	3.04675
KIAA0831	0.5105
PPP1R15A	0.1315
C1orf96	-0.00164285714285709
C12orf11	-0.184
BMF	0.01625
MAN1A1	-0.4635
KIAA1600	0.673833333333333
NLGN4X	-0.67025
ALOX12	-1.436
RB1CC1	0.438
NEIL2	0.4891
EIF4E	0.817318181818182
ABHD5	0.925
EXOC4	-0.513666666666667
CIP29	-0.545166666666667
BATF2	1.181
SLC29A4	-0.320625
HTR4	-0.12025
EMB	0.1075
TRAF6	1.17375
LMNB1	-0.919
FAM19A5	0.77575
SHE	0.729
PIK3C2B	0.23175
C15orf15	-0.4711
USP15	-0.8194
TCEAL2	0.71075
C5orf39	-1.72216666666667
PTGER2	1.40725
SLC31A1	0.2506875
IFT172	1.06575
ADAM29	0.041
GFOD1	0.84325
ST7L	0.305333333333333
C15orf26	-2.78425
PKN3	-1.49325
CNTD1	0.768166666666667
COMMD1	0.593
NTRK2	4.29058333333333
FOXN3	-0.58025
MFGE8	2.1757
PFKFB2	-0.024
TAS2R4	-0.2815
ENTHD1	1.00266666666667
PRMT5	0.1325
MGC16384	-0.929
LOC442229	0.4415
TSKU	-0.508
KRTCAP3	3.144375
PDLIM1	-0.0699
KCNS2	0.25575
RNF126	-0.269666666666667
CEP63	-0.700375
CLIC4	0.23775
hCG_1990170	0.23275
ACR	1.1661
KLK7	5.63225
ALOX5AP	2.989875
RIPK3	2.69
TAS2R9	0.5145
C19orf18	0.925
BIRC6	-0.0612142857142857
ZNF16	0.8355
RFT1	-0.4935
SLC8A2	-0.9445
TACC1	-0.833125
ITGAD	0.88825
SAMHD1	0.74225
SH3PXD2B	1.375
EPC2	-0.164
C20orf85	1.42425
ATP13A2	-0.014
KRT4	0.61125
CAPNS1	-0.03775
MDM2	-0.726
PCDH20	1.83475
KCNK9	0.923
OR2C1	-0.194
KLHDC3	-0.238833333333333
IPPK	0.089
EFHD2	-0.307375
GALR3	0.55225
NBEA	0.532666666666667
ABCA6	1.8056
CLDN3	2.1665
AKT2	-0.9095
EGFR	0.2607
RBM16	0.408125
ZDHHC3	0.5713
SLC25A4	-0.410166666666667
CYB5B	-0.487
CPXM1	-1.083
NDRG1	0.863
FLJ43826	0.16825
OR5L2	0.660166666666667
FARP2	0.1167
MRPL46	0.46425
LDHAL6B	-0.0523333333333333
MAPKAPK3	-0.120833333333333
NCAM2	-2.236
PRKD2	-0.419
ZFP36L1	0.9671
CYSLTR1	-1.70425
OR4C3	0.333
HIST1H2AJ	0.575
CCNB2	0.0613333333333333
ZNF10	0.00962499999999999
TMEM175	0.1345
FAM134A	0.527666666666667
TIGD4	0.205
PCNP	-0.44375
MGC39715	0.16275
LQK1	-0.77775
CREB1	0.2694
TMPRSS3	-0.47775
C4orf32	-0.98275
LAT	-1.32066666666667
KCNA3	-0.139
SKIV2L2	-1.12425
ROPN1B	4.6315
tcag7.23	-0.141
CDT1	-0.629375
ZHX2	-0.241125
CD28	-2.737
ZNF624	-0.1805
SEPT2	0.0973333333333334
SOHLH2	4.30525
MCOLN3	1.1175
UNQ1945	0.68
MASP2	-1.46
ZNRF3	0.1969
GPATCH3	0.138
AGL	0.083875
QRICH2	-0.17
PSD4	0.500333333333333
CCNB1IP1	0.04725
ENPP7	0.007
OBFC1	-0.38875
KCNG3	-0.103
C14orf79	0.530916666666667
ENPEP	1.1545
SCT	0.4365
SKI	1.693625
SEC61G	-0.32125
CAPN11	-0.306
ATXN7L3	-0.15025
DBNDD1	0.564166666666667
FAIM	0.05725
ANKRD36	-0.3645
GABRP	5.5495
TACSTD2	1.78466666666667
EIF3J	-0.6865
PPP2R2A	-0.712
TEKT4	0.3625
PVALB	-3.62816666666667
F10	-3.17083333333333
FAM134C	0.4875
COMP	4.374375
EFCBP1	-1.1443125
SCLT1	0.98675
TAL1	-1.689
ACSL1	0.42625
ABCC5	0.168833333333333
ABL1	-0.825
RBBP7	1.0505
PTPRG	-1.617125
NCOR1	-0.5087
SPINK4	-2.1755
TXNRD1	-0.5527
TNRC15	0.58425
C9orf138	0.2795
UBE2H	0.9185
BRDT	-0.4725
C8orf31	-0.4315
CCNE2	0.183727272727273
SLC6A8	-0.937375
CALCR	-5.5415
PPP1CB	0.659666666666667
ABHD8	-0.559
ARF5	0.8002
SLC24A4	0.5665
CCT3	0.26225
ZNF121	1.271625
SLC3A2	-0.8239
OR13A1	0.2775
SLC5A10	-0.442
RAD50	-0.28875
IER5	0.371125
MTHFD1L	-0.263375
MBTPS2	0.73725
MVK	-0.56675
NCL	0.7482
PSMD10	-0.18875
MOBP	0.36525
FLJ32894	0.039
HRH1	-1.15166666666667
C5orf30	-0.7805
NUDT16L1	0.4008
RASGRP3	2.9725
PRKRIP1	-0.8512
CCDC75	-0.10375
LOC253970	0.56075
KIAA1239	-0.1005
MED21	0.313
SYT11	0.444916666666667
NTSR2	0.0315
EGFL11	0.144
CXorf59	3.013
OR2A25	0.1265
SPTBN2	0.58425
LRMP	-1.44533333333333
RNF111	0.10275
PTH	-0.093
LOC619208	0.9335
KIAA0895	1.32425
RANBP5	-0.36575
P2RY10	0.883
NME5	2.27466666666667
DDX21	-0.69025
LRSAM1	-0.81
HDAC11	0.856833333333333
VMO1	0.73775
NOLA2	-0.318666666666667
ADAR	0.109666666666667
MTO1	-0.671
SF4	-0.180166666666667
P2RX1	-0.418166666666667
HBM	0.42575
EN2	0.6365
C14orf172	1.28075
TM9SF2	-0.4437
INHBE	-1.61333333333333
TCTE3	1.38216666666667
TOX2	-2.4695
CTAGE3	0.51225
HBB	1.9976
MED15	-0.598333333333333
CASR	0.1715
C6orf66	0.867166666666667
MTPN	0.082375
UNC50	-0.15675
C21orf33	0.726
IRF2	0.646125
PGR	-3.11566666666667
GPR84	3.49075
CROCCL1	-1.91525
SRPX	-1.77175
BRE	0.573666666666667
FGF10	-0.144
SDC3	0.8615
ZRSR1	-0.132833333333333
DKFZP434P211	-0.703375
SOX6	1.1915
RPUSD2	-0.194
C14orf173	0.1495
MAPK11	-0.549333333333333
TBC1D22A	0.0935
FAM123A	-0.5265
COL4A6	-4.1905
TOMM70A	-0.03725
NAB1	2.027875
MGC16385	0.679125
TSPAN18	-0.779666666666667
MED31	-0.707
PLG	-0.5915
CAPSL	0.427
ZNF532	1.8852
ASB14	-0.141
CA8	1.4315
NUDT16P	-0.433666666666667
SLFN11	-0.9915
LRRIQ2	0.1515
NOL7	1.08633333333333
BRMS1L	1.08775
JARID1A	0.556166666666667
PANK2	0.07475
ICAM3	-0.764
MDS1	-0.75175
TAF8	-0.0615
RNF139	0.1175
ZNF594	-0.171833333333333
ADAM8	2.300125
SFTPC	-0.2475
MAN2B2	-0.106
RGS12	-0.246125
EIF1AY	-4.685
LRRIQ1	1.16716666666667
GPR150	0.56675
CCDC21	-0.7785
PRRG3	0.4035
SAA4	-1.1675
RAPGEF5	1.10975
ZCCHC2	0.596166666666667
MGC39372	-0.681
PPP4R2	0.1635
CDCA2	-0.6535
OR4D5	0.874166666666667
PTGFRN	0.881
SIGLEC5	2.74933333333333
C19orf61	-0.0905
NMUR2	0.1725
KIAA1586	-0.5715
DAGLA	0.887666666666667
CHCHD6	-0.2795
GPR32	0.8465
NEUROD6	0.053
SLC2A4RG	0.1544375
CA5B	0.48625
FBXL3	-0.13125
MPHOSPH9	-1.30325
HMG2L1	0.31025
HCN4	0.312666666666667
CEACAM19	0.36325
SH2D4B	0.332333333333333
HFE2	-1.066
TGM4	0.2354
LYPD2	0.0665
TBC1D15	-0.288
MRPS21	0.0847
NONO	-0.3486
CLEC5A	2.661125
ITCH	1.058
MGAT3	-0.863666666666667
MBP	0.642125
RPP25	-0.64425
SOSTDC1	3.5395
HRC	-2.408
TRIM48	-0.0365
TMEM133	-1.069
ECEL1P2	-1.0875
HOXC11	-1.1925
DOK5	-0.504
HELZ	-0.234666666666667
LOC348180	0.1645
MGC33894	0.3405
ADRB3	0.3255
DMD	0.3775
PTRH2	-0.18725
MPEG1	3.4695
NDUFA12	0.313
KRTAP2-4	0.267
STAMBPL1	-2.09816666666667
ADCY2	-0.201
UNQ6125	0.488
KLHL20	-0.640166666666667
SRM	-1.015
OTC	0.652
TMIE	1.93333333333333
SNX8	1.28775
LIPK	0.1835
CHURC1	-0.4765
KLC2	0.354166666666667
HDAC1	-0.319
FAM128A	0.168833333333333
FNDC3B	0.4535
MTCP1	0.376833333333333
WFDC10B	0.1668
PCDHGB3	0.21
ATRNL1	-0.1012
CAV2	-0.662125
MED26	-0.4935
DUS1L	0.124
CHRM3	0.205125
NEK9	0.54375
WARS2	0.7125
TBX22	-0.817
TOMM40	-0.5735
RP6-213H19.1	0.206666666666667
TUBGCP5	-1.53175
IGSF6	5.066
TPPP	0.103333333333333
UNQ6190	-0.5165
GSTM5	-0.534875
BTD	0.309666666666667
PDCD1LG2	0.6615
SNRPB2	0.16
ERICH1	-2.555875
APOA4	-1.925875
HOXA11	-2.23075
NARG1	-0.506625
MKX	-0.7805
RAB28	-0.650357142857143
PKP3	2
SH3GL2	-0.2055
CTSO	1.5615
RPN2	1.014625
IL28RA	0.635333333333333
SFMBT1	0.7165
WDR57	0.277125
FER1L3	-0.97425
HSF5	1.8865
TTC9B	-0.06175
C4BPA	-4.957
ALB	-4.15507142857143
SORBS3	0.225125
UPF2	1.1475
JPH1	0.7595
AGBL2	-0.585
DOPEY1	1.6965
TERF1	-0.52975
KIF22	-0.474666666666667
NINJ1	0.63175
SEC61A2	1.1475
HIST1H1D	-0.518666666666667
SFXN4	0.412
UCP3	0.4679
ZNF703	0.0518333333333333
MYL6B	-0.7655
TREM1	2.9585
OR52E6	0.9395
CKMT2	0.7835
HLA-C	1.949125
SLC13A3	-0.915833333333333
TIMP4	-2.03475
SLIT2	1.6675
RSF1	0.231611111111111
LONRF1	-0.939214285714286
MON1A	-0.559166666666667
CACNG6	-1.82266666666667
DPPA4	-5.104
ZSWIM3	0.52925
ZNF804A	0.355
CCIN	0.8455
SLC25A31	-0.09925
KCNMB4	-0.46075
RABL5	-0.385125
GALNS	0.6625
STX6	0.928375
HIST1H1C	-3.092
CIDEB	-0.180625
CASP4	-0.198333333333333
PDK3	0.2648
KCNJ11	0.6295
TPR	0.397125
ZSCAN20	0.7225
MTX2	-0.1005
HIST1H2BH	-0.53675
LOC283767	0.299
LYRM7	-1.62705555555556
BRD3	-0.778166666666667
HIST1H2BO	-0.5145
MAGEB10	1.0735
SLC45A1	-0.088
SERPINA3	3.0131
KIAA0143	0.39775
KCNJ16	0.604
KRT79	0.086
FABP2	-0.83875
NUT	0.5555
ZNF57	-0.1635
FBXL4	0.934125
CLEC9A	0.095
UGT8	3.7105
BMP2K	0.596
MAPK4	-0.89975
SLC25A23	-0.3936
HINT1	-0.8305
KRTAP13-1	0.2615
SFXN5	-0.544
CHCHD2	0.304833333333333
FAM3D	1.596
NDP	-2.78525
RHOBTB1	-0.863
SLC4A4	-0.458375
RPL38	0.02425
HTF9C	-0.1125
AP2A2	0.43675
ZBTB46	-0.277
MAP7D1	0.069375
AOX1	-0.919
CYR61	-0.101666666666667
DTNA	0.905142857142857
JRKL	0.35
TMOD3	0.17475
EEA1	0.8988
ADCK5	-0.249
IL1R1	0.906
KLK3	0.186285714285714
HRSP12	0.60575
KTN1	0.32125
LOH11CR2A	-0.3443
RELL2	-1.30925
MAB21L1	1.424
C20orf59	-1.502
PHKB	-0.16325
ADAM2	-2.8465
TBC1D8B	1.16183333333333
FAM13A1	-0.09375
LAPTM4B	0.0225
LCN8	0.241
TMEM147	1.236
SYT4	2.243
XPO7	-0.0105
C9orf62	1.1185
GPR75	1.3575
TRIM5	-1.743
APOC1	-0.853166666666667
RNASE4	-1.871
PARD6B	-3.12275
ARID1A	-0.0485833333333333
TPD52L3	0.2154
RRAGB	0.0198333333333333
RCN2	0.1425
HIST2H2BE	-1.1844375
STARD7	-0.31775
SHMT2	-1.082
KIAA1751	-0.135
MLYCD	-0.07625
LOC162632	0.7749
UQCRH	-0.31425
RP11-217H1.1	0.36625
SDHA	-1.54433333333333
NCLN	0.1142
ZNF17	0.2705
RCBTB2	-2.218
VEGFB	-0.0396
RP4-747L4.3	0.9655
COLQ	-0.2094
MPN2	-1.01
DRG2	-1.01175
KLRB1	5.16675
ALPK2	-1.9235
DNASE2B	0.3525
FLJ23834	0.382166666666667
AXUD1	0.793166666666667
SAFB	-0.0583
NSUN4	0.54725
RFX2	-0.318166666666667
MAPK8IP1	-0.436166666666667
FANCD2	0.025
ANKZF1	-1.01016666666667
C19orf50	-0.66
DUSP8	0.76575
SENP5	0.08425
NFKBIL2	-0.0305
LBR	-0.8035
IGFL1	1.575
LZTS2	-0.490625
IL2RG	-0.254125
CCDC51	-0.9015
KLF3	0.043875
ANKRD37	0.19225
KCTD14	1.7995
FZR1	0.662333333333333
SLC44A4	-2.5474
ESPL1	-0.628125
GMPR2	-0.3443
TBC1D19	-3.39383333333333
ERGIC1	-0.889777777777778
ERBB4	0.067
TSPAN32	-0.24125
MAP4	0.881875
GPHN	-0.31
SLC6A2	0.919375
HIVEP1	0.83075
DFFB	-0.2731
EIF4EBP2	0.306
DMRT1	2.12325
HSPB6	-0.5025
IER2	0.303
AIFM1	-0.04525
WWC2	-0.683833333333333
MRPL4	0.85275
FLJ21062	-0.708166666666667
EPB41L4A	-0.0140833333333332
SH2D6	0.2435
TAF4B	0.704
GAL3ST3	0.106
MALT1	-0.06
RTDR1	1.666
ARVCF	0.136625
MEX3B	-0.0901666666666667
FBXO16	0.28075
KIF7	-0.22775
C1QC	4.10966666666667
ZNF783	-0.472166666666667
ZNF85	-1.21825
MMP13	2.6275
KIAA0329	0.280625
RTP3	2.5075
ZBED3	-1.36175
CLGN	-3.65425
SLC25A37	-0.965458333333333
hCG_18290	0.42075
OR5AS1	0.9575
SMARCC2	-0.370333333333333
FAM109A	-0.540333333333333
CCDC12	0.158
USF2	0.9767
DEPDC7	-1.90425
C20orf24	0.221833333333333
JMJD3	0
DSP	1.77121428571429
SLIC1	1.0465
FAM20A	1.366
IRF2BP2	0.510375
ZNF230	-0.7555
MSN	0.222357142857143
SLC9A5	-1.224
EPDR1	-0.4083
MUSK	0.280833333333333
ZNF434	-0.0816666666666667
SMARCD1	-0.350166666666667
ZFP106	-0.58925
ZNF347	0.0931
GTF2E1	0.0695
RY1	0.05
ATAD2B	0.492625
ARHGAP17	-0.0226
KCNIP3	-1.377
SFPQ	0.420875
GFRA4	0.491833333333333
AKR1B10	-4.313125
TIGD6	0.827666666666667
