Hybridization REF	TCGA-C8-A12Z-01A-11R-A115-07
STK17A	-1.3246
ABR	-1.074
OR9G1	-0.3665
FOXE1	-0.305375
CNGA3	1.7305
GML	0.4155
CD38	-2.421
ZDHHC6	0.495333333333333
NEFH	-1.9215
CTDSP2	-0.0691666666666667
PGBD5	-1.8205
CCNY	0.211714285714286
RMND5B	0.578
ZNF257	-2.0485
FLJ22167	-1.28525
EXOSC7	-0.4375
ROR2	1.3135
MAOA	-1.97375
TNNT3	0.534833333333333
GYPC	-1.759
C7orf33	0.8875
PLIN	0.906333333333333
LOC90826	-0.072
RNF4	-0.2641
F8A1	0.383333333333333
PLEKHG4	-3.3715
GRB2	-0.45145
HIST1H2AD	0.782
DUS3L	-0.531166666666667
EIF1	0.712833333333333
RP5-1077B9.4	-1.51566666666667
FPGT	1.64225
GDF10	-2.23433333333333
COQ9	-0.743
GCC2	0.323571428571429
RARRES3	2.7655
PLXNA1	-0.2763
KIAA0100	-0.7777
PMF1	0.86425
FNDC1	5.37175
HS2ST1	-0.235916666666667
CRELD2	1.128
C8G	-1.562
CD82	1.508
LIM2	-1.227
UNQ6490	0.3645
MMP16	-0.27125
DRD3	0.0475
C5orf26	-0.2305
C11orf73	0.157125
PTP4A2	0.682625
OR4M2	-0.0955
HPCA	-0.953333333333333
SEC14L1	-0.773833333333333
CHFR	-0.09475
EMILIN1	0.850375
NDUFS4	-0.52325
COL18A1	0.18525
PDZD3	-0.283
C9orf16	0.911666666666667
ERBB2IP	0.609
EMX2	3.8935
FUS	-0.6735
TF	-3.3592
CLCN4	0.186166666666667
CXorf56	0.0715
C11orf72	0.63925
ELAC2	-0.837833333333333
NPR1	-1.46525
ASS1	1.33533333333333
USP42	-0.22175
POLR2J	0.0645
SEC23IP	1.61466666666667
UQCRC1	-0.192
LOC729603	-0.49025
C1orf71	-0.1435
POLG	-1.322
ADAM23	-3.2065
TFR2	-0.683
RICTOR	-1.937
MGC39606	0.682
C19orf55	-0.20375
SNAPC1	-1.176
GNA11	0.292
CCDC52	-0.470166666666667
FSIP1	-0.542
UPF3A	-0.97325
IGSF11	-2.49066666666667
LAGE3	0.56875
CHST6	-0.41
UNC13B	0.010125
TTLL4	-0.64875
ZNF687	1.2645
SDC2	-0.6251
COX7A2	-0.09525
LAMB4	-1.00625
FAM24A	0.041
LRRTM3	-1.42366666666667
GPHB5	1.14025
OR4C13	0.24
EIF3EIP	0.678285714285714
HABP4	-1.2165
TMEM125	3.76275
CNTN2	1.279625
ASNSD1	-0.111
FUT4	-0.136375
ACF	-3.41625
LOC158381	1.274
CDH8	-0.66925
AGPS	-2.01983333333333
C4orf18	1.99825
PECI	-1.01058333333333
UNG	-1.320875
GSTP1	0.2135
DCUN1D5	-0.189333333333333
DKFZP564J0863	-0.23925
SLC9A3R1	1.117125
BCDO2	0.751
CHMP7	-0.229375
REM2	1.4095
DNHD1	-0.084375
FKBP4	-0.090625
ZNF350	2.021
MGC11102	0.449375
BST1	0.582
KISS1R	0.789
NCR2	0.486
DEFB125	-0.203
UBE2W	0.993375
KRT15	3.941125
C10orf99	0.4355
SCN11A	0.350625
GFI1	-3.19525
RDHE2	4.68066666666667
FHL1	-1.68766666666667
OSGEP	0.363333333333333
GATA1	-3.49616666666667
SMC6	-1.1695
TTTY14	-1.41075
LPIN3	-0.07425
RPL4	0.1947
RBPMS	0.8311
PRPF3	0.476333333333333
EMR1	-2.2605
SPATA19	0.53875
XCR1	0.556
IRX3	1.9624
RBM6	-1.3735
KLF4	-1.8364
UNC5CL	0.2775
SEBOX	-0.0715
BTK	-2.2745
KRCC1	-0.1405
C6orf27	0.987
SYTL5	-0.884
PRND	2.2605
LOC653319	-1.0515
PIGL	-1.846625
HUS1	0.0825
SFRS6	-0.158166666666667
C17orf77	0.3855
UIMC1	-0.815833333333333
FXYD2	-1.8169
LOC283152	0.2165
ZNF667	-2.01425
ZCCHC12	-1.28325
TFEC	1.7659
ATP7B	1.7865
POLD2	-0.602333333333333
RG9MTD1	0.123
ACOT2	0.0186666666666667
HIST1H4I	-0.06625
PPARGC1A	-1.8964
ETFA	-0.5474
POLRMT	-0.63625
ZNF146	-0.331875
MIA2	-3.5775
KLHL6	-1.6575
HOXB5	2.104
NENF	0.88
CUGBP1	1.245
PRSS22	2.44216666666667
CASC4	1.7805
CUL4B	0.2521
CENPJ	-1.8732
PITX1	1.56833333333333
FLJ31033	0.0771666666666666
CELSR3	-1.6065
ZNF568	0.0055
ITSN1	-0.0143333333333333
EHBP1L1	-1.38366666666667
C19orf2	-0.437
DCTN1	0.41525
LIN28B	-4.43433333333333
TNKS2	-2.00475
C1QBP	-0.96925
CADPS2	2.21025
SRMS	0.8995
GJA9	0.584833333333333
MGC24975	-0.776666666666667
TRIM45	0.221333333333333
TSP50	-0.632333333333333
TCP1	-0.5375
TMED7	0.9294
CMA1	0.3925
CENPL	-0.474
PTCRA	0.1935
FST	-4.00375
VWCE	-3.548
PAWR	-1.321
ABCC12	2.80266666666667
LDLR	-0.9965
ASTN2	0.0166
LOC441212	-2.046625
GPATCH8	-0.21325
TANC2	0.259583333333333
KIF4A	-1.271
C18orf18	-1.45725
PGM1	0.15525
KIAA0258	1.39625
CPD	1.011125
SNCAIP	-1.774
DCT	-4.1885
HLA-DOA	2.32686363636364
OR11L1	0.953
UPK1B	-0.375833333333333
DNAJB4	-0.272
UGT1A8	0.2205
HIST1H4L	-2.1205
PECR	-0.922
HSPA2	1.0945
WFIKKN1	0.0195
SERP1	0.903375
SYDE2	1.9105
TACR2	-0.1035
NUP85	-1.375
CD177	-0.490666666666667
LGR5	-2.24533333333333
PIGG	-0.73675
PTHR1	-1.00783333333333
RAB5A	0.7392
FLJ13224	0.3275
USP9Y	-1.76683333333333
C7orf53	-1.3555
LRP1B	-1.388
XAF1	0.152
ABCG8	0.00700000000000001
ANKDD1A	-1.0435
DAND5	-0.0355
SPAG6	0.074
LINCR	-0.112
ZDHHC22	-1.2035
CCDC60	-0.389
THOC7	-1.00483333333333
TCTA	1.469
OR8K3	0.52675
NY-REN-7	-0.944
B2M	0.642833333333333
C6orf141	-2.70625
LPPR4	1.91925
SQLE	0.991375
SEPHS1	-0.481
BTBD14B	0.620714285714286
PLRG1	0.1165
SPG7	-1.291125
ZNF614	-0.313166666666667
PARD6G	0.503666666666667
INPP5B	-0.8482
GRPEL2	0.10175
PPID	-0.4724
TRIM56	-0.7895
UBE2J1	0.44475
IL20RA	2.716
LOC387856	0.0455
C1orf107	1.732
UTS2R	1.0295
C19orf22	-0.63025
SAFB2	-0.445125
KIAA0652	0.25425
KLRG1	-0.6245
MS4A8B	0.532833333333333
FRAG1	0.953
KIAA1546	-0.1785
E2F4	-1.5354
CLEC4M	0.206
BTBD14A	1.11475
KIAA0999	1.0447
GYPA	-3.78466666666667
TAC1	0.0725555555555556
TRAIP	-0.985166666666667
KIAA0232	0.1974
ERCC8	-1.223875
GPX4	-0.179125
KIAA0368	-0.00875
GPR157	-0.795333333333333
CTAGE4	1.472
C9orf30	-0.703166666666667
OR52A1	0.1695
HSP90B3P	-0.83
ALG9	0.2324
BTBD10	0.65775
SDK2	0.2005
BAIAP3	0.59
RABGGTB	-0.282125
ANKRD40	0.160333333333333
KRT74	0.771
CALCOCO2	-0.660928571428571
SNCA	-3.90725
TMSL8	-2.898875
C2orf53	-1.445
ESRRB	-0.30875
ARHGAP26	-0.987375
TDRD9	-0.5045
HRAS	0.8805
KLRC4	-2.511
JAGN1	0.00583333333333334
BSDC1	-0.8195
RNF43	-0.6402
NDUFAF1	0.33775
PHF12	0.538
OR1L3	0.18825
FOLR2	0.868166666666667
LYZL6	0.632333333333333
tcag7.1260	-1.566
WSB1	-3.17983333333333
PROS1	-1.5423
OSTN	0.8285
PSMB8	0.93475
SOCS4	-0.207375
DDIT4L	0.38
MAS1	0.097
MGC34796	1.8695
CSHL1	0.123
TBCCD1	-0.1765
ZBTB7C	0.2945
AP2S1	0.190125
P15RS	0.3583
VAT1	-0.9733
SHANK3	1.05416666666667
TUFM	-0.947
THEG	1.2035
KRT34	-1.8575
SGSM3	0.572875
TOMM22	-0.327
SOCS3	0.310666666666667
CPO	1.009
POP4	-0.29225
BHLHB3	-0.03775
MALL	1.65425
OR1B1	0.3185
PARK2	0.1885
GPR124	-0.13175
LCE1E	-0.44
RUVBL2	-1.021
CGRRF1	0.6648
ACPL2	0.453
WNT10B	0.323375
BAIAP2L2	-2.228
ISCA1	0.2825
C1orf125	-0.395428571428572
RPAP1	-0.13975
RAI16	-0.541833333333333
RPL27	-0.478625
NLRP9	-1.548
EPN1	0.623
LOC388610	0.026625
SLC35A1	1.062
GAL	-2.247
SLC14A2	0.52775
RDH11	0.493666666666667
FAM138F	0.593
AUH	-0.068
FLJ40243	0.54475
C14orf129	1.30433333333333
MBD2	-0.6105
ABHD14B	0.701
PIGT	0.390125
ALS2CR4	0.478375
ALAS1	0.2692
FOXO1	0.444333333333333
CRLF3	-1.433
C20orf107	0.4735
FARS2	0.47075
CCDC28A	0.1475
NPHP3	-1.83
OR13F1	1.4805
TSEN54	-1.11525
DEFB106B	0.106
OR8B4	0.7975
STH	-0.638
ZC3H14	-0.53875
CBX2	-0.254
TMEM49	-0.69625
C6orf21	1.084
FLJ20920	0.405125
CRTAP	-0.267428571428571
DDX50	-0.1325
STYXL1	-0.4345
BLVRB	-0.0933333333333333
LOC147650	-0.179
MMP24	0.636
GRID1	2.03766666666667
BANF1	-0.163666666666667
CTAGEP	1.147
HMBS	-1.38125
SLC25A24	-0.760666666666666
C14orf50	-1.50925
MRO	1.254
SLC25A15	-0.71625
FAM84B	2.3827
TDP1	-0.0185
C16orf78	-0.0313333333333333
C11orf57	-0.282
RFK	-0.751625
ZFYVE9	-0.849875
STCH	0.088
WIBG	1.4695
LOC283871	0.0648333333333333
GBA2	-0.2727
NDUFB3	0.71325
HSD17B13	-0.63225
GRIN3A	1.04133333333333
FMNL1	-1.47683333333333
SEPT7	-0.9805
GNLY	2.615
GRAMD1C	-0.193666666666667
ZNF165	0.32625
USP38	1.62975
FAM83A	2.00866666666667
C14orf24	0.135333333333333
ARMCX3	1.060125
ARHGDIB	0.866833333333333
AK1	0.793375
KIAA1045	-0.48675
DNAJB13	-0.0495
NEU2	0.12
HIST1H4B	-0.726666666666667
FAM20B	0.0991
HES2	1.80628571428571
FAM73B	-0.6965
LOC388381	-0.822666666666667
INTS7	0.319818181818182
AMPH	1.769
ZNF775	-0.240625
UCKL1	-0.918666666666667
C10orf97	1.40675
C1orf161	0.73625
ALDH1L1	-1.41125
FLJ39378	-0.364375
SLC23A1	0.6355
RBM4B	-0.12975
THAP4	0.197666666666667
OGFRL1	0.45725
KIAA0831	-0.3545
PPP1R15A	-0.5015
C1orf96	0.0576428571428572
C12orf11	-2.3745
BMF	0.056
MAN1A1	-0.23575
KIAA1600	1.018
NLGN4X	2.0565
ALOX12	-2.02916666666667
RB1CC1	-0.2843
NEIL2	-0.1357
EIF4E	0.1915
ABHD5	0.21525
EXOC4	-0.207
CIP29	0.0941666666666667
BATF2	0.756
SLC29A4	-0.035
HTR4	0.714
EMB	0.4745
TRAF6	0.77775
LMNB1	-2.6985
FAM19A5	-0.3105
SHE	1.0685
PIK3C2B	1.90925
C15orf15	0.00400000000000003
USP15	0.0347
TCEAL2	-0.52975
C5orf39	-1.12816666666667
PTGER2	-2.22275
SLC31A1	-0.0558125
IFT172	1.10025
ADAM29	0.5825
GFOD1	-0.23775
ST7L	0.6395
C15orf26	-3.4285
PKN3	-0.416
CNTD1	3.60733333333333
COMMD1	0.52625
NTRK2	0.923333333333333
FOXN3	-0.376875
MFGE8	-0.5118
PFKFB2	0.546166666666667
TAS2R4	-1.00733333333333
ENTHD1	1.0815
PRMT5	-0.763
MGC16384	-1.98975
LOC442229	0.4375
TSKU	1.959375
KRTCAP3	2.314625
PDLIM1	1.0084
KCNS2	0.239
RNF126	-0.573833333333333
CEP63	0.110375
CLIC4	-1.01675
hCG_1990170	-1.6845
ACR	1.2732
KLK7	1.4205
ALOX5AP	2.853375
RIPK3	1.442
TAS2R9	1.144
C19orf18	2.0075
BIRC6	-0.00828571428571426
ZNF16	0.716
RFT1	0.03525
SLC8A2	-0.5285
TACC1	-1.673875
ITGAD	0.65725
SAMHD1	0.617
SH3PXD2B	1.1586
EPC2	0.74375
C20orf85	0.16475
ATP13A2	0.815833333333333
KRT4	1.027
CAPNS1	-0.43
MDM2	-0.264083333333333
PCDH20	5.12175
KCNK9	0.8375
OR2C1	0.2185
KLHDC3	-0.62
IPPK	0.019
EFHD2	-0.183875
GALR3	1.26775
NBEA	-0.8455
ABCA6	1.5018
CLDN3	1.51316666666667
AKT2	-1.40492857142857
EGFR	0.1029
RBM16	0.666875
ZDHHC3	0.9384
SLC25A4	0.549166666666667
CYB5B	-1.31883333333333
CPXM1	-0.21275
NDRG1	-0.591692307692308
FLJ43826	0.91375
OR5L2	0.0528333333333333
FARP2	0.4261
MRPL46	-0.33125
LDHAL6B	0.0721666666666667
MAPKAPK3	0.42
NCAM2	-0.5665
PRKD2	-0.0715
ZFP36L1	1.5017
CYSLTR1	2.516
OR4C3	0.638
HIST1H2AJ	1.5985
CCNB2	-1.33077777777778
ZNF10	-0.965625
TMEM175	0.213
FAM134A	0.789
TIGD4	0.4645
PCNP	-0.60925
MGC39715	-0.02675
LQK1	0.3825
CREB1	0.7197
TMPRSS3	1.6435
C4orf32	1.431875
LAT	-2.46591666666667
KCNA3	-1.0065
SKIV2L2	-0.1485
ROPN1B	-2.5085
tcag7.23	-0.7475
CDT1	-2.74825
ZHX2	1.24425
CD28	-3.324
ZNF624	0.30525
SEPT2	0.405833333333333
SOHLH2	-1.323625
MCOLN3	-1.11542857142857
UNQ1945	0.582
MASP2	-0.87
ZNRF3	-0.2705
GPATCH3	-0.7675
AGL	0.1035
QRICH2	0.096
PSD4	0.0206666666666667
CCNB1IP1	-2.12775
ENPP7	0.89675
OBFC1	0.68475
KCNG3	-2.157
C14orf79	0.651166666666667
ENPEP	1.7735
SCT	2.253
SKI	0.29075
SEC61G	-0.80125
CAPN11	0.13325
ATXN7L3	-0.661
DBNDD1	-0.0271666666666667
FAIM	0.24425
ANKRD36	-1.917
GABRP	-0.00616666666666662
TACSTD2	2.98933333333333
EIF3J	-0.401
PPP2R2A	-0.68725
TEKT4	0.559833333333333
PVALB	-3.26516666666667
F10	-2.416
FAM134C	0.091
COMP	4.306375
EFCBP1	-3.69946666666667
SCLT1	-0.284125
TAL1	-1.5607
ACSL1	3.3095
ABCC5	0.263583333333333
ABL1	-0.442777777777778
RBBP7	-0.207416666666667
PTPRG	-1.343625
NCOR1	-1.1421
SPINK4	-2.39666666666667
TXNRD1	-0.1009
TNRC15	0.30175
C9orf138	1.1745
UBE2H	0.720666666666667
BRDT	-0.2425
C8orf31	-0.21575
CCNE2	1.09272727272727
SLC6A8	-0.92
CALCR	-4.91975
PPP1CB	0.746833333333333
ABHD8	0.115
ARF5	-0.7473
SLC24A4	0.55025
CCT3	0.35
ZNF121	-0.274875
SLC3A2	-0.4466
OR13A1	0.7795
SLC5A10	0.73025
RAD50	-0.368125
IER5	0.451125
MTHFD1L	-2.17075
MBTPS2	0.8125
MVK	-0.1885
NCL	0.2877
PSMD10	-0.31125
MOBP	0.448
FLJ32894	-0.2545
HRH1	0.442166666666667
C5orf30	0.309
NUDT16L1	0.8929
RASGRP3	3.54483333333333
PRKRIP1	-0.4084
CCDC75	-0.77925
LOC253970	0.391
KIAA1239	-0.38425
MED21	-0.91
SYT11	0.0123333333333333
NTSR2	-0.267
EGFL11	1.1675
CXorf59	1.2765
OR2A25	0.8225
SPTBN2	-0.417
LRMP	-2.29466666666667
RNF111	0.53025
PTH	-0.432
LOC619208	1.62283333333333
KIAA0895	0.46525
RANBP5	-0.75725
P2RY10	-0.175833333333333
NME5	-1.19883333333333
DDX21	-0.50975
LRSAM1	1.114
HDAC11	1.04483333333333
VMO1	2.83975
NOLA2	-0.4665
ADAR	1.50466666666667
MTO1	-0.835833333333333
SF4	0.1805
P2RX1	-0.304333333333333
HBM	0.9085
EN2	1.147
C14orf172	0.322
TM9SF2	1.0872
INHBE	-1.39083333333333
TCTE3	-0.0610833333333334
TOX2	-3.26025
CTAGE3	0.74125
HBB	2.2826
MED15	-0.217
CASR	0.3465
C6orf66	-0.688833333333333
MTPN	-0.97275
UNC50	0.057
C21orf33	1.00725
IRF2	1.323375
PGR	-2.71433333333333
GPR84	2.2555
CROCCL1	-3.518
SRPX	-1.32725
BRE	0.898833333333333
FGF10	1.3805
SDC3	0.103166666666667
ZRSR1	-0.208166666666667
DKFZP434P211	-0.526375
SOX6	-0.0914999999999999
RPUSD2	0.165
C14orf173	0.261916666666667
MAPK11	0.597833333333333
TBC1D22A	0.3475
FAM123A	-2.491
COL4A6	-3.83983333333333
TOMM70A	0.3625
NAB1	-0.494875
MGC16385	-0.301375
TSPAN18	-0.674833333333333
MED31	-0.66225
PLG	-0.58325
CAPSL	2.6355
ZNF532	1.1592
ASB14	-0.05375
CA8	0.98125
NUDT16P	-1.09016666666667
SLFN11	-1.0875
LRRIQ2	-0.0545
NOL7	-0.4645
BRMS1L	-0.145375
JARID1A	-0.144333333333333
PANK2	-0.74775
ICAM3	-0.836
MDS1	-0.79275
TAF8	-0.7435
RNF139	2.23275
ZNF594	-1.19216666666667
ADAM8	3.959625
SFTPC	0.166875
MAN2B2	-0.229375
RGS12	-0.5413125
EIF1AY	-4.57116666666667
LRRIQ1	-0.279333333333333
GPR150	1.18
CCDC21	-1.84483333333333
PRRG3	0.39675
SAA4	-3.2525
RAPGEF5	2.68975
ZCCHC2	-0.0801666666666667
MGC39372	-0.48
PPP4R2	1.06983333333333
CDCA2	-2.03833333333333
OR4D5	0.573166666666667
PTGFRN	2.3906
SIGLEC5	1.71666666666667
C19orf61	-0.756333333333333
NMUR2	0.794
KIAA1586	-1.755
DAGLA	-0.397
CHCHD6	-0.352
GPR32	1.684
NEUROD6	0.447
SLC2A4RG	0.1535625
CA5B	-0.3325
FBXL3	1.83475
MPHOSPH9	-0.97175
HMG2L1	1.0575
HCN4	0.361
CEACAM19	0.86725
SH2D4B	0.0473333333333334
HFE2	-1.062
TGM4	0.6804
LYPD2	0.33975
TBC1D15	-0.5875
MRPS21	0.5739
NONO	-0.621
CLEC5A	2.805125
ITCH	-0.00249999999999999
MGAT3	-1.4445
MBP	-1.497
RPP25	0.06425
SOSTDC1	-2.554
HRC	-1.68075
TRIM48	0.184
TMEM133	0.262
ECEL1P2	-1.4415
HOXC11	1.6105
DOK5	-1.24925
HELZ	-0.0198333333333333
LOC348180	-1.275
MGC33894	0.5355
ADRB3	0.3705
DMD	-0.379333333333333
PTRH2	0.1565
MPEG1	2.45533333333333
NDUFA12	-1.168
KRTAP2-4	-0.0915454545454546
STAMBPL1	-1.1635
ADCY2	1.358
UNQ6125	-0.7115
KLHL20	-0.0355
SRM	-1.14975
OTC	-0.10275
TMIE	0.0576666666666667
SNX8	0.01525
LIPK	0.646
CHURC1	-0.1215
KLC2	0.544166666666667
HDAC1	-1.22766666666667
FAM128A	0.0503333333333333
FNDC3B	1.0275
MTCP1	-0.6615
WFDC10B	0.3064
PCDHGB3	-0.4325
ATRNL1	-2.1679
CAV2	-1.003
MED26	0.245166666666667
DUS1L	-0.34925
CHRM3	-2.291
NEK9	-0.01375
WARS2	0.0425
TBX22	-0.2415
TOMM40	-1.167
RP6-213H19.1	-0.592833333333333
TUBGCP5	-0.5785
IGSF6	3.6425
TPPP	0.386333333333333
UNQ6190	0.11
GSTM5	2.011125
BTD	0.9905
PDCD1LG2	-0.3674
SNRPB2	-0.310833333333333
ERICH1	-1.388875
APOA4	-1.130625
HOXA11	-1.88025
NARG1	0.874375
MKX	-2.0565
RAB28	-0.653642857142857
PKP3	1.406
SH3GL2	-0.00950000000000001
CTSO	3.00375
RPN2	0.8271875
IL28RA	-1.502
SFMBT1	0.127
WDR57	-0.991625
FER1L3	-0.676083333333333
HSF5	0.101333333333333
TTC9B	0.222
C4BPA	-2.4075
ALB	-4.01935714285714
SORBS3	0.157625
UPF2	0.4705
JPH1	-0.8945
AGBL2	-0.04575
DOPEY1	1.281
TERF1	-0.05525
KIF22	-0.577666666666667
NINJ1	2.0205
SEC61A2	-0.315916666666667
HIST1H1D	-1.23866666666667
SFXN4	0.1305
UCP3	0.1132
ZNF703	1.23666666666667
MYL6B	-0.48875
TREM1	3.3015
OR52E6	0.217
CKMT2	2.3165
HLA-C	1.254125
SLC13A3	0.357666666666667
TIMP4	-1.274
SLIT2	1.46325
RSF1	-0.347611111111111
LONRF1	-0.975857142857143
MON1A	1.14383333333333
CACNG6	-0.0641666666666666
DPPA4	-5.49883333333333
ZSWIM3	1.2225
ZNF804A	-0.3752
CCIN	1.372
SLC25A31	0.62075
KCNMB4	-0.634
RABL5	0.842
GALNS	-0.7879
STX6	0.69225
HIST1H1C	0.6795
CIDEB	-1.008
CASP4	-0.0441666666666666
PDK3	-0.2319
KCNJ11	0.695
TPR	-0.652375
ZSCAN20	-1.0535
MTX2	-0.24825
HIST1H2BH	1.49375
LOC283767	0.389
LYRM7	-1.00411111111111
BRD3	-0.365666666666667
HIST1H2BO	0.29425
MAGEB10	-0.896
SLC45A1	0.5885
SERPINA3	1.49185
KIAA0143	2.083
KCNJ16	-0.285333333333333
KRT79	1.23
FABP2	-0.906
NUT	-0.9365
ZNF57	-1.1575
FBXL4	0.69175
CLEC9A	-0.8695
UGT8	-1.59933333333333
BMP2K	-0.083
MAPK4	-3.56575
SLC25A23	-0.5008
HINT1	0.2846
KRTAP13-1	0.615
SFXN5	-0.2346
CHCHD2	0.36925
FAM3D	2.213
NDP	-2.68125
RHOBTB1	-1.20883333333333
SLC4A4	-1.94885714285714
RPL38	-0.5815
HTF9C	0.222166666666667
AP2A2	0.667625
ZBTB46	-1.324
MAP7D1	-0.249875
AOX1	0.524166666666667
CYR61	0.137583333333333
DTNA	-0.462
JRKL	-0.264
TMOD3	0.04375
EEA1	-0.219
ADCK5	0.02775
IL1R1	2.4115
KLK3	0.595214285714286
HRSP12	-0.4465
KTN1	0.3615
LOH11CR2A	1.1866
RELL2	-1.22475
MAB21L1	0.785
C20orf59	-0.963166666666667
PHKB	-0.039
ADAM2	-2.45833333333333
TBC1D8B	2.105
FAM13A1	-1.092875
LAPTM4B	-0.779166666666667
LCN8	0.322
TMEM147	0.104
SYT4	-0.31475
XPO7	-1.022
C9orf62	1.35225
GPR75	0.166
TRIM5	0.13225
APOC1	-0.3555
RNASE4	0.0195
PARD6B	-2.92825
ARID1A	-0.0813333333333333
TPD52L3	0.4909
RRAGB	-0.756333333333333
RCN2	-0.6415
HIST2H2BE	0.8776875
STARD7	-0.5375
SHMT2	0.76625
KIAA1751	0.798
MLYCD	-0.65425
LOC162632	-0.6243
UQCRH	-1.7865
RP11-217H1.1	0.46675
SDHA	-1.41166666666667
NCLN	-0.4775
ZNF17	-0.109833333333333
RCBTB2	-1.9745
VEGFB	-0.4574
RP4-747L4.3	1.496
COLQ	-0.0153
MPN2	-0.475833333333333
DRG2	-0.51375
KLRB1	2.611
ALPK2	-2.10275
DNASE2B	2.82425
FLJ23834	-1.22316666666667
AXUD1	0.598
SAFB	-0.6722
NSUN4	-0.58925
RFX2	0.185333333333333
MAPK8IP1	-0.374833333333333
FANCD2	-0.252285714285714
ANKZF1	-1.17883333333333
C19orf50	-0.143625
DUSP8	1.191625
SENP5	-0.8035
NFKBIL2	0.8085
LBR	-1.48775
IGFL1	0.982
LZTS2	1.069125
IL2RG	-1.039375
CCDC51	0.61025
KLF3	0.127125
ANKRD37	-0.24275
KCTD14	-1.71
FZR1	0.0901666666666667
SLC44A4	4.0334
ESPL1	-0.31875
GMPR2	-0.2065
TBC1D19	-0.380833333333333
ERGIC1	0.864629629629629
ERBB4	2.8614
TSPAN32	0.629583333333333
MAP4	-0.58925
GPHN	-0.53125
SLC6A2	0.173125
HIVEP1	1.74675
DFFB	-0.9647
EIF4EBP2	0.82025
DMRT1	0.351
HSPB6	-0.11575
IER2	-0.5765
AIFM1	0.054
WWC2	0.431416666666667
MRPL4	-0.535
FLJ21062	0.3285
EPB41L4A	1.25883333333333
SH2D6	0.66925
TAF4B	-1.50925
GAL3ST3	-0.162
MALT1	-1.75616666666667
RTDR1	1.483
ARVCF	0.996
MEX3B	-0.342666666666667
FBXO16	1.60425
KIF7	-1.46425
C1QC	3.90566666666667
ZNF783	-1.13866666666667
ZNF85	0.14225
MMP13	5.7315
KIAA0329	0.364625
RTP3	3.3305
ZBED3	0.18325
CLGN	1.06
SLC25A37	-1.0215
hCG_18290	0.76675
OR5AS1	0.4105
SMARCC2	0.568166666666667
FAM109A	0.0126666666666667
CCDC12	-0.24
USF2	-0.4132
DEPDC7	-2.121
C20orf24	0.212833333333333
JMJD3	0.643
DSP	1.48271428571429
SLIC1	0.404625
FAM20A	-0.05225
IRF2BP2	1.015
