Hybridization REF	TCGA-A2-A0SY-01A-31R-A084-07
GTPBP1	-0.204571428571429
RAB33B	1.82116666666667
ALDOC	-2.55775
ZNF212	-0.231
NUDT1	-1.29266666666667
RFPL2	-0.90575
ZNF83	0.081
GDPD5	-0.561125
PDCD4	2.55135
CEP350	-0.17025
OR10A2	0.13625
CST7	1.6385
CIAO1	-1.114
SELL	1.952375
OR8J3	0.6455
LTBP4	-0.323833333333333
SIRT6	-0.32025
CCL19	4.83
PPIL1	-1.19366666666667
GBP7	0.283833333333333
STK17A	-0.6426
ABR	-0.21925
OR9G1	0.386
FOXE1	-0.65475
CNGA3	0.846
GML	0.0945
CD38	-1.762
ZDHHC6	0.176833333333333
NEFH	-1.6935
CTDSP2	0.70125
PGBD5	-1.08366666666667
CCNY	0.550071428571429
RMND5B	1.11733333333333
ZNF257	-0.75225
FLJ22167	-0.269625
EXOSC7	-0.9005
ROR2	1.79725
MAOA	0.48825
TNNT3	1.96216666666667
GYPC	-0.48625
C7orf33	0.6735
PLIN	4.14416666666667
LOC90826	-0.45175
RNF4	0.1217
F8A1	0.4795
PLEKHG4	-0.466
GRB2	1.2055
HIST1H2AD	-0.6705
DUS3L	-0.6645
EIF1	2.19133333333333
RP5-1077B9.4	-1.28516666666667
FPGT	1.726
GDF10	2.87583333333333
COQ9	-0.91475
GCC2	0.434928571428571
RARRES3	3.122875
PLXNA1	-0.8696
KIAA0100	-0.3072
PMF1	0.023
FNDC1	5.109
HS2ST1	-0.136333333333333
CRELD2	0.4795
C8G	-1.934
CD82	1.35225
LIM2	-0.7145
UNQ6490	0.035
MMP16	-0.16075
DRD3	-0.536
C5orf26	-0.7595
C11orf73	-0.335125
PTP4A2	1.271625
OR4M2	0.1355
HPCA	-1.26766666666667
SEC14L1	-0.540666666666667
CHFR	-0.379375
EMILIN1	0.668125
NDUFS4	-0.70575
COL18A1	-0.4915
PDZD3	-0.0332
C9orf16	-0.510666666666667
ERBB2IP	0.261666666666667
EMX2	4.0805
FUS	-0.26825
TF	-3.6741
CLCN4	0.716833333333333
CXorf56	0.25175
C11orf72	0.2755
ELAC2	-1.024
NPR1	0.41025
ASS1	-1.35133333333333
USP42	-0.153
POLR2J	-0.8885
SEC23IP	0.942666666666667
UQCRC1	-0.4345
LOC729603	-0.30725
C1orf71	-0.02425
POLG	-2.3265
ADAM23	-2.84025
TFR2	-1.35825
RICTOR	-0.9
MGC39606	0.244
C19orf55	-0.309625
SNAPC1	-1.8365
GNA11	1.05225
CCDC52	0.227166666666667
FSIP1	5.4755
UPF3A	0.110375
IGSF11	-2.404
LAGE3	0.48075
CHST6	-1.875
UNC13B	0.478625
TTLL4	-1.339
ZNF687	0.651375
SDC2	-0.5984
COX7A2	-0.96975
LAMB4	0.1725
FAM24A	0.6555
LRRTM3	-0.5585
GPHB5	0.34225
OR4C13	-0.00700000000000001
EIF3EIP	0.548285714285714
HABP4	-0.2395
TMEM125	3.19425
CNTN2	0.17775
ASNSD1	-0.14475
FUT4	-0.186625
ACF	-3.45475
LOC158381	0.717
CDH8	-1.14175
AGPS	-1.76883333333333
C4orf18	2.177625
PECI	0.658166666666667
UNG	-0.611
GSTP1	-2.33225
DCUN1D5	-1.60483333333333
DKFZP564J0863	-0.709
SLC9A3R1	1.52625
BCDO2	-0.6135
CHMP7	0.573875
REM2	0.906
DNHD1	-0.62625
FKBP4	0.05325
ZNF350	1.796
MGC11102	-0.297
BST1	1.6065
KISS1R	0.0065
NCR2	0.1815
DEFB125	-0.065
UBE2W	0.927125
KRT15	-0.6115
C10orf99	0.255
SCN11A	0.4305
GFI1	-1.5405
RDHE2	0.401833333333333
FHL1	0.6435
OSGEP	0.041
GATA1	-3.12416666666667
SMC6	-1.58175
TTTY14	-1.133
LPIN3	0.27425
RPL4	0.5225
RBPMS	0.7328
PRPF3	-0.654
EMR1	-2.2155
SPATA19	0.078
XCR1	0.2575
IRX3	1.838
RBM6	-0.16225
KLF4	-0.114
UNC5CL	-1.526
SEBOX	-0.0795
BTK	0.28575
KRCC1	0.90875
C6orf27	0.2685
SYTL5	-0.2175
PRND	2.826625
LOC653319	-1.9475
PIGL	-2.30375
HUS1	-0.429166666666667
SFRS6	1.40841666666667
C17orf77	0.2325
UIMC1	-0.162333333333333
FXYD2	-1.6876
LOC283152	-1.11625
ZNF667	-0.029
ZCCHC12	0.093
TFEC	2.5407
ATP7B	0.7465
POLD2	-0.742666666666667
RG9MTD1	-0.21325
ACOT2	0.717666666666667
HIST1H4I	-0.76325
PPARGC1A	-2.083
ETFA	-1.1456
POLRMT	-0.70475
ZNF146	0.424125
MIA2	-1.1435
KLHL6	-0.0538333333333333
HOXB5	-0.851375
NENF	0.530833333333333
CUGBP1	0.389
PRSS22	0.287
CASC4	1.1404
CUL4B	0.1028
CENPJ	-1.2178
PITX1	-0.206166666666667
FLJ31033	1.036
CELSR3	-2.36916666666667
ZNF568	0.4445
ITSN1	0.451083333333333
EHBP1L1	-0.963833333333333
C19orf2	0.039
DCTN1	0.11475
LIN28B	-2.99416666666667
TNKS2	-0.15725
C1QBP	-0.84025
CADPS2	2.443
SRMS	0.62925
GJA9	0.5895
MGC24975	-1.12716666666667
TRIM45	1.03766666666667
TSP50	-0.0485
TCP1	-1.02675
TMED7	0.7458
CMA1	1.353
CENPL	-0.773333333333333
PTCRA	-0.0435
FST	-3.8475
VWCE	-3.6755
PAWR	-1.02875
ABCC12	1.2575
LDLR	-3.1656
ASTN2	1.5152
LOC441212	-1.65025
GPATCH8	-0.4125
TANC2	-0.820083333333333
KIF4A	-2.30325
C18orf18	-0.49575
PGM1	-1.16775
KIAA0258	0.801
CPD	0.606
SNCAIP	0.232
DCT	-4.06433333333333
HLA-DOA	2.41772727272727
OR11L1	0.153
UPK1B	-0.195166666666667
DNAJB4	0.430875
UGT1A8	-0.63575
HIST1H4L	-2.334
PECR	-1.60966666666667
HSPA2	2.982
WFIKKN1	-3.0885
SERP1	1.64625
SYDE2	1.985
TACR2	0.8375
NUP85	-0.841
CD177	-0.7415
LGR5	-1.25816666666667
PIGG	-0.157166666666667
PTHR1	-1.20766666666667
RAB5A	0.466
FLJ13224	-0.152
USP9Y	-0.936166666666667
C7orf53	-1.5045
LRP1B	4.1525
XAF1	0.8867
ABCG8	-0.454
ANKDD1A	-0.382
DAND5	-1.504
SPAG6	-0.256166666666667
LINCR	0.057
ZDHHC22	-1.606625
CCDC60	0.998
THOC7	-1.116
TCTA	1.2866
OR8K3	0.091
NY-REN-7	-0.322
B2M	1.0975
C6orf141	-1.821375
LPPR4	2.24975
SQLE	-2.242875
SEPHS1	-0.267
BTBD14B	0.00864285714285714
PLRG1	-0.1935
SPG7	-0.918375
ZNF614	0.137833333333333
PARD6G	-0.0655
INPP5B	-0.3783
GRPEL2	0.169375
PPID	-0.7349
TRIM56	-0.27725
UBE2J1	0.46425
IL20RA	1.5985
LOC387856	0.24
C1orf107	0.338666666666667
UTS2R	0.2425
C19orf22	0.056
SAFB2	-0.15125
KIAA0652	0.257875
KLRG1	-0.0695
MS4A8B	2.44366666666667
FRAG1	0.6495
KIAA1546	0.652
E2F4	-1.0097
CLEC4M	-0.281666666666667
BTBD14A	-1.5365
KIAA0999	0.3929
GYPA	-2.3582
TAC1	2.2758
TRAIP	-1.59083333333333
KIAA0232	1.0722
ERCC8	-1.140625
GPX4	0.3565
KIAA0368	0.03325
GPR157	-1.391
CTAGE4	0.947
C9orf30	-1.49066666666667
OR52A1	0.1855
HSP90B3P	0.132
ALG9	-0.9376
BTBD10	0.5585
SDK2	-0.981
BAIAP3	-0.342
RABGGTB	-1.1375
ANKRD40	0.569333333333333
KRT74	0.5855
CALCOCO2	0.921571428571429
SNCA	-2.0685
TMSL8	-4.597
C2orf53	-1.001
ESRRB	-0.17125
ARHGAP26	-0.442375
TDRD9	-2.86575
HRAS	-0.372
KLRC4	-2.152
JAGN1	-0.3065
BSDC1	0.2695
RNF43	0.5099
NDUFAF1	0.572
PHF12	0.197
OR1L3	0.34375
FOLR2	2.46533333333333
LYZL6	0.0593333333333333
tcag7.1260	-1.223
WSB1	-2.25566666666667
PROS1	-0.1514
OSTN	0.696
PSMB8	0.62225
SOCS4	-0.12075
DDIT4L	2.948
MAS1	0.381
MGC34796	1.32825
CSHL1	0.498166666666667
TBCCD1	0.4675
ZBTB7C	0.0775
AP2S1	-0.884625
P15RS	0.3876
VAT1	-0.4263
SHANK3	0.9005
TUFM	-0.397
THEG	-0.5185
KRT34	-1.54
SGSM3	0.038625
TOMM22	0.19975
SOCS3	2.17066666666667
CPO	0.3755
POP4	0.3825
BHLHB3	2.579
MALL	1.19375
OR1B1	0.2165
PARK2	0.626333333333334
GPR124	0.811625
LCE1E	-0.044
RUVBL2	-0.612
CGRRF1	0.7258
ACPL2	0.23825
WNT10B	-1.59675
BAIAP2L2	-2.094125
ISCA1	0.954
C1orf125	1.024875
RPAP1	-0.80225
RAI16	0.1725
RPL27	-0.79275
NLRP9	-1.099
EPN1	0.27
LOC388610	-2.142125
SLC35A1	0.779
GAL	-4.3255
SLC14A2	0.3595
RDH11	-1.28883333333333
FAM138F	-0.06
AUH	0.425
FLJ40243	0.05975
C14orf129	0.7895
MBD2	-0.176
ABHD14B	0.311875
PIGT	0.32125
ALS2CR4	-0.034375
ALAS1	0.3585
FOXO1	1.96566666666667
CRLF3	0.214125
C20orf107	0.777
FARS2	0.9745
CCDC28A	0.632
NPHP3	-0.81625
OR13F1	-0.04
TSEN54	-0.805
DEFB106B	-0.182
OR8B4	0.528
STH	1.12175
ZC3H14	0.265
CBX2	-0.9565
TMEM49	-0.40725
C6orf21	0.544
FLJ20920	0.8205
CRTAP	0.394857142857143
DDX50	0.000250000000000007
STYXL1	0.38875
BLVRB	-0.833166666666667
LOC147650	0.317
MMP24	0.5595
GRID1	1.71833333333333
BANF1	-0.636833333333333
CTAGEP	0.265
HMBS	-2.592
SLC25A24	0.7805
C14orf50	0.1275
MRO	1.3465
SLC25A15	-0.609
FAM84B	1.2244
TDP1	-0.664
C16orf78	0.2935
C11orf57	-1.00725
RFK	-0.42125
ZFYVE9	0.067875
STCH	0.3408
WIBG	0.17725
LOC283871	-0.345166666666667
GBA2	-0.1872
NDUFB3	-0.79725
HSD17B13	-0.3325
GRIN3A	0.135166666666667
FMNL1	-0.339
SEPT7	-0.1336
GNLY	2.6285
GRAMD1C	0.902
ZNF165	-0.5285
USP38	0.3255
FAM83A	-3.02766666666667
C14orf24	0.743666666666667
ARMCX3	1.787125
ARHGDIB	0.900833333333333
AK1	-0.235125
KIAA1045	0.57525
DNAJB13	0.0458333333333333
NEU2	0.406
HIST1H4B	-1.85983333333333
FAM20B	0.0821
HES2	0.940928571428571
FAM73B	-0.5959
LOC388381	1.1125
INTS7	-0.273181818181818
AMPH	1.575
ZNF775	-0.32975
UCKL1	-0.808333333333333
C10orf97	0.3885
C1orf161	0.253
ALDH1L1	0.0815
FLJ39378	-0.141125
SLC23A1	-0.1425
RBM4B	0.50925
THAP4	0.0665
OGFRL1	0.00275
KIAA0831	-0.122875
PPP1R15A	0.156333333333333
C1orf96	-0.2325
C12orf11	-2.037
BMF	0.3345
MAN1A1	0.00250000000000004
KIAA1600	1.02416666666667
NLGN4X	0.906
ALOX12	-0.8584
RB1CC1	-0.164
NEIL2	1.1193
EIF4E	0.540090909090909
ABHD5	-0.098
EXOC4	-0.0523333333333333
CIP29	0.102166666666667
BATF2	-0.22925
SLC29A4	-0.470875
HTR4	0.27725
EMB	-0.1565
TRAF6	0.29325
LMNB1	-0.75225
FAM19A5	-0.430125
SHE	2.6735
PIK3C2B	0.825
C15orf15	0.0431
USP15	0.0873
TCEAL2	1.5925
C5orf39	-0.805833333333333
PTGER2	0.11175
SLC31A1	-0.5165
IFT172	0.31275
ADAM29	0.22925
GFOD1	-0.847
ST7L	0.750833333333333
C15orf26	-2.86075
PKN3	-1.4395
CNTD1	3.18966666666667
COMMD1	0.304125
NTRK2	2.57066666666667
FOXN3	0.7445
MFGE8	-0.5127
PFKFB2	0.429
TAS2R4	0.181666666666667
ENTHD1	0.106833333333333
PRMT5	-0.229
MGC16384	-1.4875
LOC442229	-0.74
TSKU	0.177
KRTCAP3	2.717375
PDLIM1	0.4377
KCNS2	0.15825
RNF126	-0.408
CEP63	0.152125
CLIC4	-0.556625
hCG_1990170	-0.1735
ACR	0.6189
KLK7	0.773
ALOX5AP	3.826875
RIPK3	3.3255
TAS2R9	0.3865
C19orf18	1.731
BIRC6	0.184714285714286
ZNF16	1.4085
RFT1	-0.555
SLC8A2	-0.463
TACC1	0.153625
ITGAD	0.7245
SAMHD1	1.237
SH3PXD2B	1.1392
EPC2	0.76075
C20orf85	0.29675
ATP13A2	0.244333333333333
KRT4	0.301625
CAPNS1	0.04075
MDM2	-0.567083333333333
PCDH20	1.723
KCNK9	-0.9605
OR2C1	0.1055
KLHDC3	-0.633
IPPK	0.7805
EFHD2	-0.436
GALR3	0.0615
NBEA	1.97533333333333
ABCA6	3.857
CLDN3	0.498833333333333
AKT2	-0.377928571428571
EGFR	-1.1815
RBM16	0.720625
ZDHHC3	0.216
SLC25A4	0.0535
CYB5B	-0.140333333333333
CPXM1	-0.039
NDRG1	-1.504
FLJ43826	0.6805
OR5L2	-0.219
FARP2	0.7536
MRPL46	-0.722083333333333
LDHAL6B	0.00716666666666667
MAPKAPK3	-0.506833333333333
NCAM2	-0.32075
PRKD2	0.3775
ZFP36L1	1.6393
CYSLTR1	0.4325
OR4C3	0.375
HIST1H2AJ	1.166
CCNB2	-2.66411111111111
ZNF10	0.11875
TMEM175	-0.191
FAM134A	1.122
TIGD4	0.3005
PCNP	0.08875
MGC39715	-0.3255
LQK1	-0.822
CREB1	1.0673
TMPRSS3	2.59825
C4orf32	1.0795
LAT	-0.90325
KCNA3	-0.27
SKIV2L2	-0.1695
ROPN1B	-3.02675
tcag7.23	0.012
CDT1	-3.0675
ZHX2	1.136375
CD28	-1.77725
ZNF624	1.3125
SEPT2	0.360833333333333
SOHLH2	-1.595625
MCOLN3	-0.3345
UNQ1945	0.434
MASP2	-1.2145
ZNRF3	-0.4742
GPATCH3	-0.11
AGL	0.947875
QRICH2	-0.446
PSD4	1.15316666666667
CCNB1IP1	-1.9055
ENPP7	0.1635
OBFC1	0.248
KCNG3	-2.144
C14orf79	1.44516666666667
ENPEP	0.8305
SCT	1.0095
SKI	0.53825
SEC61G	-1.436
CAPN11	-0.139
ATXN7L3	-0.2585
DBNDD1	-0.7535
FAIM	-0.3165
ANKRD36	-1.0805
GABRP	0.823333333333333
TACSTD2	1.71416666666667
EIF3J	-0.81925
PPP2R2A	0.894
TEKT4	0.0951666666666667
PVALB	1.2795
F10	-1.9045
FAM134C	0.6579
COMP	4.447125
EFCBP1	-2.0768125
SCLT1	0.387
TAL1	-0.7441
ACSL1	1.2515
ABCC5	-0.0169166666666667
ABL1	-0.115111111111111
RBBP7	0.535666666666667
PTPRG	-0.60675
NCOR1	-0.346
SPINK4	-0.7845
TXNRD1	-1.5914
TNRC15	0.486
C9orf138	0.641625
UBE2H	0.979833333333333
BRDT	0.219166666666667
C8orf31	-0.3655
CCNE2	-1.10272727272727
SLC6A8	-2.206
CALCR	-2.958
PPP1CB	0.880416666666667
ABHD8	-0.15475
ARF5	0.2473
SLC24A4	0.551
CCT3	-0.42175
ZNF121	0.13325
SLC3A2	-0.5846
OR13A1	0.3865
SLC5A10	-0.1245
RAD50	0.533375
IER5	-0.535875
MTHFD1L	-2.46175
MBTPS2	0.14625
MVK	-0.940375
NCL	-0.0662
PSMD10	0.1095
MOBP	0.672857142857143
FLJ32894	-1.878
HRH1	-0.594666666666667
C5orf30	0.561
NUDT16L1	1.2638
RASGRP3	2.8675
PRKRIP1	-0.5693
CCDC75	-0.79475
LOC253970	-0.3425
KIAA1239	0.662
MED21	-0.85425
SYT11	0.939083333333333
NTSR2	-0.3735
EGFL11	-0.156
CXorf59	-1.2075
OR2A25	-0.0215
SPTBN2	-0.898
LRMP	-0.126
RNF111	-0.08175
PTH	-0.2545
LOC619208	0.228666666666667
KIAA0895	0.44825
RANBP5	-0.58225
P2RY10	1.75516666666667
NME5	4.3195
DDX21	-1.15125
LRSAM1	0.182
HDAC11	1.403
VMO1	0.913
NOLA2	0.0705
ADAR	0.67625
MTO1	-0.717666666666667
SF4	0.3365
P2RX1	0.430333333333333
HBM	0.1135
EN2	-0.0005
C14orf172	-0.57175
TM9SF2	0.9015
INHBE	-1.30333333333333
TCTE3	-0.339416666666667
TOX2	-2.36625
CTAGE3	0.408375
HBB	3.923
MED15	-0.860833333333333
CASR	0.052
C6orf66	-1.64516666666667
MTPN	-0.859125
UNC50	0.21075
C21orf33	0.113375
IRF2	1.19425
PGR	2.53616666666667
GPR84	2.34075
CROCCL1	-2.79375
SRPX	-0.62725
BRE	0.29
FGF10	0.98125
SDC3	0.391666666666667
ZRSR1	0.563166666666667
DKFZP434P211	-0.372875
SOX6	-0.0145
RPUSD2	-0.76525
C14orf173	-0.383166666666667
MAPK11	-0.871166666666667
TBC1D22A	0.6465
FAM123A	-0.479
COL4A6	-1.962
TOMM70A	0.24675
NAB1	-0.497
MGC16385	-0.65325
TSPAN18	-1.08916666666667
MED31	-1.127
PLG	0.05225
CAPSL	1.665
ZNF532	0.3233
ASB14	-0.09675
CA8	0.86375
NUDT16P	0.435666666666667
SLFN11	-0.5205
LRRIQ2	-0.245875
NOL7	-0.587833333333333
BRMS1L	-0.506125
JARID1A	0.139166666666667
PANK2	-0.4365
ICAM3	-0.02275
MDS1	-0.86
TAF8	-0.31275
RNF139	0.633
ZNF594	-0.178166666666667
ADAM8	1.023125
SFTPC	-0.052
MAN2B2	1.7055
RGS12	0.48525
EIF1AY	-4.12891666666667
LRRIQ1	0.0351666666666667
GPR150	-0.00325
CCDC21	-0.97
PRRG3	0.1635
SAA4	-3.29775
RAPGEF5	1.23625
ZCCHC2	0.088
MGC39372	0.0735
PPP4R2	0.789
CDCA2	-2.15366666666667
OR4D5	0.803833333333333
PTGFRN	1.0993
SIGLEC5	1.28233333333333
C19orf61	-0.288833333333333
NMUR2	0.542
KIAA1586	-0.5435
DAGLA	0.152666666666667
CHCHD6	-0.1725
GPR32	1.243
NEUROD6	0.0863333333333333
SLC2A4RG	0.0646875
CA5B	0.17925
FBXL3	1.85325
MPHOSPH9	-0.96675
HMG2L1	0.86075
HCN4	-0.236666666666667
CEACAM19	-0.59325
SH2D4B	0.56
HFE2	-0.6135
TGM4	0.7565
LYPD2	0.017
TBC1D15	0.22825
MRPS21	-0.1777
NONO	-0.2465
CLEC5A	2.53775
ITCH	-0.1568
MGAT3	-0.703166666666667
MBP	0.18225
RPP25	-1.83975
SOSTDC1	-1.2145
HRC	-1.2415
TRIM48	0.3275
TMEM133	0.118
ECEL1P2	-0.54875
HOXC11	2.514
DOK5	-0.1885
HELZ	0.330166666666667
LOC348180	-1.39125
MGC33894	0.415
ADRB3	0.149
DMD	0.0659166666666667
PTRH2	-0.973
MPEG1	3.59583333333333
NDUFA12	-0.713
KRTAP2-4	-0.23275
STAMBPL1	-0.7895
ADCY2	0.630666666666667
UNQ6125	0.2605
KLHL20	0.0933333333333333
SRM	-1.284
OTC	-0.289
TMIE	-0.177333333333333
SNX8	-0.2245
LIPK	-0.6245
CHURC1	0.669416666666667
KLC2	0.2345
HDAC1	-0.447833333333333
FAM128A	0.367
FNDC3B	-0.5727
MTCP1	-0.315833333333333
WFDC10B	0.00100000000000002
PCDHGB3	0.069
ATRNL1	1.7299
CAV2	0.271125
MED26	0.351666666666667
DUS1L	0.28425
CHRM3	-1.53275
NEK9	1.469
WARS2	-0.088
TBX22	-0.805
TOMM40	-1.17375
RP6-213H19.1	-1.1235
TUBGCP5	-0.43675
IGSF6	4.5275
TPPP	0.5312
UNQ6190	-0.0755
GSTM5	1.856875
BTD	1.39766666666667
PDCD1LG2	1.4925
SNRPB2	-0.936166666666667
ERICH1	-0.4495
APOA4	-1.547
HOXA11	-1.67875
NARG1	-0.243
MKX	1.03525
RAB28	0.174642857142857
PKP3	0.703
SH3GL2	-1.1845
CTSO	3.746
RPN2	-0.4285625
IL28RA	-0.391833333333333
SFMBT1	0.39225
WDR57	0.668625
FER1L3	1.09408333333333
HSF5	0.0226666666666667
TTC9B	0.33675
C4BPA	-3.16566666666667
ALB	-3.62457142857143
SORBS3	-0.249375
UPF2	0.6365
JPH1	-0.5695
AGBL2	0.206
DOPEY1	1.493
TERF1	0.2005
KIF22	-0.7805
NINJ1	1.41925
SEC61A2	-0.848166666666667
HIST1H1D	-1.43516666666667
SFXN4	-0.191125
UCP3	0.0286
ZNF703	0.736166666666667
MYL6B	-1.003
TREM1	1.63475
OR52E6	0.634
CKMT2	1.83025
HLA-C	1.3
SLC13A3	-2.10266666666667
TIMP4	0.4475
SLIT2	2.9905
RSF1	0.0487222222222222
LONRF1	-0.608857142857143
MON1A	-0.561
CACNG6	-1.5625
DPPA4	-5.373
ZSWIM3	-0.84625
ZNF804A	0.643
CCIN	1.6955
SLC25A31	-0.627
KCNMB4	-0.48675
RABL5	0.817
GALNS	-0.3666
STX6	0.261875
HIST1H1C	-3.18016666666667
CIDEB	-0.053625
CASP4	-0.305
PDK3	-0.0999
KCNJ11	1.669
TPR	-0.28625
ZSCAN20	-0.533
MTX2	-0.2195
HIST1H2BH	-0.97275
LOC283767	0.5635
LYRM7	-0.2515
BRD3	-0.00216666666666667
HIST1H2BO	-1.472
MAGEB10	-1.384
SLC45A1	1.37925
SERPINA3	0.9701
KIAA0143	0.7505
KCNJ16	1.62716666666667
KRT79	0.191
FABP2	-0.442
NUT	-0.71225
ZNF57	-0.11375
FBXL4	0.815375
CLEC9A	0.955
UGT8	-0.926333333333333
BMP2K	0.3695
MAPK4	-3.5855
SLC25A23	-0.9365
HINT1	0.3927
KRTAP13-1	-0.3615
SFXN5	-0.2972
CHCHD2	-0.31025
FAM3D	0.4875
NDP	-3.019875
RHOBTB1	0.202666666666667
SLC4A4	-0.7315
RPL38	-0.1915
HTF9C	-0.135166666666667
AP2A2	0.618375
ZBTB46	-0.8535
MAP7D1	-0.159375
AOX1	0.533666666666667
CYR61	1.5505
DTNA	-0.829
JRKL	0.63325
TMOD3	0.178
EEA1	0.1525
ADCK5	-0.88275
IL1R1	2.51883333333333
KLK3	2.799
HRSP12	-1.1845
KTN1	-0.42225
LOH11CR2A	0.9016
RELL2	-1.98825
MAB21L1	1.55925
C20orf59	-1.13266666666667
PHKB	-0.3475
ADAM2	-1.418
TBC1D8B	0.743833333333333
FAM13A1	-0.6486875
LAPTM4B	-2.57133333333333
LCN8	0.2895
TMEM147	0.1495
SYT4	0.168833333333333
XPO7	-0.5645
C9orf62	-0.1745
GPR75	0.3355
TRIM5	0.64775
APOC1	-0.764166666666667
RNASE4	1.00916666666667
PARD6B	-0.87225
ARID1A	0.672583333333333
TPD52L3	0.147555555555556
RRAGB	1.07566666666667
RCN2	-1.001
HIST2H2BE	-0.3621875
STARD7	-0.26875
SHMT2	-1.54275
KIAA1751	-0.3885
MLYCD	-0.18225
LOC162632	-0.9295
UQCRH	-1.62775
RP11-217H1.1	0.025875
SDHA	-0.883
NCLN	-0.5118
ZNF17	0.535166666666667
RCBTB2	-1.43075
VEGFB	-0.3265
RP4-747L4.3	0.42425
COLQ	0.877
MPN2	0.407833333333333
DRG2	0.4235
KLRB1	5.6995
ALPK2	-2.22325
DNASE2B	1.02725
FLJ23834	-0.605
AXUD1	1.37633333333333
SAFB	-0.1294
NSUN4	-0.02175
RFX2	0.376333333333333
MAPK8IP1	-0.4655
FANCD2	-1.28821428571429
ANKZF1	-1.3885
C19orf50	-0.6575
DUSP8	1.076125
SENP5	-0.53575
NFKBIL2	-0.7085
LBR	-1.127375
IGFL1	0.725
LZTS2	0.346375
IL2RG	0.093625
CCDC51	0.0405
KLF3	0.107625
ANKRD37	-1.942
KCTD14	-1.8915
FZR1	0.455
SLC44A4	3.8479
ESPL1	-1.126375
GMPR2	0.1442
TBC1D19	-0.271333333333333
ERGIC1	1.23777777777778
ERBB4	3.5729
TSPAN32	0.24275
MAP4	0.16825
GPHN	-0.7735
SLC6A2	0.050375
HIVEP1	0.63075
DFFB	0.0208
EIF4EBP2	0.601375
DMRT1	-0.0455
HSPB6	0.36025
IER2	1.08333333333333
AIFM1	-0.7225
WWC2	-0.505583333333333
MRPL4	-1.0925
FLJ21062	0.6945
EPB41L4A	1.516
SH2D6	0.11375
TAF4B	-0.527
GAL3ST3	-0.83
MALT1	-0.603
RTDR1	0.12525
ARVCF	0.133625
MEX3B	-1.01366666666667
FBXO16	1.021
KIF7	-1.13375
C1QC	3.8095
ZNF783	-0.339666666666667
ZNF85	1.09625
MMP13	2.331
KIAA0329	0.34575
RTP3	-0.318
ZBED3	-0.4755
CLGN	-0.05375
SLC25A37	-1.60225
hCG_18290	0.071
OR5AS1	-0.6075
SMARCC2	0.326916666666667
FAM109A	-0.416166666666667
CCDC12	-0.408
USF2	0.5003
DEPDC7	-2.0295
C20orf24	-1.0595
JMJD3	0.736
DSP	1.82285714285714
SLIC1	0.5145
FAM20A	1.370875
IRF2BP2	1.5715
ZNF230	0.187
MSN	-0.421571428571429
SLC9A5	-1.8345
EPDR1	-1.0704
MUSK	0.248166666666667
ZNF434	0.814
SMARCD1	-0.212666666666667
ZFP106	-0.16725
ZNF347	0.4495
GTF2E1	0.31125
RY1	-0.129166666666667
