Hybridization REF	TCGA-AN-A0XU-01A-11R-A109-07
PTP4A2	-0.178625
OR4M2	0.195
HPCA	-0.369
SEC14L1	0.321333333333333
CHFR	-0.237375
EMILIN1	0.3545
NDUFS4	-1.11225
COL18A1	0.246125
PDZD3	-0.057
C9orf16	-0.435666666666667
ERBB2IP	-0.207833333333333
EMX2	1.6415
FUS	-1.02975
TF	0.6353
CLCN4	1.70083333333333
CXorf56	0.588
C11orf72	0.33175
ELAC2	-0.808
NPR1	-1.72025
ASS1	-0.997666666666667
USP42	-0.166625
POLR2J	-0.9965
SEC23IP	0.610833333333333
UQCRC1	-0.17
LOC729603	0.491
C1orf71	-0.4325
POLG	-0.4675
ADAM23	-3.65575
TFR2	-0.9175
RICTOR	-0.7805
MGC39606	0.45025
C19orf55	-0.15575
SNAPC1	0.101833333333333
GNA11	-0.141375
CCDC52	-0.616
FSIP1	-0.8355
UPF3A	0.021375
IGSF11	-2.146
LAGE3	1.23625
CHST6	1.626
UNC13B	-0.37525
TTLL4	1.0905
ZNF687	0.332125
SDC2	1.6561
COX7A2	0.12175
LAMB4	-0.12075
FAM24A	0.274
LRRTM3	-0.838333333333333
GPHB5	0.2355
OR4C13	0.1535
EIF3EIP	0.155714285714286
HABP4	0.06
TMEM125	4.13625
CNTN2	0.194625
ASNSD1	0.8255
FUT4	-0.1035
ACF	-3.64975
LOC158381	0.6395
CDH8	0.10975
AGPS	0.203833333333333
C4orf18	-0.44025
PECI	-1.14041666666667
UNG	0.570375
GSTP1	-0.139875
DCUN1D5	-0.0165
DKFZP564J0863	0.31975
SLC9A3R1	0.93325
BCDO2	0.068125
CHMP7	-0.67025
REM2	0.5615
DNHD1	-0.423875
FKBP4	-0.43
ZNF350	1.0995
MGC11102	-0.086375
BST1	2.235
KISS1R	0.444
NCR2	0.254
DEFB125	-0.139
UBE2W	0.643
KRT15	2.68375
C10orf99	0.231
SCN11A	0.226
GFI1	-1.75275
RDHE2	1.96983333333333
FHL1	-2.63083333333333
OSGEP	-0.2305
GATA1	-3.43766666666667
SMC6	-0.6735
TTTY14	-0.974
LPIN3	-0.1765
RPL4	-0.8433
RBPMS	-1.633
PRPF3	0.890666666666667
EMR1	0.1395
SPATA19	-0.0585
XCR1	0.5225
IRX3	2.1139
RBM6	-0.97
KLF4	-1.1718
UNC5CL	0.65675
SEBOX	0.234
BTK	-1.13875
KRCC1	0.93925
C6orf27	-0.064
SYTL5	-0.86
PRND	0.022875
LOC653319	-0.7915
PIGL	-0.96075
HUS1	0.362666666666667
SFRS6	0.11125
C17orf77	0.2685
UIMC1	-1.54633333333333
FXYD2	-1.3259
LOC283152	1.9465
ZNF667	0.24975
ZCCHC12	-0.37425
TFEC	2.7153
ATP7B	-1.68583333333333
POLD2	-0.495666666666667
RG9MTD1	0.414
ACOT2	-0.0323333333333333
HIST1H4I	-1.2495
PPARGC1A	1.3739
ETFA	0.154
POLRMT	-1.0835
ZNF146	0.997
MIA2	-1.1055
KLHL6	-0.524333333333333
HOXB5	1.38875
NENF	0.047
CUGBP1	0.3005
PRSS22	1.43533333333333
CASC4	0.4833
CUL4B	0.1375
CENPJ	-0.9533
PITX1	0.974166666666667
FLJ31033	0.132666666666667
CELSR3	-0.713833333333333
ZNF568	1.5065
ITSN1	-0.278333333333333
EHBP1L1	-1.2285
C19orf2	0.7905
DCTN1	-0.14425
LIN28B	-2.41383333333333
TNKS2	-0.62775
C1QBP	0.290125
CADPS2	1.3225
SRMS	0.4665
GJA9	0.141
MGC24975	-0.955
TRIM45	-0.463666666666667
TSP50	0.2915
TCP1	0.38325
TMED7	0.3834
CMA1	0.283
CENPL	0.0203333333333333
PTCRA	-0.5295
FST	-4.31825
VWCE	-3.45875
PAWR	-0.79575
ABCC12	0.039
LDLR	-1.6575
ASTN2	0.0582
LOC441212	-0.1005
GPATCH8	-5.20417042793042e-18
TANC2	-0.308916666666667
KIF4A	-0.48575
C18orf18	-0.70525
PGM1	0.746
KIAA0258	0.94375
CPD	0.08375
SNCAIP	-1.06225
DCT	-4.13733333333333
HLA-DOA	3.36204545454545
OR11L1	0.4185
UPK1B	2.122
DNAJB4	0.495
UGT1A8	-0.21725
HIST1H4L	-0.5425
PECR	-0.271166666666667
HSPA2	1.865
WFIKKN1	-1.2985
SERP1	0.885375
SYDE2	-1.1075
TACR2	0.1305
NUP85	0.28775
CD177	-0.704833333333333
LGR5	-1.02
PIGG	-1.091
PTHR1	-2.36933333333333
RAB5A	-0.0994
FLJ13224	0.1905
USP9Y	-1.98783333333333
C7orf53	0.7405
LRP1B	3.4785
XAF1	1.7445
ABCG8	-0.485
ANKDD1A	-0.259333333333333
DAND5	-0.221
SPAG6	0.3345
LINCR	1.83275
ZDHHC22	-1.38025
CCDC60	0.587
THOC7	-1.35633333333333
TCTA	0.4032
OR8K3	-0.081
NY-REN-7	-0.39875
B2M	1.9055
C6orf141	-1.124
LPPR4	4.957
SQLE	-0.603125
SEPHS1	1.2765
BTBD14B	0.322785714285714
PLRG1	0.55525
SPG7	-0.1356875
ZNF614	0.449
PARD6G	0.073
INPP5B	-0.2599
GRPEL2	-0.108
PPID	-0.6385
TRIM56	-0.67025
UBE2J1	1.70575
IL20RA	2.26
LOC387856	0.77925
C1orf107	0.03625
UTS2R	0.457
C19orf22	-0.753
SAFB2	-0.2115
KIAA0652	-0.315625
KLRG1	-1.1005
MS4A8B	0.272333333333333
FRAG1	-0.7885
KIAA1546	-0.0735
E2F4	-0.6523
CLEC4M	0.0325
BTBD14A	-0.42825
KIAA0999	0.812
GYPA	-3.0865
TAC1	-0.2782
TRAIP	-1.0315
KIAA0232	-0.5546
ERCC8	-0.70525
GPX4	-0.512625
KIAA0368	-1.561125
GPR157	-0.483666666666667
CTAGE4	0.8995
C9orf30	-0.654333333333333
OR52A1	0.2655
HSP90B3P	0.797
ALG9	0.0444
BTBD10	0.122
SDK2	0.52525
BAIAP3	-0.81375
RABGGTB	-1.171125
ANKRD40	-0.1625
KRT74	0.776
CALCOCO2	-0.350071428571429
SNCA	-2.08475
TMSL8	0.6615
C2orf53	0.0915
ESRRB	-0.54825
ARHGAP26	-0.89825
TDRD9	-2.78775
HRAS	-0.5935
KLRC4	-1.733
JAGN1	-0.171
BSDC1	-0.25975
RNF43	-0.5239
NDUFAF1	-1.004
PHF12	0.307
OR1L3	-0.205
FOLR2	1.24058333333333
LYZL6	0.2005
tcag7.1260	-0.583
WSB1	-0.680833333333333
PROS1	-0.1144
OSTN	0.269
PSMB8	1.772
SOCS4	0.57475
DDIT4L	4.574
MAS1	-0.4215
MGC34796	0.0685
CSHL1	0.360666666666667
TBCCD1	0.2405
ZBTB7C	0.0625
AP2S1	-0.062
P15RS	-0.2772
VAT1	-0.8259
SHANK3	0.6675
TUFM	-0.290333333333333
THEG	0.2675
KRT34	-1.802
SGSM3	-0.483
TOMM22	0.126
SOCS3	1.65283333333333
CPO	0.6125
POP4	1.03075
BHLHB3	2.16575
MALL	3.7675
OR1B1	0.3775
PARK2	0.3225
GPR124	-0.971875
LCE1E	-0.356
RUVBL2	-0.33025
CGRRF1	0.8837
ACPL2	-0.63875
WNT10B	-0.880625
BAIAP2L2	-0.5735
ISCA1	-0.6735
C1orf125	-0.233375
RPAP1	-1.433
RAI16	-0.985666666666667
RPL27	-1.087375
NLRP9	-0.4805
EPN1	0.1595
LOC388610	-0.13675
SLC35A1	0.4374
GAL	-2.8005
SLC14A2	0.31775
RDH11	-0.370833333333333
FAM138F	-0.5055
AUH	-1.042
FLJ40243	0.2475
C14orf129	1.2445
MBD2	-0.2445
ABHD14B	-0.89725
PIGT	0.37925
ALS2CR4	1.13025
ALAS1	-0.0217
FOXO1	-0.528166666666667
CRLF3	-0.70975
C20orf107	0.4365
FARS2	-0.34425
CCDC28A	1.269
NPHP3	-1.1185
OR13F1	0.3495
TSEN54	-0.19225
DEFB106B	0.1953
OR8B4	0.784
STH	-0.61225
ZC3H14	0.281875
CBX2	-0.377
TMEM49	-1.18175
C6orf21	0.281
FLJ20920	0.351875
CRTAP	-1.71292857142857
DDX50	-0.54725
STYXL1	-0.56975
BLVRB	0.049
LOC147650	0.378666666666667
MMP24	0.0475
GRID1	0.4355
BANF1	-0.593833333333333
CTAGEP	0.82525
HMBS	-1.3345
SLC25A24	-0.058
C14orf50	1.7505
MRO	0.638
SLC25A15	-1.0385
FAM84B	1.5452
TDP1	0.1425
C16orf78	0.188333333333333
C11orf57	-0.171375
RFK	-0.46975
ZFYVE9	0.371625
STCH	1.4427
WIBG	0.24275
LOC283871	-0.456
GBA2	-0.9634
NDUFB3	0.9355
HSD17B13	-0.56725
GRIN3A	1.71266666666667
FMNL1	-0.616666666666667
SEPT7	-0.3281
GNLY	5.2525
GRAMD1C	0.605166666666667
ZNF165	1.74825
USP38	1.5705
FAM83A	-2.26933333333333
C14orf24	0.638916666666667
ARMCX3	1.1595
ARHGDIB	-0.693166666666667
AK1	0.146875
KIAA1045	-0.39075
DNAJB13	-0.419
NEU2	-0.085
HIST1H4B	-0.692
FAM20B	0.2996
HES2	0.373071428571429
FAM73B	-0.9638
LOC388381	0.10025
INTS7	-0.0549090909090909
AMPH	2.57025
ZNF775	-0.271375
UCKL1	-0.368
C10orf97	0.7055
C1orf161	-0.0175
ALDH1L1	-0.27075
FLJ39378	-0.788
SLC23A1	-1.64
RBM4B	0.18225
THAP4	0.1245
OGFRL1	3.22075
KIAA0831	0.138
PPP1R15A	-0.131
C1orf96	0.253357142857143
C12orf11	-0.89525
BMF	-0.058625
MAN1A1	-0.01925
KIAA1600	0.5775
NLGN4X	-1.74675
ALOX12	-1.2485
RB1CC1	0.1366
NEIL2	-0.7394
EIF4E	-0.500409090909091
ABHD5	-0.08925
EXOC4	-0.342
CIP29	0.121333333333333
BATF2	2.05625
SLC29A4	-0.475625
HTR4	0.18625
EMB	-1.174
TRAF6	0.99825
LMNB1	-0.89875
FAM19A5	0.935875
SHE	0.64575
PIK3C2B	-0.28125
C15orf15	-0.779
USP15	0.00910000000000001
TCEAL2	4.0245
C5orf39	1.4025
PTGER2	0.77525
SLC31A1	-0.61425
IFT172	1.717
ADAM29	0.27225
GFOD1	0.841
ST7L	0.351333333333333
C15orf26	-2.60275
PKN3	-1.57025
CNTD1	0.539666666666667
COMMD1	0.853875
NTRK2	2.594
FOXN3	0.593375
MFGE8	0.8651
PFKFB2	0.0168333333333333
TAS2R4	-0.624
ENTHD1	0.519
PRMT5	-0.31525
MGC16384	-1.2585
LOC442229	0.149
TSKU	1.10875
KRTCAP3	3.69075
PDLIM1	0.4015
KCNS2	0.097
RNF126	-1.17333333333333
CEP63	0.20575
CLIC4	-0.123875
hCG_1990170	-1.4405
ACR	0.584
KLK7	3.08575
ALOX5AP	3.21375
RIPK3	3.4655
TAS2R9	0.2125
C19orf18	1.3715
BIRC6	0.0872857142857143
ZNF16	1.286
RFT1	-1.07975
SLC8A2	-0.23075
TACC1	0.16925
ITGAD	0.254
SAMHD1	1.43225
SH3PXD2B	1.6912
EPC2	0.9785
C20orf85	0.249125
ATP13A2	0.553666666666667
KRT4	1.0055
CAPNS1	-0.04675
MDM2	-0.774083333333333
PCDH20	2.29275
KCNK9	0.4115
OR2C1	-0.0165
KLHDC3	-0.7485
IPPK	0.2905
EFHD2	-0.688
GALR3	0.7045
NBEA	-0.654
ABCA6	0.9604
CLDN3	-0.150666666666667
AKT2	-0.428071428571429
EGFR	0.9016
RBM16	0.624625
ZDHHC3	-0.4272
SLC25A4	0.4025
CYB5B	-1.01816666666667
CPXM1	-0.42425
NDRG1	0.577538461538461
FLJ43826	0.3285
OR5L2	0.210333333333333
FARP2	-0.4005
MRPL46	0.343833333333333
LDHAL6B	0.233166666666667
MAPKAPK3	-0.7035
NCAM2	-2.01325
PRKD2	0.118166666666667
ZFP36L1	1.0478
CYSLTR1	-1.07125
OR4C3	0.21825
HIST1H2AJ	0.342
CCNB2	-0.864222222222222
ZNF10	0.258125
TMEM175	0.1345
FAM134A	0.461166666666667
TIGD4	-0.2625
PCNP	-0.11075
MGC39715	-0.439
LQK1	0.373
CREB1	0.5624
TMPRSS3	1.785
C4orf32	-0.29925
LAT	-1.48058333333333
KCNA3	0.224
SKIV2L2	-1.21725
ROPN1B	0.89525
tcag7.23	-0.445
CDT1	-0.631625
ZHX2	0.85475
CD28	-4.0015
ZNF624	-0.79275
SEPT2	1.08575
SOHLH2	-0.4065
MCOLN3	0.641625
UNQ1945	0.3715
MASP2	-0.8145
ZNRF3	0.0803
GPATCH3	-0.5365
AGL	0.748375
QRICH2	0.652
PSD4	0.297666666666667
CCNB1IP1	-0.86225
ENPP7	0.2015
OBFC1	0.36975
KCNG3	-1.9525
C14orf79	-0.08975
ENPEP	0.457833333333333
SCT	0.345
SKI	0.64375
SEC61G	-1.0245
CAPN11	-0.23625
ATXN7L3	-0.4185
DBNDD1	-0.595666666666667
FAIM	1.296
ANKRD36	0.1375
GABRP	5.479
TACSTD2	2.28683333333333
EIF3J	-0.566
PPP2R2A	-0.712
TEKT4	0.425333333333333
PVALB	-3.54533333333333
F10	-3.235
FAM134C	0.0569
COMP	3.113125
EFCBP1	-2.573125
SCLT1	0.942875
TAL1	-1.5974
ACSL1	1.1315
ABCC5	0.0211666666666667
ABL1	-0.752277777777778
RBBP7	0.170583333333333
PTPRG	-2.2565
NCOR1	-0.5969
SPINK4	-1.7285
TXNRD1	-0.2655
TNRC15	0.635875
C9orf138	0.143875
UBE2H	1.086
BRDT	-0.0481666666666667
C8orf31	-0.09075
CCNE2	-0.128363636363636
SLC6A8	-1.951375
CALCR	-3.941
PPP1CB	1.22341666666667
ABHD8	0.87225
ARF5	0.7566
SLC24A4	0.506
CCT3	0.405
ZNF121	0.321
SLC3A2	0.9902
OR13A1	0.2815
SLC5A10	0.303
RAD50	-0.33375
IER5	0.273
MTHFD1L	-0.31625
MBTPS2	-0.391
MVK	-0.89625
NCL	0.4311
PSMD10	-0.06875
MOBP	0.20625
FLJ32894	0.138
HRH1	0.548333333333333
C5orf30	-1.58925
NUDT16L1	0.4189
RASGRP3	5.77
PRKRIP1	-1.1648
CCDC75	0.798
LOC253970	-0.098
KIAA1239	0.262
MED21	0.7195
SYT11	0.60175
NTSR2	0.7945
EGFL11	0.071
CXorf59	0.086
OR2A25	0.283
SPTBN2	-0.1325
LRMP	-1.37433333333333
RNF111	-0.21325
PTH	0.245
LOC619208	1.80966666666667
KIAA0895	0.50825
RANBP5	-0.664125
P2RY10	0.667333333333333
NME5	1.09066666666667
DDX21	-0.696
LRSAM1	-0.534
HDAC11	-0.367166666666667
VMO1	3.7265
NOLA2	-0.469333333333333
ADAR	0.8145
MTO1	-0.183
SF4	-0.0375
P2RX1	0.467166666666667
HBM	0.36125
EN2	0.7585
C14orf172	0.34075
TM9SF2	-0.2197
INHBE	-1.24016666666667
TCTE3	0.0741666666666667
TOX2	-1.37475
CTAGE3	0.656
HBB	2.3438
MED15	-0.575166666666667
CASR	0.358
C6orf66	0.699
MTPN	-0.18475
UNC50	0.229
C21orf33	-0.4245
IRF2	0.387375
PGR	-2.491
GPR84	2.7975
CROCCL1	-1.579
SRPX	0.28675
BRE	-0.160666666666667
FGF10	0.43325
SDC3	0.825833333333333
ZRSR1	-0.00866666666666667
DKFZP434P211	-0.4815
SOX6	0.1015
RPUSD2	-0.133
C14orf173	-0.336583333333333
MAPK11	-0.310166666666667
TBC1D22A	-0.4845
FAM123A	-0.5775
COL4A6	-3.87466666666667
TOMM70A	0.1525
NAB1	1.960875
MGC16385	1.560125
TSPAN18	-0.7815
MED31	-0.44975
PLG	-0.17
CAPSL	2.036
ZNF532	1.6388
ASB14	-0.20675
CA8	-3.4795
NUDT16P	0.591166666666667
SLFN11	0.7845
LRRIQ2	0.543375
NOL7	-0.484333333333333
BRMS1L	0.844
JARID1A	0.853833333333333
PANK2	-0.45925
ICAM3	-0.2715
MDS1	-0.7795
TAF8	-0.7925
RNF139	0.85825
ZNF594	0.837166666666667
ADAM8	2.966
SFTPC	-0.287625
MAN2B2	0.15575
RGS12	-0.446125
EIF1AY	-4.44275
LRRIQ1	-0.272
GPR150	0.72025
CCDC21	-1.10766666666667
PRRG3	0.71775
SAA4	-3.4185
RAPGEF5	0.753125
ZCCHC2	0.364083333333333
MGC39372	0.144
PPP4R2	0.490666666666667
CDCA2	-0.568333333333333
OR4D5	0.405166666666667
PTGFRN	0.6041
SIGLEC5	2.14033333333333
C19orf61	-0.2145
NMUR2	0.2775
KIAA1586	-0.254833333333333
DAGLA	-0.541333333333333
CHCHD6	-0.2465
GPR32	0.1795
NEUROD6	0.148666666666667
SLC2A4RG	-0.00487500000000001
CA5B	-0.41625
FBXL3	1.0765
MPHOSPH9	-1.33225
HMG2L1	0.166
HCN4	0.179333333333333
CEACAM19	1.602
SH2D4B	0.5355
HFE2	-0.785
TGM4	0.0272
LYPD2	0.17575
TBC1D15	0.23875
MRPS21	0.42
NONO	-0.7198
CLEC5A	2.228
ITCH	-0.1107
MGAT3	1.06533333333333
MBP	-0.123
RPP25	0.25525
SOSTDC1	2.98825
HRC	-2.0205
TRIM48	0.112
TMEM133	0.838
ECEL1P2	-0.929
HOXC11	0.731
DOK5	0.73075
HELZ	-0.742166666666667
LOC348180	0.0255
MGC33894	0.1625
ADRB3	-0.1285
DMD	0.120333333333333
PTRH2	0.508
MPEG1	2.94933333333333
NDUFA12	0.425333333333333
KRTAP2-4	0.0320833333333333
STAMBPL1	-0.669166666666667
ADCY2	-0.398666666666667
UNQ6125	0.44
KLHL20	0.471666666666667
SRM	-1.15175
OTC	-0.13125
TMIE	0.7265
SNX8	0.34875
LIPK	1.303
CHURC1	0.332833333333333
KLC2	-0.0178333333333333
HDAC1	-0.5005
FAM128A	-0.232166666666667
FNDC3B	0.2546
MTCP1	0.227333333333333
WFDC10B	0.0888
PCDHGB3	0.3635
ATRNL1	-2.2718
CAV2	0.8505
MED26	0.126
DUS1L	0.631
CHRM3	-0.083875
NEK9	-0.00875
WARS2	0.2035
TBX22	0.056
TOMM40	-0.31725
RP6-213H19.1	0.328666666666667
TUBGCP5	0.161
IGSF6	5.13275
TPPP	0.506166666666667
UNQ6190	0.073
GSTM5	-0.566625
BTD	-0.1855
PDCD1LG2	0.437166666666667
SNRPB2	-0.00283333333333334
ERICH1	-1.106875
APOA4	-1.281625
HOXA11	2.4855
NARG1	0.19425
MKX	0.223
RAB28	-0.977928571428571
PKP3	0.7185
SH3GL2	-1.074
CTSO	1.48175
RPN2	0.4991875
IL28RA	0.204833333333333
SFMBT1	0.3215
WDR57	-0.65225
FER1L3	0.0198333333333334
HSF5	0.3275
TTC9B	0.253
C4BPA	-3.65516666666667
ALB	-3.78378571428571
SORBS3	0.307875
UPF2	0.238
JPH1	-0.2015
AGBL2	-1.0665
DOPEY1	1.71
TERF1	-0.554416666666667
KIF22	-0.419
NINJ1	-0.448
SEC61A2	0.286833333333333
HIST1H1D	-0.516666666666667
SFXN4	-0.606125
UCP3	0.7669
ZNF703	0.413333333333333
MYL6B	0.5395
TREM1	2.842
OR52E6	0.376
CKMT2	0.8965
HLA-C	3.183875
SLC13A3	0.306833333333333
TIMP4	-0.95025
SLIT2	-0.024
RSF1	0.301166666666667
LONRF1	-0.870285714285714
MON1A	-0.234
CACNG6	-1.1995
DPPA4	-4.82133333333333
ZSWIM3	0.92975
ZNF804A	0.248333333333333
CCIN	0.8265
SLC25A31	0.8325
KCNMB4	0.54675
RABL5	-0.34325
GALNS	0.5869
STX6	0.89225
HIST1H1C	-1.925
CIDEB	0.313875
CASP4	0.3935
PDK3	2.1063
KCNJ11	-0.167
TPR	-0.721
ZSCAN20	0.231
MTX2	-0.302
HIST1H2BH	-0.82075
LOC283767	2.478
LYRM7	-1.792
BRD3	-0.915
HIST1H2BO	-0.89575
MAGEB10	0.4225
SLC45A1	0.0695
SERPINA3	2.85045
KIAA0143	0.3055
KCNJ16	0.684333333333333
KRT79	0.3935
FABP2	-0.4025
NUT	1.36125
ZNF57	-0.92525
FBXL4	0.214625
CLEC9A	-0.1635
UGT8	2.32033333333333
BMP2K	-0.32675
MAPK4	0.515
SLC25A23	-0.9011
HINT1	-0.8485
KRTAP13-1	0.154
SFXN5	-0.5117
CHCHD2	-0.850333333333333
FAM3D	2.209
NDP	-2.6845
RHOBTB1	-1.01233333333333
SLC4A4	-0.57425
RPL38	-0.05025
HTF9C	0.0855
AP2A2	-0.369
ZBTB46	0.1305
MAP7D1	-0.16075
AOX1	0.7545
CYR61	-0.7085
DTNA	-1.45735714285714
JRKL	1.06025
TMOD3	-0.60325
EEA1	0.5252
ADCK5	0.1665
IL1R1	1.14833333333333
KLK3	0.193857142857143
HRSP12	0.3585
KTN1	0.28725
LOH11CR2A	0.4243
RELL2	-1.59725
MAB21L1	0.77125
C20orf59	-1.39383333333333
PHKB	-0.07125
ADAM2	-1.34716666666667
TBC1D8B	1.79333333333333
FAM13A1	-0.59875
LAPTM4B	0.282583333333333
LCN8	0.053
TMEM147	0.4985
SYT4	-0.310833333333333
XPO7	-0.529
C9orf62	0.66675
GPR75	0.667
TRIM5	0.51175
APOC1	-0.707666666666667
RNASE4	-0.145
PARD6B	-2.392875
ARID1A	-0.141833333333333
TPD52L3	0.0323
RRAGB	0.817
RCN2	0.664666666666667
HIST2H2BE	-0.5611875
STARD7	0.4125
SHMT2	-0.1635
KIAA1751	0.0985
MLYCD	1.087125
LOC162632	0.6475
UQCRH	-0.622
RP11-217H1.1	1.2891875
SDHA	-0.310333333333333
NCLN	-0.7092
ZNF17	0.505833333333333
RCBTB2	0.355
VEGFB	-0.8255
RP4-747L4.3	1.83425
COLQ	0.0092
MPN2	-0.396833333333333
DRG2	-0.184
KLRB1	4.88625
ALPK2	-2.8845
DNASE2B	-0.2265
FLJ23834	-0.736
AXUD1	0.819833333333333
SAFB	-0.5297
NSUN4	0.218
RFX2	0.0413333333333333
MAPK8IP1	-0.675666666666667
FANCD2	-0.218571428571429
ANKZF1	-0.888166666666666
C19orf50	0.031625
DUSP8	0.543375
SENP5	0.569875
NFKBIL2	-0.432
LBR	-0.224875
IGFL1	0.7165
LZTS2	0.209125
IL2RG	-0.1875
CCDC51	-0.035
KLF3	0.086625
ANKRD37	-0.89375
KCTD14	2.97366666666667
FZR1	-0.734
SLC44A4	-1.1676
ESPL1	-0.4245
GMPR2	-0.4101
TBC1D19	-0.467166666666667
ERGIC1	-0.119111111111111
ERBB4	-1.5717
TSPAN32	0.247833333333333
MAP4	-0.619625
GPHN	-0.82225
SLC6A2	0.38225
HIVEP1	-0.076
DFFB	-0.6195
EIF4EBP2	-0.343
DMRT1	4.93175
HSPB6	-0.24325
IER2	-0.0975
AIFM1	0.00725
WWC2	0.2885
MRPL4	-0.047
FLJ21062	-0.163
EPB41L4A	-0.100833333333333
SH2D6	0.6945
TAF4B	0.061
GAL3ST3	-0.2315
MALT1	0.640833333333333
RTDR1	1.062
ARVCF	-0.017875
MEX3B	1.59116666666667
FBXO16	0.215
KIF7	0.60125
C1QC	3.81583333333333
ZNF783	-0.249333333333333
ZNF85	-1.08225
MMP13	0.82
KIAA0329	0.039375
RTP3	-0.386
ZBED3	-0.2985
CLGN	-1.33625
SLC25A37	0.0385416666666667
hCG_18290	-0.46375
OR5AS1	0.367
SMARCC2	0.115916666666667
FAM109A	0.2935
CCDC12	-0.7825
USF2	0.271
DEPDC7	-0.00975
C20orf24	0.452
JMJD3	-0.474
DSP	1.52035714285714
SLIC1	0.59425
FAM20A	3.31325
IRF2BP2	0.85
ZNF230	0.2305
MSN	0.903285714285714
SLC9A5	-1.072
EPDR1	-0.776
MUSK	0.047
ZNF434	0.0436666666666667
SMARCD1	-0.0483333333333333
ZFP106	-0.575
ZNF347	0.4817
GTF2E1	0.0965
RY1	0.383
ATAD2B	0.2255
