Hybridization REF	TCGA-A7-A0CD-01A-11R-A00Z-07
CST7	-0.79125
CIAO1	-1.344
SELL	-0.016
OR8J3	0.6
LTBP4	-0.403
SIRT6	-0.118
CCL19	1.807
PPIL1	-0.265166666666667
GBP7	0.285166666666667
STK17A	-1.7231
ABR	-0.57725
OR9G1	0.468
FOXE1	-0.644125
CNGA3	3.6095
GML	-0.033
CD38	-2.92675
ZDHHC6	-0.0368333333333333
NEFH	-2.58075
CTDSP2	1.02833333333333
PGBD5	-1.83283333333333
CCNY	0.141071428571429
RMND5B	1.01333333333333
ZNF257	-0.07275
FLJ22167	-0.311875
EXOSC7	-0.57
ROR2	1.694875
MAOA	-0.18425
TNNT3	0.150333333333333
GYPC	-1.55825
C7orf33	1.0475
PLIN	3.712
LOC90826	-0.268
RNF4	-0.2696
F8A1	0.675
PLEKHG4	-1.89625
GRB2	0.6046
HIST1H2AD	1.001
DUS3L	-0.389333333333333
EIF1	0.253166666666667
RP5-1077B9.4	-1.2045
FPGT	2.244
GDF10	-1.32716666666667
COQ9	-0.75975
GCC2	0.237857142857143
RARRES3	3.058625
PLXNA1	-0.8858
KIAA0100	0.4553
PMF1	-0.4245
FNDC1	4.738
HS2ST1	-0.427333333333333
CRELD2	0.61475
C8G	-2.7485
CD82	-0.219
LIM2	-1.0215
UNQ6490	-0.395
MMP16	-1.0435
DRD3	-0.148
C5orf26	0.0185
C11orf73	-0.382125
PTP4A2	0.3075
OR4M2	-0.1605
HPCA	-0.717833333333333
SEC14L1	-0.970333333333333
CHFR	-0.6885
EMILIN1	0.408875
NDUFS4	-0.24375
COL18A1	0.293625
PDZD3	0.0362
C9orf16	-0.6585
ERBB2IP	1.07333333333333
EMX2	1.612
FUS	-0.96625
TF	-3.6744
CLCN4	-0.836
CXorf56	0.82275
C11orf72	0.62
ELAC2	-1.06733333333333
NPR1	-0.73225
ASS1	-3.326
USP42	-0.193
POLR2J	-1.0785
SEC23IP	0.519333333333333
UQCRC1	0.53875
LOC729603	-0.317
C1orf71	0.1765
POLG	-2.4195
ADAM23	-3.8985
TFR2	-1.6075
RICTOR	-0.6815
MGC39606	0.67225
C19orf55	-0.1255
SNAPC1	-2.19133333333333
GNA11	1.002
CCDC52	-0.316833333333333
FSIP1	5.5665
UPF3A	-1.620375
IGSF11	-2.68883333333333
LAGE3	-0.43575
CHST6	-2.922
UNC13B	2.268125
TTLL4	-1.284125
ZNF687	0.86875
SDC2	0.015
COX7A2	-0.82125
LAMB4	0.605333333333333
FAM24A	-0.84
LRRTM3	-0.469666666666667
GPHB5	-0.07625
OR4C13	-0.5995
EIF3EIP	0.219357142857143
HABP4	0.258
TMEM125	3.4835
CNTN2	0.167875
ASNSD1	-0.3305
FUT4	-0.254375
ACF	-3.213
LOC158381	1.319
CDH8	0.478
AGPS	-1.42983333333333
C4orf18	2.917125
PECI	1.00058333333333
UNG	0.241125
GSTP1	-3.157625
DCUN1D5	-1.2155
DKFZP564J0863	-1.09225
SLC9A3R1	2.626
BCDO2	0.55225
CHMP7	0.443125
REM2	0.0405
DNHD1	-0.6595
FKBP4	0.181875
ZNF350	2.86025
MGC11102	-0.631375
BST1	0.573
KISS1R	0.795
NCR2	-0.0245
DEFB125	0.071
UBE2W	1.243125
KRT15	4.904
C10orf99	0.153
SCN11A	0.123285714285714
GFI1	-2.99775
RDHE2	5.91733333333333
FHL1	-1.53816666666667
OSGEP	-0.598333333333333
GATA1	-3.32633333333333
SMC6	-0.723
TTTY14	-1.20575
LPIN3	0.413
RPL4	-0.653
RBPMS	0.6128
PRPF3	-0.00483333333333333
EMR1	-2.428
SPATA19	-0.71125
XCR1	0.1505
IRX3	2.3968
RBM6	-0.4905
KLF4	1.8041
UNC5CL	-1.7265
SEBOX	-0.0045
BTK	-1.37975
KRCC1	-0.4595
C6orf27	2.142
SYTL5	0.675
PRND	2.136375
LOC653319	-1.968
PIGL	-0.458625
HUS1	-1.21033333333333
SFRS6	-2.11658333333333
C17orf77	0.4125
UIMC1	-0.481
FXYD2	-2.0301
LOC283152	1.648
ZNF667	1.49975
ZCCHC12	-1.0165
TFEC	1.6425
ATP7B	-1.03666666666667
POLD2	-1.35116666666667
RG9MTD1	-0.13775
ACOT2	-0.086
HIST1H4I	-0.0755
PPARGC1A	-2.769
ETFA	-1.6669
POLRMT	0.037
ZNF146	0.205875
MIA2	-1.412
KLHL6	-1.92666666666667
HOXB5	2.975375
NENF	0.897
CUGBP1	0.20275
PRSS22	1.03816666666667
CASC4	1.5634
CUL4B	0.4064
CENPJ	-1.9465
PITX1	0.406833333333333
FLJ31033	0.883666666666667
CELSR3	-0.293666666666667
ZNF568	1.34225
ITSN1	-0.298
EHBP1L1	-0.593166666666667
C19orf2	-0.0115
DCTN1	0.06875
LIN28B	-2.83883333333333
TNKS2	-1.087
C1QBP	-1.393375
CADPS2	-1.21
SRMS	0.62675
GJA9	-0.0596666666666667
MGC24975	-0.3295
TRIM45	0.563666666666667
TSP50	-0.37625
TCP1	-1.9865
TMED7	1.0014
CMA1	-0.0675
CENPL	-0.609333333333333
PTCRA	-0.0495
FST	-3.89675
VWCE	-4.23225
PAWR	0.90325
ABCC12	0.404833333333333
LDLR	0.8673
ASTN2	-0.3496
LOC441212	-1.303375
GPATCH8	0.26
TANC2	-0.468666666666667
KIF4A	-1.9365
C18orf18	-0.5645
PGM1	-1.265
KIAA0258	0.74975
CPD	1.3655
SNCAIP	-1.3775
DCT	-4.04516666666667
HLA-DOA	2.07409090909091
OR11L1	0.472
UPK1B	-0.4615
DNAJB4	-0.70325
UGT1A8	0.132
HIST1H4L	-0.4765
PECR	-1.55
HSPA2	0.284
WFIKKN1	-3.1915
SERP1	1.082125
SYDE2	1.62025
TACR2	1.008
NUP85	-0.232
CD177	-0.8545
LGR5	-2.07
PIGG	-0.0364166666666667
PTHR1	-2.57133333333333
RAB5A	0.4041
FLJ13224	-0.0585
USP9Y	-1.55516666666667
C7orf53	-2.422
LRP1B	-1.1045
XAF1	2.0338
ABCG8	-0.302
ANKDD1A	-0.709666666666667
DAND5	-0.7875
SPAG6	5.54366666666667
LINCR	-0.40625
ZDHHC22	-1.3995
CCDC60	0.881
THOC7	-1.19966666666667
TCTA	1.83
OR8K3	0.39175
NY-REN-7	-0.51425
B2M	0.894666666666667
C6orf141	-3.03425
LPPR4	1.21875
SQLE	-0.966
SEPHS1	-0.7135
BTBD14B	0.439571428571429
PLRG1	-0.40425
SPG7	-0.709625
ZNF614	0.0936666666666667
PARD6G	1.2465
INPP5B	-0.6956
GRPEL2	-0.41
PPID	-0.9393
TRIM56	-0.42225
UBE2J1	-1.05025
IL20RA	0.151
LOC387856	-0.31975
C1orf107	1.09408333333333
UTS2R	0.78125
C19orf22	0.211
SAFB2	0.114125
KIAA0652	0.5825
KLRG1	-1.346
MS4A8B	0.4135
FRAG1	0.2935
KIAA1546	0.501
E2F4	-1.4372
CLEC4M	-0.3495
BTBD14A	-1.33775
KIAA0999	2.2044
GYPA	-3.5284
TAC1	0.441
TRAIP	-1.08833333333333
KIAA0232	0.8714
ERCC8	-1.331125
GPX4	0.164125
KIAA0368	-0.093125
GPR157	-0.8285
CTAGE4	0.891
C9orf30	-1.03933333333333
OR52A1	0.3305
HSP90B3P	-0.285
ALG9	0.075
BTBD10	1.02775
SDK2	0.1395
BAIAP3	-0.6695
RABGGTB	-0.84925
ANKRD40	0.769166666666667
KRT74	0.022
CALCOCO2	1.08864285714286
SNCA	-3.63225
TMSL8	-3.45025
C2orf53	0.2505
ESRRB	-0.61375
ARHGAP26	-1.998875
TDRD9	-3.56
HRAS	0.0778333333333333
KLRC4	-2.5495
JAGN1	0.461166666666667
BSDC1	0.273
RNF43	0.2219
NDUFAF1	0.714
PHF12	0.61275
OR1L3	0.706
FOLR2	1.4795
LYZL6	0.243166666666667
tcag7.1260	-2.3515
WSB1	-1.10033333333333
PROS1	-1.245
OSTN	0.466
PSMB8	1.3725
SOCS4	-0.21625
DDIT4L	3.75925
MAS1	1.5025
MGC34796	1.74975
CSHL1	0.2825
TBCCD1	0.111
ZBTB7C	-0.0225
AP2S1	-1.296625
P15RS	0.5644
VAT1	0.8058
SHANK3	0.882666666666667
TUFM	-0.281
THEG	-0.5535
KRT34	-1.62566666666667
SGSM3	0.349125
TOMM22	0.549375
SOCS3	0.824333333333333
CPO	1.2025
POP4	0.544
BHLHB3	-0.031
MALL	0.742
OR1B1	0.033
PARK2	0.222333333333333
GPR124	0.696375
LCE1E	0.9365
RUVBL2	-0.37425
CGRRF1	0.8623
ACPL2	0.8955
WNT10B	-2.99225
BAIAP2L2	-2.19825
ISCA1	0.424
C1orf125	0.124
RPAP1	-0.53575
RAI16	0.799333333333333
RPL27	0.2465
NLRP9	-0.024
EPN1	0.624
LOC388610	-2.26375
SLC35A1	0.432
GAL	-4.46175
SLC14A2	0.2915
RDH11	-1.49383333333333
FAM138F	-0.524
AUH	0.06625
FLJ40243	-0.29475
C14orf129	0.0213333333333333
MBD2	0.0656666666666667
ABHD14B	0.87125
PIGT	0.97625
ALS2CR4	-0.705
ALAS1	-0.0586
FOXO1	1.0595
CRLF3	-0.508875
C20orf107	-0.353
FARS2	1.753
CCDC28A	0.83275
NPHP3	-0.9115
OR13F1	0.126
TSEN54	0.33025
DEFB106B	0.4052
OR8B4	-0.238
STH	1.73325
ZC3H14	-0.235
CBX2	0.0585
TMEM49	-0.5495
C6orf21	0.511
FLJ20920	2.945375
CRTAP	0.0255714285714286
DDX50	-0.39775
STYXL1	0.21525
BLVRB	0.763333333333333
LOC147650	-0.433833333333333
MMP24	0.6525
GRID1	1.42283333333333
BANF1	-0.451166666666667
CTAGEP	0.2225
HMBS	-2.438
SLC25A24	0.526333333333333
C14orf50	1.16975
MRO	0.644833333333333
SLC25A15	-1.82725
FAM84B	1.6505
TDP1	-1.218
C16orf78	0.131166666666667
C11orf57	0.170875
RFK	-0.126375
ZFYVE9	0.044
STCH	-1.5855
WIBG	0.66025
LOC283871	-0.757
GBA2	-0.3569
NDUFB3	-0.647
HSD17B13	-0.47075
GRIN3A	0.897833333333333
FMNL1	-1.3375
SEPT7	-1.0103
GNLY	2.3715
GRAMD1C	1.52383333333333
ZNF165	2.13225
USP38	0.3945
FAM83A	-3.112
C14orf24	0.0949166666666666
ARMCX3	1.1655
ARHGDIB	2.114
AK1	-0.34275
KIAA1045	-0.13775
DNAJB13	-0.622666666666667
NEU2	-0.631
HIST1H4B	-0.337
FAM20B	1.0288
HES2	-0.5885
FAM73B	-0.3487
LOC388381	0.089
INTS7	0.273909090909091
AMPH	0.83725
ZNF775	-0.429625
UCKL1	-1.07016666666667
C10orf97	0.07825
C1orf161	-0.584
ALDH1L1	-0.924
FLJ39378	0.24725
SLC23A1	-3.0485
RBM4B	0.77925
THAP4	0.333833333333333
OGFRL1	1.4915
KIAA0831	0.5655
PPP1R15A	-0.267833333333333
C1orf96	0.279714285714286
C12orf11	-2.20375
BMF	0.39775
MAN1A1	-2.112
KIAA1600	0.551333333333333
NLGN4X	-1.40775
ALOX12	-1.59516666666667
RB1CC1	0.518
NEIL2	1.2295
EIF4E	-0.375045454545455
ABHD5	-0.59225
EXOC4	-0.487666666666667
CIP29	-0.570666666666667
BATF2	0.981
SLC29A4	-1.1
HTR4	0.44975
EMB	-2.2345
TRAF6	1.23375
LMNB1	-1.3825
FAM19A5	0.08575
SHE	1.74375
PIK3C2B	-0.025
C15orf15	-0.3214
USP15	0.2496
TCEAL2	1.1495
C5orf39	-1.9785
PTGER2	-2.173
SLC31A1	-0.778
IFT172	0.51275
ADAM29	0.55725
GFOD1	1.9895
ST7L	0.946666666666667
C15orf26	-3.19625
PKN3	-1.25475
CNTD1	4.01216666666667
COMMD1	0.46675
NTRK2	2.17118181818182
FOXN3	0.228375
MFGE8	-0.9757
PFKFB2	1.87383333333333
TAS2R4	0.1775
ENTHD1	-0.869
PRMT5	-0.816625
MGC16384	-0.54275
LOC442229	-0.374
TSKU	2.09075
KRTCAP3	2.815375
PDLIM1	0.824
KCNS2	0.55775
RNF126	-1.03066666666667
CEP63	0.705375
CLIC4	0.120875
hCG_1990170	-0.61625
ACR	0.1372
KLK7	-0.59125
ALOX5AP	2.9065
RIPK3	1.9615
TAS2R9	0.686
C19orf18	2.149
BIRC6	-0.498785714285714
ZNF16	1.3705
RFT1	0.15125
SLC8A2	-0.52825
TACC1	-0.8005
ITGAD	0.7905
SAMHD1	0.2035
SH3PXD2B	0.3889
EPC2	1.1235
C20orf85	0.108428571428571
ATP13A2	0.292833333333333
KRT4	0.38125
CAPNS1	0.34125
MDM2	0.811916666666667
PCDH20	3.57625
KCNK9	0.2945
OR2C1	0.3425
KLHDC3	-0.282333333333333
IPPK	0.4255
EFHD2	0.242
GALR3	0.71425
NBEA	0.554833333333333
ABCA6	1.8733
CLDN3	0.199833333333333
AKT2	-0.448785714285714
EGFR	-3.0465
RBM16	-0.103375
ZDHHC3	0.6712
SLC25A4	-1.345
CYB5B	-1.0005
CPXM1	-1.1905
NDRG1	-0.731615384615385
FLJ43826	0.6295
OR5L2	-0.2385
FARP2	0.1781
MRPL46	-0.6225
LDHAL6B	0.2655
MAPKAPK3	0.3305
NCAM2	-2.5035
PRKD2	0.876666666666667
ZFP36L1	1.8767
CYSLTR1	0.99075
OR4C3	0.1685
HIST1H2AJ	2.506
CCNB2	-2.90822222222222
ZNF10	0.29475
TMEM175	0.384
FAM134A	1.28383333333333
TIGD4	-0.3885
PCNP	0.2245
MGC39715	0.13325
LQK1	0.05125
CREB1	0.5531
TMPRSS3	0.22525
C4orf32	1.24875
LAT	-2.28141666666667
KCNA3	-0.2375
SKIV2L2	-0.51825
ROPN1B	-3.31775
tcag7.23	-0.7415
CDT1	-2.83575
ZHX2	1.507
CD28	-4.33775
ZNF624	0.92625
SEPT2	0.157166666666667
SOHLH2	-2.47242857142857
MCOLN3	2.044
UNQ1945	0.16
MASP2	-1.143
ZNRF3	2.0355
GPATCH3	0.00675000000000001
AGL	-1.016
QRICH2	0.159
PSD4	0.234833333333333
CCNB1IP1	-2.544
ENPP7	0.14775
OBFC1	0.52125
KCNG3	0.5665
C14orf79	0.788416666666667
ENPEP	1.28933333333333
SCT	0.7425
SKI	0.76875
SEC61G	-2.61125
CAPN11	-0.18425
ATXN7L3	0.101
DBNDD1	-0.783333333333333
FAIM	0.483
ANKRD36	0.198
GABRP	0.672666666666667
TACSTD2	1.90566666666667
EIF3J	-0.76825
PPP2R2A	0.56125
TEKT4	-0.382
PVALB	-3.63183333333333
F10	-3.20816666666667
FAM134C	1.6475
COMP	4.062875
EFCBP1	-3.041875
SCLT1	0.120375
TAL1	-1.091
ACSL1	-0.53675
ABCC5	0.513666666666667
ABL1	-0.249
RBBP7	-0.298833333333333
PTPRG	0.489625
NCOR1	0.0968
SPINK4	-0.287833333333333
TXNRD1	-0.8468
TNRC15	1.319625
C9orf138	0.395375
UBE2H	0.886
BRDT	0.262833333333333
C8orf31	-0.31275
CCNE2	-2.08118181818182
SLC6A8	-1.576875
CALCR	-3.56325
PPP1CB	-0.04425
ABHD8	0.4115
ARF5	-0.4213
SLC24A4	0.345
CCT3	-0.5235
ZNF121	0.709
SLC3A2	0.1678
OR13A1	0.364
SLC5A10	0.258
RAD50	0.830125
IER5	0.599125
MTHFD1L	-2.65725
MBTPS2	0.9785
MVK	-0.08125
NCL	-0.2684
PSMD10	0.01
MOBP	0.21125
FLJ32894	0.175
HRH1	-1.6005
C5orf30	2.231
NUDT16L1	0.6648
RASGRP3	3.28483333333333
PRKRIP1	-0.8219
CCDC75	-0.20025
LOC253970	0.174333333333333
KIAA1239	0.000500000000000028
MED21	-0.47675
SYT11	0.0821666666666667
NTSR2	-0.961
EGFL11	0.952
CXorf59	0.9995
OR2A25	-0.209
SPTBN2	-2.1215
LRMP	-1.69483333333333
RNF111	0.4985
PTH	-0.1315
LOC619208	-0.00933333333333334
KIAA0895	1.41875
RANBP5	-0.871375
P2RY10	-0.536
NME5	4.70966666666667
DDX21	-1.82375
LRSAM1	0.2775
HDAC11	1.83583333333333
VMO1	1.19225
NOLA2	0.2385
ADAR	1.28675
MTO1	-1.15583333333333
SF4	0.330166666666667
P2RX1	-0.435333333333333
HBM	0.2625
EN2	0.8375
C14orf172	0.36525
TM9SF2	0.0883
INHBE	-1.54233333333333
TCTE3	-0.265916666666667
TOX2	-3.295
CTAGE3	0.2015
HBB	3.6722
MED15	-0.215666666666667
CASR	0.3
C6orf66	-1.49666666666667
MTPN	-0.704875
UNC50	0.403
C21orf33	-0.303875
IRF2	1.09025
PGR	3.3445
GPR84	1.87075
CROCCL1	-3.2175
SRPX	-2.255
BRE	0.179333333333333
FGF10	0.2545
SDC3	-1.38783333333333
ZRSR1	0.251166666666667
DKFZP434P211	-0.24775
SOX6	0.228
RPUSD2	-0.0235
C14orf173	-0.21025
MAPK11	-0.598333333333333
TBC1D22A	1.487
FAM123A	-2.1055
COL4A6	-3.12383333333333
TOMM70A	0.294
NAB1	-1.918875
MGC16385	-0.766625
TSPAN18	0.0501666666666667
MED31	0.10475
PLG	-0.474
CAPSL	1.175
ZNF532	-0.4199
ASB14	0.61225
CA8	-2.94425
NUDT16P	2.16116666666667
SLFN11	-1.935
LRRIQ2	0.404
NOL7	0.265666666666667
BRMS1L	-0.699625
JARID1A	0.6245
PANK2	-0.249
ICAM3	-0.1925
MDS1	-1.50125
TAF8	0.0495
RNF139	0.86825
ZNF594	0.00933333333333333
ADAM8	-0.2645
SFTPC	-0.37875
MAN2B2	1.528375
RGS12	0.9793125
EIF1AY	-4.28063636363636
LRRIQ1	1.30066666666667
GPR150	0.9265
CCDC21	-1.03
PRRG3	0.57375
SAA4	-3.6065
RAPGEF5	1.329125
ZCCHC2	0.97725
MGC39372	0.5965
PPP4R2	0.376
CDCA2	-1.513
OR4D5	0.421833333333333
PTGFRN	0.4477
SIGLEC5	1.305
C19orf61	0.0268333333333333
NMUR2	0.7125
KIAA1586	-0.473333333333333
DAGLA	0.228833333333333
CHCHD6	0.53325
GPR32	0.0995
NEUROD6	-0.2445
SLC2A4RG	-0.1756875
CA5B	1.22125
FBXL3	0.793
MPHOSPH9	-0.96525
HMG2L1	1.001
HCN4	0.401666666666667
CEACAM19	-0.4385
SH2D4B	-0.620666666666667
HFE2	-0.266
TGM4	0.6885
LYPD2	0.4225
TBC1D15	0.90275
MRPS21	-0.3673
NONO	-0.237
CLEC5A	1.542875
ITCH	-0.4251
MGAT3	-1.22883333333333
MBP	-0.9955
RPP25	-0.85725
SOSTDC1	-2.099
HRC	-1.13475
TRIM48	0.235
TMEM133	2.44875
ECEL1P2	-1.737
HOXC11	-0.5495
DOK5	-1.3435
HELZ	0.862
LOC348180	-0.85675
MGC33894	0.89425
ADRB3	0.338
DMD	-0.34725
PTRH2	0.5285
MPEG1	2.6195
NDUFA12	-0.235166666666667
KRTAP2-4	-0.151333333333333
STAMBPL1	-1.46583333333333
ADCY2	3.88925
UNQ6125	1.2315
KLHL20	0.526
SRM	-1.69725
OTC	-0.01775
TMIE	0.7065
SNX8	-0.421
LIPK	-0.2585
CHURC1	-0.635
KLC2	0.530333333333333
HDAC1	-0.282666666666667
FAM128A	0.4055
FNDC3B	-0.5959
MTCP1	-0.854333333333333
WFDC10B	-0.2006
PCDHGB3	-0.7595
ATRNL1	-2.3164
CAV2	-0.863625
MED26	0.127333333333333
DUS1L	0.819
CHRM3	-1.203375
NEK9	1.134
WARS2	1.01925
TBX22	-0.6015
TOMM40	-1.04
RP6-213H19.1	0.550333333333333
TUBGCP5	-0.579
IGSF6	3.89875
TPPP	1.45066666666667
UNQ6190	-0.346
GSTM5	0.36375
BTD	1.99033333333333
PDCD1LG2	-0.284
SNRPB2	-0.599333333333333
ERICH1	0.3585
APOA4	-1.668125
HOXA11	-1.3465
NARG1	-0.500875
MKX	-0.43675
RAB28	-0.0998571428571429
PKP3	1.69225
SH3GL2	2.97025
CTSO	3.79525
RPN2	-0.021
IL28RA	0.421166666666667
SFMBT1	0.379
WDR57	-0.72475
FER1L3	1.89741666666667
HSF5	0.2014
TTC9B	0.6135
C4BPA	-4.05366666666667
ALB	-4.45116666666667
SORBS3	0.551375
UPF2	0.0355
JPH1	-0.656
AGBL2	1.74175
DOPEY1	0.901
TERF1	-0.0174166666666667
KIF22	-1.18683333333333
NINJ1	0.83275
SEC61A2	-0.966
HIST1H1D	-1.20583333333333
SFXN4	-0.0935
UCP3	-0.0285
ZNF703	2.10116666666667
MYL6B	-1.1915
TREM1	0.66825
OR52E6	-0.2695
CKMT2	2.022
HLA-C	1.302875
SLC13A3	-2.13583333333333
TIMP4	-1.6165
SLIT2	1.4035
RSF1	0.372055555555556
LONRF1	-0.113285714285714
MON1A	-0.457166666666667
CACNG6	-1.91283333333333
DPPA4	-5.28533333333333
ZSWIM3	-0.082
ZNF804A	-0.07
CCIN	0.618
SLC25A31	0.13325
KCNMB4	3.0975
RABL5	-0.209125
GALNS	-0.3481
STX6	0.771625
HIST1H1C	-1.559
CIDEB	-0.919625
CASP4	-0.346666666666667
PDK3	-0.1587
KCNJ11	2.3855
TPR	0.13475
ZSCAN20	-0.2305
MTX2	-0.25025
HIST1H2BH	1.21325
LOC283767	1.085
LYRM7	-1.28661111111111
BRD3	0.9405
HIST1H2BO	1.114
MAGEB10	0.308
SLC45A1	0.27225
SERPINA3	-0.2557
KIAA0143	0.93075
KCNJ16	-0.0896
KRT79	0.95625
FABP2	0.14425
NUT	-0.12225
ZNF57	-0.1655
FBXL4	1.31475
CLEC9A	0.3665
UGT8	-1.7405
BMP2K	-0.19125
MAPK4	-3.87725
SLC25A23	0.4891
HINT1	-0.0167
KRTAP13-1	0.615
SFXN5	0.2337
CHCHD2	-0.624833333333333
FAM3D	0.5315
NDP	-3.08475
RHOBTB1	-0.0963333333333333
SLC4A4	-1.041625
RPL38	0.234
HTF9C	0.314666666666667
AP2A2	0.569375
ZBTB46	-0.8295
MAP7D1	-0.1625
AOX1	-2.39933333333333
CYR61	-0.285583333333333
DTNA	-0.309571428571429
JRKL	0.21975
TMOD3	-0.579
EEA1	0.4116
ADCK5	-0.87875
IL1R1	0.081
KLK3	0.284142857142857
HRSP12	-0.11875
KTN1	0.05425
LOH11CR2A	0.7873
RELL2	-1.83725
MAB21L1	1.91975
C20orf59	-0.989833333333333
PHKB	-0.00924999999999999
ADAM2	-2.2155
TBC1D8B	1.83633333333333
FAM13A1	-1.46153333333333
LAPTM4B	-0.957916666666667
LCN8	-0.1885
TMEM147	0.6285
SYT4	0.4756
XPO7	0.0045
C9orf62	1.05775
GPR75	-0.1725
TRIM5	0.634625
APOC1	-1.517
RNASE4	1.7915
PARD6B	1.37975
ARID1A	0.315166666666667
TPD52L3	0.1865
RRAGB	2.3315
RCN2	-0.674666666666667
HIST2H2BE	1.12125
STARD7	-0.28
SHMT2	-1.467
KIAA1751	-0.0996
MLYCD	0.4485
LOC162632	0.2737
UQCRH	-1.99025
RP11-217H1.1	0.7244375
SDHA	-0.8545
NCLN	0.3341
ZNF17	0.932666666666667
RCBTB2	-2.10775
VEGFB	0.1033
RP4-747L4.3	0.421
COLQ	0.8432
MPN2	-1.0874
DRG2	-0.6385
KLRB1	2.591
ALPK2	-3.16925
DNASE2B	4.07175
FLJ23834	-0.0765
AXUD1	0.9035
SAFB	-0.1728
NSUN4	-0.8715
RFX2	-1.27083333333333
MAPK8IP1	0.615
FANCD2	-1.45921428571429
ANKZF1	-1.79
C19orf50	-0.54125
DUSP8	1.26875
SENP5	-0.177375
NFKBIL2	-0.26725
LBR	-2.5975
IGFL1	1.2155
LZTS2	0.46625
IL2RG	-1.236
CCDC51	0.27825
KLF3	0.1595
ANKRD37	-2.653
KCTD14	-0.6945
FZR1	0.40475
SLC44A4	4.1958
ESPL1	-0.859125
GMPR2	-0.2913
TBC1D19	-0.936666666666667
ERGIC1	1.524
ERBB4	3.3273
TSPAN32	-0.321416666666667
MAP4	0.384375
GPHN	-0.28925
SLC6A2	-0.028375
HIVEP1	-1.76025
DFFB	-0.4186
EIF4EBP2	0.229625
DMRT1	-0.378
HSPB6	0.13425
IER2	0.505
AIFM1	-0.43175
WWC2	-0.436333333333333
MRPL4	-0.3365
FLJ21062	-0.676666666666667
EPB41L4A	1.45816666666667
SH2D6	0.32975
TAF4B	-0.516
GAL3ST3	-0.027
MALT1	-2.496
RTDR1	0.12475
ARVCF	0.33325
MEX3B	-1.72316666666667
FBXO16	-3.38325
KIF7	0.10675
C1QC	3.9215
ZNF783	-0.655
ZNF85	1.01375
MMP13	0.653
KIAA0329	0.207857142857143
RTP3	0.273
ZBED3	0.43825
CLGN	-0.14925
SLC25A37	-1.51208333333333
hCG_18290	0.07275
OR5AS1	0.4145
SMARCC2	0.62425
FAM109A	0.211833333333333
CCDC12	-0.2425
USF2	0.8264
DEPDC7	-3.003
C20orf24	-0.990833333333333
JMJD3	0.635
DSP	-2.73714285714286
SLIC1	-0.11125
FAM20A	-1.046375
IRF2BP2	1.465625
ZNF230	1.035
MSN	-0.498785714285714
SLC9A5	-2.3325
EPDR1	-2.5136
MUSK	0.1835
ZNF434	0.072
