Hybridization REF	TCGA-A2-A0SV-01A-11R-A084-07
KIAA0100	-0.1376
PMF1	-0.03075
FNDC1	5.4175
HS2ST1	-0.204
CRELD2	0.44875
C8G	-0.5685
CD82	1.478
LIM2	-0.8045
UNQ6490	-0.317
MMP16	0.89075
DRD3	-0.027
C5orf26	-1.73075
C11orf73	0.335125
PTP4A2	0.891625
OR4M2	-0.0575
HPCA	-0.461333333333333
SEC14L1	-0.7535
CHFR	-0.348
EMILIN1	1.2405
NDUFS4	0.0025
COL18A1	0.098875
PDZD3	-0.2769
C9orf16	-0.206
ERBB2IP	0.0775
EMX2	4.13625
FUS	-0.72725
TF	-4.0219
CLCN4	-0.641166666666667
CXorf56	0.441
C11orf72	0.33525
ELAC2	-0.616
NPR1	-0.8425
ASS1	-0.471833333333333
USP42	-0.3555
POLR2J	-0.426
SEC23IP	0.124666666666667
UQCRC1	0.4265
LOC729603	-0.57975
C1orf71	0.310625
POLG	-1.0655
ADAM23	-3.1905
TFR2	-0.75425
RICTOR	-0.8525
MGC39606	0.1015
C19orf55	-0.39925
SNAPC1	-1.34
GNA11	1.077125
CCDC52	0.573666666666667
FSIP1	2.6155
UPF3A	-1.333375
IGSF11	-2.25066666666667
LAGE3	1.25475
CHST6	-1.3275
UNC13B	-0.2285
TTLL4	-0.936625
ZNF687	0.1145
SDC2	0.8253
COX7A2	-0.71175
LAMB4	0.1855
FAM24A	0.126
LRRTM3	-0.633666666666667
GPHB5	-0.053
OR4C13	-0.056
EIF3EIP	-0.767357142857143
HABP4	0.2685
TMEM125	3.66875
CNTN2	0.523625
ASNSD1	-0.1235
FUT4	0.186625
ACF	-3.835
LOC158381	1.089
CDH8	-0.10225
AGPS	-0.597833333333333
C4orf18	2.546125
PECI	-0.281583333333333
UNG	0.184625
GSTP1	-1.78675
DCUN1D5	-0.582166666666667
DKFZP564J0863	-0.27825
SLC9A3R1	1.615375
BCDO2	0.04525
CHMP7	-0.154
REM2	0.138
DNHD1	-0.299375
FKBP4	0.4625
ZNF350	0.57075
MGC11102	0.725125
BST1	2.5165
KISS1R	0.244
NCR2	0.373
DEFB125	-0.225
UBE2W	1.71025
KRT15	-1.41175
C10orf99	0.071
SCN11A	0.21975
GFI1	-2.09375
RDHE2	4.2485
FHL1	-0.999
OSGEP	-0.43
GATA1	-3.34216666666667
SMC6	-0.85825
TTTY14	-1.031
LPIN3	-0.29525
RPL4	-0.6366
RBPMS	0.0321
PRPF3	0.453833333333333
EMR1	-1.97
SPATA19	0.23025
XCR1	1.3115
IRX3	1.7908
RBM6	-0.61975
KLF4	-0.0421
UNC5CL	-0.869
SEBOX	0.33
BTK	0.1915
KRCC1	0.87175
C6orf27	0.212
SYTL5	-0.729
PRND	2.131625
LOC653319	-0.5175
PIGL	-1.722125
HUS1	0.206666666666667
SFRS6	-0.573166666666667
C17orf77	0.3975
UIMC1	0.5715
FXYD2	-1.7415
LOC283152	1.96875
ZNF667	-0.135
ZCCHC12	-0.666
TFEC	3.8656
ATP7B	-0.815
POLD2	-0.472166666666667
RG9MTD1	-0.16
ACOT2	-0.392333333333333
HIST1H4I	-0.889125
PPARGC1A	-1.9605
ETFA	-0.911
POLRMT	-0.0255
ZNF146	-0.103125
MIA2	-1.4035
KLHL6	0.280333333333333
HOXB5	-0.905125
NENF	0.930166666666667
CUGBP1	0.06725
PRSS22	1.61566666666667
CASC4	1.097
CUL4B	-0.121
CENPJ	-1.1867
PITX1	1.18766666666667
FLJ31033	2.05466666666667
CELSR3	0.513166666666667
ZNF568	0.1
ITSN1	0.234
EHBP1L1	-0.724166666666667
C19orf2	-0.6935
DCTN1	-0.29975
LIN28B	-3.72033333333333
TNKS2	-0.65225
C1QBP	-0.684625
CADPS2	0.8245
SRMS	0.405
GJA9	0.2655
MGC24975	-0.720833333333333
TRIM45	0.0551666666666667
TSP50	-0.5385
TCP1	-1.25325
TMED7	0.272
CMA1	0.4575
CENPL	-0.34
PTCRA	0.248
FST	-4.31025
VWCE	-3.68975
PAWR	-0.124
ABCC12	1.3865
LDLR	-0.0798
ASTN2	0.4738
LOC441212	-1.322
GPATCH8	0.1225
TANC2	-0.0756666666666667
KIF4A	-0.84575
C18orf18	-2.5045
PGM1	-0.97475
KIAA0258	-0.066
CPD	0.546375
SNCAIP	-0.86675
DCT	-4.19466666666667
HLA-DOA	2.44609090909091
OR11L1	0.3615
UPK1B	-0.353166666666667
DNAJB4	0.55775
UGT1A8	-0.193
HIST1H4L	-1.983
PECR	-0.284
HSPA2	0.085
WFIKKN1	-2.713
SERP1	0.5845
SYDE2	1.66925
TACR2	0.3575
NUP85	-0.0205
CD177	1.25616666666667
LGR5	-1.49633333333333
PIGG	-0.28475
PTHR1	-1.6515
RAB5A	0.5561
FLJ13224	0.0965
USP9Y	-1.418
C7orf53	-0.953
LRP1B	-0.74225
XAF1	3.451
ABCG8	-0.267
ANKDD1A	-0.357166666666667
DAND5	-0.8355
SPAG6	0.1785
LINCR	1.626
ZDHHC22	-1.766125
CCDC60	0.74
THOC7	-0.751166666666667
TCTA	1.9523
OR8K3	0.42075
NY-REN-7	-0.574
B2M	2.20283333333333
C6orf141	1.609875
LPPR4	3.055
SQLE	0.718
SEPHS1	-0.175
BTBD14B	0.336785714285714
PLRG1	-0.5005
SPG7	-0.178875
ZNF614	-0.522833333333333
PARD6G	-0.276166666666667
INPP5B	-0.4539
GRPEL2	0.282125
PPID	-0.5616
TRIM56	-0.03775
UBE2J1	-0.031125
IL20RA	2.323
LOC387856	0.01025
C1orf107	1.34141666666667
UTS2R	-0.064
C19orf22	0.881
SAFB2	0.06275
KIAA0652	0.00575
KLRG1	-0.645
MS4A8B	0.611166666666667
FRAG1	0.99
KIAA1546	-0.55625
E2F4	-0.4145
CLEC4M	-0.0161666666666667
BTBD14A	-0.2645
KIAA0999	0.1501
GYPA	-3.45783333333333
TAC1	-0.1717
TRAIP	-0.645
KIAA0232	0.0713
ERCC8	-0.94825
GPX4	0.56
KIAA0368	0.223625
GPR157	-0.214166666666667
CTAGE4	1.6005
C9orf30	-0.582166666666667
OR52A1	0.357
HSP90B3P	-0.0995
ALG9	0.0837
BTBD10	0.77925
SDK2	0.12075
BAIAP3	0.56125
RABGGTB	-0.817125
ANKRD40	0.103666666666667
KRT74	0.1355
CALCOCO2	0.742571428571429
SNCA	-2.97625
TMSL8	-4.759375
C2orf53	0.056
ESRRB	-0.26275
ARHGAP26	-1.012125
TDRD9	-3.05275
HRAS	0.929333333333333
KLRC4	-2.1125
JAGN1	0.141833333333333
BSDC1	0.53
RNF43	-0.8702
NDUFAF1	0.63975
PHF12	0.096
OR1L3	0.34025
FOLR2	1.4395
LYZL6	0.203333333333333
tcag7.1260	-1.63
WSB1	-1.9625
PROS1	-1.0229
OSTN	0.7145
PSMB8	1.7415
SOCS4	-0.600125
DDIT4L	-0.98025
MAS1	0.424
MGC34796	1.15725
CSHL1	0.250166666666667
TBCCD1	0.347666666666667
ZBTB7C	0.0025
AP2S1	-0.324125
P15RS	-0.4068
VAT1	-0.3827
SHANK3	0.577166666666667
TUFM	-0.184333333333333
THEG	-0.4445
KRT34	-1.81425
SGSM3	0.69425
TOMM22	-0.508875
SOCS3	1.92083333333333
CPO	0.247
POP4	0.77075
BHLHB3	0.119
MALL	0.79825
OR1B1	0.2475
PARK2	0.293166666666667
GPR124	1.347375
LCE1E	0.003
RUVBL2	-0.45625
CGRRF1	-0.2044
ACPL2	0.107
WNT10B	-1.090375
BAIAP2L2	-1.431625
ISCA1	0.3855
C1orf125	0.70275
RPAP1	-0.0795
RAI16	-0.122166666666667
RPL27	-0.507375
NLRP9	0.4405
EPN1	0.2915
LOC388610	-0.6305
SLC35A1	0.566
GAL	-4.09975
SLC14A2	0.45575
RDH11	-1.161
FAM138F	-0.4845
AUH	0.061
FLJ40243	0.194
C14orf129	-0.0518333333333333
MBD2	-0.718833333333333
ABHD14B	1.145375
PIGT	0.517875
ALS2CR4	-0.3515
ALAS1	0.5875
FOXO1	0.8475
CRLF3	0.2435
C20orf107	-0.002
FARS2	0.67725
CCDC28A	-0.33625
NPHP3	-1.4615
OR13F1	0.6575
TSEN54	-0.1495
DEFB106B	0.0604
OR8B4	0.389
STH	0.93775
ZC3H14	-0.73975
CBX2	-0.558
TMEM49	0.19
C6orf21	0.3545
FLJ20920	-0.475625
CRTAP	0.159214285714286
DDX50	-0.77525
STYXL1	0.55275
BLVRB	1.0645
LOC147650	-0.354166666666667
MMP24	0.01475
GRID1	1.16
BANF1	0.0553333333333333
CTAGEP	0.4755
HMBS	-0.88575
SLC25A24	0.2495
C14orf50	-0.73275
MRO	2.837
SLC25A15	-1.11775
FAM84B	1.0948
TDP1	-0.5975
C16orf78	0.4165
C11orf57	-0.15025
RFK	-0.327375
ZFYVE9	-0.20425
STCH	-0.1707
WIBG	0.71925
LOC283871	-0.101
GBA2	-0.9478
NDUFB3	-0.1515
HSD17B13	0.161
GRIN3A	1.96433333333333
FMNL1	-0.077
SEPT7	-0.4353
GNLY	3.165
GRAMD1C	-1.26816666666667
ZNF165	1.24325
USP38	0.55325
FAM83A	-3.40233333333333
C14orf24	0.34725
ARMCX3	0.546125
ARHGDIB	0.8105
AK1	0.94275
KIAA1045	-0.457
DNAJB13	0.341833333333333
NEU2	-0.192
HIST1H4B	-1.04583333333333
FAM20B	-0.1772
HES2	-0.158285714285714
FAM73B	-0.3258
LOC388381	-0.399
INTS7	0.280181818181818
AMPH	4.1615
ZNF775	-0.419875
UCKL1	-0.596333333333333
C10orf97	0.474
C1orf161	-0.06125
ALDH1L1	-1.89525
FLJ39378	-0.360125
SLC23A1	-1.344
RBM4B	0.56325
THAP4	0.333
OGFRL1	0.448
KIAA0831	-0.62075
PPP1R15A	0.223166666666667
C1orf96	0.0824285714285714
C12orf11	-1.26025
BMF	0.48925
MAN1A1	-0.452875
KIAA1600	0.055
NLGN4X	-1.76875
ALOX12	-0.985333333333333
RB1CC1	0.3188
NEIL2	0.4814
EIF4E	0.245090909090909
ABHD5	0.513
EXOC4	-0.0303333333333334
CIP29	0.429333333333333
BATF2	2.50475
SLC29A4	-0.66525
HTR4	0.0775
EMB	-0.722
TRAF6	0.38875
LMNB1	-1.0545
FAM19A5	-0.433875
SHE	1.015
PIK3C2B	1.11225
C15orf15	-0.7421
USP15	0.1464
TCEAL2	-0.03975
C5orf39	-1.20283333333333
PTGER2	0.5505
SLC31A1	-0.009375
IFT172	0.694
ADAM29	0.56
GFOD1	-0.52825
ST7L	-0.0183333333333333
C15orf26	-2.738
PKN3	-1.3465
CNTD1	3.18266666666667
COMMD1	-0.102375
NTRK2	1.75558333333333
FOXN3	-0.232875
MFGE8	0.4473
PFKFB2	0.801333333333333
TAS2R4	-0.09
ENTHD1	1.67183333333333
PRMT5	-0.891875
MGC16384	-1.52625
LOC442229	-0.23775
TSKU	0.56075
KRTCAP3	2.598
PDLIM1	0.4103
KCNS2	-0.0655
RNF126	-0.0921666666666667
CEP63	-0.14525
CLIC4	-0.0765
hCG_1990170	-0.92525
ACR	0.3278
KLK7	-0.381
ALOX5AP	3.397
RIPK3	3.46825
TAS2R9	0.012
C19orf18	0.273
BIRC6	-0.00421428571428573
ZNF16	1.3035
RFT1	0.36025
SLC8A2	-0.54075
TACC1	0.474875
ITGAD	0.33025
SAMHD1	2.21075
SH3PXD2B	1.1368
EPC2	0.28325
C20orf85	5.516375
ATP13A2	0.162
KRT4	1.28425
CAPNS1	-0.00625
MDM2	-0.805166666666667
PCDH20	1.339
KCNK9	0.545
OR2C1	-0.1565
KLHDC3	-0.8205
IPPK	1.1655
EFHD2	0.0725
GALR3	-0.0415
NBEA	-0.550666666666667
ABCA6	2.8573
CLDN3	1.52866666666667
AKT2	-0.510571428571429
EGFR	-1.9668
RBM16	-0.278875
ZDHHC3	0.5323
SLC25A4	0.0966666666666667
CYB5B	0.565
CPXM1	-0.03325
NDRG1	-0.0618461538461538
FLJ43826	0.49675
OR5L2	0.3344
FARP2	0.1609
MRPL46	-0.28575
LDHAL6B	0.136166666666667
MAPKAPK3	0.611666666666667
NCAM2	-1.04
PRKD2	0.195166666666667
ZFP36L1	1.0305
CYSLTR1	-1.21575
OR4C3	0.2835
HIST1H2AJ	1.297
CCNB2	-1.166
ZNF10	-0.5705
TMEM175	0.175
FAM134A	0.8755
TIGD4	0.567
PCNP	-0.59675
MGC39715	0.198
LQK1	-1.29625
CREB1	0.6054
TMPRSS3	2.327
C4orf32	0.19375
LAT	-1.11658333333333
KCNA3	-0.3915
SKIV2L2	-0.43975
ROPN1B	-4.46725
tcag7.23	-0.8485
CDT1	-1.517375
ZHX2	0.646125
CD28	-2.673
ZNF624	0.20475
SEPT2	0.216166666666667
SOHLH2	-1.52575
MCOLN3	0.669375
UNQ1945	0.5815
MASP2	-0.9495
ZNRF3	-0.4308
GPATCH3	-0.2435
AGL	1.74775
QRICH2	-0.272
PSD4	0.855833333333333
CCNB1IP1	-2.61125
ENPP7	0.2025
OBFC1	0.1785
KCNG3	-1.303
C14orf79	0.140083333333333
ENPEP	2.036
SCT	1.9045
SKI	0.3735
SEC61G	-0.9115
CAPN11	0.4
ATXN7L3	-0.065
DBNDD1	0.484833333333333
FAIM	0.429
ANKRD36	-0.4035
GABRP	-0.0295
TACSTD2	1.492
EIF3J	-0.27725
PPP2R2A	-0.57725
TEKT4	-0.442
PVALB	-3.86116666666667
F10	-2.90583333333333
FAM134C	0.7447
COMP	4.415625
EFCBP1	-2.8746875
SCLT1	0.009125
TAL1	-1.3102
ACSL1	1.828
ABCC5	1.12316666666667
ABL1	-0.194166666666667
RBBP7	0.479666666666666
PTPRG	0.00999999999999998
NCOR1	-0.0431
SPINK4	-1.16
TXNRD1	-0.8044
TNRC15	0.157375
C9orf138	0.83325
UBE2H	0.665666666666667
BRDT	1.17433333333333
C8orf31	0.09
CCNE2	0.540272727272727
SLC6A8	-2.115625
CALCR	-4.283
PPP1CB	0.632916666666667
ABHD8	-0.0265
ARF5	0.1872
SLC24A4	1.23675
CCT3	0.61575
ZNF121	0.189
SLC3A2	-0.7042
OR13A1	0.459
SLC5A10	0.35825
RAD50	0.13575
IER5	-0.12775
MTHFD1L	-1.438625
MBTPS2	0.58925
MVK	-0.43525
NCL	-0.0918
PSMD10	0.3225
MOBP	-0.064
FLJ32894	-0.4605
HRH1	0.451166666666667
C5orf30	1.933
NUDT16L1	0.6773
RASGRP3	3.71083333333333
PRKRIP1	-0.1159
CCDC75	-0.8635
LOC253970	-0.03
KIAA1239	-0.07575
MED21	-0.38575
SYT11	0.7005
NTSR2	-0.0945
EGFL11	-0.1585
CXorf59	0.8355
OR2A25	-0.064
SPTBN2	-0.981
LRMP	-1.48166666666667
RNF111	-0.1705
PTH	0.4065
LOC619208	0.826666666666667
KIAA0895	0.68375
RANBP5	-1.516375
P2RY10	0.613333333333333
NME5	-0.809
DDX21	-0.8835
LRSAM1	0.233
HDAC11	0.46
VMO1	2.21775
NOLA2	1.306
ADAR	1.31925
MTO1	-1.51183333333333
SF4	0.214
P2RX1	-0.113166666666667
HBM	0.22275
EN2	0.2105
C14orf172	-0.16625
TM9SF2	0.0333
INHBE	-1.08833333333333
TCTE3	0.0621666666666667
TOX2	-3.065
CTAGE3	0.0205
HBB	3.0087
MED15	-1.017
CASR	-0.1795
C6orf66	-0.797666666666667
MTPN	-0.625
UNC50	0.17575
C21orf33	1.269
IRF2	0.929
PGR	0.5115
GPR84	3.37825
CROCCL1	-1.59775
SRPX	-0.661
BRE	0.366333333333333
FGF10	0.467
SDC3	0.204666666666667
ZRSR1	0.636
DKFZP434P211	-0.3165
SOX6	-0.3405
RPUSD2	-0.171
C14orf173	-0.206916666666667
MAPK11	-0.145
TBC1D22A	0.5085
FAM123A	-0.3055
COL4A6	-3.22183333333333
TOMM70A	0.42575
NAB1	-0.157875
MGC16385	0.149
TSPAN18	-0.7375
MED31	-0.7985
PLG	-0.38625
CAPSL	5.901
ZNF532	1.2718
ASB14	0.35525
CA8	0.10625
NUDT16P	2.1675
SLFN11	-0.08
LRRIQ2	-0.035
NOL7	-0.3955
BRMS1L	-0.833875
JARID1A	0.184833333333333
PANK2	0.10075
ICAM3	-0.44975
MDS1	-0.6415
TAF8	-0.56575
RNF139	1.02225
ZNF594	-0.519333333333333
ADAM8	3.444625
SFTPC	0.032875
MAN2B2	1.1065
RGS12	-0.2123125
EIF1AY	-4.76
LRRIQ1	1.12766666666667
GPR150	0.12775
CCDC21	-0.414
PRRG3	0.22925
SAA4	-3.2205
RAPGEF5	0.643875
ZCCHC2	0.0864166666666666
MGC39372	0.9385
PPP4R2	0.630666666666667
CDCA2	-1.45283333333333
OR4D5	0.520666666666667
PTGFRN	0.8997
SIGLEC5	2.3
C19orf61	0.000333333333333334
NMUR2	0.173
KIAA1586	-0.9755
DAGLA	0.572166666666667
CHCHD6	0.31225
GPR32	1.0375
NEUROD6	0.358833333333333
SLC2A4RG	-0.0316875
CA5B	0.1885
FBXL3	0.253
MPHOSPH9	-1.54025
HMG2L1	-0.416
HCN4	0.124
CEACAM19	1.0355
SH2D4B	0.492833333333333
HFE2	-0.411
TGM4	0.8925
LYPD2	-0.06575
TBC1D15	0.06175
MRPS21	-0.3507
NONO	-0.7185
CLEC5A	2.589125
ITCH	-0.5119
MGAT3	-1.68633333333333
MBP	-0.628625
RPP25	0.29875
SOSTDC1	-3.5335
HRC	-2.014
TRIM48	0.098
TMEM133	-0.17225
ECEL1P2	-1.327
HOXC11	1.7345
DOK5	0.26875
HELZ	0.0766666666666667
LOC348180	-0.414
MGC33894	0.409
ADRB3	0.184
DMD	-0.3
PTRH2	-0.34825
MPEG1	3.3455
NDUFA12	-0.185833333333333
KRTAP2-4	0.265416666666667
STAMBPL1	-1.0145
ADCY2	-0.6164
UNQ6125	0.2685
KLHL20	0.242666666666667
SRM	-0.8935
OTC	-0.0955
TMIE	0.179666666666667
SNX8	0.1915
LIPK	0.146
CHURC1	-0.859333333333333
KLC2	0.174833333333333
HDAC1	-0.321
FAM128A	0.0835
FNDC3B	-0.000900000000000013
MTCP1	-0.357833333333333
WFDC10B	0.1638
PCDHGB3	-0.1665
ATRNL1	-2.0684
CAV2	-0.26675
MED26	0.0471666666666667
DUS1L	0.1795
CHRM3	-2.079875
NEK9	0.36125
WARS2	-0.5555
TBX22	0.137
TOMM40	-0.59475
RP6-213H19.1	-0.3415
TUBGCP5	-0.43
IGSF6	4.81225
TPPP	0.724666666666667
UNQ6190	-0.1355
GSTM5	0.176375
BTD	0.429666666666667
PDCD1LG2	1.52233333333333
SNRPB2	0.0921666666666667
ERICH1	-0.64875
APOA4	-1.73975
HOXA11	-1.66475
NARG1	-0.18425
MKX	-0.244
RAB28	0.209071428571429
PKP3	2.345
SH3GL2	-2.91325
CTSO	2.8095
RPN2	0.055375
IL28RA	0.412833333333333
SFMBT1	0.60275
WDR57	0.370375
FER1L3	0.445833333333333
HSF5	-0.075
TTC9B	0.6665
C4BPA	-3.63866666666667
ALB	-4.28914285714286
SORBS3	-0.08475
UPF2	0.796
JPH1	1.6855
AGBL2	0.866
DOPEY1	0.6775
TERF1	0.577083333333333
KIF22	-0.5
NINJ1	1.469
SEC61A2	-0.0454166666666667
HIST1H1D	-0.198666666666667
SFXN4	-0.198375
UCP3	0.105
ZNF703	0.659166666666667
MYL6B	-0.694
TREM1	3.161
OR52E6	0.436
CKMT2	-0.11775
HLA-C	2.720375
SLC13A3	-2.13383333333333
TIMP4	-2.391
SLIT2	1.54525
RSF1	-0.120166666666667
LONRF1	-1.61521428571429
MON1A	0.277333333333333
CACNG6	0.055
DPPA4	-5.37616666666667
ZSWIM3	-0.75475
ZNF804A	1.00166666666667
CCIN	1.456
SLC25A31	0.0293333333333333
KCNMB4	-0.5865
RABL5	0.7025
GALNS	0.3722
STX6	0.797625
HIST1H1C	-0.104833333333333
CIDEB	-0.194
CASP4	0.283833333333333
PDK3	0.0166
KCNJ11	1.083
TPR	-0.393875
ZSCAN20	-0.497
MTX2	0.02175
HIST1H2BH	-0.4235
LOC283767	1.33925
LYRM7	-0.970777777777778
BRD3	0.4245
HIST1H2BO	-0.64025
MAGEB10	0.301
SLC45A1	1.14625
SERPINA3	-0.746
KIAA0143	1.68125
KCNJ16	0.329666666666667
KRT79	0.18925
FABP2	-0.39875
NUT	0.043
ZNF57	0.329
FBXL4	0.585875
CLEC9A	-0.437
UGT8	-1.153
BMP2K	0.542
MAPK4	-3.87
SLC25A23	-0.2743
HINT1	-0.4153
KRTAP13-1	0.2535
SFXN5	-0.0484
CHCHD2	0.869083333333333
FAM3D	0.555
NDP	0.47625
RHOBTB1	-0.530166666666667
SLC4A4	-1.553625
RPL38	-0.39625
HTF9C	-0.279333333333333
AP2A2	0.452
ZBTB46	-0.805
MAP7D1	0.490125
AOX1	-1.46516666666667
CYR61	2.38258333333333
DTNA	-0.0308571428571429
JRKL	-0.38725
TMOD3	0.1575
EEA1	0.1651
ADCK5	1.15625
IL1R1	2.87766666666667
KLK3	0.321142857142857
HRSP12	0.8105
KTN1	-0.2815
LOH11CR2A	1.341
RELL2	0.50525
MAB21L1	0.749
C20orf59	-0.825833333333333
PHKB	0.2835
ADAM2	-1.708
TBC1D8B	1.58916666666667
FAM13A1	-1.08075
LAPTM4B	0.684416666666667
LCN8	0.1875
TMEM147	0.446
SYT4	0.0735
XPO7	-0.717
C9orf62	0.17875
GPR75	0.034
TRIM5	0.2825
APOC1	1.06366666666667
RNASE4	0.285666666666667
PARD6B	-1.809
ARID1A	0.0121666666666667
TPD52L3	0.1089
RRAGB	1.021
RCN2	-0.965333333333333
HIST2H2BE	-0.3479375
STARD7	-0.32
SHMT2	-0.651
KIAA1751	0.671833333333333
MLYCD	0.367375
LOC162632	-0.1058
UQCRH	-1.0835
RP11-217H1.1	0.32225
SDHA	-0.3015
NCLN	0.0368
ZNF17	0.00833333333333333
RCBTB2	-1.71325
VEGFB	0.1809
RP4-747L4.3	0.536
COLQ	-0.0479
MPN2	-0.583666666666667
DRG2	-0.6565
KLRB1	2.866
ALPK2	-1.02725
DNASE2B	0.3775
FLJ23834	1.22383333333333
AXUD1	1.54133333333333
SAFB	-0.1906
NSUN4	-0.00125
RFX2	0.873166666666667
MAPK8IP1	0.169666666666667
FANCD2	-0.327428571428571
ANKZF1	-1.04616666666667
C19orf50	-0.091
DUSP8	1.25875
SENP5	0.128125
NFKBIL2	0.141
LBR	-0.975375
IGFL1	0.0945
LZTS2	-0.668125
IL2RG	-0.12775
CCDC51	0.552
KLF3	0.677875
ANKRD37	-0.5075
KCTD14	-2.48183333333333
FZR1	0.341333333333333
SLC44A4	4.0595
ESPL1	-0.508375
GMPR2	-0.593
TBC1D19	-0.485333333333333
ERGIC1	1.53177777777778
ERBB4	1.7828
TSPAN32	0.273833333333333
MAP4	0.433875
GPHN	-0.34275
SLC6A2	-0.09025
HIVEP1	0.86275
DFFB	-0.1291
EIF4EBP2	0.103
DMRT1	-0.10575
HSPB6	-0.24375
IER2	0.5725
AIFM1	0.36075
WWC2	0.591916666666667
MRPL4	0.0545
FLJ21062	0.383
EPB41L4A	0.299
SH2D6	0.227
TAF4B	-0.862
GAL3ST3	-0.3295
MALT1	-0.8505
RTDR1	1.0475
ARVCF	-0.63525
MEX3B	-1.50016666666667
FBXO16	1.33125
KIF7	-0.84475
C1QC	3.8855
ZNF783	-0.170333333333333
ZNF85	-0.63225
MMP13	1.2395
KIAA0329	-0.050875
RTP3	-0.3795
ZBED3	1.07875
CLGN	-2.6295
SLC25A37	-1.70229166666667
hCG_18290	-0.38075
OR5AS1	0.2985
SMARCC2	0.0409166666666667
FAM109A	-0.324833333333333
CCDC12	0.1025
USF2	0.4136
DEPDC7	-1.3035
C20orf24	-0.242833333333333
JMJD3	0.251
DSP	1.41885714285714
SLIC1	0.36775
FAM20A	2.407625
IRF2BP2	0.991125
ZNF230	-0.297
MSN	-0.344428571428571
SLC9A5	-0.31
EPDR1	0.2776
MUSK	-0.1035
ZNF434	-0.0803333333333333
SMARCD1	-0.526166666666667
ZFP106	-0.59525
ZNF347	-0.2138
GTF2E1	0.60075
RY1	-0.4315
