Hybridization REF	TCGA-A2-A0CS-01A-11R-A115-07
PRSS22	1.389
CASC4	1.9709
CUL4B	0.6038
CENPJ	-1.3988
PITX1	0.2535
FLJ31033	1.18283333333333
CELSR3	-2.0025
ZNF568	1.11875
ITSN1	0.157083333333333
EHBP1L1	-1.62166666666667
C19orf2	-0.243
DCTN1	-0.3925
LIN28B	-3.418
TNKS2	-0.65325
C1QBP	-1.010125
CADPS2	2.8275
SRMS	-0.39525
GJA9	0.3645
MGC24975	-1.12066666666667
TRIM45	-0.584666666666667
TSP50	-0.126
TCP1	-1.40725
TMED7	1.0374
CMA1	0.559
CENPL	-1.16183333333333
PTCRA	0.0175
FST	-1.33475
VWCE	-4.36975
PAWR	0.91625
ABCC12	0.592
LDLR	-0.8852
ASTN2	1.1223
LOC441212	-0.689625
GPATCH8	0.354
TANC2	0.28325
KIF4A	-2.8645
C18orf18	-0.98025
PGM1	-1.402
KIAA0258	0.57575
CPD	0.5085
SNCAIP	-0.64275
DCT	-4.63616666666667
HLA-DOA	3.13972727272727
OR11L1	0.1725
UPK1B	0.085
DNAJB4	-0.738625
UGT1A8	-0.3255
HIST1H4L	-1.1645
PECR	-1.054
HSPA2	2.3655
WFIKKN1	-2.1055
SERP1	1.29325
SYDE2	1.2915
TACR2	-0.1235
NUP85	-0.96375
CD177	0.197333333333333
LGR5	-0.196166666666667
PIGG	-0.547416666666667
PTHR1	-0.174666666666667
RAB5A	0.603
FLJ13224	-0.2595
USP9Y	-1.58733333333333
C7orf53	-2.29
LRP1B	-0.26775
XAF1	2.6917
ABCG8	0.049
ANKDD1A	-0.615
DAND5	-1.481
SPAG6	0.721
LINCR	0.7295
ZDHHC22	-1.696
CCDC60	0.2605
THOC7	-0.560333333333333
TCTA	1.3362
OR8K3	0.04175
NY-REN-7	-0.27075
B2M	1.04783333333333
C6orf141	-2.4275
LPPR4	2.55325
SQLE	-2.050875
SEPHS1	-0.96475
BTBD14B	0.131785714285714
PLRG1	-0.908
SPG7	-1.7370625
ZNF614	-0.0871666666666667
PARD6G	0.326833333333333
INPP5B	-0.6875
GRPEL2	-0.361375
PPID	-1.0627
TRIM56	-0.57525
UBE2J1	-0.622875
IL20RA	4.00975
LOC387856	0.25525
C1orf107	0.40275
UTS2R	-1.7305
C19orf22	0.034
SAFB2	0.183
KIAA0652	-0.186125
KLRG1	-0.458
MS4A8B	4.24583333333333
FRAG1	1.0065
KIAA1546	0.107
E2F4	-1.7178
CLEC4M	-0.276833333333333
BTBD14A	-1.314
KIAA0999	1.8228
GYPA	-3.52283333333333
TAC1	-0.1869
TRAIP	-1.0705
KIAA0232	0.5366
ERCC8	-1.38775
GPX4	0.797125
KIAA0368	-0.14275
GPR157	-2.1125
CTAGE4	1.405
C9orf30	-0.918166666666667
OR52A1	0.142
HSP90B3P	-0.5505
ALG9	-0.0637
BTBD10	0.65675
SDK2	-0.61825
BAIAP3	0.77575
RABGGTB	-1.7845
ANKRD40	-0.649166666666667
KRT74	0.798
CALCOCO2	0.529
SNCA	-3.54875
TMSL8	-4.121375
C2orf53	0.034
ESRRB	-0.58875
ARHGAP26	0.65475
TDRD9	-3.009
HRAS	-0.3305
KLRC4	-2.0205
JAGN1	0.186166666666667
BSDC1	0.352
RNF43	-0.2015
NDUFAF1	0.68225
PHF12	0.89175
OR1L3	0.31825
FOLR2	1.78058333333333
LYZL6	0.105
tcag7.1260	-1.86
WSB1	-1.50616666666667
PROS1	-0.9458
OSTN	0.8155
PSMB8	0.74125
SOCS4	0.048625
DDIT4L	0.305
MAS1	0.9955
MGC34796	1.683
CSHL1	0.0646666666666667
TBCCD1	0.117
ZBTB7C	-0.0865
AP2S1	-0.050125
P15RS	0.2826
VAT1	-0.5817
SHANK3	0.274333333333333
TUFM	-0.7595
THEG	-0.82975
KRT34	-1.3075
SGSM3	-0.643625
TOMM22	-0.6485
SOCS3	0.738
CPO	-0.2375
POP4	0.231
BHLHB3	0.05075
MALL	0.864
OR1B1	0.33
PARK2	0.353666666666667
GPR124	0.38875
LCE1E	0.993
RUVBL2	-0.792
CGRRF1	1.0164
ACPL2	1.845
WNT10B	-2.963125
BAIAP2L2	-2.68675
ISCA1	0.34
C1orf125	0.936
RPAP1	-1.22425
RAI16	0.248333333333333
RPL27	-0.14375
NLRP9	-0.035
EPN1	0.2955
LOC388610	-1.42925
SLC35A1	0.4402
GAL	-4.80075
SLC14A2	0.25675
RDH11	-0.156833333333333
FAM138F	-0.372
AUH	0.2125
FLJ40243	0.14125
C14orf129	0.904666666666667
MBD2	0.182666666666667
ABHD14B	0.1255
PIGT	1.990125
ALS2CR4	-0.636375
ALAS1	0.1134
FOXO1	1.37433333333333
CRLF3	-0.240125
C20orf107	-0.647
FARS2	0.3745
CCDC28A	0.77175
NPHP3	-0.768
OR13F1	0.497
TSEN54	-0.742
DEFB106B	0.530111111111111
OR8B4	0.417
STH	1.12575
ZC3H14	-0.224625
CBX2	-0.0865
TMEM49	-1.06975
C6orf21	0.6325
FLJ20920	1.171
CRTAP	0.331142857142857
DDX50	-0.05875
STYXL1	0.12475
BLVRB	0.427
LOC147650	-0.0611666666666667
MMP24	0.39875
GRID1	2.32
BANF1	0.445833333333333
CTAGEP	0.728
HMBS	-1.312
SLC25A24	0.120666666666667
C14orf50	3.519
MRO	-0.0853333333333333
SLC25A15	-0.23325
FAM84B	0.4746
TDP1	-0.7285
C16orf78	-0.267
C11orf57	1.1115
RFK	-0.2075
ZFYVE9	-0.824625
STCH	-0.748
WIBG	0.9565
LOC283871	-0.751
GBA2	-0.904
NDUFB3	0.17675
HSD17B13	-0.56
GRIN3A	0.483333333333333
FMNL1	-0.592333333333333
SEPT7	0.0914
GNLY	1.801
GRAMD1C	0.621833333333333
ZNF165	0.1345
USP38	1.03475
FAM83A	-3.7485
C14orf24	0.853583333333333
ARMCX3	1.43525
ARHGDIB	1.51183333333333
AK1	0.50125
KIAA1045	0.1755
DNAJB13	-0.144
NEU2	0.466
HIST1H4B	-1.167
FAM20B	-0.0631
HES2	-0.0821428571428572
FAM73B	-0.7404
LOC388381	0.22975
INTS7	0.00281818181818182
AMPH	1.42975
ZNF775	-0.991
UCKL1	-1.32766666666667
C10orf97	0.0055
C1orf161	0.02675
ALDH1L1	-0.652
FLJ39378	0.162625
SLC23A1	-0.2865
RBM4B	0.7705
THAP4	0.138166666666667
OGFRL1	0.967
KIAA0831	0.382875
PPP1R15A	-0.0533333333333333
C1orf96	0.287571428571429
C12orf11	-1.5175
BMF	0.581125
MAN1A1	0.43475
KIAA1600	0.661333333333333
NLGN4X	1.229
ALOX12	-0.733166666666667
RB1CC1	0.14
NEIL2	0.0759
EIF4E	-0.854545454545454
ABHD5	-0.00675
EXOC4	0.1955
CIP29	-1.13316666666667
BATF2	1.07325
SLC29A4	-0.974875
HTR4	0.21975
EMB	0.68475
TRAF6	1.374
LMNB1	-4.01675
FAM19A5	-0.693625
SHE	1.70675
PIK3C2B	0.63975
C15orf15	-1.1615
USP15	-0.135
TCEAL2	0.463
C5orf39	-1.70833333333333
PTGER2	-1.72525
SLC31A1	0.142125
IFT172	0.77725
ADAM29	0.58475
GFOD1	-0.54375
ST7L	0.455666666666667
C15orf26	-0.09375
PKN3	-1.8745
CNTD1	3.81633333333333
COMMD1	0.569125
NTRK2	2.3655
FOXN3	0.05725
MFGE8	-0.9408
PFKFB2	1.69316666666667
TAS2R4	-0.60175
ENTHD1	0.199666666666667
PRMT5	-1.5545
MGC16384	-1.883125
LOC442229	-0.43425
TSKU	1.520875
KRTCAP3	2.905625
PDLIM1	2.5941
KCNS2	0.32825
RNF126	-0.9425
CEP63	0.664625
CLIC4	-0.0593750000000001
hCG_1990170	-1.22025
ACR	1.1387
KLK7	0.29075
ALOX5AP	3.427875
RIPK3	4.43525
TAS2R9	0.2115
C19orf18	2.353
BIRC6	-0.145785714285714
ZNF16	0.7915
RFT1	0.33825
SLC8A2	-0.58075
TACC1	0.4625
ITGAD	0.51975
SAMHD1	1.27375
SH3PXD2B	1.3877
EPC2	0.6535
C20orf85	5.61075
ATP13A2	0.0921666666666667
KRT4	0.092625
CAPNS1	0.50025
MDM2	-0.0859166666666667
PCDH20	3.59575
KCNK9	0.8635
OR2C1	0.268
KLHDC3	-1.43433333333333
IPPK	0.487
EFHD2	-0.2175
GALR3	-1.83925
NBEA	1.52733333333333
ABCA6	1.8117
CLDN3	1.42683333333333
AKT2	-0.674928571428571
EGFR	-2.5375
RBM16	0.848375
ZDHHC3	0.4985
SLC25A4	-0.965333333333333
CYB5B	-1.48883333333333
CPXM1	-0.98525
NDRG1	-2.13223076923077
FLJ43826	0.6035
OR5L2	0.2045
FARP2	0.0248
MRPL46	-1.31141666666667
LDHAL6B	0.1375
MAPKAPK3	-0.377333333333333
NCAM2	-0.001
PRKD2	-0.072
ZFP36L1	2.6602
CYSLTR1	1.647
OR4C3	0.229
HIST1H2AJ	1.633
CCNB2	-3.20022222222222
ZNF10	-0.25525
TMEM175	-0.0745
FAM134A	0.0755
TIGD4	0.2865
PCNP	-0.68425
MGC39715	0.1065
LQK1	-2.6035
CREB1	0.9173
TMPRSS3	-1.46925
C4orf32	1.651375
LAT	-1.88458333333333
KCNA3	-0.445
SKIV2L2	-0.88425
ROPN1B	-3.095
tcag7.23	-0.3175
CDT1	-3.829625
ZHX2	1.514375
CD28	-3.02325
ZNF624	2.10225
SEPT2	0.54325
SOHLH2	-0.910375
MCOLN3	-0.298
UNQ1945	-0.2935
MASP2	-1.5855
ZNRF3	0.3914
GPATCH3	-1.0235
AGL	0.5285
QRICH2	-0.1325
PSD4	0.580833333333333
CCNB1IP1	-1.906
ENPP7	-0.01225
OBFC1	0.30075
KCNG3	-1.7265
C14orf79	0.224916666666667
ENPEP	1.79116666666667
SCT	1.619
SKI	0.306
SEC61G	-0.73725
CAPN11	-0.3345
ATXN7L3	-0.5945
DBNDD1	-0.689166666666667
FAIM	0.43225
ANKRD36	-0.3925
GABRP	0.217333333333333
TACSTD2	2.4385
EIF3J	-0.919
PPP2R2A	-0.25275
TEKT4	0.187
PVALB	-1.9135
F10	-1.70933333333333
FAM134C	0.3338
COMP	4.744625
EFCBP1	-3.8542
SCLT1	1.38125
TAL1	-1.0953
ACSL1	0.802
ABCC5	0.58175
ABL1	-0.367611111111111
RBBP7	0.3
PTPRG	-0.4
NCOR1	0.5279
SPINK4	-0.1
TXNRD1	-1.1003
TNRC15	1.6555
C9orf138	2.22025
UBE2H	1.65433333333333
BRDT	0.469833333333333
C8orf31	0.15
CCNE2	-1.72309090909091
SLC6A8	-1.93575
CALCR	-2.87125
PPP1CB	-0.307166666666667
ABHD8	-0.1345
ARF5	0.1362
SLC24A4	0.37075
CCT3	-0.34875
ZNF121	0.497875
SLC3A2	-1.6075
OR13A1	0.081
SLC5A10	-0.598
RAD50	-0.599375
IER5	-1.88025
MTHFD1L	-2.43275
MBTPS2	0.78575
MVK	-0.615875
NCL	-0.0857
PSMD10	0.036
MOBP	-0.000249999999999998
FLJ32894	1.1785
HRH1	-0.247166666666667
C5orf30	2.42775
NUDT16L1	0.2988
RASGRP3	3.1805
PRKRIP1	-0.2903
CCDC75	1.2225
LOC253970	1.01725
KIAA1239	0.36075
MED21	-0.01475
SYT11	0.546416666666667
NTSR2	-0.303
EGFL11	0.2825
CXorf59	0.655
OR2A25	-0.20775
SPTBN2	-1.23425
LRMP	-1.408
RNF111	-0.01825
PTH	0.773
LOC619208	1.66516666666667
KIAA0895	1.75975
RANBP5	-0.960375
P2RY10	3.11766666666667
NME5	5.40083333333333
DDX21	-1.27375
LRSAM1	0.603
HDAC11	0.677833333333333
VMO1	2.955
NOLA2	-0.118666666666667
ADAR	1.31808333333333
MTO1	-1.13566666666667
SF4	-0.242666666666667
P2RX1	-0.169833333333333
HBM	0.23025
EN2	-1.4915
C14orf172	-0.222
TM9SF2	-0.083
INHBE	-0.624666666666667
TCTE3	-0.13075
TOX2	-3.281
CTAGE3	1.00925
HBB	3.3552
MED15	-0.4915
CASR	0.3265
C6orf66	-0.911833333333333
MTPN	0.726
UNC50	-0.0355
C21orf33	0.265625
IRF2	1.77675
PGR	3.33133333333333
GPR84	3.58375
CROCCL1	-3.62075
SRPX	-1.358
BRE	0.692
FGF10	2.134
SDC3	-0.815166666666667
ZRSR1	-0.113
DKFZP434P211	-0.910375
SOX6	0.495
RPUSD2	0.072
C14orf173	-0.6185
MAPK11	-0.156333333333333
TBC1D22A	0.3
FAM123A	-0.561
COL4A6	1.77016666666667
TOMM70A	0.317
NAB1	0.30525
MGC16385	-0.513875
TSPAN18	1.439
MED31	0.54
PLG	-0.28125
CAPSL	5.278
ZNF532	1.0488
ASB14	0.00675
CA8	0.42175
NUDT16P	2.81416666666667
SLFN11	-0.663
LRRIQ2	1.125625
NOL7	-0.667
BRMS1L	-0.744
JARID1A	1.01833333333333
PANK2	0.132
ICAM3	-0.64875
MDS1	-0.81125
TAF8	0.2915
RNF139	0.7205
ZNF594	0.791166666666667
ADAM8	2.3855
SFTPC	-0.2105
MAN2B2	0.719
RGS12	0.0813125
EIF1AY	-4.96866666666667
LRRIQ1	2.66216666666667
GPR150	-2.5885
CCDC21	-2.10566666666667
PRRG3	0.72
SAA4	-1.57975
RAPGEF5	0.565
ZCCHC2	0.759
MGC39372	0.714
PPP4R2	1.02683333333333
CDCA2	-2.30783333333333
OR4D5	0.319666666666667
PTGFRN	0.9205
SIGLEC5	2.31583333333333
C19orf61	-1.31633333333333
NMUR2	0.192
KIAA1586	-0.655
DAGLA	0.2055
CHCHD6	-0.825
GPR32	1.1525
NEUROD6	0.0408333333333333
SLC2A4RG	-0.2076875
CA5B	0.109
FBXL3	1.33875
MPHOSPH9	-0.953
HMG2L1	1.1495
HCN4	-2.23383333333333
CEACAM19	0.071
SH2D4B	0.431
HFE2	-1.043
TGM4	0.5032
LYPD2	-0.12625
TBC1D15	-0.037
MRPS21	0.4356
NONO	-0.4854
CLEC5A	3.76625
ITCH	0.0827
MGAT3	-1.84866666666667
MBP	0.101375
RPP25	-1.86625
SOSTDC1	-2.2575
HRC	-1.912
TRIM48	0.597
TMEM133	-0.44
ECEL1P2	-1.76375
HOXC11	0.011
DOK5	-0.43325
HELZ	0.555
LOC348180	-1.87275
MGC33894	0.46775
ADRB3	-0.164
DMD	-0.39375
PTRH2	-0.1885
MPEG1	3.44183333333333
NDUFA12	0.358666666666667
KRTAP2-4	-0.420333333333333
STAMBPL1	-2.02083333333333
ADCY2	1.0242
UNQ6125	0.444
KLHL20	0.825
SRM	-1.73425
OTC	0.0275
TMIE	0.302833333333333
SNX8	-0.63475
LIPK	-0.0625
CHURC1	0.850333333333333
KLC2	0.0598333333333333
HDAC1	-0.846833333333333
FAM128A	0.709666666666667
FNDC3B	0.4706
MTCP1	-0.191166666666667
WFDC10B	0.2323
PCDHGB3	-0.0795
ATRNL1	2.2152
CAV2	-0.57575
MED26	0.283666666666667
DUS1L	-0.3295
CHRM3	-2.144125
NEK9	0.56625
WARS2	0.7885
TBX22	0.5485
TOMM40	-0.8405
RP6-213H19.1	-1.7665
TUBGCP5	-0.8455
IGSF6	5.24225
TPPP	2.25866666666667
UNQ6190	0.49
GSTM5	2.669125
BTD	1.3195
PDCD1LG2	0.0485
SNRPB2	-0.0278333333333333
ERICH1	0.364375
APOA4	-1.72575
HOXA11	-0.68575
NARG1	-1.134375
MKX	4.48775
RAB28	-0.292857142857143
PKP3	1.23025
SH3GL2	-1.26875
CTSO	3.578
RPN2	0.700125
IL28RA	-0.134666666666667
SFMBT1	1.3585
WDR57	-1.764625
FER1L3	1.63566666666667
HSF5	0.3345
TTC9B	1.009
C4BPA	-3.55
ALB	-5.00071428571429
SORBS3	1.144
UPF2	0.245
JPH1	0.1555
AGBL2	1.49525
DOPEY1	1.3575
TERF1	0.479666666666667
KIF22	-1.11266666666667
NINJ1	2.5815
SEC61A2	-0.42175
HIST1H1D	-0.186666666666667
SFXN4	-0.84275
UCP3	-0.5024
ZNF703	0.984
MYL6B	-0.8635
TREM1	1.94475
OR52E6	0.5905
CKMT2	0.73275
HLA-C	2.42725
SLC13A3	-1.61433333333333
TIMP4	-1.6175
SLIT2	1.54375
RSF1	0.916888888888889
LONRF1	-0.424285714285714
MON1A	0.496666666666667
CACNG6	-1.278
DPPA4	-6.05583333333333
ZSWIM3	1.01875
ZNF804A	-0.0815
CCIN	1.90875
SLC25A31	0.21925
KCNMB4	2.82775
RABL5	1.34425
GALNS	-0.5601
STX6	1.268625
HIST1H1C	-1.13433333333333
CIDEB	0.693125
CASP4	-0.918
PDK3	0.4654
KCNJ11	0.93
TPR	0.090125
ZSCAN20	-1.0265
MTX2	-0.32325
HIST1H2BH	-0.01475
LOC283767	1.04875
LYRM7	-1.06311111111111
BRD3	0.671
HIST1H2BO	-0.292
MAGEB10	0.268
SLC45A1	0.109
SERPINA3	2.63605
KIAA0143	0.3415
KCNJ16	-0.0891666666666667
KRT79	0.208
FABP2	-1.34033333333333
NUT	2.25225
ZNF57	-0.487
FBXL4	0.30175
CLEC9A	-0.068
UGT8	-1.56883333333333
BMP2K	2.03025
MAPK4	-3.74675
SLC25A23	-0.069
HINT1	0.0745
KRTAP13-1	0.0685
SFXN5	0.1402
CHCHD2	-0.252166666666667
FAM3D	1.655
NDP	-0.363125
RHOBTB1	0.373166666666667
SLC4A4	-1.428625
RPL38	0.44425
HTF9C	-1.30383333333333
AP2A2	0.4125
ZBTB46	-0.8475
MAP7D1	-0.33875
AOX1	-1.60433333333333
CYR61	0.194833333333333
DTNA	1.45835714285714
JRKL	0.37625
TMOD3	-0.00525
EEA1	0.8038
ADCK5	-0.70325
IL1R1	1.64366666666667
KLK3	2.17814285714286
HRSP12	0.145
KTN1	1.4895
LOH11CR2A	0.8402
RELL2	-1.43875
MAB21L1	1.15025
C20orf59	-0.801666666666667
PHKB	-0.105
ADAM2	-2.0548
TBC1D8B	2.00066666666667
FAM13A1	-1.6046875
LAPTM4B	-1.67358333333333
LCN8	0.2435
TMEM147	0.8475
SYT4	-0.0463333333333334
XPO7	-0.471
C9orf62	-2.87525
GPR75	0.6115
TRIM5	1.092125
APOC1	-1.24433333333333
RNASE4	0.365166666666667
PARD6B	-0.660125
ARID1A	-0.111666666666667
TPD52L3	0.406555555555556
RRAGB	1.68366666666667
RCN2	-0.796333333333333
HIST2H2BE	0.307375
STARD7	-0.78
SHMT2	-1.62
KIAA1751	-0.206333333333333
MLYCD	-0.20125
LOC162632	-0.0413
UQCRH	-1.91925
RP11-217H1.1	0.9763125
SDHA	-1.86783333333333
NCLN	-0.5646
ZNF17	1.013
RCBTB2	-1.61475
VEGFB	-0.0523
RP4-747L4.3	-0.589
COLQ	0.6249
MPN2	-0.277333333333333
DRG2	-0.1545
KLRB1	2.299
ALPK2	-1.011
DNASE2B	4.3655
FLJ23834	4.12516666666667
AXUD1	0.552333333333333
SAFB	-0.0638
NSUN4	-0.63125
RFX2	0.511333333333333
MAPK8IP1	-0.121833333333333
FANCD2	-0.745
ANKZF1	-2.4245
C19orf50	-0.598625
DUSP8	1.430125
SENP5	-0.16
NFKBIL2	-1.135
LBR	-2.032125
IGFL1	3.129
LZTS2	0.70225
IL2RG	0.296
CCDC51	0.4015
KLF3	-0.148125
ANKRD37	-0.599
KCTD14	-0.662333333333333
FZR1	-0.05275
SLC44A4	3.5472
ESPL1	-1.415
GMPR2	-0.1726
TBC1D19	-0.567333333333333
ERGIC1	0.110074074074074
ERBB4	3.0021
TSPAN32	0.340666666666667
MAP4	-0.094
GPHN	0.52975
SLC6A2	-0.4105
HIVEP1	1.6325
DFFB	-0.9193
EIF4EBP2	0.44575
DMRT1	-0.673
HSPB6	0.148
IER2	0.0896666666666667
AIFM1	0.20175
WWC2	0.308166666666667
MRPL4	-0.64925
FLJ21062	2.7855
EPB41L4A	1.25883333333333
SH2D6	0.4755
TAF4B	-1.2935
GAL3ST3	-0.0485
MALT1	-0.753666666666667
RTDR1	1.2495
ARVCF	-0.62675
MEX3B	-0.243833333333333
FBXO16	2.43425
KIF7	-1.56725
C1QC	4.05166666666667
ZNF783	-0.559666666666667
ZNF85	1.17775
MMP13	3.4485
KIAA0329	0.532875
RTP3	-0.1345
ZBED3	0.237
CLGN	-2.1715
SLC25A37	-1.88254166666667
hCG_18290	0.2705
OR5AS1	0.196
SMARCC2	0.17875
FAM109A	-0.224333333333333
CCDC12	0.28825
USF2	0.2477
DEPDC7	-0.40275
C20orf24	-0.642333333333333
JMJD3	0.9705
DSP	1.55392857142857
SLIC1	0.2255
FAM20A	1.051625
IRF2BP2	1.078
ZNF230	0.737
MSN	-0.285571428571429
SLC9A5	-2.2585
EPDR1	-1.7773
MUSK	0.245833333333333
ZNF434	1.084
SMARCD1	-0.3945
ZFP106	-0.4935
ZNF347	1.0401
