Hybridization REF	TCGA-A8-A09M-01A-11R-A00Z-07
SLC23A1	-1.3835
RBM4B	-0.0945
THAP4	0.026
OGFRL1	0.9215
KIAA0831	0.536
PPP1R15A	-1.64733333333333
C1orf96	0.0277857142857142
C12orf11	-1.6495
BMF	0.927625
MAN1A1	-1.031
KIAA1600	0.5395
NLGN4X	2.14425
ALOX12	-1.57
RB1CC1	0.6756
NEIL2	1.2565
EIF4E	0.0577727272727273
ABHD5	-0.4535
EXOC4	-0.134833333333333
CIP29	0.0155
BATF2	3.5445
SLC29A4	-1.4125
HTR4	0.4245
EMB	0.106
TRAF6	0.27975
LMNB1	-3.48975
FAM19A5	-1.465625
SHE	1.29225
PIK3C2B	1.41175
C15orf15	-0.2619
USP15	-0.2467
TCEAL2	-0.26
C5orf39	-0.551666666666667
PTGER2	-0.888
SLC31A1	-0.2014375
IFT172	0.29475
ADAM29	0.17775
GFOD1	0.2375
ST7L	0.970333333333333
C15orf26	-2.0615
PKN3	-1.70525
CNTD1	3.26133333333333
COMMD1	0.139375
NTRK2	1.49108333333333
FOXN3	-0.533
MFGE8	-0.9176
PFKFB2	0.947
TAS2R4	-0.072
ENTHD1	0.9965
PRMT5	-0.599375
MGC16384	-0.56
LOC442229	-0.4775
TSKU	0.237
KRTCAP3	3.931125
PDLIM1	-0.3464
KCNS2	0.01175
RNF126	-0.705333333333333
CEP63	0.69425
CLIC4	-1.072375
hCG_1990170	-0.9295
ACR	1.0667
KLK7	-0.05975
ALOX5AP	3.076125
RIPK3	4.431
TAS2R9	0.457
C19orf18	1.6805
BIRC6	-0.511357142857143
ZNF16	1.685
RFT1	-0.51775
SLC8A2	-1.03825
TACC1	-0.0705
ITGAD	1.7325
SAMHD1	1.2755
SH3PXD2B	0.267
EPC2	0.3665
C20orf85	0.11575
ATP13A2	-0.337166666666667
KRT4	0.703
CAPNS1	-0.52325
MDM2	0.80075
PCDH20	1.16375
KCNK9	0.3625
OR2C1	-0.144
KLHDC3	-1.43416666666667
IPPK	0.887
EFHD2	-0.24975
GALR3	1.0795
NBEA	0.965166666666667
ABCA6	2.2582
CLDN3	2.34166666666667
AKT2	-0.769642857142857
EGFR	-2.9901
RBM16	0.395375
ZDHHC3	-0.4085
SLC25A4	0.423166666666667
CYB5B	-1.80766666666667
CPXM1	-1.326
NDRG1	-0.627538461538461
FLJ43826	0.67175
OR5L2	0.208666666666667
FARP2	0.3172
MRPL46	0.484666666666667
LDHAL6B	0.300333333333333
MAPKAPK3	-0.664666666666667
NCAM2	-1.019
PRKD2	0.0106666666666667
ZFP36L1	-0.0117
CYSLTR1	0.00375
OR4C3	0.758
HIST1H2AJ	2.6745
CCNB2	-1.87833333333333
ZNF10	0.1995
TMEM175	0.2305
FAM134A	1.572
TIGD4	-0.6365
PCNP	0.05175
MGC39715	-0.248
LQK1	-0.91625
CREB1	0.1529
TMPRSS3	-1.35525
C4orf32	0.923875
LAT	-0.989833333333333
KCNA3	0.6985
SKIV2L2	-1.061
ROPN1B	-2.82225
tcag7.23	-0.638
CDT1	-2.59775
ZHX2	1.057875
CD28	-2.0415
ZNF624	0.81325
SEPT2	-0.6185
SOHLH2	-0.404625
MCOLN3	-0.744625
UNQ1945	0.6495
MASP2	-1.333
ZNRF3	1.006
GPATCH3	-0.34475
AGL	1.48125
QRICH2	0.02
PSD4	1.29783333333333
CCNB1IP1	-1.58125
ENPP7	-0.19125
OBFC1	0.18025
KCNG3	-1.37975
C14orf79	1.19025
ENPEP	1.244
SCT	0.962
SKI	0.643375
SEC61G	0.78425
CAPN11	-0.239
ATXN7L3	0.03425
DBNDD1	-0.534
FAIM	0.364
ANKRD36	0.0205
GABRP	-0.561
TACSTD2	1.56516666666667
EIF3J	-0.36475
PPP2R2A	-1.65075
TEKT4	-0.959
PVALB	-2.132
F10	-2.894
FAM134C	1.5014
COMP	4.99575
EFCBP1	-2.8050625
SCLT1	-0.211875
TAL1	-1.2093
ACSL1	0.64025
ABCC5	2.11808333333333
ABL1	-0.535611111111111
RBBP7	0.847166666666667
PTPRG	-1.645125
NCOR1	-0.8818
SPINK4	2.83483333333333
TXNRD1	-1.3923
TNRC15	0.478125
C9orf138	1.047375
UBE2H	1.28366666666667
BRDT	1.23083333333333
C8orf31	-0.56625
CCNE2	-0.957090909090909
SLC6A8	-1.678375
CALCR	-3.63925
PPP1CB	0.0650833333333333
ABHD8	0.14525
ARF5	0.4925
SLC24A4	0.75525
CCT3	-0.0455
ZNF121	0.484875
SLC3A2	-1.2349
OR13A1	0.643
SLC5A10	0.30975
RAD50	-0.240375
IER5	1.35175
MTHFD1L	-2.267875
MBTPS2	0.21775
MVK	-0.1255
NCL	-0.6925
PSMD10	-0.60775
MOBP	0.209375
FLJ32894	-0.6315
HRH1	-1.8765
C5orf30	1.0385
NUDT16L1	1.4784
RASGRP3	3.416
PRKRIP1	-0.0449
CCDC75	0.4715
LOC253970	-0.0885
KIAA1239	0.314
MED21	-0.04625
SYT11	0.0336666666666667
NTSR2	-0.067
EGFL11	-0.064
CXorf59	0.494
OR2A25	0.49
SPTBN2	-0.467
LRMP	-0.5625
RNF111	0.4465
PTH	-0.1135
LOC619208	0.1425
KIAA0895	1.136
RANBP5	-0.683875
P2RY10	1.42733333333333
NME5	4.13616666666667
DDX21	-0.34775
LRSAM1	-0.244
HDAC11	2.03633333333333
VMO1	1.82175
NOLA2	0.0575
ADAR	0.340083333333333
MTO1	-1.12766666666667
SF4	0.361833333333333
P2RX1	-0.2665
HBM	0.5575
EN2	1.677
C14orf172	0.025
TM9SF2	0.7046
INHBE	-1.29716666666667
TCTE3	0.0186666666666667
TOX2	-2.40475
CTAGE3	0.4925
HBB	2.5113
MED15	-1.227
CASR	0.5665
C6orf66	-1.28916666666667
MTPN	0.0735
UNC50	0.3845
C21orf33	-0.00949999999999999
IRF2	0.23475
PGR	1.38716666666667
GPR84	2.59875
CROCCL1	-1.753
SRPX	-2.33025
BRE	-0.423333333333333
FGF10	0.493
SDC3	0.1265
ZRSR1	0.694
DKFZP434P211	0.13125
SOX6	0.021
RPUSD2	-0.09975
C14orf173	-0.380916666666667
MAPK11	-0.59
TBC1D22A	-0.105
FAM123A	-0.458
COL4A6	-3.01
TOMM70A	-0.023
NAB1	-0.05675
MGC16385	-0.153875
TSPAN18	-0.555833333333333
MED31	0.14775
PLG	-0.101
CAPSL	3.1795
ZNF532	0.3106
ASB14	-0.11775
CA8	-0.0495
NUDT16P	2.44583333333333
SLFN11	0.0685
LRRIQ2	0.886875
NOL7	-0.119666666666667
BRMS1L	-0.77
JARID1A	0.048
PANK2	-0.0015
ICAM3	0.096
MDS1	0.28525
TAF8	-0.71675
RNF139	1.88075
ZNF594	-0.589333333333333
ADAM8	2.633625
SFTPC	-0.2135
MAN2B2	0.892375
RGS12	0.4955
EIF1AY	-4.11666666666667
LRRIQ1	0.234333333333333
GPR150	1.46675
CCDC21	-1.19283333333333
PRRG3	0.274
SAA4	-1.5975
RAPGEF5	0.5415
ZCCHC2	0.40075
MGC39372	-0.774
PPP4R2	-1.1995
CDCA2	-2.04516666666667
OR4D5	0.391666666666667
PTGFRN	0.9579
SIGLEC5	2.60816666666667
C19orf61	-0.397833333333333
NMUR2	0.2855
KIAA1586	-1.0105
DAGLA	1.42183333333333
CHCHD6	0.5775
GPR32	0.353
NEUROD6	0.36
SLC2A4RG	0.7799375
CA5B	0.19475
FBXL3	1.1825
MPHOSPH9	-0.959
HMG2L1	-0.32325
HCN4	0.918666666666667
CEACAM19	0.99225
SH2D4B	0.397833333333333
HFE2	-0.828
TGM4	0.704666666666667
LYPD2	0.12975
TBC1D15	0.261
MRPS21	-0.2828
NONO	-1.262
CLEC5A	1.61375
ITCH	0.6991
MGAT3	-0.736666666666667
MBP	-0.387
RPP25	-0.647
SOSTDC1	-2.569
HRC	-1.051
TRIM48	0.603
TMEM133	-1.1625
ECEL1P2	-1.173
HOXC11	1.2405
DOK5	-1.318
HELZ	0.0391666666666667
LOC348180	-0.62325
MGC33894	0.044
ADRB3	0.365
DMD	-0.398416666666667
PTRH2	0.569
MPEG1	2.83783333333333
NDUFA12	0.682
KRTAP2-4	0.0293333333333333
STAMBPL1	-0.786833333333333
ADCY2	-0.915333333333333
UNQ6125	0.7785
KLHL20	0.306666666666667
SRM	-1.70625
OTC	0.0575
TMIE	0.267333333333333
SNX8	0.0165
LIPK	0.174
CHURC1	0.111166666666667
KLC2	0.336833333333333
HDAC1	-0.4465
FAM128A	1.06616666666667
FNDC3B	0.0482
MTCP1	-0.1705
WFDC10B	0.4138
PCDHGB3	0.5045
ATRNL1	0.9221
CAV2	-1.543375
MED26	0.0531666666666667
DUS1L	0.74775
CHRM3	-1.516375
NEK9	-0.36
WARS2	0.88325
TBX22	-0.1265
TOMM40	-1.2
RP6-213H19.1	-1.1625
TUBGCP5	-0.39275
IGSF6	5.62875
TPPP	0.0798333333333334
UNQ6190	0.4385
GSTM5	-0.374625
BTD	0.0298333333333333
PDCD1LG2	0.140333333333333
SNRPB2	-0.3885
ERICH1	-0.9805
APOA4	-1.677875
HOXA11	-2.0055
NARG1	-0.77325
MKX	-0.92175
RAB28	-0.675071428571428
PKP3	1.062
SH3GL2	-2.36825
CTSO	1.646
RPN2	0.8345
IL28RA	0.643666666666667
SFMBT1	0.33525
WDR57	-1.084625
FER1L3	0.68225
HSF5	0.1075
TTC9B	0.4235
C4BPA	-3.30366666666667
ALB	-3.34007142857143
SORBS3	-0.582375
UPF2	-0.6555
JPH1	-0.726
AGBL2	1.41175
DOPEY1	1.1045
TERF1	-0.0926666666666667
KIF22	-0.6
NINJ1	1.1535
SEC61A2	0.399166666666667
HIST1H1D	1.1485
SFXN4	0.2385
UCP3	0.4323
ZNF703	1.86383333333333
MYL6B	-0.2075
TREM1	1.609
OR52E6	0.5295
CKMT2	1.50425
HLA-C	2.3395
SLC13A3	-0.117166666666667
TIMP4	-1.58825
SLIT2	1.598
RSF1	0.141444444444444
LONRF1	-1.67585714285714
MON1A	-0.703833333333333
CACNG6	1.898
DPPA4	-4.35116666666667
ZSWIM3	0.8895
ZNF804A	0.569
CCIN	0.53725
SLC25A31	-0.37525
KCNMB4	-1.6905
RABL5	0.819375
GALNS	-0.4823
STX6	1.443
HIST1H1C	1.72066666666667
CIDEB	1.17225
CASP4	0.713833333333333
PDK3	-0.4183
KCNJ11	1.2785
TPR	-0.05925
ZSCAN20	-0.8865
MTX2	0.2825
HIST1H2BH	1.1275
LOC283767	1.33275
LYRM7	-1.51444444444444
BRD3	-0.443333333333333
HIST1H2BO	1.2485
MAGEB10	0.264
SLC45A1	1.14575
SERPINA3	2.52685
KIAA0143	1.7845
KCNJ16	-0.211166666666667
KRT79	-0.16975
FABP2	-0.758
NUT	-0.65725
ZNF57	-0.1255
FBXL4	-0.38675
CLEC9A	0.64
UGT8	-1.264
BMP2K	-0.08525
MAPK4	-3.4305
SLC25A23	-0.7973
HINT1	-0.4287
KRTAP13-1	-0.0865
SFXN5	1.1103
CHCHD2	0.519833333333333
FAM3D	0.4195
NDP	-2.778
RHOBTB1	0.116333333333333
SLC4A4	-1.30575
RPL38	0.897
HTF9C	0.123333333333333
AP2A2	0.247875
ZBTB46	-0.025
MAP7D1	-0.182
AOX1	-1.33166666666667
CYR61	-0.896916666666667
DTNA	-1.267
JRKL	-0.855
TMOD3	-1.12525
EEA1	-0.2339
ADCK5	0.86025
IL1R1	0.949
KLK3	0.562071428571429
HRSP12	1.125
KTN1	0.40825
LOH11CR2A	-0.5103
RELL2	-1.042
MAB21L1	0.21975
C20orf59	-0.162833333333333
PHKB	0.05225
ADAM2	-1.37966666666667
TBC1D8B	0.608
FAM13A1	-0.8081875
LAPTM4B	-0.0531666666666666
LCN8	0.185
TMEM147	0.544
SYT4	0.444166666666667
XPO7	-1.543
C9orf62	1.6335
GPR75	0.2915
TRIM5	0.73725
APOC1	1.37433333333333
RNASE4	-0.343
PARD6B	1.31625
ARID1A	-0.2275
TPD52L3	0.2269
RRAGB	1.4855
RCN2	0.560833333333333
HIST2H2BE	1.1201875
STARD7	0.5615
SHMT2	-1.20275
KIAA1751	-0.0423333333333333
MLYCD	-0.216125
LOC162632	-0.7452
UQCRH	-1.59375
RP11-217H1.1	0.4658125
SDHA	-1.096
NCLN	-0.0744
ZNF17	0.230333333333333
RCBTB2	-1.6125
VEGFB	-0.004
RP4-747L4.3	-0.46725
COLQ	0.0545
MPN2	-0.319166666666667
DRG2	-0.859
KLRB1	5.072
ALPK2	-2.00275
DNASE2B	0.9765
FLJ23834	-0.5465
AXUD1	0.0581666666666667
SAFB	-0.3783
NSUN4	-0.41
RFX2	-0.257833333333333
MAPK8IP1	-0.605
FANCD2	-1.32864285714286
ANKZF1	-1.01616666666667
C19orf50	-0.4325
DUSP8	0.997625
SENP5	0.888
NFKBIL2	-0.16075
LBR	-1.499375
IGFL1	-0.1285
LZTS2	-0.53625
IL2RG	-0.788625
CCDC51	-0.468
KLF3	0.262
ANKRD37	-1.5195
KCTD14	-1.932
FZR1	-0.150333333333333
SLC44A4	3.8128
ESPL1	-0.516625
GMPR2	0.4841
TBC1D19	-0.317666666666667
ERGIC1	0.990444444444445
ERBB4	4.3334
TSPAN32	-0.144916666666667
MAP4	-0.528875
GPHN	-0.6705
SLC6A2	-0.431125
HIVEP1	-0.4185
DFFB	-0.6449
EIF4EBP2	0.239625
DMRT1	-0.67075
HSPB6	-0.6175
IER2	-0.399333333333333
AIFM1	0.2195
WWC2	-0.814416666666667
MRPL4	-0.661
FLJ21062	1.38783333333333
EPB41L4A	0.269583333333333
SH2D6	0.4445
TAF4B	-0.9215
GAL3ST3	-1.4945
MALT1	-0.661166666666667
RTDR1	1.02925
ARVCF	-0.24925
MEX3B	-2.03033333333333
FBXO16	1.41425
KIF7	0.45
C1QC	4.46966666666667
ZNF783	0.167333333333333
ZNF85	-1.04725
MMP13	1.617
KIAA0329	0.536625
RTP3	-0.525
ZBED3	-0.68175
CLGN	0.326
SLC25A37	-1.72225
hCG_18290	-0.40675
OR5AS1	-0.2925
SMARCC2	0.243666666666667
FAM109A	0.169166666666667
CCDC12	-0.6315
USF2	0.7349
DEPDC7	-2.19775
C20orf24	0.5485
JMJD3	0.0535
DSP	1.39342857142857
SLIC1	0.714875
FAM20A	1.212
IRF2BP2	0.54675
ZNF230	-0.2945
MSN	-1.28671428571429
SLC9A5	-1.5765
EPDR1	0.1813
MUSK	0.2805
ZNF434	0.445
SMARCD1	-1.0865
ZFP106	-0.68925
ZNF347	-0.1172
