Hybridization REF	TCGA-A8-A08H-01A-21R-A00Z-07
C20orf32	-0.2205
CCDC95	-0.705
HIGD1B	4.32875
USP6NL	-0.74925
ABCD4	0.268
DIMT1L	-0.00183333333333333
TEK	2.566375
SLC25A46	0.4105
LARP7	-1.0388
CD160	0.912166666666667
MT1JP	0.929333333333333
PHF20	-0.6294375
CPNE4	-1.4225
GTPBP1	-0.666642857142857
RAB33B	0.04
ALDOC	-2.030625
ZNF212	-0.56375
NUDT1	-0.0596666666666667
RFPL2	-0.463
ZNF83	-0.594
GDPD5	-0.216
PDCD4	1.50915
CEP350	-0.70775
OR10A2	-0.15075
CST7	0.991
CIAO1	-0.40975
SELL	1.827375
OR8J3	-0.2005
LTBP4	-0.9715
SIRT6	-0.515
CCL19	5.2095
PPIL1	-0.511833333333333
GBP7	-0.137666666666667
STK17A	-0.5993
ABR	1.081
OR9G1	0.403
FOXE1	-0.286875
CNGA3	0.575
GML	-0.134
CD38	-0.35725
ZDHHC6	-0.0901666666666667
NEFH	-0.9825
CTDSP2	0.521583333333333
PGBD5	-1.53433333333333
CCNY	0.542142857142857
RMND5B	-0.1355
ZNF257	-2.047
FLJ22167	-0.85775
EXOSC7	0.0998333333333333
ROR2	0.96175
MAOA	1.4365
TNNT3	2.79666666666667
GYPC	0.41525
C7orf33	1.1885
PLIN	4.45
LOC90826	-0.089
RNF4	-0.247
F8A1	-0.0806666666666667
PLEKHG4	-1.691
GRB2	0.5561
HIST1H2AD	-1.4375
DUS3L	-0.599666666666667
EIF1	0.284666666666667
RP5-1077B9.4	-1.06683333333333
FPGT	1.083
GDF10	1.55016666666667
COQ9	-0.459
GCC2	-0.158071428571429
RARRES3	1.982875
PLXNA1	-0.0563
KIAA0100	-0.1566
PMF1	-0.70625
FNDC1	5.07725
HS2ST1	0.55025
CRELD2	0.9485
C8G	-2.524
CD82	1.5235
LIM2	-0.31
UNQ6490	-0.695
MMP16	0.2175
DRD3	0.269
C5orf26	0.1815
C11orf73	0.479125
PTP4A2	0.66425
OR4M2	-0.4285
HPCA	-1.2415
SEC14L1	0.283833333333333
CHFR	0.11075
EMILIN1	1.904375
NDUFS4	0.1175
COL18A1	0.8035
PDZD3	0.1683
C9orf16	-0.947833333333333
ERBB2IP	-0.0588333333333333
EMX2	3.9095
FUS	-1.55925
TF	-3.5739
CLCN4	-0.0678333333333334
CXorf56	0.321
C11orf72	-0.03125
ELAC2	-0.342916666666667
NPR1	1.323
ASS1	-1.24183333333333
USP42	-0.271375
POLR2J	-0.8905
SEC23IP	0.226
UQCRC1	-0.405
LOC729603	-0.91525
C1orf71	-0.838875
POLG	-2.1445
ADAM23	-2.03425
TFR2	-1.053
RICTOR	-0.9509
MGC39606	0.50475
C19orf55	-0.2025
SNAPC1	-0.9
GNA11	0.101875
CCDC52	-0.5435
FSIP1	3.1805
UPF3A	-0.548875
IGSF11	-2.934
LAGE3	-0.54225
CHST6	-0.7615
UNC13B	-0.114625
TTLL4	-1.063125
ZNF687	-0.17
SDC2	0.274
COX7A2	0.03
LAMB4	0.21375
FAM24A	0.501
LRRTM3	-0.994166666666667
GPHB5	0.91775
OR4C13	0.616
EIF3EIP	0.303928571428571
HABP4	0.1965
TMEM125	1.749
CNTN2	0.2175
ASNSD1	0.217
FUT4	0.5
ACF	-3.5635
LOC158381	0.8355
CDH8	-0.53225
AGPS	-0.133833333333333
C4orf18	3.42775
PECI	0.129333333333333
UNG	-1.07625
GSTP1	-0.223125
DCUN1D5	-0.4575
DKFZP564J0863	0.319
SLC9A3R1	-1.105375
BCDO2	-0.469
CHMP7	-0.649875
REM2	0.2525
DNHD1	-0.734
FKBP4	-1.618625
ZNF350	1.8145
MGC11102	0.30425
BST1	4.1215
KISS1R	1.283
NCR2	0.1415
DEFB125	0.683
UBE2W	1.691375
KRT15	2.96925
C10orf99	0.6255
SCN11A	0.5845
GFI1	-1.61625
RDHE2	2.66766666666667
FHL1	0.591166666666667
OSGEP	0.616833333333333
GATA1	-2.93
SMC6	-0.7435
TTTY14	-0.7285
LPIN3	-0.0785
RPL4	0.2984
RBPMS	-0.2529
PRPF3	-1.41066666666667
EMR1	-0.4175
SPATA19	0.2755
XCR1	0.427
IRX3	1.4822
RBM6	-0.74025
KLF4	-0.6342
UNC5CL	-0.86225
SEBOX	0.5205
BTK	1.35025
KRCC1	1.19025
C6orf27	0.5425
SYTL5	-1.7905
PRND	2.8825
LOC653319	-1.8625
PIGL	-0.664125
HUS1	0.751333333333333
SFRS6	-0.03825
C17orf77	-0.6435
UIMC1	-0.0786666666666667
FXYD2	-1.3312
LOC283152	1.08375
ZNF667	-0.932
ZCCHC12	-0.54375
TFEC	4.661
ATP7B	-1.0185
POLD2	-1.75666666666667
RG9MTD1	0.22675
ACOT2	0.0835
HIST1H4I	-1.21925
PPARGC1A	-1.7993
ETFA	-0.325
POLRMT	-0.71
ZNF146	-0.800375
MIA2	-0.6905
KLHL6	1.66766666666667
HOXB5	0.262375
NENF	0.2515
CUGBP1	-0.08625
PRSS22	0.5185
CASC4	1.1075
CUL4B	0.4832
CENPJ	-1.213
PITX1	-1.77616666666667
FLJ31033	1.1145
CELSR3	-2.024
ZNF568	0.4385
ITSN1	0.710833333333333
EHBP1L1	0.0755
C19orf2	-0.98725
DCTN1	-0.93225
LIN28B	-2.6315
TNKS2	-1.22025
C1QBP	-0.10875
CADPS2	1.04075
SRMS	0.60275
GJA9	0.13
MGC24975	-0.9305
TRIM45	-1.56466666666667
TSP50	-0.44
TCP1	-0.75475
TMED7	0.8709
CMA1	1.699
CENPL	-0.8945
PTCRA	1.5435
FST	-3.43325
VWCE	-2.487
PAWR	-0.72325
ABCC12	0.771
LDLR	-2.3437
ASTN2	-0.1063
LOC441212	-0.038125
GPATCH8	-0.4095
TANC2	-1.24316666666667
KIF4A	-1.946
C18orf18	-0.7335
PGM1	-0.60075
KIAA0258	0.1365
CPD	0.34675
SNCAIP	-0.675
DCT	-3.90233333333333
HLA-DOA	3.34354545454545
OR11L1	0.7895
UPK1B	-0.388
DNAJB4	0.853625
UGT1A8	-0.28075
HIST1H4L	0.276
PECR	-0.779666666666667
HSPA2	1.09925
WFIKKN1	-2.495
SERP1	0.253125
SYDE2	-1.2475
TACR2	0.7835
NUP85	-0.29975
CD177	0.315666666666667
LGR5	-2.409
PIGG	-0.357
PTHR1	-0.2315
RAB5A	0.1988
FLJ13224	0.3345
USP9Y	-2.40233333333333
C7orf53	-0.609
LRP1B	-0.90575
XAF1	2.332
ABCG8	-1.4285
ANKDD1A	-0.143166666666667
DAND5	-2.381
SPAG6	0.3506
LINCR	0.86175
ZDHHC22	-0.94825
CCDC60	0.599
THOC7	-1.097
TCTA	0.8595
OR8K3	0.23
NY-REN-7	-0.5595
B2M	2.68516666666667
C6orf141	-2.2245
LPPR4	3.51625
SQLE	-1.62675
SEPHS1	-0.54225
BTBD14B	0.645
PLRG1	-0.065
SPG7	-0.533625
ZNF614	-0.120833333333333
PARD6G	1.10566666666667
INPP5B	-0.6782
GRPEL2	-0.003625
PPID	-0.2838
TRIM56	-0.53575
UBE2J1	0.6655
IL20RA	3.078
LOC387856	-0.1835
C1orf107	-0.405166666666667
UTS2R	1.61525
C19orf22	-0.87675
SAFB2	-0.222875
KIAA0652	-0.36175
KLRG1	1.784
MS4A8B	0.502
FRAG1	-0.97725
KIAA1546	0.51775
E2F4	-1.3834
CLEC4M	0.784333333333333
BTBD14A	0.87425
KIAA0999	0.8095
GYPA	-3.49483333333333
TAC1	0.2057
TRAIP	-1.09883333333333
KIAA0232	0.5457
ERCC8	-0.552375
GPX4	-0.04875
KIAA0368	-0.312375
GPR157	-0.679166666666667
CTAGE4	-1.341
C9orf30	-0.397666666666667
OR52A1	0.995
HSP90B3P	-0.271
ALG9	-0.2697
BTBD10	0.50375
SDK2	-0.095
BAIAP3	-0.423
RABGGTB	-0.35725
ANKRD40	-0.595666666666667
KRT74	0.4055
CALCOCO2	0.242214285714286
SNCA	-1.124
TMSL8	-2.257875
C2orf53	1.0805
ESRRB	-0.74475
ARHGAP26	-0.141
TDRD9	-1.11075
HRAS	-0.0753333333333333
KLRC4	-1.219
JAGN1	-0.4505
BSDC1	-0.242
RNF43	-1.7057
NDUFAF1	0.88
PHF12	-0.0235
OR1L3	-0.08975
FOLR2	3.67441666666667
LYZL6	0.860166666666667
tcag7.1260	-0.6575
WSB1	-0.976666666666667
PROS1	0.8299
OSTN	1.0815
PSMB8	1.926
SOCS4	-0.445
DDIT4L	4.4875
MAS1	0.3565
MGC34796	0.6725
CSHL1	0.284
TBCCD1	0.0373333333333333
ZBTB7C	-0.1965
AP2S1	0.2235
P15RS	-0.9648
VAT1	-0.0827
SHANK3	1.79383333333333
TUFM	-0.335666666666667
THEG	0.4535
KRT34	1.44275
SGSM3	-0.110875
TOMM22	-0.16875
SOCS3	1.221
CPO	0.016
POP4	0.628
BHLHB3	1.517
MALL	2.24175
OR1B1	0.3925
PARK2	0.366833333333333
GPR124	1.0905
LCE1E	-0.1665
RUVBL2	-1.1965
CGRRF1	0.9884
ACPL2	0.06925
WNT10B	-1.74425
BAIAP2L2	-0.652125
ISCA1	-0.146
C1orf125	-0.075875
RPAP1	-0.37825
RAI16	0.1255
RPL27	0.32825
NLRP9	-0.568
EPN1	-0.7365
LOC388610	-1.358125
SLC35A1	0.7587
GAL	-1.62575
SLC14A2	0.655
RDH11	-0.464333333333333
FAM138F	0.175
AUH	-0.035
FLJ40243	0.47625
C14orf129	0.838333333333333
MBD2	-0.377333333333333
ABHD14B	-0.373125
PIGT	-0.4395
ALS2CR4	-0.21025
ALAS1	0.3393
FOXO1	1.48083333333333
CRLF3	0.11125
C20orf107	-0.3985
FARS2	0.762
CCDC28A	1.57775
NPHP3	-0.3055
OR13F1	0.417
TSEN54	-0.89875
DEFB106B	0.3345
OR8B4	0.574
STH	-0.11325
ZC3H14	-0.58675
CBX2	0.0115
TMEM49	-0.9705
C6orf21	0.9575
FLJ20920	-0.01575
CRTAP	0.452642857142857
DDX50	-0.00125000000000001
STYXL1	-0.54075
BLVRB	1.15883333333333
LOC147650	-0.123166666666667
MMP24	0.39975
GRID1	2.11866666666667
BANF1	-1.7195
CTAGEP	-0.92425
HMBS	-1.3065
SLC25A24	0.5095
C14orf50	0.58575
MRO	4.77816666666667
SLC25A15	-0.7705
FAM84B	0.6382
TDP1	0.1165
C16orf78	0.031
C11orf57	0.580125
RFK	-0.430125
ZFYVE9	-2.03525
STCH	-0.4933
WIBG	0.10975
LOC283871	-0.694666666666667
GBA2	-0.7707
NDUFB3	0.3455
HSD17B13	0.53025
GRIN3A	2.60833333333333
FMNL1	-0.641
SEPT7	0.0518
GNLY	4.2625
GRAMD1C	1.26116666666667
ZNF165	-0.6855
USP38	-0.469
FAM83A	-2.86133333333333
C14orf24	0.0654166666666667
ARMCX3	0.92225
ARHGDIB	0.935333333333333
AK1	0.094
KIAA1045	0.26075
DNAJB13	-0.139
NEU2	-0.092
HIST1H4B	-0.382166666666667
FAM20B	-0.6905
HES2	0.301071428571429
FAM73B	-0.7525
LOC388381	0.30725
INTS7	-1.071
AMPH	1.2975
ZNF775	0.469625
UCKL1	-1.13466666666667
C10orf97	0.16625
C1orf161	0.021
ALDH1L1	0.38825
FLJ39378	-0.18275
SLC23A1	-1.937
RBM4B	-0.496
THAP4	-0.127666666666667
OGFRL1	1.5625
KIAA0831	0.178375
PPP1R15A	-0.509166666666667
C1orf96	0.18
C12orf11	-1.786
BMF	1.576625
MAN1A1	-0.48725
KIAA1600	0.7485
NLGN4X	-0.42425
ALOX12	-1.524
RB1CC1	0.523
NEIL2	0.6481
EIF4E	0.269227272727273
ABHD5	0.74075
EXOC4	-0.224833333333333
CIP29	0.2935
BATF2	1.18625
SLC29A4	-1.161625
HTR4	0.24425
EMB	0.46425
TRAF6	0.744
LMNB1	-3.6355
FAM19A5	-1.22
SHE	3.4725
PIK3C2B	1.15125
C15orf15	0.1225
USP15	0.3345
TCEAL2	1.9145
C5orf39	1.26783333333333
PTGER2	1.437
SLC31A1	0.3360625
IFT172	0.1925
ADAM29	0.52575
GFOD1	1.21425
ST7L	0.3735
C15orf26	-1.91875
PKN3	-0.80325
CNTD1	0.538
COMMD1	0.877
NTRK2	3.00033333333333
FOXN3	0.620125
MFGE8	-0.7363
PFKFB2	0.1645
TAS2R4	-0.09025
ENTHD1	1.91733333333333
PRMT5	-1.07
MGC16384	-1.007125
LOC442229	0.6815
TSKU	-0.05075
KRTCAP3	0.6635
PDLIM1	0.8086
KCNS2	0.982
RNF126	-0.6945
CEP63	0.546875
CLIC4	0.493625
hCG_1990170	1.3405
ACR	0.8654
KLK7	2.13375
ALOX5AP	4.2585
RIPK3	4.26725
TAS2R9	0.3445
C19orf18	1.0605
BIRC6	-0.657714285714286
ZNF16	0.431
RFT1	-0.04
SLC8A2	-0.811
TACC1	1.315375
ITGAD	1.058
SAMHD1	2.6005
SH3PXD2B	1.0789
EPC2	0.7515
C20orf85	0.209125
ATP13A2	-0.5835
KRT4	0.804375
CAPNS1	-0.414
MDM2	-0.15575
PCDH20	1.33275
KCNK9	0.805
OR2C1	-0.112
KLHDC3	-1.4485
IPPK	-0.6015
EFHD2	1.58175
GALR3	1.6895
NBEA	0.0453333333333333
ABCA6	4.4161
CLDN3	-0.344
AKT2	-1.11164285714286
EGFR	-0.4446
RBM16	-0.204375
ZDHHC3	0.3813
SLC25A4	-1.19916666666667
CYB5B	-0.985333333333333
CPXM1	2.17825
NDRG1	-1.27369230769231
FLJ43826	0.76725
OR5L2	-0.217333333333333
FARP2	-0.6159
MRPL46	-0.054
LDHAL6B	0.00633333333333332
MAPKAPK3	0.276833333333333
NCAM2	-1.243
PRKD2	0.3795
ZFP36L1	1.4894
CYSLTR1	1.253
OR4C3	-0.23675
HIST1H2AJ	1.435
CCNB2	-1.48144444444444
ZNF10	-0.7815
TMEM175	0.035
FAM134A	0.1845
TIGD4	0.0725
PCNP	0.328
MGC39715	0.4935
LQK1	0.49225
CREB1	0.7396
TMPRSS3	-0.21275
C4orf32	2.08625
LAT	-0.806916666666667
KCNA3	-1.092
SKIV2L2	-0.844
ROPN1B	-0.006
tcag7.23	-0.292
CDT1	-2.355
ZHX2	0.17
CD28	-0.496
ZNF624	1.02225
SEPT2	0.375666666666667
SOHLH2	-2.436125
MCOLN3	-0.0375
UNQ1945	1.65
MASP2	-1.6335
ZNRF3	-1.1039
GPATCH3	0.0045
AGL	0.466875
QRICH2	-0.418
PSD4	0.350833333333333
CCNB1IP1	-1.43275
ENPP7	0.024
OBFC1	0.60025
KCNG3	-1.7105
C14orf79	-1.03308333333333
ENPEP	2.591
SCT	2.024
SKI	1.033625
SEC61G	0.1815
CAPN11	0.8695
ATXN7L3	-0.994
DBNDD1	-1.55583333333333
FAIM	0.47
ANKRD36	-0.63
GABRP	3.606
TACSTD2	0.771833333333333
EIF3J	0.056
PPP2R2A	-0.99825
TEKT4	-0.182666666666667
PVALB	-0.839
F10	-1.225
FAM134C	0.6754
COMP	3.023625
EFCBP1	-1.3910625
SCLT1	1.536625
TAL1	-0.1523
ACSL1	1.797
ABCC5	0.526416666666667
ABL1	-0.519111111111111
RBBP7	0.00150000000000002
PTPRG	-0.551125
NCOR1	-0.3807
SPINK4	-0.909333333333333
TXNRD1	-0.6444
TNRC15	0.58025
C9orf138	0.419125
UBE2H	0.388166666666667
BRDT	0.462333333333333
C8orf31	0.33125
CCNE2	-2.24209090909091
SLC6A8	-1.987875
CALCR	-2.9745
PPP1CB	0.655916666666667
ABHD8	-0.57425
ARF5	-0.3941
SLC24A4	1.6535
CCT3	-0.8385
ZNF121	0.487375
SLC3A2	-1.6984
OR13A1	0.578
SLC5A10	-0.208
RAD50	-0.435
IER5	0.948125
MTHFD1L	-0.87375
MBTPS2	-0.0225
MVK	-0.8835
NCL	-0.0201
PSMD10	0.0215
MOBP	0.782
FLJ32894	0.5515
HRH1	0.798166666666667
C5orf30	-0.57675
NUDT16L1	0.2783
RASGRP3	5.25016666666667
PRKRIP1	-0.3461
CCDC75	1.12375
LOC253970	0.224666666666667
KIAA1239	0.944
MED21	0.585
SYT11	1.49241666666667
NTSR2	-0.505
EGFL11	-0.2965
CXorf59	-0.266
OR2A25	0.20975
SPTBN2	-1.665
LRMP	0.614
RNF111	-0.000999999999999994
PTH	0.201
LOC619208	1.053
KIAA0895	-1.64775
RANBP5	-0.912875
P2RY10	1.62916666666667
NME5	3.157
DDX21	-1.14125
LRSAM1	-1.238
HDAC11	0.0545
VMO1	2.03525
NOLA2	-0.569
ADAR	-0.163666666666667
MTO1	-0.868166666666667
SF4	0.368666666666667
P2RX1	0.418666666666667
HBM	0.8045
EN2	1.725
C14orf172	-0.14775
TM9SF2	0.1915
INHBE	-1.30816666666667
TCTE3	-0.0155833333333334
TOX2	-1.8075
CTAGE3	-0.271625
HBB	5.0467
MED15	-1.21783333333333
CASR	0.353
C6orf66	-0.327166666666667
MTPN	-0.33225
UNC50	0.35775
C21orf33	0.436
IRF2	0.5805
PGR	-0.0366666666666667
GPR84	3.49525
CROCCL1	-2.0985
SRPX	1.2525
BRE	-0.0856666666666667
FGF10	3.2795
SDC3	0.917666666666667
ZRSR1	0.8315
DKFZP434P211	0.2775
SOX6	-0.4675
RPUSD2	0.022
C14orf173	0.387
MAPK11	0.410833333333333
TBC1D22A	1.1005
FAM123A	-0.6445
COL4A6	-2.8045
TOMM70A	-1.1175
NAB1	0.20925
MGC16385	0.071125
TSPAN18	1.0025
MED31	0.38825
PLG	0.08525
CAPSL	1.328
ZNF532	0.4987
ASB14	0.562
CA8	-1.91475
NUDT16P	1.59183333333333
SLFN11	0.954
LRRIQ2	-0.14725
NOL7	0.407
BRMS1L	-0.304125
JARID1A	0.294
PANK2	0.0615
ICAM3	-0.0585
MDS1	-0.32775
TAF8	-0.43625
RNF139	0.887
ZNF594	-0.69
ADAM8	3.175625
SFTPC	0.0165
MAN2B2	1.019625
RGS12	0.34075
EIF1AY	-4.33325
LRRIQ1	-0.387833333333333
GPR150	1.581
CCDC21	-1.8165
PRRG3	0.8355
SAA4	-3.07025
RAPGEF5	2.274625
ZCCHC2	0.207583333333333
MGC39372	1.0255
PPP4R2	-0.446666666666667
CDCA2	-1.5225
OR4D5	0.207333333333333
PTGFRN	0.3061
SIGLEC5	4.15616666666667
C19orf61	-0.2395
NMUR2	0.437
KIAA1586	-0.270166666666667
DAGLA	0.692666666666667
CHCHD6	-0.0775
GPR32	0.6765
NEUROD6	0.271166666666667
SLC2A4RG	-0.2708125
CA5B	0.67475
FBXL3	1.173
MPHOSPH9	-0.8165
HMG2L1	-0.54175
HCN4	1.10566666666667
CEACAM19	0.87625
SH2D4B	0.135
HFE2	-1.8955
TGM4	0.2508
LYPD2	0.0605
TBC1D15	0.762
MRPS21	0.2499
NONO	-0.8578
CLEC5A	2.213625
ITCH	0.1099
MGAT3	0.911333333333333
MBP	0.12325
RPP25	-0.9085
SOSTDC1	1.5775
HRC	-0.8965
TRIM48	0.711
TMEM133	0.07125
ECEL1P2	-0.37575
HOXC11	-1.224
DOK5	1.3095
HELZ	-0.119
LOC348180	-0.1275
MGC33894	0.4
ADRB3	0.021
DMD	-0.0952499999999999
PTRH2	-0.22725
MPEG1	4.56883333333333
NDUFA12	0.643833333333333
KRTAP2-4	0.63225
STAMBPL1	-0.205333333333333
ADCY2	0.7436
UNQ6125	0.025
KLHL20	0.3095
SRM	-0.89225
OTC	0.1125
TMIE	0.433666666666667
SNX8	0.9385
LIPK	-0.744
CHURC1	-0.0830833333333332
KLC2	0.0943333333333333
HDAC1	-1.00883333333333
FAM128A	-0.164333333333333
FNDC3B	1.4766
MTCP1	-0.222
WFDC10B	0.3969
PCDHGB3	-0.755
ATRNL1	-2.3518
CAV2	1.358125
MED26	-0.399333333333333
DUS1L	-0.28975
CHRM3	-1.996
NEK9	-0.417
WARS2	0.67875
TBX22	1.0545
TOMM40	-1.304
RP6-213H19.1	-0.858833333333333
TUBGCP5	-0.8335
IGSF6	6.1765
TPPP	-0.472
UNQ6190	0.7125
GSTM5	0.94475
BTD	0.1755
PDCD1LG2	0.8635
SNRPB2	0.567666666666667
ERICH1	0.36025
APOA4	-1.299
HOXA11	-2.34
NARG1	-0.71175
MKX	-1.172
RAB28	-0.301285714285714
PKP3	-0.44575
SH3GL2	-2.1885
CTSO	2.4185
RPN2	0.3339375
IL28RA	0.378166666666667
SFMBT1	-0.31625
WDR57	-1.06125
FER1L3	1.30675
HSF5	0.619833333333333
TTC9B	-0.07875
C4BPA	-2.863
ALB	-3.40392857142857
SORBS3	0.4075
UPF2	-0.69
JPH1	-0.184
AGBL2	-0.89475
DOPEY1	1.385
TERF1	-0.39475
KIF22	-1.28433333333333
NINJ1	0.275
SEC61A2	-0.867166666666667
HIST1H1D	-1.11816666666667
SFXN4	-0.034875
UCP3	0.3025
ZNF703	0.548333333333333
MYL6B	-0.46575
TREM1	3.21725
OR52E6	0.0375
CKMT2	2.14925
HLA-C	2.38675
SLC13A3	-0.873166666666667
TIMP4	0.3255
SLIT2	3.42475
RSF1	-0.101722222222222
LONRF1	-1.28842857142857
MON1A	0.170833333333333
CACNG6	-0.742
DPPA4	-4.32466666666667
ZSWIM3	0.01725
ZNF804A	1.76416666666667
CCIN	2.74075
SLC25A31	0.3005
KCNMB4	0.88825
RABL5	0.324125
GALNS	-0.6425
STX6	0.715375
HIST1H1C	-2.45566666666667
CIDEB	-0.048125
CASP4	1.75766666666667
PDK3	0.1555
KCNJ11	0.4735
TPR	-0.293625
ZSCAN20	0.1325
MTX2	-0.13825
HIST1H2BH	-0.887
LOC283767	2.77075
LYRM7	-0.865705882352941
BRD3	-1.027
HIST1H2BO	-1.4425
MAGEB10	0.8355
SLC45A1	0.85175
SERPINA3	0.2173
KIAA0143	1.2235
KCNJ16	1.45383333333333
KRT79	-0.46675
FABP2	-0.069
NUT	0.1025
ZNF57	-0.246
FBXL4	0.417
CLEC9A	1.204
UGT8	-0.810166666666667
BMP2K	1.32475
MAPK4	-2.997
SLC25A23	-1.914
HINT1	-0.447
KRTAP13-1	0.513
SFXN5	0.1
CHCHD2	0.10875
FAM3D	3.268
NDP	-0.920625
RHOBTB1	0.704166666666667
SLC4A4	-0.8725
RPL38	0.4085
HTF9C	-0.569333333333333
AP2A2	0.779125
ZBTB46	0.0985
MAP7D1	0.743875
AOX1	0.044
CYR61	0.824833333333333
DTNA	-0.908214285714286
JRKL	0.2765
TMOD3	0.40725
EEA1	0.6137
ADCK5	-0.25075
IL1R1	2.91983333333333
KLK3	0.936428571428571
HRSP12	-0.168
KTN1	0.18725
LOH11CR2A	1.7549
RELL2	-1.072
MAB21L1	2.236
C20orf59	-1.19016666666667
PHKB	-0.06625
ADAM2	-1.44283333333333
TBC1D8B	1.827
FAM13A1	-0.385375
LAPTM4B	-0.754083333333333
LCN8	-0.3695
TMEM147	0.3955
SYT4	0.371833333333333
XPO7	-1.1165
C9orf62	1.527
GPR75	-0.7475
TRIM5	0.093875
APOC1	2.48233333333333
RNASE4	0.280666666666667
PARD6B	-2.011125
ARID1A	-0.709833333333333
TPD52L3	0.1403
RRAGB	0.413666666666667
RCN2	-0.753166666666667
HIST2H2BE	-1.574125
STARD7	0.04425
SHMT2	-0.794
KIAA1751	-0.063
MLYCD	0.839625
LOC162632	-0.8948
UQCRH	-0.8995
RP11-217H1.1	0.9205
SDHA	-0.974166666666667
NCLN	0.2973
ZNF17	-0.158833333333333
RCBTB2	0.66
VEGFB	-0.353
RP4-747L4.3	1.26775
COLQ	-0.1373
MPN2	-0.728666666666667
DRG2	-0.952
KLRB1	6.5045
ALPK2	-1.05375
DNASE2B	1.65075
FLJ23834	-0.917333333333333
AXUD1	-0.115
SAFB	-0.5714
NSUN4	-0.49
RFX2	0.561
MAPK8IP1	-1.09983333333333
FANCD2	-1.31757142857143
ANKZF1	-1.49
C19orf50	-0.103625
DUSP8	0.33625
SENP5	0.080625
NFKBIL2	-0.457
LBR	0.010625
IGFL1	0.2775
LZTS2	-0.194875
IL2RG	-0.802625
CCDC51	-0.29975
KLF3	0.5275
ANKRD37	-1.1175
KCTD14	-0.665833333333333
FZR1	-0.0849166666666667
SLC44A4	1.7607
ESPL1	-0.962125
GMPR2	-0.0002
TBC1D19	-0.1315
ERGIC1	0.499592592592593
ERBB4	1.4797
TSPAN32	1.37825
MAP4	0.307
GPHN	-1.2315
SLC6A2	0.266875
HIVEP1	-0.21175
DFFB	-0.3533
EIF4EBP2	0.750875
DMRT1	-0.53025
HSPB6	0.0785
IER2	-0.529666666666667
AIFM1	-0.01175
WWC2	-0.3545
MRPL4	-1.31525
FLJ21062	0.262
EPB41L4A	0.913166666666667
SH2D6	0.31225
TAF4B	-1.18275
GAL3ST3	-0.512
MALT1	-0.2985
RTDR1	-0.096
ARVCF	-0.7605
MEX3B	-0.4465
FBXO16	-0.15
KIF7	-0.6715
C1QC	4.61383333333333
ZNF783	-0.659333333333333
ZNF85	-1.45075
MMP13	5.2115
KIAA0329	0.857
RTP3	-0.492
ZBED3	0.4775
CLGN	-2.95775
SLC25A37	-1.227125
hCG_18290	0.063
OR5AS1	-1.925
SMARCC2	0.00266666666666666
FAM109A	0.0968333333333333
CCDC12	-0.225
USF2	0.3007
DEPDC7	-0.2805
C20orf24	-0.115
JMJD3	-1.0795
DSP	-1.54071428571429
SLIC1	1.6465
FAM20A	3.579
IRF2BP2	-0.6805
ZNF230	-0.0995
MSN	0.431357142857143
SLC9A5	-1.0395
EPDR1	-0.85
MUSK	0.184
ZNF434	-0.317333333333333
SMARCD1	-1.03016666666667
ZFP106	0.50975
ZNF347	-0.2634
GTF2E1	0.13475
RY1	-0.158833333333333
