Hybridization REF	TCGA-E2-A14R-01A-11R-A115-07
ERCC8	-1.19325
GPX4	0.334625
KIAA0368	-0.903625
GPR157	-1.133
CTAGE4	2.5035
C9orf30	-0.954
OR52A1	0.885
HSP90B3P	-0.5355
ALG9	-0.3209
BTBD10	0.074
SDK2	0.40525
BAIAP3	-1.24725
RABGGTB	0.0755
ANKRD40	-0.212333333333333
KRT74	0.1425
CALCOCO2	0.266642857142857
SNCA	-2.9335
TMSL8	-5.240625
C2orf53	0.493
ESRRB	-0.37125
ARHGAP26	-0.6595
TDRD9	-2.38125
HRAS	0.284833333333333
KLRC4	-1.714
JAGN1	0.664333333333333
BSDC1	0.6185
RNF43	0.802
NDUFAF1	-0.50825
PHF12	0.0015
OR1L3	0.078
FOLR2	1.57166666666667
LYZL6	0.0851666666666667
tcag7.1260	-1.6695
WSB1	-1.23566666666667
PROS1	-1.6871
OSTN	0.101
PSMB8	1.2905
SOCS4	-0.65775
DDIT4L	2.757
MAS1	-0.1295
MGC34796	-0.04075
CSHL1	0.201333333333333
TBCCD1	-0.191333333333333
ZBTB7C	0.1245
AP2S1	-0.265375
P15RS	-0.1266
VAT1	-1.2243
SHANK3	1.00266666666667
TUFM	-0.362833333333333
THEG	0.0135
KRT34	-1.6005
SGSM3	-0.140125
TOMM22	0.417125
SOCS3	0.990166666666667
CPO	-0.31
POP4	0.43075
BHLHB3	-0.0525
MALL	1.38875
OR1B1	0.3835
PARK2	0.1395
GPR124	-0.303625
LCE1E	-1.106
RUVBL2	-0.4965
CGRRF1	-1.6112
ACPL2	1.197
WNT10B	-1.79275
BAIAP2L2	-0.05525
ISCA1	-0.194
C1orf125	0.997875
RPAP1	-1.4055
RAI16	-0.4825
RPL27	-0.44275
NLRP9	-0.0385
EPN1	-0.011
LOC388610	-1.191375
SLC35A1	0.4527
GAL	-1.593
SLC14A2	0.59075
RDH11	-0.6675
FAM138F	-0.1015
AUH	-0.12975
FLJ40243	0.1095
C14orf129	-0.940333333333333
MBD2	0.2645
ABHD14B	-0.1565
PIGT	-0.79775
ALS2CR4	-0.437875
ALAS1	-0.0685
FOXO1	0.134666666666667
CRLF3	0.380375
C20orf107	0.2075
FARS2	-0.06475
CCDC28A	0.7755
NPHP3	-0.20375
OR13F1	0.443
TSEN54	-0.25275
DEFB106B	0.2421
OR8B4	0.634
STH	-0.806
ZC3H14	-0.56475
CBX2	-1.37
TMEM49	-1.35925
C6orf21	0.465
FLJ20920	-0.384
CRTAP	-0.918357142857143
DDX50	0.2575
STYXL1	-0.299
BLVRB	-0.565166666666667
LOC147650	0.323166666666667
MMP24	0.1525
GRID1	1.475
BANF1	-0.120166666666667
CTAGEP	0.688
HMBS	-1.072
SLC25A24	-1.238
C14orf50	1.0955
MRO	0.026
SLC25A15	0.2195
FAM84B	1.1062
TDP1	-0.5545
C16orf78	0.314833333333333
C11orf57	0.814125
RFK	-0.972375
ZFYVE9	-0.22325
STCH	-0.4168
WIBG	-0.065
LOC283871	-1.02833333333333
GBA2	-0.3878
NDUFB3	-0.6765
HSD17B13	-0.83425
GRIN3A	2.13616666666667
FMNL1	-0.7985
SEPT7	0.432
GNLY	4.0905
GRAMD1C	0.701666666666667
ZNF165	0.94175
USP38	0.42175
FAM83A	-2.9315
C14orf24	1.02758333333333
ARMCX3	-0.2795
ARHGDIB	0.908833333333333
AK1	-0.746875
KIAA1045	0.0415
DNAJB13	-0.405
NEU2	0.462
HIST1H4B	-0.0798333333333333
FAM20B	-0.0327
HES2	0.672285714285714
FAM73B	-0.8369
LOC388381	0.29425
INTS7	-0.637909090909091
AMPH	-0.94525
ZNF775	-0.12475
UCKL1	-0.354333333333333
C10orf97	-0.3005
C1orf161	-0.02575
ALDH1L1	0.7385
FLJ39378	-0.56325
SLC23A1	-2.0425
RBM4B	-0.1165
THAP4	-0.0918333333333333
OGFRL1	1.74325
KIAA0831	-0.55575
PPP1R15A	0.263666666666667
C1orf96	1.51707142857143
C12orf11	-0.357
BMF	0.36075
MAN1A1	-0.7495
KIAA1600	-0.128666666666667
NLGN4X	-2.33575
ALOX12	-1.6815
RB1CC1	0.3815
NEIL2	0.6994
EIF4E	0.0358636363636363
ABHD5	-0.4785
EXOC4	-0.0518333333333333
CIP29	-0.0368333333333333
BATF2	2.96
SLC29A4	-0.34125
HTR4	1.20625
EMB	-1.05675
TRAF6	0.58875
LMNB1	-0.78725
FAM19A5	-0.650625
SHE	1.01825
PIK3C2B	1.01725
C15orf15	-1.0565
USP15	0.2046
TCEAL2	-1.32675
C5orf39	1.99933333333333
PTGER2	-1.64875
SLC31A1	-0.718625
IFT172	0.485
ADAM29	0.02775
GFOD1	1.53775
ST7L	1.19583333333333
C15orf26	-3.2055
PKN3	-1.434
CNTD1	-0.292
COMMD1	0.56075
NTRK2	2.11583333333333
FOXN3	0.086125
MFGE8	2.1416
PFKFB2	0.554166666666667
TAS2R4	0.0325
ENTHD1	2.45016666666667
PRMT5	-0.455375
MGC16384	-1.387375
LOC442229	0.23975
TSKU	-0.607625
KRTCAP3	3.0225
PDLIM1	0.2543
KCNS2	0.21225
RNF126	-0.2285
CEP63	0.45225
CLIC4	0.207125
hCG_1990170	0.03325
ACR	2.6444
KLK7	5.1745
ALOX5AP	2.11
RIPK3	3.275
TAS2R9	0.5035
C19orf18	1.4805
BIRC6	0.664214285714286
ZNF16	1.4655
RFT1	-0.69475
SLC8A2	-1.07925
TACC1	0.12625
ITGAD	0.88225
SAMHD1	2.04
SH3PXD2B	1.2157
EPC2	0.66325
C20orf85	0.215625
ATP13A2	-0.166
KRT4	3.7055
CAPNS1	0.01275
MDM2	0.459916666666667
PCDH20	-0.196
KCNK9	0.634
OR2C1	-0.6295
KLHDC3	-0.386833333333333
IPPK	-0.589
EFHD2	-0.29575
GALR3	-0.31075
NBEA	-2.167
ABCA6	2.0838
CLDN3	1.93483333333333
AKT2	-0.253357142857143
EGFR	0.413
RBM16	0.334
ZDHHC3	-0.6151
SLC25A4	-0.969666666666667
CYB5B	-0.613166666666667
CPXM1	-1.409
NDRG1	1.91869230769231
FLJ43826	-0.1285
OR5L2	0.395
FARP2	-0.2392
MRPL46	-0.717333333333333
LDHAL6B	0.4435
MAPKAPK3	-1.0095
NCAM2	-4.451
PRKD2	-0.568333333333333
ZFP36L1	0.8238
CYSLTR1	-0.3875
OR4C3	0.29
HIST1H2AJ	1.567
CCNB2	-0.396888888888889
ZNF10	0.365375
TMEM175	-0.02
FAM134A	-0.197666666666667
TIGD4	-0.5995
PCNP	-0.83675
MGC39715	0.6065
LQK1	-1.026
CREB1	0.2418
TMPRSS3	2.59325
C4orf32	-0.130625
LAT	-0.98475
KCNA3	1.1025
SKIV2L2	-0.39875
ROPN1B	4.54425
tcag7.23	0.1185
CDT1	-0.871375
ZHX2	1.867875
CD28	-2.64175
ZNF624	0.8375
SEPT2	-0.317583333333333
SOHLH2	-1.92375
MCOLN3	0.17175
UNQ1945	0.557
MASP2	-0.457
ZNRF3	0.14
GPATCH3	-0.622
AGL	0.0315
QRICH2	0.212
PSD4	-0.0316666666666666
CCNB1IP1	-1.29125
ENPP7	-0.074
OBFC1	-0.05775
KCNG3	-1.0475
C14orf79	-0.438583333333333
ENPEP	1.50666666666667
SCT	0.6315
SKI	0.396375
SEC61G	-0.2725
CAPN11	0.107
ATXN7L3	-0.80725
DBNDD1	0.3075
FAIM	0.87775
ANKRD36	1.5365
GABRP	4.73983333333333
TACSTD2	3.00566666666667
EIF3J	-0.426
PPP2R2A	-0.31725
TEKT4	-0.402833333333333
PVALB	-1.64933333333333
F10	-2.39133333333333
FAM134C	-0.0439
COMP	2.811
EFCBP1	-3.8494375
SCLT1	1.85925
TAL1	-0.728
ACSL1	1.2815
ABCC5	-1.05625
ABL1	-1.221
RBBP7	0.00716666666666666
PTPRG	-2.019
NCOR1	-0.4094
SPINK4	-2.1
TXNRD1	-0.7092
TNRC15	0.810875
C9orf138	0.883625
UBE2H	0.653833333333333
BRDT	0.1345
C8orf31	-0.3575
CCNE2	1.32763636363636
SLC6A8	-1.36575
CALCR	-4.924
PPP1CB	0.746583333333333
ABHD8	0.3195
ARF5	0.4743
SLC24A4	0.99575
CCT3	-0.48725
ZNF121	1.23975
SLC3A2	-0.9911
OR13A1	0.2735
SLC5A10	0.29125
RAD50	-0.155625
IER5	-0.978875
MTHFD1L	-0.592625
MBTPS2	-0.05075
MVK	-0.460625
NCL	0.1939
PSMD10	-0.369
MOBP	0.21725
FLJ32894	0.223
HRH1	-0.515
C5orf30	-0.88325
NUDT16L1	-0.6225
RASGRP3	4.37416666666667
PRKRIP1	-0.161
CCDC75	1.3765
LOC253970	-0.0075
KIAA1239	-0.591
MED21	0.0845
SYT11	0.0929166666666666
NTSR2	0.3465
EGFL11	-0.607
CXorf59	-1.253
OR2A25	0.45275
SPTBN2	-1.00875
LRMP	-0.870333333333333
RNF111	-0.3555
PTH	0.022
LOC619208	0.8475
KIAA0895	2.3665
RANBP5	-0.104625
P2RY10	2.42483333333333
NME5	-1.80516666666667
DDX21	-0.04675
LRSAM1	-0.1665
HDAC11	0.671333333333333
VMO1	2.17225
NOLA2	-0.9335
ADAR	-0.0311666666666667
MTO1	-0.345333333333333
SF4	0.3045
P2RX1	0.645833333333333
HBM	0.104
EN2	-0.703
C14orf172	0.122
TM9SF2	0.5338
INHBE	-1.20833333333333
TCTE3	0.93825
TOX2	-2.186
CTAGE3	0.262
HBB	3.3068
MED15	-0.639666666666667
CASR	0.08725
C6orf66	1.03233333333333
MTPN	0.351375
UNC50	-0.653
C21orf33	0.268
IRF2	1.353375
PGR	-2.951
GPR84	2.7125
CROCCL1	-2.38325
SRPX	-3.16525
BRE	-0.1475
FGF10	-0.07675
SDC3	-0.461666666666667
ZRSR1	0.1055
DKFZP434P211	-0.740875
SOX6	0.924
RPUSD2	0.04175
C14orf173	-0.231083333333333
MAPK11	0.0383333333333333
TBC1D22A	0.8005
FAM123A	-0.2165
COL4A6	-4.10766666666667
TOMM70A	0.4145
NAB1	0.905125
MGC16385	1.0625
TSPAN18	-0.5165
MED31	-0.54625
PLG	-0.0515
CAPSL	-0.276
ZNF532	1.915
ASB14	-0.21425
CA8	1.14525
NUDT16P	1.08
SLFN11	0.118
LRRIQ2	0.510125
NOL7	-0.433
BRMS1L	-0.2255
JARID1A	1.6325
PANK2	-0.724
ICAM3	-0.70925
MDS1	-0.6185
TAF8	0.128
RNF139	1.30525
ZNF594	0.93
ADAM8	1.938375
SFTPC	-0.0485
MAN2B2	-0.72475
RGS12	-0.12825
EIF1AY	-3.79008333333333
LRRIQ1	-2.22583333333333
GPR150	-0.63225
CCDC21	-0.586333333333333
PRRG3	0.25625
SAA4	-2.53675
RAPGEF5	2.4625
ZCCHC2	0.261166666666667
MGC39372	-0.2625
PPP4R2	0.5885
CDCA2	0.100333333333333
OR4D5	0.805166666666667
PTGFRN	0.3667
SIGLEC5	2.08483333333333
C19orf61	-0.442333333333333
NMUR2	0.098
KIAA1586	-1.43616666666667
DAGLA	-1.1875
CHCHD6	-0.08025
GPR32	0.2985
NEUROD6	0.100166666666667
SLC2A4RG	0.3995
CA5B	0.47325
FBXL3	0.432
MPHOSPH9	-1.258
HMG2L1	0.5985
HCN4	-0.7355
CEACAM19	0.942
SH2D4B	0.488
HFE2	-0.2985
TGM4	0.405333333333333
LYPD2	0.25925
TBC1D15	0.0235
MRPS21	0.2512
NONO	-1.0408
CLEC5A	1.431
ITCH	0.9092
MGAT3	-1.058
MBP	-0.302875
RPP25	1.0255
SOSTDC1	-1.4355
HRC	-1.53175
TRIM48	0.166
TMEM133	-1.38225
ECEL1P2	-1.8255
HOXC11	-0.255
DOK5	-0.13525
HELZ	0.911666666666667
LOC348180	-0.342
MGC33894	0.2355
ADRB3	0.012
DMD	-0.110416666666667
PTRH2	-0.02975
MPEG1	2.63433333333333
NDUFA12	0.1035
KRTAP2-4	-0.212333333333333
STAMBPL1	-1.8135
ADCY2	-0.769666666666667
UNQ6125	0.764
KLHL20	0.176666666666667
SRM	-0.68625
OTC	-0.4115
TMIE	-0.0161666666666667
SNX8	0.63825
LIPK	0.174
CHURC1	-0.837583333333333
KLC2	0.218
HDAC1	-0.252666666666667
FAM128A	-0.163833333333333
FNDC3B	1.1235
MTCP1	0.455166666666667
WFDC10B	0.238
PCDHGB3	0.861
ATRNL1	-3.4456
CAV2	-1.5835
MED26	0.796166666666667
DUS1L	0.09275
CHRM3	-0.138125
NEK9	-1.0135
WARS2	0.19275
TBX22	2.927
TOMM40	-0.10275
RP6-213H19.1	0.755666666666667
TUBGCP5	-0.209
IGSF6	4.7665
TPPP	0.621333333333333
UNQ6190	0.042
GSTM5	-0.06675
BTD	-0.302666666666667
PDCD1LG2	0.791666666666667
SNRPB2	-0.9165
ERICH1	1.625375
APOA4	-0.6765
HOXA11	-1.796
NARG1	0.00212499999999999
MKX	-1.2615
RAB28	-0.824428571428571
PKP3	1.31975
SH3GL2	-2.55825
CTSO	1.7375
RPN2	0.6288125
IL28RA	0.428333333333333
SFMBT1	1.06575
WDR57	-0.449375
FER1L3	0.3375
HSF5	1.028
TTC9B	0.01925
C4BPA	-3.55366666666667
ALB	-4.05714285714286
SORBS3	0.76625
UPF2	1.339
JPH1	-0.2515
AGBL2	-2.158
DOPEY1	1.8905
TERF1	0.409333333333333
KIF22	-0.296833333333333
NINJ1	0.05125
SEC61A2	0.14875
HIST1H1D	0.5345
SFXN4	-0.320375
UCP3	0.1309
ZNF703	0.0855
MYL6B	-0.4685
TREM1	1.95025
OR52E6	0.454
CKMT2	1.698
HLA-C	2.69175
SLC13A3	-2.30266666666667
TIMP4	-3.011
SLIT2	1.67975
RSF1	1.05772222222222
LONRF1	-0.538214285714286
MON1A	0.211166666666667
CACNG6	-1.85216666666667
DPPA4	-4.38266666666667
ZSWIM3	-0.3585
ZNF804A	0.242
CCIN	1.88925
SLC25A31	0.15025
KCNMB4	-2.08825
RABL5	0.047125
GALNS	0.5621
STX6	0.789125
HIST1H1C	-0.568
CIDEB	1.37525
CASP4	-0.593833333333333
PDK3	-1.4879
KCNJ11	-0.164
TPR	0.162375
ZSCAN20	-0.139
MTX2	-0.432
HIST1H2BH	0.31525
LOC283767	1.21
LYRM7	-1.35744444444444
BRD3	-0.8125
HIST1H2BO	-0.2715
MAGEB10	0.2845
SLC45A1	-0.547
SERPINA3	0.4742
KIAA0143	1.04075
KCNJ16	-0.521833333333333
KRT79	-0.2335
FABP2	-1.3155
NUT	0.62575
ZNF57	0.4555
FBXL4	1.52375
CLEC9A	0.602
UGT8	3.58316666666667
BMP2K	0.829
MAPK4	-0.642
SLC25A23	-0.3486
HINT1	-0.2846
KRTAP13-1	0.505
SFXN5	-0.3471
CHCHD2	0.69875
FAM3D	2.892
NDP	-3.317875
RHOBTB1	-0.6945
SLC4A4	-0.675625
RPL38	0.6405
HTF9C	-0.472166666666667
AP2A2	-0.13375
ZBTB46	0.262
MAP7D1	-0.06925
AOX1	-2.37616666666667
CYR61	1.0865
DTNA	-1.37707142857143
JRKL	1.848
TMOD3	0.28475
EEA1	0.6593
ADCK5	1.1615
IL1R1	0.142833333333333
KLK3	0.0971428571428571
HRSP12	-0.21
KTN1	-0.15575
LOH11CR2A	-1.104
RELL2	-0.75875
MAB21L1	2.047
C20orf59	-1.00216666666667
PHKB	-0.15425
ADAM2	-2.33466666666667
TBC1D8B	0.705333333333333
FAM13A1	-0.0270625
LAPTM4B	-0.02975
LCN8	0.09
TMEM147	0.975
SYT4	0.0965
XPO7	0.004
C9orf62	-0.364
GPR75	0.2085
TRIM5	-0.119375
APOC1	1.425
RNASE4	-0.27
PARD6B	-1.68475
ARID1A	0.116416666666667
TPD52L3	0.3424
RRAGB	-0.296833333333333
RCN2	0.312666666666667
HIST2H2BE	0.3871875
STARD7	0.36425
SHMT2	-0.65775
KIAA1751	0.777333333333333
MLYCD	-0.02375
LOC162632	-0.1152
UQCRH	0.388
RP11-217H1.1	-0.177125
SDHA	-0.836
NCLN	-0.5264
ZNF17	0.526166666666667
RCBTB2	-1.62825
VEGFB	-0.498
RP4-747L4.3	0.98975
COLQ	-0.267
MPN2	-0.648333333333333
DRG2	-0.69425
KLRB1	5.888
ALPK2	-2.41425
DNASE2B	2.8095
FLJ23834	-0.4545
AXUD1	0.00666666666666667
SAFB	0.2804
NSUN4	0.51725
RFX2	-0.869166666666667
MAPK8IP1	-0.866833333333333
FANCD2	1.22171428571429
ANKZF1	-1.36033333333333
C19orf50	-0.167875
DUSP8	0.303875
SENP5	0.12425
NFKBIL2	-0.154
LBR	-0.329875
IGFL1	0.5515
LZTS2	0.357
IL2RG	0.607875
CCDC51	-0.28875
KLF3	0.31575
ANKRD37	-0.60825
KCTD14	1.3335
FZR1	0.110166666666667
SLC44A4	-1.9173
ESPL1	-0.6455
GMPR2	-0.2372
TBC1D19	-1.71516666666667
ERGIC1	-0.464851851851852
ERBB4	-2.1648
TSPAN32	0.905583333333333
MAP4	-0.7785
GPHN	-0.6655
SLC6A2	3.5875
HIVEP1	0.971
DFFB	-0.213
EIF4EBP2	0.49725
DMRT1	2.39725
HSPB6	0.171
IER2	0.890833333333333
AIFM1	0.06925
WWC2	-0.907
MRPL4	0.165
FLJ21062	-1.4855
EPB41L4A	0.76075
SH2D6	0.39325
TAF4B	0.548
GAL3ST3	-0.331
MALT1	-0.115166666666667
RTDR1	0.729
ARVCF	-0.378375
MEX3B	-1.66566666666667
FBXO16	1.419
KIF7	-1.3935
C1QC	3.6505
ZNF783	0.458166666666667
ZNF85	0.81475
MMP13	-0.9735
KIAA0329	0.0235
RTP3	-1.2045
ZBED3	-0.11575
CLGN	-3.265
SLC25A37	-0.319708333333333
hCG_18290	1.3105
OR5AS1	0.5665
SMARCC2	-0.322083333333333
FAM109A	-0.9075
CCDC12	0.17975
USF2	0.2418
DEPDC7	-1.867
C20orf24	0.1025
JMJD3	0.317
DSP	2.14592857142857
SLIC1	0.62025
FAM20A	1.41175
IRF2BP2	1.933875
ZNF230	-0.007
MSN	-0.475571428571429
SLC9A5	-1.7195
EPDR1	-2.5374
MUSK	0.116166666666667
