Hybridization REF	TCGA-A8-A09R-01A-11R-A00Z-07
IGSF11	-2.26166666666667
LAGE3	0.0225
CHST6	-1.152
UNC13B	-0.03375
TTLL4	-0.96325
ZNF687	0.6645
SDC2	-0.4865
COX7A2	0.216
LAMB4	0.0135
FAM24A	0.4405
LRRTM3	-0.9645
GPHB5	-0.20675
OR4C13	-0.029
EIF3EIP	-0.549214285714286
HABP4	0.3825
TMEM125	3.214
CNTN2	0.30925
ASNSD1	-0.68525
FUT4	0.131
ACF	-3.6765
LOC158381	1.1385
CDH8	0.2345
AGPS	-0.608
C4orf18	4.29475
PECI	-0.425
UNG	-0.889625
GSTP1	-1.907375
DCUN1D5	-1.544
DKFZP564J0863	-1.19
SLC9A3R1	2.062
BCDO2	-1.1275
CHMP7	-0.159
REM2	1.511
DNHD1	-0.568125
FKBP4	0.07175
ZNF350	1.2185
MGC11102	-0.03825
BST1	1.26325
KISS1R	0.781
NCR2	0.219
DEFB125	1.646
UBE2W	1.165625
KRT15	0.029875
C10orf99	0.1635
SCN11A	-0.141
GFI1	-2.12575
RDHE2	2.69933333333333
FHL1	-1.47783333333333
OSGEP	0.0668333333333333
GATA1	-3.39583333333333
SMC6	-1.51625
TTTY14	-1.05725
LPIN3	0.13325
RPL4	-0.6268
RBPMS	-0.0837
PRPF3	-0.472833333333333
EMR1	-0.8265
SPATA19	0.2945
XCR1	0.639
IRX3	1.7753
RBM6	-0.516
KLF4	-0.942
UNC5CL	-1.14825
SEBOX	0.2225
BTK	0.24225
KRCC1	0.60625
C6orf27	0.3745
SYTL5	-0.1565
PRND	1.311875
LOC653319	-1.037
PIGL	-1.263875
HUS1	-0.0525
SFRS6	0.519166666666667
C17orf77	0.798
UIMC1	-0.368833333333333
FXYD2	-1.5875
LOC283152	1.31875
ZNF667	-1.60675
ZCCHC12	-0.64325
TFEC	4.1188
ATP7B	1.43583333333333
POLD2	-1.08483333333333
RG9MTD1	0.1975
ACOT2	-0.156833333333333
HIST1H4I	-0.643
PPARGC1A	-2.723
ETFA	-0.5472
POLRMT	-0.116
ZNF146	-0.08675
MIA2	-0.7705
KLHL6	-0.476
HOXB5	2.797
NENF	0.761833333333333
CUGBP1	0.183
PRSS22	1.63633333333333
CASC4	1.0299
CUL4B	-0.1586
CENPJ	-1.4324
PITX1	-1.593
FLJ31033	0.698333333333333
CELSR3	1.37283333333333
ZNF568	0.63225
ITSN1	-0.822272727272727
EHBP1L1	-0.587166666666667
C19orf2	-0.409
DCTN1	0.15375
LIN28B	-3.27983333333333
TNKS2	0.16325
C1QBP	-0.887
CADPS2	0.1
SRMS	0.21975
GJA9	0.2698
MGC24975	-0.944166666666666
TRIM45	-0.8295
TSP50	0.486
TCP1	-0.61825
TMED7	0.5371
CMA1	1.38
CENPL	-0.125
PTCRA	0.033
FST	-2.6845
VWCE	-3.72075
PAWR	-1.00325
ABCC12	-0.078
LDLR	-0.5607
ASTN2	1.275
LOC441212	-1.55825
GPATCH8	0.00599999999999999
TANC2	0.7925
KIF4A	-1.38525
C18orf18	-0.4775
PGM1	-1.08575
KIAA0258	-0.7
CPD	1.170875
SNCAIP	-1.84475
DCT	-4.07416666666667
HLA-DOA	3.39877272727273
OR11L1	0.5305
UPK1B	-0.2725
DNAJB4	-0.54575
UGT1A8	-0.256
HIST1H4L	-2.6105
PECR	-0.645833333333333
HSPA2	3.25975
WFIKKN1	-2.427
SERP1	1.39825
SYDE2	0.084
TACR2	0.611
NUP85	-0.039
CD177	0.0918333333333334
LGR5	-1.841
PIGG	0.433083333333333
PTHR1	-0.956833333333333
RAB5A	0.9337
FLJ13224	0.432
USP9Y	-1.614
C7orf53	-1.068
LRP1B	2.627
XAF1	2.2119
ABCG8	-0.8725
ANKDD1A	-0.874166666666667
DAND5	-1.727
SPAG6	0.0758333333333334
LINCR	1.824
ZDHHC22	-1.18075
CCDC60	0.086
THOC7	-1.2625
TCTA	1.4296
OR8K3	-0.08625
NY-REN-7	-0.57875
B2M	2.70816666666667
C6orf141	-1.615625
LPPR4	1.56825
SQLE	-0.685375
SEPHS1	-0.9575
BTBD14B	0.499285714285714
PLRG1	-0.66275
SPG7	-0.3016875
ZNF614	-0.0578333333333333
PARD6G	0.8145
INPP5B	-0.8665
GRPEL2	0.35775
PPID	-0.6159
TRIM56	0.43225
UBE2J1	-0.08625
IL20RA	4.922
LOC387856	0.95025
C1orf107	0.992
UTS2R	0.73875
C19orf22	0.84225
SAFB2	-0.0195
KIAA0652	0.0765
KLRG1	-0.946833333333333
MS4A8B	2.60433333333333
FRAG1	0.18375
KIAA1546	0.104
E2F4	-0.943
CLEC4M	-0.0941666666666667
BTBD14A	-0.48525
KIAA0999	0.9019
GYPA	-3.41016666666667
TAC1	0.1996
TRAIP	-1.1655
KIAA0232	1.6494
ERCC8	-0.794875
GPX4	0.899375
KIAA0368	-0.59725
GPR157	-0.571166666666667
CTAGE4	0.5265
C9orf30	-0.725833333333333
OR52A1	0.055
HSP90B3P	-0.2995
ALG9	-0.5181
BTBD10	1.06875
SDK2	0.92125
BAIAP3	-1.45025
RABGGTB	-1.001625
ANKRD40	0.963666666666667
KRT74	1.0005
CALCOCO2	1.70957142857143
SNCA	-3.28225
TMSL8	-1.588875
C2orf53	0.6305
ESRRB	-0.42625
ARHGAP26	-1.832125
TDRD9	-2.793
HRAS	0.914166666666667
KLRC4	-2.4115
JAGN1	0.233166666666667
BSDC1	0.40875
RNF43	-0.0986
NDUFAF1	0.50875
PHF12	0.52625
OR1L3	0.57925
FOLR2	1.58975
LYZL6	0.427
tcag7.1260	0.0455
WSB1	-1.55783333333333
PROS1	-1.4788
OSTN	0.603
PSMB8	1.77
SOCS4	0.343375
DDIT4L	0.6795
MAS1	-2.2375
MGC34796	2.4955
CSHL1	0.298666666666667
TBCCD1	0.330666666666667
ZBTB7C	0.2835
AP2S1	-0.61575
P15RS	0.8149
VAT1	0.4848
SHANK3	0.835166666666667
TUFM	-0.0335
THEG	0.353
KRT34	-1.84725
SGSM3	-0.232625
TOMM22	-0.5945
SOCS3	0.355333333333333
CPO	0.5945
POP4	0.68125
BHLHB3	1.01025
MALL	0.8455
OR1B1	0.43
PARK2	0.993
GPR124	0.714125
LCE1E	0.8115
RUVBL2	-0.57125
CGRRF1	0.6486
ACPL2	0.1835
WNT10B	-1.524625
BAIAP2L2	-2.34575
ISCA1	0.5485
C1orf125	-0.4515
RPAP1	-0.05275
RAI16	-0.0906666666666667
RPL27	-0.568625
NLRP9	-0.559
EPN1	0.304
LOC388610	-1.78125
SLC35A1	0.7218
GAL	-4.46725
SLC14A2	0.52125
RDH11	-0.461
FAM138F	-0.997
AUH	0.5555
FLJ40243	0.3615
C14orf129	0.460666666666667
MBD2	-0.148833333333333
ABHD14B	0.231125
PIGT	0.4255
ALS2CR4	-0.387125
ALAS1	0.7908
FOXO1	0.476
CRLF3	-0.094875
C20orf107	1.083
FARS2	0.59625
CCDC28A	0.76675
NPHP3	-1.66325
OR13F1	0.318
TSEN54	0.2205
DEFB106B	0.235666666666667
OR8B4	0.7175
STH	-0.6345
ZC3H14	-0.690875
CBX2	-0.623
TMEM49	0.695
C6orf21	0.408
FLJ20920	1.08225
CRTAP	0.513142857142857
DDX50	-0.89125
STYXL1	0.04175
BLVRB	0.2075
LOC147650	0.275333333333333
MMP24	0.40125
GRID1	1.2165
BANF1	-1.02916666666667
CTAGEP	0.31
HMBS	-1.77675
SLC25A24	0.485166666666667
C14orf50	2.92825
MRO	1.96833333333333
SLC25A15	-0.995
FAM84B	1.6887
TDP1	-1.359
C16orf78	-0.0866
C11orf57	-0.635
RFK	0.262875
ZFYVE9	-1.567875
STCH	-0.962
WIBG	0.33725
LOC283871	-0.00333333333333335
GBA2	-0.5786
NDUFB3	-0.30075
HSD17B13	-1.249
GRIN3A	2.741
FMNL1	0.0153333333333333
SEPT7	-0.4261
GNLY	3.0535
GRAMD1C	-0.348166666666667
ZNF165	0.67375
USP38	0.3295
FAM83A	-2.0345
C14orf24	1.11375
ARMCX3	1.418875
ARHGDIB	0.623166666666667
AK1	0.643875
KIAA1045	-0.1775
DNAJB13	-0.373833333333333
NEU2	0.479
HIST1H4B	-1.627
FAM20B	0.1126
HES2	0.292785714285714
FAM73B	0.045
LOC388381	-0.523
INTS7	0.293909090909091
AMPH	1.63725
ZNF775	0.082
UCKL1	0.00583333333333334
C10orf97	0.144
C1orf161	0.5895
ALDH1L1	-1.2645
FLJ39378	-0.311625
SLC23A1	-1.4725
RBM4B	-0.14275
THAP4	0.0586666666666667
OGFRL1	-0.2455
KIAA0831	0.307375
PPP1R15A	-0.498666666666667
C1orf96	0.233785714285714
C12orf11	-1.5005
BMF	1.381125
MAN1A1	-0.1345
KIAA1600	0.684666666666667
NLGN4X	-2.02525
ALOX12	-1.81066666666667
RB1CC1	0.1629
NEIL2	0.3451
EIF4E	0.264227272727273
ABHD5	0.3
EXOC4	-0.1515
CIP29	-0.0186666666666667
BATF2	2.963
SLC29A4	-0.8185
HTR4	0.6145
EMB	0.68525
TRAF6	0.543
LMNB1	-4.0755
FAM19A5	-0.385875
SHE	1.14475
PIK3C2B	1.8075
C15orf15	-0.8759
USP15	-0.1048
TCEAL2	2.01725
C5orf39	-1.309
PTGER2	-1.13475
SLC31A1	-0.2976875
IFT172	-0.1705
ADAM29	0.74925
GFOD1	-0.25425
ST7L	0.445833333333333
C15orf26	-3.2455
PKN3	-1.29
CNTD1	3.241
COMMD1	0.241625
NTRK2	5.40883333333333
FOXN3	0.028875
MFGE8	-0.4214
PFKFB2	1.1755
TAS2R4	-0.578
ENTHD1	1.02166666666667
PRMT5	0.140625
MGC16384	-1.58325
LOC442229	-1.0665
TSKU	-0.471125
KRTCAP3	2.1705
PDLIM1	0.4736
KCNS2	0.227666666666667
RNF126	-0.403833333333333
CEP63	-0.45675
CLIC4	-0.654375
hCG_1990170	-1.50425
ACR	0.4694
KLK7	1.19625
ALOX5AP	3.614875
RIPK3	4.48525
TAS2R9	-0.071
C19orf18	-1.17
BIRC6	0.3105
ZNF16	1.0915
RFT1	-0.259
SLC8A2	0.94125
TACC1	-0.688
ITGAD	1.18175
SAMHD1	1.72025
SH3PXD2B	1.5308
EPC2	0.4515
C20orf85	0.167
ATP13A2	-0.1635
KRT4	0.3525
CAPNS1	0.1295
MDM2	-0.63975
PCDH20	1.763
KCNK9	1.1405
OR2C1	-0.097
KLHDC3	-1.0765
IPPK	1.3305
EFHD2	0.315125
GALR3	0.5885
NBEA	1.68083333333333
ABCA6	2.0814
CLDN3	2.74666666666667
AKT2	-0.0134285714285714
EGFR	-2.4749
RBM16	-0.014625
ZDHHC3	0.6001
SLC25A4	0.241
CYB5B	-0.346166666666667
CPXM1	1.299
NDRG1	-1.15
FLJ43826	0.19
OR5L2	-0.111666666666667
FARP2	0.6957
MRPL46	-0.129916666666667
LDHAL6B	0.384666666666667
MAPKAPK3	0.0803333333333333
NCAM2	-2.36475
PRKD2	0.747833333333333
ZFP36L1	0.7462
CYSLTR1	-0.154
OR4C3	-0.0265
HIST1H2AJ	1.997
CCNB2	-1.92355555555556
ZNF10	-0.59925
TMEM175	0.628
FAM134A	1.134
TIGD4	0.0845
PCNP	0.2855
MGC39715	-0.29325
LQK1	-1.93675
CREB1	0.9806
TMPRSS3	-2.88125
C4orf32	0.811
LAT	-1.50966666666667
KCNA3	-1.061
SKIV2L2	-0.34575
ROPN1B	-2.76225
tcag7.23	-1.1855
CDT1	-2.81575
ZHX2	0.671
CD28	-3.354
ZNF624	0.605
SEPT2	0.0486666666666667
SOHLH2	-1.631125
MCOLN3	1.41925
UNQ1945	0.573
MASP2	-0.83
ZNRF3	-0.09
GPATCH3	-0.22225
AGL	-0.164125
QRICH2	0.305
PSD4	1.18683333333333
CCNB1IP1	-1.6075
ENPP7	0.50725
OBFC1	0.49475
KCNG3	-1.33425
C14orf79	0.660583333333333
ENPEP	1.74533333333333
SCT	1.685
SKI	0.38125
SEC61G	-1.02025
CAPN11	0.01525
ATXN7L3	0.72975
DBNDD1	0.908666666666667
FAIM	-0.1845
ANKRD36	-1.402
GABRP	0.669666666666667
TACSTD2	1.61933333333333
EIF3J	-0.261
PPP2R2A	-0.40875
TEKT4	-0.0581666666666667
PVALB	1.99983333333333
F10	-3.05716666666667
FAM134C	1.6035
COMP	4.5665
EFCBP1	-2.9138125
SCLT1	-0.95375
TAL1	-1.6263
ACSL1	1.40325
ABCC5	1.2275
ABL1	-0.3205
RBBP7	0.890666666666667
PTPRG	-0.79775
NCOR1	-0.1668
SPINK4	-0.4545
TXNRD1	-1.2064
TNRC15	0.11325
C9orf138	-0.15625
UBE2H	1.3955
BRDT	0.727166666666667
C8orf31	-0.20425
CCNE2	-1.07127272727273
SLC6A8	-1.280375
CALCR	-3.40125
PPP1CB	1.695
ABHD8	0.3335
ARF5	0.1031
SLC24A4	0.82625
CCT3	0.71725
ZNF121	0.11225
SLC3A2	-0.8234
OR13A1	0.219
SLC5A10	0.9065
RAD50	-0.259875
IER5	0.688
MTHFD1L	-2.16125
MBTPS2	1.31775
MVK	-0.163
NCL	-0.0184
PSMD10	0.31675
MOBP	0.241
FLJ32894	0.174
HRH1	-1.32966666666667
C5orf30	1.72625
NUDT16L1	1.0307
RASGRP3	3.43716666666667
PRKRIP1	-0.4121
CCDC75	-0.992
LOC253970	0.25125
KIAA1239	0.3465
MED21	-0.5225
SYT11	0.623416666666667
NTSR2	1.6005
EGFL11	0.4285
CXorf59	1.1205
OR2A25	0.3085
SPTBN2	-0.44175
LRMP	-1.531
RNF111	0.00299999999999999
PTH	-0.00950000000000001
LOC619208	0.272333333333333
KIAA0895	0.44625
RANBP5	-1.40725
P2RY10	0.556
NME5	4.50816666666667
DDX21	-1.207
LRSAM1	-0.2605
HDAC11	1.3405
VMO1	2.27825
NOLA2	-0.167833333333333
ADAR	1.66758333333333
MTO1	-1.25333333333333
SF4	0.465166666666667
P2RX1	0.021
HBM	0.32325
EN2	1.115
C14orf172	0.058
TM9SF2	0.8846
INHBE	-1.10033333333333
TCTE3	-0.249416666666667
TOX2	-2.832
CTAGE3	0.1155
HBB	2.4324
MED15	-0.882666666666667
CASR	0.93425
C6orf66	-1.49116666666667
MTPN	-0.76125
UNC50	0.482
C21orf33	0.00850000000000002
IRF2	0.771875
PGR	-2.13033333333333
GPR84	3.68675
CROCCL1	-1.893
SRPX	-0.62625
BRE	-0.1095
FGF10	4.60675
SDC3	1.56333333333333
ZRSR1	0.670333333333333
DKFZP434P211	0.242375
SOX6	0.023
RPUSD2	0.014
C14orf173	-0.149083333333333
MAPK11	0.0386666666666667
TBC1D22A	0.691
FAM123A	-0.4825
COL4A6	-2.64883333333333
TOMM70A	0.26875
NAB1	-0.4935
MGC16385	-0.11925
TSPAN18	-0.280166666666667
MED31	-0.8
PLG	-0.234
CAPSL	2.459
ZNF532	1.217
ASB14	0.2215
CA8	-3.17175
NUDT16P	0.265333333333333
SLFN11	1.1665
LRRIQ2	-0.11075
NOL7	-0.246
BRMS1L	0.5395
JARID1A	-0.2075
PANK2	-0.012
ICAM3	-0.6015
MDS1	-0.57875
TAF8	-0.49225
RNF139	1.25375
ZNF594	-0.327166666666667
ADAM8	3.466
SFTPC	-0.067125
MAN2B2	1.99925
RGS12	0.18025
EIF1AY	-5.08733333333333
LRRIQ1	0.508
GPR150	1.0185
CCDC21	-1.24083333333333
PRRG3	0.379
SAA4	-3.53275
RAPGEF5	1.275125
ZCCHC2	-0.109666666666667
MGC39372	-0.216
PPP4R2	1.00016666666667
CDCA2	-2.3655
OR4D5	0.5485
PTGFRN	0.8536
SIGLEC5	2.529
C19orf61	0.339833333333333
NMUR2	0.0335
KIAA1586	-1.21183333333333
DAGLA	1.015
CHCHD6	0.1245
GPR32	1.4685
NEUROD6	0.3625
SLC2A4RG	0.060375
CA5B	-0.54375
FBXL3	0.75
MPHOSPH9	-1.11775
HMG2L1	-0.394
HCN4	0.642166666666667
CEACAM19	0.5135
SH2D4B	0.025
HFE2	-0.7395
TGM4	1.0405
LYPD2	-0.75525
TBC1D15	-0.11475
MRPS21	0.2425
NONO	-0.4696
CLEC5A	2.872
ITCH	-0.1149
MGAT3	-0.917166666666667
MBP	0.112875
RPP25	0.09825
SOSTDC1	-1.33925
HRC	-0.72375
TRIM48	-0.00800000000000001
TMEM133	-0.94575
ECEL1P2	-1.202
HOXC11	-1.2875
DOK5	-0.357
HELZ	0.419333333333333
LOC348180	-0.87425
MGC33894	0.1005
ADRB3	0.192
DMD	-0.449416666666667
PTRH2	-0.117
MPEG1	3.4775
NDUFA12	-0.0035
KRTAP2-4	0.225083333333333
STAMBPL1	-0.8708
ADCY2	-0.909166666666667
UNQ6125	0.5785
KLHL20	0.181333333333333
SRM	-1.457
OTC	-0.547
TMIE	-0.185
SNX8	0.2345
LIPK	1.4665
CHURC1	1.59425
KLC2	0.390666666666667
HDAC1	-0.463666666666667
FAM128A	0.7275
FNDC3B	-0.5815
MTCP1	-0.447333333333333
WFDC10B	0.0214
PCDHGB3	0.092
ATRNL1	-1.0507
CAV2	-0.128
MED26	-0.114166666666667
DUS1L	0.77025
CHRM3	-2.18075
NEK9	0.94175
WARS2	-1.347
TBX22	0.769
TOMM40	-0.90075
RP6-213H19.1	-0.4975
TUBGCP5	-0.30075
IGSF6	5.50175
TPPP	1.6685
UNQ6190	-0.0055
GSTM5	0.3395
BTD	0.866166666666667
PDCD1LG2	1.59316666666667
SNRPB2	0.0105
ERICH1	-0.8945
APOA4	-1.65775
HOXA11	-1.49225
NARG1	-0.289625
MKX	0.5655
RAB28	0.314642857142857
PKP3	1.67925
SH3GL2	0.936
CTSO	4.22225
RPN2	0.4355
IL28RA	0.0453333333333333
SFMBT1	0.161
WDR57	0.161
FER1L3	0.414166666666667
HSF5	-0.0463333333333334
TTC9B	0.51175
C4BPA	-3.84266666666667
ALB	-4.15661538461538
SORBS3	-0.379
UPF2	-0.1615
JPH1	0.317
AGBL2	-0.31775
DOPEY1	1.053
TERF1	0.194916666666667
KIF22	-1.18866666666667
NINJ1	0.95225
SEC61A2	-0.667
HIST1H1D	-0.405333333333333
SFXN4	-0.123625
UCP3	-0.2072
ZNF703	1.39283333333333
MYL6B	-0.7195
TREM1	2.783
OR52E6	0.795
CKMT2	0.76125
HLA-C	3.114625
SLC13A3	-1.659
TIMP4	-2.32975
SLIT2	1.61825
RSF1	-0.411166666666667
LONRF1	-1.05464285714286
MON1A	0.103
CACNG6	1.48633333333333
DPPA4	-5.2575
ZSWIM3	0.2825
ZNF804A	1.04916666666667
CCIN	1.3275
SLC25A31	-0.2025
KCNMB4	-0.14875
RABL5	0.28425
GALNS	-0.3211
STX6	0.734625
HIST1H1C	-0.571333333333333
CIDEB	0.693
CASP4	0.3725
PDK3	0.71
KCNJ11	1.8115
TPR	-0.251375
ZSCAN20	-0.222
MTX2	0.179
HIST1H2BH	0.1425
LOC283767	2.83775
LYRM7	-1.16616666666667
BRD3	0.277666666666667
HIST1H2BO	-0.1735
MAGEB10	0.672
SLC45A1	2.92525
SERPINA3	2.60425
KIAA0143	1.75975
KCNJ16	-0.134666666666667
KRT79	0.811
FABP2	-0.838333333333333
NUT	-0.1375
ZNF57	-0.16525
FBXL4	0.515
CLEC9A	0.4895
UGT8	-0.585166666666667
BMP2K	-0.22975
MAPK4	-3.66025
SLC25A23	-0.2834
HINT1	-0.6783
KRTAP13-1	0.196
SFXN5	1.2417
CHCHD2	0.416
FAM3D	0.673
NDP	-3.375625
RHOBTB1	-0.476833333333333
SLC4A4	-1.969375
RPL38	0.14475
HTF9C	-0.5425
AP2A2	0.830375
ZBTB46	0.272
MAP7D1	0.755
AOX1	-0.638166666666667
CYR61	-0.204916666666667
DTNA	0.813928571428571
JRKL	-0.78325
TMOD3	-0.50275
EEA1	-0.1899
ADCK5	-0.13425
IL1R1	0.296833333333333
KLK3	0.35
HRSP12	-0.39325
KTN1	0.968
LOH11CR2A	0.6948
RELL2	1.154
MAB21L1	1.37675
C20orf59	-1.18583333333333
PHKB	-0.4195
ADAM2	-1.863
TBC1D8B	1.76666666666667
FAM13A1	-1.12475
LAPTM4B	0.8235
LCN8	-0.221
TMEM147	0.623
SYT4	7.34766666666667
XPO7	-1.139
C9orf62	1.1275
GPR75	0.4135
TRIM5	0.558875
APOC1	0.659833333333333
RNASE4	0.115166666666667
PARD6B	-1.324125
ARID1A	0.212416666666667
TPD52L3	0.3265
RRAGB	1.5885
RCN2	-0.7345
HIST2H2BE	1.305875
STARD7	-0.1505
SHMT2	-1.6135
KIAA1751	-0.282833333333333
MLYCD	1.029625
LOC162632	0.7973
UQCRH	-1.6915
RP11-217H1.1	0.384125
SDHA	-0.396333333333333
NCLN	0.00959999999999997
ZNF17	0.244833333333333
RCBTB2	-1.45975
VEGFB	-0.1727
RP4-747L4.3	1.21325
COLQ	0.2671
MPN2	-0.943833333333333
DRG2	-0.287
KLRB1	4.36925
ALPK2	-0.91325
DNASE2B	2.62425
FLJ23834	0.000666666666666695
AXUD1	1.229
SAFB	-0.1591
NSUN4	-0.575
RFX2	0.183666666666667
MAPK8IP1	0.858833333333333
FANCD2	-1.1275
ANKZF1	-1.29616666666667
C19orf50	-0.358875
DUSP8	1.479625
SENP5	-0.10175
NFKBIL2	-0.416
LBR	-0.992
IGFL1	1.0195
LZTS2	-0.70025
IL2RG	-0.592
CCDC51	0.21675
KLF3	0.274875
ANKRD37	-1.5975
KCTD14	-2.01983333333333
FZR1	0.609666666666667
SLC44A4	3.1526
ESPL1	-0.882875
GMPR2	0.4881
TBC1D19	0.0751666666666667
ERGIC1	0.620703703703704
ERBB4	1.4223
TSPAN32	0.264166666666667
MAP4	0.49325
GPHN	-0.75375
SLC6A2	-0.05
HIVEP1	-0.161
DFFB	-0.8397
EIF4EBP2	-0.11725
DMRT1	-0.3015
HSPB6	-0.15575
IER2	0.228333333333333
AIFM1	0.35425
WWC2	-0.685833333333333
MRPL4	-0.643
FLJ21062	-0.2055
EPB41L4A	-0.503
SH2D6	0.33525
TAF4B	-0.7995
GAL3ST3	-0.135
MALT1	-0.747666666666667
RTDR1	0.45275
ARVCF	-0.276
MEX3B	-0.346166666666667
FBXO16	0.47375
KIF7	0.16775
C1QC	4.17433333333333
ZNF783	-0.516833333333333
ZNF85	-1.1475
MMP13	6.304
KIAA0329	0.449
RTP3	-0.801
ZBED3	-0.50125
CLGN	-0.19875
SLC25A37	-1.99004166666667
hCG_18290	-0.89425
OR5AS1	0.3755
SMARCC2	0.369
FAM109A	0.439166666666667
CCDC12	0.145
USF2	0.4876
DEPDC7	-1.74125
C20orf24	-0.353333333333333
JMJD3	0.7915
DSP	0.525714285714286
SLIC1	0.934625
FAM20A	2.1125
IRF2BP2	0.542625
ZNF230	0.2
MSN	-0.298357142857143
SLC9A5	-1.4865
EPDR1	0.8338
MUSK	0.277166666666667
ZNF434	-0.2105
SMARCD1	-0.3325
ZFP106	-0.37725
ZNF347	-0.7728
