Hybridization REF	TCGA-A8-A06N-01A-12R-A056-07
RBPMS	-1.537
PRPF3	-0.108333333333333
EMR1	-3.13
SPATA19	0.2935
XCR1	1.0565
IRX3	0.8724
RBM6	-0.1625
KLF4	-0.7747
UNC5CL	2.84475
SEBOX	-0.316
BTK	-1.341
KRCC1	1.10775
C6orf27	0.364
SYTL5	-0.447
PRND	1.945125
LOC653319	-1.5445
PIGL	-1.228375
HUS1	-0.378
SFRS6	0.175166666666667
C17orf77	0.809
UIMC1	-0.8105
FXYD2	-2.1686
LOC283152	1.66025
ZNF667	-3.1225
ZCCHC12	-1.129
TFEC	2.1894
ATP7B	-0.2225
POLD2	-0.61
RG9MTD1	-0.28275
ACOT2	0.590166666666667
HIST1H4I	-1.3405
PPARGC1A	-3.5309
ETFA	-1.7467
POLRMT	-0.1625
ZNF146	-0.239625
MIA2	-0.6015
KLHL6	-2.195
HOXB5	-2.24825
NENF	-0.0886666666666667
CUGBP1	0.38625
PRSS22	1.80616666666667
CASC4	1.4122
CUL4B	0.3075
CENPJ	-2.2695
PITX1	-2.654
FLJ31033	1.52733333333333
CELSR3	-0.804833333333333
ZNF568	1.07975
ITSN1	-0.5495
EHBP1L1	-1.90383333333333
C19orf2	0.14025
DCTN1	1.018
LIN28B	-3.83116666666667
TNKS2	-1.03675
C1QBP	-1.199625
CADPS2	1.3515
SRMS	0.9745
GJA9	0.2595
MGC24975	0.2345
TRIM45	-0.247
TSP50	2.5135
TCP1	-1.442
TMED7	0.6425
CMA1	1.0195
CENPL	-0.8765
PTCRA	-0.397
FST	-5.39375
VWCE	-4.6855
PAWR	0.127
ABCC12	0.195333333333333
LDLR	-1.264
ASTN2	0.9193
LOC441212	-0.87025
GPATCH8	0.2175
TANC2	-1.0295
KIF4A	-2.4615
C18orf18	-0.257
PGM1	-1.041
KIAA0258	0.79675
CPD	1.636375
SNCAIP	-2.63633333333333
DCT	-4.64133333333333
HLA-DOA	2.04722727272727
OR11L1	0.7515
UPK1B	-0.925333333333333
DNAJB4	-0.487375
UGT1A8	-0.8815
HIST1H4L	-2.3195
PECR	-1.08116666666667
HSPA2	2.771
WFIKKN1	-0.877
SERP1	0.501375
SYDE2	3.32125
TACR2	0.6325
NUP85	-0.12
CD177	-0.3952
LGR5	-1.98483333333333
PIGG	0.307583333333333
PTHR1	-3.253
RAB5A	0.2288
FLJ13224	0.3245
USP9Y	-1.22533333333333
C7orf53	-0.35
LRP1B	-1.30175
XAF1	3.5314
ABCG8	-1.29
ANKDD1A	-0.663
DAND5	-2.2625
SPAG6	0.627833333333333
LINCR	0.9265
ZDHHC22	-1.788625
CCDC60	-0.5855
THOC7	-1.54633333333333
TCTA	1.2233
OR8K3	0.09075
NY-REN-7	-0.50575
B2M	1.24183333333333
C6orf141	1.312625
LPPR4	-0.1555
SQLE	-0.121875
SEPHS1	-1.1565
BTBD14B	0.696642857142857
PLRG1	-0.28825
SPG7	-0.4096875
ZNF614	0.174166666666667
PARD6G	-0.280333333333333
INPP5B	-1.2348
GRPEL2	0.0975
PPID	-0.1179
TRIM56	0.16175
UBE2J1	-1.05625
IL20RA	4.6925
LOC387856	2.60475
C1orf107	0.95975
UTS2R	0.69325
C19orf22	-0.61075
SAFB2	-0.367125
KIAA0652	1.135375
KLRG1	-1.00166666666667
MS4A8B	4.55766666666667
FRAG1	0.6595
KIAA1546	0.03475
E2F4	-1.4994
CLEC4M	0.0501666666666667
BTBD14A	-1.61275
KIAA0999	1.3272
GYPA	-2.60716666666667
TAC1	-0.00175000000000006
TRAIP	-1.84216666666667
KIAA0232	1.4691
ERCC8	-0.397875
GPX4	1.114875
KIAA0368	-0.54525
GPR157	-0.61
CTAGE4	1.167
C9orf30	-4.45416666666667
OR52A1	0.17
HSP90B3P	-0.2495
ALG9	-0.7749
BTBD10	0.8705
SDK2	-0.608
BAIAP3	2.92175
RABGGTB	0.523
ANKRD40	0.817666666666667
KRT74	0.6565
CALCOCO2	0.883928571428571
SNCA	-4.04475
TMSL8	-7.0725
C2orf53	0.436
ESRRB	-0.582
ARHGAP26	-2.518625
TDRD9	-3.627
HRAS	0.687666666666667
KLRC4	-3.1055
JAGN1	0.5575
BSDC1	1.53825
RNF43	2.3239
NDUFAF1	0.8345
PHF12	0.70025
OR1L3	-0.0355
FOLR2	1.992
LYZL6	0.363833333333333
tcag7.1260	-3.2875
WSB1	-1.45533333333333
PROS1	-2.6195
OSTN	0.4885
PSMB8	0.77025
SOCS4	0.13725
DDIT4L	1.0615
MAS1	-0.454
MGC34796	1.97075
CSHL1	-0.0193333333333333
TBCCD1	-0.173166666666667
ZBTB7C	0.368
AP2S1	-0.889
P15RS	0.2876
VAT1	0.1774
SHANK3	0.2465
TUFM	0.2205
THEG	-1.02425
KRT34	-1.91275
SGSM3	-0.15
TOMM22	0.056625
SOCS3	-0.27
CPO	1.705
POP4	0.49575
BHLHB3	-0.9265
MALL	0.06375
OR1B1	-0.0555
PARK2	0.898
GPR124	-1.934625
LCE1E	0.445
RUVBL2	-0.4335
CGRRF1	1.4813
ACPL2	1.18075
WNT10B	-3.408375
BAIAP2L2	-2.275375
ISCA1	0.7105
C1orf125	0.837625
RPAP1	-0.2745
RAI16	-1.53483333333333
RPL27	-0.03125
NLRP9	0.447
EPN1	0.3275
LOC388610	-0.6095
SLC35A1	1.1752
GAL	-4.35225
SLC14A2	0.4255
RDH11	0.775666666666667
FAM138F	-0.845
AUH	0.5795
FLJ40243	-0.38675
C14orf129	0.895833333333333
MBD2	-0.918
ABHD14B	0.096875
PIGT	1.481375
ALS2CR4	-0.20375
ALAS1	-0.1144
FOXO1	0.620666666666667
CRLF3	0.38875
C20orf107	0.2885
FARS2	0.786
CCDC28A	0.256
NPHP3	-1.1275
OR13F1	0.07
TSEN54	0.493
DEFB106B	0.2362
OR8B4	-0.041
STH	-1.72875
ZC3H14	-0.623125
CBX2	0.428
TMEM49	-0.70725
C6orf21	0.484
FLJ20920	0.113
CRTAP	-0.978857142857143
DDX50	-0.86125
STYXL1	0.73
BLVRB	0.947333333333333
LOC147650	-0.471333333333333
MMP24	0.309
GRID1	0.1065
BANF1	-1.04833333333333
CTAGEP	0.7395
HMBS	-2.27425
SLC25A24	1.04733333333333
C14orf50	2.3235
MRO	0.278666666666667
SLC25A15	-0.82275
FAM84B	2.5075
TDP1	-1.11
C16orf78	-0.129
C11orf57	-0.603375
RFK	-0.06375
ZFYVE9	1.09775
STCH	-0.9751
WIBG	0.72125
LOC283871	0.283333333333333
GBA2	0.4469
NDUFB3	-0.2295
HSD17B13	-0.94925
GRIN3A	1.02833333333333
FMNL1	-2.13933333333333
SEPT7	-1.0189
GNLY	2.4845
GRAMD1C	2.11466666666667
ZNF165	1.625
USP38	1.37325
FAM83A	-3.81216666666667
C14orf24	0.724583333333333
ARMCX3	1.06525
ARHGDIB	-1.765
AK1	0.337875
KIAA1045	0.18075
DNAJB13	-0.128
NEU2	0.13
HIST1H4B	-1.65316666666667
FAM20B	0.1556
HES2	-1.04092857142857
FAM73B	-0.1037
LOC388381	0.74525
INTS7	-0.681090909090909
AMPH	0.313
ZNF775	0.172625
UCKL1	-0.1145
C10orf97	-0.414
C1orf161	-0.66425
ALDH1L1	-1.8035
FLJ39378	0.17925
SLC23A1	0.821
RBM4B	0.30875
THAP4	0.138833333333333
OGFRL1	-0.18775
KIAA0831	0.834875
PPP1R15A	-0.875666666666667
C1orf96	-0.586928571428571
C12orf11	-2.398
BMF	0.701
MAN1A1	1.120375
KIAA1600	-0.488666666666667
NLGN4X	-3.35275
ALOX12	-1.30633333333333
RB1CC1	1.4981
NEIL2	-0.3246
EIF4E	0.325136363636364
ABHD5	-0.12975
EXOC4	-0.2235
CIP29	-0.0228333333333333
BATF2	1.50425
SLC29A4	-1.67825
HTR4	0.2985
EMB	0.697
TRAF6	0.84125
LMNB1	-2.30375
FAM19A5	-2.336625
SHE	0.55775
PIK3C2B	0.76075
C15orf15	-0.8026
USP15	-0.1699
TCEAL2	0.0242499999999999
C5orf39	-2.20333333333333
PTGER2	4.6155
SLC31A1	-1.61175
IFT172	0.421
ADAM29	0.22225
GFOD1	-0.50225
ST7L	0.792333333333333
C15orf26	-3.53175
PKN3	-1.2345
CNTD1	4.50816666666667
COMMD1	0.371625
NTRK2	0.83625
FOXN3	0.644
MFGE8	-2.0695
PFKFB2	0.504
TAS2R4	-0.079
ENTHD1	-1.01783333333333
PRMT5	0.149625
MGC16384	-0.72925
LOC442229	0.27675
TSKU	1.614
KRTCAP3	1.546
PDLIM1	-1.5569
KCNS2	0.136
RNF126	-0.2885
CEP63	-0.0385
CLIC4	-0.637
hCG_1990170	-1.26275
ACR	0.2518
KLK7	-0.3325
ALOX5AP	2.031875
RIPK3	4.1975
TAS2R9	0.0705
C19orf18	1.935
BIRC6	0.0928571428571429
ZNF16	2.3255
RFT1	-0.2915
SLC8A2	-1.263
TACC1	-1.962875
ITGAD	1.89
SAMHD1	0.16975
SH3PXD2B	0.4067
EPC2	1.17075
C20orf85	-0.027625
ATP13A2	0.3485
KRT4	0.363625
CAPNS1	0.1305
MDM2	0.0460833333333333
PCDH20	3.64825
KCNK9	1.5265
OR2C1	0.681
KLHDC3	-0.596
IPPK	1.0835
EFHD2	-0.903375
GALR3	0.7205
NBEA	2.05633333333333
ABCA6	0.0731
CLDN3	3.24966666666667
AKT2	0.451285714285714
EGFR	-4.2147
RBM16	0.24925
ZDHHC3	-0.7723
SLC25A4	1.232
CYB5B	-1.198
CPXM1	-2.91375
NDRG1	0.974692307692308
FLJ43826	0.06675
OR5L2	-0.297833333333333
FARP2	0.9468
MRPL46	-0.06775
LDHAL6B	-0.0211666666666667
MAPKAPK3	-0.835666666666667
NCAM2	1.29575
PRKD2	0.358
ZFP36L1	-0.7572
CYSLTR1	-1.65125
OR4C3	0.35775
HIST1H2AJ	2.849
CCNB2	-3.081
ZNF10	-1.185625
TMEM175	0.3455
FAM134A	1.551
TIGD4	1.267
PCNP	-0.42775
MGC39715	0.359333333333333
LQK1	0.029
CREB1	0.3935
TMPRSS3	-3.85425
C4orf32	2.014875
LAT	-2.32708333333333
KCNA3	-1.0745
SKIV2L2	-0.43225
ROPN1B	-4.0745
tcag7.23	-0.5925
CDT1	-3.016625
ZHX2	1.84775
CD28	-1.6315
ZNF624	0.36975
SEPT2	-0.287
SOHLH2	-3.370125
MCOLN3	2.347625
UNQ1945	0.264
MASP2	-1.8435
ZNRF3	0.3118
GPATCH3	0.44175
AGL	0.9345
QRICH2	0.083
PSD4	1.91283333333333
CCNB1IP1	-2.83425
ENPP7	-0.19325
OBFC1	-0.4685
KCNG3	-0.2595
C14orf79	1.809
ENPEP	0.3185
SCT	2.0565
SKI	-0.076125
SEC61G	-1.54275
CAPN11	0.0735
ATXN7L3	0.21975
DBNDD1	-0.0785
FAIM	-0.25075
ANKRD36	-1.4855
GABRP	-0.946
TACSTD2	2.79466666666667
EIF3J	-0.478
PPP2R2A	-1.92825
TEKT4	1.0615
PVALB	-0.996333333333333
F10	-4.02033333333333
FAM134C	1.8505
COMP	0.827375
EFCBP1	-4.0828125
SCLT1	-0.159125
TAL1	-1.6341
ACSL1	2.32325
ABCC5	2.30975
ABL1	-0.748
RBBP7	0.86975
PTPRG	-2.140875
NCOR1	-0.2201
SPINK4	-1.874
TXNRD1	-0.0115999999999999
TNRC15	0.4155
C9orf138	0.37225
UBE2H	0.754833333333333
BRDT	2.048
C8orf31	0.25325
CCNE2	-0.413636363636364
SLC6A8	-3.107125
CALCR	-4.487
PPP1CB	0.477416666666667
ABHD8	0.21975
ARF5	-0.5313
SLC24A4	0.20875
CCT3	0.20025
ZNF121	0.154
SLC3A2	-0.1514
OR13A1	0.9025
SLC5A10	1.9205
RAD50	0.283875
IER5	-0.1685
MTHFD1L	-3.343125
MBTPS2	1.1735
MVK	0.397125
NCL	-0.0801
PSMD10	0.36875
MOBP	-0.051
FLJ32894	0.3825
HRH1	-2.51883333333333
C5orf30	1.39925
NUDT16L1	1.4434
RASGRP3	3.12566666666667
PRKRIP1	-0.1933
CCDC75	-0.63775
LOC253970	-0.3085
KIAA1239	0.149
MED21	-0.2725
SYT11	-0.635
NTSR2	-0.7675
EGFL11	0.582
CXorf59	-0.181
OR2A25	0.13975
SPTBN2	-2.616
LRMP	-1.75983333333333
RNF111	0.39
PTH	0.608
LOC619208	0.938
KIAA0895	1.201
RANBP5	-1.94425
P2RY10	-1.45133333333333
NME5	4.66916666666667
DDX21	-1.76925
LRSAM1	0.0475
HDAC11	2.129
VMO1	2.165
NOLA2	0.256833333333333
ADAR	1.81558333333333
MTO1	-0.3355
SF4	0.3295
P2RX1	-0.184333333333333
HBM	3.662
EN2	0.6865
C14orf172	0.36025
TM9SF2	0.3148
INHBE	-1.68016666666667
TCTE3	-0.43875
TOX2	-4.30275
CTAGE3	0.34875
HBB	4.9009
MED15	-0.641
CASR	-0.1655
C6orf66	-1.21333333333333
MTPN	-1.185125
UNC50	0.191
C21orf33	0.3275
IRF2	1.13175
PGR	-2.9375
GPR84	2.3765
CROCCL1	-1.39675
SRPX	-5.645
BRE	0.397333333333333
FGF10	4.019
SDC3	-1.4355
ZRSR1	0.98
DKFZP434P211	0.076625
SOX6	-0.8905
RPUSD2	0.08725
C14orf173	-0.561083333333333
MAPK11	-1.15266666666667
TBC1D22A	-0.1085
FAM123A	-1.0405
COL4A6	-4.45066666666667
TOMM70A	0.031
NAB1	-0.82575
MGC16385	-0.10525
TSPAN18	-1.7185
MED31	-0.37325
PLG	-0.3145
CAPSL	2.8235
ZNF532	-1.2626
ASB14	-0.194333333333333
CA8	-0.00775
NUDT16P	1.4195
SLFN11	-2.8555
LRRIQ2	0.05075
NOL7	-0.315166666666667
BRMS1L	-0.947375
JARID1A	0.489333333333333
PANK2	-0.182
ICAM3	-0.64875
MDS1	-0.84175
TAF8	-0.9045
RNF139	1.6495
ZNF594	0.7055
ADAM8	0.469125
SFTPC	-0.808375
MAN2B2	1.204625
RGS12	0.904125
EIF1AY	-4.99708333333333
LRRIQ1	0.1655
GPR150	0.80375
CCDC21	-0.899166666666667
PRRG3	-0.1615
SAA4	-4.4755
RAPGEF5	2.015375
ZCCHC2	0.647416666666667
MGC39372	1.104
PPP4R2	0.185833333333333
CDCA2	-3.60683333333333
OR4D5	0.753
PTGFRN	-0.7816
SIGLEC5	1.6255
C19orf61	-0.372666666666667
NMUR2	0.1915
KIAA1586	-0.749
DAGLA	-0.894833333333333
CHCHD6	-0.355
GPR32	0.116
NEUROD6	-0.0408333333333333
SLC2A4RG	0.36925
CA5B	0.847
FBXL3	1.12425
MPHOSPH9	-1.37575
HMG2L1	0.4785
HCN4	0.444333333333333
CEACAM19	0.06
SH2D4B	0.403
HFE2	-1.183
TGM4	-0.2755
LYPD2	0.3765
TBC1D15	0.66175
MRPS21	-0.9984
NONO	-0.5694
CLEC5A	1.466375
ITCH	0.1064
MGAT3	-1.90766666666667
MBP	-1.044
RPP25	-0.6555
SOSTDC1	-2.60825
HRC	-1.91725
TRIM48	0.5895
TMEM133	-2.575
ECEL1P2	-1.41025
HOXC11	-2.0565
DOK5	-2.863
HELZ	0.815833333333333
LOC348180	-1.004
MGC33894	0.13925
ADRB3	0.148
DMD	-0.906916666666667
PTRH2	-0.3035
MPEG1	3.1655
NDUFA12	0.254166666666667
KRTAP2-4	-0.0445
STAMBPL1	-2.06733333333333
ADCY2	-0.5375
UNQ6125	0.7815
KLHL20	0.503833333333333
SRM	-1.6975
OTC	0.1035
TMIE	-0.402666666666667
SNX8	0.8875
LIPK	0.00650000000000001
CHURC1	-0.317416666666667
KLC2	0.401
HDAC1	1.18916666666667
FAM128A	0.316666666666667
FNDC3B	-1.4748
MTCP1	-0.375333333333333
WFDC10B	-0.1993
PCDHGB3	0.36
ATRNL1	0.6536
CAV2	-2.151375
MED26	0.4175
DUS1L	0.95
CHRM3	-0.841875
NEK9	1.76875
WARS2	-0.40175
TBX22	0.421
TOMM40	-0.796
RP6-213H19.1	-0.714666666666667
TUBGCP5	-0.40225
IGSF6	4.72925
TPPP	2.81
UNQ6190	0.4005
GSTM5	0.014375
BTD	0.442166666666667
PDCD1LG2	-0.244
SNRPB2	0.00899999999999999
ERICH1	-1.65075
APOA4	-1.789125
HOXA11	-2.09933333333333
NARG1	0.083375
MKX	1.056
RAB28	0.280642857142857
PKP3	1.096
SH3GL2	-2.8105
CTSO	3.9885
RPN2	0.41475
IL28RA	1.20283333333333
SFMBT1	0.1045
WDR57	-0.19225
FER1L3	0.911583333333333
HSF5	0.227833333333333
TTC9B	1.65675
C4BPA	-4.46016666666667
ALB	-0.488285714285714
SORBS3	-0.64075
UPF2	0.07
JPH1	-1.052
AGBL2	3.08675
DOPEY1	0.7565
TERF1	1.01425
KIF22	-0.244166666666667
NINJ1	1.2045
SEC61A2	-0.781416666666667
HIST1H1D	-0.555333333333333
SFXN4	-0.701875
UCP3	0.6723
ZNF703	2.702
MYL6B	-0.05
TREM1	1.25775
OR52E6	0.564
CKMT2	-1.01125
HLA-C	1.751875
SLC13A3	-2.95066666666667
TIMP4	-2.6365
SLIT2	-1.61675
RSF1	-0.431777777777778
LONRF1	-2.36828571428571
MON1A	-0.618333333333333
CACNG6	2.1155
DPPA4	-5.59666666666667
ZSWIM3	0.78425
ZNF804A	-0.165166666666667
CCIN	0.72075
SLC25A31	0.84875
KCNMB4	-3.273
RABL5	0.258875
GALNS	-0.3876
STX6	-0.09
HIST1H1C	1.289
CIDEB	0.55175
CASP4	-2.00933333333333
PDK3	0.742
KCNJ11	2.6755
TPR	-0.5225
ZSCAN20	0.368
MTX2	-0.26375
HIST1H2BH	0.13775
LOC283767	0.688
LYRM7	-0.798722222222222
BRD3	0.0085
HIST1H2BO	0.5195
MAGEB10	0.482
SLC45A1	2.203
SERPINA3	1.61275
KIAA0143	2.086
KCNJ16	-0.1048
KRT79	-0.54725
FABP2	-1.1775
NUT	-0.0406666666666666
ZNF57	0.41575
FBXL4	0.633
CLEC9A	0.2405
UGT8	-1.90883333333333
BMP2K	0.2185
MAPK4	-4.4875
SLC25A23	0.0922
HINT1	-0.4915
KRTAP13-1	0.2745
SFXN5	1.5978
CHCHD2	0.95975
FAM3D	0.8085
NDP	-2.679625
RHOBTB1	-0.509
SLC4A4	3.75625
RPL38	0.207
HTF9C	0.943333333333333
AP2A2	0.8555
ZBTB46	0.1185
MAP7D1	0.2765
AOX1	-2.8065
CYR61	-1.86166666666667
DTNA	1.95228571428571
JRKL	-3.22375
TMOD3	-0.6455
EEA1	-0.6018
ADCK5	0
IL1R1	3.711
KLK3	0.324785714285714
HRSP12	1.1795
KTN1	0.99025
LOH11CR2A	-1.6196
RELL2	-0.05925
MAB21L1	0.4855
C20orf59	-1.62066666666667
PHKB	-0.1565
ADAM2	-1.9635
TBC1D8B	1.62983333333333
FAM13A1	-0.57675
LAPTM4B	3.23066666666667
LCN8	-0.1745
TMEM147	0.311
SYT4	-0.8344
XPO7	-1.539
C9orf62	0.7105
GPR75	-0.0885
TRIM5	-0.14175
APOC1	-1.304
RNASE4	1.14066666666667
PARD6B	1.41625
ARID1A	-0.0263333333333333
TPD52L3	-0.217333333333333
RRAGB	1.2445
RCN2	-0.454
HIST2H2BE	0.6763125
STARD7	-0.3305
SHMT2	-1.3785
KIAA1751	0.0231666666666667
MLYCD	0.154375
LOC162632	0.9211
UQCRH	-0.92825
RP11-217H1.1	0.347875
SDHA	-0.588666666666667
NCLN	-0.366
ZNF17	1.06316666666667
RCBTB2	-3.2135
VEGFB	-1.066
RP4-747L4.3	0.93525
COLQ	0.7072
MPN2	-1.033
DRG2	-0.34825
KLRB1	3.0865
ALPK2	-4.95525
DNASE2B	0.02975
FLJ23834	-0.2055
AXUD1	0.356
SAFB	-0.4347
NSUN4	-0.06175
RFX2	2.31416666666667
MAPK8IP1	-0.0608333333333333
FANCD2	-1.67464285714286
ANKZF1	-1.27116666666667
C19orf50	-0.52
DUSP8	0.432375
SENP5	0.00912500000000001
NFKBIL2	-0.3445
LBR	-1.796
IGFL1	0.0785
LZTS2	-0.304875
IL2RG	-1.877125
CCDC51	-0.07125
KLF3	0.20175
ANKRD37	-1.289
KCTD14	-2.96866666666667
FZR1	0.230166666666667
SLC44A4	3.4646
ESPL1	-0.815875
GMPR2	0.3189
TBC1D19	-0.337833333333333
ERGIC1	1.44792592592593
ERBB4	5.0839
TSPAN32	-0.4265
MAP4	-1.45975
GPHN	0.68
SLC6A2	-0.161625
HIVEP1	-0.59525
DFFB	-0.5395
EIF4EBP2	-0.667625
DMRT1	-0.47325
HSPB6	-0.5095
IER2	0.119166666666667
AIFM1	0.02625
WWC2	-0.68725
MRPL4	-0.67075
FLJ21062	1.001
EPB41L4A	-0.62525
SH2D6	0.28725
TAF4B	-1.224
GAL3ST3	-0.2335
MALT1	-1.90466666666667
RTDR1	1.90625
ARVCF	0.435375
MEX3B	-3.3935
FBXO16	-0.0015
KIF7	-2.51475
C1QC	3.76883333333333
ZNF783	-0.1905
ZNF85	-0.616
MMP13	-0.115
KIAA0329	0.914
RTP3	-0.6485
ZBED3	-0.015
CLGN	2.45675
SLC25A37	-2.64754166666667
hCG_18290	-0.9035
OR5AS1	-0.4885
SMARCC2	0.588166666666667
FAM109A	-0.108
CCDC12	-0.575
USF2	1.3173
DEPDC7	-3.85775
C20orf24	-0.173833333333333
JMJD3	0.583
DSP	2.72514285714286
SLIC1	0.0585714285714286
FAM20A	-0.814125
IRF2BP2	0.0045
ZNF230	0.559
MSN	-2.38821428571429
SLC9A5	-2.3135
EPDR1	-3.2994
MUSK	-0.453166666666667
ZNF434	1.02983333333333
SMARCD1	-0.692666666666667
ZFP106	-0.29675
ZNF347	0.6749
GTF2E1	0.13875
