Hybridization REF	TCGA-A2-A0EV-01A-11R-A034-07
POLR2J	-0.4585
SEC23IP	0.441833333333333
UQCRC1	0.17325
LOC729603	-0.108
C1orf71	0.09525
POLG	-1.5035
ADAM23	-2.6525
TFR2	-1.785
RICTOR	-0.8455
MGC39606	-0.2155
C19orf55	-0.3895
SNAPC1	-1.42533333333333
GNA11	0.406
CCDC52	-0.259833333333333
FSIP1	6.0525
UPF3A	-1.198375
IGSF11	-2.38783333333333
LAGE3	0.82475
CHST6	-1.651
UNC13B	0.63125
TTLL4	-1.786375
ZNF687	0.584
SDC2	-0.818
COX7A2	-0.132
LAMB4	-0.884333333333333
FAM24A	0.4205
LRRTM3	-0.193333333333333
GPHB5	0.089
OR4C13	-1.528
EIF3EIP	-0.548
HABP4	-0.9165
TMEM125	3.527
CNTN2	-0.544625
ASNSD1	-0.07475
FUT4	-0.348625
ACF	-3.67375
LOC158381	1.5275
CDH8	1.58333333333333
AGPS	-0.024
C4orf18	3.327875
PECI	-0.0159166666666667
UNG	-0.61875
GSTP1	-1.882375
DCUN1D5	-1.44033333333333
DKFZP564J0863	-0.1365
SLC9A3R1	2.361625
BCDO2	-0.2175
CHMP7	-0.7815
REM2	-0.4455
DNHD1	-1.56075
FKBP4	-0.824375
ZNF350	1.24825
MGC11102	0.63275
BST1	1.65775
KISS1R	0.1115
NCR2	-1.1545
DEFB125	0.178
UBE2W	1.2255
KRT15	4.118
C10orf99	0.044
SCN11A	0.12725
GFI1	-1.99875
RDHE2	3.57733333333333
FHL1	-0.447833333333333
OSGEP	-0.452
GATA1	-3.55316666666667
SMC6	-0.905
TTTY14	-0.82175
LPIN3	-0.443
RPL4	-0.761
RBPMS	0.162
PRPF3	-0.8265
EMR1	-1.6655
SPATA19	0.52
XCR1	1.143
IRX3	1.4647
RBM6	-0.759
KLF4	-1.0007
UNC5CL	0.55325
SEBOX	0.508
BTK	-0.01075
KRCC1	1.19225
C6orf27	0.618
SYTL5	-0.1905
PRND	0.623875
LOC653319	-1.815
PIGL	-1.658375
HUS1	-0.438833333333333
SFRS6	0.417916666666667
C17orf77	-3.0375
UIMC1	-0.231666666666667
FXYD2	-2.1151
LOC283152	1.284
ZNF667	-2.12475
ZCCHC12	-1.3855
TFEC	3.7444
ATP7B	-0.0946666666666667
POLD2	-0.971833333333333
RG9MTD1	-0.245
ACOT2	0.461166666666667
HIST1H4I	-0.485857142857143
PPARGC1A	-2.5802
ETFA	-0.6279
POLRMT	-0.482
ZNF146	-0.123
MIA2	-2.511
KLHL6	0.313666666666667
HOXB5	0.16725
NENF	0.9825
CUGBP1	-0.09875
PRSS22	2.31116666666667
CASC4	1.5864
CUL4B	0.1904
CENPJ	-2.3962
PITX1	0.745333333333333
FLJ31033	0.752833333333333
CELSR3	-1.392
ZNF568	0.647
ITSN1	-0.0921666666666667
EHBP1L1	-1.10666666666667
C19orf2	-0.6265
DCTN1	0.05675
LIN28B	-3.0168
TNKS2	-0.77725
C1QBP	-1.58075
CADPS2	1.5
SRMS	-1.60625
GJA9	0.0388
MGC24975	-1.70683333333333
TRIM45	0.449
TSP50	-0.19475
TCP1	-1.183
TMED7	1.1006
CMA1	1.348
CENPL	-0.743
PTCRA	-0.041
FST	-2.97125
VWCE	-3.2085
PAWR	0.52325
ABCC12	1.57316666666667
LDLR	-1.4341
ASTN2	1.011
LOC441212	-0.82175
GPATCH8	0.1385
TANC2	1.10725
KIF4A	-1.68175
C18orf18	-1.0205
PGM1	-1.127
KIAA0258	0.96575
CPD	1.591875
SNCAIP	-1.19275
DCT	-4.398
HLA-DOA	3.25940909090909
OR11L1	0.752
UPK1B	-1.00016666666667
DNAJB4	0.1515
UGT1A8	-0.0703333333333333
HIST1H4L	-1.26
PECR	-1.31466666666667
HSPA2	1.97925
WFIKKN1	-1.7325
SERP1	0.3345
SYDE2	1.0615
TACR2	0.6365
NUP85	0.193
CD177	1.21916666666667
LGR5	-1.58216666666667
PIGG	-0.0605
PTHR1	-1.19083333333333
RAB5A	0.2358
FLJ13224	-1.004
USP9Y	-1.261
C7orf53	-1.145
LRP1B	2.903
XAF1	1.7905
ABCG8	-0.0525
ANKDD1A	-0.303166666666667
DAND5	-1.0905
SPAG6	-0.305333333333333
LINCR	1.0735
ZDHHC22	-1.470125
CCDC60	0.205
THOC7	-1.51916666666667
TCTA	0.6845
OR8K3	-0.036
NY-REN-7	-0.394
B2M	1.81033333333333
C6orf141	-0.49075
LPPR4	0.84775
SQLE	-2.173625
SEPHS1	-0.4595
BTBD14B	0.360214285714286
PLRG1	-0.165
SPG7	-0.99825
ZNF614	-0.699666666666667
PARD6G	0.376333333333333
INPP5B	-0.8425
GRPEL2	0.107875
PPID	-0.3307
TRIM56	0.0375
UBE2J1	0.148
IL20RA	4.9705
LOC387856	-1.51175
C1orf107	-0.1345
UTS2R	0.0195
C19orf22	-0.144
SAFB2	-0.75275
KIAA0652	-0.119
KLRG1	-0.140166666666667
MS4A8B	3.3855
FRAG1	0.2155
KIAA1546	-0.085
E2F4	-1.5693
CLEC4M	0.14
BTBD14A	-1.168
KIAA0999	1.4232
GYPA	-3.0948
TAC1	1.8289
TRAIP	-1.40066666666667
KIAA0232	1.0438
ERCC8	-1.137875
GPX4	0.8885
KIAA0368	-0.12825
GPR157	-0.461
CTAGE4	0.3685
C9orf30	-2.03266666666667
OR52A1	-0.199
HSP90B3P	-0.217
ALG9	-0.1707
BTBD10	0.56975
SDK2	-1.657
BAIAP3	-0.511
RABGGTB	-1.003125
ANKRD40	0.597333333333333
KRT74	1.008
CALCOCO2	1.12792857142857
SNCA	-2.5415
TMSL8	-6.034375
C2orf53	-1.8525
ESRRB	-1.3615
ARHGAP26	0.578625
TDRD9	-2.158
HRAS	0.2025
KLRC4	-2.1725
JAGN1	-0.387
BSDC1	0.5155
RNF43	0.6558
NDUFAF1	0.671
PHF12	0.52425
OR1L3	0.70625
FOLR2	2.29558333333333
LYZL6	-0.1398
tcag7.1260	-1.2825
WSB1	-0.920333333333333
PROS1	-0.8669
OSTN	0.1435
PSMB8	1.2755
SOCS4	-0.238
DDIT4L	2.71725
MAS1	0.577
MGC34796	2.257
CSHL1	-0.0651666666666667
TBCCD1	0.444166666666667
ZBTB7C	-0.167
AP2S1	-0.085
P15RS	-0.3967
VAT1	-0.2697
SHANK3	0.399666666666667
TUFM	0.161666666666667
THEG	-0.85225
KRT34	-2.23766666666667
SGSM3	0.228875
TOMM22	-0.5685
SOCS3	0.992833333333333
CPO	0.6335
POP4	0.34725
BHLHB3	1.29875
MALL	0.47825
OR1B1	1.035
PARK2	0.0546666666666667
GPR124	0.38025
LCE1E	0.152
RUVBL2	-0.949
CGRRF1	0.5276
ACPL2	-0.43275
WNT10B	-1.942625
BAIAP2L2	-2.185875
ISCA1	0.3595
C1orf125	0.476
RPAP1	-1.0225
RAI16	-0.530833333333333
RPL27	-0.21
NLRP9	0.692
EPN1	-0.7305
LOC388610	-2.094375
SLC35A1	0.4413
GAL	-3.42875
SLC14A2	-0.16575
RDH11	-0.671166666666667
FAM138F	-1.301
AUH	-0.06875
FLJ40243	-0.762666666666667
C14orf129	0.859
MBD2	0.180166666666667
ABHD14B	0.5855
PIGT	1.00775
ALS2CR4	-0.701375
ALAS1	0.2469
FOXO1	1.146
CRLF3	0.37575
C20orf107	-1.154
FARS2	1.01475
CCDC28A	0.53775
NPHP3	-1.00725
OR13F1	0.3385
TSEN54	-0.11275
DEFB106B	-0.093
OR8B4	0.86
STH	1.736
ZC3H14	-0.162125
CBX2	-0.04
TMEM49	-0.5195
C6orf21	0.4505
FLJ20920	0.869375
CRTAP	-0.238428571428571
DDX50	-0.401
STYXL1	-0.08075
BLVRB	0.852666666666667
LOC147650	-1.08983333333333
MMP24	0.1655
GRID1	1.66516666666667
BANF1	-0.930833333333334
CTAGEP	0.2195
HMBS	-1.36225
SLC25A24	0.988833333333333
C14orf50	1.04775
MRO	1.5095
SLC25A15	-1.828
FAM84B	1.0177
TDP1	-0.6135
C16orf78	0.415833333333333
C11orf57	0.288875
RFK	-0.498375
ZFYVE9	-0.147428571428571
STCH	-0.4919
WIBG	0.27175
LOC283871	-0.346333333333333
GBA2	-1.1077
NDUFB3	0.00225000000000002
HSD17B13	-0.817666666666667
GRIN3A	0.8655
FMNL1	-1.2425
SEPT7	-0.0144
GNLY	4.1065
GRAMD1C	0.662666666666667
ZNF165	-0.06025
USP38	0.5955
FAM83A	-3.64533333333333
C14orf24	0.457083333333333
ARMCX3	1.5445
ARHGDIB	0.499833333333333
AK1	0.5265
KIAA1045	0.22175
DNAJB13	-0.118166666666667
NEU2	0.7465
HIST1H4B	-1.24433333333333
FAM20B	-0.0656
HES2	1.51085714285714
FAM73B	-0.5953
LOC388381	0.097
INTS7	-0.143
AMPH	3.58675
ZNF775	-0.182125
UCKL1	-0.6465
C10orf97	0.85625
C1orf161	-0.478
ALDH1L1	-0.829
FLJ39378	-0.0795
SLC23A1	-0.8595
RBM4B	0.42275
THAP4	-0.105166666666667
OGFRL1	1.058
KIAA0831	-0.042875
PPP1R15A	-0.307
C1orf96	-0.314857142857143
C12orf11	-2.42975
BMF	0.466625
MAN1A1	0.576125
KIAA1600	0.634833333333333
NLGN4X	0.37575
ALOX12	-1.30783333333333
RB1CC1	-0.3796
NEIL2	-0.2314
EIF4E	0.06
ABHD5	0.63
EXOC4	0.0748333333333333
CIP29	0.745666666666667
BATF2	1.46275
SLC29A4	-0.959125
HTR4	0.343
EMB	-0.49925
TRAF6	0.795
LMNB1	-1.227
FAM19A5	-0.626875
SHE	1.20325
PIK3C2B	1.01625
C15orf15	-0.9137
USP15	-0.0656
TCEAL2	1.668
C5orf39	-0.0915
PTGER2	0.01825
SLC31A1	-0.3559375
IFT172	0.26175
ADAM29	1.16025
GFOD1	0.087
ST7L	0.0383333333333333
C15orf26	-4.12975
PKN3	-1.1385
CNTD1	3.1055
COMMD1	0.395125
NTRK2	2.88658333333333
FOXN3	-0.123
MFGE8	-0.3817
PFKFB2	1.01133333333333
TAS2R4	-0.753
ENTHD1	0.729833333333333
PRMT5	-0.86775
MGC16384	-0.969875
LOC442229	-0.21125
TSKU	-0.20175
KRTCAP3	2.443375
PDLIM1	-0.4804
KCNS2	0.664333333333333
RNF126	-0.3755
CEP63	-0.123125
CLIC4	-0.37475
hCG_1990170	-0.5135
ACR	0.595
KLK7	2.559
ALOX5AP	3.806875
RIPK3	3.88725
TAS2R9	0.0745
C19orf18	2.198
BIRC6	-0.4325
ZNF16	0.6665
RFT1	-0.75675
SLC8A2	-0.78075
TACC1	0.81025
ITGAD	1.0595
SAMHD1	1.4685
SH3PXD2B	1.222
EPC2	0.52525
C20orf85	-1.218875
ATP13A2	0.612
KRT4	0.633875
CAPNS1	0.413
MDM2	0.388833333333333
PCDH20	3.2465
KCNK9	1.27
OR2C1	-0.2245
KLHDC3	-1.10733333333333
IPPK	0.3225
EFHD2	-0.11125
GALR3	0.047
NBEA	0.4755
ABCA6	3.3096
CLDN3	2.33716666666667
AKT2	-0.854785714285714
EGFR	-2.1159
RBM16	0.01625
ZDHHC3	0.6839
SLC25A4	-0.594333333333333
CYB5B	-1.29633333333333
CPXM1	0.00399999999999999
NDRG1	-1.84369230769231
FLJ43826	0.579
OR5L2	-0.7065
FARP2	1.1367
MRPL46	-0.367833333333333
LDHAL6B	0.4285
MAPKAPK3	-0.585166666666667
NCAM2	-0.397
PRKD2	0.247333333333333
ZFP36L1	1.5985
CYSLTR1	-0.3775
OR4C3	0.68525
HIST1H2AJ	0.9615
CCNB2	-1.76922222222222
ZNF10	-2.179375
TMEM175	0.1505
FAM134A	0.7615
TIGD4	0.581
PCNP	-0.49525
MGC39715	0.0125
LQK1	0.7255
CREB1	0.963
TMPRSS3	2.042
C4orf32	1.600125
LAT	-1.28016666666667
KCNA3	1.227
SKIV2L2	-0.28025
ROPN1B	-2.928
tcag7.23	-1.5485
CDT1	-3.30025
ZHX2	0.93375
CD28	-2.5495
ZNF624	0.15175
SEPT2	-0.577916666666667
SOHLH2	-2.056
MCOLN3	-0.591571428571429
UNQ1945	0.496
MASP2	-1.5865
ZNRF3	0.2201
GPATCH3	-0.0795
AGL	1.052625
QRICH2	-3.503
PSD4	0.310833333333333
CCNB1IP1	-2.57925
ENPP7	0.01275
OBFC1	0.4185
KCNG3	-1.48625
C14orf79	0.346833333333333
ENPEP	0.934
SCT	1.55
SKI	0.454625
SEC61G	-1.02975
CAPN11	0.667
ATXN7L3	-0.1925
DBNDD1	-0.102333333333333
FAIM	-0.1045
ANKRD36	-0.3775
GABRP	3.30283333333333
TACSTD2	3.66616666666667
EIF3J	-0.672
PPP2R2A	-0.7005
TEKT4	-0.720833333333333
PVALB	-4.45266666666667
F10	-2.402
FAM134C	1.2704
COMP	4.595625
EFCBP1	-2.316625
SCLT1	0.6225
TAL1	-1.1174
ACSL1	0.66325
ABCC5	1.10808333333333
ABL1	-0.7595
RBBP7	0.965333333333333
PTPRG	0.276875
NCOR1	-1.1971
SPINK4	-1.27516666666667
TXNRD1	-0.9674
TNRC15	0.48125
C9orf138	1.680625
UBE2H	1.41283333333333
BRDT	0.5908
C8orf31	-0.59675
CCNE2	-0.626636363636364
SLC6A8	-2.299125
CALCR	-2.4855
PPP1CB	0.79125
ABHD8	0.00174999999999997
ARF5	0.0604
SLC24A4	0.46925
CCT3	-0.26375
ZNF121	-0.0705
SLC3A2	-0.9983
OR13A1	0.7505
SLC5A10	-0.22575
RAD50	0.116875
IER5	0.163
MTHFD1L	-1.74425
MBTPS2	0.859
MVK	-0.70725
NCL	-0.0407
PSMD10	0.3285
MOBP	-0.12925
FLJ32894	-0.533
HRH1	-0.083
C5orf30	1.0505
NUDT16L1	0.8696
RASGRP3	3.21416666666667
PRKRIP1	-0.3213
CCDC75	0.30575
LOC253970	1.0045
KIAA1239	0.66125
MED21	0.20075
SYT11	0.711083333333333
NTSR2	-0.3125
EGFL11	-0.895
CXorf59	-0.4185
OR2A25	0.57375
SPTBN2	-0.327
LRMP	-1.0205
RNF111	0.41725
PTH	-0.159
LOC619208	1.6655
KIAA0895	1.43775
RANBP5	-2.067125
P2RY10	1.25183333333333
NME5	1.33966666666667
DDX21	-1.86675
LRSAM1	0.2785
HDAC11	0.5785
VMO1	2.38275
NOLA2	-0.138333333333333
ADAR	0.884666666666667
MTO1	-0.782666666666667
SF4	1.06633333333333
P2RX1	-1.00366666666667
HBM	0.1565
EN2	0.9195
C14orf172	-0.26025
TM9SF2	0.211
INHBE	-2.29516666666667
TCTE3	-0.569454545454545
TOX2	-3.108
CTAGE3	0.330625
HBB	3.7885
MED15	-0.7365
CASR	-0.29275
C6orf66	-1.62016666666667
MTPN	-0.274
UNC50	0.04825
C21orf33	-0.08
IRF2	0.873875
PGR	4.22266666666667
GPR84	2.7445
CROCCL1	-2.5965
SRPX	-0.65575
BRE	0.518333333333333
FGF10	1.48525
SDC3	0.0231666666666666
ZRSR1	0.296833333333333
DKFZP434P211	-0.6125
SOX6	1.4415
RPUSD2	-0.09525
C14orf173	-1.03041666666667
MAPK11	-0.5725
TBC1D22A	0.3685
FAM123A	-0.607
COL4A6	-2.72383333333333
TOMM70A	-0.196
NAB1	0.221625
MGC16385	-0.212125
TSPAN18	-0.582833333333333
MED31	0.28725
PLG	-2.259
CAPSL	0.7815
ZNF532	0.5623
ASB14	-0.281333333333333
CA8	-0.75675
NUDT16P	1.2665
SLFN11	-1.087
LRRIQ2	0.380125
NOL7	0.0126666666666667
BRMS1L	-1.01075
JARID1A	0.0691666666666667
PANK2	-0.2145
ICAM3	-0.26725
MDS1	0.7185
TAF8	-1.31025
RNF139	0.2405
ZNF594	-0.4838
ADAM8	1.8145
SFTPC	-0.840875
MAN2B2	1.458875
RGS12	0.57325
EIF1AY	-4.28927272727273
LRRIQ1	-0.786666666666667
GPR150	0.3965
CCDC21	-1.29866666666667
PRRG3	-0.063
SAA4	-2.94475
RAPGEF5	1.98075
ZCCHC2	0.259166666666667
MGC39372	0.441
PPP4R2	0.612166666666667
CDCA2	-2.02483333333333
OR4D5	0.365333333333333
PTGFRN	0.6679
SIGLEC5	0.828166666666667
C19orf61	0.0511666666666667
NMUR2	0.191
KIAA1586	-1.01766666666667
DAGLA	1.40783333333333
CHCHD6	-0.673
GPR32	-0.9985
NEUROD6	-1.5834
SLC2A4RG	-0.27475
CA5B	-0.25175
FBXL3	1.1915
MPHOSPH9	-1.188
HMG2L1	0.25325
HCN4	-0.0586666666666666
CEACAM19	0.29125
SH2D4B	0.00420000000000003
HFE2	-0.6955
TGM4	1.147
LYPD2	0.38625
TBC1D15	0.30175
MRPS21	-1.5304
NONO	-0.8731
CLEC5A	2.598375
ITCH	0.438
MGAT3	-1.01533333333333
MBP	-0.399875
RPP25	-1.31
SOSTDC1	-1.56575
HRC	-1.69675
TRIM48	-0.09
TMEM133	0.64325
ECEL1P2	-0.75125
HOXC11	1.5855
DOK5	-0.28175
HELZ	0.373666666666667
LOC348180	-1.259
MGC33894	0.631
ADRB3	-0.2545
DMD	-0.497916666666667
PTRH2	0.172
MPEG1	3.40083333333333
NDUFA12	0.5635
KRTAP2-4	-0.8585
STAMBPL1	-1.64866666666667
ADCY2	-0.141833333333333
UNQ6125	1.3145
KLHL20	0.399333333333333
SRM	-1.49925
OTC	-2.04775
TMIE	-0.6775
SNX8	-0.4455
LIPK	1.2565
CHURC1	1.25141666666667
KLC2	0.224166666666667
HDAC1	-0.541833333333333
FAM128A	-0.198166666666667
FNDC3B	-0.0509
MTCP1	-1.2325
WFDC10B	-0.0434444444444444
PCDHGB3	1.1925
ATRNL1	-0.4026
CAV2	-0.7115
MED26	-0.0935
DUS1L	0.60675
CHRM3	-1.479625
NEK9	0.08675
WARS2	-0.08575
TBX22	1.0035
TOMM40	-0.965
RP6-213H19.1	-0.606666666666667
TUBGCP5	-0.56875
IGSF6	5.75475
TPPP	-0.0255999999999999
UNQ6190	1.1385
GSTM5	0.396125
BTD	0.314666666666667
PDCD1LG2	0.21
SNRPB2	-0.248833333333333
ERICH1	-1.021375
APOA4	-1.792625
HOXA11	-1.385
NARG1	-0.544
MKX	-1.7885
RAB28	-0.702285714285714
PKP3	0.328
SH3GL2	-1.313
CTSO	3.63475
RPN2	0.2115
IL28RA	0.1354
SFMBT1	0.78725
WDR57	-0.224625
FER1L3	0.75675
HSF5	0.472
TTC9B	0.793
C4BPA	-3.0498
ALB	-4.58753846153846
SORBS3	-0.2415
UPF2	0.4165
JPH1	-3.572
AGBL2	0.88575
DOPEY1	0.875
TERF1	-0.418833333333333
KIF22	-0.814333333333333
NINJ1	1.2415
SEC61A2	-1.04445454545455
HIST1H1D	-0.428166666666667
SFXN4	-0.270125
UCP3	0.8716
ZNF703	1.47
MYL6B	-1.3855
TREM1	3.231
OR52E6	0.66
CKMT2	2.01825
HLA-C	2.383375
SLC13A3	-1.2135
TIMP4	-0.17125
SLIT2	1.9935
RSF1	-0.0977222222222223
LONRF1	-2.03364285714286
MON1A	-0.0233333333333333
CACNG6	-1.83516666666667
DPPA4	-5.35333333333333
ZSWIM3	0.2405
ZNF804A	0.0791666666666667
CCIN	1.5015
SLC25A31	0.514333333333333
KCNMB4	-0.74625
RABL5	0.4985
GALNS	-0.8624
STX6	1.13175
HIST1H1C	-1.4325
CIDEB	-0.643
CASP4	0.595333333333333
PDK3	0.8919
KCNJ11	0.9845
TPR	-0.964
ZSCAN20	-0.6495
MTX2	0.0125
HIST1H2BH	-0.78975
LOC283767	0.2265
LYRM7	-0.88
BRD3	0.492166666666667
HIST1H2BO	-1.4885
MAGEB10	0.3325
SLC45A1	0.88075
SERPINA3	3.1215
KIAA0143	0.9895
KCNJ16	1.54
KRT79	-0.56075
FABP2	-0.550666666666667
NUT	-0.490666666666667
ZNF57	-0.4825
FBXL4	0.557125
CLEC9A	-1.214
UGT8	-0.742666666666667
BMP2K	0.1635
MAPK4	-4.22975
SLC25A23	-0.791
HINT1	0.2471
KRTAP13-1	-1.245
SFXN5	1.4341
CHCHD2	-0.118333333333333
FAM3D	0.3125
NDP	-2.58375
RHOBTB1	0.153666666666667
SLC4A4	-1.2315
RPL38	-0.57275
HTF9C	-0.607833333333333
AP2A2	-0.072875
ZBTB46	-0.229
MAP7D1	0.4875
AOX1	-0.391833333333333
CYR61	0.619916666666667
DTNA	0.682428571428571
JRKL	-0.1105
TMOD3	0.546
EEA1	0.254
ADCK5	-0.56175
IL1R1	1.155
KLK3	0.576363636363636
HRSP12	-0.817
KTN1	-0.062
LOH11CR2A	1.5401
RELL2	-1.7335
MAB21L1	0.9435
C20orf59	-1.4335
PHKB	0.272
ADAM2	-2.802
TBC1D8B	1.79083333333333
FAM13A1	-1.362875
LAPTM4B	-1.26525
LCN8	-0.209
TMEM147	0.024
SYT4	-0.0465
XPO7	-1.5475
C9orf62	0.8965
GPR75	-0.4155
TRIM5	1.26475
APOC1	0.828833333333333
RNASE4	0.285833333333333
PARD6B	-0.462
ARID1A	-0.0451666666666667
TPD52L3	0.339888888888889
RRAGB	0.897333333333333
RCN2	-0.1915
HIST2H2BE	-1.70225
STARD7	-0.3395
SHMT2	-1.36875
KIAA1751	-0.251166666666667
MLYCD	0.147375
LOC162632	0.025
UQCRH	-1.638
RP11-217H1.1	0.8895
SDHA	-1.07566666666667
NCLN	-0.6536
ZNF17	0.446833333333333
RCBTB2	-1.77025
VEGFB	-0.2414
RP4-747L4.3	0.9955
COLQ	-0.2545
MPN2	-0.995333333333333
DRG2	-1.058
KLRB1	6.0525
ALPK2	-1.53275
DNASE2B	2.085
FLJ23834	-0.634833333333333
AXUD1	0.179833333333333
SAFB	0.0742
NSUN4	-0.7365
RFX2	0.1285
MAPK8IP1	-0.374166666666667
FANCD2	-1.64192857142857
ANKZF1	-2.107
C19orf50	-0.524375
DUSP8	0.978
SENP5	0.52025
NFKBIL2	-1.0015
LBR	-1.005875
IGFL1	-0.278
LZTS2	0.11225
IL2RG	-0.150375
CCDC51	-0.15975
KLF3	0.017125
ANKRD37	-1.402
KCTD14	-0.448
FZR1	0.274
SLC44A4	2.81
ESPL1	-1.685625
GMPR2	-0.0636
TBC1D19	-0.767
ERGIC1	1.1467037037037
ERBB4	2.2465
TSPAN32	0.318454545454545
MAP4	-0.23225
GPHN	-0.554
SLC6A2	-0.33375
HIVEP1	0.81975
DFFB	-0.3069
EIF4EBP2	-0.048
DMRT1	-0.259333333333333
HSPB6	-0.1945
IER2	0.4455
AIFM1	0.11875
WWC2	-0.06
MRPL4	-0.8755
FLJ21062	1.60616666666667
EPB41L4A	1.70083333333333
SH2D6	0.669
TAF4B	-2.10375
GAL3ST3	-0.072
MALT1	-1.04583333333333
RTDR1	-0.265
ARVCF	-1.045625
MEX3B	-1.245
FBXO16	1.7665
KIF7	-1.03925
C1QC	4.20666666666667
ZNF783	-1.017
ZNF85	-0.38575
MMP13	4.27
KIAA0329	0.715625
RTP3	-1.028
ZBED3	0.08575
CLGN	0.58725
SLC25A37	-2.11875
hCG_18290	-1.14325
OR5AS1	-1.277
SMARCC2	0.285416666666667
FAM109A	-0.0258333333333334
CCDC12	-0.03575
USF2	0.1535
DEPDC7	-1.78675
C20orf24	-0.357166666666667
JMJD3	0.2015
DSP	0.576785714285714
SLIC1	0.469125
FAM20A	1.481
IRF2BP2	0.8965
ZNF230	0.703
MSN	0.054
SLC9A5	-2.0565
