Hybridization REF	TCGA-BH-A0DZ-01A-11R-A00Z-07
EXOSC7	-0.8005
ROR2	2.086375
MAOA	-1.819125
TNNT3	0.128833333333333
GYPC	-0.3715
C7orf33	1.202
PLIN	0.966
LOC90826	-0.53625
RNF4	-0.3487
F8A1	0.1235
PLEKHG4	-3.65925
GRB2	-0.1393
HIST1H2AD	1.63325
DUS3L	-0.72
EIF1	1.66516666666667
RP5-1077B9.4	-0.790666666666667
FPGT	0.61525
GDF10	-0.659
COQ9	-0.66375
GCC2	-0.548642857142857
RARRES3	2.997
PLXNA1	-0.4491
KIAA0100	-0.9867
PMF1	0.25625
FNDC1	5.73475
HS2ST1	0.01725
CRELD2	0.55875
C8G	-1.5895
CD82	1.0055
LIM2	-1.2205
UNQ6490	0.2895
MMP16	0.19925
DRD3	0.184
C5orf26	-0.38925
C11orf73	-0.9215
PTP4A2	0.169
OR4M2	0.896
HPCA	-0.521
SEC14L1	-0.844666666666667
CHFR	-0.44925
EMILIN1	1.46975
NDUFS4	-0.1485
COL18A1	0.7785
PDZD3	0.0973
C9orf16	0.399333333333333
ERBB2IP	0.0686666666666667
EMX2	1.76625
FUS	-1
TF	-3.5613
CLCN4	-0.739
CXorf56	0.011
C11orf72	0.2475
ELAC2	-0.7875
NPR1	-0.643
ASS1	-1.6625
USP42	0.1265
POLR2J	-0.444
SEC23IP	0.544333333333333
UQCRC1	-0.0365
LOC729603	-0.33975
C1orf71	-0.92
POLG	-2.3465
ADAM23	-3.03825
TFR2	-0.6935
RICTOR	-0.9609
MGC39606	0.337
C19orf55	-0.373375
SNAPC1	-0.9045
GNA11	1.100375
CCDC52	0.221166666666667
FSIP1	4.009
UPF3A	-0.698
IGSF11	-2.58233333333333
LAGE3	0.03925
CHST6	-0.77
UNC13B	0.18625
TTLL4	-1.370125
ZNF687	-0.162
SDC2	-0.655
COX7A2	0.511
LAMB4	0.1025
FAM24A	0.7535
LRRTM3	-0.076
GPHB5	0.634
OR4C13	0.416
EIF3EIP	-0.0108571428571429
HABP4	-0.032
TMEM125	1.58175
CNTN2	0.261
ASNSD1	-0.41525
FUT4	-0.280125
ACF	-3.13375
LOC158381	0.173
CDH8	-0.0055
AGPS	-1.77433333333333
C4orf18	2.510625
PECI	-0.8335
UNG	-0.3365
GSTP1	0.3725
DCUN1D5	-0.851
DKFZP564J0863	-0.2115
SLC9A3R1	1.074625
BCDO2	-1.520625
CHMP7	0.221875
REM2	0.244
DNHD1	-0.747
FKBP4	0.42175
ZNF350	1.847
MGC11102	0.440875
BST1	0.9345
KISS1R	1.7935
NCR2	0.223
DEFB125	0.6185
UBE2W	1.61925
KRT15	0.97325
C10orf99	0.6975
SCN11A	0.065
GFI1	-2
RDHE2	5.25766666666667
FHL1	-1.02433333333333
OSGEP	0.501833333333333
GATA1	-2.5475
SMC6	-1.39075
TTTY14	-1.52125
LPIN3	-0.3965
RPL4	-0.576
RBPMS	-0.0996
PRPF3	-0.6615
EMR1	-1.596
SPATA19	-0.30625
XCR1	0.688
IRX3	1.6989
RBM6	-1.445
KLF4	-0.7723
UNC5CL	-0.8355
SEBOX	0.682
BTK	-0.59525
KRCC1	0.3165
C6orf27	0.7245
SYTL5	-0.2785
PRND	1.061
LOC653319	-1.8935
PIGL	-1.48
HUS1	-0.777666666666667
SFRS6	0.1695
C17orf77	0.4685
UIMC1	-1.14466666666667
FXYD2	-1.6454
LOC283152	0.39725
ZNF667	-0.6865
ZCCHC12	-0.81125
TFEC	2.4218
ATP7B	2.35016666666667
POLD2	-0.537
RG9MTD1	0.086
ACOT2	-0.0965
HIST1H4I	0.00662500000000001
PPARGC1A	-2.1148
ETFA	-0.6298
POLRMT	-0.45125
ZNF146	-0.113125
MIA2	-1.801
KLHL6	-1.25583333333333
HOXB5	1.08625
NENF	0.5645
CUGBP1	0.4405
PRSS22	1.17366666666667
CASC4	1.4507
CUL4B	0.0352
CENPJ	-1.6757
PITX1	-0.256833333333333
FLJ31033	0.8185
CELSR3	-1.2145
ZNF568	0.41225
ITSN1	-0.28325
EHBP1L1	-0.493
C19orf2	-0.451
DCTN1	0.50075
LIN28B	-2.90516666666667
TNKS2	-0.117
C1QBP	-1.21575
CADPS2	0.15525
SRMS	0.0655
GJA9	0.454166666666667
MGC24975	-0.702
TRIM45	-0.8395
TSP50	-0.585
TCP1	-0.95275
TMED7	0.287
CMA1	-0.0165
CENPL	-0.440166666666667
PTCRA	0.1445
FST	-2.80925
VWCE	-3.42225
PAWR	0.6445
ABCC12	0.3572
LDLR	0.5702
ASTN2	0.3427
LOC441212	-0.73475
GPATCH8	-0.1595
TANC2	1.77075
KIF4A	-0.715
C18orf18	-0.73475
PGM1	-1.321
KIAA0258	0.55875
CPD	0.308875
SNCAIP	-1.2885
DCT	-3.452
HLA-DOA	2.88109090909091
OR11L1	0.682
UPK1B	-0.5675
DNAJB4	-0.62725
UGT1A8	-0.00975
HIST1H4L	-0.228
PECR	-1.68866666666667
HSPA2	1.9925
WFIKKN1	0.1035
SERP1	0.554625
SYDE2	0.80725
TACR2	0.772
NUP85	-1.099
CD177	-1.048
LGR5	-1.70383333333333
PIGG	-0.417
PTHR1	-0.613666666666667
RAB5A	-0.0986
FLJ13224	-0.072
USP9Y	-1.1365
C7orf53	-1.8595
LRP1B	-0.96125
XAF1	1.7067
ABCG8	0.333
ANKDD1A	-0.6605
DAND5	-1.9805
SPAG6	2.559
LINCR	0.679
ZDHHC22	-0.767875
CCDC60	-0.19
THOC7	-1.846
TCTA	0.9305
OR8K3	0.3955
NY-REN-7	-0.5045
B2M	1.62316666666667
C6orf141	-0.561125
LPPR4	1.5935
SQLE	-0.399
SEPHS1	-0.24925
BTBD14B	0.597071428571429
PLRG1	-0.37675
SPG7	-0.7766875
ZNF614	-0.0305
PARD6G	1.45733333333333
INPP5B	-0.6583
GRPEL2	0.057625
PPID	-0.7166
TRIM56	-0.83925
UBE2J1	-0.146625
IL20RA	5.3875
LOC387856	0.50925
C1orf107	-0.0361666666666667
UTS2R	1.50025
C19orf22	0.72975
SAFB2	-0.019
KIAA0652	0.509125
KLRG1	-1.05583333333333
MS4A8B	0.366166666666667
FRAG1	-0.18475
KIAA1546	0.3905
E2F4	-1.3667
CLEC4M	0.757166666666667
BTBD14A	-0.816
KIAA0999	0.1801
GYPA	-2.99033333333333
TAC1	2.0279
TRAIP	-1.48633333333333
KIAA0232	0.6504
ERCC8	-0.90775
GPX4	0.144375
KIAA0368	0.34425
GPR157	-0.358833333333333
CTAGE4	0.1565
C9orf30	-0.6225
OR52A1	0.0145
HSP90B3P	-0.1805
ALG9	-0.8712
BTBD10	-0.07475
SDK2	0.75575
BAIAP3	-1.9065
RABGGTB	-1.930875
ANKRD40	1.51483333333333
KRT74	0.12
CALCOCO2	2.83614285714286
SNCA	-2.88875
TMSL8	-3.435
C2orf53	0.496
ESRRB	-0.223
ARHGAP26	-0.93875
TDRD9	-2.7805
HRAS	0.837
KLRC4	-2.1315
JAGN1	0.129666666666667
BSDC1	0.1325
RNF43	0.5224
NDUFAF1	0.44075
PHF12	0.77675
OR1L3	0.5245
FOLR2	2.24658333333333
LYZL6	0.451166666666667
tcag7.1260	-1.5335
WSB1	0.800166666666667
PROS1	-0.8174
OSTN	0.816
PSMB8	1.23425
SOCS4	-0.469625
DDIT4L	0.196
MAS1	0.446
MGC34796	0.77275
CSHL1	0.2975
TBCCD1	0.425833333333333
ZBTB7C	0.4765
AP2S1	0.185625
P15RS	0.5633
VAT1	-0.6812
SHANK3	1.03783333333333
TUFM	-0.256166666666667
THEG	-0.43425
KRT34	-1.912
SGSM3	0.714125
TOMM22	-0.108625
SOCS3	1.17366666666667
CPO	0.285
POP4	0.22675
BHLHB3	1.59125
MALL	1.11875
OR1B1	0.349
PARK2	0.393333333333333
GPR124	0.806375
LCE1E	0.5625
RUVBL2	-0.2375
CGRRF1	0.5532
ACPL2	-0.2715
WNT10B	-1.5785
BAIAP2L2	-1.890625
ISCA1	0.273
C1orf125	-0.445125
RPAP1	-0.825
RAI16	-0.921833333333333
RPL27	-0.8375
NLRP9	0.357
EPN1	0.678
LOC388610	-2.106125
SLC35A1	-0.2107
GAL	-3.77575
SLC14A2	0.11925
RDH11	-0.572666666666667
FAM138F	0.294
AUH	-0.4705
FLJ40243	0.092
C14orf129	0.584166666666667
MBD2	-0.136666666666667
ABHD14B	-0.179875
PIGT	-0.1305
ALS2CR4	-0.06175
ALAS1	0.0101
FOXO1	1.824
CRLF3	-0.90775
C20orf107	0.604
FARS2	0.80525
CCDC28A	0.31575
NPHP3	-1.15275
OR13F1	0.377
TSEN54	-1.22125
DEFB106B	0.0507777777777778
OR8B4	0.7745
STH	-0.52925
ZC3H14	-0.181875
CBX2	0.217
TMEM49	-0.01125
C6orf21	0.49
FLJ20920	1.02
CRTAP	-0.0242857142857143
DDX50	-0.17025
STYXL1	0.3645
BLVRB	1.06583333333333
LOC147650	-1.16833333333333
MMP24	0.40325
GRID1	1.97966666666667
BANF1	-0.118666666666667
CTAGEP	0.4405
HMBS	-2.24025
SLC25A24	-0.259666666666667
C14orf50	0.6335
MRO	0.737666666666667
SLC25A15	-1.5765
FAM84B	2.1435
TDP1	-0.92
C16orf78	0.00800000000000003
C11orf57	-0.33925
RFK	-0.542625
ZFYVE9	-0.37325
STCH	0.1515
WIBG	-0.0745
LOC283871	-0.389333333333333
GBA2	-1.2585
NDUFB3	-0.436
HSD17B13	-0.38125
GRIN3A	1.87083333333333
FMNL1	-0.588166666666667
SEPT7	-0.4817
GNLY	3.1715
GRAMD1C	0.758666666666667
ZNF165	0.0665
USP38	0.62
FAM83A	-2.828
C14orf24	1.08625
ARMCX3	0.844125
ARHGDIB	0.0233333333333333
AK1	-0.385
KIAA1045	-1.01375
DNAJB13	-0.386166666666667
NEU2	0.1885
HIST1H4B	0.325166666666667
FAM20B	-0.7557
HES2	1.78935714285714
FAM73B	-0.973
LOC388381	1.226
INTS7	-0.298636363636364
AMPH	1.34625
ZNF775	0.58575
UCKL1	-0.1405
C10orf97	0.4115
C1orf161	0.674
ALDH1L1	-1.54375
FLJ39378	4.16333634234434e-17
SLC23A1	-0.3015
RBM4B	-0.06375
THAP4	0.383333333333333
OGFRL1	0.3775
KIAA0831	-0.081125
PPP1R15A	0.249166666666667
C1orf96	-0.221714285714286
C12orf11	-1.9165
BMF	1.440375
MAN1A1	0.8365
KIAA1600	1.10566666666667
NLGN4X	-0.646
ALOX12	-1.1785
RB1CC1	0.2164
NEIL2	1.2291
EIF4E	0.181954545454545
ABHD5	-0.5365
EXOC4	-0.283833333333333
CIP29	0.155833333333333
BATF2	1.9485
SLC29A4	-0.130625
HTR4	0.39425
EMB	-0.074
TRAF6	0.60525
LMNB1	-0.6875
FAM19A5	-0.512375
SHE	0.552
PIK3C2B	0.2455
C15orf15	0.1932
USP15	0.2688
TCEAL2	0.88575
C5orf39	-0.5015
PTGER2	-1.06625
SLC31A1	-0.230625
IFT172	-0.24775
ADAM29	0.18025
GFOD1	0.1585
ST7L	-0.106833333333333
C15orf26	-3.20675
PKN3	-1.23175
CNTD1	-0.319833333333333
COMMD1	0.3715
NTRK2	1.44983333333333
FOXN3	0.47
MFGE8	0.3349
PFKFB2	0.3025
TAS2R4	-0.42175
ENTHD1	2.57483333333333
PRMT5	-0.45425
MGC16384	-1.666375
LOC442229	-0.4175
TSKU	0.529
KRTCAP3	3.050875
PDLIM1	2.0622
KCNS2	0.54
RNF126	0.0373333333333333
CEP63	-0.306875
CLIC4	1.48475
hCG_1990170	-0.16325
ACR	0.111
KLK7	2.17125
ALOX5AP	3.315625
RIPK3	4.79625
TAS2R9	0.3915
C19orf18	0.7955
BIRC6	-0.514714285714286
ZNF16	1.846
RFT1	-0.56725
SLC8A2	-1.0265
TACC1	0.681625
ITGAD	1.06875
SAMHD1	0.8265
SH3PXD2B	1.8796
EPC2	0.9505
C20orf85	0.224625
ATP13A2	0.3825
KRT4	0.45925
CAPNS1	0.71675
MDM2	-0.218416666666667
PCDH20	0.77125
KCNK9	0.38
OR2C1	0.2635
KLHDC3	-0.583666666666667
IPPK	0.207
EFHD2	0.736125
GALR3	1.61425
NBEA	1.05066666666667
ABCA6	1.9097
CLDN3	1.10533333333333
AKT2	-0.678785714285714
EGFR	-0.679
RBM16	0.382625
ZDHHC3	0.8778
SLC25A4	-0.129166666666667
CYB5B	-1.19433333333333
CPXM1	0.9145
NDRG1	0.466692307692308
FLJ43826	0.2055
OR5L2	0.123833333333333
FARP2	0.7231
MRPL46	-0.24175
LDHAL6B	-0.261166666666667
MAPKAPK3	-0.821333333333333
NCAM2	-0.19775
PRKD2	0.818666666666667
ZFP36L1	1.3617
CYSLTR1	-0.823
OR4C3	0.61325
HIST1H2AJ	1.117
CCNB2	-1.24722222222222
ZNF10	-0.672375
TMEM175	0.7425
FAM134A	0.675333333333333
TIGD4	-0.6115
PCNP	-0.15475
MGC39715	0.1715
LQK1	-1.9145
CREB1	0.7027
TMPRSS3	-1.1995
C4orf32	1.704375
LAT	-1.63383333333333
KCNA3	-0.493
SKIV2L2	-0.62225
ROPN1B	-2.24575
tcag7.23	-0.318
CDT1	-2.615
ZHX2	1.48175
CD28	-3.16925
ZNF624	0.6525
SEPT2	-0.04825
SOHLH2	-1.214375
MCOLN3	-0.31625
UNQ1945	0.9015
MASP2	-1.0815
ZNRF3	0.1759
GPATCH3	-0.479
AGL	0.73625
QRICH2	0.0045
PSD4	0.852
CCNB1IP1	-1.3965
ENPP7	0.405
OBFC1	0.426
KCNG3	-2.2325
C14orf79	0.81675
ENPEP	1.86483333333333
SCT	2.571
SKI	1.444375
SEC61G	0.35125
CAPN11	0.08975
ATXN7L3	-0.37275
DBNDD1	-0.124833333333333
FAIM	-0.011
ANKRD36	-0.574
GABRP	1.29883333333333
TACSTD2	1.32033333333333
EIF3J	-0.3575
PPP2R2A	-0.23025
TEKT4	-0.497666666666667
PVALB	2.09466666666667
F10	-1.81983333333333
FAM134C	0.6922
COMP	4.965625
EFCBP1	-2.30525
SCLT1	0.38025
TAL1	-1.193
ACSL1	0.10475
ABCC5	0.701583333333333
ABL1	-0.150222222222222
RBBP7	-0.57725
PTPRG	-0.195375
NCOR1	-0.5684
SPINK4	-2.173
TXNRD1	-1.1576
TNRC15	0.7205
C9orf138	0.2615
UBE2H	0.618
BRDT	0.923
C8orf31	-0.01875
CCNE2	-0.412454545454545
SLC6A8	-0.85375
CALCR	-3.50125
PPP1CB	0.665583333333333
ABHD8	0.23775
ARF5	0.2511
SLC24A4	0.8395
CCT3	-0.4165
ZNF121	0.086
SLC3A2	0.4375
OR13A1	0.601
SLC5A10	-0.062
RAD50	-1.05
IER5	0.487125
MTHFD1L	-1.758125
MBTPS2	0.2205
MVK	-0.48625
NCL	-0.0246
PSMD10	-0.2085
MOBP	0.355875
FLJ32894	-0.3535
HRH1	0.7995
C5orf30	1.15625
NUDT16L1	1.0451
RASGRP3	3.03866666666667
PRKRIP1	-0.9408
CCDC75	0.2365
LOC253970	-0.16675
KIAA1239	0.11625
MED21	-0.50575
SYT11	0.797166666666667
NTSR2	-0.4945
EGFL11	0.593
CXorf59	-0.0705
OR2A25	0.73075
SPTBN2	-0.14725
LRMP	-1.81366666666667
RNF111	0.06275
PTH	-0.3925
LOC619208	0.648666666666667
KIAA0895	-0.37675
RANBP5	-1.05125
P2RY10	0.547666666666667
NME5	3.60366666666667
DDX21	-1.45825
LRSAM1	0.089
HDAC11	1.3305
VMO1	2.69075
NOLA2	-0.0481666666666667
ADAR	0.29475
MTO1	-1.42733333333333
SF4	0.2025
P2RX1	-0.429666666666667
HBM	0.40075
EN2	1.7965
C14orf172	-0.157
TM9SF2	0.6677
INHBE	-0.8905
TCTE3	-0.0573333333333333
TOX2	-2.855
CTAGE3	0.810625
HBB	4.3457
MED15	-0.300833333333333
CASR	0.18875
C6orf66	-1.55783333333333
MTPN	-0.277125
UNC50	-0.48725
C21orf33	-0.648375
IRF2	1.017875
PGR	0.184833333333333
GPR84	3.759
CROCCL1	-2.84
SRPX	-0.44
BRE	0.189666666666667
FGF10	0.78425
SDC3	0.611666666666667
ZRSR1	0.119
DKFZP434P211	-0.55225
SOX6	0.053
RPUSD2	0.00625
C14orf173	0.0930833333333334
MAPK11	-0.291833333333333
TBC1D22A	1.1085
FAM123A	2.528
COL4A6	1.361
TOMM70A	-0.088
NAB1	-0.347875
MGC16385	-1.009125
TSPAN18	0.212333333333333
MED31	-0.1025
PLG	-0.1415
CAPSL	0.93
ZNF532	0.5606
ASB14	0.27975
CA8	-0.07225
NUDT16P	-0.250166666666667
SLFN11	-0.195
LRRIQ2	-0.00100000000000002
NOL7	-0.2425
BRMS1L	-0.79925
JARID1A	0.277
PANK2	-0.45575
ICAM3	-0.696
MDS1	-0.59875
TAF8	-0.95175
RNF139	1.13225
ZNF594	-0.921333333333333
ADAM8	2.862375
SFTPC	-0.00237499999999999
MAN2B2	1.59875
RGS12	0.9228125
EIF1AY	-4.16925
LRRIQ1	-1.92366666666667
GPR150	1.6825
CCDC21	-1.22266666666667
PRRG3	0.31175
SAA4	-3.1205
RAPGEF5	1.143875
ZCCHC2	0.24775
MGC39372	0.3
PPP4R2	-0.247
CDCA2	-0.766666666666667
OR4D5	0.403166666666667
PTGFRN	0.9024
SIGLEC5	2.19
C19orf61	0.179
NMUR2	0.226
KIAA1586	-1.35333333333333
DAGLA	-0.8995
CHCHD6	-0.0925
GPR32	0.911
NEUROD6	0.388
SLC2A4RG	0.0113125
CA5B	-0.305
FBXL3	1.46825
MPHOSPH9	-1.62675
HMG2L1	0.6495
HCN4	0.971166666666667
CEACAM19	-0.24375
SH2D4B	0.113333333333333
HFE2	0.214
TGM4	-0.246833333333333
LYPD2	0.25
TBC1D15	0.0605
MRPS21	-0.6485
NONO	-0.7999
CLEC5A	1.961125
ITCH	0.00279999999999997
MGAT3	-1.21833333333333
MBP	-0.229375
RPP25	-1.2455
SOSTDC1	0.91375
HRC	-1.67275
TRIM48	0.194
TMEM133	-0.06475
ECEL1P2	-1.5795
HOXC11	0.5955
DOK5	-0.07875
HELZ	0.799666666666667
LOC348180	-0.59575
MGC33894	-0.03625
ADRB3	0.451
DMD	-0.350916666666667
PTRH2	0.65575
MPEG1	3.14083333333333
NDUFA12	0.257333333333333
KRTAP2-4	0.343333333333333
STAMBPL1	-0.970666666666667
ADCY2	0.489
UNQ6125	-0.0245
KLHL20	0.1625
SRM	-1.25225
OTC	-0.03725
TMIE	0.192166666666667
SNX8	0.19675
LIPK	0.374
CHURC1	0.53925
KLC2	0.283166666666667
HDAC1	-1.57266666666667
FAM128A	0.714833333333333
FNDC3B	-0.2087
MTCP1	-0.116833333333333
WFDC10B	0.4504
PCDHGB3	0.69
ATRNL1	-1.3841
CAV2	-0.682625
MED26	0.1745
DUS1L	-0.60025
CHRM3	-1.779
NEK9	-0.09175
WARS2	0.14825
TBX22	-0.0885
TOMM40	-0.8225
RP6-213H19.1	-2.3955
TUBGCP5	-0.452
IGSF6	5.03725
TPPP	0.432166666666667
UNQ6190	-0.382
GSTM5	0.650875
BTD	0.640166666666667
PDCD1LG2	0.924
SNRPB2	-0.265666666666667
ERICH1	-0.468125
APOA4	-1.236375
HOXA11	-1.564
NARG1	-0.276
MKX	-0.15275
RAB28	-0.356714285714286
PKP3	0.2525
SH3GL2	-1.99175
CTSO	3.358
RPN2	0.7224375
IL28RA	0.0345
SFMBT1	-0.40225
WDR57	-0.676625
FER1L3	1.00816666666667
HSF5	0.046
TTC9B	0.6
C4BPA	-3.853
ALB	-4.10057142857143
SORBS3	0.27
UPF2	-0.6125
JPH1	-0.7975
AGBL2	-1.16425
DOPEY1	0.7415
TERF1	-0.137083333333333
KIF22	-0.218333333333333
NINJ1	1.30875
SEC61A2	-0.92075
HIST1H1D	1.582
SFXN4	0.094125
UCP3	0.4151
ZNF703	1.44933333333333
MYL6B	-1.2415
TREM1	3.41675
OR52E6	0.501
CKMT2	1.70175
HLA-C	2.338625
SLC13A3	-1.76166666666667
TIMP4	-1.95175
SLIT2	2.064
RSF1	-0.511444444444444
LONRF1	-0.595285714285714
MON1A	-0.509
CACNG6	-0.4035
DPPA4	-4.7265
ZSWIM3	-0.581
ZNF804A	0.322333333333333
CCIN	1.05975
SLC25A31	-0.27275
KCNMB4	0.56625
RABL5	0.340375
GALNS	-0.3807
STX6	0.831875
HIST1H1C	1.41566666666667
CIDEB	-1.16
CASP4	0.350166666666667
PDK3	-0.1347
KCNJ11	0.1875
TPR	-0.793
ZSCAN20	-0.434
MTX2	-0.15675
HIST1H2BH	1.67075
LOC283767	0.4035
LYRM7	-1.87872222222222
BRD3	1.08033333333333
HIST1H2BO	1.0605
MAGEB10	0.181
SLC45A1	0.41225
SERPINA3	2.40765
KIAA0143	1.271
KCNJ16	0.0243333333333333
KRT79	0.44925
FABP2	-0.82
NUT	-0.501
ZNF57	0.246
FBXL4	0.23925
CLEC9A	0.386
UGT8	-1.06716666666667
BMP2K	0.238
MAPK4	-3.03875
SLC25A23	-0.5582
HINT1	-0.1042
KRTAP13-1	0.5185
SFXN5	-0.6714
CHCHD2	0.285416666666667
FAM3D	0.972
NDP	2.23725
RHOBTB1	0.351
SLC4A4	-1.910375
RPL38	0.03575
HTF9C	-0.600333333333333
AP2A2	0.278625
ZBTB46	-0.395
MAP7D1	0.242
AOX1	-2.15966666666667
CYR61	1.30233333333333
DTNA	0.847071428571429
JRKL	0.0055
TMOD3	-0.218
EEA1	-0.4232
ADCK5	0.12125
IL1R1	1.30816666666667
KLK3	0.825571428571429
HRSP12	-0.1875
KTN1	-0.569
LOH11CR2A	1.8875
RELL2	-1.8725
MAB21L1	1.01625
C20orf59	-0.795666666666667
PHKB	-1.32625
ADAM2	-0.808666666666667
TBC1D8B	0.891333333333333
FAM13A1	-1.2290625
LAPTM4B	-1.02758333333333
LCN8	0.1675
TMEM147	0.5615
SYT4	0.2226
XPO7	-0.651
C9orf62	2.05025
GPR75	-0.084
TRIM5	0.329875
APOC1	0.0153333333333333
RNASE4	1.0725
PARD6B	-2.989
ARID1A	-0.12725
TPD52L3	0.295
RRAGB	0.160166666666667
RCN2	-0.778
HIST2H2BE	1.8213125
STARD7	-0.4565
SHMT2	-0.64775
KIAA1751	-0.193333333333333
MLYCD	-0.232875
LOC162632	-0.4161
UQCRH	-1.9825
RP11-217H1.1	0.7075625
SDHA	-0.734
NCLN	0.0266999999999999
ZNF17	0.206833333333333
RCBTB2	-1.4035
VEGFB	0.0843
RP4-747L4.3	-0.1225
COLQ	-0.0778
MPN2	-1.07866666666667
DRG2	0.459
KLRB1	4.445
ALPK2	-0.93575
DNASE2B	2.94825
FLJ23834	-0.342
AXUD1	0.850833333333333
SAFB	0.1658
NSUN4	-0.6285
RFX2	0.595
MAPK8IP1	-0.612833333333333
FANCD2	-0.938857142857143
ANKZF1	-0.926
C19orf50	-0.408875
DUSP8	0.4525
SENP5	-0.24325
NFKBIL2	0.1215
LBR	-1.7645
IGFL1	1.1785
LZTS2	0.175875
IL2RG	-0.218625
CCDC51	-0.79575
KLF3	0.27425
ANKRD37	0.6135
KCTD14	-1.08983333333333
FZR1	0.556666666666667
SLC44A4	4.4072
ESPL1	-0.519
GMPR2	-0.5804
TBC1D19	-0.955333333333333
ERGIC1	0.760888888888889
ERBB4	1.1089
TSPAN32	-0.0590833333333333
MAP4	-0.054
GPHN	-1.07975
SLC6A2	0.046125
HIVEP1	0.44575
DFFB	-0.653
EIF4EBP2	0.4705
DMRT1	-0.0415
HSPB6	-0.1375
IER2	0.8445
AIFM1	-0.68
WWC2	0.559
MRPL4	-0.431
FLJ21062	-0.386
EPB41L4A	0.825
SH2D6	0.36225
TAF4B	-0.82525
GAL3ST3	0.141
MALT1	-1.61483333333333
RTDR1	1.71625
ARVCF	-0.457
MEX3B	-0.1225
FBXO16	1.4075
KIF7	-0.475
C1QC	4.56033333333333
ZNF783	-1.10533333333333
ZNF85	0.8605
MMP13	5.513
KIAA0329	0.226375
RTP3	-0.447
ZBED3	-1.07875
CLGN	-0.42925
SLC25A37	-1.104375
hCG_18290	-0.3135
OR5AS1	0.3925
SMARCC2	0.44925
FAM109A	0.400833333333333
CCDC12	-0.61825
USF2	0.4625
DEPDC7	-1.29425
C20orf24	-0.585
JMJD3	-0.0565
DSP	1.018
SLIC1	0.560625
FAM20A	2.110375
IRF2BP2	-0.044375
ZNF230	0.052
MSN	-0.409142857142857
SLC9A5	-1.5865
EPDR1	-1.4853
MUSK	0.505833333333333
ZNF434	0.0433333333333333
SMARCD1	-0.502333333333333
ZFP106	-0.8195
ZNF347	-0.1106
