Hybridization REF	TCGA-A8-A07L-01A-11R-A040-07
SELL	0.111375
OR8J3	0.4035
LTBP4	-0.681
SIRT6	-0.34775
CCL19	2.723
PPIL1	-0.1505
GBP7	0.144333333333333
STK17A	-1.0773
ABR	0.00925
OR9G1	0.836
FOXE1	-0.5365
CNGA3	0.031
GML	0.294
CD38	-4.014
ZDHHC6	-0.00566666666666666
NEFH	-2.5235
CTDSP2	0.796416666666667
PGBD5	-2.44483333333333
CCNY	-0.343142857142857
RMND5B	1.04908333333333
ZNF257	-1.18075
FLJ22167	-0.273375
EXOSC7	-0.626166666666667
ROR2	2.08525
MAOA	-1.24925
TNNT3	0.662333333333333
GYPC	-1.28125
C7orf33	0.3665
PLIN	0.425333333333333
LOC90826	-0.03225
RNF4	0.6661
F8A1	0.768333333333333
PLEKHG4	0.0775
GRB2	0.37015
HIST1H2AD	0.9795
DUS3L	-0.9105
EIF1	0.186666666666667
RP5-1077B9.4	-1.05066666666667
FPGT	0.651
GDF10	-0.8665
COQ9	-0.50575
GCC2	-0.430642857142857
RARRES3	1.87475
PLXNA1	0.3978
KIAA0100	0.4599
PMF1	0.40375
FNDC1	5.16525
HS2ST1	-0.520833333333333
CRELD2	1.10925
C8G	-1.5185
CD82	0.27575
LIM2	-1.5255
UNQ6490	-0.085
MMP16	1.38525
DRD3	-0.2535
C5orf26	-0.35925
C11orf73	0.281625
PTP4A2	0.528625
OR4M2	0.423
HPCA	-0.9205
SEC14L1	-0.251
CHFR	0.603125
EMILIN1	1.378875
NDUFS4	-0.2165
COL18A1	0.280125
PDZD3	0.0712
C9orf16	-0.286666666666667
ERBB2IP	0.0445
EMX2	4.31075
FUS	-1.12225
TF	-4.0978
CLCN4	-0.264166666666667
CXorf56	0.269
C11orf72	0.0335
ELAC2	-0.72525
NPR1	-0.66625
ASS1	-0.668833333333333
USP42	0.28675
POLR2J	-0.0535
SEC23IP	-0.640166666666667
UQCRC1	0.33925
LOC729603	-0.67925
C1orf71	-1.065875
POLG	-0.301
ADAM23	-3.53875
TFR2	0.2455
RICTOR	-1.1796
MGC39606	0.28625
C19orf55	-0.310875
SNAPC1	-1.134
GNA11	0.457375
CCDC52	0.976
FSIP1	-0.248
UPF3A	-1.329875
IGSF11	-2.33566666666667
LAGE3	1.18575
CHST6	-0.7905
UNC13B	-0.100125
TTLL4	-1.493625
ZNF687	1.273
SDC2	-0.1407
COX7A2	-0.49025
LAMB4	-0.403
FAM24A	-0.787
LRRTM3	-0.755666666666667
GPHB5	0.05925
OR4C13	0.435
EIF3EIP	-0.284785714285714
HABP4	0.128
TMEM125	3.2955
CNTN2	-0.08275
ASNSD1	0.16075
FUT4	-0.582875
ACF	-3.9145
LOC158381	0.326
CDH8	-0.15525
AGPS	-0.769833333333333
C4orf18	1.38275
PECI	-0.0693333333333333
UNG	0.4605
GSTP1	-2.77225
DCUN1D5	-1.05933333333333
DKFZP564J0863	-0.2525
SLC9A3R1	3.24925
BCDO2	-1.531375
CHMP7	-0.376125
REM2	0.3415
DNHD1	-0.582375
FKBP4	1.325625
ZNF350	2.29425
MGC11102	0.3875
BST1	0.386
KISS1R	0.808
NCR2	0.0555
DEFB125	-0.2965
UBE2W	1.72775
KRT15	1.567625
C10orf99	0.392
SCN11A	0.048875
GFI1	-3.38625
RDHE2	-0.780166666666667
FHL1	-1.43716666666667
OSGEP	-1.69633333333333
GATA1	-3.77466666666667
SMC6	-1.387
TTTY14	-1.384
LPIN3	0.15525
RPL4	-0.1794
RBPMS	-0.483
PRPF3	-0.0398333333333333
EMR1	-2.6925
SPATA19	-0.21
XCR1	0.6155
IRX3	1.7604
RBM6	-0.37575
KLF4	-1.5845
UNC5CL	-1.38375
SEBOX	0.1295
BTK	-1.16125
KRCC1	-0.02375
C6orf27	0.4545
SYTL5	-0.8845
PRND	2.58925
LOC653319	-1.1165
PIGL	-1.0735
HUS1	-0.113666666666667
SFRS6	0.44075
C17orf77	0.1105
UIMC1	-0.103666666666667
FXYD2	-1.8645
LOC283152	-1.281
ZNF667	-2.427
ZCCHC12	-0.26125
TFEC	2.2727
ATP7B	0.78
POLD2	-0.214
RG9MTD1	0.5415
ACOT2	-0.108166666666667
HIST1H4I	-0.728625
PPARGC1A	-2.5456
ETFA	-0.8602
POLRMT	-0.6185
ZNF146	0.0215
MIA2	-0.7615
KLHL6	-1.76533333333333
HOXB5	-0.783625
NENF	-0.588333333333333
CUGBP1	0.263
PRSS22	1.90583333333333
CASC4	1.2401
CUL4B	-0.3295
CENPJ	-1.5428
PITX1	-0.392666666666667
FLJ31033	0.600833333333333
CELSR3	1.238
ZNF568	0.8585
ITSN1	-0.929416666666667
EHBP1L1	-0.667
C19orf2	-0.21725
DCTN1	0.70925
LIN28B	-4.04233333333333
TNKS2	-0.64025
C1QBP	-0.394
CADPS2	0.9885
SRMS	1.09775
GJA9	0.028
MGC24975	-1.0005
TRIM45	0.0775
TSP50	0.024
TCP1	-0.36225
TMED7	0.4153
CMA1	0.141
CENPL	0.246666666666667
PTCRA	-0.316
FST	-4.5625
VWCE	-3.96975
PAWR	-0.418
ABCC12	0.0171666666666667
LDLR	-0.969
ASTN2	2.0292
LOC441212	-0.52025
GPATCH8	-0.22175
TANC2	0.450083333333333
KIF4A	-0.23425
C18orf18	-0.17225
PGM1	-0.30775
KIAA0258	1.268
CPD	1.24475
SNCAIP	-1.35725
DCT	-4.50816666666667
HLA-DOA	2.25318181818182
OR11L1	0.3095
UPK1B	-0.631333333333333
DNAJB4	-1.3225
UGT1A8	-0.1685
HIST1H4L	-0.732
PECR	-0.197833333333333
HSPA2	-0.4025
WFIKKN1	-0.7765
SERP1	0.748875
SYDE2	0.5035
TACR2	2.2795
NUP85	0.399
CD177	2.39333333333333
LGR5	-2.12316666666667
PIGG	0.156916666666667
PTHR1	-1.67383333333333
RAB5A	0.0294
FLJ13224	0.145
USP9Y	-0.999333333333333
C7orf53	-0.8545
LRP1B	1.86775
XAF1	0.9681
ABCG8	0.2135
ANKDD1A	-1.00583333333333
DAND5	-2.541
SPAG6	1.45666666666667
LINCR	0.341
ZDHHC22	-2.002875
CCDC60	1.909
THOC7	-1.92716666666667
TCTA	1.3316
OR8K3	0.3515
NY-REN-7	-0.66725
B2M	0.382333333333333
C6orf141	-0.41825
LPPR4	1.438
SQLE	-0.006625
SEPHS1	-0.51
BTBD14B	0.356142857142857
PLRG1	0.3875
SPG7	-0.7565625
ZNF614	0.232166666666667
PARD6G	1.47933333333333
INPP5B	-0.2949
GRPEL2	0.089625
PPID	-0.273
TRIM56	-0.2575
UBE2J1	-0.655625
IL20RA	4.78525
LOC387856	1.11575
C1orf107	-0.0609166666666667
UTS2R	0.436
C19orf22	-0.2895
SAFB2	-0.59425
KIAA0652	0.925875
KLRG1	-1.699
MS4A8B	0.502
FRAG1	0.849
KIAA1546	-0.905
E2F4	-0.9842
CLEC4M	0.289
BTBD14A	0.65325
KIAA0999	0.6304
GYPA	-3.69466666666667
TAC1	0.7216
TRAIP	0.123833333333333
KIAA0232	1.4304
ERCC8	-0.694
GPX4	-0.123875
KIAA0368	0.413
GPR157	-0.650166666666667
CTAGE4	0.054
C9orf30	-1.07566666666667
OR52A1	0.1555
HSP90B3P	-0.0695
ALG9	-0.7235
BTBD10	0.793
SDK2	0.981
BAIAP3	1.444
RABGGTB	-0.221125
ANKRD40	0.935333333333333
KRT74	0.4425
CALCOCO2	1.3625
SNCA	-4.142
TMSL8	-0.632625
C2orf53	0.184
ESRRB	-0.6925
ARHGAP26	-2.009
TDRD9	-3.288
HRAS	1.62716666666667
KLRC4	-2.859
JAGN1	0.347833333333333
BSDC1	-0.219
RNF43	-0.1001
NDUFAF1	-0.9395
PHF12	0.54575
OR1L3	0.49475
FOLR2	1.32025
LYZL6	0.279833333333333
tcag7.1260	-2.278
WSB1	-2.53433333333333
PROS1	-1.4562
OSTN	0.4715
PSMB8	0.4155
SOCS4	0.274
DDIT4L	1.46175
MAS1	0.346
MGC34796	1.4895
CSHL1	-0.137333333333333
TBCCD1	-0.00416666666666667
ZBTB7C	0.496
AP2S1	-0.569625
P15RS	0.2935
VAT1	-0.8312
SHANK3	0.973333333333333
TUFM	-0.0075
THEG	0.00725000000000001
KRT34	-2.0835
SGSM3	0.4715
TOMM22	-0.5725
SOCS3	0.3265
CPO	0.5695
POP4	0.59425
BHLHB3	0.55275
MALL	1.00225
OR1B1	0.236
PARK2	0.718666666666667
GPR124	0.9625
LCE1E	0.5765
RUVBL2	-0.03725
CGRRF1	0.635
ACPL2	0.62
WNT10B	-1.424375
BAIAP2L2	-2.29775
ISCA1	0.2855
C1orf125	0.01175
RPAP1	-1.0675
RAI16	0.226166666666667
RPL27	-0.7855
NLRP9	-0.171
EPN1	0.525
LOC388610	-1.233125
SLC35A1	0.0829
GAL	-2.5965
SLC14A2	0.338
RDH11	-1.73583333333333
FAM138F	-0.3745
AUH	0.49375
FLJ40243	-0.00150000000000003
C14orf129	-0.301333333333333
MBD2	0.00216666666666661
ABHD14B	-0.388375
PIGT	0.288375
ALS2CR4	-0.6595
ALAS1	0.0788
FOXO1	0.099
CRLF3	0.0775
C20orf107	1.16
FARS2	0.7165
CCDC28A	-0.6705
NPHP3	-1.14675
OR13F1	0.41
TSEN54	0.2835
DEFB106B	0.3422
OR8B4	0.1505
STH	-0.106
ZC3H14	-0.61625
CBX2	-0.893
TMEM49	-1.09525
C6orf21	0.436
FLJ20920	0.037875
CRTAP	0.196428571428571
DDX50	0.08725
STYXL1	-0.884
BLVRB	-0.479166666666667
LOC147650	-0.582
MMP24	0.56575
GRID1	1.6005
BANF1	-0.1195
CTAGEP	0.109
HMBS	-2.17375
SLC25A24	0.636333333333333
C14orf50	-0.6705
MRO	1.2845
SLC25A15	-1.34125
FAM84B	2.1025
TDP1	0.6175
C16orf78	-0.0173333333333333
C11orf57	-0.730625
RFK	0.14275
ZFYVE9	0.388125
STCH	0.0745
WIBG	0.43975
LOC283871	0.784333333333333
GBA2	-0.3104
NDUFB3	0.05275
HSD17B13	-0.48075
GRIN3A	0.702833333333333
FMNL1	-1.63916666666667
SEPT7	-0.9503
GNLY	1.334
GRAMD1C	0.959166666666667
ZNF165	-0.06525
USP38	1.03475
FAM83A	-1.6
C14orf24	-0.3285
ARMCX3	0.386875
ARHGDIB	0.623833333333333
AK1	0.886875
KIAA1045	0.54675
DNAJB13	-0.210166666666667
NEU2	0.9505
HIST1H4B	-0.561666666666667
FAM20B	1.1674
HES2	-0.0255714285714286
FAM73B	0.2093
LOC388381	-0.84475
INTS7	-0.944181818181818
AMPH	2.94125
ZNF775	0.04925
UCKL1	0.2735
C10orf97	-0.3795
C1orf161	-0.33175
ALDH1L1	-2.002
FLJ39378	0.212125
SLC23A1	-1.3325
RBM4B	-0.18925
THAP4	-0.095
OGFRL1	-0.86875
KIAA0831	-0.18725
PPP1R15A	-0.696833333333333
C1orf96	-1.03471428571429
C12orf11	-1.952
BMF	1.071375
MAN1A1	-0.83075
KIAA1600	0.739666666666667
NLGN4X	-1.882
ALOX12	-1.918
RB1CC1	0.441
NEIL2	1.6614
EIF4E	-0.399181818181818
ABHD5	0.4145
EXOC4	0.110833333333333
CIP29	0.523666666666667
BATF2	-0.043
SLC29A4	-0.052125
HTR4	0.081
EMB	0.49525
TRAF6	0.57375
LMNB1	-0.87575
FAM19A5	-1.491875
SHE	1.3355
PIK3C2B	1.64825
C15orf15	-0.5897
USP15	-0.2606
TCEAL2	1.19175
C5orf39	-1.62
PTGER2	2.008
SLC31A1	-0.1040625
IFT172	0.593
ADAM29	0.22875
GFOD1	-0.7665
ST7L	-0.172333333333333
C15orf26	-2.6235
PKN3	-1.27425
CNTD1	2.06833333333333
COMMD1	0.3625
NTRK2	1.139
FOXN3	0.147125
MFGE8	0.0333
PFKFB2	0.426833333333333
TAS2R4	-0.397
ENTHD1	0.551333333333333
PRMT5	-1.004375
MGC16384	-1.36175
LOC442229	0.17125
TSKU	1.426375
KRTCAP3	3.718125
PDLIM1	0.3763
KCNS2	0.1815
RNF126	-0.572333333333333
CEP63	0.297625
CLIC4	-0.492625
hCG_1990170	-1.42325
ACR	0.2862
KLK7	0.27225
ALOX5AP	2.534375
RIPK3	2.9635
TAS2R9	-0.1995
C19orf18	1.1925
BIRC6	0.315357142857143
ZNF16	0.9795
RFT1	0.15475
SLC8A2	-0.42775
TACC1	1.61625
ITGAD	0.61925
SAMHD1	0.25825
SH3PXD2B	0.9446
EPC2	1.15175
C20orf85	3.125875
ATP13A2	-0.197666666666667
KRT4	0.446625
CAPNS1	0.33
MDM2	-0.2285
PCDH20	3.29625
KCNK9	1.1365
OR2C1	0.0835
KLHDC3	-0.0726666666666667
IPPK	1.446
EFHD2	-1.0615
GALR3	0.558
NBEA	0.316666666666667
ABCA6	2.4041
CLDN3	1.65983333333333
AKT2	-0.403785714285714
EGFR	-1.8748
RBM16	0.018375
ZDHHC3	0.1558
SLC25A4	0.4725
CYB5B	-0.777166666666667
CPXM1	-0.394
NDRG1	-0.747692307692308
FLJ43826	1.15925
OR5L2	0.188
FARP2	0.2888
MRPL46	0.1615
LDHAL6B	0.104833333333333
MAPKAPK3	0.769333333333333
NCAM2	0.51125
PRKD2	0.7485
ZFP36L1	-0.0717
CYSLTR1	-1.9115
OR4C3	0.3815
HIST1H2AJ	1.8765
CCNB2	-0.312444444444444
ZNF10	-0.2275
TMEM175	0.4125
FAM134A	0.6415
TIGD4	0.6375
PCNP	0.29525
MGC39715	-0.1265
LQK1	-2.55125
CREB1	0.3567
TMPRSS3	-2.66325
C4orf32	0.299125
LAT	-2.59166666666667
KCNA3	-1.0545
SKIV2L2	-0.412
ROPN1B	-3.08225
tcag7.23	-0.6635
CDT1	-1.39075
ZHX2	1.343
CD28	-3.177
ZNF624	0.728
SEPT2	-0.159833333333333
SOHLH2	-1.87725
MCOLN3	1.66125
UNQ1945	0.36
MASP2	-1.22
ZNRF3	0.3929
GPATCH3	-0.4575
AGL	0.3115
QRICH2	-0.2065
PSD4	0.559
CCNB1IP1	-2.3265
ENPP7	-0.037
OBFC1	0.0455
KCNG3	0.1615
C14orf79	0.141166666666667
ENPEP	2.22833333333333
SCT	0.851
SKI	-0.07825
SEC61G	-1.0585
CAPN11	0.0155
ATXN7L3	0.46025
DBNDD1	-0.172166666666667
FAIM	1.017
ANKRD36	-1.428
GABRP	0.460166666666667
TACSTD2	1.586
EIF3J	0.099
PPP2R2A	-1.065
TEKT4	-0.5385
PVALB	-2.28383333333333
F10	-2.3685
FAM134C	0.6544
COMP	4.0925
EFCBP1	-2.5678125
SCLT1	-0.3865
TAL1	-1.4733
ACSL1	1.30525
ABCC5	1.61941666666667
ABL1	-0.179833333333333
RBBP7	0.256333333333333
PTPRG	-0.832875
NCOR1	-0.1818
SPINK4	0.828833333333333
TXNRD1	-0.7777
TNRC15	-0.334625
C9orf138	-0.0585
UBE2H	0.972666666666667
BRDT	0.935166666666667
C8orf31	-0.1245
CCNE2	0.913545454545454
SLC6A8	-2.4435
CALCR	-4.28875
PPP1CB	0.227
ABHD8	0.303
ARF5	0.1686
SLC24A4	0.428
CCT3	0.58075
ZNF121	-0.517125
SLC3A2	-0.4732
OR13A1	0.8315
SLC5A10	0.01575
RAD50	0.492375
IER5	0.31575
MTHFD1L	-1.256
MBTPS2	0.08575
MVK	0.544375
NCL	-0.6762
PSMD10	0.276
MOBP	0.368625
FLJ32894	0.5155
HRH1	-1.55416666666667
C5orf30	1.005
NUDT16L1	1.1946
RASGRP3	2.7935
PRKRIP1	0.1104
CCDC75	-0.431
LOC253970	-0.2115
KIAA1239	-0.029
MED21	-0.02925
SYT11	0.0391666666666667
NTSR2	-0.113
EGFL11	0.1
CXorf59	1.379
OR2A25	-0.04975
SPTBN2	-0.1725
LRMP	-2.20033333333333
RNF111	0.12125
PTH	0.5845
LOC619208	0.254333333333333
KIAA0895	0.0875
RANBP5	-1.61625
P2RY10	-0.666666666666667
NME5	2.101
DDX21	-0.4005
LRSAM1	0.8675
HDAC11	2.2595
VMO1	1.499
NOLA2	0.307
ADAR	1.15675
MTO1	-1.4715
SF4	0.553833333333333
P2RX1	-0.294666666666667
HBM	0.2125
EN2	0.618
C14orf172	0.6505
TM9SF2	-0.3256
INHBE	-1.48483333333333
TCTE3	0.0261666666666667
TOX2	-3.941
CTAGE3	-0.077375
HBB	2.6264
MED15	-0.661333333333333
CASR	0.23825
C6orf66	-0.857
MTPN	-1.005
UNC50	0.44025
C21orf33	-0.316875
IRF2	0.84575
PGR	0.581833333333333
GPR84	1.31525
CROCCL1	-2.374
SRPX	-1.74275
BRE	0.469166666666667
FGF10	1.17975
SDC3	-0.526333333333333
ZRSR1	0.403
DKFZP434P211	-0.538125
SOX6	-0.1755
RPUSD2	-0.5695
C14orf173	-0.09475
MAPK11	-0.522666666666667
TBC1D22A	0.011
FAM123A	0.902
COL4A6	-3.799
TOMM70A	0.77075
NAB1	0.2335
MGC16385	-0.022625
TSPAN18	-0.6805
MED31	-0.12975
PLG	-0.20625
CAPSL	3.27
ZNF532	1.0831
ASB14	0.41
CA8	0.44225
NUDT16P	-0.1545
SLFN11	-1.6875
LRRIQ2	0.51625
NOL7	-0.064
BRMS1L	-1.29025
JARID1A	0.765
PANK2	-0.98525
ICAM3	-0.986
MDS1	0.562
TAF8	-1.221
RNF139	1.05675
ZNF594	0.287
ADAM8	1.321875
SFTPC	-0.1985
MAN2B2	1.6535
RGS12	0.73
EIF1AY	-4.87025
LRRIQ1	-0.596833333333333
GPR150	0.52375
CCDC21	-0.788833333333333
PRRG3	0.25175
SAA4	-4.18325
RAPGEF5	1.646375
ZCCHC2	0.776833333333333
MGC39372	1.6085
PPP4R2	-0.306833333333333
CDCA2	-1.788
OR4D5	0.504333333333333
PTGFRN	1.6384
SIGLEC5	1.2905
C19orf61	0.437166666666667
NMUR2	-0.2555
KIAA1586	-0.342833333333333
DAGLA	1.5025
CHCHD6	0.86
GPR32	0.5995
NEUROD6	0.0941666666666666
SLC2A4RG	1.49075
CA5B	0.62625
FBXL3	0.08725
MPHOSPH9	-0.4125
HMG2L1	0.7335
HCN4	0.377
CEACAM19	-0.109
SH2D4B	0.432333333333333
HFE2	-1.001
TGM4	0.9625
LYPD2	-0.32425
TBC1D15	0.1605
MRPS21	-1.67
NONO	-0.4206
CLEC5A	0.910375
ITCH	0.2995
MGAT3	-1.53566666666667
MBP	0.140125
RPP25	-1.6065
SOSTDC1	-2.41475
HRC	-1.51525
TRIM48	0.2325
TMEM133	-0.44525
ECEL1P2	-1.19625
HOXC11	-1.0725
DOK5	-1.1285
HELZ	0.458333333333333
LOC348180	-0.65175
MGC33894	0.30425
ADRB3	0.179
DMD	-0.811916666666667
PTRH2	-0.29925
MPEG1	2.31716666666667
NDUFA12	-0.140333333333333
KRTAP2-4	0.0409166666666667
STAMBPL1	-1.0955
ADCY2	0.6045
UNQ6125	0.1285
KLHL20	0.131166666666667
SRM	-1.046
OTC	0.1335
TMIE	0.546
SNX8	0.79625
LIPK	0.6565
CHURC1	-0.27325
KLC2	0.328166666666667
HDAC1	-0.257
FAM128A	0.594166666666667
FNDC3B	0.0402
MTCP1	-0.216
WFDC10B	-0.2395
PCDHGB3	0.1985
ATRNL1	0.5326
CAV2	-0.56225
MED26	0.419666666666667
DUS1L	1.0995
CHRM3	-2.0605
NEK9	0.23325
WARS2	-0.04025
TBX22	-2.3485
TOMM40	-0.18375
RP6-213H19.1	-0.7665
TUBGCP5	-0.955
IGSF6	4.6825
TPPP	0.948833333333333
UNQ6190	0.385
GSTM5	1.4955
BTD	-0.631666666666667
PDCD1LG2	-0.268666666666667
SNRPB2	-0.7675
ERICH1	-0.038125
APOA4	-1.681125
HOXA11	-2.1675
NARG1	0.14325
MKX	0.4435
RAB28	0.668214285714286
PKP3	1.846
SH3GL2	1.313
CTSO	3.97175
RPN2	0.26125
IL28RA	0.458666666666667
SFMBT1	0.28325
WDR57	-0.48825
FER1L3	0.932583333333333
HSF5	0.0683333333333333
TTC9B	1.06325
C4BPA	-4.41783333333333
ALB	-4.18692857142857
SORBS3	0.2815
UPF2	0.392
JPH1	1.3145
AGBL2	-1.2945
DOPEY1	0.9395
TERF1	0.438583333333333
KIF22	-0.3525
NINJ1	1.74875
SEC61A2	0.384
HIST1H1D	-0.594166666666667
SFXN4	0.303
UCP3	-0.2602
ZNF703	2.61666666666667
MYL6B	-1.61175
TREM1	1.72675
OR52E6	0.6635
CKMT2	0.019
HLA-C	1.113125
SLC13A3	-2.67816666666667
TIMP4	-2.8775
SLIT2	2.199
RSF1	-0.193055555555556
LONRF1	-0.1535
MON1A	-0.0226666666666667
CACNG6	0.4955
DPPA4	-5.63216666666667
ZSWIM3	-0.59275
ZNF804A	0.7825
CCIN	1.063
SLC25A31	0.65925
KCNMB4	0.108
RABL5	0.79225
GALNS	-0.0203
STX6	0.38225
HIST1H1C	0.376833333333333
CIDEB	-1.161125
CASP4	-0.86
PDK3	0.6738
KCNJ11	2.319
TPR	-0.118125
ZSCAN20	-0.883
MTX2	0.08875
HIST1H2BH	0.12175
LOC283767	1.15225
LYRM7	-1.30905555555556
BRD3	0.574166666666667
HIST1H2BO	0.09825
MAGEB10	0.056
SLC45A1	0.697
SERPINA3	-1.0667
KIAA0143	0.85875
KCNJ16	-0.0521666666666666
KRT79	1.58325
FABP2	-0.844
NUT	-0.75625
ZNF57	-0.29775
FBXL4	-0.049875
CLEC9A	0.1635
UGT8	-0.442666666666667
BMP2K	-0.01625
MAPK4	-3.374
SLC25A23	-1.067
HINT1	0.4569
KRTAP13-1	0.2105
SFXN5	0.2851
CHCHD2	0.411333333333333
FAM3D	0.985
NDP	-3.902
RHOBTB1	0.506666666666667
SLC4A4	-1.4825
RPL38	0.15075
HTF9C	0.306166666666667
AP2A2	0.93475
ZBTB46	-0.095
MAP7D1	-0.320625
AOX1	-1.945
CYR61	-0.703416666666667
DTNA	0.508571428571429
JRKL	-1.39175
TMOD3	-0.7165
EEA1	0.4289
ADCK5	-0.82825
IL1R1	1.4525
KLK3	0.452
HRSP12	-0.087
KTN1	0.47425
LOH11CR2A	-1.0251
RELL2	0.06575
MAB21L1	1.215
C20orf59	-1.1805
PHKB	-1.1005
ADAM2	-2.37833333333333
TBC1D8B	0.397333333333333
FAM13A1	-1.884625
LAPTM4B	1.73683333333333
LCN8	0.05
TMEM147	0.2055
SYT4	-0.296
XPO7	-0.812
C9orf62	0.7695
GPR75	0.267
TRIM5	-0.504
APOC1	-0.341833333333333
RNASE4	-1.0565
PARD6B	0.695
ARID1A	-0.215083333333333
TPD52L3	0.399888888888889
RRAGB	0.829
RCN2	-0.0515
HIST2H2BE	0.684
STARD7	-0.0965
SHMT2	-0.98825
KIAA1751	-0.0851666666666667
MLYCD	-0.1975
LOC162632	-0.6583
UQCRH	-1.179
RP11-217H1.1	0.32975
SDHA	-0.859666666666667
NCLN	-0.2424
ZNF17	0.913
RCBTB2	-2.15625
VEGFB	0.0997
RP4-747L4.3	1.07025
COLQ	-0.0351
MPN2	-0.657
DRG2	0.0695
KLRB1	2.98175
ALPK2	-3.24575
DNASE2B	-0.045
FLJ23834	-0.116666666666667
AXUD1	0.616666666666667
SAFB	-0.5541
NSUN4	0.306
RFX2	0.7985
MAPK8IP1	-0.576
FANCD2	-0.350642857142857
ANKZF1	-1.98733333333333
C19orf50	-0.129
DUSP8	1.101
SENP5	1.06175
NFKBIL2	-0.354
LBR	-1.83425
IGFL1	1.318
LZTS2	-0.087125
IL2RG	-1.558
CCDC51	0.13775
KLF3	0.311
ANKRD37	-1.35125
KCTD14	-1.2345
FZR1	-0.193083333333333
SLC44A4	0.3336
ESPL1	-0.36525
GMPR2	-1.1705
TBC1D19	-0.3245
ERGIC1	0.821185185185185
ERBB4	2.2472
TSPAN32	-0.356166666666667
MAP4	0.071125
GPHN	-0.52275
SLC6A2	-0.255375
HIVEP1	0.27425
DFFB	-0.6508
EIF4EBP2	0.450125
DMRT1	-0.60225
HSPB6	-0.2095
IER2	-0.483833333333333
AIFM1	0.24125
WWC2	0.45075
MRPL4	-0.5165
FLJ21062	0.0603333333333333
EPB41L4A	1.09575
SH2D6	0.1995
TAF4B	1.23775
GAL3ST3	-0.1105
MALT1	0.108333333333333
RTDR1	1.33025
ARVCF	0.632875
MEX3B	-0.517
FBXO16	0.2165
KIF7	0.2105
C1QC	3.20916666666667
ZNF783	0.946666666666667
ZNF85	-0.00200000000000001
MMP13	4.5375
KIAA0329	-0.032375
RTP3	-0.949
ZBED3	-0.44675
CLGN	-0.53075
SLC25A37	-2.18645833333333
hCG_18290	-0.31025
OR5AS1	-0.0765
SMARCC2	0.22425
FAM109A	0.344833333333333
CCDC12	0.065
USF2	1.106
DEPDC7	-2.269
C20orf24	-0.104833333333333
JMJD3	0.478
DSP	1.26657142857143
SLIC1	0.232625
FAM20A	1.02325
IRF2BP2	-1.269
ZNF230	-0.086
MSN	-1.31814285714286
SLC9A5	-2.0755
EPDR1	-0.6406
MUSK	0.345666666666667
ZNF434	-0.541333333333333
SMARCD1	-0.367
ZFP106	0.01925
ZNF347	0.439
GTF2E1	0.75825
