Hybridization REF	TCGA-B6-A0IE-01A-11R-A034-07
ZNF212	0.31525
NUDT1	-1.01983333333333
RFPL2	-0.790333333333333
ZNF83	-0.580166666666667
GDPD5	-1.46775
PDCD4	1.84215
CEP350	0.0435
OR10A2	0.41325
CST7	-1.759
CIAO1	-0.3765
SELL	0.441428571428571
OR8J3	0.0935
LTBP4	0.465666666666667
SIRT6	0.095
CCL19	5.12125
PPIL1	-1.095
GBP7	-0.143
STK17A	-1.5508
ABR	-0.0755
OR9G1	0.4975
FOXE1	-0.867571428571429
CNGA3	1.1225
GML	0.5955
CD38	-0.29525
ZDHHC6	-0.706833333333333
NEFH	-1.71
CTDSP2	0.249833333333333
PGBD5	-1.8185
CCNY	0.294428571428571
RMND5B	-0.228333333333333
ZNF257	-1.108
FLJ22167	-0.428875
EXOSC7	-0.815166666666667
ROR2	-0.234857142857143
MAOA	0.904625
TNNT3	0.4298
GYPC	-0.773
C7orf33	1.7995
PLIN	2.39216666666667
LOC90826	-0.00700000000000001
RNF4	-0.1508
F8A1	0.398
PLEKHG4	-1.281
GRB2	0.4583
HIST1H2AD	1.1255
DUS3L	-1.4235
EIF1	-0.264666666666667
RP5-1077B9.4	-1.21216666666667
FPGT	1.52725
GDF10	-0.979833333333333
COQ9	0.07625
GCC2	-0.0327857142857143
RARRES3	1.359875
PLXNA1	-0.5973
KIAA0100	0.026
PMF1	0.06675
FNDC1	4.35075
HS2ST1	-0.45075
CRELD2	0.7555
C8G	-1.855
CD82	-0.154
LIM2	-0.866
UNQ6490	0.2465
MMP16	0.18375
DRD3	-0.6105
C5orf26	-0.48
C11orf73	-1.08275
PTP4A2	1.14975
OR4M2	-3.644
HPCA	-1.91416666666667
SEC14L1	-0.4175
CHFR	-0.67475
EMILIN1	0.606
NDUFS4	-1.3755
COL18A1	-0.46325
PDZD3	-0.3635
C9orf16	0.0346666666666667
ERBB2IP	0.2965
EMX2	3.443
FUS	-1.6195
TF	-3.0182
CLCN4	-1.3332
CXorf56	-1.49775
C11orf72	1.009
ELAC2	-0.5145
NPR1	-1.94375
ASS1	-1.65066666666667
USP42	-0.050875
POLR2J	-1.147
SEC23IP	-0.0045
UQCRC1	-1.32475
LOC729603	-1.78125
C1orf71	-0.15675
POLG	-1.7245
ADAM23	-3.36725
TFR2	-0.7285
RICTOR	-1.2065
MGC39606	0.8695
C19orf55	-0.561875
SNAPC1	-0.794666666666667
GNA11	0.466125
CCDC52	-0.162
FSIP1	5.3855
UPF3A	-1.548875
IGSF11	-4.51333333333333
LAGE3	0.92325
CHST6	-2.3795
UNC13B	-0.00275
TTLL4	-0.923375
ZNF687	0.35
SDC2	-1.3364
COX7A2	0.0875
LAMB4	0.106666666666667
FAM24A	1
LRRTM3	-0.213
GPHB5	0.5495
OR4C13	0.4145
EIF3EIP	0.317214285714286
HABP4	-1.3975
TMEM125	3.8515
CNTN2	-0.840625
ASNSD1	-0.5005
FUT4	-0.624375
ACF	-3.03
LOC158381	-0.2315
CDH8	-0.221333333333333
AGPS	-2.479
C4orf18	2.15
PECI	0.752916666666667
UNG	0.272625
GSTP1	-0.818875
DCUN1D5	-0.934833333333333
DKFZP564J0863	0.3455
SLC9A3R1	1.83925
BCDO2	0.239875
CHMP7	-0.782125
REM2	-0.9455
DNHD1	-0.342571428571429
FKBP4	-0.481125
ZNF350	2.308
MGC11102	0.387
BST1	0.85625
KISS1R	1.211
NCR2	0.063
DEFB125	2.631
UBE2W	1.34525
KRT15	1.347625
C10orf99	0.8305
SCN11A	-0.564333333333333
GFI1	-2.175
RDHE2	3.0555
FHL1	-1.29616666666667
OSGEP	0.197333333333333
GATA1	-3.57666666666667
SMC6	-0.775
TTTY14	-0.76425
LPIN3	0.399666666666667
RPL4	-0.9397
RBPMS	0.8182
PRPF3	-0.622
EMR1	-1.7085
SPATA19	-1.298
XCR1	0.987
IRX3	2.519
RBM6	-1.4185
KLF4	-1.81222222222222
UNC5CL	-0.424
SEBOX	-3.108
BTK	-2.05075
KRCC1	1.3195
C6orf27	0.6205
SYTL5	-1.1555
PRND	3.513
LOC653319	-0.723
PIGL	-0.356375
HUS1	-0.823333333333333
SFRS6	0.778833333333333
C17orf77	1.444
UIMC1	-1.041
FXYD2	-1.2452
LOC283152	1.617
ZNF667	-0.14575
ZCCHC12	-1.58475
TFEC	0.7859
ATP7B	1.06783333333333
POLD2	-1.61833333333333
RG9MTD1	0.45975
ACOT2	0.662666666666667
HIST1H4I	-0.10225
PPARGC1A	-1.85477777777778
ETFA	-1.9982
POLRMT	0.026
ZNF146	0.39275
MIA2	-0.7635
KLHL6	-1.00333333333333
HOXB5	-0.38725
NENF	1.17233333333333
CUGBP1	0.75825
PRSS22	1.69983333333333
CASC4	1.9909
CUL4B	0.076
CENPJ	-2.3557
PITX1	1.41866666666667
FLJ31033	-0.981333333333334
CELSR3	-1.3705
ZNF568	0.5345
ITSN1	-1.68145454545455
EHBP1L1	-1.34833333333333
C19orf2	0.059
DCTN1	-0.438
LIN28B	-3.24675
TNKS2	-1.1975
C1QBP	-1.090375
CADPS2	1.954
SRMS	0.18475
GJA9	0.345666666666667
MGC24975	-1.368
TRIM45	0.298333333333333
TSP50	-1.45633333333333
TCP1	-1.50225
TMED7	-2.066
CMA1	0.8195
CENPL	-1.07033333333333
PTCRA	0.118
FST	-3.23375
VWCE	-3.713
PAWR	0.44975
ABCC12	-0.4235
LDLR	-2.3927
ASTN2	1.4504
LOC441212	0.019875
GPATCH8	-0.44225
TANC2	0.287833333333333
KIF4A	-1.978
C18orf18	-0.39625
PGM1	-1.678
KIAA0258	0.09425
CPD	0.4375
SNCAIP	-0.07025
DCT	-3.357
HLA-DOA	1.699
OR11L1	1.3865
UPK1B	-0.2578
DNAJB4	-0.785125
UGT1A8	-0.639
HIST1H4L	-0.5375
PECR	-2.4035
HSPA2	3.18675
WFIKKN1	-1.8025
SERP1	1.3865
SYDE2	3.047
TACR2	1.714
NUP85	0.08525
CD177	-0.668333333333333
LGR5	-1.3235
PIGG	0.368666666666667
PTHR1	-1.45116666666667
RAB5A	-0.0537
FLJ13224	0.3955
USP9Y	-3.0048
C7orf53	0.3685
LRP1B	-2.348
XAF1	0.78
ABCG8	-1.377
ANKDD1A	-0.550166666666667
DAND5	-0.2185
SPAG6	0.924
LINCR	0.79
ZDHHC22	-1.4325
CCDC60	0.1675
THOC7	-0.9485
TCTA	0.2444
OR8K3	0.1815
NY-REN-7	-1.885
B2M	0.326166666666667
C6orf141	0.3245
LPPR4	1.488
SQLE	1.14175
SEPHS1	0.889
BTBD14B	0.735428571428572
PLRG1	-0.29275
SPG7	-0.259375
ZNF614	0.4185
PARD6G	1.284
INPP5B	-1.8383
GRPEL2	-0.460375
PPID	-0.3922
TRIM56	-0.37675
UBE2J1	0.045125
IL20RA	3.968
LOC387856	1.264
C1orf107	0.407545454545455
UTS2R	0.9565
C19orf22	-0.015
SAFB2	-0.24225
KIAA0652	-1.1695
KLRG1	-1.236
MS4A8B	4.01216666666667
FRAG1	-0.15525
KIAA1546	0.21275
E2F4	-1.123
CLEC4M	1.612
BTBD14A	-0.53275
KIAA0999	0.8816
GYPA	-3.27833333333333
TAC1	0.1674
TRAIP	-1.80933333333333
KIAA0232	0.9307
ERCC8	-1.34125
GPX4	0.89775
KIAA0368	0.125125
GPR157	0.200333333333333
CTAGE4	-0.731
C9orf30	-1.17983333333333
OR52A1	0.8405
HSP90B3P	-0.2665
ALG9	-0.0861
BTBD10	-0.0225
SDK2	-0.57975
BAIAP3	0.07325
RABGGTB	-0.97925
ANKRD40	-0.656
KRT74	null
CALCOCO2	0.187571428571429
SNCA	-3.11375
TMSL8	-2.043
C2orf53	-0.117
ESRRB	-0.2495
ARHGAP26	-1.745125
TDRD9	-2.283
HRAS	-0.514833333333333
KLRC4	-2.364
JAGN1	-0.5315
BSDC1	1.139
RNF43	0.3461
NDUFAF1	0.1335
PHF12	-0.832
OR1L3	-0.1725
FOLR2	1.26925
LYZL6	0.0341666666666666
tcag7.1260	-2.753
WSB1	-1.61166666666667
PROS1	-1.6127
OSTN	0.584
PSMB8	-1.0425
SOCS4	-0.930875
DDIT4L	0.6665
MAS1	-0.5895
MGC34796	1.14325
CSHL1	-0.445333333333333
TBCCD1	-0.0193333333333333
ZBTB7C	-0.198
AP2S1	-0.4485
P15RS	-0.193
VAT1	-0.7355
SHANK3	0.6405
TUFM	-0.0615
THEG	0.012
KRT34	-1.3955
SGSM3	0.080375
TOMM22	-0.454375
SOCS3	-0.444
CPO	0.677
POP4	0.014
BHLHB3	0.7365
MALL	1.44766666666667
OR1B1	0.109
PARK2	0.39425
GPR124	1.11175
LCE1E	-3.651
RUVBL2	-0.602
CGRRF1	-0.1749
ACPL2	-0.0995
WNT10B	-2.2055
BAIAP2L2	-0.262625
ISCA1	-0.067
C1orf125	0.0614285714285715
RPAP1	-0.59
RAI16	-0.256166666666667
RPL27	-0.740375
NLRP9	0.524
EPN1	-0.5525
LOC388610	-0.42925
SLC35A1	1.1005
GAL	-3.21125
SLC14A2	0.93575
RDH11	-0.285333333333333
FAM138F	0.282
AUH	-0.31275
FLJ40243	-0.643333333333333
C14orf129	-1.28516666666667
MBD2	-0.542
ABHD14B	-0.707125
PIGT	1.31425
ALS2CR4	-0.12075
ALAS1	-1.7361
FOXO1	0.223
CRLF3	-0.29475
C20orf107	-0.542
FARS2	0.393
CCDC28A	0.43825
NPHP3	-0.552
OR13F1	0.687
TSEN54	-0.18825
DEFB106B	0.4737
OR8B4	0.428
STH	3.99375
ZC3H14	-0.775125
CBX2	-0.705
TMEM49	-1.39775
C6orf21	0.7095
FLJ20920	2.185875
CRTAP	-1.35535714285714
DDX50	0.28825
STYXL1	-0.0465
BLVRB	-0.334166666666667
LOC147650	-0.004
MMP24	0.55625
GRID1	1.1355
BANF1	-0.430166666666667
CTAGEP	-0.505
HMBS	-1.33
SLC25A24	0.0881666666666667
C14orf50	0.82675
MRO	-0.421
SLC25A15	-0.667
FAM84B	1.5269
TDP1	-0.268
C16orf78	0.0884
C11orf57	2.073625
RFK	-1.1775
ZFYVE9	-0.2835
STCH	-1.481
WIBG	0.06375
LOC283871	-1.31133333333333
GBA2	-1.3315
NDUFB3	0.5255
HSD17B13	-0.38625
GRIN3A	0.0734
FMNL1	-1.6555
SEPT7	-0.775
GNLY	2.1125
GRAMD1C	2.32033333333333
ZNF165	1.55625
USP38	0.90475
FAM83A	-2.88833333333333
C14orf24	0.378727272727273
ARMCX3	0.342
ARHGDIB	-0.325
AK1	-0.477125
KIAA1045	-0.271666666666667
DNAJB13	0.0631666666666667
NEU2	0.78
HIST1H4B	-0.295333333333333
FAM20B	-0.2479
HES2	0.943307692307692
FAM73B	-0.3516
LOC388381	-1.704
INTS7	-0.172272727272727
AMPH	-0.260333333333333
ZNF775	0.271375
UCKL1	-0.350166666666667
C10orf97	-0.2815
C1orf161	0.203666666666667
ALDH1L1	-1.53325
FLJ39378	-0.0673750000000001
SLC23A1	-0.329
RBM4B	-0.12125
THAP4	0.167666666666667
OGFRL1	1.57425
KIAA0831	0.36975
PPP1R15A	-0.0726666666666667
C1orf96	-0.043
C12orf11	-1.41375
BMF	0.882125
MAN1A1	-0.488625
KIAA1600	-0.516833333333333
NLGN4X	-1.13375
ALOX12	-0.61225
RB1CC1	0.2991
NEIL2	0.7927
EIF4E	-0.4065
ABHD5	-1.3965
EXOC4	-0.748333333333333
CIP29	-0.217
BATF2	0.224
SLC29A4	-0.494375
HTR4	0.843
EMB	-1.412
TRAF6	-0.1205
LMNB1	-1.2345
FAM19A5	-0.24075
SHE	2.46425
PIK3C2B	1.95225
C15orf15	-0.7206
USP15	0.0208
TCEAL2	1.2825
C5orf39	-0.399666666666667
PTGER2	-1.608
SLC31A1	-0.9391875
IFT172	0.1665
ADAM29	0.54625
GFOD1	0.21975
ST7L	0.7965
C15orf26	-1.49225
PKN3	-1.6585
CNTD1	0.945
COMMD1	0.061125
NTRK2	2.76191666666667
FOXN3	0.7715
MFGE8	-1.1696
PFKFB2	0.363833333333333
TAS2R4	0.6825
ENTHD1	0.025
PRMT5	-1.766125
MGC16384	-0.29475
LOC442229	0.13475
TSKU	0.197875
KRTCAP3	3.063625
PDLIM1	-0.3579
KCNS2	1.08025
RNF126	-0.4275
CEP63	-0.08825
CLIC4	-0.5265
hCG_1990170	0.27
ACR	0.8246
KLK7	0.968
ALOX5AP	0.13875
RIPK3	0.13425
TAS2R9	1.47
C19orf18	3.0725
BIRC6	-0.525714285714286
ZNF16	1.886
RFT1	-0.747
SLC8A2	-1.5825
TACC1	0.282
ITGAD	0.617333333333333
SAMHD1	-0.03725
SH3PXD2B	1.0436
EPC2	1.291
C20orf85	0.122
ATP13A2	0.7225
KRT4	0.69575
CAPNS1	-0.55125
MDM2	-0.223833333333333
PCDH20	2.12875
KCNK9	0.5795
OR2C1	0.165
KLHDC3	-0.963833333333333
IPPK	0.1525
EFHD2	-0.60775
GALR3	1.1375
NBEA	0.357333333333333
ABCA6	3.3858
CLDN3	2.23183333333333
AKT2	-0.510857142857143
EGFR	-0.00930000000000001
RBM16	0.832625
ZDHHC3	-0.2185
SLC25A4	-0.988833333333333
CYB5B	-1.44483333333333
CPXM1	-0.29675
NDRG1	-0.664153846153846
FLJ43826	0.124
OR5L2	0.3768
FARP2	0.039
MRPL46	-1.17475
LDHAL6B	0.992833333333333
MAPKAPK3	-1.07133333333333
NCAM2	-2.31875
PRKD2	-0.446333333333333
ZFP36L1	2.1914
CYSLTR1	1.28325
OR4C3	0.912333333333333
HIST1H2AJ	2.199
CCNB2	-1.82188888888889
ZNF10	0.838
TMEM175	0.266
FAM134A	0.952
TIGD4	-0.7675
PCNP	-1.1435
MGC39715	-0.84975
LQK1	-0.71075
CREB1	-0.2119
TMPRSS3	0.525
C4orf32	0.155625
LAT	-2.10966666666667
KCNA3	-1.556
SKIV2L2	-2.13375
ROPN1B	-1.476
tcag7.23	-0.7375
CDT1	-1.802625
ZHX2	2.120125
CD28	-3.11175
ZNF624	0.8275
SEPT2	0.310166666666667
SOHLH2	-2.279125
MCOLN3	-1.63616666666667
UNQ1945	0.999
MASP2	-0.321
ZNRF3	0.0632
GPATCH3	0.12
AGL	1.425
QRICH2	-0.971
PSD4	0.6905
CCNB1IP1	-1.619
ENPP7	0.4185
OBFC1	-0.27925
KCNG3	-1.20175
C14orf79	-0.429166666666667
ENPEP	0.9492
SCT	0.2005
SKI	0.599
SEC61G	-0.28325
CAPN11	1.01125
ATXN7L3	-0.6655
DBNDD1	0.510833333333333
FAIM	0.761
ANKRD36	0.8195
GABRP	3.41283333333333
TACSTD2	1.8894
EIF3J	-0.2005
PPP2R2A	-1.38925
TEKT4	-1.2478
PVALB	-3.62483333333333
F10	-1.30083333333333
FAM134C	0.3872
COMP	5.079
EFCBP1	-2.06673333333333
SCLT1	0.919
TAL1	-0.8926
ACSL1	0.358
ABCC5	-0.628666666666667
ABL1	-0.650888888888889
RBBP7	-1.05008333333333
PTPRG	0.212625
NCOR1	-0.3861
SPINK4	-1.51066666666667
TXNRD1	-1.9304
TNRC15	0.77575
C9orf138	-0.561
UBE2H	0.956166666666667
BRDT	-0.0756666666666667
C8orf31	-0.41725
CCNE2	-1.13936363636364
SLC6A8	-1.80175
CALCR	-3.469
PPP1CB	0.00691666666666666
ABHD8	-0.20075
ARF5	0.0852
SLC24A4	0.37
CCT3	0.269
ZNF121	0.71425
SLC3A2	-0.8163
OR13A1	0.9455
SLC5A10	0.63025
RAD50	-1.027
IER5	0.1545
MTHFD1L	-1.988125
MBTPS2	-0.08225
MVK	-0.782875
NCL	0.1901
PSMD10	-0.83975
MOBP	0.627714285714286
FLJ32894	0.339
HRH1	-0.698
C5orf30	-0.08025
NUDT16L1	1.6192
RASGRP3	3.63983333333333
PRKRIP1	-0.2876
CCDC75	0.28725
LOC253970	0.44775
KIAA1239	0.7025
MED21	-0.61125
SYT11	-0.263166666666667
NTSR2	0.5865
EGFL11	0.0285
CXorf59	1.231
OR2A25	0.225
SPTBN2	-0.47525
LRMP	-0.834333333333333
RNF111	-0.406
PTH	-1.8265
LOC619208	0.2865
KIAA0895	0.52925
RANBP5	-1.2325
P2RY10	0.517333333333333
NME5	0.826166666666667
DDX21	-0.3485
LRSAM1	-0.275
HDAC11	0.8705
VMO1	0.55225
NOLA2	-0.44
ADAR	-0.303583333333333
MTO1	-0.651166666666667
SF4	0.0253333333333333
P2RX1	-0.0611666666666667
HBM	0.5455
EN2	1.4085
C14orf172	0.8165
TM9SF2	-0.3843
INHBE	-1.82616666666667
TCTE3	-0.02725
TOX2	-3.12675
CTAGE3	0.0415
HBB	3.6611
MED15	-0.906
CASR	0.396
C6orf66	-0.739833333333333
MTPN	-0.136375
UNC50	-1.30925
C21orf33	0.620375
IRF2	0.61775
PGR	4.51166666666667
GPR84	0.3195
CROCCL1	-1.858
SRPX	-1.80175
BRE	-0.3255
FGF10	0.325
SDC3	0.208166666666667
ZRSR1	-0.319833333333333
DKFZP434P211	-1.4375
SOX6	-0.657
RPUSD2	0.3995
C14orf173	-0.77025
MAPK11	-0.367333333333333
TBC1D22A	0.072
FAM123A	1.119
COL4A6	-1.75166666666667
TOMM70A	-0.62825
NAB1	-0.058875
MGC16385	0.98375
TSPAN18	-0.258666666666667
MED31	-0.046
PLG	0.419
CAPSL	2.0435
ZNF532	1.1422
ASB14	0.5875
CA8	2.2785
NUDT16P	-0.594666666666667
SLFN11	-0.936
LRRIQ2	-0.2025
NOL7	-0.429166666666667
BRMS1L	-1.226375
JARID1A	0.716333333333333
PANK2	0.5985
ICAM3	0.14425
MDS1	-0.1045
TAF8	-0.278
RNF139	1.69925
ZNF594	-1.37916666666667
ADAM8	-0.6225
SFTPC	-0.64075
MAN2B2	0.12175
RGS12	0.3906875
EIF1AY	-3.74333333333333
LRRIQ1	-3.077
GPR150	1.32125
CCDC21	-1.6985
PRRG3	0.148
SAA4	-2.59375
RAPGEF5	1.32875
ZCCHC2	1.441
MGC39372	-0.8875
PPP4R2	-0.5515
CDCA2	-1.7585
OR4D5	-0.630666666666667
PTGFRN	-0.348444444444444
SIGLEC5	-0.419833333333333
C19orf61	-0.518333333333333
NMUR2	0.73
KIAA1586	-1.20466666666667
DAGLA	0.0331666666666667
CHCHD6	-1.13175
GPR32	0.66
NEUROD6	0.159833333333333
SLC2A4RG	1.1228125
CA5B	0.25575
FBXL3	-0.14
MPHOSPH9	-1.968
HMG2L1	0.04525
HCN4	0.4235
CEACAM19	0.12375
SH2D4B	0.7012
HFE2	-1.4715
TGM4	2.312
LYPD2	0.1355
TBC1D15	-0.13225
MRPS21	0.991
NONO	-1.3464
CLEC5A	0.4465
ITCH	0.7933
MGAT3	-0.2045
MBP	-0.552428571428571
RPP25	0.952
SOSTDC1	0.18725
HRC	-0.98925
TRIM48	-0.587
TMEM133	-0.11875
ECEL1P2	-2.3805
HOXC11	-0.5985
DOK5	-1.36425
HELZ	0.893666666666667
LOC348180	-0.1565
MGC33894	0.32425
ADRB3	-0.054
DMD	-0.151272727272727
PTRH2	1.105
MPEG1	2.48433333333333
NDUFA12	0.361166666666667
KRTAP2-4	-0.171166666666667
STAMBPL1	-1.65166666666667
ADCY2	-0.740166666666667
UNQ6125	-0.4885
KLHL20	0.5665
SRM	-1.19025
OTC	-0.39925
TMIE	0.074
SNX8	-0.1075
LIPK	0.971
CHURC1	0.03975
KLC2	0.719333333333333
HDAC1	-1.05433333333333
FAM128A	0.924333333333333
FNDC3B	-0.766
MTCP1	-0.668833333333334
WFDC10B	-0.2971
PCDHGB3	0.301
ATRNL1	-1.934
CAV2	-1.512875
MED26	0.319666666666667
DUS1L	-0.62525
CHRM3	-1.4755
NEK9	-1.78675
WARS2	0.87325
TBX22	1.816
TOMM40	-0.80325
RP6-213H19.1	-1.21316666666667
TUBGCP5	-1.29825
IGSF6	4.58925
TPPP	1.364
UNQ6190	-2.929
GSTM5	3.04175
BTD	0.37
PDCD1LG2	-0.823333333333334
SNRPB2	0.7785
ERICH1	-0.09375
APOA4	-1.846125
HOXA11	-1.282
NARG1	-0.35775
MKX	1.901
RAB28	-1.74507142857143
PKP3	0.011
SH3GL2	-2.987
CTSO	1.904
RPN2	2.313
IL28RA	0.1496
SFMBT1	0.718
WDR57	-1.007875
FER1L3	0.535833333333333
HSF5	0.422666666666667
TTC9B	0.462
C4BPA	-2.68633333333333
ALB	-3.98092307692308
SORBS3	0.650875
UPF2	0.459
JPH1	0.422
AGBL2	-1.31675
DOPEY1	1.331
TERF1	0.327083333333333
KIF22	0.535833333333333
NINJ1	1.612
SEC61A2	-0.129
HIST1H1D	0.292
SFXN4	-0.337625
UCP3	0.445
ZNF703	2.273
MYL6B	-0.67375
TREM1	-0.572
OR52E6	-0.05
CKMT2	1.28825
HLA-C	0.7385
SLC13A3	1.38983333333333
TIMP4	-1.197
SLIT2	3.087
RSF1	0.274611111111111
LONRF1	-0.948928571428571
MON1A	-0.748166666666667
CACNG6	-1.229
DPPA4	-4.22866666666667
ZSWIM3	1.47025
ZNF804A	-0.6636
CCIN	0.976333333333333
SLC25A31	2.291
KCNMB4	-0.218
RABL5	-0.028625
GALNS	0.4554
STX6	1.2575
HIST1H1C	-0.742666666666667
CIDEB	1.0925
CASP4	0.508166666666667
PDK3	-0.3835
KCNJ11	-0.4575
TPR	-0.223375
ZSCAN20	-0.251
MTX2	0.07225
HIST1H2BH	1.08625
LOC283767	1.2145
LYRM7	-2.282625
BRD3	-0.0555
HIST1H2BO	0.3685
MAGEB10	0.143
SLC45A1	-0.1515
SERPINA3	-0.202
KIAA0143	1.2165
KCNJ16	0.0418333333333333
KRT79	-0.496
FABP2	0.164
NUT	-0.22325
ZNF57	0.5855
FBXL4	-0.505875
CLEC9A	0.9145
UGT8	-2.5465
BMP2K	0.79625
MAPK4	-2.513
SLC25A23	-0.8436
HINT1	-1.3394
KRTAP13-1	0.255
SFXN5	-0.3957
CHCHD2	0.581
FAM3D	2.2035
NDP	-1.23875
RHOBTB1	1.59266666666667
SLC4A4	-1.306125
RPL38	0.7055
HTF9C	0.357
AP2A2	-0.473125
ZBTB46	-2.0785
MAP7D1	-0.4555
AOX1	-1.19783333333333
CYR61	-0.596333333333333
DTNA	-1.60476923076923
JRKL	0.7565
TMOD3	-0.2605
EEA1	-0.7091
ADCK5	0.91875
IL1R1	0.684166666666667
KLK3	1.14192307692308
HRSP12	1.337
KTN1	0.593
LOH11CR2A	0.2618
RELL2	-2.258
MAB21L1	1.488
C20orf59	0.3005
PHKB	0.0985
ADAM2	-1.71183333333333
TBC1D8B	1.29416666666667
FAM13A1	-0.3265
LAPTM4B	0.68575
LCN8	-0.224
TMEM147	-0.0995
SYT4	0.116
XPO7	-0.5065
C9orf62	1.94775
GPR75	0.46
TRIM5	-0.1195
APOC1	-1.096
RNASE4	0.950833333333333
PARD6B	0.98975
ARID1A	0.04
TPD52L3	0.41375
RRAGB	-0.194833333333333
RCN2	-0.402666666666667
HIST2H2BE	0.705125
STARD7	0.38075
SHMT2	-1.494
KIAA1751	-0.633
MLYCD	-0.142875
LOC162632	0.1249
UQCRH	-0.958
RP11-217H1.1	0.910875
SDHA	-2.0355
NCLN	0.1318
ZNF17	0.317166666666667
RCBTB2	-1.4005
VEGFB	-1.4445
RP4-747L4.3	-0.22025
COLQ	-0.292555555555556
MPN2	-0.1254
DRG2	-0.562
KLRB1	4.26525
ALPK2	-2.9005
DNASE2B	0.701333333333333
FLJ23834	2.16166666666667
AXUD1	-1.0315
SAFB	-0.1617
NSUN4	-0.00500000000000001
RFX2	0.2995
MAPK8IP1	-0.0846666666666666
FANCD2	-1.16264285714286
ANKZF1	-1.7735
C19orf50	-0.8005
DUSP8	-0.079625
SENP5	0.3835
NFKBIL2	-0.5085
LBR	-1.99328571428571
IGFL1	-0.1435
LZTS2	0.2475
IL2RG	0.049
CCDC51	-0.76875
KLF3	-0.2845
ANKRD37	-0.02575
KCTD14	-0.477833333333333
FZR1	0.756416666666667
SLC44A4	2.6402
ESPL1	-0.79925
GMPR2	-0.9842
TBC1D19	-1.3325
ERGIC1	-0.890851851851852
ERBB4	3.4525
TSPAN32	-0.155666666666667
MAP4	-1.501625
GPHN	-1.08325
SLC6A2	0.377375
HIVEP1	-0.4585
DFFB	-0.4227
EIF4EBP2	1.082375
DMRT1	-0.1805
HSPB6	0.194
IER2	0.245833333333333
AIFM1	0.04975
WWC2	-0.822083333333333
MRPL4	-0.33525
FLJ21062	-0.359
EPB41L4A	1.256
SH2D6	0.177
TAF4B	-0.5205
GAL3ST3	-0.1615
MALT1	-1.476
RTDR1	-0.211333333333333
ARVCF	-0.2325
MEX3B	-0.845166666666667
FBXO16	2.72225
KIF7	-2.201
C1QC	3.9575
ZNF783	0.166833333333333
ZNF85	-0.53775
MMP13	-0.82
KIAA0329	0.70975
RTP3	-1.2
ZBED3	-0.09075
CLGN	-0.655
SLC25A37	-1.46966666666667
hCG_18290	-0.018
OR5AS1	0.4485
SMARCC2	0.1045
FAM109A	-0.0145
CCDC12	-0.27975
USF2	0.1661
DEPDC7	-3.24875
C20orf24	0.519
JMJD3	-0.112
DSP	0.806357142857143
SLIC1	-0.582833333333333
FAM20A	1.03175
IRF2BP2	1.18875
ZNF230	-0.0855
MSN	-1.22985714285714
SLC9A5	-0.4725
