Hybridization REF	TCGA-B6-A0RN-01A-12R-A084-07
RABGGTB	-0.918875
ANKRD40	-0.0601666666666667
KRT74	-0.0505
CALCOCO2	0.021
SNCA	-3.67525
TMSL8	-4.767625
C2orf53	0.352
ESRRB	-0.202
ARHGAP26	-1.417375
TDRD9	-3.2065
HRAS	-0.426666666666667
KLRC4	-3.2785
JAGN1	-0.184333333333333
BSDC1	0.66625
RNF43	0.1198
NDUFAF1	0.1405
PHF12	0.291
OR1L3	-0.7285
FOLR2	0.630333333333333
LYZL6	-0.0131666666666667
tcag7.1260	-2.1105
WSB1	-1.27166666666667
PROS1	-1.3944
OSTN	0.134
PSMB8	0.00775
SOCS4	0.09075
DDIT4L	1.716
MAS1	0.559
MGC34796	0.41425
CSHL1	0.377166666666667
TBCCD1	0.714833333333333
ZBTB7C	0.239
AP2S1	-0.821375
P15RS	0.0102
VAT1	-0.3891
SHANK3	0.636
TUFM	0.0208333333333333
THEG	-0.60375
KRT34	-2.59575
SGSM3	-0.85125
TOMM22	-0.80725
SOCS3	1.17983333333333
CPO	1.324
POP4	-0.03125
BHLHB3	3.943
MALL	0.5815
OR1B1	0.5305
PARK2	0.584833333333333
GPR124	0.628
LCE1E	0.8335
RUVBL2	-0.8
CGRRF1	0.7878
ACPL2	0.47325
WNT10B	-2.376
BAIAP2L2	-2.568125
ISCA1	0.883
C1orf125	0.019625
RPAP1	-0.72125
RAI16	-0.133
RPL27	-0.185625
NLRP9	0.6245
EPN1	0.1215
LOC388610	0.7685
SLC35A1	0.692
GAL	-4.7505
SLC14A2	0.23275
RDH11	-0.319166666666667
FAM138F	-0.173
AUH	0.52625
FLJ40243	-0.21675
C14orf129	0.349166666666667
MBD2	-0.943
ABHD14B	0.344
PIGT	0.13925
ALS2CR4	-0.4975
ALAS1	-0.1631
FOXO1	1.75766666666667
CRLF3	-0.216
C20orf107	-0.2395
FARS2	0.334
CCDC28A	1.38075
NPHP3	-0.54675
OR13F1	0.5145
TSEN54	-0.80675
DEFB106B	0.0491
OR8B4	0.241
STH	2.60275
ZC3H14	-0.4695
CBX2	-0.0315
TMEM49	-1.186
C6orf21	0.328
FLJ20920	1.01275
CRTAP	0.110214285714286
DDX50	0.2585
STYXL1	0.11975
BLVRB	-1.16916666666667
LOC147650	0.00716666666666666
MMP24	0.0985
GRID1	1.56883333333333
BANF1	-0.305666666666667
CTAGEP	0.04175
HMBS	-2.44525
SLC25A24	0.608833333333333
C14orf50	1.81325
MRO	-0.238833333333333
SLC25A15	-0.9245
FAM84B	1.4455
TDP1	-1.284
C16orf78	0.213
C11orf57	0.260125
RFK	-0.16675
ZFYVE9	-1.092875
STCH	-0.8497
WIBG	0.55475
LOC283871	-0.678666666666667
GBA2	-0.7417
NDUFB3	-0.84675
HSD17B13	-0.62875
GRIN3A	0.493666666666667
FMNL1	-1.18366666666667
SEPT7	-0.0272
GNLY	1.454
GRAMD1C	1.4445
ZNF165	0.11225
USP38	1.14725
FAM83A	-4.01366666666667
C14orf24	0.7795
ARMCX3	1.238625
ARHGDIB	0.415666666666667
AK1	-0.09625
KIAA1045	-0.3955
DNAJB13	-0.6725
NEU2	-0.0325
HIST1H4B	-1.30116666666667
FAM20B	0.0801
HES2	0.116214285714286
FAM73B	-0.5342
LOC388381	-0.41375
INTS7	0.170545454545455
AMPH	1.531
ZNF775	0.294875
UCKL1	-1.3785
C10orf97	-0.22825
C1orf161	0.1495
ALDH1L1	-1.59425
FLJ39378	0.16225
SLC23A1	-0.7405
RBM4B	0.38975
THAP4	0.224166666666667
OGFRL1	0.70325
KIAA0831	0.63525
PPP1R15A	-0.719
C1orf96	-0.0460714285714286
C12orf11	-1.74175
BMF	0.978125
MAN1A1	-0.578375
KIAA1600	0.934
NLGN4X	-0.36275
ALOX12	-1.36066666666667
RB1CC1	0.2434
NEIL2	0.6236
EIF4E	-0.2135
ABHD5	-0.25875
EXOC4	0.5685
CIP29	-0.1595
BATF2	-2.2145
SLC29A4	-1.00775
HTR4	0.63525
EMB	0.01325
TRAF6	0.936
LMNB1	-3.37275
FAM19A5	-0.00225000000000003
SHE	1.15375
PIK3C2B	1.32
C15orf15	-0.0214
USP15	0.1081
TCEAL2	0.52575
C5orf39	-1.4765
PTGER2	0.847
SLC31A1	-0.60725
IFT172	0.63825
ADAM29	-0.042
GFOD1	-1.312
ST7L	0.197
C15orf26	-2.8475
PKN3	-1.9885
CNTD1	2.21533333333333
COMMD1	0.26325
NTRK2	1.45716666666667
FOXN3	0.359125
MFGE8	-0.965
PFKFB2	0.847
TAS2R4	-0.15675
ENTHD1	-0.536666666666667
PRMT5	-0.534875
MGC16384	-1.4035
LOC442229	-0.64
TSKU	0.053
KRTCAP3	2.36475
PDLIM1	0.0226
KCNS2	0.76225
RNF126	-0.675666666666667
CEP63	-0.113375
CLIC4	0.472
hCG_1990170	-1.19
ACR	0.2844
KLK7	-0.1215
ALOX5AP	2.244625
RIPK3	3.8585
TAS2R9	0.603
C19orf18	1.996
BIRC6	0.150571428571429
ZNF16	1.2265
RFT1	-0.2895
SLC8A2	-0.11725
TACC1	-0.223
ITGAD	0.5505
SAMHD1	0.3255
SH3PXD2B	1.4418
EPC2	1.683
C20orf85	3.044
ATP13A2	-0.128333333333333
KRT4	0.206375
CAPNS1	-0.0645
MDM2	-0.471666666666667
PCDH20	3.941
KCNK9	0.188
OR2C1	0.029
KLHDC3	-0.219833333333333
IPPK	1.049
EFHD2	-1.168875
GALR3	1.4965
NBEA	1.72466666666667
ABCA6	2.901
CLDN3	1.38183333333333
AKT2	-0.616928571428571
EGFR	-2.5268
RBM16	1.03325
ZDHHC3	0.3282
SLC25A4	-0.286
CYB5B	-1.24466666666667
CPXM1	0.09925
NDRG1	-1.58069230769231
FLJ43826	0.00275
OR5L2	-0.0985
FARP2	0.2895
MRPL46	-0.702416666666667
LDHAL6B	-0.0821666666666667
MAPKAPK3	-0.152833333333333
NCAM2	0.94425
PRKD2	0.312666666666667
ZFP36L1	0.8803
CYSLTR1	1.9115
OR4C3	0.22175
HIST1H2AJ	0.4735
CCNB2	-4.07677777777778
ZNF10	0.113875
TMEM175	0.847
FAM134A	1.28533333333333
TIGD4	0.324
PCNP	-0.195
MGC39715	0.353666666666667
LQK1	-1.4835
CREB1	0.9289
TMPRSS3	3.02425
C4orf32	0.973375
LAT	-2.35925
KCNA3	-0.3665
SKIV2L2	-0.3535
ROPN1B	-4.43275
tcag7.23	-0.2485
CDT1	-4.618875
ZHX2	1.56475
CD28	-4.16175
ZNF624	1.9305
SEPT2	0.428333333333333
SOHLH2	-0.97425
MCOLN3	-0.270875
UNQ1945	0.577
MASP2	-1.2655
ZNRF3	-0.3465
GPATCH3	0.1375
AGL	1.797875
QRICH2	-0.9195
PSD4	1.2855
CCNB1IP1	-1.4705
ENPP7	0.01025
OBFC1	-0.1025
KCNG3	-2.23075
C14orf79	1.33475
ENPEP	1.40683333333333
SCT	2.646
SKI	1.188
SEC61G	-2.201
CAPN11	0.2355
ATXN7L3	-0.01625
DBNDD1	-0.495
FAIM	-0.36825
ANKRD36	-0.901
GABRP	-0.361
TACSTD2	1.7215
EIF3J	-0.28625
PPP2R2A	0.0845
TEKT4	-0.349333333333333
PVALB	0.900666666666667
F10	-2.83483333333333
FAM134C	1.1742
COMP	4.957
EFCBP1	-2.3011875
SCLT1	0.713875
TAL1	-1.2646
ACSL1	-0.39025
ABCC5	0.01775
ABL1	-0.286333333333333
RBBP7	-0.16325
PTPRG	-0.025125
NCOR1	0.1164
SPINK4	-1.50633333333333
TXNRD1	-2.5197
TNRC15	1.172625
C9orf138	0.842125
UBE2H	0.978
BRDT	1.26966666666667
C8orf31	-0.329
CCNE2	-2.70627272727273
SLC6A8	-2.218875
CALCR	-3.7865
PPP1CB	0.860583333333333
ABHD8	0.28625
ARF5	0.3644
SLC24A4	0.87175
CCT3	0.321
ZNF121	0.02675
SLC3A2	-0.6386
OR13A1	0.4905
SLC5A10	0.126
RAD50	0.1225
IER5	0.297125
MTHFD1L	-2.52575
MBTPS2	0.1735
MVK	-0.547375
NCL	-0.618
PSMD10	-0.41925
MOBP	0.126875
FLJ32894	-0.4285
HRH1	-0.693833333333333
C5orf30	2.06575
NUDT16L1	1.711
RASGRP3	2.41866666666667
PRKRIP1	-0.5956
CCDC75	0.46775
LOC253970	0.12775
KIAA1239	0.30175
MED21	-0.73725
SYT11	0.7465
NTSR2	-0.2945
EGFL11	0.89
CXorf59	0.4815
OR2A25	-0.21075
SPTBN2	-1.02425
LRMP	-1.92116666666667
RNF111	0.6
PTH	-0.5785
LOC619208	1.35716666666667
KIAA0895	0.9975
RANBP5	-0.541875
P2RY10	2.88816666666667
NME5	4.38716666666667
DDX21	-0.93825
LRSAM1	0.6995
HDAC11	1.464
VMO1	1.83175
NOLA2	-0.187
ADAR	0.625833333333333
MTO1	-0.832666666666667
SF4	-0.0618333333333333
P2RX1	-0.424333333333333
HBM	-0.10225
EN2	1.6525
C14orf172	-0.31025
TM9SF2	0.357
INHBE	-1.28483333333333
TCTE3	-0.0115833333333333
TOX2	-3.7885
CTAGE3	0.36425
HBB	4.1248
MED15	-1.20233333333333
CASR	0.683
C6orf66	-1.88616666666667
MTPN	-0.169625
UNC50	-0.21025
C21orf33	0.12475
IRF2	0.788875
PGR	2.872
GPR84	0.616
CROCCL1	-2.99975
SRPX	-1.5845
BRE	0.426333333333333
FGF10	1.90775
SDC3	-0.1275
ZRSR1	0.412666666666667
DKFZP434P211	-0.2695
SOX6	0.129
RPUSD2	0.39175
C14orf173	-0.387666666666667
MAPK11	-0.371333333333333
TBC1D22A	-0.418
FAM123A	-0.562
COL4A6	-2.08316666666667
TOMM70A	0.23575
NAB1	-0.30075
MGC16385	-0.572
TSPAN18	-0.0536666666666667
MED31	-0.22
PLG	-0.42175
CAPSL	3.5345
ZNF532	0.7443
ASB14	-0.39275
CA8	-0.75325
NUDT16P	2.45383333333333
SLFN11	-0.891
LRRIQ2	0.46375
NOL7	-0.583666666666667
BRMS1L	-0.906875
JARID1A	0.534666666666667
PANK2	-0.81525
ICAM3	-0.854
MDS1	-0.5135
TAF8	-0.433
RNF139	1.23375
ZNF594	0.7895
ADAM8	-0.1995
SFTPC	-0.216875
MAN2B2	1.166625
RGS12	0.8665
EIF1AY	-4.94008333333333
LRRIQ1	0.355333333333333
GPR150	1.625
CCDC21	-1.51233333333333
PRRG3	0.64025
SAA4	-4.27
RAPGEF5	0.686125
ZCCHC2	0.0365
MGC39372	-0.389
PPP4R2	0.507
CDCA2	-3.3795
OR4D5	0.592666666666667
PTGFRN	1.0348
SIGLEC5	1.18233333333333
C19orf61	-0.4115
NMUR2	0.261
KIAA1586	-0.5515
DAGLA	0.128333333333333
CHCHD6	-0.75925
GPR32	1.2485
NEUROD6	-0.2184
SLC2A4RG	-0.051
CA5B	0.357
FBXL3	2.15875
MPHOSPH9	-1.842
HMG2L1	0.15425
HCN4	1.06333333333333
CEACAM19	0.0385
SH2D4B	0.4142
HFE2	-0.963
TGM4	0.291833333333333
LYPD2	-0.02025
TBC1D15	0.4725
MRPS21	-0.3199
NONO	-0.8542
CLEC5A	1.96875
ITCH	-0.3417
MGAT3	-1.70266666666667
MBP	-0.913875
RPP25	-0.40575
SOSTDC1	-2.97
HRC	-2.1045
TRIM48	-0.219
TMEM133	-0.7135
ECEL1P2	-1.325
HOXC11	2.289
DOK5	-0.18375
HELZ	0.421666666666667
LOC348180	-1.2845
MGC33894	0.18375
ADRB3	-0.00650000000000001
DMD	0.0350833333333334
PTRH2	-0.8385
MPEG1	2.023
NDUFA12	-0.484666666666667
KRTAP2-4	0.08125
STAMBPL1	-1.51366666666667
ADCY2	0.00233333333333332
UNQ6125	0.4155
KLHL20	0.999333333333333
SRM	-1.64575
OTC	-0.3585
TMIE	0.181
SNX8	-0.6435
LIPK	-0.2195
CHURC1	1.02958333333333
KLC2	0.171666666666667
HDAC1	-0.4995
FAM128A	-0.344833333333333
FNDC3B	-0.9498
MTCP1	-0.700166666666667
WFDC10B	0.1652
PCDHGB3	0.6685
ATRNL1	-1.7523
CAV2	-0.827625
MED26	0.459666666666667
DUS1L	-0.405
CHRM3	-1.56425
NEK9	0.84125
WARS2	0.11125
TBX22	0.745
TOMM40	-0.932
RP6-213H19.1	-1.87483333333333
TUBGCP5	-0.53275
IGSF6	4.36925
TPPP	-0.197
UNQ6190	-0.186
GSTM5	0.2465
BTD	1.327
PDCD1LG2	-0.00766666666666666
SNRPB2	-0.597666666666667
ERICH1	-0.48025
APOA4	-1.926625
HOXA11	-0.6555
NARG1	-0.30875
MKX	6.87225
RAB28	-0.256428571428571
PKP3	0.663
SH3GL2	-2.33825
CTSO	3.0615
RPN2	-0.698125
IL28RA	0.183333333333333
SFMBT1	0.93875
WDR57	-0.000250000000000007
FER1L3	1.36
HSF5	0.1558
TTC9B	0.03575
C4BPA	-4.47283333333333
ALB	-4.77621428571429
SORBS3	0.134875
UPF2	-0.296
JPH1	-1.6195
AGBL2	-0.0305
DOPEY1	1.5615
TERF1	-0.0819166666666667
KIF22	-0.764833333333333
NINJ1	1.36225
SEC61A2	-1.35791666666667
HIST1H1D	-0.0715
SFXN4	-0.3515
UCP3	0.6896
ZNF703	1.37483333333333
MYL6B	-0.55675
TREM1	1.9425
OR52E6	0.356
CKMT2	1.3645
HLA-C	1.15825
SLC13A3	-2.20666666666667
TIMP4	-1.88175
SLIT2	2.581
RSF1	0.397277777777778
LONRF1	-0.676285714285714
MON1A	-0.398166666666667
CACNG6	-1.78766666666667
DPPA4	-5.535
ZSWIM3	0.0505
ZNF804A	0.0736666666666667
CCIN	1.971
SLC25A31	1.2665
KCNMB4	0.9795
RABL5	0.466625
GALNS	-0.6615
STX6	1.298125
HIST1H1C	-1.304
CIDEB	-0.485375
CASP4	-0.524333333333333
PDK3	0.0849
KCNJ11	2.7815
TPR	0.025125
ZSCAN20	-0.4005
MTX2	0.1655
HIST1H2BH	-0.5195
LOC283767	1.25475
LYRM7	-0.689111111111111
BRD3	0.8005
HIST1H2BO	-0.5525
MAGEB10	0.3425
SLC45A1	1.4885
SERPINA3	1.1007
KIAA0143	0.99275
KCNJ16	0.1395
KRT79	0.72025
FABP2	-0.70975
NUT	0.39175
ZNF57	-0.38275
FBXL4	0.842375
CLEC9A	1.0205
UGT8	-0.935333333333333
BMP2K	0.042
MAPK4	-4.107
SLC25A23	-0.5946
HINT1	-0.5898
KRTAP13-1	-0.217
SFXN5	-0.2406
CHCHD2	-0.3225
FAM3D	0.562
NDP	2.5725
RHOBTB1	0.238166666666667
SLC4A4	-1.29825
RPL38	-0.128
HTF9C	-1.38683333333333
AP2A2	0.226
ZBTB46	-0.04
MAP7D1	-0.307875
AOX1	-1.4485
CYR61	1.00133333333333
DTNA	-0.788857142857143
JRKL	-0.19925
TMOD3	-0.299
EEA1	-0.0355
ADCK5	-1.12
IL1R1	1.05566666666667
KLK3	0.725857142857143
HRSP12	-1.08975
KTN1	0.13575
LOH11CR2A	0.9977
RELL2	-2.16325
MAB21L1	1.716
C20orf59	-1.19733333333333
PHKB	-0.766
ADAM2	-1.83316666666667
TBC1D8B	1.6515
FAM13A1	-1.2635625
LAPTM4B	-1.67733333333333
LCN8	-0.1435
TMEM147	0.0755
SYT4	0.3735
XPO7	-0.4935
C9orf62	1.526
GPR75	-0.0295
TRIM5	0.3035
APOC1	-0.461
RNASE4	0.278833333333333
PARD6B	-0.65275
ARID1A	0.705416666666667
TPD52L3	0.279444444444444
RRAGB	1.55333333333333
RCN2	-0.6625
HIST2H2BE	0.4288125
STARD7	-0.165
SHMT2	-1.39575
KIAA1751	-0.297333333333333
MLYCD	-0.132625
LOC162632	-0.0801
UQCRH	-1.74975
RP11-217H1.1	0.0445
SDHA	-1.36783333333333
NCLN	-0.9994
ZNF17	1.10516666666667
RCBTB2	-1.991
VEGFB	-0.6675
RP4-747L4.3	0.2015
COLQ	0.6987
MPN2	-0.898166666666667
DRG2	-0.39025
KLRB1	3.78525
ALPK2	-2.07325
DNASE2B	0.28425
FLJ23834	-0.398666666666667
AXUD1	0.956166666666667
SAFB	0.1641
NSUN4	0.13925
RFX2	0.0948333333333333
MAPK8IP1	-0.240833333333333
FANCD2	-1.49735714285714
ANKZF1	-1.4395
C19orf50	-0.712125
DUSP8	0.882
SENP5	-0.39375
NFKBIL2	-1.14875
LBR	-1.971125
IGFL1	-0.6055
LZTS2	0.02325
IL2RG	-1.306375
CCDC51	0.11525
KLF3	0.508
ANKRD37	-1.23075
KCTD14	-1.52433333333333
FZR1	-0.17075
SLC44A4	4.0365
ESPL1	-1.20825
GMPR2	-0.1229
TBC1D19	0.135833333333333
ERGIC1	0.290444444444444
ERBB4	4.588
TSPAN32	-0.0963333333333333
MAP4	0.3275
GPHN	-1.16325
SLC6A2	-0.132625
HIVEP1	0.6325
DFFB	-0.2736
EIF4EBP2	0.349875
DMRT1	-0.48125
HSPB6	0.07425
IER2	0.979833333333333
AIFM1	-0.3775
WWC2	0.41375
MRPL4	-0.701
FLJ21062	1.271
EPB41L4A	1.49825
SH2D6	0.05325
TAF4B	-0.6395
GAL3ST3	-0.3805
MALT1	-0.875
RTDR1	-0.62225
ARVCF	-0.1745
MEX3B	-0.689333333333333
FBXO16	1.71725
KIF7	-1.351
C1QC	3.59233333333333
ZNF783	-0.158
ZNF85	0.84575
MMP13	4.043
KIAA0329	0.291375
RTP3	-0.615
ZBED3	-0.30675
CLGN	-1.806
SLC25A37	-1.309375
hCG_18290	0.30975
OR5AS1	-0.175
SMARCC2	0.887916666666667
FAM109A	0.181166666666667
CCDC12	0.02675
USF2	0.3112
DEPDC7	-1.29575
C20orf24	-1.1285
JMJD3	1.0235
DSP	0.902428571428571
SLIC1	-0.1
FAM20A	0.618
IRF2BP2	0.988875
ZNF230	0.2395
MSN	-0.914857142857143
SLC9A5	-2.4585
EPDR1	-1.4213
