Hybridization REF	TCGA-AQ-A04J-01A-02R-A034-07
CIAO1	-0.42875
SELL	3.134375
OR8J3	-0.191
LTBP4	0.2635
SIRT6	-0.56325
CCL19	5.6145
PPIL1	-0.397166666666667
GBP7	0.2598
STK17A	-0.0425
ABR	-0.54175
OR9G1	-0.3595
FOXE1	-0.793
CNGA3	-0.26
GML	0.3905
CD38	-0.23875
ZDHHC6	-0.164
NEFH	-2.56275
CTDSP2	0.05325
PGBD5	0.967666666666667
CCNY	0.905857142857143
RMND5B	0.01325
ZNF257	-1.9625
FLJ22167	-0.130375
EXOSC7	-1.00933333333333
ROR2	0.460625
MAOA	0.32625
TNNT3	0.406666666666667
GYPC	-0.12325
C7orf33	0.3045
PLIN	1.51966666666667
LOC90826	-0.055
RNF4	-0.4748
F8A1	0.597166666666667
PLEKHG4	0.148
GRB2	0.1211
HIST1H2AD	0.98125
DUS3L	-0.467
EIF1	-0.679333333333333
RP5-1077B9.4	-0.746666666666667
FPGT	0.77525
GDF10	1.2295
COQ9	0.1305
GCC2	0.312071428571429
RARRES3	2.200125
PLXNA1	-0.3228
KIAA0100	-0.8973
PMF1	0.1075
FNDC1	5.333
HS2ST1	0.133583333333333
CRELD2	1.2025
C8G	-1.124
CD82	2.744
LIM2	-1.599
UNQ6490	-0.735
MMP16	-0.18775
DRD3	-0.01075
C5orf26	-1.498
C11orf73	-0.088875
PTP4A2	-0.406625
OR4M2	0.4965
HPCA	-0.3815
SEC14L1	-0.3635
CHFR	-0.44875
EMILIN1	1.04925
NDUFS4	-0.936
COL18A1	0.80825
PDZD3	-0.212
C9orf16	-0.0821666666666667
ERBB2IP	0.00766666666666665
EMX2	3.75125
FUS	-0.66975
TF	-3.1678
CLCN4	1.219
CXorf56	0.18325
C11orf72	0.4635
ELAC2	-0.58825
NPR1	0.27525
ASS1	-0.1895
USP42	0.57925
POLR2J	-1.5135
SEC23IP	0.434
UQCRC1	-0.49875
LOC729603	-0.12975
C1orf71	-0.73525
POLG	-0.16
ADAM23	-3.527
TFR2	-1.31625
RICTOR	-0.7664
MGC39606	1.51825
C19orf55	-0.185625
SNAPC1	-1.1795
GNA11	0.6385
CCDC52	-0.690666666666667
FSIP1	-0.6245
UPF3A	0.1685
IGSF11	-1.9065
LAGE3	-0.14725
CHST6	-0.0065
UNC13B	0.1315
TTLL4	1.657125
ZNF687	0.046875
SDC2	0.00550000000000001
COX7A2	0.07125
LAMB4	-0.009
FAM24A	-0.016
LRRTM3	-0.759166666666667
GPHB5	-0.056
OR4C13	0.217
EIF3EIP	0.322857142857143
HABP4	-0.0945
TMEM125	3.565
CNTN2	0.646125
ASNSD1	0.01125
FUT4	0.51475
ACF	-3.90725
LOC158381	-0.5455
CDH8	0.44125
AGPS	-0.5975
C4orf18	1.954125
PECI	-1.05075
UNG	-0.403625
GSTP1	0.4955
DCUN1D5	-1.53183333333333
DKFZP564J0863	-0.713
SLC9A3R1	-0.060125
BCDO2	-0.63575
CHMP7	0.36025
REM2	0.764
DNHD1	-0.585375
FKBP4	-0.21775
ZNF350	1.001
MGC11102	-0.09075
BST1	1.114
KISS1R	1.0275
NCR2	0.0575
DEFB125	0.119
UBE2W	0.836625
KRT15	4.342875
C10orf99	0.1985
SCN11A	0.9525
GFI1	-0.77
RDHE2	0.392666666666667
FHL1	0.0308333333333333
OSGEP	0.00816666666666666
GATA1	-3.855
SMC6	-0.0835
TTTY14	-0.7215
LPIN3	-0.3015
RPL4	-0.4712
RBPMS	0.6397
PRPF3	0.806166666666667
EMR1	-2.287
SPATA19	0.1915
XCR1	0.223
IRX3	1.9974
RBM6	-0.62425
KLF4	-0.5333
UNC5CL	-0.39425
SEBOX	0.2
BTK	0.30575
KRCC1	1.14525
C6orf27	0.3255
SYTL5	-0.7105
PRND	2.997
LOC653319	-0.84
PIGL	-1.996375
HUS1	-0.1225
SFRS6	-0.384416666666667
C17orf77	-0.024
UIMC1	-0.6185
FXYD2	-1.6768
LOC283152	0.0895
ZNF667	0.76575
ZCCHC12	0.0795
TFEC	3.3646
ATP7B	-1.63383333333333
POLD2	-0.475333333333333
RG9MTD1	0.43125
ACOT2	-1.39766666666667
HIST1H4I	-0.141375
PPARGC1A	-1.562
ETFA	-1.038
POLRMT	-0.67025
ZNF146	0.00812499999999999
MIA2	-1.2445
KLHL6	0.363166666666667
HOXB5	-1.163375
NENF	0.607666666666667
CUGBP1	0.636
PRSS22	1.82816666666667
CASC4	0.4904
CUL4B	0.4214
CENPJ	-0.8699
PITX1	0.2805
FLJ31033	0.422166666666667
CELSR3	-2.441
ZNF568	0.06325
ITSN1	-0.72375
EHBP1L1	-0.231166666666667
C19orf2	0.18425
DCTN1	0.30325
LIN28B	-3.01316666666667
TNKS2	-0.87425
C1QBP	-1.1055
CADPS2	0.7645
SRMS	-0.06
GJA9	-0.0485
MGC24975	-1.0915
TRIM45	-0.726333333333333
TSP50	0.38775
TCP1	-0.9605
TMED7	-0.4407
CMA1	1.132
CENPL	-0.256666666666667
PTCRA	0.554
FST	-3.34375
VWCE	-3.188
PAWR	-0.77525
ABCC12	0.390833333333333
LDLR	-1.0145
ASTN2	0.4921
LOC441212	-0.338375
GPATCH8	-0.27775
TANC2	-1.03483333333333
KIF4A	-0.8205
C18orf18	-0.4385
PGM1	-0.22225
KIAA0258	0.846
CPD	-0.09275
SNCAIP	-0.8455
DCT	-4.28416666666667
HLA-DOA	3.01431818181818
OR11L1	0.4285
UPK1B	-0.0288333333333333
DNAJB4	0.337
UGT1A8	-0.26
HIST1H4L	0.71
PECR	-1.59666666666667
HSPA2	1.927
WFIKKN1	-2.7025
SERP1	0.229125
SYDE2	0.633
TACR2	0.2655
NUP85	-0.20375
CD177	-0.359
LGR5	-2.39283333333333
PIGG	-1.00458333333333
PTHR1	-1.87966666666667
RAB5A	-0.6035
FLJ13224	0.5375
USP9Y	-2.16716666666667
C7orf53	-0.9795
LRP1B	-1.0055
XAF1	2.532
ABCG8	-1.2825
ANKDD1A	-0.0288333333333333
DAND5	-0.605
SPAG6	0.225833333333333
LINCR	2.70125
ZDHHC22	-1.76575
CCDC60	-0.4705
THOC7	-1.503
TCTA	0.2051
OR8K3	0.05525
NY-REN-7	-0.0655
B2M	1.41166666666667
C6orf141	-0.960125
LPPR4	2.29425
SQLE	0.08925
SEPHS1	0.18425
BTBD14B	0.610428571428571
PLRG1	0.114
SPG7	-0.01875
ZNF614	-0.410166666666667
PARD6G	0.996333333333333
INPP5B	0.234
GRPEL2	-0.429
PPID	-0.5485
TRIM56	-0.02875
UBE2J1	1.003875
IL20RA	2.715
LOC387856	0.66975
C1orf107	0.271583333333333
UTS2R	1.27925
C19orf22	-0.3755
SAFB2	-0.13175
KIAA0652	0.595875
KLRG1	0.382166666666667
MS4A8B	-0.08
FRAG1	-0.44625
KIAA1546	1.54275
E2F4	-0.3494
CLEC4M	-0.0166666666666667
BTBD14A	-0.8565
KIAA0999	0.5205
GYPA	-3.993
TAC1	1.1428
TRAIP	-1.52683333333333
KIAA0232	-0.4924
ERCC8	-1.77775
GPX4	-0.494625
KIAA0368	-0.988875
GPR157	0.1385
CTAGE4	0.044
C9orf30	-0.5815
OR52A1	0.2595
HSP90B3P	-0.633
ALG9	-1.0524
BTBD10	0.33475
SDK2	0.403
BAIAP3	-1.649
RABGGTB	-1.0755
ANKRD40	-0.233
KRT74	-0.1505
CALCOCO2	-0.195642857142857
SNCA	-3.2285
TMSL8	-0.064
C2orf53	-0.6325
ESRRB	-0.25475
ARHGAP26	-0.04375
TDRD9	-2.23175
HRAS	0.147666666666667
KLRC4	-2.149
JAGN1	0.191833333333333
BSDC1	-0.3615
RNF43	0.3608
NDUFAF1	-0.91025
PHF12	0.30275
OR1L3	0.28075
FOLR2	2.27783333333333
LYZL6	0.408166666666667
tcag7.1260	-1.5315
WSB1	-1.37666666666667
PROS1	-0.1611
OSTN	0.5275
PSMB8	1.03075
SOCS4	0.011375
DDIT4L	1.793
MAS1	0.3725
MGC34796	0.264
CSHL1	0.335333333333333
TBCCD1	0.280666666666667
ZBTB7C	-0.2195
AP2S1	-0.305125
P15RS	0.5898
VAT1	-1.2036
SHANK3	1.74366666666667
TUFM	-0.442
THEG	0.62975
KRT34	-1.08625
SGSM3	0.4415
TOMM22	-0.074
SOCS3	1.4995
CPO	1.21
POP4	0.02725
BHLHB3	0.8785
MALL	2.89225
OR1B1	0.031
PARK2	1.0075
GPR124	1.146375
LCE1E	-0.0195
RUVBL2	-0.48075
CGRRF1	-0.1009
ACPL2	0.136
WNT10B	-1.26125
BAIAP2L2	-1.245625
ISCA1	-0.1585
C1orf125	0.43325
RPAP1	-1.188
RAI16	0.0438333333333333
RPL27	-1.031875
NLRP9	0.262
EPN1	-0.1115
LOC388610	-1.23475
SLC35A1	0.2761
GAL	-1.82775
SLC14A2	-0.01125
RDH11	-1.036
FAM138F	-0.634
AUH	-0.38825
FLJ40243	0.33825
C14orf129	-0.3025
MBD2	-0.687166666666667
ABHD14B	-0.433
PIGT	-0.128875
ALS2CR4	0.43325
ALAS1	0.117
FOXO1	1.92333333333333
CRLF3	-0.666625
C20orf107	-0.1235
FARS2	0.282
CCDC28A	0.43925
NPHP3	-0.27325
OR13F1	0.3015
TSEN54	0.00225
DEFB106B	0.2032
OR8B4	0.0875
STH	-0.68275
ZC3H14	-0.58875
CBX2	-0.439
TMEM49	-1.4815
C6orf21	0.3195
FLJ20920	-0.139875
CRTAP	-0.772428571428572
DDX50	-0.47725
STYXL1	-0.42875
BLVRB	-1.06066666666667
LOC147650	-0.00916666666666666
MMP24	0.2575
GRID1	1.998
BANF1	0.0758333333333333
CTAGEP	0.14
HMBS	-2.1265
SLC25A24	-0.420666666666667
C14orf50	1.03975
MRO	0.265166666666667
SLC25A15	-0.4875
FAM84B	0.8849
TDP1	-0.7325
C16orf78	-0.0722
C11orf57	-0.233
RFK	-0.8545
ZFYVE9	-0.0415
STCH	-0.5497
WIBG	-0.21875
LOC283871	-0.848
GBA2	-0.8091
NDUFB3	-0.2315
HSD17B13	-1.47325
GRIN3A	0.6455
FMNL1	0.0615
SEPT7	0.0237
GNLY	3.5545
GRAMD1C	1.26883333333333
ZNF165	0.12675
USP38	0.7565
FAM83A	-2.85216666666667
C14orf24	0.565583333333333
ARMCX3	0.8515
ARHGDIB	1.04516666666667
AK1	-0.38125
KIAA1045	0.97425
DNAJB13	-0.501166666666667
NEU2	-0.003
HIST1H4B	-0.0831666666666667
FAM20B	0.087
HES2	0.0401428571428571
FAM73B	-0.7998
LOC388381	-0.279
INTS7	0.0881818181818182
AMPH	0.346
ZNF775	-0.13675
UCKL1	-0.455333333333333
C10orf97	-0.68175
C1orf161	-0.25
ALDH1L1	1.01925
FLJ39378	-0.45425
SLC23A1	-3.1
RBM4B	0.193
THAP4	0.176166666666667
OGFRL1	3.55
KIAA0831	-0.08075
PPP1R15A	-0.2185
C1orf96	0.198071428571429
C12orf11	-1.957
BMF	0.6835
MAN1A1	-0.695875
KIAA1600	0.5555
NLGN4X	3.036
ALOX12	-1.6515
RB1CC1	0.5033
NEIL2	0.446
EIF4E	0.105636363636364
ABHD5	-0.2285
EXOC4	-0.2535
CIP29	-0.542166666666667
BATF2	1.15675
SLC29A4	-0.1005
HTR4	0.39075
EMB	-0.08725
TRAF6	1.109
LMNB1	-1.02425
FAM19A5	0.733125
SHE	2.376
PIK3C2B	1.18525
C15orf15	-0.834
USP15	-0.6896
TCEAL2	1.15
C5orf39	0.439833333333333
PTGER2	-0.0185
SLC31A1	-0.7089375
IFT172	0.284
ADAM29	0.2055
GFOD1	1.14875
ST7L	0.568333333333333
C15orf26	-2.90675
PKN3	-0.91675
CNTD1	-0.623333333333333
COMMD1	0.379875
NTRK2	3.47216666666667
FOXN3	0.404375
MFGE8	2.643
PFKFB2	0.680166666666667
TAS2R4	-0.2115
ENTHD1	0.913
PRMT5	-0.816875
MGC16384	-0.443125
LOC442229	-0.25625
TSKU	0.275125
KRTCAP3	3.313625
PDLIM1	0.5973
KCNS2	0.1665
RNF126	-0.876333333333333
CEP63	-0.232125
CLIC4	0.505375
hCG_1990170	3.59775
ACR	0.4573
KLK7	5.86575
ALOX5AP	3.96925
RIPK3	3.61275
TAS2R9	0.145
C19orf18	0.1505
BIRC6	0.1085
ZNF16	0.8725
RFT1	-0.47825
SLC8A2	-0.7785
TACC1	0.813
ITGAD	1.35475
SAMHD1	1.04325
SH3PXD2B	1.0786
EPC2	1.67
C20orf85	0.1505
ATP13A2	-0.299
KRT4	0.92325
CAPNS1	0.17625
MDM2	-0.4955
PCDH20	0.9935
KCNK9	0.4345
OR2C1	-0.4045
KLHDC3	0.110166666666667
IPPK	0.3235
EFHD2	0.06075
GALR3	1.45525
NBEA	-0.782666666666667
ABCA6	2.774
CLDN3	1.86
AKT2	-0.825928571428571
EGFR	0.271
RBM16	0.3805
ZDHHC3	-0.1072
SLC25A4	0.142333333333333
CYB5B	-1.42133333333333
CPXM1	-0.296
NDRG1	1.36761538461538
FLJ43826	0.306
OR5L2	0.172333333333333
FARP2	-0.3496
MRPL46	-0.239083333333333
LDHAL6B	0.12
MAPKAPK3	-0.658666666666667
NCAM2	-2.682
PRKD2	0.647833333333333
ZFP36L1	0.9048
CYSLTR1	0.595
OR4C3	0.13725
HIST1H2AJ	1.583
CCNB2	-0.651
ZNF10	-0.293375
TMEM175	0.627
FAM134A	0.447333333333333
TIGD4	-0.1595
PCNP	-0.3135
MGC39715	0.24925
LQK1	-0.432
CREB1	0.8571
TMPRSS3	1.51375
C4orf32	-0.30625
LAT	-0.44
KCNA3	-0.1595
SKIV2L2	-1.33675
ROPN1B	4.4765
tcag7.23	-0.58
CDT1	-1.82525
ZHX2	1.706125
CD28	-1.096
ZNF624	0.1495
SEPT2	-0.159333333333333
SOHLH2	-2.095
MCOLN3	-0.53225
UNQ1945	0.5095
MASP2	-1.0325
ZNRF3	-0.5095
GPATCH3	-0.692
AGL	0.73475
QRICH2	0.5625
PSD4	0.717833333333333
CCNB1IP1	-0.80175
ENPP7	-0.1255
OBFC1	-0.43675
KCNG3	-2.04075
C14orf79	-0.895
ENPEP	3.52733333333333
SCT	1.235
SKI	1.600375
SEC61G	0.058
CAPN11	0.7505
ATXN7L3	-0.35225
DBNDD1	-0.463833333333333
FAIM	0.5365
ANKRD36	0.234
GABRP	5.02366666666667
TACSTD2	2.8705
EIF3J	-0.786
PPP2R2A	-0.46525
TEKT4	0.0275
PVALB	-3.38533333333333
F10	-1.95383333333333
FAM134C	0.1883
COMP	4.567
EFCBP1	-2.4921875
SCLT1	1.296
TAL1	-0.6539
ACSL1	1.05325
ABCC5	-0.226666666666667
ABL1	-0.552277777777778
RBBP7	0.256333333333333
PTPRG	0.479
NCOR1	-0.2808
SPINK4	-2.50766666666667
TXNRD1	-1.5425
TNRC15	0.522
C9orf138	0.440875
UBE2H	0.213166666666667
BRDT	0.1052
C8orf31	-0.319
CCNE2	0.0276363636363636
SLC6A8	-1.556625
CALCR	-4.28675
PPP1CB	1.01466666666667
ABHD8	0.06775
ARF5	-0.2487
SLC24A4	0.88375
CCT3	-0.021
ZNF121	0.432125
SLC3A2	-0.8793
OR13A1	0.1545
SLC5A10	-0.52375
RAD50	-1.09225
IER5	0.50825
MTHFD1L	-1.0215
MBTPS2	-0.408
MVK	-1.284
NCL	-0.3401
PSMD10	-0.40225
MOBP	0.41475
FLJ32894	-0.78
HRH1	-0.0191666666666667
C5orf30	-1.26975
NUDT16L1	0.5255
RASGRP3	4.85583333333333
PRKRIP1	-0.971
CCDC75	0.54975
LOC253970	0.26575
KIAA1239	-0.10475
MED21	-0.2035
SYT11	1.08458333333333
NTSR2	-0.0735
EGFL11	0.6205
CXorf59	0.137
OR2A25	0.2645
SPTBN2	0.1675
LRMP	0.216833333333333
RNF111	0.41625
PTH	-0.189
LOC619208	0.645666666666667
KIAA0895	0.58675
RANBP5	0.223625
P2RY10	2.7755
NME5	0.636833333333333
DDX21	-0.94625
LRSAM1	0.004
HDAC11	0.151333333333333
VMO1	1.85375
NOLA2	-0.157166666666667
ADAR	0.732083333333333
MTO1	-0.729
SF4	0.299333333333333
P2RX1	0.0495
HBM	0.00124999999999997
EN2	1.3515
C14orf172	-0.437
TM9SF2	1.3192
INHBE	-1.601
TCTE3	0.17725
TOX2	-1.27375
CTAGE3	0.23425
HBB	3.4055
MED15	-0.269
CASR	0.24075
C6orf66	0.21
MTPN	0.508
UNC50	-0.35375
C21orf33	-0.1315
IRF2	1.038375
PGR	-1.98733333333333
GPR84	2.79925
CROCCL1	-2.6115
SRPX	-1.4415
BRE	-0.0715
FGF10	0.7765
SDC3	-0.772
ZRSR1	0.327333333333333
DKFZP434P211	0.1595
SOX6	0.3755
RPUSD2	-0.32575
C14orf173	-0.609916666666667
MAPK11	-0.004
TBC1D22A	0.5505
FAM123A	-0.633
COL4A6	-2.432
TOMM70A	-0.46825
NAB1	0.90025
MGC16385	0.458375
TSPAN18	0.713666666666667
MED31	-0.974
PLG	-0.21725
CAPSL	0.505
ZNF532	0.5617
ASB14	-0.11
CA8	-0.7945
NUDT16P	0.0325
SLFN11	-0.3405
LRRIQ2	-0.195625
NOL7	-0.415166666666667
BRMS1L	0.11275
JARID1A	1.30933333333333
PANK2	-0.6515
ICAM3	0.221
MDS1	0.835
TAF8	-0.4685
RNF139	0.46625
ZNF594	-0.1435
ADAM8	2.0135
SFTPC	0.149125
MAN2B2	0.488
RGS12	0.148125
EIF1AY	-4.73625
LRRIQ1	-1.52116666666667
GPR150	1.5615
CCDC21	-1.6095
PRRG3	2.1145
SAA4	-1.31275
RAPGEF5	2.4685
ZCCHC2	-0.122166666666667
MGC39372	0.8475
PPP4R2	0.308666666666667
CDCA2	-0.340333333333333
OR4D5	0.878166666666667
PTGFRN	1.1674
SIGLEC5	0.368666666666667
C19orf61	-0.285
NMUR2	0.039
KIAA1586	-0.774166666666667
DAGLA	-0.0641666666666667
CHCHD6	0.0625
GPR32	0.2695
NEUROD6	-0.0786666666666667
SLC2A4RG	0.2081875
CA5B	0.101
FBXL3	1.30475
MPHOSPH9	-1.726
HMG2L1	0.68125
HCN4	0.877166666666667
CEACAM19	0.93375
SH2D4B	0.562666666666667
HFE2	-0.828
TGM4	-0.3482
LYPD2	-0.11325
TBC1D15	-0.10725
MRPS21	0.1224
NONO	-0.733
CLEC5A	1.942625
ITCH	-0.0463
MGAT3	0.0835
MBP	-0.27125
RPP25	-0.256
SOSTDC1	3.33675
HRC	-0.959
TRIM48	0.3065
TMEM133	0.61425
ECEL1P2	-1.57575
HOXC11	0.137
DOK5	1.456
HELZ	0.669833333333333
LOC348180	-0.26875
MGC33894	0.04325
ADRB3	-0.0125
DMD	1.75966666666667
PTRH2	-0.038
MPEG1	3.543
NDUFA12	-0.776
KRTAP2-4	0.0045
STAMBPL1	-1.25666666666667
ADCY2	0.712333333333333
UNQ6125	0.128
KLHL20	0.202166666666667
SRM	-0.869
OTC	-0.0945
TMIE	1.13833333333333
SNX8	0.01425
LIPK	0.694
CHURC1	-0.397083333333333
KLC2	0.116833333333333
HDAC1	-0.718666666666667
FAM128A	-0.7235
FNDC3B	0.1143
MTCP1	-0.352666666666667
WFDC10B	0.179
PCDHGB3	0.0335
ATRNL1	-1.0845
CAV2	-0.131
MED26	0.407
DUS1L	0.4775
CHRM3	0.298875
NEK9	-0.5825
WARS2	0.22275
TBX22	0.5035
TOMM40	-0.61925
RP6-213H19.1	-0.277833333333333
TUBGCP5	-0.8805
IGSF6	4.89525
TPPP	-0.1695
UNQ6190	0.144
GSTM5	-0.190375
BTD	-0.418666666666667
PDCD1LG2	0.592666666666667
SNRPB2	-0.0905
ERICH1	0.150875
APOA4	-2.009375
HOXA11	-2.6715
NARG1	-0.329125
MKX	-0.0785
RAB28	-0.620928571428571
PKP3	0.414
SH3GL2	-1.06575
CTSO	2.36125
RPN2	0.6231875
IL28RA	0.660833333333333
SFMBT1	-0.03425
WDR57	-1.65325
FER1L3	0.579666666666667
HSF5	0.6442
TTC9B	0.029
C4BPA	-1.04766666666667
ALB	-4.77628571428571
SORBS3	0.293
UPF2	-0.4755
JPH1	-0.011
AGBL2	-1.393
DOPEY1	1.9605
TERF1	-0.413
KIF22	-0.439333333333333
NINJ1	0.11475
SEC61A2	-1.04325
HIST1H1D	0.503166666666667
SFXN4	-0.8695
UCP3	0.6799
ZNF703	0.315
MYL6B	-0.5305
TREM1	1.88975
OR52E6	0.2695
CKMT2	2.40875
HLA-C	2.187125
SLC13A3	-1.63433333333333
TIMP4	-1.67725
SLIT2	2.4915
RSF1	0.458555555555556
LONRF1	-0.327142857142857
MON1A	-0.349666666666667
CACNG6	-1.76016666666667
DPPA4	-5.08416666666667
ZSWIM3	0.83725
ZNF804A	0.76
CCIN	1.2825
SLC25A31	-0.02375
KCNMB4	-1.42725
RABL5	-0.27475
GALNS	-0.15
STX6	1.39375
HIST1H1C	0.444166666666667
CIDEB	1.052125
CASP4	0.149666666666667
PDK3	0.2303
KCNJ11	-0.1265
TPR	0.446875
ZSCAN20	-1.6565
MTX2	-0.297
HIST1H2BH	0.708
LOC283767	2.109
LYRM7	-1.69016666666667
BRD3	0.657333333333333
HIST1H2BO	0.5905
MAGEB10	0.0465
SLC45A1	0.91675
SERPINA3	1.1991
KIAA0143	0.944
KCNJ16	3.23466666666667
KRT79	-0.66425
FABP2	-1.03475
NUT	-0.62325
ZNF57	-1.08275
FBXL4	0.438875
CLEC9A	2.556
UGT8	2.37783333333333
BMP2K	0.35925
MAPK4	-1.27525
SLC25A23	-1.2119
HINT1	-0.8642
KRTAP13-1	0.624
SFXN5	-0.7796
CHCHD2	0.290583333333333
FAM3D	4.479
NDP	-1.816625
RHOBTB1	-0.479
SLC4A4	-1.123375
RPL38	0.02325
HTF9C	-0.291
AP2A2	0.26075
ZBTB46	0.131
MAP7D1	-0.0815
AOX1	-1.329
CYR61	0.83425
DTNA	0.175928571428571
JRKL	0.135
TMOD3	-0.8185
EEA1	-0.039
ADCK5	0.4165
IL1R1	1.669
KLK3	0.455785714285714
HRSP12	0.0855
KTN1	0.3085
LOH11CR2A	1.0804
RELL2	-1.46775
MAB21L1	1.654
C20orf59	-1.21816666666667
PHKB	0.4025
ADAM2	-2.22216666666667
TBC1D8B	0.985833333333333
FAM13A1	0.200625
LAPTM4B	0.17625
LCN8	0.2975
TMEM147	0.432
SYT4	0.131333333333333
XPO7	0.1755
C9orf62	1.556
GPR75	0.5655
TRIM5	0.208
APOC1	-0.449
RNASE4	-0.774333333333333
PARD6B	-2.92925
ARID1A	0.029
TPD52L3	0.709666666666667
RRAGB	0.810833333333333
RCN2	0.5255
HIST2H2BE	0.635125
STARD7	0.47575
SHMT2	-0.8845
KIAA1751	-0.0151666666666667
MLYCD	0.452375
LOC162632	-0.7117
UQCRH	-0.8325
RP11-217H1.1	0.793125
SDHA	-0.962333333333333
NCLN	-0.553
ZNF17	0.402166666666667
RCBTB2	-1.529
VEGFB	-0.2434
RP4-747L4.3	0.95075
COLQ	0.1234
MPN2	-1.08166666666667
DRG2	-0.75175
KLRB1	6.59575
ALPK2	-1.83625
DNASE2B	1.75775
FLJ23834	-0.402666666666667
AXUD1	1.14333333333333
SAFB	-0.051
NSUN4	0.5125
RFX2	-0.2885
MAPK8IP1	0.086
FANCD2	-0.669714285714286
ANKZF1	-0.907
C19orf50	-0.47
DUSP8	1.014
SENP5	0.053
NFKBIL2	-0.02075
LBR	-0.242875
IGFL1	0.804
LZTS2	1.09275
IL2RG	1.355375
CCDC51	-0.552
KLF3	-0.015
ANKRD37	-1.32725
KCTD14	2.10266666666667
FZR1	-0.213833333333333
SLC44A4	0.1151
ESPL1	-0.507875
GMPR2	-0.7149
TBC1D19	-0.916333333333333
ERGIC1	-0.918925925925926
ERBB4	0.0487
TSPAN32	1.11433333333333
MAP4	-0.1575
GPHN	-0.93475
SLC6A2	3.828375
HIVEP1	0.642
DFFB	-0.3784
EIF4EBP2	0.43675
DMRT1	4.47875
HSPB6	-0.42225
IER2	0.429166666666667
AIFM1	-0.25525
WWC2	0.0829999999999999
MRPL4	-0.222
FLJ21062	-0.703333333333333
EPB41L4A	0.260083333333333
SH2D6	0.2045
TAF4B	0.0395
GAL3ST3	-0.1145
MALT1	-0.194
RTDR1	0.09525
ARVCF	-0.135125
MEX3B	0.6065
FBXO16	-0.596
KIF7	-0.6385
C1QC	4.23666666666667
ZNF783	-0.820166666666667
ZNF85	-0.29325
MMP13	0.0435
KIAA0329	0.177625
RTP3	-0.4655
ZBED3	0.64725
CLGN	-3.3875
SLC25A37	0.632458333333333
hCG_18290	0.0255
OR5AS1	0.142
SMARCC2	0.509083333333333
FAM109A	-0.5215
CCDC12	-0.4915
USF2	0.3966
DEPDC7	-1.7205
C20orf24	-0.481
JMJD3	0.371
DSP	1.28285714285714
SLIC1	0.969125
FAM20A	2.547375
IRF2BP2	1.53525
ZNF230	-0.9635
MSN	0.438714285714286
SLC9A5	-1.9145
EPDR1	-1.9541
MUSK	0.352666666666667
ZNF434	-0.3615
SMARCD1	-0.682833333333333
ZFP106	-0.4125
ZNF347	-0.1604
GTF2E1	0.33075
RY1	-0.5755
