Hybridization REF	TCGA-BH-A0EB-01A-11R-A034-07
HABP4	-0.751
TMEM125	3.433
CNTN2	0.37525
ASNSD1	-0.711
FUT4	0.13875
ACF	-4.128
LOC158381	0.5435
CDH8	0.44025
AGPS	-0.042
C4orf18	4.822875
PECI	-0.10225
UNG	-0.93525
GSTP1	0.787
DCUN1D5	-1.12233333333333
DKFZP564J0863	-0.69875
SLC9A3R1	0.93425
BCDO2	-0.557875
CHMP7	-0.0115
REM2	0.2625
DNHD1	-0.844125
FKBP4	-0.103
ZNF350	1.9275
MGC11102	0.003125
BST1	1.1115
KISS1R	0.573
NCR2	0.016
DEFB125	0.3315
UBE2W	0.864375
KRT15	3.783875
C10orf99	0.312
SCN11A	0.178875
GFI1	-1.8295
RDHE2	1.26933333333333
FHL1	-1.248
OSGEP	-0.163
GATA1	-3.557
SMC6	-1.19425
TTTY14	-0.96025
LPIN3	-0.14375
RPL4	-0.5322
RBPMS	0.4447
PRPF3	-0.513666666666667
EMR1	-0.354
SPATA19	0.1745
XCR1	0.3175
IRX3	1.5863
RBM6	-0.6985
KLF4	-0.0688
UNC5CL	-1.6045
SEBOX	0.2825
BTK	0.605
KRCC1	0.756
C6orf27	0.567
SYTL5	-0.527
PRND	2.96375
LOC653319	-1.5595
PIGL	-1.2795
HUS1	0.197166666666667
SFRS6	0.285666666666667
C17orf77	-0.1195
UIMC1	-0.6475
FXYD2	-1.7063
LOC283152	2.35475
ZNF667	-0.736
ZCCHC12	-0.583
TFEC	3.7597
ATP7B	0.6105
POLD2	-0.694166666666667
RG9MTD1	-0.371
ACOT2	1.12433333333333
HIST1H4I	-0.8055
PPARGC1A	-2.275
ETFA	-1.8933
POLRMT	-0.40825
ZNF146	-0.1715
MIA2	-1.182
KLHL6	-0.089
HOXB5	-0.678375
NENF	0.331
CUGBP1	0.46275
PRSS22	1.772
CASC4	2.0613
CUL4B	0.3067
CENPJ	-1.9702
PITX1	0.546333333333333
FLJ31033	0.8985
CELSR3	-1.57166666666667
ZNF568	0.66975
ITSN1	0.366666666666667
EHBP1L1	-0.619333333333333
C19orf2	-0.9735
DCTN1	0.1725
LIN28B	-3.36716666666667
TNKS2	-1.29575
C1QBP	-0.522875
CADPS2	1.144
SRMS	0.416
GJA9	0.481333333333333
MGC24975	-1.19816666666667
TRIM45	0.411666666666667
TSP50	0.242
TCP1	-1.08175
TMED7	0.948
CMA1	0.1755
CENPL	-1.31216666666667
PTCRA	0.3775
FST	-3.3475
VWCE	-3.92175
PAWR	0.21125
ABCC12	0.519833333333333
LDLR	-0.9974
ASTN2	1.6521
LOC441212	-1.478125
GPATCH8	-0.221
TANC2	0.56525
KIF4A	-2.36175
C18orf18	-1.871
PGM1	-0.87725
KIAA0258	0.48975
CPD	0.876375
SNCAIP	-0.7085
DCT	-4.35266666666667
HLA-DOA	3.48627272727273
OR11L1	0.321
UPK1B	-0.684
DNAJB4	-0.710625
UGT1A8	-0.2445
HIST1H4L	-0.2155
PECR	-0.993166666666667
HSPA2	0.90525
WFIKKN1	-2.112
SERP1	1.04975
SYDE2	1.83175
TACR2	0.804
NUP85	-1.0385
CD177	1.08016666666667
LGR5	-1.51883333333333
PIGG	-0.05525
PTHR1	-1.4195
RAB5A	0.3621
FLJ13224	0.0205
USP9Y	-1.879
C7orf53	-2.329
LRP1B	3.17325
XAF1	2.1314
ABCG8	-0.585
ANKDD1A	-0.357333333333333
DAND5	-1.965
SPAG6	0.295666666666667
LINCR	1.7815
ZDHHC22	-0.312
CCDC60	0.389
THOC7	-1.31433333333333
TCTA	1.6449
OR8K3	0.129
NY-REN-7	-0.876666666666667
B2M	1.8635
C6orf141	-2.730125
LPPR4	1.122
SQLE	-2.120875
SEPHS1	-0.957
BTBD14B	0.396785714285714
PLRG1	-0.274
SPG7	-0.7605
ZNF614	-0.2725
PARD6G	0.724333333333333
INPP5B	-0.517
GRPEL2	-0.37925
PPID	-1.1084
TRIM56	-0.6555
UBE2J1	-0.213
IL20RA	1.69625
LOC387856	0.24875
C1orf107	0.418333333333333
UTS2R	0.77775
C19orf22	-0.182
SAFB2	0.4965
KIAA0652	-0.012875
KLRG1	-0.0191666666666667
MS4A8B	0.131166666666667
FRAG1	0.08625
KIAA1546	0.14525
E2F4	-1.1901
CLEC4M	-0.356833333333333
BTBD14A	-0.58925
KIAA0999	1.515
GYPA	-3.31766666666667
TAC1	1.7603
TRAIP	-1.49283333333333
KIAA0232	0.0292
ERCC8	-1.41275
GPX4	0.2595
KIAA0368	-0.721125
GPR157	-1.12416666666667
CTAGE4	0.4755
C9orf30	-1.868
OR52A1	0.2045
HSP90B3P	0.5995
ALG9	-0.3332
BTBD10	0.1815
SDK2	0.45725
BAIAP3	0.7745
RABGGTB	-0.945
ANKRD40	-0.123166666666667
KRT74	0.2225
CALCOCO2	0.2485
SNCA	-2.5655
TMSL8	-4.29625
C2orf53	-0.1935
ESRRB	-0.58625
ARHGAP26	-1.0075
TDRD9	-2.30775
HRAS	0.0411666666666667
KLRC4	-2.321
JAGN1	0.2465
BSDC1	0.372
RNF43	-0.6203
NDUFAF1	0.438
PHF12	0.4455
OR1L3	-0.076
FOLR2	1.19183333333333
LYZL6	0.215333333333333
tcag7.1260	-1.4775
WSB1	-1.27183333333333
PROS1	-0.5899
OSTN	0.5105
PSMB8	1.59425
SOCS4	-0.075375
DDIT4L	0.50125
MAS1	-0.359
MGC34796	1.35025
CSHL1	0.163333333333333
TBCCD1	0.0265
ZBTB7C	-0.06
AP2S1	-0.21075
P15RS	-0.1921
VAT1	-0.6459
SHANK3	0.806333333333333
TUFM	0.519166666666667
THEG	-0.57475
KRT34	-1.4065
SGSM3	0.0145
TOMM22	-0.704375
SOCS3	0.511
CPO	0.4955
POP4	0.04425
BHLHB3	2.0665
MALL	1.5075
OR1B1	0.22
PARK2	0.199333333333333
GPR124	0.76375
LCE1E	0.3415
RUVBL2	-0.575
CGRRF1	0.4673
ACPL2	0.681
WNT10B	-1.548375
BAIAP2L2	-1.97875
ISCA1	-0.3605
C1orf125	-0.20575
RPAP1	-0.959
RAI16	0.091
RPL27	-0.638375
NLRP9	0.1185
EPN1	-0.0645
LOC388610	-1.740625
SLC35A1	0.8579
GAL	-4.1465
SLC14A2	0.25325
RDH11	-0.167
FAM138F	-0.3785
AUH	-0.308
FLJ40243	-0.082
C14orf129	0.289
MBD2	-0.561666666666667
ABHD14B	0.4215
PIGT	1.17875
ALS2CR4	-1.068625
ALAS1	0.5542
FOXO1	1.35783333333333
CRLF3	-0.37875
C20orf107	-0.429
FARS2	1.1075
CCDC28A	1.078
NPHP3	-0.9415
OR13F1	0.558
TSEN54	-0.7295
DEFB106B	-0.1486
OR8B4	0.2445
STH	1.65725
ZC3H14	-0.419125
CBX2	-0.117
TMEM49	-1.48275
C6orf21	0.507
FLJ20920	0.915
CRTAP	0.442214285714286
DDX50	-0.50775
STYXL1	-0.482
BLVRB	0.2245
LOC147650	-1.4475
MMP24	0.1775
GRID1	1.71883333333333
BANF1	-0.437666666666667
CTAGEP	0.45275
HMBS	-2.01275
SLC25A24	-0.0195
C14orf50	1.72425
MRO	0.9665
SLC25A15	-0.93675
FAM84B	1.1785
TDP1	-0.8605
C16orf78	0.287166666666667
C11orf57	0.347
RFK	-1.082
ZFYVE9	-0.607875
STCH	0.0528
WIBG	0.6575
LOC283871	-0.568833333333333
GBA2	-0.6613
NDUFB3	-0.239
HSD17B13	-0.5425
GRIN3A	1.255
FMNL1	0.1335
SEPT7	0.5125
GNLY	3.5915
GRAMD1C	0.0548333333333333
ZNF165	-0.52725
USP38	0.78775
FAM83A	-3.49516666666667
C14orf24	0.650666666666667
ARMCX3	0.941375
ARHGDIB	1.753
AK1	0.471625
KIAA1045	-0.0745
DNAJB13	-0.5615
NEU2	0.5125
HIST1H4B	-0.5765
FAM20B	-0.1874
HES2	0.0995
FAM73B	-0.6194
LOC388381	-0.415
INTS7	-0.707090909090909
AMPH	1.1835
ZNF775	-0.37275
UCKL1	-1.015
C10orf97	-0.229
C1orf161	0.235
ALDH1L1	-1.75475
FLJ39378	-0.69275
SLC23A1	-1.6615
RBM4B	0.185
THAP4	0.110666666666667
OGFRL1	1.20975
KIAA0831	0.10725
PPP1R15A	-0.67
C1orf96	-0.312142857142857
C12orf11	-2.1425
BMF	0.837375
MAN1A1	0.323625
KIAA1600	0.622833333333333
NLGN4X	-0.7125
ALOX12	-1.27966666666667
RB1CC1	-0.0468
NEIL2	0.2337
EIF4E	-0.189409090909091
ABHD5	-0.3735
EXOC4	-0.683666666666667
CIP29	-0.149166666666667
BATF2	1.8715
SLC29A4	-0.980375
HTR4	0.25525
EMB	1.13575
TRAF6	0.97125
LMNB1	-1.12075
FAM19A5	-0.59175
SHE	2.09925
PIK3C2B	0.99975
C15orf15	-0.7067
USP15	-0.0726
TCEAL2	1.108
C5orf39	-1.097
PTGER2	-0.8745
SLC31A1	-0.180875
IFT172	0.392
ADAM29	0.11575
GFOD1	1.0065
ST7L	0.596166666666667
C15orf26	-3.16725
PKN3	-1.3105
CNTD1	2.54266666666667
COMMD1	0.445625
NTRK2	2.50616666666667
FOXN3	0.35125
MFGE8	-0.1652
PFKFB2	0.419
TAS2R4	0.00324999999999999
ENTHD1	0.354833333333333
PRMT5	-0.654
MGC16384	-1.477625
LOC442229	-0.81825
TSKU	-0.13575
KRTCAP3	1.9385
PDLIM1	1.2035
KCNS2	0.26225
RNF126	-0.704
CEP63	0.77625
CLIC4	-0.07175
hCG_1990170	-0.201
ACR	0.4658
KLK7	2.87075
ALOX5AP	4.34875
RIPK3	4.209
TAS2R9	0.0905
C19orf18	1.957
BIRC6	-0.0661428571428571
ZNF16	0.7325
RFT1	-0.05375
SLC8A2	-0.6655
TACC1	0.777375
ITGAD	0.63375
SAMHD1	2.07525
SH3PXD2B	0.9672
EPC2	0.8275
C20orf85	0.2445
ATP13A2	0.557666666666667
KRT4	0.262625
CAPNS1	0.064
MDM2	0.0776666666666666
PCDH20	1.2615
KCNK9	0.402
OR2C1	0.2085
KLHDC3	-0.874
IPPK	0.252
EFHD2	0.646625
GALR3	0.7605
NBEA	1.4555
ABCA6	2.9378
CLDN3	1.46266666666667
AKT2	-0.462928571428571
EGFR	-2.3587
RBM16	0.56525
ZDHHC3	0.3673
SLC25A4	-0.353166666666667
CYB5B	-1.55016666666667
CPXM1	0.256
NDRG1	-1.61023076923077
FLJ43826	0.29025
OR5L2	0.108833333333333
FARP2	0.5696
MRPL46	-0.69
LDHAL6B	0.159166666666667
MAPKAPK3	0.117
NCAM2	-0.4845
PRKD2	0.458166666666667
ZFP36L1	1.3004
CYSLTR1	1.103
OR4C3	0.4695
HIST1H2AJ	1.5475
CCNB2	-3.12233333333333
ZNF10	-0.418875
TMEM175	0.452
FAM134A	0.647833333333333
TIGD4	-0.0345
PCNP	-0.55125
MGC39715	0.39525
LQK1	-1.0415
CREB1	0.7453
TMPRSS3	0.705
C4orf32	2.606375
LAT	-1.32208333333333
KCNA3	0.983
SKIV2L2	-0.6195
ROPN1B	-2.11575
tcag7.23	-0.4755
CDT1	-3.433625
ZHX2	0.836875
CD28	-2.69125
ZNF624	0.83825
SEPT2	0.282
SOHLH2	-1.28425
MCOLN3	-0.67875
UNQ1945	0.6415
MASP2	-0.814
ZNRF3	0.6362
GPATCH3	-0.29175
AGL	0.359625
QRICH2	-0.5975
PSD4	1.088
CCNB1IP1	-2.14075
ENPP7	0.303
OBFC1	-0.16
KCNG3	-2.099
C14orf79	0.736333333333333
ENPEP	1.44933333333333
SCT	2.2535
SKI	1.319125
SEC61G	-1.09225
CAPN11	0.26275
ATXN7L3	-0.23375
DBNDD1	-0.265833333333333
FAIM	-0.334
ANKRD36	-0.299
GABRP	3.28783333333333
TACSTD2	2.81516666666667
EIF3J	-0.6195
PPP2R2A	-0.434
TEKT4	0.132833333333333
PVALB	-3.84966666666667
F10	-2.57783333333333
FAM134C	0.9103
COMP	4.5025
EFCBP1	-2.4564375
SCLT1	1.363875
TAL1	-1.1543
ACSL1	-0.33925
ABCC5	0.9385
ABL1	-0.455166666666667
RBBP7	0.54525
PTPRG	-0.35425
NCOR1	0.6009
SPINK4	-1.30266666666667
TXNRD1	-0.4028
TNRC15	1.72025
C9orf138	0.626
UBE2H	0.5465
BRDT	0.579333333333333
C8orf31	0.03725
CCNE2	-2.16209090909091
SLC6A8	-1.935875
CALCR	-3.74075
PPP1CB	0.328666666666667
ABHD8	0.10275
ARF5	-0.2857
SLC24A4	0.43
CCT3	-0.06425
ZNF121	0.36425
SLC3A2	-0.9609
OR13A1	0.089
SLC5A10	-0.273
RAD50	0.223875
IER5	0.13125
MTHFD1L	-2.018125
MBTPS2	0.18525
MVK	-0.88225
NCL	-0.266
PSMD10	-0.45375
MOBP	0.1175
FLJ32894	0.053
HRH1	0.0605
C5orf30	0.58825
NUDT16L1	1.1107
RASGRP3	4.06133333333333
PRKRIP1	-0.8436
CCDC75	0.854
LOC253970	-0.09475
KIAA1239	0.0155
MED21	-0.39125
SYT11	1.30858333333333
NTSR2	-0.96
EGFL11	0.299
CXorf59	0.358
OR2A25	0.55075
SPTBN2	-1.792
LRMP	-0.774333333333333
RNF111	0.081
PTH	0.358
LOC619208	0.869
KIAA0895	0.2835
RANBP5	-1.106375
P2RY10	1.77733333333333
NME5	3.80983333333333
DDX21	-1.21625
LRSAM1	-0.337
HDAC11	1.666
VMO1	2.7545
NOLA2	-0.129666666666667
ADAR	1.03241666666667
MTO1	-0.934
SF4	0.183166666666667
P2RX1	-0.071
HBM	0.06525
EN2	0.881
C14orf172	0.316
TM9SF2	0.7932
INHBE	-1.13166666666667
TCTE3	-0.227416666666667
TOX2	-2.34
CTAGE3	1.123625
HBB	3.1454
MED15	-0.899
CASR	-0.13175
C6orf66	-1.42433333333333
MTPN	-0.0225
UNC50	-0.186
C21orf33	0.253875
IRF2	0.983375
PGR	2.126
GPR84	4.32325
CROCCL1	-3.02875
SRPX	-1.75175
BRE	0.523333333333333
FGF10	1.32
SDC3	0.235333333333333
ZRSR1	0.65
DKFZP434P211	-0.3315
SOX6	-0.4345
RPUSD2	-0.06925
C14orf173	-0.238416666666667
MAPK11	-0.3395
TBC1D22A	0.847
FAM123A	-0.789
COL4A6	-2.37283333333333
TOMM70A	-0.2755
NAB1	-0.13975
MGC16385	-0.4
TSPAN18	1.0075
MED31	-0.15975
PLG	-0.34925
CAPSL	1.5255
ZNF532	1.3603
ASB14	-0.28225
CA8	-1.167
NUDT16P	2.079
SLFN11	-0.7685
LRRIQ2	0.83525
NOL7	-0.260833333333333
BRMS1L	-1.158125
JARID1A	0.7225
PANK2	-0.328
ICAM3	0.0455
MDS1	-0.36275
TAF8	-0.1435
RNF139	0.61275
ZNF594	0.410833333333333
ADAM8	3.129875
SFTPC	0.10825
MAN2B2	1.7095
RGS12	0.5719375
EIF1AY	-4.725
LRRIQ1	-1.64566666666667
GPR150	1.10125
CCDC21	-1.552
PRRG3	0.2575
SAA4	-4.12975
RAPGEF5	2.370875
ZCCHC2	0.22125
MGC39372	1.1765
PPP4R2	0.295333333333333
CDCA2	-2.26933333333333
OR4D5	0.289333333333333
PTGFRN	2.3702
SIGLEC5	2.11333333333333
C19orf61	-0.131333333333333
NMUR2	0.352
KIAA1586	-0.421666666666667
DAGLA	-0.0911666666666667
CHCHD6	-0.29525
GPR32	0.799
NEUROD6	-0.190833333333333
SLC2A4RG	0.062625
CA5B	-0.11875
FBXL3	1.1935
MPHOSPH9	-1.3485
HMG2L1	-0.10075
HCN4	0.453666666666667
CEACAM19	-0.00474999999999998
SH2D4B	0.181666666666667
HFE2	-1.684
TGM4	-0.271333333333333
LYPD2	0.23225
TBC1D15	0.0885
MRPS21	0.2845
NONO	-0.653
CLEC5A	2.695125
ITCH	-0.0052
MGAT3	-1.02566666666667
MBP	-0.098375
RPP25	-1.02625
SOSTDC1	-0.144
HRC	-1.54375
TRIM48	-0.097
TMEM133	0.80075
ECEL1P2	-1.13075
HOXC11	0.191
DOK5	0.101
HELZ	0.322333333333333
LOC348180	-1.24225
MGC33894	0.331
ADRB3	0.2615
DMD	-0.12125
PTRH2	-0.68075
MPEG1	3.11066666666667
NDUFA12	0.210666666666667
KRTAP2-4	0.13075
STAMBPL1	-1.224
ADCY2	-0.146
UNQ6125	0.334
KLHL20	1.18033333333333
SRM	-1.38075
OTC	-0.11875
TMIE	0.335666666666667
SNX8	0.127
LIPK	0.3835
CHURC1	0.517833333333333
KLC2	0.122166666666667
HDAC1	-0.556666666666667
FAM128A	0.191166666666667
FNDC3B	0.2819
MTCP1	-0.456666666666667
WFDC10B	0.4401
PCDHGB3	0.2135
ATRNL1	0.2734
CAV2	-0.929125
MED26	-0.1005
DUS1L	0.20175
CHRM3	-1.71675
NEK9	0.74
WARS2	0.84225
TBX22	-0.012
TOMM40	-0.91925
RP6-213H19.1	-1.95916666666667
TUBGCP5	-0.61075
IGSF6	6.01875
TPPP	1.12983333333333
UNQ6190	0.0225
GSTM5	0.229625
BTD	1.56
PDCD1LG2	0.891833333333333
SNRPB2	-0.662166666666667
ERICH1	-0.3975
APOA4	-1.909375
HOXA11	-1.72525
NARG1	-0.677375
MKX	-0.7225
RAB28	-0.634642857142857
PKP3	0.87225
SH3GL2	-2.1655
CTSO	3.246
RPN2	0.9388125
IL28RA	0.411333333333333
SFMBT1	0.7405
WDR57	-0.9255
FER1L3	1.48991666666667
HSF5	0.347833333333333
TTC9B	0.36425
C4BPA	-3.79983333333333
ALB	-4.21692857142857
SORBS3	0.358125
UPF2	-0.1095
JPH1	-0.105
AGBL2	0.062
DOPEY1	1.91
TERF1	-0.41075
KIF22	-0.639666666666667
NINJ1	1.48625
SEC61A2	-1.1055
HIST1H1D	0.495833333333333
SFXN4	-0.34
UCP3	0.449
ZNF703	0.455666666666667
MYL6B	-0.641
TREM1	2.09225
OR52E6	0.086
CKMT2	1.403
HLA-C	3.062
SLC13A3	-1.69166666666667
TIMP4	-1.2105
SLIT2	2.55275
RSF1	0.378111111111111
LONRF1	-1.42514285714286
MON1A	0.0636666666666667
CACNG6	-1.7445
DPPA4	-5.15316666666667
ZSWIM3	0.6575
ZNF804A	0.690166666666667
CCIN	0.905
SLC25A31	0.3955
KCNMB4	-0.221
RABL5	-0.012
GALNS	-0.4494
STX6	1.491875
HIST1H1C	0.181833333333333
CIDEB	-0.165125
CASP4	0.6195
PDK3	0.2687
KCNJ11	1.494
TPR	0.086
ZSCAN20	-0.3375
MTX2	-0.442
HIST1H2BH	0.36475
LOC283767	0.369
LYRM7	-1.38544444444444
BRD3	0.952333333333333
HIST1H2BO	0.165
MAGEB10	0.6345
SLC45A1	0.8915
SERPINA3	3.8745
KIAA0143	1.2795
KCNJ16	0.513666666666667
KRT79	-0.31625
FABP2	-0.339
NUT	0.21975
ZNF57	-0.583
FBXL4	0.278375
CLEC9A	2.0015
UGT8	-1.61766666666667
BMP2K	0.574
MAPK4	-3.82025
SLC25A23	-0.5881
HINT1	-0.9579
KRTAP13-1	0.491
SFXN5	0.4766
CHCHD2	-0.11325
FAM3D	1.853
NDP	-1.057375
RHOBTB1	0.0871666666666667
SLC4A4	3.304625
RPL38	0.0375
HTF9C	-1.03883333333333
AP2A2	0.437
ZBTB46	-0.422
MAP7D1	0.243
AOX1	-1.2035
CYR61	-0.136833333333333
DTNA	0.509928571428571
JRKL	-0.514
TMOD3	0.0865
EEA1	0.118
ADCK5	-0.606
IL1R1	1.16716666666667
KLK3	0.669857142857143
HRSP12	-1.294
KTN1	1.102
LOH11CR2A	0.8469
RELL2	-1.47825
MAB21L1	1.09925
C20orf59	-1.35966666666667
PHKB	-0.165
ADAM2	-1.64116666666667
TBC1D8B	1.84366666666667
FAM13A1	-0.6004375
LAPTM4B	-1.53516666666667
LCN8	0.309
TMEM147	0.3085
SYT4	-0.0621666666666666
XPO7	-0.4455
C9orf62	1.031
GPR75	-0.366
TRIM5	0.792
APOC1	1.04866666666667
RNASE4	0.744
PARD6B	0.10675
ARID1A	0.246666666666667
TPD52L3	-0.1149
RRAGB	1.1275
RCN2	-0.7125
HIST2H2BE	0.1383125
STARD7	-0.28725
SHMT2	-1.14
KIAA1751	-0.016
MLYCD	0.216875
LOC162632	-0.5631
UQCRH	-1.73675
RP11-217H1.1	1.1191875
SDHA	-0.772333333333333
NCLN	-0.1843
ZNF17	0.544333333333333
RCBTB2	-1.46175
VEGFB	0.1131
RP4-747L4.3	0.36675
COLQ	0.1574
MPN2	-0.939166666666667
DRG2	-0.005
KLRB1	5.03275
ALPK2	-3.327
DNASE2B	0.61
FLJ23834	0.177166666666667
AXUD1	0.6725
SAFB	0.3487
NSUN4	-0.05075
RFX2	0.0605
MAPK8IP1	-0.276666666666667
FANCD2	-1.59892857142857
ANKZF1	-1.813
C19orf50	-0.606875
DUSP8	1.04275
SENP5	-0.12475
NFKBIL2	-1.08175
LBR	-1.067375
IGFL1	0.671
LZTS2	0.634
IL2RG	0.09925
CCDC51	0.152
KLF3	0.362
ANKRD37	-1.8665
KCTD14	-1.44183333333333
FZR1	0.0605833333333333
SLC44A4	4.1501
ESPL1	-1.449375
GMPR2	0.0468
TBC1D19	-0.574
ERGIC1	0.67137037037037
ERBB4	2.5617
TSPAN32	0.503583333333333
MAP4	0.076875
GPHN	-0.1985
SLC6A2	-0.306
HIVEP1	0.80825
DFFB	-0.6617
EIF4EBP2	0.181125
DMRT1	-0.044
HSPB6	-0.36425
IER2	-0.00883333333333333
AIFM1	0.152
WWC2	-0.1655
MRPL4	-0.74675
FLJ21062	0.4375
EPB41L4A	1.42125
SH2D6	0.249
TAF4B	-1.30325
GAL3ST3	-0.2495
MALT1	-0.888
RTDR1	-0.892
ARVCF	-0.598625
MEX3B	-0.613666666666667
FBXO16	1.49375
KIF7	-1.14475
C1QC	3.94116666666667
ZNF783	-0.949666666666667
ZNF85	0.23775
MMP13	3.8165
KIAA0329	0.386625
RTP3	-0.1475
ZBED3	0.2415
CLGN	-0.0355
SLC25A37	-1.52979166666667
hCG_18290	0.0615
OR5AS1	0.521
SMARCC2	0.68725
FAM109A	-0.243833333333333
CCDC12	-0.07475
USF2	0.6194
DEPDC7	-1.5155
C20orf24	-0.998
JMJD3	0.7675
DSP	1.5225
SLIC1	1.01725
FAM20A	1.207
IRF2BP2	0.498125
ZNF230	-0.1235
MSN	0.145357142857143
SLC9A5	-2.1155
EPDR1	-1.5957
MUSK	0.366166666666667
ZNF434	0.5345
SMARCD1	-0.185333333333333
ZFP106	-0.291
ZNF347	0.05
GTF2E1	0.2445
RY1	-0.6435
ATAD2B	0.21275
ARHGAP17	-0.2509
KCNIP3	-1.22375
