Hybridization REF	TCGA-A1-A0SK-01A-12R-A084-07
ZNF257	0.183
FLJ22167	0.597125
EXOSC7	-1.107
ROR2	2.604
MAOA	-3.084875
TNNT3	0.207666666666667
GYPC	-1.6725
C7orf33	0.9215
PLIN	0.00483333333333334
LOC90826	-0.41175
RNF4	-0.1642
F8A1	0.744833333333333
PLEKHG4	-0.89
GRB2	-0.09245
HIST1H2AD	-0.56825
DUS3L	0.152833333333333
EIF1	-0.524833333333333
RP5-1077B9.4	-1.134
FPGT	0.088
GDF10	-1.56833333333333
COQ9	-1.021
GCC2	-0.0354285714285714
RARRES3	-1.52025
PLXNA1	-0.2367
KIAA0100	-0.6044
PMF1	0.19075
FNDC1	4.2085
HS2ST1	0.0210833333333333
CRELD2	-0.978
C8G	-2.588
CD82	-0.34225
LIM2	-1.184
UNQ6490	-1.22
MMP16	0.453
DRD3	-0.264
C5orf26	-0.23225
C11orf73	-0.33075
PTP4A2	-0.945
OR4M2	1.083
HPCA	0.307333333333333
SEC14L1	-0.433333333333333
CHFR	1.429125
EMILIN1	-0.465375
NDUFS4	-1.36925
COL18A1	-0.53
PDZD3	-0.0778
C9orf16	-0.2395
ERBB2IP	-1.065
EMX2	1.188
FUS	-0.0345
TF	-4.411
CLCN4	1.67083333333333
CXorf56	1.279
C11orf72	-0.01825
ELAC2	-0.526166666666667
NPR1	-2.24075
ASS1	-0.04
USP42	0.443625
POLR2J	-0.6485
SEC23IP	-0.0275
UQCRC1	-0.35375
LOC729603	0.09875
C1orf71	0.0775
POLG	-0.0165
ADAM23	-3.7025
TFR2	0.377
RICTOR	-0.634
MGC39606	1.30425
C19orf55	-0.527
SNAPC1	-1.024
GNA11	1.516375
CCDC52	0.251166666666667
FSIP1	0.2025
UPF3A	1.1985
IGSF11	-1.65833333333333
LAGE3	0.19575
CHST6	-0.5905
UNC13B	-0.15375
TTLL4	0.16
ZNF687	0.07375
SDC2	-0.127
COX7A2	-0.603
LAMB4	-0.33975
FAM24A	-0.1205
LRRTM3	-0.8865
GPHB5	-0.278
OR4C13	0.0345
EIF3EIP	0.364357142857143
HABP4	0.43
TMEM125	2.74475
CNTN2	1.373375
ASNSD1	0.713
FUT4	-0.974375
ACF	-4.52725
LOC158381	0.434
CDH8	0.90825
AGPS	-0.274666666666667
C4orf18	-0.343875
PECI	-1.27533333333333
UNG	1.566
GSTP1	0.64775
DCUN1D5	-0.588833333333333
DKFZP564J0863	-0.45975
SLC9A3R1	-1.788625
BCDO2	-0.74825
CHMP7	-0.83775
REM2	0.1195
DNHD1	-1.053125
FKBP4	1.22425
ZNF350	1.578
MGC11102	0.642125
BST1	0.41925
KISS1R	0.1505
NCR2	0.37
DEFB125	-0.355
UBE2W	1.654375
KRT15	0.292875
C10orf99	0.133
SCN11A	0.34775
GFI1	-1.79075
RDHE2	2.51233333333333
FHL1	1.12933333333333
OSGEP	-0.303166666666667
GATA1	-4.392
SMC6	-0.23475
TTTY14	-2.146
LPIN3	-0.488
RPL4	0.4217
RBPMS	-2.4248
PRPF3	1.66433333333333
EMR1	-3.784
SPATA19	0.375
XCR1	0.4005
IRX3	0.0607
RBM6	-0.5665
KLF4	0.276
UNC5CL	-0.471
SEBOX	0.021
BTK	-2.93725
KRCC1	0.37825
C6orf27	-0.4635
SYTL5	-1.078
PRND	1.48325
LOC653319	-0.986
PIGL	-2.49925
HUS1	-1.46333333333333
SFRS6	0.511333333333333
C17orf77	-0.1815
UIMC1	-0.773166666666667
FXYD2	-2.5469
LOC283152	0.06725
ZNF667	2.70675
ZCCHC12	2.7395
TFEC	1.1424
ATP7B	1.17333333333333
POLD2	-0.6755
RG9MTD1	0.17125
ACOT2	-0.303833333333333
HIST1H4I	0.119
PPARGC1A	-1.71
ETFA	-0.3895
POLRMT	-1.65725
ZNF146	0.931875
MIA2	-1.932
KLHL6	-2.59033333333333
HOXB5	-2.008125
NENF	-0.481
CUGBP1	-0.38575
PRSS22	-1.05633333333333
CASC4	-0.7054
CUL4B	-0.00420000000000005
CENPJ	1.2568
PITX1	-0.724166666666667
FLJ31033	-1.1784
CELSR3	0.825
ZNF568	1.667
ITSN1	-0.0515
EHBP1L1	-1.66083333333333
C19orf2	0.1555
DCTN1	0.0725
LIN28B	-3.678
TNKS2	-0.117
C1QBP	-0.548625
CADPS2	0.163
SRMS	0.919
GJA9	0.4235
MGC24975	-0.813833333333333
TRIM45	-1.9015
TSP50	1.0835
TCP1	0.70275
TMED7	-1.1049
CMA1	-0.2325
CENPL	0.342833333333333
PTCRA	-0.887
FST	-3.53375
VWCE	-3.8355
PAWR	-0.46675
ABCC12	0.615833333333333
LDLR	-1.6977
ASTN2	1.679
LOC441212	-0.123125
GPATCH8	0.1595
TANC2	-0.475583333333333
KIF4A	0.6815
C18orf18	0.96475
PGM1	-1.49175
KIAA0258	-0.65325
CPD	0.75225
SNCAIP	1.14775
DCT	-5.05733333333333
HLA-DOA	1.47890476190476
OR11L1	0.466
UPK1B	-1.09683333333333
DNAJB4	-0.241125
UGT1A8	-0.384333333333333
HIST1H4L	0.775
PECR	-0.518
HSPA2	0.6255
WFIKKN1	-1.045
SERP1	0.792375
SYDE2	-0.34975
TACR2	-0.102
NUP85	0.12525
CD177	0.531666666666667
LGR5	-2.90433333333333
PIGG	-0.553416666666667
PTHR1	-3.22066666666667
RAB5A	0.1948
FLJ13224	-0.5495
USP9Y	-0.84725
C7orf53	-0.489
LRP1B	1.3655
XAF1	-1.4972
ABCG8	0.0655
ANKDD1A	0.8155
DAND5	-0.92
SPAG6	0.393333333333333
LINCR	0.95025
ZDHHC22	0.281625
CCDC60	-0.411
THOC7	-1.3195
TCTA	0.306
OR8K3	0.25875
NY-REN-7	-0.97875
B2M	-0.918666666666667
C6orf141	-0.232
LPPR4	1.92925
SQLE	0.280375
SEPHS1	0.747
BTBD14B	-0.125357142857143
PLRG1	0.04525
SPG7	-1.052875
ZNF614	0.106333333333333
PARD6G	1.43916666666667
INPP5B	1.5849
GRPEL2	0.00450000000000003
PPID	-0.1567
TRIM56	-0.75225
UBE2J1	0.22525
IL20RA	-0.67325
LOC387856	1.55075
C1orf107	1.39783333333333
UTS2R	0.12325
C19orf22	-0.02575
SAFB2	-0.3705
KIAA0652	1.007375
KLRG1	0.598333333333333
MS4A8B	2.35016666666667
FRAG1	0.79325
KIAA1546	0.73475
E2F4	-1.1205
CLEC4M	-0.1485
BTBD14A	-1.2415
KIAA0999	-0.4105
GYPA	-4.25916666666667
TAC1	-0.1137
TRAIP	-0.845333333333333
KIAA0232	0.3522
ERCC8	-1.24475
GPX4	-1.445375
KIAA0368	0.400625
GPR157	-1.44516666666667
CTAGE4	0.5625
C9orf30	0.156666666666667
OR52A1	-0.27
HSP90B3P	-0.0265
ALG9	0.2162
BTBD10	1.34675
SDK2	0.947
BAIAP3	-2.78275
RABGGTB	-0.271125
ANKRD40	-0.191666666666667
KRT74	0.903
CALCOCO2	-1.19628571428571
SNCA	-2.702
TMSL8	2.31225
C2orf53	0.077
ESRRB	-0.651
ARHGAP26	-2.14
TDRD9	-3.603
HRAS	2.02066666666667
KLRC4	-3.2495
JAGN1	-1.25216666666667
BSDC1	-0.005
RNF43	-0.6848
NDUFAF1	-0.62425
PHF12	0.1615
OR1L3	0.19825
FOLR2	1.26325
LYZL6	0.4115
tcag7.1260	0.7025
WSB1	-1.70466666666667
PROS1	-2.472
OSTN	0.056
PSMB8	-1.6115
SOCS4	1.05925
DDIT4L	2.25525
MAS1	0.929
MGC34796	-0.23425
CSHL1	0.269666666666667
TBCCD1	1.129
ZBTB7C	0.3035
AP2S1	-0.48525
P15RS	1.2587
VAT1	-1.1267
SHANK3	1.01166666666667
TUFM	-1.37033333333333
THEG	1.29
KRT34	-1.296
SGSM3	-0.708
TOMM22	0.642625
SOCS3	-0.285833333333333
CPO	-0.406
POP4	-0.0075
BHLHB3	2.46825
MALL	1.08075
OR1B1	-0.644
PARK2	1.4615
GPR124	0.621125
LCE1E	0.472
RUVBL2	-0.16125
CGRRF1	0.0145
ACPL2	0.82275
WNT10B	-1.246
BAIAP2L2	-0.00162500000000002
ISCA1	0.829
C1orf125	-0.513571428571429
RPAP1	-0.947
RAI16	-2.10316666666667
RPL27	-0.682
NLRP9	-0.217
EPN1	0.189
LOC388610	0.118875
SLC35A1	0.3604
GAL	-1.25825
SLC14A2	0.098
RDH11	-1.16816666666667
FAM138F	-0.9555
AUH	-0.29475
FLJ40243	-0.16375
C14orf129	0.5035
MBD2	0.028
ABHD14B	-1.646375
PIGT	-0.07175
ALS2CR4	1.543625
ALAS1	0.204
FOXO1	-0.558833333333333
CRLF3	-0.58375
C20orf107	0.197
FARS2	0.12625
CCDC28A	0.35575
NPHP3	-1.283
OR13F1	0.494
TSEN54	-0.13875
DEFB106B	0.139777777777778
OR8B4	-0.2945
STH	-1.70175
ZC3H14	0.475375
CBX2	0.0505
TMEM49	-1.6215
C6orf21	0.277
FLJ20920	-1.2765
CRTAP	-1.21107142857143
DDX50	1.03275
STYXL1	-0.6145
BLVRB	-3.72716666666667
LOC147650	-0.359833333333333
MMP24	-0.76375
GRID1	2.1635
BANF1	0.2795
CTAGEP	-0.377
HMBS	-2.2775
SLC25A24	-0.697666666666667
C14orf50	0.02525
MRO	0.962333333333333
SLC25A15	1.50775
FAM84B	0.4292
TDP1	-0.897
C16orf78	0.211
C11orf57	0.07975
RFK	0.304875
ZFYVE9	0.24075
STCH	-0.3653
WIBG	-0.02325
LOC283871	-0.830833333333333
GBA2	-0.3033
NDUFB3	-0.429
HSD17B13	0.025
GRIN3A	2.05483333333333
FMNL1	-1.54083333333333
SEPT7	0.1483
GNLY	0.08
GRAMD1C	0.339333333333333
ZNF165	-0.35725
USP38	0.47775
FAM83A	-3.95933333333333
C14orf24	0.28925
ARMCX3	-0.410875
ARHGDIB	-2.48316666666667
AK1	-0.362
KIAA1045	0.70675
DNAJB13	-0.459833333333333
NEU2	0.0765
HIST1H4B	1.82166666666667
FAM20B	-0.0698
HES2	3.00764285714286
FAM73B	0.1108
LOC388381	0.62825
INTS7	0.278454545454545
AMPH	1.32425
ZNF775	-0.278
UCKL1	0.1135
C10orf97	-0.028
C1orf161	0.354
ALDH1L1	-0.71825
FLJ39378	-0.26225
SLC23A1	-3.783
RBM4B	1.71775
THAP4	-0.731666666666667
OGFRL1	-1.67925
KIAA0831	-0.26475
PPP1R15A	-0.0743333333333333
C1orf96	-0.05
C12orf11	0.85275
BMF	2.696875
MAN1A1	-0.140125
KIAA1600	-0.197833333333333
NLGN4X	1.607
ALOX12	-1.63133333333333
RB1CC1	1.7161
NEIL2	-1.1689
EIF4E	0.371045454545455
ABHD5	-1.457
EXOC4	0.193666666666667
CIP29	0.717333333333333
BATF2	-2.51675
SLC29A4	0.1005
HTR4	-0.33975
EMB	-2.98
TRAF6	0.11375
LMNB1	0.24625
FAM19A5	0.378625
SHE	1.4155
PIK3C2B	1.1385
C15orf15	-0.0436
USP15	0.0341
TCEAL2	3.96975
C5orf39	-3.84033333333333
PTGER2	-2.9275
SLC31A1	-0.2170625
IFT172	0.176
ADAM29	-0.01325
GFOD1	0.84075
ST7L	0.931333333333333
C15orf26	-3.6205
PKN3	-0.97525
CNTD1	1.30666666666667
COMMD1	-0.34225
NTRK2	4.71825
FOXN3	0.439625
MFGE8	0.2082
PFKFB2	0.0963333333333333
TAS2R4	-1.186
ENTHD1	2.1735
PRMT5	0.17825
MGC16384	-0.746375
LOC442229	-1.113
TSKU	-0.589625
KRTCAP3	1.86075
PDLIM1	0.1064
KCNS2	0.8875
RNF126	-0.6025
CEP63	0.127
CLIC4	0.649375
hCG_1990170	2.3705
ACR	0.7363
KLK7	0.70525
ALOX5AP	1.127625
RIPK3	0.9135
TAS2R9	0.599
C19orf18	0.796
BIRC6	0.503642857142857
ZNF16	2.8025
RFT1	-1.3055
SLC8A2	-0.1545
TACC1	-1.420125
ITGAD	0.4195
SAMHD1	-1.20175
SH3PXD2B	1.1724
EPC2	2.11075
C20orf85	0.54325
ATP13A2	-0.135666666666667
KRT4	1.687875
CAPNS1	-0.61175
MDM2	-0.656166666666667
PCDH20	7.324
KCNK9	0.436
OR2C1	0.4045
KLHDC3	0.5945
IPPK	0.9625
EFHD2	-1.11625
GALR3	0.04775
NBEA	2.09516666666667
ABCA6	-0.181
CLDN3	0.646166666666667
AKT2	-1.19892857142857
EGFR	-1.378
RBM16	0.956
ZDHHC3	-0.9978
SLC25A4	-0.55
CYB5B	-0.333
CPXM1	1.3
NDRG1	1.34092307692308
FLJ43826	-0.239
OR5L2	-0.33925
FARP2	-0.0285
MRPL46	-0.116833333333333
LDHAL6B	0.1824
MAPKAPK3	-1.646
NCAM2	-1.3445
PRKD2	-0.000333333333333329
ZFP36L1	-0.2564
CYSLTR1	-2.22825
OR4C3	0.7955
HIST1H2AJ	-1.003
CCNB2	-0.356444444444444
ZNF10	1.96025
TMEM175	-0.0005
FAM134A	-0.122333333333333
TIGD4	0.958
PCNP	0.52125
MGC39715	1.0345
LQK1	-2.4505
CREB1	1.0225
TMPRSS3	3.11775
C4orf32	-2.155625
LAT	-1.42266666666667
KCNA3	0.1525
SKIV2L2	-0.37625
ROPN1B	-0.2845
tcag7.23	0.305
CDT1	-0.67525
ZHX2	0.76375
CD28	-5.98425
ZNF624	0.84225
SEPT2	-0.907833333333333
SOHLH2	-1.8775
MCOLN3	1.49971428571429
UNQ1945	0.2615
MASP2	-2.1125
ZNRF3	1.2041
GPATCH3	-0.41225
AGL	-0.001625
QRICH2	0.1505
PSD4	-0.605833333333333
CCNB1IP1	0.29425
ENPP7	-0.0405
OBFC1	-1.20475
KCNG3	0.08075
C14orf79	0.140833333333333
ENPEP	0.988
SCT	0.3625
SKI	0.24525
SEC61G	-1.73475
CAPN11	-0.095
ATXN7L3	0.29975
DBNDD1	0.0128333333333334
FAIM	0.36525
ANKRD36	-0.9325
GABRP	3.27166666666667
TACSTD2	-1.56366666666667
EIF3J	-0.78075
PPP2R2A	-1.052
TEKT4	0.478333333333333
PVALB	-4.07066666666667
F10	-4.29316666666667
FAM134C	0.5824
COMP	1.94125
EFCBP1	-0.860375
SCLT1	0.29925
TAL1	-1.888
ACSL1	1.461
ABCC5	-0.0540833333333334
ABL1	-0.227333333333333
RBBP7	0.3605
PTPRG	-2.56925
NCOR1	0.1241
SPINK4	-2.52
TXNRD1	0.6391
TNRC15	-0.357375
C9orf138	0.596125
UBE2H	-0.348
BRDT	-0.513666666666667
C8orf31	0.09175
CCNE2	3.37236363636364
SLC6A8	-1.895
CALCR	-4.9155
PPP1CB	1.45583333333333
ABHD8	0.3175
ARF5	0.5815
SLC24A4	0.229
CCT3	0.485
ZNF121	0.253
SLC3A2	0.0265
OR13A1	0.4105
SLC5A10	-0.25725
RAD50	-1.26525
IER5	-0.327
MTHFD1L	-0.8995
MBTPS2	-0.186333333333333
MVK	-0.19225
NCL	0.5171
PSMD10	0.7675
MOBP	0.0188333333333333
FLJ32894	-0.3
HRH1	-2.18066666666667
C5orf30	-0.469
NUDT16L1	-0.3114
RASGRP3	2.427
PRKRIP1	-0.7814
CCDC75	0.57325
LOC253970	-0.54875
KIAA1239	1.992
MED21	1.5435
SYT11	2.53833333333333
NTSR2	3.699
EGFL11	0.018
CXorf59	0.4815
OR2A25	-0.11275
SPTBN2	1.20175
LRMP	4.9665
RNF111	-0.28125
PTH	0.461
LOC619208	0.835666666666667
KIAA0895	2.347
RANBP5	1.073125
P2RY10	-0.6975
NME5	2.834
DDX21	-0.387
LRSAM1	-0.308
HDAC11	-0.929666666666667
VMO1	-0.1715
NOLA2	-0.909666666666667
ADAR	0.371333333333333
MTO1	-0.6375
SF4	0.5595
P2RX1	-0.855833333333333
HBM	1.226
EN2	0.4735
C14orf172	-0.29175
TM9SF2	1.4906
INHBE	-0.328833333333333
TCTE3	0.0848333333333333
TOX2	-0.77475
CTAGE3	-0.009125
HBB	1.6185
MED15	-0.625333333333333
CASR	0.19075
C6orf66	-0.434666666666667
MTPN	0.224125
UNC50	-0.675
C21orf33	-0.422
IRF2	-0.605125
PGR	-2.9254
GPR84	1.28525
CROCCL1	-0.6935
SRPX	-2.861
BRE	0.1465
FGF10	-0.8145
SDC3	1.63716666666667
ZRSR1	0.675
DKFZP434P211	-1.259
SOX6	0.8375
RPUSD2	-0.6785
C14orf173	-0.7965
MAPK11	-1.4675
TBC1D22A	-0.809
FAM123A	3.6515
COL4A6	-5.12333333333333
TOMM70A	0.9575
NAB1	0.613625
MGC16385	-0.127
TSPAN18	-0.993166666666667
MED31	-0.572
PLG	-0.128
CAPSL	0.853
ZNF532	1.546
ASB14	-0.06525
CA8	0.493
NUDT16P	-0.723
SLFN11	1.2145
LRRIQ2	0.80175
NOL7	-0.286
BRMS1L	0.732625
JARID1A	1.524
PANK2	0.2065
ICAM3	-2.95375
MDS1	-0.9655
TAF8	-0.27375
RNF139	0.1075
ZNF594	0.908333333333333
ADAM8	0.92275
SFTPC	-0.35075
MAN2B2	0.39875
RGS12	0.38
EIF1AY	-4.69716666666667
LRRIQ1	1.27666666666667
GPR150	0.06025
CCDC21	0.597666666666667
PRRG3	3.166
SAA4	-4.835
RAPGEF5	2.5835
ZCCHC2	-1.04972727272727
MGC39372	-1.064
PPP4R2	-0.0893333333333333
CDCA2	-1.30016666666667
OR4D5	1.553
PTGFRN	-0.1601
SIGLEC5	0.530666666666667
C19orf61	0.745166666666667
NMUR2	0.899
KIAA1586	0.106
DAGLA	1.043
CHCHD6	0.094
GPR32	0.3525
NEUROD6	0.0186666666666666
SLC2A4RG	-0.215625
CA5B	-0.14475
FBXL3	1.50575
MPHOSPH9	-0.044
HMG2L1	1.47275
HCN4	0.559666666666667
CEACAM19	1.2865
SH2D4B	1.38433333333333
HFE2	-1.483
TGM4	-0.2158
LYPD2	0.59875
TBC1D15	0.35675
MRPS21	-0.8999
NONO	0.7125
CLEC5A	0.326875
ITCH	-0.2413
MGAT3	2.16116666666667
MBP	0.788375
RPP25	0.99575
SOSTDC1	4.135
HRC	-2.85725
TRIM48	0.5845
TMEM133	-1.74225
ECEL1P2	-0.78275
HOXC11	1.9945
DOK5	1.441
HELZ	-0.0701666666666667
LOC348180	-0.68275
MGC33894	-0.228
ADRB3	0.142
DMD	-0.4845
PTRH2	-1.062
MPEG1	1.89933333333333
NDUFA12	-0.152333333333333
KRTAP2-4	-0.3395
STAMBPL1	-0.299666666666667
ADCY2	0.9378
UNQ6125	1.165
KLHL20	0.185166666666667
SRM	-0.948
OTC	-0.0565
TMIE	-0.535833333333333
SNX8	-1.3225
LIPK	0.654
CHURC1	0.202833333333333
KLC2	0.101333333333333
HDAC1	0.5795
FAM128A	-0.394333333333333
FNDC3B	-1.3163
MTCP1	0.404166666666667
WFDC10B	0.0632
PCDHGB3	-0.695
ATRNL1	2.1589
CAV2	-1.680875
MED26	1.082
DUS1L	-0.30175
CHRM3	-1.78125
NEK9	0.6705
WARS2	-1.2025
TBX22	1.122
TOMM40	0.268
RP6-213H19.1	-0.160333333333333
TUBGCP5	-0.1805
IGSF6	3.45
TPPP	1.30366666666667
UNQ6190	0.318
GSTM5	-1.214125
BTD	-1.65683333333333
PDCD1LG2	0.314833333333333
SNRPB2	0.207833333333333
ERICH1	-1.227625
APOA4	-2.08325
HOXA11	2.205
NARG1	0.517375
MKX	2.42575
RAB28	0.748857142857143
PKP3	0.692
SH3GL2	4.2985
CTSO	1.60675
RPN2	-0.8375
IL28RA	1.579
SFMBT1	0.0615
WDR57	0.8045
FER1L3	-2.66491666666667
HSF5	0.356333333333333
TTC9B	1.4085
C4BPA	-3.77683333333333
ALB	-3.13964285714286
SORBS3	-1.155
UPF2	0.8285
JPH1	0.988
AGBL2	-1.33625
DOPEY1	1.9085
TERF1	0.746416666666667
KIF22	-0.620833333333333
NINJ1	-1.21225
SEC61A2	1.07475
HIST1H1D	0.541333333333333
SFXN4	-0.796625
UCP3	0.9654
ZNF703	0.147
MYL6B	0.34625
TREM1	2.18025
OR52E6	0.238
CKMT2	0.32275
HLA-C	-0.21575
SLC13A3	-0.6025
TIMP4	-4.61775
SLIT2	1.4195
RSF1	0.696555555555556
LONRF1	-1.75914285714286
MON1A	-0.731166666666667
CACNG6	-1.5085
DPPA4	-5.78833333333333
ZSWIM3	0.32425
ZNF804A	-0.0148333333333333
CCIN	0.81175
SLC25A31	0.95925
KCNMB4	1.054
RABL5	0.637
GALNS	-0.9857
STX6	0.400875
HIST1H1C	-2.502
CIDEB	0.98525
CASP4	-2.95066666666667
PDK3	-1.5447
KCNJ11	2.943
TPR	-0.944
ZSCAN20	-0.7945
MTX2	0.53075
HIST1H2BH	-0.53175
LOC283767	-0.442
LYRM7	-1.33916666666667
BRD3	1.2085
HIST1H2BO	-1.01975
MAGEB10	0.069
SLC45A1	1.7565
SERPINA3	-2.13195
KIAA0143	0.8805
KCNJ16	1.191
KRT79	0.13225
FABP2	-0.89675
NUT	1.08366666666667
ZNF57	0.601
FBXL4	1.056375
CLEC9A	0.325
UGT8	2.389
BMP2K	-0.78625
MAPK4	1.2995
SLC25A23	-1.4743
HINT1	-0.9099
KRTAP13-1	-0.7395
SFXN5	0.0898
CHCHD2	0.128416666666667
FAM3D	-0.0505
NDP	-3.607875
RHOBTB1	-0.011
SLC4A4	-1.013625
RPL38	-0.26775
HTF9C	-0.0123333333333333
AP2A2	1.18625
ZBTB46	-0.0365
MAP7D1	-0.24225
AOX1	-2.928
CYR61	-1.14358333333333
DTNA	0.0492857142857143
JRKL	0.47025
TMOD3	-0.79475
EEA1	-0.8493
ADCK5	-0.0845
IL1R1	-0.824166666666667
KLK3	0.2845
HRSP12	0.5595
KTN1	-0.7785
LOH11CR2A	0.5132
RELL2	-1.13025
MAB21L1	1.2355
C20orf59	-1.24033333333333
PHKB	-1.1225
ADAM2	-2.55283333333333
TBC1D8B	-0.599666666666667
FAM13A1	-0.694375
LAPTM4B	1.76833333333333
LCN8	0.15
TMEM147	-0.0575
SYT4	4.37466666666667
XPO7	-0.7705
C9orf62	-0.09025
GPR75	0.915
TRIM5	-2.051125
APOC1	-2.0725
RNASE4	-2.81316666666667
PARD6B	-2.653625
ARID1A	0.690416666666667
TPD52L3	0.3868
RRAGB	0.388666666666667
RCN2	0.851333333333333
HIST2H2BE	-0.423
STARD7	0.50275
SHMT2	1.0605
KIAA1751	-0.0944
MLYCD	-0.07075
LOC162632	-1.2881
UQCRH	-0.74875
RP11-217H1.1	-0.4030625
SDHA	0.0065
NCLN	-0.3679
ZNF17	1.26033333333333
RCBTB2	-4.66875
VEGFB	-0.4364
RP4-747L4.3	1.28225
COLQ	0.4466
MPN2	-1.56
DRG2	-0.05525
KLRB1	1.362
ALPK2	-3.43025
DNASE2B	0.5505
FLJ23834	0.1775
AXUD1	-0.5985
SAFB	0.3994
NSUN4	-0.89975
RFX2	0.2115
MAPK8IP1	1.39233333333333
FANCD2	-1.11614285714286
ANKZF1	-2.06816666666667
C19orf50	0.33
DUSP8	0.395
SENP5	-0.473875
NFKBIL2	0.43475
LBR	-0.5665
IGFL1	0.165
LZTS2	-1.023
IL2RG	-2.0605
CCDC51	-0.73025
KLF3	0.003625
ANKRD37	-2.56875
KCTD14	1.50383333333333
FZR1	-0.127916666666667
SLC44A4	1.7296
ESPL1	-0.202
GMPR2	-1.2481
TBC1D19	-0.200833333333333
ERGIC1	-0.547111111111111
ERBB4	-1.778
TSPAN32	-0.0499166666666667
MAP4	-1.299625
GPHN	0.5535
SLC6A2	0.1175
HIVEP1	0.767
DFFB	1.20577777777778
EIF4EBP2	0.691625
DMRT1	4.51475
HSPB6	-0.63275
IER2	-0.5895
AIFM1	0.0025
WWC2	-0.325
MRPL4	-0.389
FLJ21062	-0.499833333333333
EPB41L4A	1.275
SH2D6	0.95125
TAF4B	0.7815
GAL3ST3	0.083
MALT1	-0.4775
RTDR1	2.2675
ARVCF	0.910375
MEX3B	2.60716666666667
FBXO16	-1.214
KIF7	0.9695
C1QC	3.32216666666667
ZNF783	0.476333333333333
ZNF85	1.827
MMP13	-0.4805
KIAA0329	-0.45025
RTP3	-0.561
ZBED3	-1.5085
CLGN	1.1805
SLC25A37	-2.823
hCG_18290	-0.666
OR5AS1	0.251
SMARCC2	0.791416666666667
FAM109A	0.292333333333333
CCDC12	-0.70875
USF2	0.7942
DEPDC7	-1.13375
C20orf24	-0.3865
JMJD3	1.1275
DSP	0.372714285714286
SLIC1	0.474625
FAM20A	-0.945375
IRF2BP2	-1.1435
ZNF230	1.1045
MSN	-1.59721428571429
SLC9A5	-2.178
EPDR1	-1.34
MUSK	0.7155
ZNF434	-0.244166666666667
SMARCD1	0.308
ZFP106	-0.29575
