Hybridization REF	TCGA-A7-A0CE-11A-21R-A089-07
RARRES3	2.424625
PLXNA1	-0.042
KIAA0100	-0.2178
PMF1	-1.26125
FNDC1	4.74975
HS2ST1	-1.15566666666667
CRELD2	-0.0025
C8G	-2.889
CD82	0.5795
LIM2	-1.636
UNQ6490	-0.128
MMP16	0.05675
DRD3	-0.36225
C5orf26	-0.41925
C11orf73	-0.4135
PTP4A2	-0.118375
OR4M2	0.2835
HPCA	-1.556
SEC14L1	-0.339833333333333
CHFR	-0.48125
EMILIN1	0.72225
NDUFS4	-0.3865
COL18A1	-0.327125
PDZD3	-0.1202
C9orf16	-1.58416666666667
ERBB2IP	-0.203833333333333
EMX2	4.52625
FUS	-1.45375
TF	-1.7529
CLCN4	0.702666666666667
CXorf56	0.23475
C11orf72	0.385
ELAC2	-0.572916666666667
NPR1	0.83075
ASS1	-1.69466666666667
USP42	0.0185
POLR2J	-2.017
SEC23IP	0.949
UQCRC1	-1.10475
LOC729603	-0.17075
C1orf71	-0.39575
POLG	-2.5355
ADAM23	-3.58
TFR2	-2.341
RICTOR	-0.1338
MGC39606	2.38325
C19orf55	-0.762
SNAPC1	-0.832
GNA11	0.7455
CCDC52	0.6845
FSIP1	3.4185
UPF3A	1.015875
IGSF11	-2.30766666666667
LAGE3	-1.578
CHST6	-2.2495
UNC13B	0.683875
TTLL4	-1.464
ZNF687	-0.435875
SDC2	0.3666
COX7A2	-0.755
LAMB4	0.322
FAM24A	-0.123
LRRTM3	-1.03783333333333
GPHB5	-0.332
OR4C13	0.2045
EIF3EIP	0.416285714285714
HABP4	0.226
TMEM125	3.31175
CNTN2	0.44575
ASNSD1	0.074
FUT4	-0.08275
ACF	-4.51775
LOC158381	0.683
CDH8	0.76175
AGPS	-0.867833333333333
C4orf18	3.961375
PECI	0.0944166666666666
UNG	-0.15675
GSTP1	-0.224
DCUN1D5	-1.339
DKFZP564J0863	-1.26075
SLC9A3R1	1.352625
BCDO2	0.858375
CHMP7	0.09275
REM2	0.611
DNHD1	-0.58775
FKBP4	-1.038
ZNF350	1.70325
MGC11102	-0.8585
BST1	2.50875
KISS1R	-1.708
NCR2	-0.279
DEFB125	1.0715
UBE2W	0.847375
KRT15	4.672125
C10orf99	-0.117
SCN11A	0.603
GFI1	-1.67525
RDHE2	2.64016666666667
FHL1	2.02616666666667
OSGEP	-0.252
GATA1	-4.5205
SMC6	-1.2635
TTTY14	-1.361
LPIN3	-0.20225
RPL4	0.1632
RBPMS	0.0789
PRPF3	-1.15033333333333
EMR1	-1.3665
SPATA19	-0.143
XCR1	-0.091
IRX3	1.6638
RBM6	0.47225
KLF4	1.0425
UNC5CL	-0.28825
SEBOX	-0.1625
BTK	-0.34425
KRCC1	1.92725
C6orf27	-0.2245
SYTL5	-0.0375
PRND	2.001125
LOC653319	-0.9495
PIGL	-1.513125
HUS1	-0.5435
SFRS6	0.470833333333333
C17orf77	0.2645
UIMC1	0.0515
FXYD2	-2.2919
LOC283152	-0.0695
ZNF667	1.015
ZCCHC12	0.0655
TFEC	2.7471
ATP7B	-0.0468333333333333
POLD2	-2.22333333333333
RG9MTD1	0.06675
ACOT2	-0.0725
HIST1H4I	-2.08625
PPARGC1A	-0.734
ETFA	-0.7481
POLRMT	-1.3775
ZNF146	0.670875
MIA2	0.788
KLHL6	-0.00616666666666666
HOXB5	-1.401375
NENF	-0.0701666666666667
CUGBP1	-0.635
PRSS22	0.0705
CASC4	0.8911
CUL4B	0.1148
CENPJ	-1.0438
PITX1	-2.83133333333333
FLJ31033	0.795166666666667
CELSR3	-3.19366666666667
ZNF568	1.52275
ITSN1	0.19
EHBP1L1	-1.27316666666667
C19orf2	0.03175
DCTN1	-0.89975
LIN28B	-4.696
TNKS2	0.43425
C1QBP	-0.266625
CADPS2	2.6675
SRMS	-0.598
GJA9	0.143166666666667
MGC24975	-1.56433333333333
TRIM45	0.0953333333333333
TSP50	1.199
TCP1	-0.6125
TMED7	-0.1133
CMA1	3.186
CENPL	-1.49083333333333
PTCRA	-1.04
FST	-2.77475
VWCE	-2.7205
PAWR	-0.28875
ABCC12	1.00733333333333
LDLR	-0.1536
ASTN2	0.9711
LOC441212	-0.907625
GPATCH8	-0.16525
TANC2	-0.783833333333333
KIF4A	-3.823
C18orf18	-0.2905
PGM1	-0.109
KIAA0258	0.08075
CPD	0.761625
SNCAIP	0.7875
DCT	-4.97533333333333
HLA-DOA	2.4475
OR11L1	-0.301
UPK1B	-0.744833333333333
DNAJB4	1.898375
UGT1A8	-0.492
HIST1H4L	-3.51
PECR	-1.04233333333333
HSPA2	1.42175
WFIKKN1	-2.6015
SERP1	1.52025
SYDE2	0.64475
TACR2	0.7405
NUP85	-1.132
CD177	-0.552333333333333
LGR5	-1.67366666666667
PIGG	-0.27325
PTHR1	-0.931
RAB5A	0.9254
FLJ13224	-0.885
USP9Y	-1.56366666666667
C7orf53	-0.197
LRP1B	0.88275
XAF1	2.9343
ABCG8	-1.346
ANKDD1A	0.660166666666667
DAND5	-1.631
SPAG6	2.83583333333333
LINCR	2.48775
ZDHHC22	-2.094875
CCDC60	0.4825
THOC7	-0.585
TCTA	0.3958
OR8K3	0.30075
NY-REN-7	-1.30525
B2M	1.44083333333333
C6orf141	-2.090375
LPPR4	4.69125
SQLE	-1.98475
SEPHS1	-0.4095
BTBD14B	-1.22128571428571
PLRG1	0.1585
SPG7	-0.6654375
ZNF614	0.0836666666666667
PARD6G	-0.0294999999999999
INPP5B	-0.3772
GRPEL2	-0.334375
PPID	-0.2235
TRIM56	0.24875
UBE2J1	0.53625
IL20RA	6.9625
LOC387856	0.56225
C1orf107	0.60725
UTS2R	-2.88775
C19orf22	-0.04625
SAFB2	-0.119375
KIAA0652	-0.499375
KLRG1	-0.37
MS4A8B	1.27583333333333
FRAG1	0.65325
KIAA1546	0.80675
E2F4	-0.9059
CLEC4M	0.776833333333333
BTBD14A	-1.66725
KIAA0999	1.6172
GYPA	-3.7305
TAC1	4.4022
TRAIP	-2.405
KIAA0232	1.2576
ERCC8	-0.28625
GPX4	-0.748125
KIAA0368	0.436625
GPR157	-1.27483333333333
CTAGE4	0.7065
C9orf30	-0.8715
OR52A1	-0.2195
HSP90B3P	0.701
ALG9	-0.2491
BTBD10	0.73625
SDK2	-0.085
BAIAP3	-1.31925
RABGGTB	-0.979625
ANKRD40	-0.0841666666666667
KRT74	0.7575
CALCOCO2	1.19264285714286
SNCA	-0.59725
TMSL8	-3.612875
C2orf53	-0.33
ESRRB	-0.48875
ARHGAP26	-0.15925
TDRD9	-1.48525
HRAS	-1.3505
KLRC4	-2.6845
JAGN1	-0.3375
BSDC1	0.49525
RNF43	-0.2215
NDUFAF1	0.6635
PHF12	0.39
OR1L3	0.06275
FOLR2	3.08191666666667
LYZL6	0.286333333333333
tcag7.1260	-1.762
WSB1	-0.118
PROS1	1.8559
OSTN	0.091
PSMB8	0.21725
SOCS4	0.73275
DDIT4L	1.74075
MAS1	0.541
MGC34796	-0.0235
CSHL1	0.0245
TBCCD1	0.307333333333333
ZBTB7C	-0.969
AP2S1	-2.156625
P15RS	0.6311
VAT1	-0.9854
SHANK3	0.324333333333333
TUFM	-1.35683333333333
THEG	-0.3875
KRT34	-2.86225
SGSM3	-0.614
TOMM22	-0.45475
SOCS3	1.38966666666667
CPO	1.0955
POP4	0.27325
BHLHB3	2.825
MALL	2.30825
OR1B1	0.4315
PARK2	1.109
GPR124	2.25125
LCE1E	-0.095
RUVBL2	-1.85775
CGRRF1	0.8807
ACPL2	0.70675
WNT10B	-1.494875
BAIAP2L2	-2.836375
ISCA1	1.0865
C1orf125	0.481875
RPAP1	-0.20825
RAI16	0.154166666666667
RPL27	-0.650125
NLRP9	0.157
EPN1	-0.7145
LOC388610	1.113625
SLC35A1	1.3832
GAL	-3.8825
SLC14A2	0.17375
RDH11	-0.458333333333333
FAM138F	-0.842
AUH	1.3895
FLJ40243	0.35175
C14orf129	0.482
MBD2	-0.172333333333333
ABHD14B	-0.306125
PIGT	0.417125
ALS2CR4	1.383
ALAS1	-0.3138
FOXO1	2.48166666666667
CRLF3	0.590625
C20orf107	-0.2895
FARS2	0.53825
CCDC28A	1.0375
NPHP3	0.676
OR13F1	-0.0525
TSEN54	-1.658
DEFB106B	-0.1717
OR8B4	-0.565
STH	1.67375
ZC3H14	0.07775
CBX2	-0.167
TMEM49	-0.147
C6orf21	0.3535
FLJ20920	0.51875
CRTAP	0.494357142857143
DDX50	0.52875
STYXL1	-0.136
BLVRB	-0.7705
LOC147650	-0.123833333333333
MMP24	-0.2845
GRID1	2.78733333333333
BANF1	-1.26333333333333
CTAGEP	0.43625
HMBS	-2.83075
SLC25A24	0.891
C14orf50	1.8075
MRO	3.43083333333333
SLC25A15	-0.055
FAM84B	0.7384
TDP1	-0.8425
C16orf78	-0.3795
C11orf57	-0.235875
RFK	-0.034375
ZFYVE9	-0.34175
STCH	-0.4736
WIBG	0.15425
LOC283871	-1.37133333333333
GBA2	-0.9588
NDUFB3	-0.78925
HSD17B13	0.581
GRIN3A	2.05433333333333
FMNL1	-1.37566666666667
SEPT7	0.4424
GNLY	2.6915
GRAMD1C	2.01916666666667
ZNF165	0.0885
USP38	0.853
FAM83A	-3.821
C14orf24	0.974916666666667
ARMCX3	1.922625
ARHGDIB	0.601333333333333
AK1	-0.644375
KIAA1045	1.388
DNAJB13	-0.294833333333333
NEU2	0.56
HIST1H4B	-3.34083333333333
FAM20B	-0.8079
HES2	0.141785714285714
FAM73B	-0.9144
LOC388381	0.32775
INTS7	-1.01981818181818
AMPH	1.81575
ZNF775	-1.99375
UCKL1	-1.77083333333333
C10orf97	1.091
C1orf161	-0.1685
ALDH1L1	0.39675
FLJ39378	0.500375
SLC23A1	-1.234
RBM4B	0.48625
THAP4	-0.297666666666667
OGFRL1	1.79175
KIAA0831	0.534625
PPP1R15A	0.2315
C1orf96	-0.531714285714286
C12orf11	-0.1095
BMF	-0.470875
MAN1A1	0.334125
KIAA1600	1.19766666666667
NLGN4X	1.85925
ALOX12	-1.464
RB1CC1	-0.4551
NEIL2	0.7443
EIF4E	0.7345
ABHD5	0.46875
EXOC4	-0.5715
CIP29	0.499166666666667
BATF2	0.6325
SLC29A4	-1.35625
HTR4	0.522
EMB	0.05425
TRAF6	0.8485
LMNB1	-3.163
FAM19A5	-1.370125
SHE	3.25925
PIK3C2B	1.46425
C15orf15	0.0818
USP15	0.2836
TCEAL2	3.34775
C5orf39	-0.788166666666667
PTGER2	-0.135
SLC31A1	-0.413
IFT172	0.81925
ADAM29	0.3555
GFOD1	1.2975
ST7L	1.0705
C15orf26	-2.6605
PKN3	-1.80825
CNTD1	3.818
COMMD1	-0.294625
NTRK2	4.8275
FOXN3	1.09475
MFGE8	-0.3869
PFKFB2	0.708333333333333
TAS2R4	0.0605
ENTHD1	-0.406
PRMT5	-0.763375
MGC16384	-0.7925
LOC442229	-1.3295
TSKU	0.075
KRTCAP3	1.703625
PDLIM1	1.5528
KCNS2	0.2215
RNF126	-0.986
CEP63	0.234
CLIC4	0.936875
hCG_1990170	3.842
ACR	1.2126
KLK7	4.09975
ALOX5AP	3.036125
RIPK3	3.41925
TAS2R9	-0.0365
C19orf18	2.2035
BIRC6	0.810642857142857
ZNF16	0.491
RFT1	-1.4055
SLC8A2	-0.46575
TACC1	0.926625
ITGAD	0.16725
SAMHD1	1.9455
SH3PXD2B	1.6616
EPC2	1.41025
C20orf85	0.283375
ATP13A2	-1.178
KRT4	0.757
CAPNS1	-0.938
MDM2	-0.676083333333333
PCDH20	2.32325
KCNK9	0.168
OR2C1	-0.164
KLHDC3	-1.8025
IPPK	0.418
EFHD2	-0.794375
GALR3	-2.79325
NBEA	1.41033333333333
ABCA6	5.2188
CLDN3	0.294666666666667
AKT2	-0.911357142857143
EGFR	1.1097
RBM16	0.72675
ZDHHC3	0.0425
SLC25A4	0.0621666666666667
CYB5B	0.539333333333333
CPXM1	0.5165
NDRG1	-1.15053846153846
FLJ43826	0.9085
OR5L2	-0.4684
FARP2	-0.1347
MRPL46	-1.0625
LDHAL6B	-0.111166666666667
MAPKAPK3	-1.05316666666667
NCAM2	-0.80275
PRKD2	-1.03616666666667
ZFP36L1	0.7879
CYSLTR1	0.279
OR4C3	0.18275
HIST1H2AJ	0.143
CCNB2	-4.01266666666667
ZNF10	0.701
TMEM175	-0.538
FAM134A	0.278833333333333
TIGD4	0.4515
PCNP	0.41975
MGC39715	1.83
LQK1	-2.928
CREB1	1.2598
TMPRSS3	0.78575
C4orf32	2.2025
LAT	-2.01175
KCNA3	0.6885
SKIV2L2	-0.45175
ROPN1B	2.661
tcag7.23	-0.2035
CDT1	-4.46075
ZHX2	0.935
CD28	-1.48925
ZNF624	1.0945
SEPT2	1.05891666666667
SOHLH2	0.303875
MCOLN3	0.83675
UNQ1945	-0.729
MASP2	-1.8325
ZNRF3	0.0570000000000001
GPATCH3	-0.88975
AGL	0.78225
QRICH2	-0.302
PSD4	0.5595
CCNB1IP1	-0.78525
ENPP7	0.29375
OBFC1	0.405
KCNG3	-2.997
C14orf79	-0.273833333333333
ENPEP	3.26533333333333
SCT	0.0445
SKI	-0.252
SEC61G	-2.0105
CAPN11	2.5525
ATXN7L3	-0.87325
DBNDD1	-1.0225
FAIM	0.331
ANKRD36	-1.0385
GABRP	5.236
TACSTD2	2.4905
EIF3J	-0.33025
PPP2R2A	0.00525
TEKT4	-0.772833333333333
PVALB	-4.68633333333333
F10	-1.39983333333333
FAM134C	0.3323
COMP	1.69375
EFCBP1	-0.7025
SCLT1	0.29775
TAL1	-0.4822
ACSL1	2.18025
ABCC5	-1.28033333333333
ABL1	-0.830333333333333
RBBP7	0.27075
PTPRG	0.4015
NCOR1	0.6038
SPINK4	0.715
TXNRD1	-2.3239
TNRC15	0.011
C9orf138	0.722625
UBE2H	0.717
BRDT	0.441666666666667
C8orf31	-0.5085
CCNE2	-2.076
SLC6A8	-2.68825
CALCR	-0.33625
PPP1CB	2.15483333333333
ABHD8	-0.81475
ARF5	-0.5455
SLC24A4	1.712
CCT3	-1.42875
ZNF121	-0.095875
SLC3A2	-1.4748
OR13A1	-0.1125
SLC5A10	-0.6855
RAD50	-0.327875
IER5	-1.5905
MTHFD1L	-2.066625
MBTPS2	-0.2525
MVK	-0.6325
NCL	-0.362
PSMD10	0.115
MOBP	0.102857142857143
FLJ32894	-0.641
HRH1	-0.165666666666667
C5orf30	1.24425
NUDT16L1	-0.3743
RASGRP3	3.81933333333333
PRKRIP1	-0.5314
CCDC75	-0.03625
LOC253970	-0.01975
KIAA1239	-0.06175
MED21	-0.638
SYT11	0.303416666666667
NTSR2	-0.4125
EGFL11	0.221
CXorf59	-1.4375
OR2A25	-0.465
SPTBN2	-1.78075
LRMP	-0.149333333333333
RNF111	0.49375
PTH	-0.567
LOC619208	0.392666666666667
KIAA0895	0.926
RANBP5	-0.672125
P2RY10	0.933666666666667
NME5	4.469
DDX21	-0.01725
LRSAM1	-0.555
HDAC11	0.279333333333333
VMO1	1.764
NOLA2	-1.13
ADAR	-0.528166666666667
MTO1	-0.531666666666667
SF4	-0.559333333333333
P2RX1	0.0836666666666667
HBM	0.337
EN2	-2.2055
C14orf172	-1.15675
TM9SF2	0.9043
INHBE	-1.109
TCTE3	-0.14625
TOX2	-2.05425
CTAGE3	0.727875
HBB	4.6269
MED15	-1.83966666666667
CASR	-0.04825
C6orf66	-0.765166666666667
MTPN	-0.92625
UNC50	0.65925
C21orf33	0.085375
IRF2	1.125375
PGR	2.0395
GPR84	1.5845
CROCCL1	-0.74325
SRPX	1.55875
BRE	-0.00283333333333333
FGF10	4.0555
SDC3	1.18883333333333
ZRSR1	0.651833333333333
DKFZP434P211	-0.732375
SOX6	0.204
RPUSD2	-0.33275
C14orf173	-0.983833333333333
MAPK11	-0.771166666666667
TBC1D22A	-0.188
FAM123A	-0.3515
COL4A6	0.974333333333333
TOMM70A	0.3595
NAB1	0.747
MGC16385	0.0485
TSPAN18	-1.64316666666667
MED31	-0.23925
PLG	-0.2455
CAPSL	1.3055
ZNF532	1.9766
ASB14	-0.09325
CA8	1.57925
NUDT16P	2.23883333333333
SLFN11	0.112
LRRIQ2	-0.621375
NOL7	-0.667
BRMS1L	0.7125
JARID1A	-0.204666666666667
PANK2	-0.197
ICAM3	-1.64775
MDS1	0.04
TAF8	-0.56475
RNF139	0.5365
ZNF594	0.637833333333333
ADAM8	-0.107125
SFTPC	-0.730375
MAN2B2	1.4215
RGS12	0.044125
EIF1AY	-5.001
LRRIQ1	0.7905
GPR150	-3.44425
CCDC21	-2.01666666666667
PRRG3	1.0485
SAA4	-0.63625
RAPGEF5	-1.41975
ZCCHC2	-0.334833333333333
MGC39372	1.63
PPP4R2	0.7385
CDCA2	-3.1735
OR4D5	0.440833333333333
PTGFRN	0.709
SIGLEC5	1.889
C19orf61	-0.996666666666667
NMUR2	0.246
KIAA1586	-0.0615
DAGLA	1.41783333333333
CHCHD6	-0.706
GPR32	0.391
NEUROD6	0.565
SLC2A4RG	-0.7285625
CA5B	0.775
FBXL3	2.16
MPHOSPH9	-1.28725
HMG2L1	0.39675
HCN4	-2.50816666666667
CEACAM19	0.36825
SH2D4B	1.13266666666667
HFE2	-0.832
TGM4	0.00524999999999999
LYPD2	0.2885
TBC1D15	0.08525
MRPS21	-0.7032
NONO	-1.0919
CLEC5A	0.658
ITCH	-0.1046
MGAT3	0.689166666666667
MBP	0.189
RPP25	-2.5
SOSTDC1	3.92275
HRC	-1.208
TRIM48	0.3365
TMEM133	0.643
ECEL1P2	-1.46825
HOXC11	-1.161
DOK5	0.97125
HELZ	0.2335
LOC348180	-1.77825
MGC33894	-0.21825
ADRB3	-0.0445
DMD	1.65825
PTRH2	-0.66725
MPEG1	3.4435
NDUFA12	-0.839833333333333
KRTAP2-4	-0.658416666666667
STAMBPL1	-0.766333333333333
ADCY2	0.446333333333333
UNQ6125	1.1575
KLHL20	0.443
SRM	-2.1795
OTC	0.29475
TMIE	1.00216666666667
SNX8	-1.946
LIPK	0.1465
CHURC1	0.312333333333333
KLC2	-0.2565
HDAC1	-0.0266666666666667
FAM128A	-1.17116666666667
FNDC3B	-0.6146
MTCP1	-0.222166666666667
WFDC10B	-0.2909
PCDHGB3	0.0875
ATRNL1	-0.0759
CAV2	2.247
MED26	-0.189333333333333
DUS1L	-0.936
CHRM3	-1.288625
NEK9	0.9795
WARS2	-0.45675
TBX22	0.6995
TOMM40	-1.982
RP6-213H19.1	-0.693
TUBGCP5	-0.09975
IGSF6	4.861
TPPP	1.93133333333333
UNQ6190	0.2685
GSTM5	1.8775
BTD	1.20833333333333
PDCD1LG2	1.40083333333333
SNRPB2	-0.910833333333333
ERICH1	0.171375
APOA4	-2.201125
HOXA11	-2.0275
NARG1	-0.26
MKX	0.40025
RAB28	0.857357142857143
PKP3	0.654
SH3GL2	-2.7395
CTSO	4.404
RPN2	-0.701875
IL28RA	0.4735
SFMBT1	0.4095
WDR57	0.4015
FER1L3	1.96891666666667
HSF5	0.0588333333333334
TTC9B	-0.86875
C4BPA	-0.118
ALB	-1.868
SORBS3	-0.087
UPF2	0.766
JPH1	0.191
AGBL2	0.95575
DOPEY1	2.517
TERF1	0.288916666666667
KIF22	-1.9515
NINJ1	0.35875
SEC61A2	-0.980083333333333
HIST1H1D	-2.419
SFXN4	-0.46225
UCP3	-0.0648
ZNF703	-0.116
MYL6B	-0.3175
TREM1	1.481
OR52E6	0.3895
CKMT2	3.51525
HLA-C	1.557625
SLC13A3	-1.34116666666667
TIMP4	0.62825
SLIT2	3.3975
RSF1	0.351111111111111
LONRF1	0.628214285714286
MON1A	-0.924833333333333
CACNG6	-3.66816666666667
DPPA4	-6.26333333333333
ZSWIM3	-0.116
ZNF804A	0.543833333333333
CCIN	0.826
SLC25A31	-0.095
KCNMB4	0.78825
RABL5	0.42425
GALNS	-0.488
STX6	0.1045
HIST1H1C	-2.89433333333333
CIDEB	0.397
CASP4	0.829166666666667
PDK3	-0.3532
KCNJ11	1.5405
TPR	-0.031
ZSCAN20	-0.305
MTX2	-0.3135
HIST1H2BH	-1.45075
LOC283767	1.65525
LYRM7	-0.284833333333333
BRD3	0.0975
HIST1H2BO	-1.54025
MAGEB10	-0.339
SLC45A1	0.8025
SERPINA3	2.81975
KIAA0143	1.09975
KCNJ16	4.06266666666667
KRT79	-0.42225
FABP2	-0.509
NUT	-0.4145
ZNF57	0.7105
FBXL4	0.607
CLEC9A	1.9835
UGT8	0.754666666666667
BMP2K	0.5435
MAPK4	-1.208
SLC25A23	-1.009
HINT1	-1.1304
KRTAP13-1	0.5575
SFXN5	-0.1428
CHCHD2	-0.6725
FAM3D	4.3695
NDP	-0.831125
RHOBTB1	-0.4275
SLC4A4	-0.00575000000000002
RPL38	-0.04575
HTF9C	-1.2685
AP2A2	0.147
ZBTB46	-0.347
MAP7D1	0.029625
AOX1	1.45416666666667
CYR61	1.71716666666667
DTNA	-0.00428571428571432
JRKL	1.36775
TMOD3	-0.17525
EEA1	0.5654
ADCK5	-1.6225
IL1R1	3.01916666666667
KLK3	-0.0872857142857144
HRSP12	-0.12425
KTN1	0.45825
LOH11CR2A	1.8019
RELL2	-2.46375
MAB21L1	3.98375
C20orf59	-1.66433333333333
PHKB	0.682
ADAM2	-1.96733333333333
TBC1D8B	1.67566666666667
FAM13A1	0.587
LAPTM4B	-0.806666666666667
LCN8	0.0775
TMEM147	-0.7225
SYT4	0.616
XPO7	-1.435
C9orf62	-4.04075
GPR75	1.6985
TRIM5	1.618875
APOC1	-0.980333333333333
RNASE4	2.70883333333333
PARD6B	-3.199875
ARID1A	-0.1105
TPD52L3	0.1691
RRAGB	1.41833333333333
RCN2	-0.164333333333333
HIST2H2BE	-0.797875
STARD7	-0.4055
SHMT2	-1.838
KIAA1751	0.140333333333333
MLYCD	0.788125
LOC162632	-0.1193
UQCRH	-1.4995
RP11-217H1.1	-0.0533749999999999
SDHA	-1.57266666666667
NCLN	-1.2853
ZNF17	0.8965
RCBTB2	-0.18275
VEGFB	-0.8604
RP4-747L4.3	-0.96775
COLQ	0.2157
MPN2	-0.673166666666667
DRG2	-1.17925
KLRB1	5.33725
ALPK2	-1.66325
DNASE2B	0.96375
FLJ23834	1.82916666666667
AXUD1	1.71733333333333
SAFB	-0.5733
NSUN4	-0.2115
RFX2	1.6345
MAPK8IP1	-1.1565
FANCD2	-1.12121428571429
ANKZF1	-1.67466666666667
C19orf50	-0.499625
DUSP8	0.609
SENP5	-0.594125
NFKBIL2	-1.8665
LBR	-1.5655
IGFL1	-0.2205
LZTS2	-0.319625
IL2RG	-1.03225
CCDC51	-0.62225
KLF3	0.46
ANKRD37	-1.04975
KCTD14	1.173
FZR1	-0.848416666666667
SLC44A4	2.122
ESPL1	-2.33525
GMPR2	0.0572
TBC1D19	-0.134333333333333
ERGIC1	-0.68237037037037
ERBB4	3.397
TSPAN32	0.103
MAP4	-0.340125
GPHN	-0.2725
SLC6A2	1.34625
HIVEP1	0.797
DFFB	-0.4968
EIF4EBP2	0.59525
DMRT1	-1.05025
HSPB6	1.0065
IER2	-0.274833333333333
AIFM1	-0.07875
WWC2	0.547
MRPL4	-1.846
FLJ21062	2.53016666666667
EPB41L4A	1.43025
SH2D6	0.18575
TAF4B	-0.16075
GAL3ST3	-0.9525
MALT1	-0.2985
RTDR1	0.303
ARVCF	-0.053875
MEX3B	-0.773166666666667
FBXO16	0.63075
KIF7	-0.5075
C1QC	4.20666666666667
ZNF783	-0.581
ZNF85	1.26325
MMP13	-0.5395
KIAA0329	1.195375
RTP3	-0.96
ZBED3	-0.13075
CLGN	-1.60875
SLC25A37	-0.787583333333334
hCG_18290	-0.03575
OR5AS1	-0.0375
SMARCC2	-0.262166666666667
FAM109A	-0.728666666666667
CCDC12	0.05875
USF2	-0.2362
DEPDC7	-2.205
C20orf24	-1.504
JMJD3	0.2205
DSP	1.94321428571429
SLIC1	-0.059875
FAM20A	2.76775
IRF2BP2	0.59875
ZNF230	0.6655
MSN	-0.436928571428571
SLC9A5	-1.962
EPDR1	0.2568
MUSK	0.237333333333333
ZNF434	0.447666666666667
SMARCD1	-0.918166666666667
ZFP106	0.47
ZNF347	0.9842
