Hybridization REF	TCGA-AR-A0TW-01A-11R-A084-07
CNTD1	1.96466666666667
COMMD1	0.585625
NTRK2	0.841333333333333
FOXN3	-0.7045
MFGE8	-0.7339
PFKFB2	1.16183333333333
TAS2R4	-0.37075
ENTHD1	1.1385
PRMT5	0.095125
MGC16384	-2.13
LOC442229	0.66125
TSKU	1.7985
KRTCAP3	3.099375
PDLIM1	-0.7196
KCNS2	0.000750000000000015
RNF126	-0.029
CEP63	-0.217125
CLIC4	-1.1205
hCG_1990170	-0.927
ACR	0.5794
KLK7	-0.22175
ALOX5AP	2.580375
RIPK3	2.82625
TAS2R9	0.373
C19orf18	1.0515
BIRC6	0.0809285714285714
ZNF16	1.0305
RFT1	-0.02525
SLC8A2	-0.4915
TACC1	-1.426
ITGAD	2.205
SAMHD1	1.63775
SH3PXD2B	0.7917
EPC2	0.18875
C20orf85	3.04975
ATP13A2	0.772333333333333
KRT4	0.469125
CAPNS1	0.8615
MDM2	0.118333333333333
PCDH20	0.4795
KCNK9	1.006
OR2C1	0.2655
KLHDC3	-0.918
IPPK	1.579
EFHD2	-0.36375
GALR3	0.222
NBEA	1.30066666666667
ABCA6	2.109
CLDN3	2.99416666666667
AKT2	-0.460928571428571
EGFR	-3.1153
RBM16	-0.637875
ZDHHC3	0.7219
SLC25A4	1.65883333333333
CYB5B	0.1
CPXM1	-0.23175
NDRG1	-0.474076923076923
FLJ43826	0.38575
OR5L2	0.436333333333333
FARP2	0.936
MRPL46	0.0528333333333333
LDHAL6B	0.1765
MAPKAPK3	-0.110166666666667
NCAM2	-0.787
PRKD2	0.217166666666667
ZFP36L1	0.000199999999999999
CYSLTR1	-0.56275
OR4C3	0.168
HIST1H2AJ	3.5025
CCNB2	-2.56244444444444
ZNF10	0.141
TMEM175	0.3025
FAM134A	0.98
TIGD4	0.6035
PCNP	-0.5115
MGC39715	-0.3435
LQK1	-0.53225
CREB1	1.0824
TMPRSS3	-2.40325
C4orf32	2.286125
LAT	-1.41875
KCNA3	0.5045
SKIV2L2	-1.06125
ROPN1B	-2.676
tcag7.23	-0.3335
CDT1	-3.1425
ZHX2	0.35875
CD28	-2.3095
ZNF624	0.9625
SEPT2	0.599916666666667
SOHLH2	-1.653625
MCOLN3	0.1755
UNQ1945	0.7485
MASP2	-0.4115
ZNRF3	-0.2664
GPATCH3	-0.066
AGL	2.339375
QRICH2	-0.243
PSD4	0.407833333333333
CCNB1IP1	-3.10475
ENPP7	0.5605
OBFC1	0.398
KCNG3	-1.85975
C14orf79	1.48133333333333
ENPEP	1.29416666666667
SCT	1.035
SKI	0.193625
SEC61G	-1.23125
CAPN11	-0.05625
ATXN7L3	0.1065
DBNDD1	0.8965
FAIM	-0.8425
ANKRD36	-1.7245
GABRP	-0.785166666666667
TACSTD2	1.7255
EIF3J	-0.4055
PPP2R2A	-1.15175
TEKT4	-1.03433333333333
PVALB	-3.72816666666667
F10	-2.98566666666667
FAM134C	1.1383
COMP	4.174875
EFCBP1	-3.38393333333333
SCLT1	-0.68525
TAL1	-1.2793
ACSL1	1.506
ABCC5	0.646916666666667
ABL1	-0.326111111111111
RBBP7	0.227916666666667
PTPRG	-1.80375
NCOR1	-1.3185
SPINK4	0.8595
TXNRD1	-0.0536
TNRC15	0.609375
C9orf138	0.717375
UBE2H	1.19016666666667
BRDT	0.00666666666666667
C8orf31	0.25075
CCNE2	-0.217272727272727
SLC6A8	-0.391
CALCR	-3.971
PPP1CB	1.05525
ABHD8	-0.6215
ARF5	-0.5916
SLC24A4	0.735
CCT3	0.327
ZNF121	0.328375
SLC3A2	-0.0169
OR13A1	0.38
SLC5A10	-0.10475
RAD50	0.576125
IER5	-0.6305
MTHFD1L	-2.50925
MBTPS2	1.318
MVK	0.145375
NCL	0.2711
PSMD10	0.43
MOBP	0.050375
FLJ32894	-0.3015
HRH1	-2.26816666666667
C5orf30	0.87975
NUDT16L1	1.7327
RASGRP3	2.981
PRKRIP1	-0.6783
CCDC75	-0.73725
LOC253970	0.35175
KIAA1239	0.2565
MED21	-0.561
SYT11	0.3775
NTSR2	-0.099
EGFL11	0.2045
CXorf59	0.508
OR2A25	0.0725
SPTBN2	-0.29925
LRMP	-0.6995
RNF111	0.41125
PTH	-0.022
LOC619208	-0.320666666666667
KIAA0895	0.92625
RANBP5	-0.8055
P2RY10	1.573
NME5	3.662
DDX21	-1.4055
LRSAM1	0.72
HDAC11	1.1585
VMO1	1.2675
NOLA2	0.804333333333333
ADAR	1.1345
MTO1	-0.556833333333333
SF4	-0.0288333333333333
P2RX1	0.670666666666667
HBM	0.2765
EN2	0.4405
C14orf172	0.57225
TM9SF2	1.1166
INHBE	-0.694666666666667
TCTE3	-0.11375
TOX2	-2.342
CTAGE3	0.84625
HBB	2.5292
MED15	-0.846333333333333
CASR	0.3655
C6orf66	0.877333333333333
MTPN	-0.773625
UNC50	0.23925
C21orf33	1.525125
IRF2	1.377125
PGR	0.434166666666667
GPR84	1.9
CROCCL1	-2.783
SRPX	-2.48475
BRE	0.102333333333333
FGF10	0.206
SDC3	0.501333333333333
ZRSR1	0.934166666666667
DKFZP434P211	-0.765125
SOX6	-0.005
RPUSD2	0.1745
C14orf173	-0.043
MAPK11	-0.640333333333333
TBC1D22A	0.7475
FAM123A	-0.3435
COL4A6	-3.54616666666667
TOMM70A	0.52575
NAB1	-1.112875
MGC16385	-0.07325
TSPAN18	-1.36683333333333
MED31	0.0535
PLG	-0.50275
CAPSL	1.8295
ZNF532	-0.392
ASB14	0.03175
CA8	-0.39775
NUDT16P	1.99683333333333
SLFN11	-1.1415
LRRIQ2	0.404125
NOL7	-0.134833333333333
BRMS1L	-0.676375
JARID1A	0.144
PANK2	-0.73225
ICAM3	-0.07425
MDS1	-0.244
TAF8	-0.33675
RNF139	1.07575
ZNF594	-0.541
ADAM8	1.617625
SFTPC	-0.1495
MAN2B2	2.052
RGS12	-0.3051875
EIF1AY	-4.41758333333333
LRRIQ1	0.254333333333333
GPR150	0.388
CCDC21	-0.862833333333333
PRRG3	0.5125
SAA4	-4.24575
RAPGEF5	0.903375
ZCCHC2	0.0313333333333333
MGC39372	0.072
PPP4R2	0.2695
CDCA2	-2.58766666666667
OR4D5	0.653
PTGFRN	0.6996
SIGLEC5	2.2505
C19orf61	-0.277
NMUR2	0.3995
KIAA1586	-0.9985
DAGLA	0.893166666666667
CHCHD6	0.07375
GPR32	0.662
NEUROD6	0.295333333333333
SLC2A4RG	-0.1026875
CA5B	0.56025
FBXL3	0.43925
MPHOSPH9	-0.2695
HMG2L1	-0.33975
HCN4	0.332166666666667
CEACAM19	0.06575
SH2D4B	0.522333333333333
HFE2	-0.766
TGM4	0.36
LYPD2	0.40275
TBC1D15	0.21875
MRPS21	-0.3485
NONO	-0.7197
CLEC5A	1.336
ITCH	0.3235
MGAT3	-0.844
MBP	-0.469625
RPP25	-2.24625
SOSTDC1	-2.51525
HRC	-1.83825
TRIM48	0.0635
TMEM133	-0.2655
ECEL1P2	-1.1165
HOXC11	-0.0735
DOK5	-1.285
HELZ	1.28066666666667
LOC348180	-0.24
MGC33894	0.4405
ADRB3	0.565
DMD	-0.22325
PTRH2	2.2995
MPEG1	3.4875
NDUFA12	0.627166666666667
KRTAP2-4	0.167583333333333
STAMBPL1	-0.910333333333333
ADCY2	-1.044
UNQ6125	0.16
KLHL20	0.08
SRM	-0.95925
OTC	0.26725
TMIE	0.188
SNX8	-0.02825
LIPK	0.085
CHURC1	-0.797833333333333
KLC2	0.542166666666667
HDAC1	0.018
FAM128A	0.248666666666667
FNDC3B	0.3298
MTCP1	-0.178
WFDC10B	0.3599
PCDHGB3	0.7965
ATRNL1	-0.2815
CAV2	-1.404125
MED26	0.0198333333333333
DUS1L	0.82375
CHRM3	-2.372
NEK9	0.9235
WARS2	-0.08675
TBX22	-0.1515
TOMM40	-0.22125
RP6-213H19.1	-0.6115
TUBGCP5	-0.46375
IGSF6	5.06775
TPPP	0.975
UNQ6190	-0.0625
GSTM5	-0.4405
BTD	1.45516666666667
PDCD1LG2	1.748
SNRPB2	-0.818333333333333
ERICH1	-1.367375
APOA4	-1.536
HOXA11	-1.8495
NARG1	0.942125
MKX	0.39425
RAB28	0.563642857142857
PKP3	2.31425
SH3GL2	-2.629
CTSO	3.686
RPN2	0.8419375
IL28RA	-0.654
SFMBT1	0.0295
WDR57	0.442625
FER1L3	0.699166666666667
HSF5	0.464333333333333
TTC9B	0.8175
C4BPA	-3.585
ALB	-4.246
SORBS3	-0.781
UPF2	0.3225
JPH1	0.9725
AGBL2	0.62575
DOPEY1	0.621
TERF1	0.104916666666667
KIF22	-0.7175
NINJ1	2.502
SEC61A2	0.306083333333333
HIST1H1D	0.123
SFXN4	0.112875
UCP3	-0.3551
ZNF703	0.545666666666667
MYL6B	-0.8535
TREM1	1.54575
OR52E6	0.4445
CKMT2	0.08775
HLA-C	2.298375
SLC13A3	-2.72183333333333
TIMP4	-3.45475
SLIT2	1.06575
RSF1	0.0365
LONRF1	-1.56335714285714
MON1A	-0.151833333333333
CACNG6	-1.708
DPPA4	-5.36533333333333
ZSWIM3	-1.1435
ZNF804A	0.5
CCIN	0.3725
SLC25A31	-0.04925
KCNMB4	-0.64425
RABL5	0.276
GALNS	0.5035
STX6	0.76525
HIST1H1C	1.882
CIDEB	-1.0405
CASP4	-0.198333333333333
PDK3	0.6053
KCNJ11	0.974
TPR	-1.298875
ZSCAN20	-0.208
MTX2	-0.5025
HIST1H2BH	1.665
LOC283767	-0.74725
LYRM7	-1.35011111111111
BRD3	-0.4485
HIST1H2BO	1.3855
MAGEB10	1.3765
SLC45A1	1.896
SERPINA3	1.2901
KIAA0143	1.55925
KCNJ16	-0.232833333333333
KRT79	0.0705
FABP2	-0.949
NUT	-0.08825
ZNF57	-0.0555
FBXL4	1.71775
CLEC9A	1.1825
UGT8	-0.989333333333333
BMP2K	0.5315
MAPK4	-3.53525
SLC25A23	-1.1367
HINT1	-2.3014
KRTAP13-1	0.3615
SFXN5	-0.1078
CHCHD2	0.381666666666667
FAM3D	-0.0605
NDP	-3.8975
RHOBTB1	-0.863
SLC4A4	-1.35
RPL38	0.5275
HTF9C	-0.432
AP2A2	0.67925
ZBTB46	-0.5115
MAP7D1	-0.068125
AOX1	-2.31983333333333
CYR61	1.3845
DTNA	-0.117428571428571
JRKL	-0.72275
TMOD3	0.25675
EEA1	0.7476
ADCK5	1.2345
IL1R1	0.913833333333333
KLK3	0.489928571428571
HRSP12	0.54175
KTN1	-0.0265
LOH11CR2A	0.1344
RELL2	0.325
MAB21L1	1.64625
C20orf59	-1.132
PHKB	1.2585
ADAM2	-1.75916666666667
TBC1D8B	1.0925
FAM13A1	-1.42275
LAPTM4B	2.64066666666667
LCN8	0.683
TMEM147	1.217
SYT4	-0.0958333333333333
XPO7	-1.5875
C9orf62	0.3445
GPR75	0.2475
TRIM5	0.457875
APOC1	1.16783333333333
RNASE4	-1.1175
PARD6B	1.436125
ARID1A	0.434583333333333
TPD52L3	0.3031
RRAGB	0.487
RCN2	-1.0735
HIST2H2BE	1.1295
STARD7	0.02225
SHMT2	-1.08275
KIAA1751	0.648666666666667
MLYCD	0.972625
LOC162632	0.7935
UQCRH	-1.22225
RP11-217H1.1	0.99125
SDHA	0.021
NCLN	0.3779
ZNF17	0.9995
RCBTB2	-2.4835
VEGFB	0.3405
RP4-747L4.3	0.12725
COLQ	0.1975
MPN2	-0.564333333333333
DRG2	-0.219
KLRB1	5.0305
ALPK2	-2.7435
DNASE2B	3.90975
FLJ23834	-0.5815
AXUD1	1.60016666666667
SAFB	-0.5373
NSUN4	0.44475
RFX2	-0.259333333333333
MAPK8IP1	0.088
FANCD2	-1.22121428571429
ANKZF1	-1.30966666666667
C19orf50	-0.895375
DUSP8	0.729125
SENP5	0.82125
NFKBIL2	-0.3295
LBR	-1.819125
IGFL1	0.603
LZTS2	-0.72675
IL2RG	0.56925
CCDC51	0.57875
KLF3	0.559375
ANKRD37	0.169
KCTD14	-2.474
FZR1	0.50525
SLC44A4	3.4954
ESPL1	-0.9085
GMPR2	0.7796
TBC1D19	-0.0578333333333333
ERGIC1	2.01125925925926
ERBB4	1.8974
TSPAN32	0.707833333333333
MAP4	0.142125
GPHN	1.3765
SLC6A2	0.093625
HIVEP1	0.42525
DFFB	-0.4924
EIF4EBP2	0.207625
DMRT1	-0.1485
HSPB6	-0.018
IER2	0.196333333333333
AIFM1	0.808
WWC2	0.20775
MRPL4	-0.605
FLJ21062	0.169333333333333
EPB41L4A	0.619833333333333
SH2D6	1.07575
TAF4B	-0.77175
GAL3ST3	0.0505
MALT1	-1.44466666666667
RTDR1	0.08825
ARVCF	-0.85875
MEX3B	-1.95483333333333
FBXO16	0.4225
KIF7	-1.26325
C1QC	3.85383333333333
ZNF783	-1.171
ZNF85	-1.5455
MMP13	3.9655
KIAA0329	0.282875
RTP3	-0.5585
ZBED3	-2.13675
CLGN	1.1715
SLC25A37	-2.367625
hCG_18290	-0.44225
OR5AS1	0.7245
SMARCC2	-0.128416666666667
FAM109A	0.0356666666666667
CCDC12	-0.19775
USF2	0.6525
DEPDC7	-2.403
C20orf24	0.203833333333333
JMJD3	0.433
DSP	0.00664285714285712
SLIC1	0.8085
FAM20A	1.997375
IRF2BP2	-0.238125
ZNF230	0.4295
MSN	-1.20485714285714
SLC9A5	-0.4505
EPDR1	0.0469
MUSK	0.3415
ZNF434	0.960833333333333
SMARCD1	-0.805333333333333
ZFP106	-0.48575
ZNF347	0.0883
GTF2E1	0.50525
RY1	-0.422166666666667
ATAD2B	-0.247625
ARHGAP17	-0.5048
KCNIP3	-1.41225
SFPQ	0.04575
GFRA4	0.4165
AKR1B10	-4.3575
TIGD6	0.321833333333333
RGS16	1.934875
