Hybridization REF	TCGA-A2-A0YI-01A-31R-A10J-07
MGC24975	-0.892
TRIM45	0.573
TSP50	1.20675
TCP1	-1.3115
TMED7	0.4378
CMA1	0.493
CENPL	-1.444
PTCRA	0.626
FST	-3.58825
VWCE	-3.66575
PAWR	-0.2725
ABCC12	1.29333333333333
LDLR	-0.3075
ASTN2	1.1513
LOC441212	-1.068625
GPATCH8	-0.514
TANC2	-0.339083333333333
KIF4A	-3.36375
C18orf18	-1.6405
PGM1	0.1105
KIAA0258	0.4405
CPD	1.149125
SNCAIP	-0.1885
DCT	-4.6965
HLA-DOA	2.94613636363636
OR11L1	0.3705
UPK1B	-0.0481666666666667
DNAJB4	0.053625
UGT1A8	-0.077
HIST1H4L	-1.128
PECR	-1.16633333333333
HSPA2	2.174
WFIKKN1	-2.5185
SERP1	1.364625
SYDE2	1.32675
TACR2	0.5785
NUP85	-0.91125
CD177	0.0555
LGR5	-1.54783333333333
PIGG	-0.129416666666667
PTHR1	-1.66033333333333
RAB5A	0.2612
FLJ13224	-0.416
USP9Y	-0.7795
C7orf53	-1.4675
LRP1B	-0.466
XAF1	2.4808
ABCG8	-0.5415
ANKDD1A	-0.0926666666666667
DAND5	-1.6145
SPAG6	4.03083333333333
LINCR	2.34675
ZDHHC22	-1.75025
CCDC60	-0.126
THOC7	-1.54133333333333
TCTA	0.9973
OR8K3	0.295
NY-REN-7	-0.1165
B2M	1.75666666666667
C6orf141	-1.809625
LPPR4	1.97425
SQLE	-1.08375
SEPHS1	-0.5095
BTBD14B	0.308214285714286
PLRG1	-0.24275
SPG7	-0.170625
ZNF614	-0.344
PARD6G	0.434333333333333
INPP5B	-0.429
GRPEL2	-0.852375
PPID	-0.6264
TRIM56	-0.0795
UBE2J1	0.188875
IL20RA	5.2075
LOC387856	0.2265
C1orf107	0.570916666666667
UTS2R	0.896
C19orf22	-0.109
SAFB2	0.400625
KIAA0652	0.38925
KLRG1	0.293666666666667
MS4A8B	1.19716666666667
FRAG1	0.629
KIAA1546	0.2805
E2F4	-0.7031
CLEC4M	0.108
BTBD14A	-1.008
KIAA0999	0.3819
GYPA	-3.11133333333333
TAC1	1.3523
TRAIP	-2.1255
KIAA0232	0.9708
ERCC8	-1.2145
GPX4	0.02575
KIAA0368	0.123875
GPR157	-0.798833333333333
CTAGE4	1.1845
C9orf30	-1.04233333333333
OR52A1	0.0905
HSP90B3P	-0.0445
ALG9	-1.1372
BTBD10	1.31475
SDK2	0.07575
BAIAP3	-1.12825
RABGGTB	-0.3135
ANKRD40	-0.407833333333333
KRT74	-0.02
CALCOCO2	0.527071428571429
SNCA	-2.38225
TMSL8	-5.765625
C2orf53	0.366
ESRRB	-0.272
ARHGAP26	-1.337125
TDRD9	-2.594
HRAS	-0.673
KLRC4	-2.2505
JAGN1	-0.331166666666667
BSDC1	-0.0555
RNF43	0.11
NDUFAF1	0.23625
PHF12	0.2895
OR1L3	0.396
FOLR2	1.59091666666667
LYZL6	-0.230166666666667
tcag7.1260	-1.2655
WSB1	-1.18833333333333
PROS1	-0.515
OSTN	0.5255
PSMB8	0.80475
SOCS4	-0.0635
DDIT4L	1.37225
MAS1	-0.0425
MGC34796	1.146
CSHL1	0.507166666666667
TBCCD1	0.2265
ZBTB7C	0.0705
AP2S1	-0.623
P15RS	-0.7552
VAT1	-0.4162
SHANK3	1.02866666666667
TUFM	-0.3625
THEG	-0.1065
KRT34	-1.37875
SGSM3	0.224875
TOMM22	0.0835
SOCS3	1.519
CPO	-0.169
POP4	0.15475
BHLHB3	2.041
MALL	1.5265
OR1B1	0.208
PARK2	0.296666666666667
GPR124	1.071125
LCE1E	-0.092
RUVBL2	-0.743
CGRRF1	0.5154
ACPL2	0.71425
WNT10B	-1.968375
BAIAP2L2	-2.6215
ISCA1	0.3805
C1orf125	0.86925
RPAP1	-0.65875
RAI16	0.294
RPL27	-0.345375
NLRP9	0.336
EPN1	0.0505
LOC388610	-0.431125
SLC35A1	0.9471
GAL	-4.383
SLC14A2	0.174
RDH11	-0.636
FAM138F	-0.879
AUH	0.8605
FLJ40243	0.3485
C14orf129	0.6365
MBD2	-0.601
ABHD14B	0.0865
PIGT	0.50425
ALS2CR4	-0.228625
ALAS1	0.607
FOXO1	1.06266666666667
CRLF3	0.037125
C20orf107	-0.024
FARS2	0.7415
CCDC28A	0.8125
NPHP3	-0.854
OR13F1	0.7
TSEN54	-0.81775
DEFB106B	0.0603
OR8B4	0.6
STH	2.387
ZC3H14	-0.465875
CBX2	-0.749
TMEM49	-0.7315
C6orf21	0.399
FLJ20920	0.92775
CRTAP	0.408571428571429
DDX50	-0.24825
STYXL1	-0.06525
BLVRB	0.0175
LOC147650	-0.742333333333333
MMP24	0.47325
GRID1	1.38083333333333
BANF1	-0.551833333333333
CTAGEP	0.51475
HMBS	-2.78625
SLC25A24	1.51133333333333
C14orf50	1.6515
MRO	1.3565
SLC25A15	-0.864
FAM84B	1.1829
TDP1	-0.483
C16orf78	0.291666666666667
C11orf57	-0.588375
RFK	-0.373875
ZFYVE9	0.075125
STCH	-0.1844
WIBG	0.4485
LOC283871	-0.859166666666667
GBA2	-0.639
NDUFB3	-0.576
HSD17B13	-0.06325
GRIN3A	1.015
FMNL1	0.498166666666667
SEPT7	-0.4493
GNLY	3.141
GRAMD1C	0.530333333333333
ZNF165	-0.816
USP38	0.8515
FAM83A	-3.3895
C14orf24	0.519583333333333
ARMCX3	1.51525
ARHGDIB	1.72566666666667
AK1	0.771875
KIAA1045	0.415
DNAJB13	-0.359333333333333
NEU2	0.4115
HIST1H4B	-1.0945
FAM20B	0.1258
HES2	-0.467928571428571
FAM73B	-0.2503
LOC388381	-0.25975
INTS7	-0.769272727272727
AMPH	1.12725
ZNF775	-0.064375
UCKL1	-1.06033333333333
C10orf97	-0.2235
C1orf161	0.04375
ALDH1L1	-0.8635
FLJ39378	-0.247
SLC23A1	-1.154
RBM4B	-0.002
THAP4	0.494333333333333
OGFRL1	1.13875
KIAA0831	0.141
PPP1R15A	-0.5945
C1orf96	0.074
C12orf11	-2.2615
BMF	1.199625
MAN1A1	-0.587625
KIAA1600	0.795333333333333
NLGN4X	-1.28925
ALOX12	-0.794666666666667
RB1CC1	0.115
NEIL2	0.5685
EIF4E	0.0296363636363636
ABHD5	-0.55225
EXOC4	-0.4245
CIP29	0.0311666666666667
BATF2	1.8455
SLC29A4	-0.945625
HTR4	0.367
EMB	0.893
TRAF6	0.49875
LMNB1	-3.18875
FAM19A5	0.102125
SHE	1.6145
PIK3C2B	1.138
C15orf15	-0.3785
USP15	-0.0504
TCEAL2	2.1505
C5orf39	-0.450666666666667
PTGER2	-1.68225
SLC31A1	0.2983125
IFT172	0.198
ADAM29	0.42775
GFOD1	0.5365
ST7L	0.996333333333333
C15orf26	-3.129
PKN3	-1.39175
CNTD1	1.9315
COMMD1	0.411875
NTRK2	2.27033333333333
FOXN3	0.679
MFGE8	-1.0359
PFKFB2	0.2535
TAS2R4	0.34025
ENTHD1	0.623666666666667
PRMT5	-0.547375
MGC16384	-0.5905
LOC442229	-0.682
TSKU	0.340375
KRTCAP3	2.26275
PDLIM1	1.3509
KCNS2	0.17775
RNF126	-0.644666666666667
CEP63	-0.286625
CLIC4	-0.773375
hCG_1990170	0.3635
ACR	0.6036
KLK7	1.039
ALOX5AP	4.28625
RIPK3	2.81125
TAS2R9	0.1025
C19orf18	1.893
BIRC6	-0.163428571428571
ZNF16	-0.91
RFT1	-0.423
SLC8A2	-0.45975
TACC1	0.825875
ITGAD	0.67125
SAMHD1	1.23175
SH3PXD2B	1.0193
EPC2	0.6805
C20orf85	0.131
ATP13A2	0.362666666666667
KRT4	0.240625
CAPNS1	0.21125
MDM2	-0.562833333333333
PCDH20	1.86775
KCNK9	0.491
OR2C1	0.3975
KLHDC3	-0.856
IPPK	1.4535
EFHD2	0.45025
GALR3	0.8235
NBEA	0.545
ABCA6	2.7585
CLDN3	0.521333333333333
AKT2	-0.304071428571429
EGFR	-1.5896
RBM16	0.367875
ZDHHC3	0.093
SLC25A4	0.0705
CYB5B	-0.595166666666667
CPXM1	0.78125
NDRG1	-1.62646153846154
FLJ43826	0.511
OR5L2	-0.145333333333333
FARP2	0.4685
MRPL46	-0.622083333333333
LDHAL6B	0.235666666666667
MAPKAPK3	0.1925
NCAM2	-1.638
PRKD2	0.58
ZFP36L1	1.2493
CYSLTR1	1.61575
OR4C3	0.373
HIST1H2AJ	1.6635
CCNB2	-3.79122222222222
ZNF10	0.080125
TMEM175	0.6075
FAM134A	0.927333333333333
TIGD4	-0.208
PCNP	-0.01525
MGC39715	0.12425
LQK1	-0.251
CREB1	0.9622
TMPRSS3	0.14725
C4orf32	1.83875
LAT	-0.496416666666667
KCNA3	0.1525
SKIV2L2	-1.0235
ROPN1B	-2.04775
tcag7.23	-0.688
CDT1	-3.83425
ZHX2	1.321625
CD28	-1.90975
ZNF624	0.4905
SEPT2	0.291833333333333
SOHLH2	-1.876875
MCOLN3	0.39625
UNQ1945	0.422
MASP2	-1.035
ZNRF3	0.589
GPATCH3	-0.46175
AGL	1.148375
QRICH2	-0.1615
PSD4	1.42533333333333
CCNB1IP1	-1.83675
ENPP7	0.29675
OBFC1	-0.14775
KCNG3	-0.82625
C14orf79	0.884
ENPEP	0.879
SCT	0.7465
SKI	0.662
SEC61G	-1.78425
CAPN11	0.09825
ATXN7L3	-0.16275
DBNDD1	-0.211666666666667
FAIM	-0.103
ANKRD36	0.04
GABRP	1.834
TACSTD2	3.86216666666667
EIF3J	-0.382
PPP2R2A	-0.46675
TEKT4	-0.189333333333333
PVALB	-4.37466666666667
F10	-2.119
FAM134C	1.1986
COMP	4.06825
EFCBP1	-2.2144375
SCLT1	0.345875
TAL1	-0.9244
ACSL1	0.341
ABCC5	1.14816666666667
ABL1	-0.0266666666666667
RBBP7	1.6345
PTPRG	-1.076625
NCOR1	0.2186
SPINK4	-1.26716666666667
TXNRD1	-1.5057
TNRC15	0.82075
C9orf138	1.0405
UBE2H	0.9565
BRDT	-0.00349999999999999
C8orf31	-0.07275
CCNE2	-3.19409090909091
SLC6A8	-2.631
CALCR	-2.08
PPP1CB	0.540333333333333
ABHD8	0.05525
ARF5	0.4528
SLC24A4	1.16775
CCT3	-0.4725
ZNF121	0.213625
SLC3A2	-0.5353
OR13A1	-0.018
SLC5A10	0.087
RAD50	-0.00912500000000005
IER5	0.0235
MTHFD1L	-2.034875
MBTPS2	0.35625
MVK	-1.016375
NCL	-0.0753
PSMD10	-0.22275
MOBP	0.27975
FLJ32894	-0.316
HRH1	-0.495333333333333
C5orf30	0.76275
NUDT16L1	0.4449
RASGRP3	3.355
PRKRIP1	-0.3932
CCDC75	-0.07775
LOC253970	-0.089
KIAA1239	-0.06575
MED21	-0.598
SYT11	1.02383333333333
NTSR2	-0.48
EGFL11	0.384
CXorf59	0.2825
OR2A25	0.115
SPTBN2	-0.40225
LRMP	-0.311666666666667
RNF111	0.1285
PTH	1.2545
LOC619208	0.588166666666667
KIAA0895	0.21575
RANBP5	-1.776625
P2RY10	1.9445
NME5	2.40116666666667
DDX21	-0.54925
LRSAM1	0.711
HDAC11	1.02133333333333
VMO1	2.589
NOLA2	-0.543166666666667
ADAR	0.82075
MTO1	-0.837333333333333
SF4	0.203166666666667
P2RX1	0.1695
HBM	0.03025
EN2	0.9455
C14orf172	-0.0755
TM9SF2	0.1871
INHBE	-1.22933333333333
TCTE3	0.067
TOX2	-2.30225
CTAGE3	0.6715
HBB	2.903
MED15	-0.862666666666667
CASR	0.0125
C6orf66	-1.00483333333333
MTPN	-0.38775
UNC50	0.0785
C21orf33	-0.027375
IRF2	0.939375
PGR	2.02566666666667
GPR84	3.53425
CROCCL1	-2.137
SRPX	-1.22825
BRE	0.428166666666667
FGF10	0.40125
SDC3	-0.511333333333333
ZRSR1	0.770166666666667
DKFZP434P211	0.0925
SOX6	-0.3755
RPUSD2	0.1335
C14orf173	-0.480583333333333
MAPK11	-0.761
TBC1D22A	0.872
FAM123A	-0.297
COL4A6	-1.80983333333333
TOMM70A	-0.158
NAB1	-0.211
MGC16385	-0.115875
TSPAN18	0.380333333333333
MED31	-0.518
PLG	-0.2545
CAPSL	3.9425
ZNF532	0.5454
ASB14	0.42275
CA8	0.36175
NUDT16P	1.3
SLFN11	-0.6805
LRRIQ2	0.22775
NOL7	-0.396833333333333
BRMS1L	-0.71375
JARID1A	0.5355
PANK2	-0.303
ICAM3	0.0595
MDS1	0.01725
TAF8	-0.5685
RNF139	0.21725
ZNF594	0.350166666666667
ADAM8	2.773875
SFTPC	0.055
MAN2B2	1.714625
RGS12	0.7563125
EIF1AY	-5.02141666666667
LRRIQ1	-0.944333333333333
GPR150	1.03125
CCDC21	-1.413
PRRG3	0.29575
SAA4	-3.96
RAPGEF5	1.843375
ZCCHC2	-0.199083333333333
MGC39372	2.221
PPP4R2	0.253166666666667
CDCA2	-2.77283333333333
OR4D5	0.438666666666667
PTGFRN	1.492
SIGLEC5	1.79433333333333
C19orf61	-0.397
NMUR2	-0.145
KIAA1586	-0.463333333333333
DAGLA	-0.516166666666667
CHCHD6	-0.57275
GPR32	1.023
NEUROD6	0.356166666666667
SLC2A4RG	0.08
CA5B	0.11825
FBXL3	0.932
MPHOSPH9	-1.70775
HMG2L1	0.54475
HCN4	0.789666666666667
CEACAM19	0.22675
SH2D4B	0.886
HFE2	-0.294
TGM4	0.00640000000000001
LYPD2	-0.19475
TBC1D15	0.0885
MRPS21	0.0344
NONO	-0.695
CLEC5A	2.513375
ITCH	0.1592
MGAT3	-0.3545
MBP	0.224375
RPP25	-1.931
SOSTDC1	-0.9715
HRC	-1.22775
TRIM48	0.334
TMEM133	0.00674999999999999
ECEL1P2	-1.09475
HOXC11	0.3215
DOK5	0.4475
HELZ	0.568166666666667
LOC348180	-0.89975
MGC33894	0.16125
ADRB3	0.1395
DMD	0.180166666666667
PTRH2	-0.571
MPEG1	3.37683333333333
NDUFA12	-0.137666666666667
KRTAP2-4	0.0573333333333333
STAMBPL1	-0.7985
ADCY2	0.0975
UNQ6125	0.213
KLHL20	0.6115
SRM	-1.4035
OTC	-0.00725
TMIE	0.130666666666667
SNX8	-0.07925
LIPK	-0.221
CHURC1	0.888
KLC2	0.328833333333333
HDAC1	-1.02516666666667
FAM128A	0.657166666666667
FNDC3B	-0.393
MTCP1	-0.573833333333333
WFDC10B	0.3382
PCDHGB3	0.4585
ATRNL1	-1.0275
CAV2	-0.657625
MED26	0.180333333333333
DUS1L	0.1715
CHRM3	-1.271875
NEK9	0.8465
WARS2	0.79525
TBX22	0.274
TOMM40	-1.32325
RP6-213H19.1	-0.295333333333333
TUBGCP5	-0.3985
IGSF6	4.67525
TPPP	0.722833333333333
UNQ6190	0.06
GSTM5	1.688125
BTD	0.903666666666667
PDCD1LG2	0.756333333333333
SNRPB2	-0.843833333333333
ERICH1	-0.157875
APOA4	-1.86375
HOXA11	-1.689
NARG1	-0.83575
MKX	-0.52525
RAB28	-0.322928571428571
PKP3	0.75575
SH3GL2	-0.54175
CTSO	3.236
RPN2	-0.0261875
IL28RA	0.158166666666667
SFMBT1	0.348
WDR57	-1.000875
FER1L3	0.958166666666667
HSF5	0.23
TTC9B	0.89
C4BPA	-3.585
ALB	-3.95428571428571
SORBS3	0.16525
UPF2	-0.2765
JPH1	-0.071
AGBL2	0.15925
DOPEY1	1.862
TERF1	-0.332833333333333
KIF22	-1.32633333333333
NINJ1	2.024
SEC61A2	-0.63125
HIST1H1D	-1.40283333333333
SFXN4	-0.225
UCP3	0.1881
ZNF703	0.821666666666667
MYL6B	-0.8705
TREM1	1.005
OR52E6	0.4675
CKMT2	1.557
HLA-C	2.63175
SLC13A3	0.135
TIMP4	2.57625
SLIT2	2.9675
RSF1	-0.0775
LONRF1	-0.678714285714286
MON1A	-0.414666666666667
CACNG6	-1.67683333333333
DPPA4	-5.695
ZSWIM3	0.1265
ZNF804A	0.874166666666667
CCIN	0.95625
SLC25A31	-0.332
KCNMB4	1.05475
RABL5	0.809375
GALNS	0.0125
STX6	0.7815
HIST1H1C	-1.14666666666667
CIDEB	0.035875
CASP4	0.6325
PDK3	-0.7827
KCNJ11	2.4485
TPR	0.26075
ZSCAN20	-1.2525
MTX2	-0.42125
HIST1H2BH	0.337
LOC283767	0.93775
LYRM7	-1.06705555555556
BRD3	1.46366666666667
HIST1H2BO	-0.08375
MAGEB10	0.5215
SLC45A1	0.40525
SERPINA3	3.767
KIAA0143	1.33625
KCNJ16	0.675166666666667
KRT79	-0.244
FABP2	-0.3215
NUT	-0.41775
ZNF57	-0.4355
FBXL4	0.257375
CLEC9A	2.399
UGT8	-1.23116666666667
BMP2K	1.57475
MAPK4	-3.27925
SLC25A23	-0.4973
HINT1	-0.9842
KRTAP13-1	0.1655
SFXN5	0.4114
CHCHD2	-0.20725
FAM3D	1.0365
NDP	-1.329
RHOBTB1	0.0838333333333333
SLC4A4	-0.960625
RPL38	-0.04025
HTF9C	-0.910166666666667
AP2A2	0.673125
ZBTB46	0.121
MAP7D1	0.185875
AOX1	-1.7195
CYR61	-0.170333333333333
DTNA	-0.359357142857143
JRKL	-0.62425
TMOD3	-0.464
EEA1	0.278
ADCK5	-0.4185
IL1R1	1.286
KLK3	0.567785714285714
HRSP12	-0.1935
KTN1	-0.011
LOH11CR2A	0.4561
RELL2	-1.94725
MAB21L1	1.8275
C20orf59	-1.2655
PHKB	0.25925
ADAM2	-1.31766666666667
TBC1D8B	1.62566666666667
FAM13A1	-0.282625
LAPTM4B	-2.89758333333333
LCN8	0.047
TMEM147	0.2385
SYT4	-0.126166666666667
XPO7	-0.818
C9orf62	1.04075
GPR75	0.5185
TRIM5	0.922625
APOC1	0.38
RNASE4	2.5035
PARD6B	0.77975
ARID1A	-0.2215
TPD52L3	0.1135
RRAGB	0.975
RCN2	-1.01583333333333
HIST2H2BE	0.6856875
STARD7	-0.07925
SHMT2	-1.44875
KIAA1751	-0.150666666666667
MLYCD	0.855
LOC162632	-0.6794
UQCRH	-1.774
RP11-217H1.1	0.734375
SDHA	-0.904333333333333
NCLN	-0.5959
ZNF17	0.527833333333333
RCBTB2	-0.93425
VEGFB	0.0702
RP4-747L4.3	0.8975
COLQ	0.3378
MPN2	-0.670166666666667
DRG2	-0.1375
KLRB1	5.08125
ALPK2	-3.43425
DNASE2B	1.553
FLJ23834	1.90283333333333
AXUD1	0.995166666666667
SAFB	-0.1371
NSUN4	-0.2595
RFX2	0.403833333333333
MAPK8IP1	-0.875
FANCD2	-1.68214285714286
ANKZF1	-1.47833333333333
C19orf50	-0.466
DUSP8	0.734375
SENP5	-0.392
NFKBIL2	-0.943
LBR	-0.986625
IGFL1	0.847
LZTS2	0.500875
IL2RG	0.410125
CCDC51	-0.18825
KLF3	0.681625
ANKRD37	-1.90525
KCTD14	-0.496833333333333
FZR1	0.0348333333333333
SLC44A4	3.7041
ESPL1	-1.204125
GMPR2	-0.3553
TBC1D19	-0.961166666666667
ERGIC1	0.189592592592593
ERBB4	0.8424
TSPAN32	0.907333333333334
MAP4	0.03175
GPHN	-1.279
SLC6A2	-0.10425
HIVEP1	0.031
DFFB	-0.8033
EIF4EBP2	0.203625
DMRT1	-0.1505
HSPB6	-0.029
IER2	0.699
AIFM1	-0.35575
WWC2	0.3535
MRPL4	-0.53875
FLJ21062	1.26366666666667
EPB41L4A	1.04308333333333
SH2D6	0.277
TAF4B	-0.906
GAL3ST3	-0.515
MALT1	-1.19016666666667
RTDR1	-0.18525
ARVCF	-0.110125
MEX3B	0.132
FBXO16	1.691
KIF7	-0.80925
C1QC	3.67533333333333
ZNF783	-0.828
ZNF85	0.13725
MMP13	2.2895
KIAA0329	0.718
RTP3	0.3625
ZBED3	-0.056
CLGN	1.0185
SLC25A37	-1.33941666666667
hCG_18290	-0.08675
OR5AS1	-0.0875
SMARCC2	0.747916666666667
FAM109A	-0.0485
CCDC12	-0.09875
USF2	0.8421
DEPDC7	-1.498
C20orf24	-0.994833333333333
JMJD3	0.688
DSP	1.18507142857143
SLIC1	0.600875
FAM20A	1.054125
IRF2BP2	0.802625
ZNF230	0.098
MSN	-0.153071428571429
SLC9A5	-1.794
EPDR1	-1.6936
MUSK	0.608666666666667
ZNF434	0.466833333333333
SMARCD1	-0.626333333333333
ZFP106	0.07225
ZNF347	0.1211
GTF2E1	-0.21375
RY1	-0.585333333333333
ATAD2B	-0.022125
