Hybridization REF	TCGA-A2-A04U-01A-11R-A115-07
KIAA1600	0.779833333333333
NLGN4X	-1.342
ALOX12	-1.12916666666667
RB1CC1	1.0923
NEIL2	-1.0479
EIF4E	-0.441045454545455
ABHD5	-0.96075
EXOC4	-0.053
CIP29	-0.663166666666667
BATF2	-1.28425
SLC29A4	0.62175
HTR4	0.1065
EMB	-1.162
TRAF6	0.73325
LMNB1	-2.0515
FAM19A5	0.66675
SHE	2.1545
PIK3C2B	-0.19325
C15orf15	-0.2842
USP15	0.4665
TCEAL2	2.083
C5orf39	-1.65366666666667
PTGER2	-2.098
SLC31A1	0.24075
IFT172	0.1265
ADAM29	0.35075
GFOD1	-0.47875
ST7L	0.826
C15orf26	-2.9005
PKN3	-1.6265
CNTD1	0.867666666666667
COMMD1	0.955125
NTRK2	1.71366666666667
FOXN3	-0.71425
MFGE8	0.0327
PFKFB2	0.990666666666666
TAS2R4	0.012
ENTHD1	1.00016666666667
PRMT5	-1.688875
MGC16384	-0.943125
LOC442229	-0.0845
TSKU	0.70075
KRTCAP3	3.249875
PDLIM1	-0.8133
KCNS2	0.34875
RNF126	-0.1935
CEP63	0.892
CLIC4	0.795125
hCG_1990170	1.77325
ACR	1.0944
KLK7	5.836
ALOX5AP	1.34925
RIPK3	1.5425
TAS2R9	0.556
C19orf18	1.227
BIRC6	-0.178428571428571
ZNF16	0.0055
RFT1	-1.3955
SLC8A2	0.20775
TACC1	-0.134375
ITGAD	1.378
SAMHD1	-0.04925
SH3PXD2B	0.7914
EPC2	1.04275
C20orf85	0.75225
ATP13A2	0.4705
KRT4	0.423
CAPNS1	-0.49875
MDM2	0.860833333333333
PCDH20	0.40175
KCNK9	0.366
OR2C1	0.0245
KLHDC3	0.979833333333333
IPPK	-0.371
EFHD2	-0.379125
GALR3	0.85025
NBEA	-0.842
ABCA6	1.686
CLDN3	0.654333333333333
AKT2	-0.474142857142857
EGFR	-1.5685
RBM16	-0.09725
ZDHHC3	0.0361
SLC25A4	0.685333333333333
CYB5B	-2.29616666666667
CPXM1	-0.83675
NDRG1	-2.02215384615385
FLJ43826	-0.06225
OR5L2	0.5682
FARP2	-0.316
MRPL46	-1.31966666666667
LDHAL6B	-0.2894
MAPKAPK3	-1.221
NCAM2	-3.7145
PRKD2	-0.459333333333333
ZFP36L1	0.2442
CYSLTR1	-1.4245
OR4C3	0.1875
HIST1H2AJ	-0.4955
CCNB2	-1.77722222222222
ZNF10	-0.092375
TMEM175	0.1725
FAM134A	0.435833333333333
TIGD4	0.694
PCNP	-0.711
MGC39715	0.19
LQK1	-0.39025
CREB1	-0.1227
TMPRSS3	0.55375
C4orf32	-2.315
LAT	-2.42116666666667
KCNA3	-0.4495
SKIV2L2	-0.813
ROPN1B	4.975
tcag7.23	-0.011
CDT1	-1.442875
ZHX2	0.2925
CD28	-4.01425
ZNF624	0.576
SEPT2	-0.67125
SOHLH2	-1.49375
MCOLN3	1.044875
UNQ1945	0.591
MASP2	-0.97
ZNRF3	0.5993
GPATCH3	-0.11575
AGL	0.1755
QRICH2	0.0735
PSD4	-0.8915
CCNB1IP1	0.13475
ENPP7	-0.11525
OBFC1	-0.8765
KCNG3	-1.6575
C14orf79	0.0453333333333333
ENPEP	2.4115
SCT	1.6105
SKI	2.112625
SEC61G	-0.90175
CAPN11	-0.3305
ATXN7L3	0.207
DBNDD1	-0.607333333333333
FAIM	0.07975
ANKRD36	1.7515
GABRP	4.96383333333333
TACSTD2	3.22983333333333
EIF3J	-0.30275
PPP2R2A	-1.58225
TEKT4	-0.852
PVALB	-2.56516666666667
F10	-2.525
FAM134C	0.8168
COMP	4.443875
EFCBP1	-3.838375
SCLT1	1.049
TAL1	-0.6489
ACSL1	-0.038
ABCC5	0.848416666666667
ABL1	-0.416166666666667
RBBP7	-0.573166666666667
PTPRG	-1.7175
NCOR1	-0.9588
SPINK4	-2.47816666666667
TXNRD1	-0.9346
TNRC15	1.312
C9orf138	1.139125
UBE2H	0.138666666666667
BRDT	0.231833333333333
C8orf31	-0.01675
CCNE2	-0.102909090909091
SLC6A8	-0.975125
CALCR	-4.483
PPP1CB	-0.0743333333333333
ABHD8	1.39875
ARF5	-0.1917
SLC24A4	0.61475
CCT3	-0.86875
ZNF121	1.13625
SLC3A2	-1.4248
OR13A1	0.393
SLC5A10	0.0595
RAD50	-2.24925
IER5	0.274
MTHFD1L	-0.111625
MBTPS2	-0.27775
MVK	-0.502
NCL	0.3262
PSMD10	-0.562
MOBP	0.6215
FLJ32894	0.45
HRH1	1.06033333333333
C5orf30	0.15
NUDT16L1	-0.7355
RASGRP3	3.91416666666667
PRKRIP1	-0.1158
CCDC75	2.17275
LOC253970	-1.008
KIAA1239	-0.271
MED21	0.28325
SYT11	0.530416666666667
NTSR2	0.32
EGFL11	0.2095
CXorf59	2.208
OR2A25	-0.1985
SPTBN2	-0.71425
LRMP	-2.24866666666667
RNF111	-1.083
PTH	0.295
LOC619208	0.0388333333333333
KIAA0895	0.00324999999999999
RANBP5	0.091375
P2RY10	-0.832166666666667
NME5	2.899
DDX21	0.1385
LRSAM1	0.082
HDAC11	-0.460333333333333
VMO1	1.5805
NOLA2	-0.729333333333333
ADAR	0.0463333333333333
MTO1	-1.1765
SF4	0.896166666666667
P2RX1	-0.378166666666667
HBM	0.549
EN2	0.458
C14orf172	1.4145
TM9SF2	-0.7069
INHBE	-0.789166666666667
TCTE3	0.0658333333333333
TOX2	-1.49525
CTAGE3	-0.561375
HBB	3.065
MED15	-0.131333333333333
CASR	0.51475
C6orf66	-0.475666666666667
MTPN	2.066375
UNC50	-0.883
C21orf33	0.338625
IRF2	1.236
PGR	-2.5795
GPR84	1.06625
CROCCL1	-1.8935
SRPX	-1.503
BRE	-0.3675
FGF10	0.54525
SDC3	-0.0431666666666667
ZRSR1	-0.012
DKFZP434P211	-0.8975
SOX6	0.5135
RPUSD2	0.5855
C14orf173	0.309333333333333
MAPK11	-0.222833333333333
TBC1D22A	0.8785
FAM123A	-0.2085
COL4A6	-3.445
TOMM70A	0.05625
NAB1	1.044125
MGC16385	-1.3745
TSPAN18	1.01533333333333
MED31	0.024
PLG	-1.26375
CAPSL	0.9715
ZNF532	0.5597
ASB14	-0.798
CA8	-0.55275
NUDT16P	-0.972
SLFN11	0.24
LRRIQ2	0.844875
NOL7	-0.434833333333333
BRMS1L	-1.582125
JARID1A	0.795333333333333
PANK2	-0.35575
ICAM3	-1.7925
MDS1	-1.30075
TAF8	0.7545
RNF139	0.13525
ZNF594	-0.00966666666666667
ADAM8	0.703
SFTPC	0.045375
MAN2B2	0.1035
RGS12	0.40625
EIF1AY	-4.04891666666667
LRRIQ1	0.272666666666667
GPR150	0.79325
CCDC21	-1.24166666666667
PRRG3	0.191
SAA4	-3.10075
RAPGEF5	1.98325
ZCCHC2	0.517583333333333
MGC39372	-0.146
PPP4R2	-0.552
CDCA2	-0.424166666666667
OR4D5	0.750666666666667
PTGFRN	1.5031
SIGLEC5	1.58666666666667
C19orf61	0.472333333333333
NMUR2	-0.1215
KIAA1586	-0.116666666666667
DAGLA	1.1335
CHCHD6	0.50225
GPR32	0.787
NEUROD6	-0.0258333333333334
SLC2A4RG	-0.9260625
CA5B	0.257
FBXL3	0.371
MPHOSPH9	-2.25025
HMG2L1	1.5495
HCN4	0.146166666666667
CEACAM19	1.4605
SH2D4B	0.485833333333333
HFE2	-0.791
TGM4	0.317333333333333
LYPD2	0.096
TBC1D15	0.241
MRPS21	1.1281
NONO	-0.8891
CLEC5A	1.124625
ITCH	1.633
MGAT3	-0.6685
MBP	-0.0541249999999998
RPP25	0.42775
SOSTDC1	4.334
HRC	-1.65
TRIM48	-0.031
TMEM133	0.0485
ECEL1P2	-1.2655
HOXC11	0.999
DOK5	0.5765
HELZ	-0.0645
LOC348180	-0.445
MGC33894	0.52375
ADRB3	0.3565
DMD	0.93
PTRH2	0.19575
MPEG1	1.971
NDUFA12	-0.263333333333333
KRTAP2-4	-0.0161666666666667
STAMBPL1	-1.6975
ADCY2	-0.794166666666667
UNQ6125	0.1695
KLHL20	0.239666666666667
SRM	-0.9275
OTC	0.71575
TMIE	0.352
SNX8	-0.19775
LIPK	-0.423
CHURC1	-0.499166666666667
KLC2	0.358166666666667
HDAC1	-0.657833333333333
FAM128A	-0.6265
FNDC3B	0.7561
MTCP1	0.189833333333333
WFDC10B	-0.0667
PCDHGB3	0.8365
ATRNL1	-0.051
CAV2	-1.147
MED26	0.76
DUS1L	-0.08825
CHRM3	0.429
NEK9	-0.33325
WARS2	2.023
TBX22	-0.044
TOMM40	0.60525
RP6-213H19.1	-0.702
TUBGCP5	-0.38525
IGSF6	4.06975
TPPP	-0.7155
UNQ6190	0.4835
GSTM5	0.87525
BTD	-1.08816666666667
PDCD1LG2	-0.213166666666667
SNRPB2	0.845333333333333
ERICH1	-0.92
APOA4	-1.128375
HOXA11	-1.02825
NARG1	-0.287
MKX	-0.89
RAB28	-1.5025
PKP3	0.36375
SH3GL2	1.92225
CTSO	0.60575
RPN2	0.540125
IL28RA	1.91516666666667
SFMBT1	-0.00399999999999999
WDR57	-1.537125
FER1L3	-0.767083333333333
HSF5	0.7828
TTC9B	1.9215
C4BPA	-3.31316666666667
ALB	-4.73392857142857
SORBS3	0.47375
UPF2	1.5565
JPH1	1.022
AGBL2	0.77375
DOPEY1	1.7195
TERF1	-0.494333333333333
KIF22	-1.39383333333333
NINJ1	0.3655
SEC61A2	0.368833333333333
HIST1H1D	0.5915
SFXN4	2.025875
UCP3	0.0516
ZNF703	0.354833333333333
MYL6B	0.4475
TREM1	2.07825
OR52E6	-0.1665
CKMT2	2.103
HLA-C	0.43875
SLC13A3	1.349
TIMP4	-3.134
SLIT2	2.74625
RSF1	0.952222222222222
LONRF1	-0.458285714285714
MON1A	-0.252666666666667
CACNG6	-0.555
DPPA4	-4.85716666666667
ZSWIM3	0.80525
ZNF804A	-0.174333333333333
CCIN	2.20325
SLC25A31	0.20475
KCNMB4	0.54725
RABL5	1.34925
GALNS	-0.9875
STX6	2.771
HIST1H1C	-1.67283333333333
CIDEB	-0.0725
CASP4	-1.82816666666667
PDK3	1.4287
KCNJ11	0.406
TPR	-0.359125
ZSCAN20	-1.697
MTX2	0.0745
HIST1H2BH	0.618
LOC283767	1.02125
LYRM7	-1.29622222222222
BRD3	0.336666666666667
HIST1H2BO	0.5075
MAGEB10	0.004
SLC45A1	0.3955
SERPINA3	-2.05285
KIAA0143	-0.911
KCNJ16	2.804
KRT79	-0.01725
FABP2	-0.9505
NUT	-0.3755
ZNF57	-0.41175
FBXL4	-1.027
CLEC9A	3.815
UGT8	3.77433333333333
BMP2K	1.117
MAPK4	-0.01575
SLC25A23	-0.4202
HINT1	-1.1031
KRTAP13-1	-0.024
SFXN5	-0.0866
CHCHD2	-0.393
FAM3D	4.307
NDP	-1.922125
RHOBTB1	0.4475
SLC4A4	-1.866125
RPL38	1.03125
HTF9C	1.4855
AP2A2	-0.737875
ZBTB46	-0.738
MAP7D1	0.198375
AOX1	-1.31766666666667
CYR61	0.0856666666666667
DTNA	-1.73942857142857
JRKL	1.738
TMOD3	-1.30175
EEA1	-0.7076
ADCK5	-0.94575
IL1R1	0.0276666666666667
KLK3	0.310071428571429
HRSP12	1.51375
KTN1	-1.0415
LOH11CR2A	-1.2512
RELL2	-1.179
MAB21L1	0.0185
C20orf59	-0.681833333333333
PHKB	-0.54375
ADAM2	-2.509
TBC1D8B	2.48766666666667
FAM13A1	-1.0374375
LAPTM4B	0.0678333333333334
LCN8	0.1955
TMEM147	1.4395
SYT4	-0.1292
XPO7	-0.649
C9orf62	0.878
GPR75	1.756
TRIM5	-0.145125
APOC1	-0.703
RNASE4	-1.39216666666667
PARD6B	-2.81075
ARID1A	-0.365333333333333
TPD52L3	-0.000888888888888884
RRAGB	1.527
RCN2	1.12333333333333
HIST2H2BE	-1.063625
STARD7	0.46475
SHMT2	0.2915
KIAA1751	-0.182666666666667
MLYCD	-1.30575
LOC162632	-1.2164
UQCRH	-0.5
RP11-217H1.1	-0.345625
SDHA	-2.2175
NCLN	0.4421
ZNF17	0.448166666666667
RCBTB2	-2.594
VEGFB	0.2363
RP4-747L4.3	0.60825
COLQ	0.8272
MPN2	-0.778166666666667
DRG2	-0.97
KLRB1	2.26625
ALPK2	-2.579
DNASE2B	0.00525
FLJ23834	-0.506
AXUD1	-0.849
SAFB	0.4515
NSUN4	-1.044
RFX2	-0.603833333333333
MAPK8IP1	-0.471
FANCD2	-0.572071428571429
ANKZF1	-1.11633333333333
C19orf50	1.528
DUSP8	-0.074625
SENP5	0.040375
NFKBIL2	-0.823
LBR	0.05325
IGFL1	0.5985
LZTS2	0.7075
IL2RG	-1.1135
CCDC51	-0.58225
KLF3	-0.8365
ANKRD37	-1.176
KCTD14	1.6945
FZR1	0.4075
SLC44A4	-1.7815
ESPL1	-0.513375
GMPR2	-1.5634
TBC1D19	-1.63733333333333
ERGIC1	-0.401333333333333
ERBB4	-1.7021
TSPAN32	-0.18925
MAP4	-0.428
GPHN	-1.05875
SLC6A2	1.585125
HIVEP1	0.41725
DFFB	0.6786
EIF4EBP2	0.56275
DMRT1	5.51375
HSPB6	0.03775
IER2	-0.290666666666667
AIFM1	-0.7775
WWC2	-0.955083333333333
MRPL4	0.64975
FLJ21062	1.47416666666667
EPB41L4A	0.34075
SH2D6	0.47725
TAF4B	1.03375
GAL3ST3	0.141
MALT1	-1.19433333333333
RTDR1	1.994
ARVCF	0.820625
MEX3B	-0.4955
FBXO16	0.4205
KIF7	-0.58
C1QC	3.76083333333333
ZNF783	0.349833333333333
ZNF85	-0.425
MMP13	3.915
KIAA0329	-0.710875
RTP3	-0.8615
ZBED3	0.72075
CLGN	-4.31175
SLC25A37	-0.787
hCG_18290	-0.626
OR5AS1	0.897
SMARCC2	0.55375
FAM109A	0.0116666666666667
CCDC12	0.14075
USF2	1.4401
DEPDC7	1.2575
C20orf24	0.68
JMJD3	0.263
DSP	0.779571428571429
SLIC1	0.05175
FAM20A	-0.020125
IRF2BP2	1.28425
ZNF230	0.3215
MSN	-0.291785714285714
SLC9A5	-1.7305
EPDR1	-2.8414
MUSK	0.0116666666666666
ZNF434	0.592333333333333
SMARCD1	-0.142833333333333
ZFP106	-0.08
ZNF347	0.3599
