Hybridization REF	TCGA-BH-A0BA-11A-22R-A089-07
MAOA	3.857875
TNNT3	1.9035
GYPC	-0.22675
C7orf33	0.188
PLIN	7.42766666666667
LOC90826	-0.53525
RNF4	-0.5152
F8A1	0.4265
PLEKHG4	-0.5045
GRB2	-0.71325
HIST1H2AD	-0.75925
DUS3L	-0.469666666666667
EIF1	0.1055
RP5-1077B9.4	-1.29283333333333
FPGT	1.18575
GDF10	3.591
COQ9	-0.278
GCC2	-0.410357142857143
RARRES3	3.1005
PLXNA1	-0.6272
KIAA0100	-0.4276
PMF1	-0.547
FNDC1	2.17125
HS2ST1	0.824166666666667
CRELD2	0.2
C8G	-1.126
CD82	1.509
LIM2	0.1705
UNQ6490	-0.3305
MMP16	-0.303
DRD3	0.243
C5orf26	1.206
C11orf73	-0.569875
PTP4A2	0.585625
OR4M2	-0.3325
HPCA	-1.11216666666667
SEC14L1	0.117666666666667
CHFR	-1.386
EMILIN1	0.932125
NDUFS4	0.6345
COL18A1	0.104
PDZD3	-0.608777777777778
C9orf16	0.470166666666667
ERBB2IP	0.21
EMX2	2.816
FUS	-3.298
TF	-1.4353
CLCN4	0.4135
CXorf56	-0.2255
C11orf72	-0.733333333333333
ELAC2	-0.808583333333333
NPR1	1.9765
ASS1	-0.986666666666667
USP42	-0.30925
POLR2J	-1.37
SEC23IP	0.0643333333333333
UQCRC1	-0.35925
LOC729603	-0.86225
C1orf71	-1.096125
POLG	-3.0995
ADAM23	-3.5055
TFR2	-2.852
RICTOR	-0.44325
MGC39606	1.2305
C19orf55	-0.732
SNAPC1	-1.23283333333333
GNA11	0.922125
CCDC52	-0.950333333333333
FSIP1	-0.229
UPF3A	-1.0115
IGSF11	-1.49483333333333
LAGE3	-0.519
CHST6	-3.494
UNC13B	0.237
TTLL4	-1.399625
ZNF687	0.233875
SDC2	-0.0651
COX7A2	-0.1135
LAMB4	-0.3615
FAM24A	0.326
LRRTM3	0.3718
GPHB5	-0.102
OR4C13	0.997
EIF3EIP	1.03935714285714
HABP4	-0.389
TMEM125	2.97375
CNTN2	0.33625
ASNSD1	-0.30175
FUT4	-0.611375
ACF	-3.15725
LOC158381	-0.3555
CDH8	0.629333333333333
AGPS	-0.811
C4orf18	4.0155
PECI	0.0555
UNG	-0.94575
GSTP1	-0.24225
DCUN1D5	-1.1035
DKFZP564J0863	-1.11325
SLC9A3R1	-0.214875
BCDO2	-0.2515
CHMP7	-1.090375
REM2	-0.656
DNHD1	-0.29225
FKBP4	-1.41375
ZNF350	1.23575
MGC11102	-0.67325
BST1	1.74225
KISS1R	1.8275
NCR2	0.626
DEFB125	-0.167
UBE2W	0.912375
KRT15	5.771375
C10orf99	-1.284
SCN11A	-0.038
GFI1	-1.61825
RDHE2	0.4462
FHL1	2.3355
OSGEP	0.0335
GATA1	-1.8245
SMC6	-2.33725
TTTY14	-0.757
LPIN3	0.846333333333333
RPL4	-0.0627
RBPMS	1.0548
PRPF3	-1.25966666666667
EMR1	-1.606
SPATA19	-0.368333333333333
XCR1	-0.461
IRX3	3.3623
RBM6	-1.56475
KLF4	0.6642
UNC5CL	-1.0575
SEBOX	-0.2695
BTK	-0.47975
KRCC1	0.96775
C6orf27	0.6175
SYTL5	-1.226
PRND	1.53433333333333
LOC653319	-1.332
PIGL	-1.244875
HUS1	-0.6675
SFRS6	-0.704166666666667
C17orf77	0.276
UIMC1	-0.475
FXYD2	-0.7667
LOC283152	-0.40275
ZNF667	-1.522
ZCCHC12	-0.77875
TFEC	0.67275
ATP7B	-0.9175
POLD2	-1.26883333333333
RG9MTD1	0.05925
ACOT2	0.767166666666667
HIST1H4I	-0.666125
PPARGC1A	-0.0591
ETFA	-1.4087
POLRMT	-0.499
ZNF146	-1.521
MIA2	-0.427
KLHL6	-0.0201666666666667
HOXB5	-0.390571428571429
NENF	0.5545
CUGBP1	-0.43325
PRSS22	0.5815
CASC4	0.4721
CUL4B	0.3601
CENPJ	-1.3421
PITX1	-2.16616666666667
FLJ31033	0.4474
CELSR3	-1.15566666666667
ZNF568	-0.68125
ITSN1	0.344
EHBP1L1	-0.5
C19orf2	-1.2395
DCTN1	0.06575
LIN28B	-2.13575
TNKS2	-0.59725
C1QBP	-0.865
CADPS2	1.018
SRMS	-0.47025
GJA9	0.78975
MGC24975	-1.12566666666667
TRIM45	-0.967
TSP50	-0.12375
TCP1	-1.27125
TMED7	0.7339
CMA1	0.5035
CENPL	-2.64433333333333
PTCRA	-1.0645
FST	-2.92325
VWCE	-2.0705
PAWR	-0.61825
ABCC12	0.29575
LDLR	-0.7357
ASTN2	1.0632
LOC441212	-0.720875
GPATCH8	-0.08975
TANC2	-0.722090909090909
KIF4A	-3.5115
C18orf18	-0.861
PGM1	0.15375
KIAA0258	-0.45925
CPD	0.199
SNCAIP	-0.39775
DCT	-4.0254
HLA-DOA	1.54433333333333
OR11L1	0.8195
UPK1B	-0.3666
DNAJB4	1.03825
UGT1A8	0.45125
HIST1H4L	1.1125
PECR	-0.493833333333333
HSPA2	0.8425
WFIKKN1	-1.2025
SERP1	0.6535
SYDE2	0.48975
TACR2	0.8165
NUP85	-1.15625
CD177	-0.324666666666667
LGR5	-1.14783333333333
PIGG	-0.428833333333333
PTHR1	0.051
RAB5A	-0.5329
FLJ13224	-1.287
USP9Y	-0.496
C7orf53	-0.531
LRP1B	-0.337
XAF1	0.4433
ABCG8	0.868
ANKDD1A	0.0725
DAND5	-0.0685
SPAG6	0.448666666666667
LINCR	2.9105
ZDHHC22	-0.249142857142857
CCDC60	2.5185
THOC7	-1.62966666666667
TCTA	0.6791
OR8K3	-0.14475
NY-REN-7	-0.17375
B2M	2.08166666666667
C6orf141	-2.891125
LPPR4	1.15675
SQLE	-2.54575
SEPHS1	-0.6765
BTBD14B	0.307785714285714
PLRG1	-0.37575
SPG7	-0.3828125
ZNF614	-0.498
PARD6G	3.19333333333333
INPP5B	-1.03775
GRPEL2	-0.37525
PPID	-0.6128
TRIM56	-0.17
UBE2J1	-0.217125
IL20RA	5.26775
LOC387856	0.301
C1orf107	-0.458416666666667
UTS2R	3.74
C19orf22	-0.92025
SAFB2	-0.34475
KIAA0652	-0.321125
KLRG1	0.038
MS4A8B	0.57575
FRAG1	-0.8265
KIAA1546	0.06625
E2F4	-1.0957
CLEC4M	0.507
BTBD14A	-0.862
KIAA0999	1.0535
GYPA	-0.8742
TAC1	1.2582
TRAIP	-2.153
KIAA0232	0.4619
ERCC8	-1.361625
GPX4	1.360375
KIAA0368	0.414375
GPR157	-0.136
CTAGE4	0.0595
C9orf30	-2.26483333333333
OR52A1	0.915
HSP90B3P	-1.415
ALG9	-0.0695
BTBD10	0.01575
SDK2	0.09425
BAIAP3	-1.5765
RABGGTB	-0.988875
ANKRD40	-1.0005
KRT74	0.1655
CALCOCO2	0.414285714285714
SNCA	-1.9005
TMSL8	-1.93475
C2orf53	1.1135
ESRRB	0.554
ARHGAP26	-0.949285714285714
TDRD9	-1.379
HRAS	0.076
KLRC4	-0.873
JAGN1	0.278833333333333
BSDC1	0.55025
RNF43	-0.5406
NDUFAF1	-0.12325
PHF12	0.3955
OR1L3	0.610666666666667
FOLR2	3.53791666666667
LYZL6	0.325
tcag7.1260	-1.039
WSB1	-1.12316666666667
PROS1	1.0632
OSTN	0.069
PSMB8	0.401
SOCS4	-1.74766666666667
DDIT4L	2.3655
MAS1	-0.275
MGC34796	0.18125
CSHL1	-0.8715
TBCCD1	0.0503333333333333
ZBTB7C	-0.97
AP2S1	-0.753875
P15RS	-0.7414
VAT1	-0.3693
SHANK3	1.91433333333333
TUFM	0.00566666666666667
THEG	0.57625
KRT34	-1.95566666666667
SGSM3	0.102625
TOMM22	-0.294875
SOCS3	1.6845
CPO	0.1985
POP4	-0.30675
BHLHB3	2.65475
MALL	1.41175
OR1B1	-0.5095
PARK2	0.2634
GPR124	1.425
LCE1E	-0.0485
RUVBL2	-0.947
CGRRF1	0.6936
ACPL2	0.47175
WNT10B	-1.958625
BAIAP2L2	-1.227375
ISCA1	0.4365
C1orf125	0.343875
RPAP1	-0.35675
RAI16	0.7755
RPL27	0.883375
NLRP9	0.21
EPN1	-0.025
LOC388610	0.161
SLC35A1	0.5538
GAL	-3.27725
SLC14A2	0.26875
RDH11	-1.34316666666667
FAM138F	-0.484
AUH	0.37225
FLJ40243	0.23725
C14orf129	0.309666666666667
MBD2	-0.831833333333334
ABHD14B	-0.2425
PIGT	-0.058875
ALS2CR4	-0.11275
ALAS1	-0.3372
FOXO1	2.83183333333333
CRLF3	-1.763
C20orf107	0.672
FARS2	0.428
CCDC28A	1.2695
NPHP3	-0.87825
OR13F1	-0.355
TSEN54	-0.92875
DEFB106B	0.06575
OR8B4	-0.0229999999999999
STH	-0.19375
ZC3H14	-0.626428571428571
CBX2	0.553
TMEM49	-2.08675
C6orf21	-0.152
FLJ20920	0.4155
CRTAP	-0.0262142857142857
DDX50	0.04975
STYXL1	-0.6265
BLVRB	0.233166666666667
LOC147650	-0.149333333333333
MMP24	0.699
GRID1	1.459
BANF1	-1.521
CTAGEP	-0.26975
HMBS	-2.28925
SLC25A24	-0.185333333333333
C14orf50	0.1075
MRO	-0.365
SLC25A15	-1.4695
FAM84B	0.1878
TDP1	-1.357
C16orf78	0.513
C11orf57	0.010875
RFK	-0.8465
ZFYVE9	-0.924875
STCH	-1.165
WIBG	-0.2365
LOC283871	-1.91016666666667
GBA2	-0.8056
NDUFB3	0.20625
HSD17B13	0.616
GRIN3A	0.3034
FMNL1	-0.971
SEPT7	-0.7778
GNLY	1.3525
GRAMD1C	1.053
ZNF165	-1.10325
USP38	-1.01925
FAM83A	-1.915
C14orf24	-0.208363636363636
ARMCX3	0.626875
ARHGDIB	0.148166666666667
AK1	0.245
KIAA1045	0.10825
DNAJB13	-0.0424
NEU2	0.789
HIST1H4B	-0.0356666666666666
FAM20B	-1.671
HES2	-0.0530909090909091
FAM73B	-0.0267777777777778
LOC388381	0.559
INTS7	-1.29445454545455
AMPH	0.261
ZNF775	0.65675
UCKL1	-0.9465
C10orf97	0.014
C1orf161	-0.25825
ALDH1L1	2.7605
FLJ39378	0.018125
SLC23A1	-1.0215
RBM4B	-0.5495
THAP4	-0.309166666666667
OGFRL1	0.9125
KIAA0831	0.30825
PPP1R15A	0.464833333333333
C1orf96	-1.389
C12orf11	-2.431
BMF	0.067125
MAN1A1	-0.638
KIAA1600	1.20616666666667
NLGN4X	0.93675
ALOX12	-0.2494
RB1CC1	0.100333333333333
NEIL2	0.6784
EIF4E	-0.560666666666667
ABHD5	-0.302
EXOC4	-0.116666666666667
CIP29	-1.2085
BATF2	0.98725
SLC29A4	0.2835
HTR4	0.56675
EMB	-0.87975
TRAF6	0.74375
LMNB1	-2.93325
FAM19A5	-1.237875
SHE	1.6055
PIK3C2B	1.496
C15orf15	-0.5093
USP15	0.0547
TCEAL2	1.47
C5orf39	0.704166666666667
PTGER2	-1.087
SLC31A1	-1.118375
IFT172	0.8375
ADAM29	0.0113333333333333
GFOD1	1.43125
ST7L	-0.181
C15orf26	-1.97925
PKN3	-1.25125
CNTD1	1.2315
COMMD1	0.58325
NTRK2	3.97258333333333
FOXN3	1.4955
MFGE8	0.7897
PFKFB2	-0.484666666666667
TAS2R4	0.0545
ENTHD1	-0.1416
PRMT5	-1.35175
MGC16384	-0.802
LOC442229	0.17825
TSKU	0.545125
KRTCAP3	2.413125
PDLIM1	1.0651
KCNS2	-0.523
RNF126	-0.291333333333333
CEP63	-0.71525
CLIC4	-0.293375
hCG_1990170	4.08275
ACR	0.1269
KLK7	1.9355
ALOX5AP	3.969375
RIPK3	1.26875
TAS2R9	-0.798
C19orf18	0.166
BIRC6	-0.852785714285714
ZNF16	0.02
RFT1	-1.216
SLC8A2	-0.41
TACC1	1.4935
ITGAD	0.6865
SAMHD1	1.20475
SH3PXD2B	1.1092
EPC2	0.62325
C20orf85	0.446142857142857
ATP13A2	-0.581166666666667
KRT4	-0.45575
CAPNS1	-0.06925
MDM2	-0.8625
PCDH20	2.2015
KCNK9	-1.3265
OR2C1	0.151
KLHDC3	-0.111833333333333
IPPK	-1.662
EFHD2	-0.420875
GALR3	3.67625
NBEA	1.6155
ABCA6	3.6691
CLDN3	1.42116666666667
AKT2	-1.16835714285714
EGFR	1.2667
RBM16	0.082625
ZDHHC3	-0.0725999999999999
SLC25A4	0.0121666666666667
CYB5B	-1.57966666666667
CPXM1	0.10125
NDRG1	-1.03507692307692
FLJ43826	-0.5385
OR5L2	0.5272
FARP2	-0.1551
MRPL46	-0.244818181818182
LDHAL6B	0.1965
MAPKAPK3	-0.753666666666667
NCAM2	-1.956
PRKD2	0.465666666666667
ZFP36L1	1.4785
CYSLTR1	0.25925
OR4C3	1.013
HIST1H2AJ	1.157
CCNB2	-3.74111111111111
ZNF10	-0.462
TMEM175	0.87
FAM134A	0.548833333333333
TIGD4	-0.0005
PCNP	0.22925
MGC39715	0.662
LQK1	-1.8855
CREB1	0.0146999999999998
TMPRSS3	-0.122
C4orf32	1.873625
LAT	-1.13258333333333
KCNA3	-0.4885
SKIV2L2	-1.16725
ROPN1B	3.026
tcag7.23	0.146
CDT1	-3.431875
ZHX2	1.30125
CD28	-1.81125
ZNF624	0.2265
SEPT2	-0.273083333333333
SOHLH2	-1.44157142857143
MCOLN3	-0.503714285714286
UNQ1945	-0.844
MASP2	-1.1815
ZNRF3	-0.211
GPATCH3	-0.1115
AGL	0.917625
QRICH2	-0.048
PSD4	0.8195
CCNB1IP1	-1.0115
ENPP7	-0.20525
OBFC1	-0.18525
KCNG3	-1.01175
C14orf79	-1.27272727272727
ENPEP	1.13666666666667
SCT	-0.462
SKI	0.49725
SEC61G	-0.88
CAPN11	0.7155
ATXN7L3	-0.9995
DBNDD1	-1.782
FAIM	0.57775
ANKRD36	-0.605
GABRP	5.43416666666667
TACSTD2	1.82466666666667
EIF3J	-0.8075
PPP2R2A	-1.098
TEKT4	1.00716666666667
PVALB	-2.9666
F10	-0.019
FAM134C	-0.119555555555556
COMP	1.626
EFCBP1	-0.188266666666667
SCLT1	-0.00487499999999998
TAL1	-0.6182
ACSL1	3.66425
ABCC5	-0.0784166666666667
ABL1	-0.791277777777778
RBBP7	-0.554833333333333
PTPRG	-0.074375
NCOR1	-0.3232
SPINK4	-0.9786
TXNRD1	-1.102
TNRC15	0.42475
C9orf138	-0.275714285714286
UBE2H	-0.0815
BRDT	0.4688
C8orf31	-1.25275
CCNE2	-3.076125
SLC6A8	-1.96
CALCR	-0.90175
PPP1CB	1.22933333333333
ABHD8	-0.45475
ARF5	-1.1014
SLC24A4	0.36675
CCT3	-1.12075
ZNF121	-0.2694
SLC3A2	-1.5446
OR13A1	-0.334
SLC5A10	-0.00325
RAD50	-0.783571428571429
IER5	1.802875
MTHFD1L	-1.953
MBTPS2	-0.07725
MVK	-0.513714285714286
NCL	-0.7888
PSMD10	-1.1535
MOBP	-0.151666666666667
FLJ32894	-0.333
HRH1	-0.534666666666667
C5orf30	0.55075
NUDT16L1	0.2134
RASGRP3	2.001
PRKRIP1	-0.9759
CCDC75	-0.5275
LOC253970	1.20533333333333
KIAA1239	0.40425
MED21	0.19725
SYT11	0.0351
NTSR2	-0.047
EGFL11	0.3915
CXorf59	1.1425
OR2A25	1.056
SPTBN2	-1.3265
LRMP	0.0876
RNF111	0.6235
PTH	-0.508
LOC619208	0.6312
KIAA0895	-1.2975
RANBP5	-0.85
P2RY10	0.0166666666666667
NME5	2.43466666666667
DDX21	-1.50675
LRSAM1	-1.1415
HDAC11	-0.243666666666667
VMO1	1.15925
NOLA2	-0.554833333333333
ADAR	-0.705416666666666
MTO1	-0.505
SF4	-0.1215
P2RX1	-0.952166666666667
HBM	0.66625
EN2	2.4295
C14orf172	0.68075
TM9SF2	0.1549
INHBE	-1.5242
TCTE3	-0.484666666666667
TOX2	-2.10175
CTAGE3	-0.317125
HBB	5.8109
MED15	-0.974833333333333
CASR	0.73375
C6orf66	-0.277833333333333
MTPN	0.260375
UNC50	-0.182
C21orf33	1.028125
IRF2	0.557375
PGR	0.0348333333333333
GPR84	0.862333333333333
CROCCL1	-2.021
SRPX	1.723
BRE	-0.0435
FGF10	0.266666666666667
SDC3	0.293166666666667
ZRSR1	-0.719166666666667
DKFZP434P211	0.066125
SOX6	0.095
RPUSD2	-0.14925
C14orf173	-0.662916666666667
MAPK11	-0.214666666666667
TBC1D22A	-0.096
FAM123A	-0.4145
COL4A6	-0.739333333333333
TOMM70A	-0.752
NAB1	0.141125
MGC16385	-0.226875
TSPAN18	0.0742
MED31	-0.20575
PLG	-0.63725
CAPSL	-0.497
ZNF532	0.1477
ASB14	-0.145666666666667
CA8	0.496
NUDT16P	0.3388
SLFN11	-0.125
LRRIQ2	-0.524857142857143
NOL7	-0.773
BRMS1L	-0.586875
JARID1A	0.604833333333333
PANK2	-0.91975
ICAM3	0.42625
MDS1	-0.39125
TAF8	-0.07325
RNF139	0.73225
ZNF594	0.292333333333333
ADAM8	0.417125
SFTPC	0.223125
MAN2B2	0.681625
RGS12	0.2225625
EIF1AY	-2.5014
LRRIQ1	-0.9
GPR150	4.20225
CCDC21	-2.18616666666667
PRRG3	0.563
SAA4	-1.246
RAPGEF5	1.33325
ZCCHC2	0.195
MGC39372	-0.5735
PPP4R2	-0.679333333333333
CDCA2	-2.49233333333333
OR4D5	-0.213666666666667
PTGFRN	0.0185555555555556
SIGLEC5	1.3565
C19orf61	-0.559
NMUR2	0.193
KIAA1586	-0.947166666666667
DAGLA	0.522
CHCHD6	-0.24
GPR32	0.2015
NEUROD6	0.00799999999999998
SLC2A4RG	0.2469375
CA5B	0.56325
FBXL3	1.7915
MPHOSPH9	-3.02
HMG2L1	-0.173
HCN4	2.57
CEACAM19	0.73375
SH2D4B	0.821833333333333
HFE2	-0.336
TGM4	0.3544
LYPD2	0.381
TBC1D15	-0.116
MRPS21	-0.050625
NONO	-0.8258
CLEC5A	-0.0902857142857143
ITCH	-0.0249
MGAT3	1.02133333333333
MBP	0.509142857142857
RPP25	-0.98075
SOSTDC1	3.23525
HRC	-0.859
TRIM48	0.52
TMEM133	0.183
ECEL1P2	-0.455
HOXC11	-1.0745
DOK5	0.09875
HELZ	0.947666666666667
LOC348180	-0.728
MGC33894	-0.3305
ADRB3	-0.6225
DMD	1.30227272727273
PTRH2	-1.04225
MPEG1	2.56366666666667
NDUFA12	0.3815
KRTAP2-4	-0.129727272727273
STAMBPL1	-0.869
ADCY2	1.12383333333333
UNQ6125	0.5375
KLHL20	0.6664
SRM	-0.58775
OTC	0.454
TMIE	-0.263833333333333
SNX8	0.318
LIPK	-0.0995
CHURC1	0.334916666666667
KLC2	0.1435
HDAC1	-0.733333333333333
FAM128A	-0.0208333333333333
FNDC3B	0.5754
MTCP1	-0.809833333333333
WFDC10B	0.1889
PCDHGB3	0.098
ATRNL1	-0.7921
CAV2	1.921625
MED26	-0.5135
DUS1L	-0.31275
CHRM3	-1.2245
NEK9	-1.573
WARS2	-0.347
TBX22	1.563
TOMM40	-1.46725
RP6-213H19.1	-1.05633333333333
TUBGCP5	-1.523
IGSF6	1.65925
TPPP	0.55725
UNQ6190	0.206
GSTM5	1.192375
BTD	0.3795
PDCD1LG2	0.8036
SNRPB2	-0.204166666666667
ERICH1	0.438625
APOA4	-0.651666666666667
HOXA11	-0.198
NARG1	-0.377125
MKX	-0.85875
RAB28	-0.693214285714286
PKP3	-0.03
SH3GL2	-1.26133333333333
CTSO	1.94375
RPN2	-0.72175
IL28RA	0.666333333333333
SFMBT1	-0.2085
WDR57	-0.89225
FER1L3	-0.246333333333333
HSF5	0.538166666666667
TTC9B	-0.3945
C4BPA	-1.7568
ALB	-2.445
SORBS3	0.693375
UPF2	-1.6845
JPH1	-0.622
AGBL2	-1.27525
DOPEY1	2.2695
TERF1	-0.0334166666666667
KIF22	-1.91483333333333
NINJ1	1.615
SEC61A2	-1.0775
HIST1H1D	-0.843
SFXN4	-0.61625
UCP3	-0.3672
ZNF703	0.464166666666667
MYL6B	-0.16525
TREM1	0.05975
OR52E6	null
CKMT2	3.66675
HLA-C	2.416875
SLC13A3	-0.9662
TIMP4	4.53025
SLIT2	4.239
RSF1	-0.238944444444444
LONRF1	-0.412
MON1A	0.276166666666667
CACNG6	-1.248
DPPA4	-5.315
ZSWIM3	0.02725
ZNF804A	-0.0365
CCIN	-0.2905
SLC25A31	1.00125
KCNMB4	0.34475
RABL5	0.343625
GALNS	-1.1196
STX6	-0.202625
HIST1H1C	-2.4395
CIDEB	0.206875
CASP4	0.733333333333333
PDK3	-1.285
KCNJ11	-0.811
TPR	-1.19275
ZSCAN20	-0.2365
MTX2	-0.94275
HIST1H2BH	-1.4155
LOC283767	1.92825
LYRM7	-0.624764705882353
BRD3	-1.86266666666667
HIST1H2BO	-1.22475
MAGEB10	null
SLC45A1	-0.537
SERPINA3	0.74325
KIAA0143	1.2435
KCNJ16	3.50266666666667
KRT79	-1.27275
FABP2	-1.4915
NUT	0.0726666666666666
ZNF57	-0.3115
FBXL4	-0.045
CLEC9A	1.35
UGT8	-0.113
BMP2K	-1.2555
MAPK4	-1.8065
SLC25A23	-0.9402
HINT1	-0.8491
KRTAP13-1	0.9515
SFXN5	-0.801444444444444
CHCHD2	-0.207
FAM3D	4.2165
NDP	-1.6075
RHOBTB1	-1.15616666666667
SLC4A4	1.112625
RPL38	0.83675
HTF9C	-0.663
AP2A2	0.4275
ZBTB46	0.228
MAP7D1	0.512375
AOX1	0.4844
CYR61	2.24908333333333
DTNA	-0.244714285714286
JRKL	0.93675
TMOD3	-1.08375
EEA1	-0.5291
ADCK5	-0.216
IL1R1	1.8
KLK3	1.167
HRSP12	-0.48925
KTN1	-0.41825
LOH11CR2A	0.9016
RELL2	-1.62833333333333
MAB21L1	1.64775
C20orf59	-1.456
PHKB	-0.17625
ADAM2	-0.502666666666667
TBC1D8B	0.703333333333333
FAM13A1	0.357333333333333
LAPTM4B	-1.432
LCN8	0.5495
TMEM147	0.317
SYT4	0.309
XPO7	-1.407
C9orf62	3.99325
GPR75	-0.2505
TRIM5	-0.08325
APOC1	-1.44433333333333
RNASE4	1.86716666666667
PARD6B	-1.41025
ARID1A	-0.0740833333333334
TPD52L3	0.931111111111111
RRAGB	-0.011
RCN2	-0.998666666666667
HIST2H2BE	-1.03592857142857
STARD7	-0.117
SHMT2	-1.57125
KIAA1751	0.029
MLYCD	0.738
LOC162632	-0.7006
UQCRH	-1.06525
RP11-217H1.1	0.594375
SDHA	-1.51816666666667
NCLN	-0.5349
ZNF17	0.396333333333333
RCBTB2	0.36975
VEGFB	0.6191
RP4-747L4.3	1.116
COLQ	0.132142857142857
MPN2	0.239
DRG2	0.084
KLRB1	5.944
ALPK2	-3.4825
DNASE2B	0.101666666666667
FLJ23834	-0.607
AXUD1	2.45483333333333
SAFB	-1.1962
NSUN4	-0.89025
RFX2	1.33783333333333
MAPK8IP1	-0.874666666666667
FANCD2	-1.79185714285714
ANKZF1	-1.453
C19orf50	-0.716125
DUSP8	1.34125
SENP5	-1.01825
NFKBIL2	-1.228
LBR	-0.509125
IGFL1	-0.4035
LZTS2	0.505875
IL2RG	-0.534
CCDC51	-0.81825
KLF3	0.415125
ANKRD37	0.0315
KCTD14	1.11783333333333
FZR1	-0.134416666666667
SLC44A4	1.1039
ESPL1	-1.089125
GMPR2	-0.7976
TBC1D19	-0.856666666666667
ERGIC1	-0.197576923076923
ERBB4	2.7481
TSPAN32	-0.153333333333333
MAP4	-0.340625
GPHN	-0.530666666666667
SLC6A2	0.434571428571429
HIVEP1	0.2695
DFFB	-1.0178
EIF4EBP2	0.68925
DMRT1	0.68075
HSPB6	0.45425
IER2	0.441833333333333
AIFM1	-0.5245
WWC2	0.549083333333333
MRPL4	-0.58275
FLJ21062	0.735166666666667
EPB41L4A	0.50975
SH2D6	-0.09325
TAF4B	-2.38025
GAL3ST3	0.9755
MALT1	-1.09933333333333
RTDR1	0.05125
ARVCF	0.091125
MEX3B	-0.285166666666667
FBXO16	0.0415
KIF7	-2.121
C1QC	5.24183333333333
ZNF783	-0.764
ZNF85	-0.64775
MMP13	-0.673
KIAA0329	1.093125
RTP3	-0.393
ZBED3	0.786
CLGN	-1.678
SLC25A37	-0.930541666666667
hCG_18290	1.1855
OR5AS1	-0.1715
SMARCC2	1.23391666666667
FAM109A	-0.242833333333333
CCDC12	-0.4925
USF2	0.0633
DEPDC7	-1.68275
C20orf24	-0.814166666666667
JMJD3	-1.1835
DSP	0.418076923076923
SLIC1	0.287
FAM20A	1.74025
IRF2BP2	0.883375
