Hybridization REF	TCGA-AN-A0FD-01A-11R-A034-07
TEK	0.441125
SLC25A46	0.00399999999999998
LARP7	-1.8434
CD160	0.29975
MT1JP	-0.731166666666667
PHF20	-0.208125
CPNE4	-1.477
GTPBP1	-0.587571428571429
RAB33B	0.441333333333333
ALDOC	-1.06075
ZNF212	-0.035
NUDT1	-0.7125
RFPL2	-3.28566666666667
ZNF83	-0.833333333333333
GDPD5	-1.3185
PDCD4	0.85205
CEP350	-0.635
OR10A2	-0.19625
CST7	0.411
CIAO1	-0.25575
SELL	0.665857142857143
OR8J3	-2.0375
LTBP4	-0.2565
SIRT6	-0.0385
CCL19	1.89875
PPIL1	-0.7332
GBP7	0.869666666666667
STK17A	-1.0649
ABR	-0.425
OR9G1	0.748
FOXE1	-0.661875
CNGA3	3.0215
GML	-0.2345
CD38	-1.463
ZDHHC6	0.231
NEFH	-1.2425
CTDSP2	0.738416666666667
PGBD5	-1.6775
CCNY	0.130142857142857
RMND5B	0.935083333333333
ZNF257	-0.2915
FLJ22167	-0.205
EXOSC7	0.0585
ROR2	1.31328571428571
MAOA	-0.78
TNNT3	-1.148
GYPC	-1.33075
C7orf33	0.545
PLIN	0.143666666666667
LOC90826	-1.1935
RNF4	-1.1953
F8A1	-0.445333333333333
PLEKHG4	-0.964
GRB2	0.3983
HIST1H2AD	0.859
DUS3L	-1.067
EIF1	-1.22883333333333
RP5-1077B9.4	-0.754
FPGT	0.80175
GDF10	0.255333333333333
COQ9	0.035
GCC2	-0.150857142857143
RARRES3	2.77125
PLXNA1	-0.8623
KIAA0100	-0.8261
PMF1	-0.04975
FNDC1	5.34475
HS2ST1	-0.608166666666667
CRELD2	0.3305
C8G	-1.6155
CD82	0.1005
LIM2	0.522
UNQ6490	1.001
MMP16	0.46025
DRD3	-0.6495
C5orf26	1.161
C11orf73	-0.4505
PTP4A2	0.559375
OR4M2	-0.025
HPCA	-1.25666666666667
SEC14L1	-0.382833333333333
CHFR	-0.291375
EMILIN1	0.861125
NDUFS4	-0.616
COL18A1	0.588625
PDZD3	-0.8083
C9orf16	0.401666666666667
ERBB2IP	0.2425
EMX2	1.2875
FUS	-0.67
TF	-3.424
CLCN4	-1.24866666666667
CXorf56	-0.30225
C11orf72	0.946
ELAC2	-0.6855
NPR1	-2.07175
ASS1	-2.37833333333333
USP42	0.64625
POLR2J	-0.257
SEC23IP	0.475166666666667
UQCRC1	0.4055
LOC729603	-0.18475
C1orf71	-0.04725
POLG	-2.908
ADAM23	-2.87025
TFR2	-1.40675
RICTOR	-0.9852
MGC39606	0.2455
C19orf55	-0.211375
SNAPC1	-1.3745
GNA11	0.108125
CCDC52	0.829833333333333
FSIP1	4.2405
UPF3A	-0.285625
IGSF11	-2.38666666666667
LAGE3	-0.72025
CHST6	-1.91
UNC13B	-0.70825
TTLL4	-1.383
ZNF687	0.245375
SDC2	0.5022
COX7A2	-0.228
LAMB4	0.462
FAM24A	0.351
LRRTM3	-0.2126
GPHB5	0.7425
OR4C13	-1.313
EIF3EIP	-0.0597857142857142
HABP4	-0.0595
TMEM125	3.0805
CNTN2	0.360875
ASNSD1	0.018
FUT4	-0.4665
ACF	-3.45875
LOC158381	0.435
CDH8	1.046
AGPS	-0.870333333333333
C4orf18	2.462625
PECI	-0.5915
UNG	-0.588875
GSTP1	-1.83325
DCUN1D5	-1.43216666666667
DKFZP564J0863	-0.23425
SLC9A3R1	-0.019
BCDO2	-1.072625
CHMP7	-0.737875
REM2	-1.1875
DNHD1	-0.0767142857142857
FKBP4	-0.28225
ZNF350	2.41025
MGC11102	0.512
BST1	1.17025
KISS1R	1.211
NCR2	-1.204
DEFB125	null
UBE2W	0.758375
KRT15	-1.377625
C10orf99	0.3995
SCN11A	0.994833333333334
GFI1	-2.4495
RDHE2	4.04333333333333
FHL1	-0.877333333333333
OSGEP	-0.0746666666666667
GATA1	-2.3685
SMC6	-1.189
TTTY14	-1.0945
LPIN3	-1.828
RPL4	-0.9604
RBPMS	-0.4638
PRPF3	-0.84
EMR1	-2.1775
SPATA19	-0.27975
XCR1	0.9265
IRX3	2.1959
RBM6	-0.95775
KLF4	-1.5708
UNC5CL	-3.101
SEBOX	-1.187
BTK	-0.89975
KRCC1	0.7845
C6orf27	0.2015
SYTL5	-0.924
PRND	1.23966666666667
LOC653319	-1.7135
PIGL	-0.678625
HUS1	-0.318666666666667
SFRS6	1.2825
C17orf77	0.424
UIMC1	-0.246833333333333
FXYD2	-1.8416
LOC283152	1.81075
ZNF667	-0.05875
ZCCHC12	-0.804666666666667
TFEC	2.3053
ATP7B	-0.0126666666666667
POLD2	-0.791666666666667
RG9MTD1	0.847
ACOT2	-0.931666666666667
HIST1H4I	-0.35775
PPARGC1A	-2.6161
ETFA	-2.336
POLRMT	-0.56425
ZNF146	0.477625
MIA2	-1.3875
KLHL6	-1.65883333333333
HOXB5	0.30175
NENF	0.677
CUGBP1	0.08025
PRSS22	1.87516666666667
CASC4	1.7684
CUL4B	0.6054
CENPJ	-1.8262
PITX1	-1.20183333333333
FLJ31033	1.55016666666667
CELSR3	0.684333333333333
ZNF568	1.18225
ITSN1	0.318
EHBP1L1	-0.895333333333333
C19orf2	0.141
DCTN1	-0.02925
LIN28B	-2.578
TNKS2	-0.0725
C1QBP	-1.326875
CADPS2	1.59125
SRMS	0.292
GJA9	0.551833333333333
MGC24975	-1.5575
TRIM45	-0.35
TSP50	0.105
TCP1	-1.327
TMED7	0.4727
CMA1	-0.864
CENPL	-0.477
PTCRA	0.4875
FST	-2.76175
VWCE	-3.2055
PAWR	1.583
ABCC12	0.604
LDLR	-0.8562
ASTN2	1.2347
LOC441212	-0.633375
GPATCH8	0.6085
TANC2	-0.641333333333333
KIF4A	-1.801
C18orf18	-1.45925
PGM1	-2.0975
KIAA0258	0.61375
CPD	0.731125
SNCAIP	-1.585
DCT	-3.492
HLA-DOA	2.93818181818182
OR11L1	1.646
UPK1B	0.109666666666667
DNAJB4	-0.7325
UGT1A8	-1.77633333333333
HIST1H4L	-0.397
PECR	-0.5405
HSPA2	3.093
WFIKKN1	-1.719
SERP1	0.43475
SYDE2	0.5495
TACR2	0.742
NUP85	0.004
CD177	-0.669
LGR5	-1.6172
PIGG	-0.969416666666667
PTHR1	-1.1495
RAB5A	0.2321
FLJ13224	-2.204
USP9Y	-0.8644
C7orf53	-1.4195
LRP1B	-0.846
XAF1	2.7896
ABCG8	-1.125
ANKDD1A	-1.07966666666667
DAND5	-2.0055
SPAG6	0.587833333333333
LINCR	1.3775
ZDHHC22	-1.29325
CCDC60	0.027
THOC7	-1.23183333333333
TCTA	0.2512
OR8K3	0.0945
NY-REN-7	-0.34
B2M	1.72166666666667
C6orf141	-0.650375
LPPR4	0.12225
SQLE	-2.011875
SEPHS1	-0.05525
BTBD14B	0.721285714285714
PLRG1	-0.88475
SPG7	-0.233875
ZNF614	0.6835
PARD6G	1.3585
INPP5B	-0.745888888888889
GRPEL2	0.474625
PPID	-0.5261
TRIM56	-0.168
UBE2J1	0.025
IL20RA	3.8345
LOC387856	0.22175
C1orf107	0.08725
UTS2R	0.778
C19orf22	-0.1555
SAFB2	-0.0995
KIAA0652	-0.20525
KLRG1	-1.64916666666667
MS4A8B	1.46816666666667
FRAG1	0.5135
KIAA1546	-0.69725
E2F4	-1.2143
CLEC4M	0.8622
BTBD14A	-0.842
KIAA0999	1.6557
GYPA	-4.1206
TAC1	0.498333333333333
TRAIP	-1.01533333333333
KIAA0232	-0.6279
ERCC8	-1.112
GPX4	-0.192625
KIAA0368	-0.54
GPR157	-1.13383333333333
CTAGE4	-0.1925
C9orf30	-0.693666666666667
OR52A1	0.705
HSP90B3P	-0.1375
ALG9	-0.4368
BTBD10	0.66975
SDK2	0.7595
BAIAP3	-0.473
RABGGTB	-1.62025
ANKRD40	-0.344833333333333
KRT74	-1.242
CALCOCO2	1.11635714285714
SNCA	-3.27025
TMSL8	-3.5615
C2orf53	1.2625
ESRRB	-0.88425
ARHGAP26	-1.842
TDRD9	-2.82
HRAS	0.645666666666667
KLRC4	-4.109
JAGN1	-0.553333333333333
BSDC1	0.74475
RNF43	1.581
NDUFAF1	-0.23975
PHF12	0.53975
OR1L3	-0.335
FOLR2	1.17918181818182
LYZL6	-0.0432
tcag7.1260	-1.918
WSB1	-1.828
PROS1	-1.6652
OSTN	0.5435
PSMB8	1.44375
SOCS4	-0.4385
DDIT4L	2.9865
MAS1	0.758
MGC34796	1.692
CSHL1	-0.46
TBCCD1	0.00233333333333331
ZBTB7C	-0.596
AP2S1	-0.7535
P15RS	-0.2461
VAT1	-0.6982
SHANK3	1.04416666666667
TUFM	-0.536166666666667
THEG	0.018
KRT34	-1.22533333333333
SGSM3	-0.56225
TOMM22	-1.096875
SOCS3	0.96
CPO	-0.7895
POP4	0.153
BHLHB3	1.30375
MALL	0.58025
OR1B1	0.299
PARK2	0.7904
GPR124	0.9095
LCE1E	0.4525
RUVBL2	-0.446
CGRRF1	-0.0645
ACPL2	0.109
WNT10B	-2.103125
BAIAP2L2	-1.5215
ISCA1	0.4565
C1orf125	0.159714285714286
RPAP1	-1.20675
RAI16	-0.4035
RPL27	-0.598125
NLRP9	-0.36
EPN1	0.145
LOC388610	-1.05375
SLC35A1	0.5581
GAL	-3.40325
SLC14A2	0.7615
RDH11	-1.858
FAM138F	-0.0005
AUH	0.076
FLJ40243	-0.89125
C14orf129	-0.151166666666667
MBD2	-0.5415
ABHD14B	-0.309375
PIGT	0.885125
ALS2CR4	-0.741375
ALAS1	-0.4641
FOXO1	1.83516666666667
CRLF3	-0.10075
C20orf107	0.3205
FARS2	0.99225
CCDC28A	0.675
NPHP3	-0.8135
OR13F1	0.376
TSEN54	-0.08575
DEFB106B	0.2824
OR8B4	0.699
STH	-0.695
ZC3H14	-0.178375
CBX2	1.183
TMEM49	-0.67575
C6orf21	1.7125
FLJ20920	1.14525
CRTAP	-0.491785714285714
DDX50	-0.00025
STYXL1	-0.073
BLVRB	-0.324833333333333
LOC147650	-0.980166666666667
MMP24	-0.5185
GRID1	1.84816666666667
BANF1	-1.041
CTAGEP	-0.386
HMBS	-1.9425
SLC25A24	0.337666666666667
C14orf50	-0.132
MRO	-0.168333333333333
SLC25A15	-0.76175
FAM84B	0.4753
TDP1	-1.06
C16orf78	-0.7294
C11orf57	1.76
RFK	-0.501375
ZFYVE9	-0.9395
STCH	-1.1975
WIBG	0.41075
LOC283871	-1.71716666666667
GBA2	-1.2554
NDUFB3	-0.40175
HSD17B13	0.01175
GRIN3A	1.56066666666667
FMNL1	-1.48633333333333
SEPT7	-0.2812
GNLY	4.4895
GRAMD1C	0.886666666666667
ZNF165	0.84375
USP38	1.44475
FAM83A	-3.08866666666667
C14orf24	0.7315
ARMCX3	0.572375
ARHGDIB	-0.7175
AK1	0.210375
KIAA1045	0.2455
DNAJB13	-0.4655
NEU2	null
HIST1H4B	-0.655
FAM20B	-0.3194
HES2	-0.6255
FAM73B	-1.0239
LOC388381	-2.569
INTS7	-0.689181818181818
AMPH	0.602
ZNF775	0.314625
UCKL1	0.0181666666666667
C10orf97	-0.0655
C1orf161	0.0735
ALDH1L1	-2.91675
FLJ39378	0.089375
SLC23A1	-0.2525
RBM4B	0.0235
THAP4	0.7235
OGFRL1	0.979
KIAA0831	0.174625
PPP1R15A	0.408
C1orf96	0.197928571428571
C12orf11	-2.6895
BMF	0.06275
MAN1A1	-1.3745
KIAA1600	0.237166666666667
NLGN4X	0.319
ALOX12	-0.172833333333333
RB1CC1	0.3022
NEIL2	0.175
EIF4E	-0.792045454545455
ABHD5	-0.762
EXOC4	0.858
CIP29	0.141
BATF2	1.949
SLC29A4	-0.94925
HTR4	0.91325
EMB	0.3795
TRAF6	1.054
LMNB1	-1.2495
FAM19A5	0.49875
SHE	0.1465
PIK3C2B	-0.05775
C15orf15	-1.2848
USP15	0.3273
TCEAL2	1.3055
C5orf39	-0.4745
PTGER2	-0.56625
SLC31A1	-1.0785625
IFT172	0.53025
ADAM29	0.2195
GFOD1	-0.974
ST7L	0.318
C15orf26	-2.05275
PKN3	-1.951
CNTD1	0.0831666666666667
COMMD1	0.316625
NTRK2	3.1496
FOXN3	-0.165125
MFGE8	-0.6109
PFKFB2	0.0330000000000001
TAS2R4	0.2605
ENTHD1	0.787833333333333
PRMT5	-0.84475
MGC16384	-1.516375
LOC442229	-0.43875
TSKU	1.079
KRTCAP3	2.597875
PDLIM1	0.5937
KCNS2	0.53875
RNF126	-1.07016666666667
CEP63	0.252
CLIC4	-0.3865
hCG_1990170	-0.886
ACR	0.4799
KLK7	1.50175
ALOX5AP	2.510375
RIPK3	4.2655
TAS2R9	1.116
C19orf18	0.6075
BIRC6	-0.178357142857143
ZNF16	1.0185
RFT1	-0.2095
SLC8A2	-0.677
TACC1	-0.106625
ITGAD	0.186666666666667
SAMHD1	-1.851
SH3PXD2B	1.2579
EPC2	1.32725
C20orf85	4.714875
ATP13A2	0.00799999999999999
KRT4	0.479
CAPNS1	0.2155
MDM2	-0.113
PCDH20	2.39175
KCNK9	-0.1385
OR2C1	0.158
KLHDC3	-0.875333333333333
IPPK	-0.0765
EFHD2	1.0205
GALR3	1.493
NBEA	2.02083333333333
ABCA6	1.5512
CLDN3	2.62966666666667
AKT2	-0.365928571428571
EGFR	-2.2699
RBM16	0.678375
ZDHHC3	0.3781
SLC25A4	-0.849833333333333
CYB5B	-1.18416666666667
CPXM1	0.7125
NDRG1	-0.381153846153846
FLJ43826	0.4965
OR5L2	-0.42
FARP2	0.3337
MRPL46	-1.447
LDHAL6B	-0.6825
MAPKAPK3	-0.284
NCAM2	-2.19025
PRKD2	0.700333333333333
ZFP36L1	0.8312
CYSLTR1	-0.48225
OR4C3	-0.1945
HIST1H2AJ	1.772
CCNB2	-2.44766666666667
ZNF10	-0.587625
TMEM175	0.502
FAM134A	1.08
TIGD4	-1.6165
PCNP	-0.68025
MGC39715	0.876333333333333
LQK1	-1.602
CREB1	-0.1352
TMPRSS3	-2.168
C4orf32	1.068625
LAT	-1.591
KCNA3	1.268
SKIV2L2	-0.2795
ROPN1B	-4.28775
tcag7.23	-0.3065
CDT1	-1.791
ZHX2	1.36475
CD28	-4.2595
ZNF624	0.72025
SEPT2	-0.27325
SOHLH2	-0.614875
MCOLN3	-1.012
UNQ1945	-0.3415
MASP2	-0.094
ZNRF3	-0.4952
GPATCH3	-0.23325
AGL	0.756
QRICH2	-0.1855
PSD4	0.524
CCNB1IP1	-1.45
ENPP7	-0.39525
OBFC1	-0.15175
KCNG3	-1.72425
C14orf79	0.0604166666666666
ENPEP	1.53716666666667
SCT	2.588
SKI	1.1365
SEC61G	-0.80425
CAPN11	-1.7265
ATXN7L3	-0.91375
DBNDD1	0.447333333333333
FAIM	-0.019
ANKRD36	0.469
GABRP	0.439
TACSTD2	2.3535
EIF3J	-1.1065
PPP2R2A	-1.49325
TEKT4	0.158
PVALB	-3.39683333333333
F10	-2.29383333333333
FAM134C	0.1129
COMP	4.225625
EFCBP1	-2.22133333333333
SCLT1	-0.11525
TAL1	-1.183
ACSL1	-0.9495
ABCC5	0.288916666666667
ABL1	-0.542833333333334
RBBP7	-0.456333333333333
PTPRG	-1.55375
NCOR1	0.1626
SPINK4	0.979
TXNRD1	-1.3861
TNRC15	1.27325
C9orf138	0.10475
UBE2H	2.1005
BRDT	-1.0524
C8orf31	-0.15925
CCNE2	-1.66536363636364
SLC6A8	-1.62825
CALCR	-2.99875
PPP1CB	0.507833333333333
ABHD8	0.276
ARF5	0.3396
SLC24A4	0.571
CCT3	-0.41675
ZNF121	0.2045
SLC3A2	-1.1646
OR13A1	0.5975
SLC5A10	0.694
RAD50	-0.29325
IER5	0.38975
MTHFD1L	-1.902625
MBTPS2	0.719
MVK	-1.15125
NCL	-0.3656
PSMD10	-0.5415
MOBP	1.26983333333333
FLJ32894	-0.3085
HRH1	-0.852833333333333
C5orf30	1.98875
NUDT16L1	0.5453
RASGRP3	3.03233333333333
PRKRIP1	-0.0703
CCDC75	0.83575
LOC253970	1.64933333333333
KIAA1239	2.0815
MED21	-1.18325
SYT11	-0.294666666666667
NTSR2	0.3065
EGFL11	-1.683
CXorf59	0.1755
OR2A25	-0.59075
SPTBN2	-2.77733333333333
LRMP	-2.2174
RNF111	-0.71
PTH	1.092
LOC619208	0.866833333333333
KIAA0895	0.08775
RANBP5	-0.946875
P2RY10	3.8175
NME5	3.74183333333333
DDX21	-1.28775
LRSAM1	-0.5205
HDAC11	1.25983333333333
VMO1	1.60325
NOLA2	-0.160666666666667
ADAR	0.864583333333333
MTO1	-1.4985
SF4	0.507166666666667
P2RX1	0.0458333333333333
HBM	0.687
EN2	1.53
C14orf172	0.75375
TM9SF2	0.103
INHBE	-1.18133333333333
TCTE3	-0.777
TOX2	-0.987
CTAGE3	-0.208625
HBB	2.7316
MED15	-1.103
CASR	0.44275
C6orf66	-1.165
MTPN	-0.34425
UNC50	-0.24725
C21orf33	0.139375
IRF2	0.292
PGR	-1.1325
GPR84	2.75925
CROCCL1	-2.36775
SRPX	-1.894
BRE	-0.1525
FGF10	2.417
SDC3	-0.202833333333333
ZRSR1	0.237
DKFZP434P211	-0.991375
SOX6	null
RPUSD2	-0.277
C14orf173	-0.57725
MAPK11	0.114833333333333
TBC1D22A	0.497
FAM123A	0.2465
COL4A6	-3.2098
TOMM70A	-0.2175
NAB1	-0.508875
MGC16385	-0.22525
TSPAN18	0.464333333333333
MED31	-0.74075
PLG	-1.48325
CAPSL	2.042
ZNF532	1.01
ASB14	0.705
CA8	0.98275
NUDT16P	1.90783333333333
SLFN11	-0.7145
LRRIQ2	0.578625
NOL7	0.113666666666667
BRMS1L	-0.895
JARID1A	-0.0458333333333333
PANK2	-0.45825
ICAM3	-0.27975
MDS1	-0.82425
TAF8	-1.4375
RNF139	1.06575
ZNF594	-0.0918333333333333
ADAM8	2.21025
SFTPC	-0.932285714285714
MAN2B2	0.588375
RGS12	0.283875
EIF1AY	-3.87283333333333
LRRIQ1	0.7105
GPR150	1.11725
CCDC21	-1.59933333333333
PRRG3	-0.658333333333333
SAA4	-2.531
RAPGEF5	2.5295
ZCCHC2	0.488083333333333
MGC39372	-1.7895
PPP4R2	0.693666666666667
CDCA2	-2.08733333333333
OR4D5	0.906833333333333
PTGFRN	0.3112
SIGLEC5	1.60916666666667
C19orf61	-0.220333333333333
NMUR2	-0.335
KIAA1586	-0.528666666666667
DAGLA	-0.0548333333333333
CHCHD6	-0.053
GPR32	0.134
NEUROD6	0.287
SLC2A4RG	-0.260375
CA5B	-0.46275
FBXL3	1.18
MPHOSPH9	-1.11825
HMG2L1	0.148
HCN4	0.633166666666667
CEACAM19	-1.126
SH2D4B	1.26025
HFE2	-0.551
TGM4	-1.889
LYPD2	-0.26125
TBC1D15	0.00750000000000001
MRPS21	-1.268
NONO	-0.4846
CLEC5A	0.350625
ITCH	0.3256
MGAT3	-0.847166666666667
MBP	-0.8955
RPP25	-1.88375
SOSTDC1	-0.05175
HRC	-1.24875
TRIM48	1.0025
TMEM133	0.2975
ECEL1P2	-1.1165
HOXC11	-4.113
DOK5	0.24925
HELZ	1.86533333333333
LOC348180	-0.0355
MGC33894	-0.245
ADRB3	0.944
DMD	-0.1875
PTRH2	0.65575
MPEG1	2.24133333333333
NDUFA12	-0.0181666666666667
KRTAP2-4	0.281833333333333
STAMBPL1	-1.805
ADCY2	0.519333333333333
UNQ6125	1.293
KLHL20	0.0934999999999999
SRM	-1.3005
OTC	-1.26825
TMIE	0.0183333333333334
SNX8	0.15875
LIPK	1.46
CHURC1	-0.392083333333333
KLC2	0.953833333333333
HDAC1	-0.526833333333333
FAM128A	1.0605
FNDC3B	-0.671888888888889
MTCP1	-1.1825
WFDC10B	-0.2483
PCDHGB3	1.7035
ATRNL1	-1.655375
CAV2	-0.419625
MED26	0.122666666666667
DUS1L	-0.04
CHRM3	-2.567375
NEK9	-0.777
WARS2	-0.21875
TBX22	2.151
TOMM40	-0.867
RP6-213H19.1	-1.237
TUBGCP5	-1.44075
IGSF6	5.6255
TPPP	-0.00750000000000002
UNQ6190	-2.069
GSTM5	-0.74825
BTD	1.29516666666667
PDCD1LG2	0.472
SNRPB2	-0.0516666666666667
ERICH1	-0.206
APOA4	-0.608375
HOXA11	-1.90275
NARG1	-0.783875
MKX	1.3945
RAB28	-0.965076923076923
PKP3	1.43475
SH3GL2	-1.3985
CTSO	4.04775
RPN2	0.6810625
IL28RA	1.1085
SFMBT1	0.6195
WDR57	-0.705
FER1L3	0.72125
HSF5	1.72275
TTC9B	-0.93775
C4BPA	-3.068
ALB	-4.21290909090909
SORBS3	-0.068125
UPF2	0.141
JPH1	0.9235
AGBL2	-1.42325
DOPEY1	0.7895
TERF1	-0.268083333333333
KIF22	-0.751666666666667
NINJ1	0.88225
SEC61A2	-0.505583333333333
HIST1H1D	1.02116666666667
SFXN4	-0.02475
UCP3	0.809555555555556
ZNF703	2.18416666666667
MYL6B	-0.70725
TREM1	1.05475
OR52E6	0.5025
CKMT2	1.4925
HLA-C	2.3835
SLC13A3	-0.874
TIMP4	-3.21175
SLIT2	2.94375
RSF1	0.331555555555556
LONRF1	-1.18971428571429
MON1A	0.3055
CACNG6	-0.897
DPPA4	-4.92133333333333
ZSWIM3	0.84725
ZNF804A	-0.6686
CCIN	1.909
SLC25A31	1.582
KCNMB4	-0.42025
RABL5	0.75
GALNS	-0.3151
STX6	0.40125
HIST1H1C	-0.513166666666667
CIDEB	-0.421375
CASP4	-0.723666666666667
PDK3	-0.1691
KCNJ11	0.706
TPR	-0.133375
ZSCAN20	0.3695
MTX2	-0.0775
HIST1H2BH	0.45775
LOC283767	1.3775
LYRM7	-1.68223529411765
BRD3	1.9935
HIST1H2BO	-0.48325
MAGEB10	1.9085
SLC45A1	1.5505
SERPINA3	-0.10315
KIAA0143	1.1645
KCNJ16	0.2936
KRT79	-0.32975
FABP2	-1.34325
NUT	-1.62275
ZNF57	-0.3775
FBXL4	0.10525
CLEC9A	-0.754
UGT8	-1.11066666666667
BMP2K	-0.251
MAPK4	-3.65075
SLC25A23	-0.5796
HINT1	-1.7258
KRTAP13-1	1.066
SFXN5	-0.3513
CHCHD2	-0.25575
FAM3D	-0.115
NDP	2.778125
RHOBTB1	1.14766666666667
SLC4A4	-1.61714285714286
RPL38	-0.0465
HTF9C	-1.05366666666667
AP2A2	0.28575
ZBTB46	0.047
MAP7D1	0.200125
AOX1	-1.47666666666667
CYR61	0.495333333333333
DTNA	0.808
JRKL	1.039
TMOD3	-0.99875
EEA1	0.2255
ADCK5	-0.39525
IL1R1	-0.778333333333333
KLK3	1.06454545454545
HRSP12	-1.291
KTN1	0.16225
LOH11CR2A	-0.0524999999999999
RELL2	-1.6745
MAB21L1	1.42975
C20orf59	-0.563
PHKB	-0.4685
ADAM2	-1.25083333333333
TBC1D8B	0.356666666666667
FAM13A1	-1.35713333333333
LAPTM4B	-1.40408333333333
LCN8	-0.888
TMEM147	0.9665
SYT4	0.6156
XPO7	-0.9525
C9orf62	1.377
GPR75	-0.6635
TRIM5	0.864625
APOC1	-0.737833333333333
RNASE4	0.466333333333333
PARD6B	1.005
ARID1A	0.0763333333333333
TPD52L3	1.23475
RRAGB	0.137333333333333
RCN2	-1.36683333333333
HIST2H2BE	0.309
STARD7	-0.38425
SHMT2	-0.82075
KIAA1751	0.483
MLYCD	0.68375
LOC162632	1.3258
UQCRH	-1.81525
RP11-217H1.1	0.315375
SDHA	-1.19383333333333
NCLN	-0.00839999999999999
ZNF17	0.486166666666667
RCBTB2	-1.75425
VEGFB	-0.1449
RP4-747L4.3	-0.26175
COLQ	0.7992
MPN2	-2.2664
DRG2	-0.80025
KLRB1	4.58525
ALPK2	-0.55125
DNASE2B	3.77575
FLJ23834	0.2334
AXUD1	0.571333333333333
SAFB	0.1706
NSUN4	-0.25
RFX2	-0.4815
MAPK8IP1	-1.02883333333333
FANCD2	-1.7975
ANKZF1	-1.28416666666667
C19orf50	0.129375
DUSP8	0.818375
SENP5	0.738375
NFKBIL2	-0.76775
LBR	-2.267875
IGFL1	2.5085
LZTS2	0.28625
IL2RG	-0.251625
CCDC51	-0.8205
KLF3	-0.48175
ANKRD37	-0.7875
KCTD14	-2.296
FZR1	0.862833333333333
SLC44A4	3.6148
ESPL1	-0.4615
GMPR2	-0.8732
TBC1D19	-0.869833333333333
ERGIC1	0.395038461538462
ERBB4	3.13322222222222
TSPAN32	-0.0696666666666667
MAP4	0.286875
GPHN	-0.42625
SLC6A2	-0.110375
HIVEP1	0.30425
DFFB	-0.8162
EIF4EBP2	0.621625
DMRT1	0.3975
HSPB6	-0.0814999999999999
IER2	0.00750000000000001
AIFM1	-0.85125
WWC2	0.505454545454545
MRPL4	-0.20225
FLJ21062	0.584166666666667
EPB41L4A	1.41581818181818
SH2D6	-0.26725
TAF4B	-0.57725
GAL3ST3	-0.026
MALT1	-0.8285
RTDR1	-0.341
ARVCF	-0.118125
MEX3B	-1.74416666666667
FBXO16	0.66975
KIF7	-0.7655
C1QC	4.10933333333333
ZNF783	-0.1154
ZNF85	-0.0045
MMP13	4.5515
KIAA0329	0.570125
RTP3	-1.114
ZBED3	0.969
CLGN	-3.342
SLC25A37	-2.092375
hCG_18290	-0.39425
OR5AS1	0.154
SMARCC2	0.5055
FAM109A	0.666666666666667
CCDC12	-0.12025
USF2	-0.1263
DEPDC7	-1.21975
C20orf24	-1.1495
JMJD3	-0.3775
DSP	1.24614285714286
SLIC1	0.165285714285714
FAM20A	1.03925
IRF2BP2	0.94075
ZNF230	-0.477
MSN	-0.431928571428571
