Hybridization REF	TCGA-A2-A0ES-01A-11R-A115-07
SLC9A3R1	0.99325
BCDO2	0.44575
CHMP7	-0.20475
REM2	2.0885
DNHD1	-1.2605
FKBP4	-0.16075
ZNF350	1.655
MGC11102	-0.571625
BST1	1.6065
KISS1R	-0.035
NCR2	0.4195
DEFB125	1.694
UBE2W	0.6705
KRT15	3.3415
C10orf99	0.149
SCN11A	0.084875
GFI1	-1.58525
RDHE2	4.82033333333333
FHL1	1.19033333333333
OSGEP	-0.247
GATA1	-4.34133333333333
SMC6	-1.53275
TTTY14	-1.58625
LPIN3	-0.70575
RPL4	-0.0274
RBPMS	1.5464
PRPF3	-0.479166666666667
EMR1	-2.1045
SPATA19	1.596
XCR1	0.2415
IRX3	2.0292
RBM6	-0.34975
KLF4	1.6249
UNC5CL	-0.466
SEBOX	-0.98
BTK	-0.47575
KRCC1	1.56025
C6orf27	0.2015
SYTL5	0.116
PRND	3.34385714285714
LOC653319	-1.671
PIGL	-2.010875
HUS1	-0.466
SFRS6	0.603416666666667
C17orf77	-0.0135
UIMC1	-0.368
FXYD2	-2.365
LOC283152	0.445
ZNF667	0.544
ZCCHC12	1.54625
TFEC	3.2949
ATP7B	0.361666666666667
POLD2	-1.88883333333333
RG9MTD1	-0.1415
ACOT2	0.421166666666667
HIST1H4I	-2.193375
PPARGC1A	-1.7289
ETFA	-0.8285
POLRMT	-1.00925
ZNF146	0.139
MIA2	-0.9875
KLHL6	0.115166666666667
HOXB5	-0.5915
NENF	0.2795
CUGBP1	-0.73875
PRSS22	1.09683333333333
CASC4	1.1861
CUL4B	-0.0832
CENPJ	-1.4384
PITX1	0.172833333333333
FLJ31033	1.19133333333333
CELSR3	-2.55333333333333
ZNF568	1.29625
ITSN1	0.0135833333333334
EHBP1L1	-1.16416666666667
C19orf2	-0.4335
DCTN1	0.3755
LIN28B	-3.4904
TNKS2	0.086
C1QBP	-1.108375
CADPS2	2.0555
SRMS	-0.024
GJA9	0.0231666666666667
MGC24975	-1.276
TRIM45	-0.554
TSP50	1.09275
TCP1	-1.044
TMED7	0.096
CMA1	1.69
CENPL	-1.881
PTCRA	-0.257
FST	-2.48775
VWCE	-1.832
PAWR	-0.12225
ABCC12	-0.3875
LDLR	-0.8665
ASTN2	1.1336
LOC441212	-0.871625
GPATCH8	0.194
TANC2	-0.499833333333333
KIF4A	-3.062
C18orf18	-0.9235
PGM1	-0.68125
KIAA0258	0.50125
CPD	0.5525
SNCAIP	0.3665
DCT	-5.65666666666667
HLA-DOA	2.95777272727273
OR11L1	0.0425
UPK1B	-1.5458
DNAJB4	1.209375
UGT1A8	-2.00425
HIST1H4L	-3.2335
PECR	-2.12033333333333
HSPA2	1.7835
WFIKKN1	-1.61
SERP1	1.134
SYDE2	0.62725
TACR2	0.7595
NUP85	-1.0885
CD177	-0.481833333333333
LGR5	-3.20966666666667
PIGG	-0.175166666666667
PTHR1	-0.648666666666667
RAB5A	0.5835
FLJ13224	0.227
USP9Y	-2.4968
C7orf53	-0.0735
LRP1B	2.176
XAF1	2.2995
ABCG8	1.872
ANKDD1A	-0.284
DAND5	-2.08
SPAG6	3.53933333333333
LINCR	0.668
ZDHHC22	-1.93575
CCDC60	0.96
THOC7	-0.5265
TCTA	0.8038
OR8K3	-0.73075
NY-REN-7	-0.0585
B2M	1.27916666666667
C6orf141	-2.224625
LPPR4	3.0975
SQLE	-2.248625
SEPHS1	-0.797
BTBD14B	-0.0230714285714286
PLRG1	-0.1425
SPG7	-0.624625
ZNF614	-0.0848333333333333
PARD6G	0.8665
INPP5B	-0.4749
GRPEL2	-0.612125
PPID	-0.6069
TRIM56	0.13575
UBE2J1	-0.193875
IL20RA	6.67375
LOC387856	2.153
C1orf107	0.274
UTS2R	-0.07575
C19orf22	0.22675
SAFB2	-0.41925
KIAA0652	-0.011625
KLRG1	-0.0505
MS4A8B	2.414
FRAG1	0.668
KIAA1546	0.47825
E2F4	-1.256
CLEC4M	-0.0563333333333333
BTBD14A	-1.4225
KIAA0999	1.244
GYPA	-4.37816666666667
TAC1	5.4034
TRAIP	-2.4015
KIAA0232	1.2659
ERCC8	-1.114125
GPX4	0.2595
KIAA0368	0.093625
GPR157	-0.923333333333333
CTAGE4	0.8775
C9orf30	-1.05266666666667
OR52A1	-0.118
HSP90B3P	-0.0625
ALG9	-0.4794
BTBD10	0.4005
SDK2	0.171333333333333
BAIAP3	0.08225
RABGGTB	-0.8585
ANKRD40	0.014
KRT74	2.0705
CALCOCO2	0.686428571428571
SNCA	-2.16475
TMSL8	-3.889375
C2orf53	-0.764
ESRRB	0.0756666666666667
ARHGAP26	-0.492125
TDRD9	-2.015
HRAS	-0.463833333333333
KLRC4	-2.086
JAGN1	-0.496666666666667
BSDC1	0.50725
RNF43	-0.013
NDUFAF1	0.4195
PHF12	0.85725
OR1L3	0.803
FOLR2	3.10025
LYZL6	0.709333333333333
tcag7.1260	-1.614
WSB1	-1.00383333333333
PROS1	1.2178
OSTN	0.227
PSMB8	0.42675
SOCS4	-0.215875
DDIT4L	1.88275
MAS1	0.1585
MGC34796	0.822
CSHL1	0.197166666666667
TBCCD1	0.206
ZBTB7C	-0.184
AP2S1	-0.806375
P15RS	-0.269
VAT1	-0.7465
SHANK3	0.969666666666667
TUFM	-0.938
THEG	-0.42475
KRT34	-2.2905
SGSM3	-0.013875
TOMM22	-0.542875
SOCS3	3.07883333333333
CPO	1.56
POP4	-0.05225
BHLHB3	2.928
MALL	2.1985
OR1B1	0.685
PARK2	0.4995
GPR124	1.665
LCE1E	0.589
RUVBL2	-1.05775
CGRRF1	1.0233
ACPL2	0.73425
WNT10B	-1.855875
BAIAP2L2	-2.537375
ISCA1	0.7075
C1orf125	-0.727
RPAP1	-0.809
RAI16	0.3065
RPL27	-0.301
NLRP9	0.716
EPN1	0.1585
LOC388610	0.55125
SLC35A1	1.339
GAL	-3.94125
SLC14A2	0.27625
RDH11	-0.7785
FAM138F	-1.3955
AUH	1.26075
FLJ40243	1.27133333333333
C14orf129	0.253833333333333
MBD2	-0.466666666666667
ABHD14B	0.355625
PIGT	0.109375
ALS2CR4	0.69875
ALAS1	-0.0733
FOXO1	2.8845
CRLF3	-0.094625
C20orf107	0.0605
FARS2	0.5215
CCDC28A	1.30575
NPHP3	-0.23475
OR13F1	0.0505
TSEN54	-1.44475
DEFB106B	0.1275
OR8B4	0.8975
STH	1.735
ZC3H14	-0.342625
CBX2	-0.504
TMEM49	-0.718
C6orf21	0.3525
FLJ20920	1.371875
CRTAP	0.355571428571429
DDX50	0.14425
STYXL1	-0.00725
BLVRB	-0.1515
LOC147650	-0.372833333333333
MMP24	0.604
GRID1	2.469
BANF1	-0.7915
CTAGEP	0.344
HMBS	-3.00275
SLC25A24	0.726833333333333
C14orf50	1.115
MRO	0.792
SLC25A15	-0.4325
FAM84B	0.7888
TDP1	-1.1555
C16orf78	-0.651
C11orf57	-0.091875
RFK	-0.482375
ZFYVE9	-0.896
STCH	-0.6596
WIBG	0.18925
LOC283871	-1.20583333333333
GBA2	-0.4623
NDUFB3	-0.3695
HSD17B13	-0.15525
GRIN3A	4.08633333333333
FMNL1	-0.9275
SEPT7	-0.3331
GNLY	3.1435
GRAMD1C	2.31333333333333
ZNF165	0.409
USP38	0.4725
FAM83A	-4.06066666666667
C14orf24	0.98
ARMCX3	1.623125
ARHGDIB	1.00883333333333
AK1	-0.2645
KIAA1045	1.1935
DNAJB13	-0.569833333333333
NEU2	0.494
HIST1H4B	-2.77983333333333
FAM20B	-0.7319
HES2	1.74578571428571
FAM73B	-0.6413
LOC388381	-0.08825
INTS7	-1.313
AMPH	1.4365
ZNF775	-0.661625
UCKL1	-1.0435
C10orf97	0.48825
C1orf161	-0.4355
ALDH1L1	0.371
FLJ39378	-0.155125
SLC23A1	-2.385
RBM4B	0.19875
THAP4	0.0993333333333333
OGFRL1	1.5985
KIAA0831	0.44475
PPP1R15A	1.32583333333333
C1orf96	-0.8985
C12orf11	-1.36875
BMF	0.28625
MAN1A1	-0.4745
KIAA1600	0.754333333333333
NLGN4X	0.92875
ALOX12	-2.09416666666667
RB1CC1	-0.0438
NEIL2	0.163
EIF4E	-0.0104090909090909
ABHD5	-0.0985
EXOC4	-0.466666666666667
CIP29	-0.001
BATF2	0.63725
SLC29A4	-0.81
HTR4	1.38425
EMB	-0.69
TRAF6	0.91725
LMNB1	-4.307
FAM19A5	-1.54725
SHE	2.79275
PIK3C2B	0.836
C15orf15	-0.1197
USP15	-0.0432
TCEAL2	2.454
C5orf39	-0.493333333333333
PTGER2	-0.25425
SLC31A1	-0.3014375
IFT172	0.552
ADAM29	0.67125
GFOD1	1.2645
ST7L	0.314166666666667
C15orf26	-2.5995
PKN3	-1.14425
CNTD1	3.46883333333333
COMMD1	0.20125
NTRK2	4.60441666666667
FOXN3	1.00025
MFGE8	0.8562
PFKFB2	0.415166666666667
TAS2R4	-0.936
ENTHD1	0.53
PRMT5	-0.929
MGC16384	-1.557
LOC442229	-1.1705
TSKU	1.392625
KRTCAP3	2.062
PDLIM1	1.3988
KCNS2	0.134666666666667
RNF126	-0.614166666666667
CEP63	-0.053125
CLIC4	0.17075
hCG_1990170	2.14375
ACR	0.8175
KLK7	4.6565
ALOX5AP	3.2605
RIPK3	3.5645
TAS2R9	0.28
C19orf18	2.056
BIRC6	0.189428571428571
ZNF16	0.7245
RFT1	-0.579
SLC8A2	-0.537
TACC1	0.976
ITGAD	1.74075
SAMHD1	1.673
SH3PXD2B	1.9086
EPC2	1.18575
C20orf85	0.016875
ATP13A2	0.474166666666667
KRT4	0.0205
CAPNS1	0.49975
MDM2	-0.0924166666666667
PCDH20	3.8595
KCNK9	0.703
OR2C1	-0.527
KLHDC3	-0.624833333333333
IPPK	0.684
EFHD2	-0.961875
GALR3	-0.138
NBEA	1.1885
ABCA6	5.3881
CLDN3	0.726666666666667
AKT2	-0.745857142857143
EGFR	0.7385
RBM16	0.513
ZDHHC3	0.2214
SLC25A4	0.0741666666666667
CYB5B	-0.681333333333333
CPXM1	1.27675
NDRG1	-0.644384615384615
FLJ43826	0.463
OR5L2	0.198
FARP2	0.1202
MRPL46	-0.73675
LDHAL6B	0.295166666666667
MAPKAPK3	-0.5025
NCAM2	-0.7195
PRKD2	-0.00133333333333333
ZFP36L1	1.5328
CYSLTR1	-0.33175
OR4C3	1.527
HIST1H2AJ	0.8245
CCNB2	-3.33622222222222
ZNF10	0.260875
TMEM175	0.1105
FAM134A	0.692333333333333
TIGD4	-1.168
PCNP	0.1035
MGC39715	-0.58125
LQK1	-0.811
CREB1	0.5885
TMPRSS3	1.7985
C4orf32	2.26675
LAT	-1.84341666666667
KCNA3	-0.64
SKIV2L2	-0.7265
ROPN1B	0.62375
tcag7.23	0.04
CDT1	-4.2535
ZHX2	1.12325
CD28	-2.56875
ZNF624	0.45125
SEPT2	0.415166666666667
SOHLH2	-1.090875
MCOLN3	-1.37371428571429
UNQ1945	0.2745
MASP2	-1.9525
ZNRF3	-0.3617
GPATCH3	-0.4655
AGL	2.85975
QRICH2	-1.7065
PSD4	0.904166666666667
CCNB1IP1	-1.22925
ENPP7	0.997
OBFC1	0.428
KCNG3	-3.08075
C14orf79	0.288333333333333
ENPEP	2.48666666666667
SCT	0.404
SKI	0.09375
SEC61G	-1.0205
CAPN11	3.0675
ATXN7L3	-0.34375
DBNDD1	-0.367
FAIM	0.432
ANKRD36	-0.985
GABRP	4.26316666666667
TACSTD2	3.52616666666667
EIF3J	-0.58725
PPP2R2A	-0.1095
TEKT4	0.385166666666667
PVALB	-3.7095
F10	-1.402
FAM134C	0.6936
COMP	4.37025
EFCBP1	-1.0931875
SCLT1	0.07225
TAL1	-0.6464
ACSL1	1.20225
ABCC5	-0.970166666666667
ABL1	-0.532277777777778
RBBP7	-0.294083333333333
PTPRG	0.655125
NCOR1	0.2097
SPINK4	-2.326
TXNRD1	-1.9982
TNRC15	-0.134125
C9orf138	1.150625
UBE2H	0.526
BRDT	-0.3884
C8orf31	-0.314
CCNE2	-2.49781818181818
SLC6A8	-2.338875
CALCR	-0.717
PPP1CB	1.096
ABHD8	0.09175
ARF5	0.0554
SLC24A4	1.581
CCT3	-0.97
ZNF121	0.095125
SLC3A2	-1.0744
OR13A1	0.2205
SLC5A10	-0.407
RAD50	-0.29475
IER5	0.242375
MTHFD1L	-2.57425
MBTPS2	2.24725
MVK	-1.018375
NCL	-1.0407
PSMD10	0.05975
MOBP	-0.631
FLJ32894	2.874
HRH1	-0.626333333333333
C5orf30	0.2105
NUDT16L1	0.2792
RASGRP3	3.049
PRKRIP1	-0.6282
CCDC75	-0.65775
LOC253970	-2.28633333333333
KIAA1239	1.99175
MED21	-0.45625
SYT11	0.286583333333333
NTSR2	-0.857
EGFL11	1.052
CXorf59	null
OR2A25	0.343
SPTBN2	-0.7185
LRMP	-0.524833333333333
RNF111	0.26575
PTH	0.0655000000000001
LOC619208	1.05483333333333
KIAA0895	1.27175
RANBP5	-0.858875
P2RY10	0.827666666666667
NME5	4.271
DDX21	-0.77725
LRSAM1	-0.2075
HDAC11	1.2605
VMO1	1.14225
NOLA2	-0.6615
ADAR	-0.106666666666667
MTO1	-0.674833333333333
SF4	-0.11
P2RX1	-0.100333333333333
HBM	-0.027
EN2	0.2545
C14orf172	-0.5745
TM9SF2	0.8194
INHBE	-0.883166666666667
TCTE3	-0.287333333333333
TOX2	-2.52725
CTAGE3	0.317625
HBB	4.1495
MED15	-0.677666666666667
CASR	-0.694333333333333
C6orf66	-0.995
MTPN	-0.87025
UNC50	0.20575
C21orf33	-0.08725
IRF2	1.280875
PGR	2.77933333333333
GPR84	1.18775
CROCCL1	-1.84225
SRPX	0.698
BRE	0.212333333333333
FGF10	2.6305
SDC3	0.945166666666667
ZRSR1	0.531
DKFZP434P211	-0.801125
SOX6	-0.8045
RPUSD2	-0.599
C14orf173	-0.37775
MAPK11	-0.1075
TBC1D22A	0.409
FAM123A	-0.697
COL4A6	0.0881666666666666
TOMM70A	-0.04825
NAB1	0.058125
MGC16385	-0.420375
TSPAN18	-1.31366666666667
MED31	-0.000750000000000002
PLG	-0.7195
CAPSL	4.2645
ZNF532	1.2163
ASB14	-0.3265
CA8	2.1145
NUDT16P	2.11266666666667
SLFN11	-0.4325
LRRIQ2	-0.705375
NOL7	-0.594833333333333
BRMS1L	-0.038
JARID1A	-0.147333333333333
PANK2	-0.399
ICAM3	-0.81875
MDS1	-0.84025
TAF8	-0.94025
RNF139	0.89625
ZNF594	0.3275
ADAM8	0.04425
SFTPC	-0.723571428571429
MAN2B2	1.363125
RGS12	0.291
EIF1AY	-4.68016666666667
LRRIQ1	0.506833333333333
GPR150	0.105
CCDC21	-1.60566666666667
PRRG3	1.174
SAA4	-2.31575
RAPGEF5	0.59825
ZCCHC2	-0.0424166666666667
MGC39372	1.421
PPP4R2	0.0871666666666667
CDCA2	-3.28383333333333
OR4D5	-0.2795
PTGFRN	0.8028
SIGLEC5	1.29366666666667
C19orf61	-0.756833333333333
NMUR2	-0.07
KIAA1586	-0.462333333333333
DAGLA	1.00816666666667
CHCHD6	-0.3415
GPR32	0.733
NEUROD6	-0.028
SLC2A4RG	-0.185125
CA5B	0.79975
FBXL3	2.05875
MPHOSPH9	-2.11
HMG2L1	0.22525
HCN4	-0.161
CEACAM19	0.388
SH2D4B	0.168
HFE2	-1.6445
TGM4	0.4234
LYPD2	-0.3635
TBC1D15	0.1065
MRPS21	-0.8667
NONO	-1.1225
CLEC5A	1.61725
ITCH	-0.2128
MGAT3	-0.429166666666667
MBP	-0.208
RPP25	-1.80425
SOSTDC1	2.13125
HRC	-0.93375
TRIM48	-1.0295
TMEM133	1.0535
ECEL1P2	-1.52725
HOXC11	-0.271
DOK5	-0.1365
HELZ	0.2765
LOC348180	-1.29025
MGC33894	0.30175
ADRB3	-0.046
DMD	0.9455
PTRH2	-0.863
MPEG1	3.60416666666667
NDUFA12	-0.498
KRTAP2-4	-0.519818181818182
STAMBPL1	-1.43833333333333
ADCY2	0.7194
UNQ6125	1.5505
KLHL20	-0.8845
SRM	-1.376
OTC	1.2765
TMIE	0.6165
SNX8	-1.03425
LIPK	0.7725
CHURC1	0.605
KLC2	0.157833333333333
HDAC1	-0.361333333333333
FAM128A	-0.333166666666667
FNDC3B	-0.1904
MTCP1	-0.172166666666667
WFDC10B	-0.3142
PCDHGB3	0.513
ATRNL1	-1.2785
CAV2	1.694375
MED26	-0.0595
DUS1L	-0.45175
CHRM3	-1.562875
NEK9	0.723
WARS2	-0.221
TBX22	0.152
TOMM40	-1.26425
RP6-213H19.1	-1.18883333333333
TUBGCP5	-0.55575
IGSF6	5.17325
TPPP	1.30033333333333
UNQ6190	0.1165
GSTM5	1.175375
BTD	1.3425
PDCD1LG2	0.211166666666667
SNRPB2	-0.515166666666667
ERICH1	0.079375
APOA4	-1.875375
HOXA11	-1.64366666666667
NARG1	-0.712625
MKX	-1.4465
RAB28	-0.101785714285714
PKP3	0.131
SH3GL2	-3.48225
CTSO	4.0665
RPN2	-0.3839375
IL28RA	0.324666666666667
SFMBT1	0.60675
WDR57	-0.746375
FER1L3	1.298
HSF5	0.4852
TTC9B	-0.22975
C4BPA	-0.868166666666667
ALB	-5.42835714285714
SORBS3	0.281125
UPF2	0.0295
JPH1	0.1355
AGBL2	0.23
DOPEY1	1.7785
TERF1	0.203916666666667
KIF22	-1.36
NINJ1	1.1615
SEC61A2	-0.746583333333333
HIST1H1D	-2.903
SFXN4	-0.510875
UCP3	0.0451
ZNF703	0.683166666666667
MYL6B	-0.405
TREM1	1.766
OR52E6	0.726
CKMT2	3.10275
HLA-C	1.45475
SLC13A3	-1.34716666666667
TIMP4	0.29475
SLIT2	3.78925
RSF1	1.23505555555556
LONRF1	0.2365
MON1A	-0.829333333333333
CACNG6	-1.856
DPPA4	-5.97216666666667
ZSWIM3	-0.18375
ZNF804A	-0.114833333333333
CCIN	1.433
SLC25A31	-0.159333333333333
KCNMB4	0.35075
RABL5	0.571875
GALNS	-0.6192
STX6	-0.383375
HIST1H1C	-2.882
CIDEB	0.18925
CASP4	0.52
PDK3	-0.6916
KCNJ11	2.367
TPR	-0.610375
ZSCAN20	-0.4095
MTX2	-0.379
HIST1H2BH	-1.7905
LOC283767	0.83375
LYRM7	-0.748277777777778
BRD3	-0.729333333333333
HIST1H2BO	-1.76825
MAGEB10	2.711
SLC45A1	1.282
SERPINA3	2.5483
KIAA0143	1.35225
KCNJ16	5.64066666666667
KRT79	-0.37525
FABP2	-0.928
NUT	-0.42
ZNF57	0.0375
FBXL4	0.28125
CLEC9A	3.005
UGT8	-0.346
BMP2K	0.617
MAPK4	-2.823
SLC25A23	-0.3873
HINT1	-0.6409
KRTAP13-1	-0.017
SFXN5	-0.3709
CHCHD2	-0.529583333333333
FAM3D	3.168
NDP	-1.98775
RHOBTB1	-0.773
SLC4A4	0.3545
RPL38	0.066
HTF9C	-0.833666666666667
AP2A2	0.449
ZBTB46	-0.6385
MAP7D1	0.2085
AOX1	0.498
CYR61	3.07316666666667
DTNA	-0.320714285714286
JRKL	0.3865
TMOD3	0.105
EEA1	-0.1787
ADCK5	-1.198
IL1R1	2.30783333333333
KLK3	0.927142857142857
HRSP12	-0.47575
KTN1	0.1415
LOH11CR2A	1.4876
RELL2	-1.85375
MAB21L1	3.2935
C20orf59	-1.33766666666667
PHKB	0.14675
ADAM2	-2.321
TBC1D8B	1.76633333333333
FAM13A1	0.1619375
LAPTM4B	-1.32833333333333
LCN8	-0.4005
TMEM147	-0.018
SYT4	1.1126
XPO7	-0.8905
C9orf62	-0.04825
GPR75	1.007
TRIM5	1.170875
APOC1	-0.791833333333333
RNASE4	2.25183333333333
PARD6B	-2.214875
ARID1A	0.178833333333333
TPD52L3	-0.106333333333333
RRAGB	1.42683333333333
RCN2	-0.367666666666667
HIST2H2BE	-0.658125
STARD7	-0.35075
SHMT2	-1.803
KIAA1751	-0.0106666666666667
MLYCD	0.086375
LOC162632	-0.7599
UQCRH	-1.50775
RP11-217H1.1	0.1624375
SDHA	-1.1385
NCLN	-0.8529
ZNF17	0.825
RCBTB2	-0.37025
VEGFB	-0.2915
RP4-747L4.3	-0.25625
COLQ	0.4931
MPN2	-0.6356
DRG2	0.055
KLRB1	6.472
ALPK2	-0.2785
DNASE2B	1.334
FLJ23834	0.894
AXUD1	3.09166666666667
SAFB	-0.6647
NSUN4	-0.662
RFX2	0.6565
MAPK8IP1	-0.9275
FANCD2	-1.25035714285714
ANKZF1	-1.80783333333333
C19orf50	-0.4135
DUSP8	1.570625
SENP5	-0.418125
NFKBIL2	-1.295
LBR	-2.035375
IGFL1	0.446
LZTS2	-0.126125
IL2RG	-0.63275
CCDC51	-0.8295
KLF3	0.54975
ANKRD37	0.1635
KCTD14	1.562
FZR1	-0.233
SLC44A4	3.2117
ESPL1	-1.884875
GMPR2	0.0789
TBC1D19	-0.330833333333333
ERGIC1	0.100222222222222
ERBB4	3.24155555555556
TSPAN32	0.356166666666667
MAP4	-0.031375
GPHN	-0.396
SLC6A2	0.902125
HIVEP1	0.67975
DFFB	-1.0249
EIF4EBP2	0.410875
DMRT1	-0.684
HSPB6	0.691
IER2	1.13233333333333
AIFM1	-0.62275
WWC2	0.618916666666667
MRPL4	-0.83625
FLJ21062	1.8445
EPB41L4A	1.93575
SH2D6	-0.4835
TAF4B	-1.2495
GAL3ST3	-0.564
MALT1	-0.719
RTDR1	0.11
ARVCF	0.06325
MEX3B	-0.645166666666667
FBXO16	0.48575
KIF7	-0.75825
C1QC	4.04533333333333
ZNF783	-0.734
ZNF85	0.636
MMP13	2.6415
KIAA0329	0.769375
RTP3	-0.8155
ZBED3	-0.34875
CLGN	-0.41925
SLC25A37	-1.464
hCG_18290	0.19325
OR5AS1	0.6705
SMARCC2	0.289416666666667
FAM109A	0.00716666666666668
CCDC12	0.04475
USF2	0.139
DEPDC7	-3.21525
C20orf24	-1.2565
JMJD3	0.792
DSP	1.60042857142857
SLIC1	0.632125
FAM20A	2.11125
IRF2BP2	0.457375
ZNF230	0.245
MSN	-0.397714285714286
SLC9A5	-2.3325
EPDR1	-1.0081
MUSK	0.00949999999999995
ZNF434	0.162
SMARCD1	-0.745333333333333
ZFP106	0.55225
ZNF347	0.7482
GTF2E1	0.03275
RY1	0.00733333333333333
