Hybridization REF	TCGA-A8-A06Q-01A-11R-A034-07
HIGD1B	0.8
USP6NL	-0.037375
ABCD4	-0.668
DIMT1L	-0.279416666666667
TEK	-0.094875
SLC25A46	-0.71425
LARP7	-1.9707
CD160	-0.131666666666667
MT1JP	-0.906166666666667
PHF20	0.21475
CPNE4	0.7305
GTPBP1	-0.480571428571429
RAB33B	0.49
ALDOC	-1.671625
ZNF212	0.41625
NUDT1	-1.67416666666667
RFPL2	-0.26825
ZNF83	-0.0318333333333333
GDPD5	-0.606875
PDCD4	0.951
CEP350	-0.0615
OR10A2	0.209
CST7	-0.8015
CIAO1	-0.89975
SELL	-0.031875
OR8J3	0.449
LTBP4	-0.353333333333333
SIRT6	0.357
CCL19	3.08475
PPIL1	-0.6425
GBP7	0.24
STK17A	-0.9996
ABR	0.4565
OR9G1	0.276
FOXE1	-0.325
CNGA3	0.1445
GML	0.184
CD38	-2.7355
ZDHHC6	-0.587333333333333
NEFH	-3.3435
CTDSP2	0.0186666666666667
PGBD5	-1.42216666666667
CCNY	0.552357142857143
RMND5B	0.248833333333333
ZNF257	0.065
FLJ22167	0.101375
EXOSC7	-1.16616666666667
ROR2	-0.952375
MAOA	-2.22575
TNNT3	0.0133333333333333
GYPC	-1.97675
C7orf33	0.384
PLIN	0.272
LOC90826	-0.3225
RNF4	0.4011
F8A1	-0.367666666666667
PLEKHG4	-0.87025
GRB2	-0.22605
HIST1H2AD	-0.90875
DUS3L	-0.458333333333333
EIF1	-0.648166666666667
RP5-1077B9.4	-0.600833333333333
FPGT	1.46325
GDF10	-0.673833333333333
COQ9	0.04275
GCC2	-0.407071428571429
RARRES3	2.468875
PLXNA1	-0.4605
KIAA0100	-0.4573
PMF1	0.256
FNDC1	3.5745
HS2ST1	-0.0122500000000001
CRELD2	1.03925
C8G	-1.2565
CD82	1.408
LIM2	-1.0555
UNQ6490	0.0525
MMP16	-0.64275
DRD3	-0.01225
C5orf26	-0.59275
C11orf73	-0.76325
PTP4A2	0.342875
OR4M2	0.451
HPCA	-0.342833333333333
SEC14L1	-0.857
CHFR	0.141375
EMILIN1	-0.11375
NDUFS4	-0.08
COL18A1	-0.60225
PDZD3	0.0721
C9orf16	-0.460166666666667
ERBB2IP	-0.126166666666667
EMX2	0.81125
FUS	-0.66075
TF	-3.6058
CLCN4	-0.291333333333333
CXorf56	0.24175
C11orf72	0.40075
ELAC2	0.22775
NPR1	-1.09425
ASS1	-3.13733333333333
USP42	-0.70525
POLR2J	-0.2415
SEC23IP	1.1855
UQCRC1	-0.26025
LOC729603	0.20075
C1orf71	-0.146375
POLG	-0.793
ADAM23	-3.41225
TFR2	-0.4415
RICTOR	-1.212
MGC39606	1.53025
C19orf55	-0.1365
SNAPC1	-0.929833333333333
GNA11	0.919375
CCDC52	-0.0405
FSIP1	2.6145
UPF3A	-0.484875
IGSF11	-2.00633333333333
LAGE3	0.84175
CHST6	-3.4285
UNC13B	0.006125
TTLL4	-0.093125
ZNF687	0.0245
SDC2	-1.9646
COX7A2	-0.62
LAMB4	0.28875
FAM24A	0.5275
LRRTM3	-0.1965
GPHB5	0.19975
OR4C13	0.345
EIF3EIP	-0.0342142857142857
HABP4	-1.0565
TMEM125	4.1905
CNTN2	-0.11325
ASNSD1	-1.019
FUT4	-0.951
ACF	-3.1215
LOC158381	0.5065
CDH8	-0.403
AGPS	-2.10683333333333
C4orf18	3.622875
PECI	0.0864166666666667
UNG	-0.63475
GSTP1	-2.493875
DCUN1D5	-2.088
DKFZP564J0863	-1.169
SLC9A3R1	1.607125
BCDO2	-0.986
CHMP7	-1.16525
REM2	0.7545
DNHD1	-0.08275
FKBP4	-0.202625
ZNF350	1.8035
MGC11102	0.398
BST1	2.40475
KISS1R	1.0965
NCR2	0.016
DEFB125	0.1525
UBE2W	0.881
KRT15	-0.58425
C10orf99	0.3995
SCN11A	0.235375
GFI1	-2.40975
RDHE2	3.5415
FHL1	-2.27433333333333
OSGEP	-0.761666666666667
GATA1	-2.899
SMC6	-0.868
TTTY14	-1.267
LPIN3	-0.16875
RPL4	0.3631
RBPMS	-0.2889
PRPF3	-0.270166666666667
EMR1	-2.2185
SPATA19	-0.00275
XCR1	1.004
IRX3	2.0163
RBM6	-1.18625
KLF4	-0.2365
UNC5CL	0.03875
SEBOX	-0.123
BTK	-1.334
KRCC1	1.31475
C6orf27	0.1795
SYTL5	0.0355
PRND	0.23075
LOC653319	-0.842
PIGL	-0.898375
HUS1	-0.329
SFRS6	0.91725
C17orf77	1.2725
UIMC1	-0.220333333333333
FXYD2	-1.6267
LOC283152	0.5675
ZNF667	-0.9805
ZCCHC12	-0.24475
TFEC	1.292
ATP7B	0.402
POLD2	0.125166666666667
RG9MTD1	0.79425
ACOT2	0.6405
HIST1H4I	-1.05825
PPARGC1A	-2.7256
ETFA	-0.5637
POLRMT	-0.073
ZNF146	0.15175
MIA2	-0.9245
KLHL6	-0.916
HOXB5	2.936875
NENF	0.911
CUGBP1	-0.199
PRSS22	0.163666666666667
CASC4	1.052
CUL4B	-0.2142
CENPJ	-1.1146
PITX1	1.9545
FLJ31033	0.539166666666667
CELSR3	-1.81716666666667
ZNF568	0.61625
ITSN1	-0.102333333333333
EHBP1L1	-1.10933333333333
C19orf2	-0.64675
DCTN1	0.50425
LIN28B	-2.46083333333333
TNKS2	-0.7835
C1QBP	-0.063875
CADPS2	0.569
SRMS	1.7125
GJA9	0.109666666666667
MGC24975	-0.368833333333333
TRIM45	-0.382666666666667
TSP50	0.17675
TCP1	-0.027
TMED7	0.5258
CMA1	0.159
CENPL	-0.08
PTCRA	0.1875
FST	-5.17525
VWCE	-3.80075
PAWR	-0.77125
ABCC12	0.858666666666667
LDLR	0.0714
ASTN2	-0.62
LOC441212	-1.8905
GPATCH8	-0.54375
TANC2	-1.34358333333333
KIF4A	-1.05375
C18orf18	-3.034
PGM1	-0.7495
KIAA0258	0.93425
CPD	0.421625
SNCAIP	-1.373
DCT	-3.8235
HLA-DOA	1.54568181818182
OR11L1	0.5325
UPK1B	-0.0721666666666667
DNAJB4	-1.075
UGT1A8	0.013
HIST1H4L	-1.754
PECR	-1.325
HSPA2	-0.999
WFIKKN1	-0.888
SERP1	1.74775
SYDE2	0.71725
TACR2	0.499
NUP85	-0.88925
CD177	-0.581166666666667
LGR5	-1.27383333333333
PIGG	0.794666666666667
PTHR1	-2.35333333333333
RAB5A	-0.7535
FLJ13224	0.363
USP9Y	-0.4155
C7orf53	0.264
LRP1B	-0.79575
XAF1	0.6107
ABCG8	-0.7555
ANKDD1A	-0.7555
DAND5	-2.538
SPAG6	0.242833333333333
LINCR	-1.22375
ZDHHC22	-1.411875
CCDC60	0.8555
THOC7	-1.702
TCTA	1.3
OR8K3	0.164
NY-REN-7	-0.20125
B2M	0.2245
C6orf141	-0.915875
LPPR4	0.10825
SQLE	-0.28825
SEPHS1	0.13925
BTBD14B	0.508785714285714
PLRG1	-0.855
SPG7	-0.3131875
ZNF614	0.0765
PARD6G	0.191
INPP5B	-1.0717
GRPEL2	0.1155
PPID	-1.1924
TRIM56	0.06875
UBE2J1	-0.381375
IL20RA	5.719
LOC387856	0.0395
C1orf107	0.679416666666667
UTS2R	0.77925
C19orf22	0.16025
SAFB2	0.219125
KIAA0652	0.497375
KLRG1	-0.673666666666667
MS4A8B	0.397833333333333
FRAG1	0.841
KIAA1546	-0.819
E2F4	-1.1511
CLEC4M	0.570166666666667
BTBD14A	-1.8995
KIAA0999	-0.181
GYPA	-2.505
TAC1	0.1138
TRAIP	-1.07216666666667
KIAA0232	1.1625
ERCC8	-0.53475
GPX4	0.6165
KIAA0368	-0.494875
GPR157	0.0108333333333333
CTAGE4	1.5695
C9orf30	-1.848
OR52A1	-0.106
HSP90B3P	-0.119
ALG9	-1.0591
BTBD10	0.314
SDK2	-0.07425
BAIAP3	1.34
RABGGTB	-0.69225
ANKRD40	-1.24566666666667
KRT74	0.1885
CALCOCO2	0.427357142857143
SNCA	-3.72025
TMSL8	-2.60325
C2orf53	0.056
ESRRB	-0.154
ARHGAP26	-0.80525
TDRD9	-2.54325
HRAS	0.0905
KLRC4	-1.9905
JAGN1	0.3845
BSDC1	0.51175
RNF43	-0.7834
NDUFAF1	1.09525
PHF12	0.3735
OR1L3	0.0485
FOLR2	1.01158333333333
LYZL6	-0.0185
tcag7.1260	-1.8895
WSB1	-1.57166666666667
PROS1	-2.1737
OSTN	0.0245
PSMB8	0.29175
SOCS4	-0.02575
DDIT4L	1.34325
MAS1	0.117
MGC34796	1.30825
CSHL1	0.318
TBCCD1	0.256
ZBTB7C	0.253
AP2S1	0.924
P15RS	-0.5578
VAT1	-1.5321
SHANK3	0.325833333333333
TUFM	0.542
THEG	0.26625
KRT34	-1.35175
SGSM3	0.833875
TOMM22	0.1575
SOCS3	-0.978833333333333
CPO	0.7085
POP4	0.5065
BHLHB3	0.76075
MALL	-0.1765
OR1B1	0.3715
PARK2	0.164166666666667
GPR124	-1.121875
LCE1E	0.4785
RUVBL2	-0.3335
CGRRF1	0.7293
ACPL2	1.113
WNT10B	-0.297125
BAIAP2L2	-1.315875
ISCA1	-0.155
C1orf125	0.493125
RPAP1	-0.29825
RAI16	-0.602333333333333
RPL27	-0.950625
NLRP9	0.115
EPN1	0.077
LOC388610	-1.95225
SLC35A1	0.2166
GAL	-3.90625
SLC14A2	0.18075
RDH11	0.120166666666667
FAM138F	-0.0255
AUH	0.07075
FLJ40243	0.02175
C14orf129	0.5375
MBD2	-0.960166666666667
ABHD14B	0.256625
PIGT	0.997125
ALS2CR4	-0.472875
ALAS1	-0.0658
FOXO1	-0.324166666666667
CRLF3	-0.778
C20orf107	0.0795
FARS2	0.97425
CCDC28A	0.56
NPHP3	-0.7885
OR13F1	0.4275
TSEN54	-0.18925
DEFB106B	0.0498
OR8B4	0.8465
STH	2.3455
ZC3H14	-0.08775
CBX2	-0.25
TMEM49	-2.19675
C6orf21	0.217
FLJ20920	0.67725
CRTAP	-0.209857142857143
DDX50	-0.43275
STYXL1	0.65675
BLVRB	-0.712333333333333
LOC147650	-0.632666666666667
MMP24	0.57225
GRID1	0.128333333333333
BANF1	-0.0615
CTAGEP	0.31025
HMBS	-1.7445
SLC25A24	0.609333333333333
C14orf50	-0.75425
MRO	1.04533333333333
SLC25A15	-0.241
FAM84B	1.3354
TDP1	-0.4585
C16orf78	0.165833333333333
C11orf57	-1.002
RFK	-1.011375
ZFYVE9	0.50425
STCH	-1.0951
WIBG	0.5975
LOC283871	0.407333333333333
GBA2	0.4886
NDUFB3	-0.2285
HSD17B13	-0.1625
GRIN3A	0.433
FMNL1	-1.8835
SEPT7	-0.6947
GNLY	1.1115
GRAMD1C	0.708166666666667
ZNF165	-0.0265
USP38	-0.01075
FAM83A	-2.82816666666667
C14orf24	-0.491833333333333
ARMCX3	1.10925
ARHGDIB	0.145666666666667
AK1	-0.1915
KIAA1045	0.1
DNAJB13	-0.0501666666666667
NEU2	0.104
HIST1H4B	-1.38416666666667
FAM20B	0.1758
HES2	-0.173571428571429
FAM73B	-0.3277
LOC388381	-0.02925
INTS7	-0.387
AMPH	-0.169
ZNF775	0.043375
UCKL1	0.924
C10orf97	0.1725
C1orf161	0.26275
ALDH1L1	-1.529
FLJ39378	-0.391
SLC23A1	-0.5135
RBM4B	0.34325
THAP4	0.2245
OGFRL1	1.17575
KIAA0831	0.2785
PPP1R15A	-1.359
C1orf96	0.347285714285714
C12orf11	-2.1465
BMF	0.61525
MAN1A1	-1.826875
KIAA1600	0.139333333333333
NLGN4X	0.019
ALOX12	-0.7945
RB1CC1	0.1807
NEIL2	-0.9106
EIF4E	-0.313454545454545
ABHD5	-0.3815
EXOC4	-0.1685
CIP29	-0.0623333333333333
BATF2	-0.019
SLC29A4	-0.426625
HTR4	0.2165
EMB	-2.7415
TRAF6	0.07
LMNB1	-0.8975
FAM19A5	0.88725
SHE	1.59
PIK3C2B	0.8965
C15orf15	-0.503
USP15	-0.5158
TCEAL2	-0.42875
C5orf39	-2.46166666666667
PTGER2	-2.26525
SLC31A1	-0.5174375
IFT172	0.91075
ADAM29	-0.0345
GFOD1	-0.24575
ST7L	0.600666666666667
C15orf26	-1.38225
PKN3	-1.53025
CNTD1	1.1935
COMMD1	0.642125
NTRK2	1.4255
FOXN3	-0.667625
MFGE8	-0.543
PFKFB2	2.25116666666667
TAS2R4	-0.098
ENTHD1	-0.0821666666666666
PRMT5	-0.821
MGC16384	-1.014625
LOC442229	2.75975
TSKU	-0.88025
KRTCAP3	3.01975
PDLIM1	-0.9035
KCNS2	0.29925
RNF126	0.0226666666666667
CEP63	0.066875
CLIC4	-2.176625
hCG_1990170	-0.331
ACR	0.0485
KLK7	0.168
ALOX5AP	2.56325
RIPK3	2.6045
TAS2R9	0.2515
C19orf18	0.755
BIRC6	0.219785714285714
ZNF16	1.518
RFT1	-0.95425
SLC8A2	-0.23875
TACC1	0.5375
ITGAD	1.879
SAMHD1	0.2885
SH3PXD2B	0.5732
EPC2	-0.102
C20orf85	4.056375
ATP13A2	0.841833333333333
KRT4	0.2375
CAPNS1	0.2445
MDM2	0.729333333333333
PCDH20	1.144
KCNK9	0.0895
OR2C1	-0.1275
KLHDC3	-0.0576666666666667
IPPK	0.2555
EFHD2	-1.03025
GALR3	0.63075
NBEA	-1.7865
ABCA6	0.6029
CLDN3	1.9795
AKT2	-0.331214285714286
EGFR	-2.0822
RBM16	0.444875
ZDHHC3	-0.3219
SLC25A4	-0.561833333333333
CYB5B	-1.2665
CPXM1	-2.05925
NDRG1	-2.117
FLJ43826	0.21575
OR5L2	0.312333333333333
FARP2	-0.226
MRPL46	0.243
LDHAL6B	0.1125
MAPKAPK3	-0.482
NCAM2	-3.44825
PRKD2	-0.0911666666666667
ZFP36L1	0.4
CYSLTR1	-1.04025
OR4C3	0.16425
HIST1H2AJ	0.421
CCNB2	-1.02144444444444
ZNF10	0.190625
TMEM175	0.518
FAM134A	0.501
TIGD4	-0.0845
PCNP	-0.60075
MGC39715	-0.14325
LQK1	-0.58825
CREB1	-0.3323
TMPRSS3	0.688
C4orf32	0.533875
LAT	-2.106
KCNA3	-0.121
SKIV2L2	-0.508
ROPN1B	-3.43325
tcag7.23	-0.277
CDT1	-2.281625
ZHX2	0.95775
CD28	-3.651
ZNF624	0.68975
SEPT2	-0.47325
SOHLH2	-1.724
MCOLN3	-0.782857142857143
UNQ1945	1.1035
MASP2	-0.227
ZNRF3	-0.0977
GPATCH3	-0.0615
AGL	2.129375
QRICH2	-0.205
PSD4	0.477833333333333
CCNB1IP1	-1.8325
ENPP7	0.08825
OBFC1	0.00574999999999999
KCNG3	-1.7765
C14orf79	1.08708333333333
ENPEP	-0.972833333333333
SCT	-0.0715
SKI	0.424125
SEC61G	-0.393
CAPN11	-0.671
ATXN7L3	-0.15575
DBNDD1	0.684166666666667
FAIM	0.81675
ANKRD36	-1.7635
GABRP	0.232
TACSTD2	2.01966666666667
EIF3J	-0.0845
PPP2R2A	-0.85325
TEKT4	-1.2715
PVALB	-3.6
F10	-2.90933333333333
FAM134C	0.3621
COMP	4.252375
EFCBP1	-3.4086875
SCLT1	-0.794875
TAL1	-1.2347
ACSL1	0.44875
ABCC5	0.808166666666667
ABL1	-0.736833333333333
RBBP7	0.031
PTPRG	-2.3045
NCOR1	-0.1326
SPINK4	-0.440833333333333
TXNRD1	0.2665
TNRC15	0.593875
C9orf138	0.725375
UBE2H	0.500666666666667
BRDT	0.0746666666666667
C8orf31	-0.16375
CCNE2	-1.41727272727273
SLC6A8	-1.162625
CALCR	-3.4105
PPP1CB	1.06891666666667
ABHD8	0.2465
ARF5	0.4527
SLC24A4	0.12575
CCT3	0.23125
ZNF121	0.431125
SLC3A2	-1.234
OR13A1	0.189
SLC5A10	0.09225
RAD50	0.6375
IER5	-0.485625
MTHFD1L	-2.500375
MBTPS2	0.558
MVK	0.199
NCL	-0.3723
PSMD10	0.11525
MOBP	0.251625
FLJ32894	-0.2255
HRH1	-0.886833333333333
C5orf30	-0.1305
NUDT16L1	1.5049
RASGRP3	1.6445
PRKRIP1	-0.0247
CCDC75	0.04425
LOC253970	0.263
KIAA1239	0.08025
MED21	-0.34775
SYT11	-0.811666666666667
NTSR2	-0.189
EGFL11	0.488
CXorf59	0.125
OR2A25	0.375
SPTBN2	0.53575
LRMP	-1.73466666666667
RNF111	0.21775
PTH	-0.276
LOC619208	0.798
KIAA0895	1.2345
RANBP5	-0.96375
P2RY10	0.270833333333333
NME5	4.52216666666667
DDX21	-0.7995
LRSAM1	0.0095
HDAC11	1.5435
VMO1	1.1425
NOLA2	0.637166666666667
ADAR	0.491333333333333
MTO1	-0.821666666666667
SF4	0.210333333333333
P2RX1	-0.3425
HBM	0.327
EN2	1.191
C14orf172	2.40075
TM9SF2	1.2128
INHBE	-0.940666666666667
TCTE3	0.424083333333333
TOX2	-2.7945
CTAGE3	0.045
HBB	2.2799
MED15	-0.908833333333333
CASR	0.16275
C6orf66	-1.199
MTPN	-0.225
UNC50	-0.59225
C21orf33	0.573125
IRF2	-0.083375
PGR	1.8505
GPR84	0.2775
CROCCL1	-0.8675
SRPX	-3.827
BRE	0.693333333333333
FGF10	0.22
SDC3	-0.3725
ZRSR1	0.600833333333333
DKFZP434P211	-0.513875
SOX6	-0.5475
RPUSD2	0.10825
C14orf173	0.10075
MAPK11	0.0633333333333333
TBC1D22A	0.296
FAM123A	-0.187
COL4A6	-3.21783333333333
TOMM70A	0.315
NAB1	-1.293
MGC16385	0.075125
TSPAN18	-1.17316666666667
MED31	-0.259
PLG	-0.14975
CAPSL	1.5885
ZNF532	0.0758
ASB14	-0.02
CA8	1.1
NUDT16P	1.28916666666667
SLFN11	-2.82
LRRIQ2	0.399
NOL7	-0.662833333333333
BRMS1L	-0.940875
JARID1A	-0.318833333333333
PANK2	-1.69575
ICAM3	0.33375
MDS1	-0.51325
TAF8	-0.50675
RNF139	0.40675
ZNF594	-0.989833333333333
ADAM8	0.35725
SFTPC	0.00799999999999999
MAN2B2	2.04775
RGS12	0.691125
EIF1AY	-3.99891666666667
LRRIQ1	3.686
GPR150	0.937
CCDC21	-0.586833333333333
PRRG3	0.15175
SAA4	-3.5315
RAPGEF5	0.870875
ZCCHC2	0.044
MGC39372	-0.325
PPP4R2	-0.754166666666667
CDCA2	-1.54666666666667
OR4D5	0.323833333333333
PTGFRN	0.9885
SIGLEC5	0.699166666666667
C19orf61	0.135666666666667
NMUR2	0.0875
KIAA1586	-0.635666666666667
DAGLA	0.856333333333333
CHCHD6	0.4545
GPR32	0.153
NEUROD6	0.229
SLC2A4RG	1.521375
CA5B	0.00925000000000001
FBXL3	0.15975
MPHOSPH9	-0.9455
HMG2L1	0.2525
HCN4	0.646
CEACAM19	-0.5985
SH2D4B	0.1515
HFE2	-0.1685
TGM4	-0.132833333333333
LYPD2	-0.1475
TBC1D15	1.205
MRPS21	-0.0376
NONO	-0.4865
CLEC5A	0.23775
ITCH	-0.2066
MGAT3	-1.58333333333333
MBP	-0.912125
RPP25	-0.8055
SOSTDC1	-2.07775
HRC	-1.31525
TRIM48	0.034
TMEM133	-0.421
ECEL1P2	-1.0695
HOXC11	0.4455
DOK5	-1.8395
HELZ	0.105
LOC348180	-0.7665
MGC33894	0.34225
ADRB3	0.2665
DMD	-0.543666666666667
PTRH2	-1.242
MPEG1	1.63833333333333
NDUFA12	1.61216666666667
KRTAP2-4	0.173416666666667
STAMBPL1	-1.23216666666667
ADCY2	-0.826
UNQ6125	0.3385
KLHL20	0.232833333333333
SRM	-0.65825
OTC	-0.24
TMIE	0.0751666666666667
SNX8	-1.06275
LIPK	0.075
CHURC1	0.21725
KLC2	0.4305
HDAC1	-0.597
FAM128A	0.243333333333333
FNDC3B	-0.1682
MTCP1	-0.113166666666667
WFDC10B	-0.0296
PCDHGB3	0.438
ATRNL1	-1.5936
CAV2	-1.651625
MED26	0.314333333333333
DUS1L	1.92425
CHRM3	-1.755
NEK9	-0.14925
WARS2	0.90225
TBX22	-0.709
TOMM40	-0.60875
RP6-213H19.1	-1.1565
TUBGCP5	0.31525
IGSF6	3.96225
TPPP	0.252833333333333
UNQ6190	0.091
GSTM5	0.094125
BTD	0.869666666666667
PDCD1LG2	-0.151
SNRPB2	-1.07983333333333
ERICH1	-3.315125
APOA4	-1.320125
HOXA11	-1.69975
NARG1	-0.939375
MKX	-0.373
RAB28	-0.338857142857143
PKP3	1.503
SH3GL2	-1.009
CTSO	1.0585
RPN2	0.5303125
IL28RA	-0.107
SFMBT1	-0.66275
WDR57	-0.402375
FER1L3	0.0531666666666667
HSF5	0.0481666666666667
TTC9B	0.5115
C4BPA	-2.767
ALB	-3.54614285714286
SORBS3	-0.870625
UPF2	0.142
JPH1	0.149
AGBL2	-2.063
DOPEY1	0.2135
TERF1	0.181666666666667
KIF22	0.253
NINJ1	1.50075
SEC61A2	-0.243583333333333
HIST1H1D	-1.32183333333333
SFXN4	-0.394875
UCP3	0.4727
ZNF703	1.08683333333333
MYL6B	-0.171
TREM1	1.077
OR52E6	0.0705
CKMT2	3.70575
HLA-C	0.646
SLC13A3	-1.93533333333333
TIMP4	-3.4445
SLIT2	-0.1795
RSF1	-0.0582222222222222
LONRF1	-1.75785714285714
MON1A	-0.110666666666667
CACNG6	-1.3905
DPPA4	-5.085
ZSWIM3	0.897
ZNF804A	-0.042
CCIN	0.5305
SLC25A31	-0.06875
KCNMB4	-1.465
RABL5	0.787875
GALNS	-0.3148
STX6	0.995125
HIST1H1C	-2.77516666666667
CIDEB	-0.449
CASP4	-0.995833333333333
PDK3	-0.1859
KCNJ11	1.044
TPR	-0.3455
ZSCAN20	-0.33
MTX2	-0.4645
HIST1H2BH	-0.02375
LOC283767	0.455
LYRM7	-0.435444444444444
BRD3	-0.6725
HIST1H2BO	-0.27875
MAGEB10	0.46
SLC45A1	0.663
SERPINA3	3.7826
KIAA0143	0.60775
KCNJ16	0.109166666666667
KRT79	0.082
FABP2	0.1265
NUT	-0.2165
ZNF57	0.93375
FBXL4	-0.2005
CLEC9A	0.1745
UGT8	-0.982833333333333
BMP2K	-0.59525
MAPK4	-3.297
SLC25A23	0.0126
HINT1	0.138
KRTAP13-1	-0.0415
SFXN5	0.8441
CHCHD2	0.879666666666667
FAM3D	1.1545
NDP	-3.159625
RHOBTB1	-1.18516666666667
SLC4A4	-0.70325
RPL38	-0.736
HTF9C	0.0518333333333333
AP2A2	0.52175
ZBTB46	-0.4455
MAP7D1	-0.857
AOX1	-1.87733333333333
CYR61	-1.32283333333333
DTNA	-0.0935
JRKL	-1.58175
TMOD3	-0.48325
EEA1	0.6021
ADCK5	-0.13575
IL1R1	-0.6475
KLK3	0.598
HRSP12	-0.94975
KTN1	0.07725
LOH11CR2A	-0.9117
RELL2	-0.751
MAB21L1	0.275
C20orf59	-0.72
PHKB	-0.4995
ADAM2	-1.29416666666667
TBC1D8B	1.296
FAM13A1	-1.2891875
LAPTM4B	-1.83375
LCN8	0.058
TMEM147	0.353
SYT4	-0.0741666666666667
XPO7	-1.628
C9orf62	1.2155
GPR75	0.299
TRIM5	-0.28975
APOC1	0.269833333333333
RNASE4	1.63033333333333
PARD6B	-2.293
ARID1A	0.237166666666667
TPD52L3	0.1426
RRAGB	0.820666666666667
RCN2	-0.3155
HIST2H2BE	-0.7973125
STARD7	-0.092
SHMT2	-0.6635
KIAA1751	-0.00633333333333333
MLYCD	0.807375
LOC162632	-0.606
UQCRH	-0.43425
RP11-217H1.1	1.0403125
SDHA	0.629666666666667
NCLN	0.00840000000000003
ZNF17	0.0703333333333333
RCBTB2	-1.1095
VEGFB	-1.1216
RP4-747L4.3	0.67375
COLQ	0.2525
MPN2	-0.158333333333333
DRG2	0.366
KLRB1	1.81275
ALPK2	-2.9745
DNASE2B	0.68775
FLJ23834	-0.437
AXUD1	0.442333333333333
SAFB	-0.0887
NSUN4	0.23925
RFX2	-0.561666666666667
MAPK8IP1	-0.0985
FANCD2	0.162214285714286
ANKZF1	-1.1015
C19orf50	-0.614875
DUSP8	1.935625
SENP5	-0.23175
NFKBIL2	0.52375
LBR	-1.2625
IGFL1	0.0265
LZTS2	-0.391
IL2RG	-1.019875
CCDC51	-0.2045
KLF3	0.590375
ANKRD37	-0.89025
KCTD14	-1.48866666666667
FZR1	0.70375
SLC44A4	3.9062
ESPL1	-0.415375
GMPR2	-0.6223
TBC1D19	0.170333333333333
ERGIC1	1.76562962962963
ERBB4	1.5227
TSPAN32	-0.175
MAP4	-0.9785
GPHN	-0.68475
SLC6A2	0.119125
HIVEP1	-0.3515
DFFB	0.2157
EIF4EBP2	1.91825
DMRT1	0.52725
HSPB6	-0.203
IER2	-0.042
AIFM1	0.798
WWC2	-0.5495
MRPL4	0.073
FLJ21062	0.659333333333333
EPB41L4A	1.26525
SH2D6	0.313
TAF4B	-0.591
GAL3ST3	0.1605
MALT1	-1.414
RTDR1	-0.38175
ARVCF	1.06975
MEX3B	-2.068
FBXO16	2.1535
KIF7	-1.715
C1QC	3.34116666666667
ZNF783	0.565
ZNF85	0.44775
MMP13	-0.025
KIAA0329	2.527625
RTP3	-0.305
ZBED3	0.438
CLGN	-0.2155
SLC25A37	-1.83625
hCG_18290	0.15125
OR5AS1	-0.04
SMARCC2	0.324916666666667
FAM109A	0.415666666666667
CCDC12	-1.01675
USF2	0.1855
DEPDC7	-2.51575
C20orf24	0.0213333333333333
JMJD3	0.2515
DSP	0.356642857142857
SLIC1	-0.0155
FAM20A	-0.52025
IRF2BP2	0.10675
ZNF230	-0.222
MSN	-1.72328571428571
SLC9A5	-1.2025
EPDR1	-1.7709
MUSK	0.3215
ZNF434	0.2885
SMARCD1	-0.4715
ZFP106	0.2805
ZNF347	0.6592
