Hybridization REF	TCGA-BH-A0HK-11A-11R-A089-07
RDH11	-0.878333333333333
FAM138F	-0.711
AUH	0.90575
FLJ40243	0.367
C14orf129	0.468
MBD2	-0.527666666666667
ABHD14B	0.42275
PIGT	0.507875
ALS2CR4	0.617
ALAS1	0.047
FOXO1	3.0275
CRLF3	-0.043
C20orf107	-0.045
FARS2	0.7025
CCDC28A	0.64175
NPHP3	0.116
OR13F1	0.0515
TSEN54	-1.05225
DEFB106B	-0.1695
OR8B4	0.2465
STH	-0.26575
ZC3H14	-0.014875
CBX2	0.039
TMEM49	-0.86225
C6orf21	0.2445
FLJ20920	0.58075
CRTAP	0.949785714285714
DDX50	0.1595
STYXL1	-0.51075
BLVRB	-0.2915
LOC147650	0.0958333333333333
MMP24	0.15325
GRID1	2.0625
BANF1	-0.613
CTAGEP	-0.22225
HMBS	-2.2475
SLC25A24	0.438
C14orf50	1.45675
MRO	0.9455
SLC25A15	-1.621
FAM84B	1.0468
TDP1	-1.415
C16orf78	-0.534
C11orf57	-0.399
RFK	-0.062
ZFYVE9	-0.61275
STCH	-0.5187
WIBG	0.07275
LOC283871	-0.919166666666667
GBA2	-0.4023
NDUFB3	-1.0595
HSD17B13	0.596
GRIN3A	1.50033333333333
FMNL1	-0.533333333333333
SEPT7	0.4285
GNLY	3.1435
GRAMD1C	1.799
ZNF165	0.7985
USP38	0.952
FAM83A	-3.48516666666667
C14orf24	0.862166666666667
ARMCX3	1.3045
ARHGDIB	1.06133333333333
AK1	-0.1035
KIAA1045	1.72175
DNAJB13	-0.530333333333333
NEU2	0.452
HIST1H4B	-2.0885
FAM20B	-0.389
HES2	0.222785714285714
FAM73B	-0.5409
LOC388381	-0.00525
INTS7	-1.04072727272727
AMPH	1.9095
ZNF775	-0.904125
UCKL1	-0.832166666666667
C10orf97	0.567
C1orf161	-0.35525
ALDH1L1	0.93375
FLJ39378	0.083125
SLC23A1	-1.51
RBM4B	0.31575
THAP4	-0.155166666666667
OGFRL1	1.05575
KIAA0831	-0.050625
PPP1R15A	1.67516666666667
C1orf96	-0.532
C12orf11	-1.7825
BMF	-0.44175
MAN1A1	0.336625
KIAA1600	0.758
NLGN4X	2.03275
ALOX12	-0.851
RB1CC1	0.0175
NEIL2	0.7785
EIF4E	0.320181818181818
ABHD5	0.061
EXOC4	0.032
CIP29	-0.670833333333333
BATF2	0.55375
SLC29A4	-0.663
HTR4	0.21925
EMB	-0.12425
TRAF6	0.663
LMNB1	-3.909
FAM19A5	-0.514125
SHE	3.0065
PIK3C2B	1.22975
C15orf15	0.0622
USP15	0.4328
TCEAL2	3.07
C5orf39	-0.634833333333333
PTGER2	0.619
SLC31A1	-0.1855625
IFT172	0.56875
ADAM29	-0.0455
GFOD1	0.851
ST7L	0.912166666666667
C15orf26	-2.434
PKN3	-0.76175
CNTD1	2.79066666666667
COMMD1	0.31075
NTRK2	4.55666666666667
FOXN3	1.403125
MFGE8	1.209
PFKFB2	-0.145666666666667
TAS2R4	-0.00725
ENTHD1	-0.423
PRMT5	-0.5225
MGC16384	-1.57375
LOC442229	-0.90325
TSKU	0.8585
KRTCAP3	2.451
PDLIM1	1.8631
KCNS2	-0.11075
RNF126	-0.378666666666667
CEP63	-0.03725
CLIC4	0.852
hCG_1990170	2.6385
ACR	0.9416
KLK7	4.86325
ALOX5AP	3.235625
RIPK3	3.16925
TAS2R9	0.4205
C19orf18	1.5205
BIRC6	0.191142857142857
ZNF16	0.616
RFT1	-0.69325
SLC8A2	-0.36575
TACC1	1.69325
ITGAD	0.704666666666667
SAMHD1	2.176
SH3PXD2B	1.3241
EPC2	0.84
C20orf85	2.268125
ATP13A2	-0.451333333333333
KRT4	1.1105
CAPNS1	0.216
MDM2	-0.427166666666667
PCDH20	2.75525
KCNK9	0.298
OR2C1	0.1215
KLHDC3	-0.7865
IPPK	0.4435
EFHD2	-0.21775
GALR3	0.1095
NBEA	0.814833333333333
ABCA6	4.8702
CLDN3	1.77316666666667
AKT2	-0.657785714285714
EGFR	0.8962
RBM16	0.684
ZDHHC3	0.3756
SLC25A4	0.4155
CYB5B	0.0641666666666667
CPXM1	-0.30575
NDRG1	-0.345076923076923
FLJ43826	0.0535
OR5L2	0.194
FARP2	0.24
MRPL46	-0.62075
LDHAL6B	0.0333333333333333
MAPKAPK3	-0.512666666666667
NCAM2	-0.86825
PRKD2	0.226
ZFP36L1	1.6556
CYSLTR1	0.27425
OR4C3	0.1155
HIST1H2AJ	0.5855
CCNB2	-4.54666666666667
ZNF10	0.264875
TMEM175	0.2855
FAM134A	0.678666666666667
TIGD4	0.416
PCNP	0.3215
MGC39715	0.4475
LQK1	-1.55925
CREB1	1.2373
TMPRSS3	0.564
C4orf32	1.850875
LAT	-2.10958333333333
KCNA3	-0.6875
SKIV2L2	-0.60075
ROPN1B	2.616
tcag7.23	0.025
CDT1	-4.177375
ZHX2	1.2355
CD28	-3.15925
ZNF624	0.11
SEPT2	0.22525
SOHLH2	-2.07442857142857
MCOLN3	0.5465
UNQ1945	-0.022
MASP2	-1.0805
ZNRF3	0.1595
GPATCH3	-0.36725
AGL	0.694375
QRICH2	-0.352
PSD4	0.661666666666667
CCNB1IP1	-0.95075
ENPP7	0.42075
OBFC1	0.22725
KCNG3	-2.25175
C14orf79	0.782833333333333
ENPEP	2.00116666666667
SCT	-0.147
SKI	0.874875
SEC61G	-2.074
CAPN11	1.9645
ATXN7L3	-0.3555
DBNDD1	-0.898
FAIM	0.68925
ANKRD36	-0.889
GABRP	4.45116666666667
TACSTD2	2.65616666666667
EIF3J	-0.7615
PPP2R2A	-0.107
TEKT4	-0.801166666666667
PVALB	-3.99216666666667
F10	0.153
FAM134C	0.604
COMP	2.654125
EFCBP1	-0.490125
SCLT1	1.13325
TAL1	-0.4125
ACSL1	1.34625
ABCC5	-0.99175
ABL1	-0.0604444444444444
RBBP7	-0.481
PTPRG	-0.450875
NCOR1	0.3284
SPINK4	-1.244
TXNRD1	-1.6124
TNRC15	0.7365
C9orf138	0.43675
UBE2H	0.386833333333333
BRDT	0.328666666666667
C8orf31	-0.12975
CCNE2	-3.54618181818182
SLC6A8	-2.1925
CALCR	-1.9595
PPP1CB	1.9245
ABHD8	-0.11925
ARF5	-0.0894
SLC24A4	1.12325
CCT3	-0.88125
ZNF121	0.243
SLC3A2	-0.5418
OR13A1	0.0325
SLC5A10	-0.392
RAD50	-0.434875
IER5	0.393
MTHFD1L	-1.8945
MBTPS2	0.029
MVK	-0.663
NCL	-0.0554
PSMD10	-0.087
MOBP	0.029875
FLJ32894	-0.415
HRH1	0.392833333333333
C5orf30	-0.079
NUDT16L1	-0.1281
RASGRP3	3.26783333333333
PRKRIP1	-0.9287
CCDC75	0.15275
LOC253970	0.07725
KIAA1239	0.53
MED21	-0.38525
SYT11	0.61325
NTSR2	-0.69
EGFL11	-0.1195
CXorf59	1.1035
OR2A25	-0.01225
SPTBN2	-0.7515
LRMP	-0.787333333333333
RNF111	-0.08475
PTH	0.4
LOC619208	0.565333333333333
KIAA0895	0.339
RANBP5	-0.625375
P2RY10	1.04433333333333
NME5	3.74083333333333
DDX21	-0.404
LRSAM1	0.278
HDAC11	0.389333333333333
VMO1	1.02675
NOLA2	-0.513333333333333
ADAR	-0.1165
MTO1	-0.859666666666667
SF4	-0.133
P2RX1	0.167833333333333
HBM	0.509
EN2	-0.1525
C14orf172	-0.179
TM9SF2	0.6276
INHBE	-0.851
TCTE3	-0.176583333333333
TOX2	-1.81275
CTAGE3	0.297375
HBB	4.5808
MED15	-0.827
CASR	-0.14725
C6orf66	-0.736333333333333
MTPN	-0.20975
UNC50	0.4095
C21orf33	-0.104875
IRF2	0.935625
PGR	0.9115
GPR84	1.154
CROCCL1	-2.55625
SRPX	1.099
BRE	0.0993333333333333
FGF10	3.53975
SDC3	1.09133333333333
ZRSR1	0.521333333333333
DKFZP434P211	-0.832875
SOX6	0.5875
RPUSD2	-0.50975
C14orf173	-0.841916666666667
MAPK11	-0.49
TBC1D22A	0.6085
FAM123A	-0.324
COL4A6	-0.0381666666666667
TOMM70A	0.029
NAB1	0.5375
MGC16385	-0.460625
TSPAN18	-0.00416666666666667
MED31	-0.141
PLG	-0.36175
CAPSL	1.316
ZNF532	1.1702
ASB14	0.05475
CA8	0.7055
NUDT16P	1.48616666666667
SLFN11	0.334
LRRIQ2	-0.071625
NOL7	-0.6965
BRMS1L	0.192
JARID1A	0.378
PANK2	-0.64
ICAM3	-1.067
MDS1	0.3095
TAF8	-0.29125
RNF139	0.78425
ZNF594	-0.351166666666667
ADAM8	-0.293125
SFTPC	-0.190375
MAN2B2	1.48275
RGS12	0.17375
EIF1AY	-4.65283333333333
LRRIQ1	0.579333333333333
GPR150	0.14675
CCDC21	-1.7865
PRRG3	2.5955
SAA4	-0.95925
RAPGEF5	1.003
ZCCHC2	-0.00433333333333328
MGC39372	1.452
PPP4R2	0.439
CDCA2	-2.95466666666667
OR4D5	0.496166666666667
PTGFRN	0.8236
SIGLEC5	0.754666666666667
C19orf61	-0.840333333333333
NMUR2	0.3315
KIAA1586	-0.433
DAGLA	0.833166666666667
CHCHD6	-0.37525
GPR32	0.998
NEUROD6	-0.230166666666667
SLC2A4RG	-0.35325
CA5B	1.017
FBXL3	2.20075
MPHOSPH9	-2.373
HMG2L1	0.07625
HCN4	-0.312666666666667
CEACAM19	0.225
SH2D4B	0.232166666666667
HFE2	-0.4515
TGM4	0.1358
LYPD2	0.1025
TBC1D15	0.1595
MRPS21	-0.6307
NONO	-0.9982
CLEC5A	0.07225
ITCH	-0.1406
MGAT3	-0.263333333333333
MBP	0.396375
RPP25	-0.949
SOSTDC1	4.003
HRC	-0.73
TRIM48	0.003
TMEM133	1.26375
ECEL1P2	-1.2285
HOXC11	-0.102
DOK5	0.4585
HELZ	0.544833333333333
LOC348180	-0.88075
MGC33894	-0.06275
ADRB3	-0.0535
DMD	1.635
PTRH2	-0.62
MPEG1	3.0545
NDUFA12	-0.4755
KRTAP2-4	0.0755
STAMBPL1	-0.980666666666667
ADCY2	0.641666666666667
UNQ6125	-0.058
KLHL20	0.581
SRM	-0.997
OTC	0.19875
TMIE	0.164
SNX8	-0.58
LIPK	-0.4285
CHURC1	0.809083333333333
KLC2	-0.100833333333333
HDAC1	-0.363666666666667
FAM128A	-0.807333333333333
FNDC3B	-0.4123
MTCP1	-0.3535
WFDC10B	0.4337
PCDHGB3	0.405
ATRNL1	0.2055
CAV2	2.088
MED26	-0.152333333333333
DUS1L	-0.41425
CHRM3	-1.34675
NEK9	0.84375
WARS2	-0.3405
TBX22	0.2835
TOMM40	-1.09425
RP6-213H19.1	-1.32583333333333
TUBGCP5	-0.326
IGSF6	4.36375
TPPP	2.66233333333333
UNQ6190	-0.0415
GSTM5	2.716125
BTD	0.8725
PDCD1LG2	1.49616666666667
SNRPB2	-0.781833333333333
ERICH1	0.84675
APOA4	-1.828875
HOXA11	-1.4975
NARG1	-0.424625
MKX	1.3825
RAB28	0.306214285714286
PKP3	0.714
SH3GL2	-1.98025
CTSO	4.0875
RPN2	-0.7293125
IL28RA	0.5905
SFMBT1	-0.04725
WDR57	0.15
FER1L3	1.66458333333333
HSF5	-0.00316666666666666
TTC9B	-0.304
C4BPA	-0.138
ALB	-3.17592857142857
SORBS3	0.443125
UPF2	0.021
JPH1	-0.715
AGBL2	-0.19025
DOPEY1	1.91
TERF1	0.16
KIF22	-1.85033333333333
NINJ1	0.525
SEC61A2	-1.1285
HIST1H1D	-2.476
SFXN4	-0.505125
UCP3	0.0794
ZNF703	-0.018
MYL6B	-0.7235
TREM1	1.85475
OR52E6	0.423
CKMT2	2.45275
HLA-C	1.596
SLC13A3	-1.04083333333333
TIMP4	1.263
SLIT2	4.28375
RSF1	0.341833333333333
LONRF1	0.317428571428571
MON1A	-0.3645
CACNG6	-2.06733333333333
DPPA4	-5.598
ZSWIM3	-1.065
ZNF804A	0.347333333333333
CCIN	1.30725
SLC25A31	0.12525
KCNMB4	0.30675
RABL5	0.103625
GALNS	-0.6034
STX6	-0.01625
HIST1H1C	-3.69816666666667
CIDEB	-0.057375
CASP4	0.318166666666667
PDK3	-0.2964
KCNJ11	0.86
TPR	-0.351875
ZSCAN20	-0.903
MTX2	-0.82975
HIST1H2BH	-1.8435
LOC283767	0.771
LYRM7	-0.837277777777778
BRD3	-0.339666666666667
HIST1H2BO	-1.9865
MAGEB10	-0.5905
SLC45A1	1.4545
SERPINA3	2.0637
KIAA0143	0.91175
KCNJ16	5.597
KRT79	0.469
FABP2	-0.86475
NUT	0.078
ZNF57	-0.17675
FBXL4	0.78875
CLEC9A	2.4195
UGT8	0.903666666666667
BMP2K	0.8915
MAPK4	-0.913
SLC25A23	-0.6976
HINT1	-1.1095
KRTAP13-1	0.3925
SFXN5	-0.1727
CHCHD2	-0.519666666666667
FAM3D	3.401
NDP	-1.10775
RHOBTB1	-0.451
SLC4A4	0.661125
RPL38	0.03325
HTF9C	-0.680333333333333
AP2A2	0.348125
ZBTB46	-0.6135
MAP7D1	0.453375
AOX1	1.16716666666667
CYR61	2.51491666666667
DTNA	0.00550000000000004
JRKL	1.00425
TMOD3	0.45175
EEA1	0.4019
ADCK5	-1.29525
IL1R1	2.0475
KLK3	0.322857142857143
HRSP12	-1.0845
KTN1	0.15725
LOH11CR2A	1.7188
RELL2	-1.93325
MAB21L1	0.974
C20orf59	-1.24233333333333
PHKB	0.27025
ADAM2	-1.67233333333333
TBC1D8B	1.741
FAM13A1	0.3170625
LAPTM4B	-0.626083333333333
LCN8	-0.2655
TMEM147	-0.0305
SYT4	0.273
XPO7	-1.0235
C9orf62	-0.34975
GPR75	0.5295
TRIM5	1.0695
APOC1	-1.12883333333333
RNASE4	2.078
PARD6B	-2.80675
ARID1A	-0.067
TPD52L3	0.0602
RRAGB	1.3445
RCN2	-0.514833333333333
HIST2H2BE	-1.3663125
STARD7	-0.053
SHMT2	-1.82725
KIAA1751	-0.125166666666667
MLYCD	0.63825
LOC162632	-1.1542
UQCRH	-1.81475
RP11-217H1.1	0.3940625
SDHA	-0.8875
NCLN	-0.9292
ZNF17	0.2685
RCBTB2	-0.75975
VEGFB	0.0746
RP4-747L4.3	1.127
COLQ	0.0585
MPN2	-0.157666666666667
DRG2	-0.33875
KLRB1	5.13525
ALPK2	-2.76975
DNASE2B	1.26925
FLJ23834	0.9405
AXUD1	3.66516666666667
SAFB	-0.1371
NSUN4	-0.26
RFX2	2.2195
MAPK8IP1	0.3575
FANCD2	-1.5325
ANKZF1	-1.675
C19orf50	-0.262875
DUSP8	1.748125
SENP5	-0.70775
NFKBIL2	-1.5395
LBR	-1.176
IGFL1	0.979
LZTS2	0.137375
IL2RG	-0.744625
CCDC51	-0.74175
KLF3	0.715875
ANKRD37	0.159
KCTD14	1.79233333333333
FZR1	-0.389833333333333
SLC44A4	2.1463
ESPL1	-1.597625
GMPR2	-0.042
TBC1D19	-0.449666666666667
ERGIC1	-0.00488888888888889
ERBB4	2.3845
TSPAN32	0.142
MAP4	0.244625
GPHN	-0.02125
SLC6A2	2.083125
HIVEP1	0.68175
DFFB	-0.4048
EIF4EBP2	0.6635
DMRT1	-0.44625
HSPB6	0.7795
IER2	0.500333333333333
AIFM1	-0.82725
WWC2	0.34275
MRPL4	-0.8745
FLJ21062	1.62133333333333
EPB41L4A	1.46858333333333
SH2D6	0.0145
TAF4B	-0.066
GAL3ST3	0.069
MALT1	-0.3915
RTDR1	-0.09475
ARVCF	0.6035
MEX3B	-1.25566666666667
FBXO16	0.04025
KIF7	0.0495
C1QC	3.53966666666667
ZNF783	-0.440333333333333
ZNF85	0.69
MMP13	-1.317
KIAA0329	1.03525
RTP3	-0.5555
ZBED3	-0.128
CLGN	-2.7055
SLC25A37	-0.380791666666667
hCG_18290	0.23925
OR5AS1	-0.219
SMARCC2	0.573666666666667
FAM109A	-0.0418333333333334
CCDC12	-0.0205
USF2	0.067
DEPDC7	-3.1485
C20orf24	-1.11783333333333
JMJD3	1.0985
DSP	1.34371428571429
SLIC1	0.361125
FAM20A	2.234125
IRF2BP2	1.412625
ZNF230	-0.299
MSN	0.126428571428571
SLC9A5	-2.278
EPDR1	-0.1022
MUSK	0.0725
ZNF434	-0.0776666666666667
SMARCD1	-0.408666666666667
ZFP106	0.34925
ZNF347	0.5991
GTF2E1	-0.59325
RY1	-0.246833333333333
ATAD2B	-0.2925
ARHGAP17	0.1771
