Hybridization REF	TCGA-BH-A0C0-11A-21R-A089-07
TANC2	-1.34975
KIF4A	-4.2095
C18orf18	-0.11525
PGM1	-0.19875
KIAA0258	-0.01275
CPD	0.353625
SNCAIP	0.279
DCT	-4.29816666666667
HLA-DOA	2.2815
OR11L1	0.0625
UPK1B	-0.463666666666667
DNAJB4	1.271
UGT1A8	-0.674
HIST1H4L	-2.7635
PECR	-1.34333333333333
HSPA2	1.29275
WFIKKN1	-2.19
SERP1	1.300125
SYDE2	1.9785
TACR2	0.3825
NUP85	-0.7775
CD177	-0.631166666666667
LGR5	-2.06166666666667
PIGG	-0.0975
PTHR1	-0.433333333333333
RAB5A	0.4547
FLJ13224	-0.566
USP9Y	-1.39666666666667
C7orf53	-0.2175
LRP1B	1.09925
XAF1	2.565
ABCG8	-0.2035
ANKDD1A	0.0836666666666667
DAND5	-1.6375
SPAG6	1.39083333333333
LINCR	3.433
ZDHHC22	-1.826
CCDC60	-0.078
THOC7	-0.962333333333333
TCTA	0.7625
OR8K3	0.11475
NY-REN-7	0.02125
B2M	0.871166666666667
C6orf141	-1.084875
LPPR4	2.9
SQLE	-2.061625
SEPHS1	-0.794
BTBD14B	-0.285285714285714
PLRG1	0.12375
SPG7	-0.2895
ZNF614	-0.0353333333333333
PARD6G	1.15133333333333
INPP5B	-0.4824
GRPEL2	-0.80525
PPID	-0.4039
TRIM56	0.6265
UBE2J1	-0.349875
IL20RA	5.881
LOC387856	1.20075
C1orf107	0.783
UTS2R	0.004
C19orf22	-0.31475
SAFB2	-0.23975
KIAA0652	0.140125
KLRG1	-0.341
MS4A8B	0.517333333333333
FRAG1	0.872
KIAA1546	1.09275
E2F4	-0.9305
CLEC4M	-0.00299999999999999
BTBD14A	-2.472
KIAA0999	1.1166
GYPA	-4.057
TAC1	2.3291
TRAIP	-2.0455
KIAA0232	0.7894
ERCC8	-0.91075
GPX4	0.171375
KIAA0368	0.43225
GPR157	-0.28
CTAGE4	1.949
C9orf30	-1.5165
OR52A1	-0.107
HSP90B3P	-0.221
ALG9	-0.2363
BTBD10	0.4215
SDK2	0.1345
BAIAP3	-0.18075
RABGGTB	-1.01675
ANKRD40	-0.452333333333333
KRT74	0.2515
CALCOCO2	0.576642857142857
SNCA	-1.1185
TMSL8	-3.5325
C2orf53	0.1275
ESRRB	-0.54625
ARHGAP26	-0.3575
TDRD9	-1.956
HRAS	-0.289833333333333
KLRC4	-2.167
JAGN1	-0.0501666666666667
BSDC1	0.41825
RNF43	0.5682
NDUFAF1	0.00875
PHF12	0.17625
OR1L3	0.23225
FOLR2	1.28058333333333
LYZL6	-0.251
tcag7.1260	-1.601
WSB1	-0.5315
PROS1	1.198
OSTN	-0.2525
PSMB8	0.6715
SOCS4	0.094875
DDIT4L	3.13775
MAS1	0.0425
MGC34796	0.2615
CSHL1	0.159
TBCCD1	0.176666666666667
ZBTB7C	-0.1045
AP2S1	-1.232
P15RS	0.0237
VAT1	-0.6063
SHANK3	0.981666666666667
TUFM	-0.699833333333333
THEG	-0.45225
KRT34	-2.274
SGSM3	0.30625
TOMM22	-0.458125
SOCS3	0.091
CPO	1.2465
POP4	0.03425
BHLHB3	2.83825
MALL	1.52325
OR1B1	0.1195
PARK2	1.3735
GPR124	1.459375
LCE1E	0.00600000000000001
RUVBL2	-0.98825
CGRRF1	0.9772
ACPL2	0.5585
WNT10B	-1.903
BAIAP2L2	-2.19725
ISCA1	0.676
C1orf125	0.192625
RPAP1	-0.30775
RAI16	0.468166666666667
RPL27	-0.133125
NLRP9	-0.1085
EPN1	-0.3455
LOC388610	1.21325
SLC35A1	1.4454
GAL	-4.554
SLC14A2	0.10025
RDH11	-0.664
FAM138F	-0.4155
AUH	0.94775
FLJ40243	0.5445
C14orf129	0.0111666666666667
MBD2	-0.630833333333333
ABHD14B	0.749375
PIGT	0.028875
ALS2CR4	1.003625
ALAS1	0.0177
FOXO1	2.12983333333333
CRLF3	-0.1155
C20orf107	-0.1125
FARS2	0.55
CCDC28A	1.03425
NPHP3	0.44875
OR13F1	0.0535
TSEN54	-0.8065
DEFB106B	-0.0819
OR8B4	0.3915
STH	1.15775
ZC3H14	-0.386375
CBX2	-0.2285
TMEM49	-1.6825
C6orf21	0.328
FLJ20920	0.956125
CRTAP	0.628214285714286
DDX50	0.31825
STYXL1	-0.016
BLVRB	-0.390333333333333
LOC147650	0.392666666666667
MMP24	0.24875
GRID1	2.53883333333333
BANF1	-0.559666666666667
CTAGEP	0.445
HMBS	-2.4145
SLC25A24	-0.0773333333333333
C14orf50	0.85225
MRO	0.392833333333333
SLC25A15	-1.017
FAM84B	1.2487
TDP1	-1.138
C16orf78	-0.131166666666667
C11orf57	-0.30225
RFK	-0.7935
ZFYVE9	-0.65775
STCH	-1.3608
WIBG	-0.03775
LOC283871	-0.981333333333333
GBA2	-0.0838
NDUFB3	-0.8255
HSD17B13	0.1465
GRIN3A	1.4025
FMNL1	-0.973333333333333
SEPT7	-0.198
GNLY	2.6265
GRAMD1C	2.62416666666667
ZNF165	-0.254
USP38	0.33325
FAM83A	-3.64783333333333
C14orf24	0.20525
ARMCX3	1.234375
ARHGDIB	0.852166666666667
AK1	-0.35275
KIAA1045	1.09525
DNAJB13	-0.306333333333333
NEU2	-0.0015
HIST1H4B	-2.64083333333333
FAM20B	-0.5376
HES2	-0.328071428571429
FAM73B	-0.3216
LOC388381	2.08166817117217e-17
INTS7	-1.10709090909091
AMPH	1.10675
ZNF775	-0.322
UCKL1	-0.639
C10orf97	0.4145
C1orf161	-0.41325
ALDH1L1	1.5605
FLJ39378	0.315625
SLC23A1	-2.216
RBM4B	0.898
THAP4	0.0348333333333333
OGFRL1	0.9355
KIAA0831	0.78025
PPP1R15A	0.4265
C1orf96	-0.610071428571428
C12orf11	-1.698
BMF	0.26425
MAN1A1	-0.451125
KIAA1600	0.962833333333333
NLGN4X	1.418
ALOX12	-1.16433333333333
RB1CC1	-0.1349
NEIL2	0.5673
EIF4E	-0.104954545454545
ABHD5	-0.4415
EXOC4	-0.0616666666666666
CIP29	-0.429
BATF2	1.0335
SLC29A4	-0.7315
HTR4	0.384
EMB	-0.978
TRAF6	0.9105
LMNB1	-4.3
FAM19A5	-1.219125
SHE	2.79025
PIK3C2B	1.43475
C15orf15	0.0185
USP15	0.3454
TCEAL2	3.677
C5orf39	-0.292333333333333
PTGER2	-1.27325
SLC31A1	-0.61
IFT172	0.978
ADAM29	0.094
GFOD1	0.4575
ST7L	0.600833333333333
C15orf26	-3.28225
PKN3	-0.69975
CNTD1	3.1505
COMMD1	0.187
NTRK2	4.6085
FOXN3	0.97975
MFGE8	1.1916
PFKFB2	0.593666666666667
TAS2R4	0.4195
ENTHD1	-0.443666666666667
PRMT5	-0.2855
MGC16384	-0.3925
LOC442229	-1.092
TSKU	0.214625
KRTCAP3	2.346375
PDLIM1	1.0242
KCNS2	0.2045
RNF126	-0.585
CEP63	-0.15
CLIC4	0.235
hCG_1990170	4.506
ACR	0.9058
KLK7	3.93325
ALOX5AP	2.048375
RIPK3	3.22525
TAS2R9	0.3005
C19orf18	1.7895
BIRC6	0.371785714285714
ZNF16	1.1515
RFT1	-0.6475
SLC8A2	-0.77575
TACC1	0.580625
ITGAD	0.07925
SAMHD1	0.66525
SH3PXD2B	0.6544
EPC2	1.351
C20orf85	0.03375
ATP13A2	0.0671666666666667
KRT4	0.2645
CAPNS1	0.19975
MDM2	-0.8895
PCDH20	3.427
KCNK9	-0.1615
OR2C1	0.252
KLHDC3	-0.616333333333333
IPPK	0.0245
EFHD2	-1.1345
GALR3	0.0285
NBEA	1.19266666666667
ABCA6	4.8283
CLDN3	0.895666666666667
AKT2	-0.958928571428571
EGFR	0.9239
RBM16	0.56475
ZDHHC3	-0.1363
SLC25A4	0.372166666666667
CYB5B	-0.4225
CPXM1	-0.07875
NDRG1	-0.617
FLJ43826	0.53425
OR5L2	-0.557666666666667
FARP2	0.2737
MRPL46	-0.575916666666667
LDHAL6B	0.1494
MAPKAPK3	-0.698833333333333
NCAM2	-1.2295
PRKD2	0.541666666666667
ZFP36L1	1.4943
CYSLTR1	-0.42425
OR4C3	-0.02075
HIST1H2AJ	0.286
CCNB2	-4.66544444444444
ZNF10	0.905625
TMEM175	0.016
FAM134A	0.829833333333333
TIGD4	-0.245
PCNP	0.42875
MGC39715	1.54175
LQK1	-1.4455
CREB1	0.7346
TMPRSS3	0.74525
C4orf32	1.337625
LAT	-1.42216666666667
KCNA3	-0.8005
SKIV2L2	-0.50925
ROPN1B	3.68675
tcag7.23	0.7655
CDT1	-3.66725
ZHX2	0.731375
CD28	-4.10275
ZNF624	1.2235
SEPT2	-0.0315833333333333
SOHLH2	-0.049125
MCOLN3	0.264
UNQ1945	0.022
MASP2	-1.1435
ZNRF3	0.3589
GPATCH3	-0.037
AGL	0.6685
QRICH2	0.202
PSD4	0.878166666666667
CCNB1IP1	-0.59125
ENPP7	-0.06825
OBFC1	0.3015
KCNG3	-2.74325
C14orf79	0.463416666666667
ENPEP	2.20466666666667
SCT	-0.1235
SKI	0.4925
SEC61G	-1.947
CAPN11	3.00325
ATXN7L3	-0.381
DBNDD1	-0.727166666666667
FAIM	0.26675
ANKRD36	-0.909
GABRP	4.94883333333333
TACSTD2	2.37816666666667
EIF3J	-0.611
PPP2R2A	-0.336
TEKT4	-0.5185
PVALB	-3.80666666666667
F10	-0.6485
FAM134C	0.5655
COMP	0.729375
EFCBP1	-0.37425
SCLT1	0.7085
TAL1	-0.8169
ACSL1	1.7335
ABCC5	-0.426416666666667
ABL1	-0.752055555555555
RBBP7	-0.551166666666667
PTPRG	-0.2435
NCOR1	0.1809
SPINK4	-0.681
TXNRD1	-2.0035
TNRC15	0.4985
C9orf138	0.6505
UBE2H	-0.163833333333333
BRDT	0.24
C8orf31	-0.21775
CCNE2	-3.31054545454545
SLC6A8	-2.051625
CALCR	-2.49125
PPP1CB	1.44125
ABHD8	0.01475
ARF5	-0.2937
SLC24A4	0.23825
CCT3	-0.73
ZNF121	0.1945
SLC3A2	-1.0575
OR13A1	-0.179
SLC5A10	-0.284
RAD50	-0.10325
IER5	0.162125
MTHFD1L	-2.742375
MBTPS2	-0.2395
MVK	-0.14175
NCL	-0.3076
PSMD10	-0.05075
MOBP	-0.19175
FLJ32894	0.0535
HRH1	-1.18566666666667
C5orf30	0.31525
NUDT16L1	0.1608
RASGRP3	3.77166666666667
PRKRIP1	-0.4517
CCDC75	-0.41075
LOC253970	0.54175
KIAA1239	1.34075
MED21	-0.401
SYT11	-0.493
NTSR2	-0.632
EGFL11	-1.651
CXorf59	0.6485
OR2A25	-0.0745
SPTBN2	-0.499
LRMP	-0.777166666666667
RNF111	0.66475
PTH	0.567
LOC619208	0.286666666666667
KIAA0895	0.714
RANBP5	-0.58425
P2RY10	0.683833333333333
NME5	3.81983333333333
DDX21	-1.1895
LRSAM1	0.311
HDAC11	0.706166666666667
VMO1	0.862
NOLA2	-0.432
ADAR	0.16375
MTO1	-0.375666666666667
SF4	0.1455
P2RX1	0.242333333333333
HBM	-0.15975
EN2	-0.129
C14orf172	-0.21
TM9SF2	0.6353
INHBE	-1.33483333333333
TCTE3	-0.01325
TOX2	-3.12
CTAGE3	0.341
HBB	4.0069
MED15	-0.520166666666667
CASR	0.3595
C6orf66	-0.994833333333333
MTPN	-1.044875
UNC50	0.50775
C21orf33	0.271375
IRF2	1.151875
PGR	0.507
GPR84	0.97825
CROCCL1	-0.465
SRPX	1.12575
BRE	0.0213333333333333
FGF10	2.663
SDC3	0.869833333333333
ZRSR1	0.637166666666667
DKFZP434P211	-0.493375
SOX6	-0.036
RPUSD2	-0.006
C14orf173	-0.865416666666667
MAPK11	-0.565666666666667
TBC1D22A	0.1655
FAM123A	-1.3305
COL4A6	0.342833333333333
TOMM70A	-0.01575
NAB1	0.44025
MGC16385	-0.044375
TSPAN18	-1.14883333333333
MED31	-0.37225
PLG	-0.77975
CAPSL	0.91
ZNF532	1.158
ASB14	-0.29475
CA8	0.966
NUDT16P	1.60733333333333
SLFN11	-0.6715
LRRIQ2	-0.596375
NOL7	-0.875333333333333
BRMS1L	0.116875
JARID1A	0.223
PANK2	-0.6045
ICAM3	-0.876
MDS1	-0.12225
TAF8	-0.38
RNF139	0.33925
ZNF594	0.855166666666667
ADAM8	0.018
SFTPC	-0.5175
MAN2B2	1.1825
RGS12	0.4763125
EIF1AY	-5.02191666666667
LRRIQ1	0.597
GPR150	0.1325
CCDC21	-1.42666666666667
PRRG3	1.34825
SAA4	-1.9485
RAPGEF5	0.939375
ZCCHC2	-0.230333333333333
MGC39372	0.84
PPP4R2	-0.304666666666667
CDCA2	-3.5875
OR4D5	0.282
PTGFRN	0.3396
SIGLEC5	0.150833333333333
C19orf61	-0.294
NMUR2	0.3445
KIAA1586	-0.288333333333333
DAGLA	0.709333333333333
CHCHD6	-0.2535
GPR32	0.152
NEUROD6	0.0103333333333333
SLC2A4RG	-0.036625
CA5B	0.546
FBXL3	2.1825
MPHOSPH9	-2.0765
HMG2L1	0.3195
HCN4	-0.323166666666667
CEACAM19	0.463
SH2D4B	-0.104333333333333
HFE2	-0.8925
TGM4	0.1165
LYPD2	0.3175
TBC1D15	0.0295
MRPS21	-0.3448
NONO	-0.8055
CLEC5A	0.775125
ITCH	-0.5367
MGAT3	0.447
MBP	0.187875
RPP25	-0.93
SOSTDC1	3.46325
HRC	-0.51925
TRIM48	0.19
TMEM133	0.94275
ECEL1P2	-1.40125
HOXC11	-0.412
DOK5	0.408
HELZ	0.483
LOC348180	-1.079
MGC33894	0.078
ADRB3	0.128
DMD	2.00875
PTRH2	-1.02175
MPEG1	2.53366666666667
NDUFA12	-0.559666666666667
KRTAP2-4	-0.0865833333333333
STAMBPL1	-1.00933333333333
ADCY2	1.60166666666667
UNQ6125	0.3215
KLHL20	0.321166666666667
SRM	-0.9895
OTC	0.365
TMIE	1.06716666666667
SNX8	-1.1285
LIPK	0.387
CHURC1	0.675833333333333
KLC2	-0.0546666666666667
HDAC1	-0.171666666666667
FAM128A	-0.331666666666667
FNDC3B	-0.5693
MTCP1	-0.282833333333333
WFDC10B	-0.2502
PCDHGB3	0.768
ATRNL1	-0.7047
CAV2	1.829125
MED26	0.135
DUS1L	-0.13325
CHRM3	-0.50625
NEK9	0.83
WARS2	-0.61275
TBX22	0.729
TOMM40	-1.29975
RP6-213H19.1	-0.833666666666667
TUBGCP5	-0.34475
IGSF6	4.053
TPPP	1.46333333333333
UNQ6190	0.0835
GSTM5	1.700875
BTD	0.801
PDCD1LG2	1.15116666666667
SNRPB2	-0.732666666666667
ERICH1	0.51275
APOA4	-1.89425
HOXA11	-1.9355
NARG1	-0.515125
MKX	0.0535
RAB28	0.165
PKP3	0.706
SH3GL2	-1.91775
CTSO	3.72275
RPN2	-0.83475
IL28RA	1.5935
SFMBT1	-0.14325
WDR57	-0.21225
FER1L3	1.27766666666667
HSF5	0.137666666666667
TTC9B	-0.35725
C4BPA	-1.45133333333333
ALB	-3.88771428571429
SORBS3	0.66325
UPF2	0.3625
JPH1	-0.4115
AGBL2	0.5345
DOPEY1	1.987
TERF1	0.138583333333333
KIF22	-1.2505
NINJ1	1.009
SEC61A2	-0.977
HIST1H1D	-2.513
SFXN4	-0.329625
UCP3	0.3368
ZNF703	-0.082
MYL6B	-0.4405
TREM1	-0.28525
OR52E6	0.322
CKMT2	3.1325
HLA-C	1.379125
SLC13A3	-1.24383333333333
TIMP4	0.79
SLIT2	3.2875
RSF1	0.128722222222222
LONRF1	-0.0427142857142857
MON1A	0.0151666666666667
CACNG6	-2.25566666666667
DPPA4	-5.7765
ZSWIM3	0.22825
ZNF804A	0.132666666666667
CCIN	1.1415
SLC25A31	-0.00700000000000001
KCNMB4	0.0625
RABL5	0.397375
GALNS	-0.5012
STX6	-0.1145
HIST1H1C	-3.31433333333333
CIDEB	0.66025
CASP4	0.766166666666667
PDK3	-0.8235
KCNJ11	1.501
TPR	-0.313625
ZSCAN20	-0.809
MTX2	-0.705
HIST1H2BH	-1.2025
LOC283767	0.96225
LYRM7	-0.440777777777778
BRD3	-0.586833333333333
HIST1H2BO	-1.2315
MAGEB10	-0.1685
SLC45A1	0.85875
SERPINA3	0.0468
KIAA0143	0.8845
KCNJ16	3.92383333333333
KRT79	0.33975
FABP2	-1.43475
NUT	-0.28625
ZNF57	0.272
FBXL4	0.866
CLEC9A	2.7315
UGT8	0.9815
BMP2K	1.0345
MAPK4	-1.46575
SLC25A23	-0.2627
HINT1	-0.716
KRTAP13-1	0.465
SFXN5	-0.563
CHCHD2	-0.73525
FAM3D	3.9855
NDP	-1.16675
RHOBTB1	-1.05416666666667
SLC4A4	0.539625
RPL38	0.3375
HTF9C	-0.0565
AP2A2	0.436125
ZBTB46	-0.338
MAP7D1	-0.037125
AOX1	-0.238666666666667
CYR61	1.07183333333333
DTNA	0.0757857142857143
JRKL	1.1175
TMOD3	-0.1625
EEA1	-0.0841
ADCK5	-0.77875
IL1R1	1.51116666666667
KLK3	2.28435714285714
HRSP12	-0.61925
KTN1	0.38
LOH11CR2A	1.114
RELL2	-1.81725
MAB21L1	3.7145
C20orf59	-1.29416666666667
PHKB	0.29975
ADAM2	-1.98433333333333
TBC1D8B	1.0765
FAM13A1	0.936875
LAPTM4B	-1.12025
LCN8	-0.1045
TMEM147	-0.177
SYT4	0.246
XPO7	-0.8965
C9orf62	-0.1945
GPR75	1.2165
TRIM5	0.51175
APOC1	-2.1335
RNASE4	1.99266666666667
PARD6B	-2.30125
ARID1A	0.114083333333333
TPD52L3	0.3144
RRAGB	1.46366666666667
RCN2	-0.603833333333333
HIST2H2BE	-0.91925
STARD7	-0.017
SHMT2	-1.592
KIAA1751	0.472
MLYCD	0.848125
LOC162632	-0.5489
UQCRH	-1.59525
RP11-217H1.1	-0.11175
SDHA	-0.639666666666667
NCLN	-1.1683
ZNF17	0.8485
RCBTB2	-0.16525
VEGFB	-0.1241
RP4-747L4.3	0.97125
COLQ	0.5837
MPN2	-0.517
DRG2	0.12125
KLRB1	5.5985
ALPK2	-2.6885
DNASE2B	1.875
FLJ23834	0.361
AXUD1	0.343833333333333
SAFB	-0.2323
NSUN4	-1.23975
RFX2	1.03333333333333
MAPK8IP1	0.745333333333333
FANCD2	-1.46064285714286
ANKZF1	-0.779833333333333
C19orf50	-0.141125
DUSP8	0.576
SENP5	-1.102125
NFKBIL2	-1.292
LBR	-1.46725
IGFL1	-0.285
LZTS2	0.35325
IL2RG	-0.74525
CCDC51	-0.566
KLF3	0.526375
ANKRD37	-0.88725
KCTD14	2.11733333333333
FZR1	-0.546416666666667
SLC44A4	2.593
ESPL1	-1.330625
GMPR2	0.2053
TBC1D19	-0.523666666666667
ERGIC1	-0.229518518518519
ERBB4	2.6932
TSPAN32	0.130833333333333
MAP4	-0.29
GPHN	-0.14375
SLC6A2	1.433125
HIVEP1	0.33775
DFFB	-0.1318
EIF4EBP2	0.466625
DMRT1	-0.48825
HSPB6	0.40425
IER2	0.234333333333333
AIFM1	-0.75225
WWC2	0.223083333333333
MRPL4	-0.71975
FLJ21062	1.54183333333333
EPB41L4A	1.8045
SH2D6	-0.05725
TAF4B	0.06725
GAL3ST3	-0.236
MALT1	-0.632666666666667
RTDR1	0.109
ARVCF	0.533875
MEX3B	0.001
FBXO16	0.43075
KIF7	-0.18275
C1QC	3.448
ZNF783	-0.109333333333333
ZNF85	0.9845
MMP13	-1.073
KIAA0329	0.917
RTP3	-0.7395
ZBED3	0.1005
CLGN	-0.867
SLC25A37	-0.616666666666667
hCG_18290	0.67325
OR5AS1	0.143
SMARCC2	0.447416666666667
FAM109A	-0.149
CCDC12	0.1025
USF2	-0.0149
DEPDC7	-2.51175
C20orf24	-1.39366666666667
JMJD3	0.6415
DSP	1.42442857142857
SLIC1	0.162375
FAM20A	1.30425
IRF2BP2	0.358625
ZNF230	0.512
MSN	-0.503214285714286
SLC9A5	-1.724
EPDR1	-0.3206
MUSK	0.100166666666667
ZNF434	0.274333333333333
SMARCD1	-0.726666666666667
ZFP106	0.313
