Hybridization REF	TCGA-AQ-A04H-01B-11R-A10J-07
MVK	0.88375
NCL	-0.0484
PSMD10	0.7295
MOBP	0.039625
FLJ32894	0.1275
HRH1	-1.38916666666667
C5orf30	1.903
NUDT16L1	1.2776
RASGRP3	4.01
PRKRIP1	-0.5748
CCDC75	-0.457
LOC253970	0.20625
KIAA1239	0.59425
MED21	-0.828
SYT11	0.310666666666667
NTSR2	-0.087
EGFL11	-0.1915
CXorf59	0.42
OR2A25	-0.09475
SPTBN2	-0.671
LRMP	-1.52566666666667
RNF111	-0.336
PTH	0.02
LOC619208	-0.471166666666667
KIAA0895	1.16875
RANBP5	-2.022625
P2RY10	0.4975
NME5	2.1665
DDX21	-0.423
LRSAM1	1.637
HDAC11	2.37283333333333
VMO1	0.81175
NOLA2	-0.0461666666666667
ADAR	0.580833333333333
MTO1	-0.8145
SF4	0.151166666666667
P2RX1	-0.296333333333333
HBM	0.46725
EN2	-0.0945
C14orf172	-0.227
TM9SF2	0.1014
INHBE	-1.26516666666667
TCTE3	-0.102583333333333
TOX2	-3.30425
CTAGE3	0.513375
HBB	3.797
MED15	-0.650833333333333
CASR	-0.004
C6orf66	-0.739666666666667
MTPN	-0.121375
UNC50	0.3485
C21orf33	0.014
IRF2	1.1495
PGR	-2.527
GPR84	1.559
CROCCL1	-1.83075
SRPX	-2.32325
BRE	0.227166666666667
FGF10	0.3285
SDC3	-0.850333333333333
ZRSR1	0.1095
DKFZP434P211	-0.401375
SOX6	-0.594
RPUSD2	-0.53125
C14orf173	0.0721666666666666
MAPK11	-0.9185
TBC1D22A	0.315
FAM123A	1.9125
COL4A6	-4.12333333333333
TOMM70A	0.09025
NAB1	-0.143875
MGC16385	0.42925
TSPAN18	0.589833333333333
MED31	-0.44325
PLG	-0.4025
CAPSL	1.985
ZNF532	-0.0966
ASB14	0.33025
CA8	1.11225
NUDT16P	1.6595
SLFN11	-1.4815
LRRIQ2	0.24225
NOL7	-0.3495
BRMS1L	-0.557375
JARID1A	-0.0213333333333333
PANK2	-0.658
ICAM3	-0.7305
MDS1	0.1915
TAF8	-0.6595
RNF139	0.87925
ZNF594	-0.0706666666666667
ADAM8	2.12375
SFTPC	-0.197375
MAN2B2	1.506625
RGS12	0.897125
EIF1AY	-5.19225
LRRIQ1	-0.222333333333333
GPR150	0.111
CCDC21	-0.0578333333333333
PRRG3	0.552
SAA4	-4.37525
RAPGEF5	1.648
ZCCHC2	0.0035
MGC39372	0.168
PPP4R2	1.0535
CDCA2	-2.08283333333333
OR4D5	0.640166666666667
PTGFRN	-0.5989
SIGLEC5	1.28
C19orf61	-0.541666666666667
NMUR2	0.3785
KIAA1586	-1.12866666666667
DAGLA	0.794333333333333
CHCHD6	-0.1325
GPR32	0.4725
NEUROD6	0.254
SLC2A4RG	1.2069375
CA5B	0.9875
FBXL3	0.816
MPHOSPH9	-0.78025
HMG2L1	0.9885
HCN4	0.151
CEACAM19	-0.36825
SH2D4B	0.0788333333333333
HFE2	-0.858
TGM4	-0.508
LYPD2	0.23825
TBC1D15	0.03975
MRPS21	-0.6064
NONO	-0.1103
CLEC5A	1.69075
ITCH	0.6417
MGAT3	-0.768166666666667
MBP	-0.728
RPP25	-0.026
SOSTDC1	-1.2525
HRC	-1.16075
TRIM48	-0.015
TMEM133	0.50525
ECEL1P2	-1.502
HOXC11	-1.4855
DOK5	-0.7505
HELZ	0.949833333333333
LOC348180	-0.70075
MGC33894	0.228
ADRB3	0.147
DMD	-0.138833333333333
PTRH2	1.28875
MPEG1	3.19516666666667
NDUFA12	-0.183666666666667
KRTAP2-4	-0.0464166666666667
STAMBPL1	-1.88783333333333
ADCY2	-0.974333333333333
UNQ6125	-0.131
KLHL20	0.552166666666667
SRM	-1.50175
OTC	-0.158
TMIE	0.023
SNX8	0.54725
LIPK	-0.2825
CHURC1	-0.1695
KLC2	0.377833333333333
HDAC1	0.420666666666667
FAM128A	0.9265
FNDC3B	-0.6932
MTCP1	0.0568333333333333
WFDC10B	0.852
PCDHGB3	0.1095
ATRNL1	-1.5367
CAV2	0.000124999999999997
MED26	0.325666666666667
DUS1L	0.173
CHRM3	-1.067875
NEK9	0.525
WARS2	-0.60575
TBX22	-0.356
TOMM40	-1.0425
RP6-213H19.1	-0.2975
TUBGCP5	-0.051
IGSF6	4.55275
TPPP	3.31916666666667
UNQ6190	-0.067
GSTM5	-0.078875
BTD	0.853
PDCD1LG2	0.419333333333333
SNRPB2	-1.05083333333333
ERICH1	0.4825
APOA4	-1.747125
HOXA11	-1.96
NARG1	-0.255625
MKX	-1.6335
RAB28	0.343642857142857
PKP3	1.7585
SH3GL2	-3.3755
CTSO	3.8015
RPN2	0.427875
IL28RA	-0.408333333333333
SFMBT1	0.64875
WDR57	-0.1375
FER1L3	0.745666666666667
HSF5	0.0101666666666667
TTC9B	0.1635
C4BPA	-3.941
ALB	-4.02935714285714
SORBS3	0.767625
UPF2	0.53
JPH1	0.25
AGBL2	1.00025
DOPEY1	1.319
TERF1	-0.07275
KIF22	0.385666666666667
NINJ1	1.69925
SEC61A2	-0.2445
HIST1H1D	0.2785
SFXN4	-1.19275
UCP3	-0.2359
ZNF703	1.91716666666667
MYL6B	-1.572
TREM1	1.16525
OR52E6	0.727
CKMT2	-0.085
HLA-C	1.0185
SLC13A3	-0.252833333333333
TIMP4	-2.038
SLIT2	2.4505
RSF1	0.228555555555556
LONRF1	-0.320071428571429
MON1A	-0.5855
CACNG6	-2.1945
DPPA4	-5.44516666666667
ZSWIM3	0.108
ZNF804A	0.377666666666667
CCIN	1.0365
SLC25A31	0.1005
KCNMB4	0.255
RABL5	0.49425
GALNS	0.5508
STX6	0.735375
HIST1H1C	0.295666666666667
CIDEB	0.34575
CASP4	-0.537666666666667
PDK3	-0.4927
KCNJ11	1.9625
TPR	-0.286875
ZSCAN20	-0.5935
MTX2	-0.07525
HIST1H2BH	1.0935
LOC283767	1.82525
LYRM7	-1.23616666666667
BRD3	1.61816666666667
HIST1H2BO	1.1585
MAGEB10	-0.1555
SLC45A1	2.50475
SERPINA3	1.3922
KIAA0143	1.337
KCNJ16	0.00816666666666666
KRT79	0.17175
FABP2	-0.6665
NUT	-0.23175
ZNF57	0.26825
FBXL4	1.299125
CLEC9A	0.6385
UGT8	-1.6815
BMP2K	-0.049
MAPK4	-4.02875
SLC25A23	0.1893
HINT1	-0.2228
KRTAP13-1	0.184
SFXN5	1.6221
CHCHD2	0.2325
FAM3D	1.278
NDP	-4.175375
RHOBTB1	0.586333333333333
SLC4A4	-1.029125
RPL38	-0.409
HTF9C	-0.733666666666667
AP2A2	0.4075
ZBTB46	0.624
MAP7D1	0.16625
AOX1	-2.39783333333333
CYR61	-0.0325833333333333
DTNA	2.09635714285714
JRKL	-1.74425
TMOD3	-0.766
EEA1	0.0056
ADCK5	-0.284
IL1R1	-0.307
KLK3	0.246214285714286
HRSP12	-0.78075
KTN1	0.16825
LOH11CR2A	0.3781
RELL2	0.00725
MAB21L1	1.0715
C20orf59	-1.05733333333333
PHKB	0.20425
ADAM2	-1.41266666666667
TBC1D8B	0.602
FAM13A1	-1.58325
LAPTM4B	-0.911916666666666
LCN8	-0.207
TMEM147	-0.2885
SYT4	0.255
XPO7	-0.398
C9orf62	-0.0755
GPR75	0.1055
TRIM5	0.669375
APOC1	-1.2765
RNASE4	2.10433333333333
PARD6B	1.51875
ARID1A	0.544333333333333
TPD52L3	0.0909
RRAGB	1.49233333333333
RCN2	-0.894166666666667
HIST2H2BE	1.396375
STARD7	-0.3645
SHMT2	-1.65275
KIAA1751	-0.0268333333333333
MLYCD	0.647875
LOC162632	2.6165
UQCRH	-1.564
RP11-217H1.1	0.633125
SDHA	-0.376
NCLN	-0.4109
ZNF17	0.0425
RCBTB2	-1.83375
VEGFB	0.338
RP4-747L4.3	-0.1155
COLQ	0.9962
MPN2	-0.726333333333333
DRG2	-0.19
KLRB1	4.418
ALPK2	-3.505
DNASE2B	1.5205
FLJ23834	-0.380333333333333
AXUD1	1.09983333333333
SAFB	-0.2678
NSUN4	-0.07275
RFX2	-0.233166666666667
MAPK8IP1	0.586
FANCD2	-0.648785714285714
ANKZF1	-1.51533333333333
C19orf50	0.1255
DUSP8	1.899
SENP5	-0.421375
NFKBIL2	-0.29225
LBR	-1.4335
IGFL1	-0.1675
LZTS2	-0.26225
IL2RG	-1.00625
CCDC51	0.5145
KLF3	0.4085
ANKRD37	-1.52075
KCTD14	-2.29116666666667
FZR1	0.712583333333333
SLC44A4	3.8575
ESPL1	-0.5665
GMPR2	-0.0521
TBC1D19	-0.591833333333333
ERGIC1	0.824777777777778
ERBB4	3.3804
TSPAN32	-0.201666666666667
MAP4	0.534875
GPHN	-0.82025
SLC6A2	-0.2685
HIVEP1	0.44775
DFFB	-0.4057
EIF4EBP2	-0.051875
DMRT1	-0.28275
HSPB6	-0.1725
IER2	0.582166666666667
AIFM1	0.06375
WWC2	0.272666666666667
MRPL4	-0.366
FLJ21062	3.18416666666667
EPB41L4A	-0.0985
SH2D6	0.20625
TAF4B	-1.26825
GAL3ST3	-0.245
MALT1	-1.66766666666667
RTDR1	-0.05375
ARVCF	0.769875
MEX3B	-0.798833333333333
FBXO16	1.01525
KIF7	-0.55925
C1QC	3.76083333333333
ZNF783	0.114166666666667
ZNF85	0.86075
MMP13	3.706
KIAA0329	0.495375
RTP3	-0.6415
ZBED3	-0.43725
CLGN	0.831
SLC25A37	-2.509375
hCG_18290	-0.437
OR5AS1	0.4645
SMARCC2	0.421833333333333
FAM109A	0.199166666666667
CCDC12	0.5935
USF2	0.3202
DEPDC7	-3.48775
C20orf24	0.221666666666667
JMJD3	0.8955
DSP	2.99842857142857
SLIC1	0.47775
FAM20A	0.241625
IRF2BP2	1.779875
ZNF230	-0.375
MSN	-0.728285714285714
SLC9A5	-2.0425
EPDR1	-2.4487
MUSK	0.124833333333333
ZNF434	-0.121833333333333
SMARCD1	-0.465166666666667
ZFP106	-0.91225
ZNF347	-0.2003
