Hybridization REF	TCGA-A2-A0CW-01A-21R-A115-07
ENTHD1	0.516
PRMT5	-1.166125
MGC16384	-0.223375
LOC442229	1.25775
TSKU	0.073375
KRTCAP3	2.153875
PDLIM1	0.988
KCNS2	-0.0295
RNF126	-0.711833333333333
CEP63	0.1065
CLIC4	-1.075125
hCG_1990170	-1.282
ACR	0.2654
KLK7	0.98225
ALOX5AP	1.84071428571429
RIPK3	2.1175
TAS2R9	0.408
C19orf18	3.1765
BIRC6	0.277857142857143
ZNF16	0.8675
RFT1	-0.51525
SLC8A2	-0.43025
TACC1	1.05025
ITGAD	1.876
SAMHD1	2.20175
SH3PXD2B	0.3355
EPC2	0.76825
C20orf85	4.868625
ATP13A2	0.601333333333333
KRT4	0.868625
CAPNS1	-0.465
MDM2	0.09875
PCDH20	0.72275
KCNK9	0.731
OR2C1	0.0955
KLHDC3	-0.601
IPPK	0.6245
EFHD2	0.145
GALR3	0.886
NBEA	-0.0461666666666667
ABCA6	1.6926
CLDN3	2.3275
AKT2	0.557714285714286
EGFR	-2.3319
RBM16	0.29
ZDHHC3	0.0653
SLC25A4	-0.0246666666666667
CYB5B	-1.24816666666667
CPXM1	-1.197
NDRG1	-1.92692307692308
FLJ43826	0.5735
OR5L2	0.3418
FARP2	0.2061
MRPL46	-0.408333333333333
LDHAL6B	0.812833333333333
MAPKAPK3	-1.164
NCAM2	-3.999
PRKD2	0.163
ZFP36L1	0.4706
CYSLTR1	-0.65575
OR4C3	0.3235
HIST1H2AJ	2.948
CCNB2	-0.925888888888889
ZNF10	-0.184
TMEM175	0.544
FAM134A	-0.147
TIGD4	0.3545
PCNP	-1.2585
MGC39715	-0.21
LQK1	-2.2705
CREB1	0.7056
TMPRSS3	0.61425
C4orf32	2.06275
LAT	-1.90025
KCNA3	0.39
SKIV2L2	-0.3145
ROPN1B	-2.669
tcag7.23	-1.1495
CDT1	-1.53925
ZHX2	1.32175
CD28	-3.41775
ZNF624	0.94
SEPT2	0.123
SOHLH2	-0.785125
MCOLN3	-1.035375
UNQ1945	0.476
MASP2	-1.2005
ZNRF3	0.2121
GPATCH3	-0.743
AGL	0.3695
QRICH2	-0.139
PSD4	1.04933333333333
CCNB1IP1	-2.1095
ENPP7	-0.06775
OBFC1	0.22875
KCNG3	-0.263
C14orf79	0.432666666666667
ENPEP	1.91466666666667
SCT	1.2455
SKI	0.4415
SEC61G	1.3235
CAPN11	0.43375
ATXN7L3	-1.00525
DBNDD1	0.515833333333333
FAIM	0.85
ANKRD36	-0.0865
GABRP	0.65
TACSTD2	1.9575
EIF3J	-0.09025
PPP2R2A	-0.79275
TEKT4	-0.771166666666667
PVALB	-3.288
F10	-3.13316666666667
FAM134C	0.183
COMP	4.221
EFCBP1	-3.3445625
SCLT1	0.630375
TAL1	-1.6646
ACSL1	0.5915
ABCC5	1.31791666666667
ABL1	-0.586333333333333
RBBP7	0.683416666666667
PTPRG	-1.80825
NCOR1	-0.5002
SPINK4	0.696166666666667
TXNRD1	-0.4778
TNRC15	0.524875
C9orf138	0.849
UBE2H	1.83683333333333
BRDT	1.40316666666667
C8orf31	0.43825
CCNE2	0.587818181818182
SLC6A8	-2.256125
CALCR	-1.926
PPP1CB	-0.461666666666667
ABHD8	-1.152
ARF5	0.7992
SLC24A4	0.78175
CCT3	0.471
ZNF121	0.942875
SLC3A2	-0.9272
OR13A1	0.729
SLC5A10	0.75525
RAD50	0.6395
IER5	0.283625
MTHFD1L	-1.844125
MBTPS2	0.4855
MVK	0.29675
NCL	-0.9623
PSMD10	-0.92925
MOBP	-0.046625
FLJ32894	1.83
HRH1	0.315
C5orf30	1.17325
NUDT16L1	1.1777
RASGRP3	3.817
PRKRIP1	0.3107
CCDC75	0.68375
LOC253970	0.6625
KIAA1239	-0.08925
MED21	-0.2925
SYT11	-0.431083333333333
NTSR2	-0.173
EGFL11	-0.64
CXorf59	-0.07
OR2A25	0.36825
SPTBN2	-0.247
LRMP	-1.62916666666667
RNF111	0.03175
PTH	-0.005
LOC619208	0.445166666666667
KIAA0895	0.086
RANBP5	-1.294
P2RY10	1.3395
NME5	3.43366666666667
DDX21	-0.525
LRSAM1	0.6445
HDAC11	3.2645
VMO1	1.043
NOLA2	0.529666666666667
ADAR	1.56016666666667
MTO1	-1.10683333333333
SF4	0.0241666666666667
P2RX1	-0.431666666666667
HBM	0.59925
EN2	0.6685
C14orf172	0.469
TM9SF2	0.5426
INHBE	-1.49816666666667
TCTE3	0.528416666666667
TOX2	-3.3015
CTAGE3	0.77775
HBB	3.6622
MED15	-1.1505
CASR	0.21475
C6orf66	0.0523333333333333
MTPN	0.682625
UNC50	0.139
C21orf33	0.6095
IRF2	0.906375
PGR	3.1605
GPR84	1.72225
CROCCL1	-2.34125
SRPX	-3.47075
BRE	0.530166666666667
FGF10	-0.5285
SDC3	-0.732
ZRSR1	-0.175333333333333
DKFZP434P211	-0.41
SOX6	-1.482
RPUSD2	0.05375
C14orf173	0.0511666666666667
MAPK11	-0.6715
TBC1D22A	0.1595
FAM123A	0.016
COL4A6	-3.76633333333333
TOMM70A	-1.0195
NAB1	0.38275
MGC16385	1.04
TSPAN18	-0.091
MED31	-0.032
PLG	-0.0766666666666667
CAPSL	2.1085
ZNF532	0.4891
ASB14	-0.67175
CA8	2.19425
NUDT16P	2.40516666666667
SLFN11	-1.819
LRRIQ2	-0.15025
NOL7	-0.162833333333333
BRMS1L	1.1305
JARID1A	0.732166666666667
PANK2	0.01875
ICAM3	-0.5635
MDS1	0.21375
TAF8	-0.0405
RNF139	1.19825
ZNF594	-0.6325
ADAM8	3.092375
SFTPC	-0.137125
MAN2B2	0.341125
RGS12	0.6225625
EIF1AY	-4.66008333333333
LRRIQ1	0.313
GPR150	0.86925
CCDC21	-1.63183333333333
PRRG3	0.33175
SAA4	-2.924
RAPGEF5	2.456375
ZCCHC2	1.33883333333333
MGC39372	-0.5435
PPP4R2	-0.0203333333333333
CDCA2	-1.22133333333333
OR4D5	0.0615
PTGFRN	-0.0137
SIGLEC5	1.69733333333333
C19orf61	-0.874
NMUR2	0.0485
KIAA1586	-1.47383333333333
DAGLA	-0.177333333333333
CHCHD6	0.315
GPR32	0.427
NEUROD6	0.1015
SLC2A4RG	1.56175
CA5B	0.208
FBXL3	0.52
MPHOSPH9	-0.4195
HMG2L1	-0.06425
HCN4	0.445666666666667
CEACAM19	-0.17175
SH2D4B	0.118166666666667
HFE2	-1.3545
TGM4	-0.1665
LYPD2	0.19925
TBC1D15	-0.096
MRPS21	-0.2844
NONO	-1.4677
CLEC5A	0.39875
ITCH	0.1233
MGAT3	-2.34633333333333
MBP	-0.484
RPP25	0.18075
SOSTDC1	-2.55225
HRC	-0.98075
TRIM48	-0.7225
TMEM133	-1.40375
ECEL1P2	-1.48525
HOXC11	-0.0915
DOK5	-1.4855
HELZ	0.399333333333333
LOC348180	-0.85475
MGC33894	0.42225
ADRB3	-0.0825
DMD	-0.662416666666667
PTRH2	-0.2895
MPEG1	2.84083333333333
NDUFA12	0.482333333333333
KRTAP2-4	0.3255
STAMBPL1	-2.388
ADCY2	-0.987166666666667
UNQ6125	0.611
KLHL20	0.356166666666667
SRM	-1.52875
OTC	0.08025
TMIE	0.7855
SNX8	-0.221
LIPK	0.022
CHURC1	0.584166666666667
KLC2	0.0355
HDAC1	-0.037
FAM128A	0.831666666666667
FNDC3B	-0.6541
MTCP1	-1.02933333333333
WFDC10B	1.1613
PCDHGB3	0.802
ATRNL1	-3.0148
CAV2	-1.99475
MED26	-0.633166666666667
DUS1L	-0.1025
CHRM3	-1.7715
NEK9	-1.2915
WARS2	-0.40225
TBX22	-0.438
TOMM40	-1.21425
RP6-213H19.1	1.8005
TUBGCP5	-0.67175
IGSF6	4.96375
TPPP	0.230666666666667
UNQ6190	0.307
GSTM5	2.475625
BTD	1.4035
PDCD1LG2	0.265333333333333
SNRPB2	-0.212333333333333
ERICH1	-0.331875
APOA4	-1.39725
HOXA11	-2.1585
NARG1	-0.21125
MKX	-1.33875
RAB28	-0.437214285714286
PKP3	1.932
SH3GL2	-3.184
CTSO	2.40125
RPN2	1.0548125
IL28RA	1.27733333333333
SFMBT1	0.684
WDR57	-1.17325
FER1L3	0.83475
HSF5	0.345166666666667
TTC9B	0.11875
C4BPA	-3.88816666666667
ALB	-5.12142857142857
SORBS3	0.8175
UPF2	0.032
JPH1	0.6375
AGBL2	-1.1295
DOPEY1	1.441
TERF1	-0.307583333333333
KIF22	-0.2325
NINJ1	1.805
SEC61A2	1.0755
HIST1H1D	0.183
SFXN4	-0.712
UCP3	0.1625
ZNF703	1.75583333333333
MYL6B	-0.84575
TREM1	1.305
OR52E6	0.779
CKMT2	-0.91325
HLA-C	2.51775
SLC13A3	-0.0316666666666667
TIMP4	-2.984
SLIT2	0.523
RSF1	0.721555555555556
LONRF1	-1.07364285714286
MON1A	-0.4295
CACNG6	2.18183333333333
DPPA4	-5.62316666666667
ZSWIM3	1.38425
ZNF804A	-0.0608333333333333
CCIN	1.31975
SLC25A31	0.115
KCNMB4	-2.13575
RABL5	1.32625
GALNS	0.2497
STX6	1.50275
HIST1H1C	-2.20783333333333
CIDEB	-1.03175
CASP4	0.3325
PDK3	0.4093
KCNJ11	1.4985
TPR	-0.173
ZSCAN20	-1.479
MTX2	0.10025
HIST1H2BH	0.82
LOC283767	-0.6935
LYRM7	-0.980333333333333
BRD3	0.290666666666667
HIST1H2BO	0.05825
MAGEB10	0.488
SLC45A1	-0.0695
SERPINA3	0.9429
KIAA0143	2.2245
KCNJ16	-0.1024
KRT79	0.7
FABP2	-0.64675
NUT	-0.08075
ZNF57	-0.05125
FBXL4	-0.035125
CLEC9A	1.563
UGT8	-1.38666666666667
BMP2K	0.11775
MAPK4	-3.221
SLC25A23	-0.8066
HINT1	-0.2253
KRTAP13-1	0.198
SFXN5	0.9097
CHCHD2	-0.179916666666667
FAM3D	1.187
NDP	-4.0785
RHOBTB1	1.07
SLC4A4	-2.091875
RPL38	0.308
HTF9C	-1.04733333333333
AP2A2	0.753625
ZBTB46	-0.1395
MAP7D1	0.037875
AOX1	-1.7595
CYR61	-1.75558333333333
DTNA	0.2995
JRKL	-0.8395
TMOD3	-0.19125
EEA1	0.7184
ADCK5	1.43775
IL1R1	1.35183333333333
KLK3	0.502
HRSP12	1.02175
KTN1	-0.375
LOH11CR2A	0.2848
RELL2	0.24575
MAB21L1	0.57825
C20orf59	-0.5805
PHKB	-0.000500000000000002
ADAM2	-1.815
TBC1D8B	0.109
FAM13A1	-1.748375
LAPTM4B	-1.83108333333333
LCN8	0.1155
TMEM147	0.1605
SYT4	-0.0985
XPO7	-0.643
C9orf62	1.17675
GPR75	1.171
TRIM5	0.569875
APOC1	1.1585
RNASE4	1.6845
PARD6B	1.548875
ARID1A	-0.372583333333333
TPD52L3	0.5627
RRAGB	-0.9195
RCN2	-0.403666666666667
HIST2H2BE	-0.3861875
STARD7	-0.81425
SHMT2	-1.23525
KIAA1751	0.143833333333333
MLYCD	0.46725
LOC162632	-0.0755
UQCRH	-0.80825
RP11-217H1.1	0.455
SDHA	-1.0825
NCLN	-0.169
ZNF17	0.956333333333333
RCBTB2	-2.3065
VEGFB	0.1407
RP4-747L4.3	-0.04225
COLQ	2.7397
MPN2	-0.646666666666667
DRG2	-0.3695
KLRB1	4.1475
ALPK2	-2.84175
DNASE2B	2.45475
FLJ23834	-0.93
AXUD1	-0.727333333333333
SAFB	-0.3829
NSUN4	-0.146
RFX2	0.350666666666667
MAPK8IP1	-0.5845
FANCD2	1.115
ANKZF1	-1.81533333333333
C19orf50	-0.534625
DUSP8	0.95325
SENP5	1.686875
NFKBIL2	-0.122
LBR	-1.02825
IGFL1	-0.568
LZTS2	1.081375
IL2RG	-0.34325
CCDC51	-0.60625
KLF3	0.399625
ANKRD37	-1.79975
KCTD14	0.247833333333333
FZR1	-0.00258333333333334
SLC44A4	3.3682
ESPL1	-0.37725
GMPR2	-1.2577
TBC1D19	-0.376333333333333
ERGIC1	0.759518518518519
ERBB4	0.7338
TSPAN32	0.254083333333333
MAP4	-0.76175
GPHN	-0.866
SLC6A2	0.302125
HIVEP1	0.73475
DFFB	-0.9082
EIF4EBP2	0.98225
DMRT1	-0.8755
HSPB6	-0.4085
IER2	-0.464833333333333
AIFM1	-0.4295
WWC2	0.9415
MRPL4	-0.7035
FLJ21062	0.445
EPB41L4A	1.329
SH2D6	0.33275
TAF4B	-1.25775
GAL3ST3	0.1375
MALT1	-0.489833333333333
RTDR1	0.98725
ARVCF	-0.252875
MEX3B	0.517
FBXO16	0.66525
KIF7	-1.7475
C1QC	4.05166666666667
ZNF783	0.273166666666667
ZNF85	1.16525
MMP13	2.512
KIAA0329	-0.749375
RTP3	-0.7135
ZBED3	-1.49075
CLGN	-0.27725
SLC25A37	-2.387
hCG_18290	-1.165
OR5AS1	0.398
SMARCC2	0.37275
FAM109A	-0.13
CCDC12	-0.8565
USF2	-0.3598
DEPDC7	-3.31725
C20orf24	0.4415
JMJD3	0.1145
DSP	1.39728571428571
SLIC1	0.5325
FAM20A	-0.0675
IRF2BP2	0.9465
ZNF230	-0.8005
MSN	-1.85057142857143
SLC9A5	-1.472
EPDR1	-3.0176
MUSK	-0.0205
ZNF434	-0.367333333333333
SMARCD1	-0.405166666666667
ZFP106	-0.724
ZNF347	1.0011
GTF2E1	0.85375
RY1	-0.463
