Hybridization REF	TCGA-A2-A0YC-01A-11R-A109-07
RBPMS	0.4837
PRPF3	-0.310333333333333
EMR1	-2.1895
SPATA19	-0.02425
XCR1	0.5805
IRX3	1.6441
RBM6	-0.564
KLF4	-1.0871
UNC5CL	-0.08425
SEBOX	0.3095
BTK	-0.639
KRCC1	1.19875
C6orf27	0.1945
SYTL5	1.352
PRND	2.450125
LOC653319	-0.7795
PIGL	-1.472625
HUS1	-0.469333333333333
SFRS6	0.600666666666667
C17orf77	0.6125
UIMC1	-0.655
FXYD2	-2.0607
LOC283152	1.5785
ZNF667	-1.1675
ZCCHC12	-0.37925
TFEC	2.8441
ATP7B	0.194666666666667
POLD2	-1.012
RG9MTD1	-0.22575
ACOT2	1.30166666666667
HIST1H4I	-0.844625
PPARGC1A	-2.888
ETFA	-1.7165
POLRMT	-0.70425
ZNF146	-0.11275
MIA2	-0.793
KLHL6	-0.665
HOXB5	1.139375
NENF	0.911333333333333
CUGBP1	0.1835
PRSS22	1.57916666666667
CASC4	1.1678
CUL4B	0.7362
CENPJ	-1.8438
PITX1	1.25116666666667
FLJ31033	1.648
CELSR3	-1.31233333333333
ZNF568	0.67425
ITSN1	-0.3615
EHBP1L1	-0.674333333333333
C19orf2	-0.15775
DCTN1	0.2145
LIN28B	-2.90983333333333
TNKS2	-1.03575
C1QBP	-0.112875
CADPS2	0.39725
SRMS	0.2015
GJA9	0.349666666666667
MGC24975	-0.4725
TRIM45	0.588333333333333
TSP50	0.0625
TCP1	-1.05075
TMED7	0.7127
CMA1	1.04
CENPL	-0.974833333333333
PTCRA	-0.2325
FST	-4.0915
VWCE	-4.04375
PAWR	-1.818
ABCC12	0.861
LDLR	-1.191
ASTN2	1.1856
LOC441212	-1.696625
GPATCH8	0.25375
TANC2	0.71225
KIF4A	-1.78325
C18orf18	-0.30025
PGM1	-0.89025
KIAA0258	0.46275
CPD	2.11425
SNCAIP	-1.32725
DCT	-4.50316666666667
HLA-DOA	2.38542857142857
OR11L1	0.0545
UPK1B	-0.436333333333333
DNAJB4	0.085375
UGT1A8	-0.797
HIST1H4L	-2.5055
PECR	-1.17216666666667
HSPA2	-0.684
WFIKKN1	-2.212
SERP1	1.604875
SYDE2	2.214
TACR2	0.521
NUP85	-0.11875
CD177	-0.249833333333333
LGR5	-1.64883333333333
PIGG	0.450583333333333
PTHR1	-2.031
RAB5A	0.4943
FLJ13224	-0.1975
USP9Y	-1.26683333333333
C7orf53	-1.65
LRP1B	3.16125
XAF1	3.7304
ABCG8	-0.2135
ANKDD1A	-0.269666666666667
DAND5	-0.972
SPAG6	0.225333333333333
LINCR	0.557
ZDHHC22	-1.14275
CCDC60	0.315
THOC7	-1.0635
TCTA	1.4011
OR8K3	0.1525
NY-REN-7	-1.187
B2M	1.2555
C6orf141	-0.186
LPPR4	2.214
SQLE	-2.579625
SEPHS1	-0.9175
BTBD14B	0.099
PLRG1	0.03525
SPG7	-0.7201875
ZNF614	-0.154333333333333
PARD6G	0.351833333333333
INPP5B	-0.0597
GRPEL2	-0.104875
PPID	-0.6166
TRIM56	-0.04625
UBE2J1	0.036
IL20RA	4.76075
LOC387856	0.75575
C1orf107	0.87875
UTS2R	-0.01375
C19orf22	0.03325
SAFB2	0.000625000000000001
KIAA0652	0.23575
KLRG1	0.00683333333333333
MS4A8B	0.765
FRAG1	0.2
KIAA1546	0.72675
E2F4	-1.4861
CLEC4M	-0.219666666666667
BTBD14A	-1.5195
KIAA0999	0.4997
GYPA	-3.1885
TAC1	1.0758
TRAIP	-1.49866666666667
KIAA0232	1.2764
ERCC8	-0.745625
GPX4	1.583125
KIAA0368	0.612625
GPR157	-1.0255
CTAGE4	1.0775
C9orf30	-1.44766666666667
OR52A1	-0.325
HSP90B3P	-0.6165
ALG9	-0.5547
BTBD10	0.5145
SDK2	0.04675
BAIAP3	-1.506
RABGGTB	-0.88225
ANKRD40	0.736333333333333
KRT74	0.261
CALCOCO2	1.61457142857143
SNCA	-2.995
TMSL8	-3.28125
C2orf53	0.472
ESRRB	-0.5875
ARHGAP26	-0.5345
TDRD9	-2.83675
HRAS	-0.0525
KLRC4	-0.5435
JAGN1	0.192833333333333
BSDC1	0.6065
RNF43	-0.4882
NDUFAF1	0.45775
PHF12	0.7055
OR1L3	0.00575000000000001
FOLR2	1.88466666666667
LYZL6	0.454666666666667
tcag7.1260	-1.8635
WSB1	-0.904833333333333
PROS1	-0.6805
OSTN	0.1225
PSMB8	1.20075
SOCS4	0.401875
DDIT4L	0.498
MAS1	0.052
MGC34796	1.816
CSHL1	0.0803333333333333
TBCCD1	0.163166666666667
ZBTB7C	-0.3785
AP2S1	0.200875
P15RS	0.8762
VAT1	-0.01
SHANK3	0.8
TUFM	0.1585
THEG	-0.481
KRT34	-1.82
SGSM3	-0.101
TOMM22	-0.4295
SOCS3	0.641
CPO	0.687
POP4	0.159
BHLHB3	0.675
MALL	0.76725
OR1B1	-0.381
PARK2	0.8665
GPR124	0.35125
LCE1E	0.382
RUVBL2	-0.8265
CGRRF1	0.6724
ACPL2	-0.68475
WNT10B	-2.812
BAIAP2L2	-2.399375
ISCA1	0.8145
C1orf125	0.74175
RPAP1	-0.834
RAI16	-1.01433333333333
RPL27	-0.352625
NLRP9	-0.3785
EPN1	0.084
LOC388610	-2.664375
SLC35A1	1.1064
GAL	-4.437
SLC14A2	-0.04775
RDH11	-0.458333333333333
FAM138F	-0.9295
AUH	0.51225
FLJ40243	-0.32825
C14orf129	1.23616666666667
MBD2	-0.152666666666667
ABHD14B	0.467875
PIGT	1.34025
ALS2CR4	-0.51725
ALAS1	0.2589
FOXO1	0.882333333333333
CRLF3	-0.103125
C20orf107	0.129
FARS2	1.05775
CCDC28A	1.28425
NPHP3	-0.36975
OR13F1	0.208
TSEN54	-0.46325
DEFB106B	0.0502
OR8B4	0.376
STH	2.68575
ZC3H14	-0.209625
CBX2	0.0685
TMEM49	-0.1515
C6orf21	0.411
FLJ20920	1.517
CRTAP	0.192214285714286
DDX50	-0.21525
STYXL1	0.36425
BLVRB	0.379
LOC147650	-0.630166666666667
MMP24	0.10575
GRID1	1.4065
BANF1	0.344
CTAGEP	0.70475
HMBS	-2.35725
SLC25A24	1.04333333333333
C14orf50	-0.3915
MRO	1.2855
SLC25A15	-0.70775
FAM84B	1.2305
TDP1	-1.006
C16orf78	-0.145666666666667
C11orf57	-1.10025
RFK	-0.161875
ZFYVE9	-1.74075
STCH	-0.2777
WIBG	0.409
LOC283871	-0.084
GBA2	-0.3435
NDUFB3	-0.27725
HSD17B13	0.4715
GRIN3A	1.84816666666667
FMNL1	-0.380666666666667
SEPT7	-0.233
GNLY	3.06
GRAMD1C	1.309
ZNF165	0.5415
USP38	0.883
FAM83A	-2.12866666666667
C14orf24	0.578916666666667
ARMCX3	1.127125
ARHGDIB	1.33583333333333
AK1	0.089875
KIAA1045	-0.038
DNAJB13	-0.282
NEU2	-0.04
HIST1H4B	-1.84016666666667
FAM20B	0.0672
HES2	-0.240214285714286
FAM73B	-0.3677
LOC388381	-0.2445
INTS7	0.176727272727273
AMPH	1.36025
ZNF775	-0.567375
UCKL1	-0.729166666666667
C10orf97	0.53
C1orf161	0.19775
ALDH1L1	-0.77525
FLJ39378	-0.148
SLC23A1	-1.1735
RBM4B	0.5975
THAP4	0.0788333333333334
OGFRL1	0.28525
KIAA0831	0.52275
PPP1R15A	-0.630666666666667
C1orf96	-0.544357142857143
C12orf11	-1.92925
BMF	0.376625
MAN1A1	0.982
KIAA1600	0.6845
NLGN4X	-0.91475
ALOX12	-1.18416666666667
RB1CC1	-0.0257
NEIL2	0.3422
EIF4E	-0.379909090909091
ABHD5	-0.061
EXOC4	0.563833333333333
CIP29	-0.206666666666667
BATF2	1.6105
SLC29A4	-1.129375
HTR4	0.194
EMB	-1.49075
TRAF6	0.68725
LMNB1	-2.736
FAM19A5	-1.425
SHE	1.66875
PIK3C2B	0.72175
C15orf15	-0.5967
USP15	0.0529
TCEAL2	-0.85375
C5orf39	-1.5915
PTGER2	-0.55475
SLC31A1	-0.3733125
IFT172	0.3945
ADAM29	-0.10525
GFOD1	-0.22225
ST7L	0.691833333333333
C15orf26	-2.90425
PKN3	-0.64075
CNTD1	2.90533333333333
COMMD1	0.274
NTRK2	2.878
FOXN3	-0.384125
MFGE8	0.3546
PFKFB2	1.11283333333333
TAS2R4	0.2895
ENTHD1	0.683833333333333
PRMT5	-0.326125
MGC16384	-0.745125
LOC442229	-0.73725
TSKU	0.17225
KRTCAP3	-2.838625
PDLIM1	0.8303
KCNS2	0.21975
RNF126	-0.464833333333333
CEP63	0.39975
CLIC4	-0.171625
hCG_1990170	-0.877
ACR	0.4278
KLK7	-0.022
ALOX5AP	3.450125
RIPK3	3.722
TAS2R9	0.3515
C19orf18	1.8975
BIRC6	-0.0866428571428572
ZNF16	0.6265
RFT1	0.0895
SLC8A2	-0.727
TACC1	-0.63
ITGAD	1.14575
SAMHD1	1.25725
SH3PXD2B	0.3475
EPC2	0.74625
C20orf85	0.52
ATP13A2	0.425333333333333
KRT4	0.2735
CAPNS1	0.6455
MDM2	0.09825
PCDH20	2.47325
KCNK9	0.717
OR2C1	-0.278
KLHDC3	-0.681166666666667
IPPK	1.3825
EFHD2	0.07225
GALR3	-0.12625
NBEA	1.07516666666667
ABCA6	2.6516
CLDN3	0.264833333333333
AKT2	-0.930214285714286
EGFR	-2.4173
RBM16	0.715625
ZDHHC3	0.1664
SLC25A4	-0.208833333333333
CYB5B	-1.096
CPXM1	-0.751
NDRG1	-1.18946153846154
FLJ43826	0.367
OR5L2	0.157166666666667
FARP2	0.5352
MRPL46	-0.247083333333333
LDHAL6B	0.409
MAPKAPK3	-0.6235
NCAM2	-0.68175
PRKD2	0.1505
ZFP36L1	0.6921
CYSLTR1	1.42175
OR4C3	0.257
HIST1H2AJ	1.8985
CCNB2	-2.55233333333333
ZNF10	-0.19525
TMEM175	0.083
FAM134A	0.716666666666667
TIGD4	0.465
PCNP	-0.1225
MGC39715	0.27
LQK1	-0.12225
CREB1	0.866
TMPRSS3	-0.26575
C4orf32	2.233
LAT	-1.63808333333333
KCNA3	0.355
SKIV2L2	-0.399
ROPN1B	-2.93625
tcag7.23	-0.321
CDT1	-3.592625
ZHX2	0.993875
CD28	-2.741
ZNF624	0.359
SEPT2	0.73575
SOHLH2	0.726625
MCOLN3	-0.18625
UNQ1945	0.2435
MASP2	-1.2915
ZNRF3	1.0553
GPATCH3	-0.3025
AGL	-0.2005
QRICH2	-0.403
PSD4	0.8545
CCNB1IP1	-2.1095
ENPP7	-0.20125
OBFC1	0.574
KCNG3	-2.208
C14orf79	1.35683333333333
ENPEP	2.44533333333333
SCT	1.77
SKI	0.112375
SEC61G	-1.76275
CAPN11	0.572
ATXN7L3	0.09025
DBNDD1	-0.4635
FAIM	0.15975
ANKRD36	-0.8015
GABRP	0.197166666666667
TACSTD2	1.80716666666667
EIF3J	-0.5745
PPP2R2A	0.35425
TEKT4	-0.0176666666666667
PVALB	-4.0055
F10	-3.1675
FAM134C	0.8039
COMP	4.098875
EFCBP1	-2.1265
SCLT1	0.111625
TAL1	-0.9487
ACSL1	0.75725
ABCC5	-0.1245
ABL1	-0.407666666666667
RBBP7	0.136916666666667
PTPRG	-0.267
NCOR1	-1.3883
SPINK4	-0.463
TXNRD1	-1.4276
TNRC15	0.595125
C9orf138	1.059125
UBE2H	1.00783333333333
BRDT	1.87566666666667
C8orf31	-0.08125
CCNE2	-1.28618181818182
SLC6A8	-2.988875
CALCR	-3.14925
PPP1CB	0.3955
ABHD8	0.71375
ARF5	-0.2709
SLC24A4	0.51925
CCT3	-0.0165
ZNF121	0.52675
SLC3A2	-0.0332
OR13A1	0.088
SLC5A10	-0.1375
RAD50	0.0345
IER5	-0.05875
MTHFD1L	-2.412875
MBTPS2	0.689
MVK	-0.982625
NCL	-0.2333
PSMD10	0.064
MOBP	0.063875
FLJ32894	-0.6675
HRH1	-1.06366666666667
C5orf30	0.9355
NUDT16L1	0.9755
RASGRP3	3.60533333333333
PRKRIP1	-0.3625
CCDC75	-0.178
LOC253970	-0.12525
KIAA1239	0.47725
MED21	-0.37925
SYT11	0.3525
NTSR2	0.2245
EGFL11	1.6545
CXorf59	1.3
OR2A25	0.27925
SPTBN2	0.503
LRMP	-1.06716666666667
RNF111	0.81675
PTH	-0.262
LOC619208	0.3835
KIAA0895	0.615
RANBP5	-0.859375
P2RY10	0.621666666666667
NME5	4.02016666666667
DDX21	-0.99125
LRSAM1	0.943
HDAC11	1.77683333333333
VMO1	1.70525
NOLA2	0.0563333333333333
ADAR	1.39641666666667
MTO1	-0.175
SF4	-0.243
P2RX1	0.463833333333333
HBM	-0.11425
EN2	0.144
C14orf172	-0.54475
TM9SF2	0.9504
INHBE	-1.37366666666667
TCTE3	-0.258666666666667
TOX2	-1.466
CTAGE3	0.84125
HBB	3.1381
MED15	-0.250833333333333
CASR	0.1335
C6orf66	-1.43016666666667
MTPN	-0.03575
UNC50	0.2525
C21orf33	-0.1275
IRF2	1.128875
PGR	4.02916666666667
GPR84	2.541
CROCCL1	-2.513
SRPX	-1.23
BRE	0.825666666666667
FGF10	0.42025
SDC3	-0.686166666666667
ZRSR1	0.601333333333333
DKFZP434P211	-0.105375
SOX6	-0.8685
RPUSD2	-0.24
C14orf173	-0.760083333333333
MAPK11	-0.652666666666667
TBC1D22A	0.5595
FAM123A	-0.564
COL4A6	-3.04766666666667
TOMM70A	0.0105
NAB1	0.49925
MGC16385	-0.766125
TSPAN18	-0.808166666666667
MED31	0.43725
PLG	-0.35425
CAPSL	1.7485
ZNF532	0.4438
ASB14	-0.2625
CA8	-3.283
NUDT16P	-0.1615
SLFN11	-0.623
LRRIQ2	0.930875
NOL7	-0.885666666666667
BRMS1L	-0.464375
JARID1A	0.460166666666667
PANK2	-0.12225
ICAM3	-0.96275
MDS1	-0.5915
TAF8	-0.3935
RNF139	1.03175
ZNF594	1.124
ADAM8	1.495
SFTPC	-0.307
MAN2B2	1.439625
RGS12	0.3621875
EIF1AY	-4.43391666666667
LRRIQ1	-0.750833333333333
GPR150	0.163
CCDC21	-1.04683333333333
PRRG3	0.371
SAA4	-2.84475
RAPGEF5	1.73125
ZCCHC2	0.0555833333333334
MGC39372	-0.014
PPP4R2	0.543833333333333
CDCA2	-1.98983333333333
OR4D5	0.598
PTGFRN	1.1183
SIGLEC5	1.92533333333333
C19orf61	-0.202833333333333
NMUR2	0.0845
KIAA1586	-0.658666666666667
DAGLA	0.351833333333333
CHCHD6	-1.01175
GPR32	0.57
NEUROD6	0.172
SLC2A4RG	-0.068125
CA5B	-0.169
FBXL3	1.41575
MPHOSPH9	-0.80425
HMG2L1	1.054
HCN4	-0.112
CEACAM19	-0.03725
SH2D4B	0.429
HFE2	-0.772
TGM4	-0.95925
LYPD2	-0.275
TBC1D15	0.238
MRPS21	0.0916
NONO	-0.6806
CLEC5A	2.720375
ITCH	-0.5013
MGAT3	-1.1665
MBP	-0.695625
RPP25	-1.363
SOSTDC1	-1.9445
HRC	-1.7295
TRIM48	0.079
TMEM133	0.3405
ECEL1P2	-1.11675
HOXC11	1.0065
DOK5	-0.501
HELZ	0.9305
LOC348180	-1.5985
MGC33894	0.06175
ADRB3	0.3015
DMD	-0.257166666666667
PTRH2	-0.639
MPEG1	2.81016666666667
NDUFA12	-0.435
KRTAP2-4	-0.162181818181818
STAMBPL1	-1.2265
ADCY2	0.3005
UNQ6125	0.5145
KLHL20	0.268166666666667
SRM	-1.49625
OTC	-0.148
TMIE	0.0316666666666667
SNX8	-1.213
LIPK	-0.003
CHURC1	1.17558333333333
KLC2	0.110833333333333
HDAC1	-0.0545
FAM128A	0.646166666666667
FNDC3B	-0.1374
MTCP1	-0.0585
WFDC10B	-0.3173
PCDHGB3	0.31
ATRNL1	-0.9263
CAV2	-0.217375
MED26	0.146166666666667
DUS1L	0.30025
CHRM3	-1.1965
NEK9	1.15
WARS2	0.2495
TBX22	0.531
TOMM40	-0.95475
RP6-213H19.1	-3.00966666666667
TUBGCP5	0.0515
IGSF6	4.68425
TPPP	0.4855
UNQ6190	0.283
GSTM5	0.523625
BTD	1.59583333333333
PDCD1LG2	0.398833333333333
SNRPB2	-0.694
ERICH1	-0.898
APOA4	-1.78625
HOXA11	-1.264
NARG1	-0.4825
MKX	2.536
RAB28	-0.0100714285714286
PKP3	0.8
SH3GL2	-2.36075
CTSO	4.1335
RPN2	-0.1130625
IL28RA	0.961833333333333
SFMBT1	1.34925
WDR57	-0.45075
FER1L3	1.45675
HSF5	0.069
TTC9B	-0.05125
C4BPA	-3.94616666666667
ALB	-4.04423076923077
SORBS3	0.545375
UPF2	0.1155
JPH1	2.1085
AGBL2	1.909
DOPEY1	1.445
TERF1	-0.2585
KIF22	-0.4225
NINJ1	1.59125
SEC61A2	-0.37125
HIST1H1D	-0.39
SFXN4	-0.681625
UCP3	-0.1186
ZNF703	0.9305
MYL6B	-0.371
TREM1	2.27425
OR52E6	0.5935
CKMT2	1.50425
HLA-C	2.008625
SLC13A3	-2.73883333333333
TIMP4	-0.49425
SLIT2	1.73625
RSF1	-0.197388888888889
LONRF1	-0.478928571428571
MON1A	-0.0326666666666667
CACNG6	-2.32366666666667
DPPA4	-5.70883333333333
ZSWIM3	0.026
ZNF804A	0.252166666666667
CCIN	1.11025
SLC25A31	-0.1475
KCNMB4	-1.3785
RABL5	0.758625
GALNS	-0.5172
STX6	0.901625
HIST1H1C	0.317
CIDEB	-0.238375
CASP4	-0.301333333333333
PDK3	-0.014
KCNJ11	1.874
TPR	-0.1975
ZSCAN20	-0.516
MTX2	-0.06925
HIST1H2BH	0.83975
LOC283767	1.05975
LYRM7	-0.854166666666667
BRD3	-0.534666666666667
HIST1H2BO	0.65675
MAGEB10	-0.1885
SLC45A1	0.9335
SERPINA3	2.95825
KIAA0143	1.71275
KCNJ16	-0.228333333333333
KRT79	-0.57325
FABP2	-0.47875
NUT	0.00600000000000001
ZNF57	-0.085
FBXL4	0.563625
CLEC9A	0.536
UGT8	-1.65183333333333
BMP2K	0.3595
MAPK4	-3.67975
SLC25A23	-0.3621
HINT1	-0.9205
KRTAP13-1	0.376
SFXN5	1.1475
CHCHD2	-0.202916666666667
FAM3D	0.59
NDP	-3.6235
RHOBTB1	-0.1545
SLC4A4	3.346
RPL38	-0.26
HTF9C	-0.582333333333333
AP2A2	0.364875
ZBTB46	-0.1965
MAP7D1	0.477375
AOX1	-0.317333333333333
CYR61	0.0838333333333333
DTNA	-0.928
JRKL	-1.1165
TMOD3	0.074
EEA1	0.0251
ADCK5	-0.799
IL1R1	0.4695
KLK3	0.156785714285714
HRSP12	-0.25775
KTN1	0.474
LOH11CR2A	0.9649
RELL2	-1.786
MAB21L1	0.52875
C20orf59	-1.54216666666667
PHKB	0.178
ADAM2	-1.20283333333333
TBC1D8B	1.29933333333333
FAM13A1	-0.2968125
LAPTM4B	-2.21891666666667
LCN8	-0.278
TMEM147	0.104
SYT4	0.497833333333333
XPO7	-0.522
C9orf62	-0.07875
GPR75	0.233
TRIM5	0.6745
APOC1	-0.0163333333333333
RNASE4	1.2225
PARD6B	0.0975
ARID1A	0.798333333333333
TPD52L3	0.1916
RRAGB	1.18733333333333
RCN2	-0.284
HIST2H2BE	1.4835
STARD7	0.08975
SHMT2	-1.74975
KIAA1751	-0.25
MLYCD	-0.087375
LOC162632	0.1908
UQCRH	-1.63175
RP11-217H1.1	0.0733125
SDHA	-0.930666666666667
NCLN	-0.6935
ZNF17	0.8485
RCBTB2	-1.65175
VEGFB	0.3351
RP4-747L4.3	0.20875
COLQ	0.3928
MPN2	0.133166666666667
DRG2	0.6075
KLRB1	3.65975
ALPK2	-2.46225
DNASE2B	1.52725
FLJ23834	1.52733333333333
AXUD1	0.3535
SAFB	-0.2477
NSUN4	0.23375
RFX2	-0.387833333333333
MAPK8IP1	0.205333333333333
FANCD2	-0.999571428571429
ANKZF1	-1.89016666666667
C19orf50	-0.4315
DUSP8	-0.326
SENP5	-0.471875
NFKBIL2	-1.19025
LBR	-1.52225
IGFL1	0.1955
LZTS2	0.493375
IL2RG	-0.11775
CCDC51	0.41275
KLF3	0.285375
ANKRD37	-2.00825
KCTD14	-2.21533333333333
FZR1	0.0285
SLC44A4	3.5905
ESPL1	-1.089375
GMPR2	0.3463
TBC1D19	0.068
ERGIC1	0.307074074074074
ERBB4	2.5006
TSPAN32	-0.157166666666667
MAP4	-0.107375
GPHN	0.1855
SLC6A2	-0.16875
HIVEP1	0.55275
DFFB	-0.5225
EIF4EBP2	0.048125
DMRT1	-0.4285
HSPB6	0.1815
IER2	0.0458333333333333
AIFM1	0.02275
WWC2	-0.385166666666667
MRPL4	-0.57525
FLJ21062	1.68016666666667
EPB41L4A	0.2225
SH2D6	0.40675
TAF4B	-1.66825
GAL3ST3	-0.347
MALT1	-1.20433333333333
RTDR1	-0.476
ARVCF	-0.5625
MEX3B	-1.548
FBXO16	1.69825
KIF7	-1.10325
C1QC	3.30183333333333
ZNF783	-0.697666666666667
ZNF85	1.26575
MMP13	2.392
KIAA0329	0.29275
RTP3	-0.6535
ZBED3	-0.57825
CLGN	0.863
SLC25A37	-1.55058333333333
hCG_18290	-0.419
OR5AS1	0.243
SMARCC2	0.295083333333333
FAM109A	-0.102333333333333
CCDC12	-0.0135
USF2	0.3788
DEPDC7	-2.341
C20orf24	-0.8185
JMJD3	0.214
DSP	0.552428571428571
SLIC1	0.39175
FAM20A	0.99875
IRF2BP2	1.331375
ZNF230	0.484
MSN	-0.691357142857143
SLC9A5	-1.639
EPDR1	-1.3032
MUSK	0.292
ZNF434	0.434666666666667
SMARCD1	-0.1965
ZFP106	0.16325
