Hybridization REF	TCGA-A7-A0CH-01A-21R-A00Z-07
OR13F1	0.1365
TSEN54	-0.44025
DEFB106B	0.0457
OR8B4	0.232
STH	2.861
ZC3H14	-0.181
CBX2	0.1115
TMEM49	-0.679
C6orf21	0.5495
FLJ20920	1.1645
CRTAP	-0.069
DDX50	-0.034
STYXL1	0.518
BLVRB	-0.1335
LOC147650	0.128666666666667
MMP24	0.338
GRID1	1.449
BANF1	-0.293166666666667
CTAGEP	0.28425
HMBS	-1.9335
SLC25A24	0.403833333333333
C14orf50	1.999
MRO	-0.1855
SLC25A15	-0.684
FAM84B	1.5047
TDP1	-0.738
C16orf78	0.2655
C11orf57	0.106
RFK	-1.0275
ZFYVE9	0.12025
STCH	-1.0787
WIBG	0.89875
LOC283871	-0.464333333333333
GBA2	-0.1289
NDUFB3	-0.4915
HSD17B13	-1.22325
GRIN3A	0.883
FMNL1	-0.782
SEPT7	-0.9114
GNLY	1.391
GRAMD1C	1.08233333333333
ZNF165	-0.12375
USP38	0.15575
FAM83A	-3.09283333333333
C14orf24	0.4065
ARMCX3	0.615125
ARHGDIB	1.23416666666667
AK1	1.011375
KIAA1045	0.169
DNAJB13	-0.3535
NEU2	0.984
HIST1H4B	-1.1345
FAM20B	0.2485
HES2	1.4345
FAM73B	-0.0322
LOC388381	0.126
INTS7	0.208181818181818
AMPH	1.2795
ZNF775	0.321375
UCKL1	-0.5355
C10orf97	-0.13425
C1orf161	0.4915
ALDH1L1	-1.784
FLJ39378	-0.398375
SLC23A1	-0.5
RBM4B	0.7225
THAP4	0.6235
OGFRL1	0.35225
KIAA0831	0.4705
PPP1R15A	-0.132166666666667
C1orf96	-0.33
C12orf11	-2.46
BMF	0.50325
MAN1A1	-1.15475
KIAA1600	0.625666666666667
NLGN4X	0.53825
ALOX12	-1.17816666666667
RB1CC1	0.0032
NEIL2	0.6613
EIF4E	0.155909090909091
ABHD5	-0.04
EXOC4	-0.234
CIP29	-0.0145
BATF2	-0.642
SLC29A4	-0.652375
HTR4	0.08775
EMB	-1.05275
TRAF6	0.32475
LMNB1	-2.36375
FAM19A5	-0.688
SHE	0.84025
PIK3C2B	1.58925
C15orf15	-0.5694
USP15	-0.3797
TCEAL2	1.57025
C5orf39	-1.54583333333333
PTGER2	-1.05125
SLC31A1	-0.725875
IFT172	0.88175
ADAM29	0.47125
GFOD1	0.745
ST7L	0.941833333333333
C15orf26	-2.817
PKN3	0.18425
CNTD1	3.01816666666667
COMMD1	0.456375
NTRK2	1.86316666666667
FOXN3	-0.404625
MFGE8	-0.7004
PFKFB2	1.5035
TAS2R4	-0.339
ENTHD1	-0.600166666666667
PRMT5	-0.389375
MGC16384	-1.803375
LOC442229	-0.7055
TSKU	0.550875
KRTCAP3	2.9765
PDLIM1	1.2561
KCNS2	0.1275
RNF126	-0.338
CEP63	-0.172625
CLIC4	-1.014875
hCG_1990170	-1.422
ACR	0.6509
KLK7	1.2895
ALOX5AP	3.11475
RIPK3	4.29825
TAS2R9	0.4265
C19orf18	1.1975
BIRC6	0.014
ZNF16	1.3475
RFT1	-0.484
SLC8A2	-0.292
TACC1	-0.27275
ITGAD	0.989
SAMHD1	0.08225
SH3PXD2B	1.2317
EPC2	1.21425
C20orf85	1.52925
ATP13A2	0.562833333333333
KRT4	0.57725
CAPNS1	0.216
MDM2	-0.3725
PCDH20	0.501
KCNK9	0.931
OR2C1	0.3175
KLHDC3	-0.6995
IPPK	1.1995
EFHD2	0.231375
GALR3	0.70075
NBEA	1.1175
ABCA6	1.9928
CLDN3	1.97816666666667
AKT2	-0.565142857142857
EGFR	-2.652
RBM16	0.3705
ZDHHC3	0.2543
SLC25A4	0.0985
CYB5B	-1.44233333333333
CPXM1	0.506
NDRG1	-1.25607692307692
FLJ43826	0.32475
OR5L2	0.0481666666666666
FARP2	1.0586
MRPL46	-0.376916666666667
LDHAL6B	-0.0291666666666667
MAPKAPK3	-0.246666666666667
NCAM2	-2.3625
PRKD2	0.727666666666667
ZFP36L1	1.2331
CYSLTR1	0.37
OR4C3	0.26975
HIST1H2AJ	2.111
CCNB2	-2.93888888888889
ZNF10	0.010375
TMEM175	0.574
FAM134A	1.151
TIGD4	-0.35
PCNP	-0.3815
MGC39715	-0.07025
LQK1	-0.31875
CREB1	0.2123
TMPRSS3	1.758
C4orf32	2.75225
LAT	-2.0135
KCNA3	-1.1715
SKIV2L2	-0.64725
ROPN1B	-2.347
tcag7.23	-0.6085
CDT1	-3.419
ZHX2	1.373375
CD28	-3.76775
ZNF624	1.23425
SEPT2	0.197583333333333
SOHLH2	-1.951875
MCOLN3	-1.1265
UNQ1945	0.4945
MASP2	-0.9925
ZNRF3	-0.2863
GPATCH3	0.19075
AGL	0.428125
QRICH2	0.092
PSD4	1.4515
CCNB1IP1	-2.31175
ENPP7	0.1975
OBFC1	-0.61725
KCNG3	-2.378
C14orf79	1.6185
ENPEP	1.0315
SCT	0.8355
SKI	0.84
SEC61G	-1.5445
CAPN11	0.1195
ATXN7L3	0.1455
DBNDD1	-0.171333333333333
FAIM	0.065
ANKRD36	-1.2235
GABRP	2.20183333333333
TACSTD2	3.04733333333333
EIF3J	-0.701
PPP2R2A	-0.01025
TEKT4	-0.410333333333333
PVALB	-0.847333333333333
F10	-2.95616666666667
FAM134C	1.0851
COMP	4.844125
EFCBP1	-3.0945
SCLT1	-0.3765
TAL1	-1.2388
ACSL1	-0.54425
ABCC5	-0.087
ABL1	-0.372833333333333
RBBP7	-0.107916666666667
PTPRG	-1.0585
NCOR1	0.2264
SPINK4	-0.341166666666667
TXNRD1	-2.2758
TNRC15	1.100625
C9orf138	1.0845
UBE2H	0.886166666666667
BRDT	0.346166666666667
C8orf31	-0.202
CCNE2	-2.27663636363636
SLC6A8	-1.482125
CALCR	-4.14275
PPP1CB	0.978416666666667
ABHD8	0.43975
ARF5	0.1026
SLC24A4	0.53475
CCT3	0.468
ZNF121	-0.323375
SLC3A2	-0.7803
OR13A1	0.4195
SLC5A10	0.17075
RAD50	0.28725
IER5	0.382125
MTHFD1L	-2.8475
MBTPS2	0.077
MVK	-0.235
NCL	-0.0858
PSMD10	-0.32675
MOBP	0.341125
FLJ32894	-0.7565
HRH1	-0.428333333333333
C5orf30	1.89025
NUDT16L1	1.3807
RASGRP3	2.4985
PRKRIP1	-0.268
CCDC75	-0.1565
LOC253970	0.60075
KIAA1239	-0.072
MED21	-0.4245
SYT11	0.275416666666667
NTSR2	0.1735
EGFL11	-0.1385
CXorf59	0.7655
OR2A25	0.13925
SPTBN2	-0.8675
LRMP	-1.91866666666667
RNF111	0.0515
PTH	-0.3045
LOC619208	1.04416666666667
KIAA0895	1.5445
RANBP5	-1.192125
P2RY10	0.2405
NME5	4.655
DDX21	-1.2765
LRSAM1	0.2795
HDAC11	1.38716666666667
VMO1	1.83825
NOLA2	-0.442666666666667
ADAR	1.30316666666667
MTO1	-1.26716666666667
SF4	0.6835
P2RX1	-0.299333333333333
HBM	0.2085
EN2	1.1395
C14orf172	0.17475
TM9SF2	0.5804
INHBE	-0.7535
TCTE3	-0.102416666666667
TOX2	-3.51575
CTAGE3	0.00925
HBB	4.0813
MED15	-0.346666666666667
CASR	0.28225
C6orf66	-1.64
MTPN	-0.749875
UNC50	0.14875
C21orf33	0.303125
IRF2	1.144875
PGR	3.507
GPR84	1.8215
CROCCL1	-1.821
SRPX	-1.2875
BRE	0.515166666666667
FGF10	4.02875
SDC3	0.156333333333333
ZRSR1	0.688166666666667
DKFZP434P211	0.176
SOX6	0.3235
RPUSD2	0.1175
C14orf173	-0.24525
MAPK11	-0.5335
TBC1D22A	0.674
FAM123A	-0.6905
COL4A6	-2.139
TOMM70A	-0.0875
NAB1	-0.374875
MGC16385	-0.8635
TSPAN18	-0.444833333333333
MED31	-0.5405
PLG	-0.34175
CAPSL	3.875
ZNF532	0.5154
ASB14	0.02425
CA8	-1.77525
NUDT16P	1.948
SLFN11	-1.772
LRRIQ2	-0.345875
NOL7	-0.378833333333333
BRMS1L	-0.788
JARID1A	0.272833333333333
PANK2	-0.85475
ICAM3	-0.39675
MDS1	-0.63175
TAF8	-0.09925
RNF139	0.7675
ZNF594	0.513
ADAM8	3.324
SFTPC	-0.0765
MAN2B2	1.83175
RGS12	0.997625
EIF1AY	-4.63266666666667
LRRIQ1	0.757166666666667
GPR150	1.22525
CCDC21	-0.628
PRRG3	0.38925
SAA4	-3.92175
RAPGEF5	0.956375
ZCCHC2	0.015
MGC39372	-0.44
PPP4R2	-0.160833333333333
CDCA2	-2.373
OR4D5	0.546
PTGFRN	1.1845
SIGLEC5	2.04833333333333
C19orf61	0.49
NMUR2	0.396
KIAA1586	-1.2255
DAGLA	0.0313333333333333
CHCHD6	-0.4175
GPR32	0.973
NEUROD6	0.2465
SLC2A4RG	0.3316875
CA5B	-0.06375
FBXL3	1.70225
MPHOSPH9	-1.14925
HMG2L1	0.54625
HCN4	0.904333333333333
CEACAM19	-0.19525
SH2D4B	0.0836
HFE2	-1.2295
TGM4	0.393
LYPD2	0.48975
TBC1D15	0.188
MRPS21	0.4595
NONO	-0.779
CLEC5A	1.8785
ITCH	-0.3039
MGAT3	-1.70266666666667
MBP	-0.437875
RPP25	-1.0555
SOSTDC1	0.45375
HRC	-1.583
TRIM48	0.1235
TMEM133	-0.15025
ECEL1P2	-1.34125
HOXC11	-0.447
DOK5	-0.962
HELZ	0.247833333333333
LOC348180	-1.048
MGC33894	0.482
ADRB3	0.4265
DMD	-0.260166666666667
PTRH2	-0.73275
MPEG1	2.32633333333333
NDUFA12	-0.250166666666667
KRTAP2-4	0.151916666666667
STAMBPL1	-1.04783333333333
ADCY2	1.4345
UNQ6125	0.6395
KLHL20	0.167
SRM	-1.192
OTC	-0.66525
TMIE	0.2075
SNX8	-0.187
LIPK	0.2315
CHURC1	0.265
KLC2	0.151833333333333
HDAC1	-0.358666666666667
FAM128A	0.472
FNDC3B	-0.2903
MTCP1	-0.546666666666667
WFDC10B	0.0218
PCDHGB3	-0.322
ATRNL1	0.207
CAV2	-1.25125
MED26	0.312
DUS1L	0.6585
CHRM3	-1.484625
NEK9	0.619
WARS2	1.23675
TBX22	0.001
TOMM40	-1.0195
RP6-213H19.1	-4.3835
TUBGCP5	-0.3375
IGSF6	4.1535
TPPP	0.884833333333333
UNQ6190	0.176
GSTM5	1.75325
BTD	1.518
PDCD1LG2	-0.284666666666667
SNRPB2	-0.589666666666667
ERICH1	-0.89225
APOA4	-1.69525
HOXA11	-0.81375
NARG1	-0.38725
MKX	3.12825
RAB28	-0.170785714285714
PKP3	1.32175
SH3GL2	-1.4985
CTSO	2.795
RPN2	0.4585625
IL28RA	0.0975
SFMBT1	1.3025
WDR57	-0.489125
FER1L3	0.656333333333333
HSF5	0.238
TTC9B	0.0875
C4BPA	-3.8445
ALB	-3.7485
SORBS3	0.186625
UPF2	-0.311
JPH1	-0.258
AGBL2	0.97375
DOPEY1	1.371
TERF1	-0.368666666666667
KIF22	0.0351666666666667
NINJ1	1.701
SEC61A2	-0.428583333333333
HIST1H1D	-0.2695
SFXN4	-0.064125
UCP3	0.3742
ZNF703	1.30966666666667
MYL6B	-0.6845
TREM1	1.8485
OR52E6	0.0885
CKMT2	-0.061
HLA-C	2.465875
SLC13A3	-2.14733333333333
TIMP4	-0.40875
SLIT2	1.69025
RSF1	0.043
LONRF1	-1.053
MON1A	-0.163166666666667
CACNG6	-1.517
DPPA4	-4.956
ZSWIM3	0.2495
ZNF804A	0.173833333333333
CCIN	1.29575
SLC25A31	-0.029
KCNMB4	0.11025
RABL5	0.512625
GALNS	-0.4443
STX6	1.129625
HIST1H1C	-0.7235
CIDEB	0.704625
CASP4	-0.298666666666667
PDK3	-0.1468
KCNJ11	2.7525
TPR	0.132625
ZSCAN20	-0.2015
MTX2	0.213
HIST1H2BH	0.3285
LOC283767	0.23475
LYRM7	-1.08938888888889
BRD3	0.799833333333333
HIST1H2BO	0.0515
MAGEB10	0.436
SLC45A1	1.7205
SERPINA3	1.97575
KIAA0143	1.20025
KCNJ16	-0.193
KRT79	0.79675
FABP2	-0.31575
NUT	-0.15075
ZNF57	-0.4
FBXL4	0.142
CLEC9A	0.1055
UGT8	-1.31633333333333
BMP2K	1.459
MAPK4	-3.10875
SLC25A23	-0.4929
HINT1	-0.2599
KRTAP13-1	0.193
SFXN5	0.1774
CHCHD2	-0.0285
FAM3D	2.057
NDP	2.390375
RHOBTB1	-0.284166666666667
SLC4A4	0.241875
RPL38	-0.0705
HTF9C	-0.1565
AP2A2	0.8625
ZBTB46	-0.1065
MAP7D1	0.051375
AOX1	-1.71683333333333
CYR61	1.55591666666667
DTNA	-1.09528571428571
JRKL	-0.63675
TMOD3	-1.01175
EEA1	-0.2281
ADCK5	0.01575
IL1R1	0.377666666666667
KLK3	0.321642857142857
HRSP12	-1.00025
KTN1	0.6915
LOH11CR2A	1.0353
RELL2	-1.679
MAB21L1	1.0425
C20orf59	-1.05033333333333
PHKB	-0.725
ADAM2	-1.928
TBC1D8B	0.666833333333333
FAM13A1	-1.343875
LAPTM4B	-1.17075
LCN8	0.1865
TMEM147	0.4775
SYT4	0.0974
XPO7	-0.51
C9orf62	1.2285
GPR75	0.072
TRIM5	0.641375
APOC1	-1.87133333333333
RNASE4	0.0231666666666667
PARD6B	-0.9085
ARID1A	0.77275
TPD52L3	0.2348
RRAGB	1.14133333333333
RCN2	-0.962333333333333
HIST2H2BE	1.3421875
STARD7	-0.05825
SHMT2	-1.10675
KIAA1751	-0.4
MLYCD	0.371125
LOC162632	-1.2168
UQCRH	-1.616
RP11-217H1.1	0.1605625
SDHA	-0.6405
NCLN	-0.158
ZNF17	0.620166666666667
RCBTB2	-1.839
VEGFB	-0.5014
RP4-747L4.3	-0.11225
COLQ	0.6712
MPN2	-0.926666666666667
DRG2	0.09675
KLRB1	2.81225
ALPK2	-1.67875
DNASE2B	1.2935
FLJ23834	1.50816666666667
AXUD1	1.007
SAFB	-0.031
NSUN4	0.1825
RFX2	-0.155166666666667
MAPK8IP1	0.313
FANCD2	-1.05364285714286
ANKZF1	-0.848333333333333
C19orf50	-0.53975
DUSP8	1.396125
SENP5	-0.947375
NFKBIL2	-0.51025
LBR	-1.127375
IGFL1	0.481
LZTS2	0.32275
IL2RG	-1.22925
CCDC51	0.13175
KLF3	0.243625
ANKRD37	-1.315
KCTD14	-1.68916666666667
FZR1	0.517333333333333
SLC44A4	4.015
ESPL1	-1.48325
GMPR2	0.0766
TBC1D19	-0.201666666666667
ERGIC1	0.661555555555556
ERBB4	3.9989
TSPAN32	0.210083333333333
MAP4	0.251125
GPHN	-0.492
SLC6A2	0.471
HIVEP1	0.55875
DFFB	-0.2512
EIF4EBP2	0.14875
DMRT1	-0.43575
HSPB6	0.0295
IER2	0.777333333333333
AIFM1	0.12225
WWC2	-0.227333333333333
MRPL4	-0.5625
FLJ21062	1.91883333333333
EPB41L4A	1.16483333333333
SH2D6	0.30175
TAF4B	-1.6165
GAL3ST3	-0.252
MALT1	-1.127
RTDR1	0.26
ARVCF	1.0195
MEX3B	-1.2395
FBXO16	2.096
KIF7	-0.855
C1QC	4.06066666666667
ZNF783	-0.706166666666667
ZNF85	-0.85525
MMP13	5.2285
KIAA0329	0.651375
RTP3	-0.521
ZBED3	0.023
CLGN	-0.218
SLC25A37	-1.09766666666667
hCG_18290	-0.29025
OR5AS1	0.455
SMARCC2	0.705833333333333
FAM109A	0.257333333333333
CCDC12	0.11
USF2	0.7308
DEPDC7	-1.683
C20orf24	-0.981333333333333
JMJD3	0.637
DSP	1.53014285714286
SLIC1	0.18425
FAM20A	1.06075
IRF2BP2	0.926375
ZNF230	-0.031
MSN	-0.7015
SLC9A5	-1.7455
EPDR1	-2.3832
MUSK	0.148666666666667
ZNF434	0.337333333333333
SMARCD1	-0.393833333333333
ZFP106	-0.2775
ZNF347	0.066
GTF2E1	-0.14925
RY1	-0.538833333333333
ATAD2B	0.353
ARHGAP17	-0.4081
KCNIP3	-1.11325
SFPQ	0.539375
GFRA4	0.554666666666667
AKR1B10	-3.275625
