Hybridization REF	TCGA-AO-A03T-01A-21R-A034-07
HS2ST1	-0.0398333333333332
CRELD2	0.632
C8G	-1.058
CD82	0.66875
LIM2	-0.557
UNQ6490	0.5
MMP16	0.50075
DRD3	0.09525
C5orf26	-1.29425
C11orf73	-1.549375
PTP4A2	1.153875
OR4M2	0.819
HPCA	-0.709333333333333
SEC14L1	-0.467666666666667
CHFR	-0.364875
EMILIN1	1.209625
NDUFS4	-0.757
COL18A1	-0.189125
PDZD3	0.2799
C9orf16	0.6855
ERBB2IP	0.469333333333333
EMX2	2.74125
FUS	-1.39725
TF	-2.9331
CLCN4	-1.196
CXorf56	-0.511
C11orf72	0.37725
ELAC2	-0.918916666666667
NPR1	-0.70025
ASS1	-0.378333333333333
USP42	0.961625
POLR2J	-0.195
SEC23IP	-0.399333333333333
UQCRC1	-0.60025
LOC729603	-0.70325
C1orf71	-1.15675
POLG	-1.1295
ADAM23	-3.13825
TFR2	-1.278
RICTOR	-1.1067
MGC39606	1.584
C19orf55	0.06775
SNAPC1	-1.23616666666667
GNA11	1.2385
CCDC52	0.1235
FSIP1	5.0825
UPF3A	-0.55675
IGSF11	-2.702
LAGE3	-0.17
CHST6	-2.6875
UNC13B	-0.799375
TTLL4	-1.253875
ZNF687	0.2505
SDC2	0.6476
COX7A2	-0.03975
LAMB4	0.16175
FAM24A	0.028
LRRTM3	-0.710833333333333
GPHB5	0.1655
OR4C13	-1.202
EIF3EIP	0.348642857142857
HABP4	-0.4525
TMEM125	4.51325
CNTN2	0.530125
ASNSD1	-0.55225
FUT4	-1.205625
ACF	-3.9175
LOC158381	-0.4155
CDH8	0.264666666666667
AGPS	-2.49016666666667
C4orf18	2.447875
PECI	0.44275
UNG	-0.569
GSTP1	-2.1065
DCUN1D5	-2.8345
DKFZP564J0863	-1.15175
SLC9A3R1	2.389625
BCDO2	0.136875
CHMP7	-0.252
REM2	0.3555
DNHD1	-0.561375
FKBP4	-0.253875
ZNF350	0.4005
MGC11102	0.544375
BST1	-0.12975
KISS1R	1.766
NCR2	0.315
DEFB125	0.2525
UBE2W	0.65625
KRT15	2.348
C10orf99	0.426
SCN11A	0.264
GFI1	-2.2805
RDHE2	-0.133166666666667
FHL1	-1.11083333333333
OSGEP	0.476333333333333
GATA1	-3.25066666666667
SMC6	-1.04225
TTTY14	-0.46675
LPIN3	0.65675
RPL4	-1.3112
RBPMS	-0.0733
PRPF3	-0.934666666666667
EMR1	-2.51
SPATA19	-0.00349999999999999
XCR1	0.769
IRX3	2.6792
RBM6	-0.90825
KLF4	-1.2284
UNC5CL	-0.9995
SEBOX	-0.718
BTK	-1.848
KRCC1	1.11275
C6orf27	1.257
SYTL5	-0.7375
PRND	1.738
LOC653319	-0.468
PIGL	-0.905
HUS1	-0.469166666666667
SFRS6	0.292583333333333
C17orf77	0.616
UIMC1	-0.518333333333333
FXYD2	-1.5019
LOC283152	3.1835
ZNF667	-0.96075
ZCCHC12	-0.7695
TFEC	1.3068
ATP7B	-0.657666666666667
POLD2	-1.19233333333333
RG9MTD1	-0.99625
ACOT2	0.555333333333333
HIST1H4I	0.2165
PPARGC1A	-1.684
ETFA	-2.7267
POLRMT	0.00925
ZNF146	-0.618875
MIA2	-0.341
KLHL6	-1.72083333333333
HOXB5	-0.788
NENF	1.45766666666667
CUGBP1	0.00899999999999998
PRSS22	1.981
CASC4	2.0336
CUL4B	-0.0516
CENPJ	-1.8028
PITX1	0.900333333333333
FLJ31033	0.877
CELSR3	-0.701333333333333
ZNF568	0.6185
ITSN1	-0.47575
EHBP1L1	-1.46366666666667
C19orf2	-0.506
DCTN1	-0.13625
LIN28B	-2.53833333333333
TNKS2	-1.502
C1QBP	-1.69625
CADPS2	1.156
SRMS	0.4785
GJA9	0.404666666666667
MGC24975	0.191333333333333
TRIM45	0.0363333333333333
TSP50	-0.68775
TCP1	-2.0955
TMED7	0.2705
CMA1	0.457
CENPL	-1.48966666666667
PTCRA	0.6465
FST	-4.06475
VWCE	-3.9315
PAWR	0.30325
ABCC12	0.309
LDLR	-0.9753
ASTN2	1.5138
LOC441212	0.243
GPATCH8	-0.08075
TANC2	-0.29425
KIF4A	-1.9025
C18orf18	-0.759
PGM1	-1.61775
KIAA0258	-0.156
CPD	-0.321
SNCAIP	-0.5455
DCT	-4.15583333333333
HLA-DOA	2.42490909090909
OR11L1	0.988
UPK1B	-0.232166666666667
DNAJB4	-0.969375
UGT1A8	0.14475
HIST1H4L	-0.623
PECR	-0.926
HSPA2	2.526
WFIKKN1	-1.4035
SERP1	0.20025
SYDE2	1.837
TACR2	0.925
NUP85	-0.6595
CD177	-0.554333333333333
LGR5	-1.716
PIGG	-0.100083333333333
PTHR1	-1.51833333333333
RAB5A	-1.0126
FLJ13224	0.1365
USP9Y	-2.0216
C7orf53	-0.9145
LRP1B	-0.68475
XAF1	3.5004
ABCG8	-0.1325
ANKDD1A	0.205333333333333
DAND5	-2.0155
SPAG6	0.1875
LINCR	1.17275
ZDHHC22	0.771375
CCDC60	0.8485
THOC7	-1.81866666666667
TCTA	1.2256
OR8K3	0.174
NY-REN-7	-0.12125
B2M	1.37183333333333
C6orf141	0.92875
LPPR4	1.20875
SQLE	1.50725
SEPHS1	-0.52175
BTBD14B	1.01514285714286
PLRG1	-0.53025
SPG7	-0.75325
ZNF614	-1.27866666666667
PARD6G	1.59166666666667
INPP5B	-1.3915
GRPEL2	-0.679375
PPID	-0.9751
TRIM56	0.15725
UBE2J1	-1.396125
IL20RA	6.22375
LOC387856	1.655
C1orf107	0.0456666666666667
UTS2R	1.905
C19orf22	0.5045
SAFB2	0.73025
KIAA0652	-0.608125
KLRG1	-0.145166666666667
MS4A8B	3.80183333333333
FRAG1	0.07175
KIAA1546	-0.32825
E2F4	-1.2504
CLEC4M	0.0595
BTBD14A	-0.26175
KIAA0999	0.1034
GYPA	-2.5115
TAC1	-0.1532
TRAIP	-1.86433333333333
KIAA0232	1.183
ERCC8	-2.05125
GPX4	0.908
KIAA0368	-0.015125
GPR157	0.122833333333333
CTAGE4	0.604
C9orf30	-1.384
OR52A1	-0.609
HSP90B3P	-1.043
ALG9	-1.0957
BTBD10	-0.34875
SDK2	0.734
BAIAP3	-0.83
RABGGTB	-1.145875
ANKRD40	-1.00016666666667
KRT74	0.0475
CALCOCO2	0.668785714285714
SNCA	-3.97025
TMSL8	-3.013625
C2orf53	0.082
ESRRB	-0.88125
ARHGAP26	-0.014125
TDRD9	-2.97
HRAS	0.233666666666667
KLRC4	-2.5165
JAGN1	-0.617333333333333
BSDC1	1.92875
RNF43	0.752
NDUFAF1	0.26525
PHF12	0.47375
OR1L3	-0.22425
FOLR2	1.5885
LYZL6	0.304833333333333
tcag7.1260	-1.691
WSB1	-1.41466666666667
PROS1	-0.788125
OSTN	0.7775
PSMB8	1.54275
SOCS4	-1.021625
DDIT4L	1.10875
MAS1	0.0485
MGC34796	1.535
CSHL1	0.340666666666667
TBCCD1	-0.415833333333333
ZBTB7C	-0.00650000000000001
AP2S1	-0.7445
P15RS	-0.9057
VAT1	-0.0129
SHANK3	1.445
TUFM	-0.749333333333333
THEG	1.13925
KRT34	-2.898
SGSM3	0.1125
TOMM22	-0.655875
SOCS3	0.958
CPO	0.9755
POP4	-0.11275
BHLHB3	1.4865
MALL	1.1745
OR1B1	0.309
PARK2	0.1575
GPR124	0.7115
LCE1E	0.724
RUVBL2	-0.44425
CGRRF1	-0.2407
ACPL2	-0.00275000000000001
WNT10B	-1.627875
BAIAP2L2	-1.54
ISCA1	-0.1705
C1orf125	0.134285714285714
RPAP1	-0.59675
RAI16	0.584166666666667
RPL27	-1.0095
NLRP9	0.0895
EPN1	0.159
LOC388610	1.627625
SLC35A1	-0.2509
GAL	-3.90425
SLC14A2	0.50175
RDH11	-0.120333333333333
FAM138F	-0.4155
AUH	-0.524
FLJ40243	0.48625
C14orf129	-1.61016666666667
MBD2	0.0828333333333333
ABHD14B	-0.136875
PIGT	1.343875
ALS2CR4	0.064125
ALAS1	-0.9401
FOXO1	0.543166666666667
CRLF3	-1.0905
C20orf107	-1.0655
FARS2	-0.19225
CCDC28A	-0.594
NPHP3	-0.66525
OR13F1	0.385
TSEN54	0.413
DEFB106B	0.3383
OR8B4	0.465
STH	2.05925
ZC3H14	-1.188875
CBX2	-0.0485
TMEM49	-1.5
C6orf21	0.5955
FLJ20920	-0.098125
CRTAP	-0.990285714285714
DDX50	-0.05925
STYXL1	-0.3755
BLVRB	1.16083333333333
LOC147650	0.13
MMP24	0.7495
GRID1	1.45466666666667
BANF1	0.3145
CTAGEP	0.2665
HMBS	-2.483
SLC25A24	-0.798166666666667
C14orf50	1.572
MRO	-0.604
SLC25A15	-0.768
FAM84B	1.6813
TDP1	-2.0245
C16orf78	-0.0461666666666667
C11orf57	0.623
RFK	-0.027
ZFYVE9	-0.137625
STCH	-0.6848
WIBG	0.79075
LOC283871	-0.833833333333334
GBA2	-0.9202
NDUFB3	0.092
HSD17B13	-0.06375
GRIN3A	0.0771666666666667
FMNL1	-0.582666666666667
SEPT7	-0.2231
GNLY	4.448
GRAMD1C	2.985
ZNF165	0.6025
USP38	1.03975
FAM83A	-2.51966666666667
C14orf24	0.949
ARMCX3	0.5435
ARHGDIB	-0.972
AK1	0.060625
KIAA1045	-0.085
DNAJB13	-0.571333333333333
NEU2	0.221
HIST1H4B	-0.577
FAM20B	-1.3156
HES2	0.214428571428571
FAM73B	-0.2496
LOC388381	0.47975
INTS7	-0.497363636363636
AMPH	2.14075
ZNF775	0.227875
UCKL1	-0.462
C10orf97	-1.00025
C1orf161	-0.317
ALDH1L1	-0.818
FLJ39378	0.263625
SLC23A1	0.0245
RBM4B	0.0235
THAP4	-0.124
OGFRL1	0.646
KIAA0831	-0.622875
PPP1R15A	0.352333333333333
C1orf96	0.450428571428571
C12orf11	-2.31175
BMF	0.330375
MAN1A1	-1.133
KIAA1600	-0.680333333333333
NLGN4X	0.093
ALOX12	-0.7655
RB1CC1	0.4387
NEIL2	1.2099
EIF4E	-0.630272727272727
ABHD5	-0.9675
EXOC4	-0.719166666666667
CIP29	-0.752166666666667
BATF2	2.8335
SLC29A4	-0.46
HTR4	-0.035
EMB	-1.0695
TRAF6	-0.21025
LMNB1	-1.102
FAM19A5	2.187125
SHE	1.37275
PIK3C2B	2.146
C15orf15	-1.1486
USP15	-0.1028
TCEAL2	2.47675
C5orf39	-0.8525
PTGER2	1.325
SLC31A1	-1.90025
IFT172	0.75675
ADAM29	0.43825
GFOD1	0.5595
ST7L	-0.52
C15orf26	-1.82775
PKN3	-1.48875
CNTD1	1.87533333333333
COMMD1	0.40825
NTRK2	4.51883333333333
FOXN3	-0.214
MFGE8	-0.7227
PFKFB2	0.981333333333333
TAS2R4	0.03025
ENTHD1	0.5385
PRMT5	-2.11775
MGC16384	-0.801375
LOC442229	-0.561
TSKU	-0.321375
KRTCAP3	3.5805
PDLIM1	-0.1669
KCNS2	0.299
RNF126	-0.171333333333333
CEP63	0.326625
CLIC4	-0.843
hCG_1990170	1.803
ACR	0.765
KLK7	2.53175
ALOX5AP	1.0405
RIPK3	5.328
TAS2R9	0.4155
C19orf18	1.2735
BIRC6	-0.221642857142857
ZNF16	0.6765
RFT1	-1.11825
SLC8A2	0.345
TACC1	0.467625
ITGAD	0.69425
SAMHD1	0.84975
SH3PXD2B	1.1814
EPC2	0.7715
C20orf85	0.198625
ATP13A2	0.883666666666667
KRT4	0.630875
CAPNS1	0.15825
MDM2	0.899083333333333
PCDH20	0.1755
KCNK9	1.061
OR2C1	-0.4445
KLHDC3	-1.25333333333333
IPPK	-0.027
EFHD2	0.17875
GALR3	1.8915
NBEA	0.800166666666667
ABCA6	2.0345
CLDN3	2.92366666666667
AKT2	-0.657214285714286
EGFR	-1.4957
RBM16	0.046125
ZDHHC3	-0.5831
SLC25A4	0.144
CYB5B	-1.8515
CPXM1	-0.7815
NDRG1	-1.35584615384615
FLJ43826	0.11725
OR5L2	0.5035
FARP2	-0.3194
MRPL46	-0.454
LDHAL6B	-0.0276666666666667
MAPKAPK3	-0.792166666666667
NCAM2	-2.34625
PRKD2	-0.161
ZFP36L1	0.4097
CYSLTR1	-0.39075
OR4C3	-0.39325
HIST1H2AJ	3.9895
CCNB2	-2.02655555555556
ZNF10	-0.888
TMEM175	1.1315
FAM134A	0.766
TIGD4	0.1515
PCNP	-1.32225
MGC39715	0.08625
LQK1	-2.51775
CREB1	-0.1457
TMPRSS3	0.8505
C4orf32	0.8885
LAT	-1.74508333333333
KCNA3	-0.22
SKIV2L2	-1.26025
ROPN1B	0.40375
tcag7.23	-0.317
CDT1	-2.605125
ZHX2	1.841
CD28	-2.76875
ZNF624	0.5285
SEPT2	-1.2655
SOHLH2	-1.52542857142857
MCOLN3	-0.716142857142857
UNQ1945	0.9975
MASP2	-0.651
ZNRF3	1.5697
GPATCH3	-0.55425
AGL	1.55925
QRICH2	-0.4245
PSD4	1.14133333333333
CCNB1IP1	-1.619
ENPP7	0.19675
OBFC1	-1.085
KCNG3	-1.2195
C14orf79	0.032
ENPEP	1.046
SCT	1.3015
SKI	1.161
SEC61G	-0.178
CAPN11	0.4605
ATXN7L3	-0.41975
DBNDD1	1.68533333333333
FAIM	0.4885
ANKRD36	1.0485
GABRP	3.86666666666667
TACSTD2	1.965
EIF3J	-0.7235
PPP2R2A	-1.24375
TEKT4	-0.1785
PVALB	2.22983333333333
F10	-2.256
FAM134C	0.5052
COMP	3.618875
EFCBP1	-1.606125
SCLT1	1.66575
TAL1	-0.8437
ACSL1	0.96425
ABCC5	0.353666666666667
ABL1	-0.320777777777778
RBBP7	-0.160583333333333
PTPRG	-1.15525
NCOR1	-0.8627
SPINK4	-2.4635
TXNRD1	-1.7772
TNRC15	1.4735
C9orf138	0.61025
UBE2H	0.552
BRDT	0.7065
C8orf31	0.121
CCNE2	-1.55227272727273
SLC6A8	-1.712375
CALCR	-3.39275
PPP1CB	-0.10825
ABHD8	0.9105
ARF5	0.4211
SLC24A4	-0.057
CCT3	-0.12375
ZNF121	0.302375
SLC3A2	-1.2901
OR13A1	0.6205
SLC5A10	0.70725
RAD50	-0.71725
IER5	0.91775
MTHFD1L	-2.5915
MBTPS2	0.8605
MVK	-0.146
NCL	-0.8348
PSMD10	-1.483
MOBP	0.663625
FLJ32894	-0.1135
HRH1	-1.44816666666667
C5orf30	1.05625
NUDT16L1	0.0685
RASGRP3	2.54466666666667
PRKRIP1	-0.3143
CCDC75	1.29025
LOC253970	0.657
KIAA1239	0.60075
MED21	-1.0355
SYT11	4.0725
NTSR2	0.4575
EGFL11	1.423
CXorf59	0.5825
OR2A25	0.434
SPTBN2	0.08975
LRMP	-1.35383333333333
RNF111	-1.0285
PTH	-0.111
LOC619208	0.416833333333333
KIAA0895	-0.31475
RANBP5	-1.1075
P2RY10	1.13733333333333
NME5	4.64166666666667
DDX21	-0.79325
LRSAM1	0.7165
HDAC11	0.695166666666667
VMO1	1.0005
NOLA2	-0.149333333333333
ADAR	0.24625
MTO1	-1.93333333333333
SF4	0.127
P2RX1	-0.577166666666667
HBM	0.114
EN2	2.0805
C14orf172	0.02775
TM9SF2	-0.6793
INHBE	-1.02633333333333
TCTE3	-0.283416666666667
TOX2	-2.5235
CTAGE3	0.55275
HBB	3.0826
MED15	-0.83
CASR	0.3895
C6orf66	-1.31333333333333
MTPN	0.619875
UNC50	-1.523
C21orf33	0.096375
IRF2	1.027875
PGR	-0.383333333333333
GPR84	1.027
CROCCL1	-2.55975
SRPX	-1.884
BRE	0.071
FGF10	0.5295
SDC3	1.60316666666667
ZRSR1	0.993166666666667
DKFZP434P211	-0.19675
SOX6	0.516
RPUSD2	0.11425
C14orf173	-0.488416666666667
MAPK11	0.238833333333333
TBC1D22A	0.467
FAM123A	-0.644
COL4A6	-1.94866666666667
TOMM70A	-0.77825
NAB1	0.162375
MGC16385	-0.03675
TSPAN18	0.0216666666666667
MED31	-0.4545
PLG	-0.34875
CAPSL	4.0735
ZNF532	0.9028
ASB14	-0.52075
CA8	1.4335
NUDT16P	1.89683333333333
SLFN11	-1.509
LRRIQ2	0.43175
NOL7	-0.3105
BRMS1L	-1.4935
JARID1A	0.136166666666667
PANK2	-0.44025
ICAM3	-0.38425
MDS1	0.04175
TAF8	0.38325
RNF139	1.95675
ZNF594	-0.345166666666667
ADAM8	0.000250000000000011
SFTPC	-0.373875
MAN2B2	1.281625
RGS12	0.880625
EIF1AY	-3.89991666666667
LRRIQ1	-0.8245
GPR150	2.15725
CCDC21	-1.75533333333333
PRRG3	0.47725
SAA4	-2.1225
RAPGEF5	1.563
ZCCHC2	0.267916666666667
MGC39372	-0.125
PPP4R2	-0.9815
CDCA2	-1.2765
OR4D5	1.0285
PTGFRN	0.0745
SIGLEC5	0.449166666666667
C19orf61	-0.618333333333333
NMUR2	0.25
KIAA1586	-1.2175
DAGLA	1.75183333333333
CHCHD6	0.04425
GPR32	0.5185
NEUROD6	0.57325
SLC2A4RG	1.0789375
CA5B	0.416
FBXL3	0.12275
MPHOSPH9	-1.64675
HMG2L1	0.55725
HCN4	1.19116666666667
CEACAM19	1.02475
SH2D4B	0.348
HFE2	-1.0275
TGM4	0.0676
LYPD2	0.14875
TBC1D15	-0.4925
MRPS21	-0.0629
NONO	-1.4011
CLEC5A	0.529125
ITCH	-0.1593
MGAT3	0.0435
MBP	-1.443
RPP25	0.96975
SOSTDC1	0.10275
HRC	-0.667
TRIM48	-0.44
TMEM133	-0.5775
ECEL1P2	-0.74325
HOXC11	0.0795
DOK5	-0.988
HELZ	0.842833333333333
LOC348180	-0.62875
MGC33894	0.12025
ADRB3	0.309
DMD	0.129083333333333
PTRH2	0.3395
MPEG1	2.51266666666667
NDUFA12	0.130666666666667
KRTAP2-4	0.487181818181818
STAMBPL1	-1.80866666666667
ADCY2	-0.2155
UNQ6125	-0.517
KLHL20	0.353833333333333
SRM	-1.07975
OTC	0.0195
TMIE	0.4895
SNX8	0.752
LIPK	0.5755
CHURC1	-0.649
KLC2	0.815333333333333
HDAC1	-0.5695
FAM128A	1.32016666666667
FNDC3B	-1.0056
MTCP1	-0.443
WFDC10B	0.777
PCDHGB3	0.5565
ATRNL1	-1.907375
CAV2	-0.992875
MED26	0.182
DUS1L	1.5675
CHRM3	-1.500125
NEK9	-0.355
WARS2	0.08275
TBX22	-0.662
TOMM40	-0.38725
RP6-213H19.1	-0.549
TUBGCP5	-1.481
IGSF6	4.35725
TPPP	0.2815
UNQ6190	0.5295
GSTM5	0.459875
BTD	-1.82916666666667
PDCD1LG2	-0.349
SNRPB2	-0.220166666666667
ERICH1	0.669
APOA4	-1.30528571428571
HOXA11	-1.60025
NARG1	-0.411375
MKX	0.32875
RAB28	-1.27578571428571
PKP3	0.8445
SH3GL2	-2.83766666666667
CTSO	1.5985
RPN2	0.247
IL28RA	0.501
SFMBT1	0.21775
WDR57	-1.564875
FER1L3	0.838083333333333
HSF5	0.436333333333333
TTC9B	4.01275
C4BPA	-2.82783333333333
ALB	-4.04330769230769
SORBS3	1.234625
UPF2	-0.622
JPH1	-0.9065
AGBL2	1.708
DOPEY1	1.0085
TERF1	0.136416666666667
KIF22	-0.21
NINJ1	1.831
SEC61A2	0.550166666666667
HIST1H1D	1.93366666666667
SFXN4	-0.726875
UCP3	0.9729
ZNF703	2.0185
MYL6B	1.166
TREM1	-0.038
OR52E6	0.1325
CKMT2	2.22625
HLA-C	3.02325
SLC13A3	-1.40666666666667
TIMP4	0.929
SLIT2	3.054
RSF1	-0.210666666666667
LONRF1	-0.868714285714286
MON1A	-0.348
CACNG6	0.4115
DPPA4	-4.47933333333333
ZSWIM3	-0.1855
ZNF804A	-0.0598
CCIN	1.05375
SLC25A31	-0.220333333333333
KCNMB4	-0.832
RABL5	0.595875
GALNS	0.0946
STX6	1.21075
HIST1H1C	2.0215
CIDEB	0.91
CASP4	-0.201
PDK3	-2.5377
KCNJ11	0.968
TPR	-0.273875
ZSCAN20	-1.0995
MTX2	-0.017
HIST1H2BH	2.038
LOC283767	3.341
LYRM7	-1.283
BRD3	0.213333333333333
HIST1H2BO	1.741
MAGEB10	0.9495
SLC45A1	1.30225
SERPINA3	2.10065
KIAA0143	1.21525
KCNJ16	1.22866666666667
KRT79	-0.85375
FABP2	-0.318
NUT	-0.91975
ZNF57	-0.90775
FBXL4	-1.142625
CLEC9A	1.1815
UGT8	-0.9815
BMP2K	0.44875
MAPK4	-2.98075
SLC25A23	-0.1266
HINT1	-0.6907
KRTAP13-1	0.347
SFXN5	0.779
CHCHD2	-0.303666666666667
FAM3D	3.002
NDP	-2.580625
RHOBTB1	-0.768333333333333
SLC4A4	-0.706
RPL38	0.66425
HTF9C	0.687166666666667
AP2A2	-0.254625
ZBTB46	0.186
MAP7D1	0.101375
AOX1	-1.85733333333333
CYR61	0.98675
DTNA	-1.23746153846154
JRKL	-0.90875
TMOD3	-0.48475
EEA1	-0.7319
ADCK5	0.68
IL1R1	-0.0475
KLK3	0.953285714285714
HRSP12	1.13775
KTN1	0.303
LOH11CR2A	-0.4581
RELL2	0.0465
MAB21L1	0.472
C20orf59	0.286666666666667
PHKB	-0.34475
ADAM2	-2.063
TBC1D8B	0.9535
FAM13A1	-0.886
LAPTM4B	-2.30175
LCN8	-0.105
TMEM147	0.7325
SYT4	2.244
XPO7	-0.6445
C9orf62	2.333
GPR75	1.1935
TRIM5	0.127375
APOC1	-0.615833333333333
RNASE4	0.0768333333333333
PARD6B	0.25175
ARID1A	0.166833333333333
TPD52L3	0.174125
RRAGB	-0.446833333333333
RCN2	-0.822666666666667
HIST2H2BE	0.4863125
STARD7	-0.853
SHMT2	-1.6295
KIAA1751	0.430666666666667
MLYCD	-0.73125
LOC162632	-0.6509
UQCRH	-1.40925
RP11-217H1.1	-0.17425
SDHA	-2.18683333333333
NCLN	0.1287
ZNF17	0.0321666666666667
RCBTB2	-1.90325
VEGFB	-0.1505
RP4-747L4.3	-1.09625
COLQ	-0.3585
MPN2	-0.522166666666667
DRG2	-0.93725
KLRB1	5.46175
ALPK2	-1.08775
DNASE2B	0.48825
FLJ23834	3.07066666666667
AXUD1	1.09866666666667
SAFB	0.6382
NSUN4	-0.462
RFX2	1.67733333333333
MAPK8IP1	0.0661666666666667
FANCD2	-1.87635714285714
ANKZF1	-1.99583333333333
C19orf50	-0.681
DUSP8	2.1745
SENP5	0.22925
NFKBIL2	-0.4895
LBR	-1.818625
IGFL1	0.72
LZTS2	0.137
IL2RG	0.075
CCDC51	-1.23125
KLF3	-0.415
ANKRD37	-0.67275
KCTD14	0.910666666666667
FZR1	0.453666666666667
SLC44A4	3.3953
ESPL1	-0.6645
GMPR2	-0.964
TBC1D19	-1.28783333333333
ERGIC1	0.642888888888889
ERBB4	3.2177
TSPAN32	-0.0538333333333334
MAP4	-0.879375
GPHN	-0.335
SLC6A2	0.714625
HIVEP1	0.13875
DFFB	-0.6978
EIF4EBP2	0.9355
DMRT1	-0.01425
HSPB6	0.3345
IER2	0.388833333333333
AIFM1	-0.08675
WWC2	-0.0306363636363637
MRPL4	-0.87025
FLJ21062	0.352833333333333
EPB41L4A	2.44858333333333
SH2D6	0.3345
TAF4B	-1.0225
GAL3ST3	0.1255
MALT1	-1.7475
RTDR1	1.98625
ARVCF	0.199625
MEX3B	-1.75716666666667
FBXO16	2.267
KIF7	-0.3435
C1QC	4.34666666666667
ZNF783	0.0443333333333333
ZNF85	-0.3525
MMP13	-0.107
KIAA0329	0.554875
RTP3	-1.8545
ZBED3	-0.11425
CLGN	-2.376
SLC25A37	-1.27591304347826
hCG_18290	-0.601
OR5AS1	0.102
SMARCC2	1.20491666666667
FAM109A	-0.127
CCDC12	-0.295
USF2	0.7231
DEPDC7	-2.722
C20orf24	-1.39466666666667
JMJD3	0.284
DSP	1.36171428571429
SLIC1	0.370875
FAM20A	0.440875
IRF2BP2	1.005
ZNF230	-0.8185
MSN	0.3035
SLC9A5	-0.5525
EPDR1	-0.8872
MUSK	0.3812
ZNF434	-0.4675
SMARCD1	-0.561666666666667
