Hybridization REF	TCGA-AR-A0TQ-01A-11R-A084-07
SIRT6	-0.29675
CCL19	5.0505
PPIL1	-0.371166666666667
GBP7	0.864666666666667
STK17A	-0.3876
ABR	1.157
OR9G1	0.6775
FOXE1	-0.486125
CNGA3	0.2535
GML	0.343
CD38	-0.1305
ZDHHC6	0.208666666666667
NEFH	-1.5925
CTDSP2	0.750083333333333
PGBD5	-0.0563333333333333
CCNY	0.00528571428571428
RMND5B	0.812166666666667
ZNF257	-1.7235
FLJ22167	-0.643375
EXOSC7	0.0115
ROR2	1.69225
MAOA	-0.92575
TNNT3	1.79366666666667
GYPC	-0.89025
C7orf33	0.504
PLIN	3.3685
LOC90826	-0.22725
RNF4	0.171
F8A1	0.671833333333333
PLEKHG4	-2.455
GRB2	1.0577
HIST1H2AD	1.381
DUS3L	-0.220833333333333
EIF1	-0.3185
RP5-1077B9.4	-0.961833333333333
FPGT	0.32725
GDF10	1.33166666666667
COQ9	0.37425
GCC2	0.353928571428571
RARRES3	2.858125
PLXNA1	-0.6652
KIAA0100	0.5362
PMF1	-0.268
FNDC1	4.78625
HS2ST1	-0.151333333333333
CRELD2	0.95375
C8G	-1.517
CD82	0.047
LIM2	-1.0885
UNQ6490	-0.113
MMP16	0.53025
DRD3	-0.04975
C5orf26	-0.87775
C11orf73	-0.167
PTP4A2	-0.159375
OR4M2	0.072
HPCA	-0.353333333333333
SEC14L1	-0.5045
CHFR	0.73275
EMILIN1	1.0495
NDUFS4	-0.3565
COL18A1	-0.044125
PDZD3	-0.0068
C9orf16	-0.263333333333333
ERBB2IP	0.0888333333333333
EMX2	2.4135
FUS	-0.64125
TF	-3.6921
CLCN4	-0.400666666666667
CXorf56	0.405
C11orf72	0.4245
ELAC2	0.166833333333333
NPR1	-0.053
ASS1	-1.57
USP42	-0.22
POLR2J	-0.8375
SEC23IP	0.857333333333333
UQCRC1	0.24
LOC729603	-0.4635
C1orf71	-0.660625
POLG	-0.876
ADAM23	-3.25375
TFR2	-0.927
RICTOR	-0.7321
MGC39606	-0.049
C19orf55	0.251625
SNAPC1	-1.63433333333333
GNA11	0.724625
CCDC52	0.344166666666667
FSIP1	3.761
UPF3A	-0.298125
IGSF11	-1.212
LAGE3	-0.28125
CHST6	-2.8415
UNC13B	0.484875
TTLL4	-1.2585
ZNF687	-0.09775
SDC2	-0.9945
COX7A2	-0.40875
LAMB4	-0.5615
FAM24A	-0.212
LRRTM3	-0.622166666666667
GPHB5	-0.24675
OR4C13	0.1445
EIF3EIP	-0.422357142857143
HABP4	-0.6815
TMEM125	3.51025
CNTN2	-0.148375
ASNSD1	-0.44775
FUT4	0.068375
ACF	-3.938
LOC158381	0.3505
CDH8	-0.13325
AGPS	-0.2955
C4orf18	1.687
PECI	0.006
UNG	0.658
GSTP1	-2.211875
DCUN1D5	-1.14066666666667
DKFZP564J0863	-0.96325
SLC9A3R1	2.736
BCDO2	-1.03725
CHMP7	0.43475
REM2	2.2755
DNHD1	-0.4115
FKBP4	0.335
ZNF350	2.17475
MGC11102	-0.222125
BST1	1.1575
KISS1R	0.831
NCR2	0.1085
DEFB125	0.1045
UBE2W	0.928875
KRT15	1.011375
C10orf99	0.2855
SCN11A	0.2575
GFI1	-0.80175
RDHE2	-0.713
FHL1	-0.334333333333333
OSGEP	0.974166666666667
GATA1	-3.179
SMC6	-1.0065
TTTY14	-1.073
LPIN3	0.1215
RPL4	-0.5272
RBPMS	0.9438
PRPF3	-0.2945
EMR1	-2.0385
SPATA19	-0.028
XCR1	0.46
IRX3	2.2104
RBM6	-0.43175
KLF4	-0.502
UNC5CL	-1.62425
SEBOX	0.116
BTK	-0.154
KRCC1	0.00925
C6orf27	0.3575
SYTL5	-0.2245
PRND	1.918625
LOC653319	-0.836
PIGL	-0.9985
HUS1	-0.748166666666667
SFRS6	0.690166666666667
C17orf77	0.434
UIMC1	-0.274833333333333
FXYD2	-1.5554
LOC283152	0.49825
ZNF667	-1.52175
ZCCHC12	-0.51925
TFEC	3.3913
ATP7B	-1.04783333333333
POLD2	-0.916666666666667
RG9MTD1	-0.34275
ACOT2	1.413
HIST1H4I	-0.124625
PPARGC1A	-2.7871
ETFA	0.3943
POLRMT	-0.491
ZNF146	0.00275000000000003
MIA2	-1.6335
KLHL6	0.191666666666667
HOXB5	-1.6105
NENF	-0.639666666666667
CUGBP1	-0.19475
PRSS22	1.834
CASC4	0.8968
CUL4B	-0.1615
CENPJ	-1.1886
PITX1	-0.611166666666667
FLJ31033	1.73083333333333
CELSR3	0.945166666666667
ZNF568	0.5325
ITSN1	-0.34025
EHBP1L1	-0.131666666666667
C19orf2	0.28775
DCTN1	0.24325
LIN28B	-3.812
TNKS2	-0.227
C1QBP	-0.002625
CADPS2	0.785
SRMS	0.81875
GJA9	0.317666666666667
MGC24975	-1.55183333333333
TRIM45	0.146
TSP50	-0.19825
TCP1	-1.057
TMED7	0.4953
CMA1	1.8935
CENPL	-0.696666666666667
PTCRA	1.182
FST	-4.53075
VWCE	-3.83825
PAWR	-0.04075
ABCC12	0.4905
LDLR	-0.2188
ASTN2	1.617
LOC441212	-1.071625
GPATCH8	-0.562
TANC2	1.45833333333333
KIF4A	-0.69725
C18orf18	-2.28625
PGM1	-0.7365
KIAA0258	1.00475
CPD	0.271
SNCAIP	-0.603
DCT	-4.221
HLA-DOA	2.83081818181818
OR11L1	0.48
UPK1B	-0.307833333333333
DNAJB4	-0.434375
UGT1A8	-0.21575
HIST1H4L	-1.617
PECR	-0.101
HSPA2	1.92775
WFIKKN1	-2.924
SERP1	0.64875
SYDE2	1.53775
TACR2	0.467
NUP85	0.31025
CD177	-0.0755
LGR5	-1.75966666666667
PIGG	0.30675
PTHR1	-1.70633333333333
RAB5A	0.3928
FLJ13224	0.217
USP9Y	-1.01033333333333
C7orf53	-0.7155
LRP1B	-0.536
XAF1	3.9627
ABCG8	-0.577
ANKDD1A	-0.536166666666667
DAND5	-1.6885
SPAG6	0.389
LINCR	0.4825
ZDHHC22	-0.323875
CCDC60	0.336
THOC7	-1.40633333333333
TCTA	1.163
OR8K3	0.25975
NY-REN-7	-1.0485
B2M	1.86816666666667
C6orf141	-0.47
LPPR4	2.4425
SQLE	-0.870125
SEPHS1	-0.254
BTBD14B	0.321142857142857
PLRG1	-0.7275
SPG7	0.01575
ZNF614	0.1445
PARD6G	0.232833333333333
INPP5B	-0.5519
GRPEL2	-0.00650000000000001
PPID	-0.6766
TRIM56	-0.38925
UBE2J1	0.03125
IL20RA	4.536
LOC387856	0.191
C1orf107	-0.329416666666667
UTS2R	0.593
C19orf22	0.0605
SAFB2	-0.330375
KIAA0652	0.446125
KLRG1	0.498166666666667
MS4A8B	0.198
FRAG1	0.14525
KIAA1546	0.047
E2F4	-0.8035
CLEC4M	0.465
BTBD14A	-1.44525
KIAA0999	1.3676
GYPA	-3.46483333333333
TAC1	2.2888
TRAIP	-0.422833333333333
KIAA0232	0.6136
ERCC8	-1.382
GPX4	0.441375
KIAA0368	-0.00974999999999999
GPR157	-0.218833333333333
CTAGE4	1.976
C9orf30	-1.49233333333333
OR52A1	-0.1265
HSP90B3P	0.463
ALG9	-0.2672
BTBD10	0.655
SDK2	-0.074
BAIAP3	-0.8955
RABGGTB	-1.4525
ANKRD40	0.426166666666667
KRT74	0.2305
CALCOCO2	0.5745
SNCA	-3.13775
TMSL8	-2.340125
C2orf53	-0.0695
ESRRB	-0.40525
ARHGAP26	-1.179375
TDRD9	0.73275
HRAS	0.7075
KLRC4	-2.11
JAGN1	-0.395166666666667
BSDC1	0.3305
RNF43	1.752
NDUFAF1	0.587
PHF12	0.37925
OR1L3	-0.07825
FOLR2	2.42766666666667
LYZL6	0.261666666666667
tcag7.1260	-2.11
WSB1	-1.66066666666667
PROS1	-0.5038
OSTN	0.5225
PSMB8	1.8445
SOCS4	-0.211625
DDIT4L	0.706
MAS1	0.2025
MGC34796	1.46925
CSHL1	0.0991666666666667
TBCCD1	0.1915
ZBTB7C	-0.0545
AP2S1	-0.229
P15RS	0.3566
VAT1	-0.4786
SHANK3	1.02966666666667
TUFM	0.0728333333333333
THEG	-0.37875
KRT34	-1.81125
SGSM3	0.376875
TOMM22	-0.165875
SOCS3	2.6105
CPO	-0.469
POP4	0.80225
BHLHB3	0.63975
MALL	1.03775
OR1B1	0.3015
PARK2	0.160166666666667
GPR124	0.6605
LCE1E	-0.2715
RUVBL2	0.23525
CGRRF1	-0.0811
ACPL2	-0.4
WNT10B	-1.133625
BAIAP2L2	-2.040375
ISCA1	0.1325
C1orf125	-0.029
RPAP1	-0.26025
RAI16	0.386333333333333
RPL27	-1.180875
NLRP9	0.293
EPN1	0.4885
LOC388610	-2.362875
SLC35A1	1.1701
GAL	-2.5075
SLC14A2	0.4185
RDH11	0.0833333333333333
FAM138F	-0.589
AUH	0.27125
FLJ40243	0.19025
C14orf129	0.597166666666667
MBD2	0.7715
ABHD14B	0.218625
PIGT	0.604125
ALS2CR4	-0.843625
ALAS1	0.5233
FOXO1	1.07883333333333
CRLF3	-0.393875
C20orf107	3.676
FARS2	0.7595
CCDC28A	0.1325
NPHP3	-1.22925
OR13F1	0.182
TSEN54	0.30525
DEFB106B	0.4501
OR8B4	0.5115
STH	-0.67775
ZC3H14	-0.245
CBX2	-0.289
TMEM49	2.3095
C6orf21	0.3375
FLJ20920	1.872875
CRTAP	-0.296428571428571
DDX50	-0.52275
STYXL1	-0.2435
BLVRB	0.5655
LOC147650	-0.327333333333333
MMP24	0.1245
GRID1	1.31466666666667
BANF1	-0.3815
CTAGEP	1.781
HMBS	-0.91225
SLC25A24	0.1905
C14orf50	1.13125
MRO	0.905
SLC25A15	-0.00925
FAM84B	2.0259
TDP1	-0.2145
C16orf78	0.0143333333333333
C11orf57	-0.290125
RFK	-0.3535
ZFYVE9	-0.725125
STCH	-0.3135
WIBG	0.70125
LOC283871	-0.119
GBA2	-0.0819
NDUFB3	-0.58275
HSD17B13	0.025
GRIN3A	0.872833333333333
FMNL1	-0.193166666666667
SEPT7	-0.4897
GNLY	4.0325
GRAMD1C	0.612833333333333
ZNF165	0.12275
USP38	0.71875
FAM83A	-3.20416666666667
C14orf24	1.35825
ARMCX3	1.00425
ARHGDIB	-0.0116666666666667
AK1	-0.0585
KIAA1045	0.56625
DNAJB13	-0.454166666666667
NEU2	0.105
HIST1H4B	-1.0065
FAM20B	-0.2398
HES2	0.666642857142857
FAM73B	-0.1539
LOC388381	0.466
INTS7	-0.454818181818182
AMPH	2.31
ZNF775	-0.46725
UCKL1	1.9
C10orf97	0.081
C1orf161	-0.23775
ALDH1L1	-1.06175
FLJ39378	0.192125
SLC23A1	-1.114
RBM4B	0.12525
THAP4	0.201166666666667
OGFRL1	-0.67475
KIAA0831	-0.281375
PPP1R15A	0.168833333333333
C1orf96	-1.02742857142857
C12orf11	-2.034
BMF	0.77425
MAN1A1	-0.633125
KIAA1600	0.202666666666667
NLGN4X	-1.1705
ALOX12	-0.873166666666667
RB1CC1	-0.2252
NEIL2	-0.3205
EIF4E	0.230318181818182
ABHD5	0.16375
EXOC4	-0.112666666666667
CIP29	0.371
BATF2	0.422
SLC29A4	-0.875625
HTR4	0.3135
EMB	0.7655
TRAF6	0.41075
LMNB1	-0.92475
FAM19A5	-2.052375
SHE	1.7035
PIK3C2B	0.98975
C15orf15	-0.8477
USP15	0.1384
TCEAL2	-0.3325
C5orf39	-0.5615
PTGER2	0.046
SLC31A1	-0.406375
IFT172	-0.72925
ADAM29	0.361
GFOD1	-0.24325
ST7L	0.852
C15orf26	-3.22175
PKN3	-1.606
CNTD1	2.6095
COMMD1	0.362125
NTRK2	1.69466666666667
FOXN3	-0.50825
MFGE8	-0.5822
PFKFB2	0.1
TAS2R4	-0.47975
ENTHD1	1.76983333333333
PRMT5	0.719375
MGC16384	-1.01425
LOC442229	-0.4545
TSKU	2.3995
KRTCAP3	1.46575
PDLIM1	0.0807
KCNS2	0.198
RNF126	-0.261333333333333
CEP63	-0.72775
CLIC4	-0.544625
hCG_1990170	0.56625
ACR	0.3857
KLK7	0.25175
ALOX5AP	2.8775
RIPK3	2.625
TAS2R9	-0.00850000000000001
C19orf18	0.959
BIRC6	0.179357142857143
ZNF16	0.9115
RFT1	-0.0645
SLC8A2	-0.65325
TACC1	-0.602375
ITGAD	1.22375
SAMHD1	1.38875
SH3PXD2B	0.9064
EPC2	0.64725
C20orf85	0.086875
ATP13A2	0.164666666666667
KRT4	2.544875
CAPNS1	1.1815
MDM2	-0.04925
PCDH20	0.9045
KCNK9	0.7495
OR2C1	-0.002
KLHDC3	-0.698666666666667
IPPK	1.0855
EFHD2	0.01475
GALR3	0.56125
NBEA	0.847833333333333
ABCA6	3.5591
CLDN3	2.46116666666667
AKT2	-0.184785714285714
EGFR	-1.891
RBM16	-0.078875
ZDHHC3	0.6834
SLC25A4	0.100666666666667
CYB5B	0.027
CPXM1	0.3515
NDRG1	-0.796307692307692
FLJ43826	0.805
OR5L2	0.124833333333333
FARP2	0.0377
MRPL46	-0.0444166666666667
LDHAL6B	0.455166666666667
MAPKAPK3	-0.203666666666667
NCAM2	0.2245
PRKD2	0.687666666666667
ZFP36L1	0.4183
CYSLTR1	-0.3975
OR4C3	0.25275
HIST1H2AJ	2.774
CCNB2	-1.11233333333333
ZNF10	-0.83575
TMEM175	0.515
FAM134A	0.717666666666667
TIGD4	-0.1145
PCNP	-0.4525
MGC39715	0.013
LQK1	-0.582
CREB1	0.6681
TMPRSS3	-2.69325
C4orf32	2.78075
LAT	-0.566833333333333
KCNA3	0.429
SKIV2L2	-0.77575
ROPN1B	-1.87675
tcag7.23	-0.451
CDT1	-1.37225
ZHX2	1.56725
CD28	-1.256
ZNF624	0.97725
SEPT2	0.3055
SOHLH2	-2.0995
MCOLN3	0.41125
UNQ1945	0.515
MASP2	-0.811
ZNRF3	-0.404
GPATCH3	-0.27
AGL	-0.488875
QRICH2	-0.1585
PSD4	0.238333333333333
CCNB1IP1	-1.0005
ENPP7	-0.035
OBFC1	-0.23525
KCNG3	-2.5495
C14orf79	0.8855
ENPEP	1.54983333333333
SCT	0.7715
SKI	0.38775
SEC61G	-1.12025
CAPN11	0.19875
ATXN7L3	-0.37125
DBNDD1	0.5975
FAIM	0.54775
ANKRD36	-0.548
GABRP	1.562
TACSTD2	1.23833333333333
EIF3J	-0.46225
PPP2R2A	-0.258
TEKT4	-1.396
PVALB	-3.66616666666667
F10	-2.63166666666667
FAM134C	1.0324
COMP	4.170875
EFCBP1	0.54225
SCLT1	0.005
TAL1	-1.155
ACSL1	0.51475
ABCC5	-0.1275
ABL1	-0.396277777777778
RBBP7	-0.680666666666667
PTPRG	0.0855
NCOR1	0.3259
SPINK4	1.21083333333333
TXNRD1	-0.9678
TNRC15	0.62125
C9orf138	0.361375
UBE2H	0.670166666666667
BRDT	0.00999999999999998
C8orf31	0.126
CCNE2	0.160636363636364
SLC6A8	-2.599625
CALCR	-1.9615
PPP1CB	0.497833333333333
ABHD8	-0.777
ARF5	-0.4657
SLC24A4	0.9005
CCT3	-0.54325
ZNF121	-0.06975
SLC3A2	-0.0748
OR13A1	0.959
SLC5A10	0.41425
RAD50	-0.318375
IER5	-0.1355
MTHFD1L	-2.953625
MBTPS2	-0.07675
MVK	0.394
NCL	0.2302
PSMD10	0.06875
MOBP	0.330125
FLJ32894	-0.3545
HRH1	-0.757333333333333
C5orf30	0.625
NUDT16L1	1.0541
RASGRP3	3.07316666666667
PRKRIP1	-0.2136
CCDC75	-0.59
LOC253970	0.3795
KIAA1239	-0.77575
MED21	-0.39875
SYT11	0.136
NTSR2	-0.395
EGFL11	-0.146
CXorf59	0.1775
OR2A25	0.31925
SPTBN2	-0.1025
LRMP	-0.557333333333333
RNF111	-0.0755
PTH	0.5775
LOC619208	-0.563333333333333
KIAA0895	0.5775
RANBP5	-1.178375
P2RY10	1.88416666666667
NME5	-0.437
DDX21	-1.2095
LRSAM1	0.5345
HDAC11	1.77866666666667
VMO1	1.88475
NOLA2	-0.0326666666666667
ADAR	1.33533333333333
MTO1	-1.24016666666667
SF4	-0.057
P2RX1	0.209666666666667
HBM	0.23875
EN2	0.9455
C14orf172	0.346
TM9SF2	0.7481
INHBE	-1.03716666666667
TCTE3	-0.194666666666667
TOX2	-2.264
CTAGE3	1.67575
HBB	3.2412
MED15	-0.7005
CASR	0.332
C6orf66	-1.44383333333333
MTPN	-0.916875
UNC50	-0.56725
C21orf33	0.27725
IRF2	0.831
PGR	-2.3695
GPR84	1.618
CROCCL1	-1.96675
SRPX	-0.80975
BRE	0.0486666666666667
FGF10	1.071
SDC3	-0.223833333333333
ZRSR1	0.3285
DKFZP434P211	-0.454125
SOX6	0.2765
RPUSD2	-0.42475
C14orf173	0.411583333333333
MAPK11	-0.4035
TBC1D22A	1.381
FAM123A	2.3345
COL4A6	-3.41683333333333
TOMM70A	0.0045
NAB1	-0.427375
MGC16385	0.194
TSPAN18	-0.700833333333333
MED31	-0.10775
PLG	-0.0855
CAPSL	0.148
ZNF532	0.2935
ASB14	-0.12575
CA8	1.4985
NUDT16P	-0.147333333333333
SLFN11	-0.79
LRRIQ2	-0.160875
NOL7	-0.135666666666667
BRMS1L	0.13075
JARID1A	0.365833333333333
PANK2	0.04675
ICAM3	-0.34825
MDS1	-0.067
TAF8	-0.52675
RNF139	1.116
ZNF594	0.395666666666667
ADAM8	2.72975
SFTPC	-0.1805
MAN2B2	1.518625
RGS12	0.1895
EIF1AY	-4.76958333333333
LRRIQ1	-1.5925
GPR150	0.7135
CCDC21	-0.889166666666667
PRRG3	0.4215
SAA4	-3.23125
RAPGEF5	1.27025
ZCCHC2	0.797916666666667
MGC39372	-0.373
PPP4R2	0.270166666666667
CDCA2	-0.8545
OR4D5	0.285333333333333
PTGFRN	0.3416
SIGLEC5	-0.0378333333333333
C19orf61	0.140833333333333
NMUR2	0.1315
KIAA1586	-0.522166666666667
DAGLA	0.934333333333333
CHCHD6	-0.1315
GPR32	0.515
NEUROD6	0.204333333333333
SLC2A4RG	1.7775
CA5B	0.083
FBXL3	0.83725
MPHOSPH9	-0.10325
HMG2L1	0.49625
HCN4	0.585166666666667
CEACAM19	0.52725
SH2D4B	0.178333333333333
HFE2	-0.871
TGM4	-0.335166666666667
LYPD2	0.41425
TBC1D15	-0.03225
MRPS21	0.00269999999999999
NONO	-0.7669
CLEC5A	0.959375
ITCH	0.1961
MGAT3	-0.5
MBP	-0.3115
RPP25	-0.87625
SOSTDC1	-1.693
HRC	-1.17075
TRIM48	-0.00600000000000001
TMEM133	-0.34975
ECEL1P2	-1.2565
HOXC11	1.152
DOK5	-1.3835
HELZ	2.02683333333333
LOC348180	-0.6965
MGC33894	0.3195
ADRB3	0.1335
DMD	-0.465666666666667
PTRH2	2.15
MPEG1	3.31033333333333
NDUFA12	0.19
KRTAP2-4	0.14025
STAMBPL1	-1.039
ADCY2	-0.8665
UNQ6125	0.042
KLHL20	-0.0541666666666667
SRM	-1.19225
OTC	0.39475
TMIE	0.00899999999999999
SNX8	-0.022
LIPK	0.4155
CHURC1	0.591666666666667
KLC2	0.269
HDAC1	0.2765
FAM128A	0.2145
FNDC3B	-0.8339
MTCP1	-0.931333333333333
WFDC10B	0.0431
PCDHGB3	0.0685
ATRNL1	-0.9249
CAV2	-0.64
MED26	-0.1835
DUS1L	1.0625
CHRM3	-1.541625
NEK9	0.35725
WARS2	-0.45325
TBX22	-0.956
TOMM40	-0.10175
RP6-213H19.1	-0.576333333333333
TUBGCP5	0.0965
IGSF6	5.3135
TPPP	-0.105166666666667
UNQ6190	0.2025
GSTM5	2.097875
BTD	0.6975
PDCD1LG2	0.956666666666667
SNRPB2	-0.176833333333333
ERICH1	-0.337125
APOA4	-1.501625
HOXA11	-1.94575
NARG1	-0.413375
MKX	-0.86425
RAB28	-0.180285714285714
PKP3	1.328
SH3GL2	-2.31175
CTSO	2.76125
RPN2	0.8320625
IL28RA	0.4355
SFMBT1	0.47725
WDR57	-0.537
FER1L3	0.705333333333333
HSF5	0.362666666666667
TTC9B	0.69475
C4BPA	-3.43333333333333
ALB	-4.0455
SORBS3	0.9585
UPF2	0.334
JPH1	0.796
AGBL2	1.443
DOPEY1	0.847
TERF1	-0.0235833333333333
KIF22	-0.452
NINJ1	0.832
SEC61A2	0.178416666666667
HIST1H1D	1.14233333333333
SFXN4	-0.3455
UCP3	-0.0607
ZNF703	1.22683333333333
MYL6B	-0.27125
TREM1	2.07475
OR52E6	0.149
CKMT2	0.377
HLA-C	2.593125
SLC13A3	0.156166666666667
TIMP4	-0.95975
SLIT2	2.5025
RSF1	-0.250166666666667
LONRF1	-0.759214285714286
MON1A	-0.178
CACNG6	-1.4865
DPPA4	-5.21716666666667
ZSWIM3	-0.00975
ZNF804A	0.407833333333333
CCIN	0.565
SLC25A31	-0.5095
KCNMB4	-0.93575
RABL5	0.313375
GALNS	0.3463
STX6	0.0185
HIST1H1C	1.1295
CIDEB	1.47975
CASP4	0.104833333333333
PDK3	-0.311
KCNJ11	0.9285
TPR	-0.281
ZSCAN20	-0.9935
MTX2	-0.33125
HIST1H2BH	0.98125
LOC283767	1.495
LYRM7	-1.79938888888889
BRD3	0.0733333333333333
HIST1H2BO	0.7585
MAGEB10	0.4695
SLC45A1	0.4945
SERPINA3	-0.43915
KIAA0143	1.87225
KCNJ16	0.2715
KRT79	1.17825
FABP2	-0.76275
NUT	-0.354
ZNF57	-0.261
FBXL4	-0.159875
CLEC9A	1.579
UGT8	-0.791666666666667
BMP2K	0.08075
MAPK4	-2.29975
SLC25A23	-0.8971
HINT1	-1.0347
KRTAP13-1	0.265
SFXN5	0.7044
CHCHD2	0.548916666666667
FAM3D	1.6845
NDP	-3.22075
RHOBTB1	-0.707333333333333
SLC4A4	-1.249875
RPL38	0.015
HTF9C	-0.221
AP2A2	0.439875
ZBTB46	0.3425
MAP7D1	-0.36375
AOX1	-1.07166666666667
CYR61	1.09816666666667
DTNA	0.9235
JRKL	-0.78525
TMOD3	-0.12375
EEA1	0.0454
ADCK5	-0.10975
IL1R1	0.734666666666667
KLK3	0.325285714285714
HRSP12	-0.16475
KTN1	-0.63375
LOH11CR2A	-0.5004
RELL2	0.28475
MAB21L1	1.855
C20orf59	0.9715
PHKB	-0.01875
ADAM2	-1.61983333333333
TBC1D8B	1.08333333333333
FAM13A1	-1.285375
LAPTM4B	-0.30925
LCN8	-0.213
TMEM147	0.599
SYT4	-0.170166666666667
XPO7	-0.54
C9orf62	0.7645
GPR75	0.318
TRIM5	0.4265
APOC1	1.0005
RNASE4	0.110333333333333
PARD6B	-0.573375
ARID1A	0.363666666666667
TPD52L3	-0.0165
RRAGB	-0.310333333333333
RCN2	-0.935
HIST2H2BE	1.1943125
STARD7	-0.40125
SHMT2	-0.30325
KIAA1751	0.00933333333333334
MLYCD	1.0095
LOC162632	1.5876
UQCRH	-1.7275
RP11-217H1.1	0.664625
SDHA	-0.637333333333333
NCLN	0.1253
ZNF17	0.388
RCBTB2	-1.9425
VEGFB	0.2162
RP4-747L4.3	0.20775
COLQ	0.2175
MPN2	-0.828833333333333
DRG2	0.1095
KLRB1	6.3265
ALPK2	-3.5445
DNASE2B	2.022
FLJ23834	-0.1885
AXUD1	1.35566666666667
SAFB	-0.1737
NSUN4	0.0735
RFX2	0.787833333333333
MAPK8IP1	-0.331333333333333
FANCD2	-0.926571428571428
ANKZF1	-1.32916666666667
C19orf50	-0.5465
DUSP8	1.93775
SENP5	-0.132375
NFKBIL2	-0.00124999999999997
LBR	-1.9875
IGFL1	1.122
LZTS2	0.336625
IL2RG	0.61775
CCDC51	0.23
KLF3	0.384625
ANKRD37	-1.15625
KCTD14	-1.57733333333333
FZR1	0.280166666666667
SLC44A4	3.2292
ESPL1	-0.34625
GMPR2	0.817
TBC1D19	-0.9615
ERGIC1	1.09222222222222
ERBB4	0.4764
TSPAN32	0.733166666666667
MAP4	0.047625
GPHN	0.049
SLC6A2	-0.026875
HIVEP1	0.212
DFFB	-0.3885
EIF4EBP2	0.073
DMRT1	-0.512
HSPB6	-0.185
IER2	-0.113333333333333
AIFM1	0.337
WWC2	0.123583333333333
MRPL4	-0.47375
FLJ21062	0.1195
EPB41L4A	1.01683333333333
SH2D6	0.2365
TAF4B	-1.05825
GAL3ST3	-0.172
MALT1	-1.0365
RTDR1	-0.422
ARVCF	-0.360125
MEX3B	-0.929166666666667
FBXO16	1.58925
KIF7	-1.59025
C1QC	3.79516666666667
ZNF783	-0.572833333333333
ZNF85	0.159
MMP13	4.583
KIAA0329	0.169
RTP3	-0.2855
ZBED3	-0.3815
CLGN	-3.74475
SLC25A37	-1.84358333333333
hCG_18290	-0.708
OR5AS1	0.3855
SMARCC2	0.365833333333333
FAM109A	-0.0775
CCDC12	-0.05525
USF2	0.3815
DEPDC7	-2.78575
C20orf24	-0.638
JMJD3	0.8865
DSP	0.562285714285714
SLIC1	0.69975
FAM20A	1.832
IRF2BP2	-0.106125
ZNF230	0.1855
MSN	-0.825642857142857
SLC9A5	-1.973
EPDR1	-2.193
MUSK	0.21
ZNF434	-0.451
