Hybridization REF	TCGA-B6-A0IG-01A-11R-A034-07
TCTA	0.6805
OR8K3	0.65175
NY-REN-7	-0.1665
B2M	1.84866666666667
C6orf141	-0.47575
LPPR4	0.47875
SQLE	-0.129375
SEPHS1	0.03775
BTBD14B	0.870928571428571
PLRG1	-0.8955
SPG7	0.2025
ZNF614	0.476666666666667
PARD6G	0.595
INPP5B	-0.8885
GRPEL2	-0.2305
PPID	-0.282
TRIM56	0.423
UBE2J1	0.04175
IL20RA	5.21125
LOC387856	-0.21225
C1orf107	-0.0356666666666667
UTS2R	1.16975
C19orf22	0.68725
SAFB2	-0.03625
KIAA0652	0.087125
KLRG1	-1.17016666666667
MS4A8B	4.71966666666667
FRAG1	1.28275
KIAA1546	0.437
E2F4	-0.72
CLEC4M	0.762
BTBD14A	0.0735
KIAA0999	-0.357
GYPA	-3.5715
TAC1	0.6127
TRAIP	-1.37
KIAA0232	0.5457
ERCC8	-1.624875
GPX4	0.639625
KIAA0368	0.44175
GPR157	0.421666666666667
CTAGE4	2.0575
C9orf30	-1.26966666666667
OR52A1	-0.029
HSP90B3P	-0.6835
ALG9	-0.6208
BTBD10	-0.0335
SDK2	0.3065
BAIAP3	-0.34
RABGGTB	-1.387125
ANKRD40	0.9795
KRT74	0.2
CALCOCO2	-0.389785714285714
SNCA	-3.5375
TMSL8	-5.236625
C2orf53	0.2215
ESRRB	-0.13225
ARHGAP26	-1.4285
TDRD9	-2.84575
HRAS	1.11866666666667
KLRC4	-2.4955
JAGN1	-1.17066666666667
BSDC1	-0.382
RNF43	-0.3735
NDUFAF1	1.07325
PHF12	0.35825
OR1L3	-0.1065
FOLR2	0.796583333333333
LYZL6	0.699
tcag7.1260	-2.484
WSB1	-1.69883333333333
PROS1	-1.3064
OSTN	0.5705
PSMB8	1.3955
SOCS4	-0.228375
DDIT4L	0.444
MAS1	0.175
MGC34796	0.9825
CSHL1	0.015
TBCCD1	-0.244166666666667
ZBTB7C	0.8285
AP2S1	0.4045
P15RS	0.3579
VAT1	0.262
SHANK3	0.651
TUFM	0.119833333333333
THEG	-0.611
KRT34	-1.601
SGSM3	0.077
TOMM22	-0.48225
SOCS3	0.446833333333333
CPO	1.4955
POP4	0.27375
BHLHB3	0.54275
MALL	0.54475
OR1B1	0.4805
PARK2	0.385666666666667
GPR124	0.6545
LCE1E	-0.5295
RUVBL2	-0.425
CGRRF1	0.1248
ACPL2	-0.5595
WNT10B	-1.30925
BAIAP2L2	-1.773375
ISCA1	-0.0515
C1orf125	-0.591625
RPAP1	-0.14625
RAI16	0.0416666666666667
RPL27	1.006125
NLRP9	-0.2705
EPN1	0.384
LOC388610	-1.305625
SLC35A1	0.7187
GAL	-4.07
SLC14A2	0.665
RDH11	-0.1885
FAM138F	0.1565
AUH	-0.35
FLJ40243	-0.17975
C14orf129	0.2855
MBD2	0.125833333333333
ABHD14B	0.010125
PIGT	0.12875
ALS2CR4	-0.52375
ALAS1	-0.2963
FOXO1	0.892833333333333
CRLF3	-1.029125
C20orf107	0.8635
FARS2	1.03225
CCDC28A	-0.31075
NPHP3	-1.28725
OR13F1	0.6125
TSEN54	-0.9585
DEFB106B	0.4181
OR8B4	1.0325
STH	0.42825
ZC3H14	-0.67725
CBX2	0.375
TMEM49	-0.34425
C6orf21	0.4815
FLJ20920	0.727125
CRTAP	-0.552
DDX50	-0.04725
STYXL1	0.716
BLVRB	1.013
LOC147650	-0.3105
MMP24	0.1685
GRID1	1.07283333333333
BANF1	0.848666666666667
CTAGEP	1.38725
HMBS	-2.014
SLC25A24	-0.8095
C14orf50	2.71375
MRO	-0.1815
SLC25A15	0.446
FAM84B	1.8672
TDP1	-0.185
C16orf78	0.889166666666667
C11orf57	-0.121375
RFK	-0.209
ZFYVE9	-0.85675
STCH	-0.5202
WIBG	0.01975
LOC283871	0.309333333333333
GBA2	-0.6961
NDUFB3	-0.314
HSD17B13	-0.749
GRIN3A	0.836166666666667
FMNL1	-1.47316666666667
SEPT7	-0.5077
GNLY	2.3535
GRAMD1C	0.784333333333333
ZNF165	0.0175
USP38	1.6675
FAM83A	-3.54433333333333
C14orf24	0.453083333333333
ARMCX3	1.07625
ARHGDIB	0.156666666666667
AK1	0.184875
KIAA1045	-0.08475
DNAJB13	-0.333
NEU2	0.446
HIST1H4B	-0.342333333333333
FAM20B	-0.4226
HES2	0.896428571428571
FAM73B	-0.4945
LOC388381	0.935
INTS7	0.241727272727273
AMPH	0.59
ZNF775	0.2055
UCKL1	-0.837833333333334
C10orf97	0.09875
C1orf161	0.8875
ALDH1L1	-0.85775
FLJ39378	0.0165
SLC23A1	0.8865
RBM4B	0.778
THAP4	0.494
OGFRL1	0.91975
KIAA0831	-0.1995
PPP1R15A	0.00816666666666667
C1orf96	-0.331071428571429
C12orf11	-1.15275
BMF	1.668
MAN1A1	-0.070875
KIAA1600	1.11933333333333
NLGN4X	0.6855
ALOX12	-1.35216666666667
RB1CC1	-0.2832
NEIL2	-0.0984
EIF4E	0.341409090909091
ABHD5	-0.51375
EXOC4	-0.394833333333333
CIP29	-0.152666666666667
BATF2	4.57475
SLC29A4	-0.736125
HTR4	0.28825
EMB	0.81775
TRAF6	-0.29925
LMNB1	-2.4095
FAM19A5	-1.308625
SHE	0.683
PIK3C2B	1.589
C15orf15	-0.8231
USP15	-0.3624
TCEAL2	2.39175
C5orf39	-0.2025
PTGER2	0.513
SLC31A1	-0.1206875
IFT172	-0.19125
ADAM29	0.51275
GFOD1	0.443
ST7L	0.284166666666667
C15orf26	-2.34625
PKN3	-1.00975
CNTD1	1.40666666666667
COMMD1	0.391875
NTRK2	2.27291666666667
FOXN3	-0.20025
MFGE8	-0.7433
PFKFB2	-0.0255
TAS2R4	0.1495
ENTHD1	0.511166666666667
PRMT5	-1.047625
MGC16384	-0.88525
LOC442229	0.387
TSKU	0.830125
KRTCAP3	3.11775
PDLIM1	1.11
KCNS2	0.02375
RNF126	-0.360333333333333
CEP63	-0.49425
CLIC4	-1.4305
hCG_1990170	0.57275
ACR	0.5439
KLK7	0.9345
ALOX5AP	1.646375
RIPK3	3.4305
TAS2R9	0.316
C19orf18	1.685
BIRC6	0.390428571428571
ZNF16	1.9155
RFT1	-1.105
SLC8A2	-0.34725
TACC1	-0.6755
ITGAD	0.09775
SAMHD1	1.37
SH3PXD2B	1.0034
EPC2	0.78625
C20orf85	0.239375
ATP13A2	0.0263333333333333
KRT4	0.55275
CAPNS1	0.3245
MDM2	-0.78
PCDH20	1.05275
KCNK9	1.465
OR2C1	-0.2935
KLHDC3	-0.579
IPPK	0.8655
EFHD2	-0.782625
GALR3	1.0695
NBEA	0.987166666666667
ABCA6	2.0413
CLDN3	2.10066666666667
AKT2	-0.0205714285714286
EGFR	-1.6611
RBM16	1.10125
ZDHHC3	1.1061
SLC25A4	0.175
CYB5B	-0.164333333333333
CPXM1	0.2305
NDRG1	-1.20607692307692
FLJ43826	0.18425
OR5L2	-0.0445
FARP2	1.0013
MRPL46	-0.292666666666667
LDHAL6B	0.0826666666666667
MAPKAPK3	-0.384833333333333
NCAM2	0.714
PRKD2	0.554333333333333
ZFP36L1	1.2435
CYSLTR1	1.69675
OR4C3	0.4585
HIST1H2AJ	0.713
CCNB2	-1.46733333333333
ZNF10	0.260375
TMEM175	0.6065
FAM134A	0.856833333333333
TIGD4	0.3515
PCNP	-1.29075
MGC39715	-0.256666666666667
LQK1	-0.61675
CREB1	0.5011
TMPRSS3	-1.692
C4orf32	1.699125
LAT	-2.02808333333333
KCNA3	-0.0995
SKIV2L2	-1.45425
ROPN1B	-1.43475
tcag7.23	0.0985
CDT1	-1.674375
ZHX2	1.31975
CD28	-3.56325
ZNF624	0.181
SEPT2	0.475416666666667
SOHLH2	3.14025
MCOLN3	-0.841
UNQ1945	0.811
MASP2	-0.8555
ZNRF3	-0.391
GPATCH3	-0.6535
AGL	1.054875
QRICH2	-1.107
PSD4	1.76383333333333
CCNB1IP1	-2.11625
ENPP7	0.1085
OBFC1	0.69925
KCNG3	-1.46275
C14orf79	0.51775
ENPEP	1.21016666666667
SCT	2.0015
SKI	0.6
SEC61G	0.4205
CAPN11	-0.0665
ATXN7L3	0.75425
DBNDD1	0.864
FAIM	-0.511
ANKRD36	-0.3565
GABRP	2.88816666666667
TACSTD2	1.9555
EIF3J	0.18825
PPP2R2A	-0.97375
TEKT4	-0.442666666666667
PVALB	2.2535
F10	-2.204
FAM134C	1.5208
COMP	4.669625
EFCBP1	-2.301375
SCLT1	0.5825
TAL1	-1.0561
ACSL1	0.51525
ABCC5	0.769166666666667
ABL1	-0.185444444444444
RBBP7	0.663583333333333
PTPRG	0.048625
NCOR1	-0.3012
SPINK4	4.2515
TXNRD1	-1.9973
TNRC15	0.840875
C9orf138	-0.116625
UBE2H	0.988333333333333
BRDT	0.103666666666667
C8orf31	1.22775
CCNE2	-0.917363636363636
SLC6A8	-1.340125
CALCR	-3.6455
PPP1CB	0.710666666666667
ABHD8	0.22375
ARF5	0.4261
SLC24A4	0.27125
CCT3	-0.183
ZNF121	0.054875
SLC3A2	-0.1037
OR13A1	0.3295
SLC5A10	0.8195
RAD50	-0.651
IER5	0.612
MTHFD1L	-2.494875
MBTPS2	0.23875
MVK	0.2125
NCL	0.2353
PSMD10	-0.527
MOBP	0.114428571428571
FLJ32894	-1.6685
HRH1	0.058
C5orf30	0.1595
NUDT16L1	1.3628
RASGRP3	2.44133333333333
PRKRIP1	-0.3136
CCDC75	0.3355
LOC253970	1.5305
KIAA1239	-0.05425
MED21	-0.836
SYT11	-0.592166666666667
NTSR2	-0.382
EGFL11	0.61
CXorf59	0.6395
OR2A25	0.03075
SPTBN2	1.1875
LRMP	-2.08366666666667
RNF111	-0.174
PTH	0.208
LOC619208	-0.385833333333333
KIAA0895	0.58
RANBP5	-1.0405
P2RY10	0.81
NME5	3.525
DDX21	-0.604
LRSAM1	0.028
HDAC11	0.626166666666667
VMO1	1.82875
NOLA2	-0.193166666666667
ADAR	0.554833333333333
MTO1	-0.8605
SF4	0.587166666666667
P2RX1	-0.349833333333333
HBM	0.369
EN2	1.2945
C14orf172	0.51725
TM9SF2	0.7362
INHBE	-1.20133333333333
TCTE3	-0.1385
TOX2	-3.30475
CTAGE3	1.0835
HBB	3.5315
MED15	-1.08833333333333
CASR	0.62475
C6orf66	-1.07216666666667
MTPN	-0.58375
UNC50	-0.2765
C21orf33	0.2555
IRF2	1.139625
PGR	-0.0736666666666666
GPR84	1.00025
CROCCL1	-2.361
SRPX	-1.3965
BRE	0.355166666666667
FGF10	0.7115
SDC3	-0.211
ZRSR1	0.909166666666667
DKFZP434P211	-0.625
SOX6	0.199
RPUSD2	-0.2845
C14orf173	0.132333333333333
MAPK11	-0.473
TBC1D22A	-0.1545
FAM123A	-0.7655
COL4A6	-1.35516666666667
TOMM70A	-0.574
NAB1	-1.34875
MGC16385	0.3735
TSPAN18	-0.595333333333333
MED31	-1.2255
PLG	-0.389
CAPSL	1.553
ZNF532	0.7251
ASB14	-0.0205
CA8	0.14
NUDT16P	-0.0308333333333333
SLFN11	-1.36
LRRIQ2	-0.87575
NOL7	-0.397333333333333
BRMS1L	-0.3965
JARID1A	0.447833333333333
PANK2	-0.375
ICAM3	0.08975
MDS1	-1.037
TAF8	-0.0485
RNF139	1.56725
ZNF594	0.0333333333333333
ADAM8	2.72325
SFTPC	-0.28175
MAN2B2	0.684
RGS12	0.069375
EIF1AY	-4.18366666666667
LRRIQ1	-1.84566666666667
GPR150	1.14425
CCDC21	-1.56133333333333
PRRG3	0.3665
SAA4	-2.86825
RAPGEF5	0.304125
ZCCHC2	1.31391666666667
MGC39372	-0.5335
PPP4R2	-0.194
CDCA2	-1.55683333333333
OR4D5	0.6335
PTGFRN	0.5837
SIGLEC5	0.785166666666667
C19orf61	-0.368666666666667
NMUR2	0.1765
KIAA1586	-1.09466666666667
DAGLA	0.948833333333333
CHCHD6	-0.5855
GPR32	1.1765
NEUROD6	0.108333333333333
SLC2A4RG	0.3483125
CA5B	-0.32075
FBXL3	0.551
MPHOSPH9	-0.88
HMG2L1	-0.13
HCN4	0.612333333333333
CEACAM19	1.41075
SH2D4B	0.515666666666667
HFE2	-1.169
TGM4	1.37033333333333
LYPD2	0.26775
TBC1D15	-0.298
MRPS21	-0.8523
NONO	-0.5945
CLEC5A	0.45875
ITCH	0.4469
MGAT3	-1.21866666666667
MBP	-0.706875
RPP25	-0.92125
SOSTDC1	0.51675
HRC	-1.1005
TRIM48	0.0905
TMEM133	-1.0585
ECEL1P2	-0.81275
HOXC11	1.37
DOK5	-1.745
HELZ	0.570666666666667
LOC348180	-0.4335
MGC33894	0.25075
ADRB3	0.184
DMD	-0.26075
PTRH2	-0.9775
MPEG1	3.14883333333333
NDUFA12	-0.904333333333333
KRTAP2-4	0.236583333333333
STAMBPL1	-1.707
ADCY2	-0.064
UNQ6125	0.52
KLHL20	0.2065
SRM	-1.1495
OTC	-0.45575
TMIE	-0.220666666666667
SNX8	0.1315
LIPK	0.11
CHURC1	-0.454166666666667
KLC2	0.779333333333333
HDAC1	-0.888833333333333
FAM128A	0.769
FNDC3B	-1.1554
MTCP1	-0.0886666666666667
WFDC10B	0.1086
PCDHGB3	-0.2235
ATRNL1	1.8737
CAV2	-1.447625
MED26	0.623333333333333
DUS1L	-0.217
CHRM3	-1.610625
NEK9	0.379
WARS2	-0.94725
TBX22	0.3545
TOMM40	-0.52925
RP6-213H19.1	-3.629
TUBGCP5	-0.13725
IGSF6	3.68875
TPPP	-0.452
UNQ6190	0.07
GSTM5	0.095125
BTD	0.0163333333333333
PDCD1LG2	0.0413333333333333
SNRPB2	0.0581666666666667
ERICH1	-1.061125
APOA4	-1.63825
HOXA11	-2.7635
NARG1	-0.254625
MKX	-0.678
RAB28	-0.564428571428571
PKP3	1.47475
SH3GL2	-3.30525
CTSO	2.06275
RPN2	0.991375
IL28RA	-0.187666666666667
SFMBT1	0.40025
WDR57	-0.765625
FER1L3	0.922666666666667
HSF5	0.297
TTC9B	0.767
C4BPA	-3.15166666666667
ALB	-3.85564285714286
SORBS3	-0.17125
UPF2	0.316
JPH1	0.149
AGBL2	-0.584
DOPEY1	1.8415
TERF1	-0.4515
KIF22	0.154333333333333
NINJ1	1.53275
SEC61A2	-0.3695
HIST1H1D	0.834166666666667
SFXN4	0.912375
UCP3	-0.0311
ZNF703	1.51433333333333
MYL6B	-1.033
TREM1	1.73025
OR52E6	0.179
CKMT2	0.43625
HLA-C	2.5275
SLC13A3	-1.37766666666667
TIMP4	-0.6955
SLIT2	1.7075
RSF1	-0.303666666666667
LONRF1	-1.25978571428571
MON1A	-0.214333333333333
CACNG6	0.2215
DPPA4	-4.942
ZSWIM3	0.4845
ZNF804A	0.000666666666666667
CCIN	0.98625
SLC25A31	0.688
KCNMB4	-1.1965
RABL5	0.649875
GALNS	0.2186
STX6	1.077625
HIST1H1C	0.511166666666667
CIDEB	-1.053875
CASP4	-0.324666666666667
PDK3	0.4346
KCNJ11	2.425
TPR	-0.434875
ZSCAN20	-0.978
MTX2	0.36075
HIST1H2BH	1.01225
LOC283767	-0.1055
LYRM7	-2.09461111111111
BRD3	0.851666666666667
HIST1H2BO	0.98175
MAGEB10	0.3525
SLC45A1	-0.1035
SERPINA3	1.53815
KIAA0143	1.228
KCNJ16	0.0361666666666667
KRT79	-0.5365
FABP2	-0.606
NUT	-0.0666666666666667
ZNF57	0.2985
FBXL4	-0.432625
CLEC9A	0.951
UGT8	-0.832666666666667
BMP2K	0.32875
MAPK4	-3.02425
SLC25A23	-0.3183
HINT1	-1.4276
KRTAP13-1	0.804
SFXN5	0.0932
CHCHD2	0.16975
FAM3D	2.7965
NDP	-1.4915
RHOBTB1	0.248166666666667
SLC4A4	-1.619
RPL38	-0.87175
HTF9C	-1.38833333333333
AP2A2	0.959125
ZBTB46	-0.0555
MAP7D1	-0.338875
AOX1	-2.03816666666667
CYR61	1.05966666666667
DTNA	-0.956071428571429
JRKL	-0.3955
TMOD3	0.0575
EEA1	-0.3835
ADCK5	0.50375
IL1R1	3.297
KLK3	0.710071428571428
HRSP12	-0.2965
KTN1	0.54825
LOH11CR2A	0.2077
RELL2	-0.5795
MAB21L1	0.84375
C20orf59	-0.953166666666667
PHKB	0.477
ADAM2	-1.53883333333333
TBC1D8B	0.999833333333333
FAM13A1	-1.3724375
LAPTM4B	-0.202833333333333
LCN8	0.183
TMEM147	0.7255
SYT4	-0.0215
XPO7	-1.1725
C9orf62	1.40975
GPR75	-0.1175
TRIM5	0.580125
APOC1	-0.815
RNASE4	2.089
PARD6B	-2.389375
ARID1A	-0.00191666666666667
TPD52L3	0.2175
RRAGB	0.136666666666667
RCN2	-1.12533333333333
HIST2H2BE	1.3940625
STARD7	0.19775
SHMT2	-1.7775
KIAA1751	-0.2645
MLYCD	0.313375
LOC162632	0.5009
UQCRH	-1.77025
RP11-217H1.1	0.78725
SDHA	-1.67466666666667
NCLN	-0.3522
ZNF17	0.758666666666667
RCBTB2	-1.68575
VEGFB	0.7794
RP4-747L4.3	-0.2925
COLQ	0.1955
MPN2	-1.051
DRG2	-0.69575
KLRB1	4.66775
ALPK2	-2.274
DNASE2B	3.03325
FLJ23834	-0.645
AXUD1	1.22683333333333
SAFB	0.2745
NSUN4	-0.8325
RFX2	1.01933333333333
MAPK8IP1	-1.21983333333333
FANCD2	-1.14571428571429
ANKZF1	-1.051
C19orf50	-0.448875
DUSP8	1.30875
SENP5	-0.06
NFKBIL2	0.4295
LBR	-1.68025
IGFL1	0.857
LZTS2	0.209125
IL2RG	-0.87775
CCDC51	-0.4695
KLF3	0.00737500000000001
ANKRD37	0.56375
KCTD14	2.62566666666667
FZR1	0.176333333333333
SLC44A4	4.2637
ESPL1	-1.208875
GMPR2	-1.3314
TBC1D19	-1.93933333333333
ERGIC1	1.07825925925926
ERBB4	2.6685
TSPAN32	-0.313916666666667
MAP4	-0.35825
GPHN	-0.4675
SLC6A2	0.096
HIVEP1	0.1545
DFFB	-0.7894
EIF4EBP2	0.403375
DMRT1	0.18275
HSPB6	0.08075
IER2	1.4085
AIFM1	0.931
WWC2	0.203083333333333
MRPL4	-0.47975
FLJ21062	-0.0888333333333333
EPB41L4A	1.35058333333333
SH2D6	0.31675
TAF4B	-1.1355
GAL3ST3	-0.233
MALT1	-0.883333333333333
RTDR1	0.93875
ARVCF	-0.09325
MEX3B	-1.49116666666667
FBXO16	1.281
KIF7	-2.08325
C1QC	3.601
ZNF783	-0.6395
ZNF85	-0.06825
MMP13	3.1825
KIAA0329	0.62625
RTP3	0.1045
ZBED3	-0.8765
CLGN	1.11025
SLC25A37	-1.39375
hCG_18290	-0.78075
OR5AS1	0.5075
SMARCC2	0.143166666666667
FAM109A	0.3565
CCDC12	-0.438
USF2	0.7269
DEPDC7	-3.0855
C20orf24	-0.611
JMJD3	0.5895
DSP	1.38835714285714
SLIC1	0.203375
FAM20A	0.390625
IRF2BP2	0.50975
ZNF230	-0.272
MSN	-1.37928571428571
SLC9A5	1.0165
EPDR1	-2.8283
MUSK	0.6
