Hybridization REF	TCGA-AR-A0TR-01A-11R-A084-07
NLRP9	0.184
EPN1	-0.1385
LOC388610	-2.650375
SLC35A1	1.264
GAL	-5.24375
SLC14A2	1.11875
RDH11	-0.985166666666667
FAM138F	-0.319
AUH	1.33025
FLJ40243	-0.14925
C14orf129	0.440833333333333
MBD2	-0.578333333333333
ABHD14B	0.34425
PIGT	1.743375
ALS2CR4	0.16825
ALAS1	0.0334
FOXO1	0.171
CRLF3	-0.30725
C20orf107	-0.618
FARS2	1.37525
CCDC28A	0.654
NPHP3	-0.8465
OR13F1	0.9265
TSEN54	-0.38275
DEFB106B	0.0357
OR8B4	-0.267
STH	2.08325
ZC3H14	-0.178125
CBX2	-1.328
TMEM49	-1.61325
C6orf21	0.3055
FLJ20920	1.62675
CRTAP	0.301785714285714
DDX50	-0.34375
STYXL1	0.33375
BLVRB	0.0913333333333333
LOC147650	-1.28833333333333
MMP24	-0.30925
GRID1	0.295
BANF1	-0.668666666666667
CTAGEP	1.20075
HMBS	-1.529
SLC25A24	1.67933333333333
C14orf50	2.87225
MRO	-0.319
SLC25A15	-0.271
FAM84B	1.4636
TDP1	-0.4495
C16orf78	0.129
C11orf57	0.274125
RFK	-0.52225
ZFYVE9	-0.05375
STCH	-1.3984
WIBG	1.02875
LOC283871	-0.7455
GBA2	-0.2642
NDUFB3	-0.27475
HSD17B13	-0.0625
GRIN3A	0.7865
FMNL1	-1.42516666666667
SEPT7	-0.5991
GNLY	2.6395
GRAMD1C	1.12266666666667
ZNF165	0.35375
USP38	0.32225
FAM83A	-3.11166666666667
C14orf24	0.653583333333333
ARMCX3	1.039875
ARHGDIB	0.9985
AK1	0.6685
KIAA1045	0.3635
DNAJB13	-0.440666666666667
NEU2	0.91
HIST1H4B	-1.55833333333333
FAM20B	0.5632
HES2	-0.905214285714286
FAM73B	0.315
LOC388381	-0.419
INTS7	-0.141090909090909
AMPH	4.2235
ZNF775	-0.332375
UCKL1	-0.573166666666667
C10orf97	0.50925
C1orf161	0.1175
ALDH1L1	-2.4055
FLJ39378	-0.02125
SLC23A1	-1.3035
RBM4B	0.5585
THAP4	0.622833333333333
OGFRL1	0.24575
KIAA0831	-0.02325
PPP1R15A	-0.623333333333333
C1orf96	0.332357142857143
C12orf11	-2.5995
BMF	0.4175
MAN1A1	-1.821
KIAA1600	-0.0478333333333333
NLGN4X	-1.5455
ALOX12	-1.36383333333333
RB1CC1	0.2427
NEIL2	0.4266
EIF4E	-0.245590909090909
ABHD5	0.2475
EXOC4	0.0863333333333333
CIP29	-0.079
BATF2	1.5095
SLC29A4	-1.725625
HTR4	1.2295
EMB	-1.99375
TRAF6	1.016
LMNB1	-2.95175
FAM19A5	-2.6625
SHE	0.9115
PIK3C2B	0.54475
C15orf15	-0.3335
USP15	0.0135
TCEAL2	0.42375
C5orf39	-0.821333333333333
PTGER2	-2.23325
SLC31A1	-0.0710625
IFT172	0.98525
ADAM29	0.14325
GFOD1	0.27225
ST7L	1.553
C15orf26	-2.67025
PKN3	-2.00075
CNTD1	3.07116666666667
COMMD1	0.798
NTRK2	2.4745
FOXN3	-1.478375
MFGE8	-2.1442
PFKFB2	-0.265333333333333
TAS2R4	0.50675
ENTHD1	-0.0675
PRMT5	0.127
MGC16384	-0.755125
LOC442229	-0.657
TSKU	0.253875
KRTCAP3	1.982625
PDLIM1	-0.6902
KCNS2	0.324
RNF126	-0.223333333333333
CEP63	0.487
CLIC4	-1.431125
hCG_1990170	-0.64025
ACR	0.0207
KLK7	-1.1725
ALOX5AP	2.261875
RIPK3	4.01975
TAS2R9	0.417
C19orf18	2.6295
BIRC6	0.0811428571428571
ZNF16	1.6455
RFT1	-0.38125
SLC8A2	-1.0555
TACC1	-1.669125
ITGAD	1.51375
SAMHD1	0.26575
SH3PXD2B	0.1844
EPC2	1.1285
C20orf85	2.648875
ATP13A2	1.23666666666667
KRT4	-0.07275
CAPNS1	0.433
MDM2	0.564833333333333
PCDH20	2.45725
KCNK9	1.1535
OR2C1	0.0875
KLHDC3	-0.15
IPPK	1.1995
EFHD2	-0.5945
GALR3	0.137
NBEA	1.48016666666667
ABCA6	1.7974
CLDN3	2.251
AKT2	-0.622142857142857
EGFR	-3.1873
RBM16	0.431875
ZDHHC3	-0.0339
SLC25A4	0.305666666666667
CYB5B	-0.197333333333333
CPXM1	-2.9175
NDRG1	-1.48946153846154
FLJ43826	0.61725
OR5L2	0.0481666666666667
FARP2	1.2643
MRPL46	-0.819666666666667
LDHAL6B	-0.268833333333333
MAPKAPK3	-0.2745
NCAM2	-1.185
PRKD2	0.2055
ZFP36L1	0.2936
CYSLTR1	1.22025
OR4C3	0.464
HIST1H2AJ	1.7195
CCNB2	-3.56222222222222
ZNF10	0.846
TMEM175	0.002
FAM134A	1.076
TIGD4	0.852
PCNP	0.25125
MGC39715	0.0416666666666667
LQK1	0.0265
CREB1	0.1959
TMPRSS3	2.37675
C4orf32	2.40475
LAT	-1.4785
KCNA3	-0.1285
SKIV2L2	0.13425
ROPN1B	-4.145
tcag7.23	0.2045
CDT1	-3.51625
ZHX2	1.216
CD28	-3.1445
ZNF624	0.44275
SEPT2	0.411083333333333
SOHLH2	1.1835
MCOLN3	-1.523875
UNQ1945	0.277
MASP2	-1.449
ZNRF3	-0.3408
GPATCH3	0.0935
AGL	0.13075
QRICH2	0.391
PSD4	1.641
CCNB1IP1	-1.767
ENPP7	-0.1955
OBFC1	0.30075
KCNG3	-2.04375
C14orf79	0.9865
ENPEP	0.1015
SCT	0.855
SKI	-0.01425
SEC61G	-0.8575
CAPN11	1.23225
ATXN7L3	0.25925
DBNDD1	0.3715
FAIM	0.4275
ANKRD36	-1.185
GABRP	-0.925666666666667
TACSTD2	2.893
EIF3J	-0.378
PPP2R2A	0.30425
TEKT4	-0.944166666666667
PVALB	-2.66166666666667
F10	-2.88833333333333
FAM134C	0.9243
COMP	2.591625
EFCBP1	-3.1985625
SCLT1	-0.64725
TAL1	-1.5806
ACSL1	-1.33475
ABCC5	-0.5225
ABL1	-0.530111111111111
RBBP7	0.84475
PTPRG	-3.0895
NCOR1	-0.3115
SPINK4	0.0868333333333333
TXNRD1	-1.2488
TNRC15	0.756375
C9orf138	0.410125
UBE2H	1.49433333333333
BRDT	-0.42
C8orf31	0.18275
CCNE2	-2.39881818181818
SLC6A8	-2.816125
CALCR	-4.44075
PPP1CB	0.77625
ABHD8	-0.1675
ARF5	0.3919
SLC24A4	0.617
CCT3	-0.1615
ZNF121	0.353125
SLC3A2	-0.8883
OR13A1	0.2645
SLC5A10	0.22275
RAD50	1.030125
IER5	-0.8035
MTHFD1L	-3.51525
MBTPS2	0.94575
MVK	-0.32425
NCL	-0.2976
PSMD10	0.08125
MOBP	0.251875
FLJ32894	-0.336
HRH1	-3.0645
C5orf30	1.33325
NUDT16L1	1.2668
RASGRP3	2.52266666666667
PRKRIP1	-0.0024
CCDC75	-0.73475
LOC253970	0.28425
KIAA1239	0.7155
MED21	-0.89175
SYT11	-0.573916666666667
NTSR2	-1.072
EGFL11	0.3285
CXorf59	0.663
OR2A25	-0.025
SPTBN2	-1.70175
LRMP	-0.546833333333333
RNF111	0.437
PTH	-0.195
LOC619208	-0.173333333333333
KIAA0895	1.143
RANBP5	-0.942875
P2RY10	1.17266666666667
NME5	5.02633333333333
DDX21	-1.092
LRSAM1	0.761
HDAC11	1.75833333333333
VMO1	1.1715
NOLA2	0.557333333333333
ADAR	1.00841666666667
MTO1	-0.872166666666667
SF4	0.468333333333333
P2RX1	-0.00766666666666667
HBM	-0.345
EN2	0.28
C14orf172	-0.01725
TM9SF2	0.7115
INHBE	-1.37816666666667
TCTE3	-0.223
TOX2	-3.647
CTAGE3	0.881
HBB	3.782
MED15	-1.47833333333333
CASR	0.12425
C6orf66	-0.8465
MTPN	-0.44475
UNC50	0.775
C21orf33	0.18075
IRF2	1.093125
PGR	3.59233333333333
GPR84	0.77925
CROCCL1	-1.21325
SRPX	-2.76525
BRE	0.367166666666667
FGF10	0.121
SDC3	-1.67133333333333
ZRSR1	0.584166666666667
DKFZP434P211	-0.165
SOX6	-0.626
RPUSD2	-0.0635
C14orf173	-0.888
MAPK11	-1.24316666666667
TBC1D22A	-0.1065
FAM123A	-0.9325
COL4A6	-4.02616666666667
TOMM70A	0.34775
NAB1	-0.4975
MGC16385	1.11125
TSPAN18	-1.393
MED31	-0.87975
PLG	-0.496
CAPSL	4.095
ZNF532	-0.0377
ASB14	0.04275
CA8	-1.3895
NUDT16P	2.5515
SLFN11	-2.5125
LRRIQ2	0.12875
NOL7	-0.182333333333333
BRMS1L	0.623625
JARID1A	-0.698166666666667
PANK2	-0.35225
ICAM3	-0.07875
MDS1	-0.26325
TAF8	0.03825
RNF139	0.8915
ZNF594	0.7985
ADAM8	0.230875
SFTPC	-0.532125
MAN2B2	-0.10125
RGS12	0.163625
EIF1AY	-5.31966666666667
LRRIQ1	0.825333333333333
GPR150	0.3025
CCDC21	-0.350333333333333
PRRG3	0.0525
SAA4	-4.84575
RAPGEF5	-0.02075
ZCCHC2	-0.0626666666666667
MGC39372	1.0815
PPP4R2	0.171333333333333
CDCA2	-2.47666666666667
OR4D5	0.518666666666667
PTGFRN	0.8234
SIGLEC5	0.537166666666667
C19orf61	-0.341666666666667
NMUR2	0.6495
KIAA1586	0.0675
DAGLA	-0.2545
CHCHD6	-0.33075
GPR32	0.789
NEUROD6	0.7712
SLC2A4RG	-0.2346875
CA5B	-0.10775
FBXL3	0.9545
MPHOSPH9	-0.54825
HMG2L1	0.517
HCN4	-0.145
CEACAM19	-0.39325
SH2D4B	-0.0175
HFE2	-1.4805
TGM4	0.407
LYPD2	0.0952500000000001
TBC1D15	0.5045
MRPS21	-0.3994
NONO	-0.4695
CLEC5A	0.963375
ITCH	0.0453
MGAT3	-1.558
MBP	-0.244625
RPP25	-1.339
SOSTDC1	-2.96725
HRC	-2.18125
TRIM48	-0.6145
TMEM133	-1.49875
ECEL1P2	-1.21775
HOXC11	0.6415
DOK5	-3.603
HELZ	-0.0085
LOC348180	-0.10175
MGC33894	0.13025
ADRB3	0.2495
DMD	-0.523666666666667
PTRH2	-0.49825
MPEG1	2.72883333333333
NDUFA12	0.0701666666666667
KRTAP2-4	-0.33725
STAMBPL1	-1.29666666666667
ADCY2	-0.951333333333333
UNQ6125	0.088
KLHL20	0.298166666666667
SRM	-1.24725
OTC	0.7195
TMIE	0.0876666666666667
SNX8	-0.9375
LIPK	1.145
CHURC1	-0.36075
KLC2	0.1275
HDAC1	0.184666666666667
FAM128A	1.128
FNDC3B	-0.5854
MTCP1	-0.473166666666667
WFDC10B	0.668
PCDHGB3	0.651
ATRNL1	-0.2637
CAV2	-2.35525
MED26	0.157666666666667
DUS1L	0.36275
CHRM3	-1.991375
NEK9	0.9695
WARS2	0.88925
TBX22	0.0455
TOMM40	-0.75175
RP6-213H19.1	-0.394166666666667
TUBGCP5	-0.2995
IGSF6	4.209
TPPP	-0.180333333333333
UNQ6190	-0.835
GSTM5	3.688125
BTD	1.72833333333333
PDCD1LG2	-0.253166666666667
SNRPB2	-0.621166666666667
ERICH1	-0.427875
APOA4	-1.63225
HOXA11	-1.49066666666667
NARG1	-0.50425
MKX	-0.897666666666667
RAB28	-0.3465
PKP3	0.707
SH3GL2	-2.48933333333333
CTSO	3.3325
RPN2	-0.4028125
IL28RA	1.06133333333333
SFMBT1	0.415
WDR57	-0.57275
FER1L3	1.53516666666667
HSF5	0.3345
TTC9B	0.8065
C4BPA	-4.66666666666667
ALB	-2.47407142857143
SORBS3	0.172375
UPF2	-0.073
JPH1	-0.6575
AGBL2	0.85925
DOPEY1	1.3575
TERF1	-0.370916666666667
KIF22	-0.819
NINJ1	1.71775
SEC61A2	-0.3685
HIST1H1D	-0.698666666666667
SFXN4	-0.458375
UCP3	0.3992
ZNF703	1.2615
MYL6B	-0.234
TREM1	-0.0175
OR52E6	0.63
CKMT2	-0.44175
HLA-C	1.5175
SLC13A3	-0.6505
TIMP4	-1.35175
SLIT2	0.20625
RSF1	0.113666666666667
LONRF1	-0.831571428571429
MON1A	-0.3845
CACNG6	-2.118
DPPA4	-6.14
ZSWIM3	0.15675
ZNF804A	0.255666666666667
CCIN	-0.22175
SLC25A31	-0.0335
KCNMB4	-2.7985
RABL5	1.166375
GALNS	0.2453
STX6	0.0955
HIST1H1C	0.309833333333333
CIDEB	0.4215
CASP4	-0.661166666666667
PDK3	0.6089
KCNJ11	2.5545
TPR	-0.373625
ZSCAN20	-0.643
MTX2	0.0575
HIST1H2BH	0.3555
LOC283767	-0.65625
LYRM7	-0.159222222222222
BRD3	0.52
HIST1H2BO	0.2895
MAGEB10	1.059
SLC45A1	1.273
SERPINA3	2.3
KIAA0143	1.1905
KCNJ16	-0.0676666666666667
KRT79	-0.0715
FABP2	-0.6205
NUT	-0.00400000000000003
ZNF57	0.59
FBXL4	0.509625
CLEC9A	2.657
UGT8	-2.13833333333333
BMP2K	-0.63175
MAPK4	-4.39175
SLC25A23	-0.1589
HINT1	-1.6323
KRTAP13-1	0.534
SFXN5	1.4465
CHCHD2	0.11625
FAM3D	1.4475
NDP	-3.653125
RHOBTB1	-1.01583333333333
SLC4A4	-1.805875
RPL38	0.13875
HTF9C	-0.6455
AP2A2	0.364625
ZBTB46	-0.943
MAP7D1	-0.443375
AOX1	-2.00516666666667
CYR61	-1.47808333333333
DTNA	-0.226428571428571
JRKL	0.4185
TMOD3	-1.242
EEA1	0.1956
ADCK5	-0.396
IL1R1	-0.219166666666667
KLK3	0.362
HRSP12	-0.4695
KTN1	-0.477
LOH11CR2A	-1.2719
RELL2	-0.68225
MAB21L1	0.1395
C20orf59	-1.74283333333333
PHKB	0.864
ADAM2	-1.473
TBC1D8B	2.0105
FAM13A1	-1.136625
LAPTM4B	-4.79
LCN8	0.2955
TMEM147	0.471
SYT4	0.254166666666667
XPO7	-0.4905
C9orf62	0.223
GPR75	-0.215
TRIM5	0.29175
APOC1	-2.358
RNASE4	1.42983333333333
PARD6B	1.37425
ARID1A	0.667083333333333
TPD52L3	-0.2857
RRAGB	1.3215
RCN2	-1.02866666666667
HIST2H2BE	0.76925
STARD7	-0.036
SHMT2	-1.21775
KIAA1751	1.49833333333333
MLYCD	1.266
LOC162632	-1.5409
UQCRH	-1.359
RP11-217H1.1	0.431375
SDHA	-0.773833333333333
NCLN	-0.3077
ZNF17	1.465
RCBTB2	-2.1565
VEGFB	-0.2476
RP4-747L4.3	0.26375
COLQ	0.8117
MPN2	-0.339
DRG2	-0.50725
KLRB1	4.29525
ALPK2	-4.03075
DNASE2B	5.3655
FLJ23834	0.273666666666667
AXUD1	0.9315
SAFB	-0.1574
NSUN4	0.369
RFX2	-0.9795
MAPK8IP1	-0.484833333333333
FANCD2	-1.96678571428571
ANKZF1	-0.6495
C19orf50	-0.648625
DUSP8	-0.41025
SENP5	0.17775
NFKBIL2	-0.893
LBR	-1.55375
IGFL1	-0.035
LZTS2	-0.199125
IL2RG	-0.7445
CCDC51	0.35475
KLF3	0.328
ANKRD37	-2
KCTD14	-2.2625
FZR1	0.251416666666667
SLC44A4	3.6872
ESPL1	-1.76875
GMPR2	0.5189
TBC1D19	-0.777666666666667
ERGIC1	1.12255555555556
ERBB4	3.6113
TSPAN32	0.0301666666666667
MAP4	-0.38625
GPHN	0.19675
SLC6A2	-0.278875
HIVEP1	0.62725
DFFB	-0.0763
EIF4EBP2	0.12325
DMRT1	-0.283
HSPB6	-0.51125
IER2	-0.392666666666667
AIFM1	-0.0965
WWC2	-1.45
MRPL4	-0.12025
FLJ21062	2.89016666666667
EPB41L4A	1.70666666666667
SH2D6	0.06175
TAF4B	-0.532
GAL3ST3	-0.047
MALT1	-0.657
RTDR1	-0.45075
ARVCF	-0.362375
MEX3B	-1.25266666666667
FBXO16	2.24725
KIF7	-1.041
C1QC	3.68833333333333
ZNF783	0.603833333333333
ZNF85	0.87375
MMP13	-2.8535
KIAA0329	-0.123625
RTP3	0.488
ZBED3	-1.336
CLGN	-0.0895
SLC25A37	-1.610125
hCG_18290	-0.1905
OR5AS1	1.3905
SMARCC2	0.560166666666667
FAM109A	0.0448333333333333
CCDC12	0.2295
USF2	0.5255
DEPDC7	-4.46025
C20orf24	-0.952
JMJD3	0.223
DSP	2.17107142857143
SLIC1	0.444
FAM20A	-1.629
IRF2BP2	1.11275
ZNF230	1.039
MSN	-2.04014285714286
SLC9A5	-1.7955
EPDR1	-3.0919
MUSK	0.1005
ZNF434	-0.107833333333333
SMARCD1	-0.206
