Hybridization REF	TCGA-A8-A0A4-01A-11R-A00Z-07
ACOT2	0.882833333333333
HIST1H4I	-0.957
PPARGC1A	-0.787222222222222
ETFA	-1.0617
POLRMT	-0.0755
ZNF146	0.129375
MIA2	-1.3835
KLHL6	-2.23033333333333
HOXB5	-1.209125
NENF	0.934833333333333
CUGBP1	0.72825
PRSS22	0.867833333333333
CASC4	1.6575
CUL4B	0.2059
CENPJ	-1.6532
PITX1	0.00799999999999999
FLJ31033	0.366
CELSR3	-0.776666666666667
ZNF568	1.14675
ITSN1	-0.418833333333333
EHBP1L1	-0.294666666666667
C19orf2	-0.74575
DCTN1	0.37625
LIN28B	-2.1822
TNKS2	-0.5125
C1QBP	-1.550625
CADPS2	1.4475
SRMS	0.75025
GJA9	-0.235166666666667
MGC24975	-0.169166666666667
TRIM45	-1.37883333333333
TSP50	-0.0515
TCP1	-1.67825
TMED7	1.8506
CMA1	0.202
CENPL	-0.883666666666667
PTCRA	-0.737
FST	-3.36575
VWCE	-3.91
PAWR	-0.281
ABCC12	1.912
LDLR	-1.4566
ASTN2	1.3394
LOC441212	-0.570125
GPATCH8	0.101
TANC2	-1.191
KIF4A	-1.8805
C18orf18	-0.40275
PGM1	-0.896
KIAA0258	-0.38325
CPD	1.08475
SNCAIP	-0.43175
DCT	-4.03516666666667
HLA-DOA	2.58354545454545
OR11L1	0.247
UPK1B	0.1394
DNAJB4	0.124375
UGT1A8	-0.477
HIST1H4L	-0.8515
PECR	-1.03716666666667
HSPA2	2.35325
WFIKKN1	-2.133
SERP1	2.145625
SYDE2	0.57125
TACR2	2.6415
NUP85	-0.39075
CD177	0.229833333333333
LGR5	-1.52366666666667
PIGG	0.207666666666667
PTHR1	-0.179
RAB5A	0.5234
FLJ13224	-0.608
USP9Y	-1.5005
C7orf53	-0.9105
LRP1B	-0.7025
XAF1	1.6239
ABCG8	0.2425
ANKDD1A	-0.273833333333333
DAND5	-1.293
SPAG6	3.934
LINCR	1.57675
ZDHHC22	-1.31025
CCDC60	-0.1405
THOC7	-1.26783333333333
TCTA	1.2173
OR8K3	-0.3095
NY-REN-7	-1.3225
B2M	0.983333333333333
C6orf141	-1.495
LPPR4	2.35775
SQLE	-1.993375
SEPHS1	-0.1985
BTBD14B	0.465857142857143
PLRG1	-0.36725
SPG7	-0.44325
ZNF614	0.799333333333333
PARD6G	0.889833333333333
INPP5B	-0.973666666666667
GRPEL2	-0.577375
PPID	-0.7388
TRIM56	0.173
UBE2J1	-0.808125
IL20RA	2.29275
LOC387856	0.61025
C1orf107	0.217916666666667
UTS2R	0.8405
C19orf22	-0.27375
SAFB2	0.34225
KIAA0652	0.3145
KLRG1	-0.945333333333333
MS4A8B	4.22933333333333
FRAG1	0.625
KIAA1546	0.59275
E2F4	-1.629
CLEC4M	0.100166666666667
BTBD14A	-1.732
KIAA0999	0.2261
GYPA	-3.72733333333333
TAC1	4.2813
TRAIP	-1.60633333333333
KIAA0232	1.1591
ERCC8	-0.67225
GPX4	0.77775
KIAA0368	0.403375
GPR157	-0.446666666666667
CTAGE4	-0.231
C9orf30	-1.58833333333333
OR52A1	0.1425
HSP90B3P	1.299
ALG9	-0.7933
BTBD10	0.3325
SDK2	0.242
BAIAP3	0.288
RABGGTB	-1.75875
ANKRD40	-0.711
KRT74	0.5635
CALCOCO2	0.566071428571429
SNCA	-2.8595
TMSL8	-5.38575
C2orf53	0.072
ESRRB	-0.79275
ARHGAP26	-0.8185
TDRD9	-2.621
HRAS	0.335166666666667
KLRC4	-2.1575
JAGN1	0.004
BSDC1	0.59475
RNF43	0.2888
NDUFAF1	-0.1355
PHF12	0.63425
OR1L3	0.2055
FOLR2	2.17216666666667
LYZL6	0.42425
tcag7.1260	-2.1805
WSB1	-1.09066666666667
PROS1	0.287
OSTN	0.2395
PSMB8	0.55075
SOCS4	0.0275
DDIT4L	3.29875
MAS1	0.9385
MGC34796	0.86525
CSHL1	0.104333333333333
TBCCD1	-0.0725
ZBTB7C	-0.615
AP2S1	-0.124875
P15RS	-0.0335
VAT1	-0.3639
SHANK3	0.964833333333333
TUFM	-0.0575
THEG	0.06375
KRT34	-2.0725
SGSM3	0.024875
TOMM22	-0.855625
SOCS3	-0.0818333333333333
CPO	0.964
POP4	0.09475
BHLHB3	1.613
MALL	0.8375
OR1B1	0.0715
PARK2	0.7685
GPR124	1.144125
LCE1E	-0.332
RUVBL2	-0.5395
CGRRF1	0.6916
ACPL2	0.37525
WNT10B	-2.75842857142857
BAIAP2L2	-2.247375
ISCA1	0.6985
C1orf125	0.056625
RPAP1	-0.388
RAI16	-0.00266666666666666
RPL27	-0.460625
NLRP9	0.0025
EPN1	0.205
LOC388610	-1.268375
SLC35A1	0.809
GAL	-4.56225
SLC14A2	0.044
RDH11	-0.803333333333333
FAM138F	-0.298
AUH	0.85675
FLJ40243	0.79375
C14orf129	0.0618333333333333
MBD2	-0.186166666666667
ABHD14B	0.421625
PIGT	0.097125
ALS2CR4	0.049125
ALAS1	-0.4145
FOXO1	0.761166666666667
CRLF3	-0.861
C20orf107	-0.0245
FARS2	0.7515
CCDC28A	0.113
NPHP3	-0.5395
OR13F1	-0.3015
TSEN54	-0.5545
DEFB106B	0.1436
OR8B4	0.2495
STH	2.0445
ZC3H14	-0.285875
CBX2	1.345
TMEM49	-1.619
C6orf21	0.7385
FLJ20920	1.1085
CRTAP	0.357714285714286
DDX50	0.09825
STYXL1	0.09475
BLVRB	0.362
LOC147650	0.388
MMP24	0.302
GRID1	1.3775
BANF1	-0.670666666666667
CTAGEP	-0.28525
HMBS	-2.67925
SLC25A24	-0.235666666666667
C14orf50	-0.30425
MRO	0.123
SLC25A15	-1.72875
FAM84B	1.5819
TDP1	-1.4855
C16orf78	0.0136
C11orf57	-0.30275
RFK	-0.8995
ZFYVE9	-0.677
STCH	-1.0367
WIBG	-0.29625
LOC283871	-0.901833333333333
GBA2	-0.1408
NDUFB3	-0.359
HSD17B13	0.064
GRIN3A	0.266833333333333
FMNL1	-1.75716666666667
SEPT7	-0.0495
GNLY	2.6885
GRAMD1C	1.42533333333333
ZNF165	0.49125
USP38	0.36825
FAM83A	-3.38733333333333
C14orf24	0.48425
ARMCX3	1.943625
ARHGDIB	0.6995
AK1	-0.09825
KIAA1045	-0.03675
DNAJB13	-0.5685
NEU2	0.5395
HIST1H4B	-1.25933333333333
FAM20B	-0.0695
HES2	-0.116071428571429
FAM73B	0.0676
LOC388381	0.239333333333333
INTS7	-0.973
AMPH	0.43125
ZNF775	-0.232375
UCKL1	-0.6985
C10orf97	0.26925
C1orf161	0.04575
ALDH1L1	-0.9465
FLJ39378	-0.278875
SLC23A1	0.217
RBM4B	0.149
THAP4	0.0948333333333333
OGFRL1	-0.12825
KIAA0831	0.388
PPP1R15A	-0.141333333333333
C1orf96	-0.846285714285714
C12orf11	-1.981
BMF	0.375625
MAN1A1	-0.70625
KIAA1600	0.333333333333333
NLGN4X	0.5995
ALOX12	-1.88916666666667
RB1CC1	-0.1278
NEIL2	0.8645
EIF4E	0.102380952380952
ABHD5	-1.4845
EXOC4	-0.506833333333333
CIP29	-0.997
BATF2	0.34475
SLC29A4	-0.86575
HTR4	0.0485
EMB	-0.807
TRAF6	0.49475
LMNB1	-2.39925
FAM19A5	-0.61025
SHE	1.85075
PIK3C2B	1.1635
C15orf15	-0.4516
USP15	0.1003
TCEAL2	3.47
C5orf39	-0.897333333333333
PTGER2	-1.054
SLC31A1	0.1810625
IFT172	0.21825
ADAM29	0.5675
GFOD1	-0.159
ST7L	0.3285
C15orf26	-3.26875
PKN3	-0.794
CNTD1	2.89333333333333
COMMD1	0.327625
NTRK2	3.5255
FOXN3	1.153625
MFGE8	0.5201
PFKFB2	0.162333333333333
TAS2R4	-0.33375
ENTHD1	-0.0711666666666667
PRMT5	-0.461375
MGC16384	-0.6625
LOC442229	-0.41575
TSKU	0.917625
KRTCAP3	2.135
PDLIM1	0.4802
KCNS2	0.12825
RNF126	-0.7255
CEP63	0.344875
CLIC4	0.116375
hCG_1990170	1.58875
ACR	0.4622
KLK7	3.751
ALOX5AP	2.381375
RIPK3	3.219
TAS2R9	0.058
C19orf18	2.998
BIRC6	-0.385
ZNF16	1.392
RFT1	-0.11225
SLC8A2	-0.249666666666667
TACC1	1.46775
ITGAD	0.54075
SAMHD1	0.93525
SH3PXD2B	0.9227
EPC2	0.89775
C20orf85	0.87
ATP13A2	1.05416666666667
KRT4	0.26425
CAPNS1	0.0985
MDM2	-0.458833333333333
PCDH20	5.5285
KCNK9	0.259
OR2C1	0.2615
KLHDC3	-0.6185
IPPK	0.3665
EFHD2	-0.918625
GALR3	1.10025
NBEA	1.44783333333333
ABCA6	3.5399
CLDN3	1.3595
AKT2	-0.0710714285714285
EGFR	0.289
RBM16	-0.001625
ZDHHC3	-0.2185
SLC25A4	0.377166666666667
CYB5B	-1.13783333333333
CPXM1	-2.43975
NDRG1	-0.976230769230769
FLJ43826	2.88625
OR5L2	-0.3078
FARP2	0.5345
MRPL46	-0.393083333333333
LDHAL6B	0.286166666666667
MAPKAPK3	-0.384666666666667
NCAM2	0.23675
PRKD2	0.411166666666667
ZFP36L1	1.556
CYSLTR1	-0.25525
OR4C3	0.29525
HIST1H2AJ	1.2275
CCNB2	-2.08333333333333
ZNF10	0.285125
TMEM175	0.592
FAM134A	1.1975
TIGD4	-0.333
PCNP	0.1485
MGC39715	0.568666666666667
LQK1	-0.9075
CREB1	0.6758
TMPRSS3	1.422
C4orf32	1.03625
LAT	-2.04241666666667
KCNA3	0.0605
SKIV2L2	0.04975
ROPN1B	0.45775
tcag7.23	-0.509
CDT1	-2.69825
ZHX2	1.872375
CD28	-4.1885
ZNF624	0.243
SEPT2	0.2055
SOHLH2	-1.6615
MCOLN3	0.500125
UNQ1945	0.379
MASP2	-1.3675
ZNRF3	-0.3721
GPATCH3	0.38425
AGL	-0.284375
QRICH2	-0.3715
PSD4	1.16466666666667
CCNB1IP1	-1.38625
ENPP7	-0.0625
OBFC1	-0.09025
KCNG3	-2.24733333333333
C14orf79	0.87575
ENPEP	-0.0065
SCT	0.8795
SKI	0.9575
SEC61G	-0.52275
CAPN11	0.52975
ATXN7L3	-0.3355
DBNDD1	-0.334
FAIM	-0.331
ANKRD36	-0.1615
GABRP	4.08683333333333
TACSTD2	2.07516666666667
EIF3J	-0.60275
PPP2R2A	-0.14225
TEKT4	0.2008
PVALB	-3.86683333333333
F10	-1.74733333333333
FAM134C	1.0612
COMP	4.85975
EFCBP1	-1.3280625
SCLT1	0.866375
TAL1	-0.9742
ACSL1	-0.2675
ABCC5	-0.95575
ABL1	-0.392055555555556
RBBP7	0.439916666666667
PTPRG	-0.38275
NCOR1	-0.3333
SPINK4	-0.4775
TXNRD1	-0.9661
TNRC15	1.008375
C9orf138	0.57075
UBE2H	-0.194666666666667
BRDT	0.633
C8orf31	-0.63375
CCNE2	-1.49627272727273
SLC6A8	-1.64775
CALCR	-3.33325
PPP1CB	0.979333333333333
ABHD8	0.40525
ARF5	-0.561
SLC24A4	0.19125
CCT3	-0.10525
ZNF121	0.25075
SLC3A2	0.5277
OR13A1	0.356
SLC5A10	-0.0025
RAD50	0.122
IER5	-0.130375
MTHFD1L	-2.5335
MBTPS2	0.288666666666667
MVK	-0.739375
NCL	-0.1559
PSMD10	-1.80925
MOBP	0.568571428571429
FLJ32894	-0.221
HRH1	-0.210333333333333
C5orf30	0.677
NUDT16L1	1.2432
RASGRP3	2.77516666666667
PRKRIP1	-0.1755
CCDC75	0.29475
LOC253970	0.624
KIAA1239	0.124333333333333
MED21	-0.752
SYT11	0.504416666666667
NTSR2	-0.9965
EGFL11	0.23
CXorf59	0.4195
OR2A25	0.514
SPTBN2	-0.67125
LRMP	-1.23983333333333
RNF111	0.1295
PTH	-0.211
LOC619208	0.464833333333333
KIAA0895	0.37475
RANBP5	-1.124375
P2RY10	-0.291166666666667
NME5	4.09466666666667
DDX21	-1.3905
LRSAM1	0.4205
HDAC11	1.85366666666667
VMO1	1.74325
NOLA2	-0.191333333333333
ADAR	0.631833333333333
MTO1	-1.24133333333333
SF4	0.506166666666667
P2RX1	2.22983333333333
HBM	-0.11225
EN2	0.97
C14orf172	0.17025
TM9SF2	0.4283
INHBE	-1.98166666666667
TCTE3	-0.53925
TOX2	-2.80525
CTAGE3	0.07775
HBB	3.8706
MED15	-0.722
CASR	-0.0665
C6orf66	-1.90133333333333
MTPN	-1.222
UNC50	0.1185
C21orf33	-0.180875
IRF2	1.060875
PGR	1.936
GPR84	0.176
CROCCL1	-1.596
SRPX	-1.89975
BRE	0.1815
FGF10	0.933
SDC3	0.819666666666667
ZRSR1	1.12483333333333
DKFZP434P211	-0.296875
SOX6	-0.1965
RPUSD2	0.1895
C14orf173	-0.3935
MAPK11	-0.672333333333333
TBC1D22A	-0.2205
FAM123A	-0.81
COL4A6	-0.616
TOMM70A	0.19325
NAB1	-0.014375
MGC16385	-0.658875
TSPAN18	0.7235
MED31	-0.7015
PLG	-0.336
CAPSL	4.2985
ZNF532	0.6282
ASB14	-0.672666666666667
CA8	1.21725
NUDT16P	1.2495
SLFN11	-1.39
LRRIQ2	0.287625
NOL7	-0.298166666666667
BRMS1L	-0.513125
JARID1A	0.440166666666667
PANK2	-0.32675
ICAM3	-0.05625
MDS1	-0.11225
TAF8	-0.77625
RNF139	0.3575
ZNF594	0.269333333333333
ADAM8	-0.009375
SFTPC	-0.232
MAN2B2	1.098375
RGS12	0.663
EIF1AY	-4.33808333333333
LRRIQ1	1.39416666666667
GPR150	1.06375
CCDC21	-1.46316666666667
PRRG3	0.2035
SAA4	-2.02575
RAPGEF5	1.792375
ZCCHC2	0.1955
MGC39372	-0.2745
PPP4R2	0.255833333333333
CDCA2	-1.78766666666667
OR4D5	0.726166666666667
PTGFRN	-0.3046
SIGLEC5	0.953333333333333
C19orf61	-0.495
NMUR2	-0.1175
KIAA1586	-0.933
DAGLA	0.5725
CHCHD6	-0.03125
GPR32	-0.066
NEUROD6	0.1106
SLC2A4RG	0.297
CA5B	0.13425
FBXL3	1.19825
MPHOSPH9	-2.2445
HMG2L1	0.018
HCN4	0.226833333333333
CEACAM19	0.235
SH2D4B	0.1648
HFE2	-2.559
TGM4	0.3052
LYPD2	1.07966666666667
TBC1D15	0.19775
MRPS21	-0.0379
NONO	-0.7875
CLEC5A	1.01375
ITCH	-0.3485
MGAT3	0.216
MBP	0.367125
RPP25	-1.81825
SOSTDC1	2.52475
HRC	-1.2575
TRIM48	0.182
TMEM133	0.3795
ECEL1P2	-1.684
HOXC11	0.2605
DOK5	-1.188
HELZ	0.373333333333333
LOC348180	-1.26075
MGC33894	-0.04075
ADRB3	0.298
DMD	0.713083333333333
PTRH2	-0.7555
MPEG1	2.79866666666667
NDUFA12	-0.697166666666667
KRTAP2-4	0.0856666666666667
STAMBPL1	-1.8295
ADCY2	2.80983333333333
UNQ6125	1.0205
KLHL20	0.55
SRM	-1.15725
OTC	-0.21675
TMIE	0.367666666666667
SNX8	-0.2475
LIPK	0.923
CHURC1	0.0485
KLC2	0.201166666666667
HDAC1	-0.251666666666667
FAM128A	0.127666666666667
FNDC3B	-0.0177
MTCP1	-0.530166666666667
WFDC10B	-0.2162
PCDHGB3	0.6565
ATRNL1	-2.126
CAV2	0.25475
MED26	0.029
DUS1L	0.25475
CHRM3	-1.03175
NEK9	0.65775
WARS2	-0.1075
TBX22	-1.1815
TOMM40	-0.76425
RP6-213H19.1	-1.75283333333333
TUBGCP5	-0.36825
IGSF6	4.295
TPPP	0.2865
UNQ6190	-0.304
GSTM5	1.5485
BTD	1.73116666666667
PDCD1LG2	0.0688333333333333
SNRPB2	-0.657
ERICH1	-0.204625
APOA4	-1.409
HOXA11	-1.67975
NARG1	-0.733375
MKX	2.88375
RAB28	-0.0848571428571429
PKP3	0.38
SH3GL2	0.2225
CTSO	3.779
RPN2	0.7380625
IL28RA	0.397333333333333
SFMBT1	-0.17275
WDR57	0.004875
FER1L3	0.700666666666667
HSF5	0.2048
TTC9B	0.85225
C4BPA	-2.02633333333333
ALB	-4.50385714285714
SORBS3	0.38425
UPF2	0.0905
JPH1	-0.557
AGBL2	0.1245
DOPEY1	0.829
TERF1	-0.197916666666667
KIF22	-0.618166666666667
NINJ1	1.81575
SEC61A2	-0.804583333333333
HIST1H1D	-0.926333333333333
SFXN4	-0.0815
UCP3	0.6012
ZNF703	1.17266666666667
MYL6B	-0.973
TREM1	0.33475
OR52E6	-0.107
CKMT2	3.056
HLA-C	1.619125
SLC13A3	-1.96733333333333
TIMP4	-0.57175
SLIT2	3.123
RSF1	0.861388888888889
LONRF1	-1.05585714285714
MON1A	-0.6005
CACNG6	-2.10216666666667
DPPA4	-5.18116666666667
ZSWIM3	-0.1045
ZNF804A	-0.0318333333333333
CCIN	0.974
SLC25A31	0.8755
KCNMB4	-1.28325
RABL5	0.765
GALNS	-0.4219
STX6	-0.047125
HIST1H1C	-0.850166666666667
CIDEB	0.090375
CASP4	-0.455833333333333
PDK3	-0.7095
KCNJ11	2.5465
TPR	-0.0745
ZSCAN20	-0.402
MTX2	-0.451
HIST1H2BH	-0.22075
LOC283767	1.09
LYRM7	-0.458333333333333
BRD3	0.558333333333333
HIST1H2BO	-0.31525
MAGEB10	0.1355
SLC45A1	0.26425
SERPINA3	2.0575
KIAA0143	1.0945
KCNJ16	2.86583333333333
KRT79	0.9465
FABP2	-1.2505
NUT	0.0786666666666667
ZNF57	-0.41675
FBXL4	0.143
CLEC9A	0.7115
UGT8	-0.9635
BMP2K	0.0845
MAPK4	-1.33075
SLC25A23	-0.1981
HINT1	0.4167
KRTAP13-1	-0.1455
SFXN5	0.1471
CHCHD2	0.235916666666667
FAM3D	3.597
NDP	-3.01425
RHOBTB1	-0.255666666666667
SLC4A4	-1.339625
RPL38	-0.467
HTF9C	0.103
AP2A2	0.567875
ZBTB46	-0.4345
MAP7D1	0.446875
AOX1	-0.705333333333333
CYR61	-0.3005
DTNA	-0.161142857142857
JRKL	0.5665
TMOD3	-0.1895
EEA1	0.0341
ADCK5	-0.66725
IL1R1	1.2866
KLK3	0.627214285714286
HRSP12	-0.61325
KTN1	-0.05975
LOH11CR2A	0.8461
RELL2	-2.09225
MAB21L1	3.7265
C20orf59	-1.34133333333333
PHKB	-2.28575
ADAM2	-1.81966666666667
TBC1D8B	-0.6315
FAM13A1	-0.662
LAPTM4B	-0.610916666666667
LCN8	-0.0205
TMEM147	0.4865
SYT4	0.455
XPO7	-1.026
C9orf62	0.80175
GPR75	0.838
TRIM5	0.594875
APOC1	-2.01816666666667
RNASE4	1.71083333333333
PARD6B	-0.390375
ARID1A	0.49425
TPD52L3	0.473
RRAGB	1.25116666666667
RCN2	-0.333
HIST2H2BE	0.5899375
STARD7	-0.111
SHMT2	-2.00425
KIAA1751	-0.348
MLYCD	0.145
LOC162632	-1.2627
UQCRH	-0.8285
RP11-217H1.1	1.1829375
SDHA	-0.256166666666667
NCLN	0.3529
ZNF17	0.527333333333333
RCBTB2	-1.63275
VEGFB	0.7837
RP4-747L4.3	0.48675
COLQ	1.17144444444444
MPN2	-0.428333333333333
DRG2	-0.503
KLRB1	4.06
ALPK2	-4.2265
DNASE2B	0.80675
FLJ23834	-0.125666666666667
AXUD1	-0.1925
SAFB	0.1265
NSUN4	-0.21925
RFX2	0.406833333333333
MAPK8IP1	-0.225333333333333
FANCD2	-1.29521428571429
ANKZF1	-0.992666666666667
C19orf50	-0.4465
DUSP8	0.833625
SENP5	-0.464625
NFKBIL2	-0.663
LBR	-0.891375
IGFL1	0.327
LZTS2	0.820625
IL2RG	-1.177125
CCDC51	-0.698
KLF3	-0.1075
ANKRD37	-1.4755
KCTD14	-0.482333333333333
FZR1	-0.093
SLC44A4	3.5069
ESPL1	-1.30775
GMPR2	0.086
TBC1D19	-0.777
ERGIC1	1.91707407407407
ERBB4	2.8696
TSPAN32	0.29875
MAP4	-0.50975
GPHN	-1.32875
SLC6A2	0.00712499999999999
HIVEP1	0.44
DFFB	-0.3874
EIF4EBP2	0.28
DMRT1	-0.424
HSPB6	0.44375
IER2	-0.227166666666667
AIFM1	-0.16525
WWC2	0.0559090909090909
MRPL4	-0.33075
FLJ21062	0.461333333333333
EPB41L4A	2.46858333333333
SH2D6	-0.24775
TAF4B	-0.6415
GAL3ST3	0.5385
MALT1	-1.4605
RTDR1	0.3615
ARVCF	0.46125
MEX3B	-1.89933333333333
FBXO16	-2.60275
KIF7	-0.544
C1QC	3.955
ZNF783	-0.35
ZNF85	0.701
MMP13	0.362
KIAA0329	0.734375
RTP3	-0.6335
ZBED3	0.177
CLGN	1.746
SLC25A37	-0.7775
hCG_18290	-0.159
OR5AS1	0.403
SMARCC2	0.37175
FAM109A	-0.299333333333333
CCDC12	-0.65275
USF2	0.3512
DEPDC7	-2.7
C20orf24	-0.955333333333333
JMJD3	0.3995
DSP	0.768071428571429
SLIC1	0.499875
FAM20A	0.668
IRF2BP2	0.5545
ZNF230	0.409
MSN	-0.637357142857143
SLC9A5	-1.909
EPDR1	-0.827
MUSK	-0.12
