Hybridization REF	TCGA-A7-A0CJ-01A-21R-A00Z-07
FSIP1	-0.4335
UPF3A	-1.616625
IGSF11	-1.84816666666667
LAGE3	2.258
CHST6	-3.144
UNC13B	-0.43875
TTLL4	-0.30725
ZNF687	0.05375
SDC2	1.7719
COX7A2	0.6585
LAMB4	0.12225
FAM24A	0.5705
LRRTM3	-1.42566666666667
GPHB5	0.3745
OR4C13	-0.225
EIF3EIP	0.181357142857143
HABP4	-1.7175
TMEM125	3.5485
CNTN2	-0.00799999999999999
ASNSD1	0.21125
FUT4	-0.603125
ACF	-3.19875
LOC158381	1.0305
CDH8	-0.0105
AGPS	-1.05933333333333
C4orf18	1.984625
PECI	0.438916666666667
UNG	-0.26
GSTP1	-2.10525
DCUN1D5	-0.925666666666667
DKFZP564J0863	0.1495
SLC9A3R1	1.714125
BCDO2	-1.409375
CHMP7	-0.295625
REM2	0.729
DNHD1	-0.639125
FKBP4	-0.42625
ZNF350	1.14225
MGC11102	0.91475
BST1	0.34525
KISS1R	0.613
NCR2	0.4325
DEFB125	-0.0415
UBE2W	1.810125
KRT15	0.34375
C10orf99	0.4325
SCN11A	0.28575
GFI1	-2.333
RDHE2	-0.665833333333333
FHL1	-2.33383333333333
OSGEP	-0.363333333333333
GATA1	-2.901
SMC6	-0.0755
TTTY14	-0.4885
LPIN3	0.00875000000000001
RPL4	-0.514
RBPMS	-0.0708
PRPF3	-0.602
EMR1	-1.6385
SPATA19	0.16425
XCR1	0.5955
IRX3	2.5069
RBM6	-1.0185
KLF4	-1.5392
UNC5CL	0.036
SEBOX	-0.179
BTK	-1.74875
KRCC1	-0.02225
C6orf27	0.6175
SYTL5	0.3045
PRND	0.551857142857143
LOC653319	-0.4395
PIGL	-0.68925
HUS1	0.122666666666667
SFRS6	-0.05125
C17orf77	0.0495
UIMC1	-0.132666666666667
FXYD2	-1.1912
LOC283152	2.40025
ZNF667	0.048
ZCCHC12	-0.934
TFEC	2.4032
ATP7B	0.785166666666667
POLD2	-0.427833333333333
RG9MTD1	1.35625
ACOT2	0.232166666666667
HIST1H4I	-0.724
PPARGC1A	-2.6329
ETFA	-1.6521
POLRMT	0.31725
ZNF146	-0.1275
MIA2	-0.685
KLHL6	-1.1085
HOXB5	0.6605
NENF	0.8305
CUGBP1	0.4825
PRSS22	1.632
CASC4	0.1591
CUL4B	-0.5172
CENPJ	-1.583
PITX1	0.923833333333333
FLJ31033	1.4575
CELSR3	0.451833333333333
ZNF568	-0.18
ITSN1	-0.440833333333333
EHBP1L1	-1.094
C19orf2	-0.31275
DCTN1	0.27075
LIN28B	-2.6765
TNKS2	0.10375
C1QBP	-0.67975
CADPS2	1.01825
SRMS	0.90725
GJA9	0.3365
MGC24975	-0.192166666666667
TRIM45	-0.153666666666667
TSP50	-0.17175
TCP1	-1.00325
TMED7	0.5652
CMA1	-0.305
CENPL	-0.867833333333333
PTCRA	-0.0575
FST	-2.756
VWCE	-3.36
PAWR	0.0655
ABCC12	0.09
LDLR	-1.5332
ASTN2	1.2548
LOC441212	-0.30675
GPATCH8	-0.30875
TANC2	-0.0656666666666667
KIF4A	-1.9705
C18orf18	-0.6905
PGM1	-0.6375
KIAA0258	-0.23375
CPD	0.357375
SNCAIP	-1.10775
DCT	-3.73266666666667
HLA-DOA	1.37268181818182
OR11L1	0.389
UPK1B	-0.344833333333333
DNAJB4	-0.94875
UGT1A8	-0.09375
HIST1H4L	-0.0915
PECR	0.0258333333333333
HSPA2	0.3985
WFIKKN1	-1.732
SERP1	1.4845
SYDE2	1.08075
TACR2	1.074
NUP85	-0.03175
CD177	-0.564
LGR5	-1.21583333333333
PIGG	-1.02025
PTHR1	-2.14766666666667
RAB5A	-0.8525
FLJ13224	0.0735
USP9Y	-1.31883333333333
C7orf53	-0.7195
LRP1B	-0.53725
XAF1	2.2414
ABCG8	-1.039
ANKDD1A	-0.448333333333333
DAND5	-0.9165
SPAG6	0.0813333333333333
LINCR	1.79225
ZDHHC22	-0.581
CCDC60	0.431
THOC7	-1.45883333333333
TCTA	0.56
OR8K3	0.08825
NY-REN-7	-0.619
B2M	0.957833333333333
C6orf141	0.767375
LPPR4	1.68125
SQLE	-0.52375
SEPHS1	-0.29075
BTBD14B	0.3695
PLRG1	-0.1565
SPG7	-0.5670625
ZNF614	-0.0655
PARD6G	1.0915
INPP5B	-0.3805
GRPEL2	0.20725
PPID	-0.3592
TRIM56	-0.73575
UBE2J1	-0.49625
IL20RA	-0.32125
LOC387856	-0.187
C1orf107	-0.160333333333333
UTS2R	0.28925
C19orf22	0.0965
SAFB2	0.16175
KIAA0652	0.31775
KLRG1	-1.34683333333333
MS4A8B	0.199333333333333
FRAG1	1.003
KIAA1546	0.8275
E2F4	-1.4007
CLEC4M	0.055
BTBD14A	-1.7045
KIAA0999	0.7927
GYPA	-3.1175
TAC1	0.0701
TRAIP	-1.10266666666667
KIAA0232	0.2145
ERCC8	-0.029875
GPX4	1.20775
KIAA0368	-0.454125
GPR157	-0.4515
CTAGE4	0.62
C9orf30	-2.642
OR52A1	0.184
HSP90B3P	-1.0295
ALG9	-0.5759
BTBD10	1.02025
SDK2	-0.181
BAIAP3	-1.73775
RABGGTB	0.322
ANKRD40	0.870833333333333
KRT74	0.415
CALCOCO2	0.804142857142857
SNCA	-3.429
TMSL8	-3.13425
C2orf53	0.388
ESRRB	-0.06575
ARHGAP26	-1.485875
TDRD9	-2.61425
HRAS	1.2995
KLRC4	-1.728
JAGN1	-0.486666666666667
BSDC1	0.661
RNF43	-1.1118
NDUFAF1	-0.96925
PHF12	0.0635
OR1L3	0.49125
FOLR2	0.495916666666667
LYZL6	0.145
tcag7.1260	-2.9865
WSB1	-0.6175
PROS1	-1.7111
OSTN	0.409
PSMB8	0.791
SOCS4	-0.046875
DDIT4L	1.23175
MAS1	0.1155
MGC34796	1.04875
CSHL1	-0.0543333333333334
TBCCD1	0.0415
ZBTB7C	0.621
AP2S1	-0.530375
P15RS	0.9244
VAT1	-1.0458
SHANK3	-0.024
TUFM	-0.442
THEG	1.08725
KRT34	-1.46375
SGSM3	-0.078875
TOMM22	-0.05175
SOCS3	0.170333333333333
CPO	0.0975
POP4	-0.21475
BHLHB3	-0.44875
MALL	0.2525
OR1B1	0.424
PARK2	-0.0788333333333333
GPR124	0.072625
LCE1E	-0.194
RUVBL2	-0.347
CGRRF1	0.8118
ACPL2	1.044
WNT10B	-2.228
BAIAP2L2	-1.934875
ISCA1	-0.204
C1orf125	0.265
RPAP1	-1.4715
RAI16	-0.191333333333333
RPL27	-1.752875
NLRP9	-0.032
EPN1	0.027
LOC388610	-0.388125
SLC35A1	0.8903
GAL	-3.47825
SLC14A2	0.544
RDH11	0.4285
FAM138F	-0.211
AUH	-0.4085
FLJ40243	0.3025
C14orf129	-0.394333333333333
MBD2	0.585
ABHD14B	-0.91075
PIGT	1.247625
ALS2CR4	0.313
ALAS1	0.2865
FOXO1	-0.855833333333333
CRLF3	-0.925875
C20orf107	0.262
FARS2	0.421
CCDC28A	-0.14375
NPHP3	-0.2745
OR13F1	0.3365
TSEN54	0.42675
DEFB106B	-0.1187
OR8B4	0.636
STH	1.63025
ZC3H14	-0.31075
CBX2	-0.4755
TMEM49	-1.112
C6orf21	0.478
FLJ20920	1.4125
CRTAP	-1.01671428571429
DDX50	-0.5995
STYXL1	-0.056
BLVRB	-0.662166666666667
LOC147650	-1.36633333333333
MMP24	0.61625
GRID1	0.915
BANF1	-0.356
CTAGEP	0.2005
HMBS	-1.63875
SLC25A24	0.577166666666667
C14orf50	0.267
MRO	-0.1465
SLC25A15	-0.429
FAM84B	1.4729
TDP1	0.3885
C16orf78	0.3615
C11orf57	-0.197875
RFK	-1.03025
ZFYVE9	0.499
STCH	0.0956
WIBG	0.53025
LOC283871	-0.258166666666667
GBA2	-0.731
NDUFB3	0.44
HSD17B13	-2.057
GRIN3A	0.751166666666667
FMNL1	-1.37233333333333
SEPT7	-0.9485
GNLY	3.2215
GRAMD1C	0.999666666666667
ZNF165	0.94175
USP38	1.0845
FAM83A	-2.19966666666667
C14orf24	0.6845
ARMCX3	-0.056375
ARHGDIB	-1.49566666666667
AK1	0.216625
KIAA1045	-0.104
DNAJB13	-0.079
NEU2	0.1585
HIST1H4B	-0.0748333333333333
FAM20B	0.3201
HES2	0.211214285714286
FAM73B	-0.0178
LOC388381	0.0325
INTS7	-0.0850909090909091
AMPH	0.209
ZNF775	0.45175
UCKL1	-0.0625
C10orf97	0.19725
C1orf161	0.0595
ALDH1L1	-1.561
FLJ39378	-0.121875
SLC23A1	-2.0455
RBM4B	-0.17225
THAP4	0.532333333333333
OGFRL1	1.2205
KIAA0831	0.521625
PPP1R15A	-0.591
C1orf96	1.87807142857143
C12orf11	-1.7945
BMF	0.218125
MAN1A1	-2.50275
KIAA1600	0.2905
NLGN4X	-1.742
ALOX12	-1
RB1CC1	0.0829
NEIL2	0.985
EIF4E	0.352954545454545
ABHD5	-0.195
EXOC4	0.3095
CIP29	-0.371166666666667
BATF2	1.67975
SLC29A4	-0.92575
HTR4	0.1245
EMB	-2.63775
TRAF6	0.8205
LMNB1	-1.06275
FAM19A5	-1.019
SHE	0.14175
PIK3C2B	1.44625
C15orf15	-0.9097
USP15	-0.2627
TCEAL2	0.336
C5orf39	-1.38633333333333
PTGER2	-1.125
SLC31A1	-0.684875
IFT172	0.558
ADAM29	0.2535
GFOD1	1.0395
ST7L	0.451666666666667
C15orf26	-0.52425
PKN3	-2.346
CNTD1	3.7805
COMMD1	0.301875
NTRK2	2.23733333333333
FOXN3	-0.338625
MFGE8	-0.8112
PFKFB2	-1.21033333333333
TAS2R4	0.0295
ENTHD1	1.1465
PRMT5	-0.437
MGC16384	-0.73775
LOC442229	0.372
TSKU	-1.137
KRTCAP3	-1.637125
PDLIM1	-0.6321
KCNS2	0.2575
RNF126	-0.234166666666667
CEP63	0.48125
CLIC4	-0.691125
hCG_1990170	-0.769
ACR	0.528
KLK7	1.0065
ALOX5AP	2.38575
RIPK3	1.62475
TAS2R9	0.2725
C19orf18	-1.524
BIRC6	0.211285714285714
ZNF16	1.6505
RFT1	-1.28075
SLC8A2	-0.1825
TACC1	-1.08625
ITGAD	0.41075
SAMHD1	1.28175
SH3PXD2B	0.9704
EPC2	1.22375
C20orf85	0.07825
ATP13A2	1.063
KRT4	0.701875
CAPNS1	-0.50875
MDM2	-0.150416666666667
PCDH20	0.38775
KCNK9	0.778
OR2C1	0.3605
KLHDC3	-0.307166666666667
IPPK	0.0855
EFHD2	-0.966375
GALR3	0.404
NBEA	-1.1125
ABCA6	0.6617
CLDN3	1.3365
AKT2	-0.0594285714285714
EGFR	-2.7024
RBM16	0.14475
ZDHHC3	-0.4943
SLC25A4	0.897333333333333
CYB5B	-1.59166666666667
CPXM1	-1.49425
NDRG1	0.135384615384615
FLJ43826	0.2085
OR5L2	0.359333333333333
FARP2	1.307
MRPL46	-0.081
LDHAL6B	0.244833333333333
MAPKAPK3	-0.551
NCAM2	-1.5215
PRKD2	0.216833333333333
ZFP36L1	0.4537
CYSLTR1	-1.02275
OR4C3	0.0505
HIST1H2AJ	0.5185
CCNB2	-1.84577777777778
ZNF10	0.718625
TMEM175	0.1555
FAM134A	1.09333333333333
TIGD4	0.00950000000000001
PCNP	0.297
MGC39715	-0.52025
LQK1	-0.24675
CREB1	0.3046
TMPRSS3	-0.1815
C4orf32	3.1355
LAT	-1.83266666666667
KCNA3	0.364
SKIV2L2	-0.27425
ROPN1B	-1.7805
tcag7.23	-0.7275
CDT1	-2.10475
ZHX2	1.41725
CD28	-4.10975
ZNF624	0.138
SEPT2	0.342083333333333
SOHLH2	-0.749
MCOLN3	-0.612875
UNQ1945	0.5795
MASP2	-0.7235
ZNRF3	0.7783
GPATCH3	-0.08325
AGL	1.654625
QRICH2	0.233
PSD4	1.05683333333333
CCNB1IP1	-0.077
ENPP7	0.33975
OBFC1	0.92725
KCNG3	-1.53575
C14orf79	0.5235
ENPEP	1.70333333333333
SCT	1.193
SKI	0.45425
SEC61G	0.11175
CAPN11	-0.1955
ATXN7L3	-0.52325
DBNDD1	-0.385
FAIM	0.70375
ANKRD36	-0.254
GABRP	1.6335
TACSTD2	0.859
EIF3J	-0.73225
PPP2R2A	-0.51175
TEKT4	-1.24366666666667
PVALB	-3.45033333333333
F10	-2.65216666666667
FAM134C	0.3331
COMP	4.2425
EFCBP1	-3.321
SCLT1	0.6165
TAL1	-1.2946
ACSL1	-0.48825
ABCC5	1.02
ABL1	-0.576277777777778
RBBP7	1.68283333333333
PTPRG	-0.73425
NCOR1	-0.1462
SPINK4	-1.334
TXNRD1	-1.5341
TNRC15	1.15125
C9orf138	0.342125
UBE2H	2.13716666666667
BRDT	3.365
C8orf31	0.17225
CCNE2	-0.156272727272727
SLC6A8	-0.81075
CALCR	-4.75875
PPP1CB	0.159666666666667
ABHD8	0.688
ARF5	0.2136
SLC24A4	0.23525
CCT3	0.377
ZNF121	0.75875
SLC3A2	-1.147
OR13A1	0.2245
SLC5A10	0.202
RAD50	0.114375
IER5	-0.473625
MTHFD1L	-2.68475
MBTPS2	0.1695
MVK	-0.527875
NCL	0.3479
PSMD10	-1.2605
MOBP	0.34975
FLJ32894	0.1025
HRH1	-1.6345
C5orf30	1.22575
NUDT16L1	1.223
RASGRP3	2.66116666666667
PRKRIP1	-0.4525
CCDC75	0.4065
LOC253970	0.448
KIAA1239	-0.195
MED21	-0.43025
SYT11	-0.496666666666667
NTSR2	0.842
EGFL11	-0.4055
CXorf59	0.2235
OR2A25	0.1755
SPTBN2	-0.8055
LRMP	-1.83133333333333
RNF111	-0.12275
PTH	-1.2835
LOC619208	0.101333333333333
KIAA0895	0.193
RANBP5	-1.00925
P2RY10	0.109333333333333
NME5	3.69816666666667
DDX21	-1.3495
LRSAM1	0.456
HDAC11	1.65166666666667
VMO1	1.081
NOLA2	0.469833333333333
ADAR	0.468416666666667
MTO1	-0.679166666666667
SF4	0.5435
P2RX1	0.0823333333333333
HBM	0.195
EN2	0.846
C14orf172	0.0845
TM9SF2	-0.2247
INHBE	-1.31416666666667
TCTE3	-0.04275
TOX2	-3.5545
CTAGE3	-0.111
HBB	1.809
MED15	-1.20966666666667
CASR	0.6755
C6orf66	-0.524833333333333
MTPN	0.415
UNC50	-0.399
C21orf33	1.04725
IRF2	0.92575
PGR	4.15783333333333
GPR84	1.8175
CROCCL1	-1.17775
SRPX	-2.75125
BRE	0.203833333333333
FGF10	-0.04725
SDC3	-0.402
ZRSR1	-0.256166666666667
DKFZP434P211	-0.00912500000000001
SOX6	-0.496
RPUSD2	-0.5355
C14orf173	-0.298083333333333
MAPK11	-1.097
TBC1D22A	0.3175
FAM123A	-0.6825
COL4A6	-2.10433333333333
TOMM70A	0.97625
NAB1	0.144
MGC16385	-0.084
TSPAN18	-0.976833333333333
MED31	-0.37425
PLG	0.0465
CAPSL	3.688
ZNF532	1.8844
ASB14	0.27325
CA8	2.837
NUDT16P	-0.356
SLFN11	-1.8615
LRRIQ2	1.464875
NOL7	-0.4675
BRMS1L	-0.347125
JARID1A	-0.0351666666666667
PANK2	0.80775
ICAM3	0.0725
MDS1	-0.67075
TAF8	0.0745
RNF139	1.52225
ZNF594	0.345
ADAM8	1.794875
SFTPC	-0.12625
MAN2B2	-0.473375
RGS12	0.3386875
EIF1AY	-4.38741666666667
LRRIQ1	0.318
GPR150	0.6305
CCDC21	-0.782666666666667
PRRG3	0.61325
SAA4	-3.3365
RAPGEF5	1.011125
ZCCHC2	1.00658333333333
MGC39372	0.44
PPP4R2	0.804833333333333
CDCA2	-1.7385
OR4D5	0.574666666666667
PTGFRN	0.654
SIGLEC5	1.80816666666667
C19orf61	-0.588666666666667
NMUR2	0.4545
KIAA1586	-1.773
DAGLA	-1.94583333333333
CHCHD6	-0.04
GPR32	0.7925
NEUROD6	0.107
SLC2A4RG	0.470625
CA5B	-0.696
FBXL3	0.19175
MPHOSPH9	-0.93475
HMG2L1	0.5885
HCN4	0.3785
CEACAM19	-0.07875
SH2D4B	0.170666666666667
HFE2	-0.4515
TGM4	0.348
LYPD2	0.35225
TBC1D15	-0.28025
MRPS21	0.0842
NONO	-1.2699
CLEC5A	1.198375
ITCH	0.5199
MGAT3	-1.93616666666667
MBP	-0.359875
RPP25	1.33225
SOSTDC1	-1.36675
HRC	-1.665
TRIM48	0.6325
TMEM133	-0.60275
ECEL1P2	-1.44066666666667
HOXC11	1.3565
DOK5	-1.12525
HELZ	0.321833333333333
LOC348180	-0.8
MGC33894	0.47325
ADRB3	0.3615
DMD	-0.430583333333333
PTRH2	-0.03575
MPEG1	1.78166666666667
NDUFA12	-0.00150000000000001
KRTAP2-4	0.238666666666667
STAMBPL1	-1.49116666666667
ADCY2	1.18233333333333
UNQ6125	0.141
KLHL20	-0.5405
SRM	-0.7785
OTC	0.174
TMIE	-0.0811666666666667
SNX8	-0.46525
LIPK	0.405
CHURC1	0.0658333333333333
KLC2	0.118833333333333
HDAC1	0.0256666666666667
FAM128A	1.50866666666667
FNDC3B	0.0876
MTCP1	0.384
WFDC10B	0.043
PCDHGB3	-0.341
ATRNL1	-2.6797
CAV2	-1.63675
MED26	0.163166666666667
DUS1L	1.02575
CHRM3	-1.762125
NEK9	-0.02175
WARS2	0.3525
TBX22	-0.209
TOMM40	-0.6605
RP6-213H19.1	2.46916666666667
TUBGCP5	-1.18
IGSF6	3.48975
TPPP	0.2845
UNQ6190	0.3155
GSTM5	-0.25475
BTD	0.357333333333333
PDCD1LG2	-0.117166666666667
SNRPB2	0.128833333333333
ERICH1	-1.398375
APOA4	-1.464125
HOXA11	-2.35425
NARG1	0.356125
MKX	-0.739
RAB28	-0.802785714285714
PKP3	1.6395
SH3GL2	-1.9105
CTSO	1.9505
RPN2	0.9038125
IL28RA	0.5265
SFMBT1	0.616
WDR57	-0.513875
FER1L3	0.5675
HSF5	0.2845
TTC9B	0.76875
C4BPA	-4.04733333333333
ALB	-4.06628571428571
SORBS3	-0.843125
UPF2	0.194
JPH1	0.153
AGBL2	0.50525
DOPEY1	1.9935
TERF1	0.1555
KIF22	-0.431833333333333
NINJ1	1.288
SEC61A2	0.31525
HIST1H1D	-0.4735
SFXN4	0.141875
UCP3	0.4079
ZNF703	1.8605
MYL6B	0.89725
TREM1	2.45025
OR52E6	0.772
CKMT2	-0.18025
HLA-C	1.913
SLC13A3	-1.77516666666667
TIMP4	-3.115
SLIT2	0.32175
RSF1	0.351611111111111
LONRF1	-2.80357142857143
MON1A	-0.440833333333333
CACNG6	-1.5115
DPPA4	-4.33633333333333
ZSWIM3	1.116
ZNF804A	0.334166666666667
CCIN	0.6625
SLC25A31	0.14075
KCNMB4	-2.485
RABL5	0.496
GALNS	-0.1882
STX6	0.73225
HIST1H1C	-2.876
CIDEB	1.2545
CASP4	0.0998333333333333
PDK3	0.1688
KCNJ11	1.524
TPR	-0.34
ZSCAN20	-0.0325
MTX2	0.51775
HIST1H2BH	0.4755
LOC283767	0.19775
LYRM7	-1.16594444444444
BRD3	0.3585
HIST1H2BO	-0.97325
MAGEB10	0.368
SLC45A1	0.54225
SERPINA3	2.2333
KIAA0143	1.65475
KCNJ16	0.360666666666667
KRT79	0.29325
FABP2	-0.09925
NUT	0.05975
ZNF57	0.2225
FBXL4	-0.200625
CLEC9A	-0.701
UGT8	-0.559833333333333
BMP2K	0.2875
MAPK4	-3.4775
SLC25A23	0.1775
HINT1	0.2595
KRTAP13-1	0.3345
SFXN5	0.7937
CHCHD2	0.176
FAM3D	0.68
NDP	-3.024875
RHOBTB1	0.0886666666666667
SLC4A4	-1.6915
RPL38	-0.657
HTF9C	-0.262
AP2A2	0.735375
ZBTB46	-0.8695
MAP7D1	0.222
AOX1	-0.514833333333333
CYR61	0.08175
DTNA	-0.310928571428571
JRKL	-1.84725
TMOD3	-0.8085
EEA1	-0.5866
ADCK5	0.4595
IL1R1	-0.8215
KLK3	0.310928571428571
HRSP12	0.5305
KTN1	1.138
LOH11CR2A	-1.1626
RELL2	-0.80225
MAB21L1	0.37775
C20orf59	-0.972
PHKB	-0.8645
ADAM2	-1.23316666666667
TBC1D8B	0.885166666666667
FAM13A1	-0.469
LAPTM4B	1.72533333333333
LCN8	0.167
TMEM147	0.4725
SYT4	-0.066
XPO7	-0.5705
C9orf62	1.089
GPR75	0.1525
TRIM5	-0.45375
APOC1	0.138833333333333
RNASE4	0.978166666666667
PARD6B	2.027
ARID1A	0.335916666666667
TPD52L3	0.474875
RRAGB	0.0738333333333333
RCN2	-0.179166666666667
HIST2H2BE	-0.8253125
STARD7	0.5225
SHMT2	-1.46825
KIAA1751	0.339
MLYCD	-0.472125
LOC162632	0.3263
UQCRH	-1.49075
RP11-217H1.1	-0.3890625
SDHA	-0.741333333333333
NCLN	0.5639
ZNF17	0.251833333333333
RCBTB2	-2.3155
VEGFB	-0.1277
RP4-747L4.3	-1.139
COLQ	0.3756
MPN2	-0.310333333333333
DRG2	-0.57775
KLRB1	2.98425
ALPK2	-2.71775
DNASE2B	-0.085
FLJ23834	-0.163
AXUD1	-0.281333333333333
SAFB	-0.1755
NSUN4	0.557
RFX2	-0.567
MAPK8IP1	-0.674
FANCD2	-1.27735714285714
ANKZF1	-0.54
C19orf50	-0.4225
DUSP8	0.348375
SENP5	1.0705
NFKBIL2	-0.14825
LBR	-1.14425
IGFL1	0.3895
LZTS2	0.952875
IL2RG	-0.74825
CCDC51	-0.563
KLF3	-0.089125
ANKRD37	0.20075
KCTD14	-1.36283333333333
FZR1	0.576916666666667
SLC44A4	3.2538
ESPL1	-0.605375
GMPR2	-0.1622
TBC1D19	-0.8575
ERGIC1	1.12955555555556
ERBB4	4.1161
TSPAN32	0.0855
MAP4	-0.881875
GPHN	-0.7175
SLC6A2	0.208125
HIVEP1	0.50075
DFFB	0.0522
EIF4EBP2	-0.203375
DMRT1	-0.06175
HSPB6	0.0375
IER2	-0.518166666666667
AIFM1	0.74775
WWC2	-1.41291666666667
MRPL4	0.05675
FLJ21062	0.455833333333333
EPB41L4A	1.469
SH2D6	0.55175
TAF4B	-0.19975
GAL3ST3	-0.1985
MALT1	-0.318833333333333
RTDR1	0.29275
ARVCF	-0.023875
MEX3B	-0.115833333333333
FBXO16	-2.58025
KIF7	-1.8635
C1QC	3.50766666666667
ZNF783	0.134333333333333
ZNF85	0.3435
MMP13	0.699
KIAA0329	0.4245
RTP3	-0.7965
ZBED3	0.87375
CLGN	0.246
SLC25A37	-1.57620833333333
hCG_18290	-0.188
OR5AS1	0.455
SMARCC2	0.169
FAM109A	-0.121166666666667
CCDC12	-0.79025
USF2	0.2996
DEPDC7	-3.63625
C20orf24	0.139166666666667
JMJD3	0.087
DSP	2.20185714285714
SLIC1	0.1175
FAM20A	0.616125
IRF2BP2	0.890375
ZNF230	-0.0025
MSN	-1.74857142857143
SLC9A5	-1.1305
EPDR1	-2.4865
MUSK	0.1045
ZNF434	-0.639666666666667
SMARCD1	-0.0998333333333333
