Hybridization REF	TCGA-A8-A06O-01A-11R-A00Z-07
OR8J3	0.4105
LTBP4	-0.2485
SIRT6	-0.048
CCL19	4.24025
PPIL1	-1.03883333333333
GBP7	-0.0786
STK17A	-1.4423
ABR	0.05275
OR9G1	1.069
FOXE1	-0.839625
CNGA3	0.2805
GML	0.6225
CD38	-1.02825
ZDHHC6	0.840666666666667
NEFH	-2.34475
CTDSP2	0.387
PGBD5	-1.877
CCNY	0.623714285714286
RMND5B	0.820833333333333
ZNF257	-3.765
FLJ22167	-0.676625
EXOSC7	-0.465333333333333
ROR2	1.191875
MAOA	0.32275
TNNT3	2.07333333333333
GYPC	-0.90875
C7orf33	-0.6
PLIN	4.6685
LOC90826	0.000999999999999998
RNF4	0.052
F8A1	0.383
PLEKHG4	-3.177
GRB2	0.4816
HIST1H2AD	1.7465
DUS3L	-0.149666666666667
EIF1	-0.266166666666667
RP5-1077B9.4	-0.510333333333333
FPGT	1.1415
GDF10	0.850833333333333
COQ9	-0.14175
GCC2	-0.588571428571429
RARRES3	3.263625
PLXNA1	-0.2982
KIAA0100	0.0715
PMF1	0.417
FNDC1	5.67825
HS2ST1	-0.0694166666666666
CRELD2	1.0875
C8G	-2.3125
CD82	0.92175
LIM2	-1.281
UNQ6490	0.204
MMP16	-0.6785
DRD3	0.061
C5orf26	-1.40375
C11orf73	-1.2035
PTP4A2	0.412
OR4M2	0.267
HPCA	-1.30466666666667
SEC14L1	-0.943166666666667
CHFR	0.043125
EMILIN1	0.7865
NDUFS4	0.3335
COL18A1	-0.189125
PDZD3	0.1788
C9orf16	-0.470833333333333
ERBB2IP	0.811666666666667
EMX2	3.43
FUS	-0.80875
TF	-3.4312
CLCN4	-0.186833333333333
CXorf56	0.65025
C11orf72	0.4775
ELAC2	-0.64375
NPR1	-0.31375
ASS1	-2.6105
USP42	-0.0745
POLR2J	-0.707
SEC23IP	1.1875
UQCRC1	0.58
LOC729603	0.007
C1orf71	0.678625
POLG	-1.217
ADAM23	-3.41725
TFR2	-0.7295
RICTOR	-0.7773
MGC39606	-0.22475
C19orf55	-0.069
SNAPC1	-1.36116666666667
GNA11	1.243
CCDC52	-1.4175
FSIP1	0.4115
UPF3A	-0.788625
IGSF11	-2.49683333333333
LAGE3	1.611
CHST6	-3.763
UNC13B	-0.211
TTLL4	-0.99075
ZNF687	0.792875
SDC2	1.5774
COX7A2	-0.2855
LAMB4	0.073
FAM24A	0.732
LRRTM3	-1.05333333333333
GPHB5	0.019
OR4C13	-0.499
EIF3EIP	0.1135
HABP4	-0.7475
TMEM125	4.04125
CNTN2	-0.271875
ASNSD1	-0.806
FUT4	-0.23525
ACF	-3.641
LOC158381	1.2065
CDH8	0.01
AGPS	-2.6505
C4orf18	2.95825
PECI	-1.37141666666667
UNG	0.2745
GSTP1	-2.514
DCUN1D5	-1.85983333333333
DKFZP564J0863	-1.57675
SLC9A3R1	2.40975
BCDO2	-0.91025
CHMP7	-0.261625
REM2	-1.216
DNHD1	-0.0975
FKBP4	0.69925
ZNF350	0.5115
MGC11102	-0.04925
BST1	0.7085
KISS1R	0.7425
NCR2	0.0715
DEFB125	0.9035
UBE2W	2.163625
KRT15	0.79375
C10orf99	0.2115
SCN11A	0.058625
GFI1	-2.16625
RDHE2	1.26316666666667
FHL1	0.145166666666667
OSGEP	-0.892
GATA1	-3.56566666666667
SMC6	-1.693
TTTY14	-0.8375
LPIN3	-0.24875
RPL4	-0.1228
RBPMS	0.5938
PRPF3	-0.179
EMR1	-2.3105
SPATA19	-0.5445
XCR1	2.746
IRX3	2.1704
RBM6	-0.4465
KLF4	-0.8361
UNC5CL	-0.24925
SEBOX	-0.079
BTK	-0.48025
KRCC1	-0.0185
C6orf27	0.517
SYTL5	-1.265
PRND	1.670375
LOC653319	-1.409
PIGL	-0.723875
HUS1	-0.682833333333333
SFRS6	-0.11175
C17orf77	0.271
UIMC1	-0.4935
FXYD2	-1.8176
LOC283152	-0.3685
ZNF667	-2.0555
ZCCHC12	-1.186
TFEC	3.0804
ATP7B	-0.486333333333333
POLD2	-0.422333333333333
RG9MTD1	-0.1405
ACOT2	0.826
HIST1H4I	0.646375
PPARGC1A	-2.8661
ETFA	-1.4598
POLRMT	0.3475
ZNF146	0.46425
MIA2	-1.831
KLHL6	-0.5215
HOXB5	2.710375
NENF	1.0335
CUGBP1	-0.216
PRSS22	1.2
CASC4	1.7014
CUL4B	-0.0938
CENPJ	-1.2913
PITX1	1.78333333333333
FLJ31033	0.649833333333333
CELSR3	0.7605
ZNF568	-0.21525
ITSN1	0.124166666666667
EHBP1L1	-1.4695
C19orf2	-0.08075
DCTN1	-0.414
LIN28B	-3.26466666666667
TNKS2	-0.7955
C1QBP	-0.978
CADPS2	-0.1735
SRMS	0.21925
GJA9	0.0135
MGC24975	0.384333333333333
TRIM45	-0.366666666666667
TSP50	-0.225
TCP1	-0.50925
TMED7	0.3618
CMA1	0.7595
CENPL	-0.312166666666667
PTCRA	0.5045
FST	-4.45225
VWCE	-2.92775
PAWR	-0.82225
ABCC12	0.362333333333333
LDLR	-0.0428
ASTN2	-0.6805
LOC441212	-1.209875
GPATCH8	0.16325
TANC2	-0.452583333333333
KIF4A	-0.96475
C18orf18	-1.35975
PGM1	-1.03375
KIAA0258	-0.03425
CPD	0.38825
SNCAIP	-1.1795
DCT	-4.2255
HLA-DOA	2.78327272727273
OR11L1	0.417
UPK1B	-0.850333333333333
DNAJB4	-0.351875
UGT1A8	-0.17425
HIST1H4L	-1.5865
PECR	-1.87883333333333
HSPA2	2.687
WFIKKN1	-1.2505
SERP1	0.857875
SYDE2	3.66725
TACR2	1.0925
NUP85	-0.119
CD177	0.322333333333333
LGR5	-2.38266666666667
PIGG	-0.0818333333333333
PTHR1	-1.20516666666667
RAB5A	0.0809
FLJ13224	-0.151
USP9Y	-1.60666666666667
C7orf53	-0.5525
LRP1B	-0.6545
XAF1	1.3195
ABCG8	-0.379
ANKDD1A	-0.3545
DAND5	-1.4265
SPAG6	-0.101833333333333
LINCR	0.0045
ZDHHC22	-1.498625
CCDC60	-0.1025
THOC7	-1.9945
TCTA	1.8079
OR8K3	0.142
NY-REN-7	-0.543
B2M	1.273
C6orf141	-1.35275
LPPR4	2.5405
SQLE	2.039625
SEPHS1	-0.1355
BTBD14B	0.563785714285714
PLRG1	-0.5125
SPG7	-0.6336875
ZNF614	-1.0135
PARD6G	0.348
INPP5B	-1.6516
GRPEL2	-0.167375
PPID	-0.3094
TRIM56	-0.34375
UBE2J1	-0.415875
IL20RA	4.00375
LOC387856	-0.058
C1orf107	1.107
UTS2R	0.9805
C19orf22	0.4135
SAFB2	0.35575
KIAA0652	-0.015125
KLRG1	-0.524333333333333
MS4A8B	0.0383333333333333
FRAG1	0.14625
KIAA1546	0.26725
E2F4	-1.4069
CLEC4M	-0.1165
BTBD14A	-1.479
KIAA0999	-1.4301
GYPA	-4.36866666666667
TAC1	-0.5837
TRAIP	-0.362833333333333
KIAA0232	1.3532
ERCC8	-1.76925
GPX4	1.023125
KIAA0368	-0.034
GPR157	0.858166666666667
CTAGE4	0.387
C9orf30	-1.78683333333333
OR52A1	-0.302
HSP90B3P	-0.3585
ALG9	-0.3467
BTBD10	0.07575
SDK2	0.26775
BAIAP3	0.533
RABGGTB	-0.139875
ANKRD40	0.0455
KRT74	-0.0665
CALCOCO2	0.686285714285714
SNCA	-3.1395
TMSL8	-1.66225
C2orf53	0.15
ESRRB	-0.12525
ARHGAP26	-1.5825
TDRD9	-2.61825
HRAS	-0.110166666666667
KLRC4	-2.5755
JAGN1	-0.286833333333333
BSDC1	0.8455
RNF43	-0.8545
NDUFAF1	0.8365
PHF12	0.1225
OR1L3	0.34325
FOLR2	2.28833333333333
LYZL6	0.072
tcag7.1260	-1.8625
WSB1	-2.00533333333333
PROS1	-1.3344
OSTN	0.6445
PSMB8	0.47575
SOCS4	-0.2875
DDIT4L	0.62375
MAS1	0.084
MGC34796	1.26
CSHL1	-0.2568
TBCCD1	0.435
ZBTB7C	0.2575
AP2S1	0.426625
P15RS	0.2231
VAT1	-0.4034
SHANK3	1.17633333333333
TUFM	0.385
THEG	0.28325
KRT34	-2.286
SGSM3	0.953875
TOMM22	0.088625
SOCS3	1.1155
CPO	2.0145
POP4	1.0575
BHLHB3	0.46825
MALL	0.40025
OR1B1	0.5585
PARK2	0.706333333333333
GPR124	0.002375
LCE1E	0.0795
RUVBL2	0.792
CGRRF1	0.7044
ACPL2	0.00425
WNT10B	-2.0485
BAIAP2L2	-2.038
ISCA1	-0.101
C1orf125	0.69
RPAP1	-0.2905
RAI16	0.0708333333333333
RPL27	-0.414625
NLRP9	-1.0145
EPN1	0.6395
LOC388610	-0.795375
SLC35A1	0.3226
GAL	-3.46875
SLC14A2	0.28425
RDH11	-0.445166666666667
FAM138F	0.0845
AUH	-0.62175
FLJ40243	0.276
C14orf129	-0.4205
MBD2	-0.318833333333333
ABHD14B	1.069875
PIGT	0.1895
ALS2CR4	-0.4695
ALAS1	-0.1854
FOXO1	0.417666666666667
CRLF3	-1.03625
C20orf107	0.6665
FARS2	-0.313
CCDC28A	0.21025
NPHP3	-0.86575
OR13F1	0.4475
TSEN54	0.32475
DEFB106B	0.053
OR8B4	1.166
STH	3.203
ZC3H14	-0.43975
CBX2	-0.266
TMEM49	-0.28475
C6orf21	0.4225
FLJ20920	1.1875
CRTAP	0.0143571428571428
DDX50	-0.2495
STYXL1	0.34625
BLVRB	1.62166666666667
LOC147650	1.215
MMP24	0.9765
GRID1	0.855166666666667
BANF1	-0.306166666666667
CTAGEP	0.6195
HMBS	-2.1765
SLC25A24	-0.618333333333333
C14orf50	-0.34225
MRO	0.881
SLC25A15	-0.90275
FAM84B	3.3333
TDP1	-0.461
C16orf78	0.0335
C11orf57	-0.4655
RFK	-1.366625
ZFYVE9	-0.815
STCH	-0.9077
WIBG	0.4315
LOC283871	0.221166666666667
GBA2	-0.3875
NDUFB3	-0.10975
HSD17B13	-0.373
GRIN3A	1.4605
FMNL1	-0.701666666666667
SEPT7	-0.9875
GNLY	2.6985
GRAMD1C	-0.1115
ZNF165	0.49575
USP38	0.4735
FAM83A	-3.58016666666667
C14orf24	0.391166666666667
ARMCX3	0.40075
ARHGDIB	-0.346333333333333
AK1	-0.0535
KIAA1045	0.0385
DNAJB13	-0.388166666666667
NEU2	0.526
HIST1H4B	-0.832666666666667
FAM20B	0.1329
HES2	-0.699571428571429
FAM73B	-0.24
LOC388381	-0.9305
INTS7	-0.216636363636364
AMPH	0.26775
ZNF775	0.03625
UCKL1	-0.813166666666667
C10orf97	-0.1055
C1orf161	-0.01975
ALDH1L1	0.76225
FLJ39378	-0.23575
SLC23A1	-0.869
RBM4B	0.4585
THAP4	0.720333333333333
OGFRL1	0.08675
KIAA0831	0.3555
PPP1R15A	-0.0546666666666667
C1orf96	0.335
C12orf11	-2.787
BMF	0.763125
MAN1A1	0.69975
KIAA1600	0.313333333333333
NLGN4X	-1.85925
ALOX12	-1.6055
RB1CC1	1.6179
NEIL2	1.0054
EIF4E	0.310454545454545
ABHD5	0.24325
EXOC4	-0.173833333333333
CIP29	-0.470833333333333
BATF2	1.16525
SLC29A4	-0.459375
HTR4	0.75325
EMB	-1.65325
TRAF6	-0.14525
LMNB1	-2.8015
FAM19A5	2.25225
SHE	1.371
PIK3C2B	0.47225
C15orf15	-0.819
USP15	-0.1051
TCEAL2	-1.18525
C5orf39	-0.800166666666667
PTGER2	-1.04525
SLC31A1	-0.953625
IFT172	-0.68325
ADAM29	-0.06375
GFOD1	0.08925
ST7L	0.0566666666666667
C15orf26	-3.5995
PKN3	-1.61625
CNTD1	3.89966666666667
COMMD1	-0.375375
NTRK2	2.44358333333333
FOXN3	0.747
MFGE8	-1.0314
PFKFB2	1.54983333333333
TAS2R4	0.1965
ENTHD1	1.05166666666667
PRMT5	-0.81025
MGC16384	-0.44275
LOC442229	-1.05325
TSKU	0.05425
KRTCAP3	3.091125
PDLIM1	-1.0602
KCNS2	0.493
RNF126	-0.228166666666667
CEP63	0.295
CLIC4	-1.255875
hCG_1990170	-1.03725
ACR	0.5519
KLK7	-0.57425
ALOX5AP	2.81375
RIPK3	2.68175
TAS2R9	0.204
C19orf18	1.557
BIRC6	-0.396785714285714
ZNF16	2.346
RFT1	-0.67925
SLC8A2	0.5545
TACC1	-0.315875
ITGAD	2.48425
SAMHD1	1.13825
SH3PXD2B	0.8433
EPC2	-0.296
C20orf85	0.0505
ATP13A2	0.9155
KRT4	0.511875
CAPNS1	0.85025
MDM2	-0.407416666666667
PCDH20	0.40175
KCNK9	1.234
OR2C1	0.049
KLHDC3	-0.8185
IPPK	0.6675
EFHD2	-0.667625
GALR3	0.84225
NBEA	-1.39066666666667
ABCA6	3.3611
CLDN3	1.39166666666667
AKT2	0.0566428571428571
EGFR	-2.662
RBM16	0.072375
ZDHHC3	0.0607
SLC25A4	-0.024
CYB5B	-0.614166666666667
CPXM1	0.549
NDRG1	-0.442230769230769
FLJ43826	0.17475
OR5L2	0.304833333333333
FARP2	0.4635
MRPL46	-0.148
LDHAL6B	0.2685
MAPKAPK3	0.5475
NCAM2	-1.7045
PRKD2	1.15816666666667
ZFP36L1	1.455
CYSLTR1	-0.9115
OR4C3	0.574
HIST1H2AJ	2.215
CCNB2	-1.46744444444444
ZNF10	-0.8195
TMEM175	0.6575
FAM134A	1.4425
TIGD4	-1.0065
PCNP	-0.1995
MGC39715	-0.06075
LQK1	-0.9815
CREB1	0.4123
TMPRSS3	0.13925
C4orf32	0.090875
LAT	-1.53716666666667
KCNA3	1.143
SKIV2L2	-0.867
ROPN1B	-3.5015
tcag7.23	0.0115
CDT1	-1.996
ZHX2	1.95725
CD28	-2.6895
ZNF624	0.502
SEPT2	-0.113166666666667
SOHLH2	-2.44985714285714
MCOLN3	-0.993625
UNQ1945	0.7265
MASP2	-1.25
ZNRF3	0.5885
GPATCH3	0.02725
AGL	0.789875
QRICH2	-0.1405
PSD4	-0.093
CCNB1IP1	-2.738
ENPP7	0.4815
OBFC1	0.533
KCNG3	-2.0705
C14orf79	0.3175
ENPEP	1.31116666666667
SCT	1.586
SKI	0.697125
SEC61G	-0.82125
CAPN11	-0.24825
ATXN7L3	0.092
DBNDD1	-0.0485
FAIM	0.275
ANKRD36	-0.5
GABRP	0.2914
TACSTD2	0.779666666666667
EIF3J	-0.25875
PPP2R2A	-1.2475
TEKT4	-0.3355
PVALB	-3.86533333333333
F10	-2.64883333333333
FAM134C	1.2589
COMP	4.903
EFCBP1	-2.8960625
SCLT1	-0.322
TAL1	-1.0501
ACSL1	2.91925
ABCC5	1.28825
ABL1	-0.752944444444445
RBBP7	0.0419999999999999
PTPRG	-1.267875
NCOR1	0.0587
SPINK4	-2.32183333333333
TXNRD1	-1.1068
TNRC15	0.715125
C9orf138	0.69825
UBE2H	0.755333333333333
BRDT	0.844166666666667
C8orf31	-0.233
CCNE2	0.156272727272727
SLC6A8	-0.55075
CALCR	-3.7925
PPP1CB	-0.184083333333333
ABHD8	-0.25425
ARF5	0.4172
SLC24A4	0.65375
CCT3	1.00175
ZNF121	0.74525
SLC3A2	-0.7256
OR13A1	0.366
SLC5A10	-0.25425
RAD50	-0.01825
IER5	-0.35275
MTHFD1L	-1.94
MBTPS2	0.73175
MVK	0.39725
NCL	0.1771
PSMD10	-0.016
MOBP	0.459
FLJ32894	1.109
HRH1	-1.75416666666667
C5orf30	1.1705
NUDT16L1	1.2105
RASGRP3	3.32516666666667
PRKRIP1	-0.4549
CCDC75	-0.86025
LOC253970	0.402
KIAA1239	1.33
MED21	-1.04775
SYT11	0.0946666666666667
NTSR2	-0.156
EGFL11	-0.3985
CXorf59	0.094
OR2A25	-0.00899999999999999
SPTBN2	0.31325
LRMP	-1.50833333333333
RNF111	0.1
PTH	-0.1025
LOC619208	0.285333333333333
KIAA0895	0.4995
RANBP5	-1.189375
P2RY10	0.446666666666667
NME5	3.94133333333333
DDX21	-0.781
LRSAM1	0.4275
HDAC11	1.79816666666667
VMO1	2.16025
NOLA2	0.605
ADAR	1.22383333333333
MTO1	-1.4565
SF4	0.517833333333333
P2RX1	0.0495
HBM	0.0555
EN2	0.882
C14orf172	-0.27425
TM9SF2	0.4745
INHBE	-1.02366666666667
TCTE3	0.0520833333333333
TOX2	-2.926
CTAGE3	0.325125
HBB	3.602
MED15	-0.670666666666667
CASR	0.033
C6orf66	-1.48833333333333
MTPN	-0.69525
UNC50	-0.53375
C21orf33	0.555375
IRF2	0.622
PGR	2.26783333333333
GPR84	1.3555
CROCCL1	-2.281
SRPX	-1.9765
BRE	0.105
FGF10	0.319
SDC3	0.320833333333333
ZRSR1	0.778166666666667
DKFZP434P211	0.809
SOX6	-0.148
RPUSD2	0.00425
C14orf173	-0.4805
MAPK11	-0.8215
TBC1D22A	1.2655
FAM123A	-1.3845
COL4A6	-4.69333333333333
TOMM70A	0.6245
NAB1	-0.894125
MGC16385	0.007625
TSPAN18	-0.618166666666667
MED31	-0.44025
PLG	-0.6555
CAPSL	1.169
ZNF532	-0.4963
ASB14	0.1155
CA8	2.71725
NUDT16P	-0.713333333333333
SLFN11	0.4435
LRRIQ2	0.020875
NOL7	0.5775
BRMS1L	-0.684125
JARID1A	0.0976666666666666
PANK2	-0.91475
ICAM3	0.0875
MDS1	-0.93775
TAF8	-0.6775
RNF139	2.6675
ZNF594	-0.506333333333333
ADAM8	1.146625
SFTPC	-0.661125
MAN2B2	1.07075
RGS12	0.666375
EIF1AY	-4.66336363636364
LRRIQ1	-1.55483333333333
GPR150	0.88825
CCDC21	-0.829166666666667
PRRG3	0.601
SAA4	-2.76025
RAPGEF5	1.576125
ZCCHC2	0.432583333333333
MGC39372	0.7195
PPP4R2	-0.875166666666667
CDCA2	-1.765
OR4D5	0.366
PTGFRN	0.7414
SIGLEC5	1.2835
C19orf61	0.609166666666667
NMUR2	0.154
KIAA1586	-1.41283333333333
DAGLA	0.246666666666667
CHCHD6	0.808
GPR32	0.704
NEUROD6	0.3335
SLC2A4RG	0.46925
CA5B	-0.3995
FBXL3	0.305
MPHOSPH9	-1.23275
HMG2L1	0.26425
HCN4	0.416
CEACAM19	1.3125
SH2D4B	-0.227166666666667
HFE2	-1.0875
TGM4	-0.0225
LYPD2	0.32225
TBC1D15	0.14075
MRPS21	-0.4279
NONO	-0.5413
CLEC5A	1.26175
ITCH	-0.485
MGAT3	-0.796666666666667
MBP	-0.573625
RPP25	0.96075
SOSTDC1	-5.13
HRC	-1.444
TRIM48	0.2105
TMEM133	-0.65225
ECEL1P2	-1.37075
HOXC11	1.518
DOK5	-0.46
HELZ	0.912166666666666
LOC348180	-0.78825
MGC33894	0.3145
ADRB3	0.281
DMD	-0.225666666666667
PTRH2	-0.10275
MPEG1	3.48733333333333
NDUFA12	-0.235166666666667
KRTAP2-4	0.132666666666667
STAMBPL1	-1.092
ADCY2	-0.04925
UNQ6125	0.2955
KLHL20	0.142
SRM	0.0455
OTC	-0.2085
TMIE	-0.484
SNX8	0.45025
LIPK	0.975
CHURC1	-0.038
KLC2	0.403333333333333
HDAC1	-0.904333333333333
FAM128A	0.0151666666666667
FNDC3B	-0.909
MTCP1	-0.113833333333333
WFDC10B	0.0732
PCDHGB3	-0.0235
ATRNL1	0.2958
CAV2	-0.668375
MED26	0.158
DUS1L	1.0045
CHRM3	-1.65475
NEK9	0.768
WARS2	-0.14825
TBX22	-0.0165
TOMM40	0.041
RP6-213H19.1	-1.77216666666667
TUBGCP5	-0.00625
IGSF6	5.606
TPPP	1.17533333333333
UNQ6190	0.72
GSTM5	1.526625
BTD	0.392666666666667
PDCD1LG2	0.496833333333333
SNRPB2	-0.554833333333333
ERICH1	-1.13725
APOA4	-1.702875
HOXA11	-2.076
NARG1	0.042125
MKX	0.604
RAB28	-0.28
PKP3	0.8285
SH3GL2	-1.4165
CTSO	2.2035
RPN2	0.705125
IL28RA	-0.0796666666666666
SFMBT1	-0.32825
WDR57	-0.04175
FER1L3	0.321333333333333
HSF5	-0.132
TTC9B	2.0285
C4BPA	-3.81583333333333
ALB	-4.18635714285714
SORBS3	-0.233625
UPF2	0.67
JPH1	0.042
AGBL2	-2.24575
DOPEY1	0.8195
TERF1	1.25125
KIF22	0.3515
NINJ1	0.71575
SEC61A2	-0.0433333333333333
HIST1H1D	0.976
SFXN4	1.39775
UCP3	0.5462
ZNF703	1.04916666666667
MYL6B	-0.5465
TREM1	1.76
OR52E6	0.772
CKMT2	1.894
HLA-C	2.022125
SLC13A3	-2.65133333333333
TIMP4	0.61125
SLIT2	1.94525
RSF1	-0.688555555555556
LONRF1	-0.966857142857143
MON1A	0.199666666666667
CACNG6	-0.497333333333333
DPPA4	-4.70683333333333
ZSWIM3	-0.111
ZNF804A	0.646
CCIN	0.9195
SLC25A31	0.651
KCNMB4	-1.04275
RABL5	0.1495
GALNS	-0.3258
STX6	0.93675
HIST1H1C	2.05866666666667
CIDEB	-0.7015
CASP4	-0.663333333333333
PDK3	-0.5888
KCNJ11	1.4835
TPR	0.03025
ZSCAN20	-1.3635
MTX2	-0.86
HIST1H2BH	0.931
LOC283767	3.37825
LYRM7	-1.13116666666667
BRD3	-0.175666666666667
HIST1H2BO	0.9165
MAGEB10	0.599
SLC45A1	1.4635
SERPINA3	2.4098
KIAA0143	2.5885
KCNJ16	-0.3796
KRT79	0.0985
FABP2	-0.9915
NUT	0.06525
ZNF57	0.1065
FBXL4	0.551875
CLEC9A	0.9255
UGT8	-1.37633333333333
BMP2K	-0.49875
MAPK4	-3.9305
SLC25A23	-0.336
HINT1	0.1142
KRTAP13-1	0.215
SFXN5	0.058
CHCHD2	-0.14375
FAM3D	0.6295
NDP	-4.16625
RHOBTB1	-1.04916666666667
SLC4A4	-1.135875
RPL38	-0.063
HTF9C	0.715833333333333
AP2A2	0.13
ZBTB46	-0.3015
MAP7D1	0.990625
AOX1	-1.52866666666667
CYR61	0.61975
DTNA	0.486785714285714
JRKL	-1.1335
TMOD3	-0.314
EEA1	0.1984
ADCK5	1.10725
IL1R1	0.760166666666667
KLK3	0.564642857142857
HRSP12	1.63925
KTN1	0.33475
LOH11CR2A	0.0795
RELL2	-1.182
MAB21L1	0.7835
C20orf59	-0.774
PHKB	-0.3025
ADAM2	-1.99475
TBC1D8B	0.696666666666667
FAM13A1	-1.2089375
LAPTM4B	-0.892416666666667
LCN8	0.283
TMEM147	1.6785
SYT4	-0.0748333333333333
XPO7	-0.5705
C9orf62	0.84525
GPR75	0.0535
TRIM5	-0.757
APOC1	1.62366666666667
RNASE4	0.787833333333333
PARD6B	0.4855
ARID1A	0.398
TPD52L3	0.0906
RRAGB	1.41333333333333
RCN2	-0.5275
HIST2H2BE	1.421125
STARD7	0.03325
SHMT2	-0.588
KIAA1751	-0.0293333333333333
MLYCD	0.024
LOC162632	-0.8351
UQCRH	-1.35725
RP11-217H1.1	0.523375
SDHA	-0.159833333333333
NCLN	0.2227
ZNF17	0.468
RCBTB2	-2.28575
VEGFB	-0.8002
RP4-747L4.3	0.65475
COLQ	0.4097
MPN2	-0.645
DRG2	-0.49625
KLRB1	4.90675
ALPK2	-3.48425
DNASE2B	1.92975
FLJ23834	0.2375
AXUD1	1.23583333333333
SAFB	0.0627
NSUN4	-0.64575
RFX2	0.294166666666667
MAPK8IP1	-0.403166666666667
FANCD2	-0.251
ANKZF1	-1.08
C19orf50	-0.231375
DUSP8	1.315
SENP5	-0.504
NFKBIL2	1.146
LBR	-1.117625
IGFL1	1.429
LZTS2	0.528125
IL2RG	-0.602375
CCDC51	0.67975
KLF3	-0.24125
ANKRD37	-1.9035
KCTD14	-2.81766666666667
FZR1	0.53725
SLC44A4	3.6928
ESPL1	-0.326
GMPR2	-0.9959
TBC1D19	-1.50866666666667
ERGIC1	1.23025925925926
ERBB4	3.1375
TSPAN32	0.295916666666667
MAP4	0.031875
GPHN	1.35625
SLC6A2	-0.226875
HIVEP1	0.1925
DFFB	-0.2261
EIF4EBP2	0.46925
DMRT1	-0.89925
HSPB6	0.122
IER2	0.119166666666667
AIFM1	0.436
WWC2	-0.835090909090909
MRPL4	-0.034
FLJ21062	-1.2765
EPB41L4A	1.535
SH2D6	0.55075
TAF4B	-0.87875
GAL3ST3	-0.084
MALT1	-1.49083333333333
RTDR1	1.30475
ARVCF	0.325125
MEX3B	-1.35966666666667
FBXO16	0.8755
KIF7	-1.70125
C1QC	4.3855
ZNF783	0.0118333333333333
ZNF85	-1.753
MMP13	2.136
KIAA0329	0.08575
RTP3	-0.2755
ZBED3	0.71525
CLGN	-2.66625
SLC25A37	-1.88682608695652
hCG_18290	-0.45275
OR5AS1	0.3525
SMARCC2	0.197083333333333
FAM109A	0.0245
CCDC12	0.03075
USF2	1.3016
DEPDC7	-3.0275
C20orf24	-0.238666666666667
JMJD3	-0.0105
DSP	0.609285714285714
SLIC1	0.56
FAM20A	1.56675
IRF2BP2	0.600125
ZNF230	-0.396
MSN	-1.29364285714286
SLC9A5	-2.0515
EPDR1	0.1382
MUSK	0.383666666666667
ZNF434	0.188
SMARCD1	-0.637666666666667
ZFP106	0.1155
ZNF347	0.0131
GTF2E1	0.0185
