Hybridization REF	TCGA-BH-A0DQ-01A-11R-A084-07
CRELD2	-0.17975
C8G	-2.3025
CD82	0.963
LIM2	-1.5195
UNQ6490	-0.2
MMP16	2.1005
DRD3	0.19225
C5orf26	-1.30425
C11orf73	-0.325875
PTP4A2	1.465
OR4M2	0.4635
HPCA	-0.664833333333333
SEC14L1	-0.419833333333333
CHFR	0.209375
EMILIN1	1.059
NDUFS4	-0.614
COL18A1	1.134625
PDZD3	-0.015
C9orf16	-0.129166666666667
ERBB2IP	0.337
EMX2	4.5665
FUS	-0.05925
TF	-3.8677
CLCN4	0.164333333333333
CXorf56	0.487
C11orf72	0.161
ELAC2	-0.377583333333333
NPR1	0.9265
ASS1	-2.1355
USP42	0.182375
POLR2J	-0.8955
SEC23IP	0.504333333333333
UQCRC1	0.091
LOC729603	-0.5245
C1orf71	-0.304625
POLG	-2.0085
ADAM23	-2.403
TFR2	-2.25425
RICTOR	-0.7224
MGC39606	0.28475
C19orf55	-0.68375
SNAPC1	-1.40333333333333
GNA11	1.179
CCDC52	0.656666666666667
FSIP1	5.1805
UPF3A	-0.74625
IGSF11	-2.62066666666667
LAGE3	1.6575
CHST6	-0.839
UNC13B	0.19
TTLL4	-1.834375
ZNF687	0.096
SDC2	0.3672
COX7A2	-0.86775
LAMB4	-0.1165
FAM24A	-0.5115
LRRTM3	-0.659666666666667
GPHB5	-0.7745
OR4C13	0.608
EIF3EIP	-0.810857142857143
HABP4	-0.152
TMEM125	3.5525
CNTN2	0.0615
ASNSD1	-0.06525
FUT4	0.3035
ACF	-4.4155
LOC158381	0.3315
CDH8	0.109
AGPS	-0.606666666666667
C4orf18	3.446125
PECI	0.486333333333333
UNG	-0.037125
GSTP1	-1.404
DCUN1D5	-1.7735
DKFZP564J0863	-0.81675
SLC9A3R1	1.837875
BCDO2	-0.57475
CHMP7	0.385125
REM2	0.474
DNHD1	-1.051125
FKBP4	-0.335125
ZNF350	1.57425
MGC11102	-0.277125
BST1	3.1055
KISS1R	0.3155
NCR2	-0.3175
DEFB125	-0.2465
UBE2W	1.300625
KRT15	2.625875
C10orf99	-0.004
SCN11A	0.81025
GFI1	-2.735
RDHE2	2.36133333333333
FHL1	1.28133333333333
OSGEP	-0.194166666666667
GATA1	-3.9695
SMC6	-0.803
TTTY14	-1.31
LPIN3	-0.24975
RPL4	-0.921
RBPMS	0.5791
PRPF3	-1.07916666666667
EMR1	-2.7535
SPATA19	0.01775
XCR1	0.188
IRX3	1.8706
RBM6	-0.19975
KLF4	0.0829
UNC5CL	-0.35025
SEBOX	0.555
BTK	-0.777
KRCC1	1.384
C6orf27	0.176
SYTL5	0.4565
PRND	4.350125
LOC653319	-1.7395
PIGL	-1.96225
HUS1	-0.5975
SFRS6	0.49475
C17orf77	0.42
UIMC1	-0.509833333333333
FXYD2	-2.4019
LOC283152	0.37725
ZNF667	1.17225
ZCCHC12	0.033
TFEC	2.7914
ATP7B	0.922666666666667
POLD2	-1.4075
RG9MTD1	-0.339
ACOT2	1.20916666666667
HIST1H4I	-0.4535
PPARGC1A	-2.2643
ETFA	-0.9908
POLRMT	-0.7485
ZNF146	0.087625
MIA2	-1.88
KLHL6	-0.9805
HOXB5	-0.559125
NENF	0.4025
CUGBP1	0.44425
PRSS22	1.2195
CASC4	2.0196
CUL4B	-0.2876
CENPJ	-1.0621
PITX1	-0.8845
FLJ31033	1.2525
CELSR3	-3.25216666666667
ZNF568	0.132
ITSN1	0.537333333333333
EHBP1L1	-1.04183333333333
C19orf2	-0.646
DCTN1	0.46175
LIN28B	-4.67683333333333
TNKS2	-0.5435
C1QBP	-0.9075
CADPS2	1.52025
SRMS	0.357
GJA9	-0.113333333333333
MGC24975	-1.44533333333333
TRIM45	-0.445833333333333
TSP50	1.45275
TCP1	-0.903
TMED7	0.3087
CMA1	1.277
CENPL	-0.805833333333334
PTCRA	-0.0985
FST	-3.9835
VWCE	-3.96425
PAWR	0.96075
ABCC12	0.224333333333333
LDLR	-1.8668
ASTN2	0.9492
LOC441212	-1.032375
GPATCH8	-0.01025
TANC2	0.0573333333333334
KIF4A	-1.95675
C18orf18	-0.61625
PGM1	-0.98375
KIAA0258	0.617
CPD	0.819375
SNCAIP	0.03
DCT	-4.77566666666667
HLA-DOA	2.29486363636364
OR11L1	0.106
UPK1B	-1.06233333333333
DNAJB4	0.78125
UGT1A8	-0.70625
HIST1H4L	-0.998
PECR	-1.28783333333333
HSPA2	2.9385
WFIKKN1	-2.0925
SERP1	1.590375
SYDE2	1.53025
TACR2	0.6515
NUP85	-0.687
CD177	-0.526666666666667
LGR5	-2.09883333333333
PIGG	-0.136833333333333
PTHR1	-0.794833333333333
RAB5A	0.2682
FLJ13224	-0.4575
USP9Y	-1.2306
C7orf53	-1.5605
LRP1B	1.16275
XAF1	2.7756
ABCG8	-0.2435
ANKDD1A	-0.145333333333333
DAND5	-1.6735
SPAG6	-0.258333333333333
LINCR	0.5155
ZDHHC22	-0.824125
CCDC60	-0.413
THOC7	-1.4825
TCTA	0.6199
OR8K3	0.073
NY-REN-7	-0.8505
B2M	1.16
C6orf141	2.1835
LPPR4	2.7705
SQLE	-2.0435
SEPHS1	-0.8975
BTBD14B	0.229
PLRG1	-0.0815
SPG7	-0.31925
ZNF614	-0.013
PARD6G	0.646
INPP5B	-0.2013
GRPEL2	-0.55575
PPID	-0.5088
TRIM56	-0.229
UBE2J1	-0.211125
IL20RA	2.422
LOC387856	0.4815
C1orf107	0.418333333333333
UTS2R	0.53425
C19orf22	0.24375
SAFB2	-0.17
KIAA0652	0.319125
KLRG1	-0.7155
MS4A8B	4.86633333333333
FRAG1	0.657
KIAA1546	0.2385
E2F4	-0.9017
CLEC4M	0.143333333333333
BTBD14A	-1.5565
KIAA0999	0.5964
GYPA	-3.69283333333333
TAC1	2.9158
TRAIP	-1.56683333333333
KIAA0232	1.1629
ERCC8	-1.363375
GPX4	0.447625
KIAA0368	0.2335
GPR157	-1.2675
CTAGE4	1.0705
C9orf30	-1.26816666666667
OR52A1	-0.3705
HSP90B3P	0.2335
ALG9	-1.104
BTBD10	1.00125
SDK2	0.20775
BAIAP3	0.6375
RABGGTB	-0.976625
ANKRD40	-0.0615
KRT74	0.416
CALCOCO2	0.352857142857143
SNCA	-3.24525
TMSL8	-5.11425
C2orf53	-0.1535
ESRRB	-0.856
ARHGAP26	-0.588875
TDRD9	-2.86975
HRAS	-0.004
KLRC4	-2.8305
JAGN1	-0.0625
BSDC1	0.69725
RNF43	-0.2623
NDUFAF1	0.46475
PHF12	-0.0575
OR1L3	0.09725
FOLR2	2.27183333333333
LYZL6	0.426833333333333
tcag7.1260	-1.6345
WSB1	-1.2165
PROS1	0.2189
OSTN	0.4105
PSMB8	0.48075
SOCS4	0.21925
DDIT4L	2.032
MAS1	0.886
MGC34796	1.3915
CSHL1	0.232666666666667
TBCCD1	0.9
ZBTB7C	-0.1935
AP2S1	-0.53975
P15RS	-0.7386
VAT1	-0.4827
SHANK3	1.19216666666667
TUFM	-0.306166666666667
THEG	-0.8795
KRT34	-2.31925
SGSM3	-0.290125
TOMM22	-0.723875
SOCS3	1.00016666666667
CPO	0.87
POP4	0.13425
BHLHB3	1.5245
MALL	1.553
OR1B1	0.5405
PARK2	0.294833333333333
GPR124	1.506875
LCE1E	0.282
RUVBL2	-0.88925
CGRRF1	0.5091
ACPL2	-0.1205
WNT10B	-1.732125
BAIAP2L2	-2.708625
ISCA1	0.562
C1orf125	1.382125
RPAP1	-0.863
RAI16	0.0145
RPL27	-1.034125
NLRP9	-0.2
EPN1	-0.0215
LOC388610	-2.018375
SLC35A1	-0.0823
GAL	-4.72525
SLC14A2	0.233
RDH11	-0.372833333333333
FAM138F	-1.1415
AUH	0.12125
FLJ40243	0.33825
C14orf129	0.456666666666667
MBD2	0.433333333333333
ABHD14B	0.185375
PIGT	0.459125
ALS2CR4	-0.14875
ALAS1	0.1808
FOXO1	1.87283333333333
CRLF3	-0.2705
C20orf107	-0.671
FARS2	1.03475
CCDC28A	0.47975
NPHP3	-0.51
OR13F1	0.006
TSEN54	-0.792
DEFB106B	-0.0446
OR8B4	0.155
STH	2.083
ZC3H14	-0.05475
CBX2	-0.512
TMEM49	-0.89625
C6orf21	0.0385
FLJ20920	0.16825
CRTAP	0.608857142857143
DDX50	-0.0445
STYXL1	-0.014
BLVRB	0.00566666666666667
LOC147650	-0.5595
MMP24	0.57175
GRID1	2.04766666666667
BANF1	-0.428
CTAGEP	0.33725
HMBS	-2.8365
SLC25A24	0.716333333333333
C14orf50	1.7605
MRO	2.2815
SLC25A15	-1.102
FAM84B	1.1169
TDP1	-0.7315
C16orf78	0.259
C11orf57	-0.5415
RFK	0.190625
ZFYVE9	-0.443625
STCH	0.3935
WIBG	0.69725
LOC283871	-0.522
GBA2	-1.0626
NDUFB3	-0.38375
HSD17B13	0.32625
GRIN3A	0.967333333333333
FMNL1	-0.948
SEPT7	0.4983
GNLY	2.5075
GRAMD1C	2.5715
ZNF165	-0.49275
USP38	1.459
FAM83A	-2.82316666666667
C14orf24	0.828916666666667
ARMCX3	1.94575
ARHGDIB	0.219
AK1	0.49675
KIAA1045	0.5605
DNAJB13	-0.4355
NEU2	0.364
HIST1H4B	-1.3585
FAM20B	-0.4952
HES2	1.16778571428571
FAM73B	-0.1905
LOC388381	0.11325
INTS7	-0.199909090909091
AMPH	4.27275
ZNF775	-0.32725
UCKL1	-0.884166666666667
C10orf97	0.24125
C1orf161	-0.0405
ALDH1L1	0.3355
FLJ39378	0.1195
SLC23A1	-1.314
RBM4B	0.765
THAP4	-0.178
OGFRL1	-0.4335
KIAA0831	0.19725
PPP1R15A	-0.262833333333333
C1orf96	-0.161785714285714
C12orf11	-2.604
BMF	0.959
MAN1A1	-0.35075
KIAA1600	1.14533333333333
NLGN4X	-0.3315
ALOX12	-1.83916666666667
RB1CC1	0.00900000000000002
NEIL2	0.7864
EIF4E	0.132681818181818
ABHD5	0.09075
EXOC4	-0.0133333333333333
CIP29	0.7345
BATF2	0.42325
SLC29A4	-0.649
HTR4	0.671
EMB	-0.7705
TRAF6	0.51225
LMNB1	-1.325
FAM19A5	-0.665875
SHE	2.789
PIK3C2B	1.43175
C15orf15	-0.7578
USP15	0.3078
TCEAL2	1.3265
C5orf39	-0.700333333333333
PTGER2	0.8985
SLC31A1	-0.08475
IFT172	0.08025
ADAM29	1.402
GFOD1	0.604
ST7L	0.406333333333333
C15orf26	-3.212
PKN3	-1.11
CNTD1	2.541
COMMD1	0.020375
NTRK2	3.53558333333333
FOXN3	1.025125
MFGE8	0.3095
PFKFB2	0.4935
TAS2R4	-0.00675000000000001
ENTHD1	2.37633333333333
PRMT5	-0.602875
MGC16384	-1.117125
LOC442229	-1.102
TSKU	0.76775
KRTCAP3	2.157625
PDLIM1	0.1995
KCNS2	0.53375
RNF126	-0.931666666666667
CEP63	-0.06975
CLIC4	1.021125
hCG_1990170	-0.274
ACR	0.5849
KLK7	2.34325
ALOX5AP	3.143625
RIPK3	4.19025
TAS2R9	-0.4585
C19orf18	1.87
BIRC6	0.1035
ZNF16	1.135
RFT1	-0.38625
SLC8A2	-1.0265
TACC1	1.3105
ITGAD	1.86025
SAMHD1	1.67525
SH3PXD2B	1.8868
EPC2	1.014
C20orf85	2.113
ATP13A2	0.406666666666667
KRT4	-0.05425
CAPNS1	0.1595
MDM2	0.737833333333333
PCDH20	1.92575
KCNK9	0.254
OR2C1	0.658
KLHDC3	-0.4535
IPPK	1.474
EFHD2	-0.07525
GALR3	0.43
NBEA	0.867166666666667
ABCA6	4.3696
CLDN3	1.743
AKT2	-1.09978571428571
EGFR	-1.3414
RBM16	0.342625
ZDHHC3	0.5961
SLC25A4	0.0851666666666667
CYB5B	-0.4605
CPXM1	0.92
NDRG1	-0.932461538461538
FLJ43826	0.87375
OR5L2	-0.0723333333333333
FARP2	0.3942
MRPL46	-0.856333333333334
LDHAL6B	0.299333333333333
MAPKAPK3	-1.07783333333333
NCAM2	-2.19225
PRKD2	0.1945
ZFP36L1	1.2013
CYSLTR1	-0.21
OR4C3	-0.256
HIST1H2AJ	1.117
CCNB2	-2.10488888888889
ZNF10	0.496125
TMEM175	0.413
FAM134A	0.9595
TIGD4	0.1635
PCNP	-0.38375
MGC39715	0.609
LQK1	-0.7915
CREB1	1.0338
TMPRSS3	1.818
C4orf32	1.15225
LAT	-1.91866666666667
KCNA3	-0.3465
SKIV2L2	-0.5165
ROPN1B	-1.37425
tcag7.23	-1.1495
CDT1	-3.027125
ZHX2	1.05225
CD28	-2.35525
ZNF624	0.9735
SEPT2	0.141583333333333
SOHLH2	-1.379625
MCOLN3	-0.852857142857143
UNQ1945	0.038
MASP2	-1.877
ZNRF3	-0.3732
GPATCH3	-0.07375
AGL	0.797875
QRICH2	-0.0165
PSD4	0.682833333333333
CCNB1IP1	-2.10425
ENPP7	-0.2055
OBFC1	-0.452
KCNG3	-2.6745
C14orf79	0.179083333333333
ENPEP	2.65733333333333
SCT	1.853
SKI	1.18025
SEC61G	-1.5825
CAPN11	1.213
ATXN7L3	-0.3655
DBNDD1	0.710166666666667
FAIM	0.2275
ANKRD36	-0.1855
GABRP	3.273
TACSTD2	2.36133333333333
EIF3J	-0.76625
PPP2R2A	0.19
TEKT4	0.310666666666667
PVALB	-1.18083333333333
F10	-1.76466666666667
FAM134C	0.895
COMP	4.557875
EFCBP1	-1.772125
SCLT1	0.66425
TAL1	-0.9032
ACSL1	2.41375
ABCC5	0.0325
ABL1	-0.349722222222222
RBBP7	0.578583333333333
PTPRG	0.4705
NCOR1	0.3712
SPINK4	-0.792666666666667
TXNRD1	-1.465
TNRC15	0.820625
C9orf138	1.99925
UBE2H	1.11116666666667
BRDT	1.33083333333333
C8orf31	0.25025
CCNE2	-1.26381818181818
SLC6A8	-1.629
CALCR	-3.133
PPP1CB	0.605666666666667
ABHD8	0.188
ARF5	0.4269
SLC24A4	1.002
CCT3	-0.169
ZNF121	-0.236125
SLC3A2	-0.6334
OR13A1	0.3195
SLC5A10	-0.325
RAD50	-0.224
IER5	0.14725
MTHFD1L	-2.27425
MBTPS2	-0.0233333333333333
MVK	-0.474625
NCL	-0.2498
PSMD10	-0.0925
MOBP	0.46725
FLJ32894	0.131
HRH1	0.272166666666667
C5orf30	1.3515
NUDT16L1	0.7629
RASGRP3	3.9635
PRKRIP1	-0.5175
CCDC75	1.212
LOC253970	0.404
KIAA1239	1.28725
MED21	-1.286
SYT11	1.139
NTSR2	-0.6185
EGFL11	-0.0015
CXorf59	0.817
OR2A25	0.07175
SPTBN2	-1.40375
LRMP	-1.73283333333333
RNF111	0.2335
PTH	0.2265
LOC619208	0.215666666666667
KIAA0895	0.6505
RANBP5	-1.29575
P2RY10	0.718833333333333
NME5	2.63033333333333
DDX21	-1.13675
LRSAM1	0.6685
HDAC11	1.33516666666667
VMO1	0.91475
NOLA2	-0.565333333333333
ADAR	0.330416666666667
MTO1	-1.68083333333333
SF4	0.491833333333333
P2RX1	-0.0196666666666667
HBM	-0.07475
EN2	0.6365
C14orf172	-0.3165
TM9SF2	-0.2409
INHBE	-1.2135
TCTE3	-0.437333333333333
TOX2	-2.6795
CTAGE3	0.974375
HBB	4.4495
MED15	-1.0925
CASR	0.182333333333333
C6orf66	-1.69233333333333
MTPN	0.04875
UNC50	-0.2655
C21orf33	-0.464125
IRF2	1.01075
PGR	2.87316666666667
GPR84	1.84125
CROCCL1	-2.252
SRPX	-0.12425
BRE	0.393833333333333
FGF10	1.50125
SDC3	0.409333333333333
ZRSR1	0.498666666666667
DKFZP434P211	-1.0775
SOX6	0.521
RPUSD2	-0.115
C14orf173	-0.274416666666667
MAPK11	-0.404166666666667
TBC1D22A	0.202
FAM123A	-0.067
COL4A6	-2.26333333333333
TOMM70A	0.05625
NAB1	-0.206625
MGC16385	-0.091
TSPAN18	0.771333333333333
MED31	-0.57625
PLG	-0.344
CAPSL	1.4085
ZNF532	1.1916
ASB14	-0.16125
CA8	-0.236
NUDT16P	1.8265
SLFN11	-0.5055
LRRIQ2	0.487375
NOL7	-0.2925
BRMS1L	-0.600625
JARID1A	0.2375
PANK2	-0.4355
ICAM3	-0.64075
MDS1	-0.28225
TAF8	0.23025
RNF139	0.92075
ZNF594	0.573833333333333
ADAM8	1.058
SFTPC	-0.37625
MAN2B2	1.52575
RGS12	0.7894375
EIF1AY	-5.48191666666667
LRRIQ1	-0.24
GPR150	0.71525
CCDC21	-0.833333333333333
PRRG3	0.97875
SAA4	-1.784
RAPGEF5	1.667625
ZCCHC2	-0.36575
MGC39372	1.404
PPP4R2	0.626833333333333
CDCA2	-1.298
OR4D5	0.164666666666667
PTGFRN	1.3891
SIGLEC5	2.16233333333333
C19orf61	-0.304333333333333
NMUR2	0.3845
KIAA1586	-0.191166666666667
DAGLA	0.236666666666667
CHCHD6	-0.845
GPR32	1.109
NEUROD6	0.163666666666667
SLC2A4RG	0.60375
CA5B	0.058
FBXL3	1.05325
MPHOSPH9	-0.46725
HMG2L1	0.36925
HCN4	0.299
CEACAM19	-0.5575
SH2D4B	0.455333333333333
HFE2	-1.435
TGM4	-0.2392
LYPD2	0.17575
TBC1D15	0.261
MRPS21	-0.1305
NONO	-1.0739
CLEC5A	1.955625
ITCH	-0.1962
MGAT3	-0.757833333333333
MBP	-0.586125
RPP25	-0.8455
SOSTDC1	-0.36025
HRC	-1.37225
TRIM48	1.109
TMEM133	0.59875
ECEL1P2	-1.1785
HOXC11	-0.114
DOK5	-0.03675
HELZ	0.46
LOC348180	-1.447
MGC33894	0.03575
ADRB3	-0.0075
DMD	0.544916666666667
PTRH2	-1.27775
MPEG1	3.07666666666667
NDUFA12	0.2835
KRTAP2-4	0.006
STAMBPL1	-1.39066666666667
ADCY2	0.00799999999999999
UNQ6125	0.08
KLHL20	0.867666666666667
SRM	-1.581
OTC	0.095
TMIE	0.0713333333333333
SNX8	-0.87875
LIPK	0.251
CHURC1	1.14783333333333
KLC2	0.0206666666666667
HDAC1	0.143833333333333
FAM128A	0.202
FNDC3B	-0.141
MTCP1	0.247666666666667
WFDC10B	2.1436
PCDHGB3	0.6655
ATRNL1	-1.6062
CAV2	0.847125
MED26	0.16
DUS1L	-0.36175
CHRM3	-0.95875
NEK9	0.91275
WARS2	-0.39275
TBX22	-0.132
TOMM40	-1.0025
RP6-213H19.1	1.761
TUBGCP5	-0.39775
IGSF6	5.32075
TPPP	0.3965
UNQ6190	0.2825
GSTM5	2.041
BTD	0.747
PDCD1LG2	0.4405
SNRPB2	-0.8875
ERICH1	-0.12325
APOA4	-1.895
HOXA11	-1.592
NARG1	-0.76425
MKX	-0.301
RAB28	-0.215928571428571
PKP3	0.64525
SH3GL2	-2.98825
CTSO	3.531
RPN2	-0.1549375
IL28RA	-0.5455
SFMBT1	0.1585
WDR57	-0.020125
FER1L3	1.85566666666667
HSF5	0.265
TTC9B	-0.3405
C4BPA	-3.25816666666667
ALB	-4.69921428571429
SORBS3	0.021
UPF2	0.7705
JPH1	-0.575
AGBL2	1.322
DOPEY1	0.6915
TERF1	-0.0045
KIF22	-0.758333333333333
NINJ1	1.19825
SEC61A2	-0.9425
HIST1H1D	0.725333333333333
SFXN4	-0.854
UCP3	0.7772
ZNF703	1.146
MYL6B	-0.7225
TREM1	2.45375
OR52E6	0.6115
CKMT2	3.0055
HLA-C	1.684375
SLC13A3	-1.103
TIMP4	1.39325
SLIT2	3.348
RSF1	0.382
LONRF1	-0.932642857142857
MON1A	-0.4505
CACNG6	-2.20183333333333
DPPA4	-5.91766666666667
ZSWIM3	0.42375
ZNF804A	-0.162166666666667
CCIN	1.8925
SLC25A31	-0.31725
KCNMB4	0.4055
RABL5	0.095875
GALNS	-0.3567
STX6	0.96925
HIST1H1C	-0.0945
CIDEB	0.076375
CASP4	-0.0498333333333333
PDK3	-0.6142
KCNJ11	2.474
TPR	-0.668
ZSCAN20	-0.8445
MTX2	-0.35925
HIST1H2BH	0.4325
LOC283767	1.48875
LYRM7	-0.994944444444445
BRD3	0.633666666666667
HIST1H2BO	0.27825
MAGEB10	0.2235
SLC45A1	1.5295
SERPINA3	2.1836
KIAA0143	1.36825
KCNJ16	0.6608
KRT79	0.632
FABP2	-1.19125
NUT	0.1685
ZNF57	-0.39925
FBXL4	0.361875
CLEC9A	0.97
UGT8	-1.44983333333333
BMP2K	0.52575
MAPK4	-4.2845
SLC25A23	-1.0718
HINT1	-0.7933
KRTAP13-1	0.8455
SFXN5	1.5211
CHCHD2	-0.0715833333333333
FAM3D	2.4635
NDP	-3.063375
RHOBTB1	0.694833333333333
SLC4A4	-0.421375
RPL38	-0.622
HTF9C	-0.997833333333333
AP2A2	0.219
ZBTB46	-0.0405
MAP7D1	0.473125
AOX1	-0.160166666666667
CYR61	1.0395
DTNA	1.07628571428571
JRKL	0.2655
TMOD3	0.76325
EEA1	0.364
ADCK5	0.04625
IL1R1	2.01233333333333
KLK3	0.5455
HRSP12	-0.71425
KTN1	-0.2645
LOH11CR2A	1.4154
RELL2	-2.57
MAB21L1	2.104
C20orf59	-1.51416666666667
PHKB	-0.73175
ADAM2	-0.5545
TBC1D8B	1.15866666666667
FAM13A1	-0.3168125
LAPTM4B	-1.97508333333333
LCN8	-0.1975
TMEM147	-0.015
SYT4	0.0613333333333333
XPO7	-0.632
C9orf62	0.665
GPR75	-0.3785
TRIM5	1.3205
APOC1	0.0615
RNASE4	0.344333333333333
PARD6B	0.073875
ARID1A	0.506333333333333
TPD52L3	0.3233
RRAGB	0.767333333333333
RCN2	-0.378166666666667
HIST2H2BE	0.6333125
STARD7	-0.0515
SHMT2	-0.661
KIAA1751	-0.2665
MLYCD	0.6655
LOC162632	-0.3582
UQCRH	-1.551
RP11-217H1.1	0.1706875
SDHA	-0.9905
NCLN	-0.7315
ZNF17	0.1905
RCBTB2	-1.48475
VEGFB	-0.0307
RP4-747L4.3	0.49825
COLQ	0.6553
MPN2	-0.645
DRG2	-0.41325
KLRB1	4.8635
ALPK2	-1.90425
DNASE2B	1.53325
FLJ23834	0.0871666666666667
AXUD1	0.940166666666667
SAFB	0.7459
NSUN4	-0.14725
RFX2	0.344833333333333
MAPK8IP1	-0.3185
FANCD2	-1.8555
ANKZF1	-1.54716666666667
C19orf50	-0.40375
DUSP8	0.82175
SENP5	0.34475
NFKBIL2	-0.1965
LBR	-1.431375
IGFL1	0.3835
LZTS2	0.2935
IL2RG	-1.308375
CCDC51	-0.5145
KLF3	0.1905
ANKRD37	-1.6645
KCTD14	-0.224666666666667
FZR1	-0.115916666666667
SLC44A4	3.6898
ESPL1	-1.5
GMPR2	-0.4043
TBC1D19	-0.371
ERGIC1	0.127148148148148
ERBB4	2.5081
TSPAN32	-0.171583333333333
MAP4	0.52925
GPHN	0.493
SLC6A2	0.4635
HIVEP1	0.587
DFFB	-0.5209
EIF4EBP2	0.5225
DMRT1	-0.7695
HSPB6	0.46
IER2	0.0388333333333333
AIFM1	0.84375
WWC2	0.527166666666667
MRPL4	-0.96775
FLJ21062	0.582833333333333
EPB41L4A	1.39291666666667
SH2D6	0.029
TAF4B	-1.43275
GAL3ST3	-0.005
MALT1	-1.37833333333333
RTDR1	-1.08025
ARVCF	-0.483
MEX3B	-0.452166666666667
FBXO16	1.00075
KIF7	-0.4725
C1QC	3.7845
ZNF783	-0.676333333333333
ZNF85	0.76225
MMP13	3.1615
KIAA0329	0.5445
RTP3	-0.8805
ZBED3	-0.70625
CLGN	-1.368
SLC25A37	-1.36958333333333
hCG_18290	-0.73875
OR5AS1	0.154
SMARCC2	0.8165
FAM109A	0.434833333333333
CCDC12	-0.3615
USF2	0.388
DEPDC7	-1.60825
C20orf24	-0.375333333333333
JMJD3	0.983
DSP	1.45928571428571
SLIC1	0.083875
FAM20A	1.550375
IRF2BP2	1.03975
ZNF230	0.38
MSN	0.0279285714285714
SLC9A5	-2.4765
EPDR1	-0.4246
MUSK	0.0526666666666667
ZNF434	0.363333333333333
SMARCD1	-0.116333333333333
ZFP106	-0.1605
ZNF347	1.0497
GTF2E1	0.80475
