Hybridization REF	TCGA-E2-A15P-01A-11R-A115-07
PMF1	-0.35025
FNDC1	4.2055
HS2ST1	-0.972583333333333
CRELD2	-0.35875
C8G	-0.973
CD82	-0.31325
LIM2	-1.52
UNQ6490	-0.149
MMP16	0.309
DRD3	-0.70775
C5orf26	-0.68175
C11orf73	-0.188
PTP4A2	1.10925
OR4M2	0.0185
HPCA	-1.77483333333333
SEC14L1	-0.636333333333333
CHFR	-0.641875
EMILIN1	0.485
NDUFS4	-0.384
COL18A1	0.1425
PDZD3	-0.2713
C9orf16	-0.551666666666667
ERBB2IP	0.8745
EMX2	3.78275
FUS	-0.12225
TF	-2.6972
CLCN4	0.224833333333333
CXorf56	1.26175
C11orf72	0.46025
ELAC2	0.0891666666666667
NPR1	-0.63425
ASS1	-2.34666666666667
USP42	0.24925
POLR2J	-1.849
SEC23IP	-0.0768333333333333
UQCRC1	-0.52975
LOC729603	-0.2555
C1orf71	-0.093125
POLG	-1.8955
ADAM23	-3.0385
TFR2	-1.7205
RICTOR	-0.6126
MGC39606	0.1155
C19orf55	-0.1475
SNAPC1	-1.44233333333333
GNA11	0.27075
CCDC52	0.554333333333333
FSIP1	4.944
UPF3A	-0.4455
IGSF11	-2.39016666666667
LAGE3	-0.15275
CHST6	-2.359
UNC13B	1.461125
TTLL4	-1.154
ZNF687	0.30675
SDC2	-0.7447
COX7A2	-0.84675
LAMB4	-0.6105
FAM24A	0.2005
LRRTM3	-2.0425
GPHB5	-0.41825
OR4C13	0.1855
EIF3EIP	-0.561642857142857
HABP4	-0.217
TMEM125	2.91675
CNTN2	-0.13225
ASNSD1	0.055
FUT4	-0.28575
ACF	-3.179
LOC158381	1.104
CDH8	-0.134
AGPS	-1.24533333333333
C4orf18	4.491375
PECI	0.80775
UNG	-0.315375
GSTP1	0.407
DCUN1D5	-1.549
DKFZP564J0863	-0.0955
SLC9A3R1	1.78275
BCDO2	0.707375
CHMP7	-0.029125
REM2	1.1145
DNHD1	-0.640875
FKBP4	-0.482
ZNF350	2.03025
MGC11102	-0.193125
BST1	1.4605
KISS1R	-0.818
NCR2	0.5435
DEFB125	-0.1895
UBE2W	1.350875
KRT15	2.076
C10orf99	0.0845
SCN11A	0.197125
GFI1	-2.42075
RDHE2	4.24283333333333
FHL1	-0.829
OSGEP	-0.214333333333333
GATA1	-3.0285
SMC6	-0.89025
TTTY14	-1.06375
LPIN3	-0.28525
RPL4	-0.4414
RBPMS	0.00360000000000003
PRPF3	-0.374166666666667
EMR1	-2.436
SPATA19	-0.2045
XCR1	0.154
IRX3	1.8296
RBM6	-0.0385
KLF4	-1.1013
UNC5CL	-1.612
SEBOX	-0.3165
BTK	-0.9525
KRCC1	2.001
C6orf27	-0.3315
SYTL5	-0.3025
PRND	3.030875
LOC653319	-1.241
PIGL	-0.2815
HUS1	-0.274666666666667
SFRS6	0.215583333333333
C17orf77	0.0175
UIMC1	-0.100333333333333
FXYD2	-1.7926
LOC283152	1.8975
ZNF667	1.49
ZCCHC12	-0.876
TFEC	2.8167
ATP7B	-0.423166666666667
POLD2	-1.02883333333333
RG9MTD1	0.549
ACOT2	0.0596666666666667
HIST1H4I	-1.6835
PPARGC1A	-1.905
ETFA	-0.1899
POLRMT	-0.87175
ZNF146	1.078
MIA2	0.867
KLHL6	-0.693166666666667
HOXB5	-1.207
NENF	-0.00350000000000001
CUGBP1	0.10775
PRSS22	1.02733333333333
CASC4	1.6251
CUL4B	0.0626
CENPJ	-1.6924
PITX1	0.293
FLJ31033	1.962
CELSR3	-1.8305
ZNF568	1.79875
ITSN1	0.200083333333333
EHBP1L1	-0.707666666666667
C19orf2	-0.1345
DCTN1	0.33125
LIN28B	-4.28366666666667
TNKS2	-1.63125
C1QBP	0.063625
CADPS2	1.28875
SRMS	-0.00475
GJA9	0.197333333333333
MGC24975	-0.6745
TRIM45	0.7295
TSP50	0.752
TCP1	-1.2275
TMED7	0.6412
CMA1	1.5825
CENPL	-0.892833333333333
PTCRA	-0.283
FST	-2.58075
VWCE	-3.1665
PAWR	0.353
ABCC12	0.0351666666666667
LDLR	-0.4767
ASTN2	0.3656
LOC441212	-1.128625
GPATCH8	-0.305
TANC2	-0.647416666666667
KIF4A	-2.28275
C18orf18	-0.82425
PGM1	-0.8935
KIAA0258	0.45725
CPD	1.071375
SNCAIP	0.01625
DCT	-3.79533333333333
HLA-DOA	2.47077272727273
OR11L1	0.0925
UPK1B	-0.7135
DNAJB4	0.52975
UGT1A8	-0.512
HIST1H4L	-1.2735
PECR	-0.344666666666667
HSPA2	0.94225
WFIKKN1	-1.6385
SERP1	2.185625
SYDE2	1.243
TACR2	0.7465
NUP85	-0.88975
CD177	-0.710166666666667
LGR5	-1.93966666666667
PIGG	0.428083333333333
PTHR1	-1.64466666666667
RAB5A	1.2265
FLJ13224	-0.2575
USP9Y	-1.82966666666667
C7orf53	-0.6755
LRP1B	0.32925
XAF1	2.3553
ABCG8	-0.755
ANKDD1A	-0.258
DAND5	-0.814
SPAG6	0.264166666666667
LINCR	1.10925
ZDHHC22	-1.560875
CCDC60	0.621
THOC7	-0.811666666666667
TCTA	1.4337
OR8K3	0.28475
NY-REN-7	-0.65425
B2M	1.64133333333333
C6orf141	0.386125
LPPR4	3.142
SQLE	-1.06475
SEPHS1	-0.5255
BTBD14B	-0.0707857142857143
PLRG1	-0.19075
SPG7	-0.59725
ZNF614	0.331166666666667
PARD6G	-0.190833333333333
INPP5B	-0.591
GRPEL2	0.00675000000000001
PPID	-0.296
TRIM56	0.387
UBE2J1	-0.16625
IL20RA	5.567
LOC387856	0.13125
C1orf107	0.395833333333333
UTS2R	-1.36775
C19orf22	-0.29875
SAFB2	0.556625
KIAA0652	-0.104125
KLRG1	-0.4315
MS4A8B	3.76633333333333
FRAG1	0.58
KIAA1546	0.9265
E2F4	-1.0723
CLEC4M	-0.121666666666667
BTBD14A	-0.832
KIAA0999	0.6555
GYPA	-3.34733333333333
TAC1	2.4229
TRAIP	-1.22433333333333
KIAA0232	1.2363
ERCC8	-0.66875
GPX4	-0.13975
KIAA0368	0.273625
GPR157	-0.607333333333333
CTAGE4	1.8275
C9orf30	-1.2395
OR52A1	0.4695
HSP90B3P	0.197
ALG9	-1.187
BTBD10	0.74825
SDK2	-0.17325
BAIAP3	1.31225
RABGGTB	-1.456375
ANKRD40	0.3435
KRT74	0.518
CALCOCO2	0.929285714285714
SNCA	-1.84675
TMSL8	-3.138625
C2orf53	0.346
ESRRB	-0.60225
ARHGAP26	-1.6
TDRD9	-2.83075
HRAS	-0.428333333333333
KLRC4	-2.583
JAGN1	-0.3355
BSDC1	0.692
RNF43	-0.0302
NDUFAF1	1.49525
PHF12	0.035
OR1L3	-0.28025
FOLR2	1.52066666666667
LYZL6	0.299
tcag7.1260	-1.833
WSB1	-0.588
PROS1	-0.0226
OSTN	0.4365
PSMB8	0.88175
SOCS4	-0.30125
DDIT4L	1.4415
MAS1	-0.231
MGC34796	0.79725
CSHL1	-0.123666666666667
TBCCD1	-0.0746666666666667
ZBTB7C	0.1305
AP2S1	-0.233625
P15RS	0.718
VAT1	-0.2345
SHANK3	0.674333333333333
TUFM	-0.4675
THEG	-0.72675
KRT34	-2.35075
SGSM3	-0.470125
TOMM22	-0.726125
SOCS3	0.742166666666667
CPO	0.942
POP4	0.55275
BHLHB3	1.55475
MALL	1.8625
OR1B1	-0.2835
PARK2	0.938333333333333
GPR124	1.004875
LCE1E	0.766
RUVBL2	-0.616
CGRRF1	-0.121
ACPL2	0.86575
WNT10B	-2.629375
BAIAP2L2	-2.125
ISCA1	0.494
C1orf125	1.172
RPAP1	-0.243
RAI16	0.0116666666666667
RPL27	-0.563375
NLRP9	0.449
EPN1	0.561
LOC388610	-1.099625
SLC35A1	0.8768
GAL	-3.62625
SLC14A2	0.61725
RDH11	-0.998833333333333
FAM138F	-0.846
AUH	0.943
FLJ40243	0.35725
C14orf129	-0.463166666666667
MBD2	-0.243666666666667
ABHD14B	-0.418875
PIGT	1.985375
ALS2CR4	0.00700000000000001
ALAS1	0.243
FOXO1	0.683833333333333
CRLF3	-0.06875
C20orf107	-0.1905
FARS2	1.018
CCDC28A	1.36475
NPHP3	-0.581
OR13F1	0.29
TSEN54	-0.755
DEFB106B	0.7512
OR8B4	0.3795
STH	2.3715
ZC3H14	-0.59475
CBX2	-0.4855
TMEM49	-0.377
C6orf21	0.274
FLJ20920	0.26575
CRTAP	0.0854285714285715
DDX50	-0.44675
STYXL1	0.32875
BLVRB	0.578333333333333
LOC147650	-0.184333333333333
MMP24	-0.06725
GRID1	2.34783333333333
BANF1	-0.259666666666667
CTAGEP	0.5755
HMBS	-2.7715
SLC25A24	1.39083333333333
C14orf50	2.4055
MRO	0.798666666666667
SLC25A15	-0.6395
FAM84B	1.8255
TDP1	-0.9775
C16orf78	-0.316833333333333
C11orf57	-0.721
RFK	-0.282625
ZFYVE9	-0.903125
STCH	-0.465
WIBG	0.66275
LOC283871	-1.24516666666667
GBA2	-0.2769
NDUFB3	-0.014
HSD17B13	-1.23425
GRIN3A	1.1498
FMNL1	-1.13083333333333
SEPT7	0.2809
GNLY	1.9755
GRAMD1C	1.67366666666667
ZNF165	0.56
USP38	1.131
FAM83A	-3.24016666666667
C14orf24	1.42025
ARMCX3	2.267375
ARHGDIB	1.66666666666667
AK1	-0.123875
KIAA1045	0.519
DNAJB13	-0.315666666666667
NEU2	0.637
HIST1H4B	-1.04683333333333
FAM20B	0.0573
HES2	-0.397
FAM73B	-0.3536
LOC388381	0.03875
INTS7	-0.761909090909091
AMPH	1.432
ZNF775	-0.872875
UCKL1	-1.48533333333333
C10orf97	0.3855
C1orf161	0.2505
ALDH1L1	-0.82975
FLJ39378	0.08225
SLC23A1	-2.2985
RBM4B	0.16325
THAP4	0.360166666666667
OGFRL1	2.01025
KIAA0831	-0.010125
PPP1R15A	-0.3665
C1orf96	-0.239857142857143
C12orf11	-1.16475
BMF	0.758375
MAN1A1	-0.23625
KIAA1600	0.770166666666667
NLGN4X	0.70275
ALOX12	-1.65733333333333
RB1CC1	0.4318
NEIL2	0.5631
EIF4E	0.4625
ABHD5	0.22875
EXOC4	-0.330666666666667
CIP29	0.69
BATF2	1.923
SLC29A4	-1.1115
HTR4	-0.0285
EMB	0.52625
TRAF6	0.451
LMNB1	-2.63425
FAM19A5	-0.900875
SHE	2.5435
PIK3C2B	0.6825
C15orf15	-0.3352
USP15	0.1329
TCEAL2	2.59975
C5orf39	-0.534166666666667
PTGER2	-2.19475
SLC31A1	-0.0856875
IFT172	1.55775
ADAM29	0.388
GFOD1	0.3395
ST7L	0.586166666666667
C15orf26	-0.533
PKN3	-1.37975
CNTD1	3.21383333333333
COMMD1	0.351625
NTRK2	3.69725
FOXN3	0.024875
MFGE8	-0.2538
PFKFB2	0.487833333333333
TAS2R4	0.1495
ENTHD1	0.587833333333333
PRMT5	-0.4925
MGC16384	-0.920875
LOC442229	-0.1045
TSKU	-0.300625
KRTCAP3	1.78475
PDLIM1	0.4565
KCNS2	0.312
RNF126	-1.13033333333333
CEP63	0.850875
CLIC4	-0.015
hCG_1990170	0.64025
ACR	0.7304
KLK7	3.122
ALOX5AP	1.983625
RIPK3	3.3855
TAS2R9	-0.2
C19orf18	1.7285
BIRC6	0.686928571428571
ZNF16	0.5865
RFT1	-0.07925
SLC8A2	-0.06725
TACC1	-0.25425
ITGAD	1.071
SAMHD1	0.83875
SH3PXD2B	0.767
EPC2	1.35025
C20orf85	4.370625
ATP13A2	0.0995
KRT4	-0.115375
CAPNS1	0.1005
MDM2	-0.67375
PCDH20	3.53525
KCNK9	0.6855
OR2C1	-0.31
KLHDC3	-0.769
IPPK	0.7565
EFHD2	-0.318125
GALR3	-1.4725
NBEA	1.003
ABCA6	3.9554
CLDN3	0.132666666666667
AKT2	-0.4805
EGFR	-1.0227
RBM16	0.400625
ZDHHC3	0.2279
SLC25A4	0.4415
CYB5B	-0.140333333333333
CPXM1	0.442
NDRG1	-1.40638461538462
FLJ43826	0.57475
OR5L2	0.3046
FARP2	0.7225
MRPL46	-0.337416666666667
LDHAL6B	-0.0768333333333333
MAPKAPK3	-0.197666666666667
NCAM2	-1.6035
PRKD2	-0.119166666666667
ZFP36L1	1.2118
CYSLTR1	0.8375
OR4C3	0.657
HIST1H2AJ	1.4155
CCNB2	-2.53033333333333
ZNF10	0.201375
TMEM175	-0.3665
FAM134A	1.07416666666667
TIGD4	0.747
PCNP	0.34325
MGC39715	-0.18925
LQK1	-2.1735
CREB1	1.4147
TMPRSS3	-0.22825
C4orf32	2.689875
LAT	-1.57416666666667
KCNA3	-0.1625
SKIV2L2	-0.187
ROPN1B	-0.84225
tcag7.23	-0.6965
CDT1	-3.114
ZHX2	0.9625
CD28	-3.22075
ZNF624	1.7385
SEPT2	1.16291666666667
SOHLH2	-1.400125
MCOLN3	-0.1085
UNQ1945	-0.4535
MASP2	-1.25
ZNRF3	-0.1121
GPATCH3	-0.272
AGL	0.503
QRICH2	-0.5765
PSD4	0.956666666666667
CCNB1IP1	-1.9365
ENPP7	0.2525
OBFC1	-0.09425
KCNG3	-2.44975
C14orf79	1.7675
ENPEP	1.48383333333333
SCT	0.5485
SKI	0.187375
SEC61G	-1.55175
CAPN11	0.86225
ATXN7L3	-0.03225
DBNDD1	-0.475
FAIM	0.82675
ANKRD36	0.705
GABRP	3.35466666666667
TACSTD2	3.358
EIF3J	-0.278
PPP2R2A	0.313
TEKT4	-0.0898333333333334
PVALB	-2.74
F10	-1.963
FAM134C	1.0625
COMP	3.502875
EFCBP1	-2.351125
SCLT1	0.61325
TAL1	-0.7951
ACSL1	-0.216
ABCC5	0.0448333333333333
ABL1	-0.527055555555556
RBBP7	0.452083333333333
PTPRG	-0.175125
NCOR1	0.7297
SPINK4	2.17983333333333
TXNRD1	-1.5262
TNRC15	1.356125
C9orf138	0.839375
UBE2H	1.23616666666667
BRDT	0.359166666666667
C8orf31	0.2005
CCNE2	-1.55263636363636
SLC6A8	-1.678625
CALCR	-4.72875
PPP1CB	1.393
ABHD8	-0.206
ARF5	0.118
SLC24A4	0.42675
CCT3	-0.60175
ZNF121	0.810625
SLC3A2	-1.131
OR13A1	0.1195
SLC5A10	-0.9625
RAD50	1.01875
IER5	-1.051875
MTHFD1L	-2.5735
MBTPS2	-0.454
MVK	0.09475
NCL	-0.0485
PSMD10	0.438
MOBP	0.1215
FLJ32894	1.311
HRH1	0.185
C5orf30	0.99425
NUDT16L1	0.8521
RASGRP3	3.09966666666667
PRKRIP1	-0.0992
CCDC75	1.07625
LOC253970	-0.457333333333333
KIAA1239	1.17025
MED21	-1.20975
SYT11	0.244916666666667
NTSR2	-0.9365
EGFL11	0.51
CXorf59	1.365
OR2A25	0.52375
SPTBN2	-1.45775
LRMP	-1.70816666666667
RNF111	0.17375
PTH	0.789
LOC619208	0.577833333333333
KIAA0895	0.91625
RANBP5	-1.5185
P2RY10	1.35766666666667
NME5	4.266
DDX21	-0.75575
LRSAM1	0.275
HDAC11	1.21116666666667
VMO1	1.3535
NOLA2	-0.0995
ADAR	0.533416666666667
MTO1	-1.34783333333333
SF4	0.199833333333333
P2RX1	-0.023
HBM	-0.26525
EN2	-1.59
C14orf172	-0.052
TM9SF2	0.2333
INHBE	-1.68066666666667
TCTE3	0.04825
TOX2	-2.4975
CTAGE3	1.405
HBB	2.8725
MED15	-1.493
CASR	-0.08975
C6orf66	-1.70066666666667
MTPN	-0.158875
UNC50	1.11875
C21orf33	0.61325
IRF2	1.417125
PGR	-1.25733333333333
GPR84	1.32375
CROCCL1	-1.2485
SRPX	-1.43375
BRE	0.339833333333333
FGF10	1.559
SDC3	-0.472666666666667
ZRSR1	1.0675
DKFZP434P211	-0.025125
SOX6	0.1285
RPUSD2	0.289
C14orf173	-0.229
MAPK11	-1.08183333333333
TBC1D22A	-0.37
FAM123A	-0.928
COL4A6	-0.9555
TOMM70A	0.63375
NAB1	0.2685
MGC16385	0.0525
TSPAN18	0.117833333333333
MED31	0.1045
PLG	-0.5525
CAPSL	5.1095
ZNF532	1.65
ASB14	0.1175
CA8	1.164
NUDT16P	2.70833333333333
SLFN11	-1.2635
LRRIQ2	0.2125
NOL7	-0.0315
BRMS1L	0.453125
JARID1A	-0.0271666666666667
PANK2	-0.05575
ICAM3	-0.57625
MDS1	-0.349
TAF8	-0.49875
RNF139	1.093
ZNF594	0.9185
ADAM8	-0.021125
SFTPC	-0.00537500000000001
MAN2B2	1.518875
RGS12	0.5125
EIF1AY	-4.50933333333333
LRRIQ1	1.572
GPR150	-1.5475
CCDC21	-1.06583333333333
PRRG3	0.654
SAA4	-2.88175
RAPGEF5	0.444375
ZCCHC2	0.162
MGC39372	-0.875
PPP4R2	0.942333333333333
CDCA2	-1.654
OR4D5	0.0263333333333333
PTGFRN	1.0195
SIGLEC5	1.5385
C19orf61	-0.440666666666667
NMUR2	-0.2865
KIAA1586	0.121333333333333
DAGLA	0.6305
CHCHD6	0.02275
GPR32	0.4815
NEUROD6	0.160166666666667
SLC2A4RG	0.2680625
CA5B	0.14
FBXL3	0.65625
MPHOSPH9	-0.9455
HMG2L1	-0.19625
HCN4	-1.30916666666667
CEACAM19	0.47375
SH2D4B	0.272333333333333
HFE2	-1.337
TGM4	0.511
LYPD2	0.09525
TBC1D15	0.15675
MRPS21	-0.1527
NONO	-0.6349
CLEC5A	1.146375
ITCH	0.5695
MGAT3	-0.699
MBP	-0.634625
RPP25	-0.7675
SOSTDC1	1.26525
HRC	-1.342
TRIM48	-0.053
TMEM133	-0.69425
ECEL1P2	-1.8285
HOXC11	-0.292
DOK5	-0.19275
HELZ	0.404166666666667
LOC348180	-1.18725
MGC33894	-0.335
ADRB3	0.095
DMD	0.348666666666667
PTRH2	-0.13925
MPEG1	2.622
NDUFA12	-0.225333333333333
KRTAP2-4	-0.572333333333333
STAMBPL1	-1.82116666666667
ADCY2	0.4526
UNQ6125	0.273
KLHL20	1.04916666666667
SRM	-1.53775
OTC	-0.3025
TMIE	0.114333333333333
SNX8	-1.04625
LIPK	0.832
CHURC1	0.015
KLC2	0.1665
HDAC1	-0.364
FAM128A	1.02166666666667
FNDC3B	0.5003
MTCP1	-0.387666666666667
WFDC10B	0.5014
PCDHGB3	0.678
ATRNL1	0.8198
CAV2	0.053
MED26	0.189
DUS1L	-0.127
CHRM3	-1.321875
NEK9	0.61025
WARS2	0.889
TBX22	1.3205
TOMM40	-1.05675
RP6-213H19.1	-1.48133333333333
TUBGCP5	-0.24175
IGSF6	4.50825
TPPP	1.59316666666667
UNQ6190	0.076
GSTM5	0.59525
BTD	1.20483333333333
PDCD1LG2	0.187166666666667
SNRPB2	-0.817666666666667
ERICH1	0.087125
APOA4	-1.4495
HOXA11	-2.248
NARG1	-0.11
MKX	-0.5455
RAB28	0.456214285714286
PKP3	1.30525
SH3GL2	-2.948
CTSO	4.50075
RPN2	0.2231875
IL28RA	0.296666666666667
SFMBT1	1.12375
WDR57	-0.172
FER1L3	1.41566666666667
HSF5	0.535
TTC9B	0.14225
C4BPA	-2.26216666666667
ALB	-3.62771428571429
SORBS3	0.414875
UPF2	1.0145
JPH1	0.379
AGBL2	1.9715
DOPEY1	1.6275
TERF1	0.126833333333333
KIF22	-1.07766666666667
NINJ1	0.56975
SEC61A2	-0.365583333333333
HIST1H1D	-0.728333333333333
SFXN4	-0.677625
UCP3	0.042
ZNF703	0.240833333333333
MYL6B	-0.162
TREM1	1.157
OR52E6	0.729
CKMT2	2.13175
HLA-C	2.24175
SLC13A3	-1.50966666666667
TIMP4	-1.42175
SLIT2	2.4655
RSF1	0.905333333333333
LONRF1	-0.425928571428571
MON1A	-0.1545
CACNG6	-2.04183333333333
DPPA4	-5.10833333333333
ZSWIM3	0.5105
ZNF804A	0.254
CCIN	1.55425
SLC25A31	0.5065
KCNMB4	-0.17675
RABL5	0.831125
GALNS	-0.5566
STX6	0.596
HIST1H1C	0.758166666666667
CIDEB	-0.712
CASP4	0.00966666666666667
PDK3	-0.3855
KCNJ11	1.3715
TPR	0.1295
ZSCAN20	0.307
MTX2	0.3785
HIST1H2BH	0.90325
LOC283767	2.05925
LYRM7	-1.03783333333333
BRD3	0.4135
HIST1H2BO	0.5945
MAGEB10	0.246
SLC45A1	1.8825
SERPINA3	1.5636
KIAA0143	0.754
KCNJ16	3.41133333333333
KRT79	-0.592
FABP2	-1.46633333333333
NUT	-0.65375
ZNF57	-0.16
FBXL4	0.179875
CLEC9A	2.3355
UGT8	-1.145
BMP2K	1.3405
MAPK4	-3.08475
SLC25A23	-0.9144
HINT1	-1.5218
KRTAP13-1	0.474
SFXN5	-0.3712
CHCHD2	0.144666666666667
FAM3D	2.178
NDP	-2.224375
RHOBTB1	0.583
SLC4A4	-1.85325
RPL38	-0.19375
HTF9C	-0.775166666666667
AP2A2	0.06775
ZBTB46	-0.3375
MAP7D1	-0.05575
AOX1	-1.65566666666667
CYR61	-0.819833333333333
DTNA	-1.59764285714286
JRKL	0.323
TMOD3	0.40725
EEA1	0.7126
ADCK5	-0.776
IL1R1	2.1605
KLK3	0.123857142857143
HRSP12	-0.3715
KTN1	-0.12375
LOH11CR2A	1.1218
RELL2	-1.67075
MAB21L1	2.4385
C20orf59	-1.57733333333333
PHKB	1.01725
ADAM2	-3.228
TBC1D8B	2.00166666666667
FAM13A1	-0.7235625
LAPTM4B	-0.87425
LCN8	0.1145
TMEM147	0.31
SYT4	-0.0176666666666667
XPO7	-0.6565
C9orf62	-1.6145
GPR75	0.502
TRIM5	1.071
APOC1	-0.555166666666667
RNASE4	1.94566666666667
PARD6B	0.19525
ARID1A	0.60225
TPD52L3	0.115
RRAGB	1.511
RCN2	-0.364166666666667
HIST2H2BE	0.6656875
STARD7	-0.0085
SHMT2	-1.47075
KIAA1751	-0.2188
MLYCD	0.538625
LOC162632	0.3413
UQCRH	-1.77825
RP11-217H1.1	1.08775
SDHA	-0.619833333333333
NCLN	-0.9516
ZNF17	1.26283333333333
RCBTB2	-1.41875
VEGFB	-0.0239
RP4-747L4.3	-0.45825
COLQ	0.3281
MPN2	-1.21916666666667
DRG2	-0.63275
KLRB1	4.61325
ALPK2	-3.63825
DNASE2B	1.422
FLJ23834	0.8665
AXUD1	0.443166666666667
SAFB	0.00639999999999999
NSUN4	-0.72375
RFX2	0.0716666666666667
MAPK8IP1	-0.158833333333333
FANCD2	-1.08335714285714
ANKZF1	-1.04983333333333
C19orf50	-0.32225
DUSP8	0.014875
SENP5	0.455875
NFKBIL2	-0.92025
LBR	-2.00575
IGFL1	0.5875
LZTS2	-0.00662499999999999
IL2RG	-1.21075
CCDC51	0.3345
KLF3	0.654125
ANKRD37	-0.56925
KCTD14	-0.970833333333333
FZR1	-0.660416666666667
SLC44A4	3.1463
ESPL1	-1.428625
GMPR2	0.37
TBC1D19	0.484166666666667
ERGIC1	0.190592592592593
ERBB4	3.4005
TSPAN32	-0.0751666666666667
MAP4	-0.2145
GPHN	-0.8155
SLC6A2	-0.154625
HIVEP1	0.69475
DFFB	-0.5313
EIF4EBP2	0.068875
DMRT1	-0.2255
HSPB6	0.00674999999999998
IER2	0.418
AIFM1	0.49725
WWC2	0.07075
MRPL4	-0.84675
FLJ21062	2.56333333333333
EPB41L4A	1.96125
SH2D6	0.244
TAF4B	0.0125
GAL3ST3	-0.5165
MALT1	-0.91
RTDR1	-0.54125
ARVCF	-0.352375
MEX3B	-0.995
FBXO16	1.763
KIF7	-1.286
C1QC	3.31266666666667
ZNF783	0.0436666666666667
ZNF85	0.622
MMP13	1.663
KIAA0329	0.43
RTP3	-2.3115
ZBED3	-0.095
CLGN	0.02275
SLC25A37	-0.86775
hCG_18290	-0.669
OR5AS1	0.0345
SMARCC2	0.160833333333333
FAM109A	-0.314833333333333
CCDC12	0.21875
USF2	0.4053
DEPDC7	-2.2735
C20orf24	-0.7895
JMJD3	0.7235
DSP	1.40064285714286
SLIC1	-0.004125
FAM20A	0.668
IRF2BP2	0.678625
ZNF230	0.806
MSN	-0.664571428571429
SLC9A5	-1.594
EPDR1	-1.8031
MUSK	-0.0443333333333333
ZNF434	0.389333333333333
SMARCD1	-0.7835
