Hybridization REF	TCGA-A2-A0YF-01A-21R-A109-07
PTP4A2	1.08875
OR4M2	0.4675
HPCA	-1.0605
SEC14L1	-0.975666666666667
CHFR	-0.313375
EMILIN1	0.826125
NDUFS4	0.28625
COL18A1	-0.00437500000000001
PDZD3	0.0257
C9orf16	-0.133166666666667
ERBB2IP	0.357333333333333
EMX2	3.1
FUS	-1.2345
TF	-4.1656
CLCN4	-1.269
CXorf56	-0.13425
C11orf72	0.53525
ELAC2	-0.642416666666667
NPR1	-0.069
ASS1	-3.3195
USP42	0.1335
POLR2J	-0.251
SEC23IP	1.089
UQCRC1	0.28
LOC729603	-0.816
C1orf71	-1.324125
POLG	-1.3815
ADAM23	-4.11975
TFR2	-1.93625
RICTOR	-0.6996
MGC39606	-0.1605
C19orf55	-0.235125
SNAPC1	-1.7095
GNA11	0.948125
CCDC52	1.368
FSIP1	4.8895
UPF3A	-0.495375
IGSF11	-3.32816666666667
LAGE3	-0.38725
CHST6	-3.293
UNC13B	1.79775
TTLL4	-0.479
ZNF687	0.78475
SDC2	-1.3202
COX7A2	0.70625
LAMB4	-0.85725
FAM24A	0.1745
LRRTM3	-1.352
GPHB5	0.359
OR4C13	0.0865
EIF3EIP	-0.286714285714286
HABP4	-1.2735
TMEM125	3.442
CNTN2	1.406875
ASNSD1	-0.30625
FUT4	-0.676875
ACF	-3.87025
LOC158381	0.9365
CDH8	-0.782
AGPS	-0.458333333333333
C4orf18	4.10275
PECI	0.2155
UNG	-0.70075
GSTP1	0.65825
DCUN1D5	-2.00233333333333
DKFZP564J0863	-1.1645
SLC9A3R1	2.230125
BCDO2	-0.5845
CHMP7	0.0755
REM2	1.049
DNHD1	-1.0035
FKBP4	-0.994875
ZNF350	2.6635
MGC11102	0.0035
BST1	1.0235
KISS1R	1.333
NCR2	-0.199
DEFB125	0.62
UBE2W	1.043375
KRT15	-0.645875
C10orf99	0.5325
SCN11A	0.600125
GFI1	-3.44725
RDHE2	5.5115
FHL1	-0.553666666666667
OSGEP	-0.157
GATA1	-3.84183333333333
SMC6	-1.1275
TTTY14	-1.4865
LPIN3	-0.05225
RPL4	-0.5963
RBPMS	0.7147
PRPF3	-0.5715
EMR1	-0.772
SPATA19	-0.334
XCR1	0.4945
IRX3	0.7473
RBM6	-1.17575
KLF4	-0.6344
UNC5CL	0.06275
SEBOX	0.6455
BTK	-0.1635
KRCC1	1.509
C6orf27	0.7875
SYTL5	0.631
PRND	2.154625
LOC653319	-1.4185
PIGL	-0.9485
HUS1	-0.444666666666667
SFRS6	-0.0715
C17orf77	0.354
UIMC1	-0.3775
FXYD2	-1.8016
LOC283152	-0.244
ZNF667	-0.47
ZCCHC12	-0.5645
TFEC	3.7914
ATP7B	2.21933333333333
POLD2	-0.970166666666667
RG9MTD1	0.186
ACOT2	1.4955
HIST1H4I	-1.240625
PPARGC1A	-2.3803
ETFA	-1.3359
POLRMT	-0.174
ZNF146	-0.6885
MIA2	-1.9035
KLHL6	-0.387666666666667
HOXB5	-1.619625
NENF	1.291
CUGBP1	-0.57675
PRSS22	2.63316666666667
CASC4	1.7743
CUL4B	-0.1799
CENPJ	-1.8557
PITX1	-1.39766666666667
FLJ31033	0.497166666666667
CELSR3	-2.70733333333333
ZNF568	0.97425
ITSN1	-0.702
EHBP1L1	-0.579833333333333
C19orf2	-0.6825
DCTN1	0.4535
LIN28B	-3.62516666666667
TNKS2	-1.05425
C1QBP	-0.63175
CADPS2	1.37375
SRMS	1.1275
GJA9	0.0425
MGC24975	0.203333333333333
TRIM45	-0.253166666666667
TSP50	0.29225
TCP1	-0.945
TMED7	1.0758
CMA1	1.678
CENPL	-0.688166666666667
PTCRA	1.2625
FST	-2.7175
VWCE	-3.98225
PAWR	-0.33075
ABCC12	2.939
LDLR	0.2576
ASTN2	2.2837
LOC441212	-0.4185
GPATCH8	-0.29725
TANC2	-0.370083333333333
KIF4A	-0.683
C18orf18	-1.55125
PGM1	-0.64175
KIAA0258	1.594
CPD	2.26075
SNCAIP	-1.87275
DCT	-4.81033333333333
HLA-DOA	3.7845
OR11L1	0.616
UPK1B	-0.957833333333333
DNAJB4	-0.82275
UGT1A8	-0.59975
HIST1H4L	-0.1705
PECR	-0.476
HSPA2	1.42075
WFIKKN1	0.3885
SERP1	1.406125
SYDE2	1.207
TACR2	1.3305
NUP85	-0.5735
CD177	-0.0843333333333333
LGR5	-2.80633333333333
PIGG	-0.201916666666667
PTHR1	-2.144
RAB5A	0.5921
FLJ13224	0.1915
USP9Y	-2.08066666666667
C7orf53	-1.352
LRP1B	4.78975
XAF1	1.2541
ABCG8	-0.3955
ANKDD1A	-1.001
DAND5	-1.6475
SPAG6	5.247
LINCR	2.574
ZDHHC22	-1.654125
CCDC60	0.705
THOC7	-0.959
TCTA	1.2105
OR8K3	0.2205
NY-REN-7	-0.99175
B2M	1.62016666666667
C6orf141	-0.867625
LPPR4	1.34475
SQLE	-1.299625
SEPHS1	-0.99525
BTBD14B	0.661428571428572
PLRG1	-0.2585
SPG7	-0.8760625
ZNF614	0.272333333333333
PARD6G	0.498833333333333
INPP5B	-0.3791
GRPEL2	-0.10025
PPID	0.1902
TRIM56	-0.77025
UBE2J1	-0.498125
IL20RA	6.352
LOC387856	-0.081
C1orf107	0.9185
UTS2R	1.48125
C19orf22	-0.10275
SAFB2	-0.6765
KIAA0652	0.39675
KLRG1	-0.864333333333333
MS4A8B	4.56633333333333
FRAG1	0.3595
KIAA1546	0.6615
E2F4	-1.5151
CLEC4M	0.0666666666666667
BTBD14A	-1.24925
KIAA0999	-0.6131
GYPA	-4.38233333333333
TAC1	-0.1488
TRAIP	-0.948833333333333
KIAA0232	1.3962
ERCC8	-1.126625
GPX4	-0.144
KIAA0368	-0.00674999999999999
GPR157	-0.964333333333334
CTAGE4	0.4545
C9orf30	-1.984
OR52A1	0.217
HSP90B3P	-0.5355
ALG9	-0.6409
BTBD10	0.81875
SDK2	-0.441
BAIAP3	-0.7045
RABGGTB	-0.280375
ANKRD40	0.471333333333333
KRT74	0.7255
CALCOCO2	0.9375
SNCA	-2.7665
TMSL8	-5.33475
C2orf53	-0.1515
ESRRB	-0.86625
ARHGAP26	-0.444375
TDRD9	-3.27875
HRAS	0.346666666666667
KLRC4	-3.0425
JAGN1	0.9285
BSDC1	-0.341
RNF43	-0.2593
NDUFAF1	0.808
PHF12	0.61025
OR1L3	0.49725
FOLR2	2.67766666666667
LYZL6	-0.2015
tcag7.1260	-1.8055
WSB1	-1.272
PROS1	-0.943
OSTN	0.783
PSMB8	1.26225
SOCS4	-0.1775
DDIT4L	1.854
MAS1	0.248
MGC34796	2.93975
CSHL1	0.358333333333333
TBCCD1	-0.0466666666666667
ZBTB7C	0.7435
AP2S1	-0.177875
P15RS	0.991
VAT1	-1.0325
SHANK3	1.56766666666667
TUFM	0.287666666666667
THEG	-1
KRT34	-2.338
SGSM3	0.296
TOMM22	-1.441375
SOCS3	0.594666666666667
CPO	0.1105
POP4	-0.0185
BHLHB3	1.0675
MALL	0.78125
OR1B1	0.7505
PARK2	0.563666666666667
GPR124	-0.539
LCE1E	-0.6895
RUVBL2	-0.4275
CGRRF1	0.3917
ACPL2	0.2055
WNT10B	-2.7125
BAIAP2L2	-2.5015
ISCA1	0.3755
C1orf125	-0.226125
RPAP1	-0.21625
RAI16	0.229833333333333
RPL27	-0.41725
NLRP9	-0.1665
EPN1	0.3045
LOC388610	-2.80725
SLC35A1	1.4333
GAL	-4.59625
SLC14A2	0.2665
RDH11	-0.240166666666667
FAM138F	-0.3385
AUH	0.441
FLJ40243	0.75725
C14orf129	0.587333333333333
MBD2	0.239
ABHD14B	0.487875
PIGT	1.2465
ALS2CR4	-0.512
ALAS1	-0.0779
FOXO1	0.784166666666667
CRLF3	-0.44825
C20orf107	1.001
FARS2	1.1385
CCDC28A	0.605
NPHP3	-0.70225
OR13F1	1.0415
TSEN54	-0.27
DEFB106B	-0.2878
OR8B4	0.294
STH	0.43875
ZC3H14	-0.785875
CBX2	-0.868
TMEM49	-1.677
C6orf21	0.9445
FLJ20920	1.046625
CRTAP	1.14385714285714
DDX50	-0.06525
STYXL1	0.3285
BLVRB	1.32866666666667
LOC147650	-1.26083333333333
MMP24	0.37825
GRID1	1.742
BANF1	-0.457166666666667
CTAGEP	0.88275
HMBS	-2.18875
SLC25A24	1.07866666666667
C14orf50	3.33325
MRO	1.70783333333333
SLC25A15	-0.54825
FAM84B	2.0306
TDP1	-0.777
C16orf78	0.459666666666667
C11orf57	-0.611
RFK	0.249625
ZFYVE9	-0.989875
STCH	-0.335
WIBG	0.52075
LOC283871	0.9145
GBA2	-0.55
NDUFB3	0.30425
HSD17B13	-0.71975
GRIN3A	1.532
FMNL1	-0.121166666666667
SEPT7	-1.137
GNLY	2.5145
GRAMD1C	1.75083333333333
ZNF165	0.16975
USP38	1.17075
FAM83A	-3.28033333333333
C14orf24	0.393
ARMCX3	1.133
ARHGDIB	1.22233333333333
AK1	0.4665
KIAA1045	0.0265
DNAJB13	-0.746666666666667
NEU2	0.4205
HIST1H4B	-0.270166666666667
FAM20B	0.101
HES2	0.234785714285714
FAM73B	-0.5217
LOC388381	-0.027
INTS7	0.627090909090909
AMPH	0.178
ZNF775	-0.01875
UCKL1	-0.5785
C10orf97	0.376
C1orf161	0.3455
ALDH1L1	-0.91125
FLJ39378	0.20175
SLC23A1	-2.5365
RBM4B	-0.28475
THAP4	0.504333333333333
OGFRL1	0.99675
KIAA0831	0.22175
PPP1R15A	-0.608666666666667
C1orf96	-0.747642857142857
C12orf11	-2.538
BMF	0.943
MAN1A1	-0.10475
KIAA1600	0.720666666666667
NLGN4X	-2.83375
ALOX12	-1.79333333333333
RB1CC1	0.3466
NEIL2	0.4894
EIF4E	-0.142363636363636
ABHD5	-0.41375
EXOC4	0.0455
CIP29	-0.0636666666666666
BATF2	0.36375
SLC29A4	-1.2815
HTR4	0.68325
EMB	0.24425
TRAF6	1.07325
LMNB1	-1.9535
FAM19A5	-0.83625
SHE	2.36425
PIK3C2B	0.8595
C15orf15	0.0315
USP15	-0.248
TCEAL2	1.271
C5orf39	-1.10166666666667
PTGER2	-2.42775
SLC31A1	-0.52825
IFT172	0.512
ADAM29	0.63475
GFOD1	0.73675
ST7L	1.26183333333333
C15orf26	-0.40775
PKN3	-1.0255
CNTD1	1.536
COMMD1	0.592
NTRK2	2.437
FOXN3	-0.489
MFGE8	-0.9028
PFKFB2	-0.165666666666667
TAS2R4	-0.55575
ENTHD1	-0.187166666666667
PRMT5	-0.71375
MGC16384	-1.386875
LOC442229	-0.48875
TSKU	1.464375
KRTCAP3	3.77375
PDLIM1	1.9981
KCNS2	0.41975
RNF126	-0.1695
CEP63	-0.05925
CLIC4	-1.5645
hCG_1990170	0.4275
ACR	0.5888
KLK7	1.219
ALOX5AP	4.0015
RIPK3	4.88075
TAS2R9	0.4585
C19orf18	2.1845
BIRC6	-0.0646428571428571
ZNF16	1.0415
RFT1	-0.0235
SLC8A2	-1.19025
TACC1	-0.74825
ITGAD	0.68325
SAMHD1	1.3995
SH3PXD2B	0.125
EPC2	0.87725
C20orf85	5.718
ATP13A2	0.139
KRT4	0.5445
CAPNS1	0.50325
MDM2	-0.115666666666667
PCDH20	1.22475
KCNK9	0.709
OR2C1	0.0825
KLHDC3	-0.821666666666667
IPPK	0.2545
EFHD2	0.198375
GALR3	1.462
NBEA	-0.200666666666667
ABCA6	2.5518
CLDN3	1.15783333333333
AKT2	-0.390384615384615
EGFR	-2.7091
RBM16	0.353875
ZDHHC3	0.0675
SLC25A4	0.375666666666667
CYB5B	-1.65683333333333
CPXM1	-0.7335
NDRG1	-1.79307692307692
FLJ43826	0.7645
OR5L2	0.422666666666667
FARP2	1.7097
MRPL46	-0.158333333333333
LDHAL6B	-0.156666666666667
MAPKAPK3	0.0938333333333333
NCAM2	-3.49325
PRKD2	0.68
ZFP36L1	0.5623
CYSLTR1	1.13375
OR4C3	0.19725
HIST1H2AJ	0.769
CCNB2	-1.94344444444444
ZNF10	-0.5895
TMEM175	0.5605
FAM134A	0.845
TIGD4	0.3235
PCNP	-0.0525
MGC39715	0.87775
LQK1	-2.9505
CREB1	0.2683
TMPRSS3	-0.11725
C4orf32	2.491875
LAT	-2.13141666666667
KCNA3	-0.0525
SKIV2L2	-0.5785
ROPN1B	-2.68825
tcag7.23	-0.463
CDT1	-2.6535
ZHX2	1.129375
CD28	-2.6595
ZNF624	1.518
SEPT2	0.24375
SOHLH2	-2.29375
MCOLN3	2.28116666666667
UNQ1945	0.7655
MASP2	-0.918
ZNRF3	1.95
GPATCH3	-0.52725
AGL	0.625625
QRICH2	0.0615
PSD4	1.68033333333333
CCNB1IP1	-1.82675
ENPP7	0.331
OBFC1	-0.029
KCNG3	-2.5915
C14orf79	1.403
ENPEP	2.081
SCT	0.874
SKI	0.191375
SEC61G	-0.81325
CAPN11	0.42425
ATXN7L3	-0.3795
DBNDD1	-0.4075
FAIM	0.46425
ANKRD36	-0.822
GABRP	1.97133333333333
TACSTD2	2.78
EIF3J	0.24075
PPP2R2A	-0.679
TEKT4	0.369333333333333
PVALB	-4.35333333333333
F10	-2.87483333333333
FAM134C	1.3293
COMP	4.4515
EFCBP1	-3.50213333333333
SCLT1	-0.26625
TAL1	-1.0935
ACSL1	0.454
ABCC5	1.26375
ABL1	-0.618555555555556
RBBP7	0.460166666666667
PTPRG	-1.4975
NCOR1	0.209
SPINK4	3.9095
TXNRD1	-0.849
TNRC15	0.870625
C9orf138	1.162
UBE2H	1.3515
BRDT	0.601833333333333
C8orf31	-0.19775
CCNE2	-1.34927272727273
SLC6A8	-2.856125
CALCR	-3.4435
PPP1CB	0.49575
ABHD8	0.84275
ARF5	-0.1709
SLC24A4	0.60625
CCT3	-0.19825
ZNF121	0.51475
SLC3A2	-0.2659
OR13A1	0.7075
SLC5A10	1.401
RAD50	0.33775
IER5	1.050125
MTHFD1L	-2.36425
MBTPS2	0.638333333333333
MVK	-0.518875
NCL	-0.057
PSMD10	-0.12575
MOBP	1.08225
FLJ32894	-0.3135
HRH1	-0.699333333333333
C5orf30	1.65325
NUDT16L1	0.9138
RASGRP3	5.01733333333333
PRKRIP1	-0.4364
CCDC75	-0.21375
LOC253970	0.613
KIAA1239	0.573
MED21	-0.79025
SYT11	0.750166666666667
NTSR2	-0.7355
EGFL11	2.04
CXorf59	0.9095
OR2A25	-0.17575
SPTBN2	-1.8115
LRMP	-0.8555
RNF111	0.7275
PTH	2.067
LOC619208	0.1445
KIAA0895	0.91875
RANBP5	-0.91775
P2RY10	1.72483333333333
NME5	3.79233333333333
DDX21	-1.297
LRSAM1	0.8415
HDAC11	2.0495
VMO1	3.342
NOLA2	-0.139333333333333
ADAR	1.09783333333333
MTO1	-0.6705
SF4	0.324166666666667
P2RX1	-0.509666666666667
HBM	0.25725
EN2	1.4925
C14orf172	0.3295
TM9SF2	0.786888888888889
INHBE	-1.89983333333333
TCTE3	-0.509333333333333
TOX2	-3.13975
CTAGE3	1.324875
HBB	4.5963
MED15	-1.12
CASR	0.22925
C6orf66	-1.694
MTPN	-0.732875
UNC50	-0.009
C21orf33	0.43525
IRF2	1.32675
PGR	0.972666666666667
GPR84	4.38425
CROCCL1	-2.231
SRPX	-2.1805
BRE	0.136666666666667
FGF10	4.42775
SDC3	-1.78483333333333
ZRSR1	0.354
DKFZP434P211	-0.935375
SOX6	-0.807
RPUSD2	0.42825
C14orf173	0.029
MAPK11	-0.3215
TBC1D22A	0.088
FAM123A	-0.979
COL4A6	-3.2685
TOMM70A	0.115
NAB1	0.176625
MGC16385	-0.79375
TSPAN18	-0.428833333333333
MED31	0.2845
PLG	-0.90075
CAPSL	5.092
ZNF532	0.554
ASB14	1.01075
CA8	1.17
NUDT16P	2.82633333333333
SLFN11	-1.2645
LRRIQ2	0.88475
NOL7	-0.276666666666667
BRMS1L	-0.869625
JARID1A	-0.499333333333333
PANK2	-0.4765
ICAM3	-0.35975
MDS1	-0.50425
TAF8	-0.60975
RNF139	1.27775
ZNF594	0.836666666666667
ADAM8	2.801875
SFTPC	0.151
MAN2B2	1.47975
RGS12	0.582625
EIF1AY	-5.29316666666667
LRRIQ1	-1.87233333333333
GPR150	1.75025
CCDC21	-1.56266666666667
PRRG3	0.50175
SAA4	-3.0255
RAPGEF5	3.029
ZCCHC2	0.427583333333333
MGC39372	0.6595
PPP4R2	-0.3155
CDCA2	-2.0085
OR4D5	0.2805
PTGFRN	0.8371
SIGLEC5	1.31133333333333
C19orf61	-0.0198333333333333
NMUR2	0.0785
KIAA1586	-1.27383333333333
DAGLA	-0.522
CHCHD6	-0.0385
GPR32	0.697
NEUROD6	0.436833333333333
SLC2A4RG	0.3710625
CA5B	0.2015
FBXL3	1.475
MPHOSPH9	-1.708
HMG2L1	0.48375
HCN4	0.988166666666667
CEACAM19	-0.242
SH2D4B	0.6565
HFE2	-1.438
TGM4	0.36725
LYPD2	0.15525
TBC1D15	0.33525
MRPS21	-0.0215
NONO	-1.2336
CLEC5A	3.24985714285714
ITCH	0.1559
MGAT3	-0.720166666666667
MBP	-0.491625
RPP25	0.51975
SOSTDC1	-1.69
HRC	-0.54925
TRIM48	-0.9065
TMEM133	0.8305
ECEL1P2	-1.14525
HOXC11	-1.799
DOK5	-0.67975
HELZ	0.0653333333333333
LOC348180	-1.09375
MGC33894	0.16225
ADRB3	0.1215
DMD	-0.2845
PTRH2	-0.56875
MPEG1	4.12816666666667
NDUFA12	0.1985
KRTAP2-4	0.406083333333333
STAMBPL1	-1.2115
ADCY2	-0.8524
UNQ6125	-0.3255
KLHL20	-0.0635
SRM	-1.96
OTC	-0.871
TMIE	-0.120166666666667
SNX8	0.10875
LIPK	0.092
CHURC1	1.01566666666667
KLC2	0.501833333333333
HDAC1	-0.517666666666667
FAM128A	1.46866666666667
FNDC3B	-0.2871
MTCP1	-0.492166666666667
WFDC10B	0.8658
PCDHGB3	1.1985
ATRNL1	-0.8784
CAV2	-0.98
MED26	-0.322666666666667
DUS1L	0.286
CHRM3	-1.95625
NEK9	0.473
WARS2	0.7315
TBX22	-0.865
TOMM40	-1.19975
RP6-213H19.1	1.06933333333333
TUBGCP5	-0.03275
IGSF6	5.9585
TPPP	-0.0881666666666666
UNQ6190	0.1035
GSTM5	2.231875
BTD	0.666833333333333
PDCD1LG2	-0.207833333333333
SNRPB2	0.107166666666667
ERICH1	-0.37175
APOA4	-1.952375
HOXA11	-2.804
NARG1	-0.063875
MKX	-2.0435
RAB28	-0.151071428571429
PKP3	1.384
SH3GL2	-1.69575
CTSO	4.237
RPN2	0.879625
IL28RA	0.453666666666667
SFMBT1	1.6845
WDR57	-1.36425
FER1L3	0.997
HSF5	0.262666666666667
TTC9B	0.19775
C4BPA	-3.30366666666667
ALB	-4.76592857142857
SORBS3	1.321625
UPF2	-0.6745
JPH1	0.5305
AGBL2	-0.42675
DOPEY1	2.462
TERF1	0.0491666666666667
KIF22	0.1045
NINJ1	1.963
SEC61A2	-0.162
HIST1H1D	0.870166666666667
SFXN4	0.326875
UCP3	-0.1066
ZNF703	2.08816666666667
MYL6B	-1.098
TREM1	1.42425
OR52E6	-0.2165
CKMT2	0.98525
HLA-C	2.2645
SLC13A3	1.24083333333333
TIMP4	-0.138
SLIT2	1.69025
RSF1	0.0299444444444444
LONRF1	-1.15735714285714
MON1A	0.6845
CACNG6	-1.8455
DPPA4	-5.87416666666667
ZSWIM3	0.42625
ZNF804A	1.089
CCIN	-0.2025
SLC25A31	0.34225
KCNMB4	-0.9875
RABL5	0.757
GALNS	-0.7862
STX6	0.8645
HIST1H1C	0.441333333333333
CIDEB	0.742625
CASP4	0.275166666666667
PDK3	-0.0995
KCNJ11	3.127
TPR	-0.46725
ZSCAN20	-1.218
MTX2	-0.33525
HIST1H2BH	0.45875
LOC283767	0.2715
LYRM7	-1.4515
BRD3	-0.112
HIST1H2BO	0.6275
MAGEB10	-0.125
SLC45A1	1.1445
SERPINA3	3.10265
KIAA0143	1.7515
KCNJ16	1.2315
KRT79	0.3625
FABP2	-0.86025
NUT	-0.82675
ZNF57	-0.2405
FBXL4	0.0535
CLEC9A	1.273
UGT8	-2.14916666666667
BMP2K	0.71075
MAPK4	-4.3835
SLC25A23	-0.2748
HINT1	0.1064
KRTAP13-1	1.054
SFXN5	-0.1918
CHCHD2	0.6095
FAM3D	2.941
NDP	-1.780625
RHOBTB1	-0.0256666666666667
SLC4A4	-1.0195
RPL38	-0.31025
HTF9C	-1.112
AP2A2	0.84575
ZBTB46	-0.3405
MAP7D1	-0.12
AOX1	-0.142
CYR61	0.194583333333333
DTNA	-1.54635714285714
JRKL	-1.80975
TMOD3	-0.77275
EEA1	0.5316
ADCK5	-0.163
IL1R1	1.38566666666667
KLK3	0.627214285714286
HRSP12	-0.52025
KTN1	0.5375
LOH11CR2A	0.6316
RELL2	-1.3185
MAB21L1	0.071
C20orf59	-1.62966666666667
PHKB	-0.495
ADAM2	-2.36733333333333
TBC1D8B	1.91083333333333
FAM13A1	-1.6120625
LAPTM4B	-1.40283333333333
LCN8	0.763
TMEM147	0.6145
SYT4	-0.322166666666667
XPO7	-0.935
C9orf62	1.61025
GPR75	-0.0035
TRIM5	0.59725
APOC1	1.511
RNASE4	2.52116666666667
PARD6B	0.131
ARID1A	0.0963333333333334
TPD52L3	0.1088
RRAGB	1.685
RCN2	-0.918
HIST2H2BE	1.576875
STARD7	0.079
SHMT2	-1.583
KIAA1751	-0.410833333333333
MLYCD	0.088
LOC162632	0.2088
UQCRH	-2.14
RP11-217H1.1	0.373125
SDHA	-0.9755
NCLN	-0.1943
ZNF17	0.937166666666667
RCBTB2	-0.6855
VEGFB	0.1159
RP4-747L4.3	0.65875
COLQ	0.6494
MPN2	-1.43283333333333
DRG2	0.6085
KLRB1	4.57475
ALPK2	-4.232
DNASE2B	2.326
FLJ23834	1.275
AXUD1	0.798666666666667
SAFB	-0.5519
NSUN4	-0.27175
RFX2	0.0135
MAPK8IP1	-1.31016666666667
FANCD2	-1.04842857142857
ANKZF1	-1.34966666666667
C19orf50	-0.42525
DUSP8	1.475375
SENP5	0.117375
NFKBIL2	0.188
LBR	-1.803125
IGFL1	1.2645
LZTS2	-0.010625
IL2RG	-0.648125
CCDC51	-0.0745
KLF3	0.947625
ANKRD37	-1.103
KCTD14	-0.883166666666667
FZR1	-0.0665
SLC44A4	4.2558
ESPL1	-0.6755
GMPR2	0.3042
TBC1D19	-0.276833333333333
ERGIC1	1.12266666666667
ERBB4	3.0107
TSPAN32	-0.0239166666666667
MAP4	0.06325
GPHN	-0.58625
SLC6A2	0.094625
HIVEP1	0.45725
DFFB	-0.8277
EIF4EBP2	0.164125
DMRT1	-0.76025
HSPB6	0.3085
IER2	0.282833333333333
AIFM1	-0.0445
WWC2	0.816181818181818
MRPL4	-0.51325
FLJ21062	1.2595
EPB41L4A	1.86941666666667
SH2D6	0.14925
TAF4B	-2.3145
GAL3ST3	-0.6575
MALT1	-0.828
RTDR1	0.36475
ARVCF	-0.383
MEX3B	-1.75033333333333
FBXO16	1.796
KIF7	-2.0915
C1QC	4.1695
ZNF783	-1.22366666666667
ZNF85	0.863
MMP13	4.4005
KIAA0329	0.486375
RTP3	-0.532
ZBED3	-0.22375
CLGN	1.5835
SLC25A37	-1.58866666666667
hCG_18290	-0.02075
OR5AS1	0.585
SMARCC2	0.612333333333333
FAM109A	-0.215333333333333
CCDC12	0.0905
USF2	0.9694
DEPDC7	-2.90075
C20orf24	-0.608166666666667
JMJD3	0.4585
DSP	0.1555
SLIC1	0.863375
FAM20A	-0.0455
IRF2BP2	-0.582875
ZNF230	0.048
MSN	-0.628071428571429
SLC9A5	-2.285
EPDR1	-2.4146
MUSK	0.463166666666667
ZNF434	0.597666666666667
SMARCD1	-0.699333333333333
ZFP106	0.13275
ZNF347	0.533
